[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 上涨0.7%
[03:13] 说每一次川普发表重大谈话
[03:16] 都没有比平时发文来的重大
[03:19] 好像是这样子
[03:20] 可是毕竟现在
[03:22] 虽然台北股市现在是4月2号了
[03:24] 美国现在还是4月1号啊
[03:26] 愚人节
[03:27] 愚人节不是给愚人节过的
[03:29] 愚人节是给说谎的人
[03:32] 一个说真话的机会
[03:34] 大家还记得
[03:35] 去年的此时此刻
[03:37] 我们经历什么吗
[03:38] 去年的此时此刻
[03:40] 川普正在拿他的小板板
[03:42] 来告诉你啊
[03:43] 所以有时候川普发布重大谈话
[03:45] 可能也比他平时发文来得更为严重啊
[03:49] 所以从这样的一个效果来看啊
[03:50] 现在就是去年的D-Day
[03:52] 周年庆啊
[03:54] 关税战的一周年
[03:55] 大家可能已经忘了当时的感受了
[03:57] 但是呢
[03:58] 我们似乎也可以了解说
[04:00] 我忘记当时的感受为何
[04:01] 可是我记得川普制造的利空
[04:04] 我要记得特别留意
[04:05] 所以造成了这种fear of missing out
[04:07] 风火心态的感觉
[04:08] 当然了
[04:09] 这种市场氛围
[04:11] 美国想要退
[04:12] 盟友想要停火
[04:13] 战争也逐步进入了责任外包的阶段
[04:16] 美国的战略
[04:17] 很明显这次透露出一些转向
[04:19] 希望从主导战争变成
[04:21] 让盟友接手来善后
[04:23] 那法国和日本已经在昨天表态支持停火
[04:26] 也显示主要经济体是更倾向降低冲突的
[04:29] 并不是持续扩大战线
[04:31] 但问题在于撤军能够解决问题吗
[04:34] 可能留下更多的不确定性
[04:36] 昨天我们提到伊朗也明确表示不信任谈判
[04:40] 甚至要求对于海峡拥有更多的控制权
[04:42] 如果这场战争的结束
[04:44] 是伊朗从此拥有了控制权
[04:47] 拥有了过路费
[04:48] 甚至取得荷姆治海峡的主权
[04:50] 那这场战争的意义
[04:51] 真的就是除了打击核设施以外
[04:55] 没有太大意义
[04:55] 那去年就已经打击过了
[04:57] 这一次却引发了更进一步的紧张局势
[05:00] 当然我们必须理解
[05:01] 川普做这样的一个决定
[05:03] 完全是要呼应当前的中期选举
[05:06] 要不然按照他的个性
[05:08] 早就跟他死杠了
[05:09] 我们看川普的支持度
[05:11] 在近期这一次三月份的变化
[05:13] 其实也并不是单纯伊朗战争的问题
[05:16] 因为多条战线同时都已经出事了
[05:19] 早在开战之前
[05:20] 我们看川普的民调就已经开始走落
[05:23] 中东冲突只是加速恶化的催化剂
[05:26] 一方面呢
[05:27] 他试图推动降低生活成本来强化经济议题
[05:30] 但战争导致油价的飙升
[05:32] 通膨压力的升高就直接抵消了他的政策效果
[05:35] 那另外一方面
[05:36] 他频繁的从内政跳到外交
[05:39] 比如说一开始是移民执法
[05:41] 然后到关税政策到军事行动
[05:43] 让整体施政显得高度的不确定性
[05:46] 连白宫内部的节奏都被打乱了
[05:48] 更大的问题来自于制度层面的反制
[05:51] 我们知道在过去两个月
[05:52] 美国法院已经采取了多次的政策刹车
[05:55] 包括限制动用公民兵和移民执法手段
[05:59] 最高法院也否决了
[06:00] 他对于出身公民权的重新诠释
[06:03] 加上先前已经挡下的关税措施
[06:05] 目前让他在去年采取的高强度政策
[06:09] 开始接连受挫
[06:10] 同时间支持结构也在陆续的松动
[06:13] 现在整体不支持率已经来到57%
[06:16] 支持率大概是39%
[06:18] 如果我们把整体美国国会
[06:20] 也就是这一次终极选举的重点
[06:22] 拿来做更进一步留意
[06:23] 会发现几乎对于共和党来说
[06:26] 去年下半年开始
[06:28] 这个下滑幅度就特别快了
[06:30] 民主党的蓝线
[06:31] 大概就维持大概在-10到-15
[06:34] 然后缓步的一个下滑区间
[06:36] 但是在2026年
[06:38] 开始做一个比较显著的拉伸
[06:40] 但是共和党的部分
[06:41] 虽然在25年跟着民主党一起下滑
[06:43] 大家其实对于两党都有点厌恶
[06:45] 可是就目前来看
[06:47] 这个共和党相对于民主党
[06:49] 更被不信任一点
[06:51] 有这样的一个感觉
[06:52] 所以大家可以了解说
[06:53] 美国民众这几年对于政治的看法
[06:56] 就是这两个党都不是特别好
[06:59] 一个搞了当年的高通棚
[07:01] 然后非法移民又一堆
[07:02] 终于换了一个川普
[07:04] 好像有希望
[07:06] 结果来了一个炸弹
[07:07] 而且弄巧成拙
[07:08] 本来要让美国再度伟大的
[07:10] 现在伊朗快要拿到油料费
[07:12] 快要拿到过路费
[07:14] 还要快拿到主权
[07:15] 会不会最后让伊朗再次伟大
[07:17] 那美国再次伟大该怎么做呢
[07:19] 如果我们仔细观察
[07:20] 从皮尤的民调
[07:21] 可以更清楚的了解
[07:23] 美国这场战争
[07:24] 在内部的正当性的问题
[07:26] 有61%的美国民众
[07:29] 是不满意美国总统川普
[07:31] 处理伊朗冲突的方式
[07:33] 44%是强烈反对
[07:35] 这也不是单纯
[07:36] 我们讲说很温和的分歧
[07:38] 它就是那种很标准的
[07:39] 情绪上的反弹
[07:40] 这个是二次世界大战以来
[07:43] 美国内部在短期单月民调当中
[07:46] 针对当前反战局势
[07:48] 最为来得显著的
[07:49] 那当然
[07:50] 有没有比越战来得更为显著
[07:52] 我们要花更长时间来做民调统计
[07:54] 不过至少看得出来
[07:56] 大家看起来对于这场战事
[07:57] 所希望达成的目的
[07:58] 个人是偏向
[08:01] 觉得没有什么太大意义
[08:02] 不确定为什么要在这个时机点来发动
[08:04] 为什么不晚几个季度呢
[08:06] 所以很明显
[08:07] 是川普原本以为
[08:09] 可以借由这场军事行动
[08:10] 取得类似委内瑞拉的成果委内瑞拉当时对于川普的民调是有适度的拉抬作用的可是这一次一不小心进入了泥沼川普可能心里也在想我打伊朗的时候我感到开心
[08:22] 当我打伊朗的时候
[08:24] 美国民众反而不开心
[08:25] 美国民众不开心
[08:27] 那我好像也不开心
[08:28] 那我不开心
[08:29] 我又想打伊朗
[08:29] 逻辑跳不出去
[08:31] 所以其实是信念
[08:32] 也就是川普对于这个世界核心问题的看法
[08:35] 看起来已经跟民意逐步的脱钩
[08:38] 但是我们也要继续观察
[08:40] 因为从民调角度来看的话
[08:42] 必须用同整性民调来做思维
[08:44] 比如说偏左的CNN
[08:46] 它的整体不满意相对于满意度
[08:49] 已经拉升幅度差距来到29%以上
[08:52] IPSO的民调大概是26%
[08:54] 路透也20%以上了
[08:56] 那经济学人大概是23%
[08:59] 我们讲的都是不满意程度
[09:00] 相对于满意程度的拉升占比
[09:02] 所以这个落差已经不是什么
[09:04] 1% 5%当中很焦灼
[09:06] 大概都已经来到20%以上
[09:09] 那即便我们看到偏右的民调
[09:11] 像FOX或者Daily Mail
[09:14] 大概也是来到8到18%
[09:16] 所以这件事情也就意味着
[09:18] 不管是左还是右
[09:19] 不管是哪一边在带风向
[09:21] 有不同的方法
[09:22] 有不同立场的民调
[09:23] 但同时都指出一个方向
[09:25] 趋势至少看得出来
[09:27] 共和党是呈现结构性转弱的
[09:29] 结论就是川普把伊朗给炸了
[09:32] 但伊朗也把川普的中期选举给炸了
[09:35] 所以我们看到上礼拜
[09:37] 那个No Kings
[09:38] 无王抗议活动
[09:40] 这一次人数其实也不少
[09:42] 3000个活动同时展开
[09:44] 预估有上千万人
[09:46] 那其实这一次也陆续扩散到
[09:48] 共和党州和乡村地区
[09:50] 那我们要观察
[09:51] 这一次市场压力最大的
[09:53] 对于这些红脖子来看
[09:54] 你说战争的问题
[09:56] 红脖子也没什么感觉
[09:58] 移民问题
[09:59] 这个也很支持川普
[10:00] 但油价上升会不会打破这些红脖子
[10:04] 对于川普的支持就不一定
[10:06] 我们看目前原油价格
[10:08] 整体每家轮对于市场来看
[10:11] 大概已经平均均价来到4.02块
[10:13] 那加州地区
[10:14] 5块6块都经常看到了
[10:16] 油价其实还比22年稍微低一些
[10:19] 当时22年每家轮大概是5块左右
[10:22] 更重要的是心理情绪的外溢效果
[10:25] 就油价它是少数那种
[10:26] 你每周都会看到
[10:28] 而且高度可见的价格
[10:30] 比如说你记忆体价格暴涨
[10:32] 那你觉得民众会有感觉吗
[10:34] 其实还好对不对
[10:36] 没有传导到民间之前
[10:37] 手机涨价也还好
[10:39] 因为手机好几年才换一次
[10:41] 所以记忆体涨价
[10:42] 对于中期选举会不会有极大压力
[10:44] 不会
[10:44] 可是汽油价格涨价就不一样了
[10:47] 因为每周都看得到
[10:48] 而且高度可见
[10:49] 一旦突破4美元这种关卡
[10:51] 它就会直接影响到消费者信心
[10:53] 甚至改变消费行为
[10:55] 研究显示
[10:55] 当油价快速上涨时
[10:57] 民众会不自觉地缩减其他支出
[11:00] 比如说延后买车
[11:01] 或者降低非必须消费
[11:03] 这件事情本身就引起心理情绪传导
[11:06] 举例来说
[11:07] 我们看到短期的波动度
[11:08] 会让市场上有一个惯性
[11:10] 即便其实汽油价格
[11:12] 来到三到四美元每加仑
[11:15] 从总体消费占比的下滑
[11:17] 比较起来看的话
[11:18] 价格是变贵
[11:19] 可是这几年
[11:20] 美国经济长期以来
[11:22] 也是越来越好
[11:22] 其实能源的消费占比
[11:24] 其实是越来越不高的
[11:25] 可是情绪一样会被放大
[11:27] 所以第一个问题就是
[11:28] 油价的短期波动度放太大了
[11:30] 第二个就是民间的痛感温度
[11:33] 比官方数据来得更为显著
[11:35] 你可以观察到
[11:36] 张图表是在Google上去搜寻汽油价格的数量
[11:40] 你发现已经回到2004 2005年的标准了
[11:44] 当时是标准的原物料周期
[11:45] 现在搜寻汽油价格的搜寻量
[11:49] 居然比2022年乌二战事还要来得高
[11:52] 你就知道美国民众都在看什么
[11:53] 另外看一个指标
[11:55] 张图表是MPG就Miles Per Gallon
[11:59] 每家轮的英里数
[12:00] 你会发现好像是在进步
[12:02] 就美国的汽车的燃油效率
[12:04] 1990年代一路上升到现在
[12:06] 可是你会发现
[12:07] 提升幅度其实非常缓慢的
[12:09] 这是说明
[12:10] 虽然技术进步是有的
[12:12] 但是被车型结构给抵消了
[12:14] 因为现在美国人跟台湾人一样
[12:16] 越来越喜欢开SUV或者皮卡
[12:18] 让平均油耗难以大幅改善
[12:21] 这代表着虽然效能是越来越好了
[12:24] 可是美国经济对于能源结构性依赖
[12:27] 并没有真正的下滑
[12:28] 一旦油价的冲击出现之后
[12:30] 传导速度还是会特别快的
[12:32] 所以这是观察到第一个方向
[12:34] 也就是川普内部民意的压力
[12:36] 导致他在战事的看法
[12:38] 出现结构性的转变
[12:39] 那当然这也说明着
[12:41] 一旦战事结束以后
[12:42] 第一个当然先报复一下欧洲
[12:44] 这也是给点不要脸
[12:45] 第二大方面
[12:46] 马上要采取进一步的内政刺激政策
[12:48] 我们过去讲过川普
[12:49] 在今年度的三大政策轮廓
[12:51] 三低一高
[12:53] 低利率
[12:54] 低税率
[12:55] 低管制
[12:56] 低利率这通膨一定要下来
[12:58] 低税率
[12:59] 那就看四月份缴税季即将到来了
[13:01] 民众有没有有感
[13:03] 低管制
[13:04] 看能不能接下几个月进一步的放松
[13:06] 不过已经收到法院的意志了
[13:08] 最后是高关税
[13:09] 高关税的问题
[13:10] 目前也是一个极为棘手的难题
[13:13] 为什么呢
[13:14] 我们知道川普对于过去一年的关税战
[13:17] 的确成功的把中国在美国进口占比
[13:20] 从18年的20%以上
[13:21] 已经大幅下滑到只剩下9%了
[13:25] 所以川普的关税战有没有达到去中的话
[13:27] 答案是有的
[13:28] 可是问题在于
[13:30] 整体的结果目标和政策方向
[13:33] 出现了比较大的一个落差
[13:34] 虽然对于中国的贸易逆差缩小了
[13:36] 可是美国的整体商品的贸易逆差
[13:38] 反而扩大到1.24兆
[13:40] 你取得了去中化
[13:42] 可是进口只是从中国转向
[13:44] 墨西哥、越南和台湾
[13:46] 最后造成美国仍然正在严重的贸易逆差
[13:50] 我们举例来说
[13:51] 美国从中国进口下滑以后
[13:53] 这一次不管是游戏主机、笔电、手机
[13:56] 来自中国的进口明显减少
[13:58] 可是来自其他地区
[14:00] 则是出现显著性的暴增
[14:02] 尤其像台湾目前出口的自通讯产品
[14:05] 基本上已经完全成为美国最大的一个进口
[14:10] 应该讲说前三名的进口国
[14:12] 也成为征服最大的一个进口型经济体
[14:15] 我们举例来说
[14:16] 张图表示美国的进口结构
[14:18] 中国很明显
[14:19] 过去一年减少了13010亿
[14:22] 把其他国家加起来都不像中国减少这么多
[14:25] 结果你看增加最多的是谁
[14:27] 就是台湾增加了852亿
[14:30] 这种高强度的增长
[14:32] 其实也就意味着
[14:33] 美国打了本场关税战
[14:36] 它止住了中国
[14:37] 但是它让自己的贸易逆差问题
[14:39] 来得更为严重的
[14:40] 如果我是民主党人
[14:41] 我肯定每天拿这个数据问他
[14:43] 拿实证数据
[14:44] 你不说关税战
[14:46] 你想要帮助美国
[14:47] 能够卖更多货出去吗
[14:48] 怎么会台湾人越赚越多了
[14:50] 墨西哥人越赚越多了
[14:52] 越南人越赚越多了
[14:53] 打了一整年的关税战
[14:54] 我们的贸易逆差
[14:55] 看起来还在扩大
[14:56] 所以现在的经济
[14:58] 也是卡在一个
[14:58] 相当微妙的位置
[15:00] 也不差
[15:01] 但是也很脆弱
[15:02] 表面上呢
[15:04] 当前的AI行情
[15:06] 的确让市场的消费
[15:07] 仍然有十足的支撑
[15:09] 体量以及投资仍然在扩大
[15:11] 可是呢
[15:12] 第一政策的不确定性
[15:13] 仍然存在
[15:14] 这也是川普在短期内
[15:16] 希望能够尽快消除的
[15:17] 让地缘政策不确定性指数
[15:19] 至少回到25年年初的水准
[15:22] 他刚接任的时候
[15:23] 要不然从4月份关税战以后
[15:25] 地缘政策的不确定性
[15:27] 一直都维持在相对高位
[15:29] 经济政策不确定性也是如此
[15:31] 所以从更深层的风险来做观察
[15:33] 这一场中东战事
[15:35] 看起来是逐步走向尾声了
[15:36] 可是我们也来自金融和AI的结构性问题
[15:39] 也是我们接下来要探讨的
[15:41] 就是一方面
[15:41] 规模高达数兆美元的私募信贷
[15:44] 开始出现压力
[15:45] 那这个时候
[15:46] 三月份过去了
[15:47] 现在转头空
[15:48] 四月份美股重新从零开始计算
[15:51] 那这个时候
[15:51] AI的估值
[15:53] 去估值压力消除了吗
[15:55] 再来呢
[15:55] 资本先行
[15:56] 营收落后的泡沫迹象
[15:58] 会不会导致部分个股科技巨头借不到钱
[16:02] 而被迫开始进行个股的单一卖压
[16:05] 这个值得大家来多多一些留意
[16:06] 我们看一下美股市市大指数表现
[16:08] 道琼上涨224.0.48%
[16:11] 刷46565点
[16:13] 标普上涨46点
[16:15] 0.72%
[16:16] 刷6575点
[16:18] 纳指上涨250点
[16:19] 1.16%
[16:20] 刷21840点
[16:22] 费办上涨214点
[16:24] 2.82%
[16:25] 刷在7802点
[16:27] 也是一两天就全部给占回来了台北股市的部分昨天更亮丽创台股第二大涨点涨了1451点涨了4.58%收在33174点
[16:41] 距离月线就
[16:42] 咫尺之遥
[16:44] 这个线形就很漂亮
[16:46] 这叫一红吃三黑
[16:48] 一根就把三天的叠幅
[16:50] 全部给吃掉了
[16:51] 季线守住了
[16:52] 现在要开始攻月线了
[16:54] 这种行情
[16:55] 我们也必须承认
[16:56] 跌三天一天涨回来
[16:59] 这种行情你不敢接
[17:01] 你现在手上也不会有货
[17:02] 下跌时没有小麦的人
[17:04] 上涨时也不会有小麦
[17:06] 每年都有人在愚人节告白
[17:10] 情人节不敢告白的人
[17:12] 愚人节人家也不相信
[17:14] 情人节表白人家不听
[17:16] 愚人节表白人家不信
[17:18] 清明节表白人家不应
[17:20] 你如果在下跌过程当中
[17:24] 无法接到
[17:24] 对于长期投资人来说
[17:26] 你要等待趋势确认
[17:27] 其实都是有点难度的
[17:29] 这个就是从周期投资角度而言的压力
[17:32] 人家不回应
[17:33] 不是人家不硬
[17:34] 好那我们就往下看
[17:35] 这一次记忆体是否能够止稳呢
[17:39] 毕竟记忆体是本波
[17:40] 在中东战事之前的主流行情
[17:43] 我们从美光来看
[17:44] 昨天是暴涨了8.8%
[17:46] 美股收在367块
[17:48] 那现在市场上重新针对美光
[17:51] 着手超大型的规模资料中心的商谈
[17:54] 来做进一步的长约的基本面预估
[17:57] 预估接下来很有可能
[17:59] 透过基本出货量的锁定
[18:02] 可能会直接取得预付款
[18:04] 按照市场的强性价格调整
[18:06] 有机会已经撑住今年
[18:08] 美光下半年的利润水准了
[18:10] 所以基本面已经受到非常十足的支持
[18:12] 美光好处就是
[18:13] 3月份最后一天涨回来
[18:16] 打了一根超强下影线
[18:18] 所以在这样的一个效果底下
[18:20] 记忆体过去的确行情波动也很大
[18:22] 那本来记忆体很多杀到变海绵体
[18:25] 当你觉得软到不行
[18:26] 它又硬起来
[18:28] 现在行情就这样
[18:30] 因为我们昨天提到
[18:31] 清明节跟复活节同一天
[18:33] 现在行情就是跟记忆体一样
[18:35] 死了又活过来
[18:37] 跟清明节和复活节一样
[18:39] 这种盘就是让你死去活来
[18:42] 一开始是三女玉来
[18:43] 后来死去活来
[18:45] 原来是匹吉太来
[18:47] 是这样子吗
[18:47] 我们还是要看一下川普的说法
[18:49] 不过我们看到
[18:50] 最近大家比较关注的是
[18:51] 可是最近的现货价格
[18:53] 似乎还在松动
[18:54] 大家知道最近
[18:55] 很多华强北做记忆体的商人
[18:57] 我们知道在大陆地区
[18:59] 现在DDR5
[19:02] 有的叠价叠了两成七
[19:04] 美国部分通路也叠了15%
[19:06] 当然是中国市场
[19:07] 华强北的部分
[19:08] 叠幅特别重
[19:09] 我们要怎么理解
[19:11] 这种现货价格的有感叠价出现
[19:13] 但是现在的股价又开始往上涨
[19:15] 那是什么意思呢
[19:16] 其实我们必须了解
[19:18] 很多华强北在做记忆体的商人
[19:20] 其实不是单纯的在做买卖
[19:22] 前两天我跟洪文哥聊了一下
[19:24] 就是说现在其实很多
[19:25] 在大陆的商人
[19:26] 他是现货期货股价三条线
[19:29] 一边在市场上囤DDR5
[19:31] 一边在期货或者相关标的去做多
[19:34] 甚至连记忆体的股票也一起压
[19:36] 那这种操作本质上就是
[19:38] 放大上行杠杆
[19:39] 你知道价格继续涨
[19:40] 三边同时赚
[19:42] 资产膨胀速度就很快
[19:43] 那这个时候他就可以做一些套利了
[19:45] 就是如果股价回跌了
[19:46] 可是现货价格还没跌
[19:48] 那现货价格就成为他的主要出货对象
[19:50] 所以不管怎么讲
[19:51] 中间都有点套利空间
[19:53] 所以他也并不是到最后变成单纯的
[19:56] 多挖或者空挖了
[19:58] 而是做记忆体
[19:59] 记忆卡的套利挖
[20:01] 俗称记忆卡挖
[20:04] 所以问题来了
[20:06] 那当股价先回挡的时候
[20:08] 市场情绪转落
[20:09] 这些人他第一时间不会认输
[20:11] 为什么手上有货
[20:13] 那个货是真的货
[20:14] 是现货
[20:15] 是真的记忆卡
[20:16] 于是反而会用现货当做底气
[20:19] 开始在期货后的股票端来补仓
[20:21] 把账面亏损给摊平
[20:24] 甚至加码拉低成本
[20:25] 这就变成了一个很典型的循环
[20:27] 价格跌要补仓
[20:29] 补仓要撑住市场
[20:30] 等待下一波
[20:31] 短期内好像看起来是跌价
[20:33] 本质上就变成杠杆资金
[20:35] 在重新洗牌了
[20:36] 要不然从合约价
[20:37] 你能拿一下有松动的感觉
[20:39] 一点都没有
[20:40] 所以这个就是我们观察到的失智迹象
[20:43] 好那涨很好
[20:44] 跌了就加仓
[20:45] 市场上就有这种
[20:46] 针对战事的这种外部性冲突的预判
[20:50] 当然现在唯一的问题是什么
[20:51] 现在唯一问题是没买够怎么办
[20:53] 我们根据七巨头
[20:55] 目前的估值削减幅度
[20:57] 其实已经不小了
[20:58] 因为从这一次的股价回调幅度
[21:01] 大概是一路打到去年9月份以前
[21:04] 那等同于是把整个AI永动机
[21:06] 重新洗过一轮
[21:07] 我们看到美股的七熊
[21:10] Megadethus 7
[21:11] 这一次基本面
[21:12] 其实根本没有出现任何变化
[21:14] 它只是资金面出现了重大改变
[21:17] 当然了
[21:17] 股价跌久了
[21:18] 它也被迫要削减资本支出
[21:20] 这是从市值体量角度来看
[21:22] 但目前呢
[21:22] 主要是股价回跌
[21:24] 回调一定幅度以后
[21:26] 本益比做了比较惊人的下求
[21:28] 我们举例来说
[21:28] 辉达本益比
[21:29] 已经从2022年当时高点的70倍
[21:32] 现在大概下滑到18.7倍左右
[21:35] 这个水准
[21:36] 差不多是18 19年的水准了
[21:38] 那已经比去年关税战还来的低了
[21:41] 所以我们过去一直在不断跟投资朋友分享
[21:43] 技术操作
[21:44] 大家有不同的逻辑
[21:45] 可是从基本面操作而言
[21:47] 你如果相信AI仍然是趋势的话
[21:50] 那么挥达目前的水位
[21:52] 它的便宜程度
[21:53] 其实是比关税战便宜的
[21:55] 你如果敢在关税战买股票
[21:57] 那你应该就会有这样的一个思维
[21:59] 套用到现在
[22:00] 这是给投资朋友做的第一层接近
[22:01] 那第二层接近是
[22:03] 那难道AI就没有任何风险了吗
[22:05] 估值回调完了
[22:05] 没有
[22:06] 我们必须回到二月份的状态
[22:08] 来重新思考
[22:09] AI现在命的挑战是什么呢
[22:11] 其实就是缺钱
[22:12] 科技巨头已经从印钞机变成了借钱机
[22:16] 我们知道这些企业多半依靠的是
[22:18] 自身庞大的现金流来扩大
[22:20] 可是时间线拉到第二年的AI年
[22:23] 第三年为了建资料中心
[22:25] 买晶片抢人才
[22:27] 现在都开始大量举债
[22:28] 亚马逊最近在欧洲和美国发行了大规模的债券
[22:32] 整体科技巨头今年的AI资本支出
[22:34] 已经高达7000亿美元
[22:36] 资金面已经全部投入到算力
[22:38] 这就代表着第一要开始借钱了
[22:41] 这个借钱不是单纯的融资
[22:43] 而是进一步的IPO
[22:44] 对于散户的借款
[22:45] 还有私募基金
[22:46] 必须要提供一定程度的资金流
[22:48] 那第二大层面
[22:50] 是我们观察到
[22:51] 这种缺钱潮
[22:52] 就会导致必须要进一步的压成本
[22:54] 所以我们待会会提到
[22:55] 这甲骨文到目前为止
[22:57] 借由财源计划
[22:59] 股价开始上涨了
[23:00] 那花钱股价不涨
[23:02] 开始省钱股价开始涨了
[23:04] 这个AI的逻辑就有一点奇怪了
[23:06] 我们看OpenAI的部分
[23:07] OpenAI这一次
[23:08] 是直接把募资规模拉到史无前例
[23:11] 它总金额也拉到1220亿
[23:13] 公司估值上升到8520亿
[23:16] 更关键的是
[23:17] 它引入了一般散户资金
[23:19] 之前都是跟这些巨头
[23:21] 或者私募基金来借款
[23:23] 这一次透过银行和ARK ETF的参与
[23:27] 把过去只属于机构和创投的AI红利
[23:30] 开放给个人
[23:31] 这个是要紧张的
[23:32] 它如果是很顶尖的企业
[23:35] 它根本就不用跟散户借钱
[23:37] 他跟几个经理人聊一聊
[23:39] 钱就过来了
[23:40] 散户筹码这么混乱
[23:41] 但是他现在开始部分开放给个人投资人
[23:45] 也就意味着
[23:46] 当然公司表示说
[23:48] 他这么做是为了让更多人参与AI的成长
[23:51] 不只是用技术还能够分享到财务报酬
[23:54] 但是我们也清楚知道
[23:56] 接下来某种程度而言
[23:58] 就透露着OpenAI在本职发展上
[24:01] 所遇到的一些压力
[24:02] 我们过去跟投资朋友提过
[24:04] 你像OpenAI高估值现在面临的情况
[24:07] 让很多投行其实针对当前的IPO预期
[24:10] 下半年还是抱持着相当的疑虑的
[24:13] OpenAI刚刚完成1221的美元估值
[24:16] 应该讲说美元的募资估值冲上8000亿
[24:19] 但市集市场反而出现了有人卖没人接的迹象
[24:23] 甚至有机构想要抛6亿美元的持股
[24:25] 找不到买家
[24:26] 相反的
[24:27] 它的另外一大竞争对手Anthropic
[24:29] 它的需求几乎暴增
[24:31] 有20亿美元等待进场
[24:33] 估值也被推升到6000亿了
[24:34] 双方的估值正在快速的拉近
[24:36] 所以这个就是背后的典型估值逻辑
[24:39] 一个就是OpenAI它的用户基础很庞大
[24:42] 但它的估值已经太高了
[24:44] 企业端的进展相对就变得缓慢那Enthropic在高毛利的企业市场当中变得更加强势成长预期就来得更为清晰所以这是第一大冲突我们也知道SORA最近才退场了
[24:58] 就代表着OpenAI其实已经开始
[25:00] 尝试的去控制自己的
[25:01] 算力的预算而且与此同时
[25:04] 现在
[25:05] 作为OpenAI最大的
[25:08] 供应商甲骨文的部分
[25:10] 在昨天传出会裁员数千人
[25:12] 目的很直接把人事成本
[25:14] 转到AI基础建设
[25:15] 甲骨文人数也不少
[25:18] 有16.2万人
[25:19] 我们也知道
[25:20] 之所以采取比较大的
[25:22] 一个财务结构的转型
[25:24] 因为甲骨文的CDS
[25:25] 信用维调期
[25:27] 突破2008年了
[25:29] 2008年居然可以被突破
[25:32] 这足以说明着
[25:33] 甲骨文的公司债
[25:35] 已经快要落落到
[25:36] 全面垃圾债的水准了
[25:38] 我们要知道
[25:38] 甲骨文这种负责
[25:40] 重资产建设的公司
[25:41] 他一次给他裁个几千人
[25:44] 然后拿去做转型
[25:45] 市场上其实越来越怀疑
[25:47] 到底这场AI的投资潮
[25:49] 更像是一场云端革命
[25:51] 还是会先经历一场资金链锻炼的去杠杆
[25:54] 看起来这场AI竞赛当中
[25:57] 有些人很缺钱
[25:58] 现在唯一不缺钱的只有一个
