[00:01] 投资变化收听早晨财经速解读
[01:49] 那当然相关企业也受到进一步的拉伸
[01:51] 川普其实在上礼拜四就已经宣布
[01:54] 要针对伊朗的发电厂和能源打击
[01:56] 延后10天来到4月6号
[01:58] 不过看起来这项消息
[02:00] 对于股票市场是没有一个足底的作用
[02:03] 那就回过头来说
[02:04] 现在随着标普和纳斯达克指数
[02:06] 陆续跌破年限以后
[02:08] 第一波的买盘是否会有所支撑
[02:10] 或者说新一波的川普力多释放
[02:13] 会是否出炉
[02:15] 毕竟我们从整个三月份角度来看
[02:17] 第一通膨看起来是守不住了
[02:20] 因为再过一天三月份就要结束了
[02:22] 除非明天运用价格给它跌个五成跌个六成
[02:26] 从高点一路这样子崩盘
[02:28] 要不然呢
[02:29] 三月份的CPI看起来一定会陆续的进行传导
[02:32] 那第二呢
[02:33] 是三月份从单月份角度而言
[02:35] 基本上也应该算是关税战以来
[02:38] 股债双杀最严重的一个月
[02:40] 更为关键的是
[02:42] 过去被视为避险工具
[02:44] 基本上陆续失效
[02:45] 这一次债券因为通膨和利率预期的上升而下跌
[02:49] 黄金呢
[02:49] 在前期是涨多之后出现回调
[02:52] 现在稍微好一点做一些回涨
[02:54] 加密货币很抱歉
[02:56] 一直都不是特别好
[02:57] 连波动率策略也没办法发挥它的保护效果
[03:00] 代表的投资组合的防线全面失守
[03:03] 除非你的投资组合主要是油
[03:05] 要不然基本上在本轮的冲击底下
[03:08] 避险资产的对冲效果应该都会有蛮大压力的
[03:11] 其实我们从2010年代初期来看
[03:15] 当股市下跌时
[03:16] 债券上涨的几率大概还有70%
[03:19] 那黄金和比特币
[03:21] 大概也会有一定程度的对冲能力
[03:23] 那这几年就往下掉了
[03:25] 尤其是债券
[03:25] 从22年高强度升息以后
[03:28] 过去最稳定的避险工具
[03:29] 变成只剩下40%左右的几率
[03:32] 在股市下跌时上涨
[03:33] 就来自于现在很多冲击
[03:36] 并不来自于需求面
[03:37] 从22年以来
[03:38] 很多经济的冲击都来自于供给面
[03:41] 而供给面的减少会造成通膨的拉伸
[03:44] 进而导致利率预期拉伸
[03:46] 最后呢
[03:46] 由于我们已经脱离了
[03:48] 过去20多年来的低利率循环
[03:51] 所以导致本轮股债之间的替代效果
[03:54] 就没有想象中还要来得亮丽
[03:56] 从10年期公债殖利率来看
[03:58] 这一波原本在今年2月中旬左右
[04:01] 公债殖利率10年期也不过就3.98左右
[04:05] 其实还是有一定程度的降息预期
[04:08] 可是在短短一个月
[04:09] 所有预期重新的做定价
[04:12] 这种事情真的是无法预估
[04:14] 谁知道在228以后
[04:16] 这场空袭闹剧会拉伸这么久
[04:18] 这一次十年期公债殖利率已经来到4.45%
[04:22] 不过我们要回过头来看
[04:23] 上一次经历这种通膨预期的大升温
[04:26] 那随着地缘政治终有一天会落幕
[04:28] 到底这场危机对于中长期而言
[04:31] 它是在帮助你形成一个系统性的泡沫破灭开始
[04:35] 还是它在一个中长期而言
[04:37] 帮助股票市场有快速均值回归的条件
[04:40] 这就不一定了
[04:41] 我们根据高盛在周末释出的报告
[04:44] 市场现在最值得注意的三条主线
[04:47] 第一是能源股现在已经强到无法忽视
[04:50] 随着伊朗冲突升温
[04:51] 相关的ETF是持续的吸金
[04:54] 那么能源就成为了少数
[04:56] 一路现在持续往上的板块
[04:58] 那第二是大型科技股
[04:59] 那跌幅比整个大盘还要重非常多
[05:02] 那斯塔克指数也不是连续多周的下跌
[05:05] 它是第一季的表现都已经位到
[05:07] 相对多年来最差的位置
[05:10] 应该是关税占领来最差的一个跌幅了
[05:13] 第三虽然市场震荡很大
[05:15] 但是资金其实也没有全面退出
[05:17] 美国ETF整体资金还在持续吸金
[05:20] 代表投资人现在
[05:21] 看起来也不是完全的离场
[05:23] 是在用更分散
[05:24] 更被动的方式来撑住部位
[05:26] 那更深层一条线来看
[05:29] 其实你发现市场
[05:30] 现在卡住的位置就是
[05:31] 因为不确定性
[05:32] 管你打或不打
[05:34] 就不确定到底会怎么样
[05:36] 所以现今为王的这种预期感
[05:38] 就不断的拉伸
[05:40] 那这会造成一种情绪指标
[05:42] 是有恶化
[05:43] 可是远远没有到达失控的程度
[05:46] 按照这种连跌
[05:47] 如果你看那个乖离
[05:48] RSI KD
[05:50] 其实应该要有一点恐慌
[05:52] 可是现在除了少数情绪指标
[05:54] 有点恐慌以外
[05:55] 其实大多数我们还看到
[05:57] 并没有造成崩溃型的卖压涌现
[06:00] 我们举例来说
[06:01] 现在市场上已经连续好几周下跌了
[06:03] 大概已经快要八周了
[06:05] 标普从1970年代以来
[06:08] 连续八周下跌的次数
[06:09] 其实并不是特别多
[06:10] 通常这种情况发生的时候
[06:12] 未来一到三周搞不好还是偏浮
[06:14] 代表短期动能慢压很强
[06:16] 可是拉长到三个月通常就会转正
[06:19] 九个月报酬3.58
[06:20] 一年来到8%
[06:23] 那正报酬的几率是高达65%
[06:25] 所以就反映着
[06:26] 如果每天这样子跌
[06:27] 这种急跌也不是坏事
[06:29] 时间中就会把价格拉到基本面
[06:31] 可是VIX指数最近的上扬幅度
[06:35] 又跟前几次的恐慌情绪不太一样
[06:39] 这次VIX指数是一度突破30
[06:41] 那当然按照过往经验
[06:43] 通常这项指标来到30以上
[06:45] 一个月之后报酬是3.2
[06:47] 三个月股市报酬6.8
[06:49] 六个月9%
[06:50] 可是恐慌情绪相对于关税战
[06:53] 相对于新冠疫情
[06:55] 相对于乌二战是还是小得多
[06:57] 所以每一目前所给予的定调是
[07:00] 现在已经触发市场的卖压讯号
[07:03] 但是从整体情绪来看
[07:06] 并没有出现全面性的抛售恐慌
[07:09] 我们举例来说
[07:10] 现在从当前基金经理人的现金水位
[07:12] 还在4.3%
[07:14] 其实也不算特别高
[07:15] 股票配置还有37%偏向中性
[07:19] 更重要的是市场广度
[07:20] 大概是直到-16%
[07:22] 代表的是过去真正的大底
[07:25] 比如说COVID-19或者欧债危机
[07:27] 那个都是-70到-80
[07:29] 就是所有股票都在崩
[07:31] 但现在就比较有趣
[07:32] 现在就是油气股在涨
[07:34] 整个大盘其实没怎么跌
[07:36] 但是七巨头快跌到地狱了
[07:38] 有这样的一个感觉
[07:39] 就变成现在更像是一个修正中的市场
[07:42] 尤其是专挑10月份AI永动机
[07:45] 涨高的股票来打
[07:47] 那当然目前市场就卡在一个很尴尬的位置
[07:50] 情绪已经明显转向恐慌
[07:52] 股债同步下跌
[07:53] 避险失灵
[07:54] 可是也没有进入到全面失控的极端状态
[07:57] 从波动率资产配置到市场广度来看
[08:00] 现在都是进入压力区
[08:02] 但是并没有进入到崩溃区
[08:03] 那另外一方面
[08:04] 价格乖离已经快速扩大
[08:06] 不少资产短线跌幅和技术面的超卖压
[08:09] 基本上幅度都在快速累积
[08:12] 代表市场从原本的定价风险
[08:14] 转往释放风险的过渡
[08:16] 那简单来讲
[08:16] 现在呢
[08:17] 也不是说最安全的时候
[08:19] 但是也接近从技术型反弹
[08:21] 开始拉伸的时候
[08:22] 真正的关键
[08:23] 还是要看
[08:24] 那市场的不确定性
[08:26] 能不能在本周消除吗
[08:27] 那我们看
[08:28] 看起来不确定性还在提升
[08:30] 叶门胡赛这次出手了
[08:32] 首度向以色列来发射导弹飞弹
[08:34] 象徵原本限於美國以色列對抗伊朗的戰事開始外溢了那以色列軍方也表示成功拦截飞弹那胡塞则是公开表态这是为了要支持伊朗和真主党
[08:45] 那更关键的是
[08:46] 战略层面的外溢风险
[08:47] 胡塞呢在过去啊
[08:49] 经常去攻击红海的航道
[08:51] 如今再度介入
[08:52] 也就意味着
[08:53] 红海和曼德海峡
[08:55] 在内的全球关键航道
[08:56] 可能会受到最大干扰
[08:57] 我们要知道哦
[08:58] 这张图表示
[08:59] 当时我们聊到说
[09:01] 沙乌地阿拉伯
[09:01] 把60%的原油
[09:03] 本来在波斯湾卡住了
[09:04] 压力极大
[09:05] 结果就往西运
[09:07] 从东西管线运到红海的港口沿部
[09:10] 阿联是靠ADCO管线
[09:12] 把油绕过海峡
[09:14] 送到富查伊拉港
[09:15] 等同于把所有东线的原油
[09:18] 往西线来做运输
[09:20] 最后从叶门那边运出去
[09:22] 那现在问题来了
[09:24] 如果连湖塞都在这边闹事的话
[09:26] 那就说明了
[09:27] 两个最重要的海峡都被堵住了
[09:30] 这个是第一个不确定性
[09:32] 我们不确定
[09:32] 当然胡塞的力量相对于伊朗小得多
[09:36] 过去美国也采取了多次的军事打击
[09:38] 可是胡塞就跟你一直乱
[09:41] 这都会形成这种不确定性的持续拉伸
[09:45] 第二件事情是美方政策的不确定性
[09:48] 到底要打不打
[09:49] 没法确认
[09:50] 我们看这次中东布局已经逐步带位
[09:53] 美国一次性这次派了有接近3500名的兵力
[09:58] 进入到中东
[09:58] 包含着2500名的水师
[10:01] 海军陆战队两栖攻击舰
[10:03] 那同时间也针对伊朗持续进行大规模打击
[10:06] 那虽然双方只是现在有停火协议
[10:10] 可是停火只限于能源设施的攻击
[10:13] 其他军事基地依然会遭受到持续性的打击
[10:16] 那阿联现在重要的旅场遭到无人机攻击以后
[10:20] 中东金属供应链也受到干扰
[10:22] 在这样效果底下
[10:23] 等同于整个油价的拉升幅度
[10:26] 虽然还没有破高
[10:27] 可是市场上这股不确定性
[10:30] 总会有一股对于风险制裁的麦芽持续涌现
[10:35] 全球贸易现在我们也知道
[10:37] 基本上就依赖少数几个关键的航道
[10:39] 比如说荷姆斯海峡
[10:40] 马六甲和巴拿马运河等等
[10:43] 一旦其中一个受阻
[10:44] 都可能会牵动能源
[10:46] 更何况是两个
[10:47] 其实我们把全球贸易的命门拿来做比较
[10:51] 你会发现其实真正影响最大的
[10:53] 并不是贸易量的多或寡
[10:56] 是那些无法替代的关键航道
[10:58] 荷姆兹海峡就真的没有任何替代的航线
[11:01] 一旦封锁等于切断能源动脉
[11:03] 苏伊士巴布曼海峡和巴马运河
[11:07] 一旦出问题
[11:07] 运输距离就要增加6000到8000公里
[11:10] 成本就会瞬间放大
[11:12] 马六甲和南海的部分
[11:14] 是亚洲供应链的核心节点
[11:15] 当然它就影响到当地地区的制造和出口体系
[11:19] 所以我们看到的共通点就是
[11:21] 低替代性加上高影响力
[11:24] 这些几个点
[11:25] 都会导致市场上有进一步的恐慌情绪的放大
[11:29] 那当然伊朗目前已经陆续同意
[11:32] 包括二十几艘的巴基斯坦级的船只
[11:35] 陆续通过荷姆治海峡
[11:37] 每艘每周大概有两艘左右
[11:39] 我看今天新闻也跟中国和泰国
[11:42] 谈定了一定程度的必要的船只通过
[11:45] 现在有配额
[11:46] 有时候看起来伊朗好像想要学川普那一套
[11:50] 美国盟友的船
[11:52] 会不会以后加征百分之百购入费
[11:55] 不同意就再加100%
[11:57] 学川普
[11:58] 但能源供给的冲突
[12:00] 看起来不会结束
[12:01] 但是战争的开端
[12:03] 是否能够进一步的有效
[12:05] 抑制这种不确定性
[12:06] 值得留意
[12:07] 我们从OPEC内部
[12:08] 目前的供给能力
[12:10] 其实已经陆续正在拉开了
[12:11] 而且整体供给
[12:12] 当然看起来是收缩的
[12:13] 几乎主要的产油国
[12:15] 像沙烏地阿拉伯
[12:16] 伊拉克
[12:18] 阿联
[12:18] 伊朗和科威特
[12:20] 我们把三月份的预估产量
[12:22] 拿来跟二月份来进行比较
[12:24] 基本上就是减少多减少少
[12:26] 反而减少最少的是哪一个国家
[12:29] 是伊朗
[12:29] 伊朗看起来被破坏
[12:32] 或者说他的原油运出幅度
[12:34] 没有受到太大影响
[12:35] 我们一直讲
[12:36] 这是一个很诡谲的画面
[12:37] 所有中东国家的船都运不出去
[12:40] 但是伊朗自己的影子船
[12:42] 对运的出去
[12:43] 主要由印度中国俄罗斯来做接手
[12:47] 沙烏地阿拉伯现在还是维持
[12:49] 每天大概900万桶以上的产能
[12:51] 是唯一现在看起来
[12:53] 调节能力相当不错的供给者
[12:55] 因为他可以往西线来做运输
[12:57] 其他国家大部分的产量
[12:59] 都在300万桶以下
[13:00] 弹性就很有限
[13:01] 一旦供给出现缺口
[13:03] 市场高度依赖少数国家来填补的压力就很大了
[13:07] 比如说特别依赖卡达的
[13:09] 特别依赖阿联的
[13:11] 压力可能都会进一步的浮现
[13:13] 当然如果往下看
[13:14] 等同于现在能源通膨的传导
[13:17] 看起来是会影响到整个三月份的CPI
[13:20] 进一步影响到4月和5月
[13:22] 到时候FOMC立地决策会议的看法
[13:25] 油价每上涨10块
[13:26] 大概会推高整体通膨0.3到0.4个百分点
[13:30] 其实看起来也还好
[13:31] 但是由于我们当时东基期70多块
[13:34] 一路涨到100多块
[13:35] 如果油价维持在100以上
[13:37] 那以开发国家的通膨
[13:38] 大概会回到4%左右
[13:40] 它不会像2022年这么严重
[13:42] 但是一定会形成
[13:44] 连总会被迫保持相对鹰派的压力
[13:46] 不一定要升息
[13:48] 那肯定向期通道就完全打消了
[13:50] 因为银行现在未必要像2022年那样升息
[13:53] 是因为现在就业市场的确表现并不是特别好
[13:56] 并没有太多大幅紧缩的空间
[13:58] 那另外一方面是不管是新市场还是已开发市场
[14:02] 经济活动在过去一段时间
[14:04] 其实都已经开始有陆续放缓的味道
[14:07] 近期稍微回升
[14:09] 但是也没有到全面扩张
[14:10] 这件事情就足以去考验联准会接下来的步调
[14:14] 我们以全球当前的通膨水准来看
[14:16] 大部分都已经进入到黄色区块或者红色区块
[14:20] 红色区块Hire就是通膨开始往上增温了
[14:23] 那么黄色区块像美国就典型的
[14:26] 目前是遇到僵固性了
[14:28] 它没有往上走
[14:29] 可是它已经卡在这边有一两个月的时间了
[14:32] 如果这次油价三月份明天跌不回来
[14:35] 三月份通膨肯定就要开始有所加速
[14:37] 那这个时候我们就要看的事情是
[14:40] 它到底是一个僵固性还是会全面的外溢
[14:42] 因为油价毕竟它只是CPI权重当中的一部分
[14:46] 我们要看的是其他资产有没有进一步的轮动
[14:49] 举例来说像氦气的部分
[14:51] 中东战士这一次已经影响到氦气的供应
[14:54] 因为氦气是天然气的副产品
[14:56] 用途极为关键
[14:57] 就是在半导体制造当中用来冷却晶圆
[15:00] 在医疗上像是MRI设备当中不可或缺的冷却介质
[15:04] 卡达现在占全球供应大概是30%到40%
[15:08] 当战士影响到生产运输之后
[15:11] 供应链就立刻收缩了
[15:13] 由于这次也发布了不可抗力通知
[15:15] 市场价格氦气也在急涨
[15:17] 第二个是农粮价格
[15:19] 我们知道中东战火已经来到29天
[15:22] 全球大概有三分之一的化肥海运已经卡住
[15:25] 肥料涨幅现在是仅次于原油涨幅的
[15:28] 我们以尿素价格来看
[15:30] 大概是50%左右
[15:32] 这也不低啊
[15:33] 氨刚才提到上涨20%
[15:36] 现货报价从每吨400多来到700美元
[15:39] 那我们要知道氮肥啊
[15:40] 比如说尿素或者氨
[15:42] 它并不像是甲肥或者磷肥
[15:45] 甲肥和磷肥它是可以延后使用的
[15:47] 那蛋肥呢
[15:49] 它是每一个季度
[15:50] 都必须要投入的基本养分
[15:52] 如果一旦缺口出现
[15:53] 就会出现产量问题
[15:55] 那就是时间差了
[15:56] 因为能源价格上涨
[15:57] 我们也知道
[15:59] CPI肯定要拉的了
[16:00] 可是你要导致终端价格上涨
[16:03] 因为能源价格上涨
[16:05] 有一段距离
[16:06] 但化肥不太一样
[16:07] 它直接影响到
[16:09] 下一个季度的种植季
[16:10] 农民只要这一个季度
[16:12] 买不到蛋肥
[16:12] 那农作物产量肯定会下滑
[16:14] 进一步推高粮食价格
[16:16] 那这种通膨就压力很大了
[16:18] 联合组会的升降期
[16:19] 就无法解决农业问题
[16:20] 也很难靠升息
[16:22] 让大家吃少一点农作物
[16:24] 很困难
[16:25] 这场战争呢
[16:26] 就会从能源冲击
[16:27] 开始外溢下去
[16:28] 所以大概要一个季度内
[16:30] 肥料价格必须要立即的回跌
[16:32] 那再来是塑化链的影响
[16:34] 我们上礼拜就有提到
[16:35] 塑化从上游的PE到PET到PTA
[16:39] 原油价格的全部上涨
[16:40] 已经带动了像包材清洁剂
[16:43] 整体报价的拉升
[16:44] 甚至现在出现了部分限购的迹象
[16:47] 那当然了
[16:48] 短期来看
[16:48] 看起来还是能够被吸收和延后的
[16:50] 不过这种东西
[16:51] 你去看中盘商或者超商
[16:55] 其实也不是特别准
[16:56] 因为他顶多告诉你缺货
[16:57] 你无法了解真实情况
[16:59] 你去菜市场买个菜就知道了
[17:01] 菜市场买塑胶袋是用量最多的
[17:04] 我每次去买个菜回来
[17:06] 莫名其妙
[17:07] 那袋子一下多了
[17:08] 十几袋
[17:09] 我也不知道为什么他都给我那么多
[17:11] 以前那个菜市场买半只鸡
[17:13] 我都會去古裝兩袋
[17:15] 這禮拜去他只給我裝一袋搞得有點不爽还有那个阿嬷以前买那个蛤蟆我们家附近有个阿嬷
[17:26] 专门卖蛤蟆的
[17:27] 他那个袋子也用得很夸张
[17:29] 常常包个蛤蟆
[17:30] 里面先包一袋
[17:31] 外面再包一袋
[17:32] 然后可能买两斤
[17:34] 他又装两袋
[17:35] 然后再装一个大袋子
[17:36] 其实他全部给我装一袋
[17:38] 他不怕露出来的
[17:40] 所以从这件事就看得出来
[17:42] 他已经陆续传导到中下游端
[17:44] 价格看起来并没有因为这样子而大涨怎么样
[17:48] 但是这种稀缺性所导致的囤货现象
[17:51] 看起来在台湾市场是有慢慢的涌现
[17:53] 我们看一下中东战争影响的
[17:55] 从肥料到现在塑化叶子
[17:58] 陆续往外扩之后
[17:59] 水资源是目前比较紧急的
[18:01] 因为水的重要性跟石油在中东角度而言
[18:06] 应该是比石油还要来得更为重要
[18:08] 那波湾国家现在采取一定程度的军事动作
[18:11] 来保护当前的海水氮化厂
[18:14] 有些国家因为超过90%的饮水
[18:17] 就来自于少数几个沿海设施
[18:20] 那伊朗并没有排除
[18:22] 不攻击这些沿海的海水淡化厂
[18:26] 所以这些国家虽然已经进行了
[18:28] 大量资金的分散
[18:29] 但是整体储备有限
[18:31] 一旦战事升温
[18:32] 水资源也可能会成为
[18:33] 接下来的攻击目标
[18:34] 这也是市场相对紧张的
[18:36] 所以这个时候我们就回过头来看
[18:38] 那就代表着整个战争的走向
[18:40] 它不一定完全取决于川普
[18:42] 是否采取地面战的意志
[18:44] 而取决于伊朗他自己希望
[18:47] 这场战事怎么结束
[18:48] 是希望收过路费
[18:49] 还是希望美方做一定程度的表态
[18:53] 还是有其他更进一步的意图
[18:56] 我们知道伊朗这几年
[18:57] 采取了抗压经济
[18:59] 这已经证明了在这一次攻击当中
[19:01] 他是撑得住战争
[19:02] 而且抵抗得住内部的民意压力
[19:05] 但是对于未来而言
[19:07] 整体伊朗的权力核心
[19:09] 遭到了显著的削弱
[19:11] 从最高领袖到国安会
[19:12] 到军事的参谋体系
[19:14] 再到革命卫队
[19:15] 再到巴斯基民兵
[19:17] 关键决策
[19:18] 像人物同时被打起
[19:20] 就代表着
[19:20] 其实他内政看起来
[19:23] 已经有非常显著的政权波动可能性
[19:25] 可是就目前来看
[19:27] 整体内生民生经济
[19:29] 表现看起来压力很大
[19:31] 可是仍然没有崩溃的迹象
[19:33] 事实上我们根据经济学人的报道
[19:35] 伊朗政府在过去一个月
[19:36] 已经采取了全面性的网络封锁
[19:39] 这已经不是过去曾经爆发那种游行的短期关闭了
[19:43] 是永久性的内网化
[19:45] 伊朗也开始见长城了
[19:47] 从政权来看
[19:49] 这一次透过直接切断国际的连线来对抗抗议和冲突
[19:54] 有点类似北韩的封闭网络系统
[19:57] 国内的部分
[19:58] 伊朗人还是可以跟伊朗人来做沟通的
[20:00] 可是已经完全隔绝了外部的咨询
[20:03] 所以这场战争就比较有趣
[20:04] 你看当时的乌鲁战士
[20:06] 那几乎每天都有很多的影像画面出来
[20:09] 可是这一次我们都只看得到外部的基地被攻击
[20:13] 伊朗内部是怎么被攻击的
[20:15] 伊朗内部的情况
[20:16] 其实数据透露出来是相当有限的
[20:19] 所以这个是我们看到
[20:20] 整体局势
[20:22] 现在取决的也不是单一决策则
[20:25] 而是变成多方博弈
[20:26] 市场现在不只看川普态度
[20:28] 还要看伊朗是否会升级报复
[20:30] 还要看胡塞武装是否会扩大攻击范围
[20:33] 每一个变数都有可能改变战争节奏
[20:35] 让整体风险变成非线性的放大
[20:38] 那当然了
[20:39] 市场并不是完全不能够接受战争
[20:43] 而是到底要打多久
[20:45] 到底时间线预估为何
[20:47] 到底条件为何
[20:49] 市场不确认
[20:50] 而不确定性形成了当前的卖压
[20:52] 当然了
[20:52] 你说股价整体跌幅
[20:54] 破年线是破年线
[20:55] 不过总体回档幅度
[20:57] 感觉从高点价值下来
[21:00] 因为大部分指数跌幅还并没有到
[21:02] 中期回调15%的程度
[21:04] 基本上
[21:05] 现行不好看
[21:06] 不过呢
[21:07] 指数投资者大多数都还撑得住
[21:09] 资产配置者也还OK
[21:10] 但是个股投资者压力就大了
[21:12] 道琼指数下跌793.1.73%
[21:15] 刷45166点
[21:17] 标普下跌108.167%
[21:19] 刷6368点
[21:20] 纳指下跌459.2.15%
[21:23] 刷2948点
[21:24] 费办下跌128.1.69%
[21:28] 刷7457点
[21:30] 费办还是表现最好看的
[21:31] 不过三大指数陆续开始破底了
[21:34] 我们以科技巨头来看
[21:35] 就知道这一波
[21:36] 真的是涨最多的开始往下杀
[21:38] Meta在上礼拜我是重挫了4%
[21:41] 连续两个交易日
[21:43] 这样子算下已经跌12%了
[21:44] 市场情绪明显转弱
[21:46] 一方面是新墨西哥州
[21:48] 当时陪审团已经裁定
[21:50] Meta没有保护儿童
[21:51] 判肥罚金3.75亿
[21:53] 洛杉矶也认定社群有成瘾的责任
[21:56] 要赔偿420万美元
[21:58] 当然了
[21:59] 这个求偿规模金额体量不是特别大
[22:02] 但是对于社交媒体股
[22:04] 产生了极大卖压
[22:05] 那更惨的是微软
[22:07] 微软现在的股价已经不是微软
[22:09] 它是超级软
[22:10] 市场趋势还在
[22:11] 但是短线已经完全失去动能了
[22:14] 超级大M头
[22:15] 那现在也完全跌破了200日移动平均线
[22:19] 那接下来就要看一下
[22:20] 那Meta如果率先跌破
[22:22] 那Meta就变成七巨头的领头羊了
[22:25] 现在持续的往下破底
[22:26] 代表的是本益比的快速修正
[22:28] 那到底要到何时
[22:30] 才会有新一波的价值买盘进场
[22:32] 那最重要的还是回答
[22:33] 因为辉达现在是造成废办
[22:35] 还撑在高位的原因
[22:37] 那辉达呢
[22:38] 现在是有一点稍微跌破
[22:39] 上一轮的平台区
[22:41] 那当然是跌破年限了
[22:43] 可是由于这阵子也盘很久了
[22:45] 所以基本上本来市场
[22:47] 上方的压力就比较大
[22:48] 那这次就要看能不能
[22:50] 即便现在跌破年限
[22:52] 也持续保持在上一轮的平台区
[22:55] 你也看得出来
[22:56] 这一轮的恐惧情绪
[22:58] 从三月下旬以来
[23:00] 就在不断的加快
[23:01] 多头都是这样子
[23:02] 慢慢涨慢慢涨
[23:03] 有时候稍微拉高一点
[23:05] AI永动金的发布
[23:07] 多头消息都这样慢慢发布
[23:09] 空头
[23:09] 突然一个礼拜可以给你100条利空新闻
[23:13] 空头讯息来就特别快
[23:15] 之前老财主林宗前交代后事
[23:19] 如果有一天家里的猪心情不好
[23:22] 你会怎么办
[23:22] 儿子说赶快修补猪圈
[23:24] 改善饮食
[23:26] 让猪知道我们家是最好的
[23:27] 老财主说你太蠢了
[23:29] 你要告诉这群猪
[23:31] 外面有狼
[23:32] 比起利多
[23:33] 让利空的恐惧传播来得更快
[23:36] 当然这个是从短期角度来看
[23:38] 中长期角度而言
[23:39] 如果你是长期投资者
[23:41] 这点小波动也还可以接受
[23:43] 我们从标普500的周线上行通道
[23:46] 从疫情以来
[23:47] 基本上就一直保持在显著的拉伸条件
[23:50] 那22年曾经做一个
[23:51] 比较长时间的季度回挡
[23:53] 那2025年也曾经
[23:55] 经历到关税战的回挡
[23:56] 那这一波的回挡幅度
[23:58] 它其实是从极高的上缘区
[24:01] 回到中间水位
[24:02] 所以我们才讲说
[24:03] 是有一点卖压
[24:04] 但是远远没有到恐慌的程度
[24:06] 反而是部分股票
[24:08] 被严重下杀的时期
[24:10] 我们以消费类股
[24:11] 拿来相对于大盘
[24:13] 已经跌到了接近历史的低档区
[24:16] 不管是COVID-19
[24:18] 还是金融海啸
[24:20] 这条曲线
[24:21] 每一次大概跌到0.08附近左右
[24:24] 基本上已经意味着市场上
[24:26] 针对未来的消费性电子预期
[24:28] 已经极度悲观了
[24:29] 我们也知道
[24:30] 当前很明显
[24:31] 是属于内部资金的轮动
[24:33] 导致了整个大盘跌幅不重
[24:35] 但是科技股却跌得稀里哗啦
[24:37] 我们以辉达来看
[24:38] 你把辉达的前瞻PE Ratio
[24:41] 拿来跟XMF居然像一模一样
[24:44] 前几年当然辉达很高
[24:46] 有时候本益比飙到40倍50倍
[24:48] 甚至当前本益比飙到100多倍
[24:50] 现在辉达本益比只剩下20倍了
[24:53] XMF也是20倍
[24:55] 也就是说辉达现在的基期
[24:57] 即便它股价很高
[24:58] 它跟XMF居然一模一样
[25:01] 那到底哪一个吸引我们
[25:03] 我觉得就不用特别解释了
[25:05] 这就代表市场只是短期内
[25:06] 把资金重新迎来防御性资产
[25:09] 但是对于科技AI股
[25:11] 目前估值已经有大幅回落的迹象
[25:14] 川普的经济支持度
[25:15] 现在已经回落到38%
[25:17] 我认为这个就是未来
[25:18] 科技股上涨的动力了
[25:20] 那它的支持度这么低
[25:21] 那对于股票市场的拉抬
[25:23] 在终极选举之前
[25:24] 势必要采取一些动作
[25:27] 要不然再跌下去也不是办法
[25:29] 台股韩股的部分就不太一样了
[25:32] 我们看美国股市跌幅是很重
[25:33] 台股都还没碰到季线了
[25:36] 所以我们要看一下
[25:36] 在今天的下杀
[25:38] 季线生命线是否会有买盘支撑
[25:40] 韩国股市是有一点头肩顶的味道了
[25:43] 不过呢
[25:44] 韩国股市涨幅过去一年是100多%
[25:47] 稍微给它回调一下也可以接受
[25:50] 整体来说我们看到
[25:51] 很多人会想说这一次
