[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 运价在食品和能源成本的同步上升底下
[02:23] 尤其在伊朗战事之后
[02:24] 原本市场预估联准会终端利率不到3%
[02:28] 现在已经拉高到接近3.85%
[02:30] 所以通膨的预期增温是一回事
[02:33] 但是市场开始已经针对利率层面进行新的定价
[02:37] 我们举例来说
[02:38] 张图表示我们看到美债值利率在上升的过程当中
[02:41] 市场已经不是单纯的做通膨预期造成利率预期变化
[02:46] 十年期公债值利率上升
[02:47] 大概是40%来自于通膨预期
[02:50] 那更多其实来自于实质利率上升
[02:53] 代表的是市场正在要求更高的真实回报
[02:56] 反映的从油价到伊朗战事
[02:59] 到资金的成本
[03:00] 到财政赤字
[03:01] AI资本支出狂潮
[03:03] 和长期的发债压力
[03:05] 同步的涌现
[03:06] 与此同时
[03:07] 在上礼拜美国最新一次的
[03:09] 30年企业公债的拍卖
[03:11] 正式出现了2007年以来
[03:14] 我们看到首次超过5%的殖利率
[03:17] 这也让市场非常的警觉
[03:18] 因为07年8月
[03:20] 当时就刚好在量化基金崩盘的起点
[03:24] 之后就一路演变成全球金融海啸
[03:26] 所以债券市场值得观察重点
[03:28] 不是因为我们投了很多债
[03:29] 这个我们长期是股票市场的拥护者
[03:32] 而是随着债券市场的崩溃
[03:34] 或者市场卖压的持续
[03:36] 它会反过来影响到股票市场的流动性
[03:39] 那这一次美国财政部拍卖
[03:41] 250亿美元的30年级公债
[03:44] 最终得标利率5.46%
[03:46] 5.046%
[03:48] 这个就远远高于4月份的4.87%
[03:51] 所以这代表市场的需求
[03:53] 看起来比想象中还要弱非常多
[03:55] 那这是否也意味着
[03:57] 市场上已经闻到
[03:58] 某种程度流动性风险的味道呢
[04:01] 我们看美银这次所提出的报告
[04:03] 市场认为正在出现一种
[04:05] 相当危险的组合
[04:06] 一个就是美债十年期
[04:07] 殖利率快速爆冲
[04:08] 另外一个就是通膨重新升温
[04:11] 那最大风险是什么
[04:12] 最大风险是股市在
[04:13] 过去一段时间仍然在创高
[04:15] 如果呢
[04:16] 现在是美债殖利率高成这样
[04:19] 那股市已经回挡了
[04:20] 那就没什么好说的嘛
[04:21] 因为美债殖利率的高升
[04:22] 本来就会重新回到
[04:24] 股票市场形成估值压制
[04:26] 可是现在是股市才刚刚创高完
[04:28] 现在才要开始进行回档
[04:30] 这如同我们过去所说的
[04:32] 殖利率高到一定程度以后
[04:34] 本来就会吸引一定的资金回流到债市
[04:37] 那也许要酝酿一阵子
[04:38] 因为有些人觉得6%的殖利率很吸引人
[04:41] 有些人搞不好觉得12%都嫌少
[04:43] 现在股市赚两成都算少了
[04:45] 可是30年级国债殖利率
[04:47] 创下离7年以来的新高
[04:49] 然后10年级国债殖利率
[04:51] 又突破了2023年到2024年
[04:53] 降息循环以来的下降趋势线
[04:56] 这些事情其实都说明着
[04:58] 市场的通膨预期
[04:59] 正在重新的改善
[05:00] 那在过去
[05:01] 那种股市在高位
[05:04] 还没有回调
[05:04] 然后30年级国债殖利率
[05:06] 又突破了多年压力的时候
[05:08] 像1989年的日本
[05:09] 1999年的网络泡沫
[05:11] 07年的中国泡沫
[05:12] 其实都是如此
[05:13] 所以公债殖利率
[05:14] 肯定不能够再往上飙
[05:16] 至少它的驱动因子
[05:18] 不能够失控
[05:19] 而现在驱动因子
[05:20] 刚才第一个讲到
[05:21] 是利率定价
[05:22] 第二个因子就是PPI
[05:24] 这次PPI已经来到6%
[05:26] CPI接近4%
[05:27] 能源价格租金和运输商品
[05:30] 全面都在上涨当中
[05:31] 如果月增幅保持在0.1
[05:34] 那未来还有机会下滑
[05:35] 可是当月增幅来到0.3
[05:38] 目前就是0.3
[05:39] 看起来这个通膨
[05:40] 有可能会持续的往上进行加成
[05:42] 不至于到2022年的失控
[05:44] 但是肯定让联准会的利率预期
[05:47] 来得更高
[05:48] 我们看在过往经验
[05:49] 根据美银报告
[05:50] 在1929年的美股狂潮
[05:52] 2000年的网络泡沫
[05:54] 还是中国或者沙烏地阿拉伯的资产泡沫
[05:57] 高点通常只比200日的均线高出35%
[06:01] 那废办呢
[06:02] 废办是62%现在
[06:04] 所以我们也并不是说
[06:06] AI不能够给它更高的泡沫
[06:08] 可是你至少要把那个债券市场
[06:10] 所造成的利空因子给它扫除
[06:12] 就是我们现在要涨这么多
[06:14] 你至少要告诉我
[06:15] 现在通膨问题没这么严重
[06:17] 联准会不太可能再升息吗
[06:19] 所以市场上
[06:20] 如果出现利率暴涨
[06:22] 而且纳斯达克指数依然暴涨的组合现象
[06:25] 在历史上其实是比较少见的
[06:27] 大部分的情况
[06:28] 只要美债殖利率还在往上升
[06:30] 科技股通常会沉压
[06:32] 就是高利率所形成的估值卖压
[06:34] 那26年的位置
[06:36] 硬要讲是有一点像99年的网络泡沫时期
[06:39] 如果是从利率位置和股市的暴涨周期
[06:43] 所以就两种角度
[06:44] 要么就股市做一些本益比回调
[06:46] 估值修正
[06:47] 要么那就是通膨因此
[06:50] 和利率定价因子
[06:51] 必须全然的产生变化
[06:53] OK
[06:53] 那如果要让股市产生
[06:55] 比较显著的资金改变
[06:57] 那肯定要从其他资产
[06:59] 造成心态上的移转
[07:01] 举例来说
[07:01] 油价得回跌吗
[07:02] 我们看高盛报告
[07:04] 美国汽油库存从4月份以来
[07:06] 每天大概是以70万桶的速度
[07:08] 快速下滑
[07:09] 目前已经跌到低于历史季节的
[07:11] 平均约5%左右的水准
[07:13] 一方面美国汽油出口暴增
[07:15] 另外一方面
[07:16] 美国国内的需求
[07:17] 其实也没有崩
[07:18] 现在汽油消费只比去年同期少20万桶
[07:21] 所以即便现在汽油价格涨那么多
[07:23] 我们好像也没有看到美国汽油市场完全崩溃
[07:26] 现在夏季的开车旺季才刚刚开始
[07:30] 那现在更麻烦的事情是另油厂反而更想要生产柴油和航空燃油因为利润更高尤其现在美国的油商很多都选择去出口了去赚亚洲国家的可以卖更贵
[07:42] 所以在这样效果底下
[07:43] 美国的油价压力
[07:44] 它是一种缓步的方式
[07:46] 逐步传导到民间
[07:48] 价格涨幅是比亚洲国家
[07:50] 很多人体感温度来得高
[07:52] 可是实质的现货价格的采购
[07:54] 其实亚洲国家政府卖的比较贵
[07:56] 大家可以懂意思
[07:57] 因为美国没有补贴机制
[08:00] 所以油价涨多少
[08:01] 它就涨多少
[08:01] 所以每家轮胎已经翻倍了
[08:03] 可是对于亚洲选民来说
[08:05] 我们买的油其实是非常贵的
[08:07] 现在如果是每公升的话
[08:10] 中油的净价大概是45到60块左右
[08:13] 就大概保持在这样的一个区间
[08:15] 可是我们开起来就是没这么贵
[08:17] 原因就来自于东亚国家
[08:20] 像日本韩国台湾
[08:21] 目前都在高强度补贴
[08:23] 美国的汽油扩存
[08:24] 大概已经比历史季节中位数低
[08:27] 大概5%左右
[08:28] 所以夏季的驾车旺季
[08:30] 开始之后压力就会开始
[08:32] 产生内部的浮现
[08:33] 那另外一方面我们讲的通膨的外溢效果
[08:36] 也慢慢开始出现了
[08:37] 面包应该要涨价了
[08:39] 美国的小麦最近也迎来半个世纪以来
[08:42] 最差的收成
[08:43] 这次美国农业部的最新报告指出
[08:46] 26年的美国小麦产量
[08:48] 已经降到1972年以来的最低水准
[08:50] 远远低于市场预期
[08:52] 那一方面当然是长期干旱的
[08:54] 勤劳
[08:54] 另外一方面美国中西部的粮藏
[08:57] 目前农作贷或者说市场上
[09:00] 在针对原油激货价格的炒作底下
[09:03] 最近我看
[09:04] 我前上礼拜还看到小麦涨停板
[09:06] 尤其是印红东麦的产区
[09:09] 遭受到严重的干旱影响
[09:11] 可能是创下1957年的最高纪录
[09:14] 所以除了气候问题以外
[09:17] 那现在中东局势
[09:18] 还有肥料的供应链问题
[09:19] 进一步压缩农业生产的空间
[09:22] 谷物价格今年平均大概是上涨17%左右
[09:25] 包括现在的黄豆油
[09:27] 小麦
[09:28] 生殖燃料农产品
[09:29] 目前都在走高
[09:30] 这是四波通膨
[09:32] 甚至我们看到一些农产品层面
[09:34] 这次从番茄价格也开始上涨了
[09:37] 我们知道像是汉堡
[09:39] 披萨
[09:39] 番茄酱
[09:40] 意大利面
[09:40] 全部都离不开番茄
[09:42] 美国的番茄价格
[09:43] 本周创下历史新高
[09:45] 已经比去年同期大涨了25%
[09:48] 这说明看起来现在是食品通膨的开端
[09:51] 一部分是川普政府去年退出美墨的番茄协议
[09:55] 对于墨西哥番茄
[09:57] 大幅课征17%的关税
[09:59] 所以番茄进口变贵了
[10:01] 那另外一方面
[10:02] 就算是美国农业
[10:03] 化肥也需要天然气
[10:04] 农机也需要柴油
[10:06] 所以食品供应链本身也是能源链
[10:08] 所以最终呢
[10:09] 在这样效果底下
[10:10] 80%到90%美国的生鲜蔬果
[10:13] 依靠卡车来运输
[10:14] 柴油价格飙升以后
[10:16] 冷链的成本
[10:17] 在4月份还没调整
[10:19] 在5月份已经正式调整了
[10:21] 所以就造成了
[10:21] 目前番茄价格居高不下
[10:24] 再来看一下贵金属
[10:25] 铜价近期是正式突破每吨1.4万美元
[10:29] 今年以来上涨幅度也不小
[10:31] 大概有13%
[10:32] 就代表着现在有AI
[10:34] 有资料中心
[10:35] 有电网升级和能源转型
[10:37] 这种算是需求型通膨
[10:39] 显著的拉动就变成了
[10:41] 不管是供给型的农产品
[10:43] 能源价格压力
[10:44] 还是需求型的铜价
[10:46] 目前看起来都在全面的上行
[10:48] 而这就导致了
[10:49] 现在市场上的压力极大
[10:51] 因为是通膨的外溢效果
[10:53] 已经真实出去
[10:54] 那在这样的前提底下
[10:56] 我们只能看伊朗战局
[10:58] 如果川习会没得解决
[11:00] 那是否就如川普所说
[11:02] 本周有可能会持续采取新一波的行动
[11:04] 尝试的让中东局势降温呢
[11:07] 当然你说采取行动怎么会降温呢
[11:09] 那就是因为不采取行动
[11:11] 就这样子在这边吧
[11:12] 那就被迫一定要采取一些行动
[11:13] 我们就拭目以待
[11:14] 可是可以看得出来
[11:15] 现在本轮的股市回调
[11:17] 就是来自于债券市场利率的显著拉升
[11:21] 跟我们过去所预估的一样
[11:22] 那接下来股票市场的主体
[11:24] 当然取决于通膨预期和利率预期的降温
[11:27] 好那回过头来看
[11:29] 川习会的确这一次真正谈的
[11:31] 也并不是新一轮的关税协议
[11:33] 它是重新建立中美的经济秩序
[11:36] 这次川普和习近平在北京峰会之后
[11:39] 双方成立了中美贸易委员会
[11:42] 和中美投资委员会
[11:43] 那表面上看起来是一般的经贸机制
[11:46] 但背后显示的是
[11:47] 中国正在从过去几年的全面对抗
[11:50] 慢慢转向某种可控的竞争
[11:53] 那双方呢
[11:54] 要斗而不破
[11:55] 尤其贸易委员会
[11:57] 未来会涉及部分产品的关税调降
[11:59] 那投资委员会
[12:00] 可能会让中国资金
[12:01] 重新有限度的进入美国市场
[12:03] 可惜这一次
[12:04] 并没有释放那种极大的力度
[12:07] 基本上本次的协议
[12:08] 就是一些飞机
[12:09] 然后一些农粮产品的采购
[12:12] 但是在具体的
[12:13] 不管是未来的科技管制
[12:15] 放松层面
[12:16] 并没有传出进一步的好消息
[12:18] 双方看起来
[12:19] 还是户拥有筹码
[12:21] 川普带的是CEO
[12:23] 习近平握有的是订单筹码
[12:25] 双方进行一些交涉
[12:26] 也没有传出一个多大的利托讯息
[12:29] 但是可以确定的事情是
[12:30] 川普在过去一段时间
[12:32] 针对中国整体利率的调降
[12:34] 和全球关税预期的调降
[12:36] 其实已经逐步发酵
[12:38] 我们看川普当时所宣布的全球关税
[12:40] 一度冲高到23%
[12:42] 创下数十年来的新高
[12:44] 可是最近慢慢慢慢的下滑
[12:46] 加上川普进行关税的赦免
[12:48] 企业开始提前囤货
[12:50] 供应链的转移
[12:51] 现在平均税率
[12:53] 大概已经降低到10%
[12:55] 未来IEPA全面取消以后
[12:57] 有机会重新回到7%到6%左右
[12:59] 那当然如果回过头说
[13:01] 到底高关税本轮是谁在负呢
[13:04] 我们一开始是有看到
[13:05] 很多外国企业是主动的承担成本
[13:08] 原因很简单
[13:09] 因为你如果不赶快承担成本
[13:12] 那很有可能物价就会上涨
[13:14] 当年期的销售就会不如预期
[13:15] 可是时间过了
[13:17] 接近有一年左右
[13:18] 现在预估2025年超过80%以上的关税成本
[13:22] 最后看起来都是由美国的进口商自己全面吸收
[13:25] 真正外国出口商承担的比例
[13:28] 看起来是非常低的
[13:29] 原因很简单
[13:30] 当美国对外加税的时候
[13:32] 海外供应商未必要降价让利
[13:34] 尤其当商品具有不可替代性的时候
[13:36] 美国企业最后代理商只好自己吞下成本了
[13:40] 这就导致了一个现象
[13:41] 就美国的贸易利差
[13:43] 的确看起来这一段时间缩窄很多
[13:46] 可是主要还是由前阵子的
[13:48] 大幅囤货所造成的比例子扩大
[13:50] 而现在随着台湾韩国
[13:53] 对美国的贸易顺差再度的加强
[13:55] 美国的贸易逆差压力就开始来得更大
[13:58] 所以川习会这次
[13:59] 很多人把焦点放在关税
[14:01] 晶片稀土或者台湾谈判
[14:03] 但真正的核心问题
[14:05] 现实就是美中竞争
[14:07] 其实并没有真正的降温
[14:08] 而是在各大领域全面的升级
[14:11] 双方的会晤
[14:12] 这是确保不要引起进一步的
[14:15] 地缘政治上的战争行为
[14:17] 那在不引起直接性的战争冲突底下
[14:20] 我们双方在自己的科技领域
[14:22] 来开始互相的竞争
[14:25] 这个感觉就是全球经济权力的一种奠定步调
[14:28] 我们叫做斗而不破
[14:31] 在可控的情况底下持续性的竞争
[14:34] 那也的确我们看到在过去几年
[14:36] 全球经济版图已经有悄悄的大洗牌
[14:38] 美国现在还是全球最大的经济体
[14:40] 26年的GDP预估是32.4兆
[14:43] 中国也正式突破20兆美元的门槛
[14:45] 那其他变化比较大的
[14:47] 基本上就是印度
[14:48] 俄罗斯或者墨西哥这些新兴国家
[14:51] 印度10年GDP暴增83%
[14:53] 几乎快要追上日本和德国
[14:55] 当然如果是从人均GDP体量来看
[14:58] 台韩反而占到了本轮的位阶中心
[15:01] 那回过头说
[15:03] 这次川习会表面上的气氛看起来不差
[15:06] 习近平不但安排高规格接待还送川普的玫瑰花种子象征中美关系能够延续但真正重要的事情就是的确这场回探看起来没有出现那种非常惊人的重大突破
[15:19] 我本来一直在想说
[15:21] 美中会后会不会有一个联合声明
[15:23] 也没有
[15:24] 没有大型贸易协议
[15:26] 没有关税的新安排
[15:27] 也没有为台湾问题来降温
[15:29] 最重要的事情是
[15:30] 我们最关注的是伊朗问题
[15:31] 双方看起来好像也没辙
[15:34] 所以这件事情
[15:35] 我们看起来到了一个新台阶以后
[15:38] 双方的竞争应该就会持续
[15:40] 尤其在这一次的访中过程当中
[15:44] 我们看到美国内部的民调
[15:45] 有一个重大转向
[15:46] 这个转向就是
[15:47] 因为范氏通常不能跟川普一起出行
[15:51] 因为你要有一个人雇白宫
[15:54] 假设川普出了意外
[15:55] 范氏能够马上接上
[15:57] 但是范氏在最近的民调
[15:58] 看起来是有开始陆续的松动
[16:00] 反而共和党内部
[16:02] 在短期内开始持续的压住
[16:05] 川普之后的接班人
[16:07] 有可能是由卢比欧来接任
[16:09] 无论是民调还是党内绅士
[16:11] 我们看到从Polimarket赌盘
[16:12] 正在快速的扬升
[16:14] 卢比欧这一次
[16:15] 之前是替代那个
[16:17] 正在修产价的白宫发言人
[16:19] 他主持记者会
[16:20] 针对伊朗问题
[16:21] 针对外交议题
[16:22] 都展现得相当成熟
[16:24] 他对于中国又是标准的鹰派
[16:26] 结果市场上媒体
[16:29] 至少对他的评价看起来是蛮高的
[16:31] 目前的民调
[16:32] 还没有完全跟范斯形成黄金交叉
[16:35] 不过已经陆续快要追上范斯了
[16:37] 那值得注意的事情是
[16:38] 川普本人也始终没有正式指定范斯为接班人
[16:42] 代表的是
[16:43] 因为川普以前很喜欢公开去清点赢家
[16:46] 但他现在面对媒体询问的时候都说
[16:48] 2028年还太早了
[16:49] 还有很多优秀的人选
[16:50] 那大家就会开始思考
[16:52] 因为范斯他代表的是更纯粹的MAGA路线
[16:55] 那卢比欧展现的是一种更为成熟
[16:58] 更传统建制派
[16:59] 尤其对中英派这样的一个思维
[17:02] 又能够跟川普合作的形象
[17:04] 事实上我们这一次有看到
[17:05] 因为卢比奥在20年
[17:08] 当时因为对香港事务的发言
[17:10] 中国当时就已经制裁他了
[17:13] 让他没办法进到中国
[17:14] 这一次后来他进到中国
[17:16] 大家想说是什么原因
[17:17] 后来不是把他的名字
[17:19] 从卢比奥改成卢比奥
[17:22] 本来他是卢三的卢
[17:24] 把他的名字改成卢班的卢之后
[17:27] 就能够得以巧妙地
[17:29] 渡过改名的问题
[17:31] 然后让他规避制裁
[17:32] 得以入境
[17:33] 所以这很有趣
[17:35] 就讲说多年以后一定会有人会问
[17:38] 就两岸之间本来称呼不同
[17:40] 这都可以理解
[17:41] 一个叫川普一个叫特朗普
[17:43] 那一定会有人问
[17:44] 说中国在2026年的5月份以前
[17:49] 都称他叫做卢比欧
[17:52] 那为什么后来变成卢比欧
[17:55] 一个是卢山
[17:56] 一个是卢洛范的卢
[17:57] 你会发现如果你有看我们节目
[17:59] 你就会发现经过这段历史的人
[18:02] 他就答得出来
[18:03] 这是因为某种原因
[18:04] 为了规避制裁导致的结果
[18:06] 网络上听说有流传
[18:07] 他说卢比欧
[18:09] 从小就跟养父姓卢
[18:11] 实则其生父姓鲁
[18:13] 是山东籍人士
[18:15] 也是鲁班的后人
[18:17] 所以又叫做公输比欧
[18:18] 所以我们看
[18:20] 很多时候
[18:21] 这种一连串的因缘巧合
[18:23] 就让我们看到历史的有序性
[18:25] 很多历史事件都这样子
[18:27] 看起来像小事件
[18:28] 我觉得他是很有机会
[18:29] 当上下一任美国总统的
[18:30] 但多年后你回过头看
[18:32] 往往就变成了
[18:33] 时代气氛的重要线索
[18:35] 未来一定会有人问
[18:36] 为什么以前他叫卢比欧
[18:38] 后来变成卢比欧
[18:39] 如果没有经历过
[18:40] 这种美中对抗的升温
[18:42] 制裁彼此的官员
[18:43] 很多人可能根本就看不懂
[18:45] 背后的逻辑
[18:46] 所以我们讲说
[18:47] 一个国家的竞争
[18:49] 从政治到法律到外交到语言
[18:52] 它如何开始互相渗透
[18:53] 很多历史的荒谬感
[18:55] 它就是这样子留下来的
[18:56] 很多历史的事件
[18:58] 其实你回过头看
[18:59] 往往会变成理解时代的重要线索
[19:02] 我最近才看到说麻将怎么来的
[19:05] 有一种说法
[19:06] 说麻将的起源是渔民发明的
[19:09] 什么意思呢
[19:10] 渔民捕鱼
[19:11] 要捕什么
[19:12] 捕一条两条三条四条五条六条七条八条九条
[19:16] 捕上来的鱼装哪里
[19:18] 一桶两桶三桶
[19:19] 卖出去赚多少钱
[19:21] 一万两万三万
[19:22] 还有渔民最关注什么
[19:24] 风
[19:25] 所以麻将里面就有东风西风南风北风
[19:28] 那还有三张牌
[19:30] 我们看白板是啥
[19:32] 白板就是传反
[19:34] 红中就是那个伪感
[19:36] 那愚民求什么
[19:37] 求发财
[19:38] 你会说那跟愚民没关系
[19:40] 但很多历史的荒谬感
[19:42] 就是这样子留下来的
[19:44] 历史当中很多的小细节
[19:46] 你回过头看
[19:47] 往往就会变成
[19:49] 理解时代气氛的重要线索
[19:51] 那网络上讲的
[19:53] 爸爸
[19:54] 为什么姐姐的名字叫做西湖
[19:56] 因为我跟你妈妈
[19:59] 在苗栗西湖旅游之后
[20:01] 怀上你姐姐的
[20:02] 那我们家姓秦
[20:04] 所以你姐姐就叫做秦西湖
[20:06] 原来如此
[20:09] 我知道了
[20:10] 谢谢爸爸
[20:11] 不客气
[20:12] 秦天刚
[20:13] 所以很多我们讲的历史事件
[20:16] 当下看起来都是小细节
[20:18] 但是有时候我们回过头看
[20:20] 多年以后
[20:21] 它是理解当下时代气氛的重要线索
[20:24] 好那回过头看
[20:25] 美国民众在种种冲击底下
[20:28] 川习会你也没有取得
[20:29] 极大量力的经济成果
[20:31] 你连黄豆订单到底增加多少
[20:33] 具体数目你也没讲
[20:34] 那在通膨的问题层面
[20:36] 伊朗的问题层面
[20:37] 尤其当前美国内部的通膨外溢效果
[20:40] 已经大幅影响到目前川普的民调
[20:43] 我们看整体55%的选民
[20:45] 认为关税是伤害美国经济的
[20:47] 在去年大多数选民都认为
[20:50] 关税可以让美国再次的经济伟大
[20:52] 现在认为关税有帮助的
[20:54] 只剩下25%
[20:55] 而且连独立选民都有过半
[20:57] 认为关税造成了负面影响
[20:59] 所以川普接下来可能很难
[21:02] 借由关税来证明通膨正在降低
[21:04] 他只能借由关税来达成
[21:06] 说目前美国的制造业投资创高
[21:08] 那第二个是个人喜好度的部分
[21:11] 过去川普最大的优势
[21:13] 就是即便他的政策是有争议的
[21:15] 可是个人魅力和强人的形象
[21:17] 他还能够稳住基本盘
[21:19] 那现在已经有53%的选民
[21:21] 对他持负面观感
[21:23] 正面的只剩下41%
[21:25] 所以这种疲劳感
[21:27] 似乎已经影响到
[21:29] 整个共和党的
[21:30] 新右翼的核心圈
[21:31] 在这样的效果底下
[21:33] 我们都很清楚了
[21:34] 那川普能够做的是什么
[21:35] 当然对外外交成果
[21:38] 看起来要一段时间
[21:39] 慢慢的处理
[21:40] 对内第一个要做的
[21:41] 当然是同盟压制
[21:42] 所以预估在未来几个月
[21:44] 可能会扩大监管力度
[21:45] 那第二大条件
[21:47] 是强调已经取得的成功
[21:49] 目前在川普各项民调当中
[21:51] 民调最高的
[21:52] 就是非法移民的驱逐
[21:53] 虽然前阵子有受到
[21:55] 米尼亚波利斯的事件倾倒
[21:57] 可是总体而言
[21:58] 美国民众针对川普的
[22:00] 这种非法移民驱逐制度
[22:02] 仍然抱持着高度评价
[22:03] 我们看川普第二任
[22:05] 任期最成功的政策之一
[22:06] 就是他把美墨边境
[22:08] 真的封起来了
[22:08] 现在美国的边境
[22:10] 非法移民数量
[22:11] 大幅度的下滑
[22:12] 而真正的核心
[22:13] 其实就是针对
[22:15] 不管是盖墙
[22:16] 增加边境的警察
[22:18] 大规模遣返
[22:19] 尤其现在针对庇护制度
[22:21] 他也在下手
[22:22] 过去十几年
[22:23] 美国法律允许人在抵达边境之后
[22:25] 申请政治庇护
[22:26] 但是现在大量的移民
[22:29] 把庇护申请
[22:30] 变成美国工作的管道之后
[22:32] 现在川普时期
[22:33] 就采取极大程度的拒绝
[22:36] 就是连让你进入到美国的条件都没有
[22:39] 所以人数相对于拜登时期
[22:41] 我们看图表
[22:42] 这已经低非常多了
[22:43] 大概只剩下十分之一川普在两个小时之前还发了一条贴文就是他在美国的空军基地一边戴着外星人戴着手铐川普表示就算你是外星人你一样是非法移民
[22:55] 还是会被送回去母亲的
[22:57] 所以从这件事情就看得出来
[22:59] 川普目前在非法移民进度
[23:01] 还是有受到十足的民调上支持
[23:04] 最近FBI才释出一项初步调查
[23:06] 在过去一年
[23:07] 全美的谋杀率一年内暴跌20%
[23:10] 这是FBI由记录以来
[23:12] 最大单年度的降幅
[23:13] 当然我们没办法确认说
[23:15] 非法移民一定跟当年的犯罪率是有关的
[23:18] 但是川普肯定把这件事情
[23:20] 拿来当成自己的政绩
[23:22] 川普和FBI表示说
[23:24] 目前就是过去一年FBI的大规模扫荡
[23:27] 包括针对帮派
[23:28] 针对非法强资
[23:29] 以及非法移民的重度打击
[23:31] 导致一年内帮派的瓦解数量增加了三倍
[23:34] 最后芬太尼查获量大增
[23:37] 儿童的救援事件大幅成功以后
[23:39] 造成在过去一整年
[23:41] 美国治安的显著优化
[23:43] 事实上我们看到川普
[23:44] 在过去一段时间
[23:45] 也极力的发扬
[23:46] 这种保守派和儒家伦理
[23:48] 美国公务院在本周也宣布了
[23:50] 会开始撤销
[23:51] 长期基欠子女抚养费
[23:54] 也就是赡养费的美国护照
[23:56] 就是简单来讲
[23:57] 你只要欠你的小孩子
[23:58] 抚养费超过2500美元
[24:00] 你就会被列入黑名单
[24:02] 你就没办法去泰国旅游
[24:03] 你就没办法出国了
[24:04] 所以在这样的效果底下
[24:06] 等同于川普很注重
[24:08] 父母不只是生下孩子
[24:09] 更要提供照护和教育
[24:11] 即便离婚了
[24:13] 在儒家世界里头
[24:14] 生而不养算失德
[24:16] 国务院也表示
[24:17] 这项措施很明显
[24:18] 国务院也有大案
[24:20] 目的就是要强化
[24:21] 对于家庭责任的追讨
[24:23] 所以我们也看得出来
[24:24] 川普在短期内
[24:25] 无法处理对外的通膨
[24:27] 对外的外交问题
[24:28] 当然对内
[24:29] 你就释放足够的善意
[24:31] 表现出政府有在做事
[24:33] 事实上我们看到
[24:34] 一系列的做法
[24:35] 似乎都意味着
[24:36] 川普在内政层面
[24:38] 仍然拥有一定程度的评价
[24:39] 而现在只能从
[24:40] 这些高评价当中
[24:41] 尝试的获取更多民调抬升
[24:44] 而外交的事件
[24:45] 或者对外的通膨
[24:46] 看起来要一阵子才能够处理得好
[24:48] 好我们看看美欧股市
[24:49] 四大指数表现
[24:50] 道城指数下跌537点
[24:52] 1.07%
[24:53] 收在49,526点
[24:55] 标普下跌92点
[24:56] 1.24%
[24:57] 收在7,408点
[24:59] 纳指下跌410点
[25:01] 1.54%
[25:02] 收在26,225点
[25:04] 非半下跌485点
[25:06] 4.02%
[25:07] 收在1,1588点
[25:09] 那当然我们看到
[25:11] 在对于中国的态度的转变
[25:14] 对于内部通膨的倾老
[25:16] 还有对于内政政策的持续改进底下
[25:19] 现在对外的条件
[25:20] 我们看到对于欧洲关系
[25:22] 也产生了重大转捩
[25:23] 我们知道在上礼拜
[25:25] 美国已经正式取消
[25:26] 原本要派驻波兰的
[25:28] 4000名装甲部队的部署
[25:30] 很多五角大厦官员
[25:32] 事前都不知情
[25:32] 甚至连部队都开始进驻了
[25:34] 才开始喊停
[25:35] 那真正让欧洲不安的
[25:37] 不是这4000人
[25:38] 是川普讲的是真的
[25:40] 川普真的在准备
[25:42] 重新缩减美军在欧洲的存在
