[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 最长的连长记录
[03:41] 我们举例来说
[03:42] 昨天伊朗在荷姆斯海峡的动作明显升级
[03:45] 不只是针对商船开火
[03:47] 还扣留了船只
[03:48] 同时派出自家的超级游轮
[03:51] 来测试美国的海上封锁
[03:52] 一方面继续做它的封锁
[03:55] 另外一方面来挑战
[03:56] 美国的封锁会不会持续把我拦下来
[03:59] 我们根据航运监控资料
[04:00] 在昨天一艘货船和一艘货柜船遭受到攻击
[04:04] 其中一艘驾驶舱严重受损
[04:06] 有人受伤
[04:07] 另外一方面
[04:08] 伊朗也把两艘超大型的游轮BLCC
[04:11] 直接开到阿拉伯海
[04:13] 想要尝试的突破美国的封锁线
[04:15] 那这些动作背后都很清楚
[04:17] 谈判停止的情况底下
[04:19] 伊朗就是来挑衅你
[04:21] 来尝试的
[04:22] 你说我们要谈判是不是
[04:24] 那我现在船就要出去
[04:25] 看你拦不拦我
[04:26] 那你拦一只
[04:28] 我就第二只第三只船
[04:29] 陆续的往外运
[04:30] 那美方现在看起来
[04:32] 有点没辙
[04:32] 许多船只
[04:34] 甚至现在是关闭讯号
[04:35] 改用卫星难以追踪路线
[04:37] 让监管难度大幅提高
[04:39] 那美军也没那么多驱逐舰
[04:41] 在附近
[04:42] 可以把每一艘都拦下来
[04:44] 所以现在过去我们讲说
[04:45] 预炮则发
[04:46] 是否这种情形的外溢效果
[04:50] 至少会反映到股票市场身上呢
[04:52] 我个人的看法是
[04:53] 也许大家真的针对中东战事
[04:55] 没什么兴趣
[04:56] 觉得打归打
[04:57] 就算真的有战争有冲突
[04:59] 也不影响我
[05:00] 大家还是关注的是通膨压力
[05:02] 因为到目前为止
[05:03] 我们看荷姆斯海峡的运量
[05:05] 本来在上礼拜六日的时候
[05:07] 一路创高
[05:08] 当时台硕的军扇轮
[05:09] 就是在礼拜六的时候冲出来的
[05:11] 结果呢
[05:12] 现在又归零了
[05:14] 真的又没有船只出来了
[05:16] 当然了
[05:16] 也可能是有不少船只已经逃出来了
[05:19] 那现在没有船只进去
[05:20] 就不会有船只出来了
[05:21] 可是核谈判的问题
[05:23] 看起来双方仍然没有共识
[05:26] 伊朗的高浓缩诱库存
[05:27] 就是60%的浓度
[05:29] 在2021年以后几乎是直线上弯
[05:31] 然后经由美国的空袭以后
[05:34] 资料就上市了
[05:35] 那你要知道在2025年的时候
[05:36] 它已经逼近400公斤以上
[05:38] 所以即便美军采取了一系列两轮的轰炸
[05:42] 是否代表的浓缩诱库存
[05:44] 已经完全消失了
[05:45] 2026年已经出现了数据的真空
[05:48] 所以这是美方谈判的唯一底线
[05:51] 一定要把浓缩油问题给谈定
[05:53] 其他是否经济制裁放松都可以谈
[05:56] 但是伊朗似乎现在不太接招
[05:58] 僵持压力还是越来越大
[06:00] 这就代表着通膨虽然表面上
[06:03] 3月4月并没有全面外溢
[06:05] 可是内部仍然在缓步的上行
[06:07] 油价看起来不会失控
[06:08] 可是油价所造成的外溢效果
[06:11] 仍然在持续当中
[06:12] 我们举例来说
[06:13] 全球最大的保险套制造商KROG
[06:16] 最近他的态度表示
[06:20] 因为他主要是供货给杜雷斯
[06:22] 目前预估很有可能未来持续调涨产品价格
[06:26] 预估会来到30%左右
[06:29] 等于全球现在每五个保险套
[06:31] 因为每五个保险套就有一个是来自于他们家生产的
[06:36] 这一次很有可能会造成全球连锁性的保险套的均价大涨
[06:41] 在石化产品短缺和物料中心中断的过程当中
[06:45] 像是润滑剂
[06:46] 因为它是石油的制造物
[06:49] 包装材料
[06:50] 还有乳胶
[06:51] 相关原物料价格的全数上涨
[06:53] 让整体成本大概会上升
[06:55] 25%到30%左右
[06:57] 那更关键的事情是
[06:58] 保险套这一类的产品
[07:00] 它是高度依赖石化产业链的
[07:02] 所以石脑油运不出来
[07:04] 也会有压力
[07:04] 其他像是矽油
[07:05] 或者丁金乳胶
[07:07] 或者天然橡胶
[07:08] 价格在最近都出现了明显的飙升
[07:11] 甚至原物料价格翻倍
[07:12] 那我们要知道
[07:13] 医疗产品监管很严格
[07:15] 虽然我们知道可以做一些产能替代
[07:17] 可是短期内是很难直接找到
[07:19] 另外一个国家的替代材料
[07:21] 那使得企业几乎没有缓冲空间
[07:24] 所以在这样的一个效果底下
[07:26] 很有可能整个通膨的外溢效果
[07:28] 至少少子化有救了
[07:30] 川普救了少子化
[07:32] 生育率上升
[07:33] 银建股就有救了
[07:35] 所以的确这次原油上涨
[07:37] 是影响百工百业
[07:38] 不小心中奖还要多养一个人
[07:41] 这算是刚需涨价力度
[07:43] 但不管怎么说
[07:45] 这种外溢效果
[07:46] 到底是否有因为股市的上涨和淡化呢
[07:48] 其实也并没有
[07:49] 我们必须承认
[07:50] 整个亚洲的通膨压力仍然非常大
[07:53] 只是政府做了第一波的吸收而已
[07:55] 那另外一方面
[07:56] 川普现在四月底了
[07:58] 下个月就要访问北京了
[08:00] 那原本的构想是
[08:02] 一旦伊朗问题谈定以后
[08:04] 在中国市场上
[08:06] 又取得进一步的经济筹码
[08:08] 或者博弈上的胜利
[08:09] 也不一定是百分之百川普的胜利你只要中国扩大針對美國的採購或者经济上的利益就有利于中期选举了好 问题来了伊朗问题还没有搞定
[08:20] 接下来两周
[08:21] 川习会要登场了
[08:23] 你总不能又延到六月吗
[08:25] 那面子挂不住
[08:26] 在当前局势下
[08:27] 这趟行程反而让大家担心
[08:30] 会变成外交上的失误
[08:31] 因为中东对于伊朗的战事
[08:33] 不仅是消耗美国的资源
[08:35] 也削弱了相对于中国的战略地位
[08:37] 使得华府在谈判桌上筹码不足
[08:40] 我们必须承认
[08:40] 从国际观感来看的话
[08:42] 那中方什么都不用做
[08:44] 就显得他很稳定
[08:45] 很沉稳
[08:46] 他什么都没做
[08:47] 这是蛮沉稳的一个大国
[08:49] 更关键的事情是
[08:50] 这场会面
[08:51] 我们知道
[08:52] 一定会让台湾变成
[08:53] 适度的谈判筹码的博弈对象
[08:56] 北京很明显是有意把
[08:57] 美国对台的军售和政策表述
[09:00] 纳入到交换条件
[09:01] 或者说逼迫华府
[09:02] 在是否支持台湾独立上的措辞上
[09:05] 进行让步
[09:05] 那川普过去
[09:07] 的确立场比较模糊一点
[09:08] 但可能是为了要达成某种程度的战略平衡
[09:12] 可是最终结果
[09:13] 我们要换来的事情是
[09:14] 那对于川普所达成的经贸承诺
[09:17] 或者投资承诺有多少
[09:18] 中方是履约的
[09:20] 去年的大豆他真的采购了
[09:22] 那接下来的压力是否会陆续发酵呢
[09:24] 我们这一次也看到
[09:25] 赖总统原本要出访非洲友邦
[09:28] 史瓦定义的行程
[09:29] 这一次是临时取消了
[09:31] 原因就是多个国家拒绝去专机飞越领空
[09:35] 因为有地缘空间的压力
[09:38] 或者说有安全的问题
[09:40] 所以被迫要取消
[09:41] 我们当然知道
[09:41] 这背后的根本原因是什么
[09:43] 这种各国的博弈
[09:44] 尤其跟台湾利益极大捆绑的
[09:48] 川习会登场以后
[09:50] 到底会形成什么样的态势
[09:51] 我们至少了解
[09:52] 川普当前的压力是蛮大的
[09:54] 因为中东战事
[09:55] 并没有如他所意
[09:57] 在4月份完全结束
[09:58] 马上川习会就要登场了
[10:00] 甚至我们看到
[10:01] 在中日之间
[10:02] 目前的压力升温持续发酵
[10:04] 举例来说
[10:05] 中国最近派了驱逐舰
[10:08] 进入到西太平洋
[10:09] 强调是例行训练
[10:10] 但是同一天
[10:11] 我们当时看到
[10:12] 日本首次派出作战部队
[10:14] 参与美非年度的
[10:16] 兼并兼联合军演
[10:17] 象征军事合作升级
[10:19] 中国舰队这一次是
[10:21] 直接通过
[10:22] 更靠近日本本土的航道
[10:24] 显示双方的博弈
[10:25] 陆续在提升
[10:26] 其实美国日本菲律宾
[10:27] 今年军演规模很大
[10:28] 有1.7万人
[10:30] 所以中方也做了
[10:31] 一定程度的表态
[10:32] 甚至日本政府
[10:33] 在本周正式修订了
[10:36] 防卫装备移转三原则
[10:37] 这一次等同于
[10:39] 允许向外输出杀伤性的武器
[10:41] 把过去只限于救难运输的用途
[10:44] 限制全面打开
[10:45] 这个是二战以后
[10:47] 日本最大的政策转向
[10:48] 未来日本会依据装备的性质
[10:51] 区分出口范围
[10:52] 基本上你像是雷达
[10:54] 一些非杀伤性的武器
[10:55] 全面发行
[10:56] 护卫舰
[10:57] 飞弹武器
[10:58] 会输出给特定的合作国
[11:00] 包括东南亚各国
[11:02] 都对于日本的武器
[11:03] 充满着信心
[11:04] 而且有兴趣
[11:05] 那原因很简单
[11:06] 可能不管是保养上
[11:09] 能力上的协调
[11:10] 还是在性价比层面
[11:11] 日本军武是有它的吸引力存在的
[11:15] 那高市内阁现在很明显表态了
[11:16] 希望借由军售来强化区域的组合
[11:19] 同时也建立自己的军工产业链
[11:22] 带动企业投资无人机或者先进技术
[11:25] 另外一方面
[11:26] 也积极的与欧洲和印太盟友们
[11:28] 采取更进一步的合作
[11:30] 我们都知道
[11:31] 最近日本这种军事扩权的迹象
[11:33] 有非常明显的提升
[11:35] 解放军报上礼拜的头版是什么
[11:37] 日本军工加速扩张
[11:40] 渐渐历史恶性循环
[11:43] 从走邪路必走泥潭
[11:46] 你看他的态度就知道了
[11:47] 原因很明显
[11:48] 日本虽然没有核武
[11:50] 可是目前在技术和原物料
[11:52] 已经具备了完整条件
[11:54] 只受限于无核三原则的政策约束
[11:56] 一旦政策松动
[11:58] 可能在极短时间内
[11:59] 跨入到永和国的行列
[12:01] 那报道也强调
[12:02] 日本拥有大概44吨的分离杯
[12:05] 理论上可以制造数千枚的核弹
[12:08] 加上日本的确
[12:09] 已经有完整的核燃料的循环体系
[12:11] 还有成熟的核工能力
[12:13] 被军控专家形容成
[12:15] 只差最后一步
[12:16] 就差美国点头了
[12:17] 这是否是川习会未来讨论的要点呢
[12:20] 值得做一些观察
[12:21] 所以日本其实军事武力
[12:22] 其实非常强大的
[12:24] 上次才问了一个朋友
[12:25] 他说你知道为什么日本鸡蛋
[12:28] 都喜欢一粒一粒卖吗
[12:31] 我说为什么
[12:32] 他说因为他们不喜欢核弹
[12:35] 我觉得日本现在
[12:36] 当然内部有一些反战文化了
[12:38] 但是对于本身高市政府的态度
[12:41] 其实已经引发了一个新的偏张
[12:44] 这看得出来
[12:45] 我们看最近中国政府
[12:46] 也知道很多日本杂志
[12:48] 都会相关报道
[12:49] 对于cosplay或者次文化的管制
[12:51] 逐步收紧
[12:52] 特别是带有日本风格的服装
[12:55] 或者内容
[12:55] 开始被视为需要整顿的对象
[12:58] 在政策的引导底下
[12:59] 市场和创作者逐渐转向新中式风格
[13:03] 强调融合传统元素和现代设计
[13:06] 某种程度它是一种文化战
[13:08] 一种资讯战
[13:09] 我们知道去年高市跟习近平的关系恶化以后
[13:13] 的确中国的观光客
[13:15] 对于日本形成了极大压力
[13:17] 中国过去一直以来
[13:19] 常年基本都是日本的消费而第一
[13:21] 那是人数的影响
[13:22] 可是亚洲消费力已经重新洗牌了
[13:25] 我们看今年第一季
[13:26] 主要是WBC再加上过年的原因
[13:29] 26年第一季
[13:30] 台湾对日本的消费金额
[13:32] 是高达3884亿日元
[13:35] 对照台币
[13:37] 那差不多是600亿
[13:39] 我们一个季度就花了600亿台币
[13:42] 在日本身上
[13:42] 超过了韩国和中国
[13:44] 成为日本最大的外国的旅客金主
[13:47] 而且年增幅22.5
[13:48] 这就说明
[13:49] 如果我们细看
[13:50] 台湾旅客在日本花最多的
[13:52] 不是住宿和餐饮
[13:54] 花最多的是购物
[13:55] 代表台湾人不是单纯去观光看看风景
[13:58] 它是带有强烈的消费或者代购属性
[14:01] 反观中国消费金额是直接年减了50.4%
[14:05] 几乎腰斩
[14:06] 这件事情就意味着这种填补效应
[14:09] 当然你靠台湾人
[14:10] 要完全填补中国人的消费收缩有点难度
[14:13] 台湾人就这么多
[14:14] 台湾人每个人去可能都无法完全填补
[14:17] 可是这件事情就说明了
[14:18] 中日关系在外交在观光领域持续在恶化当中
[14:22] 日本现在积极的发展军工
[14:24] 除了经济利益之外
[14:25] 主要就是用于在台海冲突发生的时候
[14:28] 有足够的能力来应对危机
[14:30] 比如说在最近一段时间
[14:32] 像是横须贺
[14:34] 盐国
[14:35] 佐世保
[14:35] 三折
[14:36] 关岛基地
[14:37] 都开始扩大军力的储备力量
[14:39] 而且进行多点分散
[14:40] 以尝试着
[14:42] 因为共军毕竟
[14:43] 如果在台海冲突的第一时间
[14:45] 他当然是有必要摧毁美军的
[14:47] 所有的后勤资源
[14:49] 否则如果无法在第一时间歼灭
[14:51] 那可能战事就会拖长
[14:53] 最后就变得跟乌俄战士一样
[14:55] 压力就来得越来越大
[14:56] 所以这样的一个效果底下
[14:58] 我们看到高市政府
[14:59] 采取了一系列的政策
[15:00] 基本上都是让各国
[15:02] 重返自己的国防
[15:04] 或者本身自我利益的提升
[15:07] 高市政府在上礼拜
[15:08] 也正式提出造船量倍倍增计划
[15:11] 就是让造船业能够重新的振作
[15:14] 那现实也很严峻
[15:15] 因为过去日本
[15:16] 曾经是全球的造船霸主
[15:18] 但最近几年
[15:19] 我们知道韩国和中国的崛起
[15:21] 市场完全被
[15:22] 他们两个国家给夺走了
[15:24] 那近年航运需求快速提升
[15:26] 能源转型的问题
[15:27] LNG的问题
[15:28] 居然现在还要靠韩国和中国的船只
[15:30] 压力极大
[15:31] 所以开始推行一系列的造船业的改革
[15:35] 这是我们观察到的实质迹象
[15:37] 那当然在种种效果底下
[15:39] 我们就要具体更进一步留意
[15:42] 市场上有没有那种
[15:43] 对于内部民意反应
[15:45] 和高市政府的内阁
[15:46] 我们当然知道
[15:47] 高市政府现在因为民调高
[15:49] 似乎有一点欣欣向荣
[15:51] 可是它本质上
[15:52] 还是会受到这种
[15:53] 外部压力所形成的变化
[15:55] 我们举例来说
[15:56] 日本政府现在又做了
[15:58] 比较高强度的能源补贴
[15:59] 财政压力越来越大
[16:01] 对外会有观光市场
[16:02] 受到中国市场的冲击
[16:04] 压力也越来越大
[16:05] 那再来呢
[16:06] 是长期的通缩
[16:07] 进入到通膨以后
[16:08] 市场内部的体感温度的变化
[16:12] 那过去存了一辈子的现金
[16:14] 我都不用愁会有高通膨的风险
[16:16] 结果在疫情以后
[16:17] 通膨突然就失控了
[16:19] 我们举例来说
[16:20] 张图表是目前日本老年人的破产情况
[16:23] 在70岁以上正在大量破产
[16:25] 多数人并不是年轻就破产他是撑了一辈子在最近终于破产了原因很简单退休金不足储蓄不够寿命变长医疗和生活成本上升
[16:36] 结果呢一场意外
[16:37] 财务结构就崩掉了
[16:38] 现在是40岁资产低于100万日元的人
[16:42] 在20年内
[16:43] 在日本已经暴增了
[16:44] 接近有三倍以上
[16:45] 高达数万人
[16:46] 那这些人呢
[16:47] 他是没有资产缓冲的
[16:49] 一场车祸大病
[16:50] 就足以进入到赤贫
[16:51] 那这群人啊
[16:52] 叫做冰河时期时代嘛
[16:54] 刚出社会没多久
[16:56] 日本就泡沫扑面了
[16:57] 泡沫扑面没多久
[16:58] 发现我根本就不需要理财
[17:00] 因为现金越来越强
[17:01] 因为市场正在通缩
[17:03] 我就存了很多的现金
[17:04] 结果存到2020年
[17:06] 通膨大爆发
[17:07] 医疗成本的上升
[17:08] 我活的岁数又比想象中来得长
[17:10] 最后就进入到赤贫
[17:12] 这种内部压力
[17:13] 最后都会变成长期的民意反扑
[17:16] 所以这也是一个观察
[17:17] 日本的长期方向
[17:18] 我们举例来说
[17:19] 现在日币都1比5
[17:20] 这是日本的sugar daddy市场
[17:23] 随着日元和贬值的变化
[17:26] 以及观光人潮的回流
[17:27] 我们看到日本
[17:28] 大量的sugar daddy
[17:30] 陆续在进入
[17:31] 包括美国中东印尼等
[17:33] 外国的富裕男性
[17:34] 通过社群平台和仲介方式
[17:37] 进入到日本
[17:38] 寻求年轻女性
[17:39] 进行金钱关系的交换
[17:41] 那这很明显
[17:42] 它就是汇率的优势
[17:43] 跨境的流动
[17:44] 还有平台经济
[17:45] 共同推行的结果
[17:47] 所以你看日本杂志
[17:48] 很多人都在反思
[17:49] 这样的一个社会问题
[17:50] 一方面长期薪资停滞
[17:52] 使得部分人转向非典型的收入来源
[17:55] 另外一方面
[17:56] 关心商品逐渐常态化以后
[17:58] 再加上内部的压力
[18:00] 或者说民情的改变
[18:02] 让市场上越来越多人
[18:03] 从事这样的一个工作和行为
[18:05] 好 这是我们观察到
[18:07] 在日本的情况
[18:08] 另外一方面是俄罗斯的压力
[18:10] 我们如果细看
[18:11] 俄罗斯最近计划暂停
[18:13] 由德鲁日巴输油管
[18:15] 输送给德国管线
[18:17] 这个压力就很大了
[18:18] 事实上我们过去看到
[18:19] 过去的炼油厂
[18:21] 大概供应了柏林东北部90%的汽油
[18:25] 航空燃油和取暖燃油
[18:27] 现在俄方所采取的压力
[18:30] 似乎是在接下来的乌俄部分边境谈判问题当中
[18:35] 取得进一步的筹码
[18:36] 必须承认
[18:37] 因为俄罗斯在上礼拜才对乌克兰发动了
[18:40] 今年以来最大的空袭
[18:42] 动用数百架的无人机
[18:43] 夜袭多个城市
[18:45] 包括基辅奥德赛或者扎布洛勒
[18:48] 这些攻击造成了欧洲的极大反应
[18:52] 结果现在俄方开始出招
[18:54] 尝试的进行进一步的能源冲击压力
[18:57] 我们看在北极也是如此
[18:59] 在最近北约和俄罗斯正在北大西洋深海当中
[19:03] 进行一场低调但是关键的对峙
[19:05] 补丁越这几年是大力的重建海军
[19:08] 大量的核动力潜艇部队
[19:10] 在北极圈摩拳擦掌
[19:13] 我们看北约则是透过挪威
[19:15] 英国和美国的监控技术和反潜技术
[19:18] 全天候追踪这些舰艇动向
[19:20] 不过北大西洋
[19:21] 最近的活络程度开始提高
[19:24] 双方压力越来越大
[19:25] 尤其又知道
[19:26] 乌俄战事现在已经进入第五年了
[19:28] 战争已经开始进入到人力的极限
[19:30] 乌克兰现在是不只是要钱
[19:33] 还要人
[19:33] 根据乌克兰政府的规划
[19:35] 现役部队压力越来越大
[19:37] 战前大概有870万
[19:39] 18到60岁的男性
[19:41] 现在只剩下500万人左右
[19:43] 所以有270万人到300万人
[19:45] 这些人有的离境了
[19:47] 有的离开了
[19:49] 有的逃兵了
[19:50] 有的阵亡了
[19:51] 在这样的一个效果底下
[19:53] 真正可动员的人数
[19:54] 已经只剩下三分之二
[19:56] 这种压力越来越大以下
[19:58] 就开始出现了一个
[19:59] 比较现实的问题
[20:00] 那就是乌国政府
[20:02] 现在正在考虑
[20:03] 是否要扩大动员范围
[20:04] 包括女性
[20:05] 在乌克兰
[20:06] 现在是没有全面征召女性的
[20:08] 但政策上出现了试探动作
[20:09] 比如说把女性协助逃兵
[20:12] 或者自己逃兵
[20:13] 陷入到法律框架当中
[20:15] 来测试一下市场的反应
[20:16] 那这对于欧洲都是一种表态
[20:18] 我现在不只是缺武器
[20:20] 我现在缺人
[20:21] 种种压力底下
[20:22] 我们要讲的是
[20:23] 就是全球经济和国防
[20:25] 正式进入到重组期
[20:26] 从效率优先走向了安全优先
[20:29] 全球经济的运作逻辑
[20:30] 就是一个非常明显转折
[20:32] 以前都是全球化
[20:33] 低成本效率最大化
[20:35] 现在疫情
[20:36] 乌俄战事
[20:37] 伊朗冲突的连续冲击底下
[20:39] 各国开始把安全放在第一位
[20:41] 日本把自己的安全放在第一位
[20:43] 乌克兰把自己的安全放在第一位
[20:44] 北约也为自己的安全放在第一位
[20:48] 所以从区域来看
[20:49] 我们看欧洲走得最快
[20:50] 在军工和能源转型上的加速投资
[20:53] 就是如此
[20:54] 好这是第一个我们看到国际政治的改变
[20:56] 也就是中东战局加速了这个过程
[20:59] 回过头看美国是
[21:00] 美国是不管这么多
[21:01] 反正现在就是AI好
[21:03] 道琼上涨340点
[21:05] 0.69%
[21:06] 所在49490点
[21:08] 标普上涨73点
[21:10] 1.05%
[21:11] 所在7137点
[21:12] 创下历史新高
[21:13] 纳指上涨397点
[21:15] 1.64%
[21:16] 收在24657点
[21:18] 历史新高
[21:19] 非凡昨天上涨262点
[21:21] 2.72%
[21:23] 收在9909点
[21:25] 又是历史新高
[21:26] 这四大指数
[21:27] 一个接着一个创高
[21:29] 美欧股市持续创下一年以来
[21:31] 最强的波段走势
[21:33] 连小型股现在也在嘎空
[21:35] 更值得注意的事情是
[21:37] 情绪和部位的力度差不多用完了
[21:39] 但还在涨
[21:40] 就是空单也嘎完了
[21:42] 那高盛内部甚至发生了分歧
[21:45] 有些人认为这是牛市陷阱
[21:46] 有些人认为杠杆好像在一个月内
[21:49] 突然又瞬间拉高
[21:50] 可是我们过去挺过
[21:51] 如果单纯从获利比值来看
[21:54] 目前其实本益比仍然没有失控
[21:56] 因为现在是财报季
[21:58] EPS都在陆续调高当中
[22:00] 如果我们细看
[22:01] 真正今年领涨的
[22:02] 主要是AI基础建设
[22:04] 和大型的云端巨头
[22:05] 报酬一路的往上冲
[22:07] 那代表着资金
[22:08] 现在还是集中在
[22:09] 算力晶片资料中心这一带
[22:11] 那反过来说
[22:12] 今年有没有不好的AI
[22:14] 有啊
[22:14] 软体股真的很惨
[22:16] 到目前为止
[22:17] 只是勉强阻底
[22:18] 事实上如果我们细看
[22:20] 当前的IGV
[22:22] 也就是软体型ETF
[22:23] 压力仍然非常沉重
[22:25] 举例来说
[22:26] 它打了一个W底
[22:27] 而且是有点破底的景象
[22:28] 那量能瞬间提升
[22:30] 可是这个位阶
[22:31] 是差不多去年关税战的水准
[22:34] 也就是说
[22:35] 其实本场AI的风暴
[22:37] 真的反映在了软体股身上
[22:39] 并不是所有的AI股都能够语录均沾
[22:43] 所以我们才讲说
[22:44] 市场上有不同的投资思维
[22:46] 那比特币的部分
[22:47] 其实跟软铁股差不多
[22:49] 它也是刚好痞疾太来而已
[22:50] 我们举例来说
[22:51] 比特币最近的资金流入量开始提高了
[22:54] 可是这个流入量
[22:55] 相对于一年前的流入量
[22:57] 比例还是差非常多
[22:59] 当时川普当选
[23:00] 的确带动了适度的行情拉伸
[23:02] 现在看起来幅度还是没有特别的多
[23:05] 但是至少我们可以看到
[23:07] 比特币跟NDX
[23:09] 就是纳斯达克指数
[23:10] 双方似乎在短期内终于要联动了
[23:13] 你看过去五年的走势
[23:15] 比特币不能说是百分之百联动
[23:17] 可是相关性是非常高的
[23:19] 结果从去年开始
[23:22] 纳斯达克指数跟比特币就全面脱钩
[23:24] 现在到底是纳斯达克指数
[23:27] 涨过高了
[23:28] 还是比特币被低估一段时间了
[23:31] 我反倒认为是相信后者
[23:33] 上方的纳指
[23:36] 它的获利的支撑
[23:37] 是有利于它持续推升的
[23:39] 那比特币的部分
[23:40] 当然就是观察
[23:41] 市场心理情绪的变化
[23:43] 这就给投资朋友多些思考了
[23:45] 当然了
[23:45] 投资这件事情
[23:46] 本质就不是比谁赚得多
[23:49] 而是看你要解决什么问题
[23:50] 在每个人投资的想法不太一样
[23:53] 现在好像一天没有赚个
[23:55] 一根半根
[23:57] 好像就好像没有在赚钱
[23:59] 并不是这样的
[24:00] 有人追求的是财务自由
[24:02] 只要资产能够稳定
[24:03] 覆盖生活开支
[24:05] 让所得替代率达到100%
[24:07] 其实就已经完成目标了
[24:08] 有人现在只想要抗通膨
[24:10] 那你确保购买力不被侵蚀
[24:12] 跑赢大盘就可以了
[24:13] 或者跟上大盘
[24:14] 那有些人把投资当成一种
[24:17] 参与市场的方式
[24:18] 享受波段或者波动
[24:21] 带来的判断和刺激
[24:23] 那风险承受度和操作节奏
[24:25] 自然就会不太一样
[24:26] 所以我们才讲说
[24:27] 不是每个人在现在这个位置
[24:29] 都是追求巨额报酬的
[24:31] 大家都符合自己的心理的投资原则
[24:33] 顺应着趋势就好了
[24:34] 像我就已经很满意了
[24:36] 这种涨幅我自己都有点意外
[24:38] 有些人追求的是财务独立
[24:40] 有些人追求的是不被通膨吃掉有些人投资只是为了刺激每个人看法不太一样我最近才看了一个分析文章他讲三国说曹操真正的野心
[24:52] 其实大多数人都不知道
[24:53] 他举了一个例子
[24:55] 他说刘备两个儿子
[24:57] 刘丰和刘禅
[24:59] 连起来就是丰禅
[25:01] 说明他有帝王之心
[25:04] 孙坚有两个儿子
[25:06] 孙权和孙策
[25:07] 连起来就是权策
[25:09] 说明他善权谋计策
[25:12] 你再看老曹家
[25:14] 曹操
[25:15] 曹丕
[25:16] 曹增
[25:17] 曹爽
[25:18] 曹昂
