[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 概況要進一步瞭解科技股財報在週四陸續公佈之後的表現
[12:21] 嘗試的要去建立傳統海權的物流新通道
[12:24] 那現在格陵嵐這件事情
[12:26] 美方很明顯已經注意到了
[12:28] 把你擋在那邊
[12:28] 另外一方面在中東非洲東南亞加大布局
[12:32] 從伊朗的能源合作
[12:33] 到非洲的原物料交換
[12:35] 到東協供應鏈的整合和區域貿易升級
[12:38] 形成一整條紅色供應鏈
[12:40] 那這些動作已經很粗糙
[12:42] 基本上就是把貨傾銷到這些市場
[12:44] 現在中國已經到各地來設點
[12:46] 在當地建造工廠
[12:48] 使用當地的工人
[12:49] 來符合整個中國品牌的海外出走
[12:52] 那美方很明顯
[12:54] 現在是希望把後花園給顧好
[12:56] 再往資源帝國陸續延伸
[12:58] 美國的動線是以北美和拉丁美洲為核心
[13:01] 從阿拉斯加的國防部署
[13:04] 再到加拿大的關鍵資訊的整合
[13:06] 資料資源整合
[13:07] 一路延續到墨西哥灣的航線
[13:09] 委內瑞拉的石油影響力
[13:10] 甚至重新介入中南美洲的反毒或者安全事務
[13:14] 兩條線放在同一張圖看
[13:16] 商周這張圖就做得很清楚了
[13:18] 基本就是美中都並不是在追求無差別的全球影響力
[13:23] 它現在是在航線
[13:24] 在能源
[13:25] 在礦產
[13:26] 在制度的縫隙當中
[13:27] 大家都要打造一個各自能夠承受衝突的安全腹地
[13:32] 所以就變成美中之間
[13:34] 你根本就找不出任何衝突的點
[13:35] 川普最近都很少講習近平了
[13:37] 中國最近有沒有發現
[13:39] 那個記者會也很少批評美國了
[13:41] 結果韓國亂成一國州
[13:44] 加拿大亂成一國州
[13:45] 有這樣的一個感覺
[13:46] 美中各自的角力陸續在進行
[13:48] 但的確如果非美市場的聯合
[13:51] 當然會對於川普產生壓力
[13:53] 以前就是合縱連橫
[13:55] 各個國家逐一擊破
[13:57] 的確取得了一些成果
[13:59] 但現在這些國家知道
[14:00] 這樣下去不是辦法
[14:01] 開始聯合
[14:02] 形成新一輪的貿易協議
[14:04] 那川普的內部壓力也開始逐步湧現
[14:06] 為什麼呢
[14:07] 我們知道這一次川普
[14:09] 其實大幅改變了明尼蘇達路線
[14:11] 接近兩天左右就大幅轉變了
[14:13] 之前我們有提到
[14:14] 明尼阿波利斯的槍擊事件之後
[14:17] 官高層第一時間是把情勢設定成恐怖攻擊
[14:21] 來指控死者有意圖襲警
[14:23] 而且被貼上準刺客的標籤
[14:25] 但沒過多久
[14:26] 因為相關的說法
[14:27] 以及影像事實被拆穿以後
[14:29] 白宮內部也開始調整自己的談話
[14:32] 很多共和黨議員
[14:33] 地方官員
[14:34] 很多是勇槍派
[14:35] 都在遲疑說
[14:36] 政府好像有點過早下結論
[14:38] 你把合法的持槍者妖魔化
[14:41] 對於持槍者在路上沒什麼問題
[14:43] 對我們共和黨人來說
[14:44] 反而讓畫面看起來變成混亂失控
[14:47] 侵蝕了原本在移民議題上的民意基礎
[14:49] 川普最近在受訪的時候
[14:51] 其實也把態度轉為更加保留
[14:53] 說我們會重新檢視這樣的一個行動
[14:56] 而且考慮撤回部分的聯邦執法人員
[14:58] 讓這一次大家意識到
[15:00] 這次的政策似乎有稍微軟化的空間
[15:03] 而且是首次川普在移民政策的部分
[15:06] 現在川普是主張說
[15:07] 我們應該精準執法
[15:09] 來跟各州來進行合作
[15:11] 而不要採取一系列的這種衝突衍生
[15:14] 這對於雙方其實都不太好
[15:16] 白宮這一種直學的措施
[15:18] 也強調說不希望有美國人再受傷
[15:20] 那這件事情
[15:21] 其實背後隱含的概念
[15:23] 還是有一些民調上的變化
[15:25] 我們都很清楚知道
[15:26] 川普過去在內政的民調
[15:28] 其實還是偏高
[15:29] 遠遠高於經濟
[15:30] 可是在最近我們看到幾個月度
[15:33] 川普在移民政策的民調
[15:35] 也開始往下掉了
[15:36] 平均來看
[15:37] 現在已經跌到任內
[15:38] 甚至是政治生涯的新低點
[15:40] 從幾個情勢來看
[15:41] 幾個關鍵節點
[15:43] 一個是洛杉磯當時的突襲行動
[15:44] 那個是比較有爭議一點
[15:46] 後續我們看到
[15:48] 強硬邊境的選民
[15:49] 開始慢慢轉變以後
[15:50] 到現在本事事件的爆發
[15:53] 基本上民調在移民法案的部分
[15:56] 尤其是在移民政策
[15:58] 基本上從今年1月份開始
[16:00] 那個下滑力度就特別快
[16:02] 過去還勉強可以撐住川普民調
[16:04] 不過現在開始
[16:05] 看起來已經有點鬆動了
[16:07] 當然了
[16:08] 這個我們從圖表中來做進一步觀察
[16:10] 現在就在共和黨自己內部
[16:12] 也認為川普移民執法
[16:15] 是不是有點做得太過頭
[16:16] 重點方向一定是對的
[16:18] 可是呢
[16:19] 這個手段和措施
[16:20] 會導致我們終極選舉遇到極大難關
[16:23] 這個2025年
[16:24] 就連共和黨自己都認為
[16:26] 有點過頭的可能性都慢慢的上升
[16:28] 到2026年初已經上升到兩成
[16:31] 認為政策剛剛好的比例
[16:32] 反而開始下滑了
[16:34] 好 這個是我們就要觀察
[16:35] 要如何進行內部內政的調整
[16:37] 也許是大家更為關注的專案
[16:39] 尤其這次國土安全部的資金
[16:42] 仍然受到舒默的卡關
[16:44] 那美國政府
[16:45] 真的搞不好禮拜六就要關門了
[16:47] 問題在於參議院
[16:48] 雖然由共和黨掌握多數
[16:50] 程式上還是要60票才能夠過關
[16:53] 原本預期會有部分民主黨人配合
[16:56] 不過現在看起來
[16:57] 連共和黨人內部自己都有人跑票
[16:59] 所以看起來本週
[17:00] 應該美國政府就會關門了
[17:02] 在種種效果底下
[17:04] 市場上就開始形成
[17:06] MAGA內部的分裂
[17:07] 一派我們過去講得很清楚
[17:09] 不管是對於科技的看法
[17:11] 對於AI的看法
[17:12] 還是對外政策的看法
[17:13] 都認為
[17:14] 我們現在應該不要再去管
[17:16] 海外的路線
[17:17] 不要再去管委內瑞拉
[17:18] 或者海外貿易的問題
[17:19] 我們已經達到
[17:20] 我們的一個目的了
[17:21] 就不要再跟各國
[17:22] 有進一步的貿易衝突了
[17:24] 應該這個時候
[17:24] 要美國優先避免海外衝突
[17:26] 我們要把更多的精力
[17:28] 聚焦在美國的內政
[17:30] 嘗試的去壓低通膨
[17:31] 拉抬購買力對於移民政策我們要保持當時的初衷和手段對於部分MAGA者而言這個就是一個現在守護美國利益的核心當然另外一派則是認為我們現在應該要了解
[17:43] 這種高呼叫兵
[17:45] 反而可以擴張美國的利益
[17:47] 所以MAGA是讓美國再次偉大
[17:49] 如果到各國去注點
[17:51] 到各國採取軍事行動
[17:53] 更有利於美國霸權的偉大
[17:54] 那我們就應該要支援
[17:56] 總統這樣的一個行動
[17:57] 當然了
[17:58] 最後MAGA還是有本質的邏輯
[18:00] 就是都是採取必要的手段
[18:02] 而並不是過度干預海外市場
[18:05] MACA現在
[18:06] MACA也有自己的正確的三觀
[18:08] 哪三觀
[18:09] 關我什麼事
[18:11] 關你什麼事
[18:12] 關他什麼事
[18:12] 這是MACA的三觀
[18:14] 所以基本上
[18:15] 我們看接下來幾個季度
[18:16] 是否會有更進一步的聚焦
[18:18] 回到美國國內
[18:20] 因為川普現在預估在四月份
[18:22] 至少會發一千億美元
[18:24] 來宣佈進一輪的選票迴流政策
[18:28] 因為這一次暴稅季逐步要開跑了
[18:30] 退稅金額我們現在預估是
[18:32] 大概會有比去年多出1000億美元
[18:34] 總體金額是4000多億
[18:36] 那這當然不是巧合
[18:38] 這很明顯有政治設計
[18:39] 共和黨呢
[18:40] 拿看得到用得到的現金退款
[18:43] 來拉抬川普經濟的信心
[18:45] 我們預估今年4月份以後
[18:47] 川普隨時會進行普發現金
[18:49] 平均退稅大概是1000美元
[18:51] 對於中產和中上階層就特別有感
[18:53] 短期內呢
[18:54] 也有可能形成新一輪的迷你刺激
[18:57] 來推升消費市場
[18:58] 穩住下半年的經濟情況
[19:00] 那這一套策略風險不小
[19:02] 因為人力縮水四分之一的國稅局
[19:05] 現在要高壓下把錢給丟出去
[19:07] 而且任何卡關都可能形成反噬政治效果
[19:11] 所以重點就在於
[19:12] 這一波發錢下去以後
[19:14] 會如何影響到今年下半年的經濟輪廓
[19:16] 這是很重要的
[19:17] 川普一直信奉一句話
[19:18] 不要總是送年輕人一句話
[19:21] 年輕人最需要的不是一句話
[19:23] 是一筆錢
[19:24] 你把錢給他
[19:25] 看民調會不會回升
[19:27] 很快的我們相信經濟刺激就即將來臨
[19:29] 當然從整個美國經濟角度來看
[19:32] 其實也是不錯
[19:33] 但就是對於選民本身而言
[19:35] 他就沒有那種很明顯的感受力度
[19:38] 事實上如果我們仔細觀察
[19:39] 根據亞特蘭大GDP鬧模型的預估
[19:42] 2025年到第四季為止
[19:44] 已經衝高到接近5%左右的年化成長
[19:47] 這是非常亮麗的經濟成長速度
[19:49] 當然表面上很火熱
[19:51] 底層會有點脆弱
[19:52] 問題就在於這樣的成長是否站得住腳
[19:55] 第一個隱憂是通膨
[19:56] 所有原物料都在上漲
[19:58] 除了可可
[19:59] 川普想要把經濟跑熱
[20:00] 一邊又要降息
[20:02] 一邊又要透過減稅
[20:03] 還有擴張性的財政政策
[20:04] 這樣的一個組合
[20:06] 其實對於通膨的囤貨意願
[20:08] 隨時都有可能因此而發酵
[20:09] 那第二個風險來自於AI
[20:11] 美國成長的很大一塊動能
[20:13] 其實過去一年都是AI投資熱潮
[20:15] 生產力資料也因此而超乎預期
[20:17] 所以樂觀者認為
[20:18] AI持續拉高生產力
[20:19] 經濟就能夠在高速下不過熱
[20:22] 重演1990年代的科技榮景
[20:24] 但是悲觀者則是認為
[20:25] AI實際報酬
[20:27] 如果今年追不上市場期待
[20:28] 科技股出現比較大的回撥
[20:30] 那現在的消費
[20:31] 看起來都是財富效果推升的
[20:33] 大家股票賠了
[20:35] 基本上連消費的意願就沒了
[20:37] 川普的中期選舉
[20:38] 就有可能受到極大壓力
[20:40] 在這樣效果底下
[20:41] 市場上等同於有不同的看法
[20:43] 可是最終換成新一輪的
[20:46] 這種市場共識
[20:48] 那除了AI
[20:48] 我難告還可以做其他事情嗎
[20:51] 就人現在的傳產的復甦
[20:53] 都是靠AI的資料中心的
[20:55] 帶貨潮所引起的缺貨
[20:57] 所帶動的傳產繁榮
[20:58] 所以AI只能繼續好下去
[21:00] 所以我們看在昨天
[21:01] 道瓊雖然受到比較顯著賣壓
[21:03] 不過呢
[21:04] 標普和費辦
[21:05] 仍然持續在挑戰歷史新高之路
[21:07] 我們細看
[21:08] 道瓊指數下跌408點
[21:10] 0.83%
[21:11] 則是19,003點
[21:12] 標普上漲28點
[21:14] 0.41%
[21:15] 則是6,978點
[21:16] 納指上漲215點
[21:18] 0.91%
[21:19] 則是23,817點
[21:20] 費辦上漲190點
[21:22] 2.4%
[21:22] 則是8,117點
[21:24] 那這一波整個標普牌指數
[21:27] 動能的確漲幅稍微比較弱一點
[21:30] 不過還是在創高
[21:31] 多頭有點擁擠
[21:32] 不過其實從24年秋季以來以後
[21:35] 美國股市看起來很穩
[21:37] 但其實有一點原地踏步的慢慢走
[21:39] 原因就在於
[21:40] 七大科技股大部分都已經停止創高了
[21:43] 現在是先漲一大段來橫盤消化
[21:47] 把本益比給試圖拉低
[21:48] 所以其實現在最重要的是
[21:50] 在禮拜四就即將要公佈的科技股財報
[21:53] 就我們要搞清楚
[21:53] 它到底為什麼那麼久不漲了
[21:55] 如果財報好的不得了
[21:57] 那現在就是一個價值投資點了
[21:59] 原因很簡單
[21:59] 因為本益比過去一個季度下滑非常多
[22:02] 那如果是有某些利空因此
[22:04] 財報財策資本支出的不如預期
[22:07] 那大概就可以理解
[22:08] 為什麼股價稍微止步
[22:10] 因為大家要聽看聽
[22:11] 我們從七巨頭來看
[22:12] 其實股價很明顯就是替未來三到五年的賭注來做定價
[22:16] 這個資本支出從二三年以後就開始加速
[22:19] 但股價上漲的速度其實更快
[22:21] 代表市場並不單純在獎勵已經賺到的錢
[22:24] 而是替這些公司在未來幾年的算力
[22:27] 資料中心和AI平臺和生態系來買單
[22:29] 換句話說
[22:30] 現在的估值
[22:31] 其實就是本質上是一種鉅額
[22:34] capx是能否轉化為長期壟斷現金流的集體下注
[22:39] 那一旦投資效率不如預期
[22:41] 或者AI需求曲線放緩
[22:42] 那估值的修正就難以避免
[22:44] 其實現在就有點類似於估值修正
[22:47] 股價是沒跌
[22:48] 可是你知道全部股價都在漲
[22:50] 就支援下你沒跌
[22:51] 就代表著大家對於你開始抱持了一些疑慮
[22:53] 那也很正常
[22:54] 因為現在七巨頭
[22:55] 佔整體美國股市的市值佔比
[22:57] 已經高達接近50%
[22:59] 美國股市現在不只是在看基本面
[23:02] 還要看流動性的問題
[23:03] 現在是所有預期都設想到最好的情況底下
[23:06] 給予的股價評價
[23:07] 一方面是資料中心一定能夠回收
[23:10] 另外一方面是系統的流動性
[23:12] 大家相信聯準會未來會降息
[23:14] 那如果真的因為通膨問題
[23:16] 降息週期再度延後
[23:17] 每一次流動性的回升
[23:19] 股市就跟著墊高
[23:20] 那流動性急縮
[23:21] 我們看過去經驗
[23:23] 似乎每一次股價都會立刻遭受到沉壓
[23:25] 所以我們接下來聯總會的日立決策會議
[23:28] 其實也非常重要
[23:29] 從種種訊息來做一個統合
[23:32] 其實還是可以看得出來
[23:33] 市場上在今年
[23:34] 整體共識在年初
[23:36] 其實還沒有顯著的放大
[23:38] 大家對於點位有預期
[23:39] 但都是針對AI的合理本益比來做
[23:42] 高一點的推顧
[23:44] 你說市場在今年的交易主軸
[23:46] 很明顯是小型股嗎
[23:48] 還是AI股
[23:49] 很明顯現在不是AI大型股
[23:51] 那很明顯是傳產
[23:52] 好像也不確定
[23:53] 大家的說法
[23:54] 其實在年初共識
[23:55] 還是有點分歧的
[23:56] 我們舉例來說
[23:57] 過去每一年的歷史階段
[23:59] 它都會有一個
[24:00] 比較平均普遍的共識
[24:01] 然後一路擠進去
[24:02] 從過去25年
[24:04] 做多七巨頭
[24:05] 做多黃金
[24:07] 到22年
[24:08] 去做多美元
[24:09] 然後22年做多原油
[24:11] 因為當時通膨失控
[24:12] 在20年做多美國科技股
[24:15] 17年做多美國納斯達克
[24:17] 在接下來做多
[24:19] 不管是價值股
[24:21] 高品質概念股
[24:22] 做多美股
