[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 我們後續要觀察的幾個方向
[05:01] 大型科技股內部的走勢分歧
[05:03] 也在快速拉開
[05:04] 我們看不同公司的AI策略
[05:07] 和變現的節奏差異
[05:08] 讓股價明顯的變化
[05:10] 所以在交易層面上
[05:11] 高盛的看法是與其家族方向
[05:14] 不如直接交易波動率本身
[05:16] 就是對賭市場的波動率槓桿放大
[05:19] 先讓市場上有進一步的
[05:22] 整體波動預期開始發酵以後
[05:25] 到時候再來判定
[05:26] 最後能夠由誰來勝出
[05:28] 其實如果我們細看
[05:29] 美國科技股到現在為止
[05:30] 是不是已經回撥到一個健康的水位
[05:33] 我們從多數的資產價格
[05:36] 以及本益比回撥
[05:37] 還有PEG本益成長比來看
[05:39] 其實我個人看法是
[05:40] 其實本益回撥
[05:41] 其實已經算蠻多了
[05:43] 因為現在的回撥不是從上個月
[05:45] 軟體股的下殺才開始的
[05:47] 而是從過去去年10月份以來的AI湧動
[05:51] 你看甲骨們都跌到2025年4月份了
[05:54] 它的EPS也增長很多
[05:55] 照理來說
[05:56] 撇開它的RPO
[05:58] 其實它的本益比回撥幅度已經算是蠻大的
[06:01] 那差別只在於
[06:02] 到底OpenAI最後能不能勝出
[06:05] 如果是Gemini
[06:06] 如果是Google勝出
[06:07] 那的確會形成適度的週期輪動
[06:09] 但是更有可能的
[06:11] 它是一個增量市場
[06:12] 大家都在往上走
[06:14] 好那科技股到目前為止
[06:15] 到底是不是已經回撥夠了
[06:17] 我們如果從幾隻股票來做觀察
[06:20] 首先科技股這一次被大幅的拆解估值
[06:23] PEG本益城邦比已經降到五年的低點
[06:25] 其中一個領先指標就是微軟
[06:28] 微軟的部分過去因為CHAT GPT
[06:31] 還有AIT才所帶動的那一段超額報酬
[06:34] 相對於大盤的漲幅已經完全回吐了
[06:37] 好這說明著22年11月份以來
[06:41] AI敘事所帶來的領先幅度
[06:43] 走了一整圈
[06:44] 現在回到原點
[06:45] 微軟股價也從歷史高點
[06:47] 大概跌幅有接近三成
[06:48] 進入熊市了
[06:50] 代表市場針對AI相關估值的溢價
[06:53] 已經出現明顯的縮窄
[06:55] 所以賣壓是否已經過度
[06:57] 這很難說
[06:57] 畢竟市場的情緒很難去預估
[06:59] 可是通常止穩
[07:01] 它看的不會是單純跌幅大小
[07:03] 而是幾件事
[07:04] 第一個是獲利預期
[07:06] 是否已經停止下修
[07:07] 微軟在慘
[07:09] 它能夠獲利衰退嗎
[07:10] 很難嘛
[07:11] 第二個是AI投資帶來的實際營收
[07:13] 能否被驗證
[07:14] 第三呢
[07:15] 是整體科技股的去槓桿
[07:17] 是否已經告一段落
[07:18] 所以單純從跌幅來看
[07:20] 說不準
[07:21] 可是單純從相對於大盤的總體績效
[07:24] 除非你認為
[07:25] 微軟接下來很長一段時間
[07:27] 會跑輸給標普
[07:28] 要不然呢
[07:29] 其實本益比回撥幅度算是蠻大的
[07:31] 我們再把IBM
[07:32] 拿來跟微軟的前瞻本益比來做對照
[07:35] 會發現
[07:36] 微軟大部分的估值
[07:37] 都是維持在30倍上下
[07:39] 明顯高於IBM的10到15倍
[07:42] 可是這兩年
[07:43] IBM的估值現在已經墊高到24倍了
[07:46] 微軟呢
[07:46] 幾乎只有23倍
[07:48] 所以如果是從前瞻本益比
[07:50] 微軟的本益比算很低很低
[07:51] 低到幾乎比IBM還要來得低了
[07:54] 這件事情其實也彰顯著這似乎在七巨頭當中已經有部分股票有極大的賣壓開始呈現而我反而現在對於微軟就沒這麼悲觀了因為它本益比下滑幅度很大
[08:05] 其實如果你從對數來看
[08:07] 標普500中大型成長股和科技股
[08:10] 相對於其他成分股的表現比值
[08:13] 還是看得出來
[08:14] 16年以來幾乎就沿著一條年化14%的報酬率
[08:18] 上升通道來執行
[08:20] 那中間曾經遇到22年當時的系統性風險
[08:23] 或者我們講說烏二戰是
[08:25] 庫存調整所受到的影響
[08:27] 稍微脫離軌道
[08:28] 不過呢
[08:29] 大部分時間15年以來
[08:31] 都還在這條軌道之上
[08:32] 那現在呢
[08:33] 有沒有理由說系統性風險即將發生
[08:36] 如果沒發生
[08:37] 那麼就代表著有部分科技股
[08:39] 在本人的回撥開始陸續超跌
[08:41] 我們在以美國科技股的ETF XLK
[08:44] 的前瞻PEG
[08:46] 就本益比相對於盈餘的成長比變化
[08:49] 那個下滑幅度就更快了
[08:51] 單純從本益比
[08:52] 大家都算是高了
[08:53] 可是如果你把本益比再除以它的獲利的成長幅度
[08:57] 它的本益比估值是上升很快
[08:59] 可是如果它的獲利上升更快呢
[09:01] 你會發現PEG曾經在20年到21年衝高到高峰
[09:06] 24年到25年也曾經衝高
[09:08] 可是呢在2026年卻一路的向下
[09:11] 說明的事情就是
[09:12] 我們現在股價已經很多七巨頭停止創高了
[09:15] 可是七巨頭賺的錢還在瘋狂的上升
[09:19] 所以從本益成長比指數
[09:21] 其實還在持續下滑
[09:22] 甚至已經差不多接近2022年庫存修正水準了
[09:26] 所以從這樣的一個角度來看
[09:28] 等於兩年多估值
[09:29] 大概多次都是在28倍左右遇到天花板
[09:33] 現在只有24倍
[09:35] 就等同於不是顯著的天花板
[09:37] 對於NDX也就是納斯達克100指數來說
[09:40] 所以你說費半
[09:42] 費半有沒有估值過高
[09:44] 的確它股價在創高
[09:45] 你可以講它估值過高
[09:46] 可是納斯達克指數
[09:48] 它已經有一個季度沒有股價創高了
[09:51] 而且與此同時
[09:52] 有非常明顯的獲利增長
[09:54] 導致它的基期指標
[09:55] 正在快速的下行
[09:57] 所以即便接下來
[09:59] 我們可能預估
[10:00] 相對獲利的成長
[10:01] 沒有想象中來的這麼多
[10:03] 可是按照本人的回撥
[10:04] 他可能也提前做好反應
[10:06] 就代表著財報
[10:08] 接下來就算有所趨緩
[10:10] 那股價搞不好
[10:11] 早就已經先跌了
[10:12] 所以AI股
[10:13] 這一波軟鐵股的下殺
[10:14] 我們用悲觀角度來看
[10:16] 很容易被解讀成
[10:18] AI的熱潮開始反噬
[10:20] 需求不如預期
[10:21] 成長故事被戳破
[10:22] 資金先用價格把風險打折
[10:24] 但你換個角度來說
[10:26] 很多公司先前是估值的確
[10:28] 去年10月份潮太高
[10:30] 太滿了太貴了
[10:31] 市場把過度樂觀的想象給吐回來
[10:34] 這個吐回來不一定是股價跌
[10:35] 本益比下滑
[10:37] 獲利上升
[10:37] 它也算是一種吐回來
[10:39] 讓本益比和營收增長重新對齊
[10:42] 所以對於長線來說
[10:44] 題材的降溫就不一定是壞事
[10:46] 反而能夠把泡沫和雜煙給洗掉
[10:48] 留下真正有產品力
[10:50] 有現金流和商業模式的公司
[10:52] 所以有時候我們這樣講
[10:54] 你換一種說法
[10:55] 到底他是AI熱潮開始反噬
[10:58] 還是說市場只是提前
[11:00] 先用價格把風險給打折
[11:02] 你換一種說法
[11:04] 就可以把優先順序
[11:05] 或者利多或者利空
[11:07] 進行順序的改變
[11:09] 那網路上最有名的一個段子
[11:10] 有個男的不是晚上去ATM取款
[11:13] 操作到一半
[11:14] 機器故障
[11:15] 十萬塊扣款成功
[11:17] 但是沒吐錢
[11:18] 男生馬上就打旁邊那個電話
[11:21] 聯絡銀行客服
[11:22] 客服說會記錄一下情況
[11:25] 但可能要明天才能夠維修
[11:26] 男子結束通話電話以後
[11:29] 靈機一動
[11:29] 馬上又打了一通電話
[11:31] 說自己來取款
[11:32] 就給ATM多吐了5000塊
[11:35] 五分鐘維修人員馬上就趕到了
[11:37] 有時候我們講說
[11:38] 制度是靠流程在運作
[11:40] 但人性他會試圖找到漏洞和捷徑
[11:43] 同樣一臺壞掉的ATM
[11:45] 同一個晚上
[11:46] 同一通客服
[11:47] 你只要換一種說法
[11:48] 它到底是利多還是利空
[11:50] 優先順序馬上就會改變了
[11:52] 所以我們往下看
[11:53] 那軟鐵股當前的外溢效果
[11:55] 到底是不是已經太誇大AI衝擊了呢
[11:59] 我個人的看法
[12:00] 第一個股價衝擊是真的
[12:02] 但股價衝擊所造成的實質影響
[12:05] 你有沒有想象中來的大
[12:06] 表面上企業軟鐵股的大幅下跌
[12:09] 當然是AI帶來的顛覆性風險
[12:11] 會取代很多軟體平臺
[12:13] 更直接的影響
[12:14] 其實我們看到
[12:15] 很多是疫情期間的景氣迴圈副作用
[12:19] 疫情期間大量的投資數位系統
[12:22] 加上低利率的推動
[12:23] 帶動軟體支出的高速成長
[12:25] 那隨著利率的走高和不確定性增加
[12:27] 很多企業本來就已經開始收斂預算了
[12:30] 因為我們講說軟體商
[12:32] 尤其是中小型軟體商
[12:34] 它目前的投資增速正在放緩
[12:36] 造成股價的適度賣壓
[12:37] 它本來就是一個
[12:38] 後疫情時代會經歷的事情
[12:41] 但這些AI的威脅可能被高估了
[12:43] 我個人看法是這樣
[12:44] 就多數企業
[12:45] 並不想把軟體變成核心業務
[12:48] 長期趨勢
[12:50] 在美國很多是把系統外包
[12:52] 除了臺灣
[12:53] 臺灣很喜歡把系統內包
[12:54] 很多美國的公司
[12:56] 是把系統外包訂閱化
[12:57] AI寫出的程式
[12:59] 目前還是出現結構和邏輯瑕疵
[13:01] 對於既有複雜的系統的改造能力
[13:03] 還是有限
[13:04] 而且未來算力和模型成本
[13:07] 很可能上升
[13:08] 不會永遠這麼便宜
[13:09] 大型軟體商
[13:11] 同時也在快速的
[13:12] 把AI功能遷入到產品
[13:14] 並且用併購和現金流優勢來補強能力
[13:17] 企業客戶的轉換系統成本高
[13:19] 黏著度強
[13:20] 如果AI最終能夠降低開發成本
[13:23] 提升應用的範圍
[13:25] 那很有可能會刺激整個軟體支出變大
[13:28] 而不是變小
[13:29] 就好像我們都覺得
[13:31] 灰達好像研發更為有效能的產品
[13:33] 那可能會傷到自己
[13:35] 那你之前的產品大家就不要了
[13:37] 只願意買新的
[13:38] 那大家對於資本投入
[13:40] 可能就會更加謹慎
[13:41] 但如果它是一個增量市場
[13:43] 就好像難道Google成長
[13:45] OpenAI就一定被傷害嗎
[13:47] 也許是一個增量市場
[13:48] 大家都會成長啊
[13:49] 難道電動車賣得好
[13:51] 特斯拉就一定會賣得差嗎
[13:53] 受到比亞迪的競爭
[13:54] 不一定啊
[13:55] 也許電動車市場
[13:56] 一舉去侵蝕原本的藍油市場啊
[13:58] 所以對於軟鐵股所形成的傷害
[14:01] 我是抱持著
[14:02] 沒有那麼大的一個衝擊疑慮啊
[14:04] 反而讓一次性的股價下調
[14:06] 讓大家的本益比進行統一性的修正啊
[14:09] 反而對於當前的長期多頭
[14:11] 來的是更加穩健的哦
[14:13] 多頭就是要這樣子
[14:14] 擋一掌休息一下
[14:16] 讓本益比適度的修正
[14:17] 那現在告訴你本益比都要修正
[14:19] 股價從指數來看
[14:20] 你跌幅不夠重
[14:21] 從降效果來看
[14:23] 很明顯的就是讓獲利
[14:25] 能夠跟上現在的股價
[14:26] 所以如果真的是一次股價跌到位
[14:29] 那也不是壞事
[14:30] 急跌總是好的
[14:32] 真正讓人家受不了的下跌
[14:34] 有兩種
[14:35] 一種讓人家受不了的下跌
[14:37] 叫做緩跌
[14:38] 另外一種讓人受不了的下跌
[14:40] 叫做壓美跌
[14:41] 那我個人是偏好壓迷
[14:43] 不是我個人是偏好集結
[14:45] 當然如果現金很多是希望緩跌
[14:48] 但如果是我們訂閱制的會員好朋友們
[14:52] 大概知道我們現在手頭現金也不是很多
[14:54] 都在等一個乖離回擋而已
[14:56] 所以在這樣的一個角度底下
[14:58] 市場下跌的心理情緒
[15:00] 大概一層是恐慌心理
[15:03] 另外一層就是實質面景氣面的轉換
[15:06] 那你知道如果是恐慌心理情緒的回撥
[15:09] 通常我們簡稱為乖離回撥
[15:11] 就是漲多了
[15:12] 失度回擋
[15:13] 心理情緒想賣的賣一賣
[15:15] 另外一種是實質面景氣面的轉快
[15:18] 這種才是我們講的庫存迴圈
[15:20] 那個才是兩到三年的顯著的部件點
[15:23] 而現在庫存迴圈
[15:24] 從臺灣市場成美國市場來看
[15:26] 製造業PNI都已經陸續突破50了
[15:29] 看起來才剛剛進入到全面復甦
[15:31] 那麼恐慌情緒的發酵
[15:33] 就變成了乖離回撥的理由
[15:35] 所以其實疫情發生以後
[15:37] 一開始很多人還不清楚
[15:39] 要如何去估計經濟的衝擊
[15:40] 所以會逐步下修對於未來的預期
[15:43] 只要風險還在
[15:44] 這種估計大概都是大膽的猜測而已
[15:47] 可是也因為有風險
[15:49] 所以會要求較高的報酬率
[15:51] 來補償所承擔的風險
[15:52] 使得本益比會略低
[15:54] 可是一旦風險逐步降低我們知道短期內很難迎來系統性風險了那麼人的恐慌情緒它也會逐步的消退那就變成了大家只是變成獲利了結的麥芽
[16:07] 是否足以引起恐慌而已
[16:09] 所以恐慌情緒
[16:11] 它會搭配著十字基本面
[16:12] 我們講的戴維斯雙殺
[16:14] 本一筆往下殺了
[16:16] 獲利又往下殺了
[16:17] 一直殺殺到見底
[16:18] 你以為積極夠低了
[16:20] 想不到更恐慌
[16:21] 但同樣的
[16:22] 如果在一個擴張週期
[16:23] 它就變成了
[16:24] EPS每個季度還在創高
[16:27] 可是每個季度
[16:28] 或者每隔一兩個季度
[16:30] 它就會有恐慌性的獲利了結賣壓
[16:32] 而我個人認為
[16:33] 現在可能更類似於後者
[16:35] 當然部分資產跌幅是比較重
[16:37] 這是真的
[16:38] 你像比特幣的部分
[16:39] 大概已經快要腰斬了
[16:41] 當然現在比特幣
[16:42] 從高點大幅回落的走勢
[16:44] 很多人認為
[16:46] 支持者認為
[16:47] 高波動本來就是機制的一部分
[16:49] 人家以前三到四年的熊市
[16:51] 那都是跌六成七成的
[16:53] 那只是用來去洗掉部分的短線資金
[16:56] 所以在這樣效果底下
[16:58] 加上政策態度轉為友善
[17:00] 等同於主流所採用的利多
[17:03] 可能早就已經落地了
[17:04] 在這樣效果底下
[17:06] 加上政策態度
[17:07] 我們剛才跟投資朋友提到
[17:09] 最有利的制度和資金環境
[17:11] 出現回撤
[17:12] 是否代表著川普政府
[17:14] 就會停止釋出利多
[17:16] 這就很難說
[17:16] 所以利多者支持者
[17:19] 一方面認為高波動是正常的
[17:21] 只是洗掉短線資金
[17:23] 但是對於空方而言
[17:24] 覺得川普很難試出
[17:26] 更有利的制度和資金環境了
[17:28] 所以短期內這項資產
[17:29] 可能無法受到
[17:31] 市場上更進一步的青睞
[17:32] 那當然利多利空
[17:34] 這個每個人角度不一樣
[17:35] 不過從週期來看
[17:37] 比特幣還遠遠沒有達到
[17:39] 過去它的庫存調整
[17:40] 60%以上的跌幅
[17:42] 不過它也說明了
[17:43] 你對於股市投資的節奏
[17:46] 或者退出條件
[17:47] 以及參與條件加碼條件
[17:49] 應該要在參與之前
[17:51] 就要先設定好
[17:52] 你要先有自己的tempo
[17:54] 那股市投資
[17:55] 軟旗股現在跌幅兩層三層
[17:57] 已經變得普遍了
[17:58] 七巨頭可以跌到15%以上
[18:01] 也蠻普遍的
[18:02] 比特幣跌到五層六層
[18:03] 也蠻普遍的
[18:04] 需要了解這個節奏和代價
[18:06] 像那個專家不是常說
[18:08] 週末中午有時候睡個午覺
[18:11] 下午才會有精神
[18:13] 那有很多人不是下午一睡
[18:15] 精神是有了
[18:17] 但是下午就沒了
[18:18] 有時候你要掌握那個tempo
[18:20] 這個Tempo其實就是在面對一個高Beta值
[18:23] 高波動率的社會
[18:24] 好我們往下看
[18:25] 剛才跟投資朋友提到
[18:27] 現在市場上在本天
[18:28] 這今日最大的一個關注點
[18:30] 就是Alphabet的全球發債計劃
[18:32] 百億美元的訂單
[18:34] 現在持續追捧AI資本支出
[18:36] 看得出來市場上似乎有更進一步的需求
[18:40] 是針對誰能夠獲勝的企業
[18:43] 而並不是針對全面性市場的看好
[18:45] 大家還是壓住AI是主流趨勢
[18:48] 阿發貝這一次所啟動新一輪的全球債券發行計劃
[18:51] 市場的認購需求爆棚
[18:53] 大概是150億美元的發債規模
[18:55] 已經超過1000億美元的訂單
[18:57] 急著想要來申購
[18:59] 近年企業在最為熱烈的認購之一
[19:02] 應該就是阿發貝了
[19:03] 除了美元債以外
[19:04] 阿發貝也同步規劃瑞士法郎和英鎊的計價債券
[19:08] 所以前陣子它因為資本支出調高
[19:12] 然後債券或者股價被下殺
[19:14] 現在又要重新發債
[19:16] 結果市場上又非常歡迎
[19:18] 你就知道市場的心理情緒
[19:20] 也就是多頭的時候
[19:22] 所有訊息都是利多
[19:23] 空頭的時候
[19:24] 所有訊息都是利空
[19:25] 在這樣效果底下
[19:26] 在利率仍然相對高檔的環境當中
[19:29] 頂級的科技巨頭
[19:31] 還是能夠以極強的需求來融資
[19:33] 代表市場上
[19:34] 其實更在乎的是成長題材
[19:36] 和現金流的穩定度
[19:38] 我們再往下看
[19:39] 亞馬遜之前也是一樣
[19:41] 亞馬遜是七巨頭當中
[19:43] 目前資本支出最高的
[19:44] 已經達到1460億
[19:46] 這麼高強度的資本支出
[19:48] 之前還是受到顯著賣壓
[19:50] 2026年已經調高到2000億了
[19:52] 比2025年又高了接近50%
[19:55] 等同於現在所有人都在投錢
[19:59] 可是投的錢的好壞
[20:01] 或者現金流的大小
[20:03] 高或低市場的信心
[20:05] 都會影響到整體股價估值的高或低
[20:08] 那麼股市的強談
[20:10] 我們現在看去年第四季
[20:12] 標普500第四季財報
[20:13] 因為已經逐步公佈完了
[20:15] 部分獲利的成長率
[20:17] 結構非常明顯呈現
[20:19] 由科技股的單引擎帶動
[20:21] 整體標普500的獲利成長
[20:23] 大概是一成多
[20:24] 科技板塊成長三成
[20:25] 遠遠高於其他產業
[20:27] 是本輪企業
[20:28] 獲利擴張當中的核心火車頭
[20:31] 第二梯隊是工業和通訊服務類別
[20:34] 大概是一成五到兩成之間
[20:36] 也代表著AI基礎建設
[20:38] 數位平臺和企業資本支出
[20:40] 還在升盤
[20:41] 金融大概就一成
[20:42] 屬於景氣中斷的位階
[20:44] 在總總效果底下
[20:46] 這一次即便AI資本支出已經蠻多了
[20:49] 大概你把Meta Amazon Microsoft Alphabet
[20:52] 四大科技巨頭的資本支出加起來
[20:55] 大概是GDP的2.1%
[20:57] 規模大概是逼近19世紀
[20:59] 美國鐵路建設的高峰期大概是2%
[21:02] 也比洲際高速公路的0.4%
[21:05] 阿波羅的太空計劃的0.2%還來得高
[21:08] 所以你要說投的算很多嗎
[21:11] 不少了
[21:12] 沒有到歷史新高
[21:13] 但是基本上也差不多比大部分的全球
[21:18] 或者說美國本土的大規模的財政支出計劃
[21:21] 還要來得高了
[21:22] 在這樣效果底下
[21:23] 等同於大家的資本支出佔營收佔比都在提升
[21:27] AI這個夢還是必須要成
[21:28] 否則大家都在這條船上了
[21:31] 我們把資本支出佔營收比例來做觀察
[21:33] Meta的拉伸是最顯著的
[21:35] 從去年應該講前幾年
[21:38] 大概都是接近在20%左右
[21:40] 這一次已經衝高到30%以上了
[21:43] Microsoft也一路墊高到三成
[21:45] Amazon從雙位數字
[21:48] 回升到現在大概有兩成左右
[21:50] Alphabet的部分就很平穩
[21:52] 所以有沒有可能是因為
[21:53] Alphabet是現在四大CSP業者當中
[21:56] 資本支出佔營收比例最低的
[21:58] 所以也可以解釋
[21:59] 為什麼最近股價在蘋果的反彈
[22:02] 還有Alphabet有顯著的股價支撐
[22:04] 其實如果我們把它拿來
[22:06] 做一個更視覺化的圖來做對照
[22:08] Alphabet現在市值是3.9兆
[22:10] 預估資本支出是1850億
[22:13] 這個比例看起來沒有想象中這麼大
[22:15] Microsoft從3兆兌1500億
[22:18] Amazon是2.5 2.3兆兌2000億
[22:21] Meta大概是1.7兆兌1350億
[22:25] 那差不多了
[22:26] 單一一家公司
[22:27] 等同於一箇中型國家基礎建設規模的資本開支
[22:30] 可是這個比例來做觀察
[22:32] 是否代表著接下來投資人的評價
[22:35] 取決於你的資本支出
[22:37] 佔總市值或者總營收的比例
[22:40] 馬斯克現在也在搶錢
[22:42] 大家不要覺得只有基礎建設
[22:44] 傳統的七巨頭在搶錢
[22:46] 馬斯克現在XAI
[22:48] SpecX特撒的命運已經綁在一起了
[22:50] 變成超大型的綜合集團
[22:52] 很快六月份
[22:54] SpecX和XAI就即將要上市了
[22:57] 尤其這一次
[22:58] 已經開始為提前的IPO來鋪路
[23:00] 原因就在於
[23:01] 等到它一上市以後
[23:03] 很快的
[23:04] 它會是全球最大的創新公司
[23:07] 很快的會擠入到七巨頭
[23:09] 那就代表著
[23:10] SpareX在上市之後
[23:12] 它會很快的被納入到
[23:13] 納斯達克指數和其他主要指數
[23:16] 很多公司顧問和指數的編撰機構
[23:18] 已經開始接觸了
[23:19] 就想說SpareX能不能
[23:22] 跟其他高估值新創
[23:24] 能夠一起跳過傳統的等待期
[23:26] 一般你如果市值很大
[23:28] 你就要進入到0050
[23:30] 要進入到SPY
[23:31] 一般企業上市之後
[23:33] 可能要等到數個月或者一年
[23:35] 才能夠進入到這些指數
[23:36] 可是SpareX如果想要搶錢
[23:39] 一方面要搶初級市場
[23:41] 第二大方面要搶次級市場的流通率
[23:44] 所以你要讓ETF和基金快速的買入SPACX
[23:48] 你就要趕快擠入到這些指數當中
[23:51] 有助於大量的資金和流動性
[23:53] SPACX最近的估值是8000億
[23:55] 市場的估值是上看1兆美元馬斯克親自個人認為是1.2兆如果成為上市公司的話就會是史上最大的IPO
[24:05] 那到時候啊
[24:06] 全球的被動型基金就被迫要買入這檔股票了
[24:10] 所以我們講說
[24:11] 今年就是一個超級搶錢大作戰
[24:13] 好那我們回過頭看一下四大指數變化
[24:15] 美股道瓊指數上漲20點
[24:17] 0.04%
[24:18] 所以50135點
[24:20] 標普上漲32點
[24:21] 0.47%
[24:22] 所以6964點
[24:23] 納薩克指數上漲207點
[24:25] 0.9%
[24:26] 刷23238點
[24:28] 費班上漲113點
[24:30] 1.42%
[24:31] 刷8162點
[24:33] 四大指數基本上道瓊還是在走高
[24:36] 納薩克指數還想要嘗試的突破新高
[24:39] 那費班反而是現在反彈最快的
[24:41] 因為是上一波下殺最多的
[24:43] 那值得留意的事情是
[24:44] 臺積定ADR昨天上漲1.88%
[24:48] 美股現在說在355塊創下歷史新高了
[24:53] 所以我們細看一下
[24:54] 待會臺股市開盤以後
[24:56] 臺積電今天股價
[24:58] 有沒有機會再度挑戰歷史新高
[25:00] 其實在昨天元月份
[25:02] 臺灣的出口金額
[25:03] 財政部公佈資料已經出來了
[25:05] 年增幅69.9%
[25:08] 總金額是657.7億美元
[25:10] 這是歷史第二大增幅
[25:12] 同時也寫下了單月歷史新高
[25:15] 元月份了
[25:16] 這個出口還在創高
[25:17] 如果連二月份
[25:19] 待會過年
[25:20] 二月份都還創高
[25:21] 那就很不得了了
[25:22] 單月出口首度突破2兆新臺幣大關
[25:26] 成長的動能
[25:27] 一方面當然是春節的弱點不同
[25:29] 所以2月份的貨提前到1月份先出了
[25:32] 再來就是AI高效能雲端產品的持續擴增
