[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 財報公佈在即
[20:58] 你已經可以肯定他的執行力了
[21:00] 那這件事情也就意味著
[21:02] 川普一樣會丟出很多政策
[21:04] 那區別在於市場相不相信他會tackle
[21:07] 我們從最tackle的交易來看
[21:08] 就是關稅交易
[21:09] 當時在4月份解放日之後
[21:11] 川普針對100多個國家祭出關稅威脅
[21:14] 結果從最高稅率
[21:16] 平均稅率大概是接近25%
[21:18] 一路的下滑到現在
[21:20] 接近是14%
[21:21] 他有沒有達到目的
[21:22] 他的目的
[21:23] 當時美國對外的平均稅率
[21:25] 只有3到5%
[21:26] 現在是14%
[21:28] 他當然有拿到關稅
[21:29] 只不過這個關稅真正的承擔者
[21:32] 看起來主要還是進口商
[21:34] 第二就變成海外製造商幫忙負擔
[21:36] 最後消費者也稍微沖銷一下
[21:39] 那股票市場的確創下新高
[21:41] 不過由於4月份
[21:42] 當時下殺過快
[21:44] 導致其實川普第二任任期
[21:46] 在過去一年當中
[21:48] 他的漲幅還不如歐巴馬第一任
[21:50] 川普第一任
[21:52] 歐巴馬第二任
[21:53] 和拜登第一任
[21:54] 所以去年其實從年初到年尾
[21:57] 漲幅17%
[21:58] 川普整體股市表現不是特別亮麗
[22:01] 他只是股市的波動性大
[22:03] 所以投資機會變得比較多而已
[22:05] 再來是行政命令
[22:06] 權力高度集中在白宮
[22:08] 我們看張圖表
[22:09] 是川普的行政命令的發出量
[22:11] 他在第二任任期過程當中
[22:13] 相對於之前小布希或者歐巴馬
[22:15] 幾乎是直線攀升
[22:17] 在短短一年已經發布250條行政命令
[22:21] 數量遠遠超過任何總統
[22:23] 你把第一任和第二任加起來是450條
[22:26] 所以它等同於在一年內
[22:27] 它釋出的行政命令
[22:29] 超過它過去第一任任期
[22:31] 四年的所有行政命令在這樣效果底下很多的行政命令都是採取一定程度的監管或者說一定程度來解除過去他所認為的深層政府
[22:44] 比如說
[22:44] 他把司法部直接納入到
[22:46] 政治權力的運作之中
[22:48] 其實我們已經很清楚知道
[22:49] 司法部有很多的調查
[22:51] 都是主動依循著川普
[22:53] 想要延續的路線
[22:55] 包括我們看到的
[22:56] Lisa Cook或者Bauer
[22:58] 橫跨國安司法金融到貨幣政策體系
[23:01] 好處是
[23:02] 即便他很多行政命令正在實施
[23:05] 但是共和黨也很多叛徒
[23:07] 應該這樣講
[23:08] 輕科學的共和黨人
[23:10] 正在大量的去擋下山預算
[23:13] 白宮的重砍很難成真
[23:15] 原因就在於
[23:15] 在26年的財政年度預算當中
[23:18] 當時表面上
[23:19] 對川普高度配合的
[23:20] 共和黨的國會議員
[23:21] 但是在部分領域
[23:23] 都慢慢踩剎車了
[23:24] 比如說在健康領域
[23:25] 在科學領域
[23:26] 在太空研究經費上
[23:28] 白宮本來都預估
[23:30] NASA科學經費砍一半
[23:32] 國家科學委員會砍五成
[23:34] 醫療健康署砍四成
[23:36] 大概要砍三百億
[23:37] 但國會的動向最新顯示
[23:39] 這些刪除都不會落地
[23:41] 一個有法規問題
[23:42] 另外一個是眾議院已經明確確認
[23:45] 它會有相關的配套措施和法案
[23:47] 你只要提供足夠的證據
[23:49] 說明你需要這筆錢
[23:51] 我們最後都會讓你過
[23:52] 所以共和黨為什麼願意頂住呢
[23:54] 一方面那種癌症失智這種疾病
[23:57] 它不分黨派
[23:58] 民意對於醫學的研究高度支援
[24:00] 共和黨就被迫要守住
[24:01] 第二呢
[24:02] 是科學研究經費
[24:03] 能夠同步在紅藍州創造就業
[24:06] 撐起大學和醫療體系
[24:08] 所以呢
[24:09] 要砍
[24:09] 至少等中期選舉結束以後再說
[24:12] 那事實上
[24:13] 過去十幾年來
[24:14] 共和黨對於科研的撥款並不吝嗇
[24:16] 往往也不輸給民主黨
[24:17] 所以這次沒有高調的宣誓
[24:19] 他算是對於川普的尊重
[24:21] 但是呢
[24:22] 大多數的共和黨議員
[24:23] 目前對於部分的預算
[24:25] 還是有鬆綁的可能性存在
[24:27] 那再來就是通膨的問題
[24:29] 美國從22年高點通膨回落以後
[24:32] 基本上24年開始
[24:34] 它就一路卡在2.5%左右上下震盪
[24:37] 那一方面消費市場
[24:39] 零售市場沒有什麼好
[24:40] 可是另外一方面
[24:41] 關稅的通膨預期反映
[24:42] 還是讓通膨無法快速下行
[24:44] 那現在的問題在於
