[00:01] 投資平緩修訂早晨財經速解讀
[05:22] 現在是白銀帝國
[05:24] 那股價有漲嗎
[05:25] 白銀都已經漲了150%
[05:27] 在過去一年
[05:28] 黃金價格漲了80%了
[05:31] 那到底是我們的股價在漲
[05:33] 還是隻是因為貨幣在貶值
[05:35] 假設現在是金本位銀本位的話
[05:37] 那股票資產漲得很少
[05:39] 反而是貨幣資產
[05:41] 現在貶值非常快
[05:42] 所以可以用一樣子黃金
[05:43] 換到更多美元
[05:44] 在這樣的一個效果底下
[05:46] 要看的就是市場的流動性預期
[05:48] 似乎已經均衡反映到各大資產了
[05:51] 那現在的避險資產以後還是避險資產嗎
[05:53] 因為他感覺就是因為流動性預期開始擴張
[05:56] 所以第一個要觀察的方向是
[05:57] 在這種效果底下
[05:59] 第一個市場上相對沒有這麼大信心
[06:02] 沒有穩定回饋感的股市有企業的回饋
[06:05] 那貴金屬資產
[06:06] 他至少有那種單純稀有性所造成的避險性質
[06:10] 而債券市場就受到第一輪的拋售
[06:12] 我們先看
[06:13] 其實美國現在聯總會已經降息接近有三年了
[06:17] 那為什麼聯總會一直降息
[06:18] 美債利率還是這麼高呢
[06:20] 其實如果是以短天期利率
[06:22] 它是有受到更顯著的資金買盤的
[06:25] 可是長天期國債
[06:26] 我們過去講過
[06:28] 它反映的並不是現在利率有多少
[06:30] 而是未來的利率平均會是多少
[06:32] 如果市場認為通膨不會很快的回到過去低檔
[06:36] 政府赤字會長期的偏高
[06:38] 未來的發行債務量會增加
[06:40] 甚至擔心美國必須要用較高的利率來吸引資金
[06:44] 那麼就算短端利率再下降
[06:46] 長端也不一定會買單
[06:47] 從這件事情其實也就意味著
[06:49] 市場上針對美國長期的財政信用信心並不是特別高
[06:53] 大家只願意買短期的
[06:55] 那第二件事情是我們看
[06:57] 美債市場真的不怕川普嗎
[06:59] 其實財政赤字的報表
[07:01] 包括對於聯準會的頻繁開火
[07:04] 關稅戰的不斷
[07:05] 一直到現在的格林蘭問題
[07:06] 把北約關係推到懸崖旁邊
[07:08] 但是實際情況是
[07:10] 美國公債其實表現得很平淡
[07:12] 我們現在看到十年金公債
[07:14] 直立立跳高
[07:15] 只是因為它太久沒波動了
[07:17] 現在稍微波動
[07:17] 你就覺得很嚇到
[07:18] 其實它差不多就一直保持在
[07:20] 3.8到4.2之間反覆的震盪
[07:23] 反而我們觀察到下方的Move指數
[07:26] 也就是債券市場的恐慌指數
[07:28] 它是從去年中旬開始就一路下滑
[07:31] 根本就沒有任何人在做避險
[07:33] 所以從這件事情來看得出來
[07:35] 其實我們現在看得出來
[07:37] 債券市場在全球
[07:38] 有一點比爛心態
[07:40] 就是放眼全球
[07:41] 日本是揹負著天量債務
[07:44] 法國財政體質的惡化
[07:46] 英國垮在低成長和高稅負的泥沼
[07:48] 那美國就算問題一大堆
[07:50] 那美國的經濟還在成長
[07:52] 美國的人口結構也沒這麼悲觀
[07:54] 那美元又有全球的地位和市場規模
[07:57] 所以你很難讓投資人下定決心要全面撤離
[08:00] 所以美債第一
[08:02] 它肯定比日債還要來得健康
[08:04] 第二呢
[08:04] 它也比歐洲各大債券市場都還來得健康
[08:07] 之所以市場上
[08:08] 擔心美債市場短期的波動
[08:10] 其實更多是反映
[08:12] 它已經平盤太久
[08:14] 盤整太久
[08:15] 所以稍微波動一大
[08:16] 大家就嚇到了
[08:17] 其實從25年以來
[08:18] 大家比較常忽略的是10年期公債殖利率在各國其實處於比較明顯的分歧情況日本是最突出的我們看它的公債殖利率是一路的向上衝它反映的就是背後的貨幣政策正常化
[08:31] 通膨和薪資結構改變
[08:32] 那G7的國家大部分都在臨走附近
[08:35] 就其實從頭到尾
[08:36] 過去一年沒有太大方向
[08:38] 那美國還相反
[08:40] 美國還有稍微有點下滑
[08:41] 一度接近下滑一個百分點了
[08:43] 所以呢這也是為什麼我們講說
[08:45] 殖利率下來
[08:46] 債券價格上去
[08:47] 賬面獲利漂亮
[08:48] 背後反映的是
[08:49] 全球的債券市場
[08:51] 它並沒有一個統一的結構性方向
[08:53] 因為你要說現在降息通道完全開啟
[08:56] 有些國家已經開始降息來到尾聲了
[08:59] 有些國家還剛剛開始升息
[09:01] 像日本
[09:02] 實在這樣的一個效果
[09:03] 就導致其實美國十年積公債殖利率
[09:06] 在過去十年來
[09:07] 大多數時間都是高於其他已開發市場的
[09:10] 這也代表著美元資產
[09:12] 長期有明顯的利差吸引力
[09:14] 但在二二年見高點以後
[09:16] 這個利差就開始快速收斂
[09:17] 就是它還是有吸引力
[09:19] 因為它還在零周以上
[09:20] 可是不像過去兩年
[09:22] 這麼有吸引力了
[09:24] 所以買盤也沒有想象中
[09:25] 來得這麼湧入
[09:26] 在這樣效果底下
[09:28] 全球針對整個債券市場
[09:29] 它更類似於一種單一配置作用
[09:32] 而缺少了內果做多的力道
[09:34] 舉例來說
[09:35] 張圖表示在成長放緩
[09:36] 而並不是失控通膨的情況底下
[09:39] 債券市場的避震器效果
[09:41] 結底不論是科技泡沫破滅
[09:43] 金融海嘯
[09:44] 還是聯總會的緊縮預期
[09:47] 其實股票市場在進入到負報酬的時候
[09:50] 十年期美債大多數都還能夠給予正回報
[09:53] 差別只在於幅度大小
[09:55] 所以現在這樣的一個情況底下
[09:57] 很多人把焦點完全聚焦在貴金屬資產或者股票資產
[10:02] 債券市場往往因此而被忽略
[10:04] 當然不代表說你要因此而持續的看多長債
[10:07] 長債就是有市場上不信任的問題
[10:09] 但是短天期國債反而形成了一種資金
[10:13] 在內現金部位所形成的避風港
[10:15] 當然它背後所形成的效果
[10:18] 也是有新一輪的預期所產生的方向
[10:20] 要如何讓大家針對美債有徹底性的改觀呢
[10:24] 第一是至少貨幣政策要確認吧
[10:26] 貨幣政策要確認
[10:27] 你至少要知道聯總會主席是誰吧
[10:29] 那現在市場針對聯總會下一任主席的押注出現了急轉彎
[10:33] 白宮內部的評估
[10:34] 最近Rick Reiter就是李德的部分
[10:37] 之前他是黑石的投資長
[10:40] 這次大幅的篡高
[10:42] 在川普表態不久之後
[10:45] 就即將會公佈人選
[10:46] 現在居然衝高到78%了
[10:48] 之前哈塞特是因為
[10:50] 川普希望他留在白宮
[10:51] 那Walsh最近好像慢慢的被打入冷宮
[10:55] 大家發現他好像鷹派的角色
[10:58] 並不會因為有可能擔任聯總會主席而弱化
[11:01] 最後反而有可能大家對賭
[11:04] 川普會找他的好朋友
[11:05] 黑石的投資長李德來擔任聯總會主席
[11:09] 那有好處又有壞處
[11:10] 因為李德他是
[11:12] 現在全球固定收益的投資長
[11:14] 規模有2.4兆
[11:15] 對於債券市場
[11:16] 看起來是一個極大利諾
[11:18] 那他也直言
[11:19] 即便聯總會降息
[11:20] 房市年輕家庭和小企業
[11:23] 還是成功比較高的借貸成本
[11:26] 這顯示政策還沒有真正松到位
[11:28] 所以他是一個
[11:28] 已經在市面的媒體上
[11:31] 公開的這種寬鬆派
[11:32] 那投資圈也認為
[11:34] 他並不是意識性形態的人物
[11:35] 他更在乎的是制度和長期民生
[11:38] 所以對於市場友善
[11:39] 但是也不會寬鬆到很誇張的地步
[11:42] 讓大家有新一輪的預期
[11:45] 不過因為這一次的聯準會主席
[11:47] 變動幅度實在太快了
[11:48] 雖然短期內他的民調
[11:50] 或者polymarket賭盤
[11:51] 衝高到70%
[11:52] 不過市場上
[11:53] 其實還是更為聚焦短期內的問題
[11:55] 就是這一輪
[11:57] 美國政府熬不熬得過這一關
[11:59] 我們過去已經提過了
[12:00] 現在參議院銀行委員會的態度是
[12:03] 只要川普或者司法部
[12:05] 不撤銷針對聯準會整修案的指控
[12:08] 那五月份即便到期
[12:10] 聯總會主席
[12:11] 他們也不會提名過去
[12:12] 到時候就是鮑爾繼續當主席了
[12:14] 所以銀行委員會
[12:16] 已經有做非常明顯的表態
[12:17] 來跟川普來進行對抗
[12:19] 那另外一方面
[12:20] 麗莎庫克的位置
[12:21] 看起來已經保住了
[12:22] 上個禮拜
[12:23] 當時美國最高法院
[12:25] 聽取口頭辯論
[12:26] 討論是否要撤換麗莎庫克
[12:28] 就之前有房屋詐欺的問題
[12:30] 那位理事
[12:31] 結果現在各大最高法院
[12:35] 陸續應該講說
[12:36] 最高法院這一次
[12:37] 在聽取口頭辯論以後
[12:38] 基本上集中的看點是
[12:40] 總統是否可以不經通知
[12:43] 不給聽證就直接開除
[12:45] 答案是不行的
[12:46] 所以這段時間
[12:47] 克格的席次基本上暫時保住了
[12:49] 還有好幾個月的時間
[12:51] 要持續性的辯論
[12:52] 這就導致川普內部
[12:54] 在聯總會有鮑爾的強硬
[12:57] 有麗莎克格的強硬
[12:58] 使得聯總會的貨幣政策
[13:00] 產生極大變數
[13:01] 最後就是一個
[13:02] 針對美債的一個更進一步影響
[13:04] 那就是明尼蘇達的衝突持續升高
[13:06] 這次參議院民主黨領袖
[13:08] 舒默已經表示
[13:09] 除非共和黨同意撤除
[13:12] 國土安全部的相關經費
[13:14] 否則民主黨會阻擋
[13:16] 下週的大型支出法案
[13:18] 政府的區域性關門風險就大幅升高
[13:20] 那當然我們知道最近
[13:21] 民主大州最近的移民執法衝突
[13:24] 抗議當中又發生了一件事情
[13:26] 那就是有一個邊境巡邏人員
[13:29] 開槍射殺了美國
[13:30] 加護病房的護理師
[13:31] 引發輿論的怒火
[13:33] 當然了有些人說他帶著槍
[13:34] 各種衝突持續發酵以後
[13:37] 大家開始相信
[13:38] 看起來在參議院會有一場大戰即將展開
[13:42] 美國政府要關門
[13:43] 股市是過去經驗沒什麼太大影響
[13:45] 可是肯定會影響到短期債券市場的賣壓和拋售
[13:50] 所以美債現在的賣壓直立率的上升
[13:53] 它並不是單純受到日債的影響
[13:55] 它是內部一系列聯準會貨幣政策的不確定性
[13:58] 搭配著美國政府有可能關門所形成的短期賣壓所導致的
[14:03] 可是如果我們仔細看
[14:05] 撇開這一切
[14:06] 假設聯總會主席是一個公允的人
[14:08] 聯總會主席還是包了
[14:10] 到底目前有沒有進一步降級的通道呢
[14:13] 其實如果我們細看
[14:14] 以就業市場來看
[14:15] 已經有稍微疲軟的
[14:17] 非能就業資料過去幾個月就是如此
[14:19] 那如果是以聯總會最在乎的通膨指標
[14:21] 最近11月份的PCE
[14:23] 時效性確實有點長了
[14:26] 因為一個月以前了
[14:27] 但是在沒有更新資料之前
[14:29] 我們看聯總會最核心的PCE資料
[14:32] 11月只有月增幅0.2
[14:34] 年增幅2.8
[14:35] 所以你不管怎麼統計
[14:36] 通膨是肯定不失控的
[14:38] 你只是在想說
[14:39] 它會不會有點僵固性
[14:41] 會不會我又降息
[14:42] 它又很難往下掉了
[14:43] 所以在這樣一個效果底下
[14:45] 只有要不要加大降息的力度
[14:47] 基本上也沒有太多升息的空間
[14:49] 所以即便最近
[14:51] 大家的看法不太一樣
[14:52] 你像哈奈特
[14:53] 針對當前黃金資產的衝高
[14:56] 然後針對股票市場的輪動
[14:58] 以及在債券市場的賣壓
[15:00] 他的看法相對而言是比較謹慎的
[15:03] 正由於有這麼多的不確定性
[15:05] 那如果接下來
[15:06] 銀價
[15:07] 鎳價
[15:08] 銅價
[15:09] 都是以這種速度上漲
[15:10] 那只是說現在通膨還沒有起來
[15:13] 通膨肯定總有一天會歸來的
[15:15] 為了以防這樣的一個風險
[15:17] 我們就必須要採取資產部位的重新配置
[15:20] 他的看法是
[15:21] 第二波的通膨的確很有可能再度的燃起
[15:24] 就好像1970年代的兩波通膨
[15:26] 雖然並不是主要的威脅
[15:28] 可是呢
[15:29] 現在其實更類似於
[15:31] 這種波動期
[15:33] 這種敘事待發期
[15:34] 因為所有原物料價格都在上漲
[15:37] 除了能源
[15:38] 那遲早下去
[15:39] 通膨雖然不至於會失控
[15:41] 但是肯定也下不去
[15:42] 所以接下來
[15:43] 他的策略就有點類似於
[15:45] 我們應該是在看好股票市場的情況底下
[15:48] 採取週期輪動
[15:49] 他的策略叫做
[15:51] 做多底特律
[15:52] 放空達沃斯
[15:53] 這是Harnett最近所提出的看法
[15:56] 為什麼這樣講
[15:57] 就從教科書的角度來看
[15:59] 現在是應該賣股票
[16:01] 因為很多機器指標都很高
[16:02] 應該要做空
[16:03] 可是問題在於
[16:04] 2026年並非一個正常的情境
[16:07] 他認為今年有聯總會降息的問題
[16:09] 有減稅
[16:10] 有關稅調整
[16:11] 然後又有累QE
[16:12] 這種市場反而讓資金不容易退潮
[16:15] 但是債券市場
[16:17] 長期也受到比較顯著的賣壓
[16:19] 所以他認為
[16:20] 現在的資金
[16:21] 大量的擠壓在美國的大型股
[16:23] 小型股已經長期被抽離
[16:26] 所以我們一方面可以持續的
[16:28] 把1970年代的資產績效來做對照
[16:31] 你可以的確很多時間
[16:33] 比如說從1970年到1980年
[16:35] 很多時候你看黃金
[16:37] 有五年都是市場漲幅最高的
[16:39] 所以你可以配置一些黃金
[16:40] 可是如果股票市場最後還是走好了
[16:44] 那也不會是大型股他認為會是類似1975年到1977年的小型股所以他的看法並不是大型AI股搭配黃金而是小型股搭配黃金
[16:55] 而且這些小型股也並不意味著一定是AI相關
[16:58] 很有可能是單純的景氣通膨資產股
[17:02] 油價上漲
[17:03] 銅價上漲
[17:04] 他就跟著上漲的這些景氣型股票
[17:06] 那的確啊
[17:07] 從羅素2000相對於標普500的比值啊
[17:10] 在這一段時間已經有非常顯著的鬆動
[17:13] 但是呢
[17:13] 如果以長時間來看
[17:14] 小型羅素2000
[17:16] 已經落後整個大盤
[17:17] 有一段時間了
[17:18] 所以他的看法就是
[17:19] 把小型股搭配著黃金股
[17:21] 來做新一輪的週期輪動
[17:24] 當然高盛的看法就不一樣
[17:25] 高盛就一直認為
[17:26] 現在就是直接大幅壓住
[17:29] 五大CSP業者
[17:31] 不管是Meta
[17:32] Microsoft
[17:32] AWS
[17:33] 或者Google
[17:34] 這些資料中心
[17:35] 它的建制潮
[17:36] 一路拉昇到2030年
[17:38] 所以這段時間
[17:39] 資本支出
[17:40] 看起來只會持續性的調高
[17:42] 在降效果底下
[17:43] 你錯過大型股
[17:44] 你的績效很容易就輸給大盤
[17:46] 所以我們講說
[17:47] 在投資過程當中
[17:50] 很容易被忽略的一件事情
[17:51] 就是結果不等於品質
[17:53] 也許最後大家投資降下來之後
[17:56] 大家績效可能最後都趨近一大盤
[17:58] 可是同樣量力的績效
[18:01] 可能完全來自於不同的結構
[18:03] 或者決策路徑
[18:05] 有些人靠的是分散
[18:06] 紀律或者時間累積
[18:08] 有些人靠的是集中槓桿
[18:10] 或者運氣成大之後的關鍵幾個波動
[18:12] 賬面數字可能大家最後看起來差不多
[18:14] 但背後有時候承擔的回撤壓力
[18:18] 或者失敗機率
[18:19] 有時候其實差距蠻大的
[18:20] 那市場最後也不會標註
[18:22] 你這筆報酬是怎麼來的
[18:23] 它一定是最後大比幾小
[18:25] 但更現實的是
[18:26] 有時候我們在講說
[18:27] 很多投資人承擔了遠高於必要的風險
[18:30] 但換來跟指數相近的成果
[18:33] 有時候頻繁操作
[18:34] 重壓單一標的放大部位
[18:36] 你會發現
[18:37] 你其實只要掌握幾隻重要的全職股
[18:40] 能夠待到現在
[18:41] 其實你就已經
[18:42] 至少先跟上市場了
[18:43] 那這些的操作
[18:45] 你花費的時間成本
[18:46] 有時候你的績效
[18:48] 就算跟大盤差不多
[18:49] 你也是輸了
[18:50] 因為你花太多心力了
[18:52] 你花了這麼多的心力
[18:53] 和承擔這麼多的風險
[18:54] 跟大盤績效差不多
[18:56] 所以我反而認為
[18:57] 剛才如果你對於這些內容
[19:00] 有興趣的話
[19:00] 那當然對於主動投資操作者
[19:02] 你有進一步的想象空間
[19:04] 可是更理智的做法是什麼呢
[19:06] 正由於充滿著不確定性
[19:08] 你應該最好的方式是
[19:09] 應該是確保自己先能夠跟上大盤
[19:12] 先購買大盤
[19:13] 那隨時呢
[19:14] 在景氣稍微滑落
[19:16] 或者情緒低怪力的時候
[19:18] 嘗試的加大扣款力度
[19:20] 適度放大槓桿
[19:21] 直壓一下
[19:22] 也許是一個更好
[19:23] 能夠既有大盤超越大盤的方式
[19:26] 所以我們講說
[19:26] 有時候大家的結果
[19:28] 績效相同
[19:29] 不代表你的方法是等價的
[19:31] 前天看到一個故事
[19:33] 他講說那阿伯
[19:35] 咳嗽啃得很厲害
[19:36] 去藥局買藥
[19:38] 新來的藥劑師很緊張
[19:40] 拿錯了藥
[19:41] 把強效的瀉藥
[19:44] 當成止咳糖漿賣給了他
[19:46] 第二天
[19:47] 藥劑師發現自己闖禍了
[19:49] 完蛋了
[19:50] 趕快打電話給阿伯
[19:51] 阿伯阿伯
[19:52] 你還在咳嗽嗎
[19:53] 阿伯很虛弱的回答
[19:56] 不咳了不咳了
[19:57] 我現在完全不敢咳
[19:59] 所以最後他的結果還是達到了
[20:04] 他就是不會咳
[20:05] 但到底是不敢咳
[20:06] 還是不想咳
[20:08] 不管如何
[20:09] 市場最後只會呈現一個
[20:11] 績效一個數字給你
[20:12] 在那個數字的背後
[20:14] 有可能是穩定的累積
[20:15] 低波動
[20:16] 重複性的流程
[20:18] 也有可能是高槓杆單壓
[20:20] 運氣成分極高的入境
[20:21] 那大家的績效最後都是
[20:23] 偏向於大盤
[20:24] 就好像止咳糖漿和瀉藥
[20:26] 表面上其實最後都可以不咳
[20:28] 但是你在承擔問題的時候
[20:30] 它的副作用是不太一樣的
[20:32] 很多人用兩倍到三倍的風險
[20:34] 只換到指數投資人的報酬
[20:36] 這個也是我們必須要考慮到
[20:37] OK結論就是
[20:38] 美債市場真的不怕川普嗎
[20:40] 結論很簡單
[20:41] 美債並不是怕川普
[20:44] 而是說他還沒有逼到
[20:46] 被迫要表態的那一刻
[20:47] 目前的穩定
[20:48] 他其實更類似於相對選擇的冷靜
[20:51] 而並不是對於美國風險的完全忽視
[20:53] 在全球經濟體當中
[20:55] 現在美國還是經濟最好
[20:57] 最有支撐的那一個
[20:59] 所以十年期美國公債殖利率
[21:01] 短期內在走高
[21:02] 不代表大家對於美債
[21:04] 有產生新一輪的評價
[21:05] 更類似於剛才我們提到的幾項訊息的輪動
[21:08] 而中長期而言
[21:09] 其實歐債日債的問題
[21:11] 比美債還要嚴重得多
[21:12] 好那回過頭來看
[21:14] 那日債到底它的外溢效果會有多大呢
[21:16] 我們看到這一次高盛認為
[21:19] 市場上短期內都被格林蘭
[21:21] 歐美貿易或者地緣政治牽著走
[21:23] 可是真正更為關鍵的是
[21:25] 日本國債的長端波動
[21:27] 我們看十年期三十年期的
[21:29] 日本公債殖利率
[21:30] 最近從年初以來就瘋狂的波動
[21:33] 失控
[21:33] 從股票市場來看
[21:35] 年初以來的市場領跑的結構
[21:37] 也已經明顯轉向
[21:38] 大家更為聚焦的是債券市場的變化
[21:41] 現在如果我們細看
[21:43] 十年期公債殖利率
[21:44] 目前大概已經接近到2.5%
[21:47] 應該講說超長天期
[21:49] 已經來到4%以上
[21:50] 如果我們把它拿來進行比較
[21:52] 那就是把當前十年期
[21:54] 日本的公債殖利率
[21:56] 拿來跟東正指數的股息殖利率
[21:59] 看起來已經產生黃金交叉了
[22:02] 也就是說過去十多年
[22:03] 日本投資人的邏輯就是債券沒有利息
[22:06] 所以我只好買股票來領股息
[22:08] 這是過去散戶投資人的說法
[22:10] 現在這個誘因戰消失
[22:11] 因為無風險利率
[22:13] 現在已經回到1%以上
[22:15] 已經來到2%以上
[22:16] 甚至往上走
[22:17] 資金就會開始重新計算風險報酬比
[22:20] 當購買日本國債這種低風險資產
[22:23] 他拿到的配息
[22:25] 居然比股票還要來得多的時候
[22:26] 就會產生股票市場的重新定價
[22:29] 我們就講說
[22:30] 這個是債券市場所形成的外溢效果
[22:32] 那為什麼會呈現這樣的一個狀態呢
[22:34] 當然就是日本最新的政府統計顯示
[22:38] 原本在25年到26年即將要實現的基礎財政收支轉正目標
[22:43] 現在已經確定無法達成了
[22:44] 代表日本國債失控了
[22:46] 內閣估計26年中央與地方合計的基礎收支會出現8000億日元的赤字
[22:52] 關鍵原因來自於25年編列了高達18.3兆日元的補正預算
[22:57] 這個金額不只是創下金額的疫情後的新高
[23:00] 而且還部分順延到2026年繼續執行
[23:04] 所以日本財政幾乎面臨史上最大難度的挑戰
[23:09] 那其實也不意外
[23:10] 因為每年財政都在一點一點惡化
[23:12] 重點是現在高市在眾議院新一輪選舉以後
[23:16] 預估將獲有絕對性的多數
[23:19] 那也就意味著高市接下來所有高強度的財政刺激都會付諸實行
[23:23] 就代表著日本政府要發更多的日債了
[23:26] 那這對於日債的壓力形成更進一步的壓制
[23:29] 當然很多人說
[23:31] 日本央行可以藉由一方面擴大日債
[23:33] 但是一方面藉由升息的方式
[23:35] 來嘗試的調控通膨
[23:37] 因為當前日本的
[23:39] 其實消費者物價指數2.4%
[23:41] 已經來到過去幾個月以來的新低了
[23:44] 可是問題是
[23:45] 它還是相對於過往的水準
[23:47] 或者跟東亞其他各國
[23:49] 臺灣現在通膨只有1.3%
[23:51] 看起來日本還是稍微高了一點
[23:53] 所以之前河南這一次
[23:54] 在最新利率決策會議
[23:56] 還是保持穩定
[23:57] 並沒有調升
[23:58] 可是把政策利率已經設定在0.75%
[24:01] 在這樣的效果底下
[24:03] 上修通膨展望就等同於
[24:05] 我現在之所以不省
[24:07] 是因為通膨沒時空
[24:08] 我隨時都有可能
[24:09] 因為通膨的問題
[24:10] 稍微再更緊縮一點
[24:12] 也就是說現在日本央行
[24:14] 告訴你的是
[24:15] 我只有升或者緩升的預期
[24:18] 那連總會告訴你的是降或緩降的預期
[24:21] 在這樣效果底下
[24:22] 就導致市場有更進一步的心理情緒的變動
[24:26] 尤其現在日銀按兵不動
[24:28] 市場緊盯160的防線和干預風險
[24:31] 之前在上週五
[24:33] 當時日元是一度大幅跳升走強
[24:35] 關鍵點就來自於市場的傳聞
[24:38] 因為聯準會似乎被詢問
[24:40] 美元對日元的利率水準
[24:42] 利率詢價直接撼動了日元整體變化
[24:46] 後續的訊息指出是
[24:48] 日本財務省他先出面
[24:49] 他透過美國財政部轉達給聯準會
[24:52] 要求進行RECHECK
