[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 还是没有能够达成协议
[05:16] 大概在60到70
[05:17] 所以回不到70美元以下
[05:19] 那么原油对于通膨的年增幅
[05:21] 就会逐步的涌现
[05:22] 所以市场本质很简单
[05:24] 原本在对赌停火之后的油价回落
[05:27] 现在变成新一轮的封锁
[05:29] 所造成的供给断裂
[05:30] 美国宣布封锁荷姆治海峡
[05:32] 等于把现在能源动脉卡住以后
[05:35] 让市场更进一步确认
[05:37] 只要双方没有下一步的谈判意愿
[05:40] 看起来短期内不确定性
[05:41] 就会造成股市的慢压已久
[05:43] 当然好处是
[05:45] 因为反弹这一波都弹得很高了
[05:47] 给你很多空间
[05:48] 可以进行新一轮的估值下修
[05:50] 所以现在是弹上来之后
[05:52] 坏消息出现了
[05:53] 跌下去以后
[05:54] 好消息又回来了
[05:55] 这个是当前的情况
[05:57] 当然更关键的是第二层
[05:58] 风险定价机制被重建了
[06:01] 意味着战争从不确定性
[06:03] 变成了结构性的供给冲击
[06:05] 市场会重新评估三件事
[06:06] 第一就通膨会不会失控
[06:08] 能源的隐性成本
[06:09] 到底现在传下去会有多大
[06:11] 第二是央行是否被迫
[06:13] 要维持在高利率甚至转阴
[06:15] 第三是企业能不能撑住成本压力
[06:18] 这就是为什么我们看到
[06:19] 市场上不是针对单一资产的问题来做对赌
[06:22] 而是针对长期问题
[06:24] 到底这件问题是一个月内解决
[06:26] 一年内解决
[06:27] 总有一天解决
[06:28] 还是要十年内才能够解决
[06:30] 不管怎么说
[06:31] 我们看这一次风险资产
[06:33] 其实在谈判初期就有非常显著的回涨
[06:37] 我们看标普白指数
[06:38] 在上礼拜五的时候
[06:39] 甚至把整个三月份的跌幅全部收敛了
[06:42] 回到二月份软铁股下沙
[06:45] 的状态
[06:45] 标普派指数
[06:46] 现在大概在6800点左右
[06:48] 附近震荡
[06:49] 而两年期公债殖利率
[06:51] 十年期公债殖利率
[06:52] 在最近一段时间
[06:53] 也开始回头
[06:53] 代表通膨预期的降温
[06:55] 而油价是少数还没有回跌
[06:57] 但是却造成风险资产
[06:59] 上涨的指标
[07:00] 所以各大机构
[07:01] 当然现在并没有
[07:02] 全面的转空
[07:02] 可是态度来得更为保守
[07:04] 到底是要把它视为
[07:06] 一个季度的情境分析
[07:07] 还是要两个季度
[07:09] 还是要一年期
[07:10] 还是要以十年期呢
[07:11] 所以26年
[07:12] 就不单单是AI叙事了
[07:14] 还有通膨因子所造成联准会或者央行的各自态度
[07:18] 那这种盘说实在的
[07:20] 对于多数人来说也太折磨了
[07:22] 我看公园椅我们还是先放门口好了
[07:25] 虽然现在只是涨高之后
[07:28] 感觉又新一波的利空持续彻底
[07:30] 先放门口随时回去睡
[07:33] 这种盘每天波动动辄数百点
[07:37] 甚至来到千点
[07:38] 看不懂就不要贸然尝试了
[07:40] 所以今天我们直播就从几个角度来做切入
[07:43] 第一个是标普是小蝶
[07:46] 甚至去年
[07:47] 创下去年11月份以来的
[07:49] 最佳单周表现
[07:50] 所以过去一周涨幅是很亮丽的
[07:52] 那像油价的蠢蠢欲动
[07:54] 代表市场是在装没事把停火当成和平把反弹当成趋势还是真正的压力开始展开能源上来之后通膨就不会自然消失了对于股市这边而言看起来前面二月份的回调
[08:08] 它是为过度乐观的估值来做买单进行回调
[08:11] 三月份是一个外部性的利空冲击
[08:14] 快速指标到位
[08:15] 把乖离给下修了
[08:17] 现在到底看的是AI的叙事重新拉动
[08:20] 还是说中东局势会确保美国股市估值
[08:24] 持续进行本应比回调
[08:26] 至少回过头来说
[08:27] 现在的局势
[08:28] 虽然并没有谈判出其来的好
[08:31] 但是也没有比谈判之前来的坏
[08:33] 卡达目前陆续公布恢复了航运
[08:36] 但是是有限开放
[08:37] 目前本质上是局部修复
[08:39] 不是风险完全解除
[08:41] 卡达这次所宣布的恢复航行
[08:44] 是每天早上6点到下午6点
[08:46] 在高度管制的状态下运行
[08:48] 代表航运没有完全安全
[08:51] 可是部分船只已经陆续运出来了
[08:54] 所以有限恢复这个意义就非常微妙了
[08:56] 卡达索释放的讯号是最坏的情况已经正在缓解
[09:00] 就是现在并没有全面封锁了
[09:02] 但是他也提醒大家
[09:03] 供应链仍然非常脆弱
[09:05] 只要美伊冲突再有变数
[09:07] 也许接下来航运还会再度的全面中断
[09:10] 那么伊朗现在在挑战的是什么呢
[09:12] 是国际航道的规则
[09:13] 我们知道其实早在厄图曼时期
[09:17] 或者我们看到以前达达尼尔海峡
[09:19] 就必须要缴纳高额的通行费
[09:22] 那么伊朗就希望把荷姆兹海峡
[09:25] 当成内海来管理
[09:27] 我们举几个例子来说
[09:28] 像是波斯普鲁斯海峡
[09:30] 全长30公里
[09:31] 伊士坦堡一分为二
[09:33] 当时土耳其就是用这样的一个方式
[09:36] 来针对船只进行管理费的收取
[09:38] 所以它不只是地理分界
[09:39] 它是一个高度政治和经济控制力的
[09:42] 咽喉要道
[09:43] 丹麦和瑞典之间
[09:45] 有一个厄勒海峡
[09:46] 过去是由丹麦所控制的关键航道
[09:49] 哥本哈根就经常针对通行船只
[09:51] 来收取通行费
[09:53] 而且是按照货物的价值来进行抽成
[09:56] 再来我们看
[09:57] 其他像是苏伊斯运河
[09:58] 把地中海和红海给打通
[10:00] 当时埃及也是长期进行通行费的收取等等
[10:05] 所以不管是我们看到
[10:06] 后续巴拿马运河等等
[10:09] 这些国家基本上都有前车之鉴
[10:12] 让伊朗相信自己
[10:14] 可以作为全球最关键的石油要道当中
[10:17] 能够适度的收取费用
[10:18] 那现在是收取1%
[10:20] 当然这对于很多传统来说
[10:23] 那是不是代表过路费要付两次
[10:26] 被扒两层皮
[10:27] 雷洛之前有讲过
[10:30] 虾叔是雷洛的长官
[10:32] 很生气
[10:33] 黑道要收保护费
[10:35] 警察要收水费
[10:36] 现在连消防队都来收钱
[10:38] 当然现在是没有义务要缴费用给美国
[10:42] 不过过去我们看那五一探长雷洛
[10:45] 他财富主要来自于三大方面
[10:48] 一个就是四大家族的利益分层
[10:51] 一个就是探长辖区的保护费
[10:53] 第三个就是前面财富之后的再投资
[10:57] 那这些都是要多元营收
[10:58] 那现在伊朗就是雷洛
[11:00] 所以我们看
[11:01] 即便伊朗现在划分了一个收费战以后
[11:04] 但是川普所采取的动作
[11:07] 就是让你可以了解说
[11:09] 即便你们付钱给伊朗可以陆续通过
[11:11] 可是我让伊朗的原油无法顺势的运出来
[11:15] 过去为了要让全球的供给
[11:17] 还有适度的拉抬
[11:19] 所以伊朗偷偷的运到印度
[11:21] 伊朗偷偷的运到中国
[11:23] 美国还是不太管了
[11:25] 但因为当时毕竟
[11:27] 全球能源紧张局势底下
[11:29] 没有必要针对经济压力
[11:31] 产生进一步打击
[11:32] 这只会促使美国内部的油价
[11:34] 更进一步高涨
[11:35] 现在美国很明显
[11:36] 就是要针对伊朗邮轮的船只
[11:38] 来进行封锁
[11:39] 所以美军目前已经正式进入
[11:41] 荷姆治海峡
[11:42] 两艘驱逐舰穿越海峡以后
[11:44] 开始为未来的扫雷行动
[11:46] 来陆续铺路
[11:47] 之前川普就说嘛
[11:48] 希望大家可以参与这场行动
[11:50] 一起扫雷
[11:51] 好那没有人到场
[11:53] 所以呢
[11:53] 现在美军两艘驱逐舰
[11:55] 慢慢开始扫雷了
[11:57] 那未来几天
[11:58] 投入会更多的兵力和水下无人机
[12:00] 目标呢
[12:01] 是确保建立一条安全航道
[12:03] 这个是白宫目前的做法
[12:04] 所以白宫其实
[12:05] 他只是由于在核武器谈判当中
[12:08] 没有进一步的收获
[12:09] 所以他就采取了
[12:10] 对于自己有利的方式
[12:11] 这也蛮合理的
[12:12] 毕竟对于川普而言
[12:13] 本次打击最大行动
[12:15] 就是要解决核武器的问题
[12:16] 如果伊朗不在核武器层面来放松的话
[12:19] 那这场战争最终目的就没有达到了
[12:22] 所以这次美伊战争的确改变了中东
[12:25] 更深层的变化就是
[12:26] 中东原本相信一套安全逻辑
[12:29] 现在被打烂了
[12:30] 海湾国家过去就以为
[12:32] 美国能够提供保护
[12:34] 那自己可以同时和中国
[12:35] 俄罗斯和以色列维持关系
[12:38] 做一个相对安全的商业枢纽
[12:40] 但这场战争已经证明
[12:42] 美国存在
[12:43] 很难再进行进一步的嚇阻和攻击
[12:46] 反而现在战火吸过来了
[12:48] 俄罗斯和中国在关键时刻
[12:50] 似乎也没有提供真正可靠的支持
[12:52] 而以色列在不少阿拉伯国家当中
[12:55] 变成那种区域不稳定的来源了
[12:58] 以前都是各国要打以色列
[12:59] 以色列各国进行空袭
[13:02] 所以大家觉得以色列反而变成一个问题
[13:04] 另外一方面
[13:05] 伊朗虽然遭受重大打击
[13:07] 但是也首次展示出封锁赫姆治海峡
[13:10] 针对全球命脉收过路费的能力
[13:13] 这种威胁也不会一次消失
[13:14] 换句话说
[13:15] 一个新的中东地缘政治
[13:17] 已经逐步展开
[13:19] 那当然
[13:19] 双方的底线其实是很冲突的
[13:21] 要么伊朗让步
[13:23] 要么要出现某种折衷性的安排
[13:25] 当然短期内都很难出现一个
[13:28] 双方都满意的解决方案
[13:30] 第二个问题是赔偿
[13:32] 伊朗一直希望能够针对基础设施
[13:34] 获得补偿
[13:35] 那这等于是要求美国负担承认
[13:38] 或者说承认一些部分的责任
[13:40] 那政治上难度就很高
[13:42] 所以这个议题也可能是卡苏的关键之一
[13:45] 那第三个最核心的就是核武议题
[13:47] 美国这一次是要求伊朗永久停止浓缩诱
[13:50] 而且伊朗在过去这个问题上
[13:52] 从头到尾没有让不过
[13:54] 再加上现在高度浓缩诱的库存
[13:57] 去向不明
[13:58] 这让谈判的风险变得更高
[14:00] 这些其实都是过去谈判失败的关键点
[14:03] 现在也并没有明显的改变
[14:04] 所以在这样效果底下
[14:06] 等同于川普跟伊朗的关系
[14:08] 本质就是一场
[14:09] 谁也不愿意先退的拉锯战
[14:11] 川普想要谈的时候
[14:13] 前提是你伊朗在核武议题
[14:15] 要先让步
[14:15] 伊朗嘴巴上强硬
[14:17] 喊了封锁
[14:18] 甚至后来美国又反封锁
[14:20] 但实质上
[14:21] 大家又保留一些空间
[14:23] 来避免全面性的冲突
[14:24] 结果就是你来我往
[14:26] 互相试探
[14:27] 谁也没有真正的全面升级
[14:29] 但是也没有人愿意降温
[14:30] 局势就卡在一种
[14:32] 不报但是也解不了的僵局里头
[14:35] 刘德华说的
[14:35] 说了你也不听
[14:38] 听了你又不懂
[14:39] 懂了你又不做
[14:40] 做了你又做错
[14:41] 错了你又不认
[14:42] 任人你又不改
[14:43] 改了你又不服
[14:44] 不服你也不输
[14:45] 所以最后不管是谁输谁赢
[14:48] 双方都被困在
[14:50] 谁也下不了台的死结当中
[14:52] 这个就是我们看到
[14:53] 僵持性比较高的
[14:55] 所以大家知道
[14:55] 看起来并没有全面的恶化
[14:57] 可是整个不确定性一直存在
[15:00] 让市场的买盘推高股价以后
[15:03] 它无法顺势的追高
[15:04] 那当然对于伊朗来说
[15:06] 伊朗这次的经济
[15:07] 的确被战争给撕裂了
[15:08] 民生内部几乎是完全崩溃
[15:10] 不过军事体系反而去越来越强
[15:13] 我们举例来说
[15:14] 根据经济学人的报道
[15:16] 多年制裁本来就已经让伊朗的经济相当疲惫了
[15:19] 现在战争的进一步瘫痪日常生活
[15:22] 服务业因为断网
[15:23] 现在已经全面中断
[15:24] 就业崩溃
[15:25] 通膨接近失控
[15:27] 货币持续贬值
[15:28] 外国商品接近完全断供
[15:30] 但另一方面
[15:31] 与政权紧密绑定的伊斯兰革命卫队
[15:34] 反而在这场战争当中收益
[15:36] 为什么
[15:36] 因为美国在过去几周
[15:38] 一直没有封锁伊朗的原油输出
[15:40] 这是为了国际油价的稳定
[15:42] 包括国内产业和地下贸易
[15:44] 导致伊斯兰革命卫队
[15:46] 在这场战争当中的收益越来越多
[15:48] 油价上涨让石油收益暴增
[15:51] 而且跟中国和地下金融网络的规避制裁
[15:54] 导致内部营收越来越多
[15:55] 进口中断
[15:56] 让本土企业可以垄断市场价格上升也带来暴利航运混乱那现在走私价格大幅提高黑市贸易来得更赚钱所以反而革命卫队的资金是源源不绝的涌入
[16:09] 伊朗当然
[16:10] 现在也并不是说完全不想谈
[16:12] 而是希望可以保有核武谈判权
[16:16] 在其他层面跟美方做妥协
[16:19] 这次伊朗总统
[16:20] 在几个小时之前发布消息
[16:22] 伊朗已经准备好
[16:23] 达成平衡且公平的协议
[16:26] 强调只要美方遵守国际法的框架
[16:29] 和平并非不可能
[16:30] 同时俄方也支持伊朗所提出的安全保证
[16:33] 和战争赔偿需求
[16:35] 所以这一次是JDF离开以后
[16:38] 伊朗又释出了一些相对比较大的一个善意
[16:41] 说我们可以在其他层面做进一步的让步
[16:44] 欢迎进行第二次或者第三次的谈判
[16:46] 不过川普看起来没有要理
[16:48] 双方的确要的是不太一样
[16:50] 一开始双方也没有什么公平可言
[16:52] 伊朗总统还希望双方可以达成公平的协议
[16:56] 那也很难
[16:57] 不管谈判为什么会破局
[16:59] 那有一句话是怎么说的
[17:01] 我良开不公平
[17:05] 爱和恨全由你操纵
[17:08] 那到底是要开还是要封
[17:09] 你们搞得我好乱
[17:11] 但是我们知道
[17:12] 这种民意的压力
[17:13] 陆续传递到美国本土当中
[17:16] 对于川普的中期选举
[17:17] 反而是压力
[17:18] 我们知道对于极权国家来说
[17:20] 他的好处就来自于
[17:21] 他对于内部的民意
[17:23] 只要不引起政权的更迭
[17:25] 他基本上
[17:26] 他是非常淡然的
[17:27] 有时间跟你好
[17:28] 可是川普的中期选举就要到了
[17:30] 内部的资讯战压力越来越大
[17:33] 我们举一个比较直观的
[17:34] 这是彭博的报道
[17:35] 在川普这次威胁要摧毁整个文明之后
[17:38] 又宣布听我的隔天
[17:40] 当时伊朗就不断的进行
[17:42] 大量的迷因影片来做回复
[17:44] 也就代表着伊朗招募了大量的年轻人
[17:47] 来针对美国内部的民意来进行反应
[17:50] 让民主党有新一波的题材
[17:53] 可以嘲笑共和党
[17:54] 举例来说
[17:54] 伊朗政府现在透过相关账号
[17:57] 大量的投放相对嘲讽的语气内容
[17:59] 而且都是由正式管道来发送
[18:01] 包括AI的生成动画
[18:02] 民音的梗图
[18:04] 或者把爱波斯坦事件
[18:06] 拿来跟战争来做连结
[18:07] 比如说呢
[18:08] 当外界对于伊朗被摧毁的期待的时候
[18:11] 伊朗大使馆
[18:13] 他就提出了一个困惑狗的民音图
[18:16] 一脸错愕
[18:17] 你刚才说什么
[18:18] 或者呢
[18:19] 尴尬又不失礼貌的微笑
[18:21] 来回应美方指控伊朗说谎的说法
[18:24] 那这些潜台词都是在反讽说
[18:26] 你才骗人
[18:27] 你就是世界不稳定的来源
[18:29] 这个是我们看到民意压力
[18:31] 不断给予川普内部执政所形成的压力
[18:35] 所以伊朗现在玩资讯战
[18:36] 也玩得非常透彻
[18:37] 都是用这种高级讽刺梗
[18:40] 这个叫做什么
[18:41] 高级黑
[18:42] 高级黑的相反是什么
[18:43] 超级白
[18:44] 超级白就是川普很直面的
[18:46] 就是要封锁你
[18:47] 讲得很正经
[18:48] 正义凛然
[18:49] 不过呢
[18:50] 过去川普本来是很熟悉这一套的
[18:52] 高级黑的
[18:54] 现在呢
[18:55] 反而伊朗在资讯战层面
[18:57] 对于美国内部民意
[18:58] 产生了一定性的压力
[18:59] 反而这一次我们看到
[19:01] 共和党的领袖们
[19:02] 在回应的过程当中
[19:04] 相对比较克制
[19:05] 比较保守
[19:06] 甚至是集中在支持少数族群
[19:09] 对于伊朗的嘲讽力度
[19:11] 反而没有来得这么高
[19:12] 那这些事情都会意味着
[19:14] 内部的民意压力逐步的展现
[19:16] 为什么
[19:16] 因为嘲讽归嘲讽
[19:18] 可是实体的数据
[19:19] 会陆续反映到终端价格
[19:21] 我们讲的就是通膨的压力
[19:23] 这一次我们看到
[19:24] 在整体通膨数据的部分
[19:26] 油价一涨
[19:27] 全世界就真的知道通膨要来了
[19:29] 三月份的通膨数据
[19:30] 特别关键开始涨高
[19:32] 就是因为大家的起感温度
[19:33] 跟数据完全联动了
[19:35] 这一次整体物价
[19:36] 单月份大涨0.9%
[19:38] 创下了这几年来最大的升幅
[19:41] 年增幅3.3%
[19:42] 其中根本原因就是汽油价格的暴涨
[19:45] 这个在二月份
[19:46] 每加仑也不过2.8到2.9块
[19:49] 现在是多少
[19:50] 4.16块
[19:51] 它已经超过了去年前年大前年的水准
[19:55] 在这样的一个效果底下
[19:57] 企业把燃料成本转嫁出去之后
[20:00] 很快的航空公司要加征燃油的附加费
[20:04] 到物流公司到电商的全面涨价
[20:07] 通膨就会逐步的往服务商品来进行扩散
[20:10] 好不容易服务通膨才开始降温
[20:12] 结果现在油价开始外溢之后
[20:14] 服务通膨又开始起来了
[20:16] 我们举例来说
[20:17] 这是CPI的三月份暴涨
[20:19] 它其实算是一种局部性通膨
[20:21] 我们看浅蓝色的
[20:23] 就是由汽油价格所带动的通膨
[20:25] 能源通膨
[20:26] 机票服饰
[20:27] 软体价格的上涨
[20:29] 医疗二手车部分商品服务价格
[20:31] 反而还在下跌
[20:32] 但你要知道
[20:33] 如果油价涨久了
[20:35] 机票价格涨久了
[20:37] 那医疗二手车部分服务类品
[20:39] 很难价格持续的下滑
[20:41] 这就是一个极大的压力
[20:42] 我们从三个月值
[20:44] 和六个月值的平均值通膨来看
[20:46] 都是如此
[20:47] 所以现在就要看
[20:48] 这个外溢通膨到底会多快
[20:50] 我们以全球铝业来看
[20:52] 现在部分合约由于不可抗力因素
[20:54] 代表的是工业金属链开始出现问题
[20:57] 整体铝价已经准备要挑战
[21:00] 2022年的历史高点了
[21:01] 全球在中东的铝产量
[21:04] 大概占9%左右
[21:05] 那更关键的事情是
[21:07] 伦敦金属交易期货所铝期货
[21:10] 一年上的价格已经50%
[21:11] 这很明显是有人在炒作了
[21:13] 可是这种期货价格盘久了
[21:16] 迟早也会传到现货价格
[21:18] 再来就是粮食价格
[21:19] 这一次我们看到
[21:20] 由于全球的安价
[21:23] 还有甲肥价格陆续的暴涨
[21:25] 直接冲击到亚洲各地的种植成本
[21:27] 对于澳洲这样子农业出口大国来看
[21:30] 基本上很大程度是需要中东的高肥料
[21:34] 或者说让小麦整体而言
[21:36] 有更进一步的上涨空间
[21:37] 那这一次连锁反应的全球扩散
[21:40] 从意大利的酿酒业
[21:41] 菲律宾的渔业
[21:43] 到南亚的农业
[21:44] 甚至到澳洲
[21:45] 都开始产生了新一波的外溢效果
[21:47] 还没有失控
[21:48] 不过看起来有点蠢蠢欲动
[21:50] 举例来说
[21:51] 我们把今年全球原物料价格涨幅来做观察
[21:54] 涨前面几名的都是布兰特原油
[21:56] 西德州热兰油汽油
[21:58] 平均涨幅70%
[21:59] 如果我们把原油拿掉
[22:01] 来看第二项
[22:03] 就是一些软性商品了
[22:04] 黄豆价格涨了13%
[22:06] 棉花涨了13.9%
[22:08] 小麦12.7%
[22:10] 吃的也涨了
[22:11] 穿的也涨了
[22:13] 橡胶也涨了9%
[22:15] 其他像活牛
[22:16] 木材
[22:17] 寿猪
[22:18] 铜价都在缓步的扩张
[22:19] 好处是有一些软性商品
[22:21] 叠价还是很凶的
[22:22] 可口还是叠了4成6
[22:24] 咖啡叠了13%
[22:25] 其他像糖类成只
[22:27] 所以可以多吃巧克力
[22:29] 多喝柳成只
[22:30] 但是全球的通膨的确
[22:32] 目前产生新一轮的转捩
[22:34] 在几个月之前
[22:35] 我们看到全球的通膨趋势
[22:37] 整体都是向下
[22:38] 但是现在已经超过三分之二的国家
[22:40] 通膨开始拐头上弯
[22:42] 欧洲多数国家
[22:43] 像是德国、法国和整个欧元区
[22:46] 还有印度英国美国
[22:48] 通膨目前看起来都是在回升
[22:50] 三月份的数据
[22:51] 打破了过去的通膨降息路径
[22:53] 这直接影响到的
[22:55] 就是密西根大学最新所公布的
[22:56] 消费者信心指数
[22:58] 直接崩跌了
[22:59] 从53.3大幅滑落到47.6
[23:02] 原本在去年下半年的AI带动底下
[23:05] 市场的消费信心
[23:06] 还有尝试的回升
[23:07] 现在破底了
[23:09] 直接回到1970年代的水准
[23:12] 这也就意味着
[23:14] 通膨预期的全面失控
[23:16] 即便现在的通膨年增幅
[23:18] 跟拜登时期相对小得多
[23:19] 可是现在的物价
[23:20] 是比拜登时期来得高的
[23:22] 代表着市场上的这种
[23:24] 感受通膨意愿能力
[23:26] 在川普过去宣誓
[23:28] 能够压制物价的
[23:29] 这种政策冲突底下
[23:30] 反映得特别明显
[23:32] 举几个例子来说
[23:33] 油价飙升
[23:34] 对于零工经济的影响
[23:35] 我们台湾是因为动脏了
[23:37] 可是在洛杉矶
[23:38] 跑Uber或者Lyft的时期
[23:40] 每接一单
[23:41] 现在都变成即时的算术体
[23:43] 距离时间油耗收入
[23:45] 都要在几秒内当中来做判定
[23:47] 不少人开始要拒接长距离订单
[23:49] 改成短程以来节省油价
[23:53] 或者说也有人选择延长工时
[23:55] 试图要补回因为挑单而流失的收入
[23:58] 但现实很残酷根据彭博的预估实际收入平均美国的时期大概现在少了25%有人一周收入是1200美元现在掉到700到800美元左右
[24:10] 这就代表着
[24:11] 整个零工经济的商业模式
[24:13] 正在被高度的挤压
[24:14] 一方面
[24:15] 我们也知道
[24:17] 平台长期都是用演算法
[24:19] 来压低他的单笔报酬
[24:21] 但另外一方面
[24:21] 油价保险和税费的不断上升
[24:24] 让实际的利润就被夹在中间
[24:26] 所以现在有人要换
[24:28] 更省油的车
[24:30] 有人要取消娱乐支出
[24:32] 甚至考虑转行
[24:33] 有些人开始
[24:34] 这样去提高收费
[24:35] 那这个产业原本是很有弹性和自由的
[24:38] 现在呢
[24:39] 看起来也做不下去了
[24:40] 这就代表的市场的通膨压力
[24:42] 陆续向下传导
[24:43] 对于川普而言
[24:44] 是不太有利的
[24:45] 所以我也不太相信
[24:46] 目前的做法
[24:48] 是为了让局势进一步恶化
[24:50] 目前的做法
[24:50] 有可能是在谈判僵局当中
[24:53] 川普采取
[24:54] 相信对自己通膨降温有利的方式
[24:57] 直接进行水雷的清除
[24:59] 直接以军事武力来确保
[25:01] 当前邮轮的畅通
[25:02] 我们看一下股票市场的变化
[25:04] 道琼指数下跌269点
[25:06] 0.56%
[25:07] 收在47,916点
[25:10] 纳斯达克指数上涨80点
[25:12] 0.35%
[25:13] 收在22,902点
[25:14] 标普下跌7点
