[00:00] 投資變換收聽早晨財經速解讀
[01:48] 信用利差都在持續收斂
[01:50] 原物料甚至都在持續走高
[01:52] 最近是虐價在大幅上漲嘛
[01:55] 如果我們細看
[01:56] 其實在去年一整年
[01:57] 是少數除了比特幣以外
[01:59] 所有資產都在掙報酬的一年
[02:02] 在這樣的一個狀態底下
[02:03] 就值得我們去深思
[02:04] 那當前的資產繁榮
[02:06] 是不是由廣泛性的系統單的回補所造成的
[02:10] 也就是外資的城市單
[02:11] 可是很有趣啊
[02:12] 我們看臺北股市這幾天啊
[02:14] 連續幾天都上漲數百點
[02:16] 以非常驚人的交易量持續走高
[02:19] 可是呢在昨天三大法輪買賣超
[02:21] 其實投信還沒有買
[02:23] 投信還賣了26億
[02:25] 說明ETF買盤也不是特別強烈
[02:27] 外資也僅僅買了28億而已
[02:30] 其實如果我們細看
[02:31] 昨天外資甚至持續調節臺積電
[02:34] 已經連續賣三天了
[02:35] 昨天又賣了7990張
[02:38] 0050它賣了4.8萬張
[02:40] 其他它買的買超前幾名
[02:43] 一樣都是一些高股息
[02:44] 那這些高股息也不是真的買高股息
[02:47] 應該就是買折價
[02:48] 折價幅度比較高
[02:49] 稍微做一些套利而已
[02:50] 所以這就形成非常詭譎的局面
[02:53] 那就是全球系統性股市都在走高
[02:56] 不過臺股的本國股市的拉抬
[02:58] 似乎不是由外資的城市單來進行拉送
[03:02] 反而是由內資的買盤來持續退上
[03:04] 那到底是因為
[03:05] 外資針對臺北股市有特別的看法
[03:08] 臺北股市的確
[03:09] 你從巴菲特指標來看的話
[03:11] 比其他股市積極還要稍微高一點
[03:13] 還是說外資先
[03:14] 等我們內資先拉了
[03:15] 它後續才要拉呢
[03:17] 那會不會太晚建倉
[03:18] 我們從日線圖來看
[03:20] 其實從本波9月份以後
[03:22] AI的永動機以來
[03:24] 整個散戶的熱潮和內建的買盤就特別踴躍
[03:27] 但是並不是完全集中在ETF買盤
[03:30] 我們看投信的買賣潮
[03:31] 其實從9月份以來
[03:33] 大多數時間其實也是賣潮
[03:35] 外資主要是在10月份以後進行大局的調節
[03:38] 如果我們細看在月線的部分
[03:41] 10月外資賣潮
[03:43] 11月外資賣潮
[03:44] 12月外資賣潮
[03:45] 本月份也不過回補72億
[03:48] 而且這兩天也都在賣潮
[03:49] 投信過去四個月只有兩個月在買潮
[03:53] 另外兩個月
[03:54] 包括本月份也在賣超
[03:55] 所以在這樣的一個效果
[03:56] 我們大概可以瞭解
[03:58] 整個臺股市場的龍井
[04:00] 很大程度還是由內資所推起
[04:03] 而過去幾年的內資
[04:04] 是由ETF買盤所撐起
[04:06] 但是今年看起來
[04:07] ETF買盤還沒有爆發
[04:09] 主要還是取決於其他內資
[04:12] 比如說受險
[04:13] 比如說國內的主力
[04:14] 來進行推送
[04:16] 這個就是當前資金的輪動
[04:18] 所以很多人就會擔心
[04:19] 那如果現在龍資創高
[04:21] 因為畢竟臺股在創歷史新高之際
[04:23] 融資的買股金額
[04:24] 最近已經飆升到3510億
[04:27] 這是2008年以來的最高水位
[04:29] 市場上借錢的規模
[04:31] 已經創向離8年以來的高點
[04:33] 但是很多人會覺得
[04:35] 是否代表著
[04:36] 這代表著散戶的大幅進場
[04:37] 股市的套牢點即將發生
[04:39] 這不一定
[04:40] 因為臺股已經創高一陣子了
[04:43] 那正常來講
[04:44] 融資比例也會創高
[04:45] 負債比例也會創高
[04:47] 就好像股市創高
[04:48] 大家的負債跟著創高
[04:50] 也沒有什麼問題
[04:50] 目前融資餘額佔總體市值
[04:53] 大概0.3%
[04:54] 距離典型的過熱水準
[04:56] 其實還是有一段距離
[04:57] 而且昨天增加幅度
[04:58] 也不過三四十億
[04:59] 也沒有想象中還要來得多
[05:01] 所以這一波
[05:02] 大概有兩種角度
[05:03] 第一是外資到底什麼時候要回補
[05:06] 你已經一天
[05:07] 兩天
[05:08] 三天
[05:08] 這種幾漲行情
[05:10] 數千點的行情
[05:11] 外資完全不參與
[05:12] 外資整個被晾在旁邊
[05:14] 到時候它進場的話
[05:16] 會形成如何
[05:17] 臺北股市新一波的演變
[05:19] 會內資的籌碼開始做轉手
[05:21] 第二就是融資的征服
[05:23] 相對於大盤征服
[05:25] 看起來還有一段落差
[05:26] 所以等融資征服超過大盤征服再說
[05:29] 絕對體量其實沒有那麼重要
[05:31] 不過我們看臺北股市的歷史變遷
[05:34] 的確很多人最終看對了趨勢
[05:36] 臺股總會創高
[05:37] 但是實在波動了
[05:38] 比如說我們以千金股來看
[05:40] 在舞臺上的主角
[05:41] 其實千金股沒有消失
[05:43] 但是已經換了一輪
[05:44] 1989年當時臺股衝破1萬點的時候
[05:47] 千金股都來自於金融或者傳產
[05:50] 像國泰當時是國售1810塊
[05:53] 臺火923塊
[05:55] 華南金730塊
[05:57] 結果現在基本上都是科技股
[06:01] 半導體以及新一代的成長股
[06:03] 來堆砌成高價股的持續走高
[06:06] 而當年的高價股再也回不去了
[06:08] 另外一層就是投資人年齡的分佈
[06:11] 你看現在市場上
[06:12] 其實主要投資人還是在50歲以上
[06:15] 佔比有46.15%
[06:17] 所以你就會知道
[06:18] 為什麼後臺資料會顯示
[06:20] 本節目多數都是45歲到65歲在觀看
[06:24] 從投資人口比例來看也是如此
[06:26] 所以很多哥哥姐姐
[06:29] 你看我們節目這麼活潑
[06:31] 說明你有很健康的年輕心態
[06:34] 如果你很年輕
[06:35] 你跟這麼多大哥哥大姐姐一起看
[06:37] 成功人士必看的投資節目
[06:40] 說明你有一顆老臣的心
[06:42] 就算現在沒錢
[06:43] 以後一定會大富大貴
[06:44] 但不管怎麼說
[06:45] 這個就是臺股的特別的特殊結構
[06:48] 我們只要確定
[06:49] 只要外匯的出口沒減少
[06:51] 那內資的買盤
[06:53] 它只是取決於到底是投信買上去的
[06:56] 到底是ETF買盤
[06:57] 到底是主動式買上去的
[06:59] 到底是受險
[06:59] 到底是關股
[07:00] 到底是主力業內
[07:02] 這些人基本上是主導當前臺股上漲的主流
[07:07] 那外資我們反而要觀察的是
[07:08] 它到底什麼時候要回補
[07:10] 因為照來講外資現在完全不參與
[07:12] 臺股看起來要上漲
[07:13] 也沒有什麼太大難度
[07:14] 過去幾年其實就是如此
[07:16] 那我們回過頭看
[07:17] 現在大家更為關注的
[07:19] 是從CES展
[07:20] 我們可以如何來借鑑
[07:22] 終端產品的推出
[07:23] 能不能讓臺股的硬體設施
[07:26] 出口速度來得更快一點
[07:28] 現在大家對於資本支出
[07:30] 或者資料中心的透支
[07:32] 其實一定有一定的預估了
[07:34] 就你也很難想象
[07:35] 每年資本支出都是翻倍翻倍翻倍
[07:37] 那總會有一個預估的極限
[07:39] 那要如何超出預估呢
[07:41] 我不只建資料中心
[07:42] 終端產品即將要推出了
[07:44] 那黃仁勳這次在CES展上
[07:46] 其實是用一句話
[07:47] 叫AI是五層蛋糕
[07:49] 來重新定義了輝達的位置
[07:51] 從最底層的土地電力和機殼
[07:55] 到晶片基礎設施模型
[07:57] 到最後是應用
[07:58] 這必須是一個整體設計
[08:00] 同步演進的系統工程
[08:01] 也正是如此
[08:02] 黃仁勳已經提到了
[08:03] 輝達本來就已經不是隻賣GPU的公司了我們是一家橫跨硬體系統模型平臺的AI的建構者新一代的Rubin架構會把同級模型的訓練成本大幅度的壓縮
[08:16] 推理的吞吐量成倍的放大
[08:18] 那他也提到
[08:19] 現在第一階段生成式AI
[08:21] 我們現在用的文字圖片到影像生成
[08:24] 其實已經很成熟了
[08:25] 在黃仁勳的敘事裡
[08:27] 這只是一個序章
[08:28] 他顯示25年代理型的AI已經快速普及
[08:32] 他相信已經可以往下一個方向來做主要推送
[08:36] 也就是第二階段的代理型實質AI
[08:39] AI不再只是回答問題
[08:41] 而是能夠開始理解目標
[08:42] 拆解任務
[08:43] 使用工具
[08:44] 反覆的推論
[08:45] 而且並且持續學習
[08:47] 所以現在你可以讓GPU的上下文的容量
[08:51] 被拉到過去難以想象的等級
[08:53] 讓AI不只記得最近幾千個token
[08:55] 而是能夠累積長期經驗
[08:57] 所以目前他在建制的自家的AI超級電腦
[09:01] DGX Cloud
[09:02] 目的也不是單純的要經營雲端業務
[09:05] 而是用來開發自家的開放模型
[09:07] 那現在所推出的AI的自駕模型
[09:10] 只是第一步
[09:11] 未來會有更多開源模型來陸續推出
[09:14] 要讓整個AI的生態圈越活越大
[09:17] 那最重要的事情是什麼呢
[09:18] 是今年下半年
[09:19] 他就要開始大量的推行物理型AI
[09:22] 就是我們不能看AI只在熒幕上
[09:25] 不能在CheerGPT問我們附近
[09:28] 兩公里哪一家滷肉飯好吃
[09:29] 那個東西的產值已經不高了
[09:31] 我們要進入到工廠
[09:33] 我們要進入到道路
[09:34] 我們要進入到城市
[09:35] 所以輝達的解法
[09:37] 就是先在虛擬世界當中
[09:38] 建立完整的數位分身
[09:39] 讓機器人和自動駕駛
[09:41] 自己先去開車
[09:43] 自己強化學習
[09:44] 自己反覆的試錯
[09:45] 然後把成熟的策略帶回現實
[09:48] 那現在在硬體的技術
[09:50] 算力上有所突破以後
[09:51] 它就可以大幅的
[09:52] 廣泛性的進行訓練
[09:54] 所以也就是算力中心
[09:55] 在今年應該就會正式的
[09:58] 走出資料中心
[09:59] 我們不會只在電腦上看到AM
[10:01] 我們應該在路上
[10:03] 應該都會開始體驗到
[10:05] AI走入物理世界的真實景象
[10:07] 不管是剛才提到道路
[10:09] 工廠
[10:09] 倉儲
[10:10] 車輛
[10:11] 各式裝置
[10:11] 所以這一次我們看到
[10:13] APA Mario
[10:14] 因為本季度它就要上路了
[10:15] 那我們就非常值得關注
[10:17] 它推出以後
[10:19] 因為它算是開源模型
[10:20] 讓輝達的AI能夠讓駕駛
[10:22] 放手開車
[10:23] 它所釋出的影片
[10:24] 賓施的CLA
[10:25] 的確開起來看起來也蠻順的
[10:28] 從畫面上
[10:29] 你好像感覺不出來跟
[10:30] 特斯拉FSD的太大區別
[10:32] 但是呢
[10:33] 至少他已經可以在美國舊金山市區
[10:35] 讓駕駛完全不握方向盤的情況底下
[10:38] 就達到自動駕駛的應用
[10:40] 那馬斯克也立即評價
[10:42] 揮達這一次所推出的自家AI模型
[10:44] 他的看法是
[10:45] 基本上沒錯
[10:47] 這就是特斯拉目前正在做的事情
[10:49] 不過呢
[10:50] 他們會發現
[10:51] 99%很簡單
[10:52] 剩下的常委問題又非常困難了
[10:55] 尤其是那些即時性的反應
[10:57] 馬斯克提到說
[10:58] 現在真正的差距
[11:00] 不在於技術的展示
[11:01] 而是多久能夠把系統
[11:03] 磨到比人類安全
[11:04] 他也坦言
[11:05] FSD過去是勉強可用
[11:07] 現在已經明顯優於人類駕駛
[11:10] 本來就要好幾年的時間
[11:11] 傳統車廠
[11:12] 即便意識到方向正確
[11:14] 也往往要在那之後數年
[11:16] 才願意在量產車上
[11:18] 重新的去重設攝影機
[11:19] 不像我們早就已經設好了
[11:21] 所以賓士也才剛剛開始而已
[11:24] 主要還是要區別
[11:25] 這個FSD還是很強大的
[11:27] 不過如果一季度
[11:29] 這個賓士採用這個系統
[11:33] 就有不錯量力的回饋的話
[11:34] 那的確就要擔心了
[11:36] 你看我們後面那一臺
[11:37] 那個Cybertruck
[11:38] 以後是不是要改放賓士了
[11:40] 不會
[11:41] 因為我們對於馬斯克還有信仰
[11:43] 不單單是他的電動車
[11:45] 我們還要上火星
[11:46] 對不對
[11:47] 就算我們車子要換掉
[11:49] 我們還有小火箭
[11:51] 當時是買套組的
[11:52] 這跟小火箭
[11:53] 還有馬斯克的小火箭
[11:55] 我們還是有希望的
[11:56] 所以不管如何
[11:58] 這些人都在嘗試著
[12:00] 讓生產力的迭代快速的挺進
[12:02] 那不管怎麼說
[12:03] 現在物理AI的兩條主線
[12:05] 一個就是平臺化的擴散
[12:06] 對上垂直的閉環
[12:08] 很多人說這個APAMAYO
[12:10] 到底比得過FSD嗎
[12:11] 這種說法的核心
[12:13] 也不是說比誰的模型比較聰明
[12:15] 而是在比系統性的學習閉環
[12:17] 就輝達的APAMAYO VLA
[12:20] 這個模型它是一個通用型
[12:22] 可以遷移性的決策的模型
[12:24] 就照來講
[12:25] 它的邏輯是可以套用到BMW或其他車廠的
[12:28] 它的目標是讓機器人
[12:29] 工業裝置
[12:30] 物理AI的系統
[12:31] 能夠快速的理解世界
[12:33] 做出動作
[12:33] 特刷的FSD
[12:35] 它是一個高度垂直整合
[12:37] 為了單一任務極度最佳化的系統工程
[12:40] 所以兩者的差距不在於模型
[12:42] 或者架構新不新
[12:43] 而是誰掌握了現實世界的學習飛輪
[12:46] FSD是直接連線真實的道路
[12:49] 真實訓練
[12:50] 真實的事故
[12:51] 真實的回饋
[12:51] 它每天有幾百萬輛車來幫它蒐集資料
[12:54] 現在傳回去
[12:55] 你說輝達有這麼多的
[12:57] 收集資料的能力嗎
[12:59] 這個蠻挑戰的
[13:00] 因為Apple Mario
[13:00] 現在比較多依賴的是
[13:02] 模擬標準資料
[13:04] 和客戶的場景為條
[13:05] 所以真的可能
[13:06] 要等到一季度推出來以後
[13:08] 大家開了開個
[13:09] 看到底感受程度怎麼樣
[13:11] 有時候就是那個
[13:11] Key Mochi的問題
[13:12] 所以比較關鍵的有三點
[13:14] 第一個就目標函式不同
[13:15] FSD只有一個目標
[13:17] 道路安全
[13:18] 連續可規模化的開車
[13:19] Apple Mario
[13:20] 它服務的是多工
[13:21] 多產業
[13:22] 多裝置
[13:23] 無法為單一場景
[13:24] 完全走到其次
[13:25] 第二資料結構不同
[13:27] FSD的資料是連續時間序列
[13:29] 帶後果的行為資料
[13:30] 那Apple Mario
[13:31] 很多時候是離散任務
[13:33] 示範或者合成資料
[13:34] 那對於錯一步會發生什麼的
[13:36] 懲罰的訊號就比較微弱
[13:38] 這就有點危險
[13:38] 第三就是系統整合的深度不同
[13:41] 特殺因為有感測器
[13:42] 車載的算力
[13:43] 軟體的堆疊
[13:44] 那你就算Apple Mario上線以後
[13:47] 很多傳統車廠
[13:48] 他還要趕著要調那個感測器
[13:51] 或者視覺系統
[13:52] 所以呢
[13:53] 短期內
[13:54] 我們還是必須瞭解到說
[13:55] 特斯拉現在的優勢還在存在
[13:57] 可是整個2026年肯定是一個自駕車大戰
[14:01] 其實我個人的看法是
[14:02] 特斯拉賣的本來就不是車
[14:04] 它是一個可被驗證的未來
[14:06] 這個股價前陣子創高
[14:08] 你單看交車數本來就很難理解
[14:10] 因為市場的評價一直都不是賣了多少車
[14:13] 而是它在兌現一個未來
[14:15] 這個未來不是抽象的敘事
[14:16] 而是已經能夠被少數人體驗到的美好的東西
[14:20] 那這個訊號就是自駕
[14:22] 超過九成的人
[14:23] 還沒有體驗過
[14:24] 完整版的自駕系統
[14:25] 但一旦用過以後
[14:26] 其實你光是電油門系統
[14:28] 其實你就覺得電動車
[14:29] 開起來是的確稍微舒服一點
[14:31] 有時候歐系車
[14:32] 贏就贏在內裝而已
[14:34] 現在的效果
[14:35] 我們要仔細觀察是
[14:37] 整個電動車
[14:37] 它的普及率
[14:39] 國家的推動效果
[14:40] 會產生什麼樣的一個時代變遷
[14:42] 但我覺得特殊下就是這樣
[14:44] 當一個優點亮到像太陽之後
[14:47] 所有缺點都會退場
[14:48] 就很多時候價值判斷
[14:50] 不是優缺點加總之後的平均分
[14:52] 關鍵是
[14:53] 是否能夠亮到足以改變整個體系
[14:56] 就好像特斯拉
[14:56] 你足以拆解
[14:57] 它的內裝質感比得上歐系車嗎
[15:01] 肯定比不上
[15:02] 二手保值也拼不過日系車
[15:05] 價格也打不過陸系車
[15:09] 但你想想看
[15:10] 你一天
[15:10] 你只要每天
[15:12] 你一個半小時的通勤路上
[15:14] 只有一臺車
[15:16] 能夠讓你完全的真正解放雙手
[15:18] 可以讓你喝咖啡
[15:19] 整理思緒
[15:21] 甚至完成工作
[15:22] 那有時候一個優點
[15:23] 它可以蓋住所有的缺點
[15:26] 所以人生很多
[15:27] 感情關係也是一樣
[15:29] 你那個缺點
[15:30] 有時候多到像星星
[15:32] 但是你只要有一個
[15:33] 太陽一樣的核心價值
[15:34] 就能夠在關鍵時刻照亮生活
[15:37] 那太太不是常跟姐妹抱怨嗎
[15:39] 說她老公缺點很多
[15:41] 閨蜜就問她太太
[15:42] 你覺得你老公缺點真的很多嗎
[15:44] 真的很多
[15:45] 像星星一樣多
[15:47] 那她的優點呢
[15:48] 像太陽一樣
[15:49] 只有一個
[15:51] 那為什麼你還是喜歡它呢
[15:52] 因為太陽一出現
[15:54] 星星就不見了
[15:55] 或許
[15:57] 所以你說它的優點只有一個
[15:58] 也許它有它的特殊的長處
[16:00] 或者是很長的長處
[16:03] 但不管怎麼說
[16:04] 很多那種一朝定生時的邏輯
[16:06] 存在很多決策
[16:07] 這個產品的競爭
[16:08] 也不會因為另外一個產品
[16:10] 也推出了自己的自家系統
[16:12] 就大亂
[16:12] 反而有可能是一個增量市場新的時代已經真實來臨了好 那麼往下看看現在大家更為關注的幾大方向是各大車廠其實在這次CES戰都有相對性的表態
[16:24] 你像Uber的部分
[16:25] Uber的需求層還是OS
[16:28] 特斯拉是一個不定時的炸彈
[16:31] 隨時有可能大幅的破壞到
[16:33] 全球的自家無人車系統
[16:35] 那真正動搖Uber的
[16:37] 就是要看一下
[16:38] 特斯拉能否做到斷層式的成本
[16:40] 和規模的優勢
[16:42] 因為這一次Uber其實也互相進行合作
[16:45] 他主要是跟Lucy合作
[16:47] 重返自駕車的戰場
[16:49] 這臺車外表看起來也蠻好看的
[16:52] 但至少他已經宣告
[16:54] 重返自動駕駛的轎車佈局
[16:56] 主要跟Lucy Motors
[16:58] 以及自駕系統Nurro共同打造
[17:01] 重點不只是看自己會不會開
[17:02] 而是把Uber多年累積的乘車體驗
[17:05] 看能不能搬到自駕車的車式設計當中
[17:08] 試圖重新定義未來的轎車服務
[17:11] 那就代表著
[17:12] 這個Uber如果採用Lucy的系統
[17:15] 等同於它就不裝是純視覺系統
[17:17] 它還會包括相對應的光雷達系統
[17:21] 那也許從某些人的角度來看
[17:23] 可能覺得更加安全
[17:24] 因為Lucy它採取的是
[17:26] 極致效率導向的豪華電動車路線
[17:29] 核心在於電區和電池系統的工程深度
[17:32] 而並不是像特斯拉那樣
[17:34] 把重心完全放在軟體和規模化
[17:36] Lucy有自研高效率的馬達
[17:38] 逆變器和電池模組
[17:40] 那把美度店能夠跑多遠
[17:42] 基本上做到產業的天花板了
[17:44] 某種程度而言
[17:45] 它就是對於自駕系統來看
[17:48] 可能最好的合作伙伴吧
[17:50] 至少對於Uber而言
[17:51] 現在也只能跟它合作
[17:52] 不管怎麼說
[17:53] 現在全球的自駕車系統
[17:55] 大亂鬥以後
[17:56] 現在能夠唯一確定的事情是
[17:58] 至少挽救了一下歐系車的劣勢
[18:01] 這個歐系車內裝質感
[18:03] 一直都是稍微比較好的
[18:04] 但是總是輸在
[18:06] 過去我們看到
[18:07] 不管是價效比的部分
[18:09] 不管是在總體成本的部分
[18:11] 還是在全球電動車自駕系統普及化的部分
[18:14] 都遭受到重大沖擊
[18:16] 我們舉例來說
[18:17] 全球如果以電動車最普及的經濟體
[18:19] 目前仍然在中國
[18:20] 純電動車已經來到35%了
[18:23] 那也就代表著電動車市場
[18:25] 誰無法完全的奪下中國有一定的市佔
[18:28] 就會被擠出市場
[18:29] 那最近我們也知道
[18:30] 歐系車在中國市場是節節敗退
[18:32] 賓市的部分
[18:34] 這一波的降價幅度很誇張
[18:35] 年初開始
[18:36] 幾乎所有主力車型都在下滑
[18:39] 純電車的SUV
[18:40] 我們像是EQB的部分
[18:42] 指導價本來在42萬
[18:45] 現在最低下探到17萬
[18:47] 等於降幅是50%
[18:49] EQA從32萬的定價下滑到16萬人民幣
[18:53] 也是腰斬
[18:54] 就算是藍油入門的SUV GLA
[18:57] 價格也從35萬直接一口氣壓到15萬
[19:01] 降了20萬
[19:02] 所以你可以觀察到
[19:03] 這個降幅都是50%60%起跳的
[19:07] 不是給你降個一層兩層
[19:09] 我們就算關稅要來
[19:11] 那個降價幅度有沒有5%都不知道
[19:13] 你像BNW也是如此
[19:15] BNW你像是電動車i7
[19:17] 售價從189萬人民幣下調到159萬
[19:21] 單次下調降幅也有16%
[19:24] 7系列從人民幣91萬下調到80萬
[19:28] 那其他像是入門款的iX1
[19:30] 29萬降到22萬
[19:32] 這臺在臺灣要賣快200萬
[19:35] 現在在大陸只要賣100萬
[19:37] 那降價幅度越來越離譜了
[19:39] 大概都是兩成到三成左右
[19:41] 那其實我們也觀察到實質現象了
[19:43] 這個歐系車已經在全球的
[19:46] 這種汽車市場當中
[19:48] 受到非常顯著的市場競爭
[19:50] 那現在能不能靠著跟輝達的合作
[19:52] 扳回一城呢
[19:53] 這個是大家可以觀察到的
[19:56] 另外一大跡象
[19:57] 要讓傳統車廠
[19:58] 可以在不用自行研發AI FSD自動價值的情況底下
[20:04] 來跟輝達進行合作
[20:05] 只要有利潤的回扣就可以了
[20:08] 好那黃文勳不管怎麼說
[20:09] 這次Rubin的晶片進度
[20:11] 如期AI的算力需求也非常強勁
[20:13] 他也特別提到
[20:14] Rubin的資料中心的處理器
[20:16] 已經正式進入到量產階段
[20:18] 所有關鍵晶片都已經從自己的供應鏈回到手中
[20:23] 預計下半年大概就能夠交付客戶來
[20:25] 來實際測試和部署
[20:27] 所以目前市場的需求
[20:28] 他的表態還是明顯非常非常的高
[20:31] Rubin作為Breakwell的接班產品
[20:34] 在AI的訓練效能
[20:35] 普遍預估大概是上升3.5倍
[20:37] 那如果是這樣的話
[20:39] 那整個算力的成本又會大幅下滑
[20:41] 推論效能也預估會增長5倍左右
[20:43] 在這樣效果底下
[20:44] 輝達雖然最近我們也知道
[20:46] 那股價表現不算是特別亮烈
[20:48] 可是他的高毛利迴圈還是很清楚
[20:50] 17年到22年
[20:52] 毛利率是穩定走高
[20:54] 23年那時候庫存迴圈調整
[20:56] 稍微下滑
[20:56] 包括新一代的架構轉換成本拉昇
[21:00] 但是呢
[21:00] 到24年25年又突然快速回升
[21:03] 現在又回到七字頭左右了
[21:05] 所以這也是為什麼
[21:06] 投資人真正盯的不是有沒有競爭
[21:08] 而是這家公司在全球
[21:10] 不管是ASIC崛起底下
[21:12] 毛利率能不能站得住腳
[21:14] 目前看起來
[21:15] 整體財策變化都沒有太大區別
[21:17] 當然CES也不只是只有輝達了
[21:19] 只是說它的創舉
[21:21] 會讓大家瞭解它的生態系
[21:22] 已經開始平行擴張
[21:24] AMD這次也推出了
[21:26] 企業級的資料中心型晶片
[21:28] 雖然股價不太買單
[21:29] 不過這次AI晶片Ni440X
[21:32] 鎖定的是規模比較小
[21:33] 希望把資料留在內部的
[21:36] 企業資料中心
[21:37] 這顆晶片其實在既有
[21:40] 較緊湊的機房環境當中
[21:41] 可以讓企業不用完全依賴雲端
[21:44] 就不用靠這些科技巨頭了
[21:46] 就能夠自行運作AI的工作負載
[21:48] 看起來還是有很多企業
[21:50] 都會有相對應的需求了
[21:51] Intel的部分
[21:52] 不只是亮相新一代的筆電平臺
[21:55] 也壓住AI和製程的翻身
[21:57] 這一波
[21:58] 它其實提出的新一波的處理器筆電
[22:01] 被視為公司重返競爭力的第一步
[22:04] 這一批來自於一線品牌的更新機種
[22:07] 主打的就是AI軟體運算上的明顯效能躍進
[22:10] 預估應該再過兩週就會正式開賣
[22:14] 當然在終端運用的部分
[22:16] 這一次波士頓動力
[22:18] 它的Atlas
[22:19] 這一次電動人形機器人
[22:21] 其實也開始明確的以量產和工業應用
[22:25] 作為目標的版本
[22:26] 預估在今年下半年
[22:28] 就要開始進行實質佈局了
[22:31] 那第一波佈局在哪裡呢
[22:32] 看起來是在現代汽車
[22:34] 以及Google DeepMind
[22:36] 一方面它會參與原物料的生產的搬運過程
[22:40] 到時候也會公開畫面
[22:42] 讓大家來仔細觀察
[22:43] 到底就目前來看
[22:45] 我們的機器人
[22:46] 它的靈敏度已經發展到什麼樣的水準
[22:48] 因為跟過去的易壓版本不太一樣
[22:50] 這一次量產的機器人
[22:52] 它是全面改用電動架構
[22:54] 機身會更輕
[22:55] 反應更快
[22:56] 大家可以回去看一下那個畫面
[22:58] 的確那個頭扭的算蠻快的
[23:01] 腰也扭得很快了
[23:02] 跳舞應該是很不錯了
[23:03] 到時候我們看一下公佈的畫面
[23:05] 那特斯拉的Optimus
[23:06] 今年預估也要量產
[23:08] 但重點在於
[23:09] 它似乎下半年所透露的計劃
[23:11] 好像也都只是優先投入自家工廠
[23:14] 到底零售何時會開始陸續推出
[23:17] 很重要了
[23:18] 其實這兩年
[23:19] 你已經觀察到整個機器人的突破速度越來越快
[23:22] 尤其在關節度能夠大幅突破以後
[23:24] 取代人類的效果只會持續的挺進
[23:27] 就好像我們雖然還沒有明顯的感受
[23:29] 可是亞馬遜已經連續四年
[23:31] 總員工人數都在下滑了
[23:33] 那誰取代的
[23:34] 亞馬遜包裹又沒變少
[23:35] 機器人取代了
[23:36] 甚至我們看到在近期機器狗的模型
[23:40] 現在也越來越普及
[23:42] 如果仔細觀察
[23:43] 今年不只是自駕車元年
[23:45] 也有可能是導盲狗元年
[23:47] 因為從AI能力到雲端模型
[23:50] 一路下沉到終端裝置
[23:51] 導盲犬一直都是一個高度能力密集
[23:54] 供給長期不足的領域
[23:56] 傳統的導盲犬我們知道成本很高
[23:58] 週期很長
[23:59] 服務的人數是有限的
[24:00] 而且還受限於動物的壽命
[24:02] 和場域的規範
[24:03] 可是如果你是機器狗
[24:05] 那你應該到處走
[24:07] 大家就不會覺得有味道什麼的
[24:09] AI導盲狗
[24:10] 能夠把感知判斷和導航
[24:12] 這套模組化
[24:13] 透過視覺辨識
[24:14] 語音互動
[24:15] 及時規避
[24:17] 把導盲從生物能力變成可複製
[24:20] 可以量產
