[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 极度亮丽的财报表现
[04:49] 但是另外一方面还保持着蛮乐观的
[04:52] 至少虽然估值现在短期内在回调
[04:55] 可是我们也知道
[04:56] 本轮的估值回调跟利率预期没有太大关系
[04:58] 更多来自于获利了结的卖压
[05:01] 那历史经验通常
[05:02] 利率预期开始有所升高
[05:04] 信用利差扩大
[05:05] 金融环境收紧
[05:06] 应该会对于股市有所沉压
[05:08] 不过市场也并不是特别害怕
[05:10] 那第四个矛盾
[05:11] 就是不同资产对于每一资产的不同的解读
[05:15] 股票市场
[05:16] 信用市场
[05:17] 油价
[05:18] 从周期来看
[05:20] 基本上好像就反映着中东局势
[05:22] 不是很严重吗
[05:23] 要不然怎么打那么久
[05:24] 股市还在创高
[05:25] 油价还在回落
[05:26] 但利率市场去反映
[05:28] 较高的市值利率
[05:29] 这个就是第四个吊诡
[05:31] 第五个吊诡是黄金市场
[05:33] 黄金你不要看
[05:34] 今年年初到现在只跌4%
[05:35] 它从高点跌下
[05:37] 已经跌两成了
[05:38] 那照来讲
[05:38] 地缘政治风险升高
[05:40] 或者财政赤字持续扩大
[05:43] 那应该会对于黄金
[05:44] 有所买盘的刺激
[05:45] 不过呢
[05:46] 我们却观察到
[05:47] 黄金的市场卖压
[05:49] 还是相当沉重
[05:50] 最后就是油价
[05:51] 油价已经恢复正常了
[05:53] 但是供应链
[05:53] 我们看现在通过和姆斯海峡的邮轮书
[05:56] 和全球的供应链情况
[05:58] 居然还没有回到战前水准
[06:00] 所以总结论就是认为
[06:02] 现在有一个根本的原因
[06:05] 拖动了目前中东局势所造成的混乱
[06:09] 造成中东局势其实是利空
[06:11] 可是有一个更大的利多
[06:13] 把利空给盖过去了
[06:14] 是什么呢
[06:15] 就是经济成长
[06:16] 经济成长的确比市场预期来的更强
[06:18] 企业获利的持续改善
[06:20] 那么高的实质利率
[06:22] 而股市创高和风险资产强势
[06:24] 居然可以同步成立
[06:25] 所以刚才提到的很多矛盾
[06:27] 六个矛盾慢慢就被消化了
[06:29] 只要经济动能还在增长
[06:31] 它可以盖过一切
[06:33] 换句话说
[06:34] 只要AI的资本支出还在成长
[06:36] 中间的利空都不算是利空
[06:39] 它就是一个固执回调的理由
[06:40] 好 那我们再回过头来看
[06:42] 那三星这次所引爆的市场卖压
[06:45] 它是利空吗
[06:46] 它是资本支出缓下来的可能性吗
[06:49] 当然不是
[06:50] 我们知道这次财报是好的不得了
[06:52] 二季度财报合并营收是171兆韩元
[06:56] 合计美元大概是1118亿
[06:59] 年征服是129%
[07:01] 这个季度赚的钱大概是什么概念呢
[07:04] 就是大概是赚过去三年的概念
[07:07] 就一个季度
[07:08] 比如说台积电一个季度可能EPS25块
[07:11] 然后台积电可能过去一年EPS只有4块
[07:14] 这种感觉
[07:14] 就是他赚的速度是非常非常惊人的
[07:18] 结果引发了市场上集体获利的卖压
[07:22] 所以在这样的效果底下
[07:23] 我们基本上不会把它断定成任何资本支出放缓的迹象
[07:27] 也没有任何基本面利空的传出
[07:29] 基本上就是获利了解
[07:31] 那的确记忆体股非凡本轮乖离本来就拉得很高仕途从4月5月6月7月开始回档涨三个月回调一个月也不过分吧所以我的根本看法是这一次我们虽然难免要回公园
[07:46] 但是放心
[07:47] 有机会在下一次台风之前
[07:51] 能够回到饭店
[07:52] 这是我的信心
[07:53] 希望如此好不好
[07:54] 希望如此
[07:55] 当然了
[07:56] 网络上有人看到说
[07:57] 韩国股市熔断的频率
[08:00] 好像比我拉肚子还高
[08:01] 的确
[08:02] 这个其实就是来自于
[08:03] 过去两个月的杠杆加成
[08:05] 所形成的效果
[08:06] 其实亚洲科技股
[08:08] 目前也在全面回挡当中
[08:09] 但是会不会因此
[08:10] 大幅拖累台积电
[08:11] 我就认为不一定
[08:12] 因为看起来是波动高的
[08:15] 杀比较重
[08:15] 但是台积电过去几个月
[08:17] 其实表现还算是很平稳
[08:19] 说实在的
[08:20] 有点让人打哈欠
[08:21] 就股票比较牛皮一点
[08:24] 稳稳的在环部的上涨
[08:26] 不像三星或者SK海力士
[08:27] 有如此价格上的一个波动
[08:29] 那之所以我们看到
[08:31] 三星现在获利
[08:32] 已经暴增了19倍
[08:34] 还是下跌
[08:35] 并不是真的因为
[08:36] 记忆体行情已经反应过头
[08:38] 应该讲说最多就是反应过头
[08:39] 但是并没有任何
[08:41] 基本面松绑的可能性
[08:43] 那现在就要看
[08:43] 那回调幅度到什么样的位置
[08:45] 是合理的呢
[08:46] 现在也不过从7月份跌到6月初
[08:49] 那你说跌回5月份
[08:51] 跌回4月份
[08:52] 它仍然会有100%的报酬
[08:54] 所以这取决于
[08:55] 你在6月份是否有重仓
[08:57] 那看起来很多人是很痛苦
[08:58] 因为6月份全球股市爆大量
[09:01] 所以虽然我们知道今年以来
[09:04] 你只要愿意吃油都是赚的
[09:05] 可是大多数人都买才6月
[09:08] 这就是我们给予市场的旗舰
[09:09] 就给予市场的看法
[09:11] 为什么不要在市场上情绪比较乐观的时候
[09:14] 全面的放大杠杆
[09:15] 你至少要确保自己能够活得下去
[09:17] 我们看不管是三星
[09:19] SK海力士
[09:20] 还是美光
[09:20] 目前从高点跌幅
[09:22] 陆续进入到熊市
[09:23] 我们看一下其他股票
[09:25] 像SANDESK
[09:26] 从高点这样跌下来
[09:27] 跌幅也高达34%
[09:29] 所以我们做个总结
[09:31] 市场对于三星财报的反应
[09:33] 它当然是反映出
[09:35] 市场针对记忆体
[09:36] 是否未来有快速扩散
[09:38] 所造成的市场卖压
[09:39] 但目前看起来
[09:40] 更多反映的就是
[09:41] 获利了结的卖压而已
[09:43] 那现在第二季财报表现这么强劲
[09:45] 市场好像把过去挥达的
[09:48] 那种想象空间套用在三星
[09:50] 认为你现在不只要考100分
[09:52] 你要考超出满分
[09:54] 我才能够给予你相当稳定的评价
[09:57] 那三星的例子也再次提醒我们
[09:59] 那有时候看对方向
[10:01] 也不代表一定就会赚到钱
[10:03] 这AI长期趋势也没有改变
[10:05] 三星SK海力士的获利都创下历史新高了
[10:08] 但是市场期待已经提前反应
[10:10] 那股价开始剧烈震荡的时候
[10:12] 你最后考验的
[10:13] 那也不是基本面的问题
[10:15] 是你的持股能力
[10:16] 是抱持的能力
[10:18] 如果为了放大AI行情
[10:20] 而过度的使用杠杆
[10:22] 或者单一个股重压
[10:24] 那很有可能在短期修正当中
[10:26] 就要被迫停顺了
[10:27] 明明你是想要参与AI
[10:28] 数年的成长
[10:29] 结果看对的趋势实在波动
[10:32] 撑不过几天
[10:33] 才几周你又被洗掉了
[10:35] 这典型的
[10:36] 我们讲的目的和手段
[10:38] 互相否定
[10:39] 真正能够赚到长期趋势的人
[10:42] 他不是压得最重的
[10:43] 他是撑最久的
[10:44] 所以你要了解你的目的
[10:46] 那你要了解你的手段
[10:47] 能不能配得上你的目的
[10:49] 警察把一个男的拦下来
[10:51] 你为什么闯红灯
[10:52] 我赶时间了
[10:54] 你赶去哪里
[10:55] 我敢去交通安全讲习
[10:59] 投资也是一样
[11:00] 很多人嘴上讲说要长期投资
[11:02] 那每天盯盘追高杀低
[11:04] 希望累金财富
[11:06] 但是你又不断的使用过高的杠杆
[11:08] 那不是就是
[11:09] 尝试着想要把自己给洗出去吗
[11:11] 你想要降低风险
[11:12] 结果你把资金集中在单一论门标的
[11:14] 明明目标是稳定的获利
[11:16] 采取的手段
[11:17] 却会让自己承受更大的波动
[11:19] 那最后往往就离自己的目标越来越远
[11:22] 所以一定要了解
[11:23] 你的目的和手段
[11:24] 要互相匹配
[11:26] 你的目的当然想要参与AI成长
[11:28] 那手段不能够太极端
[11:29] 以防把自己给洗掉
[11:31] 当然了其实还好
[11:32] 你不要被洗掉就没问题了
[11:33] 三星股价总有一天还会创高的
[11:35] 这种势头
[11:36] 而且三星本益比现在也才10倍左右
[11:39] 你说它有什么史诗级泡沫
[11:42] 我倒是觉得也还好啦
[11:43] 当然了这也说明着
[11:44] 这个环境不好
[11:46] 本来是SK海力士
[11:48] 想要趁着这波SpaceX的上市行情
[11:51] AD啊挂牌行情
[11:53] 能够乘风破浪
[11:55] 不过我们知道礼拜五
[11:57] 海力士就要赴美发行
[11:59] 美国存托凭证ADR了
[12:01] 预估的募资规模是280亿
[12:03] 那就不确定
[12:04] 这样的一个募资效果表现为何
[12:07] 当然回过头看
[12:08] 整体而言像是SK海力士和美光
[12:11] 其实长期本益比都属于偏低
[12:13] 海力士又相对于美光
[12:15] 又更偏低了一点
[12:16] 那你说海力士的市占
[12:18] 又比美光来得高
[12:19] 那么光是从本益比的推送效果
[12:22] 也许能够抢到不少的记忆体的买盘刺激
[12:25] 当然它不是单纯的存量关系
[12:27] 但是还是对于部分投资人
[12:29] 对于美股投资人是有吸引力的
[12:31] 而且你要看
[12:32] 他们涨那么多
[12:33] 海力士和美光
[12:34] 它本益比居然六倍
[12:36] 这真的很离谱
[12:37] 涨了三倍四倍的股票
[12:40] 然后本益比只有六倍到八倍
[12:42] 你就知道这些厂商到底现在有多赚钱
[12:44] 好那这是第一点
[12:45] 就是互利了结的卖压
[12:47] 你说那市场上是不是正在找利空来解释呢
[12:49] 当然那我们来一一破除
[12:51] 第一个就晶片通膨的反噬效果
[12:53] 大家会担心
[12:54] 三星转翻了AI记忆体的红利
[12:56] 可是晶片通膨持续向下游来做反应
[13:00] 比如说现在PC端
[13:01] 手机端
[13:02] 平板价格
[13:03] 苹果6月份才调涨
[13:05] Mac和iPad售价
[13:06] 而且把记忆体的价格高涨
[13:08] 列为原因之一
[13:09] 那美国现在很多消费者
[13:11] 对于海力士
[13:12] 对于美光
[13:14] 对于三星
[13:14] 现在有人对他们三家企业提告
[13:17] 涉嫌掌握90%低润市场
[13:21] 来才是进行垄断
[13:22] 你要这样讲
[13:23] 那台积电也很危险
[13:25] 对不对
[13:25] 但是因为他们涨价涨很多
[13:27] 但这些问题
[13:28] 本身都不是一个极大利空
[13:29] 为什么
[13:30] 因为记忆体通膨
[13:31] 它本身的确
[13:32] 它是塑造出本轮向下游通膨
[13:36] 所造成冲击
[13:36] 可是你要想想看
[13:37] 消费市场本来就已经不是很好了
[13:39] 你说由于记忆体通膨
[13:41] 所引发PC或者手机市场的衰退
[13:43] 它会不会进一步影响到
[13:45] 股票市场
[13:47] 或者整个资本市场
[13:48] 这很难说
[13:49] 因为我们也知道
[13:50] 昨天我们提到说
[13:51] 鸿海现在50%以上的营收
[13:53] 不来自于手机
[13:54] 它如果手机不好
[13:55] 那该怎么办
[13:56] 那真的会大幅影响到
[13:57] 台湾企业的财报
[13:59] 所以这是两极化的
[14:01] 我们知道科技通膨
[14:02] 它市场的担忧来自于
[14:04] 那就没有人买手机了
[14:06] 没有人买手机
[14:06] 消费就衰退了
[14:07] 消费衰退
[14:08] 厂商就活不下去了
[14:09] 但这利润还是来自于
[14:11] 好像我们的企业
[14:12] 已经说还是来自于手机
[14:13] 但就不是来自于手机
[14:14] 就是由于都把货
[14:16] 贡献给了AI
[14:17] 好那第二个角度是
[14:19] 那如果是这样的观察的话
[14:21] 那是不是其实反而更类似于估值轮动
[14:24] 它就不像是泡沫泡面
[14:25] 没错
[14:26] 其实我们看昨天七巨头
[14:27] 还是有一定的买盘刺激
[14:28] 代表现在纸砂涨高的
[14:31] 它已经没涨的
[14:32] 基本上也不太杀得动
[14:33] 你像微软今年已经下跌22%
[14:36] 创下2000年以来的最差单月表现
[14:39] Meta六个月也回落14%
[14:41] Apabe虽然今年还是上涨12%
[14:43] 但是基本上也算是跑输给大盘
[14:46] 相对于沸尘半导体指数
[14:48] 整体涨了88%
[14:50] 比较起来
[14:52] 你要知道
[14:52] 其实今年大多数没有股市
[14:54] 七巨头都已经输给了大盘
[14:56] 更何况拿来跟费班做比较
[14:58] 所以这些七巨头
[15:00] 在最近的股价沉压
[15:01] 就没有这么沉重
[15:02] 我们的回答的确
[15:03] 股价还在回调
[15:04] 但是你也知道
[15:05] 它已经逼近到年限了
[15:07] 再跌其实压力也有限了
[15:09] 除非是大空桶泡沫破灭
[15:11] 我们真实要观察的事情是
[15:13] 藉由这一次的记忆体股的卖压引发出市场的新一轮担忧就重新對於資本支出造成懷疑那你要知道我们已经搞了好几次了每一次他怀疑资本支出说不回来每一次都是买一点
[15:25] 几乎过去两年来看是如此
[15:27] 所以你十分把握
[15:29] 这一次就是泡沫破灭
[15:31] 要不然
[15:32] 从周期角度而言
[15:34] 他就塑造出了机会
[15:35] 废办不一定
[15:35] 你要看他本益比
[15:36] 或者他的乖离回调幅度多大
[15:39] 他回调空间蛮大的
[15:40] 但是对于纳指
[15:41] 对于巨头而言
[15:42] 那就几乎没什么空间
[15:44] 已经跌到地域17成了
[15:46] 那很难跌到第18成了
[15:47] 这些企业又有稳定的现金流
[15:49] 和护城河
[15:50] 那主要观察的效果是
[15:52] 因为这些企业还在借钱
[15:53] 所以造成市场的心理担忧
[15:55] 亚马逊在本周宣布
[15:57] 至少在发行250亿美元的公司债
[16:00] 为今年庞大的AI基础建设
[16:02] 来筹措资金
[16:03] 那如果是这样看的话
[16:04] 等同于今年全球AI相关企业的
[16:08] 发债规模
[16:08] 已经上升到3350亿了
[16:11] 今年资本支出是8000到9000亿了
[16:14] 今年借了3000亿的公司债
[16:16] 这件事情就意味着
[16:17] 亚马逊今年的资本支出的走高
[16:20] 已经接近2000亿了
[16:22] 那大家都在透过美元
[16:23] 瑞士法郎
[16:25] 或者我们看到
[16:26] 针对日元来筹齐债务
[16:28] 那大家当然会担心
[16:29] 一直举债一直举债
[16:31] 所以我们看到CDS价格
[16:32] 最近其实也在慢慢的走高当中
[16:35] 如果是借最多的
[16:36] 亚马逊是借了800亿美元
[16:39] 这是全球企业最大的融资者
[16:42] 那Google的部分
[16:43] 是借了接近有900亿美元
[16:45] 那他主要是把多国货币进行分散
[16:48] 相对之下
[16:49] Meta甲骨文辉达
[16:50] 主要还是以美元发债为主
[16:52] 但看得出来
[16:53] 大家借钱都不少
[16:55] 那CDS价格
[16:56] 在过去一个月
[16:57] 有部分
[16:58] 其实也是开始陆续的走高
[17:00] 那这些讯息
[17:01] 都足以让市场上有进一步的担忧
[17:04] 可是我们过去跟投资朋友提过
[17:05] 即便这样的一个讯息产生以后
[17:08] 对于七巨头的承压
[17:09] 其实已经相对没这么大了
[17:11] 因为先前根本就没有怎么涨到
[17:13] 我们看大摩所给予的报告
[17:15] 给予新一轮的看法
[17:16] 他的看法就是
[17:17] 短线减码半导体
[17:19] 转向云端巨头和落后补章股
[17:21] 这个我们过去一直以来都论调
[17:23] 当然了报告认为
[17:25] 2025年经济已经走出了
[17:26] 滚动式的衰退
[17:27] 美国企业已经进入新一轮的扩张
[17:30] 所以即便像德银和大摩
[17:32] 在短线上似乎都有一点
[17:34] 比较保守或者看空的态势
[17:36] 但都认为这是周期轮动
[17:37] 资金应该要重新挪回到
[17:40] 本一笔相对低的七巨头
[17:41] 所以在这样效果底下
[17:42] 包括Meta宣布部分闲置算力
[17:45] 对外出租
[17:46] 都被视为大型云端业者
[17:47] 调整资本支出节奏的讯号
[17:49] 也许明年就不会投那么多了
[17:51] 一方面是技术在进步
[17:52] 另外一方面
[17:53] 也许接下来在生产力突破的过程当中
[17:57] 就可以缓步的把钱给收回来
[17:59] 事实上我们知道
[18:00] 把废办拿来跟白银ETF来做对照
[18:03] 市场上的过去的预估
[18:05] 大概都是约落后四个月
[18:07] 那我们知道
[18:07] 银价或者铜价
[18:10] 作为市场的工业金属原物料
[18:13] 它通常会对于市场
[18:14] 有一定的领先效果
[18:16] 那如果按照这样效果的话
[18:17] 那的确
[18:18] 非半有缓步调整的空间
[18:20] 不过这是一个浅显对照了
[18:22] 重点的对照
[18:23] 还是来自于周期轮动
[18:24] 你把半导体股
[18:25] 再拿来跟云端巨头概念股
[18:28] 两者的报酬来做比较
[18:30] 那就是很清楚知道了
[18:31] 双方轮动的空间
[18:33] 如果开始出现的话
[18:34] 那就说明市场还是稳健的
[18:36] 而现在看起来
[18:36] 就有那么一丁点轮动的感觉
[18:38] 那当然了
[18:39] 也不代表说
[18:40] 现在废办的企业都不好
[18:41] 有些本益比还是很低
[18:43] 但是我们讲的事情是
[18:45] 投资就是如此
[18:46] 市场上每天都用现在
[18:48] right now的评价
[18:50] 现在的新闻
[18:51] 现在的财报
[18:53] 来评价一家公司
[18:54] 但是股价反映的往往不是今天
[18:56] 它是半年一年甚至更久以后
[18:58] 很多人只看到眼前的财报
[19:00] 获利或者消息
[19:02] 然后就急着要判断股价的高低
[19:04] 但却忽略了市场
[19:06] 其实是在提前交易
[19:08] 对未来的预期
[19:09] 所以如果你只用当下的数据来看未来
[19:12] 就有可能失真
[19:13] 所以最后我觉得
[19:14] 你对于这些股票有没有信心
[19:16] 已经跌的
[19:17] 比如说乖离很高的
[19:18] 那你要勇敢的抱得住
[19:20] 如果你对于AI有信心
[19:21] 那如果你有现金
[19:22] 你等着要加码的
[19:23] 那也许
[19:24] 寻找一些低级级具有护身盒
[19:26] 对赌这些巨头
[19:27] 有一天能够把钱收回来
[19:29] 往下做下一步的生产力突破
[19:31] 也是一种方式
[19:32] 但最终
[19:33] 你要了解说
[19:34] 你不能用现在当下的趋势
[19:36] 你还没有看到AI的产出
[19:37] 就断定AI不能够成
[19:39] 这是市场上不要去忽略
[19:41] 提前交易对于未来的预期
[19:43] 这件事情是很重要的
[19:45] 你想两个男的
[19:46] 两个兄弟
[19:48] 一起在讨论男女之事
[19:50] 互相揶揄对方
[19:52] 一个男的就说
[19:54] 你这副样子
[19:55] 这么多年没见了
[19:57] 一看就知道
[19:58] 还是没经验的处男
[20:00] 另外一个男的说
[20:01] 哪有
[20:02] 我上礼拜之后就不是了
[20:04] 不信你去问你妹妹
[20:06] 你别吹牛了
[20:08] 我没有妹妹
[20:09] 那你十个月之后
[20:11] 你再去问他
[20:12] 如果你只用当下的数据来看未来
[20:16] 你就很有可能忽略了
[20:18] 真实获利爆发的成长
[20:20] 你以为抓到了对方的漏洞
[20:22] 却忽略了
[20:23] 对方谈的是另外一个时间的维度
[20:26] 成熟的投资
[20:27] 不是跟你说
[20:28] 分析眼前当下发生了什么
[20:30] 我们看的都是
[20:31] 思考未来可能发生什么
[20:33] 因为这才是真正影响股价的
[20:35] 并不是现在
[20:36] 是未来
[20:37] 给投资朋友做些思考
[20:38] 当然我们回过头看
[20:39] 没有股市期回调到现在
[20:41] 乖离就有到那种修正的幅度了
[20:44] 所以情绪会稍微缓不下来
[20:47] 那量也会开始收缩
[20:48] 其实周期投资者最喜欢这种盘了
[20:51] 我们最喜欢的盘
[20:52] 不是暴涨暴跌
[20:53] 盘整
[20:54] 盘整大家就会失去耐心
[20:56] 那本一笔乖离也会慢慢的修正
[20:58] 道琼指数下跌130点
[21:00] 0.25%
[21:01] 收在52,925点
[21:03] 标普白指数下跌33点
[21:05] 0.45%
[21:06] 刷在7503点
[21:08] 其实也跌得还好
[21:09] 纳指下跌302点
[21:10] 1.16%
[21:11] 刷在25818点
[21:13] 纳指其实从今年5月份以来
[21:15] 就一直在修正区间了
[21:16] 所以机会一直很多
[21:18] 那现在机会
[21:19] 费办好像慢慢出现了
[21:21] 打回到季线了
[21:23] 费办下跌599点
[21:24] 4.65%
[21:25] 收在12300点
[21:28] 那台积电和ADR
[21:29] 昨天是下跌4.25%
[21:30] 不过前一天
[21:31] 也已经做一些反应了
[21:32] 看一下今天的效果
[21:34] SpaceX
[21:35] 因为礼拜二已经正式被纳入到
[21:37] 纳指100指数当中
[21:39] 那距离这家公司在6月12号IPO
[21:42] 也才过15天吧
[21:44] 所以它是史上最快被纳入到指数的公司
[21:47] 那当然接下来就要引发数十亿美元的被动买盘
[21:50] 陆续的刺激
[21:51] 但是我们讲说今天市场的叙事或者概况
[21:55] 其实就是过去几周一直重新上演的情况
[21:58] 就是AI基础建设
[22:01] 半导体股
[22:02] 记忆体股
[22:03] 经历大涨之后
[22:04] 资金开始轮动
[22:06] 那市场对于这些公司的期待
[22:08] 短期内已经难以超越
[22:10] 给你太好的乐观了
[22:11] 那你现在告诉我你考100分
[22:13] 100分算什么
[22:14] 我要的是120
[22:15] 所以就变成这样的一个效果
[22:17] 好那第三件事情
[22:18] 是市场上已经认知到
[22:20] 现在钱要花在刀口上
[22:22] 花在刀口是很重要的
[22:24] 因为整个中方
[22:25] 陆方陆系推出的AI模型
[22:27] 其实已经足以证明着
[22:29] AI差不多要准备进行
[22:31] 大规模的企业采用
[22:33] 来推升内部生产力的效果
[22:35] 事实上我们看到中国企业
[22:36] 在最近一段时间
[22:38] 持续加速采用国产晶片
[22:41] 所以辉达的市占
[22:42] 在中国市场是节节败退
[22:44] 当然了
[22:44] 它的败退也不是因为竞争上的败退
[22:47] 主要就是在国产化政策的影响底下
[22:50] 对于辉达的需求产品持续的收缩
[22:53] 那反而对于超维的需求开始拉升我们看受访来自于60位软体金融和制造和零售的高阶主管表示未来12个月会有46%的AI加速器采购预算投入中国国产产品
[23:07] 已经明显高于现在的30%
[23:09] 这也说明了中国企业
[23:10] 正在以非常惊人的速度
[23:12] 降低对于美国晶片的依赖
[23:14] 受惠厂商有华为
[23:15] 有海光
[23:17] 韩武技
[23:17] 腾讯
[23:18] 其实部分超微的AI伺服器
[23:21] 其实也被采用了
[23:22] 那中国也在大举的扩张
[23:24] AI基础建设
[23:25] 官方预估未来会投入两兆人民币
[23:28] 合计美元是3000亿左右
[23:30] 新建全国资料中心
[23:31] 而且要求80%的核心技术
[23:33] 采用本土供应链
[23:35] 那在持续性的堆叠效果底下
[23:37] 美中之间的资料中心竞赛
[23:39] 它有两个好处
[23:40] 第一个好处就是
[23:41] 应该讲说一个好处一个坏处
[23:43] 第一个好处就是
[23:44] 这次的AI
[23:45] 它不是民间自行的研发
[23:48] 或者资料中心的建制
[23:49] 然后最后迎来泡沫破灭的考验
[23:52] 这一次的AI
[23:53] 它有非常深度国家对的参与因子
[23:56] 除非中国政府不撒钱了
[23:58] 除非美国政府对于AI的需求拉抬
[24:01] 不存在了
[24:02] 要不然它背后有一只有形的手
[24:04] 以前是无形的手
[24:05] 市场交易
[24:06] 现在是一只有形的手
[24:08] 正在推动着AI的进程
[24:10] 第二件事情
[24:11] 那就说明着AI的成本
[24:15] 以及它创造的效用
[24:16] 接下来就很重要了
[24:17] 不能够无条件的撒钱
[24:19] 而且我们也过去提到
[24:20] 投500亿在中国市场做资料中心
[24:23] 跟投500亿在美国市场做资料中心
[24:26] 概率出来是一样的
[24:27] 假设没有什么技术的壁垒
[24:29] 基本上我们很清楚知道
[24:31] 500块在中国能够吃到的晚餐
[24:34] 跟在美国能够吃到的晚餐
[24:36] 完全是不同阶级
[24:37] 所以这件事情也说明
[24:38] 这个钱的体量和它的效率都很重要
[24:41] 我们仔细观察
[24:43] 像最近我们观察到
[24:44] 美国在蓝煤蓝气的发电投资
[24:48] 在今年居然已经正式超过中国
[24:51] 这很难想象
[24:52] 因为中国人口这么多
[24:53] 能源需求是很庞大的
[24:54] 但是美国企业在今年的投资总额
[24:57] 比中国大概高出了30亿美元
[24:59] 来到500亿美元的规模
[25:01] 那当然刚才提到500亿美元
[25:03] 规模的建制量
[25:05] 是否代表未来的发电量会超越中国
[25:07] 至少在本轮投资
[25:08] 看起来也不会
[25:09] 500亿美元在美国能够做的事情
