[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 已经在反映全球的地缘政治冲突
[03:04] 似乎有点降温
[03:05] 虽然油价也没跌了
[03:07] 不过从这样的一个资产轮动
[03:09] 看起来有一点逢低的买盘出现了
[03:12] 当然恒顿的想法是
[03:13] 除非美军登陆
[03:15] 要不然以资利空就不是利空了
[03:17] 从整个标普白指数的回调幅度
[03:19] 从2020年以来的上升通道
[03:22] 其实现在也不过就是适度均值回归
[03:24] 今年以来跌4%
[03:26] 对于整个大盘来看
[03:27] 跌幅真的不算太重
[03:28] 因为我们才刚经历完
[03:30] 不管是过去的日元套利平仓股灾
[03:33] 还是关税占卖压
[03:34] 基本上这种波动波幅
[03:37] 大多数人是能够接受的
[03:38] 重点在于边打仗边上涨
[03:41] 似乎已经被主流市场给接受
[03:43] 亚洲股市现在开始出现了明显反弹
[03:46] 南韩股市占上了5500点
[03:48] 日本股市也占回到54000点
[03:50] 盘中甚至一度大涨了接近900点
[03:53] 所以在昨天
[03:54] 亚洲股市其实已经开始反映
[03:56] 这种利空动化的表现
[03:58] 尤其像三星
[03:59] SK 海力士等科技股
[04:01] 现在由半导体股
[04:02] 向上带动的空间
[04:03] 已经逐步发酵
[04:04] 那当然从整个标普白指数来看
[04:07] 好不容易站回到年限关卡
[04:09] 那我们就看
[04:10] 第一只脚已经形成
[04:11] 那第二只脚
[04:12] 会不会有陆续产生的可能性
[04:15] 很多人会担心
[04:16] 因为去年也是一样
[04:18] 去年也就是差不多这个时候
[04:20] 一样是清明儿童年假
[04:22] 那大家会很担心嘛
[04:23] 今年流仓过清明
[04:26] 明年入塔过清明
[04:28] 所以很担心
[04:29] 时间线一长就容易受到冲击
[04:31] 但这是短期操作要表达的看法
[04:33] 从中长期操作而言
[04:35] 如果你台股美股账户都有的话
[04:37] 你也不用担心买不到的问题
[04:39] 那重点在于
[04:40] 对于长期河流图当中
[04:42] 美国经济是否受到影响
[04:44] 目前看起来
[04:45] 反正亚洲经济受的挑战比较大
[04:47] 目前的谈判的确还在进行当中
[04:50] 但战争也没有因此而减速
[04:52] 所以我们才会讲说
[04:53] 是否有战事利空顿化的空间
[04:55] 我们看各国目前推动的
[04:57] 45天停火方案
[04:59] 由巴基斯坦、埃及、土耳其
[05:01] 各国所领导
[05:02] 希望能够暂时停火
[05:04] 停火期间来进行谈判
[05:05] 伊朗是拒绝短期停火
[05:07] 但要求的是战争结束
[05:10] 而并不是暂停而已
[05:11] 所以他也不排斥有谈判的条件
[05:13] 但是不能用停火来当作谈判的前提
[05:16] 更关键的事情是
[05:17] 美国也威胁采取进一步的军事行动
[05:20] 即便我们过去所看到的
[05:21] 第82空降师
[05:23] 还有2500名海军陆战队
[05:25] 已经抵达中共
[05:26] 可是在本周末
[05:27] 仍然没有陆续撤离的迹象
[05:29] 就代表着
[05:30] 川普还是随时有可能采取军事行动
[05:32] 那在两天前
[05:34] 川普下了最后通牒
[05:35] 48个小时内不谈判
[05:37] 战火就会全面升级
[05:39] 不过我们也清楚知道
[05:40] 伊朗看起来
[05:41] 即便在今天也不会有太多的回应
[05:43] 甚至在川普下通牒的那一刻
[05:46] 伊朗针对中东多地所发射的
[05:48] 飞弹和无人机
[05:49] 仍然在持续当中
[05:51] 虽然大多数都被攻击或者拦截
[05:53] 但是还是造成了局部的破坏或者停产
[05:56] 事实上我们看伊朗在本周末陆续发布消息
[06:00] 威胁会攻击资料中心
[06:01] 把科技战俯上台面
[06:03] 这一次伊斯兰革命卫队特别公开警告
[06:06] 如果美国攻击伊朗的电力设施
[06:09] 我们会针对在中东地区
[06:11] 过去那些AI具头所控制的能源和科技设施展开报复
[06:15] 他特别点名了阿布达比
[06:17] 由OpenAI相关投资的AI资料中心为目标
[06:21] 应该算是声明
[06:23] 要摧毁中东新技之门
[06:25] 这种规模在中东也不低
[06:27] 有300亿
[06:28] 黄仁勋在去年才走了一遭
[06:30] 整个中东地区有大量的算力基础正在建制
[06:33] 目前看起来已经有适度停摆的迹象
[06:36] 如果真的遭受到攻击
[06:38] 不管是伊朗威胁说要攻击OpenAI的资料中心
[06:41] 还是Amazon、微软、苹果等科技企业
[06:44] 都会产生进一步的资本收缩
[06:47] 形成科技股的不确定性
[06:49] 甚至呢
[06:50] 伊朗在本周末还发布了消息
[06:51] 正在积极备战地面战
[06:54] 甚至动员全民
[06:56] 甚至儿童来应对美军的威胁
[06:58] 要招募娃娃兵
[07:00] 他们的儿童接也很坏
[07:02] 当局强化关键石油出口
[07:04] 据点哈格岛的防御
[07:05] 包括部署飞战
[07:06] 防御地雷
[07:07] 设置陷阱
[07:08] 这一方面是表态
[07:09] 你如果敢打哈格岛
[07:11] 那我们准备跟你长期硬钢
[07:13] 那第二部分呢
[07:15] 是采取地面战的全民动员
[07:18] 那这也是一个非常强硬的讯号
[07:20] 如果遭到入侵
[07:21] 他就会扩大攻击到整个波斯湾
[07:24] 包括离岸的油田
[07:25] 电厂和海水淡化厂
[07:27] 那当然伊朗采取的大规模动员
[07:29] 看起来从实质数据上已经正式开始
[07:32] 这也说明着
[07:33] 正面空战他打不赢
[07:34] 他就把整个战场拖到消耗战
[07:37] 或者区域的全面动荡
[07:38] 让冲突从军事问题
[07:40] 变成长期的政治和经济压力
[07:42] 这让投资人感受到痛在说
[07:45] 雖然投資人看起來已經有點利空頓化了
[07:47] 就算我們回過頭來看
[07:49] 都已經打了一個多月了到目前為止伊朗都仍然持續在報復而且對於談判似乎興趣缺缺從開戰以來伊朗對於以色列發射的飛彈
[08:01] 大概是400到500枚
[08:03] 對美國的盟友
[08:04] 就是波斯灣這些國家
[08:06] 發射的導彈數大概是3500枚左右
[08:09] 大部分的飛彈其實都已經被摧毀了
[08:12] 可是伊朗已經從早期的預設攻擊
[08:15] 轉向成極端環境下
[08:17] 還能夠運作的應變系統
[08:19] 什麼意思呢
[08:19] 現在主流的說法叫做拼圖式防禦
[08:22] 就是你把指揮權分散到各地的部隊
[08:25] 即便中央被打斷
[08:26] 地方單位還是能夠依據既有的邏輯來作戰
[08:30] 這有點跟台灣這幾年推行的
[08:32] 去中心化設計有點像
[08:34] 就是部隊你可以持續接受指令執行報復
[08:38] 基本上你要了解我們的方向就是奮死抵抗
[08:41] 甚至在通訊受阻的時候
[08:42] 用光纖電話線等等維持運作
[08:45] 但是重點在於不能夠投降
[08:47] 伊朗就大量的依賴移動發射車
[08:50] 非固定陣地打完就轉移
[08:52] 融入地形
[08:53] 讓追蹤和摧毀難度大幅解高
[08:55] 要知道伊朗在整個中東
[08:57] 地緣政治中心當中
[08:58] 對於各國所影響的態勢和緊張局勢
[09:02] 仍然會持續以這種低強度
[09:04] 長時間的打法
[09:05] 現在也是很明顯符合伊朗的當前戰略
[09:08] 就撐住時間維持壓力
[09:10] 讓戰爭變成一場消耗戰
[09:12] 其實我們從伊朗的飛彈威脅
[09:14] 也不是說能不能打的問題
[09:16] 是它影響的範圍太廣了
[09:17] 從中東周邊從伊拉克到波灣國家
[09:21] 拉長到1000公里
[09:23] 可以碰到以色列、土耳其
[09:24] 或者東歐的邊緣國
[09:26] 甚至2000公里級別的導彈
[09:28] 還是可以把東歐或者俄羅斯的西部
[09:30] 印度都納入射程
[09:32] 在這樣的一個效果底下
[09:33] 等同於伊朗只要把一台車開出來
[09:36] 美方就必須要相當謹慎
[09:38] 一種短時間高風險強機動的流程
[09:41] 通常以前是前面兩小時
[09:43] 在基地內完成懸彈加注燃料
[09:45] 現在就一台車開來開去來混淆對手
[09:48] 雙方都在互相博弈
[09:50] 所以在這樣效果底下
[09:51] 等同於美方有更進一步的壓力
[09:54] 要斷掉伊朗的經濟能力
[09:56] 確保無法有進一步打下去戰爭的可能性
[10:00] 戰爭我們必須承認
[10:01] 反而讓伊朗更賺錢了
[10:03] 這一次雖然遭受到美國和以色列的打擊
[10:05] 但伊朗的石油出口
[10:07] 三月份數據出來了
[10:08] 不減反增
[10:10] 每天維持240萬到280萬桶
[10:13] 甚至因為油價飆升而收入翻倍
[10:15] 關鍵就在於高度分散
[10:17] 而且隱蔽的銷售和物流體系
[10:19] 它是由伊斯蘭革命衛隊所主導
[10:21] 透過多層的代理人
[10:22] 影子公司和走私手法
[10:24] 把石油轉成現金
[10:26] 這套系統還有一個重要支撐
[10:27] 就是中國市場
[10:29] 現在預估大概是90%的伊朗石油
[10:31] 都是運到中國的地方煉油廠
[10:34] 並且通過離岸轉譽和關閉定位信託
[10:37] 來延遲這種數據上的追蹤
[10:40] 或者掩蓋來源
[10:41] 當然整個資金
[10:42] 大部分也是透過大量的空殼公司
[10:44] 所以大部分投行其實也看不出來
[10:47] 但是很明顯感受到市場上
[10:50] 不管是針對中國令油廠的庫存增加
[10:53] 還是戰爭和自殘升級底下
[10:55] 伊朗目前並沒有一艘油輪被市場所阻攔
[10:59] 這就形成一種很反直接的局面
[11:01] 那就是戰場上是很受創的
[11:03] 但是在能源和現金流上
[11:05] 我們根據經濟學人的報導
[11:07] 雲南三月份的收益開始有所增長了
[11:10] 那另外一方面
[11:11] 伊朗控制另外一支牌就是胡塞武裝
[11:13] 胡塞武装这次虽然有尝试的引起一些波动
[11:16] 但是他并没有封锁阿曼
[11:18] 并没有封锁鸿海
[11:19] 如果连胡塞都开始攻击航运
[11:21] 当然全球就会等于两条能源运输
[11:24] 被两个瓶颈刚好给卡住了
[11:26] 背后当然有几个推理
[11:28] 一个是伊朗所握有的筹码
[11:30] 伊朗当然希望一个能够谈得符合自己利益的协议
[11:34] 所以把胡塞视成一种重要筹码
[11:37] 第二是叶门内部其实也是几乎破产的
[11:39] 所以胡塞要提升武装攻击
[11:42] 它是必须要经过伊朗或者其他国外组织的帮助
[11:46] 才能够进行红海的封锁
[11:48] 所以在这样的一个效果底下
[11:50] 双方的谈判仍然在持续
[11:52] 那我们来讲一下
[11:53] 那股价为什么在这种情况底下
[11:55] 看似没有任何好转的前提底下
[11:57] 却开始出现了主体的迹象呢
[11:59] 基本上我觉得可以从一篇报告来多谢追踪
[12:01] 这个报告是由Citizen
[12:04] 也就是美国的一个重要的研究单位
[12:07] 发布的实地报告
[12:08] 这篇报告最近很红
[12:09] 他讲的是他们投航
[12:11] 这家研究报告派了一个分析师
[12:14] 亲自到荷姆治海峡的现场去发现
[12:17] 来了解说到底我们讲的
[12:19] 航运中断是怎么中断的
[12:21] 结果他到荷姆治海峡以后
[12:24] 他先坐飞机坐到阿布达比
[12:26] 坐到杜拜
[12:27] 然后在杜拜开车慢慢开
[12:28] 开到荷姆治海峡附近
[12:31] 然后找了一艘民间用船
[12:33] 就开船开到中央来看一下
[12:36] 船到底有没有过
[12:37] 结果发现
[12:38] 很多船其实都陆续通过了
[12:40] 发现伊朗并没有要全面的封锁海峡
[12:42] 而是类似那种检查站和收费的控制机制
[12:46] 甚至很多中国的邮轮
[12:49] 根本连脚背都没脚
[12:50] 就直接就渡过了
[12:51] 这说明部分国家看起来
[12:53] 是可以直接拿到原油的
[12:54] 这是没有错的
[12:55] 那少部分国家看起来
[12:57] 都会受到伊朗革命卫队的船只登陆以后
[13:00] 来收取相关费用之后进行通航
[13:03] 所以从更深层的逻辑来看
[13:05] 发现这其实是权力结构的专业
[13:07] 意味著這條航道已經變成
[13:10] 從原本的國際自由航道
[13:11] 變成區域控制資產
[13:13] 那這篇報告還指出
[13:15] 即便未來出現地面戰
[13:16] 搞不好航運還是可以持續運作
[13:18] 也就代表著海峽其實並沒有中斷
[13:21] 因為一旦完全中斷
[13:22] 對於全球和各方利益
[13:24] 應該是毀滅性打擊
[13:25] 第一我們看到全球油價是漲了
[13:28] 可是你看到並沒有造成需求斷鏈
[13:31] 進入到極度萎縮
[13:32] 大家只是腳趾腳很痛苦
[13:34] 還沒有進一步影響到
[13:35] 終端的全面爆發
[13:37] 第二部分是部分国家的油还是陆续到港了
[13:41] 这些原因就来自于伊朗革命卫队
[13:43] 已经采取了收费站模式
[13:45] 能源通道变成了地缘政治的交易市场
[13:48] 现在船只要通过必须要先经过中间人的接触
[13:52] 提交完整的背景资料
[13:54] 至少要先确认你不是美方或者以色列的船只
[13:57] 然后你再透过付款或者外交方式取得通行的许可
[14:01] 最后是由革命卫队来引导你通过特定的水道
[14:05] 那这个流程已经有点类似准海关制度了
[14:08] 而且审查并非形式化
[14:10] 甚至他还会核实船东的背景和船员冻结
[14:14] 他之所以这样讲
[14:15] 就是他也被拦了
[14:16] 他被拦之后
[14:17] 由于他是属于类似观察员的身份
[14:20] 本身也没有大批的货物要运行
[14:22] 所以伊朗革命卫队就放他走了
[14:24] 所以真正值得注意的是背后支付机制的讯号
[14:28] 大家都关注说
[14:29] 这次付钱是不是只能付人民币
[14:31] 或者付比特币加密货币
[14:32] 但实质上对于多数国家而言
[14:35] 很多是不用缴费的
[14:36] 比如说中国船只
[14:37] 外交交换是主流
[14:39] 基本上你只要中国或者部分国家
[14:42] 解冻伊朗的海外资产政治让步
[14:44] 基本上就可以直接通过
[14:46] 中国现在是免费通行
[14:48] 不同国家采取的态势并不太一样
[14:51] 所以在这样的一个条件
[14:52] 是否造成现在美国股市
[14:54] 开始逐底反弹的一个主要原因
[14:57] 这是的确值得大家留意的
[14:58] 因为毕竟现在是消息市
[15:00] 太多的讯息太混乱
[15:01] 市场也不知道该反映什么
[15:03] 反而只要确保
[15:05] 整条航运并没有完全断掉
[15:07] 甚至有逐步开放的氛围
[15:09] 管你最后的地缘政治新逻辑是什么
[15:12] 你只要能够游轮通过
[15:15] 那基本上市场上
[15:16] 还是愿意进行适度买盘来做支撑
[15:19] 那当然压力端就丢到川普这边了
[15:21] 我们根据金融时报的报道
[15:23] 目前川普的核心支持者
[15:25] 大致还是支持对伊朗开战
[15:27] 特别在乔治亚州等保守地区
[15:29] 可是在其他州的部分
[15:32] 已经开始有所松动
[15:33] 我们知道川普在最近
[15:34] 民调支持率其实下滑幅度特别快
[15:36] 不管是左派右派媒体
[15:38] 对于川普本身
[15:40] 采取这场战事的持久状态
[15:43] 都产生一定性的压力
[15:44] 其实大多数人是支持川普针对伊朗采取核设施攻击的认为伊朗不应该持有核设施但是时间拖得越久越有可能进入到你找市场的反对性的压力
[15:56] 就来得越大
[15:57] 当然伊朗部分
[15:59] 很多人说是不是因为
[16:00] 现在不敢上谈判桌
[16:01] 怕又被你斩首一次
[16:03] 再这样笑我几下
[16:04] 川普和伊朗之间
[16:05] 进入了进退两难的局面以后
[16:07] 至少这一次我们看在周末
[16:09] 当时深入敌近200英里
[16:12] 高风险的营救行动
[16:13] 这次曝光之后
[16:14] 也对于川普的民调
[16:16] 应该会有适度的拉伸效果
[16:18] 可是对于其他国家而言
[16:20] 整体经济形势的压力仍然在冲击
[16:23] 美国本土是这样的
[16:24] 美国现在不缺油了
[16:25] 可是油价真的美加仑
[16:26] 平均已经来到4.5块了
[16:28] 加州地区来到5块到6块左右
[16:30] 那更何况
[16:31] 现在伊朗跟胡塞武装
[16:33] 两个充满的市场变数
[16:35] 对于波斯湾的压力逐步形成
[16:37] 另外一方面
[16:38] 以色列也是一大压力
[16:39] 我们看即便川普说
[16:41] 48小时的谈判时间
[16:43] 结果以色列没有说要停止谈判
[16:45] 以色列在昨天又攻打了伊朗南帕尔斯的石化设施
[16:49] 那本质上很明显
[16:50] 就是完全不理美国跟伊朗之间的谈判进度
[16:54] 而是采取对自己有利的行为
[16:56] 该设施占伊朗的石化产能是接近50%
[16:59] 两大设施加起来根据数据
[17:02] 大概至少有80%以上的产能
[17:04] 结果伊朗就直接打击人家的石化设施
[17:07] 这件事情从攻击逻辑来看的话
[17:10] 很明显的美方是有停战的要求
[17:13] 但是以色列看起来是没有
[17:14] 那以色列为什么没有呢
[17:16] 像以色列就像比特犬
[17:18] 主人拉都拉不住
[17:19] 车门焊死就没有人可以下车了
[17:22] 因为我们看纳台亚胡目前的选情
[17:25] 其实也是相当低迷
[17:27] 他虽然选情不算乐观
[17:29] 但是也没有到出局的地步
[17:30] 因为他的执政联盟在民调当中虽然落后
[17:33] 可是反对党目前也是严重分裂
[17:36] 所以采取进一步的军事行动
[17:38] 按照过去一段时间
[17:39] 不管是之前的哈马斯
[17:41] 还是现在的伊朗问题
[17:42] 在攻击初期都对于纳太亚胡
[17:45] 有更进一步的选情拉抬
[17:46] 所以就变成很有趣的迹象了
[17:48] 这个纳太亚胡只要愿意打下去
[17:50] 以色列民众反而看起来
[17:52] 对于在民调上有一定的支持
[17:54] 可是川普一直打下去
[17:55] 那对于川普的支持率就不一定
[17:58] 所以感觉美国退了
[18:00] 以色列短期也不会退让
[18:01] 可是我们知道
[18:02] 已经形成民调上各自的压力
[18:04] 事实上回过头来看油价
[18:06] 油价并没有因为股市的上涨
[18:08] 而开始回跌
[18:09] 油价现在吸得住原油价格
[18:11] 已经冲高到112美桶了
[18:13] 又要准备挑战历史新高了
[18:15] 依照现在的通膨水准
[18:18] 3月份看起来是一定压不住的
[18:20] 那重点在于4月份回得来吗
[18:23] 按照油价就徘徊在这样的一个区间
[18:25] 今年一整年原油通膨都会保持年增
[18:28] 它不至于失控
[18:29] 因为目前看起来整体局势而言
[18:32] 仍然有进一步降温的可能性
[18:34] 至少从中长期来看
[18:35] 但是从目前的通膨水准来看
[18:38] 基本上已经产生了中下游端的外溢效果
[18:41] 我们像沙乌地阿拉伯
[18:43] 最近把阿拉伯青云油
[18:44] 溢价幅度已经拉高到每桶19.5块
[18:47] 这个以前阿拉伯青云油
[18:50] 每桶大概就是2块3块
[18:52] 现在拉到19.5块
[18:54] 这很明显
[18:55] 定价机子已经开始失灵了
[18:57] 等同于完全断裂了
[18:59] 更深层的变化
[19:00] 来自于能源流向被迫重写
[19:02] 由于海峡受阻
[19:04] 现在沙乌地是从红海的盐布港来出货
[19:07] 透过东西管线来做产能上的运输
[19:10] 但现在产能已经进入到上限
[19:12] 整体油价从开战以来
[19:14] 已经上升50%
[19:15] 事实上福塞武装这件事情
[19:17] 也让阿拉伯世界相当紧张
[19:20] 如果这条链也被断掉的话
[19:22] 压力就来得更大了
[19:24] 这就形成进一步的外溢效果
[19:26] 举个最直观的
[19:27] 油价的冲击
[19:28] 它其实对于各国来看
[19:29] 是不对称性的传导
[19:31] 谁依赖进口
[19:32] 谁的货币比较弱
[19:33] 谁就先爆
[19:33] 你像缅甸的部分
[19:35] 它是100%全部吸收
[19:36] 菲律宾的时候部分是80%
[19:39] 东南亚国家都很高了
[19:40] 70 80油价都直接上涨
[19:42] 台湾是很少数
[19:43] 台湾只反映三成而已
[19:44] 原因很简单
[19:45] 因为70%由中油进行全面吸收
[19:48] 你不要看好像澳洲就好一点
[19:50] 澳洲压力很大
[19:52] 50%也是进行直接性转嫁
[19:54] 原因很简单
[19:55] 我最近这两天我观察一下
[19:57] 澳洲柴油价格
[19:58] 问了一下
[19:59] 现在也是历史高位
[20:01] 好像已经很多年没有看过这么高了
[20:04] 现在每公升澳币大概2.8 2.9
[20:08] 一公升等于台币55块60块
[20:12] 澳洲是能源大国
[20:14] 然后一公升卖60块
[20:16] 台币台湾现在三几块而已
[20:18] 所以从这样的一个逻辑
[20:20] 其实就看得出来
[20:21] 整体对于能源供应部分
[20:24] 你缺乏炼油厂
[20:25] 即便你是自然资源的出口大国
[20:28] 销售到的压力一样很大
[20:30] 对在雪梨就是开心
[20:31] 还可以晚一点
[20:33] 现在雪地时间10点多
[20:36] 还可以晚一点直播
[20:37] 不像Jenny还要半夜直播
[20:40] 好辛苦
[20:40] 对不对
[20:41] 不要感冒了
[20:42] 不要感冒
[20:42] 好那我们回过头来看
[20:44] 但是亚洲国家
[20:45] 现在面临更大的问题在于
[20:47] 油存量较短的高依赖经济体
[20:50] 压力巨大
[20:51] 日本看起来是最安全的
[20:53] 它还有150天的库存
[20:54] 不过那是长期制度
[20:56] 包括战略储备和企业库存
[20:57] 称出来的
[20:58] 中国大概80天
[20:59] 澳洲韩国大概30到40天
[21:02] 新加坡菲律宾和越南
[21:04] 大概20到30天
[21:06] 这代表着一个月就差不多
[21:08] 会把储备原油给用完
[21:10] 那从4月份开始
[21:11] 大家看起来就是要进行全面转嫁了
[21:14] 那油气发电的国家
[21:16] 压力其实就会来得巨大
[21:18] 那对于中东国家而言
[21:20] 虽然短期内他们自己是不缺油了
[21:22] 因为长期来看还是有很多油井
[21:24] 可是第一对于外汇收入有巨大的打击
[21:28] 第二长期仰赖的这种中东的航空优势
[21:32] 过去我们看阿联酋卡达航空
[21:34] 或者阿提哈德航空
[21:36] 他过去是把欧亚飞的三周旅客
[21:39] 集中到中东做转机
[21:41] 但是这一次我们知道
[21:43] 亲民连架
[21:43] 4月份的转机量大幅下滑
[21:46] 我们看这套中东枢纽模式
[21:48] 瞬间失灵
[21:49] 如今平均下滑幅度是高达70%
[21:52] 长期来看
[21:54] 油价又因为战争飙升
[21:55] 航空燃油成本大升
[21:57] 所以航空公司要么就要提高票价
[22:00] 要么就要自己吞成本
[22:01] 两者都必须要被迫的去压缩利润
[22:04] 整体而言
[22:05] 杜拜是全球航运量最高的城市
[22:08] 所以如果在这次中东战争以后
[22:11] 我们看年底的排名
[22:13] 应该就会有所剧烈的松动了
[22:15] 当然我们具体往下看
[22:17] 整体而言
[22:18] 真正的压力
[22:19] 还是来自于亚洲新兴市场经济体
[22:21] 我们看高市早描的部分
[22:23] 在本周末紧急出手斡旋
[22:25] 这一次斡旋的对象
[22:28] 已经从川普变成了伊朗领导人
[22:30] 甚至准备进行直接性通话
[22:33] 背景很现实
[22:34] 因为伊朗不开放荷姆治海峡
[22:35] 美国可能会对电力和基础设施攻击以后
[22:38] 日本90%的石油都仰赖这条航道
[22:41] 一旦局势失控
[22:43] 就会大幅冲击到国内的能源和安全系统
[22:45] 所以日本这次不只是外交表态
[22:48] 很明显是希望能够学习法国的方式
[22:51] 直接和伊朗的领导人直接对话
[22:54] 我猜大概是以负适度过路费的方式
[22:57] 确保可能三个月到六个月期
[23:00] 日本船只能够顺势通过
[23:02] 政府是表示目前有八个月石油库存
[23:05] 不用紧张
[23:05] 但是主要还是内部通膨压力的问题
[23:08] 大家知道日本现在是全球
[23:10] 在亚洲经济体当中通膨最高的经济体
[23:13] 比台湾比中国比南韩都要来得高
[23:16] 回过头看台湾
[23:17] 台湾的部分很明显
[23:19] 大家感觉到这周油价不涨了
[23:20] 台湾政府选择直接出手来
[23:23] 加注民生物价
[23:24] 宣布电价
[23:25] 桶裝瓦斯還有民生天然氣全面動漲
[23:28] 甚至連油價在本週的上漲也全部由中油進行吸收
[23:33] 等於把外部衝擊直接擋在體系內當中
[23:36] 當然代價已經浮現了
[23:37] 因為中油為了要維持價格穩定
[23:39] 累積吸收的成本已經超過90億元財務壓力正在快速累積行政院也坦言現在準備要讓中油進行融資預算撥補甚至增資來支撐國營體系把企業的虧損變成準財政負擔
[23:54] 那另外一方面
[23:55] 政府也啟動了穩定產業端供應
[23:57] 擴大以息產量
[23:59] 和推出平價塑膠袋原料方案
[24:01] 避免上游的成本全面失控
[24:03] 那我們大概可以知道嗎
[24:05] 因為現在看起來是屬於電業價格上漲
[24:08] 台電要付的錢要反映天然氣
[24:10] 但是民間是不用反映的
[24:12] 這說明台電今年一定嚴重虧損
[24:14] 好 電價現在預估4月到9月
[24:16] 都不會做任何調漲
[24:18] 瓦斯費也不會調漲
[24:19] 天然氣也不會調漲
[24:21] 那我們也知道
[24:22] 按照這種趨勢
[24:23] 大概到年底都不會調漲
[24:25] 要確保
[24:26] 至少這一段的行政成果必須要
[24:30] 符合大眾利益
[24:31] 好 那上次我們是加油要謝謝中油
[24:34] 這次要謝謝台電
[24:36] 台電現在壓力非常非常巨大
[24:38] 因為天然氣價格
[24:39] 从4月起已经暴涨了46%
[24:42] 那台湾现在发电最大的结构
[24:44] 就来自于天然气嘛
[24:45] 整体而言我们看负债比率
[24:47] 已经从2020年的84.7%
[24:50] 25年已经来到95.47%
[24:52] 今年肯定会创高
[24:54] 从22年开始以后
[24:55] 台电的亏损幅度
[24:57] 基本上就保持大概在1000亿左右
[25:00] 24年25年由于电价开始调升
[25:02] 稍微有损益量平一点
[25:03] 看起来26年不会有好转的迹象
[25:06] 那中油的部分
[25:07] 目前正在进行紧急的原油调度
[25:09] 目前采取的是强力稳价
[25:11] 和全球调度逻辑
[25:13] 原油安全扩存比日本高
[25:15] 有140天
[25:15] 天然气大概11天
[25:17] 但是目前已经紧急调货
[25:19] 直接购买54%的征服现货
[25:22] 直接跟澳洲购买
[25:23] 所以我来澳洲考察
[25:24] 可以观察到
[25:25] 现在在整个台湾市场当中
[25:28] 很明显
[25:29] 藉由这种产能的调试
[25:31] 政府端采取的是
[25:32] 直接以现货价格
[25:34] 满足三个月以上
[25:36] 这个一方面是进行电力结构的短期调整
[25:39] 你说现在进行电力结构调整来不及
[25:42] 用核能什么的
[25:44] 但是可以扩大蓝煤
[25:45] 蓝煤还是目前台湾的重要发电方向
[25:48] 现在台电在短期内已经回头
[25:51] 用煤来撑取目前的电力供应
[25:54] 本质上是在做备源的能源切换
[25:56] 那看在未来几个月当中
