[00:00] 從這邊歡迎收聽早晨財經速解讀
[03:01] 其實它正在累積裂縫
[03:03] 市場表面很平靜
[03:04] 可是內部已經翻騰了
[03:06] 內部各股的波動率極大
[03:08] 所以不只看指數的漲跌
[03:11] 要看這三個變數要如何影響到
[03:13] 美國股市到底是續命的反彈
[03:15] 還是高漲的重新定價
[03:17] 先回過頭看中東的戰爭
[03:19] 這一次已經讓荷姆斯海峽幾乎停滯
[03:22] 全球能源供給也面臨重大挑戰
[03:24] 油價占上了四年來以來的最大漲幅
[03:28] 油價這次的上漲
[03:30] 每桶大概是接近布蘭特運油80美元
[03:32] 希德州大概在72美元左右
[03:34] 其實一天的反應就已經差不多了
[03:38] 重點在於荷姆茲已經承擔了
[03:40] 全球五分之一的石油和液化天然氣
[03:43] 所以供給鏈的斷鏈到底會多長才是重點
[03:46] 值得注意的事情是剛才有提到
[03:48] 油價因為通膨的一律升溫以後
[03:50] 反而造成了避險資產
[03:53] 美債價格的下跌
[03:54] 為什麼
[03:54] 因為通膨預期升溫
[03:56] 當然會導致公債殖利率跟著走高
[03:59] 所以昨天不管是兩年期
[04:00] 還是十年期公債殖利率
[04:02] 都造成公債價格的賣壓
[04:04] 那能源價格是否能夠穩定
[04:06] 就會決定接下來的市場情緒走向
[04:08] 那能源價格要穩定
[04:10] 那供給鏈當然就不能夠持續中斷
[04:12] 對於全球經濟的影響
[04:14] 才能夠與此而舒緩
[04:15] 那現在由於大量的石油
[04:17] 和天然氣設施
[04:18] 其中在沙烏地阿拉伯
[04:19] 我們就要看衝突化是否會持續
[04:22] 因為在昨天有兩艘郵輪遭到攻擊
[04:25] 另外有一艘不明船隻也傳出遇襲
[04:27] 事發事件就在波斯灣
[04:29] 進出全球能源的關鍵通道
[04:31] 從航行跡象來看
[04:34] 郵輪進出海峽阿曼灣的時候
[04:36] 都失去了正常航行記錄
[04:38] 所以現在由於倫敦端拒絕進行承包
[04:42] 就很多郵輪
[04:43] 他主動不願意經過赫姆斯海峽
[04:46] 最後就變成金融體系的自我封鎖
[04:49] 也沒有說你過去一定會被飛彈射中
[04:52] 可是沒人承保
[04:53] 沒人承保我哪敢飛進去
[04:54] 或者哪敢開進去
[04:56] 伊朗戰爭進入到第三天以後
[04:58] 整個能源的衝擊
[04:59] 也開始影響到空域
[05:01] 我們也知道
[05:02] 在從禮拜六禮拜天開始
[05:04] 伊朗 伊拉克和敘利亞
[05:06] 還有阿聯酋等大片區域
[05:08] 目前已經關閉了空域
[05:09] 那這兩天
[05:11] 我記得從昨天開始
[05:12] 陸續開放部分空域
[05:14] 可是呢
[05:15] 這也使得很多連線歐洲和亞洲的重要航線幾乎中斷
[05:19] 好像海運呢
[05:20] 目前中斷的情況
[05:21] 空運如果也遭受到影響啊
[05:23] 那肯定會影響到進一步的運價
[05:26] 不管是航運價格還是空運價格
[05:28] 加上卡達這一次遭到無人機攻擊以後啊
[05:32] 也宣佈關閉全球最大的液化天然氣的出口設施
[05:36] 雖然現在是快要接近夏天了啦
[05:38] 尤其在東亞國家稍微沒有這麼冷了
[05:41] 可是呢
[05:42] 對於歐洲天然氣價格啊
[05:43] 仍然一次暴漲了接近50%
[05:46] 全球能源市場啊
[05:47] 還是受到這個供給鏈瓶頸的影響
[05:49] 不過這個影響
[05:50] 我認為就沒有想象中來得多
[05:52] 第一個氣候看起來
[05:54] 是有利於價格回穩的
[05:55] 通常冬季使用量是最高的
[05:58] 那來到4月5月
[05:59] 影響幅度肯定沒這麼大
[06:01] 那另外一方面啊
[06:02] 這是屬於供給鏈的鍛鍊
[06:04] 它只是要繞下一面的路
[06:06] 回到歐洲
[06:07] 所以呢
[06:08] 基本上還是屬於短期內的運費加成
[06:12] 但是應該不太可能形成常態化
[06:14] 那種無條件的大宗資產價格的上漲
[06:17] 因為它跟2022年的烏二戰事
[06:19] 或者攻擊鏈鍛鍊又有一段距離
[06:21] 川普也表示說
[06:23] 這一波的軍事行動
[06:24] 會一直持續到目標達成為止
[06:26] 市場上當然也會擔心
[06:28] 那是不是沒有等到伊朗政權全面的瓦解
[06:31] 那空襲就會持續
[06:33] 那戰爭的持續時間反反覆覆
[06:36] 本來是四天到四周到五週到沒有上線
[06:41] 目標如果是推翻政府的話
[06:43] 那會不會讓中東局勢緊張
[06:46] 持續升溫
[06:46] 那當然了
[06:48] 持續性的空襲
[06:49] 也持續的斬首
[06:50] 我們看伊朗的各大領導人
[06:52] 現在全球升官最快的地方
[06:55] 就是伊朗了
[06:55] 可能每十分鐘
[06:57] 每個小時就有升遷機會
[06:59] 幹部沒了
[07:00] 儲備幹部也沒了
[07:02] 對
[07:02] 有升遷機會
[07:05] 但是也有昇天機會
[07:06] 升超快
[07:08] 升上去又不見了
[07:09] 所以在這樣效果底下
[07:11] 我們後續要觀察的幾大方向
[07:12] 是川普第一任任期的戰略
[07:14] 已經轉向改為對於美國對外用兵的模式
[07:18] 川普長期以來
[07:19] 本來就會塑造自己的政治形象
[07:21] 因為他是一個
[07:22] 過去的形象是反對海外戰爭
[07:24] 批評美國陷入
[07:26] 無止境軍事泥沼的領導人
[07:28] 一直反覆去嘲諷
[07:30] 歷任總統在軍事行動的失敗
[07:32] 阿富汗的當時拜登的撤軍混亂
[07:35] 小布希入侵伊拉克帶來的長期代價
[07:37] 80年卡特政府營救伊朗人質的失敗
[07:41] 常常被他當作政治警示的案例
[07:44] 在競選期間
[07:45] 他也不斷強調美國優先
[07:47] 也承諾避免讓美國再次捆絡到海外衝突
[07:50] 那實際上你看過去12個月的軍事行動
[07:53] 他對於這種軍事幹預的剋制態度好像已經不太存在了第一個就是對外的採取動作其實卻比較快速精準可以立即宣告勝利這是他的一個慣性
[08:05] 另外具有分水嶺的是這一次
[08:07] 就是這一次你好像也不感覺是一個單次打擊
[08:11] 而是要持續性的造成伊朗政權的崩解
[08:14] 那這個時間線看起來好像也不是一兩天可以解決的
[08:18] 那如果要常態化的實施
[08:20] 是不是就違反了過去他的一個看法呢
[08:22] 但至少他使用的軍事邏輯
[08:25] 已經出現了本質改變
[08:26] 第一任任期
[08:27] 他對於地面部隊始終保持著高度的抗拒
[08:31] 多數的軍事行動
[08:32] 僅僅限於空襲和特地任務
[08:34] 所以在25年到26年的軍事行動當中
[08:37] 的確美國的軍事行動
[08:38] 基本上是完全不考慮進行地面佔領的
[08:41] 從拉丁美洲當時的反毒戰爭
[08:44] 到逮捕委內瑞拉的領導人馬杜洛
[08:47] 到非洲是繼續打擊ISIS的據點
[08:49] 一直到中東和以色列的領首來重擊伊朗
[08:52] 基本上它都是以有限度
[08:55] 短時間以斬首或者精準打擊為主要行動
[08:59] 那這次會不會是例外
[09:00] 因為這一次看起來也不是幾天就結束
[09:03] 會不會拉長到四到五週
[09:04] 甚至更長的時間就可以觀察
[09:06] 從25年第二任任期以來
[09:09] 其實美軍已經至少在六個以上的國家進行軍事行動
[09:13] 而且行動呈現變成長期化常態化的特徵
[09:16] 只是這個常態化它不會去佔領
[09:18] 而是持續進行採取軍事行動
[09:21] 來進行美國利益的優先
[09:23] 這個是川普的說法和理解
[09:25] 所以如果我們把第一任任期和第二任任期
[09:28] 其實第二任任期
[09:30] 川普所採取的動作
[09:31] 是遠遠比第一任任期的同段時間還要來得多的
[09:35] 第一任任期
[09:36] 當時主要是集中在中東和非洲的反恐戰場
[09:39] 像敘利亞、伊拉克、索馬利亞
[09:42] 但是第二任任期
[09:43] 他的軍事行動就明顯的向外全球擴張
[09:46] 不只是中東和東非
[09:48] 還增加加勒比海
[09:50] 還有南美洲的反獨作戰任務
[09:52] 以及西非的新戰場
[09:54] 所以在這樣的一個效果
[09:55] 就足以說明著
[09:56] 川普本任任期
[09:58] 已經從單一的反恐戰爭
[09:59] 變成全球多點的精準打擊
[10:02] 這對於軍費的開支力量
[10:04] 其實也會持續上升
[10:05] 那不管怎麼說
[10:06] 一個新川普時代的來臨
[10:08] 這種不確定性的增加
[10:10] 關稅戰雖然看起來是告一段落了
[10:12] 可是對於地緣政治的緊張
[10:14] 感覺隨時會發酵
[10:16] 這也導致黃金價格的持續走高
[10:18] 而這個就成為川普在卸任前的一個送分亭
[10:22] 有兩個送分亭
[10:23] 一個是川普可以允許自己在卸任的時候
[10:25] 價格價位比他剛就任的時候低
[10:28] 不可能
[10:29] 那美國股市的三代牛慣性也是如此
[10:31] 那股市在川普任期一定是創高
[10:34] 那接下來要觀察的是
[10:35] 那黃金看起來在不確定性
[10:38] 以及部分央行去美元化的情況底下
[10:41] 也是一個採取的案例
[10:42] 那最後一個就反映的是比特幣
[10:44] 就川普針對加密貨幣的一個監管法案
[10:48] 他有兩種角度
[10:50] 一種是試圖的放鬆監管
[10:53] 但這種放鬆監管本身也會威脅到那種
[10:56] 加密貨幣去中心化
[10:58] 跟政治保持距離的這種市場的買盤
[11:02] 所以這反而是我們要後續觀察的
[11:04] 但是知道針對黃金和股市
[11:06] 他是有一定的推力的
[11:07] 這個黃金價格在昨天一度碰到5400塊
[11:11] 準備要創下歷史新高了
[11:13] 那現在除了央行買盤之外
[11:15] 地緣增值的風險
[11:16] 美元的走落
[11:18] 全球債務的上升
[11:20] 還有市場的fomo情緒
[11:21] 它都吸引了更多的資金進場
[11:23] 包括避險基金
[11:25] 能源公司
[11:26] 甚至加密貨幣機構
[11:28] ETF或者代幣化黃金的普及
[11:30] 也讓投資門檻大幅降低
[11:32] 那現在呢
[11:33] 短期內就要看能不能破高
[11:35] 5400塊可能是一個比較大的痛苦點
[11:38] 因為上一輪的高點就在這邊
[11:39] 當時是經營價格
[11:41] 一起進入到系統性的回撥
[11:43] 這一輪的行情
[11:44] 它主要由宏觀主動基金來主導
[11:47] 先前經歷到劇烈波動以後
[11:49] 舊的部位
[11:50] 其實很多人已經大幅的清理到
[11:52] 但是如果細節觀察
[11:54] 隨著價格穩定
[11:56] 大概在5000美元左右
[11:57] 宏觀資金現在也開始逐步迴流
[11:59] 我們主要看
[12:00] 從看漲選擇全部位來參與行情
[12:03] 目前看起來
[12:05] 連機構都是屬於戰術性的做多
[12:07] 由於黃金期貨的未平倉量大幅的下滑
[12:11] 宏觀基金現在還有大量的現金
[12:13] 也許隨時會進場
[12:14] 那隻要局勢一升溫就有了一個藉口
[12:17] 那即便這個通膨預期的升溫
[12:20] 看起來針對美債的打擊遠遠大於黃金
[12:23] 造成黃金的買盤有進一步的避險效果
[12:26] 那當然這是否代表著超級商品的迴圈又重新到來
[12:30] 很多人想說大宗資產是不是要產生新一輪推動
[12:33] 但是對於一般人投資人而言
[12:36] 其實投資大宗商品並不簡單
[12:39] 因為追蹤商品ETF
[12:40] 有時候因為不斷的
[12:42] 攢集期貨合約
[12:43] 大部分都是追蹤期貨價格
[12:45] 所以它會有一些隱性成本
[12:46] 盤整的話
[12:47] 你就會落後給市場了
[12:48] 所以另外一種方式
[12:50] 是投資礦業股
[12:51] 能源股或者農業公司
[12:53] 企業除了社會價格上漲以外
[12:55] 也能夠透過擴產
[12:57] 但是針對指數的連線程度
[12:59] 就沒有這麼高
[12:59] 像我們看到
[13:00] 過去一年的大宗商品的走勢
[13:02] 其實主要還是集中在工業金屬
[13:04] 反映AI基礎設施
[13:06] 和電氣化的需求
[13:07] 包括銅鋁
[13:08] 那我個人認為在AI的大趨勢底下
[13:11] 基本上川普政府要讓AI的生產力效率提升
[13:14] 他就能夠或者說必須要在
[13:16] 不引起通膨的情況底下
[13:18] 帶動AI生產力基礎建設的爆發
[13:21] 那就說明著大宗資產可以漲
[13:23] 但是不能漲能源
[13:25] 不能漲農糧價格
[13:26] 不能漲軟性商品
[13:28] 油價是不能夠上漲的
[13:30] 天然氣不能夠上漲
[13:31] 咖啡不能夠上漲
[13:33] 雞肉不能夠上漲
[13:34] 唯一能夠漲的
[13:35] 就是銅金鋁鑷把金
[13:39] 這些金屬資產
[13:40] 因為他們是真的有基礎建設的帶動
[13:42] 這個就是川普接下來在兩年的週期演變當中
[13:46] 勢必會推行的方向
[13:48] 因為一旦大宗資產價格的全面上漲
[13:51] 那也就說明著
[13:52] AI主動讓全球經濟進入到停滯性通膨
[13:55] 這件事情是川普一定無法忍受的
[13:57] 待會我們會細談
[13:58] 在資料中心的演變當中
[14:00] 現在本週幾大科技巨頭老闆
[14:03] 都已經在白宮陸續的集結
[14:05] 準備要討論接下來
[14:07] 針對電力的問題
[14:09] 是否能夠不影響到民間
[14:10] 所以第一波的結論
[14:12] 是這一波中東衝突
[14:13] 對於股票市場的本身
[14:15] 衝擊其實並沒有想象中來得大
[14:17] 盤中的下殺
[14:19] 很快就逢低的買盤被接住
[14:21] 市場上針對軍事風險的消化能力
[14:24] 也比想象中還來得強
[14:25] 那真正現在左右估值的
[14:27] 其實是油價的帶動
[14:28] 以及利率資產價格的聯動
[14:30] 只要油價推升通膨預期
[14:32] 讓美債殖利率上行
[14:35] 那科技股和長久期的資產
[14:38] 它可能就會遭受到沉壓
[14:39] 那現在金價的同步走高
[14:41] 也反映資金持續反映
[14:43] 對沖政策和地緣政策的不確定性
[14:45] 換句話說
[14:46] 它是一個戰爭式
[14:48] 它應該講說
[14:49] 它不是一個單純的戰爭式
[14:51] 它有點類似於利率式
[14:54] 這重點在於債券和黃金的方向
[14:56] 而並不是戰場會推到哪裡去
[14:58] 我們從四大指數來做觀察
[15:00] 道瓊指數小跌73.0.15%
[15:03] 摔48904點
[15:04] 標普小漲2點
[15:06] 還收漲呢
[15:07] 0.04%摔6881點
[15:09] 納指上漲80點
[15:11] 0.36%摔22748點
[15:13] 非半上漲38點
[15:15] 0.48%摔8137點
[15:17] 臺股更厲害
[15:18] 昨天雖然最終下跌了319點
[15:21] 但拉出了600點的下影線
[15:23] 一度狂跌到809點
[15:25] 創下史上第九大跌點
[15:28] 但是廁所裡的散戶
[15:30] 買盤時代是太強勁了
[15:31] 直接把指數給往上拉
[15:33] 你從臺股的現行
[15:34] 拿來跟美國股市
[15:35] 世代指數來對照
[15:36] 你就知道臺股
[15:37] 這表現也太強了吧
[15:39] 做空臺股
[15:41] 跌一屁股
[15:42] 大家都想
[15:43] 怎麼沒跌
[15:43] 所以有時候我們講說
[15:45] 投資市場裡最常見的現象
[15:47] 就是太多人把虧損
[15:49] 歸咎於外在因素
[15:52] 但是把賺錢
[15:53] 歸咎於內在因素就覺得自己很厲害但是虧錢就怪央行政策突然轉向怪法人洗盤怪中東危機怪朋友推薦戳標的甚至怪市場的不理性
[16:05] 但很少人能夠回過頭來
[16:07] 檢討自己的判斷依據是否薄弱
[16:09] 風險控管是否不足
[16:12] 進出是否情緒化
[16:13] 所以其實市場上
[16:14] 本來就是充滿不確定性的
[16:16] 虧損往往不是因為別人做錯了什麼
[16:18] 是自己在做決策的時候
[16:20] 忽略了風險或者高估了勝率
[16:22] 你應該不要把責任推給外部環境
[16:25] 而是你本來就有一套思維
[16:26] 發生什麼事情就該怎麼做
[16:28] 有些人是針對乖離的高低
[16:30] 週期的高低
[16:30] 情緒的高低
[16:31] 有些人是順勢交易指標到了
[16:33] 那就做多做空
[16:34] 用這樣的一個方式
[16:35] 才能夠持續修正
[16:38] 所以我們才講說
[16:39] 市場上在不同的投資邏輯當中
[16:43] 你必須要了解是第一時間
[16:46] 你不要去檢討別人
[16:49] 而是要去了解自己
[16:51] 當前所面臨到的風險為何
[16:53] 那之前那太太跟先生說
[16:55] 哎呦你昨天晚上很不給力
[16:57] 我都穿上小護士的制服了
[17:01] 你怎麼還是沒有反應呢
[17:04] 那先生說
[17:05] 可能是年紀大了吧
[17:07] 太太說
[17:08] 你今年也才35歲
[17:10] 哪裡年紀大
[17:12] 那先生說
[17:13] 我是說你
[17:14] 警察先生
[17:16] 這就是事發經過
[17:17] 其實我們看到
[17:18] 很多人在面對問題的時候
[17:19] 他第一反應
[17:20] 往往都不是檢討自己
[17:22] 他找一個可以去怪罪的物件
[17:24] 事情做不好
[17:25] 環境不對
[17:26] 表現不佳
[17:27] 別人拖累
[17:27] 關係出問題
[17:28] 對方不理解
[17:29] 甚至自己的懶惰和失誤
[17:31] 都能夠找到外在理由
[17:33] 所以不管你是虧損的原因
[17:36] 是因為多還是空
[17:37] 你要了解說
[17:38] 這種外部性衝突
[17:39] 本來每隔幾個月就會發生
[17:41] 重點是你有沒有依據
[17:43] 當時自己的投資理念
[17:44] 持續的發酵
[17:45] 好 那不管怎麼講
[17:46] 我們看在昨天
[17:47] 市場上的波動也是如此
[17:49] 塑化股原本很多人還想說
[17:52] 是否能夠在油價大漲的預期底下
[17:54] 能夠做有效提升
[17:56] 結果反而昨天全職
[17:59] 還是有非常顯著的買盤支撐
[18:00] 塑化股臺塑南亞
[18:02] 昨天表現其實大部分並不是特別好
[18:06] 市場賣壓還相對沉重
[18:08] 反而是1225的福茂油大漲
[18:11] 該漲的塑化股不漲
[18:13] 結果沙拉油漲停
[18:15] 這個就是市場上的真實跡象
[18:18] 你要了解說
[18:19] 當前的市場情緒
[18:20] 臺股的市場情緒
[18:21] 跟我們想象中有一段落差
[18:23] 所以從基本面來進行套用
[18:25] 落差以及股市的操作經驗
[18:27] 都必須要用一個
[18:29] 更宏觀的格局來看法
[18:31] 短期內的籌碼變化
[18:32] 其實是很大的
[18:33] 網路上看到
[18:33] 你說什麼油
[18:35] 石油買
[18:36] 你說什麼油
[18:37] 沙拉油也買
[18:39] 你說什麼油
[18:39] 機油也買
[18:41] 你說什麼油
[18:42] I love you
[18:44] 我也是
[18:45] 以前臺股很常這樣亂漲
[18:47] 前幾年不是統一漲
[18:50] 統一超跟著漲就算了
[18:52] 統一正也跟著漲
[18:53] 統一實也跟著漲
[18:55] 第一銅漲了
[18:57] 莫名其妙第一電也漲
[18:59] 第一寶也漲
[18:59] 第一金也跟著漲
[19:00] 行情好有時候就會這樣子
[19:02] 市場上的輪動
[19:04] 收入很快
[19:05] 臺股也常這樣子
[19:06] 韓院長說過
[19:07] 選舉最大的秘密就是
[19:10] 票多的贏票少的輸
[19:12] 臺股最大的秘密
[19:14] 就是低點買進
[19:16] 高點賣出
[19:18] 但大多數人是低能買進
[19:22] 去賣高點
[19:24] 改賣太陽餅
[19:25] 改賣安姑貴
[19:27] 重新賺本金
[19:29] 我們講到臺股市場美股市場
[19:32] 它的分歧的確存在
[19:33] 可是美國股市
[19:34] 它的表面的確是比較平靜一點
[19:36] 但它底層的風險
[19:38] 相對於臺股稍微高一些
[19:40] 我們舉例來說
[19:41] 其實整個資金的配置
[19:43] 在整個美國股市市場當中
[19:45] 現在變得高度其中
[19:46] 比如說做多半導體和做空軟體股
[19:49] 它已經變成了擁擠交易
[19:51] 新興市場現在也持續吸引資金
[19:53] 亞洲像臺股市場
[19:56] 韓股市場的持股比例
[19:57] 現在外資正在進行大規模回補
[20:00] 那中東局勢也是極大的不確定性
[20:02] 所以導致實業股資金
[20:04] 開始有更進一步的行情流入
[20:06] 我們回過頭看
[20:07] 市場現在在美國股市的氛圍表現為何
[20:10] 從幾個角度來做一些觀察
[20:12] 第一個角度是內部
[20:14] 我們看到資金開始從成長股
[20:16] 陸續的轉往防禦性股票
[20:18] 和半導體當中
[20:20] 應該講AI當中的半導體股
[20:22] 我們投資人看到市場上
[20:23] 因為針對股票市場的修正
[20:25] 還有美國股市
[20:26] 頭部已經陸續的見到以後
[20:29] 美國股市當前反而
[20:31] 開始落後其他市場
[20:32] 同時估值現在是接近
[20:34] 1999年和2021年泡沫時期的高點
[20:37] 所以不代表要崩
[20:38] 但是呢
[20:39] 這個時候做本益比的調整
[20:41] 一個季度
[20:42] 兩個季度
[20:43] 等到第三個季度
[20:44] 它總會有EPS上行的時候
[20:47] 這個時候本益比
[20:48] 可能就會開始有自然下滑的時候
[20:51] 那當然華爾街到現在為止
[20:53] 也不知道到底該看多
[20:54] 還是看空AI
[20:55] 市場很明顯在搖擺
[20:56] 明顯是因為市場上
[20:58] 因為AI所帶來的成長
[21:00] 一開始有大漲
[21:01] 接著又擔心成本過高
[21:03] 競爭的加劇
[21:04] 可能會出現泡沫
[21:05] 最近甚至
[21:06] 之前有看到一篇
[21:07] 投資機構釋出假想報告
[21:09] 描述2028年
[21:10] AI到時候大量的取代白領工作
[21:12] 然後消費崩潰
[21:14] 通縮情境
[21:14] 導致市場的動盪
[21:16] 像Uber
[21:17] Visa
[21:18] Mr.Card
[21:19] 這些公司都受到影響
[21:20] 軟鐵股的Adobe也是如此
[21:22] 市場的不確定性
[21:23] 也來自於AI的發展方向不清楚
[21:27] 一方面我們看到
[21:28] 科技公司持續宣稱
[21:30] AI會顛覆各行各業
[21:32] 甚至可能取代大量的白領工作
[21:34] 可是另外一方面
[21:36] 企業實質匯入到AI的效果
[21:38] 還是很有限的
[21:39] 很多應用
[21:40] 其實都還停留在實驗的階段
[21:42] 目前AI其實最成功的
[21:44] 應該是集中在城市開發
[21:45] 但是否能夠快速的應用到金融
[21:48] 法律或者顧問等產業
[21:50] 還是未知
[21:50] 這也讓投資人擔心
[21:52] 兩種相反的風險
[21:53] 一種風險是
[21:55] AI回報不足以拖累獲利
[21:58] 另外一種是
[22:00] AI的太成功
[22:02] 反而摧毀了既有的商業模式
[22:05] 就是我們講說
[22:07] 應該講說AI如果發展的不夠好
[22:11] 那我企業的獲利就無法做持續推升
[22:13] 就這些世納世界職業者
[22:15] 無法賺更多錢
[22:16] 但是如果他太成功
[22:18] 成功到除了世納世界職業者
[22:20] 全部公司都死光了
[22:21] 我好像股市也得跌
[22:22] 不管怎麼樣
[22:23] 我都稍微有點擔心
[22:25] 所以這個就是當前市場上的主要氛圍
[22:28] 所以揮達財報
[22:29] 這次明明其實
[22:30] 整體財報預期是非常非常亮麗的
[22:32] 財政預期也非常好
[22:34] 他還是無法完全的消除針對AI的疑慮
[22:37] 原因就在於
[22:38] 你是賣產值的
[22:39] 所以現在市場的焦點
[22:41] 已經從AI的需求是否存在
[22:43] 轉向AI會不會對於整個產業科技
[22:46] 產生重大破壞
[22:48] 我覺得這種擔心就不至於了
[22:50] 因為華爾街現在針對AI的焦慮
[22:52] 感覺都停留在多半
[22:54] 比較短期的波動
[22:55] 或者比較極端情境的想象
[22:57] 剛才講到白領失業
[22:59] 商業模式崩潰
[23:01] 以後我就不用直播了
[23:02] 我被AI取代了嗎
[23:03] 還是科技股的估值過高
[23:05] 但我覺得這都是雜音
[23:06] 企業其實真正關心的
[23:08] 不會是AI能不能改變世界
[23:10] 是它到底能不能幫助我們
[23:11] 事情做得更快
[23:13] 更便宜
[23:14] 更有效率
[23:14] 解放雙手
[23:15] 讓AI最終能夠帶來
[23:17] 穩定的生產力提升
[23:19] 不管是城市開發效率翻倍
[23:21] 克服的成本下滑
[23:22] 還是決策速度加快
[23:23] 這些改善
[23:24] 它其實累積起來
[23:26] 就能夠直接反映在
[23:28] 利潤率和競爭力之上
[23:29] 市場上是在爭論
[23:31] 五年十年以後
[23:33] 到底AI是泡沫還是革命
[23:35] 我覺得反而都是小事
[23:36] 真正重要的事情是
[23:37] 那你就趕快推出可以改變這個世界的新技術
[23:40] 技術成熟之後
[23:42] 企業就能夠是否用更少的能力
[23:44] 創造更多的產出
[23:45] 而只要生產力確實在往上升
[23:48] AI終究會被證明它不是威脅
[23:50] 它至少對於企業來說是一個實際的幫助
[23:53] 我是科技樂觀論者
[23:54] 所以前面的動盪和懷疑我認為說到底都是小事你為這種小事而擔心而不去觀察更大的比如說估值的高低不去觀察AI科技的突破
[24:07] 我反而認為
[24:08] 這件事情不太好
[24:09] 因為剛才聊的都是小事
[24:11] 重點在於
[24:12] 它能不能推出新技術
[24:14] 如果你回家
[24:15] 你的太太
[24:17] 整天為了小事情跟你吵
[24:19] 菜瓜布沒放好
[24:21] 尿尿沒尿準
[24:23] 放屁很臭
[24:25] 那你反而要自豪
[24:26] 為什麼
[24:27] 因為你讓你太太過得太爽了
[24:31] 正常夫妻吵架都是吵什麼
[24:33] 吵生活開銷
[24:34] 吵外遇
[24:35] 曖昧關係
[24:37] 吵失業
[24:37] 欠債
[24:38] 投資失敗
[24:39] 長期冷暴力
[24:41] 性成癮
[24:43] 這些都是大問題
[24:45] 那他如果每天跟你吵一些小問題
[24:47] 說明你做的不錯
[24:49] 你應該要感到自豪
[24:51] 所以如果很多人每天跟你吵一些小問題
[24:55] AI會如何取代我的工作
[24:58] 我要如何造成白領的大規模失業
[25:00] 如何處理就業問題
[25:02] 我認為這是小問題
[25:03] 真正問題是
[25:04] AI到底會造成多少的生產力提升
[25:07] 人總是可以找到事情做的
