[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 台湾时间的早上9点钟
[04:00] 是否就完全失去了
[04:02] 接下来的挑战呢
[04:04] 这必须要清楚了解到
[04:05] 也是待会我们要细谈的
[04:06] 早在中东战事之前
[04:08] 美股股市就已经开始进行了
[04:10] 本一笔回调
[04:11] 外部冲击只是加速跌幅而已
[04:13] 所以外部冲击把它视为买点
[04:15] 没有问题
[04:16] 可是现在回过头来看
[04:17] 必须针对美国股市AI行情的部分
[04:21] 采取更进一步谨慎的态度
[04:23] 毕竟下半年的缺钱潮
[04:25] 看起来是一定会发生的
[04:27] 与此同时
[04:28] 原油价格它只是停止上涨了
[04:30] 如果没有暴跌
[04:31] 那通膨的拉升
[04:33] 始终会让联准会的降息路径
[04:35] 充满着极大变数
[04:36] 事实上我们过去提过
[04:38] 川普的交易模式
[04:39] 在过去几个季度当中
[04:41] 已经展现得一览无遗
[04:42] 我们不能说
[04:43] 他最后是他口当中
[04:45] 决定要怯懦
[04:46] 所以离开市场
[04:48] 或者说减便宜就算了
[04:50] 而是每一次的套路都差不多
[04:52] 先以强硬的威胁
[04:53] 最后延后或者缩首
[04:55] 但是一样达到了某种层面
[04:57] 美国利益的优衔
[04:58] 我们举例来说
[04:59] 从整个25年2月份来看
[05:01] 当时对加拿大墨西哥进行关税威胁
[05:05] 原本放花要课重税
[05:07] 结果就延后30天
[05:08] 3月5号宣布了汽车关税
[05:11] 结果呢
[05:11] 马上又实施一个月的豁免
[05:13] 3月6号北美贸易协议正式公布
[05:16] 结果呢
[05:17] 延到4月2号
[05:18] 4月9号是全球的高关税政策
[05:20] 全面性的关税升级
[05:22] 最后暂缓90天
[05:23] 4月12号
[05:25] 对于中国科技产品课关税
[05:27] 原本要打科技战
[05:28] 最后电子产品
[05:29] 现在中国是全面豁免了
[05:31] 汽车关税4月29号再提高
[05:33] 最后又缩小了小幅度
[05:35] 5月25号对欧盟提出了关税威胁
[05:38] 最后延到7月9号
[05:39] 7月7号说明这是关税的最后时间线
[05:42] 结果延到8月1号
[05:43] 7月30号的同关税
[05:45] 最后采取部分豁免
[05:47] 所以这次也差不多
[05:48] 我们看到先以极限施压
[05:50] 再收回或者延后
[05:52] 难道美方就完全没有得到任何利益吗
[05:54] 有啊
[05:55] 他至少还是把和浓缩诱的节点给打掉了
[05:58] 只要找一个台阶能够下嘛
[06:00] 所以在这样效果底下
[06:02] 市场上现在最担心的是什么
[06:04] 现在最担心的已经不是
[06:05] 这个惯性是否会重复发生
[06:07] 而是今年会不会是唯一一次Taco呢
[06:11] 那本年度Taco上车时间结束
[06:14] 来不及搭车的乘客该怎么办呢
[06:17] 这是很大的压力
[06:18] 所以现在市场的压力
[06:19] 已经从担忧地缘政治的恶化
[06:22] 变成我没买到怎么办
[06:24] 我没买够怎么办
[06:25] 这是蛮有趣的迹象
[06:26] 当然很多投资朋友说
[06:28] 有没有可能兵不厌诈
[06:30] 这是战争
[06:31] 我们要知道
[06:31] 川普即便已经说明了
[06:33] 接下来的两周谈判时间
[06:35] 美军目前
[06:37] 我们看到外部部队也并没有撤离
[06:40] 那是否代表着仍然有
[06:42] 进攻哈格岛的可能性
[06:44] 毕竟这一波位于波斯湾的小岛
[06:46] 承担了90%伊朗的原油的外运
[06:49] 是伊朗经济命脉当中的核心节点
[06:52] 我们看以前的木马图城等等
[06:54] 通常都是要有点欺敌战术
[06:57] 有没有可能兵不厌诈
[06:58] 结果这两周才是发动军事实验
[07:01] 我倒认为不太可能
[07:02] 毕竟中期选举在即
[07:04] 已经对川普来看
[07:06] 本身扩大战线
[07:08] 对于共和党的选票
[07:10] 已经没有进一步帮助了
[07:11] 伊朗的石油出口
[07:13] 过去早就已经被制裁过了
[07:15] 也并不是完全打不死
[07:16] 16年到18年期间
[07:18] 在川普政府的前期
[07:20] 当时伊朗原油的出口
[07:22] 大致维持在每天200万桶左右
[07:24] 可是在18年退出伊朗核协议之后
[07:28] 就全面制裁重启
[07:30] 出口量在19年到20年几乎归零
[07:32] 所以现在我们看
[07:34] 值得注意的是后半段
[07:35] 22年以后伊朗的出口又开始爬升
[07:38] 24年到26年已经接近到200万桶
[07:41] 就代表着这个灰色贸易
[07:43] 已经成功地绕出制裁
[07:44] 而且對於伊朗的國庫營收有重要貢獻
[07:47] 伊朗在這樣的一個情況底下
[07:49] 是否有意願想要把自己的經濟地位
[07:53] 或者說我們講的石油原油設施拖入到本場戰線那就不一定了所以我们看这两周其实已经有亚洲多国的船舶陆续通过了荷姆治海峡
[08:03] 就代表着未来两周
[08:05] 我们看起来运量应该是会持续放大
[08:07] 只要运量放大
[08:09] 本身就是供给链平体的缓解
[08:11] 而事实上我们看到
[08:12] 在目前像是中国、印度、菲律宾、巴基斯坦等亚洲国家
[08:17] 部分船舶已经通行
[08:19] 现在甚至有日本和马来西亚的个别船只也成功通过
[08:23] 事实上我们最近才提到
[08:25] 高市早描的部分
[08:26] 其实有目前跟伊朗领导人
[08:29] 陆续搭上话了
[08:30] 如果连日本都开始跟伊朗
[08:32] 采取新一轮的沟通
[08:34] 似乎就说明着
[08:35] 现在全球看起来是会往逐步宽松
[08:39] 或者往逐步放松管制的方向走
[08:42] 而放行条件的不透明性
[08:44] 才是当前要处理的重点
[08:46] 换句话说
[08:47] 这两周我们预估
[08:48] 应该就会有更进一步的
[08:49] 船只放行的可能性
[08:51] 当然回过头看
[08:52] 那就代表着全球的通膨压制力度
[08:56] 必须要在4月份赶紧下弯
[08:58] 否则呢
[08:59] 3月份CPI已经上扬了
[09:01] 如果4月份也上扬
[09:02] 那5月6月
[09:03] 你很难不传导到终端民间嘛
[09:06] 现在都是可能是从上游端
[09:08] 可能一开始是饲料价格上涨
[09:10] 到时候变肌肉价格上涨
[09:12] 那饲料价格到肌肉价格上涨
[09:14] 一直到你的便当价格上涨
[09:16] 它有一段时间嘛
[09:17] 最好在两个月内结束
[09:19] 所以4月份能不能回跌就重要关键了
[09:21] 我们举例来说
[09:22] 这次不只是能源和部分农产品
[09:25] 已经往工业体系来产生扩散
[09:27] 这次中东最大的铝生产商
[09:29] 其实也稍受到攻击
[09:31] 直接导致停产或者大幅降债
[09:33] 等于全球大概也一次拿掉了
[09:36] 4%到5%左右的铝的供应
[09:38] 那铝这种东西
[09:40] 它不算是边缘商品
[09:41] 它是从汽车飞机到AI伺服器的机壳
[09:45] 电网建设都需要用的基础材料
[09:47] 一旦供应出问题以后
[09:49] 价格上去就是时间问题
[09:50] 现在每吨大概4500美元
[09:53] 相对于今年年初
[09:55] 大概2800美元左右
[09:57] 上升幅度已经不小了
[09:59] 所以我们会看到一个很典型的组合
[10:01] 成本上升
[10:02] 供应的延迟
[10:03] 企业不敢扩产
[10:04] 最后就影响到被迫的萎缩了
[10:06] 现在还在初期
[10:07] 毕竟原物料价格的上涨
[10:09] 也才一个月左右
[10:10] 我们举几个例子来说
[10:12] 本质上这场伊朗战争
[10:14] 它是从能源原物料链条的全面占地价
[10:17] 最核心的两个讯号
[10:19] 一个是西德州原油
[10:20] 涨了66%
[10:21] 布兰特原油涨了50%
[10:23] 那更关键的下游涨得比较凶
[10:25] 柴油涨了4成9
[10:27] 取暖油涨了68%
[10:29] 航空燃油涨了95%
[10:32] 几乎要翻倍了
[10:33] 那其他我们看到
[10:34] 农业链的同步爆炸
[10:36] 尿素价格今年涨了48%
[10:39] 那我们过去提过
[10:40] 这个尿素目前
[10:41] 因为它是规定
[10:43] 至少要在一个季度内
[10:44] 必须要进行施肥
[10:46] 有些假肥
[10:47] 或者其他肥料价格
[10:48] 有些可以拖到半年
[10:50] 甚至一年
[10:50] 但尿素价格有时间限制
[10:52] 所以往往供应链一断
[10:54] 那个价格飞喷的速度就特别快
[10:56] 那你说你像浩哥
[10:58] 平时尿很多
[10:59] 那个尿的含氨量不一样
[11:02] 所以尿素价格
[11:03] 是目前农产品价格涨幅最夸张
[11:06] 涨幅48%
[11:07] 几乎要追上原油价格的涨幅了
[11:10] 肥料价格平均涨幅有31%
[11:12] 棕榈油涨了20%
[11:14] 所以我们现在要看的是什么
[11:15] 我们要看的就是
[11:16] 这些东西
[11:17] 必须要在4月份全面的下挫
[11:20] 十一住行
[11:22] 小麦涨价了
[11:23] 你就没面包吃了
[11:25] 一棉花涨价了
[11:27] 巨脂纤维就跟着涨价
[11:29] 没衣服穿
[11:31] 房租涨价了
[11:32] 没地方住
[11:32] 油价涨价了
[11:34] 无法出行
[11:34] 十一住行
[11:35] 它都会有一定时间的传导效果
[11:37] 所以在这样的一个效果底下
[11:39] 我们就要看
[11:40] 未来这些原物料价格的回跌
[11:42] 才是更重要的指标关键
[11:44] 停战是一个讯号
[11:45] 但是我们关注的指标
[11:47] 是通膨数据
[11:48] 而通膨数据
[11:49] 就是由这些原物料价格
[11:51] 来产生反应连锁效果
[11:52] 那当然对于川普而言
[11:54] 本身收掉这场战事
[11:57] 做一个好的结尾和end点
[11:59] 又它的一个重要性存在
[12:00] 一方面是要把焦点
[12:02] 更聚焦在国内的政经
[12:04] 中期选举问题
[12:05] 内政问题
[12:06] 第二大方面
[12:07] 这一次花的钱
[12:08] 其实已经不少了
[12:09] 我们举例来说
[12:10] 川普这一次
[12:11] 对伊朗采取的军事行动
[12:13] 每天预估的金额
[12:15] 我们按照金融时报的推算
[12:16] 大概是5亿美元的速度消耗资源
[12:20] 其中相当一部分来自被摧毁的军事设备
[12:24] 就是说美军在这一次被摧毁的设备
[12:27] 所造成的金额损失
[12:29] 甚至比采取的空袭所造成的军事成本还来得高
[12:34] 在过去五周的整体成本大概是200亿美元
[12:38] 而设备损失和修复费用应该快要接近100亿了
[12:42] 虽然人员伤亡相较于大型战争还是很有限
[12:45] 但伊朗因为这一次打击了
[12:47] 美军的雷达系统
[12:49] 加油机和无人机等高价值的目标
[12:51] 使得美军在中东以外的防御能力
[12:54] 也出现了部分缺口
[12:55] 这一次消耗最多的
[12:57] 当然是先进的反飞弹雷达系统
[13:00] 射的飞弹的价格
[13:01] 甚至都不如反飞弹雷达系统
[13:04] 和空中一警机所付出的费用
[13:06] 因为这些东西不只是价格昂贵
[13:08] 产能有限
[13:09] 替换周期都是五年十年才换一台
[13:13] 一旦损失就很难以快速的补回
[13:15] 此外美国也把这一次
[13:17] 亚洲的部分部队
[13:18] 调动到防空资源到中东
[13:20] 进一步也削弱了
[13:22] 对于中国的威慑能力
[13:23] 那整体来看
[13:24] 这一次是很标准的资源错配
[13:26] 因为战争拖长时间以后
[13:28] 花的钱就越来越多了
[13:30] 我们举几个例子
[13:31] 像这一次
[13:32] 当时的E3预警机被打到
[13:34] 7亿美元就这样烧掉了
[13:36] 地面长城的预警雷达
[13:38] 10亿美元被击中了
[13:39] 那其他像F15
[13:41] 无人机的MQ-9
[13:42] 虽然比较便宜
[13:43] F-15大概是1亿一台
[13:45] NQ-9大概是1600万一台
[13:47] 但高强度的冲突当中
[13:49] 它的消耗速度也特别快
[13:51] 所以现代战争
[13:53] 它的成本不是单纯线性的
[13:55] 是系统性的损失
[13:56] 一旦关键的节点
[13:58] 比如说预警机被打掉
[13:59] 加油机被打掉
[14:00] 雷达被打掉
[14:01] 整体的作战能力
[14:02] 就会被放大削弱
[14:04] 这就不是单纯少一台设备
[14:06] 这么简单了
[14:06] 这也是为什么你看伊朗
[14:08] 这一次就专门打这些
[14:09] 高价值的资产
[14:10] 大家要这样想
[14:11] 这一样可以打到一台预警机
[14:13] 那难道附近都没有飞机吗
[14:16] 他专门打预警机
[14:17] 有他的目的存在吗
[14:19] 就是要让你的负担效果来的压力更大
[14:22] 所以我们也知道川普这一次
[14:24] 其实在内部的财政预算当中
[14:27] 2027年的预算
[14:29] 其实也产生了比较大的一个变革
[14:31] 举例来说
[14:32] 川普这次所提出的2.2兆美元的预算
[14:35] 该加的是疯狂加
[14:37] 该砍的是全面砍
[14:39] 最明显的是军事支出
[14:40] 直接拉高到1.5兆美元
[14:43] 哇
[14:44] 这个征服很离谱
[14:46] 美国已经是全球军费最多的
[14:48] 他的军费是把第二名到第十名加起来
[14:51] 都不如第一名的美国
[14:52] 结果这次军费拉高到1.5兆美元
[14:55] 年征服43.7%
[14:57] 这是二战以来的最大扩张
[14:59] 甚至还包含额外战争预算
[15:01] 反映在伊朗背景底下
[15:03] 美国已经把国防当成了优先当中的优先
[15:06] 那另外一边的代价就很直接了
[15:07] 非国防支出整体砍了10%
[15:10] 而且是全面性的收缩
[15:12] 像国家科学基金委员会砍了54.7%
[15:15] 卫生和公共服务减少了12%
[15:18] 教育 住房 商务和农业全部下滑
[15:21] 那当然川普的态度很简单
[15:23] 因为里面有很多DI
[15:24] 甚至再生能源和环保的计划都被大幅的缩窄
[15:28] 资源正在往传统能源和战略科技当中来快速的集中
[15:32] 所以综合来看
[15:33] 川普这次大幅的扩张国防军费支出以后
[15:37] 让市场预料到未来几年
[15:40] 川普还是很有可能会采取更进一步的军事动作
[15:43] 或者他是要采取一定程度在国防AI科技商中的投入
[15:48] 所以需要花更多的金额
[15:50] 如果我们仔细观察
[15:51] 国防支出占可支配的预算当中的占比这一次已经突破了50%了这是数十年来的新高所以我们现在看到的川普时期不只是军费体量创新高
[16:02] 军费占整体预算的比例
[16:05] 也创下历史新高
[16:06] 但我们看得很清楚
[16:08] 这一次如果把现在的55%
[16:12] 拿来做对比
[16:13] 它甚至比欧巴马
[16:16] 比小布希
[16:17] 比柯林顿时期都还来得高
[16:19] 已经达到了雷根时期的水位了
[16:22] 也就是说
[16:23] 现在川普是把半数以上的预算
[16:25] 用于军事状态
[16:26] 这个是我们要看一下
[16:28] 民意的反应为何
[16:29] 毕竟这个市场上
[16:31] 其实更期待的是
[16:32] 能否集中在内政政策
[16:34] 我们过去跟投资朋友提过
[16:35] 目前川普民调在独立选民
[16:38] 年轻族群
[16:39] 还有部分原本支持
[16:40] MAGA派的群体
[16:41] 这一次由于油价的飙升
[16:43] 生活成本的上升
[16:44] 和战争的不确定性
[16:46] 已经转向反对
[16:47] 特别是为何开战
[16:49] 何时结束缺乏清晰的答案
[16:51] 使得市场和选民的信心开始产生同步动摇
[16:55] 那在这样的一个效果底下
[16:56] 市场上内部民调已经产生了极大压力
[16:59] 外部也是如此
[17:01] 我们举例来说
[17:02] 盖洛普也公布了最新的国际民调
[17:04] 2025年中国在国际上的领导认可度
[17:07] 中位数居然来到36%
[17:09] 还超过美国的31%
[17:12] 领先幅度来到5个百分点
[17:14] 创下20年来的最大差距
[17:16] 那你要知道
[17:17] 中国其实上升的幅度也并不是特别多
[17:20] 比较明显的是美国的下滑
[17:22] 美国当时是从2024年的39%
[17:25] 掉到现在的31%
[17:27] 如果现在用2024年的美国的认可度
[17:29] 拿来跟中国比
[17:30] 美国还是比中国高的
[17:32] 所以中国其实没有太大变动
[17:33] 主要是美国下滑幅度实在太快了
[17:36] 原因就来自于在全球形象的高度波动
[17:39] 它会随着总统的政策快速起伏
[17:42] 关税战对于各国对于美国的民调和信心度
[17:46] 有大幅度的下滑
[17:48] 这次马克宏在亚洲访问期间
[17:50] 他也明确表态
[17:50] 认为中等实力国家应该要联手
[17:53] 在美国和中国之间建立一个新的平衡
[17:56] 他还特别点名了日本
[17:58] 南韩
[17:59] 澳洲
[18:00] 印度
[18:00] 加拿大和巴西
[18:02] 认为这些国家在民主气候
[18:04] 国际秩序上等议题立场相近
[18:06] 不过川普对他讲的话也是兴趣缺缺
[18:10] 不要再被打就好了
[18:12] 但不管怎么说
[18:13] 这件事情都意味着
[18:14] 全球对于美国的信心程度
[18:17] 还有美国内部对于川普的信心程度
[18:19] 都逼得川普
[18:20] 被迫要花更多的时间
[18:22] 来处理内政问题
[18:23] 解决到外部的战争
[18:25] 举一个更直观的例子
[18:27] 这一次德国
[18:28] 我们看到右派出现了
[18:29] 比较大的一个显著分裂
[18:31] 德国的另类选择党AFD
[18:33] 最近很有名
[18:34] 应该这两年特别有名
[18:35] 主要是马斯克也背书
[18:37] 川普也支持他
[18:38] 在过去
[18:39] 他是欧洲少数那种
[18:41] 激其的靠拢川普的政党
[18:43] 在伊朗战争当中
[18:45] 这次反而成为了重要的转折点
[18:47] 为什么呢
[18:48] 因为NFT另类选择党
[18:49] 不只是公开批评
[18:50] 还要求内部减少赴美交流
[18:53] 那为什么在政治上
[18:54] 要降温跟川普的关系呢
[18:56] 原因很简单
[18:56] 因为德国选民
[18:58] 对于这场战争普遍反感
[18:59] 就连德国的右派都很反感
[19:02] 为什么要让欧洲国家
[19:04] 也进入这场战争呢
[19:05] 没有必要
[19:06] 尤其战争又推高了能源价格
[19:08] 当然了
[19:08] 由于右派某种程度而言
[19:11] 他是追寻自我的根本利益
[19:13] 所以本来就会跟美国的本土利益
[19:16] 产生适度冲突
[19:17] 只是AFD过去在移民
[19:19] 在主权
[19:19] 在反建制上
[19:20] 跟川普是高度契合
[19:22] 甚至经常有相对性的合作
[19:24] 但这次却大肆的批评川普的政策
[19:27] 很明显的
[19:28] 这种分歧会来得更为显著
[19:30] 因为各地都存在那种
[19:32] 对于反美情绪
[19:34] 或者对于右派联盟所产生的裂痕
[19:37] 这就是我们观察到的实质迹象
[19:39] 当然回过头来说
[19:40] 内政问题要处理的几个方向
[19:42] 一个是要如何把过去一年
[19:45] 所取得的经济成果进行包装
[19:47] 另外一大层面
[19:48] 是如何确保通膨下滑幅度过快
[19:51] 所以接下来川普的重点
[19:53] 就在两个方面
[19:54] 过去一年的关税战
[19:55] 怎么收尾
[19:57] 第二
[19:57] 通膨这么高
[19:59] 如何快速地打压
[20:00] 现在的大宗资产价格
[20:01] 先聊关税战的部分
[20:03] 我们都很清楚知道
[20:04] 关税这次IEPA
[20:06] 在最高法院推翻之后
[20:08] 有数万家公司
[20:10] 目前都在陆续申请关税的退回
[20:12] 目前出谷美国政府
[20:14] 大概需要退还1600亿美元的关税
[20:17] 现实是这笔钱是不会自动退回来的
[20:20] 企业必须要自己走流程
[20:22] 目前大概有三条路线
[20:23] 第一是提告争取退款
[20:26] 但时间长成本高
[20:27] 第二是把索赔权卖给华尔街
[20:30] 用折价换取现金
[20:32] 把不确定性给转嫁出去
[20:33] 等于类似以债务方式来进行包装
[20:38] 让华尔街来向未来川普打官司收费
[20:41] 第三是最常见的说法
[20:43] 就是现在先跟政府系统来登记
[20:45] 等待有一天
[20:46] 也许下一任政府会退款来发放
[20:49] 总体而言还是充满变数
[20:51] 虽然高等法院已经做出了裁决
[20:54] 必须要开始退还关税
[20:55] 可是川普也表达会继续上诉
[20:57] 来到最高法院
[20:58] 这代表着对于多数企业来说
[21:01] 这笔钱只能是账面上的希望
[21:03] 基本上不太可能在川普任期内给退回来了
[21:06] 那川普要如何把关税所达成的成果
[21:09] 进行另类包装呢
[21:10] 毕竟关税战并没有减少
[21:12] 美国对外的贸易逆差
[21:14] 看起来过去一年都在爆充
[21:16] 这来自于AI的爆发
[21:18] 第二件事情
[21:19] 是关税战所引领的美国经济
[21:21] 是否促成了更多美国产品的利益销售
[21:24] 其实也还好
[21:26] 我们也知道
[21:27] 随着美国贸易逆差的扩大
[21:29] 就代表着相对于美国人卖出去的货
[21:32] 看起来我们买的货改得更多
[21:35] 所以某种程度要取决于
[21:37] 现在美中之间川习会登场以后
[21:40] 有没有进一步大豆或者黄豆产品的购买扩大
[21:44] 要巩珠农业选民吗
[21:46] 那第三件事情
[21:47] 那就是关税战所达成的美国经济贸易体系
[21:51] 是否让全球体系更依赖于美国
[21:54] 其实并没有
[21:55] 我们也很清楚知道
[21:56] 目前全球各地相对于对美的依赖程度
[22:00] 除了少数国家像台湾、泰国、越南、印度等等
[22:05] 很多欧洲国家反而降低了贸易占比
[22:08] 跟中国双方的贸易合作来得更大
[22:11] 在种种效果底下
[22:12] 川普政府我觉得现在少数
[22:15] 唯一能够拿出来的数据就是
[22:16] 那没衰退
[22:17] 就打了那么多关税战
[22:18] 打了那么多的地缘政策不确定性
[22:21] 股市还在涨
[22:22] 而且重点是我们看到
[22:24] 现在联总会的GDP闹模型
[22:27] 目前大概还保持在一个1.6%的正值
[22:30] 虽然相对于过去一两个月
[22:32] 已经下调幅度蛮多了
[22:34] 可是还保持在正值的根本原因
[22:36] 就是来自于美国到目前为止
[22:38] 即便非农就业数据时好时坏
[22:41] 仍然没有进入到衰退的迹象
[22:43] 这一次三月份数据出来
[22:45] 增长17.8万人
[22:46] 远远高于市场预估的6.5万人
[22:49] 失业率也从4.4%下滑到4.3%
[22:52] 当然你细猜看来看
[22:54] 会发现几乎都来自于民间部门
[22:56] 因为政府部门还在裁员
[22:58] 前一个数据甚至被大幅下修
[23:00] 但是现在市场上对这些数据
[23:02] 也不是特别敏感
[23:03] 第一个我们知道
[23:04] 因为现在流行校正回归
[23:06] 每个月的数据之后
[23:08] 几乎都一定会下修
[23:09] 所以市场上其实感受程度并不高
[23:12] 第二是的确AI有部分的冲击
[23:16] 可是目前广泛来看
[23:17] 仍然都集中在AI的白领阶级
[23:20] 并没有影响到广泛的服务业
[23:22] 或者蓝领阶级
[23:23] 所以我们只能说
[23:24] 美国经济在AI的带动底下
[23:26] 它就是不错
[23:27] 它可以允许川普
[23:28] 即便充满着这么多的不确定性
[23:30] 可以打一场关税战
[23:31] 可以打一场战争升高通膨
[23:34] 都不至于瓦解
[23:35] 在这样的一个效果底下
[23:36] 等同于为2026年的经济
[23:38] 做了一定程度的背书
[23:40] 川普做了结构性的调整
[23:41] 可是现在要开始收拢战局了
[23:44] 要如何处理通膨的问题
[23:45] 要如何取得关税战成果的问题
[23:48] 我们看美股市
[23:49] 四大指数表现道中公益指数下跌85点0.18%刷46,584点标普上涨5点0.07%则6616点纳指上涨21点
[24:00] 0.09%
[24:01] 则22,017点
[24:03] 倍半上涨87点
[24:04] 1.11%
[24:05] 则8,003点
[24:06] 基本上美国股市四大指数
[24:09] 待会都要开始陆续电子盘
[24:11] 显著的进行拉动了
[24:13] 那以今年来看
[24:14] 有趣的迹象
[24:15] 今年大概是三分之一的资产是收跌的
[24:18] 但大部分的资产还是收涨的
[24:20] 像是大宗资产的部分
[24:22] 平均上涨有31
[24:23] 由油价来带动
[24:24] 黄金价格今年涨了8.4
[24:26] 科转债有5%
[24:28] 其他像是中型股
[24:29] REITs
[24:30] 价值股
[24:31] 小型股
[24:32] TIPS
[24:32] 短期国库券
[24:33] 长期国库券
[24:34] 高收益债
[24:35] 目前都是收涨的
[24:37] 今年跌稍微重一点的
[24:38] 大概就两大资产
[24:39] 一个是美国的成长股
[24:41] 尤其是科技巨头
[24:42] 另外一个就是
[24:43] Bitcoin
[24:44] 比特币今年还是跌了2成3
[24:46] 已经连续两年的显著下跌了
[24:49] 所以从更宏观的格局来看
[24:51] 你还是会发现
[24:52] 当前市场的循环
[24:54] 似乎还某种程度
[24:56] 还保持着过去的那种
[24:57] 两到三年的一个比较大的回调
[25:00] 可是没有股市
[25:01] 我们过去讲说叫三代牛
[25:02] 我们看从2008年以后
[25:05] 基本上没有股市
[25:06] 我们看到的TR
[25:07] 年初到年底
[25:09] 大部分都是正报酬
[25:10] 当年度跌幅有时候都很重的
[25:13] 而且差不多三年
[25:14] 都会迎来一个相对重的跌幅
[25:16] 比如说2025年跌幅是18%
[25:18] 但是最后年初到年尾却涨了17%
[25:21] 2022年当年度年中最大跌幅是25%
[25:26] 库存调整
[25:26] 结果年初到年尾跌幅缩小
[25:28] 跌了18%
[25:29] 2018年美中贸易战最大的跌幅19%
[25:33] 结果年初到年尾只跌了4.4%
[25:35] 2015年最大跌幅12%
[25:37] 结果年初到年尾还涨了1.4%
[25:39] 所以本来三到四年
[25:41] 就会有这样的一个库存的周期轮替
[25:43] 而现在很无疑的是标准的库存周期
[25:46] 新一轮的向上格局
[25:47] 因为去年看起来库存周期
[25:49] 已经先调整过了
[25:51] 那只不过今年在年初
[25:53] 又遇到了一些外部性的冲击
[25:55] 所以你掌握这些周期
[25:56] 你甚至连周期都不用看
[25:58] 你就大概了解
[25:59] 美股是长期就是上涨的
[26:00] 那你如果能够遇到一个10到15%
[26:03] 甚至15%以上的回调
[26:05] 那是很难得一见的
[26:07] 用这样的一个方式
