[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 指数的规划遭受到重大影响
[02:27] 早就已经逼临2020年
[02:29] 当时年终到年末的宽松货币行情
[02:32] 也就是代表着
[02:33] 现在即便在一个相对高利率
[02:35] 资金并没有特别充裕的
[02:37] 货币宽松条件底下
[02:38] 我们的资金流入量
[02:40] 却跟2020年到2021年
[02:42] 当时的海量货币宽松差不多
[02:44] 所以回过头来看
[02:45] 从小到大
[02:46] 从宏观到微观
[02:48] 先看市场上的真实恐惧迹象
[02:50] 来自于哪里呢
[02:51] 与其说大家担心AI泡沫
[02:53] 我更为关注的是到底
[02:55] 接下来联总会的FOMC该做什么样的动作
[02:58] 昨天阿联酋宣布退出石油输出国组织
[03:03] 退出OPEC以后就代表着60年的成员身份
[03:07] 即将形成重大割裂
[03:09] 当然了这样的一个消息
[03:11] 对云油价格是否一定是提升效果就不一定了
[03:14] 因为它退出的原因很简单
[03:16] 过去的配额制度让阿联无法全力增产
[03:19] 赚取更多的石油收入
[03:20] 那你现在退出以后
[03:21] 也许我就可以生产更多了
[03:23] 那现在呢
[03:24] 在这样的一个效果底下
[03:25] 等同于产量分配的问题啊
[03:28] 阿联要尝试的跟美国啊
[03:29] 来做竞争
[03:30] 或者呢
[03:31] 想要不受到OPEC过去的
[03:34] 配给制的捆绑
[03:35] 这也为后石油时代来累积资本啊
[03:38] 有点类似英国脱欧啦
[03:39] 但是在这样的一个效果底下
[03:41] 不见得对原油价格是一个重大压力啊
[03:44] 反而可能有产量的提升
[03:46] 对于全球原油价格有抑制作用
[03:48] 可是另外一方面
[03:49] 川普这一次啊
[03:50] 又发了文
[03:51] 他说他已经召集国安团队
[03:52] 正在讨论伊朗已经提出的停战方案
[03:55] 之前他提到
[03:56] 我们现在就不用派特使到巴基斯坦了
[03:58] 我们只用电话沟通就好了
[04:00] 他也预告很快就会对外表态
[04:02] 目前的谈判进度
[04:04] 伊朗也释出讯号
[04:05] 说愿意接受过渡性的协议
[04:07] 条件是美国先解除对伊朗港口的封锁
[04:10] 让伊朗的游船可以先出去
[04:12] 双方的确似乎有和缓的感觉
[04:15] 在谈判目前还在僵持之际
[04:17] 和姆斯海峡还是属于半停板的阶段
[04:20] 基本上布兰特边油价格
[04:22] 已经突破111块美元每桶
[04:24] 虽然还没有创下历史新高
[04:26] 可是又快要接近了
[04:27] 所以在这样的一个效果底下
[04:29] 我们就看美国财政部
[04:31] 之前是已经明确下令了
[04:33] 禁止第一让美国的
[04:36] 应该讲说让伊朗的游轮
[04:38] 输出到荷姆斯海峡以外
[04:40] 第二是美国财政部
[04:41] 在本周已经明确的下令
[04:43] 禁止所有美国的个人金融机构
[04:46] 还有其控制的海外实体
[04:48] 向伊朗支付所谓的荷姆斯海峡的通行费
[04:51] 也就是你不要想说
[04:53] 你付伊朗钱以后你就能过了
[04:55] 我美国不允许
[04:56] 所以在这样的效果底下
[04:57] 不让伊朗有更多经济能力扩张的空间
[05:00] 美方等于把这个警告
[05:02] 从单一美国企业扩展到全球
[05:05] 所以现在即便你不是美国人
[05:07] 你是台湾公司
[05:08] 你是日本公司
[05:09] 只要涉及这类的资金往来
[05:11] 很有可能会被美国的财政部
[05:13] 纳入到制裁名单
[05:14] 不要给伊朗任何钱
[05:16] 我们正在谈判的加大力度阶段
[05:18] 所以目前美国也加大针对
[05:20] 伊朗的资金来源
[05:21] 我们讲说
[05:23] 金融上的制裁
[05:24] 一口气已经针对
[05:25] 35个协助运作
[05:27] 地下金融系统的组织个人
[05:28] 采取了数百亿美元的资金的冻结
[05:31] 所以在这样的一个效果底下
[05:33] 伊朗内部的路线
[05:34] 谈不谈
[05:35] 就成为了
[05:36] 接下来权力和生存的拉锯战
[05:38] 至少我们还是看得出来
[05:39] 双方还是愿意谈
[05:41] 只是在部分议题当中
[05:42] 还是拥有的比较大的歧见
[05:44] 好 这个是属于通膨的部分
[05:45] 稍晚我们可能明后天
[05:47] 到时候
[05:48] 不管是联准会议纪要
[05:49] 还是林总会最近的表态
[05:51] 做一系列的梳理
[05:52] 这个是引导市场上
[05:54] 整体而言
[05:55] 对于货币系统所形成的承压
[05:57] 但是在短期内
[05:58] 市场上更为关注的
[06:00] 是OpenAI传出的讯息
[06:02] 这次华尔街日报所出的专题
[06:04] 起因就是OpenAI
[06:05] 未达自身营收和用户目标
[06:07] 导致它的关系密切企业的股价下跌
[06:10] 我们仔细观察
[06:11] 最近像甲骨文的部分
[06:13] 像CodeWeb或者SoftBank乱赢
[06:15] 其实股价卖压还是相当沉重
[06:18] 市场也开始怀疑
[06:19] 大型科技公司投入的资金都是数千亿起跳
[06:23] 那到底OpenAI投了这么多
[06:25] 它又并没有本业收入的护城河
[06:27] 它不像Amazon有电商
[06:29] 它不像Google有广告的生态系
[06:31] 它不像Meta有稳定的广告系统
[06:34] 那到底它能否借由这些护城河
[06:36] 达成爆发性的获利呢
[06:38] 所以这一波的修正
[06:40] 主要就集中在OpenAI高度绑定的供应链
[06:43] 和资本合作伙伴
[06:45] 过去我们看到的辉达博通AMD
[06:47] 在昨天也开始做适度回调
[06:49] 主要就是由内到外
[06:51] 由跟它紧密的作为大跌对象
[06:54] 跟它是属于签约性的
[06:56] 或者供应链的合作对象
[06:58] 属于小跌对象
[06:59] 那又会根据各自的比重跌幅不一
[07:02] 像甲骨文的部分
[07:03] 有60%的订单目前都来自于OpenAI
[07:06] 可是你仔细想一想
[07:07] 这个AI泡沫论有来得这么快吗
[07:10] 一天泡沫一天又崛起
[07:13] 周期哪有这么快
[07:14] 我个人更认为
[07:15] 它只是把过去的数据
[07:17] 做一系列的统整
[07:18] 找一个理由
[07:19] 让废办回跌而已
[07:20] 其实我们要这样想
[07:22] OpenAI早先在金融时报
[07:24] 或者各大投研报告当中
[07:26] 就已经释出了
[07:27] 相关性的搜寻量报告
[07:30] 的确整体而言
[07:32] 确实GBT被Cloud
[07:33] 被Gemini追赶速度非常快
[07:35] 甚至Gemini一度在实用层面
[07:37] 全面性的超越确实GBT
[07:39] 可是问题在于
[07:40] 其实大家的存量都在变大
[07:43] 什么意思呢
[07:43] 就是如果你以市占率来看
[07:46] OpenAI这几个月市占率有没有缩小
[07:48] 那肯定的Cloud这么好用
[07:51] 可是问题在于
[07:52] ChadGBT的使用量和使用人数有没有缩小
[07:55] 它的算力有没有变少
[07:57] 并没有
[07:58] 大家每天还是在生成图
[08:00] 从以前吉普利图现在变成法行图所以在这样的一个下午底下我们只能说基本上就是排名的顺序似乎改变了可是OpenAI还有所有的AI软件产业
[08:12] 仍然持续在成长当中
[08:14] 我们举例来说
[08:15] 现在大家比较关注的是
[08:16] OpenAI过去作为市场领头羊
[08:18] 它还值不值得这么高的估值
[08:20] 我们细看
[08:21] Enthropy在过去一段时间
[08:23] 是快速的逼近OpenAI
[08:25] 关键也不是说用户数
[08:26] 用户数那个base量差太多嘛
[08:28] 而是付费的企业
[08:30] 如果我们细看数
[08:31] 美国已经有三分之一的企业
[08:33] 在三月到四月
[08:34] 为Enthropy的产品来付费
[08:36] 而且快速上升
[08:37] 反观OpenAI
[08:38] 企业的采用率
[08:40] 大概就停留在35%左右
[08:43] 成长开始趋缓了
[08:44] 这个差距主要来自于
[08:46] Enthropy所主打的Cloud Code
[08:47] 还有各类型的企业插件
[08:49] 直接切入到白领的工作流程
[08:52] 让AI可以变成用来赚钱的工具
[08:54] 也不是单纯过去我们讲聊天
[08:56] 或者生成一些吉普利的图片
[08:58] 那其实也代表着AI
[09:00] 现在已经进入到下一个竞争阶段
[09:03] OpenAI它是靠消费市场起家的
[09:06] 它用CreditGBT累积了庞大的用户
[09:09] 但这种爆发成长比较难维持
[09:11] 但反观Anthropic
[09:13] 它是从开发者和专业用户来切入
[09:15] 那慢慢的往企业场景来扩张
[09:17] 现在就吃到成果了
[09:19] 因为只有企业真的愿意掏这么大笔的钱
[09:21] 我们普通人都是用订阅费
[09:23] 而且还想说可不可以借我一下账号
[09:25] 借我做一下使用
[09:26] 所以即便面对政府监管的疑虑
[09:29] 现在一律一律
[09:31] 一律一律
[09:32] 企业仍然更在意模型效能和整合能力
[09:36] 你看这一轮蝶服来的多快
[09:38] 害我吓到
[09:39] 一律一律
[09:40] 整体而言
[09:41] AI市场正在从谁用的人多
[09:43] 转向谁能够真正的
[09:45] 嵌入到企业生产力
[09:46] 所以我才讲说
[09:47] 我们看到的更多是洗牌
[09:49] 而并不是AI整体的泡沫破灭
[09:51] 那当然8520亿
[09:54] 这么高的估值
[09:55] OpenAI转向企业市场的风险
[09:58] 到底在哪里呢
[09:59] 之前我们看到
[10:00] Sane Altman他就特别提到
[10:02] 他把重心从消费端的
[10:03] Chad GPT转向企业市场
[10:05] 可是目前看起来
[10:06] 跟Enthropy的竞争
[10:08] 还是有相对大的压力
[10:09] Chad GPT本身
[10:10] 已经拥有10亿用户
[10:12] 年增不是50%到100%的超级商品
[10:15] 所以很多投资人会怀疑
[10:16] 在这种优先
[10:18] 或者说在这种优势底下
[10:19] 你要分心
[10:21] 特别去做一下企业市场
[10:22] 那反而会不会
[10:24] 让公司不够聚焦呢
[10:25] 所以奥特曼也很难
[10:27] 我们消费市场已经很大了
[10:29] 现在我要转做企业
[10:30] 可是我的算力规模还跟不上
[10:33] 那我到底要如何做取舍呢
[10:35] 你像Ensurpy的营收
[10:36] 已经快速冲高到300亿美元的规模
[10:38] 企业端是明显领先的
[10:40] 所以一哥跟二哥
[10:42] 我们讲的是消费端
[10:43] 可是企业端就不一定
[10:45] OpenAI是在上个月
[10:47] 刚刚完成最大规模的
[10:49] 1220亿美元的募资
[10:51] 背后主要还是软银出钱
[10:53] 然后有亚马逊有挥茶
[10:55] 有出一些钱来做支持
[10:57] 但是同时他也在做比较大的策略的调整
[10:59] 比如说他最近就砍掉了很多专案
[11:02] 之前那个Sora影片的生存
[11:04] 他就剔除掉了
[11:05] 太耗算力了
[11:06] 把算力集中到企业工具
[11:08] 比如说Codex
[11:09] 那问题在于频繁的向外界质疑
[11:12] 这种战略的飘移
[11:14] OpenAI要怎么保护住自己的护城河
[11:17] 重点是他的现金流
[11:18] 难道就靠募资一直进来吗
[11:20] 那他会不会有压力
[11:21] 那如果过度依赖OpenAI的这些硬体业
[11:24] 或者旗下的软体业
[11:25] 如果OpenAI无法在本轮的AI竞赛当中胜出
[11:29] 他们会怎么走下去呢
[11:30] 所以我们可以看到
[11:31] 确计BT在24年到25年的下载量
[11:34] 是成长最快的
[11:35] 之后呢
[11:36] 从去年下半年就开始有点回落
[11:38] 本来想说是因为暑假到了
[11:40] 所以去年七八月回落很正常
[11:43] 结果去年暑假以后
[11:45] 看起来大家很多大学生都改过去用Cloud
[11:48] 要不然很多的流量
[11:51] 其实还是来自于学生的研究途径
[11:53] 写报告解题目
[11:54] 那我们看到右边的企业端也是如此
[11:57] OpenAI的付费渗透率
[11:58] 在25年初进入了一波的跳升
[12:01] 结果增速就放缓
[12:02] 反而是Entropia在后面快速的追上
[12:05] 所以这也说明着资本端持续在升温
[12:09] 但实质端已经开始分化
[12:11] OpenAI的估值过去一年跳了三倍
[12:14] 现在来到8000多亿
[12:15] 直接站上全球第二大的未上市公司
[12:18] 就仅次于SpecX的
[12:19] 那现在SPEX要先上市了
[12:21] 等同于他会先把资金吸一波走
[12:23] 马斯克最近推的力度又特别大
[12:26] 我们知道
[12:27] 未上市公司开始挂牌以后
[12:29] 这么大的一家公司
[12:30] 很快的他就会纳入到ETF的名单
[12:34] 可是中间大概还要一到三个月的时间
[12:36] 那如果马斯克的推波助澜底下
[12:39] 在短短的几周之内
[12:41] 所有指数都全部纳入SPEX
[12:43] 那对于OpenAI
[12:44] 晚上市的企业是不是一个压力
[12:47] 是
[12:47] 那对于传统的科技巨头
[12:49] 会不会形成另外一股压力
[12:51] 会啊
[12:51] 因为以后的七巨头八巨头
[12:53] 也许就有SpecX
[12:54] 那总有一个人被往外挤嘛
[12:56] 所以到时候的资金回补力度
[12:58] 就会形成新的科技股的定价
[13:00] 所以我个人的看法是
[13:01] AI其实已经变成
[13:03] 很多人的生活必需品
[13:05] 没那么容易泡沫破灭
[13:06] 可是AI的冠军
[13:08] AI的赢家逻辑
[13:10] 似乎已经改变了
[13:11] 我们知道
[13:12] 现在OpenAI
[13:13] 一方面有Enzopi
[13:14] 在后面的追赶
[13:15] 另外一方面
[13:16] Google最近甚至开始
[13:18] 用开源重写了AI生态系统
[13:20] 我们根据上周的报道
[13:22] Google最近不是推出了小模型
[13:24] Gemma 4吗
[13:25] 就是表面上
[13:26] 它是在做开源模型出招
[13:28] 但实质上
[13:29] 它也在改变整个AI的竞争逻辑
[13:31] 我们讲说
[13:33] 这些模型
[13:34] 用大规模的参数角度来做观察
[13:38] 会发现
[13:39] 企业现在到底要不要
[13:41] 依赖昂贵的云端算力
[13:42] 和高阶的GPU
[13:43] 能不能用本地端的部署AI
[13:46] 对于企业来说
[13:47] 你只要成本能够下滑
[13:50] 即便功能没这么好
[13:51] 我也是可以接受的
[13:52] 所以现在Google做的就是
[13:54] 能不能把原本的资本密集生态系
[13:57] 变成普及的工具
[13:58] 对于中小型企业而言
[13:59] 那就是首次我们可以拥有自己的AI
[14:02] 而不是特别去租用云端服务
[14:05] 那这会直接动摇目前
[14:06] AI去投靠算力和订阅建立的商业模式
[14:09] 对于OpenAI的压力就非常大了
[14:11] 那这种策略
[14:12] 跟当年的Android系统蛮像的
[14:14] 先用开源渗透市场
[14:16] 再用生态去锁住用户
[14:18] 短期内来看
[14:19] Google就是
[14:20] 我现在不打算赚你钱
[14:22] 但长期来看
[14:23] 他在抢入口
[14:24] 有一天他就告诉你
[14:25] 你Google云端里面的钱
[14:27] 全部都要收费
[14:28] 你的Google项目里面的照片
[14:30] 容量太大了
[14:31] 我要收费
[14:31] 隔一阵子再跟你收钱
[14:34] 现在Google
[14:35] 对于整个生态系的影响也很大
[14:37] 尤其他有这么庞大的本业收入
[14:38] 所以如果我们细看
[14:40] 区分成两大层面
[14:41] 一个是阿发贝相关的股票
[14:44] 另外一个是OpenAI相关股票
[14:47] 你会发现
[14:47] 从去年10月份以后
[14:49] 整个AI永动机
[14:51] 短期内的均值回调
[14:52] Google相关股票
[14:54] 就一路的往上涨
[14:55] 而OpenAI
[14:56] 则是开始做滑落
[14:57] 最近4月份
[14:58] 好不容易开始反弹
[14:59] 但是呢
[15:00] 马上又遭遇这个
[15:01] 华尔街日报
[15:01] 给予的利空报道
[15:03] 其实这件事情
[15:04] 已经发生很久了
[15:05] 我们只是不确定
[15:06] 到底谁会是
[15:07] AI最后的赢家
[15:08] 所以AI到底有没有泡沫
[15:10] AI当然有泡沫
[15:11] 可是啊
[15:12] 啤酒有泡泡是很正常的
[15:14] 所以呢
[15:14] 要看的是泡沫幅度有多大
[15:16] 如果单纯从平均本益比
[15:18] 从周期角度而言
[15:19] 其实并没有想象中这么大
[15:21] 这是我个人看法
[15:22] 可是从个别公司而言
[15:23] 每个人对于个别公司的成长路径不一
[15:26] 就会形成大家针对单一公司的迟疑
[15:29] 所以啤酒有泡泡是很正常的
[15:32] 当然整杯都是泡泡
[15:33] 那当然有问题
[15:34] 那首歌怎么唱的
[15:36] 全都是泡沫
[15:39] 下一句是什么
[15:40] 你会不会倒酒
[15:44] 啤酒如果你直接倒的话
[15:47] 那当然全部都泡泡
[15:48] 你沿着杯圆倒
[15:49] 泡沫就没这么多
[15:51] 那有些企业
[15:52] 当然看起来泡泡多了一点
[15:53] 那有些企业整杯都是酒水
[15:56] 所以我个人的看法是
[15:58] 这跟算力需求的成长
[16:00] 还是属于两回事
[16:01] 简单来讲
[16:02] 你会发现市场上主要就是
[16:04] 使用量的转移注意力改变了
[16:06] 比较顶尖的学生优秀的学生的确现在是用Cloud是真的比较多一点用OpenAI像我还是使用那做一些简单的文书处理还是OK的但不管怎么说
[16:17] 我们看到
[16:18] 这一系列的这种竞争和松绑
[16:21] 它会不会牵动出
[16:23] 接下来一系列
[16:24] OpenAI相关的子企业
[16:26] 或者投资人形成的影响
[16:28] 当然是有压力的
[16:29] 我们举例来说
[16:30] 你像软银的部分
[16:32] 压力越来越大了
[16:33] 软银即便在OpenAI
[16:35] 竞争力不足的情况底下
[16:36] 由于Stacket已经投进去了
[16:38] 头都洗下去了
[16:39] 裤子都脱一半了
[16:41] 所以高杠杆的资本操作
[16:43] 这场游戏
[16:44] 软银只能继续玩下去
[16:46] 那问题在于
[16:47] 这笔投资
[16:47] 现在它继续加码OpenAI
[16:49] 快要没有短期现金流了
[16:51] 它无法用一般的并购
[16:53] 那样来用收益去支撑还款
[16:55] 解法就是
[16:56] 把资金调度变成核心能力
[16:58] 软银现在是疯狂的
[16:59] 透过银行团的融资
[17:01] 公司债资产抵押
[17:03] 甚至它还把股票给卖掉
[17:04] 还卖辉达去救OpenAI
[17:06] 短时间内凑出了数百亿美元
[17:09] 那重点是什么
[17:10] 就是要服OpenAI
[17:11] 所以不成功变成人
[17:13] 孙正义过去
[17:15] 我们也知道过去几年
[17:16] 有很多东南亚的新创企业
[17:17] 把他给拖下水了
[17:18] 但这一次能不能华丽转身
[17:20] 我们就拭目以待
[17:22] 可是回过头来说
[17:24] 当前的AI股市概况
[17:26] 很明显就是在反映
[17:28] 某种AI的不确认性
[17:29] 而这些AI的不确认性
[17:30] 不能说市场变得多空
[17:33] 变的事情是
[17:34] 市场变得更加精算了
[17:36] 变得更加聪明了
[17:37] 对于AI的企业
[17:38] 不会无脑的相信了
[17:40] 而是在对赌
[17:41] 那些已经具有竞争力的企业
[17:43] 是否能够顺势的扩大
[17:45] 但是对于没有跟上AI时代的企业
[17:48] 即便你口头一直
[17:49] 嚷嚷的喊AI AI AI
[17:51] 我也不一定会相信你
[17:52] 我们看到同指数下跌25点
[17:55] 0.05%
[17:56] 刷4万9141点
[17:58] 标普下跌35点
[17:59] 0.49%
[18:00] 刷7138点
[18:02] 纳萨克指数下跌223点
[18:04] 0.9%
[18:05] 收在24663点
[18:07] 非半下跌372点
[18:08] 3.58%
[18:09] 收在10035点
[18:11] 昨天跌蛮重的
[18:13] 跌了3.58%
[18:14] 不过它还在万点之上
[18:16] 你就知道
[18:16] 非半有时候涨多了
[18:18] 到底OpenAI
[18:19] 是不是它下跌的原因呢
[18:21] 我看只是找个理由回档而已
[18:23] 其实我们过去所提过
[18:25] 这种乖离的回档现象
[18:27] 是很自然的
[18:28] 甚至都不一定是OpenAI
[18:29] 或者中东战士的影响
[18:31] 我们过去看
[18:32] 很多短期经验
[18:33] 其实都是用来被打破的
[18:35] 如果你是用判断来看待这些依准
[18:38] 或者看待这些事件来做投资
[18:40] 其实都有蛮大的风险
[18:42] 有时候其实就是一寻周期
[18:44] 乖离高了有时候就低
[18:46] 你看他离四条军线离这么远
[18:48] 稍微回挡一下不是很正常的吗
[18:51] 短期经验
[18:51] 其实很多时候都是被打破的
[18:54] 比如说你对赌美国总统一定会tackle
[18:57] 有时候他不tackle
[18:58] 主动型ETF一定会跑赢大盘
[19:01] 等到熊市的时候他就跑出大盘了
[19:03] 元宇宙一定是主流
[19:04] 想不到隔年就变电动车
[19:06] 隔年又变5G
[19:07] 隔年又变成AI
[19:09] 这种需要判断的投资策略
[19:11] 其实都是有风险的
[19:12] 所以我们才讲说
[19:13] 投资一定要依循周期
[19:15] 不要依循判断
[19:16] 不要去做那些
[19:17] 需要去判断一家公司好或坏
[19:20] 或者当前的总统会做出利多
[19:23] 还是利空讯息
[19:24] 你要做的是那些不断重复发生的
[19:26] 像是情绪总会有高有低
[19:29] 这段时间是不是情绪拉得有点高
[19:31] 本益比有高有低
[19:33] 景气有高有低
[19:34] 乖离有高有低
[19:36] 藉由这些不变的定律
[19:38] 人性的不断的重复
[19:39] 情绪重演
[19:40] 来做投资
[19:42] 可能相对是比较好的
[19:43] 所以我们讲说
[19:44] 很多人都会把投资经验当成规律
[19:47] 但是有时候
[19:48] 投资还是要一寻周期
[19:50] 不要一寻判断
[19:51] 那个最经典的故事
[19:52] 那不是车故障了
[19:54] 女朋友说
[19:55] 那我们找个汽车旅馆住一晚吧
[19:57] 男的说住一晚有什么用
[19:59] 女生说以前不都这样吗
[20:01] 注意一晚隔天就好了
[20:03] 难道说那是交往以前
[20:04] 现在是真的坏了
[20:06] 所以很多人会把投资经验当成规律
[20:10] 觉得变成一种信仰
[20:12] 总统一定会为了某种政策转弯
[20:15] 主动行ETF
[20:16] 长期一定要跑云大盘
[20:17] 相对之下我们讲说
[20:19] 真正可以依循的其实只有周期
[20:21] 只有情绪一直会有高有低
[20:23] 可是题材
[20:24] AI泡沫破灭的一定是电动车吗
[20:26] 一定是元宇宙吗
[20:27] 没有
[20:27] 它总会有新的出来
[20:29] 所以情绪会从极度乐观到恐慌
[20:31] 本一笔会在高估和低估之间
[20:33] 反复的震荡
[20:34] 而我个人认为
[20:35] 与其去看到底
[20:36] 是不是因为OpenAI这件事情
[20:38] 导致美股回跌
[20:38] 那废盘涨那么多回跌
[20:40] 不是很正常的吗
[20:41] 好 所以我们回过头说
[20:42] 现在美国科技公司
[20:44] 在本周即将迎来最大财报亮点
[20:47] 我们知道在过去一段时间
[20:49] 科技股在第一季的获利预估值
[20:51] 已经拉得非常高
[20:53] 平均增幅年增幅大概是41%
[20:55] 在标普500个产业当中
[20:57] 表现是相当突出的
[20:59] 但是刚才提到
[21:00] 科技股内部的分化也蛮明显的
[21:03] 最大的收益者
[21:04] 目前看起来是半导体公司
[21:05] 像辉达和美光
[21:07] 就被视为带动整体标普
[21:08] 百互利成长的重要来源
[21:10] 可是软体服务公司压力就很大了
[21:13] 我们讲的不是科技巨头
[21:15] 我们讲的是那些SaaS
[21:16] 那些商业模式的挑剔方向
[21:19] 使得现在的IGV
[21:21] 我们过去所提到的软体型ETF
[21:24] 卖压始终非常沉重
[21:26] 我们细看
[21:26] IGV到目前的价位
[21:28] 虽然好像打了一个W底
[21:30] 可是现在的价位跟去年关税战差不多
[21:34] 新年大盘都已经创高多少了
[21:36] 标普都已经创高几天了
[21:38] 费办都已经创高几天
[21:39] 纳斯达克只是都创高几天了
[21:41] 但是IGV的软体股目前的股价未接
[21:45] 居然跟去年4月份关税战差不多
[21:47] 从这件事情似乎就说明着
[21:50] 市场上针对这些软体股
[21:52] 的确真的有AI冲击的担忧
[21:55] 担心这一波的AI浪潮
[21:57] 它会改变整个生产力
[21:58] 生态的周期
[22:00] 很有可能是这些科技
[22:02] AI模型巨头都活下来
[22:03] 但是它把一系列的软体商
[22:06] 全部都给扫光了
[22:07] 所以在这样的一个效果底下
[22:09] 市场上就会更进一步去聚焦
[22:11] 到底软体股
[22:12] 能不能在应用AI的情况底下
[22:15] 获得更好的获利方式
[22:17] 要不然如果我们去看
[22:18] 我们把软体股来搭配硬体股
[22:21] 半导体股来进行比值的比例分配
[22:24] 其实15年到24年
[22:26] 你会发现长期在下滑
[22:27] 可是24年25年
[22:29] 当确认GBT大爆发
[22:31] 然后AI永动机爆生以后
[22:32] 软体型当时跑的速度
[22:35] 甚至比硬体还要来得快
[22:36] 因为很多软体公司
[22:38] 它发现了
[22:40] 借由AI所形成的新创方式
[22:42] 可是一旦AI agent
[22:44] 代理人AI成为市场主流以后
[22:46] 市场上就开始聚焦了
[22:48] 我现在确认GBT
[22:49] 现在确认GBT生成图片
[22:51] 已经蛮精准的
[22:51] 不像过去中文字
[22:53] 还有一些写的乱七八糟的
[22:54] 不知道什么意思
[22:55] 现在它生存途径这么好了
[22:57] 它要怎么救Adobe
[22:59] Adobe再大量的使用AI
[23:01] 真的会导致大家回去用Adobe
[23:03] 而不是用确诊GPT
[23:05] 随便生成一张图吗
[23:06] 这会形成极大的压力
[23:08] 到底对于Canva
[23:09] 对于一系列的软体业
[23:11] 形成的重大影响为何
[23:12] 看起来从股价层面
[23:14] 还在主体
[23:15] 市场还在焦灼当中
[23:17] 所以我们讲说过去十几年
[23:18] 市场针对科技股
[23:20] 特别是软体股
[23:21] 建立了一种
[23:22] 逢迭必买的集体记忆
[23:25] 尤其是美国股市
[23:26] 因为硬体业
[23:27] 那时候台韩在做的
[23:28] 原因很简单
[23:29] 就云端
[23:30] 订阅制
[23:31] 规模效应
[23:32] 有多少人当年是看了
[23:35] 这个祖克伯的崛起
[23:37] 有一个电影叫做社群网站
[23:39] 对于那种软体的创新产业
[23:42] 充满着遐想
[23:43] 那美国的毕业生
[23:44] 都马是想要去系股
[23:46] 谁会想要到半导体
[23:48] 穿屋成衣工作
[23:49] 没有
[23:49] 这些公司
[23:50] 每一次的外部利空
[23:52] 你看过去几年的
[23:53] 升息战争监管
[23:54] 它最后还是可以靠长期成长重新创高
[23:57] 为什么
[23:58] 它几乎零成本
[23:59] 它打code
[24:01] 运用自己的脑力
[24:02] 创造一系列的商业模式
[24:04] 这个就是过去我们看到
[24:05] 这些软体商的护城河本身
[24:07] 可是深层式AI现在降低了开发门槛
[24:10] 压缩了差异化
[24:12] 甚至把部分的软体功能给商品化你只要交代你的手机一件事情你甚至都不用经过这个软体AI就能够帮助你自动达成所以这个时候关键就不是科技股会不会持续成长
[24:25] 而是谁还能够维持过去的定价权
[24:28] 和不可替代性
[24:29] 所以我们现在才看到
[24:31] 过去我们针对科技股
[24:33] 软体股的信心
[24:34] 都觉得旧有模式就是逢迭必买
[24:36] 逢迭必买
[24:37] 现在不一样了
[24:38] 现在你逢迭必买的
[24:40] 你还跟不上大盘
[24:41] 这就是一个新的时代
[24:43] 很多时候我们看到的真实迹象
