[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 7月份的下杀
[15:43] 在去年7月份的时候股东人数国巨也不过11.2万然后到8月份12.3万9月份18.1万到10月份22万人
[15:54] 到今年6月也才26万到24万
[15:57] 结果今年7月
[15:59] 你也知道今年7月国际发生什么事情
[16:01] 居然翻倍成长到48.7万人
[16:05] 所以股价是一直跌没错
[16:07] 可是股东人数却持续创高
[16:10] 看起来大家还是很标准的
[16:13] 着色投资
[16:13] 对于个股着色投资不予置评
[16:15] 但看得出来
[16:16] 大家对于台股的行情的看法
[16:19] 很明显
[16:20] 越跌越买
[16:21] 你看国际从六月份的高点
[16:23] 一路回落
[16:24] 从千元到五百元四百元
[16:27] 短短一个多月腰斩
[16:29] 不过筹码却出现了
[16:30] 比较鲜明的反差
[16:31] 股东人数就从当时的二十几万
[16:33] 到现在五十几万
[16:34] 平均每人持股
[16:36] 从7.83张降到3.97张
[16:39] 就代表中小型投资人
[16:40] 正在疯狂的进场
[16:41] 那大户就不一样了
[16:43] 你看大户就很明显的
[16:44] 持续减码趋势
[16:45] 持有400张以上的大户持股比率
[16:48] 从74.8%
[16:49] 一路降到71.1%
[16:52] 超过1000张的大户人数
[16:53] 也从219人降到192人
[16:56] 大户持股比率
[16:57] 从69.6%下滑到66.7%
[17:01] 这个很明显
[17:02] 就明显有大户持续调节的迹象
[17:06] 开始出现了
[17:06] 这是另外一层
[17:07] 大家关注的重点
[17:09] 所以我觉得散户持续参与其中
[17:11] 在大盘没什么问题
[17:12] 但各股的层面
[17:13] 哇那下一次他要重返千元
[17:15] 那肯定有一点难度
[17:17] 因为大多数的大户都在离开
[17:19] 好那第三件事情
[17:20] 是看的是韩国股市
[17:21] 韩国股市本人的反弹
[17:23] 也是来得最为强劲的
[17:24] 礼拜五SK海力是单日暴涨三成
[17:27] 三星涨了27%
[17:28] 韩国COSPI指数涨幅有18%
[17:31] 好那现在问题来了
[17:32] 杠杆型的ETF成交量又回来了
[17:34] 我们不确定
[17:35] 到底是属于短线内的资金调节
[17:38] 还是说赌徒又回来了
[17:40] 哎呦赌徒不可能收手的
[17:42] 赌徒可能在想
[17:44] 这一次赢回来我就收手啊
[17:46] 毕竟我们知道
[17:47] 目前全球单一杠杆型ETF
[17:50] 最高的规模
[17:51] 几乎都集中在记忆体相关ETF
[17:54] 你像是两倍的三星电子
[17:56] 两倍SK海力士
[17:57] 两倍美光
[17:58] 到目前为止
[17:59] 规模仍然在高位
[18:01] 它只是资金量并没有创高
[18:03] 但不代表目前的规模
[18:05] 做集体性的下滑
[18:06] 尤其在美国股市市场
[18:07] 仅仅只有韩国本地挂牌的两倍型ETF规模减少
[18:12] 所以如果现在市场上还引起进一步的热情
[18:16] 那是否意味着韩国股市的去杠杆也不是这么的容易呢
[18:20] 至少我觉得本土市场算是蛮清晰的
[18:23] 因为整个上半年当时我们提到
[18:25] 管理资产的规模在杠杆型ETF一度突破500亿美元
[18:29] 那杠杆曝血占流通的市值比重来到3.2%
[18:33] 不过最近已经回到2%了
[18:35] 那杠杆型的ETF规模
[18:36] 也大概回到三月份左右的水准
[18:38] 再往下一点点
[18:40] 韩国股市就完成去杠杆化了
[18:42] 那就看这一波反弹
[18:43] 会不会资金又加回去
[18:45] 如果没有的话
[18:46] 那筹码就洗得很干净了
[18:47] 不过这个故事也告诉我们
[18:49] 没有那个屁股
[18:50] 就不要开那个杠杆
[18:51] 散户的宿命就是小赚大赔
[18:54] 解套快跑
[18:56] 但是这一波
[18:57] 如果你又重新赌回来
[18:59] 那洗盘可能有更长一段时间
[19:01] 这叫看对趋势
[19:02] 死在波动
[19:03] 我们当然都知道
[19:05] 美国股市
[19:06] 韩国股市最后还是会创高了
[19:07] 但是你要熬过现在的波动
[19:10] 举一个比较直观的
[19:11] 大家最近在看这条新闻
[19:12] 是24岁的阿森布伦纳
[19:15] 他是号称新版股神
[19:18] 上一个股神是Cathy Wood
[19:20] 主要他把情感认知基金
[19:23] 迅速扩张成450亿美元的规模
[19:26] 也因为预测AI未来10年的长文
[19:29] 被人称之为新股神
[19:31] 不过他的基金由于高度集中在半导体
[19:34] 能源和基础建设
[19:36] 并大量的借钱放大部位
[19:38] 你说他看的趋势有改变吗
[19:39] 也没有改变
[19:40] 不过短短基金一个月以内
[19:43] 亏损了67%
[19:44] 银行随即追缴保证金
[19:46] 最后变成越卖越跌
[19:48] 越跌越卖的恶性循环
[19:49] 压力相当大
[19:51] 那很多本轮的新股神
[19:52] 他看的趋势
[19:53] 其实也没有什么太大改变
[19:55] 但是资金的控管
[19:56] 有时候就可能会因此受到伤害
[19:59] 当然了
[19:59] 如果你是很难过
[20:03] 刚好是今年唯一一次买在6月份的
[20:05] 跟他一样
[20:05] 你也不要太难过
[20:07] 那高点套牢
[20:09] 你也不用因此而回形
[20:11] 尤其是ETF全知行
[20:12] 至少你撇开费办
[20:15] 大部分的ETF根本没什么跌
[20:17] 你只要撇开费办不看
[20:19] 撇开韩国股市不看
[20:20] 撇开台股不看
[20:22] 全球ETF其实6月7月份没有太大波动
[20:25] 这个标普派指数
[20:27] 月跌幅才0.1%
[20:28] 当然如果你是
[20:30] 今年可能一直在看的行情
[20:32] 就六月份忍不住去下单
[20:33] 也不用太难过
[20:34] 这是一个学习的经验
[20:36] 你只要没被洗出场
[20:37] 在市场上
[20:38] 永远都有下一次的投资机会
[20:39] 市场下跌的时候
[20:41] 很多人都觉得
[20:42] 早知道等跌一点再买
[20:43] 但真正走进市场之后才会发现
[20:46] 没有人知道底部在哪里
[20:47] 只要趋势还没有止稳
[20:49] 提早进场晚一点进场
[20:51] 其实都是有可能面临亏损
[20:52] 你以为跌了20%再买
[20:54] 心态压力不会一样大吗
[20:56] 一样你会害怕就去跌
[20:57] 尤其是已经跌了一整段了
[20:59] 所以真正决定投资结果的
[21:01] 不是说你刚好买在高点
[21:03] 或者绝对低点
[21:04] 是你的资金配置
[21:05] 你的持股品质
[21:06] 还有你是否有能力
[21:07] 能够撑过景气循环
[21:09] 我之前才看到一种说法
[21:11] 你像你跟你朋友
[21:13] 100元买的股票
[21:14] 跌到50元你去抄底
[21:16] 然后最后跌到5块
[21:19] 一个是100块他买的
[21:20] 一个是50块你去抄底的
[21:22] 最后大家都跌到5块钱
[21:24] 100块跌到5块钱
[21:25] 跌幅是亏95%
[21:27] 50块跌到5块钱
[21:30] 你是亏90%
[21:31] 那好像也没有什么太大区域
[21:33] 一个亏9乘5
[21:34] 一个亏9乘
[21:35] 都是100块跌到5块
[21:37] 一个是50块跌到5块
[21:38] 所以有时候我们这样讲
[21:40] 其实也不代表说
[21:42] 价格跌了一半
[21:43] 风险就少了一半
[21:44] 有时候最终还是
[21:46] 你买的这项产品
[21:47] 长期有没有机会创高
[21:48] 还有你的心性
[21:49] 是否能够顺势的熬过
[21:51] 我认为这才是
[21:52] 大家最为关注的重点
[21:53] 当然我们回过头说
[21:55] 现在整个美国股市
[21:57] 市场比较聚焦的
[21:58] 还是来自于
[21:59] 那市场最后会怎么定调本人的七巨头
[22:01] 那有的自由现金流表现得很差劲
[22:04] 结果他照样股价给你上涨
[22:06] 有的自由现金流表现已经相对好的
[22:08] 他股价照样给你下跌
[22:10] 事实上我们看到
[22:11] 在七巨头层面
[22:12] 很明显在七月份并没有办法
[22:15] 找到一个统一的共识
[22:17] 来做市场的叙事论调
[22:19] 可能还是要等本波的财报季
[22:21] 完全来到结束以后
[22:22] 再来看总体的资金流向
[22:24] 因为七巨头其实内部走势有点分歧
[22:26] 这一次你像Meta的卖压
[22:28] 还有我们看到测试案卖压
[22:30] 相对来的沉重
[22:31] 可是今年苹果本来
[22:33] 在AI的浪潮当中
[22:35] 股价表现相对平稳
[22:36] 结果在财报季公告之后
[22:38] 反而形成适度显著沉压
[22:40] 我们只能说
[22:41] 市场上对于七巨头的心绪
[22:43] 是在本轮财报季
[22:44] 似乎没有真正形成
[22:46] 唯一可以确定的事情是
[22:48] 其实大家的基本面都在变好
[22:50] 整体市场预估
[22:51] 在2026年二季度
[22:53] EPS成长幅度很夸张
[22:56] 你不要说因为股价的反应
[22:58] 而忽略了现在的基本面事实
[23:00] 本来预估大概就26%左右的年增幅
[23:04] 现在已经从高到45%了
[23:07] 这件事情就意味着
[23:09] 目前七巨头所带动的获利增长幅度
[23:12] 对于标普牌指数有非常极大的贡献
[23:15] 现在标普牌指数的净利润
[23:18] 也已经从2020年的10.9%上升到15.7%
[23:23] 已经创下本世纪的新高
[23:25] 所以这些巨头不只是钱赚得多
[23:27] 获利赚得多
[23:28] 而且是赚钱的效率比想象中还要好的非常多
[23:32] 我们看一下世大指数表现
[23:33] 道琼指数上涨276.0.53%
[23:37] 收在52485点标普上涨52.0.7%收在7489点纳斯达克指数上涨251.1%所在25373点费办上涨8点
[23:49] 0.07%
[23:49] 所在11311点
[23:52] 那我们当然知道
[23:53] 美股股市现在就是费办跌幅稍微重一点
[23:55] 整个标普白指数
[23:57] 今年其实最大跌幅
[23:59] 我们这边区分成两项数据
[24:02] 一个是DD
[24:02] 就是单年度
[24:03] 年中的最大跌幅
[24:05] 一个是TR
[24:06] 就从年初到现在
[24:08] 整体的市场概况
[24:10] 其实你会发现
[24:11] 今年最大跌幅
[24:12] 大概也不过是10%到12%
[24:14] 而整体今年标普牌指数
[24:16] 都还算是显出的正报酬
[24:18] 而且你会发现
[24:19] 标普牌指数在背后
[24:21] 当年度跌幅
[24:22] 常常有中期回调的大修正
[24:24] 你看去年
[24:25] 2025年
[24:26] 是不是有18%的大修正
[24:28] 在2022年有25%的大修正
[24:30] 2020年有33%
[24:32] 可是很多时候
[24:33] 当年报酬反而是正值
[24:35] 因为年底涨回来了
[24:37] 所以我们才讲到
[24:38] 美国股市的三代牛
[24:39] 至少从08年以来
[24:41] 你发现08年以来
[24:43] 撇除08年
[24:44] 09年到2026年
[24:46] 居然只有两年
[24:47] 从年初到年尾是收跌的
[24:49] 当然内部的回调幅度都很大
[24:52] 可是还是可以看得出来
[24:53] 美国股市过去十几年来的走势
[24:56] 是相当之坚挺
[24:57] 许多投资人
[24:58] 希望享受长期投资
[25:00] 所带来的丰厚报酬
[25:01] 但是如果你不愿意经历
[25:03] 中途的剧烈回挡和波动
[25:05] 而且选择勇敢参与的话
[25:06] 那几乎你要知道
[25:08] 每一轮牛市背后
[25:09] 其实都伴随着一次又一次的大幅修正
[25:11] 那你永远想要等到股市确认上行
[25:15] 利多展出的时候再行进场
[25:17] 那你的成本价肯定会因此而谈高
[25:20] 我们必须这样讲
[25:21] 有些机会就是被这种投资的老实人给送走的
[25:26] 就是有些机会不是因为看错
[25:28] 是因为很多人现在就是想要等到100%确定
[25:31] 才敢出手
[25:32] 然后三月份
[25:33] 每一站是确定
[25:35] 我在结束之后
[25:36] 我再出手
[25:37] 关税站
[25:38] 等关税站打完之后
[25:39] 我再买股票
[25:40] 很多人都这样讲
[25:41] 那本轮的股价下杀
[25:43] 等晶片股确定
[25:45] 好转趋势确认之后
[25:46] 再出手
[25:47] 总想要等到
[25:48] 估值更便宜
[25:50] 等利空出尽
[25:51] 等风险完全消失
[25:52] 结果等着等着
[25:53] 你发现资金
[25:54] 早已经流向下一个机会了
[25:55] 企业的获利持续创高
[25:57] 所以很多机会
[25:59] 就是这样子
[25:59] 在你手中
[26:00] 一刻一刻的
[26:01] 把它给送出去
[26:02] 市场不会等
[26:03] 所有人都看懂
[26:04] 才开始上涨
[26:05] 真正的大行情
[26:06] 本来就是集中在
[26:08] 充满怀疑的时刻
[26:09] 那现在怀不怀疑
[26:10] 这是我的看法
[26:11] 昨天才网路上
