[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 但大多数的实质观点
[05:16] 市场上可以因为有谈判而短暂的累贯
[05:19] 但是也不能够把它当成已经解决的问题
[05:22] 真正的变数还是有三件事
[05:24] 第一就是伊朗是否公开承认条件
[05:27] 第二伊朗是否已经出现了实质的停火进展
[05:31] 第三荷姆这海峡是否已经恢复了正常通行
[05:34] 这三点如果没有同时成立之前
[05:36] 那感觉更像是短线情绪的催化剂
[05:40] 它并不是一个趋势反弹的讯号
[05:42] 即便川普口头都已经这样讲
[05:44] 伊朗已经同意不愿意持有核武了
[05:47] 所以我们要看伊朗接下来几个小时
[05:49] 会不会反驳
[05:50] 那当然我们也不能够
[05:51] 完全单方面相信川普了
[05:53] 除非写进古兰经
[05:55] 要不然我也不太相信
[05:57] 我们就看一下后续如何发展
[05:59] 可是市场从价格来看
[06:00] 是有点相信的
[06:02] 希特勒这种运用价格
[06:03] 刚才早盘一度重叠3.8%
[06:06] 每桶从100多块
[06:07] 现在又回到88块了
[06:08] 虽然还是不算便宜
[06:10] 但是回档幅度也偏大
[06:12] 的确从整个26年的油价走势
[06:14] 它已经算是数十年来的最强开局
[06:17] 其实现在压力很大的原因在于
[06:19] 在5天到6天
[06:20] 3月份就结束了
[06:22] 那等同于3月份的CPI
[06:23] 按照油价这种上涨
[06:25] 看起来回不去了
[06:26] 所以川普还有5天的时间
[06:27] 让油价回归
[06:28] 让汽油价格赶快反应
[06:30] 要不然3月份数据出来
[06:32] 4月5月连总会看到这样的数据
[06:34] 它其实也没有太多降息的空间了
[06:37] 从年初以来
[06:38] 原油价格上涨幅度大概是66%
[06:41] 这个远远甩开
[06:42] 过去40年的任何年份
[06:44] 甚至连22年能源危机时的节奏
[06:47] 都被提前复制
[06:48] 这也就说明着本轮的涨势
[06:50] 是涨得又快又集中
[06:53] 几乎在短短几周内就完成了定价
[06:55] 跟过去那种
[06:56] 对于通膨的倾劳引优的担忧
[06:59] 还涨格局不太一样
[07:00] 它是两周内一次到位
[07:02] 所以市场上也进入那种
[07:04] 由新闻来驱动危机的波动
[07:06] 我们看到在最近
[07:08] 通常是一条新闻就瞬间翻盘
[07:10] 主导的情况
[07:11] 比如说周一的时候
[07:14] 当时也是几分钟内
[07:15] 相互矛盾的讯息来回甩动
[07:17] 油价变成迷因股一样暴涨暴跌
[07:20] 那更麻烦的是
[07:21] 避险本身也很尴尬
[07:22] 一方面现在避险成本越来越高
[07:24] 你像标普一个月5%跌幅的
[07:26] 保护成本已经不太便宜了
[07:28] 另外一方面
[07:29] 市场又常常在短时间内大幅反转
[07:31] 导致避险还没有发挥实质效果
[07:34] 它就失效了
[07:35] 资金配置也变得很极端
[07:36] 现在对冲资金很明显在减码股票
[07:39] 但整体部位也没有到极度悲观的位置
[07:42] 意味着市场好像也没有到达
[07:44] 极度恐慌的地步
[07:45] 可是如果是从CNN恐惧贪婪指数等指标
[07:49] 现在乖离回调又很大
[07:50] 就变成有的指标告诉你
[07:53] 现在乖离回调很大该买入了
[07:54] 有的指标告诉你
[07:56] 现在恐慌才刚刚开始
[07:57] 有的指标告诉你
[07:58] 就算你现在避险也赚不到钱
[08:00] 有的指标告诉你
[08:01] 现在买美元也太晚了
[08:02] 从新闻所驱动的危机
[08:04] 就变成当前市场波动率加大的主流
[08:07] 当然川普的突然转弯
[08:10] 到底是他本人想转弯
[08:11] 还是为未来的战事来进行铺垫
[08:13] 我们根据彭博社的报道
[08:15] 目前根据多家外媒报道的总和
[08:20] 川普这一次
[08:21] 是受到盟友和现实压力底下
[08:24] 释出的一种和缓态度
[08:26] 基本上川普还是相信
[08:28] 他能够完全击溃伊朗政权
[08:30] 只不过中东各国
[08:32] 希望可以先谈再说
[08:34] 美国盟友以及中东国家私底下警告由于这些设施基础建设如果被摧毁的话那中东局势就难以瓦解或者说会有全面的失控难以降温所以最好进行战术性后退
[08:47] 但是不要进行战略转向
[08:48] 先谈嘛
[08:49] 他不谈
[08:50] 我们才可以名正言顺的
[08:52] 采取进一步的军事动作
[08:53] 那之所以这样讲
[08:54] 是因为我们看战事
[08:56] 其实就目前来看
[08:57] 整体军事控管的部位
[09:00] 或者说对于中东的军事投入
[09:03] 在过去两天还没有减少
[09:05] 我们细看
[09:06] 中东目前大概有6万名美军
[09:08] 昨天我们有提到
[09:09] 川普数千名的海军陆战队
[09:11] 和两个远征单位
[09:12] 目前已经逐步到位
[09:14] 与此同时
[09:15] 在昨天82空降师的调动
[09:17] 也陆续抵达中东
[09:19] 这一次就不只是海军陆战队
[09:21] 全空降师都已经逐步到达
[09:23] 那等同于
[09:24] 因为82空降师
[09:25] 过去我们看到
[09:25] 最大的价值特点
[09:26] 就是来自于快速的部署能力
[09:28] 他可以在24小时内进场
[09:30] 主要是夺取机场
[09:32] 控制关键据点等等
[09:34] 大家有看过诺曼蒂大工匠
[09:36] 所以从这件事情也看得出来
[09:38] 边打边谈的一个双轨博弈
[09:41] 已经正式成立
[09:42] 那在这项效果底下
[09:43] 等同于市场上
[09:45] 还是很相信川普能够释出更好的讯号
[09:48] 这是利多的主要根本来源
[09:49] 可是又害怕
[09:51] 他所有的动作
[09:52] 只是一种边打边谈的节奏
[09:54] 所以今天我们就要来做更进一步观察
[09:56] 市场上现在进入一个边打边谈的节奏以后
[09:59] 关于任何停火谈判
[10:01] 甚至只是语气转变的讯息
[10:03] 都有可能会直接反映在短期的股价和油价身上
[10:06] 但问题是这些都是短期情绪的来回摆荡
[10:09] 真正背后没有改变的是风险本身持续存在
[10:13] 那第二件事情是美国内部的压力也开始浮现
[10:15] 从油价农业成本到选民的支持
[10:18] 战争正在变成一个现实的政治成本
[10:21] 迫使政策出现中期的摆荡
[10:23] 这也是为什么市场上看起来会有如此剧烈的短期反应
[10:28] 对于长期共识居然一致
[10:30] 就是大家都相信
[10:31] 中期选举之前
[10:32] 战事是一定要结束的
[10:33] 因为大家有一个长远的预估值
[10:35] 那如果把视角拉得更长
[10:37] 你会发现那股市
[10:38] 现在最大的问题是
[10:40] 还没有完全被定价回基本面
[10:42] 把中东局势给撇开
[10:44] 私人信贷的压力
[10:46] 目前开始浮现
[10:47] 加上科技巨头
[10:48] 在高利率和监管环境底下的估值
[10:50] 持续被压缩
[10:52] 那这一波从短线消息交易
[10:54] 如果真的在未来几天落幕的话
[10:56] 那终究要回归到
[10:58] 中长期的基本面的重估
[11:00] 而现在看起来
[11:02] AI由私人系弹端
[11:03] 所引发的资金缺乏
[11:05] 可能是最大问题
[11:06] 事实上我们看
[11:08] 就目前伊朗
[11:09] 为什么我们讲说
[11:10] 也是有和谈的条件存在
[11:12] 伊朗的电力结构
[11:13] 跟台湾差不多了
[11:15] 仔细看了一下
[11:16] 伊朗电力结构
[11:17] 几乎是天然气一边倒
[11:18] 全国大部分的发电
[11:20] 全部都是橘色
[11:22] 我们看到的天然气机组
[11:23] 而且容量都很大
[11:24] 一打整个城市
[11:26] 大概就已经毁灭了
[11:28] 或者说停电
[11:29] 核电的部分
[11:30] 大概就一座
[11:31] 占比非常低
[11:32] 伊朗也快要达成非核家园了
[11:34] 这只有一座
[11:35] 这么大的国家
[11:36] 也只有一座而已
[11:37] 那我们要知道
[11:38] 川普说这五天不打
[11:40] 也并不是不针对
[11:42] 伊朗的军事基地采取攻击
[11:44] 而是不攻击任何的发电站
[11:46] 那如果未来五天出现任何变数
[11:48] 采取大规模的空袭
[11:50] 尤其针对民间基础设施的话
[11:52] 那是否就意味着
[11:53] 伊朗本身内部会面临到极大压力
[11:56] 天然气压力
[11:57] 也是其中大家观察的重点
[11:59] 那你说他不是说停火了
[12:01] 兵不厌诈
[12:03] 这是战争
[12:04] 哪有什么百分之百停火的
[12:06] 只是说打是为了谈
[12:08] 那谈不好那就继续打
[12:11] 打到可以一个谈的位置
[12:12] 这个就是我们过去观察到的真实迹象
[12:15] 好那回过头来说
[12:16] 中东这一次所带来的石油冲击
[12:18] 目前全球大概是1600万桶
[12:21] 每天的石油被供应链给卡住了
[12:23] 到了4月
[12:25] 即便使用各种唠叨和政策介入
[12:27] 大概还是有接近1000万桶的缺口
[12:30] 你像沙烏地阿拉伯
[12:31] 昨天我没有提到说
[12:33] 他现在用红海的管线来增加输出
[12:35] 阿联的部分是提升
[12:37] 查伊拉的运量
[12:40] 加上IEA目前跟美国战略营业的储备
[12:43] 大概也是补几百万桶
[12:45] 应该是完全没办法填补这样的缺口
[12:48] 那就意味着
[12:49] 全球的石油生命线出现重大改变
[12:52] 这个时候
[12:53] 很大程度又取决于叶门的情况
[12:55] 为什么呢
[12:56] 因为我们看线图
[12:57] 你把波斯湾的原油往左运
[13:01] 运到红海的盐布港
[13:03] 现在就是这样子
[13:04] 基本上波斯湾越来越热闹
[13:07] 应该讲说波斯湾现在越来越冷清
[13:09] 然后红海越来越热闹
[13:11] 所以红海所运出的原油会越来越多
[13:13] 红海运出的原油
[13:15] 它迟早会遇到福塞武装
[13:17] 所以福塞武装是否有受到伊朗的支柱
[13:20] 采取更进一步的报复行动
[13:21] 也是大家观察的重点
[13:23] 不过目前看起来还没有
[13:24] 不过以色列采取的动作
[13:26] 是完全没有停下来的迹象
[13:28] 以色列在本周
[13:29] 持续为了要打击黎巴嫩的真主党
[13:32] 可能对于伊朗的空袭
[13:33] 稍微给美国有喘息谈判的空间
[13:36] 但是针对黎巴嫩所采取的军事行动
[13:39] 完全没有停止迹象
[13:41] 我们看到目前又采取了
[13:42] 进一步针对黎巴嫩的打击
[13:45] 现在特别在伊拉克到叙利亚
[13:47] 一路到黎巴嫩边境
[13:48] 就形成了第二战线
[13:50] 这个第二战线会不会引起
[13:52] 进一步红海的恐慌
[13:53] 值得做一些留意
[13:54] 那回过头来看
[13:56] 石油的部分
[13:56] 我们看到各国都采取了
[13:58] 一定程度的干预政策
[13:59] 但是现在更进一步观察的是害器
[14:02] 我们过去提过
[14:04] 油价开始产生外溢效果
[14:06] 但更底层的工业气体
[14:08] 是很关注的重点
[14:10] 工业气体是因为
[14:11] 各大半导体厂
[14:12] 它的储备量
[14:13] 基本上都是一记起跳的
[14:15] 影响没这么大
[14:16] 可是如果它变成一个
[14:17] 常态化的战争
[14:18] 那很有可能就有
[14:19] 进一步的囤货效应
[14:20] 卡达目前供应的全球
[14:22] 大概是三成的氦气
[14:23] 氦气又是半导体制程当中
[14:25] 不可替代的关键材料
[14:27] 特别是在晶圆制程当中的冷却
[14:29] 和相关中下游环节
[14:33] 一旦卡达的天然气设施受损
[14:35] 那氦气才能下滑
[14:36] 短期内当然不会立刻反应
[14:38] 因为有一个季度
[14:39] 但供应链迟早会卡住
[14:40] 如果我们细节观察
[14:42] 其实美国还是有44%
[14:43] 卡达30%
[14:44] 所以这一波
[14:45] 真的爽到的都是美国的页岩油商
[14:48] 澳洲的天然气商
[14:49] 那现在又爽到了美国的氦气商
[14:52] 工业气体上
[14:53] 从这样的一个角度来看
[14:54] 那等于短期的冲击结构
[14:56] 有没有可能变成
[14:57] 长期性的结构性失衡
[14:59] 全球的氦气需求
[15:01] 25年大概是1.76亿方米
[15:03] 直接翻倍到2035年的3.2亿
[15:06] 那背后就是来自于
[15:08] 半导体正在爆发
[15:09] 所以如果半导体持续爆发
[15:10] 那就会接下来处于缺电
[15:12] 缺天然气
[15:14] 或者说缺工业气体
[15:16] 那当然你说现在
[15:18] 它造成的结果是什么呢
[15:19] 就是大家更重视储能
[15:21] 更重视再生能源
[15:22] 甚至更重视核能
[15:24] 虽然现在油价
[15:25] 好像尝试的不断的突破100美元
[15:28] 可是另外一方面
[15:30] 电池成本已经正式跌破100美元的门槛
[15:33] 而且速度很快
[15:34] 无论是电网的储能
[15:35] 还是电动车的电池
[15:37] 价格在过去几年都在明显下滑
[15:39] 甚至比能源危机前还要低
[15:41] 这也就说明
[15:42] 过去因为无法稳定供电
[15:44] 最终还是要靠天然气来决定电价
[15:46] 那现在电池成本
[15:47] 23年到24年下滑幅度非常快
[15:50] 让再生能源现在趁这一波的中东危机
[15:53] 也许具有真正取代化石燃料的能力
[15:56] 同样逻辑也发生在汽车
[15:59] 我们前两天提过
[16:00] 当电池成本跨过临界点以后
[16:03] 电动车在购买价格上
[16:05] 开始可以跟燃油车直接进行竞争了
[16:08] 因为现在充电
[16:09] 真的比去加油还要来得便宜
[16:11] 其实也就意味着
[16:12] 我们的发电的价格的成本上升
[16:16] 是追不上短期内油价的上升
[16:18] 因为油价会有政府的吸收端
[16:21] 所以在这样的效果
[16:22] 应该讲说油价
[16:23] 台湾政府有吸收端
[16:24] 可是油价在其他国家并没有吸收端
[16:26] 其他国家大部分所采取的是
[16:28] 属于电力价格的动涨
[16:29] 这也使得电动车在短期内
[16:32] 更具一步优势的放大
[16:34] 这也给投资朋友做一些思考
[16:35] 当然我们讲这就是短期内的现象
[16:38] 看起来好像对于美国的影响都不是特别大
[16:40] 美国的原油库存过去四周都在上升
[16:43] 美国现在的工业气体厂商也赚得盆满钵满
[16:47] 一元油商也赚得盆满钵满
[16:49] 澳洲的天然气商也赚得盆满钵满
[16:51] 阿拉斯加你已经知道
[16:52] 虽然现在还没有盖好
[16:53] 阿拉斯加未来几年的供应链调整
[16:56] 大概也是赚得盆满钵满
[16:57] 可是对于美国内部的民营压力就不太一样了
[17:00] 如果我们细节观察
[17:01] 伊朗战事这一次的确是大幅侵蚀了川普的政治成本
[17:05] 从现实来看油价上涨
[17:07] 汽油变贵
[17:08] 是每个美国人现在每天看到的压力
[17:11] 过去大家就已经有点不满了
[17:13] 从民调呈现
[17:14] 現在加上這場中東戰事
[17:16] 重點並不在民意上到底支不支持這場戰爭重點是他已經对于川普那种想要避免战争压低物价的那种目标已经开始出现松动
[17:27] 所以支持度开始出现比较显著的动摇
[17:30] 我们细节观察
[17:31] 根据经济学人民调
[17:34] 川普在伊朗议题上的支持度
[17:36] 不止没有扩大
[17:37] 反而在中间选民出现了
[17:39] 比较明显的降温迹象
[17:40] 共和党内部现在还是有高度支持
[17:42] 可是在过去一周
[17:44] 从强烈支持比例来看
[17:47] 有明显下滑
[17:48] 大部分都转向普通支持
[17:50] 铁粉开始出现松动
[17:51] 那独立选民一直都没有高度认可
[17:53] 支持度更进一步下滑
[17:55] 就代表着
[17:55] 大家其实不希望
[17:57] 长期陷入在这条泥沼当中
[17:59] 那长期到底是多长
[18:01] 至少不能够拖到中期选举
[18:03] 这是主流共识
[18:04] 油价上涨的痛感
[18:05] 其实还是目前川普选民
[18:07] 最大基本盘
[18:08] 如果打仗
[18:09] 但是油价没上涨
[18:10] 好像也不一定百分之百反对
[18:13] 如果我们从美国各州的汽油价格来看
[18:16] 你会发现涨幅最高的地区
[18:18] 反而是2024年投给川普的州
[18:20] 红色区块
[18:21] 你像德州
[18:22] 佛州
[18:23] 北卡都在前半端
[18:24] 相对的民主党州一直都很高
[18:27] 所以加州免英
[18:28] 那涨幅反而相对没有看这么多
[18:30] 这也就说明了
[18:32] 过去一个很明显的政治经济矛盾
[18:35] 支持能源强硬政策和地缘对抗的选民
[18:38] 现在是最受能源成本冲击的
[18:41] 投给川普
[18:42] 结果我要在加油站买单
[18:44] 这个是市场上看起来压力最大的
[18:47] 这也是我们看到
[18:48] 在美国内部政策比较有趣的情况
[18:51] 那另外一个就是红州的农业州
[18:53] 虽然川普在过去几个季度
[18:55] 的确为美国选民取得了庞大的订单
[18:57] 大家知道黄豆现在的出口量
[19:00] 是非常非常顺畅的
[19:01] 美中之间的大豆协议
[19:03] 仍然在实施当中
[19:04] 可是美国农民的压力也越来越大了
[19:07] 原因很简单
[19:08] 目前中东战争所带来的连锁效应
[19:10] 正在冲击美国的肥料价格
[19:13] 如果细看
[19:14] 现在尿素价格是少数在大宗商品当中暴涨的
[19:18] 因为我们知道这一波除了油价天然气价格上涨
[19:21] 大多数大宗资产都没上涨
[19:23] 金价银价也是叠的乱七八糟
[19:25] 可是常见的尿素价格短期内涨了20%
[19:28] 这对于农民来说就不是小波动了
[19:30] 它根本就会显著的侵蚀掉利润的致命压力
[19:34] 从阿肯社中的盗农来看
[19:36] 单季成本大概是20万美元左右
[19:39] 那农业本来就是一个低利润的产业
[19:43] 那农民现在已经在考虑要改种
[19:46] 比较少依赖肥料的作物
[19:48] 单气成本一个季度就多20万
[19:50] 这个幅度也算蛮多的
[19:52] 那有没有可能是压垮
[19:54] 美国农民最后一根稻草
[19:55] 因为美国知道这几年
[19:57] 农产品价格涨幅也不是特别显著
[19:59] 设备成本上升
[20:01] 土地成本上升
[20:02] 之前也有关税冲击
[20:04] 好不容易跟中国谈电的协议
[20:06] 结果才谈不到两个季度
[20:08] 现在又打仗了
[20:09] 尿素价格又大涨
[20:11] 这个规模资金流入的情况
[20:14] 从价格来看
[20:15] 差不多等于2022年乌二战事的水准
[20:18] 这个是一方面
[20:19] 我们看到内部经济
[20:21] 在受到通膨内部冲击的影响
[20:24] 那另外一部冲击
[20:25] 就是过去在内政问题上
[20:27] 川普总是可以借由非法移民的打击
[20:30] 来获取更高的民调
[20:31] 我们如果细节来看
[20:32] 现在反而出现了一些副作用
[20:35] 第一个是当然前阵子
[20:36] 米尼亚波利斯
[20:37] 在内部引起了一些争议
[20:39] 有些人对于川普的非法移民政策
[20:42] 觉得好像必须要稍微更稳健一点
[20:44] 比较好
[20:45] 另外一方面
[20:46] 川普的强化移民执法
[20:47] 已经对于美国实体经济
[20:49] 产生了部分冲击
[20:50] 像建筑业 农业 餐饮业
[20:52] 这些很明显是高度依赖移工的产业
[20:55] 目前出现了显著的劳动力短缺
[20:57] 所以现在美国真的财源压力比较大
[21:00] 都是属于AI所取代的白领
[21:02] 导致现在美国很多蓝领的工程延误
[21:06] 成本上升
[21:06] 影响供应链的运作
[21:08] 如果举例来说
[21:09] 德州区域的部分
[21:10] ICE因为扫荡行动
[21:12] 让大量的工人不敢上班
[21:14] 包括合法移民和美国公民
[21:17] 甚至都会害怕
[21:19] 可能会有进一步冲突
[21:20] 而减少外出
[21:21] 直接抑制了劳动供给和消费活动
[21:24] 数据显示
[21:24] 2025年美国出现了数十年来
[21:27] 首次的美国移民的禁一出
[21:30] 这个看了不是非法移民
[21:31] 是总体移民
[21:32] 看起来有些人正在离开美国市场
[21:35] 那这件事情其实也意味着
[21:37] 美国的劳工利益的稀缺
[21:39] 它已经从下游端
[21:41] 开始往上游端来做挺进
[21:43] 这个AI所取代的科技业
[21:45] 受到的裁员压力很大
[21:47] 可是对于中下游业者来说
[21:49] 我们看到的蓝领阶级
[21:50] 现在反而是大取工的
[21:52] 对于很多的中小型企业的业主来看
[21:56] 压力就更大了
[21:57] 根本找不到人
[21:58] 其实非法移民
[22:01] 虽然是非法的
[22:02] 但是对于很多美国传统小企业界来看
[22:05] 它是一个蛮好的劳动力的替代来源
[22:08] 那以前我才看到
[22:10] 有一个投资朋友分享
[22:12] 他说他住美国一个老莫
[22:14] 老莫非法移民
[22:15] 然后喜欢上一个餐厅打工的白人妹子
[22:19] 那你知道人家是拔山涉水
[22:22] 好不容易进到美国
[22:23] 通常墨西哥人身高也不是到特别高
[22:26] 身材也没有到特别好
[22:28] 喜欢金发女
[22:30] 还是有点自卑
[22:31] 想要拼一把
[22:31] 每次为了接近她
[22:33] 就去那边打工
[22:34] 有累人的工作
[22:36] 那个老莫都抢着要做
[22:38] 只为了在金发女面前表现得特别好
[22:41] 结果过几个星期
[22:43] 哥们想说自己快要赢得女孩的芳心
[22:46] 结果老板把妹子给辞退了
[22:49] 还帮这个老莫加薪
[22:51] 因为太好用了
[22:53] 所以我们讲的是
[22:54] 非法移民在短期内的政治压力
[22:57] 似乎对于川普政策
[22:59] 已经不再是一个单纯的支持度拉伸的条件
[23:02] 反而开始影响了部分内生性的经济民调变化
[23:06] 所以不管是从经济到内政
[23:07] 这几周
[23:09] 看起来未来几周你公布民调以后
[23:11] 你会发现有更进一步的下行迹象
[23:14] 这个压力可能就来得更大了
[23:15] 给投资朋友做一些思考
[23:16] 好那我们回过头来看一下
[23:18] 美欧股市的表现
[23:19] 刚才看到
[23:20] 其实都是某种程度对于伊朗
[23:22] 对于川普而言
[23:23] 中期必定要谈妥的条件
[23:25] 就变成了短期内悠张有叠
[23:28] 可是从中长期来看
[23:29] 大家都清楚知道
[23:30] 迟早这场战事要结束
[23:32] 只是大家不知道抄底的规模
[23:34] 是4月份结束
[23:36] 5月结束
[23:37] 还是要7月
[23:38] 还是要8月
[23:39] 还是到11月才结束呢
[23:40] 我到底之间要分11个月来投入
[23:42] 还是分5个月来投入
[23:44] 还是分一个季度来投入
[23:45] 还是这个礼拜就要投完了呢
[23:47] 值得留意
[23:48] 我们看美国股市四大指数变化
[23:49] 道鸿指数下跌84点
[23:51] 0.18%
[23:52] 收在46124点
[23:54] 标普牌指数下跌24点
[23:55] 0.37%
[23:56] 收在6556点
[23:58] 那萨克指数下跌184点
[24:00] 0.84%
[24:01] 收在21761点
[24:02] 三大指数都下跌
[24:04] 不过费班上涨99.1%
[24:06] 1.28%
[24:07] 收在7872点
[24:09] 现在其实市场讯息
[24:12] 很明显资金正在两边压住了
[24:14] 避险资产压住并不是特别多
[24:16] 可是大家针对AI股
[24:18] 打到年限以后的买盘又特别强劲
[24:21] 我们举例来说
[24:22] 你像中东主权基金
[24:23] 它现在是一边面对油价
[24:25] 战争和本地风险
[24:26] 但是另外一方面
[24:27] 你看像中国最近的IPO
[24:30] 有些是真的赚到很夸张的报酬
[24:32] 像阿布达比投资局投资的
[24:34] MiniMax
[24:35] 从6500万
[24:37] 投到接近4亿美元
[24:38] 报酬超过6倍
[24:40] 沙尔的阿美投资的智普
[24:42] 从3000万到4亿美元
[24:43] 整个东亚地区
[24:45] 香港特别明显
[24:46] 受到这一波中东局势侵扰
[24:49] 所引起的资金回流
[24:50] 中东资金现在就卡在两个世界
[24:52] 就一个先去投美国
[24:54] 安全金融体系政治压力
[24:56] 但是估值通常比较高
[24:58] 另外一个就投中国
[24:59] AI的成长
[25:00] 技术还有估值弹性
[25:02] 就很矛盾
[25:03] 就是现在一边
[25:04] 中东是对美国投资上兆美元
[25:07] 一方面又持续的加码中国AI
[25:09] 全球的资金也是如此
[25:11] 从风险资产而言
[25:13] 达到年限
[25:14] 大家都有所支撑
[25:16] 对于避险资产而言
[25:17] 达到年限
[25:18] 好像跌得有点过头了
[25:20] 虽然过去都在去杠杆
[25:21] 也开始有所支撑
[25:22] 跌了就回补
[25:23] 涨了就不愿意追高
[25:25] 就有这样的一个感觉
[25:26] 所以本来就是这样子
[25:27] 股市短期内和长期内都是这样子
[25:30] 一天大涨一天大跌
