[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这就代表着费半也连续第九个交易日创下历史新高了
[05:49] 我们扣款力度也不小
[05:51] 结果今年才过三到四个月
[05:53] 就有这么多的资金
[05:54] 那当然有很大一部分
[05:55] 最近是流到主动型ETF
[05:57] 但背后有三个推理
[05:59] 第一个高股息还占用ETF
[06:01] 来稳定的配息来吸引资金
[06:03] 第二市值型ETF
[06:05] 前阵子我们看到0050的分割
[06:07] 还有正二的分割
[06:09] 本身都透过低门槛的设计
[06:11] 扩大投资人的基础
[06:12] 第三就是主动型ETF的加密
[06:15] 让现在原本被动产品
[06:17] 变成半主动的资金池
[06:19] 我们知道很像981
[06:21] 或者部分主动型ETF
[06:22] 它绩效真的很亮丽
[06:24] 亮丽到你已经受不了了
[06:26] 可能被迫资金开始进行轮动
[06:28] 但真正的变化在结构当中
[06:31] ETF其实长期都具有一种特性
[06:33] 就是下跌加码
[06:35] 上涨续抱的特性
[06:36] 它就会放大趋势
[06:38] 弱化价格发现功能
[06:40] 也会让全职股影响力
[06:42] 更进一步集中
[06:42] 现在基本上你买ETF
[06:45] 很难不买到台积电
[06:46] 除非你是纯高股息
[06:47] 在这样效果底下
[06:48] 同时间如果出现反转
[06:50] 如果内置人采人
[06:51] 当然也有可能会形成
[06:53] 同步卖压的放大
[06:54] 但是看起来教址是越来越重了
[06:57] 你现在这么多人参与
[06:59] 你过20年
[07:00] 你也知道台湾市场现在的荣景吗
[07:02] 过20年后
[07:03] 你儿子说别人有房
[07:05] 老爸你怎么没有
[07:06] 因为我没有买
[07:08] 那个时候ETF的增长
[07:10] 本身的投入
[07:11] 它对于房地产市场
[07:13] 短期内当然形成了一定的抑制效果
[07:15] 你说现在有没有人买房
[07:16] 很多人还是有买房计划
[07:18] 但是先还款
[07:19] 我先去台积电赚一笔
[07:21] 以后我可以买更多
[07:22] 有这样的一个思维开始出现了
[07:24] 所以油资虽然是一整套
[07:27] 而且资金不断的涌入
[07:28] 可是整个内部的资金的流向
[07:31] 其实差很多
[07:32] 像投信市场
[07:33] ETF市场就表现得非常好
[07:34] 更何况监管会最近不断的进行
[07:38] 监管上的放松
[07:39] 尝试的为台股一臂之力往外推我们看金管会最近公布计划开放上市柜公司以美元来发放现金股利本质上它是在改写台股的资本流动结构
[07:52] 过去不论是企业赚的美元
[07:54] 比如说出口导向的美元
[07:56] 半导体的美元
[07:57] 还是外资领股利
[07:58] 最后都要换回新台币再配发
[08:00] 这很正常
[08:00] 台湾人用新台币
[08:02] 你要付你钱
[08:03] 我们企业的获利
[08:04] 也是付你新台币
[08:05] 那等同于以前的海外企业
[08:09] 或者投资人
[08:09] 他要一起承担汇率波动和交易成本
[08:12] 那如果未来直接以美元来配息
[08:14] 对于持有大量外币收入
[08:15] 而且外资比例比较高的比重
[08:18] 这些公司就会特别有利
[08:20] 因此就能够自然的冲销汇率风险
[08:22] 让外资少一道换汇成本
[08:25] 那这个制度的设计就很关键
[08:27] 因为目前规划仅仅只有外资法人
[08:30] 和外国自然人可以领美元
[08:31] 本土投资人还是在领先台币
[08:34] 等同于以后的台股的股利市场
[08:37] 它会分为两个货币体系
[08:38] 这代表未来在资本配置上
[08:40] 会更倾向用美元服务外资股东
[08:43] 用新台币的资产吸引力
[08:45] 可能相对弱化
[08:46] 换句话说
[08:47] 接下来很明显台股的美元化就是
[08:50] 以后你来买台股
[08:51] 你就不用换汇了
[08:52] 你就直接根据我们当下的配息
[08:55] 付给你美元
[08:56] 你就少了一个汇率波动风险
[08:58] 吸引外资更进一步的流入到台湾市场当中
[09:02] 那第二波解放是什么
[09:03] 是我们前阵子有聊到的
[09:05] 金管会正式解封
[09:06] 把外国的债券纳入担保品
[09:09] 变成可动用的资金来源
[09:10] 我们这边讲的持押
[09:12] 并不是债券型ETF
[09:13] 而是有很多海外的持债
[09:15] 比如说你在美国股市
[09:17] 你在First Trade
[09:18] 你在IB
[09:19] 你买的一些持债
[09:20] 现在预估大概有3000亿左右
[09:22] 未来只要是BB以上的投资等级债
[09:25] 你可以拿来不限用途借贷的担保品
[09:28] 等于是你把这些美元的债券
[09:31] 直接抵押给我们的券商
[09:33] 你就可以换取资金
[09:34] 那这笔资金
[09:35] 你就可以重新投入在台股市场当中
[09:37] 本质是打通海外资产
[09:39] 往台湾资金市场的通道
[09:41] 简单来讲
[09:42] 就是海外的直载也可以做质押
[09:45] 那以后看起来
[09:47] 迟早我们又会开放美股抵押的可能性
[09:49] 所以代表的是
[09:50] 因为像我们在美股抵押
[09:51] 你没办法美股股市直接来做
[09:53] 台股的券商的抵押
[09:56] 顶多是投信自己发行的美股ETF
[09:59] 你可以做质押
[10:00] 但是海外的部分你还没办法
[10:02] 那这种方式
[10:03] 它本身都是金管会
[10:05] 正式向外资宣告
[10:06] 炒台股吧
[10:08] 很明显嘛
[10:09] 这个态度我觉得特别显著
[10:10] 加上这两天新贵
[10:12] 成交量也突破了360亿
[10:14] 新贵很多腰股
[10:16] 现在这种资金的活泼程度
[10:18] 国家对看起来是助你一臂之力的
[10:21] 那与此同时
[10:22] 台湾市场也传来一些好消息
[10:24] 让台股有更进一步的提振效果
[10:27] 在昨天下午的时候
[10:28] 台塑正式发声明
[10:29] 这一次台塑海运的超大型邮轮
[10:32] 已经顺利的通过荷姆治海峡
[10:34] 军善轮的部分
[10:36] 大概有200万桶的沙乌地的原油
[10:38] VLCC现在预估大概5月初左右
[10:41] 大概十几天吧
[10:42] 就会抵达麦寮港
[10:44] 那等同于为台湾补上
[10:46] 约两周的原油需求
[10:47] 那对于一个高度依赖进口能源的经济体来说
[10:50] 虽然现在也可以靠美国
[10:52] 可是很多石脑油等等
[10:54] 我们过去还是依赖中东的惯性
[10:56] 那这个好消息有很强的短期性
[10:58] 当然航运的数据显示通行量在回升
[11:01] 但还是开开关关
[11:03] 高度波动
[11:03] 那台塑很敢
[11:05] 这一阵子就直接冲出来了
[11:06] 其次美军扣押伊朗船只
[11:09] 伊朗扬言报复
[11:11] 所以川普的谈判
[11:12] 还是充满着不确定性的
[11:13] 现在算是解蓝莓之急
[11:15] 因为看起来这一轮
[11:16] 邮轮到达之后
[11:18] 其他也不会到达了
[11:19] 更没有人敢
[11:20] 现在要进入到波斯湾里头
[11:22] 所以在种种效果底下
[11:23] 我们根据数据
[11:24] 其实台塑是上礼拜六
[11:26] 跟着大家一起冲出来的
[11:28] 当时一共有20艘一起向外冲
[11:30] 那这是3月1号以来的最高的记录
[11:33] 其中因为台塞的游轮
[11:35] 很多是挂那个
[11:36] 赖比瑞亚的国旗
[11:37] 军扇轮
[11:38] 200万桶的原油
[11:40] 就趁这一波瞬间逃出来
[11:42] 那大概5月初左右
[11:43] 抵达麦聊港
[11:44] 那至少对于台湾本身而言
[11:46] 是一个好消息
[11:47] 这段时间
[11:47] 这些水手真的很辛苦
[11:49] 你要想想看
[11:50] 往左边待
[11:51] 待到天荒地老
[11:53] 波斯湾的国家
[11:55] 自己都被飞单击中了
[11:56] 还没空顾你
[11:57] 你往右边开
[11:58] 你自己又怕被击中
[11:59] 所以整整封了一个月
[12:02] 都快闷死了
[12:03] 也不能够随时离船
[12:05] 不然海峡一开放来不及冲
[12:07] 对
[12:07] 往左走
[12:08] 人家喊不要
[12:09] 往右走
[12:10] 人家喊停
[12:11] 左右来回走
[12:12] 不要停
[12:13] 不要停
[12:13] 怎么搞
[12:14] 所以这群人很幸运的
[12:17] 终于回来了
[12:17] 那么接下来就要加强
[12:19] 台湾跟澳洲
[12:20] 台湾跟美国之间的能源合作
[12:22] 现货价格是贵了一点
[12:24] 但这也是不得不
[12:25] 可是也迎来了一个新能源时代
[12:28] 那就是下一次再有中东危机
[12:30] 我们那么大的比例
[12:31] 已经从中东往美国
[12:33] 往澳洲来做投送
[12:34] 我们的冲击还会这么大吗
[12:36] 给投资朋友做些思考了
[12:38] 所以我们往下看
[12:39] 基本而言
[12:40] 现在根据美银市场上
[12:42] 当前中东冲突的一个危机问题
[12:45] 市场并不是说
[12:47] 这个利空已经不存在了
[12:48] 而是这个利空
[12:49] 它开始有动画的空间
[12:51] 第一个动画感
[12:52] 是来自于原油价格的长期接受度
[12:54] 就是说我们无法立即回跌到60到70
[12:57] 可是如果保持长期在80美元左右
[13:01] 它并不是一个
[13:02] 完全不能够接受的情况
[13:04] 我们根据油市波动
[13:06] 现在还仍然维持在相对高档
[13:09] 代表的是能源市场
[13:10] 目前还在紧张的情况
[13:11] 可是股市波动VIX
[13:13] 就相对温和很多
[13:15] 那这种风险错配
[13:16] 历史上的确很少时间
[13:18] 能够长时间的维持
[13:19] 但是也就说明着
[13:21] 市场上慢慢接受
[13:23] 原油价格长期保持在80美元每桶
[13:26] 它不至于导致接下来联准会高强度升息
[13:30] 但是也不会到停滞性通膨的地步
[13:32] 你就保持在这样的一个80美元的水位
[13:35] 勉强可以接受
[13:36] 所以这是一个市场接受的新常态
[13:39] 当然长期保持在80会不会有点外溢效果
[13:42] 应该会了
[13:42] 毕竟能源价格过去的均价大概在六七十
[13:45] 来到80以后
[13:47] 美银的看法认为
[13:48] 未来五年的最大交易机会
[13:50] 有两个大方向
[13:51] 一个当然就是半导体AI
[13:53] 另外一个其实就大宗资产
[13:55] 他提出了四个C
[13:56] 第一个是curve
[13:57] 殖利率曲线
[13:59] 第二个是china
[13:59] 中国资产严重低估
[14:01] 第三个是consumer
[14:02] 消费性电子产品
[14:04] 第四个是chips
[14:05] 半导体
[14:06] 当全世界秩序开始松动以后
[14:08] 真正有价值的就变成实体资源
[14:11] 也就是说
[14:11] 不要再去炒虚的东西
[14:13] 越实体的
[14:14] 越有国防安全供应链的
[14:16] 来得越重要
[14:17] 所以在这样的一个效果底下
[14:18] 等同于大家似乎默默接受了
[14:21] 中东危机呢
[14:22] 如果能够让原油价格
[14:23] 长期维持在80美元每桶
[14:25] 那我们就接受了吧
[14:26] 就认了吧
[14:27] 反正至少它没有更加严重了
[14:29] 我们看一下美国股市
[14:30] 四大指数表现
[14:31] 道琼指数下跌4.8点
[14:33] 0.009%
[14:34] 刷4万9千442点
[14:36] 标普下跌16点
[14:37] 0.24%
[14:38] 刷7109点
[14:40] 纳斯达克指数下跌64点
[14:42] 0.26%
[14:43] 刷2万4千404点
[14:45] 费办上涨43点
[14:46] 0.45%
[14:47] 刷9千599点
[14:49] 费办还在一个创新高之路上
[14:52] 那我们就看一下这一波硬体股
[14:54] 还可以拉升到什么样的一个条件
[14:56] 事实上我们过去跟投资朋友提过
[14:58] 市场上最残酷的地方就在这边
[15:01] 你只要错过一次关键回调
[15:03] 你看这一波2月3月4月
[15:06] 这也是虽然跌幅不是特别重
[15:08] 但是这也算是一个
[15:10] 至少是以月度起跳的回调
[15:13] 你只要错过一次回调
[15:15] 价格可能就已经是不同的世界了
[15:17] 有时候真的就是差一天
[15:18] 甚至差几个小时
[15:20] 成本就会被大幅的拉开
[15:22] 这也是巴菲特常讲的
[15:23] 闪电理论的核心
[15:24] 机会
[15:25] 它来的时候
[15:26] 它不是慢慢走过来的它是像闪电一样瞬间劈下来那如果你当下不在场你不敢出手你之后要再追那面对的风险报酬比
[15:37] 那就完全是不同range
[15:39] 因为的确
[15:40] 这个位阶短期内差蛮多的
[15:42] 那投资很多时候
[15:44] 不是比谁看得更远
[15:45] 而是比谁在关键的那一刻
[15:47] 站在该站的位置上
[15:49] 所以有时候我们讲说
[15:50] 错过一次回调
[15:51] 那个价位就差很多
[15:53] 差一天差很多
[15:54] 昨天我才看到
[15:56] 也为网友分享
[15:57] 本来女儿的预产日是今天
[16:01] 就4月21号
[16:03] 然后查了一下
[16:04] 发现跟英女皇是同一天
[16:07] 伊丽莎白二世
[16:08] 同一天生日
[16:09] 好开心
[16:10] 结果女儿昨天提前就生出来了
[16:13] 转身投入着新国的怀抱
[16:15] 昨天是希特勒的生日
[16:17] 所以以后如果她说要学画画
[16:20] 不要阻止她
[16:21] 等她长大也可以带她去波兰
[16:24] 增长健文
[16:26] 心中充满波澜
[16:27] 有时候我们讲说
[16:28] 差一天差很多
[16:29] 很多事情都是同一个逻辑
[16:31] 不只是投资
[16:32] 人生大量的关键时刻
[16:35] 本来就不是线性推进
[16:36] 它是一种跳跃式发生的
[16:38] 差一天
[16:39] 差一周
[16:40] 那个价位
[16:41] 搞不好可以差5到10%以上
[16:43] 有时候5到10%
[16:45] 就是一年的年化报酬
[16:46] 往往都是来自于某个时间
[16:48] 当然这是生日
[16:49] 又不是年份
[16:50] 所以只是星座一样而已
[16:52] 没有什么问题
[16:53] 但整个轨道
[16:54] 我们对于说对于投资人生
[16:56] 对于闪电理论而言
[16:57] 为什么常说
[16:58] 一定要有部位长期在在市场当中
[17:00] 这就是根本原因
[17:01] 而且要避免你加码幅度不够
[17:04] 可能迎来的资金效率问题
[17:06] 当然回过头来说
[17:08] 没有股市
[17:09] 现在的动能
[17:10] 很明显是在反映
[17:11] AI的季度财报进一步支撑
[17:13] 以及低本益比的左侧回补
[17:16] 不要觉得说现在的股价回补
[17:18] 永远都是在右侧最高
[17:19] 的确很多人现在买股票
[17:21] 仍然是以左侧投资逻辑来买入
[17:23] 你说左侧逻辑
[17:25] 怎么会现在还在左侧买路呢
[17:27] 还在逢低买盘呢
[17:28] 原因很简单
[17:29] 我们过去提过
[17:30] 因为依旧为止
[17:31] 现在的本益比水准
[17:33] 仍然没有想象中还要来得高
[17:35] 我们从几个数据来看
[17:36] 以科技期巨头
[17:38] 相对于其他493只成分股的估值溢价
[17:41] 过去几年
[17:42] 它一度高达100%
[17:44] 代表是市场极度压住在AI和大型科技股
[17:48] 现在溢价幅度
[17:49] 已经只剩下34%的
[17:51] 回到2018年的水准了
[17:53] 我们再以PEG来看
[17:55] 你觉得看本益比会是真吗
[17:57] 我们把本益比除以你的成长率
[17:59] 本质就是你愿意为成长付出多少价格
[18:01] 现在这个数字掉到0.7了
[18:04] 这个水准已经比2017年
[18:08] 2018年
[18:09] 19年
[18:09] 21年
[18:10] 22年
[18:10] 23年
[18:10] 20年都还来得低了
[18:11] 你都不会啊
[18:12] 股价这么贵
[18:13] 本益比现在还是很高
[18:14] 怎么会PEG指标这么低呢
[18:16] 根本原因很简单
[18:18] 因为现在的AI成长速度实在太快了
[18:21] 所以让你的机器
[18:22] 直接打回到2011年的欧债危机的水准了
[18:26] 这就是一个生产力的突破
[18:28] 什么意思
[18:28] 就是我们如果细看
[18:30] 这张图表示美国股市的股票回购
[18:33] 你看过去股价的上涨
[18:34] 很大程度的隐形买盘
[18:36] 都是企业的回购财务手段
[18:38] 企业用大量的现金买回自家股票
[18:41] 减少市场流通股数
[18:42] 撑住价格和压低波动
[18:44] 结果股价就一路往上涨了
[18:46] 可是这几个季度
[18:47] 回购股票金额正在疯狂缩减
[18:50] 你说那他没有财务手段了
[18:52] 股价怎么还涨这么凶呢
[18:53] 这说明着他把钱都拿去投AI了
[18:56] 而市场相信他们的AI
[18:58] 可以带来巨额的回馈
[19:00] 而他们的确
[19:01] 这由AI的帮助
[19:02] 在过去几个季度
[19:04] 他缴出的财报也不差
[19:05] 他在还没有AI正式营收回馈之前
[19:08] 过去几个季度
[19:09] 也没有一个季度是低于市场预期
[19:11] 说明着AI套用在他的公司
[19:14] 目前不是优先创高营收
[19:16] 而是先把成本降低了
[19:18] 所以为什么Meta在裁员
[19:20] Amazon还在裁员
[19:21] Microsoft也在裁员
[19:23] 原因很简单
[19:24] 有了AI的帮助
[19:25] 我先把成本砍下来
[19:27] 让我的财报表现来得更加优良
[19:30] 所以它形成的效果
[19:31] 就是接下来我们聊到的
[19:33] 这种AI的爆发期
[19:34] 它会有不断的市场上的
[19:37] 这种持续性的短期利空
[19:39] 来尝试的把估值给降低
[19:41] 可是对于市场投资人而言
[19:43] 到底现在是右侧追高
[19:44] 还是左侧买盘呢
[19:46] 就看你用什么样的逻辑
[19:47] 来看待当前市场了
[19:49] 有些人可能觉得
[19:50] 现在还在左侧
[19:50] 有些人认为现在是右侧
[19:52] 那我们的态度很简单
[19:53] 最好是股价在右侧时下跌
[19:57] 或者说股价在技术上
[19:59] 的确是乖离回调
[20:00] 又刚好属于左侧的
[20:01] 本益比回调期
[20:02] 这是我们最喜欢的
[20:03] 三月份就是标准
[20:05] 这样的一个行情
[20:05] 那我们当然是等待
[20:06] 下一轮的回调
[20:07] 可是这个时候
[20:08] 我们必须了解
[20:09] 你说那接下来
[20:10] 难道AI就没有利益空去
[20:11] 压抑估值了吗
[20:12] 一样会有
[20:13] 而且是每隔几个月就会有
[20:15] 比如说现在压抑估值
[20:17] 最大的压力是什么
[20:18] 就是AI资料中心建的不够多
[20:21] 我们直接观察
[20:22] 你看微软最近加码资料中心
[20:24] 但是其实它主要是进行
[20:27] 内部的资本结构变化
[20:28] 整个产业现在出现了
[20:30] 扩张和现实的落差
[20:31] 原因在于微软
[20:32] 今年我们讲说
[20:34] 把所有巨头加起来
[20:35] 大概是7000亿美元左右的
[20:37] 资料中心的一个扩建
[20:38] 可是另外一方面
[20:39] 我们预估根本就达不到7000亿
[20:42] 为什么
[20:42] 因为变压器短缺
[20:44] 电网承载不足
[20:45] 供应链断链
[20:47] 记忆体价格的暴涨
[20:48] 今年上半年的资料中心
[20:50] 原本说好要建的
[20:52] 有一半延后了
[20:54] 还有另外接近三分之一取消了
[20:56] 取消不是因为不想盖了
[20:58] 发现根本盖不出来
[20:59] 根本找不到那么多工人
[21:01] 台积电的货根本就不够
[21:02] 怎么可能我投这么多钱盖得出来呢
[21:05] 我投再多都没有用
[21:06] 这是一个非常大的问题
[21:08] OpenAI在本周正式宣布
[21:10] 在英国暂停大型资料中心的计划
[21:13] 那当然我们会担心
[21:15] 说理由如果是因为AI不好了
[21:17] 所以不投了
[21:17] 不是哦
[21:18] 它的获利还在增长
[21:19] 本质就是能源成本
[21:21] 和监管压力的压垮模型
[21:22] 昨天我们有跟投资朋友提到
[21:24] 从宾州到密西根
[21:26] 美国各地的电费快速的上涨
[21:29] 已经从单纯的生活问题
[21:30] 变成影响选举的重要议题
[21:32] 很多民众在电费当中
[21:35] 不知不觉的发现持续上涨
[21:36] 一直收到账单来临的时候
[21:38] 才发现已经大幅增加
[21:40] 甚至几年内已经显著翻倍
[21:41] 而且电价上涨的影响
[21:43] 因为我们当时知道
[21:45] 川普呼吁AI资料中心的建制地
[21:48] 差不多是Ohio或者宾州
[21:50] 他都故意设在摇摆州了
[21:53] 那设在摇摆州的原因是什么
[21:54] 带来那种爆发式的经济增长
[21:57] 和就业机会
[21:57] 就业还没有来
[21:59] 电费先来了
[22:00] 所以两党现在都同意
[22:02] 现在电费有点太高了
[22:04] 在解法上就形成严重分歧
[22:06] 比如说大家要不要支持化石燃料
[22:08] 要不要再支持再生能源
[22:10] 以及如何面对资料中心
[22:12] 所带来的用电压力
[22:13] 那大部分的居民
[22:15] 都把高电费归咎于资料中心
[22:17] 而AI资料中心的建设
[22:20] 和它的成果
[22:21] 基本上是川普的重要政绩
[22:23] 这就形成了极大的矛盾
[22:25] 所以我们才跟投资朋友提到
[22:27] 现在宾州各地
[22:28] 就大力推行
[22:30] 我们讲的
[22:31] Not in my backyard的运动
[22:33] 拒绝AI资料中心
[22:35] 盖在自己家附近
[22:36] 有点零币效应
[22:37] 避免电价上涨
[22:38] 事实上从白宫到各州政府
[22:41] 包括川普和宾州州长
[22:44] 现在都推行新方案
[22:45] 要求这家中心百分之百要自备电力
[22:47] 绝对不能够挤压到原本民众的电望
[22:51] 所以现在Not in my backyard
[22:53] 这个主意就越来越盛行
[22:55] Not in my backyard
[22:56] 中文是什么
[22:58] 不要走我后门
[22:59] 不是
[23:00] 不要在我家后院
[23:02] 不要在我家后院
[23:03] 所以翻译错了
[23:04] 这个事件基本上就意味着
[23:06] 我们在就业和AI增长的过程当中
[23:10] 跟民众这种电力电价排解所形成的效应它本身对于国家是好的但是对于个人而言似乎伤害已经正在形成那中期选举的产生它势必会导致
[23:24] 今年几乎要确定了
[23:25] 百分之百
[23:26] 今年资料中心的建制速度
[23:28] 一定不达标
[23:29] 能够来到八成就偷笑了
[23:31] 今年有中期选举
[23:33] 我们看一下2020年到2026年
[23:35] 美国各州目前住宅电价的明显上升
[23:38] 大部分很明显都在摇摆州
[23:41] 那当然加州地区涨得特别夸张
[23:42] 平均涨幅50%
[23:45] 那能源成本
[23:46] 正在成为选民关注的核心议题
[23:48] 当然这就意味着
[23:50] 整个AI的大爆发
[23:52] 电力系统没跟上
[23:53] 它就会形成AI估值的被迫减弱
[23:56] 那这是好事还坏事呢
[23:57] 每一次AI要涨高
[23:59] 每一次我们说AI要泡沫
[24:00] 你就会讲
[24:01] 可是AI资料中心还没盖完
[24:03] 怎么泡沫呢
[24:04] 泡沫有一个前提是什么
[24:06] 什么时候加密货币泡沫
[24:07] 到处都是加密货币
[24:08] NFT什么时候泡沫扑灭
[24:10] 到处都是NFT
[24:12] 郁金香什么时候泡沫破灭
[24:13] 到处都是郁金香
[24:14] 那AI什么时候泡沫破灭
[24:16] AI算力过剩
[24:17] 就是AI泡沫破灭的时候
[24:19] 那现在问题来了
[24:19] 现在AI永远见不完
[24:21] 那AI要怎么泡沫破灭呢
[24:23] 算力永远不够
[24:24] 所以现在是电力的问题
[24:26] 我们看川普政府
[24:28] 采取了一系列的政策松绑
[24:30] 这一次川普政府正式宣布
[24:33] 启动国家太空核能计划
[24:35] 直接点燃市场
[24:36] 对于核能公司的想象空间
[24:38] 相关反应如企业
[24:39] 似乎可以得到川普的订单
[24:41] 那目前的压住是
[24:43] 要推动太空推进系统
[24:45] 由于地球的能源已经不太够
[24:47] 我们必须向外进行发展
[24:48] 这跟NASA有进一步的合作
[24:50] 当然这一波核能股上涨
[24:52] 到底跟太空题材是不是短线炒作
[24:54] 是有那么一丁点
[24:56] 可是也足以彰显的
[24:58] 川普很清楚知道
[24:59] 现在内部的电力
[25:00] 根本就完全不够
[25:02] 反倒中国的压力来得越来越大
[25:04] 我们知道
