[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 或者说心态上就有点难承受了
[03:59] 就是每一家公司
[04:01] 你都设定为五百分之一的资金
[04:03] 而并不是依据权重来
[04:05] 根据大小来做投入
[04:06] 那你可能今年会大幅的跑出给大盘
[04:09] 因为其实大多数股票没怎么涨
[04:11] 但是少数股票
[04:12] 已经把总体指数给快速拉高了
[04:14] 你说拉高这么多
[04:15] 那不就失控了吗
[04:16] 那不就变成疯狂了吗
[04:18] 可是我们刚才提到
[04:19] 由于这些大幅拉高的股票
[04:21] 获利都在暴增
[04:23] 它使得市场的前瞻本益比
[04:25] 快速的下滑
[04:26] 即便我们看到
[04:27] 上一轮在3月4月伊朗战事
[04:30] 它成功的把本益比给降低
[04:32] 现在股价都涨那么多了
[04:34] 前瞻本益比到目前为止
[04:36] 其实还在18到19倍
[04:38] 如果是从中位数股票来看
[04:40] 平均的话21倍
[04:41] 距离高点都还没有做突破
[04:43] 什么意思
[04:43] 我们现在即便股市
[04:45] 已经涨得这么夸张
[04:46] 在今年4月到5月份
[04:48] 今年现在right now
[04:50] 5月28号
[04:51] 目前美国股市的基期还没有超过一月份
[04:54] 这就是很神奇的地方
[04:55] 因为财报开出来了
[04:56] 他把本益比给下修了
[04:58] 涨这么多
[04:59] 其实比今年一月一号还来得更为便宜
[05:01] 当然了
[05:02] 到底整个AI硬扛全球的能源危机
[05:05] 从高到现在
[05:06] 它会形成什么样的结果呢
[05:07] 我们知道全球的经济力量
[05:09] 目前大概就是两大体系正在互相拉扯
[05:12] 一边是中东能源的危机
[05:14] 和荷姆兹海峡的封锁
[05:16] 另外一边是史上最大规模的AI基建投资炒
[05:19] 正常情况底下
[05:21] 油价暴涨
[05:22] 运输成本暴涨
[05:23] 那现在记忆体价格又大涨
[05:24] 应该会造成企业的获利有显著沉压
[05:27] 像小米
[05:28] 股价已经腰斩了
[05:29] 财报残不能赌
[05:30] 也不能讲残不能赌
[05:32] 根本原因就是来自于
[05:33] 记忆体价格是在涨太快
[05:35] 导致它的中低阶手机的利润
[05:38] 被大幅吃掉
[05:39] 那这样的一个问题
[05:40] 照来讲应该会对财报有影响的
[05:41] 可是一方面
[05:42] 史上最大规模的基建投资潮
[05:45] 正在出现当中
[05:46] 这也就导致的
[05:47] 心态上
[05:48] 照理来讲你应该要有点沉压
[05:50] 但是股市却是不断的创高
[05:52] 那问题就在于
[05:53] 现在的全球红利
[05:54] 几乎被整个东北亚和东亚给吃走了
[05:57] 台湾就东亚代表
[05:59] 那北亚代表就是南韩
[06:01] 台湾韩国日本
[06:03] 虽然都是能源进口国
[06:05] 但是因为吃到了AI的供应链红利
[06:07] 变成最受惠的地方
[06:08] 我们举例来说
[06:09] 现在整个26年
[06:11] 进入到科技股的单核驱动以后
[06:13] 无论是美国标普500
[06:15] MSCI新市场
[06:16] 还是台湾还是韩国
[06:18] 几乎全部的涨幅都来自于科技巨头的贡献
[06:21] 甚至如果我们看AI
[06:23] 它已经陆续的改变各国的一些经济结构
[06:26] 美国作为AI资本支出最大的投资国
[06:29] 目前经济成长最大贡献是什么
[06:31] 是企业疯狂的建制料中心
[06:32] GPU和伺服器
[06:34] 其中台湾是全球
[06:37] 如果是从GDP增幅而言最为受惠的经济体
[06:40] 台湾AI对于GDP的成长贡献
[06:42] 这个是美国的四倍到五倍
[06:45] 核心就是台湾位于全球AI供应链
[06:47] 最核心的终端组装位界
[06:49] 从晶圆代工先进封装
[06:51] 到AI伺服器到HBM
[06:53] 几乎全面吃到AI资本开支的红利
[06:55] 韩国的部分其实也是如此
[06:57] 可是从这件事情也就意味着
[06:59] 市场上开始针对东北亚和美国市场
[07:02] 有进一步的投入
[07:03] 其他市场就没有沾到边
[07:04] 我们举例来说
[07:06] 像最近SK海力士
[07:07] 也跟随着三星成功进入到
[07:10] 赵云俱乐部
[07:11] 韩国COSPI指数
[07:12] 今年暴涨了接近有100%
[07:14] 那背后的推手
[07:16] 当然就是三星和SK海力士
[07:17] HBM高频宽记忆体
[07:19] 目前海力士大概已经全面垄断了
[07:22] 几乎整体市值
[07:23] 现在看起来
[07:25] 你要超过三星好像也不是特别难
[07:27] 那差1000亿的距离而已
[07:29] 那你发发力
[07:30] 就把Meta给特斯拉也超越掉了
[07:32] 那接下来就要挑战台积电了
[07:34] 那当然了
[07:35] 你说那还要再涨七成到八成
[07:37] 才追得上台积电
[07:38] 按照韩国股市这种走法
[07:39] 涨七成到涨八成
[07:41] 好像也不是特别难
[07:42] 现在韩国人每个人都流行一句
[07:45] 相信海力士
[07:46] 年底劳力士
[07:48] 今年买三星
[07:50] 明年变巨星
[07:51] 票头里在民
[07:53] 数钱到失明
[07:54] 当然韩国的狂潮跟台湾差不多它也是少数公司在撑的我们以韩国股市来看甚至我觉得台股好像比韩股健康一点韩国股市最新COSP指数昨天继续上涨还垄断
[08:06] 看起来像全面牛市
[08:08] 但是在事实上
[08:09] 昨天上涨加速居然只有67家
[08:12] COSP指数我记得有800家
[08:15] 上涨有67家
[08:17] 下跌高档728家
[08:19] 我们叫拉鸡盘
[08:21] 他们叫做拉心盘或者拉海盘
[08:24] 因为SK海力士和三星电子两家公司
[08:27] 几乎就撑起了整个韩国的AI行情
[08:30] 这也导致内部就有点空心化逻辑
[08:33] 因为我们看下方那个标普
[08:35] 不是讲标普
[08:36] 韩国CODEX
[08:38] 也就是韩国的等权重ETF
[08:41] 就是每一家公司都设定为八百分之一
[08:43] 它是在陆续的下行的
[08:45] 而韩国股市就是在持续创高的
[08:47] 说明一样的情况
[08:49] 大多数股票也不涨了
[08:50] 可是少数股票持续的向上进行带动供
[08:54] 这就是我们看到真实迹象
[08:55] 当然了
[08:56] 那就会有更多的劳资纠纷
[08:58] 前阵子我们看到
[08:59] 三星的工会罢工协议
[09:01] 这一次已经全面谈妥
[09:03] 半导体部门员工平均奖金
[09:05] 目前会发放6亿韩元
[09:07] 换算大概是40万美元
[09:09] 大概是1200万的台币
[09:10] 那原因也很简单
[09:12] AI浪潮
[09:13] 让HBM高频宽
[09:14] 机体的需求全面爆炸
[09:15] 所以现在就是三星半导体部门
[09:18] 每个人大概就是拿1000万回家
[09:20] 不知道缴税要缴多少
[09:21] 那当然了很好理解
[09:23] 因为三星今年的营业利益是327兆美元
[09:27] 韩元去年应该讲到今年一季度是327兆
[09:31] 那这个327是什么样的规模呢
[09:33] 就是去年一整年的规模
[09:35] 所以你看图表你就看得出来
[09:37] 26年一季度赚的钱
[09:39] 是去年一整年加起来的水位
[09:42] 这就是韩国三星目前赚钱的速度
[09:45] 所以你才可以了解说
[09:46] 三星现在内部不同部门的奖金差距也很大
[09:50] 有些人还很不爽
[09:51] 凭什么半导体员工领到这么多
[09:52] 那我们家的手机部门呢
[09:54] 我们家的家电部门
[09:55] 怎么没有拿到
[09:56] 只有几百万韩元而已
[09:57] 形成强烈的剥夺感
[09:59] 所以你看我都
[10:01] 讲话都语无伦次
[10:02] 这波行情也吓到我了
[10:04] 那当然
[10:05] 从这样的一个讯息
[10:06] 也就说明着
[10:07] 各大东亚北亚经济体
[10:09] 各部内部企业
[10:11] 都开始有进一步的压力
[10:12] 三星进行大规模
[10:14] 奖金的发放
[10:15] 这一次我们的CG位
[10:17] 魏哲嘉先生
[10:18] 也向内部员工表示
[10:19] 今年的员工分红
[10:21] 平均会比去年增加到超过三成
[10:24] 而且增幅还会超过于去年
[10:26] 这当然也代表着
[10:27] 财迪电也愿意把人工智慧
[10:29] 所带来的庞大利润
[10:30] 开始回流到员工身上
[10:32] 那我们必须承认
[10:33] 目前这种回馈感是非常非常重要的
[10:36] 因为不只是韩国在缺工
[10:38] 台湾也在缺工
[10:39] 现在当然有很多人想说
[10:41] 这小钱手中有台积
[10:44] 心中无烤鸡
[10:45] 事实上我们知道
[10:46] 这几天黄仁勋在台湾
[10:48] 到处密会
[10:49] 或者说公开密会
[10:50] 这一次最受瞩目的行程
[10:53] 就是当时他跟台积电董事长
[10:55] 魏哲嘉领的大批主管一起聚餐
[10:58] 那现场聚集了所有的台积电的运营
[11:00] 我觉得那个安保条件
[11:02] 可能要快速提升
[11:03] 那随着辉达新一代的AI平台
[11:05] 开始大量出货以后
[11:06] 接下来大家比的
[11:07] 就不是单纯晶片速度了
[11:09] 我们要比谁能够更快的
[11:11] 整合整条供应链
[11:12] 那我们过去提过了
[11:13] 韩国并没有像台湾这样子
[11:15] 有晶片制造到封装到记忆体
[11:17] 到高速互联
[11:18] 每个环卷环环相扣的
[11:20] 这样的一个格局或者供应链
[11:22] 这也就代表着
[11:23] 台湾为什么在本人的AI基础建设当中
[11:25] 扮演重要的浪潮
[11:27] 昨天是北市科举行辉达的台湾员工大会
[11:30] 现场就像派对一样
[11:32] 黄仁勋不只是跟员工互动送礼开玩笑
[11:35] 也正式揭开台湾的新总部
[11:37] 叫辉达新群设计理念
[11:39] 那预估在今年年底就会动工
[11:42] 2030年会正式启用
[11:44] 会容纳4000名的员工
[11:45] 那黄仁勋特别强调
[11:47] 这一次的辉达建筑
[11:48] 最重要的精神就是要透明
[11:51] 的确看那个外观是蛮透明的
[11:53] 因为AI不能够只靠封闭的秘密
[11:56] 而是要让全球合作的伙伴信任
[11:58] 而且依赖回答
[11:59] 所以这次他也特别提到
[12:01] 过去挥达在台湾的投资规模
[12:04] 大概都是数百亿美元
[12:05] 今年直接增加到数千亿美元
[12:08] 未来甚至要朝1500亿美元来迈进
[12:11] 他代表的是整个AI供应链
[12:13] 在台湾即将全面爆发
[12:15] 那的确我们从亚洲在AI时代的地位
[12:18] 台湾科技产品的出口比重
[12:20] 占GDP已经超过50%了
[12:23] 所以你要打折
[12:25] 经济成长率如果是13%
[12:27] 那你就是要变成7%
[12:29] 基本上都是由出口贡献的
[12:31] 大概有这样的一个感觉
[12:32] 这代表整个经济完全就绑定AI和半导体
[12:35] 我们已经上车了
[12:37] 其实也停不下来
[12:38] 只能向前冲
[12:39] 这就是黄文勋给大家的启示
[12:41] 现在辉达在台湾的布局
[12:43] 在高雄的亚湾区是AI创新研发中心
[12:46] 在前年基本上就已经完成建制
[12:48] 目前还开放大家来做使用
[12:50] 高雄的部分在规划第二座的AI超级电脑中心
[12:54] 北市科的部分现在是台湾总部
[12:56] 桃园的部分有AI相关伺服器物流中心
[12:59] 那北中南的部分
[13:01] 进行全面性的AI生态系的布局
[13:03] 这个就是黄仁勋目前所采取的态势
[13:05] 我们看一下稍早前画面
[13:13] 四年後,五年後,NVIDIA花了大約10-15億美元在台灣
[13:20] 現在,台灣每年花了150億美元
[13:27] 150億美元從一家公司來
[13:31] 這將營造出一個非常驚人的經濟系統
[13:34] 台灣是AI革命的中心
[13:37] 這是來自芯片,來自配件
[13:39] 這是來自系統製作
[13:41] 这是我们在台湾的AI超级电脑所创建的
[13:43] 我们在台湾的多个伙伴
[13:45] 非常厉害
[13:46] 你们可以看到他们的价格
[13:49] 他们做得很好
[13:51] 他们很开心
[13:52] 我没有见过一位不开心的总裁
[13:54] 而且这不是容易做到
[13:57] 台湾的总裁开心
[13:58] 有很多开心的人
[14:00] 看看台湾的多个伙伴
[14:01] 是因为台湾在增长
[14:05] 台湾肯定在增长
[14:07] 我说了几次
[14:10] 我現在就要說一下
[14:12] 總統,我們可以在台灣用更多的力量
[14:19] 你怎麼會在這裡?
[14:22] 你怎麼會在這裡?
[14:24] 我沒有在這裡
[14:27] 如果你的工作要你去辦公室
[14:29] 當然你會去辦公室
[14:30] 如果你的工作包括在夜市上班
[14:33] 你必須去夜市上班
[14:36] 現在我在你電話上講話
[14:38] 如果我沒有看到你的臉,我會不舒服
[14:40] 就像我喜歡的醬油牛奶
[14:45] 如果你沒有看到我的臉
[14:47] 你不會知道我喜歡的味道
[15:08] 应该不是投资吧
[15:09] 所以有时候话术就在这边
[15:12] 黄仁勋一直讲
[15:13] 说AI时代最重要的三大原则
[15:15] 其中一个就是会说故事的能力
[15:17] 这1500亿是投资的话
[15:19] 那很惊人
[15:20] 是采购那就很正常了
[15:22] 那至于energy的问题
[15:23] 建议买下台电
[15:25] 不如辉达把合适买下来启用
[15:28] 全部电力来支援AI资料中心
[15:31] 也许也是一种方式
[15:32] 但至少可以看得出来
[15:33] Jensen对于台湾投资的决心
[15:35] 再加上我们过去看到
[15:37] 苏之锋在台湾也是增加了100亿美元的投资
[15:41] 把AMD打造成TMD
[15:42] 当时我们提到
[15:44] 其实他就是在复制一种汇达模式
[15:46] 开始建立自己的AI国家队
[15:48] 现在超微跟台积电跟日月光
[15:50] 跟细品力成到新兴南电锦硕
[15:53] 到唯印伟创音业达
[15:55] 整条AI供应链也全面绑进到超微的阵营尤其现在台积电已经率先把2nm进入到AI量产而且台湾会形成逐步的完成聚落以后大家都要抢夺台湾生态系
[16:08] 这就是一个观察重点
[16:09] 美光也是如此
[16:10] 不要只看它股价涨得很夸张
[16:12] 美光上一次收购利基电
[16:14] 通罗P5厂的计划以后
[16:16] 现在已经正式进入到
[16:18] 设备的进驻阶段
[16:19] 代表的是这笔交易
[16:20] 它不再只是传闻了
[16:21] 是AI记忆体大战的实际落地
[16:25] 我们知道美光其实有60%的产能
[16:27] 都是从台湾发货
[16:29] 虽然它算一家美国企业
[16:30] 但其实也是在台湾做最后终端组装
[16:33] 原因很简单
[16:34] 所有的半导体的零组件都在台湾
[16:37] 当然是在台湾一次搞定最快
[16:39] 这座新厂未来也会成为
[16:41] 美光扩充低润和HBM产能的重要基地
[16:44] HBM现在又是AI伺服器当中最缺的
[16:47] 毛利最高的核心零组件
[16:49] AI规模现在模型越来越大
[16:51] 记忆体的平宽需求也开始的快速暴增
[16:54] 这也是为什么
[16:55] 大家都在疯狂的扩产
[16:56] 那美光在台湾的投资
[16:58] 基本也没有任何停下来的迹象
[17:00] 上一次是18亿收购
[17:02] 立机电的铜锣厂
[17:03] 那在今年1月3月
[17:05] 陆续设备进驻以后
[17:07] 27年大概就可以量产了
[17:08] 未来单一产
[17:10] 就是单一这个厂
[17:11] 铜锣厂
[17:12] 搞不好就超过
[17:13] 美光全球第一任产能的10%
[17:15] 那我们也知道
[17:16] 美光现在也买下
[17:17] 友达台中的金财厂
[17:19] 台南厂
[17:20] 然后陈美才的台中设施
[17:22] 金额分别有38亿
[17:23] 81亿和9亿
[17:24] 主要用于DRAM
[17:26] HBM测试
[17:27] 先进封装
[17:28] 还有后段的制造
[17:29] 这说明美光
[17:30] 其实也在大力的投资台湾
[17:32] 那股价也走出亮丽的表现
[17:34] 那句话怎么说的
[17:35] 还是一道光
[17:37] 它就是美光
[17:38] 现在看起来
[17:39] 陆续进行投资
[17:40] 那我们再看其他企业
[17:41] 其实也是如此
[17:42] 不管是日本的凯霞
[17:44] 日本的NED大厂
[17:45] 加码投资台湾的记忆体
[17:47] 今年是参加南亚科的私募投资
[17:50] 目的在深化DRAM和NED的合作
[17:52] SANDISK
[17:53] 闪迪的部分AI储存需求正在推动台湾的投资
[17:56] 目前在26年也快速的扩大
[17:59] 那其他像是Sysco
[18:00] 一系列网通切入到AI基础建设以后
[18:03] 全世界目前都在加码投资台湾
[18:05] 那当然投资很久就是Google
[18:07] Google常年都投资在彰化中南部地区
[18:10] 最近在4月份经过经济部的核准
[18:13] 再度针对台湾投资270亿元的投资案
[18:17] 其中有250亿投入到资料处理和电子资讯服务
[18:21] 另外也会加购半导体的采购
[18:23] 和AI基础建设的布局
[18:25] 希望把台湾当成亚太资料中心的节点
[18:29] 至少可以处理整个东亚到东南亚市场
[18:33] 那当然美国的云端服务商
[18:35] 这一次也跟辉达一样一起来台
[18:37] GNI Cloud宣布
[18:39] 会在台湾投资5亿美元
[18:40] 大概是150亿台币
[18:42] 在桃园会建设大型的人工智慧资料中心
[18:46] 会由辉达来作为主要的技术和晶片的提供
[18:48] 预估在今年
[18:50] 应该已经开始做启用了
[18:52] 今年上半年预估就会启用了
[18:53] 也是部署最新一代的
[18:55] Breakwell
[18:55] 架构的人工智慧晶片
[18:57] 其实这件事情都意味着
[18:58] 一样
[18:59] 我怎么说
[19:00] 大家也听听就好了
[19:01] 我们就看这些新闻
[19:03] 自己做截图
[19:04] 他们怎么做
[19:05] 你就跟着做
[19:06] 再念一次
[19:07] 每天睡前要默念三次
[19:10] 相信魏哲家
[19:11] 年底搬新家
[19:13] 相信黄仁勋
[19:14] 数钱到抽金
[19:15] 相信苏之锋
[19:16] 财富攀高峰
[19:17] 相信川头顾
[19:19] 新房再一户
[19:20] 相信潘建成
[19:21] 财富自然成
[19:23] 相信刘洋伟
[19:24] 前掌四条腿
[19:25] 相信陈泰明
[19:26] 钞票数不停
[19:27] 相信林百里
[19:29] 钱进户头里
[19:30] 相信蔡明介
[19:31] 人生新境界
[19:32] 每天要默念三次才能够睡觉
[19:35] 洗疮也要默念三次
[19:36] 看他们怎么做
[19:37] 其实最重要的
[19:38] 所以我们当然知道
[19:39] 现在这些企业的繁荣
[19:41] 很大一部分
[19:42] 台湾人赚走了庞大的获利
[19:44] 过去其实我们也知道
[19:46] 大部分其实全资股
[19:48] 外资还是仍然占主要持股主流
[19:51] 像台积电都已经涨那么多了
[19:53] 台股内资都接那么久了
[19:54] 外资到目前持股还是接近70%
[19:57] 以前更高
[19:58] 以前来到75% 76%
[20:00] 月月光是接近80%
[20:02] 其他我们看一下联发科有56%
[20:04] 鸿海比较少40%
[20:06] 你看得出来
[20:07] 这个通常内资筹码比较混乱的
[20:10] 好像股价拉动幅度稍微比较小一点
[20:12] 但是可以看得出来
[20:13] 台湾今天科技业的繁荣
[20:15] 并不是只有台湾人在玩
[20:17] 是全球的资本都在共同压住
[20:19] 台湾的AI供应链
[20:21] 在这样效果底下
[20:22] 市场就形成了新一轮的反转
[20:24] 由于目前台湾在市头上的优势
[20:27] 又比日韩来回的更为显著
[20:29] 我们过去提到
[20:30] INF进行了全面性台日韩的人均GDP的比值预估变化
[20:35] 我们过去已经提过了
[20:37] 人均GDP不要当成自己的薪资
[20:39] 把它当成每个老板旗下的员工
[20:42] 对于公司的产值有多少
[20:43] 重点我们要比较的是老板
[20:45] 不是你的薪资
[20:46] 一定会有落差
[20:47] 至于台湾老板惯性怎么样
[20:49] 自有公平
[20:51] 可是台湾的老板
[20:53] 到底有没有比日本老板
[20:54] 比韩国老板更有钱
[20:55] 我们来细看
[20:56] 其实在24年的时候
[20:58] 台湾的人均GDP
[20:59] 还是落后给韩国市场的
[21:01] 按照NF数据
[21:02] 当时台湾大概在34000块
[21:05] 韩国是有36000
[21:06] 其实早在疫情以后
[21:09] 日韩就已经陆续超越日本了
[21:11] 应该讲台韩就已经超过日本了
[21:13] 因为日本是受到汇率贬值的影响
[21:15] 当时在2024年
[21:16] 人均GDP只有3万个
[21:18] 所以当时在两年前
[21:20] 基本上就是韩国第一3.6万
[21:22] 台湾第二3.4万
[21:24] 日本第三3.2万
[21:25] 可是呢
[21:26] 时间线来到2026年
[21:28] 我们知道台韩之间已经产生重要反转
[21:30] 目前呢
[21:31] 台湾已经来到4.1万
[21:33] 到2030年
[21:34] 我们预估会上看5万块
[21:36] 到时候南韩预估是4.4万
[21:38] 那日本大概是4.2万
[21:40] 其实都有成长了
[21:41] 可是距离会越拉越远
[21:43] 这个就是INF
[21:44] 做一个宏观标准化的预测结果
[21:47] 原因就来自于
[21:48] 台湾是属于广泛性的
[21:50] 各大产业的集体爆发
[21:52] 那当然了
[21:53] 这也说明着
[21:54] 不只是台韩之间的位置
[21:56] 已经改变了
[21:57] 那么台韩跟日本之间的位置
[22:00] 其实也产生了重大转捩
[22:01] 我最近看到了一条新闻
[22:03] 是西日本新闻的报道
[22:04] 它里头在统计日韩的婚姻版图
[22:08] 因为我们知道
[22:08] 日韩因为地缘的关系比较相近
[22:11] 双方本来就容易恋爱
[22:13] 或者做更进一步的交流
[22:15] 旅游人次也是相对比较高的
[22:17] 最近就出现了
[22:18] 这几年日本女性
[22:19] 开始大量的嫁往韩国
[22:21] 20年前的时候
[22:22] 其实大部分的婚姻
[22:23] 从现行图上很明显
[22:25] 大部分日韩的婚姻
[22:26] 都是属于日男加上韩女
[22:29] 06年的时候
[22:30] 一年超过3400对
[22:32] 都是日男加韩女
[22:34] 但是之后就一路下滑
[22:35] 到2025年
[22:36] 只剩下190对了
[22:37] 相反的
[22:38] 最近日女加上韩男
[22:40] 最近开始暴增了
[22:42] 2025年已经来到1483对
[22:45] 创下这几年的新高
[22:46] 日本女孩现在是越来越欣赏韩国男孩子了
[22:50] 欧巴不只是打扮好看
[22:52] 而且身材也很高大
[22:54] 平时只喝冰美式
[22:55] 其他地方即便有缺点也看不出来
[22:59] 因为有穿衣服
[23:00] 但是更深层的原因其实就来自于
[23:02] 韩国内部的经济
[23:04] 第一薪资的成长
[23:05] 第二是企业规模的增大
[23:07] 再来就是韩星特质
[23:08] 的确从外表来看
[23:10] 韩国人的确在台日韩当中
[23:12] 男生应该算是打扮得非常好看的
[23:14] 所以大家对于欧巴的好感度就越来越高
[23:16] 加上这几年所有的科技
[23:18] 半导体金融和娱乐产业
[23:20] 薪资提升也很快
[23:22] 我们当然知道
[23:23] 女孩子不会只看外表
[23:25] 或者只看经济能力
[23:26] 可是综合起来看
[23:27] 的确韩国男性在经济条件
[23:30] 在家庭的投入
[23:31] 甚至是情感的表达
[23:33] 相对于日本男性开始有了吸引力
[23:35] 当然两国都有点大男人
[23:37] 不如选经济好的
[23:38] 不如選長得帥的對不對
[23:41] 尤其日本這幾年
[23:43] 其實平權議事也在抬頭
[23:45] 選男生已經真的很少專門選經濟好的
[23:48] 大家都選順眼
[23:49] 台灣就特別明顯
[23:50] 台灣的女孩子選通常都是好看是優先
[23:54] 因為台灣女性的確
[23:55] 這個薪資上升幅度
[23:57] 是台日韓當中這幾年兩性當中成長來得最為快速的但我必須承認我觉得台湾女生应该是台日韩当中最漂亮的如果是以街上的女孩子来说的话
[24:08] 基本上台湾女生是台日韩
[24:11] 你想要选哪个男的就选哪个男的
[24:12] 台湾男生就
[24:13] 台湾男生必须承认
[24:15] 就差不多跟我一样
[24:17] 我们就短裤T恤
[24:18] 配一个黑框眼镜
[24:20] 跟我差不多
[24:21] 说实在的我们也比不上韩男
[24:23] 但是日南配我们差不多
[24:25] 所以日南配台南
[24:27] 是未来一个主流方向
[24:29] 好不好
[24:29] 不管怎么说
[24:30] 这就是一种经济地位
[24:31] 社会变迁
[24:33] 薪资变化
[24:34] 所造成的一个影响
[24:35] 但是我们也看到
[24:36] 台湾走出了自己的路线
[24:38] 而各大企业家
[24:40] 都在陆续投资台湾
[24:41] 好我们回过头来看一下
[24:43] 美国股市四大指数表现
[24:45] 道琼指数上涨182.0.36%
[24:48] 所在50644点
[24:51] 纳萨克指数上涨18.0.07%
[24:55] 收在26674点
[24:57] 标普上涨1点
[24:59] 0.02%
[24:59] 收在7520点
[25:01] 费办反而是下跌174点
[25:04] 1.36%
[25:05] 收在12702点
[25:07] 不过台积电ADR
[25:08] 昨天好像创高了
[25:09] 2.52%
[25:10] 看一下待会的显著带动
[25:12] 当然很多人说
[25:13] 市场越来越集中
[25:16] 你看韩国股市
[25:17] 最近有人做了一张图
[25:18] 把当年1999年到2000年的
[25:21] 韩国股市的走势
[25:23] 或者把纳斯达克指数的走势
[25:24] 拿来跟目前韩国股市来做对照
[25:26] 为什么不跟台股比
[25:27] 因为台股今年涨是那么少
[25:29] 跟韩国比较起来算弱了
[25:31] 韩国股市今年涨了百分之百
[25:33] 那你可以看到
[25:34] 现在大多数的资金围绕着三星和SK海力士
[25:37] 然后股价总体指数的现行
[25:40] 又跟99年表现的来得这么像
[25:42] 会不会紧张呢
[25:43] 像最近德银就出了一篇相对比较谨慎的报告
[25:46] 他说现在真正决定联准会会怎么做的
[25:49] 不是AI是伊朗和油价
[25:51] 他认为现在有三种情境
[25:53] 随时会上演
[25:54] 第一就是中东冲突
[25:56] 看起来这一次不会谈电
[25:57] 随时再拉升的话
[25:59] 油价就会导致
[26:00] 全市场进入到停滞性通膨
[26:02] 那另外一方面
[26:03] 现在的AI行情
[26:05] 再强它也无法取代石油
