[00:00] 投资变化 欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年8月10号礼拜一
[06:28] 所以它就一直压抑住了黄金的价格表现
[06:31] 不过黄金过去两年价格也涨得很夸张
[06:34] 你看黄金价格在去年涨幅基本上有63%
[06:40] 前年涨幅有26%
[06:42] 大前年涨幅有12%
[06:44] 所以适度休息一下也是OK的
[06:46] 加上今年也不太可能暴利升息
[06:48] 不过真正表现比较差劲的
[06:50] 大概就是比特币了
[06:52] 比特币今年还是跌2成5
[06:54] 快要没救了
[06:55] 去年它已经跌6.3了
[06:57] 今年一整年价格表现都不是特别好
[06:59] 那黄金当然有另外一个因子
[07:01] 那就是央行和ETF的资金
[07:04] 它一直在定期定额的买入
[07:06] 从4月份以来
[07:07] 全球央行针对黄金的购买量
[07:10] 已经来到350万盎司
[07:12] 那同期间几乎没有任何的净卖出
[07:15] ETF资金也开始止稳了
[07:17] 本来上半年套牢了一堆
[07:19] 大家都转买AI股了
[07:20] 还有流出
[07:20] 现在中国的黄金ETF
[07:22] 又重新开始了资金的流入
[07:24] 你说那是因为抛弃股市改买黄金吗
[07:27] 看起来没有这么明显的替代相关
[07:29] 更多是当股市估值增高以后
[07:33] 当你股市涨以后
[07:34] 你很自然的就选择去订一下投等仓了
[07:37] 商务仓了
[07:38] 或者就买买家具
[07:40] 换换房
[07:41] 换换车
[07:42] 那买一点黄金
[07:43] 有这样的一个感觉
[07:44] 所以大家反而是反映流动性的繁荣
[07:47] 可是不得不承认
[07:48] 今年涨幅最亮丽的
[07:50] 其实还是大宗资产
[07:51] 也就是原物料
[07:53] 花旗银行也指出
[07:54] 大宗商品已经正式进入到
[07:56] 十年一遇的事件
[07:58] 变成百年
[07:59] 我应该讲说
[08:00] 变成半年一遇
[08:01] 因为大家从以前的
[08:03] 银价和黄金价格的上涨
[08:05] 那感觉以前都是好几年才来一次
[08:07] 现在好像每隔个几个月
[08:10] 有时候是黄金
[08:10] 有时候是石油
[08:12] 有时候是白银
[08:13] 新时代开始出现了
[08:14] 那主要一个原因就是因为川普上任以后
[08:17] 包括地缘政治的问题
[08:18] 极端气候还有科技革命
[08:20] 他慢慢的取代传统的供需
[08:23] 变成现在的价格主导力量
[08:25] 从以前的阿拉伯之春到美国的燕油革命
[08:28] 到这几年是疫情
[08:30] 是乌鲁战事
[08:31] 贸易战
[08:31] 中东冲突
[08:32] 都让商品价格来得越来越剧烈
[08:35] 所以大宗商品按照花旗的角度而言代表着未来的波动会持续的加大那单年度今年涨幅很亮丽可是也有很多资产价格可能在明年在景气回暖
[08:47] 或者中东局势淡化的过程当中
[08:49] 回跌幅度会加快
[08:50] 这是大家值得观察的项目
[08:52] 但至少现在的通膨预期
[08:54] 看起来并没有完全消失
[08:56] 大宗资产还涨幅第一名
[08:57] 甚至我们看到在上礼拜
[09:00] 川普政府正式针对太阳能板
[09:03] 或者相关的一组件
[09:04] 来重新课征15%的关税
[09:07] 因为其实美国的IEP
[09:09] 现在已经开始退款了
[09:10] 所以之前课的关税
[09:12] 现在正在还给代理商
[09:13] 如果你有去申请的话
[09:14] 那为了要衔接关税持续性的收取
[09:17] 从12月4号开始
[09:19] 如果企业承诺在美国制造相关设施
[09:22] 可以申请豁免
[09:23] 但没有的话
[09:24] 那基本上要课征15%的关税
[09:27] 那15%这个关税
[09:29] 就不一定会吸引各大厂区到美国投资
[09:32] 因为关税税率还没有想象中来得高
[09:34] 也许在海外生产
[09:35] 便宜成本是便宜三成四成
[09:37] 所以这有可能会形成
[09:39] 内部的通膨加成持续加剧
[09:41] 包括多晶矽
[09:43] 包括锡锭或者晶圆
[09:45] 每公斤是100美元来做课程
[09:47] 太阳能电池每瓦是0.22美元
[09:50] 那有没有可能产生第二轮
[09:52] 或者第三轮通膨
[09:53] 值得留意
[09:54] 那第三个当然就是中东问题
[09:56] 现在还是僵局
[09:57] 我们知道伊朗现在
[09:59] 基本上已经跟美国
[10:00] 又重新拒绝谈判了
[10:02] 和姆斯海峡的协议还是卡关
[10:04] 上礼拜本来讲的信誓旦旦
[10:05] 连贝森特都出来喊话
[10:07] 结果双方还是没有达成显著的共识
[10:11] 那当然那也代表
[10:12] 美国对于伊朗的封锁在持续
[10:14] 伊朗是针对全球的封锁
[10:16] 那美国是专门针对伊朗的封锁
[10:18] 我封锁你的封锁
[10:19] 我们看到在波斯湾外侧
[10:22] 这个美国的封锁
[10:23] 它就互成一条线
[10:24] 不允许伊朗任何的邮轮能够离开
[10:28] 当然这也代表着
[10:30] 哈格岛大概承担了伊朗90%的原油出口
[10:33] 目前看起来伊朗九成的原油出口
[10:36] 已经正式进入了停摆
[10:38] 在哈格岛上的三座装油码头已经闲置
[10:41] 那预估在一周内就会满出来
[10:44] 那就被迫要全面停产
[10:46] 伊朗短期内还可以靠出港的原油来撑住
[10:49] 现在已经完全断运了
[10:51] 我们就看一下双方的僵持会多久
[10:53] 贝森特在礼拜四晚间也表示
[10:55] 荷姆兹海峡也许永远无法恢复到战前状态
[11:00] 他承认
[11:00] 但他也解释了
[11:01] 他认为在未来两年
[11:03] 这条水道会变得毫无重要
[11:04] 耶拉克和叙利亚
[11:06] 现在已经签了一条协议
[11:07] 修复一条石油运输路上管道
[11:11] 以后就直接用管子运出来
[11:13] 就不用开船了
[11:14] 多方便多环保
[11:15] 概念是这样子
[11:16] 不过之前那个北溪管道
[11:19] 好像也是这样
[11:20] 那变成固定靶子
[11:21] 好像也有风险
[11:21] 不过他没有回应
[11:22] 当然了
[11:24] 那海湾其他的出口贸易怎么办
[11:26] 那中东又不是
[11:27] 只有把石油运出来
[11:29] 中东自己也需要原物料
[11:31] 也需要粮食
[11:32] 也需要其他相关的能源或者水
[11:34] 那该怎么办呢
[11:36] 他没有讲
[11:37] 但是川普对于伊朗的策略
[11:39] 看起来逐步转弯了
[11:40] 变成等你撑不住再说
[11:42] 不跟你短期内要求一定的成果了
[11:45] 反正短期内
[11:47] 这个原油价格也没有持续创高
[11:49] 那不如就保持在这样的一个氛围
[11:51] 长期的改善原油输出的环境或者管道吧
[11:55] 结论就是
[11:55] 反正美国不需要这一条了
[11:57] 那就算了
[11:58] 那当然伊朗目前态度也是很强硬
[12:00] 目前整体开放的门槛仍然要求
[12:03] 要么停战撤军解封锁
[12:05] 而且还要求美国赔偿
[12:07] 甚至在永久性的荷姆治海峡
[12:10] 能够收取过路费
[12:12] 这个是伊朗所给予的态势
[12:13] 到底长期下去会有什么样的一个结果
[12:16] 我认为不是特别乐观
[12:18] 我们举例来说
[12:19] 当时金正恩也是遭到联合国
[12:22] 全面封锁制裁多年
[12:24] 不过金正恩这两年
[12:26] 他的外汇收入是持续飙高
[12:28] 我们看彭博最新所做的专题
[12:30] 在过去四年当中
[12:32] 北韩透过军火的出口
[12:34] 海外劳工
[12:34] 黄金
[12:35] 煤炭
[12:35] 还有网络犯罪
[12:36] 已经取得220亿美元
[12:38] 大概是台币6500亿美元的海外收入
[12:41] 大概是前一个四年的
[12:43] 接近有四倍左右
[12:44] 最大转折是乌俄战事了
[12:46] 北韩向俄罗斯供应炮弹
[12:48] 2025年
[12:49] 从开始
[12:51] 大概已经供应了乌军
[12:52] 应该讲说俄军
[12:54] 大概是前线50%的弹药
[12:56] 甚至现在北韩也派了2万名士兵来参战
[12:59] 每个人可以拿2000块美元的收入
[13:01] 那等于月薪有6万块台币也不少
[13:04] 那这波资金都反映在经济上
[13:07] 北韩的经济成长
[13:08] 按照南韩官方的预估
[13:10] 现在是3.5%
[13:12] 远远高于欧洲国家或者美国国家
[13:14] 而且已经连续三年扩张了
[13:16] 那你要知道
[13:17] 他现在还在被制裁
[13:19] 北韩已经不只靠军火赚钱了
[13:22] 他是建立更多规避制裁的收入来源
[13:25] 所以伊朗问题
[13:26] 到底美国能不能取得良好的结果
[13:29] 这可能会有一定程度的压力的
[13:31] 当然这也就意味着
[13:32] 整个通膨原油价格不至于创高
[13:35] 但是要让它大幅破体
[13:37] 也有一点难度
[13:38] 现在美国核心通膨的部分
[13:40] 有没有可能有进一步的降温
[13:43] 它有两个角度
[13:44] 第一个就是
[13:45] 借由其他价格的下跌
[13:46] 来带动原物料成本的下滑
[13:49] 把大宗成本给压低
[13:50] 能源可能短期内无法
[13:52] 但是其他成本
[13:53] 也许可以藉由供给的开采
[13:55] 而试图降低
[13:56] 那第二个
[13:57] 调整一下物价指数的方式了
[13:59] 其实美国商务部已经预估
[14:02] 从8月份所公布的
[14:04] 个人消费支出物价指数
[14:06] 也就是PC的部分
[14:07] 有可能要开始进行改善
[14:10] 新算法主要涉及电脑软体
[14:12] 法律服务和投资顾问费三个项目
[14:15] 按照目前估算
[14:16] 新的方法可以让通膨率
[14:18] 至少下滑0.2个百分点
[14:20] 也就是说
[14:21] 你只要把算法改变
[14:23] 通膨就消失了
[14:24] 对不对
[14:25] 物价很高
[14:26] 外食费
[14:27] 像台湾外食费
[14:28] 涨特别夸张
[14:28] 那不看外食
[14:30] 其实就没通膨了
[14:31] 这就是最简单的方式
[14:32] 那争议最大的
[14:33] 当然是软体和投资雇佣费
[14:34] 就算法底下
[14:36] 软体价格和硬体价格
[14:37] 联动较强
[14:38] 那AI热潮
[14:39] 现在推高电脑和晶片价格
[14:41] 所以通膨容易偏高
[14:42] 但是呢
[14:43] 如果现在进行适度的修改的话
[14:46] 那等同于
[14:47] 就可以撇除科技通膨
[14:49] 什么意思呢
[14:50] 就是除非它传导到你的笔电
[14:52] 和手机端
[14:53] 那我们再做记录嘛
[14:54] 那如果AI资料中心里头的消费
[14:57] 或者说伺服器越来越昂贵
[14:59] 有没有必要统计到PC数据当中呢
[15:02] 就也许没有必要
[15:04] 怎么意思吗
[15:04] 个人消费
[15:05] 个人有关的再统计
[15:07] 那至于一些科技通膨影响的是资料中心
[15:10] 没有必要
[15:11] 那就不统计了吧
[15:12] 那也许最后就可以造成通膨的数据下行
[15:15] 这也是另外一种改善方式了
[15:17] 当然回过头说
[15:18] 现在市场上最为关注的
[15:20] 还是有没有必要把它拿来跟就业数据的软化来互相冲销
[15:25] 为什么这样讲
[15:26] 因为只要就业数据够差
[15:28] 其实升息预期一样可以打消
[15:30] 你看美国7月份这一次的就业报告
[15:33] 它就明显的低于市场预期
[15:35] 非农就业数据是减少了2.3万人
[15:37] 原本市场预估会增加8万人
[15:39] 现在是减少2.3万人
[15:41] 这创下了2月份减少15.6万人以来最弱的单月表现
[15:45] 那更值得注意的事情是6月新增的就业数据
[15:48] 原本是5.7
[15:50] 现在下修到2万人了
[15:52] 5月也从12.9万人
[15:54] 下修到6.3万人
[15:55] 这个校正回归有点离谱
[15:57] 两个月居然比原本公布少了10.3万人
[16:00] 那你反映当下的非农意义到底在哪里呢
[16:03] 过两个月全部下修
[16:05] 所以现在这份数据真正担忧的
[16:07] 不是什么7月份的数据怎么样
[16:10] 7月份单月数据
[16:11] 本来就没有什么太大参考意义
[16:13] 是他把前面几个月全部都下修了
[16:16] 那美国可能就业起起伏伏
[16:18] 那现在回过头看
[16:19] 那不是过去几个月就业乱七八糟吗
[16:22] 惨不能赌
[16:23] 那比较反直觉的事情是
[16:26] 这非农就业数据
[16:27] 看起来过去几个月是很差
[16:28] 可是美国的失业率
[16:30] 居然从4.2%下滑到4.1%了
[16:33] 原因不是突然有更多人找到工作
[16:36] 是家庭调查显示
[16:37] 失业人口减少的17.8万人的同时
[16:41] 就业人口也减少8.7万人了
[16:43] 什么意思
[16:44] 就是一部分人
[16:45] 他是直接离开劳动类市场之后
[16:48] 就不再被计算为失业人口了
[16:50] 他退休了
[16:51] 所以反而造成了失业率的下滑
[16:53] 这也提醒我们
[16:55] 失业率看起来不能够单独看
[16:57] 你看7月份的劳动参与率
[16:59] 只有61.4%
[17:00] 就业人口
[17:01] 占成年人口的比例是58.9%
[17:04] 两项数据的单月变化不大
[17:06] 可是从今年1月份以来
[17:08] 其实劳参率已经下滑了
[17:10] 大概有0.7%
[17:11] 而且薪资动能也一样失去了
[17:13] 7月份平均实行月增只有0.1%
[17:17] 这比原本预估的0.3%还要下滑蛮多的从这几个数据来做观察都可以感受到美国的就业数据实质现况看起来没有想象中这么乐观
[17:29] 失业率的下滑
[17:31] 反而有一点疑虑
[17:33] 反而非农就业数据的校正回归
[17:35] 真的说明美国的就业市场
[17:37] 已经扩张太多年了
[17:39] 现在仍然在一个
[17:40] 保持长年期的收缩当中
[17:42] 我们拆开产业来看
[17:44] 7月拖累最多的是地方教育部门
[17:46] 就业人口少了5万人
[17:48] 零售业减少了1.9万人
[17:50] 加油站
[17:51] 燃料相关减少了5000人
[17:53] 金融业也不好
[17:54] 金融业其实我们知道很清楚
[17:56] 以前招MA都招得很乐观
[17:58] 然后今年就很多初级工作
[18:00] 直接交给AI了
[18:01] 7月份直接减少1.4万人
[18:03] 信贷仲介和相关业务
[18:05] 减少了9000人
[18:06] 医疗保健是少数还在持续增长的
[18:09] 有2.2万人
[18:10] 休闲餐饮业在7月份
[18:12] 也减少了4万份工作
[18:13] 所以为什么我们讲说7月报告
[18:16] 我们也很难说那种很差
[18:19] 但是也不能说还不错还可以
[18:21] 不能用一个简单的结论来下
[18:24] 一方面就业新增是远远低于市场预期
[18:27] 前职大幅下修
[18:28] 全职工作甚至还大幅减少
[18:30] 薪资成长又放缓
[18:31] 这都很警讯
[18:32] 可是教育和休闲餐礼月的下滑
[18:36] 好像又是一次性或者季节性的因素
[18:39] 单月的负成长并不代表什么
[18:41] 但是如果接下来数据有持续软化的态势
[18:45] 那说明美国看起来
[18:47] 就业是越来越疲软
[18:48] 它并不是一个保持平稳的情况
[18:50] 7月份表面上最醒目的数字
[18:53] 就是非农减少2.3万人
[18:54] 然后失业率从4.2也下滑到4.1
[18:57] 观看两个数据
[18:58] 就很容易有一种误解
[18:59] 就业变差
[19:00] 但失业率还稳住
[19:02] 但我觉得真正重要的
[19:03] 现在是前两个月的就业数据
[19:05] 已经下求10万人了
[19:07] 全职工作又减少
[19:08] 薪资增速又放缓
[19:09] 有大量想工作
[19:11] 却已经不再积极求职的人
[19:13] 现在并没有被计算到
[19:15] 失业人口当中
[19:16] 所以我觉得接下来要观察的
[19:17] 不是每个月去看
[19:19] 非农就业数据增长多少
[19:20] 或者全职工作
[19:21] 重点是
[19:22] 劳动参与率是否还在下滑
[19:24] 还有薪资增速
[19:26] 这个数据可能更准
[19:27] 因为现在有教师暑假
[19:28] 有世界杯的原因
[19:29] 所以统计数据
[19:31] 可能过去两个月有点失真
[19:32] 那你就看你的薪资
[19:34] 是不是越零越少
[19:34] 那大概就可以
[19:36] 比较符合真实的就业情况
[19:38] 有时候我们以为
[19:39] 自己看了一个非农
[19:40] 就掌握就业市场的数据
[19:42] 可以判断经济到底好不好
[19:44] 但真正危险的
[19:45] 往往都是那些
[19:46] 没有出现在
[19:47] 第一个数字里的东西
[19:49] 就非农就像市场
[19:51] 摊在桌面上的一张牌
[19:52] 但真正决定市场强弱的
[19:54] 是整副牌
[19:55] 包括你的修正值
[19:57] 包括你的参与率
[19:58] 薪资或者职缺结构
[20:00] 所以你看那个殖利率
[20:01] 虽然一下子预期往下掉
[20:03] 结果马上又拉回来了
[20:05] 看经济最怕的
[20:06] 不是说数字不好
[20:07] 是看到了一个
[20:08] 感觉还可以的数字以后
[20:09] 就把它当成全部
[20:11] 就很多时候
[20:12] 我们以为掌握了足够的资讯
[20:14] 就可以判断所有的全局
[20:16] 有时候真正危险的是
[20:17] 我们还没有去了解的那些资讯
[20:20] 这是比较重要的
[20:21] 昨天我才看到网络上讲
[20:22] 讲说有一个同学
[20:24] 大学聚会
[20:26] 有一个很装的女同学
[20:28] 各种炫耀
[20:29] 我男朋友做大生意
[20:32] 特别有钱
[20:33] 有一个富二代同学
[20:34] 看不下去
[20:35] 说要是真的有钱
[20:37] 你就让他来
[20:38] 把我们的单子都给买单了
[20:41] 好不好
[20:41] 那女同学恶话不说
[20:43] 一通电话就搞定了
[20:45] 结果聚会的时候
[20:46] 发现富二代买的单
[20:48] 很多同学就不理解
[20:50] 问富二代
[20:51] 怎么是你买单呢
[20:53] 富二代说
[20:54] 没有了
[20:55] 刚才我爸打电话过来
[20:57] 说他来不及过来
[20:58] 让我帮他买单
[20:59] 原来是公公
[21:02] 有时候遇到后妈
[21:03] 不结账也不行
[21:04] 就很多时候
[21:06] 我们以为自己掌握了
[21:07] 足够的资讯
[21:08] 可以判断
[21:09] 一场经济数据的增加
[21:12] 输赢或者失利
[21:13] 但真正危险的
[21:14] 就是我们那些
[21:15] 根本还不知道的资讯
[21:16] 我们看七月非农就业数据
[21:19] 七月非农减少了
[21:21] 但失业率也下降
[21:22] 就觉得勉强还可以
[21:23] 可是从一些细节数据来看
[21:26] 我认为联总会今年
[21:27] 真的是有机会不升息
[21:29] 甚至转为降息
[21:31] 即便原油价格还在高位
[21:33] 持续震荡
[21:34] 因为就业数据的软化
[21:35] 比想象中还要快得多
[21:37] 很多人都说AI影响
[21:39] 只是一个裁员的借口
[21:40] 是没错
[21:41] 可是也许他在一年前
[21:42] 两年前就想裁了
[21:44] 他只是终于找到AI这个借口
[21:45] 可以合理的裁员
[21:47] 本来在就业的扩张当中
[21:49] 就遇到了一定的僵持
[21:50] 尤其在服务业
[21:51] 服务业本来是最缺工的
[21:53] 可是时间拖一年一年过去
[21:55] 人力成本现在已经成为
[21:57] 服务业最大的头疼了
[21:59] 就一方面我们很需要人
[22:00] 但是另外一方面
[22:01] 现在开店最大的成本是什么
[22:03] 我们很清楚知道
[22:04] 在台湾也是
[22:04] 都甚至不是店租了
[22:06] 最大成本就是人
[22:08] 好那当然
[22:08] 如果企业获利爆充
[22:10] 我们也不能期待就业市场就一系列崩溃
[22:13] 然后造成联整会大降息
[22:14] 因为从标普500
[22:16] 未来12个月的预估EPS
[22:18] 年增幅已经冲高到33%了
[22:21] 那按照过往经验
[22:23] 我们先拿过去数据来对照
[22:24] 通常美股的EPS
[22:27] 跟美国劳动就业市场的
[22:28] 三个月平均非农就业年增幅
[22:31] 呈现高度联动
[22:32] 所以再来讲
[22:33] 如果获利大幅拉伸
[22:35] 就业不会太差
[22:36] 那下问题来了
[22:37] 现在获利已经大幅拉伸了
[22:39] 可是非农就业数据
[22:41] 看起来不是特别亮丽
[22:42] 这到底是史上第一次
[22:44] 经济大好就业大坏的脱钩
[22:46] 还是说就业市场会后来跟上呢
[22:49] 我觉得这个可以值得来做参考
[22:51] 或者说有更多的人退出就业市场
[22:53] 所以会让就业总人口因此而下滑
[22:56] 这也是有可能的
[22:58] 用AI来做取代
[22:59] 但至少可以承认
[23:00] AI已经成为美国经济
[23:02] 最重要的成长引擎
[23:03] 所以会造成部分的数据失焦
[23:06] 比如说两年前
[23:08] 在企业投入到软体资料中心的年化支出
[23:11] 大概是1兆美元
[23:13] 现在大概是1.5兆
[23:14] 光是今年6月份
[23:16] 美国资料中心建设的支出年化
[23:18] 就高达683亿美元
[23:20] 比前一年还要增加了215亿
[23:22] 光是AI的投资
[23:24] 占了大概美国GDP的四分之一
[23:26] 有好有坏
[23:27] 好处就是
[23:28] 它带领了新一轮的生产力突破
[23:30] 让大家急着去投入一个
[23:32] 还没有确切能够回馈
[23:34] 可是基础建设期的大跃升
[23:36] 那反方向想排挤效果
[23:39] 因为本来你要做投资的
[23:41] 但是都给钱都给了AI
[23:42] 就没有钱去做其他实业投资了
[23:45] 所以其他的实业投资
[23:47] 可能就会遭受到排挤
[23:48] 但是由于现在美国的经济
[23:51] 又由于财富效果的原因
[23:53] 导致美国家庭净资产
[23:55] 从174兆美元
[23:57] 现在又增加了13兆
[23:59] 大部分都来自于股市的上涨
[24:01] 所以财富效果又让大量持有股票的
[24:04] 美国的中产或者资产阶级
[24:06] 他其实觉得自己购买力并没有衰退多少
[24:09] 即便通膨增加很快
[24:10] 可是很明显
[24:12] 当财富效果不断提升
[24:14] 台股如果接下来突破五万点六万点
[24:16] 你会不会先订一下中秋的机票
[24:18] 或者稍微订一下明年过年机票
[24:20] 那很正常的
[24:21] 即便你没有卖掉
[24:22] 这就是标准的财富效果
[24:24] 陆续在攀升当中
[24:25] 它也形成近一轮的脱节
[24:28] 就是AI到底好不好
[24:30] 它其实有不同角度来做观察
[24:32] 因为一方面
[24:33] 财富效果的确撑住了部分经济
[24:36] 可是AI资本支出也成为了
[24:38] 美国经济现在不可忽视的支柱
[24:41] 一旦它垮了
[24:42] 那么过去的排挤效果
[24:44] 其实资金就浪费了
[24:45] 我们从实质GDP当中
[24:47] 先把电脑设备给扣掉
[24:48] 把软体也扣掉
[24:50] 把研发也扣掉
[24:51] 发现把AI这些相关的产品扣掉以后
[24:55] 经济成长率会大幅的下滑
[24:58] 从原本的3.5%
[25:00] 到现在可能只会有0.8%
[25:02] 所以你就可以了解
[25:03] 要是没有AI
[25:04] 那现在经济到底能不能撑得起
[25:06] 进一轮投资
[25:07] 我们找得到下一轮AI投资标的吗
