[00:00] 投资本欢迎收听早晨财经速解读
[03:46] 美国财政部在上礼拜也正式宣布
[03:48] 对于伊朗的石油寄出为期60天的制裁豁免
[03:52] 也就是允许伊朗的石油开始生产
[03:56] 销售交付
[03:57] 美国不会阻挡
[03:59] 甚至连美国的炼油商
[04:00] 都可以直接以美元来购买伊朗原油
[04:03] 这个是40年来
[04:05] 不是40天来
[04:06] 是40年来
[04:07] 美国对伊朗制裁政策最大幅度的放宽
[04:11] 欧巴马时期都还是采取部分伊朗石油禁运的
[04:15] 结果现在几乎是全面开放了
[04:17] 那美方当然希望借此来延续目前的核谈判
[04:21] 降低国际的油价
[04:22] 削弱中国取得廉价一辆原油的优势
[04:25] 并且避免一辆封锁全球
[04:27] 和母资海峡进一步的冲击
[04:30] 当然了市场价格原油价格就一直盘在70美元每桶左右
[04:34] 所以它既没有反映这种市场的紧张局势
[04:37] 也没有说因为现在美方释出了更多善意
[04:40] 原油价格就大幅破底
[04:41] 它大概就保持在70美元上下持续的波动
[04:45] 但是70美元够不够呢
[04:47] 其实已经差不多够了
[04:49] 我们看这一次原油价格
[04:51] 布兰特原油一度跌破了72美元
[04:54] 这就代表着它已经回到了战前水准
[04:57] 本轮原油价格的70点
[04:59] 从这个美伊双方冲突开始的那个时间点
[05:04] 就是原油价格布兰特原油72.48块
[05:07] 那现在已经跌破了
[05:09] 其实就意味着目前能源市场的走向
[05:13] 已经暗示着中东战局已经结束了
[05:15] 未来可能谈判时间还很长
[05:17] 但是对于投资人来说
[05:18] 早就已经结束了
[05:20] 布兰特原油价格
[05:21] 在上礼拜五还重挫3.27美元
[05:24] 跌幅4.34%
[05:26] 每桶收在71.9块
[05:28] 纽约西德州原油
[05:30] 现在跌了2.69块
[05:32] 跌幅3.74%
[05:34] 每桶收在69块
[05:35] 都已经见到六只头了
[05:37] 也就是说
[05:38] 现在原油价格已经完全回吐
[05:40] 美伊冲突爆发之后的大部分的涨幅
[05:43] 所以虽然
[05:44] 我们知道现在新闻的焦点
[05:46] 还是来自于
[05:47] 哇那是不是双方的谈判
[05:49] 又要终止了
[05:50] 那可能情绪又开始累队
[05:53] 可是价格已经成为真正的答案
[05:55] 那很多时候
[05:56] 市场它不会告诉你风险
[05:58] 它会从一些
[05:59] 看似无关的小变化
[06:01] 来透露出答案
[06:02] 那这一次中东局势
[06:03] 它就最好的例子了
[06:04] 虽然美伊冲突和姆斯海峡
[06:07] 商船遇袭的消息
[06:09] 的确上礼拜又开始占据新闻版面了
[06:11] 可是你看原油国际价格
[06:13] 现在已经完全回到战前水准了
[06:16] 而且也没有回涨
[06:17] 那超级邮轮的运价
[06:19] 更在四天内大跌了44%
[06:21] 所以市场上
[06:23] 它没有告诉你一句话
[06:24] 这亲爱的一个谈判
[06:26] 到底形成什么样的结果
[06:28] 你从价格就看得出来
[06:30] 市场已经给出了自己的走向
[06:31] 所以新闻它是可以创造情绪的
[06:33] 但价格才是真正的答案
[06:36] 前两天才看到
[06:37] 老公老婆在聊天
[06:39] 老婆一回家
[06:40] 跟老公聊天
[06:42] 老公是你比较重要
[06:44] 是你的工作比较重要
[06:45] 还是我很重要
[06:47] 那老公说当然是你比较重要
[06:49] 老婆又问
[06:51] 那是你女儿比较重要
[06:53] 还是我比较重要
[06:54] 老公说当然是你比较重要
[06:56] 那是车子比较重要
[06:59] 还是我重要
[07:00] 你撞到哪里了
[07:02] 对不对
[07:03] 所以很多时候
[07:04] 投资人真正相信的
[07:05] 不是战争会持续升级
[07:07] 而是全球原油供给
[07:08] 在恢复的过程当中
[07:09] 油价透露出了哪些方向
[07:11] 有时候价格或者说部分讯息
[07:16] 它已经给出了完整的答案
[07:18] 从这些答案当中你就可以了解
[07:20] 其实你从原油价格的走势
[07:22] 已经看得出来中东战局
[07:24] 不管谈判双方是否还会再多演
[07:27] 它已经从价格层面几乎全面走向了尾声
[07:30] 当然新闻反映的事件
[07:32] 价格反映的是市场共识
[07:35] 投资最重要的事情就是
[07:36] 我们除了看每天发生什么事情之外
[07:39] 其实更需要观察的是
[07:40] 观察别人的反应
[07:42] 新闻观察那是一件事情
[07:44] 市场如何用价格回应
[07:46] 那是更为重要的
[07:47] 当然你说原油价格的回落
[07:50] 是否代表通膨冲几经完全结束
[07:52] 它还是有时间的lag
[07:54] 滞后问题
[07:55] 因为美国汽油价格
[07:57] 现在原油价格已经回到战前水准了
[08:00] 但汽油价格还是比战前高出了接近30%
[08:03] 高油价对于运输航空食品成本
[08:06] 还是要消化数个月
[08:08] 才会完全的给侵蚀掉或者消化掉
[08:11] 原因在于那通膨难免有一点外溢性
[08:13] 或者僵固性通膨的产生
[08:15] 那之前原油价格上涨以后
[08:17] 可能运输价格上涨
[08:18] 运输价格怎么可能回跌呢
[08:20] 就好像你的薪资调涨以后
[08:21] 你怎么可能薪资价格回跌呢所以有时候才看到为什么有些国家会做高强度补贴就不允许你转嫁到终端商品吧不过呢在部分领域部分其实已经看到原油价格
[08:32] 已经转嫁到一些终端商品的
[08:35] 年过性已经开始发酵了
[08:36] 美国各州的油价
[08:38] 大概还是差了接近有一美元左右
[08:40] 现在美国汽车协会AAA最新统计
[08:43] 美国普通汽油价格
[08:45] 平均大概是每家轮3.9美元
[08:48] 那各州落差还是很大
[08:50] 你看加州是5.49
[08:51] 西岸大概都是4块7到5块以上
[08:55] 那有一些能源州
[08:57] 像甘肃市州大概是3美元左右
[08:59] 那造成各州的差异
[09:01] 还是来自于燃油税运输成本
[09:03] 或者炼油能力
[09:03] 那我们要知道
[09:05] 美国现在已经是石油的进出口国了
[09:07] 但是还是每天进口数百万桶的原油
[09:10] 供炼油使用
[09:11] 所以全球原油价格
[09:13] 还是会影响到国内的汽油价格
[09:14] 那我们就看一下
[09:15] 那多快的时间
[09:17] 期货价格会重新传回现货价格
[09:20] 从四大指数来看
[09:21] 上礼拜没有股市
[09:23] 卖压是沉重
[09:24] 不过从宏观来看
[09:25] 它还是在高位震荡
[09:27] 道琼指数下跌44点
[09:28] 0.09%
[09:29] 收在51876点
[09:32] 标普指数下跌3点
[09:33] 0.05%
[09:35] 收在7354点
[09:36] 纳斯达克指数下跌60点
[09:38] 0.24%
[09:39] 收在25297点
[09:41] 这个就有一点卖压
[09:43] 回到季线了
[09:44] 费办是下跌737点
[09:46] 5.29%
[09:47] 收在13203点
[09:49] 虽然它跌幅波动很大
[09:51] 不过它还在越线左右
[09:53] 那当然从上礼拜来看
[09:55] 肺瓣整体在礼拜五
[09:57] 是最哀鸿遍野的
[09:58] AND下跌2.06%
[10:00] 博通下跌3.67%
[10:02] 辉达下跌1.64%
[10:04] 美光大跌6.69%
[10:06] 那我们回过头来看
[10:08] 其在四大指数的承压
[10:09] 从指数来看都还好
[10:11] 甚至连台北股市都是
[10:13] 台股在上礼拜五暴跌1683点
[10:17] 这是史上第三大的收盘跌点
[10:20] 收在44,571点
[10:21] 你看当日跌点就很重
[10:24] 可是看点位
[10:25] 还在44,000
[10:26] 外资在上礼拜
[10:29] 它也卖了1413亿
[10:31] 这是历史第二大的卖超金额
[10:33] 所以外资一方面是刷出史上第一大
[10:37] 然后第二大的卖超纪录
[10:39] 都在上礼拜发生
[10:40] 上礼拜总单周卖超
[10:41] 那也很多
[10:42] 一个礼拜卖了3300亿
[10:44] 融资预约也开始砍
[10:46] 从6100余十亿
[10:47] 单日大减200亿
[10:49] 来到5900亿左右
[10:50] 当然你看
[10:52] 我们都知道单日跌幅很重
[10:53] 但只是波幅放大的结果
[10:55] 就连台股目前
[10:56] 大概都还在月线上下附近
[10:59] 事实上从今年各大资产
[11:01] 绩效来做统计
[11:02] 大多数还是挣报酬
[11:03] 今年涨最多的
[11:04] 已经变成小型股了
[11:06] 小型股涨幅有22.3%
[11:08] 其他项可转债19%
[11:10] 大宗资产已经落到第三名18%
[11:13] 价值股中型股纳指100
[11:15] 涨幅大概15%
[11:17] 美国的REITs
[11:18] 还有新兴市场
[11:19] 开发中市场
[11:21] 或者美国大型股
[11:22] 整体而言
[11:23] 涨幅大概7%到10%左右
[11:25] 那至于债券
[11:26] 涨幅大概是1%到2%
[11:28] 大多数像长天期国债
[11:30] 短天期国库券
[11:31] 或者高收益债
[11:32] 大概都是1%上下
[11:33] 那唯一二收跌的两项增产
[11:36] 一样
[11:36] 第一个是黄金
[11:37] 小跌5.7%
[11:39] 不过呢
[11:40] 从高位跌下来
[11:41] 它跌幅也进入到熊市了
[11:43] 因为黄金今年年初涨幅很大
[11:45] 不过因为它去年涨了63%
[11:48] 前年涨了26%
[11:50] 大前年涨了12.7%
[11:51] 好像这种回档也还好
[11:53] 最惨的是比特币
[11:54] 比特币今年跌幅已经来到31%
[11:57] 这已经是在去年跌幅6.3%之上了
[12:01] 这也说明着
[12:01] 比特币似乎改变了自己过往的
[12:04] 三牛一熊惯性
[12:05] 以前我们看11年到13年
[12:07] 三年高强度的多头以后
[12:10] 14年就直接腰斩
[12:11] 然后15年到17年高强度的多头
[12:14] 18年直接跌7成
[12:15] 所以对于比特币的持有者而言
[12:18] 那跌幅5成以上已经见怪不怪了
[12:20] 可是连续两年下跌
[12:22] 这是比较少见的
[12:23] 那我们当然了
[12:24] 如果把2025年
[12:25] 这个年底的跌幅给划掉的话
[12:28] 其实还是可以观察出来
[12:30] 主要跌幅还是集中在2026年左右
[12:33] 那我们就看一下市场上
[12:35] 有没有更多的讯息流动性的产生
[12:38] 从比特币的价格下跌
[12:39] 和黄金价格的下跌
[12:40] 就足以彰显的
[12:42] 第一现在风险情绪还是偏高
[12:43] 第二市场上流动性资金体量没有想象中
[12:48] 可以造成全面性的泛滥或者繁荣
[12:51] 毕竟现在看起来就是有挑股票在涨
[12:54] 最重要的其实是七巨头的部分
[12:56] 我们看纳斯达克指数
[12:58] 现在还是受制于五月份以来的整理区间
[13:01] 整体来看29000点
[13:03] 它一直是重要的多空的分水岭
[13:05] 废办是一路的往上冲
[13:08] 可是七巨头所组成的纳指
[13:10] 其实开始遭受到沉压
[13:12] 从5月底以来
[13:13] 你像Google Amazon Meta Microsoft
[13:16] 还有甲骨文为代表的大型云端服务商
[13:19] 股价平均累积下跌幅度是16.4%
[13:22] 逼临到熊市
[13:23] 你不要像看下股票
[13:25] 不是啊还热腾腾的
[13:27] 台股都还在4万4
[13:28] 其实七去头再多跌个4%
[13:32] 可能差不多要进入熊市了
[13:33] 当然了从年初报酬没这么差
[13:36] 可是从短线上的回调幅度
[13:38] 卖压其实算是蛮沉重的
[13:40] 如果我们细节观察
[13:42] 在七巨头目前从年初以来的整体涨幅来做观察
[13:46] 标普白指数今年是涨7.23
[13:49] 阿发贝6.14
[13:51] 它已经是七巨头表现最亮丽的
[13:53] 说明在本周所有巨头已经跑输给大盘
[13:58] 标普涨了7.23
[13:59] 阿发贝涨6.14
[14:01] 苹果涨4.7
[14:02] Amazon2.73
[14:04] 辉达1.95
[14:05] 特斯拉收跌13%
[14:07] Meta收跌15%
[14:10] 我们看到迭飞中是微软
[14:11] 微软的部分整体跌幅已经来到21%
[14:14] 那如果是从历史高点来看的话
[14:16] 微软跌幅大概是32%
[14:19] Meta跌幅是31%
[14:21] 特斯拉跌幅18%
[14:22] 辉达17%
[14:24] Amazon 16%
[14:25] 阿发贝16%
[14:26] 苹果大概跌8.7%
[14:27] 所以从这件事情就看得出来
[14:29] 我齐去投
[14:30] 跌很惨的
[14:31] 那重点来了
[14:32] 他们的获利有恶化吗
[14:34] 没有
[14:34] 所以本益比下滑幅度也很快
[14:36] 那你也知道
[14:37] 那好像大家去卖它也不见得是因为
[14:40] 单纯七巨头的体量资金的挪移
[14:43] 似乎是意味着
[14:45] 即便你的获利特别好
[14:47] 可是你投的钱太多了
[14:48] 你有没有可能收不回来呢
[14:50] 所以如果我们细节观察一下
[14:52] 七巨头当前的价格概况
[14:54] 看看市场的松动情况
[14:56] 首先看状况比较好的苹果
[15:00] 苹果股价的确遭受了比较大的卖压
[15:03] 目前正在快速逼近270美元的重要技术支撑
[15:06] 那至少现在是200日移动平均线
[15:09] 长期上升的交汇处
[15:10] 那当然动能还是比较疲惫一点
[15:12] 同时间我们也看到
[15:14] 这段时间苹果其实的
[15:16] 逢低成绩买盘也很强
[15:18] 基本上在年限附近的买盘
[15:20] 不断的有积极买盘来做进场
[15:22] 那后续如果能够成功站稳
[15:24] 这个300块的密集成交区间
[15:27] 应该讲说250到280这块区间
[15:31] 它就能够尝试的做主底
[15:33] 不过我们也清楚知道
[15:35] 苹果的股价
[15:36] 这一波主要还是受到
[15:38] 下半年的涨价
[15:39] 朝对于销量预估
[15:40] 所产生的变化影响
[15:42] 亚马逊已经是七句头里头
[15:44] 表现的算是很不错
[15:46] 亚马逊你看过去
[15:47] 每一次它跌到年限以下
[15:49] 出现反弹速度就很快
[15:51] 所以从成交量图来看
[15:53] 因为现在刚跌破
[15:54] 所以市场就预估
[15:55] 接下来的买盘会非常的强烈
[15:56] 我们就看能不能放量
[15:58] 开始做进一步的支撑
[15:59] 至少亚马逊
[16:00] 从过去两三年来看
[16:02] 它还算是一个底底高逻辑
[16:04] 微软的部分
[16:05] 那就已经扬尾了
[16:07] 好像过去几次回测
[16:08] 的确都吸引了
[16:09] 适度买盘进场
[16:10] 但是现在跌破了
[16:12] 这个多头防线跌破以后
[16:14] 那就说明
[16:15] 这个不只是头部
[16:16] 是超级超级大头部
[16:18] 上面有一个蝙蝠侠的头
[16:19] 那这一次如果又跌破的话
[16:21] 等于从2024年以来的
[16:24] 长期的盘整逻辑
[16:26] 已经正式跌破
[16:27] 那就代表着
[16:28] 市场的恐慌情绪
[16:29] 可能会因此而到来
[16:30] Meta的部分
[16:32] 过去一年没有明显的涨跌
[16:33] 它持续困在
[16:35] 大型的区间整理
[16:36] 中期上升趋势目前还没有跌破
[16:39] 不过股价已经位于200日一动平均线
[16:42] 或者我们可以把它简称为年线的下方了
[16:45] 那接下来就看一下
[16:46] 看起来也是逐步形成了一些头部上的卖压
[16:50] 那Google的部分最近一个月是出现了比较显著的拉回技术面比其他大型科技股好看一点目前还是比年限来得高市场正在挑战100日移动平均线
[17:01] 重要支撑
[17:02] 看看能不能带领着七巨头开始反攻
[17:05] 辉达就不用讲
[17:07] 辉达现在被市场戏称为dead money
[17:10] 死钱
[17:11] 这股价没什么波动
[17:13] 一直停留在去年10月附近的位置
[17:15] 从去年10月份AI永动机当时的高点以后
[17:20] 回答曾经
[17:21] 前一个月曾经尝试做突破
[17:24] 不过这几个消息又明显的拉回
[17:27] 好像就永远活在去年10月的框架里头
[17:30] 当然从周线来看
[17:32] 回答从高点拉回以后
[17:34] 现在还守在大多数均线之上
[17:36] 多头结果没有遭受到破坏
[17:38] 毕竟它是一个重要的稳盘作用
[17:41] 如果连它都率先往下跌
[17:43] 那就说明着市场上的资金未纳量
[17:46] 七巨头基本上已经全面松动
[17:49] 所以回答是最为重要的
[17:50] 那特斯拉
[17:51] 特斯拉已经没有人在管他了
[17:52] 特斯拉已经盘整太长一段时间了
[17:55] 现在又开始做均值回归
[17:56] 现在市场焦点都在SpaceX身上
[17:59] 当然这些问题其实都来自于
[18:01] 其实并不是获利的问题
[18:03] 这些科技股的财报都好得不得了
[18:06] 重点还是来自于AI投资狂潮
[18:09] 它的热情
[18:10] 它会如何做结束
[18:11] 我们知道阿发被在6月份
[18:14] 才刚宣布高达850亿美元的股票募资
[18:17] SpaceX也完成了750亿美元的IPO
[18:20] 然后有OpenAI
[18:21] Enthorpe还有Meta
[18:23] 后续都有进一步的筹资计划
[18:25] 那表面上来看
[18:27] 发行股票是可以强化资产负债表
[18:29] 对于债权人士利多了
[18:30] 但市场就是很担心
[18:32] 这个AI基础建设的投资
[18:34] 会远远高于市场预期
[18:36] 那么后续的回收
[18:37] 就可能形成进一步的沉压
[18:39] 要不然如果细看
[18:40] 标普企业目前的营业利益率
[18:43] 其实维持大概在16%左右的高档
[18:46] 这说明股市基本上
[18:48] 还是可以维持偏多格局
[18:49] 因为真的很赚钱
[18:50] 所以你发现
[18:51] 市场上也不是一股脑的热情
[18:53] 看起来就算你很赚钱
[18:55] 我现在更担心
[18:56] 你钱收不收的回来的问题
[18:58] 所以股价层面
[18:59] 只愿意给予那些卖产值的企业
[19:02] 买产值的公司
[19:03] 现在看起来
[19:04] 好像没法获得更进一步的信赖
[19:06] 我们据来说
[19:07] 张图表示五大云端业者
[19:09] 未来12个月的自由现金流
[19:12] 预估和标普白指数的变化
[19:13] 那以前都是亦步亦趋
[19:15] 你的现金流越多
[19:17] 那股价就涨越凶
[19:18] 因为这代表着
[19:19] 你的口袋里越来越深
[19:21] 可是你看过去两年
[19:22] 亚马逊 微软 阿发贝 Meta
[19:25] 甲骨文的自由现金流
[19:26] 现在大幅度的往下掉
[19:29] 那当然不是企业获利恶化
[19:31] 就是因为钱都在投
[19:33] 口袋快要没有钱
[19:35] 所以你对于美股投资人
[19:37] 他的恐慌
[19:38] 他的担忧是可以理解的
[19:40] 他对于台湾投资人也会犹豫
[19:41] 一直卖产值的
[19:44] 现在挖金矿的快要没钱了
[19:47] 现在就两种结局
[19:48] 极端一点的话
[19:49] 第一种
[19:50] 有一天七巨头玩不下去了
[19:52] 破产台厂被倒账
[19:54] 这个也很难不拖累台股
[19:58] 第二
[19:58] 七巨头最后
[20:00] 能够成功的回收这些资本支出
[20:03] 付钱给台厂
[20:05] 台厂变成最大赢家
[20:06] 所以有没有发现
[20:07] 面对这种情境
[20:08] 最后还是取决于
[20:10] 你是不是科技乐观论者
[20:11] 所以从这样的一个表现
[20:13] 都看得出来
[20:14] 市场的担忧
[20:15] 已经造成了部分股票处于极低估值
[20:18] 如果你没有改变
[20:20] 你仍然是科技乐观论者
[20:21] 你已经清楚知道
[20:22] 就算指数还没崩
[20:24] 现在遍地是钻石
[20:27] 现在可能是一个非常好买股票的时机
[20:30] 如果是从单纯部分指数
[20:33] 或者个股逻辑来看的话
[20:34] 有很多巨头
[20:35] 本益比已经出现了显著的松动和空间
[20:38] 等到下一个季度
[20:39] 获利它一定又拉上来
[20:40] 本益比可能又重新拉高
[20:42] 可是在现在这个财报空窗期
[20:44] 它本一笔下滑幅都会非常非常快速
[20:47] 那就看吸不吸引你了
[20:49] 当然你也可以借由ETF的方式
[20:50] 来进行个股风险的分散
[20:52] 可是可以看得出来
[20:53] 现在市场资金的挪移
[20:55] 市场开始犹豫
[20:57] 其实就是一种讯号
[20:58] 就是本来在投资市场当中
[21:01] 不买就是股价跌
[21:02] 获利没有成长
[21:05] 那等同于衰退
[21:06] 七巨头不再起涨起跌
[21:08] 甚至有人跌破年线
[21:10] 有人在横盘整理
[21:12] 有人维持强势
[21:13] 但是很弱的强势
[21:14] 代表市场已经不再运用
[21:16] 同一套逻辑来评价
[21:18] 所有的AI企业
[21:19] 他没有告诉你
[21:20] AI行情结束了
[21:21] 但他告诉你资金开始分化了
[21:23] 那本身就是市场
[21:24] 给错的答案
[21:26] 钱不太够了
[21:27] 我能够借的钱就这些
[21:28] 那我现在要挑股票了
[21:30] 所以七巨头全面普涨的时代
[21:33] 也许来到尾声
[21:34] 那代表的是
[21:35] AI选股时代开始
[21:36] 可是只有这些七巨头成功
[21:39] 我们现在的选股才会成功
[21:41] 大家是绑在一块的
[21:42] 真正转变不是说AI需求消失
[21:45] 是市场很明显开始检验
[21:47] 每一家公司能否把庞大的AI投资
[21:49] 转化成获利和现金流
[21:51] 市场看起来是越来越谨慎的
[21:53] 我反而认为这是好事情
[21:54] 有时候从价格层面
[21:57] 从资金轮替层面
[21:58] 它就已经透露出一些方向
[22:01] 市场从来不会说话
[22:02] 跟刚才我们看到的价格一样
[22:05] 它价格本身就是一种答案
[22:08] 那就是要怎么讲
[22:09] 利多不涨就是有人在卖
[22:11] 利空不跌就是有人在买
[22:14] 成交量萎缩就是市场还在观望
[22:17] 高档爆量就是分歧在加剧
[22:19] 趋势反转往往不是一天形成的
[22:22] 它是一次次讯号累积的结果
[22:25] 所以在这样效果底下
[22:26] 等同于行情走到这一步
[22:28] 价格和资金体量
[22:30] 它已经暗示出市场的心理情绪
[22:32] 市场是有点担忧的
[22:34] 市场是精明的
[22:35] 那句话是怎么说的
[22:37] 答非所问就是回答
[22:39] 敬而远之就是不喜欢
[22:42] 沉默不语就是拒绝
[22:44] 闪烁不定就是撒谎
[22:46] 冷战就是不怕失去
[22:48] 所以有一天你会明白
[22:49] 利多不涨就有人在卖
[22:51] 利空不迭就有人在买
[22:53] 现在行情走到这一步
[22:54] 市场已经开始用价格
[22:56] 用资金投出自己的论调了
[22:58] 所以你不要再讲说市场全面乐观了
[23:00] 好了融资是有点高了
[23:02] 职业是有点多了
[23:03] 但是市场有极度乐观
[23:05] 从整个美股大盘来看
[23:07] 我认为并没有想象中来得多
[23:08] 甚至连中国科技股也在下跌
[23:11] 如果我们细看
[23:12] 目前在阿里巴巴
[23:14] 腾讯等大型全资股
[23:16] 上礼拜卖压也非常沉重
[23:19] 亚洲科技股单周遭到外资净卖出
[23:21] 68亿美元
[23:22] 很多全资股目前跌幅
[23:25] 已经进入到熊市了
[23:26] 所以这件事情就看出来
[23:28] 中国网络股本益比已经不算高了
[23:30] 中国这些网络巨头
[23:32] 本益比大概14 15倍
[23:33] 美国平均大概是25到30倍
[23:36] 它本益比例这么低
[23:38] 看起来也没有造成
[23:39] 进一步的周期轮动
[23:40] 反正只要是巨头
[23:42] 再花钱的都先杀下去
[23:43] 再卖产值的
[23:45] 再做半导体的
[23:47] 看起来价格至少能够拖住
[23:49] 再加上市场上的杠杆压力
[23:52] 来得越来越大
[23:53] 就会开始进行
[23:54] 进一步的筹码清理
[23:56] 如果我们细节观察
[23:57] 现在的确有不少投行
[23:59] 发出了比较看空
[24:00] 比较保守的报告
[24:01] 这一波比较保守的报告
[24:03] 应该就是以美银作为主流
[24:05] 那美银的看法
[24:06] 基本上都处于
[24:07] 主要并不是来自于
[24:09] 系统性风险的泡沫破灭
[24:11] 而是来自于市场
[24:12] 针对AI的重新定价
[24:14] 股价的个别分化
[24:15] 以及杠杆的回挡
[24:17] 事实上如果我们根据
[24:19] 当前ETF的扩张速度
[24:21] 还是非常快的
[24:22] 所以如何能够
[24:24] 让市场成功的降温
[24:25] 看ETF的数据
[24:26] 能够成功降温
[24:27] 也说明着
[24:28] 市场上开始来得更加稳定
[24:30] 如果从美国
[24:31] 现在ETF的累积净流入
[24:33] 在今年已经突破了一兆美元
[24:36] 按照目前的速度推估
[24:37] 全年搞不好就突破两兆了
[24:39] 不仅刷新历史记录
[24:40] 还比去年增长了33%
[24:42] 尤其现在成长最多的
[24:45] 如果是从市金量
[24:47] 当然还是全资型ETF
[24:48] 可是如果是从年增幅
[24:50] 基本都是杠杆型ETF
[24:52] 其中我们看到
[24:54] 在美欧股市市场当中
[24:55] 以两倍做多
[24:57] 罗素2000的ETF
[24:58] RAM最受资产价格的吹捧
[25:01] 单日成交金额是4亿美元
[25:03] 其中还包括两倍做多的标普牌SPCH
[25:07] 还有两倍做多标普牌产品
[25:09] 专门做多三倍或者
[25:12] 应该讲到两倍或者三倍的SOXX
[25:14] 像是SOXL
[25:16] 用杠杆ETF来积极的扩大部位目前已经形成投资人的进一步主流偏好那这样的一个规模就导致总资产在杠杆型ETF已经正式突破了2000亿美元透过衍生性商品放大杠杆的曝现
[25:30] 甚至高达5000亿美元
[25:32] 所以不是只有台湾韩国人在直接
[25:35] 在美国市场当中
[25:36] 资金流入到杠杆型ETF的速度
[25:40] 其实越来越快
[25:40] 当然正由于由南韩所掀起的这一波风潮
[25:44] 今年6月份
[25:46] 美国单月新挂牌的ETF数量
[25:49] 就突破了185档
[25:51] 创下历史的新高
[25:53] 远远高
[25:53] 以前每个月大概就20到80档
[25:56] 现在一个月185档
[25:59] 各种主题型
[26:00] 主动式杠杆的产品
[26:02] 现在为了要满足
[26:03] 投资人的多元需求
[26:05] 而且每档ETF发行
[26:07] 档档募资规模都非常高
[26:09] 这就形成市场上
[26:11] 进一步的投机情绪
[26:12] 所以你像高盛和美银的看法是
[26:14] 何时这种状态能够释怀
[26:16] 说明着市场情绪稍微稳定一点
