[00:00] 投資朋友歡迎收聽早晨財經速解讀
[06:24] 本来就伴随着资金轮动
[06:26] 从1986年以来的中位数
[06:28] 数据来做统计
[06:29] 美国共同基金
[06:30] 本来就会在选前
[06:32] 稍微提高一下现金部位
[06:34] 所以主动型的
[06:35] 可能会卖一点股票
[06:37] 那被动型的呢
[06:38] 反正你敢下跌
[06:39] 我就持续来做配置
[06:40] 这就是美国股市目前的市况
[06:42] 也就是我们也不要期待说
[06:44] 杠杆能够全面清理的清理
[06:46] 那个开高杠杆的
[06:48] 买正二的正三的
[06:50] 稍微清理一下差不多了
[06:52] 你要说去搞直压的
[06:54] 杠杆拿来做超车
[06:56] 它不是飙车
[06:57] 它是超车嘛
[06:57] 做优化买大盘的
[06:59] 扩大自己的部位的
[07:00] 你要把它洗掉
[07:01] 我认为也是有点难度的
[07:02] 那第二件事情
[07:03] 就是看韩国股市的止跌效果
[07:05] 因为韩国毕竟是本轮杠杆领头羊嘛
[07:08] 如果韩国股市能够顺势的止跌
[07:10] 那当然也不希望接下来
[07:12] 又重新把杠杆给加回来
[07:14] 但能够顺势的止跌
[07:16] 市场也能够有趋稳的可能性
[07:18] 因为韩国股市从6月下旬高点
[07:20] 这样子跌下来
[07:21] 7月是跌了三成
[07:22] 但是它6月份就开始跌了
[07:24] 如果把6月份算进来的话
[07:26] 它已经重挫40%
[07:28] 7月是跌了33%
[07:30] 所以你看前两天
[07:32] 韩国政府紧急召开会议
[07:34] 来研拟稳定汇市和股票市场相关方案
[07:38] 市场目前所讨论的政策工具
[07:40] 第一个就是准备要启动
[07:42] 10兆韩元的股市稳定基金
[07:45] 国安基金
[07:46] 第二就是祭出放空禁令
[07:49] 第三进一步限制杠杆型ETF
[07:51] 第四是提高融券融资保证金要求
[07:55] 那预估在8月份
[07:57] 具体数据和政策就会出来
[07:59] 不过7月最后一天股市涨回来
[08:02] 是否还有必要做进一步的护盘
[08:04] 值得留意
[08:04] 因为南韩跟台湾不一样
[08:06] 台湾的国安基金是非常有道义
[08:09] 付盘付到你关税谈判结束
[08:12] 从关税开打到关税谈判结束
[08:14] 他都在付
[08:15] 南韩上一次的
[08:17] 股市稳定基金的启用
[08:18] 是2008年金融海啸近年不管是疫情还是戒严风波他都没有正式动用过所以如果政府直接宣布进场买股票应该对于韩国股市的提振效果
[08:30] 可能比台股的国安基金还来得大
[08:32] 因为他很少做过
[08:33] 但是也有可能形成道德风险
[08:35] 因为韩国股市就算他跌那么多
[08:38] 他今年还是涨很多
[08:39] 好像也不太恰当
[08:40] 市场也认为重新实施放空禁令
[08:43] 虽然也可以降低卖压
[08:44] 但恐怕会再次打击外资信心
[08:47] 南韩一直希望能够挤进到
[08:49] 你开发市场啊
[08:50] 不要再跟我们一样
[08:51] 在新兴市场了
[08:52] 那你当然要做
[08:53] 内部的体制改革嘛
[08:54] 所以呢
[08:55] 这个应该都是属于
[08:56] 最后手段
[08:57] 毕竟现在韩国股市
[08:59] 虽然乖离回调这么大了
[09:00] 从今年1月到4月
[09:02] 它涨幅还是有40%
[09:04] 虽然它现在也跌了40%了
[09:06] 但跌了40%
[09:07] 都还涨40%
[09:08] 你就知道今年
[09:09] 它飙得有多夸张
[09:10] 你看韩国股市在昨天
[09:12] 其实是已经把
[09:12] 4月8号以来的跳空涨幅
[09:15] 都跌完了
[09:16] 现在韩国人应该
[09:18] 不想玩股票了
[09:19] 这都圣诞术
[09:20] 下一个流行的游戏
[09:22] 之前是加密货币
[09:23] 然后有一阵子是特斯拉
[09:25] 最近是记忆体
[09:26] 下一个的流行的游戏
[09:29] 可能真的就是鱿鱼游戏了
[09:31] 对不对
[09:31] 这叠成这样子
[09:32] 很恐怖
[09:33] 你要想想看
[09:34] 这种叠法
[09:35] 它等于韩国人
[09:38] 每个人都去买了
[09:39] 国具正恶的感觉
[09:41] 你知道吗
[09:42] 这跟我们买台积电
[09:43] 跟他们买三星
[09:44] 不是同一个概念
[09:45] 他们买三星
[09:46] 买SK海力士
[09:47] 等同于买国具
[09:48] 那韩国股市的去杠杆到底结束了吗
[09:51] 目前还是有一点分歧的
[09:53] 越南韩股市虽然下跌了
[09:54] 接近有40%
[09:55] 摩根大通的看法是
[09:57] 其实去杠杆已经接近完成了
[09:59] 最终韩国股市的ETF规模
[10:01] 从6月底的500亿美元
[10:03] 现在只剩下170亿
[10:05] 有接近四分之三的人都已经离开了
[10:07] 避险基金的多空比
[10:09] 也从5.7倍降到3.2倍
[10:12] 但小摩的预估
[10:13] 基本上是90%的避险基金
[10:16] 已经完全去化完成
[10:18] 尤其韩国COSPI指数目前的前瞻本益比
[10:21] 哇已经掉到五倍了
[10:23] 自由现金流估值也来到危机水准
[10:26] 所以的确它的股市下压幅度已经很高了
[10:29] 不过汇丰的看法就不太一样
[10:31] 因为在7月底南韩散户的融资余额
[10:34] 还是高达320亿韩元
[10:37] 大概是220亿美元
[10:39] 相对于高点大概下滑15%左右
[10:43] 所以如果它的概念是这样
[10:45] 融资的减幅如果低于股票市场的跌幅
[10:49] 那么就去化的不够充分
[10:51] 这也是一个角度
[10:52] CB承认
[10:53] 我们看到的更多迹象
[10:55] 看起来像是完正二的
[10:57] 完正三的被洗掉了
[10:59] 可是借钱来投的
[11:01] 他还在补保证金
[11:03] 他还跟你硬奥
[11:04] 有这样一个感觉
[11:05] 这是两家投行目前认为是有降温
[11:07] 但是有些认为去化的不够完全
[11:09] 像台股
[11:10] 你如果是看民间的融资维持率
[11:13] 应该已经碰到130了
[11:15] 应该是真的有段头潮发生了
[11:16] 但是对于韩国股市而言
[11:18] 他们的看法是
[11:19] 正恶的被洗掉了
[11:20] 融资的还没有清洗干净
[11:22] 我们从几支图表来做观察
[11:23] 你像南韩杠杆型的ETF
[11:25] 在7月份的高点是500亿
[11:28] 现在是170亿
[11:29] 所以我个人的看法是
[11:31] 至少杠杆型ETF的热潮
[11:33] 已经正式结束
[11:34] 不会再引起新一波的杠杆加成
[11:37] 那第二个是避险基金
[11:38] 在去杠杆的过程当中
[11:40] 从当时多空比高点明显回落
[11:43] 2018年
[11:44] 从18年以后就在快速上升
[11:47] 然后到25年26年
[11:49] 今年6月份来到高位
[11:50] 然后7月份大幅回调
[11:52] 现在大概已经回到
[11:53] 3月到4月的水准
[11:55] 虽然也不算低
[11:56] 但我觉得这种回调幅度
[11:58] 也算不小
[11:59] 从散户资金量来看的话
[12:01] 融资余额虽然在250亿美元左右
[12:05] 还算是历史高点
[12:06] 不过以整体股市市值来看
[12:08] 融资余额占市值的比重
[12:10] 反而持续下滑
[12:11] 意思就是说
[12:12] 虽然我们知道
[12:13] 融资的减幅好像是低于股市的跌幅
[12:15] 可是至少融资占股市的比重并没有这么高
[12:19] 所以其实借钱来玩的人没这么多
[12:21] 大多数人更偏好去买正额
[12:24] 而不是借钱来做投资
[12:25] 而这两种上杠杆的区别
[12:27] 最后就是外资
[12:28] 外资针对今年韩国股市的卖超也够大了
[12:31] 卖了1100亿美元
[12:33] 这个比台股大的多
[12:35] 等同于三兆台币
[12:37] 那摩根大通认为
[12:38] 这一波的资金流出并非全面看空韩股
[12:41] 而是受到大型机构投资人的持股限制
[12:44] 指数调整等被动因素影响
[12:46] 那90%的外资卖压
[12:48] 都是集中在三星和SK海力士
[12:50] 实际两家公司在新市场的指数权重
[12:53] 逐步的完成
[12:54] 相关的被动卖压
[12:55] 应该在未来几个季度也会逐步的放缓
[12:58] 那更重要的事情是
[12:59] 目前看起来
[13:01] 供需缺口完全没有做任何的改善
[13:03] 都是跌估值
[13:04] 都是跌杠杆
[13:05] 那换句话说
[13:06] 有没有一天我们可以期待三星股价再上历史新高
[13:09] 应该是可以跟我们期待台积电
[13:11] 再创历史新高是一样的概念
[13:13] 所以也许外资终究会有回补的一天
[13:16] 那当然了最重要的外资回补
[13:18] 它的角度也不是单纯看不看好记忆体
[13:21] 而是估值的问题
[13:22] 因为现在韩国股市
[13:24] 未来12个月的预估本益比
[13:25] 大概已经降到8倍
[13:27] 如果你以两倍杠杆型ETF的
[13:31] 隐含估值来看
[13:32] 或者说你把2028年的EPS
[13:35] 提前来进行
[13:35] 现在国家做反应
[13:37] 哇本益比只剩下5倍
[13:39] 只是说明
[13:40] 它只要企业获利没有进一步恶化
[13:43] 它就会迎来
[13:44] 这可能是2008年以来最便宜的一刻
[13:47] 至少从它的获利成长幅度来看是如此
[13:50] 当然刚才我们也提到了
[13:52] 汇丰的看法就是
[13:53] 融资还减得不够多
[13:55] 我们最好一次把它给清理光
[13:57] 来得更干净
[13:58] 不过我们也清楚知道
[14:00] 这个要把市场上所有人给清除场
[14:02] 我认为还是有点难度的
[14:04] 韩国股市现在最大的优势是什么
[14:06] 就是本益比有够低
[14:07] 低到什么地步
[14:09] 我们前阵子有跟投这篇有看
[14:10] 你把明年的EPS
[14:13] 拿来跟现在的股价
[14:14] 进行前瞻本益比的推估
[14:16] 你看亚马逊是几倍
[14:17] 23倍
[14:18] Google22倍
[14:19] 微软20倍
[14:20] 戴尔20倍
[14:22] 台积电有19倍
[14:23] 辉达16倍
[14:24] 你看最后三个记忆体
[14:25] SK海力士
[14:27] 现在本益比才4倍
[14:28] 美光才6倍
[14:29] Sendix才7倍
[14:31] 你把三只记忆卡挖
[14:34] 你把闪迪
[14:35] 把美光
[14:36] 把海力士加起来
[14:38] 前瞻本益比都比台积电还低
[14:40] 你就知道他们的基期到底有多低了
[14:42] 主要就来自于获利的大幅喷发
[14:45] 所以即便它的股价涨那么多
[14:47] 你看本益比还是这么低
[14:48] 就代表EPS成长的速度
[14:50] 其实还是很明显追上了股价上涨的速度
[14:53] 台积电19倍
[14:54] 你把他们三只加起来都不像台积电一样贵
[14:57] 当然本益比不能这样加
[14:58] 但是注意彰显着
[14:59] 韩国股市现在唯一的优点就是基期有够低
[15:02] 好那回过头看台股
[15:04] 台股的部分从7月份以来
[15:06] 是跌了6192点
[15:08] 外资的累计卖超是8000亿左右
[15:11] 当然如果是从整年度卖超
[15:13] 也不小了
[15:14] 大概是1.7兆
[15:15] 大概是韩国市场的一半左右
[15:18] 那现在呢
[15:19] OTC市场级表现的更弱了
[15:21] 就代表着
[15:21] 其实这一波内资人踩人的角度
[15:24] 来的更大
[15:24] 刚才还有看到
[15:26] 有投资朋友在聊天室聊
[15:28] 说又要睡公园了
[15:29] 拜托我们现在才从公园回来
[15:31] 又要睡
[15:32] 对不对
[15:32] 至少先回饭店睡一天
[15:34] 腰有点痛
[15:35] 我们会讲过
[15:36] 每隔一段时间就要睡公园
[15:38] 但是我们已经从
[15:39] 当年的青年公园
[15:42] 睡到228
[15:43] 再从228睡到大安森林公园
[15:46] 现在已经睡到大酒保公园了
[15:48] 不要这么不知足
[15:49] 好不好
[15:49] 我们公园就一步一步
[15:51] 睡公园也是底底高
[15:53] 难免每隔一段时间
[15:54] 就会乖离回调
[15:55] 但是一间睡得比一间好
[15:58] 这就是人生的周期
[16:00] 人生就是会有高潮和低潮
[16:02] 好不好
[16:02] 我低潮也很满
[16:03] 但重点在于
[16:04] 你在低潮的时候
[16:06] 你能不能贯彻左侧投资的意图
[16:09] 所以我们要呼应主题
[16:10] 那说到底
[16:11] 很多人说现在东西谈了谈了
[16:13] 该减码还是做多
[16:14] 当然你个股跌很重的
[16:16] 你要说一些报价涨价潮概念股
[16:20] 你要让它突破历史新高
[16:21] 那有一段距离了
[16:22] 个股跌很重的
[16:24] 以防你要再经历一次
[16:25] 那也许减码是对的
[16:27] 但是大盘大至今
[16:28] 我现在你刚看到了那很多巨头
[16:31] 都要到现在即便大谈
[16:33] 股市都还是属于偏低基期
[16:35] 尤其是美股期巨头
[16:37] 这是我个人的看法
[16:38] 那你要不要做多你的选择
[16:40] 或者用ETF的方式来分散风险
[16:42] 真的觉得这一次个股波动太大
[16:44] 那是一个很好的教训其实你发现今年持有台积电0050是真的还好了绝对不会跌到你要离场的地步根本没怎么跌对不对不要狙狙的男人
[16:56] 还算是个男人吗
[16:58] 对不对
[16:58] 所以我们才讲说
[16:59] 有时候持有大盘
[17:01] 有大盘的好处
[17:01] 报酬稍微低一点
[17:03] 但是你不会被洗掉
[17:04] 因为根本跌不够重
[17:05] 外资在今年是卖了台股1.7兆
[17:08] 头信买超是6166亿
[17:10] 贵买的部分
[17:11] 外资反而卖没那么重
[17:12] 191亿
[17:13] 头信是买了125亿
[17:16] 你要想想看
[17:16] 5月份
[17:17] 那个时候我们才每天讲
[17:19] 哇台股4万点
[17:20] 台股4万点
[17:21] 台股破4万点了
[17:22] 现在台股破4万点了
[17:24] 都是4万点了
[17:25] 但是心理情绪却差得非常多
[17:27] 事实上主要就来自于融资的减幅
[17:30] 韩国股市融资减幅
[17:31] 基本上没有想象中来得大
[17:33] 不过台股
[17:34] 这个月融资也减了2000亿
[17:37] 这减幅不少
[17:38] 基本上已经跟上大盘的跌幅了
[17:40] 你看昨天又减了131亿
[17:42] 等于连续六个交易日
[17:44] 在显著的减少
[17:45] 那这也代表着
[17:46] 整户维持率在持续下滑
[17:48] 如果我们是用证交所的
[17:50] 统计规则来看整户维持率
[17:52] 就把ETF也算进去
[17:54] 那ETF怎么可能有人
[17:55] 会碰到维持率的问题
[17:56] 不过现在大概是156.8%
[17:59] 好像很健康
[18:00] 但是如果我们用民间的来统计
[18:03] 现在数据
[18:04] 还有几家网站在公布
[18:06] 顽古网现在还打开了
[18:07] 可能过几天又关掉了
[18:09] 不确定
[18:09] 但剔除ETF的融资维持率
[18:12] 现在是131.7
[18:14] 在昨天晚上
[18:15] 那131就代表着一定有人断头
[18:18] 不是断头
[18:19] 是志愿平仓
[18:21] 非志愿平仓
[18:23] 不是断头
[18:23] 但是你可以观察到
[18:25] 这一股现象就说明着
[18:26] 台股融资有没有算显著的清理
[18:28] 有
[18:29] 那台股直押呢
[18:30] 应该是没有
[18:31] 因为稍微问了一下
[18:32] 基本上很多人直押
[18:34] 他也不是买个股了
[18:35] 他都现在流行买ETF
[18:37] 用这样的一个方式扩大杠杆
[18:39] 但是可以看到的事情是
[18:41] 台股的融资
[18:42] 其实清洗幅度
[18:42] 也相对来的大了
[18:43] 那我们当然不希望
[18:44] 一次就开始V转弹上去
[18:46] 很多人希望就V
[18:48] 好像的确是如此
[18:49] 川普行情以后
[18:50] 好像没有盘叠
[18:52] 超过三个月过
[18:53] 好像是这样子
[18:53] 没错
[18:54] 这有政策面的干预
[18:55] 但是其实你扪心自问
[18:57] 作为一个长期投资者
[18:58] 你希望不希望
[18:59] 洗盘洗得更干净
[19:01] 等到大家绝望的时候
[19:02] 市场交易量降低
[19:04] 才能够彻底的
[19:05] 把筹码给清洗干净
[19:06] 这其实更好
[19:07] 如果V
[19:07] 我怕到时候融资
[19:08] 马上就回来了
[19:09] 但散户逃得快
[19:11] 进来也很快
[19:12] 所以从这件事情就说明了出来
[19:14] 基本上大家的操作概念不太一样
[19:16] 有些人是不容易被洗掉的
[19:18] 尤其是放大杠杆
[19:19] 但是采取ETF的方式来参与的
[19:21] 但个股就不一样了
[19:23] 你看国巨
[19:23] 虽然6月份营收创下历史性高
[19:26] 接单出货比已经冲高到2.2倍了
[19:30] AI营收相关都上升到16%了
[19:32] 但是这股价跌下来
[19:34] 跌破1000你不相信会到900吗
[19:36] 900你不相信会到800吗
[19:38] 800不相信到700
[19:39] 700不相信到600
[19:40] 600不相信到500
[19:41] 500不相信到400
[19:42] 从1220块连吞三根叠挺
[19:46] 叠破周线月线季线
[19:48] 所以你说有没有机会反弹
[19:49] 当然有机会反弹
[19:50] 但是你说到底要做多还是加
[19:53] 我觉得这从不同类型的个股
[19:56] 其实已经表达出来
[19:57] 你不同的操作者
[19:59] 在现在会有不同的接近方式
[20:00] 即便股票市场今天即将迎来大反弹
[20:03] 我们讲说问君能有几多筹
[20:06] 国巨买在千字头
[20:08] 昨天才听到网友讲
[20:10] 在券商
[20:11] 听到阿伯跟营业员的对话
[20:14] 阿伯说
[20:15] 现在市场跌成这样
[20:17] 林伯赔了六成
[20:19] 该怎么办
[20:20] 营业员说
[20:21] 阿伯现在记忆体和被动元件
[20:24] 长期展望还是向好的
[20:26] 如果你还有子弹
[20:27] 不妨逢低买进
[20:29] 可以摊低成本
[20:31] 阿伯说
[20:32] 如果林伯还有子弹
[20:33] 林伯就把你毙了
[20:34] 所以我们看
[20:36] 这个买个股跟买大盘
[20:38] 买台积点
[20:39] 在本轮的操作方式
[20:41] 即便在反弹格局
[20:42] 可能方式也要稍微谨慎思考一下
[20:44] 这是值得大家观察的重点
[20:46] 好我们先看一下
[20:47] 美股市四大指数的表现
[20:49] 道琼指数上涨613.1.19%
[20:52] 收在52208点
[20:54] 标普上涨121.1.66%
[20:56] 收在7437点
[20:58] 纳指上涨679.278%
[21:02] 收在25122点
[21:04] 你会发现投资标股跟投资道琼好像根本没回调
[21:08] 这一轮有回调过吗
[21:10] 一点感觉都没有
[21:11] 真正摔比较重就是晶片股
[21:12] 费办昨天是暴涨855.8.19%
[21:16] 收在11302点
[21:17] 那昨天台积电ADR是上涨了7.6%
[21:20] 联电ADR上涨10.7%
[21:23] 那我们就看一下这两大晶圆代工指标
[21:26] 今天是否能够顺势的带动上工
[21:30] 当然了我们回过头说
[21:31] 在昨天因为盘后公布财报之后
[21:33] 开始陆续影响七巨头的股价表现
[21:36] 微软和Meta
[21:37] 同样都是投入千亿美元
[21:39] 来扩建AI基础建设
[21:41] 但股价却走出了不太一样的方向
[21:43] 微软是单日大涨了15.5%
[21:45] 因为Asia营收成长43%
[21:47] 而且Copilot现在付费的用户
[21:50] 已经超过3000万个
[21:51] 而且扣除资本支出以后
[21:53] 单季还是有200亿美元的现金流
[21:55] 微软本身财报现况还是很不错
[21:58] 而且微软你看
[22:00] 它的本益比现在已经回到24倍
[22:02] 基本上跟2022年的乌二战事
[22:06] 还有2020年的新冠疫情差不多了
[22:08] 现在它的基期是比去年关税战还要来得低
[22:11] 那微软股价昨天也是暴涨双位数字
[22:13] 微软闷了大半年
[22:16] 今天看起来终于能够变成救世主了
[22:19] 靠微软硬起来
[22:20] 那Meta就不一样了
[22:22] 下跌接近8%
[22:23] 它已经连续11个交易日收黑了
[22:25] 也不是AI没有成效
[22:27] 就回报还是不够直接
[22:28] 而且这次没有释出更多算力出租的消息
[22:32] 第二季营收年增幅28%
[22:34] 广告曝光14%
[22:36] 平均价格12%
[22:37] 但是自由现金流是最大的问题
[22:39] 年减9乘1
[22:41] 只剩下7.8亿美元
[22:43] 而且研发支出暴增67%
[22:45] 所以说看起来调高资本支出
[22:48] 如果你没有相对应的营收回馈
[22:50] 市场的评价看起来是很严格的
[22:52] 再来看看苹果
[22:53] 苹果上个季度的营收是1094亿美元
[22:56] 年增幅16%
[22:58] iPhone营收也不错
[22:59] 有22%
[23:00] 年增幅来到543亿美元
[23:02] 但重点来自于公司预估本季营收
[23:05] 接下来可能只会成长9%到11%
[23:08] 这低于华尔街的预期
[23:10] 毛利率的终止
[23:11] 也可能从上个季度的50%下滑到46.5%
[23:15] 那为什么呢
[23:16] 其实并不是iPhone突然销售不好了
[23:18] 今年上半年其实iPhone销售还不错
[23:20] 因为大家担心下半年会涨价
[23:22] 先买旧机款
[23:23] 主要就是记忆体的涨价
[23:26] 记忆体因为单季价格
[23:28] 现货已经涨了300%
[23:30] 那苹果虽然
[23:31] 我们说苹果最厉害
[23:32] 就是溢价能力
[23:33] 压下游
[23:34] 靠规模
[23:35] 靠溢价能力
[23:35] 撑过前几季
[23:36] 但现在他也开始承认
[23:38] 弹性明显在下滑
[23:40] 可能下半年的成本压力
[23:42] 被迫要放大
[23:43] 那么毛利率肯定会压缩
[23:45] 那你毛利率不想压缩
[23:46] 你的价格就要抬高
[23:47] 价格抬高
[23:48] 你下半年卖得出去吗
[23:50] 这也让苹果的特殊处境
[23:52] 更加明显
[23:52] 相对于Google
[23:54] 单季资本支出就449亿
[23:56] 苹果稍微好一点
[23:57] 今年上半年才投68亿
[23:59] 它根本连AI资料中心都没盖
[24:01] 所以成为了资金的避风港
[24:02] 可是AI投资潮
[24:04] 却从供应链去反噬苹果
[24:07] 就算你没有跟我们一起做投资
[24:09] 记忆体涨价也会烧到你
[24:11] 所以也是在找利空来做下跌
[24:14] 当然最重要的原因
[24:15] 还是来自于大中华地区
[24:17] 目前的确营收增长预期
[24:19] 并没有想象中还要来得好
[24:21] 开始做下行了
[24:22] 我们过去也提过
[24:23] 苹果这几年在iPhone的营收
[24:26] 它就是一个缓步增长的过程
[24:28] 可是在服务营收
[24:29] 成长幅度则是逐个季度持续创高
[24:32] 那我们就看
[24:32] 双方能否在软硬体股的转型过程当中
[24:37] 能够取得更好的平衡
[24:38] 也要看一下苹果如何因应未来的AI商机
[24:41] 再是亚马逊
[24:42] 亚马逊盘后反而大涨了9%
[24:44] 表现很不错
[24:45] 整体而言
[24:46] 第二季营收是2006亿美元
[24:48] 高于市场预期
[24:50] AWS营收有37%来到422亿
