[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 记忆体资产价格的承压它是真的
[03:07] 产业跟石油密不可分
[03:09] 可是现在比的是科技业
[03:11] 你还有其他能源可以替代
[03:12] 那重点是就算是石油
[03:15] 美国现在是全球最大的石油生产国
[03:18] 已经不是中东了
[03:19] 好我们回过头看
[03:20] 现在随着财报季陆续开出以后
[03:23] 市场的主角正在从原本的这些硬体科技股
[03:27] 转向其他族群
[03:28] 最新我们看到美银的报告指出
[03:31] 制造业新订单指数已经上升到55.8了
[03:34] 我们知道50是一个重要的轮廓线
[03:36] 这也对应出美国GDP现在成长大概3.3%
[03:40] 南韩出口现在成长70%
[03:42] 台湾出口成长40%
[03:44] 所以我们都清楚知道
[03:46] 目前七巨头投出了
[03:48] 数千亿美元的AI资本支出以后
[03:50] 股价没什么上涨
[03:51] 但是都让硬体股赚翻了
[03:53] 所以美国经济现在还是出现
[03:55] 那种比较标准的硬数据强
[03:57] 软数据弱的明显落差
[03:59] 这是如果我们细节观察到
[04:01] 这个黑色线的硬数据
[04:03] 比如说像是就业消费工业生产
[04:07] 这些比较实际的经济活动的硬数据
[04:10] 它已经回到2022年以来的最佳水准了
[04:13] 但反映企业和消费者信心的
[04:16] 软数据
[04:16] 比如说消费者新指数
[04:18] 密歇根大学的消费者预期变化
[04:22] 通膨因子
[04:22] 今年以来
[04:23] 敌退也有改善
[04:25] 不过还是很明显落后给硬数据了
[04:27] 所以你可以了解说
[04:28] 为什么情绪这么差劲
[04:30] 可是实体经济数据表现的这么亮丽
[04:32] 就来自于目前的AI消费端
[04:35] 跟实体消费端当中产生的脱钩
[04:38] 所以这段时间
[04:39] 大家就会呈现出
[04:41] 这种体感跟实质经济的落差
[04:43] 我们投资当然是要针对实质经济
[04:45] 那第二个落差就来自于
[04:47] 过去所提到的自由现金流的转移
[04:49] 过去几年
[04:50] 亚马逊 微软 Google Meta 甲骨文
[04:53] 这些云端巨头
[04:54] 因为大量的投入到AI资料中心
[04:56] 所以资本之初暴增
[04:58] 那自由现金流也在大幅的缩水
[05:00] 反观这几个月
[05:02] 辉达 博通 美光 印财
[05:05] 这些半导体企业
[05:06] 因为AI晶片需求爆发
[05:08] 自由现金流直接喷到云端
[05:11] 这就代表着
[05:12] 这些企业现在开始很有钱了
[05:14] 所以就变成
[05:15] 现在口袋里有钱的
[05:17] 都是半导体企业
[05:18] 那口袋一块没有钱的
[05:19] 都是云端巨头
[05:20] 那市场也用股价
[05:22] 走出了经营业的方向
[05:23] 可是最近开始产生轮动
[05:25] 就说明着
[05:26] 之前好像长泥
[05:27] 也长得有过头了
[05:28] 那现在呢
[05:29] 回过头来看
[05:30] 虽然投了很多自由性金流
[05:31] 但是仍然具有
[05:32] 护城河的这些企业
[05:33] 第一
[05:34] 估值是不是下滑了
[05:35] 第二
[05:36] 财报季要开始了
[05:37] 接下来他们公布的
[05:39] 整体财报
[05:40] 或者营收的回馈
[05:41] 也许是未来
[05:42] 可以产生进一步
[05:43] 轮动的机会
[05:44] 毕竟美国经济
[05:45] 虽然从软数据来看
[05:47] 是非常差劲
[05:48] 可是也没有到会衰退的地步
[05:50] 美国家庭的资产负债表
[05:52] 还是很健康
[05:53] 我们把09年到19年以来的
[05:55] 长期趋势来做对照
[05:56] 一直到现在为止
[05:57] 目前美国家庭持有的
[06:00] 股票资产和现金水位
[06:01] 比这条上升趋势线
[06:03] 还多了33%
[06:05] 债务也成长了25%
[06:07] 这也显示
[06:08] 其实资产累积的速度
[06:09] 还是比负债增加的速度来得快
[06:12] 就是你资产
[06:13] 你真正股票上涨的速度
[06:14] 是比你去值
[06:15] 要去借钱来得快
[06:16] 或者你去房贷
[06:17] 信贷来得快
[06:19] 与此同时
[06:20] 庞大的现金不归
[06:21] 就代表着家庭仍然保有
[06:22] 充足的消费和投资能力
[06:24] 所以这就代表着
[06:26] 真正受害的就只有
[06:27] 没有资产也没有负债的人
[06:29] 纯粹只有现金过活的人
[06:31] 你才会感受到
[06:32] 自己的购买力衰退
[06:33] 你敢去举债的人
[06:35] 债务也变轻了
[06:36] 虽然一样是欠银行5000万
[06:38] 可是10年前的5000万
[06:40] 跟现在的5000万
[06:41] 现在的5000万肯定更便宜
[06:43] 那等同于你赚到了
[06:44] 那资产也是如此
[06:45] 所以回过头来看
[06:47] 现在市场上就会开始转额
[06:49] 来观察宏观经济的趋势是否产生改变
[06:52] 一方面就是如果利率预期越来越低
[06:56] 本来要升息两码变一码
[06:57] 现在变成五码
[06:58] 那估值可以更高
[07:00] 第二是美元过去的强势
[07:02] 如果能够在下半年适度转弱
[07:04] 对于企业获利获得全球流动性
[07:07] 就有可能会形成拉伸
[07:08] 当然如果它一直走强
[07:10] 那就会形成承压
[07:11] 因为标普500
[07:12] 现在有42%的营收来自于海外
[07:15] 科技业更是有超过一半的获利
[07:17] 来自于美国的以外市场
[07:19] 所以美元贬值的时候
[07:21] 海外收入就会换算成美元
[07:23] 然后被放大
[07:24] 也会增加全球资金的美元价值
[07:26] 那现在美元开始反弹了
[07:27] 这项优势成为压力
[07:29] 企业海外的营收获利
[07:30] 可能会被汇率给侵蚀
[07:32] 你像微软
[07:33] 全世界都用微软的软体
[07:34] 那如果美元一直升值
[07:36] 微软在财报上的认列
[07:39] 以美元计价
[07:40] 可能就会因此受到承压
[07:42] 所以如果下半年
[07:43] 台币有机会由扁转身
[07:46] 美元有机会重生转扁的话
[07:48] 对于财报的量力
[07:50] 那就是一个更乐观的预期了
[07:51] 那加上现在利率预期又在下滑
[07:53] 对于美元而言
[07:54] 不一定是一路的往上拉升
[07:56] 所以美国股市
[07:57] 技术的修正面
[07:58] 你看Fibon大概是回到季线左右
[08:01] 如果是从估值回调
[08:02] 其实差不多
[08:03] 不过由于现在杠杆性比较大
[08:05] 稍微跌破
[08:06] 清洗充满干净一点
[08:08] 也可以理解
[08:08] 最好就是让肺瓣稍微休息一点
[08:11] 让低积期的巨头们
[08:12] 开始走出比较显著的表现
[08:15] 这可能是更为健康的轮动
[08:17] 因为他们积期真的很低
[08:18] 而且已经很久没有受到市场欢迎了
[08:20] 道琼上涨150点
[08:22] 0.29%
[08:23] 收在52658点
[08:25] 标普上涨28点
[08:27] 0.3%
[08:28] 收在7572点
[08:29] 纳指上涨162点
[08:31] 0.62%
[08:32] 收在26269点
[08:34] 肺瓣是下跌263点
[08:36] 2.08%
[08:37] 刷12398点
[08:39] 非一半已经打回到季线左右了昨天涨的其实都是巨头我们看Meta涨了3%苹果涨了4%Alphabet涨了3.1%微软是2.7%亚马逊3.02%
[08:51] 如果我们把数据摊开来看
[08:54] 不看今年年初
[08:55] 看从下半年7月份开始的表现
[08:58] 苹果涨幅和Meta一样都是11%
[09:02] 这远远跑赢大盘
[09:03] 辉达涨幅是7%
[09:05] Amazon涨幅有5.4%
[09:07] 其他我们看到像微软的部分
[09:09] 涨幅有2%
[09:11] 标普涨幅今年下半年也不过才1%
[09:14] 所以其实七巨头有六巨头都已经跑赢大盘了
[09:17] 在下半年
[09:18] 那特斯拉可能钱都被SpaceX给吸走了
[09:21] 跌7%
[09:22] 再来我们看到三星和SK海力士
[09:24] 分别是跌11%和跌18%
[09:27] 美光的部分跌12%
[09:29] 所以很明显
[09:30] 下半年就是记忆提股的卖压
[09:32] 换来巨头的适度反弹
[09:34] 当然市场上也会更进一步聚焦
[09:37] 财报季很快巨头们就要公布了
[09:39] 那这些AI军备竞赛
[09:41] 你要打破股市的泡沫疑虑
[09:43] 就要有更多的投资的精准度
[09:46] 不是调高资本支出
[09:48] 市场就会认可了
[09:49] 市场现在是很精明的
[09:50] 由于现在高升AI债券指数的信用利差
[09:53] 已经扩大到25个基点
[09:55] 说明的是
[09:56] 现在不只是股市增长的问题
[09:58] 因为其实股市虽然也没什么涨
[10:01] 但是它也没怎么跌了
[10:02] 在今年期巨头
[10:03] 重点是债市
[10:04] AI债券的胃口
[10:06] 正在快速的饱和
[10:07] 你再举债没人接
[10:08] 那就会回过头来影响到股市
[10:10] 因为现在这些巨头们
[10:12] 我们都很清楚知道
[10:13] 未来五年的资本支出规划
[10:15] 已经吃掉大部分的运营的现金流
[10:18] 现在只能继续依靠发债
[10:20] 增资还有私人信贷来做支撑
[10:22] 如果AI的商业化回报不如预期
[10:24] 企业就会同时面临
[10:26] 现金流的下滑
[10:27] 折旧增加
[10:28] 或者杠杆的攀升
[10:30] 那市场上当然就不能
[10:31] 给你这么高的估值了
[10:32] 我们举例来说
[10:33] 你像最近甲骨文
[10:35] Amazon Meta Google微软
[10:37] 大概是3840亿美元的
[10:39] 投资等级债流通债务
[10:41] 占整体投资等级债
[10:43] 已经上升到3.9%
[10:44] 甲骨文是最多的
[10:46] 1170亿排行第五
[10:48] 也是投资等级债当中
[10:50] 最大规模的非金融企业
[10:52] 那这么庞大的一个债务
[10:54] 你如果说这一次发行完
[10:57] 以后就不发行了
[10:58] 那还不会跌
[10:59] 但是现在就是告诉你
[11:00] 明年我还要发更多债
[11:02] 后年我还要发更多债
[11:03] 那股市虽然没什么反应
[11:05] 但在债券市场
[11:06] 在这样的效果底下
[11:07] 债券已经买盘者
[11:08] 已经不是很多了
[11:09] 你一直发
[11:10] 你总要告诉我
[11:12] 那你的钱要怎么收回来
[11:13] 市场会有压力
[11:14] 所以现在已经从
[11:15] 原本传统的投行
[11:17] 和散户市场来发债
[11:19] 现在开始大量的
[11:21] 往私募市场来做投送
[11:23] 你像阿波罗的部分
[11:24] 阿波罗是全球
[11:25] 最著名的私募股权管理公司
[11:28] 现在它成为了
[11:30] 全球AI巨头的重要资金提供者
[11:33] 直接跟JP Morgan高盛
[11:35] 或者华尔街的大型银行竞争
[11:37] 为什么
[11:37] 因为受惠于旗下保险公司
[11:39] 我们知道
[11:40] 阿波罗有非常庞大的保费资金
[11:43] 跟波克夏一样
[11:44] 它基本上是不受银行监管限制的
[11:46] 所以阿波罗今年春天
[11:48] 才完成史上最大的私人信贷交易
[11:50] 为博通跟Anthropia
[11:52] 提供了350亿美元的融资
[11:55] 你跟银行借不到钱没关系
[11:56] 你来跟我借吧
[11:57] 不过我收的利息稍微贵一点点
[11:59] 所以最后就形成了这样的一个效果
[12:02] 那就是行情走到这个地步以后
[12:04] 如何找钱
[12:05] 以及把钱花的精明就是重点了
[12:08] 那要把钱花的精明
[12:09] 它的概念
[12:10] 其实某种程度也是
[12:12] 要把算力压到极致
[12:14] 就是每一个算力的成本压到最低
[12:17] 那你就在营收回馈上就有了机会
[12:19] 如果你需要投入这么高的成本
[12:21] 又卖那么高的售价
[12:22] 那不一定回收的回来
[12:24] 但是如果你有技术能够把成本压低
[12:26] 那你就有机会在未来的AI营收当中
[12:29] 获得一杯羹
[12:30] 你像Meta最新所推出的
[12:32] AI模型MUSE Spark 1.1
[12:35] 它首度向企业开放付费的API
[12:38] 使用过程不重要
[12:40] 重点是这一次费用是真的很便宜
[12:42] 因为它是跟OpenAI跟Ansorbit
[12:45] 这些公司直接竞争企业AI市场
[12:47] 最受关注就是企业的价格定价
[12:50] Meta表示它的API费用
[12:51] 仅仅大概只有对手的25%
[12:54] 希望透过低价快速的扩大市占
[12:56] 除了Meta以外
[12:58] 雀GPT最近发行了5.6
[13:00] 然后XAI是Groker 4.5
[13:02] 中国模型也在持续的压低成本
[13:04] 这说明的
[13:05] 现在大家推模型
[13:06] 好像没有人在比
[13:08] 谁的模型更优秀更好用
[13:10] 现在好像比的是
[13:11] 谁的价格最便宜
[13:13] 企业赶快来采用
[13:14] 所以模型能力竞赛
[13:16] 变成了市场价格战
[13:18] 这样的一个模式
[13:19] 有很多人说
[13:20] 像风险投资人帕里哈比斯
[13:23] 他就特别提到说
[13:24] 现在就是100万个AI权杖
[13:26] 把它比喻成一统AI智慧
[13:29] 比如说OpenAI价格大概是26块
[13:31] Entropy的部分大概56块
[13:33] Entropy比较贵一点
[13:34] XAI的部分大概只要1块
[13:36] Meta大概1.5块
[13:38] Google有机会按照TPU的产量
[13:40] 有可能压到1块
[13:41] 中国可能0.5块
[13:43] 如果低价模型能够达到顶尖模型
[13:46] 8成至9成的效果
[13:47] 企业就很难继续为一般客服
[13:49] 或者文件整理这些流程
[13:51] 自动化的支付数十倍的溢价
[13:54] 那就代表的
[13:55] 现在就在比价格
[13:57] 开始真的要导入到企业端了
[13:59] 所以我们才看到
[14:00] 一方面就是来自于
[14:02] 市场上针对价格战的突破
[14:04] 另外一方面
[14:05] 那要赶快往中端物理AI来做推送了
[14:08] 自驾车跟机器人一直是在做的
[14:10] 可是现在进度还是有限
[14:12] 那怎么办呢
[14:13] 赶快推出AI产品
[14:14] 苹果股价其实在昨天是创价历史性高
[14:16] 一方面是中国AI核准成为最大动力
[14:19] 另外一方面
[14:20] 大家对于下半年的苹果生成式AI服务
[14:23] 是否有在i18推出的过程当中
[14:25] 有进一步的提振效果
[14:27] 事实上OpenAI最近也开始准备要公布它的第一支硬体了
[14:31] 彭博的报道是
[14:33] OpenAI的第一款的消费性硬体
[14:35] 它是一个可以携带
[14:37] 没有萤幕
[14:38] 外形类似智慧音箱的AI装置
[14:41] 这跟Amazon以前的音箱好像很像
[14:44] 好像也没什么特别的
[14:45] 那不重要
[14:46] 重点是它专门为生存式AI设计的新一代装置
[14:50] 你就把它放在身上
[14:51] 它会随时感测理解周遭的环境
[14:54] 来记录你的一天生活
[14:56] 或者你在办公室可以跟他来做交谈
[14:58] 那企业也可以来做采购
[15:00] 会有让员工避免
[15:02] 可能跨界来收集机密的可能性
[15:05] 不过至少Kelvin得出来
[15:07] OpenAI为了钱
[15:08] 他也是投注了非常多的力量
[15:10] 当然现在消费性电子层面
[15:12] 大家都有不同的逻辑
[15:14] 有人认为是智慧戒指
[15:16] 你像智慧戒指
[15:16] 今年出货量也成长了49%
[15:19] 成长速度超越智慧手表的6%
[15:21] 智慧戒指主打的是低存在感和长续航力
[15:25] 它可以追踪你的睡眠活动量和心率
[15:28] 而且手指的皮肤比较薄
[15:30] 感测器更接近动脉
[15:32] 数据准确程度有时候还优于手表
[15:34] 所以用这样的一个方式
[15:35] 大家都在想
[15:37] AI时代来了
[15:38] 藉由技术的挺进
[15:39] 我终于可以尝试的去打破
[15:41] 过去由苹果和Google生态系
[15:43] 垄断的手机消费性电子
[15:45] 到底AI时代来了
[15:47] 我们可能更偏好的
[15:48] 是真的拿一个手机在那边讲
[15:50] 还是山上挂着一个东西
[15:52] 还是我戴着一个AI眼镜
[15:53] 还是我戴着耳机
[15:55] 就可以跟AI来做对话了呢
[15:56] 你像Meta
[15:57] 我们很清楚知道
[15:58] 目前在AI眼镜层面
[16:00] 是取得适度领先
[16:02] Meta已经有26款的AI产品了
[16:05] 它的雷鹏眼镜
[16:06] 不过我们也知道
[16:07] 它背后也形成很多的问题
[16:09] 虽然目前年复合成长
[16:11] 大概是48%
[16:12] 其实速度算是非常快
[16:13] 那AI穿戴装置多点开花
[16:16] 可是我们知道
[16:17] 问题一个一个出现
[16:19] 举例来说
[16:20] 像之前115分科
[16:21] 逮到了金属探测器
[16:24] 派上用场
[16:25] 第一次看到考生考物理
[16:26] 携带AI眼镜
[16:28] 最后被抓了
[16:29] 之前好像什么台大考试
[16:31] 就有被抓过
[16:32] 那赌神有演过吗
[16:34] 你要戴这个
[16:34] 你就戴象牙座的
[16:36] 你怎么会戴有金属
[16:38] 有电路板在里头的
[16:39] 这件事情也意味着
[16:40] 这个AI眼镜在隐私问题
[16:43] 在作弊
[16:43] 在各自的外泄问题
[16:45] AI眼镜
[16:47] 现在最大的挑战不是技术
[16:49] 是规范规则的放缓
[16:51] 这个压力是比较大的
[16:52] 所以我们也必须清楚知道
[16:54] 行情走到这个地步
[16:56] 这个AI终端产品
[16:58] 大家都在陆续推出
[17:00] 可是推出的过程当中
[17:01] 有时候最大的挑战
[17:02] 并非是技术的难关
[17:04] 是大家还愿不愿意去接受
[17:06] 你像我的眼镜是细框
[17:09] 细框就不会有放电路板的空间
[17:12] 所以通常AI眼镜要比较粗
[17:13] 那你要知道
[17:15] 如果路上以后
[17:18] 很多人戴着粗框眼镜
[17:19] 也是在洗手间什么的
[17:21] 都要小心
[17:22] 因为现在这种趋势
[17:23] 隐私权其实有很大的问题
[17:26] 你说放在家里我家里有一只解码眼镜那就算了但是你如果带出去那就会引发很多争议所以我发现现在有时候我们在新的时代当中
[17:37] 有人就想要尝试的打破既有的规则
[17:40] 以前都是人手一支手机
[17:41] 能不能打破这个规则
[17:43] 那就变成AI的突破
[17:44] 所以现在AI就两个重点
[17:45] 把钱花得更精准
[17:48] 第二
[17:48] 打破过去的终端产品的生态系
[17:51] 好 那我们回过头来看
[17:53] 那对于台湾市场
[17:54] 它会有什么样的影响呢
[17:55] 台湾在中研院最新所公布的经济成长
[17:58] 已经上升到10.16%
[18:00] 正式突破了双位数字
[18:02] 民间投资预估会增加9.79%
[18:05] 固定资本形成成长8.9%
[18:08] 民间消费有机会成长3.6%
[18:11] 这代表着AI已经不是科技产业题材了
[18:14] 现在是带动着台湾整体经济动能开始向上
[18:18] 各行各业现在都开始显著的拉升
[18:20] 现在我们讲说已经不是前沿角目了
[18:23] 是前沿天灵干了
[18:25] 资金流真的以非常惊人的速度流入
[18:27] 事实上我们要知道
[18:28] INF最近才把全球经济成长给下调了
[18:31] 结果只有把台湾的经济数据
[18:33] 做显著拉升
[18:34] 原因就是因为出口爆掉了
[18:36] 这是台湾在上半年
[18:38] 对于海外出口半年是暴增的69%
[18:42] 对于美国的顺差
[18:43] 也正式突破千亿美元
[18:45] 这代表着台湾已经连续35个月
[18:48] 在出口层面形成正成长了
[18:50] 今年平均每个月出口是690亿
[18:52] 前一年也不过470亿
[18:54] 大前年也不过374亿
[18:56] 短短两年
[18:58] 我们的出口就翻倍
[18:59] 以前你赚100万
[19:00] 现在就变200万
[19:01] 这种非常惊人的速度
[19:04] 值得留意
[19:04] 我们再回过头看一下
[19:06] 进口金额的部分
[19:07] 进口金额
[19:09] 整体成长是626亿
[19:11] 所以不管是出口还是进口
[19:14] 都维持在高位
[19:15] 代表对于下半年的备货潮
[19:17] 仍然在持续
[19:18] 所以我们再回过头说
[19:19] 现在
[19:20] 昨天有一个网友突然留言说
[19:23] 谁的脖子最容易酸
[19:25] 是游廷浩
[19:26] 为什么
[19:27] 因为他一直回过头看
[19:29] 回过头
[19:30] 回过头是我的口头禅
[19:31] 换个口头禅
[19:34] 那我们转过头看
[19:35] 转过头来观察
[19:36] 现在台湾在未来的AI投资力量
[19:39] 昨天国科会其实也公布了
[19:42] 由于大量的税收已经逐步成立
[19:44] 大家对于明年的预算投入开始提高
[19:47] 国科会这一次针对明年政府的科技预算
[19:50] 已经上升到1768亿美元
[19:53] 创下历史新高了
[19:54] 当然会集中投入在
[19:56] 新AI十大建设
[19:57] 主权AI算力
[19:59] 量子科技
[20:00] 全官网路
[20:01] 近邻技术
[20:02] 还有智慧政府
[20:03] 如果只投一项还好
[20:05] 不过投十项好像就有点多
[20:07] 那不是每个人只分到几百亿吗
[20:09] OK那不是重点
[20:10] 重点是我们市场上
[20:11] 已经开始为下一个五年规划来做准备了
[20:14] 它其实背后隐含的市场概况
[20:17] 那就是多点产业的持续开花
[20:19] 台湾几乎完全已经抓住了本轮行情
[20:22] 一方面我们知道政府
[20:23] 这几个月的确
[20:25] 正在尝试的把监管法规
[20:26] 陆续的进行松绑
[20:27] 美国也有松绑的问题
[20:29] 台湾也是
[20:29] 立院这一次已经正式出审
[20:32] 通过了电信管理法
[20:33] 因为之前电信管理法是要求
[20:35] 如果你有海外的电信商要来
[20:38] 外资直接持股不能超过49%
[20:40] 而且董事长要是台湾国企
[20:43] 但是新链我们很清楚知道
[20:46] 那就没办法落地
[20:47] 现在经过修法之后
[20:49] Starlink有机会在明年就会来台湾了
[20:52] 第二大部分
[20:53] 是我们看到各项产业的多点开花
[20:55] 最近台湾无人机市场
[20:57] 在6月份传出好消息
[20:59] 爆增
[21:00] 沙乌地阿拉伯一举称为
[21:02] 台湾无人机最大的出口商
[21:04] 单月采购4720万美元
[21:07] 这是历史新高
[21:08] 沙国这次买了3000台的无人机
[21:10] 平均每价是1.45万
[21:12] 以前台湾出口到其他国家
[21:15] 平均单价是1400块
[21:17] 翻了10倍
[21:18] 中东人真的
[21:20] 阿拉伯人真的很有钱
[21:21] 头顶一块布
[21:23] 全球我最富
[21:25] 而且采购的平均重量是7到15公斤
[21:28] 它主要是用在工业和军事用途
[21:30] 外界预估可能是做监视任务
[21:33] 其实你看前面几个月
[21:35] 当时出口成长了2000%
[21:38] 在去年
[21:38] 捷克和波兰是主要买家
[21:40] 所以当时合理的预估是
[21:43] 这些无人机最后都进到乌克兰了
[21:45] 那现在每一冲突
[21:46] 大量的产品开始往中东
[21:48] 全球越乱
[21:49] 台湾的无人机赚得越多
[21:51] 但是我们也知道
[21:52] 全球的西进潮
[21:54] 或者说我们看到
[21:55] 投资规模的转移
[21:56] 也在陆续转变
[21:57] 在16年到20年
[21:59] 台商的投资布局重点
[22:00] 还是在中国市场
[22:01] 大概是39.8
[22:02] 现在大概剩下12.9
[22:04] 取而代之的是
[22:05] 美国东协熊本
[22:08] 或者我们看到德勒斯登
[22:09] 当然我们看到
[22:10] 好的数据的过程当中
[22:12] 受惠于本人的AI浪潮
[22:14] 它背后的数据也是挑战的
[22:16] 我们看GDP的创高
[22:17] 这一次中研院在公布GDP上修之后
[22:20] 也估了一下民众的通膨体感温度
[22:23] 那就差蛮多的
[22:25] 有超过六成的受访者
[22:26] 预估未来一年的生活成本
[22:28] 是涨幅8.7%
[22:29] 食物是12.54%
[22:32] 交通和能源
[22:33] 大家一直说体感跟不上
[22:34] 中研院公布的数据
[22:36] 跟你体感有没有点像呢
[22:37] 因为官方数据是2.6
[22:38] 现在生活成本来到8
[22:40] 其他食物和交通
[22:42] 都已经来到双位数字之上
[22:43] 这件事情就意味着
[22:45] 的确很快的我们会迎来
[22:47] 更进一步的物价通膨的预期
[22:49] 那这唯一能够做的是什么呢
[22:51] 当然就是税收层面的改变
[22:52] 财政部最新所公布的上半年税收
[22:55] 主要是来自于企业互利
[22:57] 股市交易还有众所税
[22:59] 银所税增长了178%
[23:02] 4900亿
[23:03] 众所税是3800亿
[23:05] 证交税是2100亿
[23:06] 证交税已经快要追上众所税了
[23:10] 这股民缴的税
[23:12] 已经快要比员工缴的税
[23:14] 还要来得多了
[23:14] 以前我们这些股民都会被人家揶揄
[23:17] 不试生产
[23:19] 每天动动手指头
[23:21] 不试生产
[23:22] 但是现在缴的税还蛮多的
[23:24] 不管赚钱赔钱
[23:25] 那手续费都要减
[23:26] 都要给证交所
[23:27] 所以你可以观察得出来
[23:29] 这个行情实在真的改变了
[23:31] 股民对于这个市场的贡献越来越大了
[23:34] 所以要感谢股民为国家建设帮助这么多
[23:37] 因为某种程度而言
[23:39] 我们看中央和地方
[23:40] 每年大家都高于预期
[23:42] 结果我们已经用最乐观的预期
[23:44] 结果各级政府的税收收入的达成率
[23:47] 以前我们讲的超增全部达标
[23:49] 中央政府是136%超过100了
[23:52] 地方政府是108
[23:53] 大家的预期都已经突破了
[23:55] 在这样的一个效果底下
[23:56] 市场上当然就会有不同认知
[23:58] 有些人说哇那贫富差距越来越大
[24:00] 内部的通膨压力越来越大
[24:02] 所以现在就有两种角度
[24:04] 我们可以确认的事情是
[24:05] 那政府有钱吗
[24:06] 政府有钱有两种
[24:08] 第一种做全面性补贴
[24:10] 那我不允许物价上升可以吧
[24:12] 那第二种
[24:13] 那我把你的薪资往上拉可以吧
[24:15] 我们一直到目前为止
[24:16] 即便每一站是已经来到
[24:18] 接近后半段
[24:19] 可是在92汽油
[24:20] 95汽油
[24:21] 柴油价格
[24:22] 中油大概就是29到30块左右
[24:24] 而我们实际观察到的韩国
[24:26] 大概是30到40
[24:28] 新加坡是80到90
[24:30] 香港是100以上
[24:31] 这件事情其实都说明着
[24:33] 中油的补贴仍然在持续
[24:36] 那另外一方面
[24:37] 我们看到这一次的新青安2.0
[24:39] 或者我们讲的青安3.0
[24:41] 陆续上路以后
[24:42] 市场的补贴也在持续
[24:44] 当然有些人认为
[24:45] 不要补贴了吧
[24:47] 台湾物价已经算是偏低了
[24:49] 我们应该让我们的薪资所得提高
[24:51] 跟上海外市场
[24:52] 所以基本薪资明年会突破三万块
[24:54] 也不会有太大的问题
[24:55] 但我们这边要讲的概念就是
[24:57] 现在就是整个经济的蓬勃爆发
[25:00] 你看到的经济数据也是真的
[25:02] 其实通膨数据也是真的
[25:03] 因为如果通膨真的每年成长10%
[25:06] 那照理来讲
[25:06] 七年你的便当就要翻一倍
[25:08] 七年前便当是100块
[25:10] 现在就要200块
[25:11] 7年后就变400块
[25:13] 再7年后就变800块
[25:15] 那等同于30年以后
[25:17] 我们的便当一个就1000块了
[25:20] 没有成长那么离谱
[25:21] 但是我们要讲的事情是
[25:23] 这些数据其实统计出来都是真的
[25:25] 但是根本逻辑还是来自于
[25:27] 在经济爆发的过程当中
[25:29] 如何进行所得再分配
[25:31] 其实资本主义追求的是效率
[25:33] 竞争和资本累积
[25:35] 那你说民主追求的是公平
