[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 在過去一週美國股市雖然波動沒有特別大
[06:29] 在細節談判的國家當中
[06:31] 它可能會放慢節奏
[06:32] 要看美國國會或者司法後續的發展
[06:35] 可是已經簽訂了
[06:36] 日本韓國臺灣
[06:38] 當然就要想辦法來維護已經獲得的成果
[06:41] 如果這個時候又相反的
[06:44] 又產生新一波的談判條件
[06:46] 那反而可能限制己於不利
[06:48] 所以就要看一下各國
[06:50] 接下來如何來做應對
[06:51] 那現在15%最大的利益者是誰呢
[06:54] 那當然就是還沒有遷進的國家
[06:57] 比如說像中國和巴西
[06:58] 川普這一次最常被批評點名的
[07:02] 中國和巴西
[07:03] 成為受益者的最大原因來自於
[07:05] 如果按照美國貿易監測機構的分析
[07:07] 巴西的平均關稅負擔
[07:09] 會因此大幅下滑13.6%
[07:12] 中國也會下滑7.1%
[07:14] 中國從原理來看
[07:16] 現在中國所被課證的關稅
[07:18] 就是隻有15%
[07:19] 有效期限150天
[07:21] 也就是說目前中國所獲得的關稅
[07:23] 跟臺灣跟日本跟韓國
[07:25] 應該是一模一樣的
[07:26] 新制度對於亞洲製造國
[07:28] 其他像越南泰國馬來西亞也有優勢
[07:31] 因為東南亞的國家的平均關稅稅率
[07:34] 都比臺日韓還要來得高
[07:36] 大概都是20%到21%左右
[07:38] 特別是成衣 傢俱 玩具或者塑像膠製品
[07:42] 當然有沒有可能美方很快在未來幾周就要公佈301條款
[07:47] 再把接下來的關稅給加回來
[07:49] 這也是有可能的
[07:50] 如果我們細看
[07:51] 把川普過去已經分產業差異化的關稅體系統一切成15%統一稅率最受惠的很明顯那就是原本稅率最高的像什麼真知成衣鋼鐵的製品
[08:05] 傢俱玩具
[08:07] 在新制度底下
[08:08] 反而變成了減稅的受益者
[08:10] 從原本30%到40%的關稅
[08:13] 現在直接降到15%
[08:15] 那原本稅率就很低的
[08:17] 接近零關稅的
[08:18] 比如說藥品
[08:19] 有機化學
[08:20] 那這一次很明顯就被加稅了
[08:22] 上升到15%
[08:23] 衝擊成本的結構壓力就比較大一點
[08:26] 所以在種種效果底下
[08:27] 我們要後續觀察的第一大效果是
[08:29] 兩個方向
[08:30] 一個是各國跟川普談判的條件
[08:33] 第二個呢
[08:34] 是川普會如何使用232條款
[08:36] 和可能12條款
[08:38] 232條款
[08:39] 301條款
[08:40] 後續把原本的平均關稅啊
[08:42] 後續的補上
[08:43] 針對各國
[08:44] 那的確會形成更進一步的混亂
[08:47] 但是過去兩個月當中
[08:48] 我們過去也提過
[08:49] 全美現在有接近1000多家公司
[08:52] 向川普正在提告
[08:53] 這是因為最高法院
[08:56] 已經裁定了川普政府
[08:57] 多數的關稅合法性
[08:59] 那麼這些公司呢
[09:00] 橫跨零售製造汽車服飾
[09:03] 到能源到科技產業
[09:05] 目標很簡單
[09:06] 現在已經被看為限了
[09:08] 那照理來講
[09:10] 這個關稅1400億
[09:12] 規模就要陸續進行退還
[09:14] 但是最高法院
[09:15] 這一次也只有否定
[09:17] 他的關稅合法性
[09:18] 到底要退款怎麼發
[09:20] 誰能夠領
[09:21] 而且很有可能在這一次的宣判當中
[09:25] 根本缺乏進一步的依據
[09:27] 代表的還是要由下級法院來進行處理
[09:30] 所以你看從資料上
[09:31] 即便有這麼多人都去告川普
[09:34] 告白宮
[09:34] 但是呢
[09:35] 白宮也放話
[09:36] 就算這條法律已經被封堵了
[09:38] 基本上也不會退還你的退款
[09:41] 甚至會藉由其他法院依據的替代
[09:43] 來持續性的要求更進一步的關稅提高
[09:47] 我們看一下畫面
[09:48] 所以,在自由日前,有175億美元的債券資金現在在隱藏中
[09:54] 你需要支付175億美元的債券資金嗎?
[09:56] 非常公平的問題
[09:57] 他們花了幾個月來寫出意見
[09:59] 但他們還沒有討論到這一點
[10:01] 我們花了數百億美元,不是數百億,數百億美元
[10:05] 所以我說,我們花了多少錢?
[10:07] 沒有討論到
[10:09] 你不覺得他們會說,保留錢還是不保留錢嗎?
[10:12] 我想這要在下兩年內被審訊
[10:15] 所以他們寫了一個非常不公平的決定
[10:18] 完全不公平的決定
[10:19] 這就像是不被聰明的人寫的
[10:21] 他們做的事情
[10:22] 他們甚至不說
[10:23] 你的問題非常基本
[10:24] 我也是第一次問這個問題
[10:25] 也想讓你感到好
[10:26] 他們說我們拿了的錢是甚麼
[10:27] 他們不談論
[10:29] 這有多瘋狂
[10:30] 你不是說你不計劃要獲取報酬
[10:33] 或公司給他們的檔案嗎
[10:34] 我只是告訴你答案
[10:36] 我告訴你答案
[10:36] 這不談論
[10:37] 我們將在法庭上待在法庭上五年
[10:38] 不過這件事情似乎也意味著
[10:42] 美國關稅的收入可能已經遇到天花板了
[10:45] 因為在過去一年當中
[10:46] 當時的關稅政策的反覆拉高又轉向
[10:49] 現在平均企業關稅
[10:51] 早在宣佈關稅違憲之前
[10:54] 就已經在緩步的下滑
[10:55] 那現在呢
[10:56] 如果我們實際觀察
[10:57] 每個月每個月的關稅
[11:00] 或者相關的費用啊
[11:01] 大概是81到90億
[11:03] 然後到政策全面加碼之後
[11:05] 一度突破到300億美元
[11:06] 但已經連續三到四個月
[11:09] 已經沒有再成長了
[11:10] 原因也很遲觀
[11:11] 你關稅不是越高就能夠一直多收
[11:14] 稅率高到接近貿易禁運的時候
[11:17] 進口量就會直接萎縮
[11:18] 反而克不到稅
[11:19] 同時關稅也可能會適度的拖慢經濟體
[11:22] 會抵消部分的其他稅收
[11:24] 可能投資額上升
[11:26] 造成了經濟體上升
[11:27] 可是關稅的上升造成本國製造業
[11:30] 可能也相對疲憊
[11:31] 所以政府其實現在多次向中國和歐洲
[11:34] 進行適度讓步以後
[11:36] 也有很多的關稅目前已經延後發放
[11:38] 那很多的商品它就克不到關稅
[11:40] 所以其實在違憲之前
[11:42] 當時關稅已經收到的規模
[11:45] 就已經連續三個月
[11:46] 正在環不下滑了
[11:47] 甚至呢
[11:48] 在過去幾個月
[11:49] 川普豁免關稅的速度
[11:51] 已經遠遠大於
[11:52] 克珍新關稅的速度
[11:54] 白宮最近
[11:54] 也正在商言一套
[11:56] 新一輪晶片關稅的措施
[11:58] 打算替亞馬遜
[12:00] Google
[12:00] 微軟和大型雲端
[12:01] 和AI資料中心
[12:02] 開一條完全的豁免通道
[12:05] 那根據規則
[12:06] 豁免資格將為臺積電
[12:08] 在美國的投資承諾設定
[12:10] 來做繫結
[12:10] 只要臺積電在美國擴散的規模達標
[12:13] 他就能夠替美國客戶
[12:15] 來爭取部分或者全部的關稅減免
[12:17] 那主要原因就是來自於
[12:19] 川普最終的目的
[12:20] 還是希望藉由關稅來逼迫
[12:22] 先進製程在美國落地
[12:23] 他又不希望能夠因此
[12:26] 重擊到美國本土的AI
[12:27] 或者雲端供應鏈
[12:29] 所以基本上最終目標就是關稅全免
[12:31] 那最大目的就是要讓
[12:33] 美國本土的設廠金額和規模放到最大
[12:37] 那當然在這樣效果底下
[12:38] 等同於接下來4月份的川習會
[12:41] 習近平的確獲取了更多的籌碼
[12:44] 白宮當然可以繼續用301,232或者1,22條款來重建關稅
[12:48] 可是必須要經過商務部調查
[12:51] 它的時間性就很長
[12:52] 如果隨時發文市場上反而會因此看笑話
[12:56] 那另外一方面
[12:57] 歐洲目前也跟美國即將進行美歐貿易談判的終止
[13:01] 或者適度的釋懷
[13:03] 直到新一輪的法律或者相關退稅行為產生
[13:08] 歐洲這次議會貿易委員會主席
[13:10] 恩德朗格表示說
[13:12] 會提議暫停美歐的協議批准程式
[13:15] 直到美方釐清最新的關稅政策的
[13:18] 法律依據和承諾
[13:19] 他也直言美國政府的做法
[13:21] 的確造成了關稅的混亂
[13:23] 讓歐盟和其他貿易伙伴充滿的不確定性
[13:26] 他這樣講
[13:27] 感覺就不想要履約了
[13:29] 原本去年就已經達成了夏天的協議
[13:32] 其實多數歐盟出口到美國的商品
[13:34] 現在也是克15%關稅
[13:36] 那美國到歐盟是全免
[13:38] 那鋼鋁還是有50%
[13:40] 歐盟當初是接受這項不對稱的安排
[13:43] 目的是因為要避免全面性的貿易戰
[13:46] 可是現在反而有了著手的力量
[13:48] 我還是可以保持15%
[13:50] 那你是不是可以把鋼鋁關稅進行減免或者調降呢
[13:54] 我們要知道歐盟現在是美國最大的進口來源
[13:57] 金額高達3030億
[14:00] 光是1%的不是這種鋼鋁關稅的稅率的變動
[14:04] 對於歐美或者歐洲經濟體的影響就很大了
[14:07] 所以在這樣效果底下
[14:08] 也許歐洲現在找到了一些契機
[14:11] 想要嘗試的在美歐關稅談判協議當中
[14:14] 來做更進一步的變化
[14:16] 那當然日本的部分就比較明顯
[14:18] 日本這一次已經很明顯正在履約
[14:21] 在本週日本已經投入了360億美元
[14:24] 在美國的天然氣和石油關鍵專案當中
[14:28] 即便他已經宣佈違憲了
[14:29] 仍然在持續進行第一批專案的落實
[14:32] 屬於先前承諾5500億美元投資計劃的首波落地
[14:37] 這個可能有斯德哥和摩正後群
[14:40] 這一段時間看起來對美國最為支援
[14:44] 最為履約
[14:45] 而且不受任何波瀾的
[14:46] 大概就是日本政府了
[14:48] 那川普也表示說
[14:49] 現在日本人所投的錢
[14:51] 大型專案跟關稅政策是高度密切相關
[14:54] 高市也表達
[14:55] 投資重點會放在能源安全
[14:57] 關鍵的礦物和AI相關的供應鏈等等
[15:01] 那現在最大的案子
[15:02] 在全美就是美國Ohio的超大型的天然氣的發電裝置
[15:06] 是由軟銀所主導
[15:08] 日本資金高達330億美元的第一波專項
[15:12] 已經資金進去了
[15:13] 滿載的發電量會接近9座核電廠
[15:16] 主要就是資源資料中心
[15:18] 還有AI帶動的用電需求
[15:20] 其他像德州的墨西哥灣
[15:22] 或者原油出口碼頭
[15:24] 投資大概有21億美元
[15:25] 在喬治亞新建合成工業的鑽石材料廠
[15:29] 供半導體或者高階製程來做運用
[15:32] 所以目前日方是持續履約
[15:34] 來透過投資基金
[15:35] 來支撐美國的戰略產業
[15:37] 那臺灣的部分
[15:38] 在年前當時也跟美國簽訂了貿易協議
[15:42] 核心內容包括對等關稅15%
[15:45] 不重複課程
[15:46] 二三個條款的關稅
[15:48] 豁免的最惠國待遇
[15:49] 還有2000多項輸美產品
[15:51] 爭取關稅全面豁免
[15:52] 那同時間
[15:53] 比較特殊的是臺灣也把國防支出至少佔GDP3%協助到條文開放專案上美豬關稅分階段的調降以及美牛進一步開放還有其他像是美國伊太魯
[16:04] 花生或者美國農產品的關稅
[16:07] 全面降至為零
[16:08] 那另外一個就是國營事業未來擴大
[16:11] 對於美方的採購石油天然氣和電力裝置
[16:14] 金額是高達數百億美元
[16:17] 在總總效果底下
[16:19] 那接下來臺灣市場最為關注的
[16:21] 第一那臺灣市場是否會如同日本政府一樣
[16:24] 進行全面性的支援在表態
[16:26] 尤其在川普被宣告違憲之時
[16:29] 現在其實多數國家也沒有想象中
[16:32] 這麼的支援川普
[16:33] 當時已經簽訂的條約除了日本之外
[16:36] 那臺灣政府是否會做進一步的表態
[16:38] 值得留意
[16:39] 但是另外一方面
[16:40] 很快的美車關稅即將下滑
[16:42] 去年臺灣的汽車掛牌數
[16:45] 已經創下疫情以來的新低
[16:47] 很多人一直在等汽車關稅下調
[16:49] 從年初等到年尾
[16:51] 現在是不是有進一步關稅下調的空間
[16:54] 值得做更進一步的留意
[16:56] 當然了
[16:57] 雖然這一次的臺美貿易協定當中
[17:00] 也有包含著國防的採購合約
[17:02] 和GDP比例的上升
[17:04] 國防佔GDP比值的變化
[17:06] 但是彭博之前也有報道
[17:08] 川普表示
[17:09] 正在跟中國國家主席習近平
[17:11] 直接討論臺灣後續的軍售問題
[17:13] 4月份看起來就會做決定
[17:16] 他在空軍一號上也對媒體發表
[17:18] 近期中美雙方的通話十分良好
[17:21] 美方很快就會針對臺灣的防務和武器銷售
[17:25] 來做出判斷
[17:26] 那兩國領導人如果即將在四月份談判
[17:30] 是否也意味著
[17:31] 兩國在四月份會有新一波的美中貿易協議
[17:34] 那會不會影響到臺灣
[17:36] 因為臺灣的國防預算採購
[17:38] 大家知道是在朝野紛爭當中
[17:41] 討論的密集度特別高
[17:42] 包括防空飛彈系統
[17:44] 反飛彈的攔截指揮系統
[17:46] 或者像是空中海上在臺升級等等
[17:49] 這些後續我們要觀察的幾大方向
[17:53] 來自於這個貿易協議的條約
[17:55] 談成以後
[17:56] 那是否有絕對履約的條件
[17:59] 那畢竟呢
[17:59] 對於軍武的售出
[18:02] 它本身跟美方本土的態度也是有相關的
[18:05] 那你不願意賣給我這麼多
[18:07] 那我簽了這麼多的合約
[18:08] 那提升這個資金的比例
[18:11] 或者國防佔GDP的比值
[18:12] 也是一個極大的問題
[18:14] 好所以我們總結來說
[18:15] 這場關稅戰
[18:16] 雖然打到現在好像違憲告一段落
[18:19] 但根本原因還來自於各國會如何處理
[18:22] 接下來川普援引新一輪的條款來延續關稅的方向
[18:27] 關稅方向肯定是不變的
[18:29] 動點在於有些國家
[18:30] 你像歐盟的部分看起來是要找空子來鑽
[18:34] 嘗試的
[18:35] 我知道你想克的關稅我避免不了
[18:37] 可不可以趁這段時間
[18:39] 我們把鋼鋁關稅重新談一談
[18:41] 也有一些國家政府像日本政府一樣
[18:43] 直接進行鋁業
[18:44] 錢就投進去了
[18:46] 那接下來臺灣和韓國的政府態度
[18:48] 都值得我們做進一步的留意
[18:50] 但回過頭來說
[18:51] 川普我個人有可能認為
[18:53] 也許摸摸鼻子就這麼算了
[18:55] 原因很簡單
[18:56] 現在期中選舉的到來
[18:59] 關稅所達成的經濟成果
[19:01] 這一項並沒有想象中來得這麼明顯
[19:03] 尤其民主黨又不斷地
[19:05] 把通膨的高升拿來跟關稅來做連結
[19:08] 我們舉例來說
[19:09] 密西根大學目前看到
[19:11] 通膨預期的確正在降溫
[19:13] 可是如果細看
[19:15] 不管是民主黨人還是共和黨人
[19:17] 都出現了極端的現象
[19:18] 民主黨人主要就認為
[19:20] 現在的高通膨還有經濟低迷的問題
[19:23] 都是由關稅政策所引起的
[19:25] 但是共和黨人會從經濟指標來看
[19:28] 目前美國GDP表現還不錯
[19:30] 股市也在創高
[19:31] 所以總體經濟確實好的
[19:33] 可是從個體民間來看
[19:34] 其實我們知道
[19:35] 整體民間壓力相對來得大
[19:37] 在過年期間
[19:38] 當時美國出現了市場上
[19:41] 最為顯著的非農就業資料包告的年度修正值
[19:45] 也幾乎就證實了
[19:47] 在過去一整年當中
[19:48] 我們都被騙了
[19:49] 美國勞工統計局所公佈
[19:51] 2025年的就業成長
[19:53] 幾乎全部都是幻象
[19:55] 去年整年的新增就業人數
[19:57] 從原本的58.4萬人
[19:59] 砍到18.1萬人
[20:01] 這個誤差值就很大了
[20:03] 有40萬個工作崗位
[20:05] 告訴你
[20:06] 不好意思
[20:06] 我公佈錯了
[20:07] 統計錯了
[20:08] 更令人驚訝的是
[20:09] 2025年每個月平均新增的就業人數
[20:13] 從原本的4.9萬人
[20:15] 大幅縮水到只有1.5萬人
[20:17] 這就說明
[20:18] 其實美國勞動力市場
[20:20] 在去年的表現
[20:21] 遠遠比官方最初所要宣稱的疲憊的非常多
[20:24] 那當然在這樣效果底下
[20:26] 等同於民間的體感溫度
[20:28] 覺得自己找不太到工作
[20:30] 或者工作崗位沒有公佈這麼多
[20:33] 這是一個正常的心理情緒
[20:35] 在這樣的一個效果底下
[20:36] 就代表著民間的消費情緒
[20:39] 可能正在持續的弱化
[20:40] 那也有高通膨的問題
[20:42] 這也是其中選舉當中
[20:43] 市場最大的壓力挑戰
[20:45] 那當然川普只有兩種方向來做刺激
[20:48] 第一個就是
[20:48] 也許AI所帶動的投資潮
[20:51] 所帶動的就業貢獻不夠多
[20:53] 所以明目GDP成長很多
[20:55] 但是實質就業貢獻不多
[20:57] 那第二個就是
[20:58] 因為很多AI還沒有落地
[21:00] 資金落地了
[21:02] 但是還沒有招工
[21:03] 也許招工以後
[21:04] 就業資料就會陸續的歸來
[21:06] 那第三點就是
[21:07] 全世界都遇到一樣的問題
[21:08] AI的成長
[21:10] 它基本上可以讓財源潮的持續
[21:12] 去帶動企業的利潤持續增高
[21:15] 因為AI比人還來得更好用
[21:16] 所以川普在總統下
[21:18] 第一要加強針對美國的投資潮
[21:21] 關稅政策方向是不能提的
[21:23] 第二點是移民的這種非法移民驅逐政策
[21:27] 它也不能夠停下來
[21:29] 只有持續進行勞動力供給的收縮
[21:32] 大家找到工作的機會
[21:34] 才能夠因此而上升
[21:35] 我們舉例來說
[21:36] 川普執政一年之後
[21:37] 美國人口成長的動能已經明顯放緩
[21:40] 主因就是移民流入大幅降溫
[21:43] 根據德英的報告
[21:44] 現在美國在2030年
[21:46] 也許整體人口就會開始進入到萎縮
[21:48] 其中一個最大原因就是來自於
[21:50] 川普目前的金卡計劃
[21:52] 只會有少數高淨值的移民來流入
[21:55] 大部分的移民很有可能都會因此受到收縮
[21:58] 舉例來說
[21:59] 像美國西南邊境的非法移民
[22:01] 現在已經創下有史以來的最低
[22:04] 在去年一個月只有8400人
[22:06] 拜登時期的高峰
[22:08] 每個月是20萬非法移民的流入
[22:10] 現在每個月還不到1萬人
[22:13] 川普也釋出行政命令
[22:14] 把之前安置於非法移民的資金
[22:17] 現在改用於安置於無家可歸的退伍軍人
[22:20] 就是來拯救南波
[22:21] 滴滴血的續集終於拍不下去了
[22:24] 但是這件事情
[22:25] 是否能夠有效的拉昇川普的民調
[22:28] 後續可以觀察
[22:30] 因為美國在2025年一整年的犯罪指標
[22:33] 其實陸續都在下滑
[22:34] 這個是Asia
[22:35] 也就是美國的犯罪資料專家
[22:37] 所公佈的及時犯罪指數
[22:38] 它橫劃570個
[22:40] 美國執法單位的資料
[22:42] 把25年來跟20年來做比較
[22:44] 會發現不止兇殺案
[22:47] 各大型別的重大犯罪型別
[22:49] 其實都在下滑
[22:50] 25年偷車的減少了23%
[22:52] 搶劫下滑了18%
[22:54] 加重供給下滑了7-8%
[22:56] 一般切到也有9%左右的減幅
[22:58] 非法移民的確正在緩步的下滑
[23:02] 那這樣所造成的這種
[23:04] 市場的治安事件的確也開始有效的做壓制
[23:08] 那接下來就要看一下
[23:09] 美國的民眾會不會有感了
[23:11] 我過幾個月再去考察一下
[23:13] 因為我前年是去西岸
[23:14] 那前兩年
[23:16] 西岸真的是蠻恐怖的
[23:18] 尤其晚上
[23:19] 像我這一週在巴黎
[23:20] 出發前很多朋友跟我說
[23:22] 說現在歐洲治安不行了
[23:24] 變差很多
[23:25] 還特別提醒我說
[23:27] 要小心
[23:28] 可是我的觀察是
[23:30] 比美國安全多了
[23:32] 因為我看網路上
[23:33] 很多人講
[23:34] 說通常你在外面走
[23:37] 法國有警察的地方都很安全
[23:39] 為什麼呢
[23:40] 因為法國警察不會去危險的地方
[23:43] 但因為真的我前兩次在米蘭
[23:46] 那個時候有很多網友很熱心
[23:48] 就傳那個影片給我
[23:49] 什麼小偷怎麼偷
[23:50] 然後一般路人怎麼被攻擊
[23:52] 倫敦現在有手機黨
[23:54] 騎腳踏車搶你手機法國是手環黨我想說我這麼誇張前幾年也感覺還好後來我就越越遇事了所以這一次我就專攻聖丹尼就找那個少數群最多
[24:07] 巴黎治安最差的區
[24:09] 號稱北非巴黎分佈嘛
[24:12] 那我就深夜遊蕩了一陣子
[24:15] 街頭探索
[24:16] 但經過我的仔細研究
[24:17] 如果你把聖丹尼
[24:19] 就巴黎治安最差的區
[24:20] 拿來跟西雅圖
[24:22] 或者舊金山的Downtown比較起來
[24:25] 恐怖程度
[24:26] 如果西雅圖是100分
[24:28] 聖丹尼大概只有20分
[24:30] 真的巴黎其實很安全
[24:31] 西雅圖下午5點
[24:33] 比聖丹尼半夜12點還恐怖
[24:36] 通常下班時間
[24:38] 美國Downtown的Zombie就起床了
[24:41] 爬出來了
[24:42] 所以美國舊金山
[24:44] 你才會真正目睹到
[24:45] 不能講是非法移民
[24:47] 就講說
[24:48] 我們講說過去的治安問題
[24:51] 或者非法移民所造成的副作用
[24:53] 它的確那種塑造了
[24:56] 有時候滿街針頭
[24:58] 然後屎尿汪洋
[24:59] 很多上司突然可能朝路人大叫
[25:04] 有時候你回巴黎
[25:06] 巴黎的流浪漢和小流氓
[25:09] 親切很多
[25:10] 還會跟你拱揪
[25:11] 所以我覺得到聖誕還不錯
[25:14] 你到巴黎
[25:15] 你等於相當於再逛了一次北非
[25:19] 或者土耳其
[25:20] 遇到好多北非人
[25:21] 我覺得不算恐怖
[25:23] 美國的治安問題
[25:24] 是否能夠得到有效的好轉
[25:26] 或者非法移民的驅除
[25:27] 是否能夠獲得更進一步
[25:29] 川普民調的支援
[25:30] 值得我們做進一步的留意
[25:32] 當然回過頭說
[25:33] 在過年時間市場上
[25:36] 在美國股市
[25:37] 感覺好像波動不大
[25:38] 但其實這是一種
[25:39] 非常奇特的抵消現象
[25:42] 什麼叫做抵消現象
[25:44] 就是指數沒什麼波動
[25:46] 可是其實內部的個股
[25:48] 其實已經暗潮洶湧
[25:49] 我們舉例來說
[25:50] 按照標普白指數
[25:51] 過去一個月
[25:52] 幾乎就是原地踏步
[25:54] 納斯達克指數也差不多原地踏步
[25:56] 可是
[25:56] 個別股票卻出現了
[25:58] 平均高達11%的劇烈波動
[26:01] 其中納斯達克指數
[26:02] 受困於長期的橫盤區間
[26:05] 跌破了百日均線
[26:06] 但是與此同時
[26:07] 在內部的資金輪動
