[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 有一點偏弱
[02:41] 美元在今年老實說
[02:43] 針對資產的迴流性還是沒有那麼大的吸引力
[02:47] 畢竟去年很多人對於海外投資者而言
[02:50] 他賺到了美國股市的獲利
[02:53] 但卻賠掉了美元的利差
[02:55] 如果以本國貨幣來做定價
[02:57] 所以即便去年美國股市
[02:59] 在全球股票市場表現還算是不錯
[03:01] 但是把賄損算進去以後
[03:04] 也許其實只有個位數的報酬
[03:06] 反而大家的觀察的是
[03:08] 新興市場的資金迴流幅度會有多大
[03:10] 因為這幾年很多新興市場
[03:13] 像臺灣或者像南韓市場
[03:15] 其實已經有非常顯著的
[03:17] 國內資金本土買盤來做支撐
[03:19] 另外一方面
[03:20] 海外也有適度針對全資股的回補
[03:23] 讓大家有進一步的市場預期
[03:25] 我們舉例來說
[03:26] 你像臺股的部分
[03:28] 臺股現在整體臺積電的目標價
[03:31] 已經陸續被推上了2000塊的俱樂部
[03:34] 已經沒有任何一家券商
[03:36] 目前的目標價還在2000塊以下
[03:39] 就連最低的過去
[03:40] 我們看到高盛已經調升到
[03:42] 2200到2300
[03:43] Alessia到2400
[03:45] 就連過去比較
[03:46] 不管是保守
[03:48] 還是比較中性的本益比
[03:49] 像小摩
[03:51] 像是瑞銀等等
[03:52] 基本上低標都已經進入到2000
[03:55] 其實也就證明了
[03:57] 市場上針對2027年
[03:59] 整體EPS
[04:00] 預估100塊就會成為長期的底部
[04:02] 按照這樣子20倍的本盈比來做推算
[04:05] 好
[04:05] 這個是我們就要回過頭來看
[04:07] 市場上開始針對定價
[04:08] 已經出現了比較顯著的
[04:11] 避險情緒的下滑之後
[04:12] 大家針對這些就業資料的反應
[04:14] 為什麼這麼兩極
[04:16] 或者說
[04:16] 為什麼沒有那麼明顯的波動
[04:18] 或者說市場的多漢空與此沖銷呢
[04:21] 原因很簡單
[04:22] 因為總體經濟資料公佈以後
[04:24] 你其實看不太出它的方向感
[04:26] 到底是景氣極差還是極好
[04:29] 還是看起來就溫溫的
[04:31] 因為從整個12月份的非農就業資料來看
[04:34] 這一次僅僅只有新增5萬人
[04:36] 比市場預期算是蠻低的
[04:38] 但是呢
[04:39] 這個5萬人
[04:39] 你說有沒有到經濟衰退的地步
[04:41] 有沒有到緊急救市的程度
[04:43] 看起來也沒有啊
[04:44] 跟過去幾個月差不多
[04:45] 但是肯定不到經濟過熱
[04:47] 尤其10月到11月合計減少了7.6萬個工作
[04:51] 失業率這一次居然還下滑到4.4%
[04:55] 那當然到底是因為
[04:57] 現在非法移民的驅逐潮還在持續
[05:00] 所以導致非農就業貢獻不多
[05:03] 但是呢失業比例正在下滑
[05:05] 還是說有其他的經濟的變因
[05:08] 因為新資目前本土的結構
[05:10] 是很明顯感受到那種
[05:12] 由於移民驅逐潮所造成的效果
[05:15] 時薪月征服是0.3%
[05:17] 年征服是3.8%
[05:19] 這個就高於預期
[05:20] 也比通膨還要來得高
[05:22] 這就代表著美國到目前為止
[05:24] 實質購買力還是屬於翻陣的
[05:27] 那如果看勞動類市場正在出現的品質轉變
[05:30] 新增的並不是穩定的全職工作
[05:33] 而是更多波動性高
[05:34] 彈性更大的兼職工作
[05:36] 所以呢你又說可是移民正在驅逐啊
[05:40] 沒錯移民驅逐以後
[05:41] 很多移民原本在做的兼職工作
[05:44] 現在變成了本土
[05:46] 美國的就業者正在做的工作
[05:49] 就會變成全職下滑
[05:51] 兼職撐場
[05:52] 你要說美國本土的購買力放大到多少
[05:55] 其實也沒有
[05:55] 他還是在做兼職
[05:57] 也就是說企業在需求不明朗的情況底下
[06:00] 還是選擇先用短工時派錢
[06:03] 或者臨時人力來做應付
[06:04] 而並不是承諾長期的成本
[06:07] 所以美國就業市場這一波
[06:08] 基本上如果以細看過去一整年
[06:11] 全年大概是增加71.3萬個就業崗位
[06:15] 休閒和餐飲月有稍微成長
[06:17] 但真正流失比較大的
[06:19] 其實你還是可以看到川普執政下來的成果
[06:22] 那就是聯邦政府的職位
[06:24] 是所有部門當中消耗比例來的最多的
[06:28] 裁員比例來的最大的
[06:29] 一整年過去
[06:31] 你可以發現
[06:31] 其實醫療和社會照護增加了71萬人
[06:35] 全年呢
[06:36] 因為有其他部門正在削減
[06:37] 大概是58萬到59萬左右
[06:40] 這也算是20多年以來的最低增速
[06:43] 所以就是就業還在成長
[06:45] 可是已經是過去
[06:46] 疫情以來的最低成長的一年
[06:49] 那當然其中一個因子
[06:51] 就是我們剛才提到的
[06:52] 張圖表示美國的淨移民
[06:54] 他在高峰後期
[06:55] 基本上滑落幅度
[06:57] 大概只剩下十分之一
[06:58] 這美國的經濟膨脹
[07:00] 那每年都要有適應的
[07:02] 移民人口數流入
[07:04] 才能夠保持失業率
[07:06] 或者非農就業的穩定
[07:07] 但是呢
[07:08] 因為移民本來就是美國勞動力成長的重要來源
[07:12] 現在移民大幅下滑
[07:13] 只剩下十分之一的時候
[07:15] 當然會形成失業率啊
[07:17] 永遠上不去
[07:18] 因為呢
[07:19] 你市場的需求永遠都在嘛
[07:21] 可是呢
[07:21] 這並不代表市場的需求暴增
[07:24] 或者說市場需求好的不得了
[07:26] 而是說相對於移民人口的下滑
[07:29] 可能需求下滑的幅度稍微比較緩慢一點
[07:32] 所以呢
[07:32] 也許總體企業也沒有選擇要做更進一步的招募
[07:36] 可是由於人實在是離開的太快了
[07:38] 最後形成這樣的結果
[07:40] 當然了很多人會覺得這就業資料
[07:42] 過去幾個月是不是常常失真
[07:44] 準嗎
[07:45] 如果我們把不同資料來源來做一個比對
[07:48] 會發現官方的共識
[07:50] 平均就是每個月大概在7萬人左右
[07:53] 那你當然看非農好像稍微低一點
[07:55] 可是從替代資料來看
[07:57] 之前我們看到的高盛的就業指標
[08:00] 或者是ADB資料
[08:02] 或者是職位空缺數來做推論
[08:05] 勞動市場本來就變成那種低動能噪音變大的階段
[08:10] 就是新增的職位本來就不多
[08:12] 那模型的假設
[08:14] 政府估計的方式容易被放大
[08:17] 其實美國市場就是不好不壞
[08:19] 你也沒有到嚴重會到大規模世界的地步但是肯定也不到經濟大好現在就是處於這樣的一個尷尬水位所以整個2025年我們還是可以把它判定成它算是在非衰退年份當中
[08:32] 就業成長最差的一年
[08:34] 你甚至上一次
[08:36] 非農就業增長這麼低的時候
[08:38] 如果撇開07年08年
[08:40] 或者2020年的衰退
[08:41] 大概上一次這麼低
[08:43] 就是2003年的時候
[08:44] 就剛復甦
[08:45] 所以還是可以看得出來
[08:47] 聯準會還是由於就業市場的軟化
[08:49] 它有進一步降息的空間
[08:51] 那至於通膨問題
[08:52] 我們後續再談
[08:53] 不過呢
[08:54] 目前只要石油目標
[08:56] 能夠達到川普的意志
[08:57] 聯準會應該是有
[08:58] 高於預期的降息空間
[09:00] 為什麼呢
[09:00] 現在美國的經濟資料
[09:02] 剛才提到嘛
[09:03] 那個就業你感覺就該降息
[09:04] 可是經濟就好得不得了
[09:06] 那中間為何呢
[09:08] 其實就來自於成本的下滑
[09:10] 不管是原物料成本的下滑
[09:12] 還是能力成本的下滑
[09:14] 它反而助長了美國的經濟
[09:17] 尤其是AI的投資
[09:18] 能夠有進一步利潤的放大
[09:20] 不管是這些七巨頭
[09:21] 還是對於實體投資的帶動潮
[09:23] 我們根據亞特蘭大聯總會GDP那種模型
[09:25] 針對第四季的實質GDP
[09:27] 已經從原本預估的2.9%
[09:29] 大幅拉昇到5.4%了
[09:32] 尤其最新的資料也顯示
[09:33] 美國的貿易逆差已經縮減到294億
[09:37] 那我們要知道
[09:37] 過去曾經有一段時間
[09:39] 由於進口量的大增
[09:40] 美國GDP下調非常快
[09:42] 但現在呢
[09:43] 進口下滑
[09:44] 出口上升
[09:45] 美元又貶值
[09:46] 現在呢
[09:47] 美國天然氣的出口啊
[09:49] 各國都有穩定的訂單
[09:50] 對於美國的貿易利差的減少
[09:52] 更有利於GDP在賬面上的數字
[09:55] 表現非常亮麗
[09:56] 所以整個2026年
[09:58] 我們回到今天主軸
[09:59] 川普真正的挑戰是什麼
[10:01] 仍然跟臺灣政府差不多
[10:03] 是勞動分配的問題
[10:05] 我們細看美國勞工統計局
[10:07] 最新所公佈的資料
[10:08] 25年的第三期勞動分配率
[10:11] 也就是你勞工以薪資
[10:13] 獎金和退休金等形式
[10:15] 所取得的產出比例
[10:16] 已經降到53.8
[10:18] 這比前一季度的54.6還要來得低
[10:21] 而且已經創下1947年
[10:24] 有這項統計以來的歷史最低
[10:27] 說明著工資佔GDP的比重
[10:29] 已經跌到歷史新低了
[10:31] 這其實給我們一個很大的警訊
[10:34] 這是你的工資上漲
[10:36] 你的消費增長
[10:37] 真的對經濟有那麼大的影響嗎
[10:39] 你多買幾個便當
[10:40] 真的會影響到臺灣經濟嗎
[10:42] 好像不會
[10:43] 似乎只要AI繼續投資下去
[10:45] 一般人的民生消費
[10:47] 它佔總體經濟的比重
[10:49] 是有可能越來越小
[10:50] 臺灣是很正常的
[10:51] 臺灣是外交型經濟體
[10:52] 可是美國是一個進口型
[10:55] 消費型經濟體
[10:56] 美國人的消費
[10:58] 佔整個經濟的比重
[11:00] 看起來有縮小的可能性
[11:02] 這個是未來之中
[11:03] 我們觀察的極大重點
[11:04] 所以即便我們看到
[11:06] 美國的每小時時薪
[11:07] 正在擴大
[11:08] 購買力似乎正在拉大
[11:10] 但是從總體消費行為而言
[11:12] 消費量佔總體經濟
[11:14] 似乎已經沒有來得這麼高了
[11:15] 可是問題來了
[11:16] 雖然經濟數字可能反映的已經不是更多消費的增長
[11:20] 可是川普的選舉要看的是消費
[11:22] 所以這一次我們看到白宮內的影子首相
[11:25] 斯蒂芬米勒
[11:26] 最近川普採取一系列的政策
[11:29] 那根據華爾街日報和彭博的推算
[11:32] 都是他的相關推進
[11:34] 不管是移民、關稅、治安、大學補貼
[11:37] 從過去我們看到川普特別著重在外交領域的成果
[11:41] 到今年為止
[11:42] 川普已經採取了大量的內政政策
[11:45] 而米勒看起來就是背後效率極高的執行者
[11:49] 那我們看他最近所採取的做法有哪一些呢
[11:52] 第一
[11:52] 信用卡政策
[11:54] 利率上限鎖死10%
[11:56] 美國以前迴圈利率是25%
[11:58] 直接讓中低收入戶
[12:01] 可能在違約邊緣的過程當中
[12:03] 他違約的速度或者說負擔的違約利息
[12:07] 稍微沒有來得這麼大
[12:08] 那第二個是樓市
[12:09] 禁止貝萊德等大型機構來購買獨棟別墅
[12:13] 不讓你公司來進行
[12:16] 因為公司現在買別墅的
[12:18] 在美國通常也都是全款買了
[12:20] 不讓你有進一步的擴大行為
[12:22] 造成民意上對於選民的支援
[12:24] 第三是房貸
[12:26] 宣佈要砸2000億美金
[12:28] 把利率給打下來
[12:29] 聯總會的部分
[12:30] 今年預估要降到1%
[12:32] 這是他的目標
[12:33] 油價
[12:34] 川普的目標是
[12:35] 今年要降到每家輪2美元
[12:38] 最後是發錢
[12:39] 我們預估在4月到5月
[12:40] 每個人會普發2000美金的關稅支票
[12:43] 所以最高法院禮拜五最後訊息沒有公佈出來
[12:47] 那川普會不會想說趕快先把關稅給發掉
[12:49] 到時候你跟我要錢
[12:50] 我就說我已經發光了
[12:51] 川普之所以採取連續六項的高強度的內政政策
[12:55] 是有其原因的
[12:56] 我們細看把標普白指數拿來跟川普的支援率
[13:00] 基本上在2025年的3月到4月是高度聯動的
[13:05] 就是關稅戰開打
[13:07] 經濟大恐慌
[13:08] 那川普的民調就跟著往下掉
[13:10] 可是在4月到5月
[13:13] 關稅逐步開始延後以後
[13:15] 川普民調曾經有一度的反彈
[13:17] 之後卻一路的向下
[13:19] 也就是說川普的股票市場
[13:21] 跟川普的民調
[13:22] 本身是呈現比較明顯的反向關係
[13:25] 這就說明了資產價格的上漲
[13:28] 跟選民的名利
[13:29] 真的並沒有太大的顯著關係
[13:31] 真正比較有關係的
[13:32] 還是屬於市場情緒指標
[13:34] 比如說密西根大學
[13:35] 最新所公佈的消費者信心指數
[13:37] 雖然小幅回升到54
[13:39] 不過呢
[13:40] 這還是連續幾個月的悲觀以後
[13:42] 稍微沒那麼悲觀
[13:43] 其實還是跟2022年
[13:45] 烏爾戰士高通鵬的情緒
[13:47] 差不多的位階
[13:48] 這個指標還是很低
[13:50] 而且是從2025年年初以來
[13:52] 高速激化
[13:53] 不是說川普接了一個爛攤子
[13:55] 是川普在年初的時候
[13:57] 攤子是好的
[13:58] 可是到年底的時候
[13:59] 攤子就越來越爛了
[14:01] 當然了
[14:01] 這其實也就說明著
[14:03] 市場上針對當前的經濟情況
[14:05] 越來越不滿
[14:06] 可是我們要知道
[14:06] 從資料上來看
[14:08] 其實我們並沒有看到
[14:09] 那種通膨的全面失控
[14:11] 包括舊金山
[14:12] 聯邦準備銀行
[14:13] 最新所出的報告
[14:14] 其實也提到了
[14:15] 關稅真的會助長通膨嗎
[14:17] 看起來
[14:18] 關稅沒有爆充
[14:19] 有兩個原因
[14:20] 第一是實施的空間
[14:22] 和規模沒有想象中來得大
[14:24] 現在平均在臺灣
[14:25] 只有23%的貨物
[14:27] 真的被課到關稅
[14:28] 大部分是豁免關稅
[14:30] 或者還在商議
[14:31] 比如說二三個條款的半導體關稅
[14:33] 那第二件事情
[14:34] 通膨沒有爆充的背後
[14:35] 是因為關稅這件事情
[14:37] 讓很多人的消費提前縮首
[14:39] 所以關稅的通膨應該物價要漲
[14:42] 可是由於市場通縮的消費
[14:45] 最後導致了物價漲沒人買
[14:47] 物價又跌回來了
[14:49] 有這樣的一個感覺
[14:50] 所以造成到目前為止通膨遠遠沒有失控
[14:53] 這一次白宮要做的事情是什麼
[14:56] 很明顯
[14:56] 第一我們看到白宮在最近
[14:58] 不管是針對食品價格進行關稅的陸續豁免
[15:01] 針對傢俱價格
[15:03] 針對一些耐久財也開始進行豁免
[15:05] 開始我們預估在2026年
[15:08] 應該會有一系列的關稅鬆綁
[15:09] 陸續的出爐
[15:10] 那第二件事情
[15:11] 是讓市場的購買力放大
[15:13] 一方面當然是持續的驅逐非法移民
[15:16] 確保本土內部就業者的薪資能夠拉昇
[15:19] 第二大方面
[15:20] 所以我們看到
[15:21] 在最近白宮出手限制法人買房
[15:23] 禁止大型的投資機構
[15:25] 這一次其實禁止大型機構
[15:27] 投資人繼續收購美國的獨棟住宅
[15:30] 並且要求國會立法固定下來的理由
[15:33] 就是房子是給人住的
[15:34] 不能夠給公司囤
[15:36] 那其實這些機構
[15:38] 一方面
[15:39] 其實擁有的房地產
[15:41] 沒有想象中還要來得多
[15:42] 那第二大方面
[15:43] 引起美國市場買不起房的
[15:46] 其實根本原因還不是這些
[15:47] 企業巨頭
[15:49] 其實房地產的真實報酬
[15:51] 相對於股市權益
[15:52] 沒有想象中來得高
[15:53] 真實原因還是因為高利率
[15:55] 美國現在已經醞釀很多年
[15:57] 這個議題
[15:58] 美國現在的首購族是多少
[15:59] 是40歲
[16:01] 就40歲平均才買到第一套房
[16:03] 住房負擔已經成為了生活成本的核心危機
[16:07] 那民主黨也是在往這個方向來做呼籲
[16:10] 也主張立法能夠限制企業燒房
[16:13] 所以算是共和黨和民主黨少數都擁有的共識
[16:16] 可是這個效果其實真正的根本原因
[16:19] 還是要來自於降息預期通道的開啟
[16:22] 所以川普不只是設定了利率上限
[16:24] 也要求米蘭在今年儘可能在聯準會內部
[16:28] 推動一系列的降息方向
[16:30] 我們就看五月份鮑爾卸任以後可能採取的動作
[16:33] 川普在上禮拜也宣佈
[16:35] 把信用卡利率動住在10%
[16:38] 期限一年
[16:39] 要求在1月20號就會正式生效
[16:42] 作為對於選民生活成本不斷上升的部門
[16:44] 他在Truth Social上直言
[16:46] 不會再讓信用卡以過去20到30的高利率來剝削美國民眾不過呢白宮其實還沒有具體說明要如何透過法規或者行政上限是一個總量的管制還是說因為現在利率就是那麼高
[17:00] 強制你下行呢
[17:01] 那我們後續就要觀察
[17:03] 因為我們都知道
[17:04] 六大美銀巨頭在去年獲利
[17:07] 一共上看了1570億
[17:09] 基本上快要挑戰2021年的歷史新高了
[17:13] 所以川普態度很明顯
[17:15] 之前那個醫藥業也是如此
[17:17] 你醫藥業賺那麼多錢
[17:18] 美國的要價要比別人貴
[17:20] 我宣佈動漲要價
[17:22] 你必須以最惠國要價來做設定
[17:25] 那該怎麼做呢
[17:25] 就讓利潤
[17:27] 要求這些製藥業吐出利潤
[17:29] 那現在呢
[17:30] 因為製藥業某種程度
[17:32] 過去民主黨的贊助程度比較高
[17:34] 它算是一種利益集團的對峙
[17:36] 而現在呢
[17:37] 回到銀行業
[17:38] 是不是要求銀行業吐出適度的利潤
[17:42] 來確保川普能夠在其中選舉能夠勝選呢
[17:45] 這個值得大家來多做一些觀察
[17:47] 要看一下1月20號
[17:48] 具體的法則是
[17:50] 全部進行利率上限來定定
[17:52] 還是說接下來會進行適度調整
[17:55] 但不管怎麼樣
[17:56] 他都是回應當前的選民民意
[17:58] 雖然目前選民的聚焦
[18:00] 仍然在明尼阿波利斯的大規模抗議
[18:03] 因為這一次一聲槍響
[18:05] 美國卻走向了兩種解讀
[18:06] 我稍微看了一下影片
[18:08] 其實他在開槍的過程當中
[18:11] 我們先講後續的心理矛盾
[18:12] 選民大多數其實都支援
[18:15] 非法移民的驅除
[18:16] 但同時也反對那種無差別的掃蕩
[18:19] 跳過司法程式
[18:20] 或者透過軍事力量來直接干預
[18:23] 那這一次
[18:24] 美國這次槍擊案
[18:25] 聯邦政府和地方首長的說法
[18:27] 就很南轅北側
[18:28] 我稍微看了一下影片
[18:30] 後來華爾街日報和金融時報
[18:32] 都做了相關的專題報道
[18:33] 從不同角度來做檢視
[18:35] 因為從現在ICE
[18:37] 就是美國的移民執法人員
[18:39] 在全美大概已經有13起
[18:41] 針對平民車輛開槍的事件
[18:43] 有8人中彈
[18:44] 2人死亡
[18:45] 大部分都是美國公民
[18:46] 而並不是槍殺到非法移民
[18:48] 而現在如果細看
[18:50] 因為你硬要講
[18:51] 他好像也有打右轉
[18:53] 感覺是想逃離
[18:54] 但是開槍的移民人員
[18:59] 之前可能也曾經因為這樣子受傷過
[19:01] 所以採取了一系列動作
[19:02] 那我不管執法權的是與非
[19:06] 不過影片曝光之後
[19:08] 敘事戰的全面升溫
[19:10] 讓大家更為關注的變成移民問題
[19:13] 可是我們儘管知道
[19:14] 每一次這種政治問題的爆發
[19:16] 最終敦促選民投下反對或者支援的
[19:20] 最終還是經濟議題
[19:21] 所以川普政策的方向
[19:24] 其實在今年市場的平均預估
[19:27] 針對非法移民的打劫力道是不會減緩的
[19:30] 也許就是看到時候的法院判決來適度進行調整
[19:33] 但是針對非法移民的驅逐潮是不會因此而結束的
[19:37] 事實上我們看美國國務院在禮拜五
[19:39] 也進一步擴大簽署保證金的適用國家名單
[19:42] 新增25國來到38個國家
[19:45] 來自這些國家的旅客
[19:46] 短期不管是申請觀光
[19:48] 或者商務用的B1 B2簽證
[19:51] 入境前必須要先繳
[19:53] 5000到15000塊美元不等的保證金
[19:56] 從這個禮拜開始正式生效
[19:58] 那當然主要是一些像奈及利亞
[20:01] 孟加拉古巴委內瑞拉等等這些國家
[20:05] 原因就在於降低你預期停留的比例
[20:08] 你要來我們國家觀光
[20:09] 你先付一筆錢
[20:11] 以防你落跑
[20:12] 所以用這樣的一個方式
[20:13] 這個不管是在對內的驅除
[20:16] 還是對於新的觀光客
[20:18] 新的移民所採取的進一步動作
[20:20] 甚至我們看美國財政部長貝森特
[20:23] 在最近也罕見的
[20:24] 針對左派非盈利組織開啟縱化
[20:27] 直言政府正在檢視部分
[20:29] 以免稅身份運作的NGO
[20:31] 是否透過不透明的資金
[20:32] 實際參與或間接鼓勵非法移民
[20:35] 應該這樣講了
[20:37] 就他認為
[20:38] 現在美國在全美各地
[20:40] 爆發的一系列的抗議活動
[20:42] 背後一定要有人出錢
[20:44] 才撐得起這麼高強度的抗議
[20:46] 無論是從現場裝置後勤補給
[20:49] 還是甚至有一些
[20:51] 給人安置的安全物
[20:53] 財政部的做法很簡單
[20:55] 他會跟著錢走
[20:56] 就跟當年追查黑手黨一樣
[20:58] 啟動吹哨者機制
[21:00] 讓內部人士能夠揭露金流走向
[21:03] 如果有海外政府
[21:07] 嘗試的要贊助美國本土的抗議活動
[21:10] 財政部一定會從金流層面抓到人
[21:13] 這個是貝森特給予的放話
[21:15] 他也暗示
[21:16] 有非常多左派的非盈利組織
[21:18] 似乎是透過不透明的資金
[21:20] 嘗試的要破壞美國的安全秩序
[21:23] 我們後續就來觀察
[21:24] 真正到時候給予的承諾
[21:27] 或者說調查的結果表現為何
[21:29] 不過從這件事情還是可以發現
[21:31] 川普本身其實在經濟民調層面
[21:34] 才是導致當前整體民調下滑的主因
[21:37] 那部分共和黨人
[21:39] 可能因為醫療健保的問題
[21:41] 或者因為槍擊案的問題
[21:42] 開始跟MAGA派陸續的拉開距離
[21:45] 舉例來說我們根據NBC最新民調
[21:47] 在過去去年12月底到現在的民調
[21:50] 自我認同為MAGA共和黨人的比例
[21:52] 大概是從57%下滑到50%
[21:56] 在過去八個月大概減少了七個百分點
[21:59] 那同一個時間
[22:00] 自認為傳統共和黨人的比例反而上升了
[22:03] 來到50%左右
[22:05] 部分黨內選民並沒有選擇離開共和黨
[22:08] 不過呢
[22:08] 大家不再強調自己是MAGA派
[22:10] 為什麼
[22:11] 因為你是MAGA派
[22:12] 你到伊朗又轟炸了一下
[22:13] 你到委內瑞拉又抓走人家總統
[22:15] 那不是說抓或者轟炸對不對
[22:18] 而是說MAGA派不是本來就應該要更為著重於美國利益嗎
[22:23] 美國本土內政問題才是最重要的
[22:25] 不要去摻和別人海外的問題
[22:28] 所以MAGA陣營內部的強烈支援度
[22:31] 大概也從78%回落到70%左右
[22:34] 傳統共和黨人對於川普的行為
[22:37] 從38%下滑到35%
[22:39] 那我們後續就要觀察
[22:41] 到底是接下來是共和黨人
[22:43] 跟川普馬卡派內部的妥協
[22:45] 開始有效的談定
[22:47] 還是說川普會一意孤行
[22:49] 持續採取他認為對於選民有利的政策呢
[22:52] 不過本來就是如此
[22:53] 這個川普一直都是
[22:55] 左手拿槍
[22:56] 右手拿聖經
[22:58] 對於海外來看
[22:59] 你信我這一套
[23:00] 在我的框架下做事
[23:02] 那你不信我
[23:04] 那我就帶你見上帝
[23:05] 到時候你見上帝
[23:07] 遲早也要讀聖經的
[23:08] 但本來就這樣子
[23:09] 其實美國正常人走路
[23:11] 本來都左腳右腳
[23:12] 在相互交替前進的
[23:14] 你只是人家一隻腳
[23:16] 那就破腳了
[23:17] 美國的國家路線
[23:18] 其實也差不多
[23:19] 左派幹完
[23:20] 換右派
[23:21] 右派幹完換左派
[23:22] 雙方走到極端以後又回來
[23:24] 當然
[23:24] 現在其實我覺得
[23:26] 還在中間剛剛好而已
[23:27] 也沒有到很
[23:28] 川普是右派
[23:29] 我覺得也還好
[23:30] 感覺他比較像中間派
[23:31] 用常理治國
[23:33] 但行政手段有點極端就是如此
[23:36] 其實我們往更深層來看
[23:38] 難道右派就反對社會平等
[23:40] 難道右派就反對環境保護
[23:42] 難道左派就反對美國夢
[23:45] 其實並沒有
[23:46] 他其實某種程度就是一種
[23:48] 擴權跟浪權當中的平衡
[23:51] 左派大多數都是傾向擴權
[23:53] 加強政府的干預
[23:55] 財富重分配
[23:56] 縮小貧富差距
[23:57] 推動新的權力
[23:58] 不然是LGBTQ
[24:00] 還是性別平等
[24:01] 透過規範來讓企業
[24:04] 能夠更保護市場和勞工權益
[24:07] 右派其實就是比較傾向浪權
[24:09] 限制政府的規模
[24:11] 維護傳統價值
[24:13] 個人自由優先
[24:14] 川普就比較極端
[24:15] 他有時候為了要達到
[24:17] 右派的最後的傾向
[24:18] 他要先採取一些左派的擴權
[24:20] 他要先擴權才能浪權
[24:22] 他要先採取一定性的動作
[24:24] 才能夠讓美國政府
[24:26] 能夠釋放權力
[24:27] 這是他的一個說法
[24:28] 但這背後就是有歷史變遷的
[24:31] 太左也不行
[24:32] 太右也不行
[24:33] 你政府也不能什麼都不管
[24:34] 也不能什麼都管
[24:35] 沒有誰才是最好的
[24:37] 這本來就是留給後續歷史來做評斷
[24:40] 我是覺得現在也沒有到很極端
[24:42] 我覺得這行政行為比較極端
[24:45] 好像最近蔣介石日記很紅
[24:48] 你看歷史定位就是如此
[24:51] 他可以是偉人
[24:52] 他也可以是政治家
[24:54] 他也可以是戰敗者
[24:55] 也可以是獨裁者
[24:57] 也可以是血氣方剛的小夥子
[24:59] 就看你用什麼樣的視角來看待
[25:02] 前兩天我才讀了一本書
[25:04] 他講日本海軍在加武戰爭勝利的時候
[25:08] 基本上已經完全摧毀了清政府的軍事力量
[25:11] 那中國就元氣大傷
[25:13] 日本為了要保持他的勝利果實就在中國內部持續製造混亂然後就對革命黨人提供了大量的秘密資助所以孫文跟日本人的關係一直都很好日本海軍後續就把大量的資源
[25:27] 給孫中山
[25:28] 嘗試的進行革命團體的領導
[25:32] 那你說這樣回過頭來看
[25:33] 那日本人到底對於中華民國
[25:36] 是什麼樣的一個角色存在呢
[25:38] 所以這個很有趣的一個觀察重點
[25:40] 不管怎麼樣
[25:41] 我們看歷史的變遷就是如此
[25:43] 好我們回過頭看
[25:43] 沒有股市市大指數的表現
[25:45] 道瓊供應指數上漲237點
[25:47] 0.48%
[25:48] 刷49504點
[25:50] 標普上漲44點
[25:52] 0.65%
