[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 看起来脸书Meta财报并没有符市场预期的
[15:21] 所以如果一个主席
[15:24] 一个联总会花那么多时间去讨论框架
[15:27] 然后描述叙事
[15:28] 其实是很浪费时间的
[15:30] 我们应该放松监管
[15:31] 让市场有自然的价格波动
[15:33] 而且不要做太多的表态
[15:34] 要不然就会有太多预判
[15:37] 别人的预判的预判的预判
[15:38] 我知道联总会会降息
[15:40] 联总会也知道自己会降息
[15:42] 那联总会也知道
[15:43] 我知道联总会会降息
[15:45] 我也知道联总会知道
[15:46] 我知道联总会会降息
[15:47] 大家就这样子预判来预判去
[15:50] 那资产价格不就是无形当中被堆高许多
[15:52] 或者被错杀许多吗
[15:54] 那不如我们不要做太多的表态
[15:56] 这个是或许过去一直以来的看法
[15:58] 再来他的看法是
[16:00] 当前的利率意愿
[16:02] 我们必须了解对于市场的氛围
[16:04] 除非到极端值
[16:05] 否则不要乱出手
[16:07] 什么意思呢
[16:07] 就是在一个正常合理的波动
[16:10] 资产价格的波动区间
[16:11] 只要没有维系到系统性风险
[16:13] 资产价格就算下跌
[16:15] 应该都是可以理解的
[16:16] 不要让人有错觉
[16:18] 觉得联准会会救你一辈子
[16:20] 不要让市场有一种错觉
[16:22] 股市好像跌了两成
[16:24] 有可能有点压力
[16:25] 联准会一定会出手
[16:26] 联准会一定会提供流动性
[16:28] 不要让市场上
[16:29] 有这样的一个无限的遐想空间
[16:31] 否则你到时候
[16:32] 反而要为全球的泡沫负担责任
[16:35] 我们过去讲说
[16:36] 这种高利率低利率
[16:37] 它要让它形成市场的自然修正
[16:40] 较高的利率会让债券的价格变得有吸引力
[16:43] 这对于股市是不利的
[16:45] 但是央行提高利率通常是因为经济情况好
[16:48] 这对股市又是有利的
[16:49] 央行提高利率通常是为了降低未来的通膨上升
[16:52] 通膨又对股市是不利的
[16:54] 较高的通膨又意味着工资也会跟着提升
[16:56] 这对股市又是有利的
[16:57] 较高的利率会让贷款者成本上升
[17:00] 降低贷款的意愿
[17:01] 这个时候对于股市又是不利的
[17:03] 较高的利率会让存款者的收入增加这对股市又是有利的较高的利率对于房地产价格不利对于卖房者不利但是对于购房者有利较高的利率让该国的货币升值这对出口是有害的
[17:14] 但是对于进口是有利的
[17:15] 那你要让市场这样走
[17:17] 不断不断的去纠错自己
[17:19] 让市场不断的进行均值回归
[17:22] 不要去透露出升息是好的
[17:24] 降息是好的
[17:25] 不要透露出我打算升一整年
[17:28] 我打算降一整年
[17:29] 用这样的一个预期
[17:30] 市场的自然修正
[17:32] 联总会就没有太多事情可以做
[17:34] 这个就是
[17:34] 或许希望在本届政府达到的要求
[17:37] 所以我们就看
[17:38] 他会不会未来的表态
[17:40] 反而跟大家想象的不一样
[17:42] 不是如川普所意愿的
[17:44] 我要降息
[17:45] 每个月
[17:46] 每个兼职会议
[17:47] 我都要降息
[17:48] 有没有可能是
[17:49] 我不表态
[17:50] 你们根据自己的利率来做决定吧
[17:52] 下一次FOMC
[17:53] 我就直接告诉你
[17:54] 我降不降息
[17:55] 可能会迎来单日的巨大波动
[17:57] 可是可以瓦解掉
[17:59] 市场针对联总会的过度投射
[18:01] 这个值得大家来多多一些关注
[18:03] 事实上我们如果细看
[18:05] 或许现在的降息手段
[18:07] 到底有没有到大呢
[18:09] 其实按照市场主流氛围
[18:10] 你会发现利率预期搞不好还升高
[18:13] 结果股市还是照涨
[18:14] 其实就说明着
[18:15] AI财源潮所带领的企业效率革命
[18:18] 还是如同沃许所说的
[18:20] 的确陆续在发酵
[18:22] 所以他反而没有这么悲观
[18:23] 他可能认为
[18:24] AI还是会造成全球长期会通缩
[18:26] 而且与此同时
[18:27] 经济的生产力仍然在提升
[18:29] 我们举例来说
[18:30] 今年一季度裁员人数不少
[18:32] 裁了21万人
[18:33] 整体而言
[18:34] 科技业大概大增了有接近40%
[18:37] 但是其实并不是因为景气不好
[18:39] 这一科技的裁员
[18:40] 主要是这一科技
[18:41] 它正在加码AI投资
[18:43] 用机器去取代能力
[18:45] 我们如果细节观察
[18:46] 现在在2026年的结构性裁员当中
[18:49] 你像UPS
[18:50] 像甲骨文
[18:51] 都出现了3万人等级的大裁员
[18:53] 科技公司像Meta
[18:55] 最近也裁了5000人
[18:56] 所以整体而言
[18:57] 今年一季度裁员人数
[18:59] 8.1万人
[19:00] 如果是集中在七巨头的话
[19:02] 这个数量算是不少
[19:04] 可是招募人数
[19:05] 大概也到5到6万人
[19:07] 说明的事情是
[19:08] 这些科技公司
[19:10] 要求最顶尖的人才
[19:11] 对于可能被AI取代的工作
[19:13] 都在陆续取消
[19:14] 我们举几个例子来说
[19:16] 像Meta是直接用
[19:17] 10%的裁员来换取AI资本支出
[19:20] Snap或者GoPro
[19:22] 也导入AI提升效率
[19:24] 作为缩编的理由
[19:25] 我看到的很多现象是这样
[19:27] 有些公司
[19:29] 因为2021年2022年是大全工
[19:31] 他当时招了很多员工以后
[19:33] 23年24年25年
[19:35] 即便景气传产有动荡
[19:36] 也不太敢裁员
[19:37] 因为怕2021年22年重演
[19:39] 不敢
[19:40] 现在跟台湾有点像
[19:42] 台湾现在不敢乱裁员
[19:43] 就算你
[19:44] 大家知道
[19:45] 也是我们去吃餐厅
[19:46] 那服务生态度也不是很好
[19:48] 老板也不太敢裁掉他
[19:49] 因为真的找不到人
[19:50] 宁愿找一个态度有点差
[19:52] 但是还能做事的
[19:53] 也不要遭遇到缺工的风险
[19:56] 所以在这样的一个情况底下
[19:57] 很长一段时间
[19:58] 美国的企业不太敢裁员
[19:59] 可是现在有了AI的帮助
[20:02] AI不一定能够真实的取代它
[20:05] 服务业还是如此
[20:06] 但是AI形成了一个借口
[20:08] 我裁掉你
[20:09] 不是因为你不好
[20:10] 不是因为你态度差
[20:12] 是因为AI对于这个世界的冲击
[20:14] 实在太大了
[20:15] 我们公司都在采用AI
[20:16] 这个是上面的意思
[20:18] AI变成了一个裁员的理由
[20:20] 到底具体跟AI有没有关系
[20:21] 我不知道
[20:22] 但是至少我们可以看得出来
[20:23] 整个美国股市的就业市场
[20:25] 以AI作为原油进行大量轮替的周期
[20:29] 正在产生
[20:30] 而事实上如果我们细节观察
[20:31] 目前根据金融时报的最新调查
[20:33] 人工智慧
[20:35] 我们按照过往经验
[20:36] 往往认为可以让所有人站在同一个起跑点
[20:39] 举例来说
[20:40] 如果我是个体户
[20:41] 个体公司
[20:42] 我有了AI的帮助
[20:43] 我是不是就可以像大公司一样
[20:45] 拥有惊人的产出呢
[20:47] 这是我们原本的构想
[20:48] 可是最新的调查已经出来了
[20:50] 像是美国和英国
[20:52] 高收入族群
[20:53] 60%的人每天都在使用AI
[20:56] 可是低收入户族群只有一成六
[20:58] 什么意思呢
[21:00] 就是现在AI更像是在放大既有能力
[21:03] 而不是取代所有人
[21:04] 如果你是顶尖的律师
[21:06] 会计师
[21:06] 工程师
[21:07] 知识型工作者
[21:08] 不论资历的高低
[21:09] 使用率都很高
[21:10] 而且如果你是在大公司里头
[21:13] 资深员工用AI的比例更高了
[21:15] 这导致一个效果
[21:17] 第一个
[21:18] 富人用AI比较多
[21:19] 穷人没有钱去订阅最新模型的AI
[21:22] 所以其实贫富差距正在恶化
[21:24] 第二
[21:25] 高阶主管跟低阶员工
[21:28] 高阶主管大量的使用AI
[21:30] 确保自己不会被这个时代抛诸脑后
[21:33] 可是基层员工
[21:34] 本身还无法借由AI
[21:36] 来带来生产力的暴增
[21:38] 很多基层员工
[21:38] 他做的是服务业
[21:39] 做的是行政
[21:40] 当然用AI可以帮助他
[21:42] 可是当他提升更多生产力以后
[21:45] 你会发现
[21:46] AI终究比你快一步
[21:47] 甚至可以取代你所有的工作
[21:49] 这就形成一种
[21:50] 结构性的阶级重组
[21:52] 那这个就是联准会接下来要面对的
[21:54] 也许GDP真的会往上
[21:56] 也许经济真的会好下去
[21:57] 可是也许财源人数
[21:59] 它就缓步的慢慢的增加
[22:01] 这是一个比较大的压力和风险
[22:03] 这给投资朋友多做一些思考
[22:05] 好那我们回过头来看一下
[22:07] 没有股市
[22:07] 没有股市倒是没有反映
[22:09] 这么多联准会的政策利率变化了
[22:11] 现在都在反映AI
[22:12] 道琼指数是下跌280点
[22:15] 0.57%
[22:16] 刷48,861点
[22:17] 标普下跌2点
[22:19] 0.04%
[22:19] 刷7135点
[22:21] 纳斯达克指数上涨9点
[22:23] 0.04%
[22:24] 刷24673点
[22:26] 三代指数没什么波动
[22:27] 可是你看Fibon
[22:28] Fibon又冲了
[22:30] 上涨235点
[22:31] 2.35%
[22:32] 走在10271点
[22:34] 我们先看一下
[22:36] 在盘后公布的财报
[22:37] 先看Alphabet
[22:38] Google的财报
[22:39] 这一波AI已经真正转为营收和获利
[22:42] 整体营收年增幅有20%
[22:45] 净利暴增81%
[22:46] 这是远远超乎市场预期
[22:48] 那最关键的引擎就是Google Cloud
[22:50] 年增幅63%
[22:52] 直接反映出企业端在AI的需求暴增
[22:55] 现在Google的Gemini
[22:56] 企业版的用户暴增
[22:58] 有4600亿美元的订单在手
[23:00] 代表的是Google现在从测试AI
[23:03] 已经正式全面导入AI
[23:04] 我们在Google搜寻过程当中
[23:07] 我其实越来越习惯直接提问
[23:09] 然后在Google搜寻引擎里头
[23:11] 以问句方式让他来回应你
[23:13] 这是一种使用习惯的改变
[23:14] 我们过去总觉得
[23:15] 去GBT发布以后
[23:17] 会大量的人才
[23:18] 侵蚀掉Google原本的搜寻量
[23:21] 没有像Google
[23:22] 你搜寻引擎
[23:23] 它还是第一列就回答你AI的摘要
[23:24] 所以市场的黏着度还是很高
[23:27] 当然结构也很清楚
[23:28] 目前的广告
[23:29] 看起来很明显还是基本盘
[23:31] AI是新的成长引擎
[23:33] 可是更大的压力来自于哪里
[23:35] 更大来自于
[23:36] Google烧的钱速度非常非常快
[23:38] 从2023年
[23:40] 我们看单季的CAPEX
[23:41] 就明显的大幅扩增
[23:43] 其实也不止它
[23:44] 像亚马逊
[23:45] 微软
[23:45] Meta都在做同样的事情
[23:47] 但是现金流的确持续性被压缩
[23:50] 那这个时候就要观察
[23:51] Google是比较好的
[23:53] 因为现在有AI的营收回馈
[23:55] 而且它的订阅用户
[23:56] 还有企业用户正在暴增
[23:59] 可是其他就没有这么厉害了
[24:01] 你像微软的部分
[24:02] 微软财报算过关了
[24:04] 这一次Asia的云端业务
[24:05] 年增幅有40%
[24:07] 也略高于市场预期
[24:08] 可是因为市场已经把AI的成长预期
[24:12] 拉到很高的情况底下
[24:13] 它只是一种小幅的超标
[24:15] 而实际上来看
[24:17] 现在更大的压力来自于
[24:19] 微软也准备要调高资本支出
[24:21] 其中记忆体价格的上涨
[24:23] 成为了关键推手
[24:24] 导致毛利率和营业利润率
[24:26] 现在都在下滑
[24:27] Copilot的用户持续成长
[24:29] 但付费用户的转换和变现能力
[24:32] 看起来要一段时间
[24:33] 这真的无解了
[24:35] 就是到底你的PPT
[24:38] 你的PowerPoint
[24:40] 导入了AI以后
[24:41] 到底是使用PowerPoint的人变多
