[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 不過呢雖然股市是有點賣壓
[04:19] 真的不只是微軟
[04:20] 是整個軟下來
[04:22] 失守了400美元的生命線
[04:24] 這個是2024年以來的核心轉折點
[04:27] 雖然股價和均線已經嚴重背離
[04:29] 好像是代表著超跌訊號浮現
[04:32] 可是它已經跌到去年關稅戰的水準了
[04:35] 這件事情其實影響還是蠻大的
[04:37] 心理陰影等於整個2025年
[04:40] 就是整個微軟的大頭部
[04:42] 那Meta的部分
[04:43] 長短期的趨勢線反覆的交錯
[04:46] 可是現在的股價仍然在所有均線之下
[04:49] 就代表著還是要花很多的時間來消化
[04:52] 反正稍微好一點的是蘋果
[04:54] 蘋果大概在280塊左右
[04:57] 那現在呢
[04:58] 過去作為AI領頭羊
[05:00] 七巨頭大部分都不漲
[05:01] 但是Google至少還可以作為一定程度的穩盤作用
[05:05] 結果呢
[05:06] Google在短期內也跌破了短期均線
[05:08] 那現在看起來就要來挑戰
[05:10] 能不能在本週馬上的站回去
[05:13] 嘗試的把二月份的賣壓陸續進行收斂
[05:16] 讓二月份的月線看看有沒有機會
[05:19] 能夠收紅
[05:20] 那至於市場的領頭羊揮打
[05:22] 或者我們看到
[05:23] 對於AI前景
[05:25] 尤其終端運用的特斯拉
[05:26] 目前都已經陸續進入到
[05:28] 箱型整理當中
[05:30] 當然了
[05:30] 七巨頭現在熄火
[05:32] 看起來已經蠻久的
[05:33] 對於大盤看起來不太有利
[05:35] 可是隻要時間拖得越長
[05:37] 下一個季度財報季
[05:38] 再慢慢的開出
[05:40] 其實本益比陸續都在下滑
[05:41] 也就代表著
[05:42] 七巨頭
[05:43] 雖然現在股價是不漲了
[05:45] 不過七巨頭
[05:46] 從價值投資的角度而言
[05:47] 都在慢慢的提升它的吸引力
[05:50] 原因很簡單
[05:51] 因為他們的財報
[05:52] 並沒有因此而EPS跟著鬆動
[05:54] 看起來EPS的成長
[05:57] 還會有好幾個季度持續拉昇
[05:59] 所以本益比
[06:00] 如果它股價不漲
[06:01] 就可能會越來越低
[06:02] 所以我們今天要觀察的方向是
[06:04] AI股的漲不漲
[06:05] 這是一回事
[06:06] 而是市場情緒是否正在出現轉變
[06:09] 投資人開始重新定價
[06:11] AI帶來的三種衝擊
[06:13] 一個是軟體股
[06:14] 不再被當成穩定的訂閱生意
[06:16] 而是被追問
[06:17] 護城河會不會被AI代理人
[06:19] 或者低成本模型直接繞過
[06:21] 第二就是科技巨頭
[06:23] 這麼龐大的資本支出
[06:25] 如果只是為了要守護
[06:26] 它原本的這些護城河
[06:28] 值不值得呢
[06:30] 第三
[06:30] 中國AI的快速追趕的成本壓力
[06:33] 以及搭配的資料中心的用電暴增
[06:35] AI的敘事
[06:37] 它開始有一些現實上的考驗
[06:39] 今天就從這三個角度來做切入
[06:41] 首先我們看的是軟鐵股的質疑
[06:43] 目前臺股的確還在崇高
[06:46] 那美股其實已經原地踏步好一陣子了
[06:49] 第一個原因剛才提到
[06:51] 誰會被AI幫助
[06:53] 誰會被AI取代
[06:54] 早期市場是用整體的成長故事在買AI
[06:57] 現在呢
[06:58] 開始主產業點名輸贏
[07:00] 提供算力晶片和基礎建設的
[07:03] 現在其實廢辦還表現算強勁
[07:05] 但是軟體
[07:06] 什麼財富管理不動產的服務物流
[07:08] 認為可能被AI撈過重計
[07:11] 或者壓縮能力的行業
[07:12] 現在呢都被先賣再說
[07:14] 也不管你有沒有能力在AI時代活下來
[07:16] 反正就先賣你
[07:18] 那多項新模型和AI的代理工具
[07:20] 直接切入到寫程式
[07:22] 稅務規劃
[07:22] 檔案流程
[07:24] 一些排程場景
[07:24] 讓投資人已經開始意識到
[07:27] 真的會動到飯碗的落地案例
[07:29] 所以短期之間
[07:30] 軟鐵股就進行全面性撤離
[07:32] 那第二個原因
[07:33] 當然就是估值和風險管理複雜
[07:35] 去年估值一直在擴張
[07:37] 尤其科技七雄
[07:39] 一度佔標普權重過高
[07:41] 那本來就讓市場有點不安
[07:43] 2023年也不過佔25%
[07:45] 現在是佔了45%所以進行適度的資金的輪替對於實業股的投資規模能源股實業股開始有進一波的買盤反而針對科技股的比重開始下滑
[07:58] 那第三個原因呢
[07:59] 就是體感距離突然拉近
[08:01] 市場上呢從講故事現在面對到衝擊啊
[08:05] 越來越多的創業者和學者都在說
[08:07] AI已經能夠大量的去吃掉知識
[08:10] 或者初階的白領工作
[08:12] 那生產力的資料啊
[08:13] 也開始出現抬升的跡象啊
[08:15] 所以這個時候呢
[08:16] 不只是龍頭模型彼此的追趕
[08:18] 開源和中國模型
[08:20] 也在用更低成本的快速
[08:22] 逼近角度來做打擊
[08:24] 商業模式就會緊張啊
[08:25] 這個雖然啊
[08:27] 我當然知道
[08:28] 這個很多豪車做得還是很不錯
[08:31] 可是陸系車他做得很便宜啊
[08:33] 那會不會形成在AI競爭當中的壓力呢
[08:36] 為什麼
[08:37] 人家能源成本便宜嗎
[08:39] 所以啊
[08:39] 也許效能不是最好的
[08:41] 但是這個商業模式
[08:42] 難道是美系企業全拿嗎
[08:45] 好像也不一定
[08:46] 所以如果我們細看
[08:47] 在近期所傳出的利空新聞
[08:49] AI正式納入KPI
[08:51] 現在顧問巨頭的艾森茨
[08:53] 他開始把員工使用AI工具的頻率
[08:56] 納入到高階升遷的評估標準
[08:59] 公司要求副總級和資深經理
[09:02] 如果你想要晉升領導職
[09:04] 你就必須要使用內部的AI系統
[09:06] 還開始去統計每個人個人登入的記錄
[09:08] 來當成升遷討論的重要依據
[09:11] 另外一方面
[09:12] 這一波轉型也大幅的衝擊到顧問業
[09:15] 我們知道這一年顧問業其實景氣是大降溫
[09:18] 愛森澤的股價過去一年是下跌接近有四成
[09:22] 市值幾乎腰斬
[09:23] 公司正在進行大規模重組
[09:25] 雖然是擁抱AI
[09:27] 可是大家會認為有了AI以後
[09:29] 大家對於管顧業的需求看起來只會越來越低
[09:32] 另外一個就是人工智慧先鋒的法國軟體巨頭
[09:36] 達索
[09:37] 達索系統最近因為財策表現不如預期
[09:40] 股價在拜賴基股市
[09:41] 創下史上最大的單日跌幅
[09:43] 單日重挫接近20%
[09:45] 那這場災難就來自於
[09:48] 公司預估
[09:48] 可能整個2026年的營收成長
[09:51] 只有3到5%
[09:52] 那我們要知道
[09:53] 達說在過去一段時間
[09:55] 他的訂閱成長力道
[09:56] 一直是市場成長的重點模型
[09:59] 而且呢
[10:00] 在全球的這種工業型
[10:02] 或者我們講說企業型軟體
[10:04] 仍然擁有龐大的市佔率
[10:06] 可是呢
[10:07] 傳統軟體公司現在就這樣子
[10:09] 管你現在還有多少是戰略
[10:11] 所有投資人都在重新審視
[10:13] AI的發生
[10:14] 誰是第一波被取代的
[10:16] 哪些企業才能夠在這一波的變革當中生存
[10:19] 哪些企業更難生存
[10:21] 那更難生存的一定是優先被拋售的物件
[10:25] 所以股價跌幅也算蠻沉重的
[10:27] ON的部分
[10:28] 它的設計幾乎是無所不在
[10:31] 可是我們也可以觀察到
[10:32] 在一系列合作關係轉為緊張以後
[10:36] 只賣設計授權
[10:37] 或者每顆晶片全利金
[10:39] 而並不是打造實體硬體的
[10:41] 事實上市場上可能會產生
[10:44] 新一波的市場賣壓
[10:46] 也就是說
[10:46] 只要你跟軟體有關的
[10:48] 也不管你是做什麼的
[10:49] 都會受到一定程度的降頻
[10:51] 你也不知道誰被挫殺
[10:53] 很多人趁現在覺得
[10:54] 七須頭是很吸引人
[10:56] 但股價就是沒漲
[10:57] 可是真正在跌的都是軟鐵股
[11:00] 所以要彎腰撿鑽石
[11:01] 好像要挑軟鐵股
[11:02] 可是你也不知道到底誰被挫殺
[11:04] 很多人寧可
[11:05] 那選擇全部避開
[11:07] 那我乾脆去挑機具頭嘛
[11:09] 畢竟他還有穩定的AI的壟斷權
[11:12] 那但是第二件事情呢
[11:13] 對於巨頭的執意也開始因此而發酵
[11:16] 我們看到大型科技公司
[11:18] 為了要發展AI基礎設施啊
[11:20] 這一陣子是大舉的舉債
[11:22] 那債券市場就開始出現新的防禦需求
[11:24] 因此呢我們看到越來越多人啊
[11:27] 改用信用違約調期
[11:28] CDS啊來替單一公司做違約風險的保險
[11:32] 過去一年幾乎沒有什麼交易量的
[11:34] 高評級的公司CDS
[11:36] 現在變成了市場上
[11:37] 最活躍的合約之一
[11:39] 像是Google Meta甲骨文
[11:41] 相關的保護性合約
[11:43] 明顯開始放量
[11:44] 那銀行也開始去報價
[11:46] 科技巨頭的CDS
[11:47] 而且買盤還相當踴躍
[11:49] 我們以前提過
[11:50] 這叫深水炸彈投資法
[11:52] 你就是去壓它有一天爆雷
[11:54] 也許讓投資人
[11:55] 專門去壓住
[11:56] 極端小几率的事件策略
[11:58] 核心做法就是
[12:00] 利用市場對尾端風險的
[12:02] 長期低估特性
[12:03] 以很低的成本去反覆的建立小部位
[12:06] 承受多次可以控制的風險
[12:08] 換取一旦可能真的爆雷
[12:11] 所產生的巨大回報
[12:12] 那當然了
[12:13] 某種程度就意味著市場上已經意識到
[12:16] 也好像不是每一家科技巨頭
[12:18] 都一定能夠活得下來
[12:19] 那開始買一點保險
[12:21] 買一些CDS
[12:22] 那事實上
[12:23] 穆迪在本週所傳出的評斷
[12:25] 也點出一個關鍵問題
[12:27] 穆迪這一次提到
[12:28] 美國的會計規則的設計
[12:30] 可能會讓大型公司
[12:32] 在AI資料中心投資商
[12:33] 把數百億美元的潛在負債
[12:36] 藏在賬外
[12:37] 簡單來講就是
[12:38] 公司現在租資料中心
[12:39] 但是續租這件事情
[12:41] 還不算幾乎一定會發生
[12:44] 那未來可能要付的錢
[12:45] 就可能先不用列為負債
[12:47] 就算公司承諾
[12:48] 如果不續租要補差額
[12:50] 也就是殘值的保證
[12:51] 只要發生機率
[12:52] 沒有高到某個門檻
[12:53] 也不用入賬
[12:54] 那最後就是
[12:54] 不管未來續租還是不續租
[12:57] 金額可能都很大
[12:58] 可是現在財報都看不出來
[13:00] 像Meta或者甲骨文
[13:01] 這些公司
[13:02] 現在常常用一種做法
[13:04] 就是找外部投資人
[13:05] 設立一個專門公司
[13:06] 我們講的SPV
[13:07] 來蓋資料中心
[13:08] 自己再把它給租回來用
[13:10] 那表面上自己看起來就
[13:12] 不是自己在舉債
[13:13] 但是長期租金
[13:15] 加上保證條款
[13:16] 其實就很像
[13:17] 另外一種形式的負債
[13:19] 其實你本身就是在負債
[13:20] 但是你表上是看不出來的
[13:22] 你像Meta在
[13:23] Louis Anna的專案的
[13:25] 這種投資案
[13:27] 雖然他籤的是四年約
[13:28] 可是有20年的續租選項
[13:31] 就代表著這些負債
[13:33] 很多都是寫在財報的附著
[13:36] 一旦AI如果無法落地
[13:38] 並不代表著未來AI需求不強
[13:40] 講的是如果以後沒電
[13:42] 就是你落地了
[13:43] 但無法運營
[13:44] 那這些事情
[13:45] 也許在未來的表上
[13:47] 我們都看不出來
[13:48] 可是產生極大的風險和壓力
[13:50] 那產生第一個問題就是
[13:52] 股價的推升力度
[13:53] 技巧性抬升開始縮小
[13:55] 什麼意思
[13:56] 以前巨頭最喜歡做的
[13:57] 就是股票回購
[13:58] 高盛的估算
[14:00] 因為26年的CAPEX已經拉到6600億
[14:03] 你有這麼多的資金必須要投到資本支出
[14:06] 前幾年資本支出沒這麼高
[14:08] 都會做股票回購
[14:09] 把手上的現金拿來購買這家股票
[14:12] 來技巧性的抬升股價
[14:14] 減少流動性的股數
[14:15] 所以在這樣效果底下
[14:17] 如果股票回購的現金變少了
[14:19] 就代表著除非AI能夠
[14:22] 馬上迎來生產力的暴增
[14:24] 要不然股價推動的幅度
[14:26] 可能就會因此的縮窄
[14:28] 我們拿一張圖來看
[14:29] 就可以更明顯知道了
[14:30] 張圖表示22年
[14:32] CHATGPT釋出以後
[14:33] 全球巨頭的資本支出
[14:34] 尤其是Google
[14:35] 它的變化到底有多少
[14:37] 這個幅度
[14:39] 從原本910億到1800億
[14:41] 你再看前一年530億
[14:43] 前幾年大概都200億到300億
[14:45] 它是在短短的
[14:47] 兩到三年以內
[14:49] 突然暴增了四倍到五倍
[14:52] 這種成長
[14:53] 你就可以瞭解說
[14:54] 大家都已經投在裡頭了
[14:56] 事實上我們以七巨頭來看
[14:58] 在資本支出成長層面
[15:01] 少數成長只有個位數的
[15:03] 應該就只剩下蘋果了
[15:05] 亞馬遜年度資本支出
[15:06] 在今年是2000億美元
[15:08] 年增幅有六成
[15:09] 那重點壓在雲端和資料中心擴增
[15:12] Google不遑多讓1800億
[15:14] Meta是1250億
[15:15] 年增幅有七成
[15:17] 微軟是1175億
[15:18] 年增幅有四成
[15:20] 特斯拉雖然絕對金額是200億
[15:22] 不過年增幅最高
[15:23] 代表算力和自家訓練投入正在放大
[15:27] 那蘋果的部分
[15:28] 資金是不小啦
[15:29] 有130億
[15:30] 但問題在於
[15:31] 它的年增幅
[15:32] 只有個位數
[15:34] 就不只是金額最小
[15:36] 它的增速也最慢
[15:37] 所以蘋果雖然是硬體商可是它現在是資本支出佔比最低的那這當然過去好像都是這樣子加布斯時代開始蘋果就一直強調整合成熟的技術
[15:49] 而不知自己去種資本的開創底層技術
[15:52] 所以在這樣的一個效果底下
[15:53] 等同於蘋果算是七巨頭當中
[15:57] 少數應該算是非AI股的
[15:59] 當然這些巨頭基本上都是輝達的主要客戶
[16:03] 這些巨頭的資本支出持續擴增
[16:05] 那輝達的本益比
[16:07] 只要它股價不漲
[16:08] 看起來就會持續下行
[16:09] 那輝達期間要公佈財報
[16:11] 市場也預估營收和獲利
[16:13] 會大幅的超過預期
[16:14] 但問題也不是基本面
[16:16] 現在就變情緒了
[16:17] 過去幾個月
[16:18] 輝達的股價
[16:19] 也已經原地踏步好一陣子了
[16:22] 第四季以來
[16:23] 漲幅只有1.7%
[16:24] 明顯落後給大盤
[16:25] 今年表現也只是勉強翻紅
[16:28] 那以前它漲幅都是100% 200%
[16:32] 年增幅
[16:33] EPS成長也都是一倍兩倍成長了
[16:36] 過去一個季度才漲1.7%
[16:39] 漲不動本身就變成它的警訊了
[16:42] 當然它鐵量也很大了
[16:43] 所以如果我們細看
[16:44] 今年把標普500的漲幅動能
[16:47] 以科技七雄來左右
[16:49] 你會發現方向就不一致
[16:51] 輝達還是少數對於正向有貢獻的
[16:54] 1.7%漲不多
[16:55] 至少還是往前的
[16:56] 但是微軟 特斯拉 亞馬遜
[16:58] 都開始出現負貢獻
[17:00] 尤其是微軟對於指數的拖累特別大
[17:03] 微軟是整個軟下來了
[17:05] 硬不起來
[17:05] 導致整個指數被微軟給受到傷害
[17:08] 事實上輝達最近似乎也在做一些保險措施
[17:11] 最近輝達開始拍板針對OpenAI投資300億美元
[17:15] 可是這算是某種程度取代去年高調宣佈
[17:19] 但未落實的1000億美元的多年級合作框架
[17:23] 利比資金本來是說要1000億美元的合作案
[17:27] 但最後是投了300億來入股
[17:29] 某種程度一方面
[17:32] 當然以前講的是意向書
[17:33] 本來就說可能會分批投
[17:36] 也不會一次投完
[17:37] 但是某種程度而言
[17:39] 你已經缺乏了
[17:40] 讓大家有更進一步的
[17:42] AI永動機的想象空間
[17:44] 大家都知道
[17:45] 每個人做事都變得更為保守
[17:47] 投資人也變得保守
[17:49] 揮達針對整個OpenAI
[17:51] 和AI永動機的投入
[17:53] 也開始變得保守起來
[17:55] 這是第二層
[17:55] 我們看到科技巨頭
[17:57] 所形成的效果和質疑
[17:58] 第三層就是產品的規劃
[18:01] 假設AI時代要到來了
[18:03] 我們怎麼能夠確定
[18:04] 一定是現在技術最領先的科技驅雄
[18:08] 能夠全包呢
[18:09] 那尤其是對於中國AI的衝擊
[18:11] 我們知道現在全球用電需求
[18:14] 是以全球2000年以來
[18:18] 最快的速度成長
[18:19] 我們預估到2030年之前
[18:21] 每年平均會增長3.5%的用電需求
[18:25] 那主要的用電量
[18:26] 當然就是來自於AI的資料中心
[18:28] 尤其26年到30年
[18:30] 那個加速幅度應該還會持續拉伸
[18:33] 那現在問題來了
[18:33] 不止發電
[18:34] 電網穩定更為重要
[18:36] 雖然再生能源和能漢天然氣裝置都在擴充套件
[18:40] 可是現在大部分的資料中心
[18:43] 都卡在併網排隊
[18:44] 接不上電網
[18:46] IEA的預估是全球每年4000億美元的電網投資
[18:50] 現在必須要提高五成
[18:52] 而且必須在五年之內
[18:53] 那我們都知道
[18:54] 這一定無法完成
[18:55] 要麼就沒電
[18:56] 要麼就是你蓋好了
[18:58] 還是沒電
[18:58] 就有算力沒電力
[19:00] 要麼呢
[19:01] 那無法有足夠的電力
[19:03] 那本身也是沒有算力嘛
[19:05] 那另外一方向
[19:06] 就是剛才提到的
[19:07] 中國的AI實驗室
[19:09] 在農曆新年期間
[19:11] 釋出了大量的模型
[19:13] 好像中國公司都習慣在農曆年前
[19:16] 來刺激一下市場
[19:17] 這一次位元組跳動
[19:18] 推出了影片生成模型
[19:20] 這個C-Dance 2.0
[19:23] 那能夠生成多場景
[19:24] 變換敬畏
[19:25] 而且同步音效的影片
[19:27] 那很多人會覺得
[19:28] 當然有一點好像
[19:29] 涉嫌引用他人肖像權
[19:32] 不過我們也見識到了他的偉大
[19:34] 這一段時間有大量的影片串流
[19:37] 阿里的籤問3.5
[19:39] 同時也砸下了30億人民幣的補貼
[19:42] 靠AI App送出免費真來等優惠
[19:45] Moonshot最近的Kimi 2.5
[19:48] 它主打的是高效寫程式能力
[19:51] 還有較少的使用限制
[19:52] 這波集中發表其實也意味著
[19:55] 中國企業AI在策略上瞄準兩大目標
[19:58] 一是趁長假使用者有時間能夠體驗產品
[20:02] 快速的衝一下下載量
[20:03] 第二個是吸引對於美國AI平臺使用限制
[20:07] 感到不滿的開發者
[20:08] 因為相對於OpenAI或者Anthropic
[20:11] 這些基因開始收緊了存取條件
[20:13] 那中國現在更強調的是開源和部署自由
[20:16] 所以你像是ABNB
[20:18] 或者在美國有不同的軟體商
[20:20] 現在都是採用中國的開源模型
[20:23] 當然它後續
[20:24] 你像是影片生成工具
[20:26] 又有一些版權爭議等等
[20:27] 可是我們知道在開源端而言
[20:30] 中國的使用量下載量還是非常高的
[20:33] 我們知道科技巨頭在美國
[20:35] 現在是砸下了天亮的AI資本支出
[20:37] 可是我們也知道變現能力
[20:40] 還有它的投報率還不確定
[20:42] 市場會整體的
[20:44] 我們講說ROI
[20:45] 因為投資經費形容
[20:46] AI的形象
[20:48] 現在就是本來是成長天使
[20:50] 那現在是變估值殺手
[20:52] 大家都在看
[20:53] 那你能夠收回多少錢
[20:55] 中國市場的解讀路線就不一樣
[20:57] 現在更常把中國的AI
[20:59] 視為那種降本增效的引擎
[21:02] 它並不是一個顛覆者
[21:04] 所以新模型
[21:05] 巴布常常會帶動
[21:07] 媒體遊戲平臺股的走強
[21:09] 我們以阿里為例
[21:10] 這次的千萬模型
[21:11] 重金投入AI基礎設施
[21:13] 多家模型公司
[21:15] 也在農曆期間大量的推行
[21:17] 我們看在昨天港股開盤
[21:19] 恒生指數是大漲了2.5%
[21:22] 整體科技指數也大漲了3.3%
[21:24] 這很有趣
[21:25] 在美國股市
[21:26] 每個人都殺聲聾聾
[21:27] 都很害怕軟基股被取代
[21:29] 這在中國股市
[21:31] 還有香港股市
[21:32] 反而不管是美團漲幅5%
[21:35] 阿里巴巴小米
[21:36] 昨天漲幅有接近3%
[21:38] 騰訊京東漲幅也超過2%
[21:40] 那似乎整個中國
[21:42] 完全無視全球的AI恐慌交易
[21:45] 資金是大量的轉向純AI贏家
[21:48] 那這個資金很明顯
[21:49] 就是在追逐成長了
[21:51] 剛才提到的
[21:52] Meanmax或者智普
[21:53] 在香港上市之後
[21:55] 股價都還在持續上漲
[21:56] 那我們要知道中國AI市場
[21:58] 相對於美國這些科技巨頭
[22:01] 它還是有一定的封閉性的
[22:02] 外國大元模型還是很難攻到中國本土
[22:05] 讓本土廠商有更清晰的成長空間
[22:09] 那加上現在OpenAI和Enthropic
[22:11] 要上市但是還沒上市
[22:13] 全球現在缺乏可以直接投資的純AI標的
[22:17] 那中國相關公司短期內就先搶到錢了
[22:20] 另外一個就人型機器人
[22:22] 大家有看到春晚的語術機器人
[22:24] 2025年投入人型機器人的新創資金
[22:27] 大概是26.5億美元
[22:29] 已經超過18年到24年的加總
[22:32] 第一梯隊是以中國有23家
[22:35] 專注人型機器人的新創企業
[22:37] 略為領先美國的22家
[22:39] 第二梯隊是印度帶頭
[22:41] 只有12家
[22:42] 歐洲是以英國和德國較為突出
[22:45] 不過跟美國和中國
[22:46] 已經差了接近有一個量級
[22:48] 另外一方面
[22:49] 人型機器人的下一步
[22:51] 服務型AI
[22:52] 我們看中國手機品牌榮耀
[22:54] 在昨天宣佈發表首款的人形服務機器人
[22:58] 主打的是購物導覽和消費場景
[23:00] 正式加入中國企業的AI實體化
[23:03] 所以美國他是在追求效能的頂尖化
[23:06] 但中國企業看起來
[23:08] 他不追求效能的頂尖化
[23:09] 他要求的是實業化
[23:11] 立即匯入到工廠和實體的生活空間
[23:15] 所以這次語術科技
[23:17] 機器人不管他後面的整體效能為何
[23:20] 但其實受到國家企業的支援
[23:23] 加上匯入到實體生活模式
[23:26] 基本上還是可以看到一定的進步的這也導致中國正在出現新一批的New Rich這一批他靠的是人工智慧快速致富的新世代的企業家他們多半在AI浪潮底下
[23:40] 國家政策的制度底下開始崛起
[23:43] 你像是minimax的創辦人
[23:46] 俊傑和deep sick的梁文峰
[23:48] 語術科技的王新興
[23:49] 還有多家AI公司的晶片創辦人
[23:52] 那這些企業跟上一代不太一樣
[23:54] 他不像馬雲很小掰
[23:56] 他基本上也不太發表太多的談話
[23:59] 而且基本上不斷的呼應中國的政策
[24:01] 在地化自主化
[24:03] 整體財富當然比美國AI巨頭還要來得低
[24:06] 但這一代的AI富豪
[24:08] 他就相對比較低調
[24:09] 技術型導向
[24:11] 大部分都是清華或者中科院出來的
[24:13] 他們刻意減少曝光
[24:15] 一方面是避免被美國的制裁清單給鎖定的
[24:18] 另外一方面也避免在國內
[24:20] 引發對財富過度集中的敏感
[24:23] 所以很有趣的是
[24:25] 這些人很多以前都在回答
[24:26] 或者AMD工作
[24:28] 現在都回到中國唱樂
[24:29] 那這些有沒有可能形成
[24:32] 美國科技巨頭另外一大隱憂
[24:34] 就是我是幹不贏你
[24:36] 可是雙超理論
[24:37] 先抄襲你再超越你
[24:39] 超越你的關鍵
[24:40] 不來自於技術比你強
[24:42] 在於成本比你便宜太多
[24:44] 我們看美國股市四大指數表現
[24:46] 道瓊工業指數下跌821.1.66%
[24:50] 刷48804點
[24:52] 標普下跌71.104%
[24:54] 所以在6.837點
[24:56] 納指下跌258.1.13%
[24:59] 所以在22627點
[25:00] 肺瘢下跌46.0.57%
[25:03] 所以在8213點
[25:06] 當然從四大指數來看
[25:08] 應該就只剩下硬體股表現還相對強勁
[25:11] 軟體股和道瓊肺瘢都已經開始有陸續鬆動了
[25:15] 今年表現最差的很明顯還是比特幣
[25:18] 跌幅是22.3%
[25:20] 第二差的是美國成長股4.1%
[25:23] 第三叉的是QQQ跌幅有0.9
[25:26] 其他資產到目前還在正報酬
[25:28] 就看一下本輪的乖力回撥幅度會有多大
[25:31] 但是資產分配本來就是這樣子的
[25:34] 如果從指數來看其實還好
[25:35] 可是從個別
[25:36] 不管是比特幣單一輪起股
[25:39] 有時候大家心態快要撐不住
[25:41] 明明是牛市多頭
[25:42] 怎麼壓力越來越大
[25:44] 投資這種事情本來就不可能全都要
[25:47] 你想要速度你就得承受顛簸
[25:50] 你想要穩定你就得放棄爆發
[25:52] 市場沒有完美的物種
[25:54] 你只有在不同環境下的適應策略
[25:56] 我們以週期投資為例
