[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 幸福感都是多多益善
[02:34] 甚至比墨西哥
[02:35] 馬來西亞
[02:36] 越南
[02:37] 南韓和中國
[02:38] 整體我們看到在部分產品的差距
[02:40] 都在持續拉大當中
[02:42] 我們看到的黃色線
[02:43] AI相關的產品出口
[02:45] 大概已經是墨西哥的兩倍
[02:47] 墨西哥搞不好有一半都是臺商在出口的
[02:49] 這件事情也足以彰顯著
[02:51] 誰能夠在25年到26年
[02:53] 抓住整個AI行情就進一步的帶動
[02:56] 包括在25年
[02:57] 全球第三季的經濟成長率
[02:59] 臺灣是高達7.64%
[03:01] 這已經是在去年高基期的情況底下
[03:04] 有顯著的增長
[03:05] 中國4.8
[03:06] 新加坡2.9
[03:07] 韓國也不過1.2%
[03:09] 再加上今年上半年雖然有關稅戰
[03:12] 可是我們過去提過
[03:13] 美國現在的進口商品當中
[03:15] 有一半成功的避開了對等關稅
[03:18] 在主要貿易伙伴當中
[03:19] 臺灣被克到關稅的比例
[03:22] 就產品向來看的話
[03:23] 大概就23%
[03:26] 那大部分都是一些農產品或者傳產
[03:28] 那是所有大型貿易伙伴當中最低的
[03:31] 因為臺灣基本上出口
[03:32] 現在已經幾乎靠AI了
[03:34] 日本26%
[03:35] 南韓28%
[03:36] 這也造成亞洲真實的體量衝擊沒這麼大
[03:40] 但是呢
[03:41] 在個體的衝擊傳產
[03:43] 你也不要講說南韓日本過多
[03:45] 它就比臺灣稍微好一點
[03:47] 因為關稅稅率比臺灣低了5%
[03:49] 那看起來按照目前的談判效果
[03:51] 應該要到2026年臺美談判才能有一個終局
[03:55] 但總體而言
[03:57] 我們刻到的比例來看並不是最高的
[03:59] 從日股在昨天的創下歷史新高
[04:02] 也足以彰顯著
[04:04] 日本在本輪AI帶動潮底下
[04:06] 加上新一輪的供應鏈
[04:08] 美日之間的聯合
[04:09] 有進一步的顯著帶動
[04:11] 各國股市的市值排行榜
[04:13] 今年臺灣也是有幸終於進入到前十名的排行榜當中
[04:17] 如果以各國上市企業的總市值排行
[04:20] 美國當然還是全球第一
[04:22] 有67兆
[04:23] 再來是中國
[04:24] 日本
[04:24] 印度
[04:25] 英國
[04:26] 加拿大和法國並列
[04:27] 德國
[04:28] 這些國家共同構成了
[04:30] 全球資本市場的核心
[04:31] 其中臺灣人口只有2300萬
[04:34] 經濟規模也比美國
[04:37] 中國
[04:37] 印度小非常多
[04:38] 但是以人口不到0.3%的佔比
[04:41] 貢獻了接近有2%左右的全球市值
[04:44] 現在已經排行全球第九名
[04:46] 比如我們看到的韓國
[04:48] 澳洲
[04:48] 其他非主流國家
[04:50] 都還來得高
[04:50] 所以臺灣的總GDP
[04:52] 大概也不過是
[04:53] 全球排名第22名
[04:55] 可是臺灣的股票市值
[04:57] 佔全球居然是第9名
[04:59] 那當然是臺積電
[05:00] 市值體量的快速膨脹
[05:01] 所以我們回過頭來說
[05:03] 這幾年
[05:04] 到底整個臺積電的市值膨脹
[05:06] 又來自於哪裡呢
[05:07] 很多人說
[05:07] 那是因為外資看好AI一直買
[05:09] 其實並不是的
[05:10] 我們回過頭看
[05:11] 今年其實外資
[05:13] 針對臺股加權指數的賣超
[05:15] 仍然高達5990億
[05:18] 這還是蠻重的賣壓
[05:20] 跟去年相差無幾
[05:21] 那今年呢
[05:22] 投信買了1087億
[05:23] 那你說
[05:24] 那投信
[05:25] 我們的ETF買盤
[05:26] 也不過買1000億
[05:27] 外資賣了快要6000億
[05:28] 為什麼臺股今年
[05:30] 還是可以從最低點
[05:31] 接近18000點
[05:33] 漲到28000點
[05:34] 漲了整整1萬點呢
[05:35] 一個直觀的
[05:37] 那就是傳統散戶
[05:38] 非ETF以外的力量
[05:40] 以及受險業的資金補助
[05:42] 當然有另外一方面
[05:44] 市場上的空頭情緒比較薄弱
[05:46] 因為人家講嘛
[05:48] 臺美關稅談判沒有出來之前
[05:49] 國安基金不會退場嗎
[05:51] 國安基金28000了還在場
[05:53] 所以這個也可能是一個
[05:55] 空軍不願意對賭的主因
[05:57] 那今年我們必須承認
[05:59] 就是外資賣了這麼多
[06:00] 還是有非常顯著的買盤支撐
[06:03] 足以彰顯著臺灣在短期內
[06:05] 這段時間所獲得的出口訂單
[06:07] 轉化成實質的超額儲蓄
[06:10] 並且把這筆錢
[06:12] 拿來投入到股市的買盤
[06:13] 而且這不是單年度的現象
[06:15] 我們細看
[06:16] 2020年外資就賣了5397億
[06:18] 21年賣了4541億
[06:21] 2022年直接賣了1.2兆
[06:23] 2023年小幅回補2700億
[06:25] 2024年又賣了6951億
[06:27] 過去6年賣了5年
[06:30] 而且23年其實也買的不多
[06:31] 我們看到明顯增長的
[06:33] 就是投信的買超
[06:34] 受險的買超
[06:35] 和實體散戶的買超
[06:37] 所以如果你天天跟著外資做
[06:39] 那第一年豪言壯志
[06:41] 第二年自言自語
[06:45] 第三年風言風語
[06:46] 第四年就默默無語了
[06:48] 因為你沒法跟著外資一系列的操作
[06:51] 那反而在臺股過去2020年以來的
[06:54] 8000點到現在28000點的
[06:56] 2萬漲幅的過程當中
[06:58] 反而跟著外資做
[06:59] 可能會形成極大的風險
[07:01] 這個就是臺灣真正基本盤的買盤力道
[07:04] 那這兩天當然市場的賣壓
[07:07] 有些人說是做權重的調整
[07:09] 一方面是可能我們看臺海的軍演
[07:13] 對於臺股適度的承壓
[07:14] 不過外資也學乖了
[07:16] 當時曾經在裴若曦時期
[07:18] 外資有一陣子在10月份到12月份
[07:20] 給予臺股相當大的賣壓
[07:22] 遠遠大於日本和韓國股市
[07:24] 當時針對亞洲市場的賣壓
[07:26] 結果就錯過了一段顯著的漲幅
[07:29] 所以這一次中國對於臺灣加大軍演力到以後
[07:32] 川普雖然嘗試著淡化封鎖的演練餘力
[07:35] 我們從最新polymarket賭盤來看的話
[07:38] 其實發生機率也沒有到很高
[07:40] 至少從錢投出來的角度而言
[07:43] 外資其實動作並不是特別的大
[07:45] 根據Polymark目前針對26年中國侵臺的可能性
[07:49] 大概還是13%並沒有太大變動
[07:52] 也就是差不多是7.7倍的賠率
[07:55] 當然你要做風險對沖
[07:57] 那這就是很好的方式
[07:58] 賠一年搞不好你翻7倍你要這樣賭的話也OK可是足以彰顯知道整個臺灣台股的基本面第一由內資掌握第二由實體的AI來做貢獻其他外在因素
[08:11] 其實沒有想象中來得大
[08:12] 當然這並不代表
[08:14] 臺美關稅談判並不重要
[08:15] 事實上在最近
[08:17] 經貿談判辦公室
[08:18] 才發表了最新說明
[08:19] 來表示臺美的談判
[08:21] 已經接近完成之際
[08:22] 臺美會爭取進一步的關稅挑戰
[08:25] 出現高度共識
[08:26] 而且在會臺
[08:27] 整體待遇方面也取得重大進展
[08:30] 目前正等待美方安排最後一支會議
[08:33] 那經貿談判辦公室
[08:34] 這一次似乎也透露著
[08:35] 能做都已經做了
[08:37] 那我們早就該簽了
[08:38] 那問題是美方不願意安排最後一次的會議
[08:41] 這是美方的問題
[08:42] 看起來就是要拖到2026年了
[08:44] 那希望不要拖到過年了
[08:46] 要不然沒有一個譜的話
[08:48] 那對於很多傳產的壓力始終來得大
[08:50] 那事實上呢
[08:51] 這也意味著
[08:52] 現在的關稅談判
[08:53] 按照日韓的表現
[08:55] 回過來看臺灣
[08:56] 應該就是投資的問題而已
[08:58] 而與此同時
[08:59] 大家最為關注的汽車關稅的調降
[09:01] 很有可能不會發生
[09:02] 我們看前陣子
[09:04] 臺灣賓士新上任的總裁賴恩凱
[09:06] 其實也宣示
[09:07] 臺灣的賓士車價不會調降
[09:09] 即便臺灣對於美國的車關稅出來下滑了
[09:13] 賓士也僅僅會調整部分策略
[09:15] 並不會大部分美國生產的車款都進行調降
[09:19] 在這樣的一個下滑底下
[09:20] 也幾乎足以說明到
[09:21] 整個關稅戰對於今年來看
[09:23] 的確有一場空的感覺
[09:25] 不過美國的關稅沒有出來
[09:27] 墨西哥當時針對全球所課證的關稅
[09:29] 已經開始進行調整了
[09:31] 墨西哥已經針對臺灣進行關稅的鬆綁
[09:34] 82項貨品當中有27項免於加徵關稅
[09:38] 包括汽車零元件
[09:39] 塑像膠製品和鋼材
[09:41] 那這是一件好事
[09:42] 就說明著在同盟的角度而言
[09:44] 美國要把墨西哥拉到整個北美供應鏈
[09:47] 那墨西哥對外所課證的關稅
[09:49] 看起來還是圍繞著中國市場
[09:51] 那現在呢
[09:52] 臺灣已經成為墨西哥
[09:54] 非常重要的貿易伙伴
[09:55] 美國現在是臺灣最大的外銷物件
[09:58] 但是從相對征服來看
[10:00] 墨西哥成為了臺灣出口市場
[10:02] 最快的地區
[10:03] 今年成長了163%
[10:06] 比美國的144%還要來得快
[10:08] 根本原因就是要嘮叨進美國
[10:10] 很多伺服器廠是在墨西哥
[10:12] 進行最終組裝進美國
[10:14] 所以像臺灣出口到美國
[10:16] 一個就是整機從臺灣組裝就進美國了
[10:19] 另外一個從墨西哥進去
[10:20] 但不管如何
[10:21] 它都是分散風險的一環
[10:23] 不過在這個過程當中
[10:25] 我們也看到了
[10:26] 整個2026年的新走向
[10:28] 那就是川普已經成為了
[10:30] 吸引海外投資的代言人
[10:32] 在整個2024年到2025年
[10:35] 美國對於FDI海外投資的部分
[10:38] 去年就已經高達2270億
[10:40] 今年應該是有機會
[10:42] 直接挑戰一兆
[10:44] 取決於怎麼做統計
[10:46] 如果你要實體落地的
[10:47] 可能數字會延後幾年呈現
[10:49] 不過以今年的投資承諾
[10:51] 早就已經超過一兆了
[10:53] 我們看今年不止臺灣企業
[10:55] 川普在各大州都極力的進行招商
[10:58] 像軟銀的孫正義
[10:59] OpenAI的奧特曼
[11:01] 蘋果承諾要投資5000億
[11:03] 現代投資210億
[11:05] 創造10萬個工作機會
[11:06] 臺積電擴廠1650億
[11:08] 理來投資270億
[11:10] 豐田投資130億
[11:12] 而且都是集中在德州
[11:13] Arizona
[11:14] Ohio等26年的中期選舉的關鍵搖擺州
[11:17] 要不然就是共和黨的重要票倉
[11:20] 在這樣的一個情況底下
[11:21] 等同於臺商迎來了過去20年以來最大的轉捩點
[11:25] 我們知道從18年美洲貿易戰開打以後
[11:28] 臺商的整個選股邏輯以及折廠邏輯就產生了重大改變
[11:33] 從疫情以後你會發現偽創宣佈退出蘋果供應鏈之後
[11:38] 外界就已經觀察到整個中國的廠商在疫情以後
[11:41] 已經正式取代臺商成為平概股的主要供應者
[11:45] 在這樣效果底下
[11:46] 電子五哥也陸續淡出了
[11:48] 比如說19年當時是廣達先退出Apple Watch的供應鏈
[11:52] 後續就被鴻海和力訊給分食了
[11:55] 20年最標準就可成賣出他的iPhone供應鏈
[11:58] 偽創也退出iPhone供應鏈
[12:00] 到21年音樂達退出AirPods供應鏈
[12:03] 凱盛也退出基殼的供應鏈
[12:05] 22年仁寶退出Apple Watch App iPad
[12:08] 合作的部分在23年到25年也陸續退出iPhone供應鏈
[12:12] 所以在這樣的一個效果
[12:14] 幾乎就彰顯著整個平概股對於臺灣市場的影響是越來越薄弱
[12:18] 對於中國的投資也在緩步的下滑
[12:20] 我們如果細看
[12:22] 臺灣歷年針對中國投資的整體佔比
[12:24] 在2010年對外投資是83%
[12:29] 所以2010年那個時候都還算是西進潮
[12:31] 可是現在11%
[12:33] 我們預估今年應該會掉到各位數字
[12:36] 基本上有90%的對外投資擴敞
[12:38] 全部都集中在墨西哥和美國
[12:41] 這其實也就意味著
[12:42] 我們過去在18年到24年
[12:45] 我們做比較多的
[12:47] 屬於是新南向供應鏈
[12:49] 就是先把中國的廠區
[12:51] 移到東南亞再說
[12:52] 因為當時是拜登政府
[12:53] 和川普政府
[12:54] 都是允許
[12:56] 藉由適度的分散風險
[12:57] 不要過度依賴中國
[12:58] 所以我們看在過去兩年
[13:01] 我們在東協的出口
[13:03] 已經正式超過了中國
[13:04] 因為你必須從越南
[13:06] 再重新運回美國
[13:08] 而並不是由中國
[13:09] 可是這幾年又改變了
[13:11] 從25年開始
[13:12] 原本的東南亞供應鏈
[13:13] 開始大幅的迴流到美國本土
[13:16] 臺灣對於美國的投資金額
[13:17] 七年已經暴增了接近有七倍
[13:20] 美國現在很明顯
[13:21] 在川普政策影響底下
[13:23] 就是要建立一整條
[13:24] 屬於美洲的半導體供應鏈
[13:26] 從上游端的IC設計供應鏈
[13:28] 一直到美國本土掌握
[13:30] 從輝達 印柴 中油
[13:32] 德州 亞利桑那 晶圓製造
[13:34] 到下游組裝封設
[13:36] 可以適度的移轉到墨西哥
[13:37] 利用當地比較低的生產成本
[13:40] 用這樣的一個組裝
[13:41] 完成整套美國的國防安全供應鏈
[13:43] 那揮別蘋果以後
[13:46] 臺商真的迎來了揮達紅利嗎
[13:48] 看起來是如此的
[13:49] 我們看臺美這幾年的資產的比較
[13:52] 以及資金的投入
[13:53] 臺灣對於美國
[13:55] 從23年就開始飆升了
[13:56] 到24年
[13:57] 當時是臺積電的建廠計劃
[13:59] 進來到140億
[14:00] 25年今年應該在下半年就已經創高了
[14:03] 指標大廠
[14:04] 環球金
[14:05] 臺達電
[14:05] 鴻海
[14:06] 英業達
[14:07] 偽創
[14:07] 其實都已經過去了
[14:08] 這些事情其實也就意味著
[14:10] 雖然美國對於臺灣的投資金額
[14:12] 這幾年是不高了
[14:13] 臺灣對美國的投資遠遠大於美國對臺灣的投資
[14:17] 可是它是一種雙重保證
[14:19] 第一個保證是規避關稅都已經過去了
[14:22] 你還要克我多少關稅呢
[14:23] 第二種保證是等同於臺灣台商在過去20年當中
[14:28] 中國東南亞已經美洲都佈局了
[14:32] 等同於完全進行了分散供應鏈
[14:34] 除了歐洲廠稍微少一點以外
[14:36] 臺商基本上能夠去的都已經去了
[14:38] 我們舉例來說根據今年的新一輪的計劃
[14:41] 在整個25年宣佈擴廠的像環球金
[14:44] 剛才提到美國首座量產
[14:47] 一貫製成的12寸矽晶原廠
[14:49] 微影的部分
[14:50] 在阿爾帕說
[14:51] 在AI的師傅產線的供應鏈
[14:54] 已經正式供應了
[14:55] 偉創在達拉斯和沃斯堡
[14:57] 鴻海在休斯頓擴廠
[14:58] 臺達店也在達拉斯
[15:00] 家鄉光寶哥
[15:02] 音樂達人寶都開始陸續擴廠
[15:04] 那更重要的事情是
[15:05] 它不止帶動的是傳統師傅技廠
[15:07] 或者電子零元件
[15:08] 包括像玉山銀
[15:10] 中信銀
[15:11] 土銀
[15:11] 各大銀行都已經陸續過去了
[15:14] 甚至連八方雲集
[15:15] 都預估要投資4億美元
[15:17] 專門提供給臺灣的工程師吃鍋貼
[15:21] 而且他現在還有牛肉麵
[15:22] 所以在這樣效果底下
[15:24] 他新增一整條的臺商出走潮
[15:26] 這個出走潮
[15:27] 他也不止侷限於金融業
[15:29] 順應著科技業到美國來做部件
[15:32] 我們包括連房地產業者都是如此
[15:35] 25年今年房地產市場銷售不是很好嗎
[15:37] 大部分的玩銷
[15:38] 年增幅
[15:39] 大概都是年僅七成八成起跳的
[15:42] 大部分建案都並沒有完銷
[15:44] 可是我們從商桌的報道來看
[15:46] 臺灣建商這兩年開始瘋狂的到海外進行佈局
[15:50] 比如說亞新集團
[15:52] 現在選擇到吉隆坡馬六甲來做飯店案
[15:56] 大陸建設也過去了
[15:57] 菲律賓的部分是由松嶽建設
[15:59] 進行廠房和飯店的開發
[16:01] 到日本的部分
[16:02] 比較紅的就是維格
[16:04] 維格是在熊本直接買了兩塊土地做飯店專門服務給一些跨國的工程師加泰開發、三地開發也在熊本開始蓋房進行租宅的一個公寓案
[16:17] 美國的部分有大陸建設、達利建設、全坤建設
[16:20] 有的在西雅圖、有的在舊金山
[16:22] 所以這是臺商西進潮以來最大規模的出口潮
[16:27] 那這樣的一個效果基本就足以彰顯著
[16:30] 這是一個史上臺商的重大的轉捩點
[16:34] 這樣的一個轉捩點
[16:35] 其實有必要
[16:36] 就好像我們學習新加坡一樣
[16:37] 新加坡也是歡迎在
[16:39] 學生年輕的時候
[16:40] 就主動出國留學
[16:41] 也許終有一天
[16:42] 會有很多臺灣人回來
[16:44] 像張忠謀先生
[16:45] 回應帶了一整條供應鏈回來
[16:48] 帶了一定的人脈回來
[16:49] 也許帶了一個美國老公回來
[16:52] 帶了一個日本太太回來
[16:53] 都不一定
[16:54] 但這個就是臺灣
[16:55] 在整個2026年
[16:56] 所面臨的真實景象
[16:57] 那當然回過頭看另外一面
[16:59] 當然還是有點衝擊的
[17:01] 比如說臺灣整體
[17:02] 在傳產的出口佔比
[17:04] 的確就越來越低了
[17:05] 在2021年的時候
[17:07] 還佔比有48%
[17:09] 現在臺灣傳產的出口佔比
[17:11] 在關稅的壓力底下
[17:12] 只剩下28%
[17:13] 我們看六大受災的聚落
[17:15] 不管是龜山盧族的伺服器PCB廠
[17:18] 很多臺灣本土廠商
[17:20] 沒辦法進行產能移轉的
[17:22] 新莊樹林山叢
[17:23] 有很多金屬加工
[17:24] 大概4.5萬人
[17:25] 臺中的潭池大雅
[17:27] 有5.8萬人
[17:28] 彰化的鹿港金屬加工水五
[17:31] 僅1.2萬人
[17:32] 高雄鋼山臺南的歸人
[17:34] 羅斯寇建大概2.4萬人
[17:36] 的確在這一波都受到比較大的衝擊
[17:38] 那有兩波衝擊
[17:39] 第一波衝擊是關稅稅率比日韓來的高
[17:42] 那第二波衝擊是中國在10月份以後
[17:45] 關稅大幅下滑
[17:46] 直接影響到原本臺廠擁有的領先
[17:48] 所以傳產也在瘋狂的做轉型
[17:50] 臺泥股價表現是不好了
[17:52] 可是我們看這幾年
[17:54] 中國市場原本是佔臺泥最大的營收佔比
[17:57] 但這一段時間我們看隨著產能的替代
[18:00] 進行適度內部的改革
[18:02] 中國現在佔臺尼的營收
[18:04] 已經變最小了
[18:05] 取而代之的是哪裡呢
[18:06] 土耳其
[18:07] 歐洲和非洲
[18:09] 以及相對穩定的臺灣
[18:11] 所以這些事情
[18:11] 其實也就彰顯著
[18:12] 很多臺灣傳產
[18:14] 被迫要開始尋找非中國訂單
[18:17] 而且是非美國訂單
[18:18] 往歐洲往亞洲
[18:20] 往非洲的情況持續的擴增
[18:22] 這個就是我們看到
[18:23] 整個真實的景象
[18:25] 那當然了
[18:25] 這個大概就是整個臺灣科技
[18:27] 和傳產分歧的概況
[18:29] 我們到時候在聽友會當中
[18:30] 再仔細跟投資朋友分享說
[18:32] 它會影響到
[18:33] 整個2026年的景氣輪廓
[18:35] 這個輪廓大概的重點就是
[18:37] 影響指數的
[18:39] 很明顯就少數企業
[18:41] 或者多數企業
[18:42] 都不會影響到指數了
[18:43] 只有少數幾支企業
[18:45] 和AI資本支出
[18:46] 以及看最上游的CSP業者
[18:48] 才會影響到真實的景氣狀態
[18:50] 所以還是歡迎大家
[18:51] 有興趣的話
[18:52] 可以參加我們下禮拜六
[18:53] 1月10號的聽友會
[18:54] 或者來我們的會員系統
[18:56] 裡頭出了未來一整年的
[18:58] 聽有會的收聽權
[18:59] 也會有我個人資產部位周知的變化
[19:02] 給大家做一些參考
[19:03] 你看年底都最後一天了
[19:04] 其實交易量還是很縮的
[19:06] 大家還有心思
[19:07] 現在還有一萬多人
[19:09] 繼續聽我們財經節目
[19:11] 雖然人是變少了一點
[19:12] 但也不算少
[19:13] 你想想看
[19:14] 每天會準時收聽財經節目的
[19:17] 通常是精英人士
[19:19] 我們這一萬多人
[19:21] 這個時間點一起齊聚線上上
[19:24] 全臺最優秀的人都在這個聊天室
[19:26] 看這個人數
[19:29] 我們暫時可能
[19:31] 大巨蛋的演唱會計劃要延後了
[19:34] 但是小巨蛋應該還是有機會的
[19:35] 所以要繼續往下撥
[19:37] 但人生就是這樣子
[19:39] 我們看有高潮有低潮
[19:41] 市場的效益量說量增
[19:44] 可是我們回過頭來看
[19:45] 整個2025年對於臺商
[19:47] 的確還是很精彩
[19:48] 有人
[19:49] 陳生應該知道是誰吧
[19:51] 剛才講那個
[19:53] 開頭嘛
[19:54] 陳生的那個演唱
[19:55] 以前都會有跨年演唱會
[19:57] 讓我輕輕地吻著你的臉
[20:02] 大家有聽過嗎
[20:04] 當年我就是靠這首成名曲
[20:07] 在吉他社開啟學弟的心房
[20:11] 開玩笑是學長的
[20:15] 大家知道在新竹
[20:16] 你不管是青椒
[20:17] 男生是真的多
[20:19] 我記得一個是8比2
[20:20] 一個是9比1
[20:21] 男女比
[20:22] 那我比較慶幸
[20:23] 因為我是屬於8比2
[20:25] 當年會去吉他社
[20:28] 也是想象
[20:29] 看能不能遇到
[20:30] 十分之一十分之二的人口
[20:32] 結果進去以後發現
[20:34] 是99比1
[20:35] 而且那1還死會了
[20:38] 吉他社就是
[20:39] 一群男生推共推練琴
[20:42] 我們學校男生最多的
[20:45] 兩個社團
[20:46] 一個就是吉他社
[20:48] 另外一個就羅道社
[20:49] 可能是有報復心態
[20:51] 很多學長
[20:52] 都會想要騙更多學弟進來
[20:54] 他說裡面有很多
[20:55] 學姐學妹可以認識
[20:57] 結果一進來
[20:58] 發現全部都男的
[20:59] 所以學校最多男生
[21:01] 一個就吉他社
[21:02] 另外一個就柔道社
[21:03] 柔道社的學長
[21:05] 還常常拍我的肩
[21:06] 挺好
[21:07] 要不要來參加柔道社
[21:09] 來柔道社
[21:11] 學長幫你柔道社
[21:13] 不用了學長
[21:14] 謝謝學長
[21:14] 好我們繼續往下看
[21:17] 給同事朋友做一些思考
[21:19] 這是屬於產業的問題
[21:20] 但往下看
[21:21] 這就迎來了整個2026年
[21:23] 臺灣在政府的心智底下
[21:25] 不管是工資水準的提高
[21:27] 還是我們看到所得的再分配
[21:29] 我們剛才有跟投資朋友提到
[21:31] 因為現在臺灣人均GDP
[21:33] 是以非常驚人的速度上行
[21:34] 開始跟日韓拉開距離
[21:36] 前兩年就是稍微領先
[21:38] 這兩年看起來要逐步拉開了
[21:40] 那我們過去也提過
[21:41] 臺灣人均GDP
[21:42] 雖然首次即將要破4萬美元
[21:45] 在明年
[21:45] 不過呢
[21:46] 如果從平均薪資來看
[21:48] 現在其實70%的員工
[21:50] 還拿不到這個平均數
[21:51] 也就是說收入前10%的人
[21:53] 他的確拿走了
[21:54] 接近有一半的總收入
[21:56] 那臺灣的收入不均衡程度
[21:58] 也開始有顯著的拉大
[21:59] 包括現在無薪假的人數
[22:01] 還在走高
[22:02] 收入不均的程度
[22:04] 也排名全球第12名
[22:05] 那這樣的一個情況底下
[22:07] 它就會迎來第一個效果
[22:08] 我們的人均GDP
[22:09] 是的確跟日韓
[22:10] 開始拉開距離了
[22:11] 可是按照瑞銀最新的資料
[22:13] 從吉尼係數來看
[22:14] 臺灣的吉尼係數
[22:15] 大概在0.6
[22:16] 它是比美國新加坡香港低
[22:19] 不過已經開始超越日本和南韓了
[22:21] 所以我們的貧富差距
[22:23] 看起來是已經隨著人均GDP開始擴大了
[22:26] 這也就說明了
[22:26] 政府是有必要介入的
[22:28] 臺灣最低工資的部分已經連續10年調升
[22:31] 每個月從最低工資2萬塊
[22:33] 一路調升到現在2萬9500塊
[22:35] 調幅是47%
[22:37] 所以接下來的最低工資審議委員會
[22:40] 形成默契
[22:41] 未來幾年應該會以非常驚人的速度調升
[22:44] 其中一個目的就是因為
[22:45] 就算目前臺灣的基本時薪
[22:48] 已經調到快要200塊了
[22:49] 日本是216
[22:51] 南韓是238
[22:52] 那我們的人均GDP都已經比人家高了
[22:54] 照理來講
[22:55] 基本工資是不能夠比別人低的
[22:57] 所以第一個是最低工資
[22:59] 我們預估在未來幾年
[23:00] 必須全力開火
[23:01] 為什麼要開火呢
[23:02] 因為你用這種工資
[23:03] 基本上現在也招不太到人
[23:04] 那第二個呢
[23:05] 是我們看到最近
[23:06] 朝野都在推行的
[23:08] 川普賬戶的這種長期投資概念
[23:11] 你像國民黨和民眾黨
[23:13] 最近所推出的TFI
[23:15] 臺灣未來賬戶
[23:16] 它是由政府替12歲以下的孩童
[23:18] 一次性除入5萬臺幣
[23:21] 以年化5%來計算
[23:23] 預估18歲的時候可以累計到12萬
[23:25] 那民進黨的部分
[23:26] 是推出登大郎ETF方案
[23:29] 它是讓政府和家長
[23:31] 在孩童1到10歲期間
[23:33] 每個月各投入1200塊
[23:34] 那麼如果用年化報酬率
[23:36] 更高一點10%來預估
[23:38] 18歲時可能就可以拿到100萬
[23:40] 那這個時候你要買房
[23:41] 或者有更重要的支出
[23:42] 留學等等
[23:43] 就有比較好的回饋
[23:45] 那朝野的方案啊
[23:46] 差異就在於一次性的起跑金
[23:49] 還是要持續的定期投入啊
[23:51] 但不管怎麼說
[23:52] 大家都開始為下一代來著想了
[23:54] 另外一方面啊
[23:55] 一個呢就是提高你的薪資
[23:57] 另外一個呢就是減少你的工時
[23:59] 我們知道臺灣的勞權問題啊
[24:01] 大家都很關注
[24:02] 臺灣在全球的總工時排行榜啊
[24:04] 在全球是排名第五名
[24:05] 亞洲第二僅次於新加坡
[24:07] 在22年每年的工時是2005個小時
[24:10] 已經連續三年增加24年高達2030個小時這真的蠻多的那當然臺灣是因為全職人數比較多相對於日韓比較多派遣工工時會稍微長一點
[24:22] 可是從2021年以來
[24:23] 你發現總工時沒有降過
[24:25] 那一方面就是說加班加很多
[24:26] 但是另外一方面
[24:27] 大概也感覺得出來
[24:29] 這個勞資的環境
[24:30] 有需要再進行改善
[24:32] 那再來是屬於缺工的問題
[24:34] 缺工的問題
[24:36] 我們過去已經稍微跟投資朋友提過
[24:38] 明年政府就會進行旅宿和碼頭業的
[24:41] 開放外國技術能力
[24:43] 這個技術能力
