[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 来跟投资朋友做一些观察了
[05:04] 可是就产生了这种外溢效果
[05:07] 市场开始臆测到
[05:08] 现在人工智慧的建设规模实在太大
[05:11] 不可能只有一家企业独吞所有的需求
[05:13] 那超微现在最大优势就是
[05:15] 它同时拥有中央处理器和图形处理器的双重布局
[05:19] 尤其AI转向推论
[05:22] 以及代理性应用以后
[05:23] 中央处理器的重要性也开始提升
[05:25] 这也是Intel在最近
[05:26] 受到资金带动的原因
[05:28] 那再来是美超为
[05:29] 美超为就是做伺服器的
[05:31] 虽然都是超为
[05:32] 名字都要超为
[05:33] 但他做伺服器是台厂
[05:34] 公司不只是第三季获利优于预期
[05:37] 第四季财策
[05:38] 更是直接超估华尔街的原本股算
[05:41] 那我们要知道
[05:41] 因为过去他一直有财报上的疑虑
[05:43] 结果现在盘后股价暴涨17%
[05:46] 这件事情就说明了
[05:48] 我们不单单是看
[05:49] 肋骨之间的资金轮动
[05:51] 而是本次的资本之初调升
[05:53] 让中下游的私服器端
[05:55] 又开始产生新一轮轮动
[05:57] 那台厂有没有机会呢
[05:59] 因为台厂我们过去也知道
[06:00] 老AI真的是
[06:01] 股价软的不能再软的
[06:03] 后来都是涨记忆体
[06:05] 后来又涨回到全资股
[06:06] 那有没有可能产生
[06:08] 新一轮的资金流窜呢
[06:09] 这是有机会的
[06:10] 至少我们回过头看
[06:12] 整个标普500指数
[06:13] 今年以来涨幅的前十名
[06:16] 基本上全部都是半导体公司
[06:18] 第一名Sandisk
[06:19] 涨幅是482%
[06:21] 做记忆卡的
[06:22] Intel老牌晶片大厂
[06:24] 涨了190%
[06:25] 西捷涨了174%
[06:28] 是全球硬碟大厂
[06:29] 其他像是威腾
[06:31] 涨164%
[06:32] 它是做硬碟做SSD的
[06:34] 训远通讯
[06:35] 涨幅127%
[06:37] 做高速光通讯设备
[06:39] 美光涨119%
[06:41] 其他像是Comfort System
[06:42] 涨了110%
[06:43] 它是专门做资料中心的
[06:46] 空调的帮AI伺服器吹冷气的
[06:48] 其他像是吉纳瑞克
[06:51] 或者安生半导体
[06:52] 或者像康宁
[06:53] 整体涨幅80%到90%
[06:55] 这些完全都跟AI资料中心
[06:58] 高度的结合
[06:59] 好那现在第一个疑虑就是
[07:01] 肺瓣这种90度的上弯
[07:03] 会不会有点离谱
[07:04] 会不会有点情绪的过度推升
[07:06] 从右侧逻辑来看
[07:08] 那的确管理拉得很高
[07:09] 压力很大
[07:10] 这随时回挡都很正常
[07:12] 回撤到际线
[07:13] 它跌幅都要蛮重的
[07:14] 可是从左侧逻辑
[07:16] 我们过去提过
[07:17] 那也可能现在
[07:18] 左侧和右侧逻辑投资者
[07:20] 同时在买进
[07:21] 那左侧怎么会买呢
[07:22] 我们如果细看
[07:23] 一直到目前为止
[07:24] 整体半导体的前瞻本益比
[07:27] 仍然不高
[07:28] 大概是在21倍左右
[07:30] 这比过去均值
[07:31] 甚至连标普白指数
[07:33] 现在是接近22倍
[07:34] 都还来得低
[07:34] 我们要知道
[07:35] 当时在2024年
[07:37] 整体废半的本益比
[07:39] 前瞻本益比
[07:40] 曾经冲高到35倍左右
[07:42] 那你说
[07:43] 现在股价创高
[07:44] 就它本益比越来越低了
[07:45] 因为EPS上修幅度实在是太快了
[07:49] 原本预估今年年成长大概60%左右现在已经提升到80%到90%而且预估27年还有40%到50%的成长说明市场正在用未来的获利来合理化现在的涨幅
[08:02] 这很难想象
[08:03] 费办涨成这样
[08:04] 费办现在的前瞻本意
[08:06] 比标普还低
[08:07] 那是不是费办
[08:09] 就相对于标普更有吸引力了
[08:10] 这就是我们看到
[08:11] 这个获利轮动的关键
[08:13] 标普毕竟他还是AI巨头
[08:16] AI巨头的获利速度
[08:17] 他没法像费办这么快
[08:19] 因为费办现在卖产值
[08:20] 你只要资本指数再调高
[08:21] 我赚的速度又更快一点
[08:23] 可是对于这些巨头而言
[08:24] 他钱还没收回来
[08:26] 他的现金流的增速
[08:28] 就只能这么快
[08:28] 所以这就变成
[08:29] 左侧和右侧投资的思维
[08:32] 可能同时正在套用当前的股价
[08:34] 右侧的觉得现在是顺势
[08:36] 左侧的认为现在还是低级期
[08:38] 只不过我们看的指标不同
[08:40] 的确AI的投资
[08:41] 目前还是有先后顺序的投资时衡
[08:44] 我们仔细来看
[08:45] 像亚马逊
[08:46] 微软
[08:46] Meta
[08:47] Alphabet
[08:48] 甲骨文
[08:49] 这些云端巨头来看
[08:50] 它不只是资本支出的金额偏大
[08:53] 成长幅度也非常夸张
[08:54] 但供应链的节奏就不太一样
[08:56] 你看台积电
[08:57] 再看三星
[08:58] 再看SK海力士
[08:59] 美光
[09:00] 甚至像是设备商
[09:01] 艾斯摩尔
[09:02] 硬财
[09:02] 虽然也在增加投资
[09:03] 但是无论是金额
[09:05] 还是成长幅度都远远落后
[09:07] 这就代表的
[09:08] 现在需求端是疯狂爆发
[09:10] 那供给端在资本支出是缓步扩张
[09:13] 那这种落差
[09:14] 当然就是产业扩张机制不同
[09:16] 云端公司
[09:17] 它可以透过资本支出
[09:18] 可以透过资本市场
[09:20] 来迅速的去融资
[09:21] 来立即扩张
[09:22] 但是半导体和设备产业
[09:24] 它受限于制成的技术
[09:26] 那光是扩产
[09:27] 它一件一个厂
[09:28] 也要盖个两三年逃不掉
[09:29] 最终就变成人工智慧产业
[09:32] 目前所出现的结构性瓶颈
[09:34] 那就是上游端的算力需求
[09:36] 已经爆发了
[09:37] 下游端的硬体无法跟上
[09:39] 所以为什么记忆体涨价
[09:41] 为什么晶片报价涨价
[09:42] 这就是根本原因
[09:43] 我们跟不上
[09:44] 而且我们过去十几年的经验
[09:46] 扩产也不要扩太快
[09:48] 要不然以前的面板
[09:49] 以前的记忆体
[09:50] 产剧会重演
[09:51] 我就慢慢的扩散
[09:53] 反正你要买这些产值
[09:55] 就是跟我们买
[09:56] 只要我先确保
[09:57] 没有其他竞争者进来
[09:58] 那我就好好的赚的钱
[10:00] 我还不用冒特别多的风险
[10:01] 现在风险反而集中在上游
[10:03] 像是Meta的部分
[10:05] 在最近
[10:05] 本周正式公布SPV
[10:07] 特殊目的载体
[10:08] 为德州的AirPasso的新资料中心
[10:11] 来筹集超过130亿美元
[10:13] 那这种结构的特色
[10:15] 就是资金多半是来自于债务
[10:17] 不会反映在公司资产货在表身上
[10:19] 那Meta也不希望自己的财报表现太差
[10:21] 他现在的现金流压力已经很大了
[10:24] 其实去年他当时在路易斯安纳的资料中心
[10:28] 他就已经筹了接近有300亿美元
[10:29] 有270亿都是用举债的方式
[10:33] 那这一次呢
[10:34] 暗指是由摩根史坦利和摩根大通所出道
[10:37] 但他们本身不打算长期持有这些债
[10:39] 所以我们就要看
[10:40] 那市场上有多少人会承接这些债务呢
[10:43] 为什么这样讲
[10:44] 因为我们如果看Meta五年期的CDS价格
[10:48] 哇那最近涨幅也有一点快
[10:50] 有一点追上甲骨文的后路
[10:52] 那是不是就说明着信用违约交换的利差持续的创高
[10:56] 就代表的哇他现在现金流这么紧绷
[10:59] 他的信用风险是不是也会因此而上升呢
[11:02] 这个市场上我们关注到的重点
[11:04] 所以现在市场上我们要了解的方向
[11:07] 一个是费办正在带头冲
[11:09] 那费办带头冲
[11:10] 但是资金回流纳指或者标普的幅度
[11:13] 相对比较小的原因
[11:15] 是不是真的来自于
[11:16] 因为它的获利拉伸幅度过快
[11:18] 所以导致本益比的低估
[11:20] 那第二种就是情绪的恐慌推演
[11:22] 如果呢
[11:23] Fibon开始停涨了
[11:25] 资金开始回流到软体股
[11:27] 那软体股大型股会受惠
[11:29] 还是小型股呢
[11:30] 大型股受惠
[11:31] 它需要的资金量体很大
[11:32] 可是小型股的部分
[11:34] 我们看IGV
[11:35] 软体型ETF
[11:36] 它还在打W底呢
[11:38] 从今年1月份
[11:39] 当时的软体股下杀以后
[11:41] 基本上卖压就相当沉重
[11:43] 那软体股或者比特币
[11:45] 这种相对落后的资产
[11:46] 是否会有开始轮动的空间
[11:48] 从主线的集中往补涨来扩散
[11:51] 这个就可以期待
[11:52] 为什么
[11:52] 因为这些软体股EPS有转坏吗
[11:54] 没有
[11:54] 大家只是担心在AI浪潮当中
[11:57] 会颠覆这些软体业
[11:58] 所以这样的一个角度
[11:59] 就有不同思维
[12:01] 就是如果废办下一个轮动的
[12:03] 还是废办里头的族群
[12:05] 还是废办会轮动到大型汽具头
[12:07] 还是不是大型汽具头而已
[12:09] 有可能轮动到中小型股
[12:10] 或者沉积已久的比特币
[12:13] 比特币现在反复挑战8万美元的关卡
[12:15] 为能做非常有效的突破
[12:17] 但是也说明着
[12:18] 这一波走势也并不是想象中还要来的拥挤了
[12:21] 在这样的一个情况底下
[12:23] 市场上可能就选择了第三条路
[12:25] 就是我们现在在美股里头打转
[12:27] 到底是配办好
[12:29] 到底是记忆体好
[12:30] 还是晶片好
[12:31] 还是回去买回答
[12:32] 还是回去纳指买七句头
[12:34] 那七句头如果未来AI营收回不来怎么办
[12:36] 我买一些低基期的
[12:38] 还是买小型股
[12:38] IGV
[12:39] 可是买软体股
[12:41] 这些优良的软体股
[12:43] 未来会不会被AI给取代呢
[12:44] 走出了第三条路
[12:46] 那我们买本益比比较低
[12:48] 可是他也是做废办
[12:49] 也是做硬体的亚洲股市好了
[12:51] 这就看到亚洲股市到目前为止
[12:54] 受到非常显著的资金回补
[12:56] 这一次亚洲股市
[12:57] 几乎台日韩全面反弹创下新高
[13:00] MSCI亚太指数单日一度大涨2%
[13:03] 韩国股市和台股
[13:05] 是作为主要的领涨对象
[13:07] 其实今年大部分新市场表现都不错了
[13:09] 市场表现最亮丽的
[13:10] 从整个25年到26年
[13:12] 过去一整年
[13:13] 一年半的暴潮
[13:15] 最亮劲当然就韩国股市
[13:16] 涨幅225%
[13:18] 秘鲁股市涨了103%
[13:20] 波兰股市涨了93%
[13:22] 南韩总统李在明
[13:23] 还特别把首尔的房子给卖掉了
[13:25] 全数买进ETF
[13:26] 鼓励大家去炒股
[13:28] 不要再买房了
[13:29] 这个奥地利或者西班牙
[13:31] 希腊股市
[13:32] 巴西股市
[13:33] 台湾市场如果是以美元计价
[13:36] 这两年涨幅又有84%
[13:38] 所以在这样的一个效果底下
[13:39] 市场上就会针对亚洲半导体股市
[13:42] 进行新一轮的回补
[13:44] 想说这是走出的第三条路
[13:46] 台股在昨天夜盘
[13:48] 以41077点开高
[13:50] 最后直线拉升
[13:52] 现在大概在41200点左右
[13:55] 昨天台股虽然大盘表现没有说特别亮
[13:59] 可是贵买OTC上涨了2.3%
[14:02] 市场中小型的设备股LED
[14:05] 其实也相对轮动
[14:06] 其实在2026年的散户
[14:08] 有没有发现
[14:09] 现在涨400点算平盘吗
[14:12] 涨1000点算小涨
[14:14] 200点是大跌
[14:16] 跌400点就崩盘了
[14:18] 现在大概是这样子
[14:19] 报酬率今年15%算亏
[14:21] 报酬率40%小赚
[14:24] 报酬率追上主动型60%
[14:26] 才算是合理报酬
[14:27] 有这样的一个投资思维开始转变
[14:29] 加上我们也知道
[14:31] 这段时间
[14:32] 不管是美国还是台湾
[14:33] 这种政策选举
[14:35] 做多的这种情绪算蛮浓烈的
[14:37] 我们看行政院
[14:39] 在昨天正式拍板
[14:40] 连续受益人信托
[14:42] 课税原则
[14:43] 未来只要信托存续期间
[14:45] 不超过100年
[14:46] 且委托人和受益人
[14:48] 不具实质控制权
[14:49] 原则上只会在
[14:50] 信托成立时课一次税
[14:52] 某种程度等同于
[14:53] 百年家族信托正式松绑
[14:56] 欢迎全世界的百年家族
[14:58] 来台湾建立你的资产
[15:00] 那我们再回过头来看
[15:02] 过去主动型ETF挂牌速度越来越快
[15:04] 然后台积电条款的放松
[15:07] 雅兹管理的放松
[15:08] 一直到盘中领股交易
[15:10] 一直到一系列的改革开放
[15:12] 包括虚拟资产法案
[15:13] 一系列的做法都看得出来
[15:16] 台湾的金融政策
[15:17] 正在往全面资产流台的方向来做转变
[15:20] 这种政策的高强度做多
[15:23] 那你等同于在跟台湾政府作对
[15:25] 如果你是空方的话
[15:27] 我们也看到
[15:28] 亚洲股市随着AI题材的持续强劲
[15:30] 这波行情带动EPS进行全数的上修
[15:34] 我们过去提过
[15:35] 因为台湾已经成为新市场的领头羊了
[15:37] 台积电在NACI新市场指数的权重
[15:40] 已经出现明显断层
[15:42] 大概占了新市场15%左右
[15:44] 那第二名三星只占5%
[15:46] 所以它是第二名的接近有三倍左右
[15:49] 这就代表着未来的退休基金未来的主权基金它如果对于新兴市场有一丁点兴趣想要回补他第一个被迫要买进的就是台积电而台积电的股东人数已经提前知道了
[16:00] 就等你外资回补
[16:01] 台积电的股东人数最近已经冲上246万人
[16:05] 每10个台湾人就有一个人持有
[16:07] 股价创高和股东人数同步上升
[16:10] 过去总觉得股东人数创高
[16:12] 那股价就完了
[16:12] 这一波就一路的股东人数上升
[16:15] 股价也依旧在上升
[16:16] 所以外资的长线持股还是很高
[16:19] 那投信也透过ETF和做账
[16:22] 持续的影响盘式
[16:23] 但全民股现在已经不代表去机构化了
[16:26] 而是散户的资金
[16:28] 重新的被纳入到本轮的资金体系当中
[16:31] 现在我们按照预估
[16:33] 当时我们就讲过
[16:33] 台积电2330大概是台股4万点
[16:36] 我算了一下
[16:37] 假设其他股票都不涨
[16:38] 一点都不动
[16:40] 台积电3000台股大概就5万
[16:42] 一块大概是接近有8到9点的贡献
[16:46] 所以你一股我一股
[16:49] 台积直冲五千五
[16:50] 现在很多人的观念都变了
[16:52] 以前本来想说
[16:54] 跌两百块我就买台积电
[16:56] 后来想说跌一百块我就买
[16:58] 后来跌五十块我就买
[17:00] 最后变成有跌我就买
[17:02] 一直到最后有钱我就买
[17:04] 这个叫做什么
[17:05] 积不折实
[17:07] 就买台积电现在没有在折实的
[17:09] 形成一股台股内资的动力
[17:11] 事实上我们知道
[17:12] 台积电目前产能也正在
[17:14] 以非常惊人的速度扩张
[17:15] 关键的Coworks月产能
[17:17] 从2023年当时1.2万
[17:20] 预估到明年会是13万
[17:22] 增长超过10倍
[17:23] 主要也是为了缓解辉达
[17:25] AMD等大厂对于产能的急切需求
[17:27] 我们刚才提到
[17:28] 这些需求远远大于目前
[17:31] 全球半导机厂的扩产速度
[17:33] 尤其台积电除了锁定这次的嘉义和美国
[17:36] 作为量产的核心基地
[17:37] 也会把研发重心转向次世代的面板及封测
[17:42] 利用更大的方形基板来取代原型晶圆
[17:45] 让生产面积可以大增3.5倍以上
[17:48] 那等同于跟对手的距离再度的拉开
[17:51] 那最重要的是
[17:51] 最近已经形成那种台积电所形成的外溢效果
[17:55] 就是带动了庞大的本土的封装供应链
[17:58] 从面板及封装对于精密度的要求极高
[18:01] 相关的设备像日月光
[18:03] 智盛军豪
[18:04] 开始展开深度合作
[18:06] 也就是说我们看到台积电这一次不是
[18:08] 当然了从股价层面看起来是独大了
[18:11] 可是台积电最近采取了非常多的措施
[18:14] 派起了大量的工程师
[18:16] 到台湾各地
[18:17] 台湾各大中小型公司
[18:19] 中大型公司
[18:20] 来进行技术授权和帮忙
[18:22] 尝试的把台厂一起带去美国
[18:25] 做新一轮的技术研发
[18:26] 来因应本轮的AI拉动
[18:28] 我们举例来说
[18:29] 像南亚科
[18:30] 这次成功打入辉达的
[18:32] Rubin供应链
[18:33] 表面上好像接到订单了
[18:35] 但本质上
[18:36] 你说完全靠它
[18:37] 是有点难度的
[18:38] 因为台厂过去
[18:39] 都卡在消费性的D-RAM
[18:41] 技术要求
[18:42] 良率和风策能力
[18:43] 都差一截
[18:44] 跟韩国厂商
[18:45] 跟美国厂商比较起来
[18:46] 那这一次
[18:47] 经过台积电的协助
[18:49] 把技术做到能够进到AI系统
[18:52] 代表的是
[18:53] 台湾除了做逻辑晶片
[18:54] 现在开始要补记忆体
[18:56] 这块拼图了
[18:57] 台积电把南亚科一起带入
[19:00] 达到辉达供应链当中
[19:02] 所以这个时候
[19:02] 就是可以看得到
[19:03] 一系列的动作
[19:05] 台积电现在就像一家之主
[19:06] 带着旗下的供应链
[19:08] 开始往前冲
[19:09] 希望可以养成一整套台股供应链
[19:12] 那当然
[19:13] 台积电是一家之主
[19:14] 那辉达还是王
[19:14] 毕竟还是他下单的
[19:16] 所以我们最后还是要看
[19:17] 终端客户的营收
[19:18] 可是就是一步一步的
[19:20] 辉达如果照顾台积电
[19:21] 台积电就照顾旗下的供应链公司
[19:24] 一起带动
[19:25] 把这块饼给做大
[19:26] 所以我们讲说
[19:27] 台积电现在像一家之主
[19:29] 负责把事情做到最好
[19:30] 把产能良率顾好
[19:32] 那真正决定方向
[19:33] 当然是七巨头或者辉达
[19:35] 辉达还有自己的老板
[19:36] 就是七巨头
[19:37] 就像买车一样
[19:39] 就是你要了解说
[19:40] 背后一整套的供应链
[19:42] 人家讲说
[19:44] 如果男人看车
[19:46] 一个人看就自己决定
[19:48] 带老婆看车就老婆决定
[19:50] 所以现在就是
[19:51] 到底哪一家公司
[19:53] 可以达到这条供应链
[19:54] 你要看辉达的意愿
[19:55] 那辉达也要看
[19:57] 七大巨头客户的意愿
[19:58] 而台积电又要看辉达的意愿
[20:00] 那台积电旗下的供应链
[20:01] 又要看台积电的意愿
[20:02] 所以这就是
[20:03] 卖车的周期价
[20:05] 你想试驾的
[20:06] 和老婆想试驾的
[20:07] 就不太一样
[20:07] 先生是一家之主
[20:09] 太太是一家之王
[20:11] 那有没有更高的
[20:12] 有可能
[20:12] 所以你知道找对消费者就对了
[20:14] 那现在看起来
[20:15] 整套供应链已经开始
[20:17] 这种飞轮模式正式启动
[20:20] 那之前在网上不是看到
[20:22] 一个太太跟老公一起去按摩吗
[20:24] 那个按摩师
[20:25] 问老公要不要办卡
[20:26] 你长得好像年轻时的刘德华
[20:29] 太太一听
[20:30] 在旁边悠悠的说
[20:32] 你夸我老公是没有用的
[20:33] 他的钱都在我这里
[20:35] 那按摩师突然一脸震惊
[20:37] 我还以为他是你爸爸呢
[20:39] 懂做生意
[20:41] 所以你要了解说
[20:42] 幕后的大boss
[20:45] 幕后的老板是谁
[20:46] 一整条链都串起来以后
[20:48] 你发现他已经变成了一个
[20:50] 非常非常坚强
[20:52] 非常具有前瞻性
[20:54] 一整套的供应链
[20:56] 而台积电正在养成这套供应链
[20:58] 有这样的一个感觉
[20:59] 其实当然
[20:59] 我们这套供应链
[21:01] 可以从国家层级来做观察
[21:03] 也可以从全球层级来做观察
[21:05] 对于美国来说
[21:06] 它也形成了一整条的超长供应链
[21:08] 现在最关键的四个节点
[21:10] 就刚好被美国
[21:11] 被台湾
[21:12] 被韩国
[21:13] 被日本各自的卡位
[21:14] 从上游端来看
[21:15] 美国现在掌握晶片设计
[21:17] 和AI的生态系
[21:18] 负责定义AI怎么运作
[21:20] 中游是台湾
[21:21] 以台积电作为核心
[21:23] 负责把设计变成实体晶片
[21:25] 再来就是韩国
[21:26] 提供HBM
[21:27] 高频宽记忆体
[21:28] 来解决AI算力的瓶颈
[21:30] 最后是日本
[21:31] 日本是掌握材料和设备
[21:33] 提供整个制造
[21:34] 不可或缺的底层支撑
[21:36] 所以这四个国家
[21:37] 我们也不是想说谁比较强
[21:39] 只是大家都形成一整套
[21:40] 无法被替代的分工体系
[21:42] 那个老大很明显在美国
[21:45] 美国负责脑袋
[21:46] 台湾负责身体
[21:47] 韩国负责记忆
[21:48] 日本负责工具
[21:49] 这就是为什么
[21:50] 整个AI形成股市和国力的排名
[21:53] 一路到现在
[21:54] 我们看在今年一季度
[21:55] 整体上市柜公司的营收
[21:57] 已经高达13.9兆
[21:59] 年增2兆7千亿
[22:01] 成长幅度24.8%
[22:03] 已经连续9个季度
[22:04] 高强度成长了
[22:06] 你要想想看
[22:07] 而这种成长幅度
[22:08] 你的老板的大股东们
[22:10] 对于股市的拉抬
[22:12] 还有内部的消费
[22:13] 是否会有显著的提振效果
[22:15] 所以昨天我才看到
[22:16] 有个网友留言
[22:17] 说最近发现一个有趣的现象
[22:20] 他讲说去牛肉面吃饭
[22:23] 就牛筋没了
[22:26] 那以前大家都点海带豆干
[22:27] 现在牛筋没了
[22:28] 我觉得还好
[22:29] 我昨天去吃面线
[22:31] 老板说鹅仔没了
[22:32] 我说怎么没了
[22:33] 他说有人整锅买走
[22:35] 所以行情的这种
[22:37] 外溢效果财富效果
[22:38] 持续的外溢以后
[22:39] 它会如何影响到其他产业呢
[22:41] 至少半导体族群
[22:42] 蠢蠢欲动
[22:43] 往科技业往私服器厂
[22:45] 持续迈进以后
[22:46] 是否可以影响到内需呢
[22:48] 我们看最近INFO
[22:49] 陆续调升台湾人均GDP
[22:51] 去年年底是3.9万美元
[22:54] 今年大概会提前达标4万美元
[22:56] 搞不好现在已经超越了
[22:57] 我们把时间拉长来看
[22:59] 台湾在2021年的人均GDP
[23:01] 也才刚突破3万美元
[23:02] 到24年正式超越日本
[23:05] 到25年正式超越南韩和西班牙
[23:08] 那背后的关键其实就是高阶制造
[23:10] 所以今年我们看
[23:12] 真正的重点还不是阻挡经济的过了
[23:14] 今年重点是要如何进行油价补贴
[23:17] 提高免税额
[23:18] 各类型的民生减压政策
[23:20] 要不然这贫富差距越来越大
[23:21] 台湾现在不只是超越日韩了
[23:23] 也开始超越西班牙了
[23:25] 我们根据INF的统计
[23:26] 西班牙人均GDP是3.8万美元
[23:29] 台湾已经来到3.9万
[23:31] 今年现在应该已经突破4万了
[23:33] 那西班牙跟台湾都很像
[23:34] 都是二战之后从落后经济一路工业化
[23:38] 追上先进国家的成功案例
[23:39] 人均所得以前也差不多
[23:41] 那现在呢
[23:43] 台湾在疫情之后却是爆炸式的增长
[23:45] 今年Q1成长率已经来到13%了嘛所以啊这就可以观察到市场上概况这种资金的快速涌入效果在疫情之后的爆发又有多快台股这种上涨
[23:57] 会不会带来财富效果呢
[23:59] 这就我们看到
[24:00] 有些员工没有心情上班了
[24:02] 现在公司厕所里面都是人
[24:05] Q1的内需
[24:06] 其实也超预期的接受
[24:07] 我们观察这一次
[24:08] 在第一季的民间消费
[24:10] 实质贡献大概是2.2个百分点
[24:12] 那原本预估多少
[24:14] 原本预估只有1.2
[24:15] 等于多了接近一个百分点
[24:17] 这代表股市上涨所带来的财富效果
[24:20] 可能已经真实转化为真实的支出了
[24:23] 我们过去有提过的
[24:24] 你股票都不用卖
[24:25] 你就已经先提前订好机票了
[24:27] 叫股市财富效果
[24:29] 羊村面多加一颗卤蛋
[24:31] 吃布丁不舔干
[24:33] 吃蛋卷不吃屑屑
[24:34] 请小编喝咖啡都不手软
[24:37] 请浩哥喝茶也是
[24:38] 所以欢迎大家做一些回馈
[24:40] 来鼓励我们小编或者鼓励我
[24:42] 我本人都是很开心的
[24:43] 你想想看我们也是一路看着台湾的经济八八
[24:47] 我们直播六七年了
[24:49] 我们就这样一路看着台湾一年比一年成长更快
[24:52] 我变了很多
[24:53] 你们也变了很多
