[00:00] 投資評論歡迎收聽早晨財經速解讀
[07:17] 可是按照這個速度
[07:18] 手機純機器人代工
[07:22] 可能性已經很高了
[07:23] 即便有些微誤差
[07:24] 機器人最大優勢
[07:25] 就是可以24小時工作
[07:27] 成本這樣子換算下來
[07:29] 其實不會比人力高
[07:30] 所以真正顛覆想象的
[07:32] 就是實體AI
[07:33] 過去的模擬和現實落差
[07:35] 實在太大
[07:35] 燈光一變
[07:37] 那個物體的角度就不同
[07:38] 那機器就當機了
[07:39] 現在不一樣
[07:41] 因為AI模型能夠吃下
[07:43] 海量的感測鏡和影像資料
[07:45] 過去都覺得那個機器人就是工廠裡面的機器人
[07:49] 一個動作一個動作
[07:50] 那個不是AI
[07:51] 現在的AI就是螺絲掉了
[07:53] 機器人還可以意識到螺絲掉了
[07:55] 必須把它拿起來組裝再送出去
[07:58] 按照這樣的一個效果
[07:59] 就代表著市場針對未來的AI想象空間越來越快速
[08:03] 那終端產品的推出也越來越快了我們看這一次CES展當中很久不見的MotoronaMotorona後來被聯想併購了這一次就推出了首款的
[08:15] 書本式的摺疊機
[08:16] 加上AI的穿戴概念機亮相
[08:20] 這一次亮相
[08:21] 雖然的確了
[08:22] 摺疊機已經不是特別意外了
[08:24] 不過它有6.6寸的外螢幕
[08:26] 開啟之後是8.1寸的內螢幕
[08:29] 尺寸比美國市面上
[08:30] 多數的競品都還要來得大
[08:32] 那你要知道
[08:33] Motorola這一次還透露了一個概念階段的AI穿戴將之
[08:37] 包括內建的相機
[08:39] 主打即時的翻譯
[08:40] 看著環境就能問問題
[08:42] AI手機AI PC
[08:44] 在今年的推出應該就成為全面性標配
[08:47] 所以i17
[08:48] 基本上我們過去看到
[08:51] iPhone的確已經開始跟OpenAI有一些合作
[08:53] 今年開始跟Google的Gemini
[08:54] 今年的AI手機
[08:56] 如果沒有AI功能
[08:57] 可能就開始落一排了
[08:59] 那第二個是我們看到
[09:00] 你像電商
[09:02] 我們看到像Wonder的新創
[09:04] 這家新創
[09:05] 它是把餐飲宴變成下一個亞馬遜
[09:07] 這家公司砸了20億美元
[09:09] 從外送到餐包到媒體
[09:11] 一路整併到自動化廚房
[09:13] 核心概念就是把做菜的流程給拆解
[09:16] 標準化
[09:16] 再交給機器和軟體執行
[09:18] 也就是說變成一個
[09:20] 純自動化的生產線廚房
[09:23] 包括精準的去加料
[09:25] 旋轉餐碗
[09:26] 每小時大概可以高達500份的餐點
[09:28] 那事實上
[09:29] 現在到底這個餐飲
[09:32] 你吃的到底是人做的
[09:34] 還是機器人做的
[09:35] 其實有時候還分辨不出來
[09:36] 有時候便當過來
[09:37] 你覺得味道都差不多
[09:38] 這也引起在美國新一輪的投資潮
[09:41] 另外一個就是AI機器人陪臺
[09:43] 我們知道其實在做紐約新創
[09:45] 這家公司叫Life Science
[09:47] 它那個團隊
[09:48] 它就把那種製造業等級的精密機器人
[09:51] 搬到生殖醫學
[09:52] 就是找卵子的演演算法
[09:54] 都改變了影像的辨識技術
[09:56] 而且這項技術
[09:57] 它是採取開源模型來的
[09:59] 它是根據百度的開源技術
[10:01] 公司目前在墨西哥做臨床試驗
[10:04] 我們要知道
[10:04] 就是說機器單次療程
[10:07] 你要做什麼受精卵
[10:08] 放到可植入的囊胚的成功率
[10:11] 其實你用人工的話
[10:13] 其實還是有很大風險的
[10:14] 但整體的活產率更關鍵的資料
[10:17] 如果完全交由機器人的話
[10:19] 那基本上就可以達到更好的機率
[10:21] 因為全球現在畢竟晚婚
[10:23] 精子數下降
[10:24] 生育需求暴增
[10:26] 那這樣的一個效果
[10:27] 就導致很多胚胎師能力不足
[10:30] 流程又高度手工藝
[10:32] 所以如果能夠自動化
[10:33] 把品質做成標準
[10:34] 看起來市場上的投資新創
[10:37] 都在做這些事情
[10:38] 以前都覺得AI就是一個單純的工具
[10:41] 應該講說機器人就是一個單純的工具
[10:43] 可是在AI的幫助底下
[10:45] 一旦機器人當中出了某些意外
[10:47] 他開始有能力去識別錯誤
[10:49] 並且開始修正
[10:51] 我們看在現在的機器人大戰當中
[10:53] 這一次不管是IROPA的Rumba
[10:56] 還是我們看到中國的掃地機器人
[10:58] 都推出一系列的硬體的改革
[11:00] 來適應目前AI的拉抬
[11:03] 以前是有機器的身體
[11:05] 但是沒有大腦
[11:06] 運作就很怪
[11:07] 現在至少你可以瞭解到
[11:10] 它內建等同於每一個機器人都有一個OpenAI
[11:13] 你像北京的掃地機器人
[11:15] 叫Roborock Technology
[11:16] 這次在CES展當中
[11:18] 它推出的概念產品就是
[11:20] 有兩隻腳的掃地機器人
[11:23] 為什麼呢
[11:23] 因為有些人的家裡有樓梯
[11:25] 所以他要自行抬腳爬樓梯
[11:27] 跨越平整的地面
[11:29] 那背後就要有技術
[11:30] 要有AI
[11:31] 要有動作感測
[11:32] 要有3D空間的辨識技術
[11:34] 那特斯拉今年雖然仍然把市場的精力壓住在FSD
[11:39] 不過呢
[11:39] Optimus目前的量產
[11:41] 應該今年還是主要投入到工廠當中
[11:44] 原本去年預估要生產5000臺
[11:47] 但後來好像只有1000臺左右
[11:49] 所以今年還是有很大的鴻溝
[11:51] 反而特斯拉率先進入到Optimus以後
[11:54] 鑄造了大家資本
[11:56] 大幅湧入到機器人產業當中
[11:58] 我們看各項產業都是如此
[12:01] 舉例來說
[12:01] 我們看2024年到2025年的
[12:04] 主流人形機器人
[12:05] 現在又變了一輪
[12:06] 當時的主流都是一些
[12:08] 波士頓動力的Artist
[12:10] 或者敏捷機器人
[12:12] 聖域或者Figure AI
[12:13] 語術科技
[12:14] 我們現在觀察
[12:16] 市場上在不同機器人的發展概況
[12:18] 現在如果我們仔細觀察
[12:20] 這幾年其實發展最好的
[12:22] 進步最快的反而是Figure AI
[12:24] 為什麼
[12:24] 因為它成立時間很短
[12:26] 它成立時間也才三年
[12:27] 它原本公司老闆是做
[12:29] 電動垂直起降飛機領域的
[12:31] 現在在整合盤
[12:33] 在去年曾經跟Trader GPT-4合作
[12:36] 結果推出了自家模型
[12:38] 現在資本市場也極度受到吹捧
[12:41] 整體C輪的融資估值
[12:43] 已經飆升到390億
[12:45] 它最大的優勢
[12:46] 它採用的是創新型的System 1和System 2
[12:49] 就是大腦1和大腦2
[12:52] 有點類似那個快思慢想
[12:54] 一個是負責小腦的動作控制
[12:56] 另外一個是負責大腦的規劃
[12:59] 雙系統的架構
[13:00] 試圖去解決機器人在反應速度
[13:02] 和通用性的矛盾
[13:03] 那當然它的劣勢
[13:05] 也很明顯
[13:06] 就是它那個面部
[13:07] 看起來有點恐怖
[13:09] 就有點太未來了
[13:10] 太像那個機械工底了
[13:11] 就有些人說
[13:12] 把它弄得可愛一點
[13:13] 比較合善
[13:14] 所以1X
[13:15] 1X就是另外一家
[13:17] 受關注的明星機器人
[13:18] 它讓市場上最關注
[13:20] 就是它的臉
[13:20] 看起來非常的無害
[13:22] 在去年年底的時候
[13:23] 他就釋出了NEO
[13:24] 這個機器人
[13:25] 長得非常可愛
[13:26] 那跟Figure AI相比
[13:28] 1X在外觀設計上更為聰明
[13:30] NEO的臉部設計
[13:32] 這看起來就非常具有親和力
[13:35] 讓人家更願意帶入到家庭環境當中
[13:37] 不過呢
[13:38] 後續要針對機器人自主能力的質疑
[13:41] 在技術上看起來還是落後給Figure AI的
[13:43] 再來是Dynarobotics
[13:45] 這個是在矽谷的明星公司
[13:47] 它是由三個華人所創立的
[13:50] 它也是屬於垂直突破派
[13:52] 主張在特定的場域
[13:53] 先把模型做到極致
[13:55] 再尋求泛化
[13:56] 目前也獲得了大量的資金
[13:58] 那它的重要目的在於小額金
[14:00] 就是不同的引數規模
[14:02] 它在乎的是商業落地功能
[14:05] 它現在不求
[14:06] 打入到終端的客戶家裡當中
[14:08] 它要求能不能儘可能的
[14:10] 在工廠當中大量的取代人力
[14:12] 而這個取代人力
[14:13] 講的不是那個
[14:14] 鴻海工廠裡面的機械手臂
[14:16] 它講的是那種需要有一點
[14:18] 當下AI其實判斷的能力
[14:20] 比如說疊衣服
[14:22] 疊衣服有不同角度
[14:24] 不同光線
[14:24] 可能所帶來的困擾
[14:25] 或者說要切魚
[14:28] 要切貢丸
[14:29] 一些比較需要細節
[14:31] 手部動作的這些機器人
[14:33] 他正在尋求這樣的一個突破
[14:35] 再像是Scar AI
[14:37] Scar AI是做機器人大腦的
[14:40] 它並不是單純做硬體本身的
[14:41] 屬於通用模型切切入
[14:43] 讓同一個模型
[14:45] 能夠適配性的做好機械手臂
[14:47] 或者四足型的機器人
[14:49] 那它的目的就在於
[14:51] 所有的機器人
[14:53] 你只要套用我的通用模型
[14:55] 它都會有基礎的能力
[14:57] 這樣子即便你是做硬體的
[14:59] 可是你在軟體上沒有特別大的優勢
[15:01] 我們也可以來做一些合作
[15:02] 另外一個就是大家耳熟能詳的波士頓動力
[15:05] 它算是老牌了
[15:06] 極致的運動控制的能力
[15:08] 早期波士頓動力
[15:10] 它就已經引入到移動的控制系統了
[15:12] 所以現在在任何複雜地形上走路
[15:14] 它目前是走得最穩的
[15:16] 那我們可以觀察到
[15:17] 這些新創企業
[15:18] 目前都已經獲得了
[15:20] 在今年進一步估值的提升
[15:21] 如果OpenAI Entropic帶頭中的話
[15:23] 就進一步想象的空間
[15:25] 那這些巨頭
[15:26] 其實也不落人後
[15:27] 你像亞馬遜的部分
[15:29] 現在的撿貨機器人
[15:30] 已經超過100萬臺了
[15:32] 按照這個速度
[15:33] 因為它是指數型翻倍
[15:35] 今年亞馬遜的機器人
[15:37] 就快要比亞馬遜的人
[15:39] 還要來得多了
[15:40] 亞馬遜員工大概140萬
[15:42] 已經連續四年下滑了
[15:43] 因為機器人一直取代人力
[15:46] 有可能今年就會成為轉折點
[15:49] 那輝達的部分
[15:50] 過去我們提到
[15:51] 它的GROOT N1
[15:53] 這個機器人
[15:54] 它也是屬於開源
[15:55] 類開源的模型
[15:57] 主要是希望成為機器人界的Android
[16:00] 在GTC大會當中
[16:01] 它當時所釋出的專案
[16:02] 某種程度也是想要爭奪生態的控制力
[16:06] 它雖然不做具體硬體
[16:07] 可是希望大家可以採用它的軟體
[16:10] 這給投資朋友做一些思考
[16:11] 事實上我們講說
[16:13] 這個機器人的基礎模型
[16:14] 跟那個CHAT-GBT到底差別在哪裡一個定義的本質就是一個是會說話的大腦一個是會動手的大腦CHAT-GBT它要處理文字要處理邏輯
[16:25] 要有推論
[16:25] 可是機器人
[16:26] 它不需要具備大模型的常理的推理能力
[16:30] 它需要的是那種硬體本身和物理世界的互動
[16:34] 到底怎麼抓球是最穩
[16:36] 怎麼抓雞蛋不會讓它破
[16:38] 但是又可以把它給抓得穩呢
[16:40] 再來就是VLA模型的知行合一
[16:42] 就是說GPT它輸入的文字
[16:45] 看輸出就是輸入另外一條文字
[16:48] 或者程式碼
[16:48] 但是機器人
[16:49] 它是你要同時輸入視覺
[16:52] 還有聽覺
[16:53] 還有動作
[16:54] 輸入以後
[16:55] 最後才產生一條控制指令
[16:57] 這個難度又更高了一點
[16:59] 最後是我們看到資料來源
[17:01] 所以GPT網路上什麼資料都可以抓
[17:03] 但是機器人的模型
[17:05] 現在只能從YouTube上
[17:07] 去抓人類的動作
[17:08] 可是即便有這麼多影片
[17:10] 我們看到現在的發展
[17:11] 還是受到比較大程度的侷限
[17:13] 就物理世界的鴻溝
[17:15] 它還沒有完全的跨過去
[17:16] 所以中間面臨的幾項資料
[17:18] 會極度挑戰
[17:19] 比如說我們過去跟投資朋友提到
[17:21] 你像資料缺失的問題
[17:23] 現在機器人發生動作的時候
[17:25] 那個手指的關節具體角度
[17:27] 到底要轉多少
[17:28] 或者要施加多大的力量
[17:30] 其實到目前為止
[17:31] 都還沒有一個系統性的
[17:34] 技術上的突破
[17:34] 機器人需要的是那個感測器
[17:37] 它會反映給你那個壓力
[17:38] 但是這個資料
[17:40] 網路上幾乎找不太到
[17:41] 你就必須要靠物理實體世界去採集
[17:44] 所以大家就只好放很多機器人在各地訓練
[17:47] 你到底能不能感受到這個物體的沉重物
[17:50] 這個物體的脆弱程度為何
[17:53] 再來是我們講說訓練資料一增加
[17:56] 模型距離的最優解的落差
[17:58] 而且幾乎都會呈現那種密次的關係
[18:01] 因為不管是我們看到增加訓練的次數
[18:04] 增加訓練的環境複雜度
[18:06] 還是組合數
[18:08] 那個協力都呈現資料越多
[18:10] 效能越好
[18:11] 的相關係數是負一
[18:12] 所以這很明顯就是
[18:14] 當任務越來越多的時候
[18:16] 那個耳塞機器人就會蕩極
[18:18] 太多交雜物
[18:20] 混合在一起的時候
[18:21] 他所做出的判斷
[18:23] 往往就跟人類那種常理的反應
[18:26] 形成極大落差
[18:27] 這就物理世界
[18:28] 跟我們講到說
[18:29] 確實GBT當中
[18:30] 大圓模型的實質區別
[18:32] 所以最後
[18:33] 一開始大家做的
[18:34] 就並不是直接去訓練控制策略
[18:36] 而是先用人類操作的影片
[18:38] 去微調這個世界的模型
[18:41] 讓模型學會物理世界怎麼動
[18:43] 行為帶來什麼樣的後果
[18:44] 然後在世界模型當中
[18:46] 先跑模擬
[18:47] 生成出這個機器人
[18:49] 在還沒有具體運用的時候
[18:52] 他會做哪些事情
[18:53] 用這樣的一個方式來做突破
[18:55] 所以它等同於是硬體
[18:57] 求的是那個自由度
[18:59] 求的是它的效能
[19:01] 可是最重要的還是軟體
[19:02] 它如何跟物理世界掛上鉤
[19:04] 這個就是我們觀察到
[19:05] 機器人爆發以後
[19:07] 人類基本上在今年
[19:09] 已經迎來極大難關
[19:11] 我們就看今年有沒有機會
[19:12] 亞馬遜的員工人數
[19:13] 低於亞馬遜的機器人人數
[19:15] 你大概就可以知道
[19:16] 人類可能很多的勞動性工作
[19:18] 可能在未來幾年都會陸續的解放
[19:21] 那也不是壞事
[19:22] 人類就有機會解放雙手
[19:23] 去做其他開創性的工作
[19:25] 就好像以前我們想不到會有
[19:27] 寵物美容師
[19:28] YouTuber的出現
[19:30] 那未來很多工作可能也會跟著出現
[19:32] 所以你不要急著說
[19:33] 現在哪項技能學就一定要學會
[19:35] 瞭解學習的原理和習慣也是很重要的
[19:38] 最重要的是保持健康
[19:39] 你不要把自己抄壞了
[19:41] 按照這種速度
[19:42] 每天加班的
[19:43] 也不一定在晚年過得比你好
[19:45] 到時候務職生活肯定又提升
[19:47] 你的優勢就是活得久
[19:49] 人生每個階段都不一樣
[19:50] 年輕時有的追求愛情
[19:52] 然後到最後追求財富
[19:55] 到後來追求影響力
[19:57] 到最後就開始比命長
[19:58] 你不如一開始就比命長
[20:01] 這也是一種方式
[20:02] 因為這個時代實在變化太快了
[20:04] 工作的態度
[20:05] 決定你肝的硬度
[20:08] 工作馬馬虎虎
[20:09] 上班馬爾蒂夫
[20:11] 早退不做牛馬
[20:13] 公司就是羅馬
[20:15] 開會隨便中離
[20:17] 就像我在巴黎
[20:19] 公司廁所大一粒
[20:21] 上班就像義大利
[20:23] 所以保重身體是最重要的
[20:25] 我們往下看
[20:26] 整個AI在終端產品推出
[20:28] 現在速度越來越快
[20:30] 我們每週都會做追蹤
[20:31] 你會發現
[20:31] 各式各樣的AI軟體陸續出爐
[20:34] 之前我們提過叫Desk Clock
[20:35] 它是用AI去預測你的壽命的APP
[20:38] 那主要就是填寫你的飲食運動
[20:41] 然後它會記錄你的睡眠壓力心理狀態
[20:43] 然後最後得出一個結論
[20:44] 告訴你還剩下幾天可以活
[20:46] 用AI模型去推算你個人化的壽命的預測
[20:49] 那很多人看到
[20:51] 原來我只剩下3000天可以活
[20:54] 這個時候就開始正式健康退休人生規劃
[20:57] 現在已經超過20萬名的使用者
[20:59] 而且每個人年費也很貴
[21:01] 要1300塊臺幣左右
[21:03] 其實我覺得機器人
[21:04] 對於終端應用最大最大的幫助
[21:07] 很快就是發達市場的
[21:09] 老年齡人口問題
[21:10] 高齡化時代
[21:11] 現在失智人口數也越來越多
[21:13] 臺灣現在有37萬
[21:14] 我們預估到2050年會有90萬
[21:17] 等於是在下一個世代
[21:19] 每20個老人家
[21:20] 就有一個人是失智症患者
[21:22] 失智症患者
[21:23] 其實對於不管是家庭的負擔
[21:26] 還是說目前的醫療問題
[21:28] 未來的品質
[21:29] 人口少化
[21:30] 這樣的一個效果
[21:31] 都可能造成極大衝擊
[21:32] 我們以前都只能做提前預防
[21:35] 都學利股利股新年財
[21:36] 沒事就打打牌鍛鍊一下腦力
[21:39] 可是現在有了AI的幫助
[21:42] 如果自動化機器人
[21:44] 真的能夠在家裡部署一套
[21:46] 那也許就可以防止很多的意外發生
[21:48] 你像全臺灣現在65歲以上的老年人口
[21:51] 大概有224萬戶
[21:52] 其中114萬戶可支配所得是低於消費支出
[21:56] 算是我們講的下流老人
[21:59] 就是領勞保勞退
[22:00] 日子還是過得很辛苦
[22:01] 所以政府這幾年
[22:02] 很多在獨居者家中
[22:05] 就安裝那個緊急的求救鈴碼
[22:06] 希望能夠在意外發生時
[22:08] 及時救援
[22:09] 但是很抱歉
[22:10] 實際效果有限
[22:11] 有的是根本還沒有按到
[22:13] 就已經走了
[22:13] 另外一個就是
[22:14] 安裝率也沒有想象中來得高
[22:16] 新北市已經是最高的
[22:18] 有45%
[22:18] 可是其他縣市
[22:20] 你看臺中只有31%
[22:22] 臺南30%
[22:23] 高雄只有21%左右
[22:25] 很多人覺得
[22:25] 涉及到隱私
[22:27] 尊嚴
[22:27] 性認問題
[22:28] 可是現在觀念已經慢慢改變了
[22:30] 如果有機器人的幫助
[22:32] 可能效果就來得越顯著
[22:33] 前陣子我就看到一條新聞
[22:35] 看到的是臺中11月
[22:39] 當時發生一起令人鼻酸的
[22:41] 孤獨死的案例
[22:43] 就一個82歲的獨居老人
[22:45] 那個時候過世很久了
[22:47] 一直到水管漏水
[22:49] 用水量爆蒸7000度
[22:52] 那個超表員察覺異樣
[22:54] 才通報里長
[22:55] 後來才揭報起這股悲劇
[22:57] 所以當時就一系列的報道
[22:59] 像獨居老人
[23:00] 在臺灣有百萬人
[23:01] 在日本其實也是如此
[23:03] 這種孤獨死的這種衝擊
[23:05] 它其實可以靠AI和自動機器人
[23:08] 形成極大的幫助的
[23:09] 有時候看到這種新聞就很難過
[23:12] 因為你知道
[23:12] 如果它沒開水
[23:14] 那就不會被發現
[23:16] 它是用水量暴增到7000度
[23:19] 超表員察覺異樣之後通報里長
[23:22] 才發現這件事情
[23:24] 有時候看到這種新聞
[23:26] 心都會一揪
[23:28] 你看多浪費水
[23:30] 不是 張嘴張嘴張嘴
[23:32] AI是可以解決這個問題的
[23:35] 機器人比我們想象中偉大太多了
[23:37] 以後每一個獨居老人
[23:38] 都應該配一個機器人
[23:39] 我覺得政府也有必要來做輔助
[23:41] 所以我們的退休目標
[23:43] 退休後每個人都買一臺機器人
[23:46] 看著我
[23:47] 這給投資朋友做一些思考
[23:48] 事實上我們看到
[23:49] 越來越多的相關產品陸續出來
[23:51] 其實機器人就是順應著
[23:54] 老齡化時代來臨的
[23:55] 它就是整個時代的潮流
[23:57] 舉例來說
[23:57] 最近大陸最紅的APP
[23:59] 現在APP Store付費榜首第一名
[24:01] 叫做死了嗎
[24:03] 表面上看起來是創意的產品爆紅
[24:05] 但是因為他要用八塊人民幣
[24:08] 才買一個可能被發現的可能性
[24:10] 營收暴增
[24:11] 這個APP的核心功能非常簡單
[24:13] 每日去簽到
[24:15] 失聯通知
[24:16] 就你極具衝擊力的名稱
[24:19] 反而精準的打中很多
[24:21] 那種年輕獨居族
