[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 似乎已經開始產生了資金輪動
[04:57] 它能不能是保住自己互成合的重要巨頭
[05:00] 很重要
[05:01] 一方面Google
[05:02] 一方面快速升級自己的Gemini模型
[05:05] 整合進搜尋雲端和應用服務
[05:07] 另外一方面也提供大量的自研晶片
[05:10] 給合作伙伴來做使用
[05:11] 成為目前關鍵算力的供應商來源
[05:14] 所以這一次生態系的擴張
[05:16] 基本上市場上對於Google總體評價
[05:18] 至少相對於其他巨頭還是好很多的
[05:20] 你看Google現在股價即便下跌
[05:22] 這個股價其實從去年開始
[05:26] 應該是一整年吧
[05:27] 從關稅戰以後
[05:28] 它就保持非常漂亮的上行格局
[05:31] 基本就是從去年7月份以後
[05:34] 再也沒有碰到季線了
[05:36] 那很多股票現在都跌破年線了
[05:37] 它連季線都沒有碰到過
[05:39] 四條均線穩定上行
[05:41] 現在盤後波動一度下跌
[05:45] 還是有接近6%
[05:46] 不過也剛剛碰到季限而已
[05:47] 另外一個軟體商
[05:49] Adobe砸下14億美元廣告費
[05:52] 他也說明要全力的反擊AI時代的市場疑慮
[05:55] 結果股價表現其實看起來也不是特別好
[05:59] 整體市場賣壓還是相當沉重
[06:01] 如果我們細看
[06:02] Adobe當前所公佈的14億美元的廣告費
[06:06] 主要就是要向市場強力的推銷自家品牌和AI工具
[06:11] 不過這與其把它拿去做廣告費
[06:13] 不如拿來看看在AI時代
[06:15] 它怎麼提升自己的產品
[06:17] 你像在過去
[06:18] Adobe幾乎是壟斷專業創作軟體市場
[06:21] 現在壓力很大
[06:22] 以前Photoshop這類產品是業界標準
[06:25] 現在這幾年說到Canva
[06:27] 這些輕量化設計平臺的衝擊
[06:29] 或者一些生成式AI影象的攻擊
[06:32] 快速崛起的挑戰
[06:33] 競爭結構已經明顯鬆動
[06:35] 我們從2024年到現在
[06:37] Adobe的股價已經跌了超過50%
[06:39] 投資人已經開始懷疑
[06:41] 到底這家公司能不能在AI主導的新創生態當中
[06:45] 持續維持優勢
[06:46] 那即便如此
[06:47] Adobe的看法很簡單
[06:48] 那應該是我們的廣告投的不夠多吧
[06:51] 所以廣告開銷再度拉昇到14億美元
[06:55] 不論是營收佔比或者佔絕對金額來看
[06:57] 這個都比原本的軟體同業高非常多
[07:01] 那也的確啦
[07:01] Adobe現在的確每年就是有穩定的現金流進來嘛
[07:04] 那它也只能這樣子繼續玩下去
[07:06] 我們仔細來說
[07:07] Adobe之前自從採取訂閱之以後
[07:10] 營收年增幅就暴增
[07:12] 已經不是常常出現
[07:13] 那個使用者在不知情的情況底下
[07:16] 選擇退訂
[07:17] 會被判定為提前解約
[07:18] 你甚至還要付額外費用
[07:21] 這麼暴力的企業
[07:22] 曾經是投資人最喜歡的
[07:24] 後疫情時代的標股之一
[07:27] 結果呢很抱歉
[07:28] 這兩年由於AI的衝擊
[07:30] 已經開始陸續發酵
[07:31] 在這些軟體上
[07:32] 軟體股啊
[07:33] 大型股遭受沉壓
[07:34] 小型股已經跌到地獄了再看一下晶片大廠AMD硬體股表現也沒有多好週三暴跌了17.3%原本它在四條均線之上這一次直接跌到半年線之下了
[07:46] 回到去年10月份
[07:47] 永動機發動時的關卡
[07:49] 那就要看一下
[07:50] 這一波跳空的水位能不能守得住
[07:54] 17年以來的最慘的單日跌幅
[07:57] 那蘇之鋒當然喊話
[07:58] 先進晶片的需求還在成長
[08:00] 人工智慧的相關需求增長
[08:02] 超乎市場預期
[08:03] 其實它的財報整體也不錯
[08:05] 公司對於下一季的願景雖然保守
[08:08] 可是預估第一季營收98億美元
[08:11] 上下浮動3億
[08:12] 還是比預期還要來得高
[08:14] 所以可能就是因為沒有交出那種高速成長的曲線
[08:18] 單季經歷15億美元
[08:20] 年增幅還是有三成
[08:21] 市場就是不買單
[08:22] 好像現在沒有看到一個50%或者一倍兩倍的成長
[08:26] 大家都覺得這是很正常的
[08:28] 從結構面來看
[08:29] 資料中心仍然是主引擎
[08:31] 相關部門的單季營收54億美元
[08:34] 年增幅有40%
[08:36] 成長同時來自於
[08:38] 伺服器CPU和AI GPU
[08:39] 管理層也強調
[08:40] AI所帶動的
[08:42] 現在也不只是GPU
[08:43] 我們的CPU需求也很強
[08:45] 加上現在客戶端
[08:47] 遊戲業務
[08:48] 整體成長
[08:48] 包括筆電端
[08:49] 表現都很不錯
[08:51] 基本上前景還算是偏好
[08:53] 只不過市場就是不買單
[08:55] 再來看的是高通
[08:56] 高通在週三盤後
[08:57] 所公佈的第一季財報
[08:59] 也超出市場預期
[09:00] 但是很抱歉
[09:01] 全球記憶體的短缺
[09:03] 打擊手機銷售
[09:04] 財策稍微下滑一點
[09:06] 結果股價也是盤後跳水
[09:09] 接近有8%
[09:10] 那你要知道
[09:10] 這一次高通
[09:12] 即便我們知道
[09:13] 手機晶片的需求轉弱
[09:15] 可是整體而言
[09:16] 財報財策還是高乎市場預期
[09:18] 不管是我們看到
[09:20] 在整體EPS
[09:22] 或者在總營收
[09:24] 102億到110億
[09:25] 頂多就是因為
[09:26] 記憶體的晶片供應短缺
[09:28] 可能導致接下來
[09:30] 手機出貨量的變化
[09:31] 所以市場上現在就要找理由
[09:33] 軟體股就是被AI取代
[09:35] 硬體股就是說因為記憶體缺貨
[09:37] 所以你成品做不出來
[09:38] 所以你總需求沒這麼大
[09:39] 反正就是可以找到一些利空
[09:41] 記憶體漲價的時候
[09:43] 就說這是AI需求所拉動的
[09:45] 所以AI太好了
[09:46] 所以利多利空各自解讀
[09:48] 這個就是一個市場需要回撥的理由而已
[09:50] 事實上我們回過頭來看一下
[09:52] 七巨頭的變化
[09:53] 整體七巨頭
[09:54] 其實從股價線形圖已經看得出來
[09:56] 部分頭部已經出現
[09:58] 微軟就不用講了
[10:00] 這個M頭真的變成蝙蝠俠了
[10:02] 真的不是微軟
[10:03] 是超級軟
[10:05] 是完全硬不起來
[10:07] 這個已經跌到去年4月份
[10:10] 這個關稅佔的水準了
[10:12] 這壓力的確是蠻大的
[10:13] 不知道愛波斯坦的關係有沒有影響
[10:15] 另外一方面呢
[10:16] 是我們看到在特斯拉的部分
[10:18] 特斯拉股價也從今年以來就一路下跌
[10:21] 目前已經跌破了月線季線和半年線
[10:24] 往年線來邁動
[10:25] 不過至少年線中長期還在向上
[10:27] 上一次在9月10月的拉昇
[10:30] 也是蠻意外的
[10:31] 所以這一次頂多也是迴歸均值
[10:33] 不過今年已經開始進入付報酬了
[10:35] 揮達的部分
[10:36] 就要看一下這一波平臺區能不能守得住
[10:38] 那通常都是揮達財報很晚才公佈
[10:41] 但是七巨頭的概況
[10:43] 基本上也可以奠定
[10:44] 接下來揮達的整體出貨量
[10:46] 再來看的是
[10:47] 總體七大巨頭目前的股價表現
[10:50] 如果以今年來看
[10:51] 表現最亮麗的還是Google
[10:52] 年初以來漲幅有5.7%
[10:54] Amazon漲幅有2.87%
[10:56] 那是因為去年它基期特別低
[10:58] 這個Meta的部分2.8%
[11:01] Meta也算是不錯
[11:02] 不過最近股價開始回檔
[11:03] 其他像蘋果
[11:05] 蘋果是在過去兩週
[11:07] 所有七巨頭全部都在回撥
[11:09] 少數還在上漲的
[11:11] 上漲2.02
[11:12] 所以你不是說
[11:12] 今年可能手機需求不好
[11:14] 因為記憶體價格太貴了嗎
[11:15] 它也沒有影響到蘋果
[11:17] 各自找理由而已
[11:18] 由於AI股下跌
[11:20] 非AI股有進一步的買盤支撐
[11:22] 就是這樣子
[11:23] 特斯拉今年已經跌了7.3%
[11:25] 輝達跌了7.7%
[11:27] 微軟是今年最失望的
[11:29] 跌了12%
[11:30] 七巨頭
[11:31] 現在有三巨頭
[11:33] 目前股價形成重挫
[11:35] AI恐慌重擊軟體股
[11:37] 那到底現在是挫殺
[11:38] 還是新一輪的結構洗牌呢
[11:40] 很多我們看到高品質的龍頭企業
[11:43] 現在跌幅壓力都還蠻大的
[11:45] 我個人的看法是
[11:46] 它就是一個簡單的估值回撥
[11:48] 本來就是10月份以來
[11:49] 的確是漲太多了
[11:50] AI熱潮把估值直接變成採購能力
[11:53] 我們看到23年到26年
[11:55] 很多私有公司
[11:56] 像Antropic或者OpenAI
[11:58] 估值都是數十倍起跳
[12:00] 公開市場更誇張
[12:01] 輝達、Google、微軟、Amazon
[12:04] 市值都是以照為單位來往上推
[12:06] 那這代表這些公司在算力、資料中心、電力、晶片、人才上的支出
[12:10] 幾乎沒有對手能夠跟上
[12:12] 即便是甲骨文或者AMD
[12:14] 這種原本被視為第二梯隊的玩家
[12:17] 估值也被整體拉抬
[12:19] 所以呢
[12:19] 它就是一個市場的估值賣壓所造成的股價回撥而已
[12:24] 當然你說那是否代表我們處於AI泡沫期呢
[12:27] 其實早在兩週以前
[12:28] 市場上去搜尋
[12:30] 我們是否處於AI泡沫的搜尋量
[12:32] 就已經開始環不下滑了
[12:34] 說明的確市場是稍微有點樂觀
[12:36] 所以呢我相信再沒過多久
[12:38] 等到大家又開始討論AI泡沫的時候
[12:41] 大概股價的底部修正期也見到了
[12:43] 那過去我們總覺得
[12:45] 修正不是兩天就結束了嗎
[12:47] 正常來講
[12:48] 我們講的中期修正一直都是一個季度左右
[12:51] 那的確也很意外
[12:52] 從川普上任以後
[12:53] 那個中期回撥都特別的短
[12:56] 以前我們在24年
[12:58] 在23年
[12:59] 或者22年以外
[13:01] 21年
[13:01] 20年都曾經發生過中期回撥
[13:03] 那回撥常常都是7月到10月
[13:06] 一回撥就給你三個月
[13:08] 盤在那邊不動
[13:09] 這就是一個很好的左側不見點
[13:11] 那有時候川普上任以後
[13:12] 給你疊三天的
[13:13] 三天就上去了
[13:14] 這種中期回撥
[13:16] 幅度雖然是到了
[13:17] 但是往往買的部位還來不及進
[13:19] 就漲回去了
[13:20] 所以基本上
[13:21] 這一輪的回撥
[13:22] 是否有利於開啟真正的
[13:24] 以時間為一個季度為期的中期回撥
[13:27] 是很重要的
[13:28] 畢竟我們上一輪中期回撥
[13:30] 是在去年10月份的時候
[13:31] 再來一次
[13:33] 5、6月份曾經有稍微乖離回檔
[13:35] 再來就是三、四月的關稅戰了
[13:38] 那一路往前推
[13:39] 2024年的7、8月
[13:40] 日元套利平倉的股災賣壓
[13:43] 到2023年的7月到10月
[13:45] 都是一樣
[13:46] 差不多就是每漲一到兩個季度
[13:48] 要稍微休息一個季度
[13:50] 那當然了
[13:51] 很多人覺得2026AI會不會垮
[13:53] 那看起來就是因為AI已經具體應用
[13:56] 衝擊到軟體上了
[13:57] 那這樣子叫做AI導致估值泡沫撲面
[14:00] 它更像是AI的衝擊開始湧現
[14:02] 要是AI垮
[14:03] 那大概全球也垮了
[14:04] 所以先擔心自己下一餐
[14:06] 在哪裡比較重要
[14:08] 後續我們要觀察的幾大效果
[14:09] 就是那資金的輪動呢
[14:11] 我們看雖然七巨頭和硬體股
[14:14] 軟體股股價都在跌
[14:15] 可是如果細看
[14:17] 我們不管是從羅素1000的價值股
[14:19] 和成長股
[14:20] 三個月的滾動報
[14:21] 才會發現
[14:22] 價值股領先成長股的幅度
[14:24] 已經來到22年以來
[14:26] 最明顯的一次了
[14:27] 也就是說
[14:28] 過去幾個月
[14:29] 幾個季度
[14:30] AI和科技股
[14:31] 所帶動的成長股行情
[14:33] 是不是隻是出現了一種
[14:35] 明顯的風格切換
[14:36] 我們看到的不是系統性回撥
[14:38] 我們看到的只是
[14:39] 這些科技股長夠多了
[14:42] 我的估值預測的夠高了
[14:44] 現在製造業上行迴圈已經到來
[14:47] 所以我要回去傳產股了
[14:49] 所以如果我們細看
[14:50] 現在價值股
[14:51] 基本上價格已經開始陸續往上推升
[14:54] 從去年10月底以來
[14:55] 羅素一天價值指數一路往上
[14:57] 累積報酬已經回到正報酬區間上方
[15:00] 而成長指數
[15:01] 它就一直在負報酬當中持續震盪
[15:03] 兩條線是很明顯分叉的
[15:06] 代表資金正在從高估值高預期的成長股
[15:09] 開始轉往估值比較低
[15:11] 現金流比較低的股票
[15:13] 舉例來說
[15:13] 你看在這兩天
[15:15] 股價一樣在創高的股票全值股還是很多像可口可樂哇這一次從今年以來股價漲不停你要知道它2025年由於都是AI行情可口可樂一整年
[15:26] 股價幾乎都沒有太大波動
[15:28] 但是呢
[15:29] 突然之間
[15:30] 在2026年啟動行情
[15:31] 從原本60幾塊
[15:33] 現在一路漲到77塊
[15:34] 股價創下歷史新高
[15:36] 再來看看沃爾瑪
[15:37] 沃爾瑪在去年
[15:38] 也算是圍繞著季線上下徘徊
[15:40] 但是股價也不算是太亮麗
[15:42] 頂多就是勉強收付
[15:44] 三月到四月份的關稅跌幅
[15:46] 它甚至股價在上半年都還沒有跟著創高
[15:49] 可是到今年
[15:50] 這個股價就完全噴出了
[15:52] 沃爾瑪股價也是持續創下歷史新高
[15:55] 所以價值股有價值股的好
[15:57] 它重視的是現金流
[15:59] 資產的底氣和安全邊際
[16:01] 波動相對可控
[16:02] 適合雲亦慢慢等穩穩收的人
[16:04] 那成長股又成長股的好嗎
[16:06] 它壓住的是未來
[16:07] 市佔和爆發力
[16:08] 震盪大
[16:09] 攻擊也大
[16:10] 適合能夠承受回撤
[16:13] 或者換取倍數報酬的人
[16:15] 那真正的問題
[16:16] 不是說哪一類投資比較高階
[16:18] 而是你選擇了哪一條路
[16:21] 我的資金要走到哪裡
[16:23] 要用什麼樣的方式走到那裡
[16:25] 是很重要的
[16:26] 很多人一輩子都說
[16:27] 我是價值派
[16:28] 我是價值投資
[16:29] 我是查理蒙格
[16:31] 我是巴菲特
[16:32] 我是成長派
[16:33] 我是達里歐
[16:34] 我是霍華德
[16:36] 馬克思
[16:37] 很少人卻想辦法靜下來
[16:41] 來想清楚
[16:41] 那我的資金最後要用在哪裡
[16:43] 我要用什麼樣的方式持續投資
[16:45] 所以方向先確定
[16:46] 方法才有意義
[16:48] 否則再好的策略來回切換
[16:50] 最後你只會把自己的報酬給磨掉
[16:52] 不要因為這個漲就去追
[16:53] 你要了解自己到底是動能投資
[16:55] 還是一個標準的逆向投資
[16:57] 左側交易
[16:58] 那之前我們講過愛因斯坦最有名的故事
[17:01] 他之前是從普林斯頓坐火車去旅行
[17:05] 然後某個時刻
[17:06] 那個列車員就走過來
[17:07] 要他出示車票
[17:08] 那愛因斯坦在自己的口袋找了找
[17:11] 很多口袋
[17:11] 找了老半天
[17:13] 發現車票都不在口袋裡面
[17:16] 於是他又開始往揹包裡面去找
[17:18] 那裡也沒有
[17:18] 後來他又看一下公事包
[17:20] 還是沒有公車票的蹤跡
[17:22] 最後他就有點激動
[17:25] 看著旁邊的座位
[17:26] 怎麼辦
[17:27] 列車員就跟他講說
[17:30] 愛因斯坦博士
[17:31] 我知道你是誰
[17:33] 我們都認識你
[17:35] 嘗試的安慰他
[17:36] 我相信你買了票
[17:37] 好不好
[17:38] 不用擔心
[17:39] 愛因斯坦很感激的點點頭
[17:40] 列車員就繼續的為其他乘客來檢票
[17:44] 當他準備要去下一個車廂的時候
[17:46] 他轉過身
[17:47] 發現愛因斯坦雙手撐在膝蓋上
[17:50] 在座位下繼續找車票
[17:52] 列車員就過來說
[17:54] 愛因斯坦博士
[17:54] 你不要擔心
[17:56] 我知道你是誰
[17:57] 你不用給我看車票好不好
[17:59] 我相信你買了
[18:00] 愛因斯坦說
[18:01] 我知道我是誰
[18:03] 但是我不知道我要去哪裡
[18:05] 就很多人
[18:08] 他知道自己是誰
[18:10] 但他卻不知道自己真的要去哪裡
[18:12] 有時候我們在投資的過程當中
[18:15] 會不斷的詢問自己是價值型
[18:17] 我們是成長型的投資人
[18:19] 但是什麼樣的路線
[18:20] 到底是軟體股硬體股的看好
[18:22] 還是指數型科技股投資的看好
[18:25] 方法論是要確認的
[18:27] 你要走去哪裡必須要確認好
[18:29] 漲的時候追成長
[18:30] 跌的時候改價值
[18:31] 震盪的時候又想做波段
[18:32] 每一段行情只想參與到情緒
[18:35] 那反而壓力會很大
[18:37] 所以這給投資朋友作為一些思考
[18:38] 對這不是笑話
[18:39] 我們節目有時候也會舉一些
[18:41] 有哲理的例子
[18:43] 畢竟我們節目是
[18:44] 正經的財經節目
[18:47] 還有握手式節目
[18:48] 我們看美股市四大指數表現
[18:50] 道瓊工業指數上漲260點
[18:52] 0.53%
[18:53] 收在49501點
[18:55] 標普下跌35點
[18:57] 0.51%
[18:58] 收在6882點
[19:00] 納斯達克指數下跌350點
[19:02] 1.51%
[19:03] 收在22904點
[19:05] 費辦下跌347點
[19:07] 4.36%
[19:09] 說在7619點
[19:10] 如果以四大指數來看
[19:12] 大家漲幅都被吞掉了
[19:14] 費城半導體指數
[19:15] 今年漲幅一度來到13%
[19:18] 才短短一個月而已
[19:20] 13%已經算不錯了
[19:21] 結果現在漲幅只剩下3%
[19:24] 道瓊指數漲幅2.3%
[19:26] 它是少數昨天股價指數
[19:28] 還在創下歷史性高的
[19:30] 你就知道傳參股的推動有多快
[19:32] 標普漲幅0.35
[19:33] 納斯達克指數跌幅是1.4赫
[19:36] 所以2026年
[19:37] 到底是多頭和空頭同時存在的一年
[19:41] 傳產股的多頭
[19:42] 科技股的空頭
[19:44] 還是說只是道瓊還沒跌而已呢
[19:47] 它只是最後一棒
[19:48] 我們其實以七巨頭當前的定價
[19:51] 早就已經衍生到三到五年的賭注
[19:54] 來進行市場新一輪的價格嘗試定位
[19:57] 畢竟這些公司本來就是把
[19:59] 未來幾年的算力資料中心
[20:01] AI平臺和生態一起給買單
[20:03] 那現在呢
[20:04] 估值只是靠EPS慢慢的跟上
[20:06] 本益比才會慢慢的下滑
[20:07] 所以也許到時候基礎建設終於能成了
[20:10] 大家也不是那麼關注了
[20:12] 就好像當年的4G當年的5G
[20:15] 建之前股價都漲一波
[20:17] 真的再建了
[20:18] 那股價就沒有什麼反應了
[20:19] 就好像當年的電動車
[20:21] 原影宙是一樣的
[20:22] 特斯拉在漲
[20:23] 也不是因為電動車
[20:25] 是因為機器人
[20:26] 要不然我們看大多數的電動車股
[20:28] 或者今年我們看到全球汽車股
[20:31] 其實價格也沒有更顯著的拉昇
[20:33] 另外一個就是
[20:34] 由於現在的貨幣政策
[20:36] 還並不是全面系統性的流動性上高
[20:39] 所以在這樣效果底下
[20:40] 如果系統性流動性沒有進一步的拉高
[20:43] 那估值就不能毫無條件的一路漲下去
[20:45] 我們仔細觀察
[20:47] 張圖表示標普500的走勢和系統流動性
[20:50] 基本上系統流動性
[20:52] 他講的就是聯總會的資產負債表
[20:54] TGA賬戶或者RRP
[20:56] 合成之後的流動性指標
[20:58] 那基本上就高度同步
[20:59] 每一次流動性回升
[21:01] 那股市就會跟著墊高
[21:02] 一旦流動性急縮
[21:04] 不管股市講的多好
[21:05] 股價立刻就會沉壓
[21:07] 那現在呢
[21:08] 我們看到
[21:08] 其實有一段時間
[21:10] 流動性指數已經開始有所回擋了
[21:12] 可是股價還在衝高
[21:14] 那就意味著
[21:14] AI的爆發
[21:16] 已經讓市場有新一輪的股市定位
[21:18] 而並非單純從流動性
[21:20] 可是你也不能夠期待
[21:21] 市場的流動性越來越差
[21:23] 但是股價永遠只會上漲吧
[21:24] 它始終會有迴歸
[21:26] 趨於平靜的時候
[21:28] 所以啊
[21:28] 這個時候我們才會看到
[21:29] 市場上在急漲之後
[21:31] 稍微回撥
[21:32] 其實對於整體市場來得更為健康
[21:35] 對於牛市反而更有長期的助力
[21:37] 我們從多種估值指標來做觀察
[21:39] 現在這個估值指標
[21:40] 每個人用的不太一樣
[21:42] 可是如果你把本益比
[21:43] 加上PB比
[21:46] 加上PSB
[21:47] 加上巴菲特指標的
[21:48] 四次除以GDP比例
[21:49] 全部標準化之後拿來一起看
[21:52] 現在的估值算不算高
[21:54] 對
[21:54] 比1929年高
[21:56] 大概已經快要比2000年高了
[21:58] 只不過一個最大的區別在於
[22:01] 我們現在的資訊更流通
[22:02] 加上我們的formal心態
[22:04] 比20年前
[22:06] 100年前
[22:07] 還要來得更為顯著
[22:08] 大家認為買不到的風險
[22:10] 遠遠大於過度壓制的風險
[22:13] 為什麼呢
[22:14] 因為大家相信
[22:15] 在川普任期底下
[22:16] 他不允許股票市場
[22:18] 至少在中期選舉前不能崩盤吧
[22:21] 所以每一次的回撥就變成了買點
[22:23] 這個是市場的心理主流情緒
[22:25] 大家已經開始接受
[22:26] 就好像很多人已經開始接受
[22:28] 房價好像長期以來只會上漲了
[22:30] 那我大概就是
[22:31] 看能不能買到符合我意願的房子
[22:34] 很多股市的想法也是如此
[22:35] 股市大概等我老了
[22:37] 股價應該還是創下列舉新高的
[22:39] 那我應該就是選擇逢低的時間點開始步進
[22:42] 每個人都有這樣的想法
[22:43] 價格就一路的往上推升
[22:45] 加上我們現在觀察到
[22:46] 由於傳產股還是有價格的推升
[22:48] 它其實某種程度
[22:50] 還是符合我們過去對於總體經濟形勢預判的
[22:53] 製造業上行迴圈已經正式展開
[22:55] 我們過去提到因為臺灣的PNI已經來到57那個很標準賣產值的帶貨槽一下就上去了美國製造業PNI這一次我們提到iSIM PNI已經來到52.6它就不單純是重返擴張區間
[23:09] 這個是2022年以來的最大增幅
[23:12] 主要是由新訂單和生產指數的
[23:14] 大幅跳升所帶動
[23:16] 但是結構上還是有點雜音
[23:18] 一個是客戶端的庫存正在大幅下滑
[23:21] 代表其實還是有補庫存的可能
[23:23] 另外一方面投入成本還是有點高
[23:25] 可是我們細看
[23:27] 來到52.7意味著什麼
[23:29] 終於突破了22年到25年的庫存調整
[23:32] 臺灣是22年23年就調整差不多
[23:35] 24 25年就回來了
[23:36] 美國是一路調整了三年
[23:39] 製造業就是起不來
[23:40] 好不容易在這個月終於起來了
[23:42] 我們仔細觀察
[23:43] 每一次美國的ICMP在50以下
[23:45] 是不是就是庫存回撥時間點
[23:47] 是啊
[23:48] 比如說2022年
[23:49] 2020年
[23:50] 18年美洲貿易戰
[23:52] 15到16年上升股災
[23:54] 12年到13年歐債危機
[23:56] 還有08年金融海嘯
[23:57] 低於50就是股市買點
[23:59] 所以過去三年
[24:00] 很奇怪
[24:02] 股市一直斤斤漲
[24:03] 結果都是買點
[24:03] 現在好不容易突破到50以上
[24:06] 是否意味著
[24:07] 庫存迴圈的上升週期已經到來
[24:10] 這也是為什麼科技股的資金
[24:11] 開始重新流往實體製造業
[24:13] 或者傳產的根本原因
[24:15] 因為看起來
[24:16] 美國的經濟底氣
[24:18] 已經來到迴圈性的上行推升
[24:20] 所以同一句話
[24:21] 同一個資料
[24:22] 放在不同的語境裡頭
[24:24] 有時候我們就會得出不同結論
[24:25] 你說資金輪動
[24:27] 科技股走弱
[24:28] 資金從成長轉往迴圈股
[24:31] 黃金衝高
[24:32] 有些人講的
[24:33] 那就是一個牛市的健康擴散
[24:35] 有些人認為
[24:36] 這個很有可能科技股的鬆動
[24:38] 反而市場轉往傳產股來做避險
[24:41] 那是一個泡沫晚期的警訊
