[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼甚至在今年首次跌破了4.7万点的关卡
[07:51] 我真的不认为他们参加世界杯会是合适的
[07:55] 感谢你对于此事的关注
[07:57] 还揶揄了一下
[07:58] 因为伊朗最近要退出FIFA
[08:00] 不跟美国队提了
[08:02] 当然川普就继续揶揄一下
[08:05] 这件事情就没完没了
[08:07] 每次以为要停火
[08:09] 其实是加柴火
[08:10] 那不管如何说
[08:11] 从历史经验来看
[08:13] 到底油价当前
[08:14] 80%左右的涨幅
[08:16] 算不算极度夸张呢
[08:18] 从每一次重大地缘战争冲突来看都会导致油价的上涨90年的波斯湾战争两个月以内价格就上涨了75%98年亚洲金融危机
[08:28] 油价在两年内飙升超过200%
[08:31] 2000年的中国崛起
[08:32] 和伊拉克战争引发的商品超级循环
[08:36] 油价从21块飙到145块
[08:39] 涨幅是600%
[08:40] 金融海啸之后的全球货币宽松
[08:42] 也再次推动油价的上行
[08:44] 所以从总体涨幅来看
[08:46] 目前现在的涨幅大概类似于波斯湾战争
[08:49] 和当时金融海啸之后
[08:53] 陆续宽松所造成的价格上涨
[08:55] 那在这样效果底下
[08:57] 等同于也不是说事情严重到
[09:00] 过去停滞性通膨的地步
[09:02] 但是肯定现在油价上涨幅度也不低
[09:05] 一定需要有和平讯息
[09:07] 释出缓和的局面
[09:09] 那么对于美国来看
[09:11] 川普刚才讲归讲
[09:12] 不过在具体而言
[09:14] 他即将采取一系列的进一步打击政策
[09:17] 自从我们看到这一次全球战略原油时
[09:20] 被陆续释放以后
[09:21] 对于原油价格大击不大
[09:23] 美国也准备要进行百年航运法的松绑
[09:26] 根据琼斯法案
[09:28] 在美国港口之间运输的货物
[09:30] 必须要使用美国建造
[09:32] 悬挂美国国旗
[09:33] 而且大多数由美国企业持有的船只
[09:36] 这项规定在过去200年的历史当中
[09:40] 限制了可用于国内运输的邮轮的数量
[09:43] 但是长期以来
[09:44] 因为他受到海事工会的强力支持
[09:46] 也要支持本土的航运业
[09:48] 但白宫目前正在进行
[09:49] 准备30天内的放宽限制
[09:51] 允许成本较低的外国邮轮
[09:54] 运送能源和化肥等商品
[09:56] 例如把墨西哥湾的原油
[09:58] 运往美国的东岸炼油厂
[10:00] 或者把燃料运到人口密集区
[10:03] 白宫表示说
[10:04] 这是主要来自于国家安全
[10:06] 和能源供应的稳定考量
[10:08] 美国的能源是无余的
[10:10] 相对于亚洲经济体
[10:11] 这我们都知道
[10:12] 但重点在于
[10:13] 应该尽可能淡化一系列的监管
[10:15] 放宽航运法
[10:17] 确保呢
[10:18] 因为美国刚好也宣布
[10:20] 要把战略运油
[10:21] 释放1.7亿桶的释放
[10:23] 那这样的一个消息
[10:24] 某种程度都意味着
[10:25] 川普其实现在很重视这件事情
[10:28] 对于通膨压力的传导
[10:29] 原因很简单
[10:30] 如果我们细看
[10:31] 整个26年美国参议院控制权的预期
[10:34] 在短期内已经开始收敛了
[10:36] 那大家预估
[10:37] 参议院基本上
[10:38] 共和党还是保有一定程度的优势的
[10:41] 即便是改选
[10:41] 但是目前共和党被押注54%的几率
[10:45] 能够赢得参议院
[10:46] 民主党是四期
[10:47] 两者差距在过去几天正在快速收敛
[10:50] 就代表着基本上很明显
[10:53] 就是汽油价格的传导
[10:54] 对于共和党民调的下滑
[10:57] 产生的抑制效果
[10:58] 那另外一方面呢
[10:59] 是我们看到市场在Polymarket当中赌盘
[11:02] 去预测川普对于结束伊朗战事的时间点
[11:05] 开始越来越长了
[11:07] 整体预期
[11:08] 大家已经拖到接近六月份左右
[11:11] 3月15号前结束几率的可能性是5%
[11:14] 就大家已经排除短期停火的可能
[11:16] 本月月底3月31号结束的几率是37%
[11:20] 一样不高
[11:21] 但是4月30号稍微来到76%
[11:24] 6月来到86%
[11:26] 等同于大家预估这场战事
[11:28] 可能会耗时一个季度以上
[11:30] 一个季度汽油价格都是这种价格
[11:33] 那川普中级军局真的不用选了
[11:35] 所以很多人当然会质疑
[11:36] 说政府当前目前的作战构想
[11:39] 虽然作战战术上非常的成功
[11:41] 但是战争的长期规划
[11:44] 似乎不太完整
[11:45] 白宫其实已经不打算
[11:48] 再摧毁伊朗进一步的计划了
[11:50] 因为能炸都已经炸完了
[11:51] 可是不知道怎么停止
[11:53] 那官员给出的答案是
[11:55] 可能会继续轰炸
[11:56] 可是那就变成战争
[11:58] 可能变成无限延长的冲突
[12:01] 那荷姆治海峡的航运安全
[12:02] 也没有太明确的方案
[12:04] 全球五分之一的石油
[12:05] 都必须要经过这条海峡
[12:07] 一旦失控
[12:08] 油价和全球市场
[12:10] 可能会受到非常显著的剧烈震荡
[12:13] 所以最后还是看川普
[12:14] 会如何解除这场危机
[12:17] 但是有另外一种角度
[12:18] 过去的经验是
[12:20] 我们过去提过
[12:21] 从关税战到委内瑞拉总统被抓
[12:25] 到格林兰事件
[12:26] 似乎这件事情也不需要结束
[12:28] 他只要开启下一个事情
[12:31] 我们就会把上一个事件陆续的淡忘了
[12:34] 乌鲁战是打了那么久
[12:35] 油价也不会一路的往上涨
[12:36] 所以这个是一个
[12:38] 值得大家观察的重点
[12:39] 我们就看川普会如何
[12:41] 成功地解决这一次的危机
[12:43] 因为过去的危机
[12:44] 感觉都比这一次
[12:45] 还要稍微来得大
[12:46] 关税战肯定比现在来得严重
[12:48] 关税战结束了吗
[12:49] 昨天还301调查
[12:51] 关税战也没结束
[12:52] 但市场会逐步地习惯
[12:54] 这种事件上的冲击
[12:56] 就看川普
[12:57] 要怎么处理这样的一个局面
[12:59] 只要你成功了
[13:00] 对不对
[13:01] 最后即便事情发生的经过
[13:04] 大家可能会予以质疑
[13:06] 但是只要选票投给你就可以了
[13:08] 只要你成功了
[13:09] 丑是耐看的
[13:10] 胖是圆润的
[13:12] 短是精干的
[13:13] 黑是质感
[13:15] 短是精华的
[13:16] 什么缺点都圆得过去
[13:20] 所以也不用特别担心
[13:21] 我们真正观察重点在于
[13:23] 这一次事件背后
[13:25] 它所形成的全球通膨溢出效果
[13:28] 能不能缓解
[13:29] 刚才跟投资朋友提到
[13:30] 其实从地缘政治风险指数来看
[13:33] 有高
[13:34] 但是其实也没有到失控的地步
[13:36] 大家都知道这件事情是有点严重
[13:38] 但是也没有到要崩盘的地步
[13:40] 就是这种心态
[13:41] 持续让股市高位震荡
[13:44] 一天大涨一天大跌
[13:45] 最近伊朗这轮战事里头
[13:47] 它有一个很刺眼的现实是什么
[13:49] 就是哪怕最高领袖已经遇袭身亡了
[13:52] 国内也出现了大规模的流离失所
[13:55] 但是你还是可以感觉到
[13:57] 伊朗政权短期内没有立即崩塌的迹象
[13:59] 有没有可能
[14:01] 人类最强的凝聚力
[14:03] 不一定是利益
[14:04] 也不一定是制度本身
[14:06] 它是某种被神圣化的意义
[14:08] 也就是我们讲的宗教
[14:10] 尤其是原教旨主义
[14:11] 你看纵观人类历史
[14:13] 尤其是基督教的历史
[14:14] 人很多时候不是靠物质活着
[14:17] 他不是靠金钱
[14:18] 他靠的是精神层面
[14:21] 我们怎么受苦
[14:22] 我们怎么继续忍耐和战斗
[14:24] 那就形成一种绝对化的战争
[14:27] 压力就很大了
[14:28] 但地缘政治的冲突
[14:29] 我们从宏观指标来看
[14:30] 目前虽然短期内有所上瘾
[14:33] 但是上行幅度还不如2025年当时的空袭行动
[14:39] 第二件事情
[14:40] 距离2022年的高点
[14:42] 其实也还有一段距离
[14:43] 把时间放得更长
[14:45] 现在的地缘政治紧张局势
[14:47] 也完全不如2000年
[14:48] 不管是伊拉克战争
[14:50] 还是二次大战
[14:51] 一次大战左右的高位水准
[14:53] 这么多年的历史经验
[14:55] 我们也看得出来
[14:56] 美国股市都是在战争当中缓步的前行
[14:59] 这件事情也就意味着
[15:01] 其实现在
[15:02] 虽然市场上情绪怪力有点回调
[15:05] 但是也没有到恐慌的情绪
[15:06] 这从宏观指标来看
[15:08] 当然另外一方面
[15:09] 如果是从天然气和石油价格
[15:12] 拿来进行对照
[15:13] 我会发现从历史经验来看
[15:15] 其实这一波跟2022年
[15:17] 俄罗斯入侵乌克兰的市场反应
[15:19] 是相近的
[15:20] 冲突发生之后
[15:21] 油价都快速飙升
[15:22] 反映市场对于供应中断
[15:25] 产生的及时恐慌
[15:26] 不过差别在于
[15:27] 这一次其实天然气市场的反应
[15:29] 比较小
[15:29] 主要是因为乌克兰战士
[15:31] 当时是直接冲击
[15:32] 了欧洲的管线
[15:33] 而中东冲突
[15:34] 现在对于全球天然气输送结构
[15:36] 影响比较有限
[15:37] 你像台湾和韩国
[15:39] 现在也是紧急跟澳洲调货
[15:40] 所以原油价格
[15:42] 因为同样地缘政治的原因
[15:43] 而价格上涨
[15:44] 但是天然气的波动幅度
[15:46] 还是比当年的欧洲能源危机
[15:48] 还要来得小
[15:48] 所以宏观定义来看
[15:50] 目前产生的危机
[15:51] 是比2022年的危机
[15:52] 还要来得小的
[15:53] 那如果把时间拉长来看
[15:55] 这一波的原油价格的冲突
[15:57] 的确出现了明显的跳升
[15:59] 那原油是不是很严重呢
[16:00] 其实距离历史高点还有段距离
[16:02] 从实质油价就把扣除通膨来看
[16:04] 1970年两次的石油危机
[16:07] 和08年的金融危机前夕
[16:09] 都曾经出现过更剧烈的价格飙升
[16:12] 当时的油价实质水准
[16:14] 其实远高于现在
[16:15] 换句话说
[16:15] 目前的油价
[16:16] 它反映了地缘政治风险
[16:17] 带来的短期风险益筹
[16:19] 但它并不像过去
[16:20] 已经出现了结构性的攻击
[16:23] 引发的长期能源危机
[16:24] 代表的是
[16:25] 现在即便全球波动还是很大
[16:28] 但是全球能够承受的能源压力
[16:30] 看起来是比前一次还来得更好
[16:33] 上一次的冲击
[16:34] 其实大家也做了蛮多的能源调整了
[16:37] 现在就是金融炒作的部分
[16:39] 我觉得可能更多是资讯更流通了以前可能只有1000万人去炒原油现在变成了5000万人以前只有1000万人在买ETF现在变成了5000万人
[16:51] 有这样的一个感觉
[16:52] 资讯流通更快
[16:54] 资金的一个集中度
[16:56] 所造成的价格波动也变得更大
[16:58] 这是我的理解
[16:59] 当然从实质经济我们过去有佐证
[17:02] 原因就在于
[17:03] 其实实质经济对于美国经济影响
[17:04] 就没这么大
[17:05] 不管是我们过去做GDP的回撤
[17:07] 还是通膨的回撤都是如此
[17:08] 和姆兹海峡
[17:10] 真正占各国的总体进口来源
[17:13] 影响最大的是哪里
[17:15] 反而是南韩65%
[17:17] 还有日本72%
[17:18] 中国大概50%
[17:20] 印度50%
[17:21] 欧洲18%
[17:22] 美国呢
[17:23] 跟美国有关的航运的运输量
[17:25] 大概只有占2%而已
[17:27] 这说明着美国就是怕通膨
[17:29] 传进去
[17:30] 让我的联准会降息计划拖累
[17:32] 根本就不是美国经济造成重大影响
[17:35] 美国是道琼下结739.1.56%
[17:38] 刷4万6677点
[17:40] 标普下跌103.1.52%
[17:42] 刷6672点
[17:43] 纳指下跌404.178%
[17:45] 刷22311点
[17:47] 非半下跌271.343%
[17:49] 说在7643点
[17:51] 又要回公园搭帐篷了
[17:54] 好险我们的投资朋友都很年轻
[17:57] 搭帐篷速度比较快
[17:59] 但现在这种位阶还没有破底
[18:02] 不过整个头部看起来月均线
[18:05] 四大指数都开始往下落了
[18:07] 排气垫ADR下挫了5.03%
[18:09] 从整个宏观指标来看
[18:12] 美欧股市的各大板块
[18:13] 今年陆续进入到负报酬了
[18:16] 科技股的板块压力蛮大的
[18:17] 平均总跌幅大概是接近8%了
[18:20] 其他像是消费性电子产品
[18:22] 或者软体服务类
[18:23] 卖压还是相当沉重
[18:25] 那今年整个标普
[18:26] 唯一收涨的板块
[18:28] 看起来只剩一个了
[18:29] 就是能源板块
[18:30] 昨天雪佛龙股价
[18:32] 再度创下了历史新高
[18:34] 可口可乐也创下历史新高了
[18:35] 不过我们刚才跟投资朋友提到
[18:37] 在短期内按照过往的回撤经验
[18:40] 通常在事件爆发的一周到两周内
[18:44] 通常价格会有非常显著的卖压
[18:46] 正常来讲地缘政治冲突在两周后
[18:50] 它会有一个适度的释缓作用
[18:52] 这个时候就要看一下
[18:54] 政策所造成的拉抬作用是否能够浮现
[18:57] 这是从过去的地缘政治经验来看
[18:59] 也就是代表着这件事情严不严重
[19:02] 现在的跌幅都无法确保它严重
[19:05] 因为这种涨幅
[19:06] 油价的涨幅
[19:07] 在过去历史经验是很常见的
[19:09] 那重点在于过了两周以后
[19:12] 原油汽油价格还在上涨
[19:14] 那么就代表着股价的压力持续产生
[19:17] 这个时候就视为严重了
[19:19] 所以从过去地缘政治经验来看
[19:20] 会给他两周的原油价格的传导
[19:23] 那看一下两周以后
[19:24] 也就是本周一过
[19:25] 能否在短期内
[19:27] 有释出进一步的利多讯息
[19:30] 来进行油价的压制
[19:32] 其实我们从过去经验来做观察
[19:34] 从天数来做思维
[19:36] 2000年以来
[19:37] 比较明显的三次的全球通膨环境
[19:39] 像是08年11年和22年
[19:41] 虽然背景各不相同
[19:42] 但是共同点都是
[19:44] 布兰特原油
[19:45] 曾经长时间维持在每桶100美元以上
[19:47] 08年是因为全球需求的大反弹
[19:50] 供给成长的停滞
[19:52] 11年是阿拉伯之春
[19:54] 还有利比亚的内战
[19:55] 22年是乌尔战
[19:56] 是所引发的能源冲击
[19:57] 还有疫情之后所造成的供给链断链
[20:00] 那现在呢
[20:01] 我们细节观察
[20:02] 按照历史上
[20:03] 大多数的战争和恐攻事件
[20:05] 通常股价必须要在两周内触底
[20:08] 三周左右必须要收复失地
[20:10] 如果无法
[20:11] 那就是其他事件的冲击了
[20:13] 比如说可能是网络泡沫破灭了
[20:15] 可能是因为乌二战事
[20:17] 它已经正式进入到中长期的库存下行循环
[20:21] 比如说22年3月4月
[20:23] 当然一开始叠是叠乌二战是吗
[20:24] 再往下叠就不是叠这件事情了
[20:26] 再往下叠就是2021年
[20:28] 产能太多所造成的库存过剩
[20:30] 我们都很清楚
[20:31] 2022年真的股价摔那么惨
[20:33] 是因为2023年
[20:34] 当时发现太多笔电卖不掉
[20:36] 太多二手车卖不掉了
[20:38] 所以其实战争它是一个导火线
[20:41] 但是未来股市的走向
[20:42] 它还是取决于基本面的变化
[20:44] 我们再把它做更进一步的总理
[20:47] 来看一下整体下跌幅度
[20:49] 其实标普白指数
[20:50] 总体在恐攻事件
[20:52] 或者在重大战争的时候
[20:54] 当日我们看到下跌幅度
[20:56] 所造成的冲击
[20:57] 基本上通常是以15%作为一个定毛
[21:01] 那比包谱从高位这样摔下来
[21:04] 还没有跌到15%
[21:05] 不过整体盘整区间已经排得有点久了
[21:09] 从2000年以来
[21:10] 全球出现的三次的明显通膨上升周期
[21:13] 刚才提到
[21:14] 位阶都不太一样
[21:15] 但通常除了像是11年到15年那种
[21:19] 刚好是景气在08年的复苏
[21:20] 通常在短期内的冲击
[21:23] 必须要在一个月以内看油价回档
[21:26] 所以时间看起来是油价冲起的
[21:29] 最重要的关键水位
[21:31] 市场上其实对原油价格的大幅波动
[21:34] 已经见怪不怪了
[21:35] 现在动能交易量这么大
[21:36] 虽然每一次的讯息都会引发舆论
[21:39] 但是通常必须要在一周到两周内建高点
[21:42] 30天以内
[21:43] 基本上原油的涨幅都必须要快速的收敛
[21:46] 不然传导到通膨问题压力就更大了
[21:49] 所以我们回过头来看
[21:50] 其实面对地缘政治冲突
[21:52] 市场最容易出现的反应
[21:54] 就是大惊小怪
[21:56] 从投资角度而言
[21:57] 外部性的事件
[21:58] 往往只是短期噪音
[22:00] 战争 制裁 航运冲突
[22:02] 它当然会带来情绪和波动
[22:04] 但真正决定长期资本流向的
[22:07] 还是这些产业基本面
[22:08] 如果全球的资本市场
[22:10] 现在最核心的主线
[22:11] 要细节来看
[22:13] 我觉得还是AI所带来的投资算力
[22:15] 能源冲突就持续
[22:17] 台湾迟早会进行好能源调配
[22:20] 迟早要跟澳洲美国多调一点货
[22:22] 或者做一些资本上的重新调整
[22:26] 那更长久以来
[22:27] 那就是绕道
[22:28] 以后油就不从那边运了
[22:30] 换另外一种方式
[22:32] 可能从阿拉伯
[22:34] 不管是阿拉伯联合大公国
[22:36] 还是阿拉伯地区
[22:39] 用红海的方式重新的运过来
[22:41] 从陆地管线
[22:42] 最惨就是这样子
[22:44] 整体而言
[22:45] 我相信资料中心的建设
[22:46] 和半导体循环之下
[22:48] 相比之下
[22:49] 多数的地缘政治冲突
[22:51] 它还是在市场的节奏上
[22:53] 造成短暂的干扰
[22:54] 很少能够改变产业的长期趋势
[22:57] 所以我对于投资人员
[22:58] 我的看法仍然是一样
[23:00] 与其被外部的冲击
[23:02] 吓到大惊小怪
[23:03] 你真正该放的注意力
[23:05] 是回来看一下
[23:06] 驱动未来十年资本支出
[23:09] AI的基本面
[23:10] 可能来得更为骤应
[23:11] 有外部性冲击
[23:13] 你就把它当成一个减便宜的机会
[23:15] 我看到的是这样子
[23:16] 相对于危机
[23:17] 我觉得如果是外部性冲突
[23:19] 看到更多是机会
[23:20] 所以觉得不一定要大惊小怪
[23:22] 这给投资朋友做一些思考
[23:24] 妹妹跟姐姐一起看动画
[23:26] 里面很多妖怪
[23:28] 有时候又出现妖精
[23:29] 妹妹就问
[23:31] 妖精跟妖怪到底要怎么区分
[23:34] 姐姐说看凶
[23:36] 大惊小怪
[23:38] 所以没事不要大惊小怪
[23:41] 有时候外部性冲突
[23:42] 发生一次发生两次
[23:44] 那么多的历史经验都已经证明了
[23:46] 外部性冲突
[23:47] 它只是一个引爆点
[23:48] 就好像2020年的新冠疫情
[23:50] 但是真正进入到
[23:52] 你会发现外部性冲突
[23:53] 都跌一个月结束
[23:54] 但是库存循环
[23:56] 都跌给你两个季度
[23:58] 甚至跌一整年的
[23:59] 你看一下过去几年经验
[24:00] 22年的库存调整
[24:01] 18年的库存调整
[24:03] 15年的上证股灾
[24:05] 加上库存调整
[24:06] 11年的欧债危机
[24:07] 加上库存调整
[24:08] 每三到四年
[24:09] 都会重新的反复发生
[24:11] 可是外部性冲突就不一定了
[24:13] 比如说关税战
[24:14] 新冠疫情
[24:15] 或者有时候跌一个月
[24:16] 都跌不到又涨回来了
[24:18] 所以没事不要大惊小怪
[24:19] 所以有些人当然看到的是危机
[24:21] 有些人看到的是机会
[24:23] 有些人看到的是折价
[24:25] 有些人看到的是战火
[24:26] 有些人看到的是恐慌
[24:28] 有些人看到的是航道的封锁
[24:30] 有些人看到的是资产的错杀
[24:33] 有些人看到的是地缘政治
[24:34] 有些人看到的是供需结构
[24:37] 你潇洒的人
[24:38] 听到我要跟你绝交
[24:40] 你头也不回
[24:41] 敏感的人
[24:42] 听到我要跟你绝交
[24:44] 痛哭流涕
[24:45] 下流的人
[24:47] 听到我要跟你绝交
[24:48] 还想说那是什么知识
[24:50] 每个人想的
[24:51] 看的角度都不太一样
[24:53] 可是你用一个时间周期
[24:55] 来做更进一步的思考
[24:57] 你会发现
[24:57] 这很多事情
[24:59] 历史上已经重复的发生过
[25:01] 那当然不一定百分之百会重复
[25:03] 可是你可以了解它的韵律在哪里给投资朋友做一些思考好8点56分我们继续往下看这也就说明着当前对于台股而言真正的定毛还是来自于基本面
[25:15] 我们看一下最近所释出的数据
[25:18] 基本上台股在本季度财报
[25:20] 表现也非常不错
[25:21] 整个26年
[25:22] 台股盈余年增幅预估会从原本的20%
[25:26] 上行到32%
[25:27] 这是凯基的预估
[25:28] 如果以修正前和修正后
[25:30] 这有些就真的很夸张
[25:32] 记忆体
[25:33] 预估今年盈余成长率是1732%
[25:37] 那你说台股有没有底气呢
[25:40] ABF成长是222%
[25:42] 一线晶圆代工44%
[25:44] 散热79%
[25:46] 电源供应器51%
[25:48] 设计服务IC设计86%
[25:50] 二线晶圆代工都有20%
[25:52] 手机零组件31%
[25:54] 通波机板54%
[25:55] 除了面板是的确压力比较大以外
[25:57] 基本上台股在今年的这种
[26:00] 标准的库存上行循环
[26:02] 是非常明显的
[26:03] 去年就是库存调整期
[26:04] 那现在就是走出了去年的疲惫期
[26:07] 台湾也成为了后疫情时代
[26:09] 少数具备高成长动能的发达经济体
[26:12] 根据IMF和瑞银最新所给予的数据
[26:15] 在整个25年
[26:17] 台湾GDP大概是3.9万美元
[26:19] 已经超过了南韩的3.6万
