[00:00] 投资朋友欢迎收听早晨财经速解读
[04:34] 而且时间点差不多就两到三周
[04:36] 所以现在时间线
[04:37] 感觉好像反应的差不多
[04:39] 可是从总跌幅而言
[04:41] 看起来只是高位
[04:43] 刚刚破底而已
[04:44] 推过头来看
[04:45] 现在更进一步的问题在于
[04:47] 没有股市又不是没跌过
[04:48] 我们当然知道
[04:49] 涨高了怎么会回跌
[04:51] 管它是因为AI财报不如预期而跌
[04:53] 还是因为中东战事而跌
[04:54] 还是因为通膨升温等等
[04:56] 现在更大的问题在于
[04:57] 避险效果的失灵
[04:59] 我们看到股市不是不会跌
[05:02] 而是跌的时候没有地方可以躲
[05:04] 标普牌指数这样子
[05:05] 技术性的修正还不到10%
[05:07] 代表你要让它继续修正
[05:09] 都算是一个合理的范围
[05:11] 但是我们看到股价在跌
[05:14] 债券价格也在跌
[05:16] 就连黄金价格都已经回到4500到4600的关卡
[05:19] 这代表的资金看起来并不是单纯从风险资产转移到避险资产
[05:25] 全面撤离
[05:26] 这种平衡形形式
[05:28] 所有资产一起承压
[05:30] 好像回到2022年一样
[05:31] 所以没办法
[05:32] 通常这件事情发生的时候就代表的市场的利空
[05:35] 并不是单纯的从需求端的疲惫开始
[05:38] 而是供给端出问题了
[05:40] 因为不只是经济不好
[05:42] 而且通膨会升温
[05:43] 正常来讲经济不好通膨下滑
[05:45] 那美债当然
[05:46] 以及黄金会受到一定程度的吹捧
[05:48] 因为降息空间变大
[05:49] 可是平衡形形是就是
[05:51] 刚好这次的利空
[05:53] 就是来自于通膨的升温
[05:55] 这就是市场上
[05:56] 现在相对大的压力
[05:58] 那么回过头看
[05:59] 礼拜六的时候
[06:00] 川普已经对伊朗发出了明确的威胁
[06:02] 要求在48个小时之内
[06:05] 重新开放荷姆治海峡
[06:07] 那如果按照时间线
[06:08] 因为他礼拜六说的
[06:09] 所以就是礼拜二之前
[06:11] 要看到伊朗重新开放
[06:13] 否则会对伊朗的电力设施来发动攻击
[06:16] 甚至点名会直接摧毁最大电厂
[06:19] 这也代表冲突的正式升级
[06:21] 从原本针对军事和能源设施
[06:23] 进一步扩展到民用基础建设
[06:26] 由于荷姆这海峡
[06:27] 还是存在了20%的石油和天然气运输
[06:30] 现在原油价格飙升到100到110左右
[06:33] 持续震荡
[06:34] 这种威胁当然也透露出这个局势的矛盾
[06:37] 一方面是美国很明显希望
[06:39] 快速能够恢复航运来稳定能源市场
[06:42] 我们的问题我们后续继续谈
[06:44] 但你先把航运给恢复
[06:46] 不然我就要炸你电厂了
[06:47] 另外一方面
[06:48] 攻击伊朗的电力系统
[06:50] 虽然会重创伊朗的国内运作
[06:52] 但他也很明显
[06:53] 没办法直接解决能源的供应问题
[06:55] 仍然是有可能引发
[06:57] 进一步的大规模的报复手段
[06:59] 所以只是让整个局势
[07:01] 相对而言更加升温
[07:02] 当然伊朗伊斯兰革命卫队
[07:04] 在当天就直接表示了
[07:06] 如果川普真的去袭击
[07:08] 我们的民生电厂
[07:10] 伊朗会立即采取四大动作
[07:12] 第一完全关闭荷姆兹海峡
[07:14] 第二打击以色列的所有发电站
[07:17] 你为什么不打美国
[07:18] 打击以色列所有发电站
[07:19] 第三能源信息技术设施
[07:22] 也会被我们攻击
[07:23] 最后我们要彻底摧毁
[07:25] 中东地区所有持美国
[07:28] 摧毁所有中东地区
[07:30] 所有美国持股的公司
[07:32] 还不是美国的公司
[07:33] 是有美国人持股的公司
[07:35] 所以在这样效果底下
[07:37] 这是吹牛比赛
[07:38] 咱就等礼拜二
[07:40] 看谁敢干大事
[07:41] 可能到时候就跟上海滩赌圣一样
[07:45] 大家就手按的那个按钮
[07:47] 那你先按
[07:48] 我先设
[07:49] 你先设
[07:50] 你先开
[07:51] 开牌
[07:52] 你先开
[07:53] 你先开
[07:54] 你开先
[07:55] 你不肯开先
[07:56] 那不如我们不要赌了
[07:57] 把钱分掉
[07:58] That's a good idea
[07:59] 有点high
[08:01] 你设了吗
[08:03] 你先设
[08:03] 你设不肯设吗
[08:05] 那我们不如不设了
[08:06] 听起来怪怪的
[08:07] 不管怎么讲
[08:08] 我们讲的就是市场上的博弈
[08:10] 在礼拜二会有一个新的分水岭
[08:12] 那礼拜一当然就是双方的纠结区
[08:15] 从荷姆斯海峡的封锁来看
[08:18] 全球经济当然等同于踩了刹车
[08:21] 最后的局势还是取决于双方的紧张局势何时能够降温那看起来有点难川普当然现在面临的两难局面比较高一点对于美国对于美国股市来讲也是比较大的对于川普而言
[08:34] 一方面他当然想要彻底击败伊朗
[08:37] 取得军事上的胜利
[08:38] 但另外一方面
[08:39] 荷姆这海峡的封锁
[08:40] 油价的飙升
[08:41] 已经直接冲击到
[08:42] 全球的经济和通膨问题
[08:44] 更麻烦的是
[08:45] 川普在讯息上
[08:46] 还是有点前后矛盾的问题
[08:48] 一方面是
[08:49] 美国对于当前的局势
[08:51] 有进一步
[08:52] 可能采取的军事行动
[08:54] 但另外一方面
[08:55] 基本上又想要摆脱过去中东战争离岛
[08:58] 可是时间线拖得越长
[09:00] 大家的质疑性当然会越高
[09:02] 白宫目前几乎已经动用了所有工具
[09:04] 去试图围住当前的局势
[09:07] 包括释放战略原油储备
[09:09] 包括放宽对伊朗和俄罗斯石油的限制
[09:13] 包括鼓励企业增产
[09:14] 这些效果看起来都有点
[09:16] 效果其实蛮有限的
[09:18] 并没有想象中
[09:19] 有对于原油价格想象中的抑制效果
[09:22] 同时间美国和欧洲盟友这段时间
[09:24] 关系其实也在恶化
[09:26] 政策的反复也削弱了协同应对的能力
[09:29] 千呼万唤
[09:30] 结果还是没有人把船给开出来
[09:32] 现在的问题就不只是汽油了
[09:34] 而是柴油
[09:35] 因为当前柴油几乎支撑整个实体经济的运作
[09:39] 从农业的机具到建筑设备
[09:42] 到卡车到火车到物流运输
[09:44] 全部都依赖它
[09:45] 柴油价格现在每家人已经冲高到五美元每桶
[09:49] 柴油对于通膨的影响具有渗透性
[09:51] 市场普遍的预估是柴油价格每上涨10%
[09:54] 大概就会推升整体CPI 0.1
[09:57] 如果维持目前的高价
[09:59] 通膨可能在三月份数据出来就要增长0.4%
[10:03] 那对于荷姆治海峡
[10:04] 现在原油价格突破100美元的情况底下
[10:07] 这种短期压力就很难消失
[10:09] 所以现在高油价
[10:10] 它其实对于经济的活动的影响正在慢慢的拉升
[10:14] 如果我们细节观察
[10:15] 无论是汽油柴油还是航空燃油
[10:19] 从三大区域
[10:20] 我们看美国亚洲欧洲
[10:22] 几乎都同步出现了
[10:24] 单日跳升10美元的幅度
[10:26] 尤其柴油和航空燃油
[10:28] 目前已经逼近这几年的高点
[10:30] 准备要突破2022年高点了
[10:32] 更关键的是
[10:33] 2022年以来天然气价格
[10:35] 当时的绝对高点
[10:36] 现在部分地区准备要做突破
[10:39] 你像欧洲和亚洲
[10:41] 它是准备要进行突破
[10:42] 那美国还好
[10:43] 这其实也看得出来
[10:44] 这对于美国经济本身影响
[10:46] 的确看起来没有这么大
[10:47] 美国主要还是通膨的问题
[10:49] 真正苦的是亚洲的天然气
[10:52] 欧洲的天然气
[10:53] 亚洲的原油
[10:54] 这些市场相对来的大
[10:55] 为什么这样讲呢
[10:56] 因为如果我们细看
[10:57] 张图表示美国的原油库存
[10:59] 它已经连续四周大幅上扬了
[11:02] 来到24年6月份以来的最高水位
[11:04] 这代表着美国现在的石油进口和出口都明显增加
[11:08] 尤其是来自于墨西哥湾的进口放下多年新高
[11:11] 这也可以合理解释
[11:12] 为什么现在美国的油气股涨幅这么亮丽
[11:15] 转翻了
[11:16] 那中东的产油市占率
[11:18] 全部被美国给夺走了
[11:19] 那现在最大的问题在于
[11:21] 因为美国油价
[11:22] 西德州原油价格
[11:23] 相对于全球基准价格仍然偏低
[11:25] 其实就说明
[11:26] 美国现在本土的原油看起来不缺
[11:28] 但问题在于
[11:30] 价格的上涨主因并不是供需
[11:32] 而是战争所带来的供应风险
[11:34] 其实美国是不缺油的
[11:37] 可是国际油价仍然属于高度联动
[11:40] 所以深圳的问题还是来自于通膨
[11:42] 它不像亚洲经济体
[11:43] 亚洲经济体是打仗超过三个月
[11:46] 那就有一点缺油
[11:47] 或者缺天然气的问题了
[11:49] 那美国的部分看起来就是
[11:51] 希德克原油和布兰特原油价格的
[11:53] 价差的脱钩
[11:54] 那这套逻辑
[11:55] 石油市场的分裂
[11:57] 基本就意味着地缘政治结果
[11:59] 所造成的冲击
[12:00] 美国当前的最大问题还是
[12:02] 如何把国际油价给打下去
[12:04] 但本土而言
[12:05] 其实并没有立即性的原油价格冲击
[12:08] 在这样效果底下
[12:09] 油价长期以来
[12:11] 我们看到因为长期都在60到80美元左右
[12:15] 其实随着全球货币供应的持续拉升
[12:19] 原油价格一直保持在60到80
[12:21] 它没有完全的反映同盆这件事情
[12:23] 就说明着原油在全球的能源市场当中
[12:27] 它是具有一定程度的通缩抑制效果的
[12:29] 但是随着一次性的跳升这么多
[12:31] 供给减少太多
[12:33] 市场预期的恐慌程度也能够因此飙升
[12:36] 因为已经习惯太久这样的一个油价了
[12:38] 我们看26年伊朗战争
[12:40] 大概影响了接近15%左右的原油市场
[12:44] 价格确实大涨
[12:45] 1990年代
[12:46] 当时伊拉克入侵科威特时
[12:48] 基本上整体供给的冲击
[12:50] 大概也只有8%
[12:51] 但油价飙升幅度来得更快
[12:53] 说明大家已经尽可能淡化这个情绪了
[12:56] 可是现在的问题影响还是很大的
[12:59] 2022年的乌尔战
[13:00] 是实际供给的影响只有1%
[13:02] 价格也是上扬
[13:04] 所以这代表市场交易的
[13:05] 现在其实并不是真的供给缺口完全断掉
[13:08] 美国还是有油的
[13:09] 只是大家在担心未来会不会更糟
[13:12] 那也换句话说
[13:12] 只要一核弹
[13:13] 也许瞬间原油价格的回挡幅度
[13:16] 就会相当剧烈
[13:17] 不过这是对于美国市场而言
[13:19] 对于亚洲市场就不太一样了
[13:21] 最后一批LNG真的快要用完了
[13:24] 尤其是中东出来的
[13:25] 卡达这一次被迫停止液化电燃气之后
[13:28] 因为它的核心设施遭到非单攻击
[13:30] 可能要进行永久性的减产
[13:32] 最后一批货
[13:33] 我们预估在三月份的最后一个礼拜
[13:36] 陆续到达亚洲各国
[13:38] 也就是这一次在封锁之前
[13:40] 就已经出的这些邮轮
[13:42] 现在逐步要到货了
[13:44] 那最冲击最明显
[13:46] 当然是亚洲新兴市场
[13:47] 比如说巴基斯坦
[13:48] 它几乎完全依赖卡达的LNG
[13:50] 现在进口已经中断
[13:52] 泰国的部分已经开始限制用油
[13:54] 孟加拉进行实施配给制度
[13:56] 台湾现在已经抢到了短期供应
[13:59] 而且靠美国的供货还可以撑一阵子
[14:02] 但是夏季通常是台湾的用电高峰
[14:05] 跟欧美不一样
[14:06] 欧美通常是冬季
[14:07] 所以像效果底下
[14:08] LNG价格的翻倍
[14:10] 替代能源
[14:11] 比如说像煤炭或者燃料油
[14:13] 现在的炒作问题
[14:15] 也开始进一步上行
[14:17] 如果我们细节观察
[14:18] 把卡达LNG
[14:20] 出口到亚洲市场的比例规模
[14:22] 前面两名很标准的
[14:24] 就是中国和印度
[14:25] 中国和印度是卡达
[14:27] 长期以来最大的买家
[14:29] 不过这两个买家
[14:31] 很大程度
[14:32] 他可以借由跟伊朗问题的和谈
[14:34] 来取得适度的原物料供应
[14:36] 或者中国从俄罗斯调一些货
[14:38] 那台湾是卡达第三大客户
[14:41] 压力就有点大
[14:42] 其他背后有巴基斯坦
[14:44] 有南韩等等
[14:44] 这说明真正第一冲击的
[14:47] 肯定不是美国
[14:48] 而是整个亚洲经济体
[14:49] 那在亚洲经济体当中
[14:51] 中国和印度作为最大买家
[14:53] 还是可以在供应链紧张的时候
[14:55] 拥有更大的溢价权和销货能力
[14:57] 但台湾南韩这些亚洲新兴经济体
[15:00] 压力看起来就有点大了
[15:02] 我们知道在本周
[15:03] 其实油价已经正式上扬
[15:05] 汽油每公升上扬1.8元
[15:08] 柴油价格上涨1.4元
[15:10] 95千汽油来到32.2块
[15:12] 正是站上近年的高点
[15:14] 但关键也并不是涨了多少
[15:16] 其实应该涨更多
[15:17] 按照公示
[15:18] 本来汽油应该要上涨15块
[15:20] 但政府这一次
[15:21] 紧急动用两层机制
[15:23] 把涨幅给压了下来
[15:24] 第一个是亚洲邻国最低价原则
[15:27] 第二是把吸收的比例提高到75%
[15:31] 涨100块
[15:31] 75块
[15:32] 政府直接进行吸收
[15:34] 所以如果我们从细节资讯来看
[15:37] 中油价格的涨幅
[15:38] 不应该只有17.3亿
[15:40] 涨幅来到四成五成
[15:42] 看起来都是很正常的
[15:44] 有网友分享
[15:45] 他最近跟老板提加薪
[15:46] 因为有其他三家公司
[15:48] 一直在联络我
[15:49] 老板说哪三家
[15:50] 台水台电天然气
[15:53] 它已经涨了
[15:54] 但其实应该要涨更多
[15:55] 那当然在种种效果底下
[15:57] 行政院采取过去的五项措施
[15:59] 尝试进行国内物价的控制
[16:01] 那当然我们都知道
[16:03] 最后当然还是纳税人买单
[16:04] 不过呢
[16:05] 短期内台湾的通膨率啊
[16:07] 可能就显示不出来
[16:09] 那这有趣的迹象哦
[16:10] 照来讲三月份通膨
[16:11] 各国都应该要上去了
[16:13] 但有可能三月份台湾通膨不会失控
[16:15] 为什么
[16:15] 因为就由政府的补助
[16:17] 民间消费体量
[16:19] 看起来就不会有大幅度的失控情况
[16:21] 给投资朋友做一些观察
[16:22] 如果现在依照国际的油价
[16:24] 涮下来
[16:26] 我们要涨15元
[16:28] 但是我们一再的核算
[16:32] 我们政府吸收了13.2元
[16:36] 经过加油站的忠语
[16:38] 所以是谢谢
[16:39] 去加油的时候
[16:41] 要感受到政府资源
[16:44] 委员员的正规
[16:45] 那就谢谢中油
[16:48] 维护我们台湾
[16:50] 就是良好的油价
[16:52] 谢谢谢谢谢谢态度良好但我们刚才跟投资朋友观察到的确如果是从亚洲各国的油价来看从九二汽油
[17:03] 韩国大概38.87块
[17:05] 日本38.31
[17:06] 中油大概就维持在30块左右
[17:08] 95无纤汽油的部分
[17:10] 南韩是47块
[17:12] 新加坡86块
[17:13] 中油也不过32块
[17:15] 从柴油来看
[17:16] 台湾只有29块
[17:18] 香港130
[17:19] 新加坡90
[17:21] 日本39
[17:22] 韩国38
[17:23] 我们讲的是每公升
[17:25] 从这件事情已经看得出来
[17:27] 台湾的油价
[17:28] 这一波的动涨效果应该是非常惊人
[17:31] 要不是台湾是一个海岛
[17:33] 应该各国都跑来台湾加油了
[17:35] 这是第一个
[17:35] 我们看到台湾政府采取的动涨措施
[17:38] 第二步
[17:39] 大家有观察到
[17:40] 本周最大的观察重点
[17:42] 就是核电回来了
[17:43] 这一次也不是单纯的法甲玩
[17:45] 是能源现实逼出来的结果
[17:47] 这次中东战事
[17:48] 的确对于全球能源冲击
[17:50] 变得极度不稳
[17:51] 台湾又是高度依赖进口能源
[17:53] 在油气剧烈波动底下
[17:55] 电力安全直接变成国安问题
[17:57] 在这样的一个效果底下
[17:58] 特别是核二核三具备再运转条件以后
[18:02] 也算是一个我们看到
[18:04] 台湾政府在政策上的一个重要转变
[18:07] 我们过去提过
[18:08] 其实早从中东能源两周前爆发以后
[18:11] 已经让各国开始思考能源结构
[18:13] 之前因为福岛事故而逐渐退场的核能
[18:17] 现在已经重新回到日本发展的核心
[18:19] 欧洲在过去几周
[18:21] 已经开始反省
[18:21] 过去过度依赖天然气的决策
[18:23] 日本也加速重启核电机组
[18:25] 尤其我们看到
[18:27] 最近美国核能概念股
[18:29] 开始有进一波的资金涌入
[18:31] 也值得做进一步的观察
[18:33] 因为核能
[18:34] 照理来讲
[18:34] 它无法解决这种短期供应的
[18:36] 从重建一直到它发电
[18:39] 搞不好石油危机已经结束多久了
[18:42] 这一次的能源冲击
[18:43] 主要还是因应
[18:44] AI和资料中心的稳定电力需求
[18:47] 也进一步强化核能立场
[18:49] 的确当前如果我们细看
[18:51] 核能在过去五年的
[18:53] 核电装置增加的国家
[18:56] 其实并不多
[18:57] 你像巴基斯坦
[18:58] 在过去五年是增长217%
[19:01] 荷兰57%
[19:02] 其他像中国、印度、韩国、亚美尼亚
[19:05] 基本上都是比较属于
[19:07] 亚洲新银市场开发经济体
[19:09] 那近五年核电装置减少的国家当中
[19:12] 那就很明显了
[19:13] 这个德国是第一优先的
[19:15] 2023年就已经成立非核家园了
[19:18] 台湾是两年之后跟上
[19:20] 大概减少了75%
[19:22] 后续在2025年达到目标
[19:24] 其他像比利时英国都是如此
[19:27] 不过这几年我们看到
[19:29] 各个国家开始重新省思核能政策
[19:32] 来因应当前的AI行情
[19:33] 就是因为AI爆发了
[19:35] 我们要清楚一件事情
[19:36] 即便现在这个时间点
[19:38] 所以我们才说
[19:39] 好像总统府蛮有价值的
[19:41] 因为就算宣布现在核电即将重启
[19:44] 那也是一年以后的事情
[19:45] 根本跟当前的中东冲击
[19:47] 没有太大关系
[19:48] 我们要知道中东暂时
[19:49] 还在侵扰着亚洲经济体
[19:51] 但是即便台湾政府
[19:52] 现在提出核电再运转进化
[19:54] 短期内是无法缓解
[19:56] 任何中东能源的供给压力
[19:58] 现在重点还是来自于
[20:00] 如何跟澳洲和美国
[20:01] 谈进口配合的问题
[20:02] 事实上台电现在三月底
[20:05] 就要送出再运转计划
[20:07] 正式进入到审查程序
[20:08] 那这只是整个流程的起点
[20:10] 我们按照时间线规划
[20:12] 第一个关键时间点
[20:13] 是核安会的审查期
[20:15] 如果我们参考美国和日本经验
[20:17] 通常要一年
[20:18] 也就是说我们谈要不要开始重启
[20:21] 那大概也是2027年的事情
[20:24] 那确认机组是否回到
[20:26] 可安全运转状态以后
[20:28] 还需要逐增的进行设备检验
[20:30] 系统和安全标准的检验
[20:32] 那核安会当然表态没有预设立场
[20:34] 安全过关就会发照
[20:35] 那第二和第三关键
[20:37] 是一个机组本身的自主安全修复以后
[20:40] 你还必须要看老旧机组要不要更换
[20:43] 零组件要不要更换
[20:44] 还有能力回补
[20:46] 现在有谁在读核能的
[20:48] 人都已经出国了
[20:50] 要不然就离开了
[20:51] 因为没有工作机会
[20:52] 现在要如何把这些人给召回来
[20:54] 是第二层问题
[20:55] 一年要处理这个问题有点难
[20:57] 最后就政策拍板
[20:58] 从送审到真正发电
[21:00] 我们看最快可能到2028年了
[21:03] 根本就无法解决
[21:04] 当前的中东能源冲击
[21:06] 所以我们才讲说
[21:07] 现在更大的挑战
[21:09] 其实是在因应AI
[21:10] 而并不是在呼应中东局势
[21:12] 它还是有短期尺度和长期尺度的区别
[21:15] 当然有些人说
[21:16] 那有没有可能到时候就直接采用新式核能
[21:19] 就用旧制
[21:19] 就一样用核二核三
[21:21] 但是采取新式的核能
[21:23] 第一那个新式核能时间线
[21:25] 可能还是有一段期间
[21:27] 那当然了
[21:28] 目前现在核二核三看起来
[21:30] 还是准备要用旧设备
[21:32] 但是也不排除装新的技术
[21:34] 那有些人想说
[21:35] 那为什么要重启旧的核二和核四呢
[21:40] 也许可以盖新的
[21:42] 你说不盖核四
[21:43] 为什么新式核能不盖个核五
[21:45] 就解决这个问题了呢
[21:47] 那这很好理解
[21:48] 因为美国不给你核五
[21:50] 你们要发展核五
[21:51] 我们是12345的五
[21:53] 容易引起误会
[21:54] 所以我们现在预估
[21:55] 在整个核三厂的部分
[21:57] 重启时间线
[21:58] 大概是一年到两年左右
[22:00] 并往供电是2028年
[22:02] 所以到时候即便核能
[22:03] 从比例零来到6%
[22:05] 那也是2028年的事
[22:07] 应该讲核三厂是到2028年
[22:09] 核二厂的部分
[22:10] 更长了
[22:11] 你可能要到2030年左右
[22:13] 当然我们也清楚知道
[22:15] 当然也有些人会讲说
[22:17] 这会不会有点违背原则
[22:18] 从原理来看
[22:19] 我们还是要这样讲
[22:20] 因为2025年的确已经达到非核家园了
[22:23] 它也不是没有达到过
[22:24] 只是2026年因应全球局势的波动
[22:27] 至少是走了一段路
[22:29] 知道这样的疑虑
[22:31] 总统府还敢做
[22:32] 代表内阁端已经做出一些选择了
[22:35] 你现在做一个两边都不讨好的选择
[22:37] 那也是要很大的勇气的
[22:38] 所以我觉得大家应该正面看待
[22:40] 正常来讲
[22:41] 我们知道本届政府
[22:42] 他有很多理由可以采取消极面对
[22:45] 就跟你拖
[22:46] 不管是不复苏
[22:48] 还是技术性的拖延
[22:50] 但他还是非常
[22:51] 看起来是很积极的
[22:52] 要展开这项新的政策
[22:54] 所以我觉得
[22:55] 还是要有一定程度的肯定的
[22:57] 蛮大的勇气
[23:00] 所以2025非核家园达成
[23:02] 2026年迎接新式核能
[23:04] 其实也不算违背
[23:06] 去年就已经表态
[23:07] 对于新式核能的支持了
[23:09] 所以我觉得也不算是完全违背
[23:11] 而令也常常讲自己戒酒
[23:14] 人家问他戒多久
[23:15] 他说两天
[23:16] 你第三天又喝了
[23:18] 难道他没有戒过吗
[23:20] 有吗
[23:20] 至少两天
[23:21] 所以我们看亚洲各国
[23:23] 其实都陆续重返核电之路
[23:24] 它也不是只有台湾的问题
[23:26] 日本在上个月
[23:27] 我们之前提到
[23:28] 已经重启博企的义渝核电厂六号级
[23:31] 这是核导复栽之后
[23:33] 停摆多年的大型机组
[23:35] 随着核电的逐步回归
[23:36] 最直接影响的就是挤压化石燃料发电
[23:39] 尤其是天然气
[23:40] 其实日本在过去几年
[23:42] 天然气的发电量已经开始有所收敛了
[23:45] 日本现在大概是15座的核反应炉运转
[23:47] 根据高市政府的目标
[23:49] 长期希望
[23:50] 因为占比大概9%
[23:52] 至少还要再开15座以上的核能反应炉
[23:56] 在2040年以前达到20%
[23:58] 代表着整个日本的国策方向越来越清晰
[24:01] 现在就是全力发展核电和再生能源
[24:04] 把天然气和蓝煤挤出电力核心
[24:07] 这一次的中东局势
[24:08] 日本共识就更一致
[24:10] 完了实在太依赖中东了
[24:12] 来一场
[24:13] 我们现在要马上进行战略援助十倍的释放
[24:15] 所以这件事情
[24:16] 也让日本政府非常的危急
[24:18] 必须要快速的摆脱针对中东的依赖
[24:21] 改由国内的核电和再生能源
[24:24] 来供应足够多的电力
[24:26] 当然他也会采取进一步的货币宽松
[24:28] 和财政刺激政策
[24:29] 这也就意味着
[24:30] 接下来高市政府迎来最大的考验
[24:33] 反而是日债的问题
[24:35] 你要撒这么多钱
[24:36] 有足够的息债能力吗
[24:38] 那韩国就不用讲了
[24:39] 韩国现在核能是台日韩三国最高的
[24:42] 大概是30%左右
[24:43] 这完全可以理解
[24:44] 因为他不用像台湾和日本一样去处理
[24:47] 地震引发的恐惧问题
[24:49] 我们看在1995年到2024年
[24:52] 发生规模六以上的地震次数
[24:54] 日本是345次
[24:56] 台湾是126次
