[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 直播呢主要是跟大家分享一下市场动态
[19:43] 我得老實的回答 我也不知道
[19:46] 但是下面幾年都很好
[19:48] 你如果意记买股票
[19:53] 请继续
[19:55] 突然一看觉得
[20:01] 魏董好像长得越来越像财神爷
[20:03] 越看越开心
[20:05] 昨天我才跟杜金龙杜老师聊天
[20:08] 他说他最近很烦恼
[20:10] 我说烦什么
[20:10] 他说他现在在外面吃饭
[20:12] 有时候到百货公司
[20:14] 好多人来找他拍照
[20:15] 很烦恼
[20:16] 我说这有什么好烦恼的
[20:18] 那是我们的荣幸
[20:19] 人家看得起我们
[20:20] 杜老师说
[20:22] 拍照我也OK
[20:23] 重点是那个人拍完照以后
[20:26] 还讲了一句
[20:26] 谢谢你
[20:28] 魏董
[20:29] 我一定会继续买你们家股票的
[20:31] 有点像
[20:33] 不管如何
[20:34] 他就是我们的财神爷
[20:35] 他说什么我们就听什么
[20:37] 当然回过头来看
[20:38] 现在市场上
[20:39] 更为聚焦的一个问题是
[20:41] 整个建制量看起来还是紧绷的
[20:43] 但是在美国本土
[20:45] 真能够有效地推出吗
[20:47] 我们知道过去的晶圆厂
[20:48] 已经引来很大的反弹了
[20:50] 现在的资料中心更是如此
[20:52] 我们如果细看
[20:53] 就目前美国内部的情况
[20:55] 为什么反AI资料中心
[20:57] 草越来越显著呢
[20:58] 根据盖洛普的最新民调
[21:00] 现在高达71%的美国人
[21:02] 反对在自家的居住地附近
[21:05] 来新建AI资料中心
[21:07] 其中有48%更是强烈的反对
[21:09] 支持者只有26%
[21:10] 强烈支持者只有7%
[21:13] 甚至我们看到
[21:14] 美国民众对于资料中心的排斥程度
[21:16] 甚至超过核电厂
[21:18] 同一份调查也显示
[21:20] 反对在住家附近
[21:22] 新建核电厂的比例
[21:23] 也不够53%
[21:25] 但是反对资料中心的
[21:27] 却高达71%
[21:28] 反对者最常提到就是
[21:30] 耗水耗电污染生活品质下滑
[21:32] 重点是
[21:33] 一座十几亿的资料中心
[21:36] 建成的过程当中
[21:37] 大概只要50名的员工
[21:40] 所以这很多人的想法就是
[21:42] 那我到底为什么需要
[21:43] 这个资料中心
[21:44] 你能够给予的就业贡献这么少
[21:47] 然后又搞得我们缺电缺水
[21:49] 把资源大幅度的集中
[21:51] 而且还占据我们的土地
[21:53] 挡住我们的视线
[21:54] 所以这我们看到
[21:55] 内部的压力来得越来越大
[21:57] 另外一大层面
[21:59] 是整个AI资料中心
[22:00] 的确对于美国电网系统的压力
[22:02] 来得越来越大
[22:03] 晶圆厂都还好说
[22:04] 因为晶圆厂所需要用的电
[22:06] 它根本就不如GPU
[22:08] 24小时运算所需要用的电
[22:10] 我们如果细看
[22:11] 一个机柜通常只需要
[22:13] 25到40千瓦的电力
[22:15] 但AI时代完全不同
[22:16] 所以GPU的性能不断提升
[22:18] AI伺服器的用电密度
[22:20] 也在指数性成长
[22:21] 两年前一个机柜
[22:23] 大概是配置8个GPU
[22:24] 现在已经配到72颗了
[22:27] 耗电量从40千瓦
[22:28] 到现在是150千瓦
[22:29] 现在即将推出的
[22:31] Vera Rubin
[22:31] 要300千瓦
[22:33] 下一代可能是100万瓦
[22:35] 那等同于什么
[22:36] 光是一台机柜
[22:37] 750个家庭
[22:39] 同时用电的规模
[22:40] 那你要解决这场能源危机
[22:43] 第一个条件是散热
[22:45] 散热革命一定要发生
[22:46] 因为传统的风冷系统
[22:47] 完全无法应付这种GPU产生的热量
[22:50] 所以改采易冷
[22:52] 可以提升15%到20%左右的碳排放的削减
[22:56] 其实就电力系统的改造
[22:57] 现在电力从电网送到晶片
[22:59] 中间需要经过多次的交流电
[23:01] 和直流电的转换
[23:03] 每一步都会损失能源
[23:04] 所以你像辉达通用
[23:07] 一系列公司正在推动
[23:09] 800伏特直流电的架构
[23:10] 其实这就意味着
[23:12] 市场上的缺电情况来得更为显著
[23:15] 像现在很多人用AI
[23:16] 毫不节制
[23:17] 举一个比较直观的
[23:19] 像Amazon
[23:19] Amazon之前
[23:20] 员工内部有一个AI排行榜系统
[23:23] 谁用的越多越活跃
[23:25] 你的年终奖金就越多
[23:27] 结果搞得大家
[23:28] 研发一个AI来使用AI
[23:31] 就跟当年的英国人在印度颁布法律
[23:33] 每打死一只眼镜蛇
[23:35] 就可以领取赏金一样
[23:36] 结果印度人为了赏金
[23:37] 每天都在养眼镜蛇
[23:39] 结果亚马逊内部
[23:41] 就每天有一个AI
[23:42] 在使用另外一个AI
[23:43] 把那个token量给冲高
[23:45] 就公司成本暴增
[23:46] 后来亚马逊又取消
[23:47] 这样的一个制度了
[23:48] 那这些问题
[23:49] 都是导致电力价格
[23:51] 持续上涨的原因
[23:52] 涨到什么地步呢
[23:53] 我们看到
[23:54] 过去的三厘岛电厂
[23:56] 之前发生过核灾的
[23:57] 现在在美国联邦能源监管委员会
[24:00] 本周的批准底下
[24:02] 正式确认了
[24:03] 明年下半年就要恢复运转了
[24:05] 发生过核灾的三厘岛
[24:07] 那已经五六十年前的核电厂了
[24:09] 居然要启用了
[24:11] 那最大的买家
[24:12] 就是微软所需要的用电量
[24:14] 所以这件事情其实就意味着
[24:16] 整个用电需求
[24:17] 正在各地全面性的暴增
[24:20] 那当然台湾也是如此
[24:21] 台湾就算是做晶圆厂
[24:23] 用电需求也是非常的紧绷的
[24:25] 加上如果未来发展AI资料中心
[24:27] 也是如此
[24:28] 稍早前我们看赖总统
[24:30] 也是在台视的专访
[24:31] 受这个驻华姐的专访
[24:32] 里头其实也提到了
[24:34] 当前他对于台湾电力的信心
[24:36] 当然有我们要补足的地方
[24:38] 我们看一下画面
[24:38] 或是任何擔心台灣的供電會出問題的
[24:43] 我們可以帶他去發電廠看一看
[24:48] 台灣電力公司可以幫他們做簡報另外就是黃岸心如果下次來再找這個企業吃飯的時候不妨邀請一下我們曾文森董事長
[24:59] 邀請一下曾文森董事長
[25:01] 邊吃邊說明
[25:03] 我歡迎黃文勳先生
[25:05] Maybe Maybe
[25:07] 但是的確有必要做一些澄清
[25:11] 其實應該趁他還在的時候澄清
