[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那STARK指数上涨1.2%
[04:06] 我们并不是很在乎中东的战火
[04:08] 是否会大幅影响到亚洲经济体
[04:10] 所以在这样的一个效果底下
[04:11] 对于印度来说
[04:12] 显然比冲突升级表现来看
[04:15] 和谈更符合印度利益
[04:17] 虽然油价现在还在一个高位震荡
[04:19] 还是对于全亚洲经济体有持续性压力
[04:22] 可是看起来你只要愿意进行一些谈判
[04:26] 伊朗政府看起来还有转圜的余地
[04:29] 另外欧洲国家也开始尝试了外交途径
[04:31] 法国和意大利已经跟德黑兰尝试接触
[04:34] 希望透过谈判恢复能源运输
[04:37] 而且每个人都背叛美国
[04:38] 美国现在在种种效果底下
[04:42] 在昨天也释放了一条有趣的新闻
[04:44] 我们看这张新闻是CNBC昨天所透露的
[04:48] 美国财政部长贝森特在昨天也证实
[04:51] 目前实际上已经允许伊朗的邮轮通过荷姆治海峡
[04:55] 以确保全球能源的供应不中断
[04:58] 你放俄罗斯原油就算了
[05:01] 你现在伊朗的邮轮也放吗
[05:03] 因为伊朗现在还是有持续攻击商船的讯息传出来
[05:06] 伊朗每天大概还是有150万桶的出口
[05:10] 那美国呢
[05:11] 贝森特居然说会暂时容忍部分邮轮通行
[05:14] 甚至包含供应印度和中国的船只
[05:18] 这是不是一个很现实的战略展望
[05:20] 军事冲突在升温
[05:22] 能源市场是不能崩的
[05:23] 所以既然伊朗的邮轮可以通过
[05:26] 怎么反过来了
[05:27] 我反制你的反制
[05:29] 大家吵了那么久
[05:31] 原来海峡是美国封锁的
[05:34] 对伊朗解封
[05:35] 伊朗也在想
[05:36] 原来我通过需要你美国同意
[05:38] 那你都放心邮轮了
[05:40] 这场仗就有一点
[05:41] 不知道怎么继续打下去了
[05:43] 买房子
[05:44] 屋主开2000万
[05:46] 和买房说好
[05:47] 那我买2500万
[05:50] 那什么鬼嘛
[05:51] 你只要不尴尬
[05:52] 尴尬的就是别人
[05:53] 不知道他刻了什么
[05:54] 也许可能是新闻解读错误
[05:56] 不过从贝森特口中讲出来
[05:59] 有一点川普谈判影子的味道了
[06:02] 双方局势就在这种很神奇的情况底下
[06:05] 尝试的淡化
[06:06] 那当然法国政府在昨天也派遣了戴高乐号航母
[06:11] 在舰队和直升机的护卫底下
[06:13] 法国的航运巨头达菲
[06:15] 已经率先恢复了波斯湾的航线
[06:18] 透过富查伊拉和豪富法坎等港口
[06:22] 再以支线船只进入到中东主要市场
[06:25] 所以看起来并没有直接进入到赫姆斯海峡
[06:28] 可是他也藉由不同的方式
[06:30] 似乎跟伊朗之间也有一些互动
[06:32] 尝试的把法国的能源运输给打通
[06:35] 所以这样的一个下落底下
[06:36] 整场战事就面临了一个蛮有趣的阶段
[06:39] 因为护航联盟现在肯定是有点卡关了
[06:42] 我们从赫姆斯的战局到现在为止
[06:45] 当时礼拜六礼拜天的时候
[06:48] 川普政府有发出公告函
[06:51] 希望各国都可以派起军舰
[06:53] 我们看主要盟友的态度
[06:55] 其实还是相对保留
[06:56] 在礼拜一的时候
[06:57] 其实大多数政府都予以进行直接性的反应了
[07:01] 日本明确表示
[07:02] 目前并没有派遣军舰的计划
[07:05] 南韩在评估当中
[07:06] 澳洲是直接表态不会参与
[07:09] 欧洲方面是分歧的
[07:10] 法国强调防御性的部署
[07:12] 戴高乐号已经派过去了
[07:14] 德国的部分质疑现有任务的效果
[07:17] 英国则倾向合作
[07:19] 但是不愿意以北约的名义来主导
[07:21] 所以整体而言
[07:22] 美方虽然对于盟友采取施压
[07:24] 不过真的愿意实际下场
[07:26] 来承担军事风险的国家并不多
[07:28] 反而看起来有点跟伊朗和谈的条件存在
[07:31] 那背后也反映一个更现实的结构性问题
[07:34] 因为能源依赖是共同的
[07:36] 但战争风险分摊不均
[07:38] 这就比较大的一个挑战
[07:39] 因为对于多数国家来看
[07:41] 确保游轮安全是很重要的
[07:43] 但是一旦参与护航
[07:45] 等于半只脚就踏进到战场
[07:47] 那可能面对伊朗的报复
[07:49] 或者冲突升温
[07:50] 因此各国呢
[07:51] 现在很明显就转向另外一条路
[07:54] 不跟美国进行集体的军事行动
[07:57] 可是各自都跟伊朗建立了沟通管道这会不会是一个最终这场中东危机落幕的方式就值得大家思考了但是油价的反应看得出来有一点这样的迹象那当然川普仍然在施力
[08:10] 希望各国可以联合起一个联盟
[08:12] 趁此伊朗脆弱之时一举见面
[08:15] 我们看这次美中峰会
[08:17] 恐怕真的要延后了
[08:18] 很明显
[08:18] 因为中国也不愿意派军舰
[08:20] 那川普表示已经跟中国提出
[08:22] 跟川习会的高峰会
[08:25] 大概会延后至少一个月起跳
[08:27] 原因很简单
[08:28] 因为伊朗战事
[08:29] 让他必须要留在华府继续指挥
[08:31] 所以原本是三月底到四月初的川习会
[08:34] 现在看起来
[08:35] 可能要到四月底到五月初了
[08:37] 双方近期
[08:38] 甚至已经早就在
[08:40] 针对投资和半导体出口议题进行协商了
[08:43] 所以一定有一些谈判成果
[08:46] 只不过川普现在要先忙其他的问题
[08:49] 在这样效果底下
[08:50] 股票市场在三月份以来
[08:52] 其实整体跌幅也不能说到很重
[08:54] 从整个标普派指数跌幅才3%左右
[08:57] 算是正常的均值波动
[08:58] 反而是亚太指数的部分
[09:00] 整体跌幅来到7到8%
[09:02] 我们就看这一波估值回调幅度最大的
[09:04] 亚洲市场经济体
[09:06] 台日韩股市会不会
[09:07] 反而有新一波的拉升条件
[09:09] 毕竟亚洲经济体在能源危机的确是第一线
[09:12] 目前我们还必须承认
[09:14] 只是部分国家跟伊朗有开始和谈
[09:18] 或者沟通上的一个条件
[09:21] 亚洲大部分经济体都是小国
[09:23] 还没有这样的一个能力
[09:25] 直接跟伊朗进行沟通
[09:26] 真正麻烦的问题是
[09:28] 亚洲现在是最率先感受到
[09:30] 能源危机的冲击地区
[09:32] 我们以全球
[09:33] 透过荷姆斯海峡
[09:34] 所运输的石油产品
[09:35] 最大需求基础在亚洲
[09:37] 大概2025年
[09:38] 有11桶石油产品流向亚洲
[09:41] 远远高于欧洲美洲和非洲
[09:43] 而中国和印度是最大买家
[09:45] 那印度已经谈上
[09:47] 那中国和印度的关系
[09:48] 一直都是不错
[09:49] 两国大量进口的中国
[09:51] 中东生产的液化石油器LPG
[09:54] 印度甚至超过这个区域的接近有一半
[09:58] 所以现在真正的压力来自于日本
[10:01] 南韩
[10:02] 新加坡
[10:03] 台湾
[10:03] 这些大量进口石脑油
[10:06] 是塑胶和石矿产品的重要原料
[10:10] 这些部分
[10:12] 因为还没有进行直接性的沟通
[10:14] 但是中印两国已经先沟通上了
[10:16] 这会形成极大压力
[10:18] 因为不同国家
[10:19] 我们要知道家庭支出
[10:20] 对于石油价格的敏感度很大
[10:22] 石油价格从当时60几到现在百元
[10:26] 能源在家庭消费比重明显上升
[10:28] 你像印尼像越南
[10:30] 印度的冲击是最大的
[10:32] 台湾你之所以感觉到冲击不大
[10:34] 是因为台湾60%的涨幅
[10:35] 已经由政府先行进行吸收了
[10:38] 所以你感觉没有那么明显
[10:39] 那你反而看美国日本欧洲
[10:41] 等成熟经济体
[10:42] 它的比例就比较低了
[10:43] 大概在1到2%
[10:45] 但是很多新兴市场
[10:46] 是来到4%以上
[10:48] 南韩也是有点压力了
[10:49] 大概接在2到3%
[10:50] 所以南韩政府呢
[10:52] 在昨天也跟美国讨论
[10:53] 3500亿美元的投资基金
[10:55] 现在顺势的转向美国的能源项目
[10:58] 当时韩国宣布要投资美国3500亿
[11:01] 现在优先投资能源合作
[11:04] 这个很明显
[11:05] 就是为了要因应中东危机
[11:08] 常态化的一个趋向
[11:09] 在种种效果底下
[11:10] 我们看到的第一波冲击
[11:12] 就来自于亚洲市场经济体的
[11:15] 石化链的断链倒数
[11:16] 因为到目前为止还没有沟通上
[11:18] 我们根据现在台湾石化供应链的冲击
[11:21] 近期整个上游的原物料价格波动很剧烈
[11:24] 不只是全面上涨
[11:25] 甚至出现一天一价的极端行情
[11:28] 很多化纤或者纺织业者也坦言
[11:30] 市场的状况前所未见
[11:32] 部分上游业者
[11:34] 我们之前看到台塑台塑化
[11:35] 都发出了不可抗力的通知
[11:37] 意味着供应链看起来随时会中断
[11:39] 短短两周内
[11:40] 原料价格已经上涨了有一成以上
[11:43] 部分品项甚至上涨幅度超过20%
[11:46] 目前整个塑化产业链普遍的预估是
[11:48] 大概剩下一个月左右的库存缓冲
[11:51] 四月中旬应该就会烧完
[11:53] 四月中旬船一定要运出来
[11:55] 台塑我刚才看了一下
[11:56] 有两艘船
[11:57] 还在波斯湾里头出不来
[11:59] 和姆兹海峡已熄
[12:01] 所以从原油到甲本
[12:04] 二甲本
[12:05] 再到锯纸化纤
[12:07] 整条产业链
[12:08] 现在变成一个高度的成本传导系统
[12:10] 上游肯定已经开始涨价了
[12:12] 中游现在开始慢慢的传导
[12:14] 下游你还感觉不出来
[12:16] 现在一些扣件化肥塑胶
[12:19] 等关键物资上涨
[12:20] 不过预估一个月以后就要进行反应了
[12:23] 一个最直观的
[12:24] 昨天中油正式宣布调涨溶剂甲本和二甲本的排价
[12:29] 这个是本月份第二次上调
[12:31] 甲本调涨11%
[12:33] 创下一年八个月以来新高
[12:35] 二甲本也上涨9.5%
[12:37] 价格逼近8000大关
[12:39] 所以2024年以来的最高水准陆续出现以后
[12:43] 基本上也就意味着中下游的传导链逐渐出现
[12:47] 因为甲本和二甲本
[12:48] 它基本上是石化溶剂的最重要的原料
[12:51] 广泛用在涂料 油墨 黏着剂
[12:54] 塑胶 化纤 还有电子材料
[12:56] 特别是二加本
[12:57] 它还是生产锯子纤维
[12:59] 还有塑料的重要原料
[13:01] 锯子纤维大家看现在的衣服
[13:03] 可能大部分的衣服都是锯子纤维了
[13:05] 所以影响的不只是石化液
[13:08] 从电子包材到纺织液
[13:10] 正在快速的产生外溢效果
[13:13] 我们仔细观察
[13:14] 如果从台塑海运现在来看
[13:17] 因为它的船队
[13:18] 你仔细观察
[13:19] 大概有二三十艘
[13:21] 但是真正在主攻中东的
[13:24] 不管是石脑油或者石油
[13:27] 大概如果是以常态化的话
[13:29] 大概会有两到三艘左右
[13:31] 不断的在运
[13:32] 通常我们看台塑旗下的船舶
[13:35] 通常都不是挂台湾国旗
[13:37] 少数是挂ROC
[13:39] 不过大部分是挂赖比瑞亚
[13:41] 或者挂巴拿马
[13:43] 或者马绍尔群岛
[13:44] 那原因很简单
[13:45] 因为这个制度
[13:46] 过去传奇政策一直都是这样子
[13:48] 就是你挂这些国家的国旗
[13:50] 你提供的税负比较低
[13:52] 然后比较简化的监管
[13:54] 还有更弹性的劳动制度
[13:56] 所以传东就可以降低
[13:59] 传援的薪资
[14:00] 社会保险成本
[14:01] 全球招聘传援
[14:02] 而且进行运营的弹性
[14:05] 好那这些我们常看到
[14:06] 我们台说什么
[14:07] 真善轮
[14:08] 绝善轮
[14:09] 均善轮
[14:09] 越善轮
[14:10] 那如果我们细节观察
[14:12] 这个网友分享的网站
[14:13] 那里头可以当中看到
[14:15] 大部分的海运船只
[14:18] 目前在什么样的位置
[14:19] 我们看两只船只
[14:21] 一个是台塑的军船轮
[14:22] C-ROAD
[14:23] 目前看起来
[14:24] 它基本上就在赫姆兹海峡以西
[14:27] 已经好几天都没有出来了
[14:29] 待了有两三天了
[14:31] 再来看一下台塑的宝华轮
[14:33] 一样就大概在西边左右
[14:36] 出不太来
[14:37] 所以就在那边绕圈圈
[14:38] 这个叫福摩沙6
[14:39] 宝华轮的部分
[14:42] 大概也有几天了
[14:43] 所以虽然保华轮挂的是
[14:45] 应该讲
[14:47] 军善轮挂的是赖比瑞亚的国旗
[14:49] 保华轮挂的是巴拿马的国旗
[14:52] 所以这个时候就算
[14:53] 你讲说巴拿马总统
[14:55] 跟我有点交情也没有用了
[14:56] 因为现在大家都在里面
[14:57] 都出不来
[14:58] 所以这两艘
[14:59] 基本上就是台塑
[15:00] 接下来的列结厂
[15:01] 是否可能要稍微停产
[15:03] 或者适度减产的根本原因
[15:05] 整个塑化链
[15:06] 已经开始向下进行穿刀
[15:08] 这个就是亚洲经济体
[15:09] 最大的压力
[15:10] 好那各国开始跟伊朗局势
[15:12] 和谈之后或者说商量之后
[15:14] 油价的回温还是不太够
[15:16] 必须至少回到80美元左右
[15:18] 美国的中期选举危机
[15:20] 才算是全面性的消除
[15:21] 现在美国人本土的负担
[15:23] 还是越加沉重
[15:24] 我们仔细观察
[15:25] 如果细节来看
[15:27] 不管是食品价格
[15:28] 或者服务价格等等
[15:30] 压力都在持续增稳
[15:33] 举几个例子来说
[15:34] 我们看餐厅的经营者
[15:36] 现在感受到的压力
[15:37] 不管是餐饮价格
[15:38] 从疫情以来
[15:39] 平均上涨幅度大概是35%
[15:41] 这还不包含小费
[15:42] 外食费更高的时候
[15:44] 餐厅自然也会更加谨慎的消费
[15:47] 那川普呢
[15:48] 最近为了要尝试抑制通膨传导的可能性
[15:51] 透过降低部分进口食品的关税
[15:54] 比如说他把阿根廷牛肉的关税进行几乎全免了
[15:58] 巴西咖啡也几乎全免了
[15:59] 尝试的要缓解物价压力
[16:01] 那白宫的态度是
[16:02] 二月份的通膨只有2.5%照理来讲我们已经成功的压抑通膨了但是呢很有可能也是因为内部的消费稍微有点疲惫所导致的房价和房贷也是如此
[16:13] 目前川普也是希望
[16:14] 即便现在通膨可能在中东局势底下
[16:17] 持续性遭受到干扰
[16:19] 还是希望整体利率周期
[16:21] 可以在5月份
[16:22] 或许上任以后进入到急降格局
[16:24] 日常成本的部分
[16:26] 能源汽车和家庭开支
[16:28] 过去是少数在通膨领域当中
[16:31] 少数没有大幅增长的
[16:33] 可是最近汽油价格
[16:35] 由于美加仑已经接近站上4美元关卡
[16:38] 那加州地区更是挑战5美元6美元
[16:40] 这件事情也就意味着
[16:42] 汽车和能源家庭开支
[16:44] 正在以非常惊人的速度上升
[16:46] 那更不用讲一些服务价格
[16:48] 什么教育托育费用等等
[16:50] 那这些问题
[16:51] 都会逐步的影响到终极选举的轮廓
[16:54] 医疗费用也是如此
[16:55] 大概有三分之二的人
[16:56] 目前美国人是无法负担医疗负担的
[17:00] 整体而言美国家庭平均保费
[17:02] 在过去五年已经成长了两成三
[17:04] 每个家庭每年大概要付7000美元
[17:07] 才能够支付他的保险
[17:09] 此外依赖评价医疗法案的保险计划的人
[17:13] 超过2000万人
[17:14] 所以现在要进行保费上调以后
[17:17] 压力就来得越来越大
[17:18] 那这些讯息我们都必须清楚知道
[17:21] 都是川普在中期选举之前
[17:23] 他必须要经得起的
[17:25] 必须要输得起的一些政治动作
[17:28] 或者政策的变化
[17:29] 如果要形容川普
[17:30] 这一场版本的输得起
[17:33] 就是他如何在短时间内
[17:36] 让民间的体感温度有效的提升
[17:38] 才能够确保他在中期选举
[17:40] 有大胜的机会
[17:41] 而中东局势拖越久
[17:42] 看起来是越不利他的
[17:44] 不过你看之前他的谈话
[17:46] 你再看一下贝森的谈话
[17:48] 那川普政府本来就是一个
[17:49] 非常直接的权力结构
[17:51] 他敢下注
[17:52] 他也敢承担后果
[17:54] 他上任之后
[17:54] 他几乎已经把所有高风险的议题
[17:56] 都碰了一遍
[17:57] 不管是一开始的关税战
[17:59] 从说贸易秩序
[18:00] 一直到
[18:01] 你还想买格林兰的构想
[18:03] 外交政党
[18:04] 委内瑞拉
[18:05] 马杜罗
[18:05] 他也是直接活作
[18:06] 中东对于伊朗动武
[18:08] 把能源和地缘政治
[18:09] 推向高涨率
[18:10] 国内抓捕非法移民
[18:12] 这些政策
[18:13] 其实很多都有巨大争议
[18:14] 也未必每一步都成功
[18:16] 但是川普的政治性格
[18:17] 看起来就是这样子
[18:18] 事情要么就不做
[18:19] 要么就把它做到极端
[18:21] 对支持者来说
[18:22] 他代表的是一种不装
[18:24] 不演
[18:24] 不怕冲突的领导方式
[18:26] 我玩得起
[18:26] 也输得起
[18:27] 政策可以被批评
[18:28] 局势可以被扭转
[18:30] 所以他还是以一种真人秀的方式来面对政治
[18:34] 把强势把直白
[18:35] 把真性当成自己的招牌
[18:37] 那也许也是凝聚民意的一种力量
[18:40] 是男人就要学川普
[18:42] 川普就有点像曹操
[18:45] 我最近才回过头把三国演义看了一遍
[18:48] 曹操一生有15次的大失败
[18:51] 六次差点送命
[18:53] 那跟川普很像
[18:55] 哪里跌倒就哪里站起来
[18:57] 35岁
[18:58] 当时曹操为了要服汉室
[19:00] 行刺董卓
[19:01] 然后失败之后不是善尽家财
[19:02] 招募了5000兵
[19:04] 联合18路去讨伐董卓
[19:06] 结果别人都来演戏的
[19:08] 只有他假戏真唱
[19:09] 然后真的去追董卓
[19:11] 然后全军覆没还中了一箭
[19:12] 39岁
[19:14] 当时铺阳之战
[19:15] 差点被吕布给烧死
[19:17] 42岁
[19:18] 对
[19:18] 他当时睡了那个张秀婶婶
[19:21] 张秀造反
[19:22] 曹操的长子爱将都牺牲了
[19:24] 53岁曹操发动赤壁之战
[19:27] 结果火烧连环传
[19:28] 把曹操的80万代大军给烧掉了
[19:31] 这个就是曹操伟大之处
[19:33] 56岁的同关之战
[19:35] 曹操不是被马超打的
[19:37] 开始要跑路吗
[19:38] 可是他也没有放弃统一天下的梦想
[19:41] 那这就是曹操
[19:42] 这就是川普
[19:43] 玩得起
[19:44] 输得起
[19:45] 不虚伪
[19:46] 真性情
[19:48] 曹操能够扛住生活的打击
[19:50] 还能够驾驭对手的人妻
[19:53] 这个就是真男人
[19:54] 川普就是这样的人
[19:55] 他就很愿意搞下去
[19:57] 很愿意把自己当时针对选民的承诺
[19:59] 一一的付诸实现
[20:01] 我们就看这些问题
[20:03] 他要如何在中期选举之前解决
[20:04] 而中东局势
[20:05] 看起来是不利于这个问题的持续延续
[20:08] 好 那我们继续往下看
[20:09] 刚才我们看到的是什么塑化链的传导潮
[20:12] 这种塑化链的传导潮一路下去以后
[20:15] 迟早也会传进到半导体的
[20:17] 我们看在最近半导体又采取了新一波的涨价潮
[20:20] 不管是联电 世界先进
[20:22] 利基电还有中国的金河
[20:24] 市场预估在4月份进行全面报价上涨
[20:27] 涨幅有一成
[20:29] 成熟制程现在还可以涨一成
[20:31] 成熟制程现在就是供消费系电子
[20:33] 大家也知道今年消费系电子看起来不是很好
[20:36] 汽车工业产品所需要的晶片
[20:39] 看起来很明显
[20:40] 就是因为很多产能被AI给抢光了
[20:43] AI的基础建设抢光了
[20:44] 结果导致半导体
[20:46] 居然连成熟制程都进入到
[20:48] 双位数字以上的涨价潮
[20:50] 这种由记忆体向外推升的通膨也没有结束
[20:54] 这也是川普另外一个需要思考的问题
[20:57] 从能源从塑化一直到半导体
[21:00] 这是一个极大的挑战
[21:02] 不过至少油价开始回稳以后
[21:04] 我们看美欧股市稍微尝试的止跌
[21:06] 我们看到穷指数上涨387点
[21:09] 0.83%
[21:10] 刷46946点
[21:12] 标普上涨67点
[21:13] 1%刷6699点
[21:15] 那撒克指数上涨268点
[21:17] 上涨1.2%
[21:18] 刷22374点
[21:20] 非班上涨149.1.96%
[21:22] 是在7796点
[21:25] 现在一个比较大的问题是什么
[21:26] 没有股市是有点尝试的止跌的味道
[21:29] 不过呢
[21:30] 乖离休政幅度还是蛮大的
[21:31] 可是你看这段时间
[21:33] 黄金价格居然在昨天现货一度跌破5000美元大关
[21:37] 现在大概在4993到5000左右尝试震荡
[21:41] 这一波战争怎么对于黄金价格一点提振作用都没有
[21:46] 我们再仔细观察
[21:47] 这是美国新年急攻债殖利率
[21:49] 还从原本的3.8一路跳高到4.2 4.3
[21:53] 从这件事情似乎透露出一些方向
[21:56] 这个方向就是避险资产的失灵
[21:59] 代表市场的真正害怕
[22:01] 看起来是通膨而并不是战争
[22:03] 就这场中东战火
[22:05] 出现一个很反直觉的现象
[22:07] 黄金没有上涨还回落了
[22:09] 债券殖利率还在往上冲
[22:10] 正常情况底下地缘政治冲突的升温
[22:14] 资金应该会流向黄金还没在的
[22:16] 但市场反应不一样
[22:17] 就是我也不买黄金
[22:19] 我也不买美债
[22:20] 我还卖一点股市
[22:22] 这是说明
[22:22] 大家担心的不是战争本身
[22:24] 是战争所带来的通膨的外溢效应
[22:27] 油价的上涨
[22:28] 化工的上涨
[22:29] 运输成本的上涨
[22:31] 这个时候反而市场上真正聚焦的是
[22:34] 对于通膨的影响幅度有多大
[22:36] 所以在这样的效果底下
[22:37] 今年已经有半数资产
[22:39] 开始进入到收叠了
[22:41] 蛮有趣的情况
[22:42] 本来在年初的时候
[22:43] 大刀还是松掌的
[22:44] 现在表现最亮丽的是谁
[22:46] 变成大宗资产了
[22:47] 平均今年涨幅
[22:48] 上涨幅度有28%
[22:50] 黄金涨幅有16%
[22:52] 其他我们看到
[22:53] 像是瑞士部分涨幅有4.1%
[22:55] 可转在2.1%
[22:57] 价值股中型股还在收涨
[22:59] 其他小型股也是
[23:00] TLT算是正报酬了
[23:03] 但是你看其他资产
[23:04] 比特币今年还是最惨的
[23:06] 跌了一成八
[23:07] 成长股跌了7.4%
[23:09] QQ跌了3.4%
[23:10] 大型股跌了2.9%
[23:11] 新市场跌了1.1%
[23:13] 所以从这些数据还看得出来
[23:15] 现在整个全球各大资产
[23:17] 有一半已经陆续进入到收叠
[23:19] 当然除了比特币
[23:20] 收叠幅度也不是特别大
[23:22] 可是从这件事情也看得出来
[23:24] 今年资产架构
[23:26] 正在采取新一轮的定价
[23:28] 也就是辉达
[23:29] 现在GTC大会
[23:30] 黄文勋抛出在2027年
[23:32] AI晶片就要带来一兆美元的营收
[23:35] 核心逻辑就是算力指数型的爆发
[23:38] 但这一次GTC
[23:39] 大家就很冷静
[23:40] 价格甚至还有点回跌
[23:42] 辉达无法给出更高
[23:44] 更惊人
[23:45] 更超出意外的成长预期
[23:47] 股价就没有明显的跟上了
[23:49] 所以现在市场的焦点就变成
[23:51] 需求有没有
[23:52] 转向成成长
[23:53] 能不能进入到高强度的持续
[23:56] 一方面竞争在升温
[23:57] 因为AMD 智盐晶片
[23:59] 还有ON架构
[23:59] 现在都在分时市场
[24:00] 另外一方面
[24:02] AI基础建设
[24:02] 它已经达到重资本阶段
[24:04] 回报周期开始拉长了
[24:06] 那现在也有地缘政治的干扰市场上针对辉达的评价门槛很明显变高了所以市場看起來現在好像不太为故事买单了你怎么喊不重要了我现在开始要求你的现金流回来
[24:17] 你的可持续性回来
[24:18] 这个就形成一个
[24:20] 重大的叙事的转捩
[24:21] 也就是这一场中东危机以后
[24:24] 大家现在更为关注的是
[24:26] 整体经济形势
[24:27] 通膨是否能够回温
[24:29] 能够回到一个正常的情况
[24:31] 让我的估值评价
[24:33] 回到正常水准
[24:34] 另外一方面
[24:35] 我对于科技股的要求
[24:36] 越来越严格了
[24:37] 不要再跟我喊话了
[24:39] 把钱拿回来
[24:40] 把实质的生产面拿回来
[24:42] 所以这个时候我觉得
[24:43] 从各大资产的逻辑来看
[24:44] 反而是好事
[24:45] 就代表着第一
[24:46] 市场更加理性了
[24:47] 那现在肯定就不是泡沫破灭了
[24:49] 现在是一个估值回调过程
[24:51] 第二
[24:52] 由于今年已经有一半资产
[24:54] 已经进入到收跌了
[24:55] 虽然跌幅也不大
[24:56] 可是这样才有资产再平衡的空间
[24:59] 全部都在涨
[25:01] 那你要买什么压力就很大
[25:03] 所以反而大家要了解说
[25:05] 有时候我们以为事情很快就能搞定
[25:07] 大多数的资产
[25:08] 它都要持有一定的时间
[25:10] 投资也是一样的道理
[25:12] 大家进场时都想要短期内赚到甜头
[25:14] 忘了AI半导体技术
[25:16] 都要花好几年
[25:18] 加上联准会的货币政策
[25:20] 通膨大环境影响
[25:21] 你要花好几年的一个影响
[25:23] 才能够发挥它的AI的爆发力
[25:25] 这个时候
[25:26] 你反而必须要慢慢的等待回报
