[00:00] 投资变化 欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年7月23号礼拜四
[02:10] 受惠于Google Cloud
[02:12] 和AI相关业务的强劲成长
[02:14] 这一次营收是非常明显
[02:16] 优于市场预期的
[02:17] 云端业务年增幅是高达82%
[02:20] 这是这几年的最快收入
[02:22] 所以这就说明着
[02:23] 难道Google在套用AI以后
[02:25] 没有导致内部的云端收入增长
[02:27] 而且成长非常非常之快
[02:29] 最大的问题就是来自于
[02:31] 公司因为这一次又大幅提高了
[02:34] 全年资本支出的预测
[02:35] 说明我们卖产值的企业
[02:37] 也有新订单了
[02:38] 但是也引发市场投资人
[02:40] 对于现金流和投资报酬率的担忧
[02:42] 导致Google盘后股价反而下跌了4%
[02:45] 这一次二季度的营收是1198亿
[02:48] 年增幅24%
[02:49] 比市场预期的1169亿来得高
[02:52] 如果扣除部分一次性的项目
[02:55] 每股盈余是2.85块
[02:58] 虽然比原本市场预估的2.89块
[03:01] 稍微低一点
[03:02] 但整体营收表现
[03:03] 还是比市场预期还来得好
[03:05] 最大亮点就是
[03:06] 刚才提到的Google Cloud
[03:07] 年增幅82
[03:09] 这个已经太明显高于预期了
[03:11] 说明过去看到的AI模型部署
[03:14] 大型企业导入到Gemline
[03:16] 以及完成收购
[03:17] 云端资安公司之后
[03:19] 所带来的新业务
[03:20] 都导致云端需求快速成长
[03:22] 现在Google Cloud的未交付订单
[03:24] 甚至已经创高到5140亿美元了
[03:27] 说明订单能见度也越来越显著
[03:30] 那传统的搜寻引擎业务
[03:32] 现在Google Search
[03:33] 营收是633亿美元
[03:35] 年增幅又17%
[03:37] YouTube的广告收益也不错
[03:39] 年增幅有13%
[03:41] 第二季来到110亿
[03:42] 尤其我们知道在最近
[03:44] 因为世界杯足球赛
[03:45] 带动了Google搜寻量创下历史新高
[03:48] 大家对于网络的黏着度
[03:50] 在过去一个月显著上升
[03:52] 也推升了平台流量和广告需求
[03:54] 当然现在更为关注的事情是
[03:57] Gemini的APP每月用户表现为何
[04:00] 因为我们都清楚知道
[04:02] 好像大家最近对于Gemini的使用
[04:04] 好像使用量开始下滑
[04:06] 又转回头去用GPT或者用Entropy
[04:09] 可是模型使用量其实也在增长
[04:12] 整体而言在每月活跃用户
[04:15] 大概是9.5亿人
[04:16] 每分钟可以处理220亿个API token
[04:19] 比上个季度的161个来得高
[04:22] 所以其实不管人数多少
[04:24] 使用量肯定是增长了
[04:26] 那Google现在已经投入到Gemini 4的模型研发
[04:29] 希望在下一个大元模型竞赛当中
[04:31] 能够跟OpenAI和Enthropy正面竞争
[04:34] 现在几乎每个月都推出了新模型版本
[04:37] 那更为重要的事情是
[04:39] Google的AI城市开发中具
[04:41] 现在也在快速的成长
[04:43] 每周活跃用户超过240万人
[04:45] 那我们知道Google最强的就是它的生态系
[04:47] 他把你的Gmail
[04:49] 把你的云端
[04:50] 把你的相簿
[04:51] 全部绑在一块以后
[04:52] 你有时候就离不开他了
[04:54] 所以现在虽然你觉得
[04:56] 你好像没有在特别使用Gemini
[04:57] 其实你使用Google搜寻引擎
[05:00] 跟使用Gemini有太大区别
[05:02] 他不是第一行就列出
[05:04] Google AI搜寻的结果为何
[05:06] 你有时候会直接看重点
[05:08] 所以值得注意的事情是
[05:09] 这一次其实整体财报表现都不差
[05:12] 唯一就是资本支出
[05:13] 资本支出是从上个季度的1800亿
[05:16] 这次调高到1900亿了
[05:18] 应该讲说
[05:19] 上次是1800到1900
[05:20] 这次是突破1900亿的高标
[05:23] 直接从1950亿
[05:25] 到2050亿的区间
[05:27] 所以大概是增长了100亿左右了
[05:29] 明显比市场原本预估
[05:31] 调整幅度50到80亿
[05:33] 还要来得更高
[05:34] 那上调资本支出
[05:35] 当然主要就是AI的需求
[05:37] 远高于市场供给
[05:38] 公司处于算力供不应求的环节
[05:41] 所以这是Google的表态
[05:42] 目前它的算力是不够的
[05:44] 只能继续扩敞
[05:46] 继续盖继续买
[05:47] 那Alphabet也预估在第三季
[05:49] 扩大租用第三方的云端运算资源
[05:52] 作为过渡方案
[05:53] 因为现在已经不够了嘛
[05:54] 那先跟其他人买
[05:55] 此举呢
[05:56] 对于毛利率可能会形成适度的沉压
[05:58] 但有助于持续取得大型企业的AI订单
[06:02] 你要知道
[06:02] 它还没有兑现的这些未完成的订单
[06:06] 其实资金量也非常庞大
[06:07] 而且之前Google也跟SpaceX
[06:10] 签署了每个月9.2亿美元的
[06:12] AI算力租赁协议
[06:14] 租用搭载辉达GPU的运算资源
[06:16] 所以AI需求还在暴增
[06:18] 另外一个就是投资收益
[06:20] 我们知道因为它现在也持有Enthropy
[06:23] 也持有SpaceX
[06:24] 我们都知道这些股票的股权
[06:26] 至少在过去一个季度是大幅攀升
[06:29] 过去一个月是跌了
[06:30] 但是过去一个季度还是持续膨胀的
[06:32] 它也造成了额外的投资收益
[06:34] 现在唯一的问题是什么
[06:36] 就是我们看图表
[06:37] 自由现金流转负了
[06:39] 我们在26年二季度出现了
[06:41] 59亿美元的负自由现金流
[06:44] 口袋里的钱掏光了
[06:46] 这很难想象
[06:48] 你看在过去几年当中
[06:50] Google的CTM
[06:51] 也就是12个月的自由现金流
[06:54] 是533亿
[06:55] Google这么长年
[06:57] 你看我们YouTube
[06:58] 每天年周度那么高
[06:59] 搜寻引擎年周度这么高
[07:01] 然后他虽然每年会投一些资本支出
[07:03] 可是过去几年
[07:04] 也没有那种很惊人的投
[07:05] 所以过去几年他就躺着
[07:08] 钱就一直进来
[07:09] 你用搜寻引擎
[07:10] 你看YouTube
[07:11] 他就一直收钱
[07:11] 一直收钱
[07:12] 结果短短的一年
[07:14] 投光了
[07:15] 居然自由现金流转富了
[07:17] 这也说明着
[07:18] 现在大家都有点压力了
[07:20] 那你能不能缴出更量力的财报
[07:22] 其实我已经觉得
[07:23] 已经有不错的AI云端业务
[07:25] 已经收到回馈了
[07:26] 不过当然跟资本支出数千亿
[07:29] 你现在赚了数百亿回来
[07:30] 但是跟相对于数千亿美元的资本支出
[07:34] 看得出来市场的评价
[07:36] 对你来看也是越来越严格了
[07:38] 这是我们可以观察的一大重点
[07:40] 那第二个就聊的就是特斯拉了
[07:42] 特斯拉这次财报
[07:43] 就真的就不如预期了
[07:44] 二季度营收282.4亿美元
[07:48] 比去年通期成长还是有26%
[07:51] 那但是表面上看起来成长动能还在
[07:53] 不过我们也清楚知道它的本益比100多倍应该要明显爆增式的高于预期完全不能靠电动车的财报影响所以特斯拉到底电动车的财报的好坏
[08:06] 电动车销售不好财报是会差了
[08:08] 可是我们也清楚知道
[08:10] 电动车就算财报表现不错
[08:11] 对于实质的估值提升也是有限的
[08:16] 原因很简单
[08:16] 因为给你100倍的估值
[08:18] 很明显是你最好给我端出自驾车
[08:20] 持续扩张的态势
[08:22] 或者端出更好的Optimus
[08:24] 那核心电动车业务
[08:26] 这一次其实还是成长了23%
[08:29] 能源业务也成长了接近有13%
[08:31] 那现在就是赚钱能力
[08:33] 你是否有更多产品的推出呢
[08:35] 因为这一次
[08:36] 美股因为它只有0.3块
[08:38] 这比预期的0.5块还要来得低
[08:40] 净利也年减了5%
[08:42] 来到11.1亿美元
[08:44] 由于特斯拉
[08:45] 我们知道在过去几个季度
[08:46] 它是持续推出价格更低的Model 3和Model Y
[08:50] 同时停售比较高价的Model S和Model X
[08:53] 所以平均售价已经受到压抑了
[08:56] 再加上现在是碳权收入的减少
[08:59] 毛利率从17.2下滑到16.8
[09:02] 你很难想象
[09:03] 记忆体现在毛利率是八成
[09:05] 特斯拉毛利率16.8
[09:08] 其实快要接近比亚迪了
[09:11] 所以原本市场预估
[09:12] 可能高达接近两成左右的毛利率
[09:15] 开始做显著松动
[09:16] 营业利益率
[09:17] 只是从4.1%大幅下滑到1.4%
[09:21] 所以虽然特斯拉的车还是卖的更多
[09:23] 但是有没有把收入转成有效的获利呢
[09:26] 看起来压力是比较大的
[09:28] 那更大的问题
[09:29] 其实跟Google一样
[09:31] Google是财报很好
[09:32] 但是花的钱真的有点多了
[09:34] 特斯拉是财报不是很好
[09:35] 但是花的钱更多
[09:36] 特斯拉正处于一段高支出低回报的转型期
[09:40] 第二季的营业费用年增幅是47%
[09:43] 来到43.5亿美元
[09:45] 资本支出更暴增142%
[09:47] 来到57.9亿美元
[09:49] 全年资本支出超过250亿美元
[09:51] 你看那一根就突然跳上去了
[09:53] 主要投入AI运算
[09:55] 无人机乘车
[09:56] Cybercap
[09:57] Optimus
[09:57] 人形机器人
[09:58] 那我们也知道嘛
[09:59] 就是给你这么高的本益
[10:01] 比如就是希望你能够
[10:02] 尽快的推出相关产品
[10:04] 但短期代价也非常明显
[10:06] 现在自由现金流
[10:07] 去年同期还有挣的1.46亿
[10:11] 现在一个季度流出11亿美元
[10:14] 这是明显的恶化
[10:16] 看起来压力来得更大
[10:17] 不过至少FSD的有效订阅数
[10:19] 是暴增56%
[10:21] 如果在那有一天
[10:22] 特斯拉能够打通目前的自驾车
[10:25] 现在148万户
[10:27] 显示软体业务的成长
[10:29] 搭配着未来可能一夕之间反转
[10:32] 我们还是拭目以待
[10:33] 可是回过头说
[10:34] 现在全球的超大规模的云端业者
[10:37] 以Google和特斯拉为例
[10:39] 看起来本季度到扩张资本之初
[10:41] 台积电订单会不会增长
[10:43] 一定增长
[10:44] 三星SKLS一定增长
[10:46] 我们讲的不是传统的增长
[10:48] 本来就该增长
[10:49] 而是能不能超预期的增长
[10:51] 会因为资本支出
[10:53] 全部比想象中还要来得更高
[10:55] 好这说明着
[10:56] 大家投的钱
[10:57] 其实未来几个季度
[10:59] 看起来只会越来越多
[11:00] 完全没有任何递减的迹象
[11:02] 全球五大超大规模的云端业者
[11:05] 总算力
[11:05] 从2025年的30G
[11:08] 大幅成长到2028年的116G
[11:11] 短短三年预估会成长接近有四倍
[11:13] 那真正的挑战
[11:15] 现在不只是建设速度了
[11:17] 就变成资金来源的问题
[11:18] 大摩的预估是
[11:20] 这80GW新增的算力
[11:22] 代表未来三年
[11:23] 可能至少要4兆到8兆美元的资本支出
[11:27] 那大型科技公司
[11:29] 现在自由现金流FCF
[11:31] 都已经要转付了
[11:32] 势必未来你要继续扩张
[11:34] 只有一个条件
[11:35] 要么就发债
[11:36] 要么就股权融资
[11:38] 这也是我们呼应最近观察到
[11:40] AI的债券市场的利差持续扩大
[11:43] 融资成本上升的迹象
[11:45] 以前大家比竞赛
[11:46] 巨头就比技术
[11:48] 比谁的晶片用得好
[11:50] 比谁的供应链调整得完整
[11:52] 现在变成谁更容易取得资金
[11:55] 融资能力已经变成
[11:56] 下一场阶段AI竞争的关键了
[11:59] 所以我们回过头看
[12:01] 现在因为今年已经募了
[12:04] 大概有2500亿左右的资金
[12:06] 你要再继续往外扩
[12:08] 就必须同时采用资产负债表外的
[12:10] 合资公司模式
[12:11] 就针对单一资料中心
[12:14] 成立专案公司
[12:15] 就为了一间资料中心
[12:16] 先成立一间公司
[12:17] 然后再透过这个专案融资来发行债券
[12:20] 其实目前大概已经有90亿美元的资金
[12:23] 投入到数十个资料中心的专案
[12:25] 那这类融资模式未来会持续加大
[12:27] 财报看不出来
[12:28] 不过你知道
[12:29] 他们正在用更多的方式来搞钱
[12:32] 那目前市场上最大的问题
[12:34] 就是来自于投资人的确在过去几个月
[12:36] 过度相信大型科技公司的信用
[12:39] 导致不同专案之间存在的巨大的契约差距
[12:43] 很多人看到
[12:44] 反正就是Google、Meta、甲骨文在参与
[12:46] 那风险都差不多
[12:47] 但实际上每一笔资料中心专案的租赁保证
[12:51] 它的施工责任还有违约条款都可能不同
[12:53] 同样是AI资料中心债券
[12:55] 保障程度有很大的落差
[12:58] 尤其我们看到之前看到的CNBS
[13:01] 或者资料中心的抵押相关
[13:04] 很多人是这样子
[13:05] 盖好资料中心以后
[13:06] 把这资料中心抵押给银行
[13:08] 贷出更多钱再盖下一座资料中心
[13:10] 因为资料中心本身也是值钱的
[13:12] 但问题就来自于
[13:13] 这种持续循环的游戏
[13:16] 现在三个专案
[13:18] 我们以云端新创公司
[13:19] Frostec
[13:20] 三座资料中心为例
[13:22] 大概是110亿
[13:23] 虽然都是Google提供资源
[13:24] 可是背后保障的内容就不一致
[13:26] 有一座是Google提供完整的租约担保
[13:29] 即使承租方无法履约
[13:31] Google还是会承接租约
[13:33] 那对于债券投资人作为保险
[13:34] 那另外一个是Google担保
[13:36] 可是租金还打七五折
[13:38] 还有第三个专案
[13:39] 它采取的是依据营运的成本
[13:42] 来计算租金
[13:43] 保障程度又更低了
[13:44] 同样都是Google支持的专案
[13:46] 但是有些资料中心
[13:47] 它并没有确保一定会有人使用
[13:49] 我们只能说现在Google很缺
[13:51] 所以其实资料中心最大的风险
[13:54] 我们还必须承认
[13:55] 其实都不是现在
[13:56] 我们都会担心
[13:57] 现在的压力是没有钱的问题
[13:59] 或者融资成本越来越高的问题
[14:01] 资料中心最大的风险
[14:02] 都是等28年29年
[14:04] 盖完之后的完工风险
[14:06] 资料中心还没有建成之前
[14:08] 资金收入还不会有流露
[14:09] 所以现在市场上
[14:12] 就是给它透支预期而已
[14:13] 但是等到完工
[14:15] 或者发现工程严重严荡以后
[14:17] 那投资人就无法收到现金流了
[14:20] 压力就会来了
[14:21] 比如说甲骨文支持的是
[14:22] 密西根州的资料中心的专案
[14:25] 即便公司实力不如其他大型公司
[14:27] 但如果他在特定时间
[14:30] 的确已经开始支付租金
[14:32] 那不论资料中心是否如期完工
[14:34] 他都能够保障投资人的收益
[14:36] 所以现在资料中心
[14:38] 以资料中心作为抵押的债券
[14:40] 反而受到市场上不同的评价
[14:42] 那消息还是非常错乱的
[14:44] 那总结来说
[14:45] 未来AI投资周期会不会转向
[14:48] 我觉得大概还是三个可能性
[14:50] 第一个就是很简单
[14:52] 云端巨头发现自己投胎都在AI了
[14:54] 现金流吃紧
[14:55] 被迫收手
[14:57] 有了第一个收手
[14:58] 就会有人第二个收手
[14:59] 大家会想办法能不能做技术突破
[15:01] 不要用这么多的算力
[15:03] 可以创造更多的算力
[15:05] 概念是这样
[15:05] 就不要买那么多GPU
[15:07] 也可以创造足够应付你的算力
[15:09] 那第二个就是记忆体价格太贵
[15:11] 成本太贵
[15:12] 拖累了投资成本
[15:14] 那企业被迫喊卡
[15:15] 那第三个呢
[15:16] 是原物料涨价
[15:17] 推升通膨
[15:18] 央行因此趋于强硬
[15:20] 最后融资成本过高
[15:21] 玩不下去
[15:22] 唯一不可能的就是
[15:23] 资本支出每年永远都成长
[15:25] 因为目前看起来
[15:26] 生产力还没有完全的跟上
[15:28] 所以其实最好的方式是什么
[15:29] 其实还是靠技术突破
[15:31] 也就是能不能以后
[15:32] 就是不要花那么多钱
[15:33] 可是不花那么多钱
[15:35] 可以创造更多的算力
[15:37] 那推出VRubin
[15:38] 推出更好的产品
[15:40] 这提升算力我认为可能是最简单的方式
[15:43] 事实上我觉得这两家公司几乎已经奠定了基础
[15:46] 未来几周的财报如果是公布好的
[15:49] 那不一定涨
[15:51] 公布不好的那一定跌
[15:53] 接下来7月23号有Intel然后到8月初我们看到到时候的苹果亚马逊 凯霞 PentierAND你像Meta的部分我们也要看看
[16:04] 如果这个时机点
[16:06] 取得更多的AI算力的租约
[16:09] 是不是反而能够拉动股价的重要方式
[16:11] 因为Meta
[16:12] 你看前阵子是期许头当中
[16:14] 股价表现来得最为亮丽的
[16:16] 之前就是传出跟Enthropy
[16:18] 洽谈出租AI资料中心的运算能力
[16:20] 当时交易金额是100亿美元
[16:22] 合作期间大概是两年
[16:24] 也就是当市场去怀疑
[16:26] 你Meta你的MUSE AI
[16:28] 你的Lama
[16:29] 到底有没有那么多人用的时候
[16:31] 他直接告诉你
[16:32] 没人用没关系
[16:34] 反正我们已经出租了闲置的算力
[16:36] 来创造新的营收
[16:37] 所以我们把钱都花在刀口上
[16:40] 不会浪费
[16:41] 你只要释出这样的一个氛围
[16:42] 也许市场就能够产生
[16:44] 一定程度的提振效果
[16:46] 那当然我们几乎有些财报就认定了
[16:49] 即便他缴出不错财报
[16:50] 市场承压依然会相当沉重
[16:52] 其中一个当然就是SpaceX
[16:54] 它跟特斯拉几乎是面临同样的困境
[16:57] 那就是市场估值极高
[16:59] 而且你要让它的营收立即认列
[17:02] 让它的梦想实现
[17:03] 肯定不是下一个季度
[17:04] SpaceX接下来是8月4号
[17:07] 就要公布上市之后
[17:08] 首份的季度财报
[17:10] 这是第一次公司挂牌以来
[17:12] 首次接受市场的全面检验
[17:14] 在这个过程当中
[17:16] IPO价格又破底了
[17:18] 现在已经来到115块
[17:20] 当时高点是230
[17:22] 真的是腰斩
[17:24] 尤其我们清楚知道
[17:25] 接下来就要解禁了
[17:27] 不同于一般IPO
[17:29] 180天之后的一次性解禁
[17:31] SpaceX采取的是
[17:32] 分阶段式的试股模式
[17:34] 希望可以降低大量股票
[17:37] 同时流入到市场所造成的冲击
[17:39] 从8月6号起
[17:40] 符合资格的股东
[17:42] 最多可以出售20%的受限股票
[17:44] 规模大概9.1亿股
[17:46] 这资金量也是很庞大
[17:48] 那这也就代表着
[17:49] 很多员工
[17:50] 他搞不好早就想卖了
[17:52] 因为他等到8月6号
[17:54] 那现在你看
[17:56] 一个月前卖跟一个月后卖
[17:58] 那价格也差很多
[17:59] 前面已经有很多人抬高先出货了
[18:02] 现在股价烂了
[18:03] 小员工终于解禁了
[18:04] 那你要看
[18:05] 那以员工看到现在的股价
[18:08] 到底是急着多买几股
[18:10] 还是在8月6号解禁之后
[18:12] 疯狂的抛售兑现呢
[18:13] 我们就可以了解
[18:14] 这些员工的信心为何了
[18:16] 当然了
[18:17] 这也说明着
[18:18] 市场上针对火箭业务
[18:20] 或者低轨卫星业务的评价
[18:22] 目前看起来还是抱持的一定迟疑的
[18:24] 这一波IPO行情真的就是昙花一现
[18:27] 那太空资料中心
[18:28] 目前SpaceX的计划也没有晕扯打消
[18:31] 目前已经打造
[18:32] AI1的轨道资料中心计划了
[18:34] 他真的要把资料中心设上去
[18:37] 把AI运算搬到太空
[18:39] 并且透过Starlink卫星网络来串联
[18:42] 形成全新的太空AI基础建设
[18:45] 那当然我们按照德营的预估研究
[18:47] 从物理学角度来看
[18:49] 这项构想具备可行性
[18:51] 真正的挑战在于成本和它的规模
[18:53] 而且看起来不太可能在这两年立即呈现
[18:57] 所以这取决于市场愿意给它多少的估值空间
[19:01] 每颗卫星预估可以传送120到1500瓦的运算能力
[19:05] 差不多等于挥达一座GB300 NB-Link 72的机轨
[19:10] 那SpaceX计划最快明年就可以部署
[19:14] 那我们就看看
[19:15] 因为他也说今年奥斯汀的Robotex
[19:18] 也就能够布局到全国
[19:19] 好像已经7月份了
[19:21] 所以这件事情都意味着
[19:22] 市场上肯定会用更高的评价来做看待
[19:25] 再来我们看一下老黄
[19:26] 老黄的部分
[19:28] 他在昨天也表达说
[19:30] AI晶片仍然不够
[19:31] 新型资料中心的晶片用量
[19:33] 至少是过去的10倍
[19:35] 这也没错
[19:36] 只不过市场上
[19:37] 现在更在乎的是你口袋里的钱
[19:39] 而不是你已经盖了多少的资料中心
[19:42] 他的表达认为
[19:43] 每年成长至少是以25%的需求来成长
[19:46] 新一代的AI资料中心
[19:48] 所需要的晶片数量
[19:49] 至少是传统资料中心的十倍
[19:51] 所以大家赶快来买吧
[19:53] 他也认为
[19:54] AI不只带动了晶片需求
[19:55] 也会创造工厂的建设
[19:57] 能源供应和资料中心
[19:58] 还有大量的工作机会
[20:00] 所以这项产业
[20:02] 只是处于萌芽期
[20:03] 未来还有进一步的拉伸条件
[20:06] 那当然他讲这样的话
[20:07] 某种程度还是要推自己的GPU
[20:09] 扩大自己的生态系
[20:11] 我们现在更关注的一点是
[20:13] 那未来会用什么样的角度
[20:14] 来解决本轮的趋势呢
[20:16] 我们刚才讲过最好的结局就是
[20:18] 藉由技术的突破来降低资本支出的效率
[20:22] 就是资本支出本来花100亿
[20:25] 可以有如此多的算力
[20:26] 现在变成两倍三倍的算力
[20:28] 那就是很好的一件事情
[20:29] 可是它某种程度也意味着
[20:31] 技术的突破不只是我们看到GPU技术的突破
[20:35] 而来自于市场上针对AI语言模型的突破
[20:39] 最近我们知道中国AI的全球竞争力
[20:41] 正在快速提升
[20:42] 让很多白宫内部官员
[20:45] 开始去思考
[20:46] 要如何采取更进一步的封锁态势
[20:48] 可是现在压力很大
[20:49] 为什么
[20:49] 因为美国政府现在研究
[20:52] 是否要禁止中国的大圆模型
[20:55] 那其实很难做实质禁止
[20:57] 因为开放权重模型
[20:59] 一旦开放之后
[21:00] 它就能够被下载
[21:01] 被修改在本地端运行
[21:03] 那它就不太像是硬体一样
[21:05] 像电动车
[21:06] 或者像部分中国的产品
[21:09] 直接用关税或者金链来做阻挡
[21:11] 那中国模型现在
[21:12] 其实也是深入了美国市场
[21:13] 我们从AI的平台OpenRouter上
[21:16] 美国企业使用Token
[21:17] 大概有60%来自于中国模型
[21:19] 不过因为开源
[21:20] 中国本来就会比较多一点
[21:21] 你像Doordash或者Airbnb
[21:23] 都把这一项中国的开源权重
[21:26] 视为重要的参考对象
[21:28] 其他像是OpenAI Entropy
[21:29] 其实本身也在做使用
[21:31] 美国如果全面限制中国模型
[21:33] 有很多现在系股的新创研究机构
[21:36] AI的基础设施业者
[21:38] 反而也可能会受到压力
[21:40] 所以我们看得很清楚
[21:41] 如果企业进入到AI token成本大战
[21:45] 其实是会有压力的
[21:47] 你像Uber
[21:48] Uber之前不是说什么四个月
[21:49] 就不小心用完整年度的AI预算了
[21:51] 最后还要限制原工具使用
[21:54] 每项工具最多使用1500美元
[21:56] 为了省钱
[21:57] 现在很多企业就开始改用
[21:59] 价格更低的中国模型了
[22:00] 部分旗舰模型的token价格
[22:02] 大概是美国的五十分之一
[22:04] 也带动了司服器
[22:05] 从云端搬回到企业机房
[22:08] 当然了
[22:09] 真正的重点不是一昧的少用AI
[22:11] 是让每一笔的token产生更高的效益
[22:14] 那如果真的往这个方向走
[22:16] 那也许未来的资本支出就能够缓步下滑
[22:19] 或者说对于企业端而言
[22:21] 那如果只是做传统客服的
[22:23] 并不是要做推理训练的
[22:24] 你先用开源的中国AI
[22:26] 然后等到你真的有需要做更进一步推论的
[22:29] 那再采用美国的前沿模型
[22:31] 所以我个人的看法是
[22:32] 即便AI模型成本
[22:34] 未来看起来有机会持续下滑
[22:36] 也不代表整体的支出会跟着下降
[22:38] 就像高速公路免收费
[22:40] 不会让大家少开车
[22:42] 反而会吸引更多人上路
[22:43] 云端储存变得便宜
[22:45] 你会因为这样子就少存资料吗
[22:47] 不会
[22:47] 你会开始备份更多的照片
[22:49] 影片
[22:50] 档案
[22:51] 价格下降最大的效果
[22:53] 并不是节省成本
[22:55] 它反而创造了新的需求
[22:56] 所以我反而是乐观的
[22:57] 当AI推理成本越来越低
[22:59] 企业自然就会把更多的工作
[23:01] 交给AI来完成
[23:02] 原本不用AI的流程
[23:04] 开始导入到AI
[23:05] 原本一天呼叫一次模型
[23:07] 现在变成每分钟每秒都在使用
[23:09] 最终总算力需求反而能够向上
[23:12] 这是我的乐观构想
[23:14] 最经典的故事
[23:15] 记者到深山
[23:17] 采访一位苦行僧
[23:19] 阿弥陀佛
[23:20] 请问大师在此修行多久了
[23:24] 约莫三十年了
[23:26] 请问大师
[23:27] 一个月你还会动情几次呢
[23:30] 大师说
[23:32] 平生功力尚浅
[23:34] 一个月仍然会动情三次左右
[23:37] 哇大师修为果然高深
[23:40] 令人佩服
[23:41] 那大师说哪里哪里
[23:43] 一次十天而已
[23:44] 所以总量不变
[23:46] 有时候我们看到
[23:48] 甚至还会持续创高
[23:50] 因为很多人容易陷入那种
[23:51] 成本下降
[23:52] 需求就一定会减少
[23:54] 汽车成本变便宜那汽车产业就崩溃了不会啊那搞不好更多人选择去开车真正市场往往刚好相反技术进步降低的就是单位成本
[24:04] 它不是总需求
[24:05] 每一次的效率提升
[24:06] 都会催生出更多新的应用
[24:09] 更大的使用规模
[24:10] 以及更高的整体消耗
[24:12] 所以未来能不能成功
[24:14] 取决于两点
[24:14] 第一单位成本能否下滑
[24:16] 那第二呢
[24:17] 你的使用量有没有因此增高
[24:20] 那它就有钱收了嘛
[24:21] 第三你增高以后
[24:23] 那你的生产力有提升吗
[24:24] 如果你的生产力也真的提升了
[24:26] 你就会继续使用
[24:27] 你继续使用
[24:27] 它就会继续盖
[24:28] 它继续盖
[24:29] 而且成本下滑
[24:30] 它就有获利空间了
[24:31] 这是我觉得最美好的设想了
[24:34] 当然了
[24:34] 这也就说明了
[24:35] 那你说难道不会对于巨头
[24:37] 形成另类承压吗
[24:38] 尤其中国的模型这么好用
[24:40] 的确难免会有
[24:41] 再过几天
[24:42] Kimi K3的模型权重
[24:45] 就会正式的公开
[24:46] 所以到时候我们就可以了解
[24:47] 很多人说
[24:48] 是不是还是有真6的问题
[24:49] 反正过几天就知道了
[24:51] 到时候可以企业自行来部署模型
[24:54] 但更大规模的运算
[24:55] 当然还是需要背后的AI应急资源
[24:57] 你像阿里巴巴
[24:58] 现在拥有2.4兆参数的
[25:01] 千问3.8max的预览版
[25:03] 都说明着中国大型AI模型
[25:05] 它也是一个接着一个持续的推出
[25:08] 我们讲说
[25:08] 其实中国这一次也创造了新一代的New Reach
[25:11] 中国现在四大头部大语言模型的创始人
[25:14] Deep Seek 梁文峰
[25:16] 他是1985年出生
[25:17] 广东湛江状元
[25:20] 最后宝送清华
