[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 2.94%
[08:13] 相对而言的确比较疲惫
[08:16] 可是我们看
[08:16] 最常普遍的预估
[08:18] 都是明年再投一年
[08:20] 然后明年年底
[08:21] AI资料中心
[08:22] 在两年前投入的资金
[08:24] 就要逐步建成了
[08:25] 一旦建成以后
[08:26] 营收就能够开始有效的回馈
[08:29] 而且这个时候
[08:30] 不确定性也变成确定性了
[08:31] 就是到时候你真的开始使用
[08:33] 你还没盖完之前
[08:34] 你都无法认列折旧
[08:36] 你开始认列折旧以后
[08:37] 你的利润其实就相对清晰了
[08:39] 所以等到28年29年
[08:41] 如果到时候
[08:43] 这个微软和Google
[08:45] 它还能够维持现在
[08:47] 60%到80%的营收成长
[08:49] 那么钱一定收得回来
[08:50] 这个就是我们最大的信心
[08:52] 现在其实有很多AI的新创企业
[08:54] 它也不是地端在运算
[08:56] 它始终要跟这些巨头们来租用算力
[08:59] 就跟我们现在使用
[09:00] 线上的云端系统一样
[09:02] 所以现在最大的风险
[09:04] 当然就是AI营收没有出来
[09:05] 可是你要想想看
[09:06] 它不盖完营收怎么出来呢
[09:09] 所以我们预估是
[09:10] 明年就会有大量
[09:12] 在两年前的资料中心计划
[09:14] 逐步建成
[09:15] 明年看是否能够有效的营收回馈
[09:18] 就是重点
[09:18] 明年投的钱还是很多
[09:19] 等到后年
[09:21] 我个人的看法是
[09:22] 我比较主观
[09:23] 我相信28年
[09:24] 我们就会提前看到
[09:25] 自由现金流全面翻证
[09:27] 这就是我们讲的生产力的爆发
[09:29] 生产力爆发
[09:30] 不一定是你很有感的
[09:31] 感觉机器人走在各地
[09:33] 而是当大量的AI新创公司
[09:35] 都需要算力的时候
[09:36] 就让这些资料中心的投入
[09:38] 开始有了营收的回馈
[09:40] 我认为这是最有可能的
[09:42] 所以回过头说
[09:43] 这对于台湾市场的影响
[09:45] 本质上就是资料中心建制潮
[09:47] 至少还是两年到三年左右
[09:49] 那两到三年
[09:50] 搞不成
[09:51] 那你也大概知道
[09:52] 迟早半导体的支柱要降下来
[09:54] 但是一旦搞成了
[09:55] 而且巨头们自由现金流翻正了
[09:57] 会干什么事情
[09:58] 当然是继续求
[10:00] 因为接下来的算力需求
[10:02] 自驾车 机器人
[10:03] 肯定会比现在
[10:05] 单纯的代言模型来得更大
[10:07] 我们看台积电在昨天7月份的营收
[10:09] 所以美股
[10:10] 费办是跌蛮重的
[10:12] 不过AD也不过跌0.37%
[10:14] 所以台积电其实卖压还好啦
[10:16] 台积电7月份营收是暴增了45%
[10:19] 来到4675.8亿美元
[10:22] 年增幅是
[10:24] 不好意思
[10:24] 台币年增幅45%
[10:27] 这一次也再度证明了
[10:29] 虽然AI资料中心好像有点过热
[10:31] 但实际的晶片需求比想象中还要来得强劲许多
[10:35] 那公司也上修了全年展望
[10:37] 将美元营收成长幅度预估会拉升到40%以上
[10:41] 那资本支出也拉高到创纪录的600亿到640亿美元
[10:46] 那当然如果接下来的资料中心
[10:48] 至少还有两年期的供给的瓶颈期
[10:51] 那就有利于台股市场持续的向上推
[10:54] 的确台积电在今年的表现
[10:56] 如果把它算入到7巨头或者8巨头
[10:59] 加我9巨头
[11:00] 全部算起来
[11:01] 已经算是比较亮丽表现的
[11:03] 基本上今年晶片股市场的卖压
[11:07] 台积电的卖压是少数比较轻的
[11:09] 主要还是来自于资金都是在记忆体这一块
[11:11] 那昨天台股上涨702点
[11:14] 稍微站回了季线
[11:15] 不过45000是得复时
[11:17] 但你也看得出来
[11:19] 台股本轮的反弹角度
[11:21] 相对于韩国股市
[11:22] 还是比较强劲一点
[11:23] 韩国股市要加把劲
[11:25] 要不然没有股市的晶片股
[11:27] 那感觉记忆题股的笼罩
[11:28] 还是比较大一点
[11:29] 而且你要知道
[11:31] 外资到今年为止
[11:32] 还是卖了台股接近有1.6兆
[11:34] 投信ETF买超
[11:36] 也不过买了7261亿
[11:38] 所以还是很明显感受到
[11:40] 外资针对整个台股的调节
[11:42] 依旧存在
[11:42] 那这当然不是针对性调节
[11:44] 亚洲股市的资金
[11:45] 本来就出现了比较明显的转变
[11:47] 以前市场涨跌很大程度
[11:50] 都是受到海外那些纽约伦敦的
[11:53] 海外机构资金的影响
[11:55] 但现在亚洲家庭都把更多的储蓄
[11:58] 从房地产从定存
[12:00] 转向股票和基金
[12:02] 所以其实这几年
[12:04] 我们看在亚洲市场当中
[12:05] 海外市场2021年以后
[12:07] 几乎没有什么在回补
[12:09] 你不要讲说单纯是台韩市场了
[12:12] 连整个大中华市场
[12:13] 印度市场
[12:14] 东南亚市场
[12:15] 外资现在都不怎么回补了
[12:17] 可是你看在局色线的部分
[12:19] 国内市场的买盘却非常有用路
[12:22] 新兴市场在去年
[12:24] 自家股市自掏腰包
[12:26] 就花了5570亿
[12:28] 这是四年前的七倍以上
[12:30] 所以现在印度人
[12:32] 台湾人
[12:32] 印尼人
[12:33] 越南人都在自己买自家的股票
[12:35] 台湾证券户数有1450万户
[12:38] 相当于人口的62%
[12:40] 印尼去年有70%的交易量
[12:43] 都来自于本地投资人
[12:44] 越南的外资的交易占比
[12:47] 今年7月降到14%了
[12:49] 创下历史新低
[12:50] 你看得出来
[12:51] 整个东亚股市
[12:53] 外资都在讨
[12:54] 本地人都在结
[12:55] 为什么本地人有钱了吗
[12:56] 撑得住目前的价位
[12:58] 事实上我们看到
[12:59] 在去年一整年当中
[13:01] 你不要看今年
[13:01] 今年还是卖超
[13:02] 去年南韩也被卖了45亿
[13:05] 越南被卖了48亿
[13:06] 台湾被卖了78亿
[13:08] 就连印度外资也流出了188亿
[13:11] 但是你看
[13:12] 股价涨幅仍然十分漂亮
[13:14] 事实上台股在过去四年
[13:16] 涨了大概有接近两倍
[13:18] 在市值现在
[13:20] 在主要经济体当中
[13:21] 现在是排行第四
[13:22] 那的确
[13:23] 如果是从过去四年来看
[13:25] 台股是相对比较亮丽的
[13:26] 基本上就仅次于南韩市场的279%
[13:30] 过去四年台股是涨226%
[13:33] 那日本是168%
[13:35] 纳斯达克也不过150%
[13:36] 德国股是80%
[13:38] 纽约股是58%
[13:40] 所以这一波涨势
[13:41] 主要就是由半导体
[13:43] AI伺服器和电子供应链推动
[13:45] 大量的外汇收益进来以后
[13:47] 当然就持续往上推
[13:48] 所以有时候我们必须了解
[13:50] 就是说我们很习惯
[13:53] 以前会用外资的买卖超
[13:54] 来判断亚洲股市
[13:55] 外资空单增加
[13:57] 其实这些数据
[13:58] 到现在为止都没有这么重要
[14:00] 外资买你就弄会涨
[14:01] 外资卖你就会跌
[14:02] 外资已经卖了六七年了
[14:05] 所以第一个直觉
[14:06] 可能觉得股市可能
[14:07] 它虽然不至于大跌
[14:09] 但是也不应该大涨
[14:10] 没有他真的最后就大涨
[14:12] 所以这几年就出现那种完全不同的现象
[14:15] 外资就一路卖台韩股市
[14:17] 结果市场照样给他上涨下去
[14:19] 因为本地散户退休基金ETF
[14:22] 和机构的买盘在内部越来越大了
[14:25] 足以把外资所抛出的货给接走
[14:28] 那也不是外资失去判断力
[14:30] 市场的定价结构慢慢改变了
[14:33] 这是一个新的逻辑
[14:34] 我前阵子才看到一个名词叫
[14:37] 挡风剥离效应
[14:39] 他讲的就是
[14:41] 应该很多人都有类似经验
[14:42] 以前比如你在日本
[14:43] 夏天开车的时候
[14:45] 跑一趟高速公路
[14:46] 北海道
[14:46] 或者在台湾跑一下山路
[14:48] 挡风玻璃不是
[14:49] 有时候就很容易
[14:50] 粘满那些小虫吗
[14:53] 死撞凄惨这样子
[14:55] 可是这几年
[14:57] 你有没有感觉
[14:58] 不管是海外开车
[15:00] 还是在国内开
[15:01] 你就发现
[15:02] 好像那个虫越来越少了
[15:03] 几乎撞不到
[15:04] 我第一个直觉
[15:06] 因为现在的汽车
[15:08] 都更流线型
[15:09] 空气力学来得更好
[15:11] 都开跑车你知道吗
[15:12] 那虫不会被我撞到
[15:14] 因为我车实在太优秀太好了
[15:16] 后来看一下才发现
[15:17] 真正的原因是什么
[15:18] 是因为虫真的变少了
[15:21] 后来不管是德国研究
[15:23] 英国研究都发现
[15:24] 现在的飞虫就飞行昆虫
[15:26] 季节性的生物量
[15:28] 至少减了八成以上
[15:29] 那背后有很多原因
[15:30] 有的都市化
[15:31] 农药撒很多
[15:33] 棲地的消失
[15:34] 光害
[15:35] 气候变迁等等
[15:36] 或者现在太阳越来越大了
[15:39] 虫子不愿意飞了
[15:40] 所以从这件事情放到投资也很值得思考
[15:43] 有时候我们看到一个事情
[15:45] 都想要听一个合理的解释
[15:47] 台股涨成这样
[15:48] 那看起来是外资有点回补
[15:49] 或者外资卖压这么重
[15:51] 台股不至于大跌但是没机会上涨这几年就是它一直大卖我们就这样子一直大涨上来所以投资最危险的不是看错数字是数字看对了但解释错原因了
[16:03] 我们要了解它的内生动力为何
[16:05] 这个很重要
[16:06] 我们看台股的成交金额
[16:08] 在过去9年大概也暴增了
[16:10] 接近有4.3倍
[16:11] 股票交易也成为了绝对的主流
[16:14] 事实上交易结构也出现比较大的改变
[16:17] 2016年股票只占证券成交金额
[16:20] 大概29.6%
[16:21] 到25年来到74%
[16:23] 债券从67.3%
[16:26] 一路下滑到19.6%
[16:27] 主要就来自于
[16:29] 寿险基金
[16:30] 他当时所买的债券
[16:31] 相对于散户
[16:33] 目前涌入股市的速度
[16:34] 形成了极大的一个转换
[16:36] 很多人以前是
[16:37] 把钱给寿险基金
[16:39] 那可能最后去买债券
[16:42] 或者买国内发行的债券型ETF
[16:44] 后来发现直接绕过寿险
[16:46] 那直接自己买
[16:47] 或者买股票
[16:48] 比较偏好
[16:48] 获取更高的一个报酬
[16:50] 那当然
[16:51] 由于台股现在已经高度科技化
[16:53] 半导体成交占比
[16:54] 目前也已经完全突破了三成
[16:57] 它背后就来自于出口的持续增长
[16:59] 上礼拜最新公布的7月出口是753亿美元
[17:03] 创下历年的单月第三高
[17:05] 年增幅有32.9%
[17:07] 这已经连续33个月成长了
[17:10] 成长时间已经有两到三年左右了
[17:13] 而且前7月的累计出口是4919亿
[17:17] 年增幅44.7%
[17:19] 再创率也新高
[17:20] 财政部预估8月份到10月份
[17:22] 是全球的拉货旺季
[17:24] 一定会创下历史新高
[17:26] 所以这一波很明显
[17:28] 因为台湾的出口对象
[17:31] 现在最大占比已经变成美国了
[17:33] 占比大概是31%
[17:35] 中国市场是25%
[17:37] 东协是18%
[17:39] 所以在AS福气的持续带动底下
[17:42] 我们刚讲过
[17:43] 就是28年到29年
[17:45] 是第一波的检验期
[17:46] 就是投的钱到底划不划算
[17:48] 能不能让我的自由现金流翻正回来
[17:50] 翻正回来就可以从第二阶段
[17:52] 往五年十年更长远的资本支出来做布局
[17:56] 但至少还有一到两年的瓶颈期
[17:58] 或者说供给的紧缩期
[18:00] 那就代表着出口至少再好一两年
[18:02] 这是我的看法
[18:03] 其实从今年来看
[18:05] 整个2026年应该又是亚洲四小龙的天下了
[18:08] 台湾前七个月出口年增幅是44.7%
[18:11] 南韩是50.5%
[18:13] 香港是44.5%
[18:15] 新加坡也有38.1%
[18:17] 所以相对于中国市场
[18:19] 美国日本德国
[18:20] 今年就是亚洲四小龙
[18:22] 四个经济体的成长
[18:24] 是全部大幅领先其他发达经济体
[18:27] 这也代表着外汇收入进来很快
[18:29] 我们看台湾上市柜的企业营收
[18:32] 目前在上半年已经来到30.1兆台币
[18:36] 你要想想看
[18:37] 30.1兆
[18:39] 你就算是只看毛利率好了
[18:41] 只有10%
[18:43] 那个资金量是有多庞大
[18:45] 对于台股而言
[18:46] 所以这波成长很明显
[18:48] 不只是科技业受惠
[18:50] 金融服务业也很受惠
[18:51] 上半年营收26.1%
[18:53] 它都是非常明显
[18:55] 由科技带头所助长的内部繁荣
[18:58] 那ETF市场
[18:59] 其实在早年
[19:01] 五年前十年前
[19:02] 其实台北股市的成交金额
[19:04] 很多都是一些反义
[19:06] 正恶
[19:07] 甚至是入股的杠杆型ETF
[19:09] 这几年也逐步变成
[19:12] 我们看到全职型ETF
[19:13] 那前几年是高股系ETF了
[19:16] 但至少小资族参与的决心也越来越高
[19:19] 上市柜的零股成交金额占比
[19:21] 现在也在快速提升
[19:23] 去年零股成交金额是2.5兆
[19:25] 今年搞不好要直接翻倍
[19:26] 占成交值也大概有2%
[19:29] 相对于2019年制度改革前的354亿元
[19:33] 6年零股交易已经翻了
[19:36] 接近有70倍左右了
[19:37] 尤其现在定期定额的全面ETF化
[19:40] 就让大家更不容易被甩掉了
[19:42] 我买ETF
[19:43] 你股灾是能够把我杀到什么地步
[19:45] 所以就更愿意进行扣款
[19:47] 那最后导致的效果就是
[19:49] 我买了ETF
[19:50] 我做了稳健型投资
[19:52] 我也确保我不会被洗掉了
[19:53] 那我该怎么做呢
[19:54] 有些人当然选择在今年
[19:56] 可能他愿意做杠杆
[19:58] 来扩大自己的部位
[19:59] 尝试着超车
[20:00] 有些人飙车
[20:01] 那可能一次股灾可能就翻车了
[20:04] 可是有些人他是慢慢慢慢的上杠杆
[20:06] 我们看国营个人放款
[20:08] 在过去半年已经暴增了一兆元
[20:12] 来到47兆8千亿
[20:14] 光是6月就增加了
[20:16] 接近有5000亿左右
[20:17] 企业端的需求也很强
[20:19] 年增幅有58%
[20:20] 增加了1兆7400亿
[20:22] 所以个人放款
[20:24] 加上企业贷款
[20:25] 合计大概已经增长了
[20:27] 9成的增量
[20:27] 市场上要么就是
[20:28] 企业去做投资
[20:29] 要么就是个人去借钱
[20:32] 然后来做股票投资
[20:33] 反而房地产市场
[20:35] 不断的收缩
[20:35] 所以我们看这次金管会
[20:37] 出招了
[20:38] 从这礼拜开始
[20:39] 已经正式要求银行
[20:40] 全面清查股票投资相关贷款
[20:43] 也开始直接关切
[20:44] 信用交易的交易量大小
[20:46] 那市场原本是担心
[20:48] 上一次是整户的单保维持率
[20:51] 跌破140才会提醒
[20:52] 现在在金管会的要求底下
[20:55] 不少券商把预警线提高到150
[20:57] 准备未来在下一次的回调
[21:00] 碰到150提前通知
[21:02] 希望大家能够好好重视自己的风险
[21:05] 金管会也在尝试的稳定市场
[21:07] 那当然了
[21:08] 现在券商也很缺钱
[21:10] 第一钱都被借光了
[21:12] 第二内部不管是融资
[21:15] 还是股票借贷
[21:16] 交割贷电款
[21:17] 资金周转需求还是很强
[21:19] 为了补充银贷该怎么办
[21:21] 券商自己也在借钱
[21:23] 这不只是个人在借
[21:24] 券商也在借
[21:25] 你看在最近
[21:26] 发债规模透过连贷或者现金增资
[21:29] 大概是797亿
[21:31] 连贷是1400亿
[21:33] 现增大概是185亿
[21:35] 我们看到不管是凯基证
[21:37] 富邦证
[21:37] 元大证
[21:38] 永丰金或者我们看到华南镇
[21:42] 第一金镇美好镇
[21:43] 大家都在募资
[21:45] 每个人都缺钱
[21:46] 这就是我们看到的真实迹象
[21:48] 这给投资朋友作为一些参考
[21:50] 它所形成的效果
[21:52] 就是由科技业所带领的龙井
[21:54] 它支撑住了本轮股市的繁荣
[21:56] 但背后的根本逻辑
[21:58] 其实还来自于
[21:59] 现在市场的确出现了新一轮的New Rich
[22:02] 这一轮的买盘不是老钱
[22:04] 在那边资金移来移去
[22:05] 它就是一直有新的人持续参与
[22:08] 为什么
[22:08] 因为它的本业收入不断的提升
[22:10] 瑞银最新所公布的
[22:11] 2026全球财富报告
[22:13] 最新统计
[22:15] 当然最多的还是美国
[22:16] 美国真的很离谱
[22:17] 一年就增加了44万名
[22:20] 美元百万富翁
[22:21] 我们讲的是净资产
[22:22] 就是把你所有的财产
[22:24] 减掉你的负债
[22:25] 你的房子以后
[22:27] 剩下来的净资产
[22:28] 美国是增加了44万人
[22:30] 全球第一
[22:31] 第二名
[22:33] 英国跟美国大概差了十倍
[22:35] 英国只有4万人
[22:36] 法国3万人
[22:37] 西班牙3万人
[22:38] 日本3万人
[22:39] 印度3万人
[22:40] 可是亚洲方面
[22:42] 南韩2万人
[22:43] 中国1.4万人
[22:45] 台湾就排名第三了
[22:47] 有9800人
[22:48] 新加坡是5200人
[22:50] 香港是1891人
[22:52] 所以台湾其实也接近有一万人左右
[22:55] 在一年的时间内
[22:56] 就晋升到我们讲的高资产阶级
[22:59] 那这种资产分化的角度
[23:01] 当然韩国股市内部压力比较大
[23:03] 有些人可能五月份的时候
[23:05] 还是超级富豪
[23:07] 那可能等六月份过后
[23:09] 又开始回归平民的
[23:11] 这种资产分化
[23:12] 受到财富效果的影响
[23:14] 的确相对来的大
[23:15] 可是它背后
[23:16] 如果是依赖庞大的年轻世代
[23:19] 我们讲的New Ridge来做支撑的话
[23:21] 那这股买盘其实也没那么容易断掉
[23:24] 所以不要乱退休
[23:25] 不要乱离职
[23:26] 我们看这一波
[23:27] AI正在重写南韩的阶级
[23:29] 最近韩国很多媒体都有相关的报道
[23:33] 讲说在这一轮的半导体市场龙井当中
[23:37] 我们撇开财富的增长
[23:39] 就不看股价的增幅
[23:40] 我们就看受惠于年终奖金
[23:45] 现在SK海力士和三星
[23:48] 在部分部门
[23:49] 今年预估可以领至少40万美金的奖金40万美金等同于每个人就个1000万 1200万带动了部分科技聚落的实体房价甚至我们看到韩媒的报道
[24:02] 晶片工程师
[24:03] 现在在南韩市场
[24:05] 看起来是比医生律师
[24:06] 还要更受欢迎
[24:08] 成为南韩婚恋市场的新精英
[24:10] 南韩不是有很庞大婚恋市场吗
[24:13] 常常在韩剧里头看到
[24:14] 大型婚友社就表示
[24:15] 过去指定只想要认识医师
[24:18] 或者律师的女性
[24:19] 如今会主动要求
[24:21] SK海力士或者三星的工程师
[24:24] 连大学的科系选项都出现变化
[24:27] 2026年的招生当中
[24:28] 五个由三星和SK海力士
[24:31] 所支持的半导体科系
[24:32] 录取难度比首尔大学的
[24:35] 自然学科
[24:36] 医学学科
[24:37] 还要来得更为艰困
[24:38] 所以在这样的一个效果底下
[24:40] 等于社会的潮流也开始转变
[24:42] 一个是南韩市场
[24:43] 看起来那工程师
[24:45] 看起来是比律师医师
[24:47] 现在还要更受欢迎
[24:48] 那第二点是金融业
[24:50] 我们刚刚讲到
[24:51] 金融资产价格
[24:52] 也随着科技的爆发
[24:54] 而跟着创高
[24:55] 股市大涨以后
[24:56] 现在金融男神
[24:58] 也越来越受欢迎了
[24:59] 尤其私募男友
[25:00] 现在变成了好莱坞的新宠
[25:02] 这是华尔街日报的报道
[25:03] 今年夏天
[25:04] 大家发现好莱坞的女星
[25:06] 和私募股权的男友
[25:08] 他的组合开始变得越来越多
[25:10] 像瑞士威斯彭
[25:12] 就是演金发游物
[25:13] 还有Apple TV
[25:16] 那个晨间直播秀
[25:17] 那个女主角
[25:18] 就是瑞士韦斯彭
[25:20] 他就带着他的私募基金的创办人
[25:22] 男友哈尔曼出席首映会
[25:24] 那尼可基曼呢
[25:26] 也被拍到跟私募人士在意大利度假
[25:28] 23岁的歌手
[25:30] 罗德里哥
[25:31] 他也被拍到跟金融圈的男友来约会
[25:33] 所以那两个世界正在靠近
[25:35] 你发现一个是
[25:38] 很多明星因为已经不算是艺人了
[25:40] 很多明星都是那个品牌的经营者
[25:43] 制作公司老板或者投资人
[25:45] 那私募股权人士
[25:47] 他擅长买公司
[25:48] 刚好可以搭配
[25:50] 双方生活方式和商业思维上
[25:53] 反而有不少交集
[25:54] 所以现在韩国人是偏爱工程师
[25:58] 美国人现在就偏爱金融男
[26:00] 大概是这样的一个逻辑
[26:01] 我见过那么多男生
[26:03] 金融男是最需要提防的
[26:05] 以前我们聊过
[26:06] 通常那种渣男
[26:08] 以前我们的印象中的渣男
[26:11] 都是那种酷酷帅帅的
[26:13] 长得帅就能够为所欲为
[26:16] 但是其实还会情乐女神
