[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 現在唯一能夠賺錢的
[13:35] 這個是今年OpenAI可能下半年會提前推出的態勢
[13:40] 因為要搶錢要趁現在
[13:42] 事實上如果我們以主流AI模型來做整理
[13:45] 會發現的確OpenAI已經開始產生部分的排名鬆動
[13:49] 我們從文字能力
[13:50] 程式碼
[13:51] 視覺理解
[13:51] 影象生成
[13:52] 和搜尋推論
[13:53] 以及影像生成來看
[13:55] 整體文字任務
[13:56] 目前是Google的Gyminis 3 Pro排行第一
[13:58] 緊接的是Grok和Gyminis 3 Flash
[14:01] 那當然如果是從程式碼來看的話
[14:04] 現在是Cloud源源領先
[14:06] 4.5 Thin Kim
[14:07] 那在GBT 5.2排行第二
[14:09] 其他我們看到生成類能力的部分
[14:12] 文字生圖
[14:13] 第一名是Chad GPT
[14:15] 這個就是我們看到
[14:16] OpenAI少數比較有顯著領先的
[14:19] 再來我們看到的是文字轉影片
[14:21] 或者圖片轉影片
[14:23] 基本上都是Google完全包辦前面幾名
[14:27] 所以這件事情也就意味著
[14:28] 其實大家各自都有陸續的領先
[14:31] OpenAI過去那種全面領先的態勢
[14:34] 其實已經開始陸續鬆動了
[14:36] 第一個就是市場區隔的精準加急
[14:38] Google現在是很明顯去鎖定消費者型AI
[14:41] 就是藉由龐大的生態系統和垂直整合能力
[14:45] 你用我的Gmail
[14:46] 我順便送你雲端
[14:47] 讓大家覺得使用Gmail
[14:50] 使用Google搜尋引擎
[14:51] 感覺更為方便
[14:52] 要去搜尋
[14:53] 現在搜尋Google
[14:54] 底下就會有AI的搜尋列表
[14:56] 它的建議欄給你了
[14:58] 感覺就完全掌握了消費型AI
[15:00] 那Ethropic呢
[15:01] 它是完全去攻佔企業級AI
[15:03] 在企業應用方面
[15:05] 它背後有Google
[15:06] 有亞馬遜的雙重支援
[15:07] 所以呢
[15:08] 對於企業內部的代理人AI
[15:10] 現在有非常明顯B2B的營收的基礎
[15:13] 再來就是資本市場的用腳投票
[15:16] Google有生態系的一個支援
[15:18] 那Enthropic有企業端的支援
[15:21] OpenAI的盟友
[15:22] 那看起來一個一個接著離開它
[15:25] 那後續能不能持續獲得這麼多的資金
[15:28] 可能就是一個導火線
[15:29] 但不管怎麼說
[15:30] AI時代的領跑公司
[15:32] 它是以每個月的速度快速的變革
[15:34] 拉伸成整個產業的浪潮和更替
[15:37] OpenAI現在3000億到5000億的估值排去前面
[15:40] 就說明大家對它的評價很高
[15:43] 所以有個風吹草動
[15:44] 當然就容易有市場估值的提升或者縮減
[15:48] 在這樣效果底下
[15:49] 確實GPT-5最近所遇到的問題
[15:51] 很多研究員出走以後也受訪
[15:53] 包括第一效能提升不如預期邊際效用遞減的問題第二是高質量的訓練資料枯竭現在不像Google它有無條件的資料可以來做使用OpenAI現在找不到更多的資料
[16:06] 缺乏足夠的新資料來推動模型智力的增長
[16:10] 第三就是模型擴充套件和復現的工程障礙
[16:13] 工程團隊現在遇到一些技術障礙
[16:15] 表示在GPT-5模型當中
[16:17] 重新出現之前小模型實驗所遇到的一些問題
[16:21] 原有的路徑可能必須要打掉重煉
[16:23] 可是我們的資源不像大公司有這麼多
[16:26] 在種種效果底下
[16:27] 我們看最近Anthropic
[16:28] 才推出新一輪的AI協作工具
[16:31] 它具有專業的法律背景
[16:33] 推出可以在合約時進行審閱
[16:37] 法律摘要和檔案整理的自動化能力
[16:39] 我們知道AI功能其實都有
[16:41] 但是一個比較準確
[16:43] 而且專門針對特殊領域的AI軟體
[16:46] 其實過去大家不太敢推出
[16:48] 因為要怕負法律責任
[16:50] 結果這一次一推出以後
[16:52] 直接點燃市場對於專業資料
[16:54] 和法律軟體被AI吃掉的恐慌情緒
[16:57] 我們看昨天
[16:57] 一大堆的法律和專業資料服務公司
[17:00] 全面重挫
[17:02] 多家歐洲資訊和分析服務商都出現
[17:05] 接近是雙位數字的下跌
[17:06] 如果從去年到現在
[17:08] 那個跌幅有的都跌六成七成
[17:11] 那另外一方面
[17:12] 我們看Cloud
[17:13] 最近很少AI圈
[17:14] 連非工程師也被震撼到
[17:16] 不管是我們看到很多主持人
[17:19] 或者主管投資人
[17:21] 把實際工作交給CodeCode
[17:23] 這一次短時間內
[17:24] 也迎來了超乎預期的成果
[17:27] 大家非常喜歡用這樣的AI軟體來寫程式
[17:30] 陸續我們看到
[17:31] 種種效果都意味著
[17:33] 市場的週期輪替速度非常快
[17:35] 馬斯克也沒有閒著
[17:36] 馬斯克也在搶錢
[17:38] 馬斯克最近
[17:39] 本週才拍板一筆震撼市場的交易
[17:41] SpeedX跟虧損中的AI新創XAI
[17:45] 以及社群平臺整合在一起
[17:47] 打造出估值1.25兆美元的私人企業
[17:51] 那這個是史上最貴的未上市企業
[17:53] 對外宣稱
[17:54] 這一次的合併
[17:56] 是為了把資料中心送上太空
[17:58] 在月球蓋工廠
[17:59] 替火星殖民來鋪路
[18:01] 那支持者認為
[18:02] 這是一個可以把回收火箭
[18:04] 把星鏈的網路
[18:05] 以及X資料和AI模型
[18:07] 整合的戰略級的佈局
[18:09] 不過呢
[18:09] 有些人會覺得
[18:11] 那就是財務操作
[18:12] SPEX有高估值
[18:14] 那XAI每天都在燒錢
[18:17] 我用我的高估值去沖銷掉
[18:19] 每天花錢的XAI
[18:20] 這個時候就可以靠個人光環
[18:23] 和市場信仰
[18:24] 把所有公司的估值一起給拉高
[18:26] 用這樣的一個方式
[18:28] 在不到18個月的時間
[18:29] 馬斯克體系的SitbackX和XAI
[18:32] 合計估值大概從2000億美元
[18:35] 現在是1.2兆
[18:37] 單一組合就貢獻了
[18:38] 超過1兆美元的估值增量
[18:40] 把其他公司
[18:41] 你看OpenAI, AstroPig, Figure AI
[18:44] 全部比較起來
[18:46] 那個高一個量級大概就高三倍到四倍
[18:49] 馬斯克帝國已經正式成立了
[18:51] 那這件事情也就意味著
[18:53] 這個馬斯克接下來可能會有更多的資源
[18:56] 至少短期內不太缺錢的情況底下
[18:58] 有進一步的跳級
[19:00] AI專注型公司
[19:01] 現在在估值上的確已經全面超車
[19:04] 傳統的超級獨角獸
[19:05] 前面幾名都是AI的核心標的
[19:07] 剛才提到的
[19:09] SPECX加XAI
[19:10] OpenAI5000億
[19:12] Anthropic和Databricks
[19:14] 基本上都是數百億到數千億之間
[19:16] 那之前那種非AI的獨角獸
[19:19] 什麼虛硬
[19:20] Canva
[19:21] 那個都已經排到後面去了
[19:22] 很明顯開始陸續有鬆動的空間
[19:25] 所以後續我們看馬斯克
[19:28] 面臨到的一些衝擊
[19:30] 都是屬於那種短期的亂流
[19:32] 都並不是長期的這種資本的回饋
[19:35] 和AI技術的突破
[19:36] 如果我們細看
[19:37] 的確威魔現在募資160億
[19:39] 相對於馬斯克現在的資金量小的可以
[19:43] 但是威模現在也是大量的推出無人繼承車商
[19:46] 進入到歐洲市場當中
[19:48] 馬斯克在今年下半年
[19:50] 看起來就跟威模會有一場大戰了
[19:52] 不過更有可能的結果是
[19:53] 它是一個增量市場
[19:55] 大家都會越賺越多
[19:57] 再來是馬斯克上禮拜就已經停產Model S和Model X
[20:01] 把所有產能全部往機器人來做攻堅
[20:05] 這一次機器人其實拉抬速度
[20:07] 很明顯是受到中方的壓力
[20:09] 我們清楚知道
[20:10] 德州儀器現在已經匯入人形機器人
[20:13] 而且基本上是採用中國的UB選
[20:16] 那中國的UB選
[20:17] 這一次匯入半導體生產使用
[20:19] 很多人說
[20:20] 這個德儀買這家機器人
[20:22] 表示他對於機器人的認知
[20:24] 和對於中國的廠商
[20:26] 有一定程度的信心
[20:27] 即便可能會有國安
[20:29] 有法律
[20:30] 以及有供應鏈的問題
[20:32] 德州儀器仍然選擇使用中國機器人
[20:34] 來幫助內部生產
[20:36] 這件事情其實是一個指標
[20:38] 再來呢
[20:39] UB選也跟空中巴士開始合作
[20:41] 打入歐洲市場
[20:42] 人型機器人目前也正式切入到航太的製造線
[20:45] 所以我們講說今年其實就製造機器人元年
[20:48] 已經大規模的匯入到工廠裡頭
[20:50] 空中巴士最近也是購買UB選的Volker S2
[20:54] 雙方會把人型機器人的應用階段
[20:57] 進一步擴充套件到更多的航太的生產流程
[21:00] 空巴也補充了
[21:02] 當然現在是早期概念的測試
[21:04] 不過現在的出貨量
[21:06] 基本上在歐洲市場也是數千臺的速度
[21:09] 快速拉抬
[21:10] 其實整個24年25年
[21:11] 人型機器人的出貨量
[21:13] 已經大量匯入在實體工廠當中
[21:15] 那當然排行第一的
[21:17] 還是智源和語術
[21:18] UB選才排第三了
[21:20] 這件事情也就意味著
[21:21] 其實整個中國機器人
[21:23] 已經大幅的匯入到全球的工廠當中
[21:26] 尤其是發達市場所需要的資金
[21:28] 那種種效果
[21:29] 就引發了新一波AI的龍井擴張
[21:32] 我舉例來說
[21:33] 我們上禮拜有曾經跟投資朋友
[21:35] 提過一家公司叫Mooker
[21:37] 它是一家美國的新創公司
[21:39] 專注把專業人才
[21:40] 和人工智慧模型訓練
[21:42] 來結合AI招募訓練
[21:44] 一方面就是幫AI公司
[21:46] 去招募那種高專業的人士
[21:48] 來訓練的模型
[21:49] 比如說我要做一個
[21:50] 專門做法律的APP
[21:53] 法律的AI模型
[21:55] 但是我用傳統的AI去跑
[21:58] 感覺有點難度
[21:59] 那我就找一些
[22:00] 很厲害的專業的法律人士
[22:02] 專門去調教這樣的模型
[22:04] 讓接下來的2P端
[22:06] 有更進一步的
[22:08] 更強的模型
[22:09] 可以應用在自家客服
[22:10] 那另外一方面呢
[22:11] 他也大量的為專業人士
[22:13] 提供數小時的薪酬
[22:15] 他的遠端工作機會
[22:16] 簡單來講就是
[22:17] 你可以去那邊上班
[22:18] 你只要是某個領域的交交者
[22:20] 你就去專門去教AI
[22:22] 你怎麼做事情
[22:23] 有一些我們講說叫做
[22:25] 驚人的秘密
[22:27] 或者說呢
[22:28] 那種產業的秘辛
[22:30] 你交給AI
[22:31] 那麼呢
[22:32] 這些AI學到以後啊
[22:33] 我們再把這個
[22:34] 學到AI
[22:35] 學到相關專業知識的AI
[22:37] 賣給那些需要用的企業
[22:39] 用這樣的一個方式
[22:40] 達成雙向輪替
[22:42] 當然很多人很悲觀
[22:43] 那意思不是說
[22:44] 我們這些老師
[22:46] 終究會被學生可以取代
[22:47] 因為這些AI學習之後
[22:48] 他就不會忘了
[22:49] 那AI能夠做掉
[22:51] 大量知識的工作的時候
[22:53] 整個社會要如何安置其他人呢
[22:55] 但至少這個工作
[22:56] 已經正在進行
[22:57] 另外一個就是
[22:58] 英國的AI新創
[23:00] 叫做Stincia
[23:01] 它的估值已經衝高到
[23:03] 40億美元
[23:03] 還在衝高
[23:04] 那很標準
[23:05] 它就是一個英國的AI影像生成新創
[23:07] 公司主打的就是你給他文字
[23:10] 他就直接生成真人的講解影片的平臺服務
[23:13] 使用者只要輸入指令碼
[23:15] 他就能夠自動產出虛擬的數位分身
[23:18] 你不管你要找聖誕老人
[23:19] 還是找哪個電影明星都OK
[23:21] 搭配著多語音和口型同步的專業影片
[23:25] 以前看到很多我的詐騙影片
[23:27] 基本上就是用相關的軟體來做產出的
[23:30] 基本上你要做一些客戶講解
[23:32] 行銷廣告
[23:33] 那個人甚至不用存在
[23:35] 你只要給他指令碼就可以了
[23:37] 講話也不會有罪詐
[23:38] 所以這種入門職位被擠壓的情況
[23:40] 在全球都在浮現
[23:42] 我們看不管是美國
[23:43] 英國
[23:44] 印度還是巴西
[23:45] 在今年度都看到
[23:47] 其實新市場更嚴重
[23:49] 企業現在由於全球景氣屬於K型經濟
[23:52] 大量年輕人的招聘率下滑所以年輕人現在靠AI投資領域更多了可是入職率更差了另外一邊呢企業現在用人結構偏好有經驗能夠馬上上場
[24:04] 對於AI使用習慣
[24:06] 有能力的年輕人才願意進行招募
[24:08] 所以新一輪的週期速度
[24:10] 已經快速的累堆
[24:12] 這也就說明了新時代
[24:14] 我們也不要覺得說
[24:15] AI就可以導致我們一輩子都不用工作
[24:17] 那是一個AGI的長期想象
[24:19] 短期內你要先保住自己的工作
[24:22] 是我們講說
[24:23] 我們追求資產的增長
[24:25] 財務獨立這個目標是很重要的
[24:27] 但是財務自信其實更重要
[24:29] 你要先培養一定程度的本業能力
[24:32] 才能夠順應的整條AI產業鏈邏輯
[24:35] 這兩天
[24:36] 有很多網友一直傳給我一支影片
[24:40] 本來我是不想理
[24:41] 想說這種AI影片
[24:43] 那就是換臉
[24:44] 那個畫面就是
[24:46] 把我的臉去移植到別人身上
[24:48] 做壽司
[24:49] 我想說有什麼好看的
[24:51] 但是因為標註我的人實在太多了
[24:53] 我就趕快去看一下
[24:55] 發現是真人了
[24:57] 那有時候AI發展太快
[24:58] 就會有這樣的問題
[24:59] 你搞不清楚到底是真影片
[25:01] 還是假影片
[25:02] 我們看一下
[25:03] 北京杯的美味
[25:04] 跟這個海苔的香氣
[25:05] 在我嘴裡爆炸
[25:07] 看他這個熟練的手法
[25:13] 就知道他不是等閒之輩
[25:16] 所以我說本業收入真的很重要
