[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 則是回落0.3%
[03:49] 資本支出年增幅是一路衝高到60到75%
[03:53] 那到26年預估就會來到30 20%
[03:57] 也就是說我們看
[03:58] 由於這兩年的高強度的資本支出
[04:01] 本來就會有高基期瓶頸
[04:03] 好那現在問題是
[04:04] 誰能夠拖動更多的資本支出呢
[04:06] 有兩層角度來推升估值的提升
[04:09] 第一種估值提升比較技巧
[04:11] 那就是利潤率提高就可以了
[04:13] 我們看這張圖表示
[04:15] 扣除金融和公用事業以後
[04:17] 標普500的季度的建立論的走勢
[04:20] 那重點在於利潤結構
[04:21] 其實比想象中還要穩非常多
[04:24] 尤其整個24年25年
[04:26] 一路到26年突然暴增
[04:27] 其中一個根本原因
[04:29] 就是因為企業已經透過定價權
[04:31] 成本控制供應鏈
[04:32] 更重要的是AI提升效率
[04:35] 把高利率和高工資的壓力給消化掉
[04:38] 所以高利率
[04:39] 其實對於這些器具頭沒有太大打擊
[04:41] 它有其他的融資管道
[04:42] 那另外一方面
[04:43] AI的匯入以後
[04:45] 這些七巨頭無一例外
[04:47] 這幾年招募員工的數量並沒有暴升
[04:50] 就是說員工征服是遠遠低於營收增長的
[04:54] 像Meta在本週正式宣佈再度裁員千人
[04:58] 要大幅重整元宇宙的核心部門
[05:01] Reality Labs
[05:02] 這也一口氣關掉了過去一些VR的遊戲工作室等等
[05:06] 那這些訊息其實都彰顯著
[05:08] 七巨頭的利潤要變好
[05:10] 它也不一定是它的營收要變多
[05:13] 它只要它的成本下滑夠快
[05:15] 匯入AI就可以了
[05:16] 在這樣的一個效果底下
[05:18] 市場上就開始另外一層聚焦
[05:20] 那就是如果一方面
[05:22] 你要讓七巨頭的財報好
[05:24] 可以下調成本
[05:25] 但這不是一個長久之道
[05:27] 到時候人人都失業了
[05:28] 最好的方式是什麼呢
[05:30] 擴大資本支出
[05:31] 帶動七巨頭以外的產業
[05:33] 而這個時候就是我們待會要聊到的
[05:35] 對於電力投資所造成的估值提升
[05:38] 這是市場上還沒有顯著反應的
[05:40] 事實上我們看國際基金會
[05:43] 應該講國際貨幣基金組織
[05:45] 最新的報告其實也就陸續彰顯了
[05:47] 當前針對市場的投資動能
[05:50] 很有可能會導致26年的經濟預期
[05:53] 保持在一定程度的有韌性的規模
[05:56] 現在呢
[05:57] IMF的預估是
[05:58] 今年全球經濟有可能會搭配的中度修正
[06:02] 但是藉由年底AI生產力的擴張
[06:05] 有可能又會增長0.3個百分點
[06:08] 所以今年它整體定調
[06:10] 26年的全球經濟增長幅度
[06:12] 大概是3.3%左右
[06:13] 比原本的預期成長了0.2%
[06:16] 那麼當然打頭勝的還是美國和中國
[06:20] 而且雙方大概都調升了0.3%左右
[06:23] 美國預估大概在今年有2.2%左右的緩步成長
[06:27] 那這其實已經連續好幾年的高強度成長了
[06:30] 所以2.2對於美國來看今年也算是不錯了
[06:33] 唯一的問題在於美股七巨頭的動能正在退潮
[06:37] 所以大家要有更多的資本支出的想象空間
[06:40] 來帶動周邊產業
[06:42] 要不然七巨頭都不漲
[06:43] 永遠都是硬體股在漲
[06:45] 漲得有點虛
[06:46] 真正該賺錢的都沒賺錢
[06:48] 但是賣產值的臺積電一直賺錢
[06:51] 壓力有點大
[06:52] 股價一直漲壓力很大
[06:53] 所以如果我們細看
[06:55] 其實從技術面來看
[06:56] 多數的美國大型科技股的走勢
[06:59] 都已經很明顯轉弱了
[07:01] 你像Meta回撤到2023年低點以來的
[07:04] 關鍵上升的趨勢線等等
[07:05] 從技術面來看
[07:07] 大家都有點疲憊
[07:08] 那我們就要看財報季正式開跑以後
[07:11] 這些股價有沒有機會主底之後開始強彈
[07:15] 納斯達克指數已經盤整四個月了
[07:17] 有沒有機會學習廢辦
[07:19] 學習標普
[07:20] 學習道瓊
[07:20] 再創新高
[07:21] 我們從技術面來看
[07:23] Meta的股價還是維持在長期的上升趨勢線
[07:27] 不過呢
[07:27] 這一波的回撥已經連續接近有快要半年左右
[07:32] 都還在高位持續震盪
[07:33] 甚至現在持續下修到季線左右
[07:36] 這很明顯是標準的修正段市場上就算反彈大家都會把它當成M頭居多也就代表著Meta在短期內的股價所形成的市場賣壓正在逐步的湧現
[07:47] 那當然如果我們細看蘋果
[07:49] 蘋果的部分
[07:50] 還在一個長期趨勢線
[07:52] 不過呢
[07:52] 最近的回撥幅度也很大
[07:54] 大部分的
[07:55] 短期均線其實都已經跌破了
[07:58] 而且我們看到在短期內
[08:00] 月均線其實都已經開始下彎
[08:01] 這件事情也彰顯著
[08:03] 硬體股的消費性電子迴圈
[08:05] 看起來市場的信心也不是特別大
[08:07] 微軟的部分
[08:09] 過去我們講了
[08:09] 它不只是微軟
[08:10] 它是完全不硬
[08:11] 微軟股價已經跌破了中期趨勢線
[08:14] 而且有M頭
[08:15] 這個從技術現行來看
[08:17] 大家就會有壓力
[08:18] 走勢偏向高檔轉為整理
[08:20] 那關鍵就在於
[08:21] 這一次財報紀公佈以後
[08:23] 能不能順勢打底
[08:24] 要不然它已經打回到2024年
[08:26] 當時6月份的高點了
[08:28] 所以等於整個大半年的漲幅
[08:31] 完全被吃掉了
[08:32] 這作為OpenAI的領頭羊
[08:35] 角色公司
[08:36] 形成這麼大的賣壓
[08:37] 難免會讓大家針對
[08:39] 大元模型的AI終端營收
[08:41] 有一點疑問
[08:42] 回答的部分
[08:43] 這一輪就真的盤整非常久了
[08:46] 從去年7月份創高以後
[08:49] 應該講7月份的高點
[08:50] 搭配11月份的高點
[08:52] 它就一路在整條橫盤區間
[08:55] 進入到相形的內部整理
[08:56] 那當然如果下方突破
[08:59] 它有基線的支撐
[09:00] 可是重點在於
[09:01] 本輪的財報
[09:02] 從四大CSVS
[09:04] 應該就可以看出
[09:05] 輝達的實體業績為何了
[09:07] Amazon股價
[09:08] 好一點是
[09:09] 它還在沿著軌道上行
[09:11] 那壞一點是
[09:12] 去年它股價根本沒漲
[09:14] 它漲幅好像還沒有超過10%
[09:16] 也就代表著
[09:17] 它反而變成了一個落後不漲股
[09:19] 特斯拉的部分
[09:20] 曾經一度股價
[09:22] 在過去一個月創下歷史新高
[09:24] 不過自從我們提了它以後
[09:25] 它現在就變成
[09:26] 高檔的相形震盪了
[09:28] 一樣表現就是很平平
[09:30] 大家看到沒有什麼希望
[09:32] 唯一正在創高的
[09:33] 只有一家
[09:34] 就是Google
[09:35] 是標準明確的上升通道
[09:37] 均線呈現高強度多頭排列
[09:39] 所以七巨頭
[09:40] 有六巨頭都不太OK
[09:42] 當然這個時候
[09:43] 大家的焦點就變成記憶體
[09:45] 都回到肺瓣
[09:46] 都回到硬體股
[09:47] 可是如果從週期角度
[09:49] 我們假設
[09:50] 接下來還有一個系統性的回檔
[09:52] 要我優先去選擇的話
[09:54] 比如說兩種ETF
[09:56] 一個是SOXX肺瓣
[09:58] 一個是QQQ
[10:00] 如果對我來看的話
[10:01] 那肯定比較吸引我的
[10:03] 一定是這些七巨頭
[10:04] 為什麼呢
[10:05] 因為他們的本益比
[10:06] 正在以非常驚人的速度下行
[10:09] 輝達本益比從過去幾年
[10:11] 130幾倍到100倍
[10:13] 到90到80到70
[10:15] 到現在不到40倍了
[10:16] 越來越低
[10:17] 為什麼
[10:17] 因為股價已經好幾個月不漲了
[10:19] 可是EPS正在瘋狂上升
[10:21] 不過人性都是這樣子
[10:22] 通常都是上漲的板塊
[10:25] 才比較有太大的興趣
[10:26] 那七巨頭已經盤那麼久
[10:28] 大家也沒什麼興趣
[10:29] 其實行情本來就是如此
[10:31] 股市下跌的時候
[10:32] 那恐懼感就告訴你
[10:34] 再等等
[10:34] 一定會更低
[10:35] 明明價格便宜
[10:37] 但怎麼樣都不敢出手
[10:39] 行情如果一路上漲了
[10:40] 那安全感就慢慢回來了
[10:42] 又開始擔心
[10:43] 那不買會不會錯過
[10:44] 於是永遠都在追高
[10:45] 我們在聽友會講過
[10:46] 人性是不會改變的
[10:48] 之前講說老兩口看電視
[10:51] 然後突然轉播選美比賽
[10:54] 那老頭一看
[10:56] 臉紅了
[10:57] 趕快轉身進屋
[10:59] 那老太太笑啊
[11:01] 啊
[11:01] 那老頭還挺封建的啊
[11:05] 一會兒那個老頭子就回來了
[11:06] 端正坐好
[11:07] 哎
[11:07] 臉上戴了一副老花眼鏡
[11:09] 就人性是不會變的啊
[11:13] 市場每天都在變
[11:14] 但多數人啊
[11:15] 輸的不是資訊
[11:16] 不是真理啊
[11:17] 而是反覆一個迴圈
[11:18] 反覆被情緒牽著走啊
[11:20] 跌的時候你不敢買
[11:21] 它股價不漲的時候
[11:22] 你也不敢買
[11:23] 漲的時候你又捨不得放過
[11:24] 一輩子都在市場後面跑
[11:26] 當然了
[11:26] 每個人可能有人是交易
[11:28] 有人是投資
[11:29] 但不管怎麼說
[11:30] 如果你是一個逆勢投資者
[11:32] 那有很多股價已經盤整一段時間了
[11:35] 而且是大型科技具有壟斷護城河的股票
[11:37] 好 這是第二層思維
[11:39] 好 那我們往下看
[11:40] 你說那如何確保七巨頭
[11:43] 跟其他產業有一定關聯呢
[11:45] 因為我們其實心裡都知道
[11:47] 那很多的產業
[11:49] 真正的股市的外溢效果
[11:51] 它還是來自於七巨頭的資本支出
[11:53] 那過去呢
[11:54] 已經把資料中心的建制鏈
[11:56] 算力鏈已經預期過滿了
[11:59] 那要如何往下一輪的估值研發呢
[12:01] 所以呢最好的方向是
[12:02] 他還要再調高資本支出
[12:04] 那有什麼理由讓這些七巨頭
[12:06] 高呼市場預期的調高資本支出呢
[12:09] 我們根據高盛最新所釋出的報告
[12:11] 美國民間現在針對資料中心電力基礎建設
[12:15] 整體的市場需求完全追不上資料中心
[12:19] 有可能會導致資料中心
[12:21] 被迫讓這些科技巨頭
[12:23] 親自下來建電廠
[12:24] 這就形成了重大的潛在資本支出的利多增長
[12:29] 如果我們細看到2030年以前
[12:31] 美國電力已經不是說可能吃緊了
[12:34] 而是幾乎全面激凌崩潰
[12:36] 不管是加州德州東岸還是中西部
[12:40] 多數區域在基準情境下
[12:42] 已經貼近到逼近電力可靠度的下限
[12:45] 如果我們以公允角度來看的話
[12:47] 如果是以倍轉容量率
[12:49] 現在美國各州都比臺灣來得更緊繃
[12:52] 臺灣其實已經有點緊繃了
[12:54] 因為臺灣其實這幾年用電需求
[12:56] 還是比較緊繃
[12:57] 但臺灣大部分還是可以靠多燒煤
[13:01] 多燒天然氣來稍微沖銷
[13:03] 可是美國的壓力遠遠比臺灣大
[13:07] 臺灣也沒蓋那麼多資料中心
[13:09] 但美國蓋的是非常多的
[13:11] 這樣的一個效果就有可能導致
[13:13] AI巨頭們被迫要立即開始建廠
[13:17] 來為2028年到2030年
[13:19] 到時候的電力收緊提前做準備
[13:21] 因為川普其實已經親自講了
[13:24] 現在科技巨頭有必要自己處理電力的問題
[13:27] 因為我們不能把電力問題匯入到民間的用電
[13:31] 現在電力需求的狂飆
[13:33] 電價節節攀升
[13:34] 已經壓到川普在中期選舉可能形成的衝擊
[13:38] 所以川普現在核心概念很明白
[13:40] 住宅用電是不能夠再漲的
[13:42] 但是新增的發電成本
[13:44] 要由大型科技巨頭和資料中心自己來扛
[13:47] 在這樣的一個效果底下
[13:49] 由於現在七巨頭手上還是有一定的資金
[13:52] 如果我們細看AI當中
[13:54] Alphabet手上有1400億美元的進現金
[13:57] 幾乎是一整個高量級的存在
[14:00] 代表在算力模型併購上
[14:02] 它都要有很多錢
[14:03] 包括微軟AmazonMeta蘋果
[14:06] 錢都還蠻多的
[14:07] 除了加股文
[14:08] 現在真的沒什麼錢以外
[14:09] 大部分其實還有足夠的資金流
[14:12] 現在有沒有可能從原本的算力擴張
[14:14] 開始轉往電力擴張
[14:16] 資本支出就開始持續上調的可能性
[14:19] 所以這些巨頭
[14:21] 我們看起來各自站在自己的產業制高點
[14:24] 我個人的看法是
[14:24] 本質上沒有說什麼誰對誰錯
[14:27] 誰的方向是對誰的方向是錯的
[14:29] 他們本業收入都很強
[14:31] 有的靠電商
[14:32] 有的靠手機
[14:33] 有的做社交媒體
[14:35] 到目前為止
[14:36] 其實都還是有壟斷地位
[14:37] 對於AI的投資
[14:38] 你更可以把它相信成
[14:40] 搶奪下一個賽道
[14:41] 但是搶輸了是不是一定會死
[14:43] 那蘋果這幾年
[14:45] 對AI好像也沒什麼關係
[14:47] 它照樣股價還是維持在高檔
[14:49] 重點是對於市場的壟斷的定價權
[14:52] 那投資策略也沒有說百分之百好的
[14:55] 任何策略都有適用的環境
[14:57] 也會有失效的時候
[14:58] 看起來最完美的做法
[15:00] 往往只是剛好踩在對的週期
[15:02] 我們講說
[15:03] 投資沒有百分之百好的投資方式
[15:05] 那男人也沒有百分之百好的
[15:08] 任何事情都沒有百分之百好的
[15:10] 你只是從這些資料當中
[15:11] 儘可能去找到一個符合你心理預期的
[15:15] 我網路上看到
[15:16] 她說女生該明白男人的特徵賺錢的男人顧不上家顧家的男人賺不了錢聽話的男人不獨立勇敢的男人他固執
[15:29] 帥氣的男人花錢多
[15:32] 省錢的男人不時尚
[15:33] 能幹的男人太霸道
[15:35] 十全十美的男人在夢裡
[15:37] 所以沒有百分之百好的投資方式
[15:40] 也沒有百分之百對的人
[15:41] 你用這些資料
[15:43] 你大概就可以得出一個輪廓
[15:44] 只要他繼續針對電力投資
[15:47] 有預期提升
[15:48] 資本支出一上去
[15:50] 大家的預期展望就重新歸來
[15:52] 而現在美國股市很難得
[15:54] 稍微不貴的股票
[15:55] 是最強的科技巨頭
[15:57] 這就非常吸引人了
[15:58] 給投資朋友做一些分享
[15:59] 好回過頭來看一下臺灣市場
[16:01] 臺灣市場當然
[16:02] 針對硬體的炒作
[16:04] 以及市場需求展望
[16:05] 仍然在持續當中
[16:06] 大家最為關注的是南亞科
[16:08] 南亞科主任法書
[16:09] 他也砸了500億要擴產
[16:12] 這個記憶體復甦
[16:13] 比想象中還要快非常多
[16:15] 南亞科這幾年
[16:16] 緊急回溫的速度
[16:17] 也是遠遠超乎原本公司的預期
[16:20] 25年已經順利轉為盈利
[16:21] 全年EPS2.13塊
[16:23] 你要知道前兩年他還在大虧
[16:25] 想不到這個標準的景氣迴圈股
[16:28] 本輪的復甦花幾個季度就已經完成了
[16:32] 毛利率在去年第四季衝高到49%
[16:35] 不說還以為是臺積電
[16:36] 創五年來的新高
[16:38] 公司判斷目前低潤的供需
[16:40] 仍然呈現結構性的失衡
[16:42] 所以目前的資本支出的擴張
[16:44] 當然有可能會讓大家有前車之見
[16:47] 你現在又擴散
[16:48] 會不會前幾年發生的事情又重演
[16:50] 不過看起來市場總體需求的確是放量增高
[16:54] 被迫一定要投
[16:55] 所以我們看現在整個美國股市
[16:58] 一路延伸到臺北股市
[17:00] 它是圍繞著硬體的市場稀缺來做拉伸
[17:04] 這也導致我們看到市場其實這幾個月
[17:07] 散戶投資情緒已經逐步歸來
[17:09] 舉例來說
[17:09] 昨天開盤一度下挫近百點
[17:11] 三大法人最後是賣了465億
[17:14] 外資不管是期限貨
[17:16] 都同步偏空的情況底下
[17:18] 昨天投信也賣了131億
[17:20] 自營商自行買賣賣了12億
[17:22] 結果臺股硬是還是收高
[17:25] 所以我們講說
[17:26] 就算現在三大法輪國安基金都已經離場了
[17:30] 臺股創高也不是太難
[17:32] 散戶已經是第四法輪了
[17:34] 散戶心裡想三大法輪算哪根蔥
[17:36] 我們看臺股在昨天外資提款的情況底下
[17:39] 前幾名賣的
[17:40] 偉創
[17:41] 可寧衛
[17:42] 群創
[17:42] 元大臺灣50
[17:44] 南亞基本上還是針對全資股
[17:46] 持續進行調節
[17:47] 但我們講兩大層面
[17:49] 一大層面是頭信的買賣超
[17:52] 雖然昨天是賣超
[17:53] 不過看起來更類似於
[17:54] 主動型基金的調節
[17:56] 總體而言
[17:57] 我們看ETF的買盤仍然沒有停下來
[18:00] 過去十年臺灣ETF的高速成長
[18:02] 受益人數從2015年不到30萬人
[18:04] 現在是多少人
[18:05] 1600萬人
[18:07] 那翻了50倍
[18:09] 1600萬人很多
[18:11] 臺灣也才多少人
[18:12] ETF的規模是從不到2000億
[18:14] 現在是八兆成長了40倍
[18:17] 所以過去幾年
[18:18] 我們看外資即便大多數年份都在賣超
[18:21] 調節居多
[18:22] 但指數並沒有因此而崩下來
[18:24] 反而一次次的被撐住
[18:26] 甚至往上推
[18:27] 關鍵就在於內資的買盤力量已經成型
[18:30] ETF退休金受限
[18:32] 散戶定期定額
[18:33] 持續把錢丟到市場
[18:35] 形成穩定長期不容易撤退的買盤
[18:38] 所以我們講說
[18:39] 臺股今天到底看不看外資臉色
[18:41] 用一天行情來看
[18:43] 那是要看的
[18:44] 但是呢
[18:44] 從年度的行情來看
[18:46] 完全不用看
[18:47] 資金的主導權
[18:48] 已經牢牢掌握在自己手上
[18:50] 我們舉例來說
[18:51] 我們根據外資的買賣超
[18:53] 2020年他賣了5397億
[18:55] 21年賣了4500億
[18:57] 22年賣了1.2兆
[18:58] 23年賣了2700億
[19:00] 24年賣了6900億
[19:01] 25年賣了5990億
[19:04] 結果今年呢
[19:05] 今年還賣超26億
[19:06] 但是臺北股市還不是一樣
[19:08] 從8000點一路漲到現在
[19:10] 3萬點
[19:10] 所以如果你跟外資對著做
[19:13] 第一年豪言壯語
[19:15] 第二年自言自語
[19:16] 第三年風言風語
[19:18] 第四年就默默無語了
[19:19] 跟著他做操作是有點難度的
[19:21] 那貴買的部分
[19:22] 其實也差不多的情況
[19:24] 貴買在今年外資
[19:27] 還是賣了175億
[19:28] 不過投信反而買了63億
[19:29] 貴買我們看中小型股
[19:31] 最近也是稍微比較活潑
[19:33] 那不管怎麼說
[19:34] 這些資料都足以說明
[19:35] 那臺灣有某股那種
[19:37] 內部的內生力量
[19:39] 那個錢源源不絕地投入到市場
[19:41] 永遠攢不斷
[19:42] 他不是說什麼一年兩年的行情
[19:44] 他已經買了連續六年都沒有要離開
[19:47] 那這筆錢到底從何而來的呢
[19:49] 事實上從18年19年美中貿易戰開啟以後
[19:52] 亞洲高科技的產品出口就持續暢望
[19:55] 那這幾年外資的賣壓沒有減輕
[19:57] 還賣越賣越多
[19:59] 原因在於美國AI相關產品的進口量
[20:02] 臺灣現在大概是墨西哥的兩倍
[20:05] 位居全球第一
[20:06] 與此同時
[20:07] 墨西哥有一半的廠商
[20:09] 也是臺商做的
[20:10] 也遠遠領先於馬來西亞
[20:12] 越南 泰國 南韓等經濟體
[20:14] 在自通訊產品
[20:15] 完全壟斷的情況底下
[20:17] 市場的漲價潮
[20:18] 由於大部分
[20:19] 我們從電子零元件
[20:21] 一路到記憶體
[20:22] 延續的市場供需需求的
[20:25] 這種緊缺
[20:25] 都導致市場上
[20:27] 有進一步的想象空間
[20:28] 散戶的信心也跟著回來
[20:30] 我們舉例來說
[20:31] 過去我們提過
[20:32] 這一輪臺灣的經濟擴張
[20:34] 它不能說是單一一年
[20:35] 剛好順勢搭上AI行情
[20:37] 而是經歷歷年的挑戰所導致的
[20:40] 我們從18年到19年的第一輪調整
[20:42] 臺灣當時的經濟成長率
[20:44] 已經來到2.99%
[20:45] 第一波的經濟成長
[20:47] 主要來自於臺商的匯流
[20:48] 所以當時廠辦或者商辦被搶購一空
[20:52] 因為美洲貿易戰開打了
[20:54] 先回臺灣再說
[20:55] 臺灣成為亞洲四小龍
[20:56] 經濟成長最亮麗的經濟體
[20:58] 20年到23年COVID-19時間
[21:00] 臺灣仍然GDP保持全亞洲第一
[21:04] 整體成長幅度3.48
[21:06] 高於日本韓國新加坡香港
[21:08] 原因也在於這段時間臺廠進行自動化的系列改革
[21:12] 同時間嘗試的把中國廠區陸續的移到東南亞
[21:17] 那到2025年就是一個新關卡了
[21:19] 什麼東南亞也不重要了
[21:20] 重點在於到美國設廠
[21:22] 到美國設廠的全部都規避了關稅
[21:24] 成長幅度7.37%
[21:26] 也遠遠高於其他經濟體
[21:28] 它就導致一種效果
[21:30] 不是說臺灣沒有在投資
[21:31] 而是臺灣整個側重於半導體的擴張
[21:34] 開始成為市場共識
[21:36] 我們根據高麗國際最新所公佈的
[21:38] 去年的房地產市場
[21:40] 臺灣人買的商辦是真的越來越少了
[21:43] 但是臺灣人買的工廠越來越多
[21:45] AI大爆發以後
[21:47] 這幾年的交易結構
[21:48] 廠房和倉儲的佔比已經超過商辦
[21:51] 就是老闆在買工廠的速度和金額
[21:55] 遠遠大於老闆去買CBD地區的白領的辦公室
[22:00] 商辦的需求反而明顯降溫
[22:02] 所以做工人薪資在漲
[22:04] 但是做白領那就還好
[22:06] 疫情後商用房地產
[22:07] 更是出現了買方結構的變化
[22:09] 我們如果細看
[22:10] 現在因為以前買那些商用不動產
[22:13] 大部分都是金融保險
[22:14] 你看21年22年
[22:16] 它大概還佔了三分之一到三分之二
[22:19] 結果這幾年金融保險
[22:21] 大概只剩下十分之一
[22:23] 大部分去買商辦的都是誰呢
[22:25] 都是製造電子科技業
[22:27] 這些有些是要做商辦工廠的用途
[22:30] 有些是科技業手上太多錢
[22:32] 稍微制產一下
[22:34] 所以過去撐起市場的金融和保險業
[22:36] 投資動能也開始明顯降溫了
[22:39] 以前都是受險在買這些不動產
[22:40] 現在不好意思
[22:41] 都是這些科技廠商
[22:43] 所以臺商我們看到經歷過三輪的調整
[22:46] 第一波是美洲貿易戰1.0
[22:48] 第二波是疫情的供給鏈斷鏈
[22:51] 第三波是川普的關稅戰
[22:53] 這一路走來其實也變遷很多
[22:55] 我們過去稍微提過
[22:56] 當時在18 19年的時候
[22:58] 其實臺商就已經遇到
[23:00] 蘋果供應鏈的加速中國已經順勢超過臺灣在價格上更具庫克的信賴所以當時電子五科從19年到22年就陸續退出廣達退出了Apple Watch供應鏈
[23:12] 可成偽創退出了基可
[23:14] 21年音樂達
[23:16] 凱盛退出AirPods
[23:17] 那22年仁寶退出Apple Watch和iPad
[23:21] 到23年以後
[23:22] 合說也正式退出了iPhone供應鏈
[23:24] 現在整體臺商對於蘋果的影響
[23:28] 蘋果的需求已經影響沒有這麼高了
[23:30] 大家期待的反而更多的是HPC
[23:33] 高階運算
[23:34] AI伺服器的部分
[23:35] 那的確
[23:36] 當時在建立庫存調整的時候
[23:38] 很多廠商選擇在美中貿易戰當中
[23:41] 撤離中國來到東南亞
[23:43] 所以導致臺灣出口到東南亞市場的金額佔比
[23:46] 目前已經超過了中國
[23:48] 可是從事後論來看
[23:50] 它不是一個太明智的選擇
[23:52] 為什麼呢
[23:53] 因為現在越南關稅比臺灣高
[23:55] 那臺灣還有優勢呢
[23:57] 所以到東南亞市場
[23:58] 現在赴美進行投資
[24:01] 或者說從東南亞轉到進美國
[24:03] 本身其實已經沒有太大誘因了
[24:06] 現在直接對美投資
[24:08] 反而可以獲取全面性的關稅豁免
[24:10] 這也導致我們看到在過去一段時間
[24:13] 為什麼赴美廠商投資的
[24:15] 這些金額和數量可以來得這麼高
[24:18] 一路我們看到
[24:19] 從不管是臺商環球金
[24:22] 或者我們看到偽創臺達電光寶
[24:24] 不管是在德州廠 亞利桑那
[24:27] 陸續建制以後
[24:28] 很多我們看到臺商所面對的
[24:31] 美國電子製造業
[24:32] 已經連續吸收了
[24:33] 三年到四年的經驗
[24:35] 把文化和管理方式
[24:36] 進行調節和改革
[24:38] 順勢帶了一整批的臺灣企業
[24:40] 到美國做投資
[24:41] 之前我們看網路
[24:42] 還講說亞利桑那
[24:44] 去那邊投資
[24:45] 是為了氣候乾燥
[24:47] 因為氣候乾燥以外
[24:49] 亞利桑那沒有地震
[24:50] 沒有颱風
[24:50] 而且還有綠電
[24:52] 搞不好有時候
[24:53] 還可以賣回給加州政府
[24:54] 結果話鋒一轉
[24:56] 然後看到之前網路上說
[24:59] 臺灣其實也不適合做半導體
[25:02] 有地震有颱風
[25:03] 綠地也不夠
[25:03] 所以不管臺商到哪裡
[25:05] 他都能夠做到世界第一
[25:07] 不管是氣候很溫和的
[25:09] 還是像臺灣一樣
[25:10] 這個有地震有颱風
[25:11] 本身他都可以達到一定的條件
[25:14] 所以我們看到
[25:14] 在今年其實臺灣已經有超過10家的金控業
[25:18] 已經陸續到美國設立子分行
[25:21] 不管是核庫金在西雅圖
