[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过美国政府的确
[11:11] 市场波动的确很大
[11:13] 大家也搞不清楚
[11:14] 到底对于民间的反应
[11:16] 多久这个库存会用光
[11:18] 因为中东冲突已经超过了一周
[11:20] 那就代表荷姆斯海峡也超过一周
[11:22] 基本上已经算是半封闭
[11:24] 经济部当然在昨天
[11:25] 已经正式全面启动能源应变计划
[11:28] 中油已经开始提前进行天然气的调度
[11:31] 原本规划从卡达进口的22艘的LNG船次
[11:35] 已经以更大的载船量来补足
[11:38] 现在可以确保
[11:39] 应该是可以撑到4月中旬
[11:41] 不会有太大问题
[11:42] 3月份的问题稍微能够缓解
[11:45] 那同时间我们也看到
[11:47] 行政院在昨天也正式提出五大策略
[11:50] 来尝试的稳定物价
[11:51] 最核心的做法
[11:52] 是进行全面性的柴油涨幅的压低
[11:55] 我们知道
[11:56] 美国现在柴油价格涨了两成六
[11:59] 台湾要采取双还涨机制
[12:02] 政府也再新增了专案的还涨机制
[12:05] 让油价再调整之后
[12:06] 还是可以让政府吸收
[12:08] 吸收六成以上的涨幅
[12:10] 从四月份以后
[12:13] 开始进行全面的扩大减税
[12:14] 把汽油柴油的货物税的减增幅度
[12:18] 提高到法定上限的50%
[12:20] 希望能够减轻民众和企业的负担
[12:23] 每一次都这样子
[12:24] 因为台湾有时候养大胃口了
[12:27] 东西是不能涨的
[12:28] 购买力的问题怎么办
[12:30] 政府帮你负担
[12:31] 时间久就这样子
[12:33] 所以台湾长期会塑造一个相对低电价
[12:36] 或者相对低农粮价格的一个反应
[12:40] 来尝试的要去抑制当前的物价涨幅
[12:42] 不过从这件事情也看得出来
[12:44] 不管是民间还是政府端
[12:46] 很明显的亚洲经济体
[12:47] 已经开始一周第二周
[12:50] 就开始要被迫启动应变机制
[12:53] 因为看起来在4月中旬
[12:55] 它是一个重要的时间分水岭
[12:57] 时间越久对于亚洲经济体越不利
[13:00] 我们过去也提过
[13:01] 因为台湾的发电结构
[13:03] 在过去几年
[13:04] 电力需求是持续的上升
[13:05] 所以你要新的发电结构
[13:08] 用什么样的一个能源来取代
[13:10] 就特别重要
[13:10] 由于过去长期的能源政策的走向
[13:13] 我们看到台湾天然气
[13:15] 作为台湾的主要电力来源
[13:17] 目前占比大概是53%左右
[13:19] 蓝煤是26.6%
[13:21] 蓝煤预估会持续减少
[13:23] 两个加价是八成
[13:25] 所以火力发电
[13:26] 是目前台湾的主要电力系统的核心
[13:28] 再生能源
[13:29] 曾经是台湾的主要计划
[13:31] 但是需求实在
[13:32] 第一扩大太快
[13:33] 第二再生能源
[13:34] 在内部过程当中
[13:36] 遇到很多挑战
[13:36] 目前占比只有12.7
[13:38] 所以现在要么
[13:40] 就是要进行天然气库存的调试
[13:43] 那就要看一下跟澳洲来调货
[13:45] 那要么就是扩大
[13:47] 尝试的把蓝煤的占比
[13:49] 给试图的拉胎
[13:50] 那第三再生能源的部分
[13:52] 其实拉升幅度是相对有限的
[13:54] 那现在最大的问题在于
[13:55] 如果未来会有能源上的压力
[13:57] 我们要清楚知道
[13:58] 现在台湾能源使用的最大宗部门
[14:02] 已经不是民间了
[14:03] 现在很明显是工业部门
[14:05] 台湾是少数经济体
[14:07] 在发达经济体当中
[14:09] 工业部门占比越来越大的
[14:11] 通常发达经济体
[14:12] 民间部门用电会越来越多
[14:14] 服务业用电的需求越来越强
[14:16] 台湾是从08年的51%
[14:18] 到现在57.3%
[14:20] 都是给工业用来进行使用用电
[14:23] 服务业大概17%
[14:25] 住宅也大概是17
[14:27] 所以服务业的用电跟住宅差不多
[14:29] 这代表着未来到底能源的缺乏
[14:33] 其实取决于我们看到民间企业的反应
[14:36] 民间企业感受到痛了
[14:37] 你大概就知道台湾的能源遇到什么样的一个挑战
[14:40] 有些人说为什么这一段时间
[14:42] 其实绿电也是长期整个政府的支持方向
[14:46] 为什么蓝气扩大取代蓝煤都可以理解
[14:50] 但是为什么蓝气规模会占到50%
[14:52] 在深藏园过去达到20%到30%的计划
[14:55] 现在看起来有点落后了呢
[14:57] 这有很多挑战
[14:58] 我们过去有稍微跟投资朋友稍微梳理过
[15:00] 大家可以回看过去的影片
[15:01] 有几个不同因子
[15:03] 一个是内部的争议
[15:04] 比如说之前讲的绿电蟑螂
[15:06] 就是说在中南部地区
[15:08] 不管是太阳能板
[15:10] 风力发电等等
[15:11] 很多外资的技术逐步到位以后
[15:14] 遇到土地的挑战
[15:16] 这些土地会有当地黑帮
[15:18] 流氓事件的牵扰
[15:19] 或者大量的贪图的弊案产生
[15:22] 那由于跟土地环境有极大相关
[15:25] 这个时候就产出许多的绿电蟑螂
[15:27] 尝试的要去寻出
[15:29] 寻找自己的利益
[15:30] 所以的确从16年到24年
[15:33] 爆发了非常多起的
[15:35] 当时的绿电蟑螂事件
[15:37] 那后续呢
[15:38] 当然有相关起诉
[15:39] 那另外一方面
[15:40] 是属于国产化的问题
[15:42] 我们过去也跟投资朋友提过
[15:43] 其实台湾的电力发展
[15:45] 在早先就已经预估
[15:47] 要尝试进行国产化
[15:48] 以防到时候的技术
[15:50] 被红色供应链给压入压进
[15:52] 那现在遇到最大的问题是什么
[15:54] 就过去啊
[15:55] 很多的外资企业都是属于瑞典啊
[15:58] 北欧这些国家来帮助台湾进行能源建设
[16:01] 像是风力发电啊
[16:02] 太阳能的部分啊
[16:04] 可现在遇到一个最大的问题就是啊
[16:06] 几乎所有的再生能源产业啊
[16:08] 都是中国形成压倒性的优势
[16:10] 十年前啊
[16:12] 中国的太阳能风力发电啊
[16:14] 占全球市占率的供应链大概不到20%
[16:17] 现在呢是80%左右
[16:19] 这就形成国产化的极大难关
[16:21] 我們看到像是太陽能模組
[16:23] 電池材料
[16:24] 鋰電池
[16:25] 風機的機艙
[16:27] 氫能電解裝置
[16:28] 中國在所有的環節幾乎佔比都是來到70%到80%那我們知道長期台灣之前封电国产化的趋向就被迫遇到极大挑战那在这样的一个效果底下
[16:41] 我们就很清楚了解
[16:42] 你要么就是国产化政策逐步松绑
[16:45] 但等同于那以后机械坏掉
[16:47] 你要打电话到对岸
[16:49] 请人家来帮忙修
[16:50] 这是一个多大的压力
[16:51] 所以这个就是我们看到
[16:53] 再生能源的比例在提升过程当中
[16:55] 这几年遇到的极大难关
[16:57] 有内生性因素
[16:58] 又有外部性因素
[16:59] 基本上就是有时候多一个国产化
[17:02] 很多产业就卡住了
[17:03] 这没办法
[17:03] 中国这几年技术的确
[17:05] 正在缓步的崛起当中
[17:06] 多一个制
[17:07] 也许市场上压力就出现了
[17:10] 多一个市场的这种因子
[17:13] 那你很多政策的推进
[17:14] 就会相对来的大
[17:16] 那当然了
[17:16] 后续要观察的几大重点
[17:18] 其实就来自于
[17:20] 那等同于台湾也可以趁这段时间
[17:22] 因为刚好国家资源也稍微越来越多了
[17:25] 也许可以尝试的进行顺应和调配
[17:27] 其实之前我才看那个美国智库的CNAS
[17:30] 他才发布了一个新的台海局势报告
[17:33] 里面有提那个地域防卫构想
[17:35] 由于无人机技术越来越成熟
[17:38] 那台湾可以透过大量的低成本的无人机
[17:40] 搭配传统武器
[17:42] 形成高强度的密集攻击网
[17:44] 让对岸的登陆行动
[17:47] 可能会遭受到极大的一个承受能力
[17:49] 换句话说
[17:50] 他可以用第一层第二层第三层第四层
[17:53] 形成强烈的破坏
[17:55] 但是他需要做的事情是什么
[17:57] 就是能源的供应必须要无余
[17:59] 至少要撑个一个月左右
[18:01] 让市场在全球看到台湾抵抗的决心
[18:04] 这个时候才有效
[18:05] 所以在这样的一个效果底下
[18:07] 等同于能源的供给端
[18:09] 我们到底要把
[18:10] 不管是除气时间拉长
[18:11] 还是再生能源比例拉伸
[18:13] 都是非常重要的
[18:14] 这也给投资朋友做一些思考
[18:16] 在网上看到
[18:17] 如果真的打仗的话
[18:19] 就可以躲到好事多
[18:21] 他们不是会员进不来吗
[18:23] 别傻了
[18:24] 他们会在门口办一张会员进来
[18:27] 办一张卡
[18:28] 最多可以带两个士兵
[18:29] 不管怎么说
[18:31] 我们看到现在在全球
[18:32] 也不止台湾
[18:33] 各地的塑化厂
[18:35] 其实在陆续不可抗力因素以后
[18:38] 被迫开始前产
[18:39] 我们看到不管是欧洲
[18:41] 韩国
[18:41] 泰国
[18:42] 印尼
[18:43] 新加坡
[18:43] 石化厂在本周都陆续跟进
[18:45] 所以像是乙烯
[18:47] 丙烯
[18:47] 聚乙烯
[18:48] 聚丙烯
[18:49] PVC
[18:50] EDC
[18:50] 以后被塑胶带到去后都很难说
[18:53] 但被迫停产或者降载
[18:55] 基本上都会影响到
[18:57] 后续的供应链问题
[18:59] 那第二个部分
[19:00] 我们来看日本
[19:00] 日本的部分
[19:02] 高市早苗已经正式宣布
[19:04] 目前采取紧急状态
[19:06] 把市场上
[19:07] 因为日本的石油储量
[19:09] 其实稍微高一点
[19:10] 有254天
[19:11] 政府在本周准备进行
[19:13] 国家战略能源石油储备的释放
[19:16] 如果冲突持续
[19:18] 单靠释放库存
[19:20] 还是无法解决问题的话
[19:21] 目前高市认为
[19:22] 我们应该要延长电力和天然气的补贴
[19:25] 并且重新对于石油公司所提供的补助
[19:28] 以压低汽油价格
[19:30] 不过也有官员预告
[19:32] 如果能源本身出现短缺
[19:33] 因为日本就是能源进口大国
[19:35] 那再多的补贴也无法解决问题
[19:37] 可能会进一步导致财政恶化和日元贬值
[19:41] 所以市场上的平均预估是
[19:43] 如果日本能源局势也持续恶化的话
[19:46] 那么日本的财政情况就会越加的严峻
[19:49] 事实上我们看
[19:50] 日本国内整体的能源发电占比
[19:54] 现在如果是从进口数据来看的话
[19:57] 94%到95%都是从中东来的
[20:00] 沙尔地阿拉伯占40%
[20:02] 阿联40%
[20:03] 科威特8%
[20:04] 卡达大概是5%左右
[20:06] 那另外一方面是属于
[20:08] 对于中东依存度
[20:10] 所造成日本在内部的
[20:12] 这种发电的轮替
[20:14] 事实上我们过去提过
[20:15] 日本基本上还是有很大程度
[20:18] 还是来自于天然气的发电
[20:20] 以及核能用电
[20:22] 那最大的部分看起来是石油发电
[20:25] 所以原油价格对于日本发电成本的上行
[20:28] 它是有极大压力的
[20:29] 那我们也清楚知道
[20:31] 日本这几年其实能源转型
[20:32] 又重新回到核能路径上
[20:34] 从福岛事件以后
[20:36] 已经刚好31115周年
[20:38] 日本其实这几年已经重新启用了
[20:41] 15座的核能发电
[20:43] 可以运转的反应
[20:44] 如目前大概是33座左右
[20:46] 我们知道日本福岛事件以后
[20:48] 一度停摆的核能产业
[20:49] 这一段时间开始受到
[20:51] 不管是高市
[20:52] 还是石破茂政策的持续推动
[20:54] 现在平均预估
[20:55] 你像三菱总工
[20:56] 预估在下一个财年
[20:58] 会有4000亿日元
[20:59] 投入到核能产业当中
[21:01] 日本现在三分之二的电力
[21:02] 还是来自于进口化石燃料
[21:04] 所以整个日本方向的国策
[21:06] 也大幅转变了
[21:08] 一方面预估让再生能源占比
[21:10] 能够在2050年达到50%
[21:13] 另外一方面
[21:14] 你要知道
[21:15] 再生能源本身
[21:16] 也面临非常大的挑战
[21:18] 我们知道不只是台湾
[21:20] 台湾过去的确有相关争议
[21:21] 日本也是如此
[21:23] 你看日本的反光电的声浪
[21:25] 这几年越来越多
[21:26] 因为从北海道到奈良
[21:28] 大家也常看到
[21:29] 有时候坐飞机
[21:30] 会看到一整片的太阳能板
[21:31] 很多地方居民和环保团体
[21:34] 也不是很满意
[21:35] 觉得大规模的光电开发
[21:36] 已经对于当地的自然环境
[21:38] 和生活景象形成严重破坏
[21:41] 比如说北海道
[21:43] 这个叫进入失源
[21:45] 它被形容为黑色草海
[21:46] 但是大片的光电板
[21:49] 它把原本的草原都盖住了
[21:51] 威胁很多稀有动物的栖息地
[21:55] 或者像奈良的古坟区
[21:57] 它也被一片闪烁的光伏板给包围
[22:00] 日本光电的背后
[22:01] 背后当然有补贴的问题
[22:03] 还有一些资本主力的结合
[22:06] 结果就是很多开发商
[22:07] 他在很敏感的地区铺设光电
[22:09] 最后也形成一些民意的反扑
[22:11] 你要使用原本就有的土地
[22:14] 又有稳定的供电
[22:15] 我们看到核能的再起
[22:17] 它就是一个不得不的一个方向
[22:20] 我们看到这一次日本
[22:22] 虽然过去曾经多年采取去核化策略
[22:24] 但这几年已经新增了
[22:26] 15到16座的重启
[22:28] 多座核电厂
[22:29] 以前看到的女川二号机
[22:31] 岛根二号机
[22:32] 目前都已经开始陆续重启
[22:34] 那本年度市场最为聚焦的是什么呢
[22:37] 就是日本新系的小城市博奇
[22:40] 因为它拥有全球最大的核电厂
[22:43] 正式重新启用的
[22:44] 我们叫做一语的博企核电厂
[22:47] 那这座电厂在福岛核灾之后
[22:52] 它是停运多年
[22:54] 如今终于重新启用
[22:56] 对于很多部分当地居民而言
[22:58] 这象征着这座城市
[23:00] 再度成为全国供电的角色
[23:02] 其实以前就已经有很多核电厂重启了
[23:05] 但这一次为什么受到大家最为关注
[23:07] 因为第一个是上个月才重启
[23:09] 第二个呢
[23:10] 它是全球最大的核电厂
[23:12] 在日本重启了
[23:14] 它有6000个员工
[23:15] 8成都来自于新西地区
[23:17] 占了政府的财政收入
[23:19] 大概有三成以上
[23:21] 所以在这样的一个效果底下
[23:22] 等同于日本的政策
[23:24] 开始重新处于一个新的转捩点
[23:26] 我们就看一下
[23:27] 到底能源的抚平
[23:30] 对于日本财政情况
[23:31] 是否能够转捩
[23:32] 很重要的观察中
[23:34] 就是来自于东电
[23:35] 因为从19年以后
[23:36] 东电跟台电差不多
[23:37] 那也是游营转亏
[23:39] 2021年以后是明显恶化
[23:41] 为什么
[23:41] 燃料成本上升
[23:43] 天然气成本上升
[23:44] 日元又贬值
[23:46] 能源采购成本都在上升
[23:48] 那后续再生能源比例
[23:50] 虽然大家在尝试的进行比重拉伸
[23:53] 可是也得到了一些民意上的反对
[23:55] 所以脱碳计划
[23:56] 碳中和目标看起来是非常缓慢的
[23:59] 那你不如干脆把核电直接重启
[24:01] 旧有的土地直接来做使用
[24:03] 尝试的去弥补
[24:04] 弥补东电长期的赤字归损
[24:07] 这个是很重要的
[24:08] 好 这是日本的部分
[24:09] 南韩的部分
[24:10] 李在明在本周宣布
[24:12] 由于国内油价的急剧上升
[24:14] 南韩政府发布紧急警告
[24:16] 针对油价
[24:17] 如果在市场上
[24:19] 有在南韩尝试着轰台油价
[24:21] 操纵油价
[24:22] 被视为全民的重大犯罪
[24:24] 政府将采取严厉的打击措施
[24:26] 李在明在社群平台上表示说
[24:28] 绝对不允许有人利用国家和社会的困境
[24:31] 来谋取暴利
[24:32] 除了打击国内的囤货炒作以外
[24:35] 南韩政府也开始寻找替代能源
[24:38] 因为核武制海峡已经受损了
[24:39] 现在官方也表示
[24:41] 会从替代港口快速进口400万桶原油
[24:44] 由政府全面买单
[24:46] 来立即运输到南韩市场当中政府认为这项紧急采购至少能够在4月份以前稳定当权的能源供应啊因为韩国市场比较不一样刚才讲到嘛这个日本的部分呢
[24:58] 主要发电是天然气和石油发电
[25:00] 台湾主要是天然气
[25:02] 南韩的部分
[25:03] 它的能源结构啊
[25:04] 其实相对于台日
[25:06] 还要再更加分散
[25:07] 南韩再生能源大概是10%
[25:09] 政策目标是2030年来到30%
[25:12] 不过呢相对的
[25:13] 传统的蓝煤
[25:14] 现在已经降到大概20%左右
[25:17] 最重要的是核能占比
[25:19] 是目前现在在台日韩当中最高的
[25:23] 南韩的核电占比大概是30%
[25:25] 未来预估会来到35%
[25:27] 并且结合SMR的小型化模组发电
[25:31] 以确保电力的供应稳定
[25:33] 那这也很正常
[25:34] 因为这个核能发电
[25:35] 大家都总觉得跟地缘这种危机
[25:38] 或者是这种自然灾害比较有关
[25:41] 那从欧亚板块和气候差异
[25:43] 你就会发现
[25:44] 这个就是稍微比较敢去建核电站的
[25:47] 肯定是板块稳定的内陆
[25:50] 或者不必承受频繁地震的地区
[25:52] 南韩的部分
[25:53] 你发生规模六以上的地震次数
[25:55] 在过去20年当中
[25:58] 其实是零次
[25:58] 台湾日本比例都稍微高一点
[26:01] 欧洲市场其实也是零次
[26:03] 不过欧洲过去再生能源推进速度比较快
[26:05] 主要靠法国的核能发电来进行
[26:08] 核能供电的供应
[26:10] 不管怎么说
[26:11] 由于台日韩的液化天然气
[26:13] 目前最大来源其实已经是澳洲了
[26:15] 不再是卡达
[26:17] 所以接下来市场上最为受惠的
[26:20] 肯定就是澳洲的一些实业股
[26:23] 能源股等等
[26:24] 好我们再回过头来看一下美国
[26:25] 美国的部分
[26:26] 现在市场上遇到最大的压力
