[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 特斯拉和Google的财报
[10:18] 那其实就意味着
[10:19] 那中东其实还是紧张的
[10:21] 那只是需求不好了
[10:22] 那由需求不好所造成的油价下跌
[10:26] 这对于全球经济就不见得是一件好事了
[10:29] 所以联准会我们才讲说
[10:30] 真正的难关就在这边
[10:32] 那美国现在的暑假旺季
[10:34] 到底原油的需求价格有多强呢
[10:37] 如果需求是不强的
[10:38] 如果需求不强所造成的油价
[10:40] 受到一定程度的抑制
[10:42] 那到底是好事还是坏事呢
[10:44] 我们知道本周联准会不见得
[10:47] 华许不见得会做前瞻之谊
[10:48] 因为他现在都不太讲话了
[10:50] 但是至少让投资人对于未来的政策方向
[10:52] 可以从本周谈话来做一些观察
[10:54] 因为本周从美国新加坡英国和日本央行
[10:58] 我们预估都会维持
[11:00] 联邦政策基准利率不变
[11:02] 但是市场关注的还是华许
[11:04] 有没有可能透露出一些态度
[11:06] 以及联总会内部
[11:07] 有没有一些分歧
[11:08] 有没有一些票委愿意喊话
[11:10] 你看鲍尔虽然卸任下来
[11:12] 可是他还是理事
[11:13] 最近他也不太讲话
[11:15] 那如果联总会
[11:16] 如果有释出升息步调
[11:18] 短期内会不会造成债券价格进一步的沉秧
[11:21] 那到底联总会现在是要反映
[11:23] 十年期公债殖利率的上行
[11:25] 讲一些阴派的内容
[11:27] 还是他要去压抑住
[11:28] 目前十年期公债殖利率的上行
[11:30] 释出一些中东局势
[11:32] 或者本身通膨预期
[11:34] 不会过高的谈话呢
[11:35] 这个是大家值得观察的重点
[11:37] 因为从MOOV指数来看
[11:39] 现在债券市场的恐慌情绪
[11:41] 又慢慢开始飙升了
[11:42] 尤其大家最为关注的
[11:45] 其实来自于
[11:45] 目前的通膨预期变化
[11:47] 我们从十年期公债殖利率的上升
[11:50] 这一次其实更多来自于实质利率
[11:53] 并不是单纯长期通膨的预期恶化
[11:55] 如果我们仔细观察
[11:57] 联准会现在因为没有升息
[11:59] 那市场信心对于短天期利率恐怕就会再度的下滑
[12:03] 长天期实质利率就会因为通膨预期而持续攀高
[12:07] 所以使得现在的实质利率曲线再次出现陡峭化
[12:11] 那这个问题曾经在20年到22年的高通膨曾经出现过
[12:16] 所以实质利率曲线正在往上攀
[12:20] 那其实就意味着联准会
[12:22] 他是不是在暗示联总会
[12:23] 你应该要释出紧缩态势
[12:25] 那当然我们后续要看一下
[12:26] 实质步调
[12:27] 因为现在联总会
[12:29] 感觉自从减少前瞻之影以后
[12:32] 他好像造成了市场波动更大了
[12:35] 那到底不讲话是好事还是坏事呢
[12:37] 不讲话感觉是让市场
[12:39] 自动的较正回归
[12:40] 那市场过度揣测
[12:42] 那引起的波动性加大
[12:44] 真的是联总会愿意看到的吗
[12:46] 这个压力就比较大一点了
[12:47] 尤其现在不只是
[12:49] 美国公债是年期之利的问题
[12:51] 更多来自于刚才提到科技债发行的规模体量
[12:56] 我们知道在今年
[12:57] 其实大型云端服务商的债券利差
[13:01] 就会把它拿去减掉
[13:02] 十年级公债殖利率当中的利率水准
[13:05] 因为通常这些大型公司
[13:09] 它发行的债券利率
[13:10] 一定要比十年级公债殖利率来得高
[13:12] 要不然去买美国国债就好了
[13:13] 更安全
[13:14] 所以当中的利差
[13:16] 就是我们讲的这个叫做G-SPRIT
[13:19] 美国大型云端服务商的债券利差
[13:23] 那从6月份以来
[13:25] 其实上升幅度就非常非常快
[13:27] 这已经扩大到168个基点了
[13:31] 这应该不是说什么
[13:33] 这段时间的新高
[13:35] 这应该是本世纪新高
[13:36] 债券利率走深就代表
[13:38] 投资人现在要求更高的风险溢价
[13:41] 也反映出市场对于AI
[13:42] 巨额资本支出
[13:44] 持续发财的筹资
[13:45] 还有未来现金流
[13:46] 产生的不确定性
[13:47] 这个可能是回过头
[13:49] 沉压到股市科技股的主因
[13:52] 这是我的看法
[13:52] 所以有时候我们讲说
[13:54] 它是一连串下来的
[13:55] 所以中东问题的攀升
[13:57] 市场的发债需求
[13:58] 最后债券市场
[14:00] 重新的回过头来压股市
[14:01] 美欧股市道重指数
[14:03] 周五上涨235点
[14:05] 0.46%
[14:06] 收在51947点
[14:07] 标普上涨3.68点
[14:09] 005%
[14:10] 收在7411点
[14:12] 那萨克指数下来的161点
[14:14] 0.64%
[14:15] 收在24975点
[14:16] 非半结队中524点
[14:19] 4.25%
[14:20] 所以11818点
[14:22] 现在大概就几种人
[14:23] 这个6月到7月份的行情
[14:26] 第一种听人家讲
[14:27] 就是天生神力
[14:28] 卖在高点的
[14:29] 第二种就是高手高高手
[14:33] 虽然有回档
[14:34] 可是今年还是赚不少
[14:35] 能够顺势操作
[14:38] 壮士断腕的
[14:40] 第三种是部分个股投资者
[14:43] 今年可能损益回档要超过一半
[14:46] 因为6月份这样摔下来
[14:47] 不过还是赚
[14:48] 第四种就像我们一样
[14:50] 从年初一直爆爆爆爆爆
[14:52] 三月情绪乖离回调
[14:54] 加码
[14:55] 然后又爆爆爆爆爆
[14:56] 现在7月又回跌
[14:58] 情绪周乖离又回挡
[14:59] 又准备要进场
[15:00] 这是大概是我们的周期投资步调
[15:02] 但是其实有不少人
[15:04] 因为6月是爆大量了
[15:06] 所以你大概可以合理的判断
[15:07] 就有些人
[15:08] 他可能今年从来没有买过股票
[15:10] 他专门买在6月
[15:12] 还开杠杆
[15:13] 还直押
[15:14] 还想飙车
[15:16] 开始亏钱
[15:17] 那有些股票在腰斩了
[15:19] 那可能现在就是想要等V转
[15:21] 来解套或者做停损
[15:22] 你是哪一类人呢
[15:24] 要保持好记的原则
[15:26] 所以我们讲说
[15:26] 今年应该市场的投资绩效和策略
[15:30] 它会属于极度分歧的情况
[15:32] 因为我很神奇
[15:33] 从原理来看
[15:35] 年初到现在的价位
[15:36] 大家都赚钱的
[15:37] 可是我看到好像越来越多人中赔
[15:39] 然后这很难想象
[15:40] 今年中赔
[15:41] 4万3 4万4
[15:43] 今年中赔
[15:44] 那其实你就可以从量能图来看得出来
[15:47] 有很多人他今年真的没买过股票
[15:49] 但是第一次买股票就在六月份
[15:51] 所以这要了解一下自己的投资原则
[15:53] 当然回过头说
[15:54] 今年整个26年的资产轮动
[15:57] 其实大概有三分之一的资产
[15:59] 开始陆续进入到收跌
[16:01] 可是大多数跌幅并不大
[16:02] 你看跌幅比较轻的都是一些债券资产
[16:05] 像是我们看到总体债券
[16:08] 或者投资等级债
[16:09] 长天期国债
[16:11] 跌幅大概0.5到2%
[16:14] 其实也不是很重
[16:15] 这个债券投资者
[16:17] 前几年跌幅才叫真的重
[16:18] 那黄金今年跌了6.2%
[16:21] 比特币跌了26%
[16:23] 然后仍然是跌最重的
[16:24] 那涨最多的第一名
[16:26] 还是大中资产涨了34%
[16:28] 价值股18
[16:29] 小型股18
[16:31] 其他像REITs
[16:32] 中型股
[16:33] 可转债
[16:33] 纳指100
[16:34] 涨幅大概10到15%
[16:36] 那其他像大型股
[16:38] 或者我们看到新市场
[16:40] 高收益债
[16:41] 新市场债券
[16:42] 其实涨幅还有1到7%左右
[16:44] 迭退中真的除了比特币
[16:45] 其他都算是价格均值回调
[16:47] 黄金甚至是年初飙了一波之后
[16:50] 才开始做显著拉回
[16:51] 那去年的涨幅更是非常尖锐
[16:54] 比特币现在由于价格
[16:56] 从高点这样子下来
[16:58] 已经算是腰斩了
[16:59] 跌到6.6万美元
[17:00] 那不只是冲击一般投资人
[17:02] 我们知道这几年
[17:03] 常常兴起一种公司
[17:05] 叫做加密货币储备公司
[17:06] 就这类公司它是透过股票去市场募资然后在大局买进比特币或者其他的加密货币希望股价随着币价同步上涨有点类似币圈的巴菲特当时受到strategy的成功模式带动
[17:20] 25年曾经有数百家公司
[17:23] 进香访效
[17:24] 结果当时的资产规模
[17:26] 一度来到1200亿
[17:28] 现在只剩下700亿了
[17:30] 规模是越缩越短
[17:32] 这等同于我们会提过
[17:33] 其实他就另类的高杠杆投资
[17:36] 还必须要负担上市公司的运营和融资成本
[17:40] 所以涨的时候更快
[17:41] 抵达的时候就来得更加剧烈
[17:42] 那的确这是今年唯一真的摔得比较重的资产
[17:46] 那第二今年摔得很重
[17:48] 可是也没有到特别重
[17:49] 但是让人失望的呢
[17:51] 其实就是大型科技股
[17:52] 我们看今年大型价值股和小型股
[17:55] 涨幅还有18%
[17:56] 新市场涨幅有15%
[17:58] 美国中型股有15.1%
[18:00] 国际股是有11.2%
[18:02] 标普只有8.9%
[18:03] 重点是美国的七巨头
[18:05] 甚至下跌4.2%
[18:07] 所以这件事情就意味着
[18:09] 七巨头在今年表现
[18:10] 真的是有点离谱
[18:12] 七巨头今年大概就这样了
[18:13] 赔钱赔钱
[18:14] 大赔钱大赔钱
[18:15] 五月份稍微赚一点
[18:17] 六月份准备要大赚了
[18:19] 结果七月份又大赔
[18:20] 结果又赚又赔
[18:22] 大概就这样子
[18:23] 一赚一赔一赚一赔
[18:24] 又赚了又亏了
[18:25] 打五啊笨蛋
[18:26] 可是重点在于
[18:28] 七巨头难道真的
[18:29] 在基本面上出现松动吗
[18:31] 其实并没有
[18:32] 七巨头现在赚钱的速度
[18:33] 其实越来越快了
[18:34] 很明显大家在乎的是自由现金流
[18:37] 而不是财报
[18:38] 标普500现在预估在今年二季度的EPS
[18:41] 年增不会有高达38%
[18:43] 这个是2021年第三季以来的最高的成长率
[18:47] 这个标普成长速度
[18:48] 你要知道它从23年以来就没有衰退
[18:50] 现在居然以38%的速度成长
[18:53] 差不多回到2021年第三季的水准了
[18:57] 你要想想看
[18:58] 现在利率这么高
[19:00] 现在的大环境也没有货币宽松
[19:02] 结果现在的EPS年增幅
[19:05] 居然跟2021年差不多
[19:06] 你就可以理解
[19:08] 七巨头不是卖产值的
[19:09] 它是卖服务的
[19:10] 它是从原本既有的垄断体系当中
[19:13] 尝试的精简化极的人类
[19:16] 来创造更高的获利
[19:17] 它都可以有38%的报酬
[19:19] 所以我认为
[19:20] 我对于七巨头的财报
[19:21] 表现是非常非常满意的
[19:23] 居然现在这种高利率
[19:25] 我们的成长跟海量货币宽松
[19:27] 是一样的水准
[19:28] 再看一下标普第二季的净利润
[19:31] 高达15.7%
[19:33] 这也是历史新高了
[19:34] 这代表每一个企业
[19:37] 创造100块美元的营收
[19:38] 它就可以保有
[19:39] 15.7块美元的净利
[19:41] 美国大型企业的获利
[19:43] 其实现在是处于
[19:44] 前所未见的高峰
[19:46] 一个是EPS年增幅
[19:47] 几乎等于海量货币还送
[19:49] 另外一个是第二季的净利率
[19:51] 15.7
[19:52] 这真的就是历史新高了
[19:54] 标普现在就是
[19:56] 你发现它一直裁员
[19:57] 发现裁员也不会影响到
[19:58] 公司内部的运营
[19:59] 结果成本就越来越低
[20:01] 净利率居然可以创下历史新高
[20:03] 我觉得这件事情
[20:04] 其实已经说明了
[20:05] 这些企业本质体质
[20:07] 还是非常完好的
[20:08] 所以如果真的出现了
[20:09] 本益比的显著松动
[20:10] 那到底是机会还是危机呢
[20:13] 我觉得很明显
[20:14] 我是认同前者的
[20:16] 事实上今年
[20:17] AI的输家和赢家
[20:19] 它还是非常两极的情况
[20:20] 如果我们细看
[20:22] 在AI基础建设端
[20:24] 或者说一些软体端
[20:26] 目前整体市场的卖压
[20:28] 的确相对沉重
[20:29] 今年市场上
[20:30] 卖压比较大的
[20:31] 大部分都是一些软体商
[20:33] 我们看到的
[20:35] 不管是
[20:36] 这个一些企业型软体啊
[20:39] 或者我们看到Adobe啊
[20:41] 但是今年
[20:42] 你像是AI晶片
[20:43] HBM
[20:44] 伺服器
[20:44] 表现其实就相当不错
[20:46] 所以换句话说
[20:47] 七巨头内部
[20:49] 它的分化
[20:49] 其实也还好
[20:50] 真正卖压比较重的
[20:52] 叠幅三成到五成的这些巨头
[20:54] 或者说
[20:55] 这些标普牌指数的成分过
[20:57] 大部分都还是软铁股居多
[20:59] 那Michael Burry
[21:00] 最近又在宣布要加码放空AI晶片股
[21:03] 等同于即便估值已经回调了两成到三成
[21:07] 他仍然决定要持续放空
[21:08] 这一次他终于讲对了
[21:10] 因为他两个月前就已经讲过了
[21:12] 先知果然是寂寞的
[21:14] 这一次真的是终于赚到钱了
[21:16] 那这次他也宣布
[21:17] 再度持续放空AI半导体相关股票
[21:20] 他以933块美元持续加码放空美光
[21:24] 210块加码放空辉达
[21:26] 那在最近呢
[21:27] 放空SOXX以535块
[21:30] 同时维持特斯拉和Parentier的空头部位
[21:33] 当然了
[21:34] 他有没有持续做一些资产的回补
[21:36] 之前提过嘛
[21:37] 房地美房地美他也做回补
[21:39] 说明他也不是对赌市场崩盘
[21:41] 但他始终认为啊
[21:42] 废办没有脱离景气循环股
[21:44] 所以必须要给予他更低的评价
[21:47] 那与他相反的当然就黄仁勋
[21:49] 黄仁勋说
[21:50] 这一次不一样
[21:52] 这次他受Fulton的专访
[21:54] 他再次回应市场对于AI泡沫的质疑
[21:56] 他认为这一次过去
[21:58] 应该讲说这一次的循环
[22:01] 他已经把它视为超级循环
[22:03] 跟过去的半导体景气循环
[22:05] 完全不一样
[22:06] 因为现在的需求
[22:07] 并非来自于消费电子
[22:08] 相关的季节性换季潮
[22:11] 而是全球产业
[22:12] 正在进行运算架构的转型
[22:14] 未来十年的半导体规模
[22:16] 他预估会扩大五倍到十倍
[22:18] 目前AI处于非常早期的建设阶段
[22:21] 因此他研判晶片产业
[22:23] 不会进入到不景气
[22:24] 而是处于5到10年的爆发式的成长
[22:27] 这是他的一个看法
[22:28] 所以我们必须承认
[22:29] 现在从七巨头角度来看
[22:32] 市场上很明显
[22:33] 是两边都不是很信任
[22:35] 一方面又不敢给你放空太多
[22:38] 但是另外一方面
[22:39] 本益比又回到合理价位
[22:41] 又不得不做一些回补
[22:42] 所以量能现在其实
[22:44] 相对于年初还是偏大
[22:46] 可是至少相对于6月7月
[22:48] 量能已经开始缩了一点
[22:49] 我们从七巨头的现行股价
[22:51] 来做一些观察
[22:52] 你看七巨头最近
[22:53] 遭受到比较显著的卖压
[22:55] 如果是从整体七剂头指数来看的话
[22:58] 其实已经几乎憋近到年限
[23:00] 那快要接近到今年三月份的一郎水位了
[23:04] 微软的部分是
[23:05] 维持在2023年以来的大型盘整区间
[23:09] 那这个大头部基本上已经形成
[23:12] 目前股价甚至是低于年限的
[23:15] 那代表的是上方卖压
[23:17] 其实还是相对沉重
[23:18] 微软真的是已经软很久了
[23:20] 那现在的价位
[23:21] 如果从本益比估值规模来看的话
[23:24] 哇
[23:24] 已经来到24倍了
[23:26] 24倍是什么概念
[23:27] 24倍
[23:29] 那就是比2023年
[23:31] 比2020年都还来得低
[23:33] 微软现在的本益比
[23:35] 居然比新冠疫情来得低
[23:37] 好
[23:38] 那我认为态度很简单
[23:39] 除非你认为现在AI是泡沫破灭
[23:41] 要不然
[23:42] 它现在机器比新冠疫情来得低
[23:45] 让你重新一次回到2020年
[23:47] 你会对微软做什么事情
[23:49] 你会让它硬起来吗
[23:51] 不是
[23:51] 你会选择去看好这家企业吗
[23:53] 所以我的态度也很明显了
[23:55] 当然了
[23:56] 个股投资始终有风险
[23:57] 也许用ETF的方式分散风险
[23:59] 也是这种方式
[24:00] 那Meta的部分也类似
[24:01] 它基本上从24年9月份以来之后
[24:03] 就一直在区间震荡
[24:05] 没有做有效的突破或者跌破
[24:07] 那它也形成了本益比持续滑落的效果
[24:10] 辉达同样没有形成明确的方向
[24:13] 去年夏天以来一直维持在区间整理
[24:16] 短线其实也缺乏明显的多空讯号
[24:19] 亚马逊的部分
[24:20] 亚马逊好处是过去有一个惯性
[24:23] 他从97年到01年到08年到22年
[24:26] 他都维持了一整条的上升趋势线
[24:29] 现在刚好碰到了
[24:30] 你就看会不会跌破
[24:31] Google母公司阿发贝
[24:33] 这一次是遭到财报之后
[24:35] 遭受到市场的重处
[24:36] 现在已经回撤到接近年限左右了
[24:39] 那也是过去一整年的
[24:42] 大家的平均成本价
[24:43] 也算是蛮吸引人的
[24:44] 少数表现特别好是苹果
[24:46] 苹果股价创下历史新高了
[24:48] 重新夺为全球市值第一的宝座
[24:51] 那到底苹果为什么会受到市场的评价呢
[24:53] 那就更明显了嘛
[24:54] 因为苹果的自由现金流在往上走
[24:56] 苹果口袋里的钱
[24:58] 看起来是越来越多了
[25:00] 那这些事情都意味着
[25:01] 市场上正在用不同的角度
[25:03] 来做总体评价
[25:04] 那随着接下来有SK海力士的财报
[25:08] 有微软财报
[25:09] Meta财报
[25:10] 苹果财报
[25:10] 如果真的就是
[25:11] 只有苹果的自由现金流上升
[25:13] 所导致股价大涨
[25:14] 那你大概就奠定了
[25:16] 接下来七巨头的论调了
[25:18] 看起来就不再是比谁的资本支出多了
[25:20] 看起来比谁能够花在刀口上
[25:23] 如果能够释出好消息
[25:24] 提升自由现金流
[25:26] 也许就是一个好的方式
[25:27] 现在市场最有趣的地方就在于
[25:29] 别人看中的未必是你的优势
[25:32] 过去几年科技公司只要宣布加码AI
[25:35] 新建资料中心采购更多的晶片
[25:37] 股价就会往上涨
[25:38] 因为市场认为投入越大
[25:40] 竞争率越强
[25:41] 那现在风向已经转变了
[25:43] 投资人不再看你契约运营花多少钱开始追问這些錢什麼時候能夠賺回來如果短期內賺不回来你先把你的财报给雇好市场上现在反而更重视的是投资报酬率和自由的现金流
[25:55] 风水轮流转
[25:56] 苹果人家都嘲笑
[25:58] 人家开玩笑
[25:59] Apple Interest
[26:00] 那是AI
