[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是从纳指电子盘
[02:51] 21年是卖超4500亿
[02:52] 22年卖台股卖了1.2兆
[02:55] 2023年回补金额也不大
[02:58] 大概2700亿而已
[02:59] 24年它又卖了6900亿
[03:01] 25年又卖了5900亿
[03:02] 今年到现在为止
[03:04] 大概是卖了4600亿左右
[03:06] 但是在过去7年
[03:08] 投信就是年年都买超
[03:09] 再加上受险的买盘
[03:11] 加上主力的买盘
[03:12] 加上散户的买盘
[03:14] 硬是把台股从过去7年前的
[03:17] 2020年8000点一路拉升到现在
[03:20] 所以外资如果有卖压
[03:22] 台股也会创高
[03:23] 就是慢慢的创高
[03:24] 那外资如果转为买超
[03:26] 那创高的速度应该就会以此而加快
[03:28] 今年ETF绩效里头
[03:30] 大概有六档都是主动型ETF排行前几名
[03:34] 我们看资金已经从前几年
[03:37] 我记得是高股息
[03:38] 后来又变成全资型
[03:40] 后来有一阵子觉得买全资型
[03:42] 不如买台积电
[03:43] 到现在决定要买主动型
[03:45] 一方面可以分散风险
[03:46] 一方面要超越大盘
[03:48] 这代表资金已经从过去单纯的买大盘买高股息
[03:52] 进入到进一步主动选股的新时代
[03:54] 大家认为追上大盘又是无聊不起的
[03:58] 我要超越大盘
[03:59] 开始有这种心态陆续出现了
[04:01] 我们看前面几名
[04:02] 撇开石油ETF
[04:04] 看比较原型的股票ETF
[04:06] 整体而言
[04:07] 涨幅今年最亮丽的是00988A
[04:09] 涨幅有101%
[04:11] 00892富邦台湾半导体
[04:13] 涨幅96%
[04:15] 947涨幅91
[04:16] 735涨幅91
[04:18] 所以可以看得出来
[04:20] 在今年
[04:21] 涨幅三成四成
[04:24] 算输给大盘
[04:25] 算报酬不叫特别亮丽的
[04:27] 涨幅来到七成八成
[04:30] 算勉强跑赢
[04:31] 涨幅到九成
[04:32] 你才可以跑赢大部分的主动型基金
[04:34] 或者跑赢大多数的ETF
[04:36] 这种涨幅
[04:38] 其实你就知道
[04:38] 过去几个月到底有多惊人的
[04:41] 尤其在三月份
[04:42] 有做适度部件的投资朋友
[04:43] 我们节目的片头
[04:45] 讲的是我想和你一起慢慢变富
[04:50] 现在可能要改成
[04:51] 我想和你一起发财
[04:53] 或者改成我想陪你报复
[04:55] 陪你致富
[04:56] 都快违背我们的初衷了
[04:58] 的确了
[04:58] 过去几个月
[04:59] 尤其是过去几周的涨不是有点快
[05:01] 而过去有参加我们听友会的投资朋友也知道
[05:04] 我们过去几次回档
[05:06] 基本都是抱持着很乐观的心态
[05:08] 去做部件
[05:09] 三月份也是
[05:09] 但也从来没有料到是这种涨法
[05:12] 正常来讲
[05:13] 我们现在的公债殖利率通膨情况
[05:15] 应该是会有压抑
[05:16] 抑制估值空间的存在
[05:18] 所以也不是代表不能涨
[05:20] 但是应该不会这么快
[05:22] 不过反正已经买了
[05:23] 大多是赚
[05:24] 赚多赚少
[05:25] 那问题就在于
[05:25] 这一波暴冲
[05:26] 我相信很多人是始料未及的
[05:28] 而就算我是乐观的
[05:30] 大家一直都知道
[05:30] 我们是很标准的科技乐观论者
[05:32] 都无法去标准去解释这种行情
[05:36] 说明什么
[05:36] 有情绪在里头
[05:38] 我们看一下台股的开杠杆情况
[05:40] 许多人目前正在拿股票投资
[05:43] 把资金进行进一步贷款扩增
[05:46] 包括股票质押
[05:47] ETF质押
[05:48] 信贷
[05:49] 房贷
[05:50] 增贷来加码台股
[05:52] 导致现在券商不限用途的借贷额度
[05:55] 基本上已经算B0上限了
[05:57] 我问了几家
[05:57] 券商基本都快B0上限
[06:00] 银行还有额度
[06:01] 部分大型券商基本上都快要没钱了
[06:04] 光是在整个四月底
[06:05] 券商的借贷规模大概已经冲到6600亿元
[06:09] 这个是2024年中期的两倍以上
[06:12] 五月份持续爆充
[06:13] 那我们看到有些券商
[06:15] 我们讲的是券商不是银行
[06:16] 券商为了要继续放贷
[06:18] 就开始大量的发行次顺位的金融债
[06:21] 整个金融系统都在替市场加大杠杆
[06:24] 券商快没钱了
[06:26] 券商就跟银行借钱
[06:27] 发债
[06:27] 那发了债之后
[06:29] 再把钱再借给散户们
[06:31] 那为此利于碰到
[06:32] 马上就要让你断头
[06:33] 以防券商自己还不出钱
[06:36] 所以随着房贷信贷
[06:38] 与而目前持续的增加
[06:39] 很多家庭的确已经开始
[06:41] 把未来的现金流提前拿来投资
[06:43] 那当然市场的底气是什么
[06:45] 来自于股市基本面
[06:46] 只要确保
[06:47] 反正我工作的工资
[06:49] 年底年终马上就要给我了
[06:51] 明年我的股利一定创高的
[06:52] 那我现在就先提前
[06:54] 借钱来卡位买进锁定价位
[06:57] 这个是现在的心态
[06:58] 市场就依靠这种
[06:59] 强劲的基本面和本业收入
[07:01] 不断的去透支未来
[07:03] 举债投资
[07:04] 那的确
[07:05] 那等同于台湾在本世纪
[07:07] 应该算是今年经济最好
[07:10] 借贷量最高
[07:11] 应该可以称之为最贪婪的一年
[07:14] 这插鞋桶何止现在开店了
[07:17] 变插鞋桶了
[07:19] 现在还开分店
[07:20] 都准备要上市了
[07:22] 一年前的插鞋桶
[07:24] 现在变插鞋桶
[07:25] 现在开始担心了
[07:26] 担心什么
[07:27] 担心自己的员工也要丢离职单了
[07:30] 他也要去炒股了
[07:31] 所以为了以防大规模的离职潮
[07:33] 插鞋桶现在就要研究AI
[07:37] 让机械手臂来帮大家插鞋
[07:39] 回过头说
[07:40] 其他数据我们来做一些观察
[07:42] 现在比较主流说法叫做四代同堂
[07:45] 一个是房贷
[07:46] 然后信贷
[07:47] 再来就是房屋增贷
[07:49] 最后是执押贷款
[07:50] 贷好贷满
[07:52] 杠杆从来都是双面刃
[07:53] 市场顺风的时候
[07:55] 它就是火箭的推进器
[07:56] 行情翻转的时候
[07:57] 当然就会变成压在人身上的巨石
[08:00] 现在我们从市场资金水位来看
[08:03] 融资预额在过去一年
[08:05] 大概暴增了130到140%
[08:07] 银行的个人信贷
[08:09] 在过去六年是增加一倍
[08:10] 那很多人会觉得这很离谱
[08:12] 其实这个资金也没有到
[08:14] 极度离谱的地步
[08:16] 因为从资产水位来看
[08:17] 我们从20年到26年
[08:20] 其实股市已经翻了
[08:22] 接近有四倍到五倍了
[08:23] 那如果是个人信贷金额
[08:25] 六年才增加一倍
[08:27] 没有到特别离谱
[08:28] 那重点是短期内的这种
[08:30] 券商的额度满之后它所造成的迹象并不是单纯系统性风险的问题就算把券商的额度借满也许都还没有到达系统性风险的地步
[08:41] 而是券商主动开始收益
[08:43] 跟大幅调高利率
[08:44] 大幅限缩贷款
[08:46] 把融资额度
[08:47] 可能从原本六成
[08:49] 下降到五成四成的时候
[08:50] 它就一时就在告诉你
[08:52] 玩不下去了
[08:53] 不借你了
[08:54] 如果市场缺乏资金动能
[08:56] 它终究会有一个情绪回调
[08:58] 乖离回调
[08:59] 拉不动的时候
[09:00] 这是一种角度
[09:01] 当然你说靠外资的买回
[09:02] 那也是一种方式
[09:03] 但我们讲说杠杆本来就有极限
[09:05] 这个极限就是券商和银行部门
[09:07] 他本身在说的时候
[09:09] 不愿意借你这么多钱的时候
[09:10] 所以当然我们还是建议大家
[09:12] 虽然现在好像杠杆投资
[09:14] 是一个很主流的思想
[09:15] 但是我们还是不建议
[09:16] 现在扩大杠杆
[09:18] 尤其是短期内杠杆
[09:19] 或者说利率特别高的
[09:22] 额度不高的这种杠杆
[09:23] 现在很多人心里想
[09:25] 就不是这样
[09:26] 很多人想说
[09:26] 这一次不借贷翻身
[09:28] 下一次就在养老院给人翻身了
[09:32] 少赚要人命
[09:33] 好像也
[09:34] 所以我的话也听听就好了
[09:35] 很多人想
[09:36] 营要冲输要输
[09:37] 杠杆开爆
[09:39] 人生开窍
[09:40] 台股无上限
[09:42] 只怕压得还不够
[09:44] 但我的看法是
[09:45] 杠杆它是拿来超车用的
[09:47] 不是拿来飙车用的
[09:49] 超车是为了达到资产配置的优化
[09:51] 这个叫生命周期投资法
[09:53] 把年老的钱
[09:55] 你要提前在年金先投锁定价格
[09:57] 那要怎么把年老的钱进行提前投资呢
[10:00] 有些人以前有流行那种正额投资法
[10:02] 那有些人可能房屋抵押贷款来做投资
[10:05] 借由利差的压低
[10:07] 来确保每年大盘可以稳定的跑赢
[10:10] 房贷利率
[10:11] 房屋抵押贷款利率
[10:12] 那就OK了
[10:12] 可是超车是为了达到资产配置
[10:15] 它不是要让你能够靠一次股市的拉升
[10:20] 就彻底翻身的
[10:21] 飙车才是这样子
[10:22] 就很多人把杠杆当成刺激
[10:24] 但成熟的投资人
[10:25] 会把杠杆当成超车功绩
[10:27] 超车的本质就是
[10:28] 你看准路况之后
[10:30] 短暂的提高速度
[10:31] 快速完成资产配置
[10:33] 让自己脱离低效率的位置
[10:35] 避免被通膨低报酬
[10:36] 或者错误的配置
[10:37] 给拖慢人生进度
[10:39] 那飙车不一样
[10:40] 飙车是为了胜上限速
[10:42] 是为了炫耀速度
[10:43] 但最后往往就忽略了风险
[10:45] 失去控制
[10:46] 所以我觉得
[10:47] 适度杠杆
[10:48] 当然可以帮助你
[10:49] 提前买到核心资产
[10:50] 某种程度
[10:51] 你不买大盘
[10:52] 你偏偏去买科技型指数
[10:54] 它也是一种杠杆的加成
[10:55] 但是你杠杆到
[10:57] 很多人以前买房是这样
[10:59] 信贷付头期款
[11:01] 然后再接下去做更进一步贷款
[11:05] 或者说去股票做质押
[11:07] 贷好贷满
[11:09] 从头期款到剩下贷款
[11:10] 全部都给他贷满的话
[11:12] 其实压力是很大的
[11:15] 所以如果你把自己资金
[11:16] 逼到这么紧绷的位阶
[11:18] 我觉得就有压力了
[11:19] 所以如果你是为了资产优化
[11:21] 可以考虑看看
[11:22] 但是如果你想要就趁这一次翻身
[11:23] 我觉得这要有一个比较好的观念
[11:26] 因为接下来不要被洗掉就很重要
[11:28] 那四个小朋友聊天
[11:30] 那一个小朋友说
[11:31] 我爷爷是靠房地产翻身的
[11:33] 那你呢
[11:34] 我爷爷是靠乐透财翻身的
[11:36] 那你呢
[11:37] 我爷爷是靠台积电翻身的
[11:39] 剩下你
[11:40] 那你呢
[11:41] 我爷爷是靠外劳翻身的
[11:42] 你本来以为你在靠股票翻身
[11:45] 最后可能要给人家翻身
[11:47] 所以杠杆是拿来超车用的
[11:49] 不是拿来飙车用的
[11:50] 这是我的心态
[11:51] 不过这种势头正望
[11:53] 少赚要人命
[11:53] 大家也是听听就好
[11:54] 回过头说
[11:55] 主动型ETF正在改变台股的生态
[11:59] 明星经理人的时代已经重新回归了
[12:01] 我们过去的利润也很简单
[12:03] 主动型基金就是Beta值放大的基金
[12:06] 就这么简单
[12:07] 当然大家也是听听就好
[12:09] 现在大家谈ETF
[12:10] 多半都认为
[12:11] 以前是追踪指数低成本
[12:14] 长期稳定配置的工具
[12:16] 但现在市场气氛不太一样
[12:17] 主动型ETF不只是规模快速成长
[12:20] 现在已经变成台股的流量核心了
[12:22] 你是被动的
[12:24] 被动有什么好玩的
[12:25] 被动那么无趣
[12:26] 被动原理绩效这么简单
[12:28] 我要主动的
[12:29] 我要短短一年内
[12:32] 让我的资产能够有翻倍的机会
[12:34] 你说投资这么多股票
[12:36] 怎么可能翻倍
[12:37] 没有啊
[12:37] 今年很多股票
[12:39] 或很多的主动型基金
[12:40] 都已经陆续翻倍了
[12:41] 所以这个我们讲主动型ETF的IP化
[12:44] 就在逐步形成
[12:46] 那当然很多人会想
[12:47] 主动型ETF
[12:49] 如果一档一档目前的推出
[12:51] 那最后会不会有人是最后一棒呢
[12:53] 从杠杆层面
[12:54] 他会有最后一棒
[12:55] 不过我们过去也分析过了
[12:57] 从顺差
[12:58] 从台股的外汇层面
[12:59] 看起来离最后一棒还很远
[13:01] 钱是会进来的
[13:02] 但是未来是不是一定是
[13:03] 流到主动型ETF
[13:05] 这就不一定了
[13:06] 这是台股的概况
[13:07] 先把资本市场梳理清楚
[13:09] 再来稍微梳理一下韩国股市
[13:10] 韩国股市
[13:11] 现在的疯狂行情比台股还热
[13:14] COSPI指数
[13:15] 目前几乎处于跌不下去的迹象
[13:17] 每一次一小幅拉回
[13:19] 已经给疯狂的抄底
[13:21] 这个态度很明显
[13:22] 韩国股市今年
[13:24] 其实外资也没有回补多少
[13:26] 外资仍然是属于
[13:28] 大幅卖超韩国股市
[13:29] 和半导体股市的
[13:30] 韩国本地的散户
[13:32] 现在几乎是全面进行接手
[13:35] 甚至我们知道
[13:36] 从5月27号
[13:37] 就从明天开始
[13:39] 南韩会一次上市
[13:40] 16档专门追踪
[13:42] 三星和SK海力士的
[13:43] 两倍杠杆ETF
[13:45] 包括正额和反额的产品
[13:47] 由于韩国股市
[13:48] 单日的涨跌幅度限制是30%
[13:51] 这代表着ETF理论上
[13:53] 一天的波动冲到60%
[13:55] 也不是太大问题
[13:56] 如果三星或者SK海力士
[13:58] 一天涨30%
[14:00] 相关正额ETF
[14:01] 搞不好翻倍也没太大问题
[14:03] 反过来说你看错就完了
[14:05] 更有意思的事情是
[14:06] 参与的人非常多
[14:08] 很多人为了准备要购买
[14:10] 这些高风险的ETF
[14:11] 已经有10万人报名上课
[14:14] 来研究如何靠正额翻身
[14:16] 超过9万人已经完成培训
[14:19] 大量课程满街都是
[14:20] 因为南韩政府规定
[14:22] 想要买这样的产品
[14:23] 不只是要有1000万韩元的保证金
[14:25] 还必须完成两小时的教育课程
[14:28] 那很明显
[14:29] 至少有10万买盘已经确认
[14:31] 这种现象
[14:32] 称之为韩国版的义和团
[14:35] 散户军团
[14:36] 文化再次回归
[14:38] 那现在就是AI和记忆体行情
[14:40] 已经让三星和SK海力士
[14:42] 变成了国民信仰股
[14:43] 韩国人才是真正搞梭哈的
[14:46] 这个就有点亚洲纳斯达克的迹象了
[14:48] 波动幅度给你放的这么大
[14:50] 一次你敢赌的就上吧
[14:52] 那台湾政府反而是怕大家赚太多
[14:55] 到时候没人上班
[14:56] 我们还是稍微降低一下波动度
[14:58] 不要像韩国这么浮夸
[15:00] 但我们回过头来说
[15:01] 的确在22年23年的时候
[15:04] SK海力士和美光
[15:06] 基本上都还是以传统PC和消费电子为主
[15:09] 例如当时是苹果戴尔惠普联想
[15:12] 作为主要客户
[15:13] 可是到整个26年
[15:14] 他们的客户全部都变成了AI巨头
[15:17] 辉达单一客户比重
[15:19] 占SK海力士已经超过两成
[15:21] 微软亚马逊
[15:22] 阿发贝Meta
[15:23] 这些AI运算平台
[15:25] 占他的客户比例
[15:26] 也正在快速的放大
[15:27] 这就是一股新龙井
[15:28] 也就是说
[15:29] 谁掌握了AI契机
[15:31] 谁就能够在本人的资本行情当中
[15:33] 全面爆发
[15:34] 再看一下日本股市
[15:35] 日经俄乌指数
[15:37] 在昨天正式突破了6万5千点
[15:39] 那不只是股市创高
[15:41] 全球开始针对日本股市
[15:43] 有新一波的评价
[15:44] 因为以前日本股市相对于台韩
[15:46] 它就有那种失落年代的标签
[15:48] 就是台日韩三国
[15:50] 即便韩国有地缘政治风险
[15:52] 台湾也有
[15:53] 可是台韩相对而言
[15:55] 还是吸引比较多激进的投资人
[15:57] 来做投资比拼
[15:58] 就是来自于日本很长一段时间
[16:00] 被贴上那种低成长
[16:02] 低通膨
[16:03] 人口老化
[16:03] 企业保守的条件
[16:05] 结果现在大家看到
[16:07] 东京威力科上
[16:08] Disco这些半导体设备股
[16:10] 疯狂的狂飙
[16:11] 让大家压住到
[16:12] 接下来AI时代
[16:14] 把日本传统产业给唤醒了
[16:16] 就连过去做马桶的TOTO
[16:18] 股价都在疯狂上涨
[16:19] 原因就来自于
[16:21] 他所提供的材料端
[16:22] 非常具有AI层面的竞争力
[16:24] 丰田开始压住机器人
[16:26] Sony开始深化跟台积电的合作
[16:28] 地方银行和保险业
[16:30] 现在因为利率正常化
[16:31] 开始回复到重新的利率加速
[16:33] 也就代表着
[16:34] 这些获利上的拉升
[16:36] 变成一种日本财富的正循环
[16:38] 当然了
[16:39] 现在高盛估算
[16:40] 日股每涨10%
[16:41] 就能够带动0.3个百分点的消费
[16:43] 对于一般民众而言
[16:45] 日股的参与比率
[16:46] 就远远低于韩国股市和台湾股市
[16:49] 那日本人可能多数没有这种感觉
[16:52] 可是台湾人和韩国人
[16:54] 就真的是大街小巷
[16:55] 大家都在聊股票了
[16:56] 这就给投资朋友
[16:57] 做另外一层思想和借鉴
[16:59] 回过头说
[17:00] 现在全球股票市值大概77兆
[17:03] 基本上应该讲说美国是77兆
[17:06] 那相对于中国大概是5倍可是你看前面7名我们过去提过了第三名是日本再来是香港股市印度股市接下来就是台湾和韩国了全球前七大市场当中
[17:18] 有六个市场
[17:19] 全部都在东亚圈
[17:21] 或者加上印度
[17:22] 算东南亚了
[17:23] 但你可以看得出来
[17:24] 以前我们想象的那些加拿大股市
[17:26] 英国股市
[17:27] 法国股市
[17:28] 已经完全被东亚圈排除在外
[17:31] 古有西方文艺复兴
[17:33] 现有东方科技复兴
[17:35] 全球的股市市值排行
[17:38] 根本就是AI科技的形状
[17:40] 事实上如果你仔细观察
[17:42] 整个亚洲目前的获利表现
[17:44] 几乎已经完全被台湾和韩国给垄断了
[17:47] NACI亚太指数的部分
[17:49] EPS预估成长是60%
[17:50] 如果把台韩给拿掉
[17:52] 就只剩下10%了
[17:54] 就代表着台湾和韩国
[17:56] 把大部分亚洲人赚的钱
[17:58] 全部都给赚走了
[17:59] 所以行情就一路推升到现在
[18:02] 这是基本面的推升
[18:03] 以前流行存股
[18:05] 那常常有人开玩笑
[18:06] 万点存股笑死人
[18:09] 两万点存股笑死人
[18:12] 三万点还存股笑死人
[18:14] 现在到四万点
[18:15] all in all in
[18:16] 好我回过头来看
[18:17] 那到底整个经济的表现数据为何
[18:19] 我们从最新主技处处公布的整体数值
[18:22] 今年应该有机会挑战双位数
[18:25] 大家还记得去年吗
[18:26] 去年是8.6%的年成长
[18:29] 已经很离谱了
[18:30] 台湾去年的经济成长
[18:32] 大概本世纪也没有发生过
[18:33] 除非那种前一年是金融海啸以外
[18:35] 那台湾今年经济成长
[18:37] 现在准备要挑战10%以上的
[18:39] 现在预估
[18:40] 因为4月份出口
[18:41] 冲上600亿的6亿
[18:42] 只要维持在这个金额
[18:44] 基本上按照高盛
[18:46] 和牛津经济研究院的预估
[18:48] 预测值至少是9.9%
[18:50] 渣打是9.5%
[18:51] 反而是主技术比较保守
[18:52] 7.7%
[18:53] 台金院7.5%
[18:54] 中央银行7.2%
[18:56] 中金院7.2%
[18:57] 不过看起来
[18:58] 行情这种经济显著的调升
[19:00] 只要保持在出口的稳定增长
[19:02] 看起来挑战双位数字不是特别难
[19:05] 这应该是本世纪以来
[19:07] 第一次看到这种行情
[19:08] 台湾经济现在不只是起飞
[19:10] 那感觉快要飞去火星了
[19:12] 结论就是安全套戴好
[19:15] 不是安全帽戴好
[19:17] 安全戴系好
[19:19] 手不要乱伸出窗外
[19:21] 中途不要乱下车
[19:22] 要飞天
[19:23] 我们看一下台湾从线性数据来看
[19:26] 整体的经济成长幅度
[19:28] 已经超过了2021年的大幅成长
[19:30] 你要知道2021年当时是受到
[19:32] 2020年的疫情影响
[19:33] 所以把机器给推高
[19:35] 现在比2021年上升的幅度
[19:37] 还要来得更快
[19:37] 那当然了
[19:38] 你说这个AI奇迹跟内需有没有关系
[19:40] 其实也没什么关系
[19:41] 主要就是高度依赖出口
[19:43] 和资本支出的阶段
[19:44] 我们看整个25年
[19:45] 24 23
[19:47] 黄色区块就是净出口
[19:49] 这个净出口是过去4年
[19:52] 推动台湾经济的重要成长力度
[19:54] 那至于内需
[19:55] 基本就是逐步的反应通膨剧度
[19:57] 那一个特别的变化
[19:59] 就是台湾的电子出口
[20:00] 在以前都是高度依赖中国和香港
[20:02] 进行最终终端伺服器的出口
[20:05] 可是在2025到2026年
[20:07] 针对美国的出口
[20:08] 正在大幅的飙升
[20:10] 它形成一种迹象
[20:11] 那就是美国从台湾进口的金额
[20:14] 到目前为止已经正式超越了中国
[20:16] 这很难想象
[20:18] 台湾这么小一座岛
[20:19] 美国人在台湾买的金额
[20:22] 买的那个量
[20:23] 量不一定
[20:24] 金额居然比整个
[20:26] 美国人从中国进口的金额还要来得多
[20:29] 这实在是很难想象
[20:31] 美国其实你还是可以看到很多中国制的产品
[20:34] 但是居然美国人从台湾进口的金额
[20:38] 比从中国进口的金额还要来得高
[20:40] 这说明台湾现在卖的东西真的很贵
[20:43] 附加价值很高
[20:44] 这也出现另外一层经济奇迹
[20:46] 就是目前台湾通膨率
[20:48] 预估今年还不会到达2%
[20:49] 但是经济成长10%
[20:52] 很难想象
[20:52] 一个国家经济成长10%
[20:54] 通膨率2%
[20:55] 这是什么经济体
[20:56] 原因很简单
[20:57] 我们知道台湾政府持续进行通膨抑制
[21:00] 这次卓奎在昨天宣布
[21:02] 6月份的LPG液化天然气
[21:04] 继续进行通膨抑制
[21:06] 瓦斯价格全面动涨
[21:08] 由政府进行全面涨价成本的吸收
[21:11] 这件事情就意味着
[21:12] 10%的经济成长
[21:14] 2%的通膨
[21:15] 现在2%的利率
[21:17] 这就是史上最强的经济奇迹
[21:20] 当然回过头说
[21:21] 对于内生经济的影响有没有拉抬
[21:23] 有
[21:24] 但是主要也是靠AI的投资来带动
[21:27] 出口是一个拉动
[21:28] 对内投资有没有增长
[21:29] 其实有
[21:30] 我们看苏之锋这次就有特别提到
[21:32] AMD会持续扩大对于台湾的投资
[21:34] 打造TMD
[21:36] AI的需求进入一个新的爆发期以后
[21:40] 他特别强调
[21:41] 现在AI和AI Agent快速成长之后
[21:43] 不只是GPU缺货
[21:45] 连CPU 先进封装 基板 记忆体
[21:47] 整个AI伺服器全部都在收紧
[21:49] 所以苏之锋就特别强调
[21:51] 现在的AI竞争
[21:52] 已经从单一晶片之争
[21:54] 变成供应链和生态系竞争
[21:56] 而台湾就是整个供应链的核心
[21:58] 待会我们会聊到
[22:00] 台湾跟韩国生态系的不同
[22:01] 造就了台湾在本 AI 龙井当中
[22:04] 你不要看韩国股市涨很多
[22:06] 它其实更多是由于
[22:08] 大集团的产能稀缺所造成的
[22:10] 台湾才是真正奠定
[22:12] 5到10年基础的赢家
[22:13] 事实上苏之锋特别跟大家宣告
[22:16] AI这次行情爆炸底下
[22:19] 对于台湾的投资
[22:20] 已经超过100亿美元
[22:21] 即将会深化台湾的供应链合作
[22:24] 那AND其实正在复制回答模式
[22:26] 很明显他要主导自己的AI国家队
[22:28] 现在从台积电日月光细品历程
[22:31] 到新兴南电锦硕
[22:33] 到伟创而伟颖
[22:34] 基本上全部都绑进了AND的阵营和名单
[22:37] 双方都在加强合作
[22:39] 所以有时候就看
[22:41] 不同人有不同的说法
[22:42] 每个分析师的看法也不太一样
[22:44] 有时候你就看这些CEO他怎么做
[22:46] 他怎么说
[22:46] 你就跟着他做
[22:47] 他投资谁你就跟着投资
[22:49] 有这种说法
[22:50] 相信魏哲家
[22:51] 年底搬新家
[22:54] 相信黄仁勋
[22:55] 数钱到抽金
[22:58] 相信苏之锋
[22:59] 财富攀高峰
[23:00] 相信马斯克
[23:01] 熊市照样克
[23:03] 相信祖克博
[23:04] 未来放手博
[23:05] 相信潘建成
[23:07] 财富自然成
[23:08] 相信刘央伟
[23:09] 钱涨四条腿
[23:11] 相信陈泰明
[23:12] 钞票数不停
[23:13] 相信林白里
[23:15] 钱进户头里
[23:16] 相信蔡明介
[23:17] 赚钱游世界
[23:18] 网络上看到了
[23:19] 这些事情都意味着
[23:21] 其实你也不用去管
[23:22] 大多数人的分析角度为何
[23:24] 我的话也大家听听就好
[23:25] 他们做什么
[23:26] 你就跟着做就可以了
[23:27] 回过头说
[23:28] 台湾在过去出口60年的轮动
[23:31] 从一开始是从米糖
[23:33] 当时在1966年
[23:35] 蔬菜水产罐头作为主要出口方向
[23:37] 到1976年变成纺织服饰
[23:40] 93年变成电机和电器
[23:42] 14年变成电子零组件
[23:44] 主攻iPhone供应链
[23:45] 到2025年已经完成
[23:47] 自通讯产品的全面升级
[23:49] 这些都意味着
[23:50] 台湾其实也不是突然崛起的
[23:52] 它是一个等待了30年
[23:54] 40年50年的AI时代
[23:56] 我们仔细观察
[23:58] 你像是在2018年到19年
[23:59] 这张图表我们就经常讲了
[24:01] 当时在美中贸易战的时候
[24:02] 刚爆发台商的贵于回流
[24:05] 经济成长就来到2.99%
[24:07] 远远高过日本韩国新加坡和香港
[24:09] 到20年到23年
[24:11] COVID-19时期的
[24:12] 台湾的经济成长是3.48
[24:14] 也比其他国家来得亮丽
[24:16] 到2025年
[24:17] 7.37%
[24:18] 甚至最后调到8%
[24:19] 也比大多数国家来得亮丽
[24:21] 更不用讲2026年
[24:22] 台湾应该仍然是
[24:23] 亚洲经济成长速度最快的
[24:25] 发达经济体
[24:26] 这就意味着
[24:27] 台湾在AI时代的突出
[24:30] 你说是靠台积电很强吗
[24:31] 对
[24:32] 但是台积电把整个导致产业分工
[24:34] 拉进了同一条的AI基础供应链
[24:37] 最关键的是从
[24:38] AI不只是单一的竞赛
[24:40] 它是从晶片设计到先进制程
[24:42] 到先进封装到测试
[24:43] 到伺服器的组装
[24:44] 到散热到电源
[24:45] 到机构建
[24:46] 到机柜的整合
[24:47] 一起去交付
[24:48] 所以台湾就像怎么样
[24:50] 像在打团体战
[24:51] 台积电负责最难的
[24:53] 先进制程和封装
[24:54] 日月光系品
[24:55] 晶圆店做封测
[24:57] 然后新兴南电做高阶载板
[24:59] 鸿海广大伟创
