[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 开始收涨了0.6%
[03:19] 它从4美元
[03:21] 才几个交易日已经涨到14块了
[03:23] 这个本质行情就是快很准
[03:25] 一旦完成
[03:26] 就很明显市场上有进一步的情绪
[03:29] 瞬间获利了结
[03:30] 那当然市场的情绪正在快速转变
[03:33] 一方面空头目前的回补规模
[03:35] 在本月份已经创下近年来最大
[03:38] 我们看CTA转为大局买进
[03:41] 预估一周内可能会被迫买进
[03:43] 450亿美元的美股
[03:45] 短期资金还是有支撑
[03:46] 另外一方面散户的资金
[03:48] 已经不再转向防守
[03:50] 基本上已经开始回补科技股了
[03:52] 所以这个时候能源股的松动
[03:54] 是本周最受市场主流的流出
[03:57] 我们举例来说
[03:58] 最近XLE能源股板块
[04:01] 从高点这样子跌下来
[04:02] 跌了也快一成了
[04:04] 动能指标RSI也从超买的83
[04:06] 现在直接掉到47
[04:08] 代表的是能源股目前正在被大量的售出
[04:11] 这一次的回挡
[04:13] 对能源股来说
[04:14] 基本上也不能说是大跌了
[04:17] 因为你看从今年以来
[04:19] 它已经涨多少了
[04:20] 基本上能源股没有跌多重
[04:22] 可是肺瓣已经先创高了
[04:24] 说明着其实从头到尾
[04:26] 市场的流动性一直都在
[04:28] 大家只是把中东战事视为一种
[04:30] 科技股本一笔回调的理由
[04:32] 所以能源股即便
[04:33] 这一波跌下来跌很重
[04:35] 几个交易日就已经跌了一成了
[04:37] 可是对于很多投资人来说
[04:40] 由于油价没有很明显的全面松动
[04:42] 大家还是有信心
[04:44] 能源股也许从此之后
[04:46] 机器就维持在高位了
[04:48] 这样的一个效果就代表着
[04:50] 市场上正在对赌的
[04:51] 行情之间的转变
[04:53] 内股轮动是第一个操作方向
[04:55] 那第二个操作方向
[04:56] 就是流动性预期全面归来
[04:59] 也就是总体大盘
[05:00] 应该还是会持续的向上攻
[05:02] 但重点在于
[05:03] 内股的轮动会越来越剧烈
[05:05] 我们举一个直观的
[05:06] 昨天费办创下历史新高了
[05:09] 可是软体股卖压非常沉重
[05:11] 核心原因就是市场开始重新定价
[05:14] AI所带来的结构性冲击
[05:16] 这一次Enthorpe不算所推出的软体
[05:19] 让大量的软体股失去护城河
[05:21] 你像微软
[05:22] Salesforce
[05:23] ServiceNow
[05:24] 这一类传统的SaaS公司
[05:26] 本质上是卖工具订阅的
[05:28] 但现在AI Agent
[05:30] 正在变成直接帮你做事
[05:32] 你想想看
[05:33] 我如果想要跟某位女生的私密对话
[05:39] 2025年12月31号
[05:42] 半夜的一点到两点钟
[05:43] 希望能够帮我删除有关爱你
[05:46] 想你的字眼
[05:47] 我个人的话
[05:48] 我还要点开LINE
[05:49] 一个一则一则去看
[05:51] 我只要交代AI agent
[05:53] 就可以帮我做到
[05:54] 那我还需要LINE干嘛
[05:55] 我就不需要这个工作的操作界面了
[05:58] 所以AI agent这种直接帮你做事
[06:01] 跳过工具本身对于各个软体股的冲击
[06:04] 现在看起来是非常巨大的
[06:05] 我们看整个SaaS族群
[06:08] 今年跌幅快要破底了
[06:10] 这很紧张
[06:11] 因为没有股市都已经谈成这样了
[06:13] 废办都已经创下历史新高了
[06:14] 结果软体型ETF
[06:16] 基本上IGV目前准备要破底
[06:20] 破下今年2月初的低点了
[06:22] 基本上这样的一个条件
[06:24] 似乎也意味着
[06:26] 连去年4月份的关税占低点都要跌破了
[06:29] 这当然就不是短期利空的问题
[06:31] 它是整个操作的逻辑改变
[06:33] 像最近Anthropic Meta
[06:35] 一直推新的AI模型
[06:37] 当然甚至因为可能挖出资安漏洞
[06:40] 而不敢全面开放
[06:41] 但是反过来也说明
[06:42] 现在的软体架构已经被AI给看穿了
[06:46] 基本面还没有崩
[06:47] 这些一季度
[06:49] 还有去年四季度财报表现都不差
[06:51] 可是预估到整个27年28年
[06:53] 就会被大量的AI agent给取代
[06:56] 估值本益比从原本的34倍下修到20倍
[06:59] 这个就明显从成长股趋势
[07:01] 变成竞争不确定性的定价
[07:04] 举几个例子来说
[07:05] 我们如果把它来进行绩效统整
[07:08] 今年以来你看肺棒平均涨多少
[07:11] 涨了20%
[07:12] 0050今年上涨了18%
[07:15] IWM小型股涨了5.3
[07:17] SPY不涨不跌
[07:19] QQQ不涨不跌
[07:20] 结果IGV软体股ETF
[07:23] 平均跌幅2成5
[07:24] 这也跌太重了
[07:26] 这说明着市场正在重新定价
[07:28] 当然从整个大盘角度来看
[07:30] 目前虽然开始反弹
[07:32] 但是本益比还没有失控
[07:34] 我们以标普第一季的获利
[07:36] 作为前瞻本益比
[07:37] 成长12.5%
[07:39] 拿来跟当前的估值来做对比
[07:41] 现在股价肯定还是比去年4月份高很多
[07:44] 可是当前的估值回落幅度
[07:46] 大概从当时的23倍
[07:48] 去年10月份的AI永动机高点
[07:50] 一路下滑到现在18 19倍左右
[07:53] 所以从现在逻辑来看
[07:55] 等同于标普白指数做了非常明显的本益比回调改善而现在的机器跟去年4月到5月份水准其实还是差不多对是废办废办不要纠结
[08:09] 最近讲话比较大舌头一点
[08:11] 因为吃比较好
[08:12] 当然刚才聊到
[08:15] SARS泡沫压力来临之后
[08:18] 3300亿美元的债务
[08:21] 正在逼近引爆点
[08:22] 因为我们要知道
[08:23] 私募基金在过去一段时间
[08:25] 最喜欢买的股票是什么
[08:27] 其实并不是台积电
[08:29] 并不是辉达
[08:30] 或者说呢
[08:31] 对于硬体股的兴趣
[08:32] 其实远远不如过去几年
[08:34] 对于软体股的兴趣
[08:35] 大家想看
[08:36] 这很多史丹佛毕业的学生
[08:38] 真的有人会想要到
[08:40] Arizona工作吗
[08:41] 其实大家梦想都差不多
[08:43] 就是学祖克博
[08:44] 还毕业就到矽谷
[08:46] 做软体
[08:47] 所以私募市场过去15年
[08:49] 是大举的去压住软体产业
[08:51] 如今呢
[08:52] 开始面临真正的清算时刻了
[08:54] 到2028年之前
[08:56] 现在有超过3300亿美元的软体
[08:59] 和科技相关的债务即将到期
[09:01] 那这些公司
[09:03] 都是当时在低利率环境下
[09:05] 用高杠杆扩张的
[09:06] 现在却要用高利率
[09:08] 和AI冲击下重新融资
[09:10] 那问题在于
[09:11] 这些AI正在重新的改变
[09:13] 软体股的价值基础
[09:14] 就代表着很多软体可能被取代
[09:16] 或者价格至少要松动
[09:18] 原本预估在高成长的估值
[09:21] 开始动摇
[09:21] 所以我们看一个非常明显的转变
[09:23] 张图表我们看到的是
[09:25] 私募股权市场
[09:26] 被软体业的冲击有多大
[09:28] 2000年初期
[09:29] 大概是占比20%左右的持股
[09:32] 到现在是50%
[09:33] 代表资金已经从
[09:35] 以前都是核心产业
[09:37] 有工业有媒体
[09:39] 然后现在几乎全部都是软体产业
[09:41] 甚至连硬体股的部分
[09:44] 都不如软体股还来得高
[09:46] 这个时候压力就很大了
[09:47] 一旦软体股
[09:48] 可能造成系统性的覆灭
[09:50] 这些私募基金的压力就非常大了
[09:53] 我们举例来说
[09:54] 现在科技基金的超额报酬正在消失
[09:57] 在2000年代初期
[09:59] 你看科技基金的IRR
[10:01] 报酬率明显比其他私募基金还要来得高
[10:04] 可是这个溢价在10年以后就开始收敛
[10:07] 到15年17年这批基金
[10:10] 基本上两者几乎已经贴在一起了
[10:12] 到现在市场从投科技股就能赢
[10:16] 已经变成了科技变成一种选项
[10:18] 你投了科技股你还要挑
[10:20] 你投的到底是硬体股
[10:22] 你挑的是IC代工
[10:24] 还是IC设计
[10:26] 还是终端下游的伺服器厂
[10:29] 还是投纯软铁股
[10:30] 所以在这样的一个效果底下
[10:32] 过去由软铁股所撑起的
[10:34] 贫银资金所堆砌起来的繁荣
[10:37] 开始由于08年以来
[10:39] 低利率和零利率的环境底下
[10:40] 交易数量的一路攀升
[10:42] 到现在
[10:42] 25年26年突然高速收缩
[10:45] 并不是说市场不买单科技故事了
[10:47] 而是大家意识到
[10:49] 好像不是所有跟AI科技有关的软体股
[10:53] 都能够熬到最后
[10:54] 这个时候就产生新一轮的松动
[10:56] 所以我们常讲说
[10:57] 市场上最容易犯的错是什么
[10:59] 就是把过去的逻辑当成现在的门票
[11:04] 以前大家都觉得软体业SaaS
[11:07] 是最漂亮的生意模式
[11:08] 因为为什么
[11:08] 软体业就是无限复制
[11:11] 就好像如果我平时是教课
[11:13] 我教课我就有教学成本
[11:15] 有租房子的成本
[11:17] 租教室的成本
[11:18] 有座位的成本
[11:19] 可是如果我是网络授课
[11:20] 那就跟软体也一样
[11:22] 我可以无限的复制
[11:23] 编辑成本趋近于零
[11:25] 成长几乎等同于获利
[11:27] 等同于高估值
[11:29] 就变成了理所当然
[11:30] 这是过去我们对于软铁股的想象
[11:32] 但是当人工智慧
[11:33] 开始去取代功能
[11:35] 甚至重写整个应用层
[11:37] 那这种订阅
[11:38] 变成护城河的逻辑
[11:39] 瞬间就松动了
[11:41] 反而变成最容易被颠覆的疫情
[11:43] 所以我们看到
[11:44] 在SaaS本身
[11:46] 市场还停留在旧时代的定价方式
[11:49] 但是游戏规则一改变之后
[11:50] 大家措手不及
[11:52] 你像有时候我们进澳洲
[11:55] 现在不是都有ETL吗
[11:56] 电子观光签证
[11:57] 但是进澳洲还要写
[11:58] 黄色的实体的入境卡吗
[12:01] 之前就看到
[12:02] 想说一个英国人
[12:04] 入境澳洲
[12:05] 要拿签证的时候
[12:07] 海关就问他
[12:08] 你有犯罪记录吗
[12:09] 那英国人很诧异
[12:11] 现在还要犯罪才能够进澳洲吗
[12:16] 市场很常会把过去的逻辑
[12:18] 当成现在的门票
[12:20] 很多人觉得以前有效的策略
[12:21] 从低利率逻辑
[12:23] 成长股逻辑
[12:24] SaaS的高估值
[12:26] 或者流动性行情
[12:27] 觉得未来一定也成立
[12:29] 一个AI一出现
[12:31] 也才几年时间
[12:32] 市场这些软体股全部重新定价
[12:34] 必办在创下历史新高
[12:36] IGV软体股ETF平均跌幅25%
[12:40] 这真的很难讲
[12:41] 因为很多软体股在过去几年
[12:42] 真的被视为
[12:43] 长期那种边际成本为零的企业
[12:46] 他就一直躺着收钱就好了
[12:48] 你怎么会想到有一天
[12:49] Adobe会受到AI这么大的冲击呢
[12:51] 好我们回过头看一下
[12:52] 没有股市表现
[12:53] 道成功供应指数上涨275点
[12:55] 0.58%
[12:56] 所在48185点
[12:58] 标普上涨41点
[13:00] 0.62%
[13:00] 所在6824点
[13:02] 纳指上涨187点
[13:03] 0.83%
[13:05] 所在22822点
[13:07] 费办上涨178点
[13:09] 上涨2%
[13:10] 所在8689点
[13:12] 那费办是
[13:13] 真的是有点发疯了
[13:14] 怎么这两天跳高幅度这么快
[13:17] 资金几乎全数都涌入到硬体股当中了
[13:20] 现在没有股市是很标准的
[13:23] 吃硬不吃软
[13:24] 那其实也是不错的
[13:26] 大家也知道
[13:27] 所有软体股
[13:28] 过去我们的概念都是
[13:30] 软硬体股
[13:31] 它有一定程度的
[13:33] 不能讲完全替代效果
[13:34] 但是基本上是有高度联动的
[13:36] 以前都是软硬一起涨
[13:38] 就你很难想象
[13:40] 台积电涨了
[13:41] 辉达涨了
[13:42] 就他的客户
[13:43] 七巨头都是往下杀的
[13:45] 所以我觉得这一件事情
[13:46] 不见得是一件坏事
[13:48] 因为这反而出现了机会
[13:50] 你说你买不到辉达
[13:51] 你买不到台积电
[13:52] 七巨头还有一堆随便你捡
[13:54] 股价还是跌很重的
[13:56] 所以当然小型软体股
[13:59] 它会受到AI的轮替
[14:00] 可是正在大举的
[14:02] 新建资料中心的这些AI巨头
[14:04] 它终究会有赢家的
[14:06] 所以每个人的投资逻辑不太一样
[14:08] 现在是硬体股在右侧
[14:10] 但是软体股似乎还在左侧盘整
[14:13] 所以相对于钢中带柔
[14:15] 硬体股为主
[14:17] 软体股为辅
[14:18] 我更喜欢柔中带钢
[14:21] 就是硬体股为辅
[14:23] 软体股现在反而值得我们多多一些留意了
[14:25] 右侧的我没兴趣
[14:27] 反正也买够了
[14:28] 硬体是钢的
[14:29] 但是这个时候就不是坚持你的硬度
[14:33] 软体的柔软的内心也是非常重要的
[14:37] 因为为什么有些女孩子
[14:38] 一开始对于白男会有一些好感
[14:41] 但是后来好像对亚洲男生
[14:43] 又好感一些
[14:44] 一个是楼中带钢
[14:45] 一个是钢中带楼
[14:47] 中看不中用
[14:48] 我是说内心
[14:50] 所以大家可以这个时候
[14:51] 稍微了解一下
[14:52] 你如果是右侧投资者
[14:54] 那你知道资金板块在哪里了
[14:56] 可是从左侧投资的角度来看的话
[14:58] 好险
[14:59] 这一次不是全数流动性的上涨
[15:01] 大家更为谨慎的评估
[15:03] 说明着有些股票积极
[15:05] 还是没有特别高
[15:06] 但有些股票已经往上喷了
[15:07] 好那回过头来看
[15:08] 可是现在市场上的聚焦
[15:11] 流动性的泛淡
[15:12] 才是让大盘是否能够上攻
[15:14] 费办已经先创高了
[15:15] 他能不能拉动标普败指数呢
[15:18] 我们看到这一次的Taco停火
[15:20] 就是流动性预期的关键
[15:22] 我们知道
[15:22] 油价其实回跌幅度并没有特别高
[15:25] 但是股市已经出现反弹了
[15:27] 那这种我们看到市场上
[15:29] 对于未来前景极度乐观的预期
[15:32] 基本上就造成这种
[15:34] 比较诡谲的股市局面
[15:36] 我们举例来说
[15:36] 像阿联在昨天
[15:38] 已经确认最近的空域
[15:40] 已经减少来自于伊朗的飞弹
[15:42] 或者无人机的袭击
[15:43] 可是在其他地区
[15:45] 我们昨天有提到
[15:46] 像以色列对于黎巴嫩
[15:47] 所发动的大规模空袭等等
[15:49] 都使得市场上进一步的聚焦
[15:51] 那现在好处是什么
[15:52] 好处是以色列在昨天
[15:54] 已经正式表示
[15:55] 在这次空袭之后
[15:56] 会尽快的与黎巴嫩展开直接谈判
[15:59] 主要是美方的催促因为川普不希望因为以色列和黎巴嫩之间的冲突影响到美伊目前所产生的谈判这一次谈判的核心目标很明确对于以色列来说
[16:10] 一方面是要解除真主党的武装力量
[16:13] 第二大方面是建立以色列和黎巴嫩之间
[16:16] 更长期的和平关系
[16:18] 纳塔亚胡最后的目标是
[16:20] 希望可以让贝鲁特非军事化
[16:22] 不过我相信这个也是挑战重重
[16:25] 以色列虽然跟黎巴嫩举行了和平谈判
[16:28] 但更多的感覺是由於川普的壓迫所導致的
[16:32] 你要知道對於珍珠黨來說
[16:34] 上一次和談的屍體都還沒有下葬
[16:38] 誰敢跟你和談
[16:39] 不管怎麼說
[16:40] 川普是持續要求納坦雅胡減少對於黎巴嫩的打擊
[16:44] 至少在這兩週
[16:46] 納坦雅胡可能心裡想
[16:47] 我才是老大
[16:48] 我們要知道美方的壓力不斷的湧現
[16:50] 有它的根本原因
[16:51] 一方面當然是通膨的傳導問題
[16:53] 第二大方面是根據戰爭權力決議案
[16:56] 川普在未经国会授权底下
[16:59] 发动的军事行动或者战争
[17:00] 最多可以撑60天
[17:02] 那我们从228开始算起
[17:05] 4月29号就是硬性的截止日
[17:07] 如果到时候没有正式授权
[17:09] 或者停战协议
[17:10] 那理论上就必须要撤军
[17:12] 或者缩减行动
[17:14] 那是等同于把战争变成一场现实操作了
[17:17] 你要么就在极限内打出结果
[17:19] 要么在政治上就要被迫收手
[17:21] 所以白宫现在的策略就不能是拖了
[17:25] 他必须要压缩节奏
[17:26] 尽可能在法律框架当中
[17:28] 完成战略目标
[17:29] 当然这也就说明了
[17:31] 现在只剩下19天左右的时间
[17:33] 川普肯定对于当前的战士
[17:36] 他是抱持的一点
[17:37] 比较保守消极态度
[17:39] 不想打了
[17:40] 伊朗其实你也看得出来
[17:41] 被打成这样也不想打了
[17:43] 要取得一个民愤好的协议
[17:45] 中国你不要看中国好像影响不大
[17:47] 中国本身内部进口油的压力
[17:50] 其实也在逐步涌现
[17:51] 亚洲各国也是
[17:52] 除了以色列
[17:53] 基本上大家都不想打了
[17:55] 唯一想打的只剩下雪山那只狐狸
[17:58] 纳台亚狐
[17:58] 所以这样的一个效果底下
[18:00] 我们就要观察这两周
[18:02] 航运量是否能够有效提升
[18:04] 伊朗的说法是
[18:05] 每天大概已经上升到15艘左右
[18:07] 但是还是远远低于战争期间的140艘
[18:11] 很多船公司还在卡在那种
[18:14] 不走违约走了违规的两难
[18:16] 一旦付费就可能会违反美国的制裁
[18:19] 但是不付费就无法离开波斯湾
[18:21] 我们没法确定
[18:22] 我付费会不会招来美方可能进一步的关注
[18:27] 可是不付费现在离不开
[18:28] 保险市场也非常的混乱
[18:30] 目前的战争保费
[18:31] 从7.5%重新回到3.75%
[18:35] 可是以前保费是多少
[18:36] 以前保费是0.1%
[18:38] 所以现在还是暴增了30倍
[18:40] 承保方甚至要求你要提供伊朗的批准证明
[18:44] 你要先把伊朗的证明拿过来给我看
[18:48] 说伊朗不会攻击你
[18:49] 那我才愿意放贷给你
[18:50] 所以没有人确定什么时候才能够取得
[18:53] 那像有900艘的商船还在波斯湾里头
[18:56] 至少有300艘是急着要撤离
[18:58] 每天10到15艘要运很久
[19:00] 但是在种种效果底下
[19:02] 最后所形成的状态就是
[19:04] 全球能源结构看起来已经形成了巨大转捩
[19:07] 那就是美国的原油出口上下历史新高了
[19:10] 为什么呢
[19:12] 因为日本韩国台湾都在疯狂的跟美国来抢购原油
[19:16] 这可能是川普唯一拿得出一个
[19:18] 对于美国经济有显著利益的带动
[19:20] 虽然内部的冲击通膨很大
[19:22] 可是美国的出口真的冲下历史新高了
[19:25] 我们看这次四月份数据出来
[19:27] 每天520万桶
[19:29] 这比三月份的军事暴增了三成
[19:32] 亚洲需求暴增82%
[19:34] 而且很多签长约已经签到今年年底了
[19:38] 达到每月250万桶
[19:40] 现在有68艘的空油轮
[19:42] 正在疯狂的往美国来装油
[19:44] 远远高于战前的水准
[19:46] 变成油轮舰队了
[19:47] 所以亚洲疯狂抢美国本土油价
[19:51] 也导致西德州原油价格一度突破110美元
[19:54] 那美国的汽油价格
[19:55] 现在每加仑大概4美元以上
[19:57] 加州地区来到5到6美元
[19:59] 这也是很明显对于内部的通膨带动
[20:01] 所以如果川普要把它包装成胜利的话
[20:04] 那就是本场战争
[20:05] 我们终于成功的打开美国的原油出口
[20:08] 像亚洲国家都买我们美国的
[20:10] 都不买中东了
[20:12] 但坏处就是
[20:13] 那美国的油价通膨压力越来越高了
[20:15] 我们看一下最近所公布的PCE数据水准
[20:18] 这一次我们看到
[20:20] 美国联总会最在乎的通膨指标
[20:22] 核心PCE物价指数
[20:23] 2月份月增幅0.4
[20:25] 年增幅3%
[20:26] 那看起来3月份是一定上弯的
[20:28] 拆开来看
[20:29] 非耐久财的价格反而上升
[20:32] 而超核心部门虽然回落
[20:34] 但是压力也没有全面消失
[20:36] 真正重要的事情是
[20:37] 能源价格还没有反应进来
[20:39] 但是4月份3月份一定会反应进来的
[20:42] 事实上如果我们仔细观察
[20:43] 当前油价就是黑色线
[20:46] 出现急速飙升那一段
[20:47] 但是能源的PCE只是温和上行
[20:50] 这是说明着
[20:51] 它传导看起来蛮慢的
[20:53] 第二就是我们看需求端偏落
[20:56] 但是企业还不敢完全转价
[20:57] 这是另外一层原因
[20:58] 就是你不能因为中东局势
[21:01] 你瞬间就把便当价格
[21:03] 又调涨了两层三层
[21:04] 一定要大家有广泛性的压力
[21:06] 经由菜单成本的调控
[21:08] 最后才会统一的上涨
[21:10] 所以现在市场上很明显
[21:12] 那个供给商或者企业老板
[21:14] 已经有点压力了
[21:15] 他在想要不撑到五月
[21:18] 中东战事还没打完
[21:19] 我就往上涨了吧
[21:20] 大家都在等
[21:21] 因为这个时候啊
[21:22] 大家很清楚啊
[21:23] 乱涨价对于需求的冲击
[21:25] 其实很大的
[21:26] 这也说明了
[21:27] 美国的需求
[21:28] 现在无法完全承接当前通膨情况
[21:31] 举例来说
[21:32] 上方我们看到的是
[21:34] 个人所得的MOM
[21:35] 也就是月增幅啊
[21:36] 已经掉到负零点一了
[21:38] 这说明
[21:38] 在三月份数据
[21:40] 看起来大家的薪资已经开始减少了
[21:43] 但是下面的消费者支出PCE
[21:45] 还维持在月增幅0.5
[21:47] 这说明美国人现在正在用
[21:50] 非所得的方式来撑消费
[21:52] 那通常意味着三种可能
[21:53] 第一动用过去累积的储蓄
[21:55] 第二依赖信用卡或者贷款
[21:57] 第三就是资产效果
[21:59] 比如说你的股市房市
[22:00] 你可以做质押
[22:01] 或者卖出股市房市来支撑消费
[22:03] 那这种结构上本质就不可持续
[22:05] 因为所得才是长期消费的根本
[22:08] 当收入开始进入到负成长
[22:10] 消费还在往上走
[22:12] 那说明着
[22:13] 总有一天你的钱会不够
[22:15] 所以在这样效果底下
[22:16] 我们看到的红色线消费水准
[22:18] 年增幅5.3
[22:19] 收入年增幅剩下3.7
[22:21] 两条线的剪刀差
[22:24] 一直在扩大当中
[22:25] 如果一直扩大
[22:26] 那你要知道
[22:27] 这种通膨就是有压力的
[22:29] 通膨不一定是坏事
[22:30] 如果经济好
[22:31] 持续通膨没有太大问题
[22:33] 可是现在的问题是
[22:34] 美国的所得通膨
[22:37] 已经低于目前美国的实质
[22:39] 通膨水准
[22:40] 代表的是薪资怎么涨
[22:42] 看起来都涨不过
[22:43] 当前的通膨水准
[22:45] 压力就只会越来越大
[22:46] 这在这样效果底下
[22:47] 等同于
[22:48] 劳动力市场的变化
[22:50] 是形成联准会接下来
[22:52] 有没有降息空间的态势
[22:53] 假设一切符合预期
[22:55] 两周内停火
[22:56] 最终地缘政治冲突
[22:59] 结束油价回落
[23:00] 我们也要面临另外一层问题
[23:02] 就是美国的劳动力市场
[23:03] 连续三年的扩张以后
[23:05] 它终于迎来相对疲惫的一天
[23:08] 可是这疲惫的一天
[23:09] 又处于一个极度尴尬的水准
[23:11] 就是如果消费已经这么差了
[23:13] 我们怎么看到上个月的
[23:14] 失业率还往下掉了呢
[23:16] 原因很简单
[23:17] 因为美国人劳动力人口变少了
[23:19] 我们觉得说
[23:20] 这次所公布的劳动参与率
[23:22] 已经降到61.9%
[23:24] 创下疫情以来50年的
[23:27] 应该讲说把疫情剔除之后
[23:29] 应该是50年最低了
[23:30] 就是说美国人口
[23:32] 还是每年越来越多的
[23:33] 可是愿意工作
[23:35] 或者找工作的人
[23:36] 却越来越少了
[23:37] 那背后有两个核心
[23:38] 第一个就是人口老化
[23:39] 现在美国的婴儿潮世代
[23:41] 已经正式进入到退休阶段
[23:43] 第二个就是川普政府收紧移民政策
[23:45] 减少了大量原本会进入
[23:47] 劳动市场的年轻人口
[23:49] 甚至有很多年轻人口
[23:50] 现在无法成功的进入到就业市场
[23:53] 随时怕被ICE给抓走
[23:55] 在种种效果底下
[23:56] 最终就形成了美国的服务业
[23:58] 3月份出现高度收缩
[24:00] 从原本2月的51.7下滑到49.8这些数据其实都是有助于联准会打开降息之路的只不过现在由于外部性的通膨压力暂时让大家通膨预期稍微偏高
[24:13] 对于降息路径
[24:14] 有一定程度的变化
[24:16] 在种种效果底下
[24:17] 最后所形成的结果就是
[24:19] 美国的就业市场
[24:20] 它现在的不差
[24:22] 不是因为美国就业好得不得了
[24:24] 企业一直在招聘
[24:25] 是因为人不见了
[24:27] 所以就业没这么差
[24:28] 可是美国人本身过得好吗
[24:30] 现在看起来
[24:31] 所得增长已经低于通膨水准了
[24:34] 这说明着大家其实压力是越来越大的
[24:36] 整个AI的取代也在冲击着白领阶级
[24:39] AI对于蓝领冲击其实反而没有那么大
[24:42] 但是白领过去我们看到数十年的自动化浪潮
[24:45] 仍然对于不管是工程师
[24:47] 还是行政文职有进一步的冲击
[24:49] 甚至我们看到出现比较极端情况是
[24:52] 传统白领正在失业
[24:54] 但是高阶白领
[24:56] 比如说高薪职业市场
[24:58] AI研究者等等
[24:59] 正在被市场上以极高的薪水来招募
[25:02] 举例来说
[25:03] 过去20年美国顶尖的AI研究者
[25:05] 产业薪资
[25:06] 大概已经接近200万美元
[25:08] 但是学界薪资几乎没有什么成长
[25:10] 为什么
[25:11] 因为这一波的AI爆发起
[25:13] AI大量的把学界给掏空了
[25:15] 最后就形成
[25:16] AI公司不只在抢工程师
[25:18] 也在吸纳经济学家
[25:20] 政策专家
[25:21] 各类的知识工作者
[25:22] 为什么
[25:22] 因为他们手上有最关键的算力资源
[25:25] 可以来训练我们的模型
[25:26] 这就处于一个极度尴尬的局面
[25:29] 就变成就业市场总体不坏
[25:31] 但是个体出现了极大的转捩
[25:33] 举例来说
[25:33] 我们过去所提过
[25:35] 微软所提出的报告
[25:36] 里头就有看到
[25:37] 整个深层市AI
[25:38] 对于就业市场的冲击
[25:39] 在未来一段时间
[25:41] 预估冲击相对波动幅度比较大的
[25:43] 像是口译员
[25:44] 历史学家
[25:46] 城市设计师
[25:47] 电台DJ
[25:48] 礼宾人员
[25:49] 记者都会受到比较大的冲击
[25:51] 我们已经开玩笑
[25:52] 这个时候就要掌握一些
[25:53] AI的核心竞争力
[25:55] 有些工作AI永远取代不了
