[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 那我們今天呢就從川普在最近
[02:16] 那事實上川普
[02:17] 他到底根本原因是不是為了取得主權
[02:20] 應該不是啊
[02:21] 本身就是希望能夠擴張更多的軍事力量
[02:24] 或者歐洲承擔更多的外交支出
[02:27] 當然他在CNBC後續的受訪當中
[02:29] 也提到說
[02:30] 這不止牽涉到格陵蘭當地的礦產開發權
[02:33] 也包含相關飛彈系統的合作佈局
[02:36] 那另外一個焦點
[02:37] 他在下半部也寫到
[02:39] 他說新任的聯總會主席
[02:40] 餘代保留三個名單
[02:43] 三個人當中已經說到只剩下兩個人
[02:45] 心中其實只剩下一位
[02:47] 那我們從Polymark來看
[02:49] 看起來只剩下Wash了
[02:50] 因為之前他還希望哈塞特
[02:52] 能夠持續留在白宮
[02:54] 與此同時呢
[02:55] 標普白指數和納斯達哥指數
[02:57] 在盤中衝向高點
[02:59] 美債和美元也同步的轉強
[03:01] 在這樣效果底下
[03:02] 川普真的很會玩說哈
[03:04] 這個到現在
[03:06] 還會因為川普而被嚇到賣股票
[03:08] 都要自我檢討啊
[03:10] 已經tackle這麼多次了
[03:11] 原本以為要加柴火
[03:14] 結果反而停火
[03:15] 原本要停火
[03:16] 結果加柴火
[03:17] 往往都是如此
[03:19] 那回過頭來看
[03:20] 這一次的達沃斯論壇
[03:21] 反而是我們看到
[03:23] 規則式的國際秩序正在崩解
[03:25] 美國當然可以把盟友當成對手
[03:28] 用關稅來威脅重新劃線界限
[03:30] 不過當他達到適度要求之後
[03:33] 雙方還是可以重新合作
[03:35] 原本市場本來很擔心
[03:38] 歐洲是否會採取一定程度的
[03:40] 不管是美元或者美債的適度拋售
[03:42] 或者採取報復性關稅政策
[03:45] 雙方也有可能是因為
[03:46] 過去美歐之間的貿易聯絡程度過高
[03:50] 所以美方其實也承擔不起這樣的一個代價
[03:53] 我們過去跟投資朋友聊過
[03:54] 美國如果跟歐洲持續關係惡化
[03:57] 短期來看
[03:58] 美國是不會立即陷入衰退的
[04:00] 但經濟一定會被拖滿
[04:01] 我們看歐洲現在是美國最大的貿易伙伴
[04:04] 最大的外資來源
[04:05] 也是金融體系最為緊密的盟友
[04:08] 一旦歐盟針對美國寄出
[04:09] 上千億美元的報復性關稅
[04:11] 首當其衝的
[04:12] 那就是原本就很疲憊的美國製造業
[04:15] 它現在的進口製造領主権已經變貴了
[04:17] 如果出口還受阻的話
[04:19] 那川普其中選舉再過十個月就要到來
[04:22] 壓力其實也很大
[04:24] 更何況真正長期的風險是貿易戰
[04:27] 遲早有一天也會逼得歐洲被迫要去美國化
[04:29] 把供應鏈轉往其他市場
[04:31] 我們舉例來說
[04:32] 張儲表就是美歐之間的相互依賴關係
[04:36] 事實上歐洲目前擁有美國大概8兆美元的美國股票和債券
[04:40] 那雙方的直接投資
[04:42] 美國對歐洲的直接投資
[04:44] 6.83兆當中有3.97兆
[04:48] 超過一半
[04:49] 所以美歐之間的經濟交流是非常高的
[04:51] 那麼一樣
[04:52] 其他國家投入到美國5.7兆的資金當中
[04:57] 有3.64兆都來自於歐洲市場
[04:59] 所以雙方的我們講的New Rich
[05:02] 就美國的新錢跟歐洲的老錢
[05:04] 其實是相互投資
[05:06] 經不起一場美歐關稅戰所造成的影響
[05:09] 所以當然有國際金融政治的考量
[05:12] 另外一方面當然有其中選舉的考量
[05:14] 事實上歐洲雖然整體美債的持有量
[05:17] 然後它不如整個亞洲市場
[05:19] 像日本或者中國
[05:21] 新加坡臺灣
[05:22] 這個持有的美債量非常龐大
[05:24] 可是歐洲幾個小國這樣子加起來
[05:27] 其實美國海外公債仍然有三分之一
[05:30] 是被英國比利時
[05:32] 盧森堡愛爾蘭
[05:33] 這一些歐洲國家所持有
[05:34] 所以歐盟手上的美國資產
[05:36] 不只是我們看到的公債
[05:38] 股票也是如此
[05:39] 如果國家採取一定程度的介入行為
[05:42] 那基本上也有可能會影響到
[05:44] 美歐之間的金融關係
[05:46] 所以在種種效果底下
[05:47] 我們看到這一次的淡化
[05:48] 格林蘭問題
[05:49] 我們大概一直討論一個月左右
[05:51] 就已經正式逐步落幕了
[05:53] 那股市的反彈
[05:54] 接下來才是真正的考驗
[05:56] 那就是科技股的財報
[05:58] 會把美國股市帶向歷史新高
[06:00] 還是利多進出呢
[06:02] 事實上我們看
[06:03] 川普最近花比較多時間
[06:05] 在聚焦國內問題
[06:06] 不斷的推出
[06:07] 海外議題
[06:08] 其實就一個一個
[06:09] 一個月丟一個而已
[06:11] 不像國內問題
[06:12] 推得那麼頻繁
[06:13] 原因就在於民調的拉緊報
[06:14] 我們根據華爾街日報
[06:16] 以及經濟學人最新所公佈的民調
[06:19] 其後續都會發現
[06:20] 整體經濟疲軟的現象
[06:22] 已經導致川普的民調
[06:24] 相對於去年年初
[06:25] 大概下滑了接近有19%左右
[06:28] 那大部分的下滑原因
[06:29] 都來自於經濟問題
[06:31] 購買力並沒有持續放大
[06:33] 顏色越深的就是disapprove
[06:35] 不同意或者不支援率越高的
[06:38] 在東西岸都是如此
[06:40] 那當然中西部左右
[06:42] 看起來還是有一定程度的支撐
[06:44] 不過支援率也不像是過去去年年初這麼高了
[06:48] 原因就在於選民的支援
[06:50] 主要還是看經濟問題
[06:52] 選民現在在投票的過程當中
[06:55] 有40%是依據經濟問題來做考量
[06:59] 所以即便在移民問題
[07:00] 在對內政策
[07:02] 在疫苗問題
[07:03] 可能選民很喜歡
[07:05] 他一樣不會造成川普更顯著的民調支援
[07:08] 所以在種種效果底下
[07:09] 也許跟歐洲達成一定程度的協議
[07:13] 現在是川普稍微明智的做法
[07:15] 你只要取得你原本的要求
[07:17] 就是擴大軍事基地
[07:19] 以及歐洲承擔部分義務就好
[07:21] 那當然了
[07:22] 歐洲這一次的領頭羊
[07:23] 應該算是馬克宏
[07:24] 馬克宏呢
[07:25] 其實一開始就表達相對比較強硬的態度
[07:29] 那這一次他在達沃斯論壇當中
[07:31] 除了強硬回擊美國總統川普關稅
[07:33] 和收購領土計劃以外
[07:35] 他這次還全程佩戴了藍色飛行員的眼鏡
[07:38] 聽說
[07:39] 不是聽說了
[07:40] 搞不好了
[07:41] 傳言
[07:42] 可能又有一點家庭糾紛
[07:44] 但你可以看得出來
[07:45] 歐洲這一次其實已經稍微學會了
[07:49] 要守住自己的底線
[07:50] 其他都可以談
[07:51] 我也不做相對應的動作這一次過去一年的美歐關稅戰美中關稅戰之後大家都有了自己的投資心性大家都有自己的投資底線開始懂得怎麼跟川普
[08:03] Bargain談判條件
[08:04] 一個月以內問題就解決了
[08:06] 每一次我遇到挫折的時候
[08:08] 我都會以馬克宏為榜樣
[08:10] 這我聽說
[08:12] 很多人會覺得自己人生很複雜
[08:15] 你想想馬克宏
[08:16] 他太太72歲
[08:18] 他現在48歲
[08:20] 然後他的大兒子51歲
[08:22] 二兒子49歲
[08:24] 所以他是他們家裡當中最小的
[08:27] 所以我覺得
[08:28] 有時候我們覺得自己人生太複雜
[08:30] 你也不要覺得多難看
[08:33] 這個人家人生也很複雜
[08:35] 照樣對不對
[08:36] 雖然民調也不高
[08:37] 但是照樣能夠支撐到現在
[08:38] 那我們這樣講
[08:39] 說美歐的關係
[08:41] 本身就是那種
[08:42] 我們講說安全要靠別人撐
[08:45] 但成本過去不願意付出過多
[08:47] 所以被迫現在要進行結構性調整
[08:50] 歐洲常年就依賴美國的軍事保護
[08:52] 和戰略遮蔽
[08:53] 國防支出不足
[08:54] 決策節奏很緩慢
[08:55] 但在價值在規範
[08:57] 在戰術細節上頻頻發生
[09:00] 對於美國很多行動
[09:02] 提出了道德的批判
[09:03] 所以才會引得川普不爽
[09:05] 結果就是責任的不對等
[09:06] 權力的
[09:08] 現象相等
[09:09] 就責任不同
[09:10] 那是想要獲得相同的權利
[09:12] 你該付款的時候
[09:14] 你就低頭閃避
[09:16] 輪到要拍板的時候
[09:17] 你又要求有發言權
[09:18] 所以這種失衡
[09:19] 才是川普跟歐洲當中形成的衝突
[09:22] 那都必然會被放大
[09:23] 被挑破
[09:24] 最後變成盟友間的默契關係
[09:27] 我們過去講過
[09:28] 離婚跟離職
[09:30] 只有兩個原因
[09:31] 要麼就錢不到位
[09:33] 要麼幹得不爽
[09:35] 這句話套在川普對格林蘭
[09:37] 以及歐洲的態度
[09:39] 就非常精準
[09:40] 你對川普來講
[09:41] 歐洲常年在安全能源和戰略上
[09:43] 你都在搭我美國的便車
[09:45] 你錢也沒出到位
[09:47] 在政治上和價值上
[09:48] 你又每天對我指手畫腳
[09:50] 讓他幹得不爽
[09:52] 所以格林蘭只是一個引爆點
[09:54] 雙方後續還有很多衝突
[09:55] 可是歐洲大概也瞭解說
[09:57] 跟川普Barking談判的條件當中
[10:00] 到底具體方式為何
[10:02] 好那回過頭來說
[10:03] 我們要如何看待
[10:04] 接下來第二個部分
[10:06] 也就是聯總會主席的人選
[10:08] 對突然想到
[10:09] 人家說那個Greenland
[10:13] 格林蘭
[10:14] 我前兩天看到網友在底下留言說
[10:17] 格陵蘭為什麼叫格陵蘭
[10:19] 因為格陵蘭的右邊是冰島
[10:21] 冰島叫做ice land
[10:23] 所以是ice加land
[10:25] 所以你叫做冰島好像沒什麼問題
[10:27] 但是green land
[10:29] 為什麼叫做格陵蘭
[10:31] 而不叫做綠島呢
[10:33] 或者青島
[10:34] 還是說land不是島
[10:37] island才是島
[10:38] 所以green land
[10:40] 應該叫做青地
[10:43] 或者綠地
[10:44] Land是土地
[10:46] 那邊的大樓
[10:47] 可能就叫做青樓
[10:50] 飛著鳥就叫青鳥
[10:53] 隨風擺盪的就是小草
[10:55] 常常有這種翻譯的問題
[10:57] 我蠻有趣的
[10:58] 我們網友
[10:58] 有時候留言也不是很正經
[11:00] 往往我們那麼認真聊了一集
[11:02] 都問一些很奇怪的問題
[11:03] 或者投資朋友可以幫忙回答
[11:05] 為什麼Ice Land叫冰島
[11:07] Greenland叫格陵蘭
[11:08] 常常有這種翻譯的問題
[11:10] 就好像在臺灣
[11:11] 每次跟外國人解釋
[11:12] 北港南港都解釋不清楚
[11:14] 北港在雲林
[11:16] 南港在臺北
[11:19] 東港不在花蓮在屏東
[11:21] 西港在臺南
[11:23] 所以有時候
[11:25] 可能也是前人方便
[11:27] 就定下這個名稱
[11:29] 或者就是大家方便念習慣了
[11:31] 我最近才發現
[11:33] 兒子其實也可以改叫妻子
[11:36] 就是太太的小孩
[11:38] 兒子也可以叫做妻子
[11:40] 太太的小孩
[11:40] 叔叔也可以叫做爹弟
[11:43] 那是我爹的弟弟
[11:45] 後媽也可以叫做新娘
[11:48] 照這個邏輯
[11:50] 阿公也可以改叫爸爸
[11:52] 外婆就叫媽媽
[11:54] 對那爸爸
[11:55] 就可以叫奶奶的兒子
[11:58] 好像
[11:59] 有時候我們講說
[12:01] 這名稱都很奇怪
[12:02] 所以大家如果有
[12:03] 有相關的經驗
[12:05] 瞭解說格林蘭
[12:06] 為什麼叫格林蘭
[12:07] 也可以分享給我
[12:08] 不然有時候網友
[12:09] 真的會把我考倒
[12:10] 好我們剛才講說
[12:11] 整個市場上針對格林蘭的局勢
[12:14] 告一段落以後
[12:15] 股市的漲幅
[12:16] 接下來就取決於兩項態度
[12:17] 一個是川普剛才在貼文當中有提到的
[12:20] 如何看待聯總會接下來的利率決策
[12:23] 以及聯總會主席人選
[12:25] 他已經正在快速說說
[12:26] 白宮這一次已經很明確表態了
[12:28] 把國家經濟委員會主任哈塞特
[12:31] 想要留在原位上
[12:32] 還特別稱讚他在上電視表現非常好
[12:35] 直言如果把他調去聯總會
[12:37] 我就會失去他
[12:38] 這番話就直接教習了哈塞特
[12:41] 角逐下一任聯總會主席的機會
[12:43] 市場也開始解讀
[12:45] 川普是不是開始為下一個政策來辯護
[12:49] 能夠擅長對外發聲的幕僚
[12:51] 其實不太適合進入到聯總會
[12:53] 聯總會還是要找一個
[12:54] 看起來有點中立的人
[12:56] 來保持聯總會的獨立性
[12:58] 可是他背後還是要聽我的話
[12:59] 訊息一出
[13:00] Kevin Walsh的聯總會主席
[13:02] 勝率就大幅跳升
[13:03] 他具有學術派的這種穩定的情調
[13:06] 一方面
[13:07] 其實Watch之前有點偏陰
[13:09] 他對於降息態度其實蠻保守的
[13:12] 所以金融市場如果重新調整定價的話
[13:15] 就變成川普在聯總會主席人選上
[13:18] 也開始tackle了
[13:19] 這非常有利於接下來市場
[13:22] 針對聯總會獨立性以及信心的歸來
[13:24] 所以在這樣效果底下
[13:26] 我們當然知道聯總會的風向球
[13:28] 還是非常難以判斷的
[13:29] 因為如果接下來
[13:31] 鮑威爾如果持續留任在聯總會體系裡頭
[13:33] 他肯定會造成聯總會的獨立性始終存在
[13:36] 那也會形成川普在降血預期當中
[13:39] 形成的不確定性
[13:40] 我們舉一個更直觀的
[13:41] 這張圖表示
[13:42] 我們看到川普在上任之後
[13:44] 對於聯總會的公開施壓
[13:46] 我們看在過去一段時間
[13:48] 聯總會內部利率決策的施壓
[13:51] 以及造成的鷹派成員衝突
[13:53] 應該已經成為19年以來最大的一次
[13:56] 已經很久
[13:57] 應該從疫情以來
[13:59] 聯總會內部已經沒有這麼高強度的紛爭了
[14:02] 結果最近兩次在FOMC的利率決策會議上
[14:05] 雙方的衝突越來越高
[14:08] 那有好處有壞處
[14:09] 壞處就是很明顯是川普派米蘭進去以後
[14:12] 雙方衝突就開始產生了
[14:14] 那另外一方面是因為
[14:16] 那如果有衝突
[14:17] 那就代表還有獨立性
[14:18] 大家不是隻聽一個人的
[14:20] 所以現在第一個問題就是主席人選
[14:22] 市場最為關注的焦點就是
[14:24] 下一任聯總會主席
[14:25] 鮑爾在今年5月屆滿以後
[14:28] 到時候宣佈接班的人選為何
[14:30] 那現在呢
[14:31] 大概就是Kevin Walsh比較可能
[14:34] 可是呢
[14:35] 如果司法部當時針對鮑爾或者聯準會
[14:38] 說針對整修案的調查沒有結束之前
[14:42] 我們看到目前參議院銀行委員的看法
[14:44] 基本上是不願意透過聯準會主席的提名人選
[14:47] 所以除非川普退讓到司法部
[14:50] 最後默默的收起了他的指控
[14:53] 這個時候也許主席人選才會順勢的提出
[14:56] 要不然到5月份還是充滿著極大變數
[14:59] 第二個就是會不會出現的理事會的空缺
[15:02] 因為鮑爾是這樣
[15:04] 他五月份任期到了之後
[15:06] 他接下來還是可以當到
[15:07] 2028年當做理事
[15:09] 他只是不能當主席
[15:10] 那如果他還在聯總會理事裡頭
[15:12] 就會出現一個問題
[15:13] 就是鮑爾這幾年受到這麼大的委屈
[15:16] 他會不會到時候變成理事
[15:18] 就表達著十分的陰派
[15:20] 現在他當主席
[15:21] 你還要有一定的中立性
[15:23] 因為你要凝結市場共識
[15:24] 現在不一樣
[15:25] 我就繼續跟你留著
[15:26] 我就天天跟你川普對撞
[15:28] 這樣的話
[15:29] 也許就會左右接下來的權力分局
[15:32] 所以川普當然是希望
[15:34] 你這一次要嘛就提前辭職
[15:37] 要嘛就連總會主席到任的時候
[15:39] 你就順勢的離開
[15:40] 當然是非常希望你離開的
[15:42] 但是如果鮑威爾一離開或者說一留著
[15:45] 對於市場的變數影響就來得更大了
[15:48] 最後是我們看到在法律戰線上的不確定性因為現在有不只是鮑威爾的問題鮑威爾是整修案的最大元修按照川普說另外一個就是Lisa CookLisa Cook目前的相關指控仍然在訴訟期
[16:01] 其實我們過去看到1月20號
[16:04] 當時法院已經允許
[16:06] Cook在訴訟期繼續留任
[16:08] 如果最終裁定總統有權解除他的職位
[16:11] 川普當然就可以再創造一個理事
[16:13] 但是更深遠的影響就變成
[16:16] 理事不可以任意被解職的制度瓦解了
[16:19] 就是我只要找到一個小辮子
[16:21] 我就可以把你給解除
[16:22] 所以法律戰線上的不確定性
[16:24] 也會造成接下來聯總會
[16:26] 持續性對於市場的波動影響
[16:28] 那不管怎麼說
[16:30] 現在聯總會所透露的氛圍和影響
[16:33] 都奠定著川普在聯總會議題上
[16:35] 他能夠採取的空間
[16:37] 其實是相對有限的
[16:38] 不像市場預期的
[16:40] 只要他提名一個順勢的聯總會主席人選
[16:42] 下半年降息通道就全部開啟
[16:44] 我們當然最後樂觀的原因還是看通膨
[16:47] 可是看得出來
[16:49] 不管是鮑爾的問題
[16:50] Lisa Cook的問題
[16:52] 還是這個蔡英越銀行委員會的問題
[16:55] 基本上都對於川普採取的力道
[16:58] 採取了一定的反彈
[16:59] 好我們看一下美國股市市大指數表現
[17:01] 道瓊指數上漲588.1.21%
[17:04] 則49077點
[17:06] 這個完全又站回到四條均線以上了
[17:09] 標普上漲78點
[17:11] 1.16%
[17:12] 則6875點
[17:14] 納斯達克指數上漲270點
[17:16] 1.18%
[17:17] 則23224點
[17:19] 費半大漲了247.3.18%
[17:22] 說在8042點
[17:24] 那美歐股市
[17:25] 漲到這個位階
[17:26] 費半真的是帶頭衝
[17:28] 它也是過去委屈了很久
[17:30] 整個2024年
[17:31] 幾乎沒有什麼太大波動
[17:32] 直到2025年整個大爆發
[17:34] 那美歐股市
[17:35] 後續開始反彈以後
[17:37] 當然就要看一下
[17:37] 科技股的財報變化
[17:39] 那事實上
[17:39] 我們如果以今年的
[17:41] 各大資產漲幅來看
[17:42] 就不像去年是全面收漲
[17:44] 去年2025年
[17:45] 我們細看
[17:46] 只有一個資產收跌
[17:47] 那就是比特幣
[17:49] 當時表現最為亮麗的是黃金
[17:51] 再來是美國小型股
[17:53] 以及一些大宗資產
[17:54] 美國的或者說新興市場
[17:56] 整體資產極小表現都亮麗
[17:58] 所以第一打頭的是貴金屬
[18:01] 再來是各國新興市場
[18:03] 第三是美國股市
[18:04] 最後就是一些債券市場
[18:06] 去年都是真報酬
[18:07] 但是今年就不太一樣了
[18:09] 今年表現最為亮麗的
[18:10] 還是黃金
[18:11] 黃金今年又已經漲了
[18:13] 接近有10%左右
[18:15] 表現還是非常漂亮
[18:16] 小型股漲幅有6.7%
[18:18] 其他像是大宗資產漲了5%
[18:20] 中型股4.6
[18:22] 新興市場股市大概漲了3.3%
[18:25] 其他我們看到像是一些特別股
[18:27] 可轉債
[18:28] 價值股
[18:29] 比特幣大概都小漲
[18:30] 可是有一部分資產是收跌的
[18:33] 這個資產收跌
[18:34] 一部分是我們看到的短期國債
[18:36] 長期國債
[18:37] 還有一些QQQ
[18:39] 納斯達克指數
[18:39] 所以今年走勢
[18:40] 感覺更加急化了一點
[18:42] 去年就是
[18:43] 你只要不投資到比特幣
[18:44] 你設飛鏢都會賺
[18:45] 就看賺多賺少
[18:46] 今年大概就一半一半
[18:48] 而且你投資股市也有可能賠
[18:50] 因為你如果沒有投到費半
[18:51] 你投到納斯你就賠了
[18:53] 另外一方面
[18:54] 如果你投資債市
[18:55] 那你如果投到的一些新興市場債
[18:58] 或者科轉債
[18:59] 表現還不錯
[19:00] 但是你投到的是常債
[19:01] 或者美國短天期國債
[19:03] 反而有可能會賠
[19:04] 所以在這樣效果底下
[19:05] 今年的整體市場輪廓
[19:07] 在年初還不是太明顯
[19:09] 但是黃金已經二三二四二五二六年
[19:12] 都是最為亮麗的資產
[19:15] 這件事情要值得特別來留意
[19:17] 到底市場的避險情緒為何
[19:19] 那所以呢
[19:19] 現在市場上反而會更為聚焦
[19:21] 財報季公佈之後的實質表現
[19:23] 我們講說
[19:24] 這公司市場上的輪動
[19:27] 一部分人仍然聚焦在硬體股的拉伸
[19:30] 可是我們過去提過
[19:31] 如果按照週期輪動的話
[19:33] 那你是用比較類價值投資
[19:36] 左側價值的投資邏輯來看的話
[19:38] 股市在上漲的過程當中
[19:40] 你要麼就選擇還沒有上漲的
[19:42] 要麼就選擇具有護城河
[19:43] 還是具有保護的
[19:44] 那納斯達克指數
[19:45] 其實已經沉寂蠻久的
[19:46] 我們講說公司
[19:48] 有四種
[19:49] 有好的
[19:49] 有普通的
[19:51] 有爛的
[19:51] 有看不懂的
[19:52] 那股票也有四種
[19:53] 低估的
[19:54] 高估的
[19:55] 合理的
[19:55] 估不準的
[19:56] 那人的時間精力
[19:57] 和腦容量都有限
[19:58] 看不懂的公司
[19:59] 大概已經佔了一半了
[20:01] 那看得懂的公司
[20:02] 估不準的又佔了一半
[20:03] 看得懂又估得準的
[20:05] 被高估的也佔了一半
[20:06] 看得懂估得準
[20:07] 又沒有被高估的
[20:08] 爛公司佔了一大半
[20:10] 剩下的你去看
[20:11] 合理價位的普通公司又佔了一大半
[20:14] 所以一般情況底下
[20:15] 你在牛市氛圍
[20:16] 你身經百戰在財報當中
[20:19] 所挖掘的出來的公司
[20:20] 大概也是被低估的普通公司
[20:23] 所以我們以前經常這樣講
[20:25] 我們寧願在低基期亂買股票
[20:29] 也不在高基期認真研究財報
[20:31] 不是一個系統性風險
[20:32] 大家都跌回來了
[20:33] 所以很難得出現美國股市火燙到現在
[20:37] 但是部分七巨頭的本益比正在持續下滑
[20:41] 這個時候就要特別值得留意
[20:42] 這是我的看法
[20:43] 好當然我們回過頭看
[20:44] 市場上進一步針對
[20:46] 接下來的通膨預期
[20:47] 造成聯準會施壓
[20:49] 或者對於川普的施壓
[20:50] 其實還是根本改變
[20:52] 川普更為聚焦內政的原因
[20:54] 我們舉例來說
[20:55] 根據華爾街日報的觀察
[20:57] 25年的通膨成績在陸續出來以後
[20:59] 你會發現好訊息是有
[21:01] 但是壓力沒有走
[21:02] 所以又沒有提到
[21:03] 通膨並不是全面失控
[21:04] 但是分項正在嚴重分化
[21:07] 從通膨年增幅2.7%來看
[21:09] 真正漲得最兇的
[21:10] 少數服務和特定產品
[21:12] 影音遊戲訂閱漲幅有29%
[21:15] 咖啡漲了兩成
[21:16] 牛肉漲了一成六
[21:17] 這些都是服務型品牌型
[21:19] 或者訂閱產品粘著度高
[21:21] 替代性低的情況底下
[21:23] 企業有能力把成本轉嫁給消費者
[21:26] 那其他像住房傢俱
[21:27] 汽車零元件
[21:29] 雜貨
[21:29] 這個漲幅不算特別高
[21:31] 但也有3%
[21:32] 所以整體而言
[21:33] 真的就是靠大宗資產
[21:35] 或者原物料的能源資產
[21:36] 來下跌來做支撐
[21:38] 在這樣效果底下
[21:39] 就造成了
[21:40] 川普其實本身在部分政策推進效果非常快
[21:43] 可是支援度下滑的速度也有一點快
[21:46] 如果我們細看
[21:47] 其實整體而言
[21:48] 多數美國人對於川普執政表現
[21:51] 不滿情緒在過去幾個月開始持續攀升
[21:54] 但是並不是完全集中在外交議題上
[21:57] 其實大多數都還是來自於通膨問題
[21:59] 如果我們細看
[22:00] 像是蓋洛普的民調
[22:02] 沒有任何一個政策領域可以拿到多數認可
[22:05] 這是蓋洛普民調
[22:07] 我們應該可以把它當成相對公允
[22:09] 就稍微撇開左右媒體的判斷
[22:12] 最好的是什麼
[22:13] 當然就是治安
[22:15] 犯罪43%還可以
[22:17] 可是其他像外交貿易移民經濟
[22:21] 都在四成以下
[22:22] 醫療預算烏克蘭和中東問題
[22:25] 是明顯落下
[22:26] 可是其實影響沒這麼大
[22:27] 真正我們看到衝擊度最大的
[22:30] 只剩下平均36%
[22:32] 主要其實還是來自於
[22:34] 不管是醫療政策的補貼所拖累
[22:37] 還是經濟問題所拖累
[22:38] 在這樣效果底下
[22:40] 等同於川普一定會在內政領域
[22:42] 採取更多的政策
[22:43] 我們舉例來說
[22:44] 張圖比爾是蓋洛普
[22:45] 統計美國人的轉移
[22:47] 政黨傾向
[22:48] 越來越多美國人
[22:50] 其實對於兩黨政治
[22:51] 不信任程度越來越高
[22:53] 尤其在過去十年快速上升
[22:55] 那在今年創下歷史新高了
[22:57] 最新民調顯示
[22:58] 有一半的美國人
[23:00] 自認自己是政治的獨立選民
[23:02] 比例正在創下新高
[23:03] 而且不是年輕世代
[23:04] 是從X世代開始
[23:06] 獨立派就已經變成了主流
[23:08] 相對之下
[23:09] 認同自己是共和黨或者民主黨的人
[23:11] 各自都不到三成
[23:13] 那這就直接反映在民意迴圈上
[23:15] 就是不論誰執政
[23:16] 那個支援度流逝都會非常快
[23:18] 獨立選民很快就會倒向對手
[23:20] 導致國會和總統頻繁翻盤
[23:23] 就變成一下川普
[23:24] 一下又變拜登
[23:25] 一下又變川普
[23:26] 來回切換
[23:27] 那比如說選民很善變
[23:29] 而是兩個政黨
[23:30] 看起來大家都非常非常不滿
[23:32] 那結果是呢
[23:33] 沒有一個黨能夠長期維持穩定的多數
[23:37] 政治越來越極化
[23:38] 可是中間選民其實也越來越多了
[23:40] 很多美國人認為
[23:42] 他們需要一個真正的第三選擇
[23:45] 你看臺灣永遠都是走在世界的前端但問題是這個制度就把門關得實實的勝者全拿的選制讓美國的新政黨幾乎也沒有太多生存空間所以關鍵就在於推動制度改革
[23:58] 不過這條路也是漫漫長路
[24:01] 不管怎麼說
[24:02] 市場上其實更為聚焦的
[24:04] 是這一輪到底經濟問題上
[24:06] 通膨的壓制程度會來得多高
[24:08] 川普其實在
[24:09] 昨天的貼文當中
[24:11] 以及在昨天的論壇當中
[24:12] 也提到了一個重要概念
[24:14] 那就是針對電價的問題
[24:16] 川普即將採取一系列措施
[24:18] 確保資料中心的用電需求
[24:21] 所造成的電價上漲
[24:22] 百分之百不會反映在民間身上
[24:24] 那他這樣說法是有道理的
[24:26] 因為從疫情以來
[24:28] 美國電價就在瘋狂上漲
[24:29] 在2020年的時候
[24:31] 當時大多數的批發電價
[24:33] 每兆瓦時大概是十幾到二十美元
[24:35] 比如說芝加哥大概15塊
[24:37] 洛杉磯是19塊
[24:38] 舊金山21塊
[24:40] 巴爾蒂摩17塊
[24:41] 可是到2025年
[24:42] 顏色越黃就代表漲越兇
[24:45] 巴爾蒂摩從原本17塊漲到38塊
[24:49] 哥倫布漲到35塊
[24:51] 舊金山從21塊漲到35塊
[24:53] 洛杉磯也漲到29塊
