[00:00] 投資變換收聽早晨財經速解讀
[02:32] 我們看到的只要是期貨市場正在爆倉
[02:34] 可是現貨市場
[02:36] 亞洲市場是樂得非常非常火熱
[02:39] 我們看到在昨天亞太地區
[02:41] 在不管是趁春節前來補金市金條
[02:45] 現在中盤商也在瘋狂的囤貨
[02:47] 那是否也就意味著這一波劇烈的震盪
[02:50] 其實更多是技術面和資金面的擠兌所造成的
[02:53] 並不是基本面的突然反轉
[02:55] 至少從情緒面來看
[02:57] 大家只是高槓杆的部位被洗掉了
[03:00] 可是現有部位的人
[03:02] 都在等著這一波的價格下跌
[03:04] 來瘋狂的買入
[03:05] 所以實質現貨買盤
[03:07] 看起來還是非常強勁的
[03:08] 至少白銀黃金價格的下跌
[03:11] 也帶動了貴金屬價格的下跌
[03:13] 某種由金屬通膨所傳討的
[03:16] 這種通膨問題
[03:17] 它算是自然瓦解了
[03:19] 更何況在最近
[03:20] 美益緊張局勢降溫之後
[03:22] 油價在昨天也重挫了4.4%
[03:26] 布蘭特原油期貨價格下跌3美元
[03:28] 下跌4.4%
[03:29] 每桶收在66塊
[03:31] 西德州已經跑到61塊了
[03:33] 昨天跌了4.7%
[03:34] 其實按照這樣的角度
[03:37] 那就等同於這一次
[03:38] 雖然它突破了所有均線
[03:40] 可是重新再灌破
[03:42] 那就代表著下行趨勢仍然確認
[03:45] 原油價格就沒有這麼擔心了
[03:47] 我們之所以過去會稍微擔心
[03:49] 這種由原物料所引起的通膨
[03:52] 因為它已經傳導到PPI了
[03:54] 有時候原物料價格
[03:55] 畢竟期貨價格
[03:56] 有時候漲有時候跌都可以接受
[03:58] 但是如果你漲到一定程度
[04:00] 時間線拉得過長
[04:02] PPI生產者物價指數就被迫抬高
[04:05] 而PPI抬高以後
[04:06] CPI就遲早被傳導進去
[04:08] 而聯準會被迫要因為CPI的資料
[04:11] 來進行最後利率的判定
[04:13] 到時候的降息條件可能就會全然喪失
[04:16] 到目前為止
[04:17] 在全球原物料資產
[04:19] 從年初到現在2月3號為止
[04:21] 基本上60%的大宗資產還是收漲的
[04:24] 但是40%的下跌
[04:26] 其實多數跟實體民間
[04:29] 我們講的通膨計算水準沒這麼大
[04:31] 跌最重的是可可價格
[04:33] 跌幅有30%
[04:34] 天然氣價格跌有10%
[04:36] 這個還不錯
[04:36] 柳橙汁還有其他像是糖類
[04:39] 軟性商品
[04:40] 玉米 咖啡 棉花都在下跌
[04:43] 可是漲的
[04:44] 第一 即便今年白銀已經跌這麼多了
[04:47] 今年白銀仍然是大宗資產當中
[04:49] 表現最為亮麗的
[04:50] 漲幅有12.6%
[04:52] 熱燃油
[04:52] 漲幅也有10%
[04:54] 木材價格
[04:55] 漲幅有10.58%
[04:56] 不管是建造房屋
[04:58] 還是我們看到工業用金屬
[05:00] 以及西德州和布蘭特原油
[05:02] 漲幅都有8到9%
[05:03] 那這些東西
[05:04] 漲幅的確會對於原物料
[05:07] 以及PPI造成實質通膨
[05:09] 你說什麼咖啡
[05:10] 糖類上漲
[05:11] 那個基本上影響還好
[05:13] 可是這些商品
[05:15] 尤其是能源資產
[05:16] 其實仍然有通膨將固性的存在
[05:18] 那現在就是稍微給它降溫一下
[05:21] 所以雖然貴金屬價格
[05:23] 有些人可能稍晚進場
[05:25] 可能一月中旬以後才進場
[05:26] 稍微受了點傷
[05:27] 那你只要不是持有期貨
[05:30] 或者並非槓桿放大者
[05:32] 其實也OK
[05:33] 現貨價格中長期
[05:34] 它本來就有資產配置的沖銷作用
[05:36] 那重點在於
[05:37] 這一次能不能借由貴金屬價格的下滑
[05:41] 下跌來沖銷掉
[05:43] 原本大家對於下半年的通膨疑慮
[05:45] 由原物料帶頭下跌
[05:47] 那是不是代表著PPI未來幾個月有機會降溫呢
[05:50] 我們要清楚知道
[05:51] 因為現在已經傳進PPI了
[05:54] 記憶體價格按照吉邦最新的調查公佈
[05:56] AI和資料中心的需求持續發揮底下
[05:59] 這一次全球記憶體市場的供需缺口持續擴大
[06:02] 在整個26年一季度的價格預測進行全面上修
[06:06] 原本一般模型預估
[06:07] 現在D-RAN的合約價格
[06:10] 季增幅今年一季度相對於去年
[06:12] 大概漲幅是50%到60%
[06:15] 現在呢上調到90%到95%
[06:19] Netflix也從原本三成多的漲幅上修到五成以上
[06:22] 而且還不排除會繼續上調
[06:24] 那當然就是因為不管是PC的出貨
[06:27] 在去年第四季又一預期
[06:28] PC對於D-RAN的持續缺貨
[06:31] 加上AI資料中心把PC手機端的D-RAN全部搶走以後啊
[06:35] 造成進一步的價格拉動
[06:37] 所以啊中端產品如果都已經轉嫁上去
[06:40] 那CPI就不可控了
[06:41] 你如果現在趁原物料價格下跌
[06:43] 到時候PPI可能還勉強壓得回來
[06:46] 但是一旦傳進CPI
[06:47] 一旦把筆電價格真的給拉高了
[06:50] 那抱歉
[06:50] 那筆電價格也很少在真正回跌的
[06:53] 通常都是過基品才會回跌
[06:55] 所以我們看到
[06:56] 在昨天其實是有爆發記憶體股災的
[06:59] 韓國股市在昨天是重挫了5%
[07:01] 直接觸發了熔斷機制
[07:03] 韓國交易所在中午時段
[07:05] 直接啟動了臨時停牌措施
[07:07] 暫停限制賣單的撮合
[07:09] 避免恐慌性
[07:10] 拋售進一步放大
[07:12] 你可以買
[07:13] 但是恐慌時你是不能夠做空的
[07:15] 那這波下跌
[07:16] 當然就是過去連續上漲之後的
[07:19] 獲利了結賣壓
[07:20] 所以現在報價是沒跌
[07:21] 可是記憶體股票先跌了
[07:23] 那我們就看一下
[07:24] 這波反彈不破高
[07:26] 那是不是有機會能夠帶動
[07:28] 記憶體報價
[07:29] 也開始來到一個相對高位的區間
[07:31] 這一次我們看SK海力士
[07:33] 三星同步走低
[07:35] 也拖累了COSPI指數
[07:37] 盤中跌幅來到5%當然了過去兩年韓國股市波動本來就已經比臺灣大了開始是因為戒嚴到後來高點大幅回落之後進入到技術性的熊市
[07:48] 後續又在記憶體帶動底下反彈
[07:50] 去年韓國股市漲幅是接近90%
[07:53] 韓國股民對這種波動似乎已經見怪不慣
[07:56] 而且韓國股市股民都喜歡殺來殺去的
[07:59] 美股什麼特斯拉
[08:01] 一些指標股
[08:02] 很多都是韓國股市股民最喜歡的
[08:04] 那當然市場上在記憶體爆殺以後
[08:07] 表面上
[08:09] 名目上當然是
[08:10] 我們講的獲利了結賣壓
[08:11] 但後續市場會找原因
[08:13] 我們都清楚知道
[08:14] 中國Netflash龍頭
[08:16] 長江儲存
[08:16] 最近預估要把
[08:18] 27年才要大規模量產的
[08:20] 武漢的新廠
[08:21] 提升到2026年下半年
[08:24] 就要開出新產能
[08:25] 那等於提早半年就要生產了
[08:27] 這種建廠和匯入裝置的速度
[08:29] 讓大家會擔心
[08:30] 我們本來想說
[08:32] 今年2026年應該就吃飽了
[08:34] 因為一路缺到年底
[08:35] 結果明年才要蓋的廠
[08:37] 今年就準備先蓋了
[08:39] 如果新增供給來得太快
[08:40] 原本靠AI需求所撐起的景氣迴圈
[08:43] 會不會又重新出現價格壓力訊號
[08:46] 我們也知道
[08:46] 只要中國廠商能夠做到
[08:48] 遲早會變紅海
[08:49] 而且擴散速度又這麼快
[08:51] 所以市場當然會優先擔心
[08:53] 不過這些訊息
[08:54] 其實傳出來有一段時間了
[08:56] 價格之前也沒有跌
[08:57] 說明它是一個系統性的供給問題
[08:59] 基本上不太可能
[09:01] 因為一家廠商
[09:02] 一個廠區的提前擴散
[09:04] 就完全打破這條供應鏈
[09:06] 換句話說
[09:07] 其實它還是屬於技術性的獲利了結賣壓
[09:10] 長江儲存其實品牌
[09:11] 在過去今年年初的時候
[09:14] 就已經登臺開賣了
[09:15] 中國記憶體現在已經陸續出海了
[09:18] 透過代理商現在在
[09:20] 其實不只是臺灣
[09:21] 整個東亞市場SSD的相關儲存產品
[09:23] 都被視為中國自主研發
[09:25] 自行生產的記憶體品牌
[09:28] 那這次打入臺灣同路以後
[09:30] 我們在一季度
[09:31] 因為之前在computex
[09:33] 它就已經有露面試水溫了
[09:35] 除了臺灣之外
[09:37] 東南亞市場也在列
[09:38] 那現在看起來
[09:39] 整個東南亞的評價都還不錯
[09:40] 因為中國兩大記憶體制造主力
[09:43] 一個是主攻3D
[09:44] 另外一個是專攻DRAM
[09:46] 雙方現在都在衝高階產品和資本市場
[09:49] 我們就看
[09:50] 遲早記憶體
[09:52] 遲早也會變紅海
[09:53] 按照這種速度
[09:54] 我們就看那個時間線
[09:56] 它能不能卡到
[09:57] 不要引起同盟的時候
[09:58] 至少整個AI記憶體的缺貨
[10:01] 我們最近才跟投資朋友提到
[10:02] 中端產品已經開始反應了
[10:04] 所以如果再不把它給壓下來
[10:06] 那基本上年底新機
[10:08] 不管是新PC還是新手機
[10:10] 都會有很大的壓力
[10:11] 昨天我們才跟投資朋友提到
[10:12] 你像Amazon
[10:13] 現在DDR5
[10:14] 64GB的記憶體的套組
[10:16] 年終時大概是150到200美元
[10:19] 去年年終
[10:20] 到第四季
[10:21] 已經衝高到730到790美元
[10:24] 那這種長時間都是一個慣性的橫盤
[10:28] 150到200
[10:28] 然後突然之間給你翻了四倍
[10:30] 那這種通路庫存偏低
[10:33] 所造成的全面報價上漲
[10:35] 它一定會對於中端商品
[10:37] 和品牌商
[10:38] 以及零售商
[10:38] 會有相當大的壓力
[10:40] 所以我們看到
[10:41] 不只是韓國股市
[10:42] 在記憶體的沙盤開始出現
[10:43] 雖然還沒有影響到報價
[10:45] 但是大家會拭目以待
[10:46] 看有沒有機會
[10:47] 能夠讓通膨降溫
[10:48] 另外一方面
[10:49] 在昨天
[10:50] 我們看記憶體族群
[10:51] 也是盤面最弱的族群
[10:53] 南亞科跌停
[10:54] 群聯跌停
[10:55] 華邦電跌停
[10:56] 那這麼顯著的市場賣壓
[10:58] 當然跌一根
[10:59] 你已經賺很多了
[11:00] 心態也不會多大的壓力
[11:03] 但這種沙盤情緒
[11:04] 當然一方面是外資的同步調降平等
[11:07] 加上市場開始重新定價
[11:09] 你漲成這樣
[11:10] 有人買筆電嗎
[11:12] 就很正常
[11:13] 你看DDR5 DDR4
[11:16] 有的漲兩三倍三四倍
[11:18] 有的漲到四五倍
[11:19] 筆電現在平均至少是漲15到20%
[11:23] 那麼正常人邏輯就是
[11:25] 記憶體中有一天產能會回來
[11:26] 本來在26年
[11:28] 本來今年三季度
[11:30] 要賣給小孩的開學筆電
[11:31] 爸爸答應你
[11:33] 大一要換電腦
[11:34] 現在你等到大二大三
[11:36] 等到二七年二八年
[11:38] 記憶體產一定會回來
[11:39] 到時候我再買給你
[11:40] 他一定會這樣想的
[11:41] 最終就使得PC需求的這種敘事
[11:44] 重新傳染到總體市場
[11:47] 引發一連串的恐慌性的停損
[11:49] 和多殺多
[11:49] 那現在就是之前爆價漲的
[11:51] 全部都在回跌
[11:52] 不管是我們看到過去面板族群
[11:56] 之前缺貨開始回檔了
[11:58] 被動元件之前是銀價上漲
[12:00] 國序最近也開始有比較顯著的賣壓
[12:02] 漲高的族群都在回跌
[12:04] 它本身就是一種通膨降溫的前瞻指標
[12:07] 對不對
[12:08] 網路上流行一句話
[12:11] 歐印群聯改稅公元
[12:14] 歐印聯電賣去緬甸
[12:16] 歐印群創身心受創
[12:19] 歐印黃金全身受驚
[12:22] 歐印白銀下海賣銀
[12:26] 你說穿了就滿倉加槓桿以後
[12:29] 行情一反轉
[12:30] 你發現瞬間睡公園
[12:32] 當然如果是從上市櫃
[12:34] 不管是投信買賣超
[12:35] 還是我們看到外資買賣超
[12:37] 整體的確針對高基期的股票
[12:40] 賣壓比較沉重
[12:40] 像投信昨天賣超第一名就華邦電
[12:43] 然後聯電光寶科國具長龍行力成
[12:46] 外資的部分前面幾名利基電
[12:49] 華新南亞可華邦電
[12:50] 其實差不多了
[12:51] 所以很明顯有高基期的
[12:53] 開始做市場資金的輪動
[12:55] 那接著我們往下看
[12:56] 那市場上的整體情緒
[12:57] 其實在早先早盤已經開始陸續迴歸
[13:00] 市場上其實仍然相信市場的主流
[13:03] 仍然集中在AI股
[13:04] 只是漲高的開始進行輪動
[13:07] 它其實更類似於一個健康的資金輪掉
[13:09] 我們如果從高盛最新所公佈的市場報告來看
[13:12] 目前其實市場真正出現的
[13:15] 並不是風險偏好的全面撤離
[13:17] 而是降槓桿
[13:18] 由於槓桿之前創高了
[13:20] 情緒現在保守了
[13:21] 所以資金正在撤離到相對比較穩健
[13:24] 本益比比較低的資產
[13:26] 總槓桿由於在過去一段時間
[13:28] 它不斷的墊高
[13:29] 到近年我們看到
[13:30] 淨槓桿率
[13:31] 大概已經快要突破2021年高點了
[13:34] 也就代表著
[13:35] 整體市場的基金部位
[13:37] 開槓杆都看得很大
[13:39] 那現在呢
[13:40] 適度調整一下槓桿
[13:41] 也是很健康的
[13:42] 後續我們要觀察的極大效果就是
[13:44] 那這個降槓桿的過程
[13:45] 是否會意味著
[13:46] 現金部位開始回升
[13:48] 因為我們從美銀經紀人的調查
[13:50] 平均現在經理人的現金水位
[13:52] 大概只有3.2%
[13:54] 這個是歷史新低
[13:56] 明顯跌破長期的常態區間
[13:58] 代表多數的經理人
[14:00] 現在已經高度滿倉
[14:01] 資金都在市場裡頭
[14:03] 那現在只是降槓桿
[14:04] 那降到一定程度以後
[14:05] 現金就要往上跑了
[14:07] 我們就看這個指標
[14:08] 是否會在二月份左右
[14:10] 開始陸續回到正值
[14:12] 那的確我們回過頭來說
[14:13] 這就意味著市場現在更為聚焦的是
[14:16] 公司的基本面和公司當前的位階
[14:18] 我們如果細看
[14:20] 現在財報季還在進行當中
[14:21] AI資本支出還沒有見頂
[14:23] 半導體仍然是主戰場
[14:25] 但是問題是誰來買單
[14:27] 變成市場被追問的問題
[14:28] 我們如果細看
[14:29] 現在這些AI CSPS的資本支出
[14:33] 持續逾局上修
[14:34] 而並不是小幅度調整
[14:35] 2025年KPX大概預估是4100億
[14:38] 現在大概已經
[14:40] 應該在講說4000億左右了
[14:42] 現在已經上調到4100億
[14:44] 那真正明顯的是2026年
[14:46] 財報季本來在去年年底的時候
[14:50] 預估本季度是抓5400億
[14:52] 最近已經抓到5600億了
[14:54] 年增幅有35%
[14:56] 今年資本支出居然還在衝
[14:58] 它已經連續兩年都是以翻倍的速度成長
[15:00] 今年還在調升
[15:02] 從世納科技巨頭
[15:03] 我們從股價的穩定度就看得出來
[15:05] 微軟的利潤率
[15:06] 就是一路維持在中高區間的40%
[15:09] 波動性很小
[15:10] 但是被OpenAI
[15:11] 還有財報認定的方式所拖累
[15:13] Meta的部分
[15:14] 從兩年前大概25%的低點
[15:16] 現在快速收復
[15:17] 你知道它為什麼股價漲這麼快了
[15:20] 25%到現在變成50%那個成長速度居然越來越快了想不到Meta的廣告效率所帶來的槓桿效果這麼明顯那Google就是一個很穩定的緩步上漲
[15:32] 從原本20%的利潤率上揚到30%
[15:35] 節奏緩慢但方向很明確
[15:37] 那甲骨文的部分
[15:39] 那個壓力就很大了
[15:40] 從過去40%以上的高毛利率
[15:43] 現在到30%到20%左右持續平盤
[15:46] 那當然很明顯是做軍備競賽所造成的效果
[15:50] 那當然從折舊費用來看也是如此
[15:52] 這幾年公司未來幾年的折舊費用
[15:55] 都在以倍數跳升
[15:56] 微軟放大到接近有8倍
[15:58] Meta有7倍
[15:59] Google有4倍
[16:00] 加古文最誇張有20倍
[16:02] 代表這兩年砸下去的資料中心
[16:04] 錢真的非常多
[16:06] 那大家就來比
[16:07] 到底誰的估值看起來是最高
[16:10] 最有可能贏得本輪的市場戰爭
[16:13] 贏得本輪的AI資本市場
[16:16] 那另外一方面
[16:17] 誰的槓桿部位現在是最高的
[16:19] 誰的風險是最大的
[16:21] 誰現在是沒有付成合的
[16:23] 我們舉例來說
[16:23] 現在由於甲骨文
[16:25] 當前現金流已經全面耗盡
[16:28] 現在已經遇到一些融資問題
[16:30] 我們看到很多銀行
[16:31] 在進行審貸的時候
[16:33] 並沒有全面透過甲骨文的需求
[16:36] 總體CDS價格
[16:37] 它已經完全突破
[16:38] 當時22年烏魯戰士的高點了
[16:41] 現在真的就往08年來靠近了
[16:43] 這其實蠻大的風險
[16:44] CDS價格信用違約掉期
[16:47] 它是對賭一家公司
[16:48] 是否能夠違約而獲得的保證金
[16:51] 那也就意味著
[16:52] 但是他的現在CDS價格炒得這麼高
[16:55] 那的確有很多人認為
[16:57] 他真的會即將違約
[16:58] 那甲骨文跟OpenAI
[17:00] 以及跟星際資本計劃
[17:02] 聯絡程度又來得這麼高
[17:03] 大家自然而然就會稍微擔心
[17:05] 所以微軟股價和甲骨文股價
[17:07] 稍微的疲憊
[17:08] 就是市場上
[17:09] 正在尋找更多的安全感
[17:11] 即便是七巨頭
[17:12] 黃仁勳對於OpenAI的千億投資
[17:14] 他這一次也改口
[17:16] 從來都不是承諾
[17:17] 輝達會改採分階段的出資
[17:20] 主要是華爾街日報上週的報道
[17:22] 輝達向OpenAI投資高達1000億美元的計劃
[17:25] 目前已經停滯
[17:26] 那黃文軒的表示是
[17:27] 這個對於OpenAI的持股
[17:29] 還是非常樂觀
[17:31] 但並非1000億都是100%的承諾
[17:33] 我們只是說這是一個合作的意向書
[17:36] 又沒有說我錢全部會給他
[17:37] 那當然會引得市場上
[17:39] 有進一步的聚焦
[17:40] 覺得那是不是整條
[17:42] 由OpenAI所串起的AI湧動機
[17:45] 其實陸續正在分崩離析當中呢
[17:48] 匯達股價昨天還是中錯了2.89%
[17:50] 那當然市場上還在缺錢
[17:52] 一方面呢
[17:53] 我們清楚知道資料中心都在搶錢
[17:56] 但是第一不是人人都搶得到錢
[17:58] 搶不到的股價就稍微小心了
[18:00] 那另外一方面
[18:01] 那搶到錢以後
[18:02] 搶錢的成本又多高呢
[18:04] 馬斯克這一次的AI版圖
[18:06] 為了要燒錢加速
[18:07] 為了算力和資料中心
[18:09] 開始全面的尋找資金
[18:10] 現在外界傳出
[18:11] SpareX正在評估IPO募資數百億美元
[18:15] 也同時研究特斯拉或者跟XAI來進行合併或者整合的可能性
[18:20] 把火箭衛星能源製造和AI算力放在同一個資金池
[18:24] 用這樣的一個方式看他們能稍微省一點錢
[18:27] 因為按照目前整體不管是特斯拉還是馬斯克帝國所需要的資金
[18:31] 在25年到26年有可能現金流就要轉付了
[18:35] 那就代表著馬斯克也遇到跟甲骨文一樣的處境
[18:39] 前期投入實在太高了
[18:41] 那你要知道現在市場上
[18:42] 只要稍微風險高一點的
[18:44] 投太多錢的
[18:45] 沒有穩定庫存盒的
[18:46] 現在投資人都稍微有點害怕
[18:48] 有沒有可能形成進一步的壓力
[18:49] 所以不管怎麼說
[18:51] 我們看到現在市場上
[18:52] 就靠兩種角度
[18:53] 一個就是AI的資本支出的上升
[18:56] 它必須要順應著足夠的基本面
[18:59] 來幫助你支撐
[19:00] 那另外一方面
[19:01] 如果你沒有這項面的支撐的
[19:03] 就會成為市場高估值調節的主要原因
[19:06] 那好在在昨天所公佈的PNI資料當中
[19:09] 美國經濟到目前為止表現還不錯
[19:11] 美國製造業PNI已經衝高到四年高點
[19:14] 1月標普製造業PNI來到52.4了
[19:17] 佔到50以上的龍虎線
[19:19] 這是22年5月份以來最明顯的同期擴張
[19:22] 不過這一波成長
[19:23] 有一部分是靠企業提前備貨撐起來的
[19:27] 新訂單還是要重回到擴張期
[19:29] 其實征服沒有這麼大了
[19:31] 更關鍵的是
[19:32] 接下來要公佈的ISN製造業指數
[19:33] 原本只是預估小幅回升
[19:36] 但是現在也來到52.6了
[19:38] 所以現在就標普PNI
[19:40] 愛建PNI都回到50以上
[19:42] 就代表著美國的製造業的資料
[19:44] 已經開始逐步的湧現
[19:46] 其實這才是比較好的
[19:47] 我們總結來說
[19:48] 從槓桿退潮到這一次的市場的估值審判
[19:52] 它其實更類似於那種去槓桿的連鎖反應
[19:56] 貴金屬價格的暴跌
[19:58] 它也不是基本面翻空
[19:59] 它是因為擁擠交易
[20:00] 因為槓桿部位先爆了
[20:02] 那亞洲實體買盤就趁機少貨
[20:04] 現貨買盤還是很強勁的
[20:06] 那同一時間經紀人的現金水位的確偏低
[20:09] 幣錢也不太足
[20:10] ETF成交佔比拉高
[20:11] 但槓桿創高
[20:13] 整體現貨市場
[20:15] 基本上大家表面上還是樂的
[20:17] 只是換另外一種方式來買股票
[20:20] 包括記憶體的重挫
[20:21] AI巨頭的資金效率
[20:22] 都把那種長線需求和短線的估值
[20:25] 它的矛盾一切的攤開
[20:27] 現在投資人只願意買那個
[20:29] 確定會打贏賬的企業
[20:31] 所以有時候我們還要回過頭說
[20:33] 還是要把焦點放回生產力
[20:35] 那就趕快做AI突破
[20:36] 靠這些企業
[20:37] 不要每天盯著股價
[20:39] 或者資產價格的數字
[20:40] 真正能夠讓你資產創高的
[20:42] 一定是某個新技術
[20:44] 重新的推行成功
[20:45] 並不是短線上的交易
[20:46] 股市再怎麼創高
[20:48] 題材再怎麼熱
[20:49] 那多半
[20:49] 在沒有生產力週期的突破底下
[20:52] 它只是一個貨幣放水
[20:53] 或者資金追逐的效果
[20:55] 價格會漲
[20:56] 通風也會跟著來
[20:57] 那你賬面財富膨脹
[20:59] 也不代表東西變便宜
[21:00] 生活變輕鬆
[21:01] 真正能夠讓一般人過得更好的
[21:05] 價格變動
[21:05] 是單位時間能夠產出更多的價值
[21:09] 就好像
[21:09] 如果股價一直漲一直漲
[21:11] 遲早你的物價也會跟著漲
[21:13] 但是呢
[21:14] 如果科技不斷創新
[21:15] 即便你現在
[21:17] 買股買房也壓力很大
[21:19] 以前一千萬就可以買一間房
[21:21] 現在一千萬
[21:22] 不一定可以買一張股票
[21:24] 現在快要破一千萬的股票了
[21:26] 但是呢
[21:27] 不管怎麼說
[21:27] 這些價值
[21:29] 這些股價的變動
[21:30] 它本身不會對你生活帶來實質改變
[21:33] 除非生產力突破
[21:34] 除非呢
[21:35] 你用的iPhone更好了
[21:37] 除非呢
[21:38] 你用的水電更便宜了
[21:39] 你用的基礎設施更好了
[21:41] 這才是物質上的真實提升嘛
[21:43] 之前我就看啊
[21:44] 他講說18世紀
[21:45] 法國街頭啊
[21:46] 有一個頑皮的小孩
[21:47] 不小心打碎麵包店的窗戶
[21:49] 那圍觀的人就開始安慰老闆了
[21:51] 啊別生氣
[21:51] 這和好事啊
[21:52] 那玻璃工人就有活幹了
[21:54] 賺了錢又會拿去買麵包
[21:56] 買衣服
[21:57] 經濟就被帶動起來了
[21:58] 那法國的經濟學家
[22:00] 巴士下聽到之後啊
[22:01] 他就搖了搖頭啊
[22:02] 他說我們只看到
[22:03] 想要被看到的部分
[22:05] 但卻忽略了沒有發生的事情
[22:07] 那個老闆原本用窗戶的錢
[22:09] 可以買一雙新鞋
[22:10] 但是鞋匠現在失去一筆生意了
[22:13] 表面看破窗造成了就業和交易
[22:16] 有流動性
[22:17] 實際上社會只是把一塊窗戶
[22:20] 換回了原樣
[22:21] 財富並沒有增加
[22:23] 這個叫做破窗謬誤
[22:24] 不要把損失當成增長
[22:26] 不要把股票的自由交流的流動性
[22:29] 當成真實經濟的成長
[22:32] 它只是讓資金效率更高
[22:34] 也不要把忙碌當成繁榮
[22:36] 基本上資本市場的這種流通
[22:39] 它只是某種程度的資金效率提升
[22:42] 但是真實讓人類有進一步的幸福感
[22:45] 那當然是AI
[22:46] 是生產力
[22:47] 才能夠讓我們的物質生活明顯的提升
[22:49] 股價漲再多
[22:50] 投機再多
[22:51] 只是反映貨幣面
[22:52] 通膨至少也會跟上來
[22:54] 只有AI成真了
[22:55] 我們才真的可以迎來物質上的進步
[22:58] 我們的財富才會增加
[22:59] 我們的生活才會真的過得更好
[23:02] 對沒有笑話
[23:03] 我們是很正經的財經節目這個道理也給投資朋友做一些思考好我們往下看沒有股市四大指數道瓊指數上漲515點1.05%刷49407點標普上漲37點
[23:14] 0.54%
[23:15] 刷6976點
[23:17] 那薩克指數上漲130點
[23:18] 0.56%
[23:19] 刷23592點
[23:21] 非半上漲136點
[23:23] 1.7%
[23:24] 收在8134點
[23:26] 那其實全球股市到現在
[23:28] 就算截止到昨天
[23:30] 因為現在反彈了嘛
[23:31] 在昨天為止
[23:32] 全球股市也沒有跌多重
[23:34] 我們如果細看
[23:35] 在今年以來
[23:36] 費辦還是上漲了10.4%
[23:38] 臺股上漲7.7%
[23:40] 新加坡海峽指數上漲5%
[23:42] 道瓊2%
[23:43] 標普1.72
[23:45] 恒生指數1.6
[23:47] 瑞金二五指數1.5
[23:49] 納指1.5
[23:50] 那唯一收跌的是上證
[23:52] 小跌0.19%
[23:54] 所以其實全球股市到目前為止
[23:56] 整體賣壓其實也沒有想象中
[23:59] 來得這麼沉重
[24:00] 昨天台北股市跌439點
[24:02] 都還是守住月線
[24:03] 那現在500點以內都算正常波動了
[24:06] 成交量也不大
[24:07] 7404億
[24:08] 重點在於昨天外資賣了480億億
[24:12] 其實這樣的一個跌點也還好
[24:14] 投信反而買超了
[24:16] 我們要知道
[24:16] 這幾年基本上市場上出現了比較顯著的變化
[24:20] 那就是投信從今年以來沒有買過
[24:23] 是昨天才第一天買
[24:25] 那也很神奇
[24:27] 那反而如果我們細看
