[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 可是呢他又没有造成全面性的系统性的飙升
[07:21] 你看这一波的底部形成
[07:23] 它花的时间也很久
[07:25] 花了接近一整年
[07:26] 但是可以观察到
[07:28] 实质上
[07:29] 微软这一波股价的大幅拉升
[07:31] 它也彻底的脱离了过去的平台区
[07:34] 那就看一下
[07:35] 何时可以开始
[07:36] 重新的挑战历史新高
[07:37] 你说可是辉达
[07:39] 现在好像股价反而变不动了
[07:42] 那老黄叶是吃太饱吗
[07:44] 那躺在地上现在动不了
[07:45] 很正常啊
[07:46] 他都已经市值第一名的企业了
[07:48] 他不涨啊
[07:49] 他的资金体可以让好多股价进行做显著轮动了所以废办啊现在涨幅来的这么夸张是不是泡沫呢我们从EPS本季度所公布的财报其实已经看出来了卖产值的肯定没泡沫
[08:02] 重点是买产值的嘛
[08:04] 卖产值的现在2025年
[08:06] 55家重要的半导体产业获利
[08:08] 在去年是成长72%
[08:10] 今年EPS看起来成长会速度更快
[08:14] 撇开废办
[08:15] 我们就只看前55家
[08:16] 大概会暴增148%
[08:19] 这种指数型的获利的爆发
[08:21] 从前瞻本一笔来看
[08:23] 很快就进行显著的下压
[08:25] 换句话说
[08:26] 现在从产业结构来看
[08:28] 整个费办的获利成长
[08:29] 大概来自于两大力量
[08:30] 第一就是记忆体厂商
[08:32] 包括美光SK海力士等HBM的供应商
[08:36] 第二是晶片设计公司
[08:39] 比如说辉达超维和博通
[08:40] 相对之下
[08:41] 传统的PC智慧型手机
[08:43] 汽车电子市场的重要性
[08:45] 反而正在下滑
[08:47] 所以它就会形成
[08:48] 即便今年PC和手机卖的不是很好
[08:51] 它应该也不会影响到
[08:53] 今年整体废办的获利表现
[08:56] 所以当然了
[08:57] 这种行情就是赌轮动
[08:59] 有的人赚的多
[09:00] 有的人赚的少
[09:01] 现在有很多人在秀对账单
[09:03] 有的人在晒对账单
[09:05] 有的人在晒房
[09:06] 有的人在晒车
[09:08] 晒名表都不为过
[09:09] 有本事中午出来晒太阳
[09:12] 大家都忘记睡公园的感觉了
[09:14] 可是市场上
[09:15] 当然更进一步聚焦的
[09:17] 是那什么样的一个条件
[09:19] 会导致接下来的缺料情况
[09:22] 来得更为严重
[09:23] 缺料缺得越严重
[09:24] 涨价潮就越显著
[09:26] 涨价潮越显著
[09:28] 世大世界SBS的资本支出越高
[09:30] 那他们能够承受得住吗
[09:32] 所以我们要从两层角度来做观察
[09:34] 第一AI缺钱
[09:35] 第二缺料
[09:37] 第三缺电
[09:38] 最后缺新的伦理的法律观
[09:41] 那缺乏这些条件的情况底下
[09:43] 它到底助长的是一个更进一步的泡沫
[09:46] 还是反而让市场估值有更进一步限缩的空间呢
[09:49] 毕竟如果什么都在涨
[09:51] 那我也不可能当凯子什么都买嘛
[09:53] 毕竟四大世界市毕业者的口袋里的钱也是钱啊
[09:57] 所以我们要如何来看待接下来修正的契机呢
[10:00] 也许从这些角度而言
[10:01] 形成估值回调的理由就特别重要了
[10:04] 首先我们先讲缺钱
[10:05] 过去我们提过
[10:06] 由于AI这一次的狂潮
[10:08] 已经从股票市场蔓延到信用市场和延伸性商品
[10:12] 现在呢
[10:13] 全四大世界市毕业者
[10:15] 为了要买GPU
[10:16] 建电网
[10:17] 还有千长期能源合约
[10:18] 已经累积超过
[10:19] 2500亿美元的债务
[10:21] 那预估到2030年
[10:23] 全球的AI基建投资
[10:25] 可能会高达
[10:25] 接近5兆美元
[10:27] 那问题来了
[10:28] 过去我们提过
[10:29] 由于这些公司
[10:30] 实在借太多钱了
[10:31] 所以很多华尔街银行
[10:33] 自己的风险额度
[10:33] 也快要爆掉了
[10:34] 那就被迫要开始
[10:35] 大量的购买CDS
[10:36] 信用违约交换
[10:37] 来帮自己避险
[10:39] 所以银行现在是
[10:40] 一边借钱给AI巨头
[10:41] 一边偷偷帮自己买保险
[10:43] 但是我们知道
[10:44] 它借的钱有点多了
[10:45] 第二个是垃圾债市场
[10:47] 开始受到压力
[10:48] 我们根据瑞银的报告
[10:49] 美国高收益债的违约回收率
[10:51] 已经从前51%
[10:53] 前一年的51%
[10:54] 下滑到现在35%
[10:56] 这是疫情以来的最低
[10:57] 回收率就是公司倒闭之后
[10:59] 债权人最后能够拿回多少钱
[11:01] 回收率的恶化
[11:03] 其实就意味着
[11:03] 虽然我们知道
[11:04] 这些大企业还钱没有问题
[11:06] 可是越来越多小企业不还你钱
[11:09] 这其实就说明着
[11:11] 接下来再放款给中小型企业
[11:13] 这些银行会来得更为保守
[11:15] 大则很大
[11:16] 我竟然把你的钱
[11:17] 存款都已经借给大巨头了
[11:19] 那你们这些小厂商来借钱
[11:21] 肯定要负担更高的利率
[11:23] 更少的融资额度
[11:24] 再加上现在
[11:25] AnswerPi估值已经冲上9650亿
[11:28] 哇超越OpenAI了
[11:30] 登上王座
[11:31] 这就说明着
[11:32] SpecX接下来上市以后
[11:34] 先抢了一批钱
[11:36] 然后全球的七巨头产生轮动
[11:38] 又抢了一批钱
[11:39] 接下来AnswerPi上市以后
[11:41] 要抢更多钱
[11:42] OpenAI现在反而变成估值最低了
[11:45] 你就知道下半年的抢钱大作战压力有多大
[11:48] 所以这个是市场上
[11:49] 第一我们看到在今年很快就会出现下半年的缺钱窘境
[11:54] 有些企业会被剔除到期去投资外
[11:57] 有些企业会被剔除到标普白指数之外
[11:59] 毕竟这三家企业一上市以后
[12:02] 一堆企业可能都被迫予以剔除
[12:05] 大家都挫了一蛋
[12:06] 所以市场上抢钱的需求来的是越来越高了
[12:09] 那当然了
[12:10] IPO机制最有趣的地方
[12:12] 它就是一种风险的转移机制
[12:13] 创业初期
[12:15] 尤其公司烧的人是创办人的时间
[12:17] 烧的是投资人的资金
[12:19] 做对了自己赚
[12:20] 做错了自己扛
[12:21] 那真正就是一人做事一人当
[12:23] 当公司上市以后
[12:25] 情况反而就不一样了
[12:26] 你有少数股东承担的风险
[12:28] 开始分散到数万数十万
[12:31] 数百万名的投资人身上
[12:32] 这个就是IPO市场吸引人的地方
[12:34] 所以IPO本质就是
[12:36] 一人做事一人当
[12:37] 变成多人做事多人当
[12:40] 当然如果G7一月最后创造的价值
[12:43] 大家一起分享成果没有问题
[12:44] 但现在的问题就是在于
[12:46] 他们的估值其实都蛮高的
[12:48] 所以这就结论
[12:49] 一人做事一人当
[12:50] 多人做事多人当
[12:52] 两人做事擎天罡
[12:54] 但不管怎么说
[12:56] 接下来这一波的散户狂潮
[12:58] 是能否承接本轮缺钱潮的重要观察重点
[13:02] 第二个是缺料
[13:04] 我们知道现在记忆体的需求几乎已经爆掉了
[13:07] 深色性是传统伺服器
[13:09] 浅色线式AI伺服器
[13:11] 重点不是谁取代谁
[13:13] 两边现在都在暴增
[13:14] 基本上市场的需求
[13:17] 全面抢货朝底下
[13:18] 整体Netflash价格变动幅度
[13:21] 大概是接近300%到400%左右
[13:24] 到今年二季度的时候
[13:25] 这也使得到处都在缺货
[13:27] AI基础建设的投资焦点
[13:29] 从一开始是缺GPU到HBM
[13:31] 到资料中心到电力设备
[13:34] 现在继续往更上游
[13:35] 更不起眼的零组件来扩散
[13:37] 像上礼拜五
[13:38] 引起市场震撼的
[13:39] 就是高盛推出的报告
[13:40] 下一个可能出现供不应求的
[13:43] 关键零组件
[13:44] 就是多层陶瓷电容MLCC
[13:47] 也就是我们讲的被动元件
[13:48] MLCC晶片旁边的高速微型电池
[13:52] 可以在AI伺服器运算当中
[13:54] 瞬间稳定电流
[13:55] 吸收电压的波动
[13:57] 过滤电子杂讯
[13:58] 现在AI的晶片功耗越来越高
[14:00] 一座先进的AI伺服器的机轨
[14:02] 它可能要60万颗MLCC
[14:04] 原本算是不起眼的小零件
[14:07] 现在变成仅次于GPU和记忆体
[14:10] 第三大涨价项目
[14:12] 当然高阶的MLCC
[14:14] 主要是掌握在日商或韩商
[14:16] 像春田制作所和三星电机
[14:19] 这些少数的厂商当中
[14:21] 现在他们的产能
[14:22] 大概一年成长一成
[14:24] 可是现在我们预估
[14:26] 未来五年要成长四倍
[14:28] 年复合成长大概是34%
[14:30] 应该是完全赶不上
[14:32] 而且这些厂商
[14:33] 也没有任何扩展的计划
[14:34] 那你说跟国际做的有关吗
[14:36] 当然有关
[14:37] 不过要注意的事情是
[14:38] 高盛这一波点名的
[14:39] 比较是属于高阶高容量的NRCC
[14:42] 主要还是以日本厂商为主
[14:44] 可是这就说明着
[14:45] 整个缺料所造成的市场价格炒作
[14:48] 基本就会让这些四大CSP页者
[14:51] 花同样的钱
[14:52] 买到的东西越来越少了
[14:54] 我们过去才所提过
[14:56] 这一次虽然产品不断的迭代更新
[14:59] 最新的Vera Rubin AI机柜
[15:01] 是780万
[15:03] 相对于GB300
[15:04] 只要400万
[15:05] 翻了接近有一整倍
[15:06] 那过去我们也提过
[15:08] 几乎内部的所有零组件
[15:10] 全部都在上涨
[15:11] 那这效能的提升
[15:12] 是否能够cover
[15:14] 所有这些内部成本的价格上涨呢
[15:17] 毕竟已经翻了一整倍
[15:18] 你买笔电
[15:19] 你去年买的是买5万
[15:20] 今年买10万
[15:21] 功能变好就算了
[15:23] 但值这个价吗
[15:24] 这就是我们看到
[15:25] 现在市场上最大的一个问题
[15:27] 当然它最后也形成了
[15:28] 终端价格的上涨
[15:30] 毕竟把PC
[15:31] 把手机的产能全部都抢走了
[15:33] 手机笔电价格
[15:35] 今年看起来是涨定了
[15:37] 平均涨幅大概15%到20%左右
[15:39] 再来就是我们看到的缺点
[15:41] 我们知道现在AI资料中心
[15:43] 因为在吞噬电网
[15:44] 未来三分之一的商业用电
[15:46] 都必须要拿去养AI在今年我们看到资料中心的建制量已经正式超过了商办的建制量到了2050年根据EIA美国能源资讯署的预测
[15:57] 现在资料中心大概会占掉
[15:59] 全美商业建筑22%到30%左右的用电量
[16:03] 那这么高强度的用电量
[16:05] 基本就意味着电网和能源设施
[16:08] 很大的几率可能会完全赶不上
[16:11] 所以美国电价现在是2026年最大的选举炸弹
[16:14] 为什么
[16:14] 你像维吉尼亚州
[16:16] 跟邻近的州
[16:17] 不断的争吵
[16:18] 就是由于大家资料中心建制不同
[16:22] 有的在我州的边界
[16:23] 有的明明就建在你家
[16:25] 对于你的就业贡献来得更大
[16:27] 但是却用到我家的电网
[16:28] 大家就开始互相指责
[16:30] 所以川普已经很明显表态了
[16:32] 任何资料中心旁边要制建天然气厂
[16:35] 你就直接挖天然气
[16:37] 或者说你直接载天然气
[16:39] 到你的资料中心旁边去烧
[16:41] 你不要在当地的电网造成负荷
[16:43] 要不然到时候大家指责我们共和党
[16:46] 这就是我们看到的实质压力
[16:48] 上礼拜大家也有看到
[16:49] 有记者提问说
[16:50] 台湾政府宣称2034年前
[16:53] 供电无语
[16:54] 然后问Jensen
[16:55] 问黄仁勋他的看法
[16:56] 他也没有明确反对
[16:58] 他也只是停顿之后
[16:59] 然后简单回了一句
[17:01] maybe
[17:01] 记者就继续问他
[17:04] 是否代表台湾需要更多能源供应的时候
[17:07] 他又回一个maybe
[17:08] 现场一度沉默
[17:11] 也引发很多外界的讨论
[17:12] 他其实背后讲的就是
[17:14] 全球AI
[17:14] 共同所面临的现实挑战
[17:16] 那就是我们现在到底
[17:18] 缺电缺的是
[17:19] 盖那个晶圆厂的用电
[17:21] 盖GPU的用电
[17:23] 还是我们缺的是
[17:25] 资料中心的用电
[17:26] 如果不盖资料中心
[17:28] 我们只生产冷气的话
[17:29] 用的电需要这么多吗
[17:31] 但是如果我们要做资料中心
[17:33] 现在是不是电
[17:34] 就一定不够了呢
[17:35] 这就是不同逻辑
[17:35] 我们看一下画面
[17:42] 保持我們最頂級的狀態
[17:45] 台灣需要更多能量
[17:49] 政府說我們有足夠能量
[17:54] 供應到2034年
[17:56] 也許
[18:00] 所以我們還需要更多能量
[18:02] 也許
[18:04] 我們需要能量來建設晶片
[18:07] 包裝工具
[18:08] 電腦工具
[18:10] 我們需要在台灣設立AI資訊中心
[18:14] 台灣不僅要設立AI電腦給其他人
[18:19] 台灣也應該使用AI
[18:22] 台灣每個年輕人都應該使用AI
[18:26] 每個大學、每個公司、每個業界都應該使用AI
[18:31] 這就是我們可以使用台灣的超級技術
[18:35] 在台灣建立的技術
[18:38] 我們自己使用
[18:39] 如果我是中央社的记者
[18:42] 我都要哭了
[18:43] 本来想说
[18:44] Jensen还真体贴
[18:46] 还帮我拿麦克风
[18:47] 结果被当成指挥棒
[18:49] 没收到音
[18:51] 又收到了
[18:52] 又没收到音
[18:53] 又收到了
[18:53] 这下媒体朋友记得
[18:55] 以后千万不要给他拿到麦克风
[18:57] 有时候远远的
[18:59] 至少还可以收到音
[19:00] 然后到时候再强化
[19:02] 把它降噪就好了
[19:03] 那一下近一下远
[19:04] Jensen想要当乐团指挥是不是
[19:07] 那不是重点
[19:08] 重点是
[19:09] 他讲maybe
[19:10] 那的确啦
[19:11] 这次我们讲AI能耗的时候
[19:13] 其实是两种不同的概念
[19:14] 刚才提到
[19:15] 第一个是硬体制造阶段的隐含能耗
[19:18] 就是从晶片生产到封装
[19:20] 到伺服器组装
[19:21] 到资料中心建制所消耗的能源
[19:23] 那另外一种是运行阶段的运营的能耗
[19:27] 也就是GPU24小时训练模型
[19:29] 推理服务和散热所需要的电力
[19:32] 那两者都会有足够的
[19:34] 或者说需要的供给电力的上升
[19:36] 那其实各国本来就在
[19:38] 扩展稳定的供应
[19:39] 那是否要加强速度
[19:41] 差别就在于
[19:41] 到底制造冷气
[19:43] 跟每天吹冷气的用电量
[19:46] 是否一样
[19:46] 当然我们知道
[19:48] 按照目前中央政府的规划
[19:50] 这个2030年的说法
[19:52] 它的概念可能比较偏向于
[19:53] 如果我们只是要生产足够的GPU
[19:56] 按照我们跟台积电本身的预测
[19:58] 来看的话
[19:59] 它不会立即压迫到当前的用电需求
[20:01] 当然往个反方向想
[20:03] 如果就如同Jensen所说
[20:05] 如果台湾要盖大量的AI资料中心
[20:07] 我们也要自己运算
[20:08] 那个电量也许就不太一样了
[20:11] 所以我觉得
[20:12] 基本上就是大家所谈的概念
[20:14] 稍微进行区分就可以了解
[20:15] 那个区别在于哪里了
[20:17] 就是我们除了做GP以外
[20:20] 我们是不是也要自己
[20:21] 大力的发展资料中心
[20:23] 这是一个可以观察的课题
[20:24] 当然那个maybe
[20:25] 也不一定是质疑
[20:27] 它只是对于未来不可控的
[20:28] 一种描述而已
[20:29] 有时候大家也太敏感了
[20:30] 况且他也没有指责谁
[20:32] maybe这个词也很中性的
[20:34] 他也没有否认对方
[20:36] 我以前大学跟女同学要个电话
[20:40] 之后我们一起吃个晚饭看星星
[20:44] 他也是回我maybe
[20:45] 我一直以为他的意思是那首歌
[20:47] But he's my number
[20:49] So call me maybe
[20:51] 虽然是maybe
[20:52] 但他最后也没有回我电话
[20:53] 所以maybe有很多意涵
[20:55] 大家也不要过度解读
[20:57] 当然自从Jensen提以后
[20:59] 我们看到伪创的林先民董事长
[21:02] 他本身也做了一些谈话和发表
[21:04] 他也提到AI热潮底下
[21:06] 全球的科技产业高速成长
[21:08] 台湾的确也呼吁政府
[21:10] 思考电力的需求成本
[21:12] 需求曲线
[21:13] 当然本身的概念就来自于
[21:16] 因为伪创要规划第二座的算力中心
[21:19] 就在台北了
[21:20] 但是因为电力供应的限制
[21:22] 最后改到台南沙伦来落脚
[21:23] 这其实就意味着AI竞赛
[21:25] 我们一开始比的是技术
[21:27] 比的是资本
[21:28] 但是后续我们开始比能源基础建设
[21:31] 我们也要开始打造自己的主权AI
[21:33] 所以才会有不同的分歧
[21:35] 伪创也是很敢
[21:37] 一方面也给予能源指导
[21:39] 另外一方面
[21:40] 听说这两天还得罪富邦球迷
[21:43] 人家只是去迁道好不好
[21:44] 没有立场的
[21:45] 好但不管怎么讲
[21:46] 我们看到一系列的市场压力以后
[21:49] 全球的缺电需求来得越来越显著
[21:51] 如果缺电
[21:52] 那算力就无法如期的建成
[21:55] 算力无法如期建成
[21:57] 算力就无法攻击过剩
[21:58] 那无法攻击过剩就没有立即泡沫
[22:00] 可是它就变成了估值回调的理由
[22:02] 所以我们看到
[22:03] 不管是缺水
[22:04] 缺电
[22:05] 缺料
[22:05] 这些缺的根本是什么
[22:07] 就是它不会形成泡沫
[22:09] 因为你根本就不够形成供给过剩
[22:11] 但它的坏处是什么
[22:13] 它会让股市
[22:14] 终究有一个估值的回调
[22:15] 告诉你
[22:16] 我们无法在2030年之前
[22:18] 建那么多的资料中心
[22:20] 这个就是让市场估值
[22:21] 不要过度投资的原因
[22:23] 当然了
[22:23] 我们也知道
[22:24] 目前中央政府
[22:25] 一方面在能源政策
[22:27] 有比较大的一个转向
[22:28] 政策目前还是属于短增器
[22:30] 中强网
[22:31] 长绿能
[22:32] 那高度仰赖化石燃料
[22:34] 这次在伊朗战事
[22:35] 也做了比较大的国安的调整
[22:37] 我们知道现在
[22:38] 应该天然气和石油
[22:40] 美国和澳洲
[22:41] 已经是台湾最大的进口国
[22:43] 那卡达的部分
[22:44] 以及整个中东地区的石油进口
[22:46] 占比正在大幅度的下滑
[22:48] 必须承认
[22:49] 那某种程度上
[22:51] 中央政府跟许多支持者
[22:54] 对黄文勋的看法
[22:56] 心情
[22:57] 就是带着一种又爱又恨
[22:59] 爱的就是
[23:00] 他的确是为台湾争取
[23:02] 最多国际能见度的企业家
[23:04] 从AI到半导体
[23:05] 每次他回来
[23:06] 都是替台湾产业加分
[23:08] 但是恨的就是
[23:10] 也没办法完全配合政治叙事
[23:12] 讲一句maybe这样子
[23:14] 所以有时候我在想
[23:16] 有时候中央政府看Jensen
[23:19] 就有点像周美清看金浦聪
[23:23] 我们都是为了英九
[23:25] 也都是为了建设台湾
[23:28] 你好像不太给我面子
[23:29] 大家其实都站在同一个阵线
[23:32] 也都认为自己在为共同的理想努力
[23:35] 有时候相处起来
[23:36] 就是会有点别扭
[23:37] 这例子举的不好
[23:41] 好险我们早上直播人数不多只有200人大家忘掉赶快忘掉待会再请小编剪掉剪掉浩哥越来越会说话了是不是很怕得罪群体
[23:53] maybe
[23:55] 好
[23:56] 那我们回过头看
[23:57] 美股市四大指数
[23:58] 道琼指数上涨363.0.72%
[24:02] 收在51032点
[24:04] 标普上涨16.0.22%
[24:06] 收在7580点
[24:07] 纳指上涨55.0.21%
[24:10] 收在26972点
[24:12] 费办几乎持平
[24:14] 收在12,829点
[24:16] 整个加权指数的部分
[24:17] 现在已经占上了45,000点
[24:19] 收在45,210点
[24:21] 我们就稍晚来看一下
[24:23] 接下来Computax
[24:24] 黄仁勋的演讲
[24:26] 会如何提到
[24:27] 这是他最新所推出的PC
[24:29] 当然我们也要宣传
[24:30] 本周六就是我们
[24:32] 财经号角第三季的听友会
[24:34] 每个季度我们都会针对
[24:35] 当前行情来做一些推演
[24:37] 也会针对过去一个季度的资产操作
[24:39] 和行情判断来做检讨
[24:40] 直播主要是分享一些市场动态
[24:43] 但大多数的操作
[24:44] 按个人实际观点
[24:45] 会在我们的会员系统当中来做分享
[24:47] 短期波动会变来变去
[24:49] 但长期一定会依循着某些规律
[24:51] 大家看完Computex以后
[24:53] 再来依循着我们的周期角度
[24:55] 来看待自己的资产配置
[24:57] 欢迎大家来参与
[24:58] 或者对我们内容有更多兴趣
[25:00] 也可以加入我们的网站来下取订单
[25:02] 参加一年期的订阅收听权
[25:04] 里头除了有一整年的订友会收听权
[25:07] 也会有资产部位的周期
[25:08] 一些专题影片和宏观
[25:10] 报告课程
[25:11] 刚才提到的
[25:12] 缺料
[25:13] 缺电
[25:14] 缺能源
[25:15] 接下来缺的是什么
[25:16] 缺的其实是
[25:17] 新的伦理的法律观
[25:19] 我们想想看
[25:20] 现在AI的快速发展底下
[25:22] 谁该为错误负责呢
[25:24] 监管的真空正在形成
[25:26] 人工智慧
[25:27] 现在已经快速的进入到
[25:28] 医疗 金融 教育 就业
[25:30] 公共服务
[25:30] 好 问题来了
[25:31] AI系统上
[25:32] 我们必须承认
[25:33] 它是一种责任模糊
[25:35] 甚至是无责任的状态
[25:37] 技术发展的速度
[25:38] 如果超过法律和监管的制度
[25:40] 那大量的重要决策
[25:42] 由演算法来执行
[25:43] 相关的问责机构
[25:44] 没有建立完成的话
[25:45] 就会形成骗物
[25:47] 我们以医疗为例
