[00:00] 投资品欢迎收听早晨财经速解读
[02:44] 所以美国在昨天是否认了军舰招收到供给
[02:47] 而且已经正式派取军舰来进行护航
[02:50] 那现在主要是针对美国船只
[02:52] 其实目前在荷姆兹海峡里头
[02:55] 虽然前阵子你看
[02:56] 有很多台湾的游轮也逃出来了
[02:59] 目前大概还是有接近1000艘的游轮
[03:02] 大概是2万名船员受困在波斯湾
[03:05] 那美国现在是计划动用飞弹驱逐舰
[03:08] 超过百架的飞机
[03:09] 还有1.5万名军力来介入护航
[03:12] 但实际的执行方式还不是特别明朗
[03:15] 看起来主要优先通过的是属于美国船只
[03:18] 那美方呢是建议改走阿曼领海的航线
[03:21] 并与当地单位来做协调
[03:23] 以避开伊朗声称已经布雷的主要航道
[03:26] 然而呢航运业者对于一旦发生攻击
[03:29] 美军是否会直接介入啊仍然存疑
[03:32] 那美国只说会开始有稳定的护航
[03:34] 但是不太可能每一艘都在你旁边伴随着你嘛
[03:38] 在这样的一个效果底下
[03:39] 目前荷姆斯海峡的能源航道
[03:41] 从实质运量来看仍然是接近零哦
[03:45] 其实在当时4月16号
[03:47] 一度一天通过20艘到25艘左右
[03:50] 现在又重新归零
[03:51] 其实会发现大多数船只
[03:53] 还是没办法顺势的出来
[03:55] 那对于伊朗来说
[03:56] 伊朗现在正在用的是
[03:57] 借由减产和拖时间
[03:59] 来对抗美国的能源战
[04:02] 我们知道伊朗的原油出口
[04:03] 最近过去一段时间
[04:05] 其实也慢慢下滑了
[04:07] 库存也开始升高了
[04:08] 因为美国现在也封锁了
[04:10] 伊朗的原油出来
[04:11] 但是它也并不是单纯的被动崩溃
[04:14] 开始有了策略的调整
[04:15] 川普是希望透过打击石油收入来逼伊朗让步
[04:19] 但是德黑兰目前采取的做法
[04:22] 包括安全的关闭油井
[04:24] 避免油厂的损害
[04:25] 以及快速恢复产能技术
[04:27] 这些是过去他常年就被制裁
[04:30] 在冲突当中所累积的经验
[04:32] 所以现在最直接的做法就是
[04:34] 伊朗用时间换空间
[04:35] 一方面用海上邮轮作为浮动的除油槽
[04:38] 目前大概已经存了数千万桶的库存
[04:41] 所以也不能说没有压力
[04:43] 但至少短期上
[04:44] 他仍然有谈判的筹码
[04:46] 那另外一方面
[04:47] 持续维持最低限度的产出
[04:49] 避免系统完全的停摆
[04:51] 那大概预估伊朗会在一个月内左右
[04:54] 才会面临到储存的极限
[04:56] 大概要到五月底左右
[04:58] 才会全面形成压力
[05:00] 所以看起来谈判还是迟早要谈的
[05:03] 那只是说双方正在持续握有更多的筹码
[05:06] 只不过呢
[05:07] 在筹码的交换过程当中
[05:10] 其实川习会准备要上路了
[05:12] 等于是川普要同时处理中东问题
[05:15] 要处理跟中国新一轮的贸易协议
[05:17] 那全球的航运目前也逐步的绕开
[05:20] 和武之海下
[05:21] 供应链进行重组
[05:22] 我们过去提过
[05:23] 你像我们这种科建乐观论者
[05:25] 某种程度也是地缘政治乐观论者
[05:27] 就觉得我们疫情都熬过来了
[05:30] 我们21年22年半导体的锻炼
[05:32] 我们全世界各大原物料的锻炼
[05:35] 我们都经历过了
[05:36] 这场战争难道全球没有任何能力
[05:40] 只能承受吗
[05:41] 所以我们看
[05:42] 现在全球航运
[05:43] 陆续以避开核母资
[05:45] 作为主轴
[05:46] 改写新的供应链
[05:47] 那这样的一个绕道模式
[05:49] 当然代价就是运输时间会拉长
[05:51] 你像地中海航运
[05:53] 改采海运和陆运的混合模式
[05:55] 船只从欧洲出发之后
[05:57] 直接从苏伊士运河进入到红海
[05:59] 停靠在沙尔地阿拉伯的西岸港口
[06:02] 然后就载着卡车
[06:03] 横跨1300公里到东岸
[06:05] 再由小型支线的船
[06:07] 运送到波斯湾的各大港口
[06:09] 这一条路线
[06:10] 就是用陆地加上原本的海运
[06:12] 新一轮的组合
[06:14] 当然这就代表着成本上升
[06:16] 碳排增加
[06:18] 但这就是一个新的物流的结构的重组
[06:21] 所以这一次对于波斯湾国家是真的很伤
[06:23] 因为很多的航运业者
[06:25] 很多的班机
[06:26] 很多的布局
[06:27] 很多的房地产市场投资
[06:29] 它都转向了一个新的格局
[06:32] 毕竟大家已经开始作为长期打算了
[06:35] 而且我们也知道这段时间
[06:38] 其实很多国家原本所遭受的制裁
[06:40] 都陆续进行松绑
[06:42] 我们举例来说
[06:42] 最近美国开始针对委内瑞拉
[06:45] 进行一系列的松绑
[06:46] 主要就来自于
[06:47] 委内瑞拉现在其实还算是一个
[06:49] 政治补位的过程
[06:51] 你要说跟美国的关系好到什么程度
[06:53] 其实也没有
[06:54] 但是委内瑞拉的出口
[06:56] 已经回升到每天100万桶了
[06:59] 现在是全球能源的重要补位来源
[07:02] 那这一个变化就在后马杜罗时代
[07:05] 马杜罗现在还关在监狱里头
[07:06] 但是呢
[07:07] 新任总统目前进行产能的重新释放
[07:10] 瓦解了目前的供给压力
[07:12] 另外一方面
[07:13] 川普也对于俄罗斯进行进一步的松绑
[07:16] 所以原本被制裁的国家
[07:18] 目前都在帮助全球原油供给能够持续扩增
[07:21] 这个是我们看到中东问题的冲击
[07:24] 可是就如同我们刚才所说的
[07:25] 现在看起来只要非但不要达到足壳都没事
[07:28] 油价持续扰动市场
[07:30] 但是AI还是撑住了多头
[07:32] 我们如果回过头看
[07:33] 市场的主线还在AI
[07:35] 这波反弹背后
[07:36] 当然是企业获利普遍优于预期
[07:38] 而且算是近年最亮丽的一个季度之一
[07:41] 科技股还是现在主导的力量
[07:44] 你像台积电
[07:45] SK海力是晶片股
[07:46] 目前持续带动亚洲市场
[07:48] 昨天持续创高
[07:50] 那回过头说
[07:51] 现在市场的结构等同于三层错位
[07:53] 第一层是油价
[07:55] 中东冲突
[07:56] 供给链受损的情况底下
[07:58] 现在股市并没有同步的反应
[08:00] 资金认为油在涨
[08:02] 股造涨
[08:03] 股市跑赢油市
[08:04] 我投资人就不是特别担心
[08:06] 那第二层呢是美国经济
[08:07] PNI现在数据公布出来了
[08:09] 还在扩张区间
[08:10] 但背后却是提前备货
[08:12] 价格飙升
[08:13] 你也不能期待
[08:14] 油价一路涨下去
[08:16] 这些生产者一点成本压力都没有
[08:18] 不太可能吧
[08:19] 他始终要反映的
[08:21] 第三层是台湾
[08:22] PNI和出口受到AI的带动强势
[08:25] 他已经把内需
[08:26] 把薪资
[08:26] 把多数产业全部压过去了所以体感怎么样都不重要了反正数据上一定很热那这三个角度叠加在一起是不是代表着市场其实是有风险的
[08:38] 但是呢被某些势头给盖过去了
[08:41] 今天来跟投资朋友做些观察
[08:43] 首先我们看的是美股
[08:45] 现在标普派指数在连续创高之后稍微拉回
[08:48] 可是资金行为还是有比较明显的背离现象
[08:50] 我们看对冲基金其实已经连续三周减码美股了
[08:54] 甚至把北美股票的配置
[08:56] 降到历史低点
[08:57] 那会不会这一波对冲基金错了呢
[09:00] 特别是在科技股领域
[09:01] 过去两周出现了过去十年来
[09:04] 最大规模的去杠杆操作
[09:06] 那当然了
[09:07] 很多人这样子一想
[09:08] 那是不是有戏了
[09:10] 因为他居然在股市创新高的过程当中
[09:13] 对冲基金大幅度的降杠杆
[09:16] 这不代表会跌了
[09:17] 但是说明着
[09:18] 他不太愿意在这个时间点赌更大
[09:21] 然后这是我们观察到的
[09:22] 第一个市场的心理情绪现象
[09:24] 那第二个现象是来自于
[09:26] 市场针对接下来的EPS成长幅度
[09:29] 开始跟资本支出的显著脱钩
[09:31] 我们知道目前资本支出的增幅
[09:33] 大概是70%到80%的速度增长
[09:36] 可是EPS的增幅
[09:38] 大概就是16%到20%的速度增长
[09:41] 所以获利是追不太上
[09:43] 目前资本支出的扩张幅度的
[09:45] 那现在我们看第一季26年
[09:48] 现在EPS已经公布的财报
[09:50] 年增幅大概是25%
[09:52] 这其实也就说明着
[09:54] 整体26年到27年
[09:56] 如果缓步的下滑
[09:57] 到11到12%
[09:59] 那你资本支出
[10:00] 如果明年还是花那么多
[10:02] 那其实就有点脱钩了
[10:03] 所以为什么我们讲说
[10:04] 股神巴菲特周末才会讲说
[10:06] 美国股市已经是
[10:08] 失去理性的赌场
[10:10] 不过既然是赌场
[10:12] 那应该去找赌神
[10:14] 就不能去找股神
[10:15] 问他的评论
[10:16] 所以可能要找周润发
[10:17] 比较适合
[10:17] 那当然巴菲特所看到的就是
[10:19] 这种金融化的市场操作
[10:21] 形成的趋势
[10:22] 那台湾人
[10:23] 台湾人现在也没有人在拜美国股神
[10:27] 台湾人都拜台湾的股神
[10:29] 姚慈基姆
[10:30] 我们看台股最近冲破了4万点大关
[10:33] 而且成功站上
[10:34] 而且这一次是5月首个交易日就强势爆发
[10:38] 不只是打破过去五穷六绝的市场迷思
[10:41] 还写下了多项记录
[10:42] 举例来说
[10:43] 昨天是单日大涨1700点
[10:45] 几个记录
[10:46] 第一个是盘中大涨1828点
[10:49] 历史最大盘中涨点
[10:50] 第二是收盘上涨1778点
[10:53] 历史最大单日收盘涨点
[10:55] 第三次加权指数
[10:57] 第一次首度站上
[10:58] 4万点大关来收市
[11:00] 第一次是台子期
[11:01] 收在41031点
[11:02] 创历史新高
[11:03] 那再来呢
[11:04] 是电子类股
[11:05] 涨了139点历史新高
[11:07] 所以我们从这些数据来做观察
[11:10] 包括台积电
[11:10] 联发科
[11:11] 台达电
[11:12] 同步的刷高
[11:13] 都似乎带动着
[11:14] 你看昨天三大法轮
[11:16] 合计买超也才780亿
[11:18] 那现在好像
[11:19] 以前买个五六百亿
[11:21] 七八百亿
[11:22] 那推动的点位也不过就是几百点
[11:25] 现在随随便便都可以涨千点
[11:26] 那就说明着
[11:27] 整个内资的个股的买盘
[11:30] 其实想象中还要来得非常强烈的
[11:32] 其实不知不觉
[11:33] 上市公司适时的排行榜
[11:35] 做了比较大的轮动
[11:36] 第一名一直都是台积电
[11:37] 可是现在第二名已经是台大电了
[11:39] 第三名变联发科了
[11:41] 鸿海已经落到第四名了
[11:43] 日月光后来追上第五名
[11:45] 所以在这样的一个效果底下
[11:46] 我们看很多基金经理人
[11:49] 现在叫做被迫式买盘
[11:51] 什么意思
[11:51] 就算你是主动型的
[11:53] 你都没有在卖股票的
[11:54] 为什么
[11:55] 因为钱一直进来
[11:56] 如果你是一个经营经理人
[11:58] 那你有最低持股限制吗
[12:00] 你钱一直进来
[12:01] 你规模一直扩大
[12:02] 你哪有时间换股操作
[12:05] 根本没时间卖股票
[12:06] 你要一直找新股票
[12:07] 最后就变成还有哪些没涨的
[12:09] 还有哪些没涨的
[12:10] 还是很有趣的观念
[12:11] 因为ETF的资金
[12:12] 正在以金人速度上行
[12:14] 我们现在如果是以六大头股来看
[12:16] 在昨天正式出炉报告
[12:18] 全面上看五万点
[12:20] 我们看如果细节
[12:21] 台新针对五月份高点是预估44000点
[12:25] 统一是43000点
[12:27] 富邦是41000点
[12:28] 华南41000点
[12:30] 兆丰大概就4万点
[12:31] 第一金投股40500点
[12:34] 那当然了
[12:35] 针对整个26年的高点
[12:36] 开始陆续调高
[12:37] 如果我们细看
[12:38] 现在统一来到6万点
[12:40] 群一来到5万点
[12:42] 富邦来到45000点
[12:44] 台新来到45000点
[12:45] 永丰43000点
[12:47] 兆丰来到5万点
[12:49] 所以我们看陆续的上行
[12:51] 某种程度都意味着市场针对当前油资
[12:55] 以及资金流入的信心拥有了支撑
[12:57] 认为只要每个月以这样的一个流量到年底
[13:01] 那么就会以内资的方式进行拉抬
[13:03] 这是在外资没有回补的情况底下
[13:05] 那到底内资真的有想象中来的乐吗
[13:07] 第一当然从ETF的募集规模就看得出来
[13:10] 那第二最新所公布
[13:12] 金环公布的证券开户人数突破了1420万人
[13:16] 这个单月份再度增加了10万人
[13:19] 创下历史新高
[13:20] 如果是以台湾2300万人来看
[13:23] 开户普及率大概是61%
[13:25] 等于每10个人就有6个人拥有股票账户
[13:27] 市场渗透率已经来到一个关键的门槛
[13:30] 在网上推
[13:31] 照来讲推不太动
[13:32] 不过现在年增幅还是很高
[13:34] 更值得注意的是投资族群的变化
[13:36] 目前我们看
[13:38] 感觉并不像是
[13:39] 原本常年在股市沙场的老散户们
[13:43] 现在决定要买ETF了
[13:45] 感觉不像是这样子
[13:46] 感觉更像是
[13:47] 新一代的年轻人
[13:49] 新一代的new rich
[13:50] 新一代的科技新鬼
[13:52] 0到19岁
[13:53] 目前成长幅度是最快的
[13:55] 一年内开户人数暴增了25%
[13:58] 也越来越多家庭
[13:59] 开始把投资当成理财工具
[14:01] 甚至为下一代来做布局
[14:03] 目前在市场上最为活络的族群
[14:05] 并不是想象中
[14:07] 50到60岁以上的高资产阶级
[14:09] 而是20岁到30岁
[14:11] 每天当充
[14:12] 充来充去
[14:13] 所以我们讲说
[14:14] 这台股有种姓制度
[14:16] 也要分个先来后到
[14:17] 现在台股叫第四大法人
[14:19] 俗称台股义和团
[14:21] 每天就伏击灭阳
[14:24] 神机护体
[14:25] 在这样的一个效果底下
[14:27] 新一代的投资人
[14:28] 他有稳健的一面
[14:29] 但是他也有乐观的一面
[14:30] 乐观的一面在于
[14:32] 他相信股市长期会创高
[14:33] 保守的一面是
[14:35] 我别用像过去的老散户们
[14:37] 玩个股冒这么大的风险
[14:39] 我就买ETF
[14:40] 那要如何买ETF
[14:42] 超越ETF报酬呢
[14:43] 放大杠杆
[14:44] 就如同昨天看到巴菲特所做的
[14:47] 放大自己的杠杆倍率
[14:49] 我们看最近券商
[14:50] 其实已经开始陆续收水
[14:51] 原因就是因为
[14:52] 当前的流动性压力越来越大
[14:54] 最近多家券商的股票值押额度
[14:57] 其实陆续都已经满水位了
[14:59] 我稍微问了一下
[14:59] 银行大部分还没有满
[15:01] 不过值押利率其实都开始提高了
[15:04] 很多券商甚至停止新增借贷
[15:06] 禁止借新还旧
[15:08] 并且要求到期必须要实质还本
[15:10] 那就关掉了过去
[15:11] 可以无限展延的杠杆模式
[15:13] 你要想想看以前
[15:14] 基本上你有个1000万股票
[15:16] 要贷个500万
[15:18] 0050贷个500万出来
[15:19] 应该没什么问题
[15:19] 有些券商可以贷到6成
[15:21] 500之后再贷250
[15:23] 250再贷125
[15:24] 125万再贷60万
[15:26] 一路贷贷贷
[15:26] 好那有些券商已经
[15:28] 停止采取这样的一个做法了
[15:29] 这就代表着
[15:30] 目前真正的方式
[15:32] 真正的风险在于连锁反应
[15:34] 如果杠杆使用率接近60%到70%
[15:38] 市场回挡两成
[15:40] 就有可能触及到维持率
[15:41] 可是呢
[15:42] 那大多数人的想法是
[15:43] 我买的是0050
[15:44] 要回当两成也不容易
[15:46] 按照现在台股的市况
[15:48] 所以就更愿意去投
[15:49] 那投了之后
[15:50] 值押利率就被迫拉高了
[15:52] 年轻人都把值押额度给借光了
[15:54] 那我们这些终身贷
[15:55] 准备要进场的时候该怎么办呢
[15:57] 所以我们看到
[15:58] 我最近问了几个银行业
[16:00] 目前房屋抵押贷款的额度
[16:02] 似乎上行幅度非常快
[16:04] 拿房子来抵押
[16:05] 本质就是用低利率杠杆去放大报酬
[16:08] 那的确
[16:08] 如果是以房屋抵押贷款
[16:10] 额度虽然也不一定想象中这么高
[16:12] 要看污龄
[16:13] 可是呢
[16:14] 整体而言
[16:15] 房贷利率并没有想象中还要来得高
[16:17] 那就形成了一个非常有趣的迹象
[16:19] 我们看在过去一段时间
[16:21] 其实央行的第七波信用管制
[16:23] 已经导致不动产贷款的年增
[16:25] 从原本最高接近9%
[16:27] 回到了3.74%
[16:29] 所以其实
[16:29] 现在房贷已经没有这么紧了
[16:32] 我稍微问了一下
[16:33] 大部分要买房的
[16:34] 尤其是首购主
[16:35] 几乎不会遇到任何的难关
[16:37] 好那就形成一个有趣的局面
[16:39] 就是要买房的
[16:41] 房屋抵押贷款的
[16:42] 房贷的这些额度都流进到股票市场了
[16:45] 也就代表着如果以更大宏观格局来看
[16:48] 房市降温多少
[16:51] 股市就上行多少
[16:53] 第一季的推案量
[16:54] 我们知道现在全台湾创下历史新低
[16:56] 只有248件
[16:58] 1.43万户总销金额只有2736亿所以过去动辄4500亿的推安量现在直接腰斩那这2000亿都出来去哪里了呢都回流到股市了
[17:10] 所以我们讲说
[17:11] 以前新清安有多疯
[17:13] 台股现在就有多疯
[17:16] 现在就有多疯
[17:17] 所以你可以看得出来
[17:18] 整个行情的演变
[17:19] 资金就不断的轮替
[17:21] 现在是台股的资金
[17:24] 不只是把以前受险的钱吸过来
[17:26] 银行的钱吸过来
[17:27] 现在也把房地产的钱给吸过来
[17:30] 甚至把房屋抵押贷款的资金
[17:32] 都吸进来了
[17:32] 那你说这有没有一点热情
[17:34] 当然我们不会硬要讲
[17:35] 这是插鞋桶
[17:35] 如果讲插鞋桶
[17:36] 那不是从一万两千点
[17:38] 插到现在四万点了
[17:39] 插鞋桶都变插鞋桶了
[17:41] 都已经开了十家分店了
[17:42] 可是至少可以看得出来
[17:44] 这新一代的投资人
[17:45] 他正在运用认为自己
[17:47] 相对保守的方式来放大杠杆
[17:49] 我就买大盘
[17:51] 你想把我洗掉吗
[17:52] 没这么容易
[17:52] 但是我适度放大杠杆
[17:54] 所以我要以此来超越大盘绩效
[17:56] 有这样的一个感觉
[17:58] 给投资朋友直接思考
[17:59] 好没有股市
[18:00] 道琼小跌557.1.13%
[18:02] 摔48941点
[18:04] 纳指下跌46.0.19%
[18:06] 摔25067点
[18:08] 标普下跌29.0.4%
[18:10] 摔7200点
[18:11] 费办下跌60.0.57%
[18:13] 摔在10534点
[18:15] 如果我们细看
[18:16] 其实从今年以来
[18:18] 涨幅最为亮丽的指数
[18:21] 还是韩国股市
[18:21] 涨幅有60%
[18:23] 费办涨幅有42
[18:24] 纳指涨幅38
[18:26] 日经涨幅14%
[18:28] 其实你可以看得出来
[18:30] 应该讲台股涨幅28
[18:31] 纳指涨幅7%
[18:33] 你会发现亚洲股市还有费办硬体股是带头冲的
[18:36] 如果是以今年3月底到现在为止
[18:39] 哇那这一段的报酬就真的很惊人了
[18:42] 一个月抵人家10年了
[18:45] 费办涨幅过去一个月报酬是47%
[18:47] 韩国股市过去一个月涨了3成1
[18:50] 台股涨了25%
[18:52] 纳指涨了20%
[18:53] 日经涨了14%
[18:55] 标普涨了13%
[18:56] 其他道琼上证
[18:58] 新加坡海峡指数是少数
[19:00] 比较没有什么波动的
[19:01] 但你会发现
[19:02] 这个过去左侧投资的逻辑
[19:04] 该来的总会来
[19:06] 投资不是在赌运气
[19:08] 是在验证你的逻辑
[19:09] 我们过去讲过
[19:11] 如果你的逻辑是对的
[19:12] 资产配置合理
[19:13] 风险管控到位
[19:15] 愿意等待复利发酵
[19:16] 那报酬
[19:17] 它就不一定会立刻出现
[19:19] 但终究会来
[19:20] 市场短期可以被情绪
[19:21] 被资金被题材给扭曲
[19:23] 但是长期还是会回到基本面
[19:25] 我们赚的不是那一小段行情
[19:27] 是整个体系的稳定输出
[19:29] 很多人觉得自己每买一次
[19:31] 都是在等运气
[19:32] 你只是在等待自己的方法
[19:34] 被实际验证
[19:35] 所以反过来说
[19:36] 如果你的观念一开始就错了
[19:38] 过度杠杆追高杀低
[19:40] 把投资当投机
[19:41] 那亏损同样只是时间问题
[19:43] 所以我们才讲说
[19:44] 只要你的心态对
[19:46] 你的策略对
[19:46] 该来的总会来
[19:48] 两天前
[19:50] 网友在分享一个故事给我
[19:52] 他讲说两位女士
[19:53] 在酒吧里闲聊
[19:55] 他有一个讲
[19:56] 男人实在是太麻烦了
[19:58] 我发誓再也不结婚了
[20:00] 我曾经结过两次婚
[20:02] 第一个丈夫
[20:03] 因为吃毒蘑菇
[20:05] 中毒而死
[20:06] 第二个丈夫
[20:07] 死于头盖骨破裂
[20:09] 哇 另外一个女的
[20:10] 很惊讶
[20:12] 太可怕了吧
[20:13] 头盖骨怎么会破裂呢
[20:14] 那个女的讲说
[20:16] 因为她打死
[20:17] 也不肯吃毒摸菇吗
[20:19] 所以该来的总会来
[20:22] 我们讲说投资是最终观念的回报
[20:25] 其实投资本来就是一场
[20:27] 拉长时间的验证机制
[20:29] 如果你的观念是对的
[20:30] 你的纪律配置
[20:31] 你的控制风险
[20:32] 你的理财本质的理解
[20:35] 你都知道的话
[20:36] 那报酬当然不会立刻出现
[20:38] 但迟早会累积出来
[20:39] 这就是让我们的绩效慢慢变幅
[20:41] 当然过去一个月绩效
[20:42] 不是每个人都买在最低点
[20:44] 你买的高一点又怎么样
[20:46] 反正都创高
[20:47] 你只有赚多赚少的问题而已
[20:49] 所以我们回过头来说
[20:50] 现在市场的聚焦
[20:52] 反而是市场的估值抑制
[20:55] 而并不是新一轮的系统性回调
[20:57] 我们回过头说
[20:58] 估值的理由
[20:59] 消减理由来自于哪里
[21:00] 当然是油价
[21:01] 油价一路涨上去
[21:02] 它迟早会对于经济层面形成抑制效果
[21:05] 如果我们细看
[21:06] 目前加州油价图
[21:07] 现在已经涨到每家轮7美元了
[21:11] 这么高强度的压力
[21:12] 你要想想看
[21:13] 这几乎相对于今年年初
[21:15] 已经翻了一整倍
[21:16] 如此高强度的原油价格的通膨传导
[21:19] 不太可能对于实体民间
[21:20] 一点感觉都没有了
[21:21] 台湾是因为进行高强度补贴
[21:23] 如果我们看汽油价格
[21:25] 今年到现在为止
[21:26] 平均汽油价格已经涨了112%
[21:29] 热燃油布兰特原油西德州
[21:31] 涨幅在80%到90%
[21:33] 棉花涨了30%
[21:35] 小麦涨了25%
[21:37] 黄豆涨了17%
[21:38] 橡胶涨了14%
[21:40] 镊价活牛
[21:41] 瘦猪
[21:42] 玉米
[21:42] 木材
[21:43] 肥牛
[21:44] 铜价金价
[21:45] 今年都是收涨
[21:46] 那这种通膨的传导
[21:48] 我们看4月份美国的制造业
[21:50] ISM PNI
[21:51] 目前还在52.7
[21:52] 表现并不是特别差
[21:54] 可是很大一部分是来自于
[21:56] 库存备货的提前效益
[21:58] 就是它的货突然下定了很多
[22:00] 那你说为什么这些PNI指数
[22:02] 因为它是衡量过去
[22:04] 未来一个季度的备货情况
[22:06] 为什么现在要突然疯狂备货
[22:08] 因为怕原物料价格上涨
[22:10] 所以我们想也知道
[22:11] 它过去基本上就保持在
[22:14] 52.1 52.2
[22:16] 那突然这一次
[22:17] 在制造业PNI
[22:18] 突然直接跳到54
[22:20] 很明显嘛
[22:21] 他一次下很多货
[22:23] 他害怕通膨
[22:24] 所以这件事情
[22:25] 其实已经慢慢透露出
[22:26] 很多企业
[22:27] 已经为了害怕
[22:28] 未来原物料价格的上涨
[22:30] 或者供应的中断
[22:31] 疯狂的囤货
[22:32] 那这个趋势
[22:33] 短期内的跳高
[22:34] 就不见得是完全的好事
[22:36] 这给投资朋友
[22:37] 做的第一层思考
[22:38] 那第二层思考
[22:39] 是美国的GDP
[22:39] 其实GDP数据还算是不错
[22:41] 在今年一季度
[22:42] 整体而言年化成长有2%
[22:45] 低于市场预期的2.3%
[22:46] 但是结构也算不错了
[22:48] 消费1.6%
[22:49] 真正的问题是什么
[22:50] 真正的问题也是
[22:51] 这一次几乎75%全部来自于AI
[22:55] 如果我们看当前的投资动能
[22:57] 基本上都不是制造业投资
[22:59] 都是非住宅固定投资当中的
[23:02] 企业设备AI基建
[23:03] 目前最新已经来到7.85%左右
[23:06] 这就显示着
[23:08] 目前的固定投资
[23:09] 完全都是在反映AI的实质龙井
[23:12] 那会形成相当大的压力
[23:13] 这代表着这个体感温度
[23:15] 原物料价格的上涨
[23:17] 已经对于经济产生冲击
[23:18] 可是AI还没有停
[23:20] 所以总体数据很亮丽
[23:21] 举一个更直观的
[23:22] 张图表示我们看到
[23:24] 美国目前的储蓄率
[23:25] 已经跌回到低档
[23:26] 大概在3.6%左右
[23:29] 回到疫情左右的低点了
[23:30] 这是从2021年的8%一路下来
[23:33] 你说美国的储蓄率越来越少
[23:35] 因为大家都拿去花钱了
[23:37] 所以经济很好
[23:38] 这是一种逻辑
[23:39] 但是真实迹象就是
[23:41] 美国人开始要动用过去累积的存款
[23:44] 来维持住目前的消费
[23:45] 这就等于把未来的钱拿来现在用
[23:48] 我们看剪刀叉的部分
[23:50] 目前美国的整体薪资成长
[23:53] 已经低于实质的消费成长了
[23:55] 那就代表着一定要透支出未来的一些消费
[23:58] 一边是AI投资在成经济
[24:00] 另外一方面是消费在透支储蓄
[24:02] 这种压力
[24:03] 它就形成川普民调上的体现
[24:06] 我们如果细看最新多家民调机构最新的数据
[24:09] 总统支持度大概已经掉到34%到45%了
[24:13] 如果以取中间值大概在37%
[24:16] 不满意相对于支持度
[24:18] 大概是在10到30个百分点
[24:20] 也就是说多数民调都属于净负评的情况
[24:23] 有些甚至已经出现不满意
[24:25] 领先超过20%个百分点
[24:27] 那这样的一个压力
[24:29] 其实就是一方面贫富差距在扩大
[24:31] 另外一方面我的购买力真的被侵蚀了
[24:34] 以前是怎么样
[24:35] 以前就是贫富差距恶化
[24:36] 那我可以理解吗
[24:37] 美国就是一个资本主义的天堂
[24:41] 或者资本主义的社会
