[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 看起来并不是特别的满意
[03:20] 他只要偶尔每个礼拜
[03:22] 只要集中一艘
[03:24] 有个业绩达标
[03:25] 就足以让保险费用持续的攀升
[03:27] 船东就会确保
[03:29] 持续干扰全球的能源运输
[03:31] 同时现在
[03:32] 叶门的青年运动
[03:33] 也宣布封锁往返沙沃地拉伯
[03:36] 红海港口的船舶
[03:37] 如果两边航道真的都封锁了
[03:39] 那市场局势肯定会因此而升温
[03:42] 所以我们才讲说
[03:43] 现在市场上就处于这种尴尬的窘境
[03:46] 油价你也知道
[03:47] 不会一次性的挑战类似性高
[03:49] 可是它就慢慢慢慢的又开始往上拐头
[03:52] 那本来想说7月8月的通膨
[03:55] 终于可以随着过去两个月的紧张局势降温
[03:58] 而开始回头
[03:59] 那是不是接下来又要重新的回到上行轨道
[04:03] 这是压力比较大的
[04:04] 川普当然也发文了
[04:06] 他扬言
[04:06] 接下来伊朗每攻击一只船只
[04:09] 美军就炸一座桥或者一座发电厂
[04:13] 冤冤相报何时了
[04:15] 甚至他也不排除
[04:16] 进行德黑兰重要基础设施的直接性攻击
[04:19] 美方现在美军也预告
[04:21] 会针对伊朗戒备森严的赫嘴山
[04:24] 核设施来发动大规模的空袭
[04:27] 不过因为伊朗之前已经强调说
[04:29] 核活动已经向国际原子能总署来申报
[04:32] 所以认为美方不应该以不存在的核威胁
[04:35] 作为军事行动借口
[04:37] 那重点是如果川普真的要炸
[04:39] 现在也不太适合公开提前公布目标
[04:42] 反而会削弱美军作战的突然性
[04:44] 它更多可能是那种威胁性的谈话
[04:46] 那战事现在也持续往中东各地来做扩散
[04:49] 伊朗的飞弹无人机
[04:51] 现在已经涉及到巴林
[04:52] 沙尔地拉伯
[04:53] 还有约旦
[04:54] 美军驻巴林的第五舰队基地
[04:57] 这一次都成为了攻击的目标
[04:59] 好 这是第一件事情
[05:00] 造成油价的上涨
[05:01] 通膨的升温
[05:02] 使得目前殖利率预期开始攀升
[05:05] 那第二点来自于川普的重启关税战
[05:08] 我们知道在几个月之前
[05:09] 川普的IEEPA
[05:11] 国际经济紧急权利法
[05:13] 已经被最高法院给否认
[05:14] 所以目前是不能够以这一条
[05:16] 来持续向外来克取关税
[05:18] 由于本周10%的全球关税
[05:21] 当时准备到期以后
[05:23] 接下来就要采取更进一步的衔接措施
[05:25] 川普的确没有打算放过关税
[05:28] 目前以301为法源依据
[05:31] 锁定强迫劳动问题
[05:33] 针对全球60个国家
[05:35] 现在改课征10到12.5%的关税
[05:38] 就是现在除了美国以外
[05:40] 全球有60个重要的经济体
[05:42] 都有强迫劳动的问题
[05:44] 所以美国要对外科关税
[05:45] 这是明目上的理由
[05:47] 这很离谱
[05:48] 但美国内部的确也在要求川普放缓脚步
[05:51] 避免关税推升物价冲击期中选举
[05:54] 我知道你想克了
[05:56] 你先等期中选举完之后你再克
[05:58] 现在不一定让原油价格持续攀升
[06:01] 因为美伊冲突已经让美国的汽油价格
[06:04] 重新升破了美加仑4美元
[06:06] 我们根据目前盖洛普民调显示
[06:09] 超过三分之二的选民是不满川普处理生活成本的表现
[06:12] 你要了解川普能够真正当上美国总统
[06:16] 当然一部分是人格魅力
[06:18] 一部分是他的政见
[06:20] 但是扪心自问
[06:22] 很清楚是因为拜登时期的通膨完全失控
[06:25] 那是川普当选的一个非常重要的助力
[06:27] 那川普现在同样面临同样的格局
[06:30] 那尤其过去已经谈好的IEPA
[06:33] 有很多国家在履行关税协议的过程当中
[06:37] 其实当中有很多冲突
[06:38] 虽然关税是取消了
[06:40] 可是当时有说好很多投资协议
[06:41] 美国韩国台湾都说好要去做投资
[06:44] 可是现在开始陆续卡关了
[06:47] 川普必须要找到
[06:48] 持续可以施加压力的空间
[06:50] 举例来说
[06:51] 最近美日400亿美元的核电
[06:54] 正式卡关了
[06:55] 而过去我们讲说
[06:57] 因为美日之间有
[06:57] 高强度的核电合作协议
[06:59] 主要就是因为
[07:00] 日本现在正在重启核能
[07:02] 那美国也希望
[07:03] 能够借由日本的长年技术
[07:05] 重新引导回美国本土
[07:06] 来做双方的合作
[07:08] 根据双方之前的协议
[07:09] 日本是会投资美国
[07:11] 田纳西州和阿拉巴马州
[07:13] 新一代的小型模组化反应炉
[07:15] 就是我们讲的SMR
[07:16] 这是日本当时对于美国投资承诺
[07:19] 5500亿美元的重要关税内容
[07:22] 目前当时投资的目的就是
[07:24] 为了要让日本保持最惠国税率
[07:26] 结果呢
[07:27] 现在日本担心
[07:28] 一旦美国的核电厂未来发生事故
[07:30] 日本政府支持的金融机构
[07:32] 可能需要承担核灾赔偿的责任
[07:35] 所以目前迟迟不愿意拨款资金
[07:37] 那美国商务部已经口头保证了
[07:39] 说日本你只要负责出资就好
[07:41] 你不用负责运营
[07:42] 你也不用承担任何的法律责任
[07:44] 但是因为美方目前并没有提出
[07:46] 具有法律效率的书面协议
[07:48] 谈判已经完全陷入到僵局
[07:50] 那我们知道日本政府的确比较谨慎
[07:52] 那跟2011年的核灾是有关的
[07:55] 核灾当时福岛已经造成了23.4兆
[07:59] 是1440亿美元的除役和赔偿成本
[08:03] 所以一场事故就要赔1000到1500亿
[08:07] 现在可能要更高了
[08:08] 那这些成本
[08:10] 让日本对外任何那种
[08:12] 海外的核能投资法律风险
[08:14] 来得更加敏感
[08:15] 到时候出事了
[08:16] 你又叫我赔
[08:17] 所以我根本就没有参与经营
[08:18] 但是你要给我一个书面上的保证
[08:20] 所以目前西方国家也尚未有SMR
[08:23] 那到底它的技术运营
[08:25] 还有安全风险
[08:26] 是不是还有不确定性呢
[08:28] 那日本政府至少是拖住了
[08:29] 那美方肯定是有点不爽
[08:32] 你说好要给我的
[08:33] 你现在卡关了
[08:33] 我要在中期选举之前
[08:34] 摆出好政策
[08:36] 所以开始从其他角度
[08:37] 来施加压力了
[08:39] 那再来就是美国
[08:40] 对加拿大所课征的关税
[08:42] 本身我们过去讲说
[08:44] 要打造美系供应链
[08:45] 所以对于墨西哥和加拿大
[08:48] 还保有美墨加协议一定程度关税的承压结果美国宣布在30天之后就会针对加拿大多项产品来课征50%的关税理由是加拿大对美国商品采取不公平的贸易措施
[09:03] 包括限制美国的酒类采购
[09:05] 对美国汽车施加关税
[09:07] 歧视美国的乳酪
[09:08] 那这次关税呢
[09:10] 它是实施338条
[09:11] 对全球
[09:12] 对台湾日本
[09:13] 它是用301
[09:14] 那对加拿大是338条
[09:16] 338条呢
[09:18] 本身过往没有使用过
[09:20] 从来没有针对贸易伙伴来加征关税过
[09:23] 加拿大是美国的第二大的贸易伙伴
[09:25] 结果是新一轮的法院依据
[09:27] 好处是有很多的产品还是可以豁免的
[09:31] 比如说钢铁关税
[09:32] 铝制的关税会引起通膨失控的
[09:35] 比如能源假肥
[09:36] 目前都没有课征
[09:37] 主要是针对一些消费品
[09:39] 安大略省省长则是主张直接关税对关税
[09:42] 美元对美元的报复措施
[09:44] 那双方局势还是值得
[09:46] 大家做更进一步关注
[09:48] 那另外一方面就是药品关税
[09:50] 就是商品关税的部分
[09:51] 就针对特殊全球性的商品来课程
[09:54] 这一次川普是正式宣布
[09:55] 如果学名药的业者
[09:57] 再不把生产移回到美国的话
[09:59] 从2028年明年起
[10:02] 会面临100%的进口关税
[10:04] 2029年8月会提高到200%
[10:07] 政策的目标就是
[10:08] 让美国的药品制造回流
[10:10] 那学名药有包含止痛
[10:12] 有包含抗生素
[10:13] 降胆固醇或者一些癌症用药
[10:16] 现在大部分都是在印度
[10:17] 或者在中国生产
[10:19] 那有部分在欧洲
[10:20] 占了美国处方先接近90%
[10:22] 那由于学名药本来就是以低价竞争
[10:25] 利润是相当微薄的
[10:26] 那你如果要改到美国设厂
[10:29] 要么就是成本会高涨
[10:31] 但是不到美国你就要被课百分之百
[10:33] 所以差别就在于
[10:34] 到美国设厂会不会导致你的成本上升超过百分之百
[10:39] 如果会的话那就不要去
[10:41] 那如果不会的话
[10:42] 那可能还是要去
[10:43] 所以印度受到冲击最大了
[10:45] 因为24年到25年
[10:47] 印度对美国的药品出口
[10:48] 是达到105亿美元
[10:50] 也是美国最大的学名药的供应国
[10:53] 部分常用药对于印度本身
[10:56] 它的依赖程度是更高的
[10:57] 你像24年
[10:58] 美国的口服的避孕药当中
[11:00] 有65%是由印度公司来生产
[11:02] 好那这些事情都说明了
[11:04] 川普其实已经很宽容了
[11:06] 给你一年的时间
[11:07] 赶快到美国来设厂
[11:08] 我不允许我的药
[11:10] 即便是一般的止痛药
[11:11] 感冒药
[11:12] 都要在美国本土来做生产
[11:14] 产生适度的压力
[11:15] 那最终的效果是什么
[11:16] 就是各类型的关税
[11:18] 还有中东局势的升温
[11:20] 它都在加速整个通膨的上行区间
[11:22] 虽然不至于到时空
[11:24] 因为市场会下第一次下第二次
[11:27] 到第三次会觉得
[11:28] 关税或者中东局势
[11:29] 对于通膨的影响
[11:31] 恐慌情绪没这么高
[11:32] 所以不会因为这样子
[11:33] 就开始做大规模的提前囤货
[11:35] 至少现在的关税战
[11:36] 相对于去年四月的关税战
[11:38] 看起来和缓很多
[11:40] 但是第二件事情
[11:41] 市场的利率预期有没有开始走深
[11:43] 有
[11:43] 它会影响到我们刚才聊的重点
[11:45] 那就是科技巨头的融资成本
[11:48] 在未来几个季度
[11:49] 就会开始慢慢的走深
[11:50] 它现在不只是自由性金流转付
[11:52] 口袋快没钱了
[11:53] 它发债成本
[11:55] 利率成本越来越高
[11:56] 现在七巨头的投资等级在
[11:58] 平均殖利率大概已经来到7%到8%了
[12:02] 这个有点吸引人
[12:04] 但是你可以了解
[12:05] 大家对于他们的股价有更高的期待
[12:07] 希望一年可以涨7成到8成
[12:10] 所以可能对他们的殖利率还是不屑一顾
[12:12] 可是可以看得出来
[12:13] 如果他们的殖利率一直往上升
[12:15] 那不就说明着市场债券的承接意愿并不高吗
[12:19] 我们细看美国十年期供债殖利率
[12:21] 这一次快要碰到4.7了
[12:23] 5月首次突破失败之后
[12:25] 这一次又重新的向上测试
[12:27] 那我们也清楚知道
[12:28] 这种预期加上从长期均线来看
[12:31] 已经明显上弯做推升
[12:33] 也就代表着市场有进一步的利率预期
[12:36] 认为接下来可能市场要长期习惯更高的融资利率
[12:41] 那唯一好处是
[12:42] 至少他没有突破当时2023年到2024年的高点
[12:46] 现在还在一个缓步的下行格局
[12:48] 可是有慢慢做突破的感觉
[12:50] 那我们就看川普怎么处理了
[12:52] 尤其现在不只是公司债的问题
[12:54] 全球政府的债务占GDP比值
[12:56] 现在也创下历史先高了
[12:58] 尤其在成熟经济体在金融海啸
[13:00] 疫情和近年大规模的财政支出之后
[13:03] 债务的水准已经超过多数的历史时期
[13:05] 虽然我们知道川普政府过去一段时间
[13:08] 尝试的做政府内部的资本准结
[13:11] 可是问题是
[13:12] 他的国防支出也创历史新高了
[13:15] 所以讲老半天
[13:16] 其实川普的26 27年的遇上案
[13:19] 其实整体财政规模都创下历史新高
[13:22] 那你只能发心再还旧债
[13:24] 压力就来了
[13:25] 所以主权债的承压
[13:26] 公司债的承压都是如此
[13:28] 再看看科技巨头
[13:30] 目前的现金流情况
[13:31] 整体而言在今年第三季
[13:33] 已经提前转付了
[13:35] 那现在已经确定了嘛
[13:36] 现在像是Meta
[13:37] Google
[13:39] 特斯拉
[13:39] 自由现金流
[13:40] 在未来几个季度会持续缩水
[13:42] 应该都已经正式转付了
[13:44] 那微软的部分
[13:45] 我们看会不会有可能在本季度跟进
[13:48] 我认为应该不太可能
[13:49] 微软手上现金是真的蛮多了
[13:51] 亚马逊现在自由现金流
[13:53] 大概还维持在10亿美元的正值
[13:55] 那也看看
[13:56] 因为他已经比上个季度这样子比较下
[13:59] 也减少了130亿
[14:00] 如果是以这种速度的话
[14:01] 搞不好明年年初
[14:03] 七巨头就是所有巨头
[14:05] 自由现金就都转付了
[14:07] 那很明显的
[14:08] 转付以后那就要借钱了
[14:10] 其实我们从下图来看
[14:12] 纳斯达克100
[14:13] 企业投入资本支出的比例
[14:15] 大概是从25年的38%
[14:18] 到26年是45
[14:19] 现在预估可能提高到50
[14:21] 那明年就可能变60
[14:23] 后年变70
[14:24] 那到2030年
[14:25] 那不就变百分之百了吗
[14:27] 所以压力是很大的
[14:28] 五大AI云端业者
[14:30] 目前所发行的总债务
[14:32] 在今年是3840亿美元
[14:34] 符合投资等级债的流通债务
[14:37] 占了整体投资等级债的市场
[14:39] 大概是增长了3.9%
[14:41] 甲骨文是发最多的
[14:42] 发了1170亿
[14:43] Amazon和Meta分别发了980亿和840亿
[14:47] 那甲骨文现在等同于
[14:50] 成为了投资等级债当中
[14:51] 最大的非金融企业
[14:53] 那它的CDS价格又涨得这么快
[14:55] 那也足以说明着市场开始会担心
[14:58] 所以现在的恐慌
[15:00] 其实股市我们明显感受到
[15:02] 还在高位震荡
[15:03] 真正的恐慌并没有发酵
[15:05] 区区杠杆而已
[15:06] 可是债券市场的恐慌
[15:07] 你从公债实力的表现
[15:09] 你再从CDS价格的表现
[15:11] 再从这一些债务发行端
[15:14] 它的自由现金的表现
[15:16] 都感觉得出来
[15:17] 市场好像越来越缺钱了
[15:19] 其实从去年就已经开始了
[15:21] 我们看整个25年
[15:22] 这些公司所发行的债务
[15:25] 相对于过去10年
[15:26] 有没有发现特别离谱
[15:27] 去年就已经增加2830亿了
[15:30] 今年已经接近到4000亿了
[15:32] 前几年都是170亿
[15:35] 140亿左右
[15:37] 结果现在发行量来得这么高
[15:39] 所以整体来说
[15:41] 这一次我们要观察的重点
[15:42] 就来自于
[15:43] 有没有可能从债券市场
[15:44] 重新回过头来
[15:45] 影响股市的估值
[15:47] 这是值得大家多多留意的方向
[15:49] 不过这是外部性问题
[15:50] 可能一瞬间解决
[15:52] 可能没突然和谈就解决了
[15:54] 可能突然之间
[15:56] 我们看关税战结束了
[15:57] 就解决了
[15:58] 这种事情很难说的
[15:59] 可是至少可以看到
[16:00] 我们必须要看到
[16:02] 这些企业有更好的获利表现
[16:04] 搭配着外部性冲突的
[16:05] 地缘政治降温
[16:06] 才有利于下一轮的显突上攻
[16:08] 要不然现在就有可能
[16:10] 类似于去年那种10月份
[16:11] AI永动机高点之后
[16:13] 陷入到长期的盘整区间
[16:15] 各国有的强有的弱
[16:16] 尝试着做本一笔的回调
[16:18] 等待下个季度好消息传回来
[16:21] 再来做更进一步的拉抬
[16:22] 那种洗盘
[16:23] 反而是长期投资人
[16:25] 应该最享受的
[16:26] 因为会有人没有耐心
[16:27] 最后决定要离场
[16:28] 但是能够坚持到最后的
[16:30] 还是赢家
[16:31] 我们看美国股市表现
[16:32] 道琼指数下跌506点
[16:34] 0.97%
[16:35] 收在51711点
[16:37] 标普下跌90点
[16:38] 1.2%
[16:39] 收在7408点
[16:40] 纳指下跌553点
[16:42] 2.15%
[16:43] 收在25137点
[16:45] 非半下跌66点
[16:47] 0.54%
[16:48] 收在12343点
[16:50] 都还在高位做震荡
[16:52] 当然回过头到现在这个季线区间
[16:55] 它也盘一段时间了
[16:57] 你想卖你想买
[16:58] 你都有也不少时间
[17:00] 你有一个礼拜的时间
[17:01] 可以好好想想
[17:02] 你到底是左侧投资
[17:03] 还是右侧投资
[17:04] 我们讲说目的不同
[17:05] 做法就不同
[17:06] 市场也是如此
[17:07] 那牛市出奇
[17:09] 资金为了上市
[17:10] 愿意追高
[17:11] 愿意忍受波动
[17:12] 那等到持股
[17:13] 你现在有很多人
[17:15] 其实是赚了不少的
[17:16] 那只是差别
[17:16] 你要不要等待更高的获利
[17:18] 有些人国巨200 300
[17:20] 报到1200
[17:21] 回到800 700 600
[17:23] 还是算要不要卖呢
[17:24] 就是买到股票
[17:25] 变成保住获利
[17:27] 同样的股价波动
[17:28] 看法可能完全不一样
[17:29] 也不是说市场变了
[17:31] 我们可能要了解
[17:32] 自己买的目的有没有改变
[17:34] 很多投资人最大问题就是
[17:35] 你可能忘记自己的目标
[17:37] 建仓的时候想的是长期投资
[17:39] 那跌一点
[17:40] 你就急着要做停损或者停利
[17:42] 持有的时候相信基本面现在一获利又觉得落袋为安好像比较好投资策略有时候当然会随着阶段调整但是你至少要知道自己现在是在钓鱼还是吃鱼
[17:54] 否则就容易用错方式
[17:56] 所以最后两头空
[17:57] 所以还是要了解
[17:57] 目的不同
[17:58] 做法就不同
[17:59] 要确定好自己的原则
[18:00] 夫妻两个人吃饭
[18:03] 妻子问
[18:04] 你怎么只挑鱼背上的肉来吃
[18:07] 我记得我们谈恋爱的时候
[18:09] 你最喜欢吃鱼头和鱼尾
[18:12] 那先生说
[18:13] 现在情况不同了
[18:14] 现在我的目标是吃鱼
[18:16] 当时我的目标是钓鱼
[18:18] 所以吃鱼跟钓鱼
[18:21] 目的不同
[18:22] 做法就不同
[18:23] 我们要了解说
[18:24] 自己当时的初衷
[18:25] 你不要说
[18:26] 因为稍微行情波动了一下
[18:28] 你就完全改变自己的初衷
[18:29] 要了解自己的初心
[18:31] 当然我们回过头说
[18:32] 现在七巨头在昨天市场沉压
[18:35] 一天就蒸发了7970亿美元
[18:38] 那反而是现在英特尔
[18:40] 受到整体财报预期的向好
[18:43] Q2迎来15年最快的成长
[18:45] 资料中心供不应求
[18:46] 看得出来
[18:47] 好像废办永远都是订单赚走的那个
[18:50] 我们昨天提到
[18:51] 虽然切据头在资本支出的扩张层面
[18:54] 导致了自由现金流的沉压
[18:56] 可是资本支出毕竟是高于预期
[18:58] 那说明什么
[18:59] 说明我们的订单又增长了
[19:01] 因为他们下的单比我们想象中还要来得多
[19:04] 所以废办还有一系列的硬体股
[19:07] 在本轮的财报
[19:08] 是否会由于科技股的资本支出增长
[19:11] 而受到新一轮的财报回补呢
[19:13] 毕竟我们看
[19:14] Intel这一次是受到
[19:16] 类国家队的补助情况底下
[19:18] 经过调整的美股盈余
[19:19] 0.42块
[19:20] 这大幅高于预期的0.2块
[19:22] 几乎翻了一整倍
[19:23] 资料中心是暴增了59%
[19:26] PC业务也小幅成长了13%
[19:28] 晶圆代工甚至成长了三成一
[19:31] 所以展望整个三季度
[19:32] 我们看Intel几乎迎来了
[19:35] 过去15年以来
[19:37] 最快的成长
[19:38] 一夕之间
[19:39] 在川普的帮助底下
[19:40] 改变了自己的命运
[19:42] 那当然了
[19:42] 七巨头反而到目前为止
[19:44] 就变成自由现金流的恶化
[19:46] 财务的压力来得更为严重
[19:49] 所以有时候我们这样讲
[19:50] 就像多空情绪都有
[19:52] 因为现在是高档回档
[19:55] 然后又在季线上下做徘徊
[19:56] 所以多空情绪
[19:58] 对赌比较显著
[20:00] 但有时候你拉长时间来看
[20:02] 就知道好像多数人
[20:03] 都只是想要买到一个
[20:04] 更便宜的价格而已
[20:05] 所以空的人
[20:06] 他也不一定是真的看空
[20:07] 他只是说
[20:08] 我觉得回调到更合理的位阶
[20:11] 比较适合
[20:12] 但我们要了解说
[20:13] 这个行情本来就是如此
[20:14] 你不要有一个锁定的方向
[20:16] 你要了解自己的资产规划
[20:17] 那悲观的人
[20:18] 我们会讲过
[20:19] 眼里总能找到悲观的理由
[20:21] 股价涨了担心泡沫
[20:23] 跌了害怕崩盘
[20:24] 获利成长怀疑见顶
[20:26] 估值便宜
[20:27] 你又觉得利空还没有报
[20:28] 市场永远都有风险
[20:30] 也不一定是过度悲观
[20:32] 就是说市场不是没有资讯
[20:33] 很多人认为
[20:34] 好像一个资讯背后
[20:35] 一定藏着另外一个资讯
[20:37] 然后就过度脑补
[20:37] 其实你就从最简单的
[20:39] 那反正就是AI资本
[20:40] 是不是有没有停下来
[20:41] 它不停下来
[20:42] 大家就继续赚
[20:43] 那你可能最后会担心
[20:45] 这场有没有泡沫的问题
[20:46] 有啊
[20:47] 算力过程就是泡沫的时刻
[20:48] 用一个简单的原则
[20:50] 来判定就好了
[20:50] 那有些人会讲
[20:51] 这家公司很便宜
[20:52] 就开始猜
[20:54] 那肯定有更便宜的
[20:55] 不要买这只
[20:56] 有些人说
[20:57] 这家公司获利很好
[20:58] 那大家开始怀疑
[20:59] 那是不是以前更好
[21:00] 这一季开始不少回档了
[21:02] 那大吉是不是在最后
[21:04] 外资开始做回补了
[21:06] 那是不是外资已经先买好了
[21:08] 公司现金很多
[21:09] 你就猜
[21:10] 那他是不是不知道投资什么
[21:11] 那公司都去资本支出
[21:13] 没现金了
[21:13] 完了
[21:14] 基本面有问题
[21:15] 公司没有负债
[21:16] 完了
[21:16] 他是不是借不到钱
[21:18] 公司开始裁员
[21:19] 他是不是开始
[21:20] 可能公司经营有问题了
[21:22] 公司不裁员
[21:23] 那你是不是没导入AI
[21:25] 我跟你讲
[21:25] 永远都会想到这种
[21:27] 悲观的解读的
[21:29] 你永远都做脑补的话
[21:30] 那你也很难做
[21:31] 真正影响投资绩效的
[21:32] 他不说市场说什么
[21:33] 看你自己怎么从原则上解读
[21:36] 包括长期而言
[21:37] 企业获利有没有成长
[21:38] 估值是否合理
[21:40] 长期竞争是否存在
[21:41] 你多一点对于原则基本面的判断
[21:43] 通常比追逐市场情绪
[21:45] 更容易赚到钱
[21:46] 男朋友在抱着你
[21:48] 你好小一只
[21:49] 你就知道他抱过好大的一只
[21:52] 他说我香香软软的
[21:54] 他肯定以前有一个臭臭的
[21:56] 他说我很有耐心
[21:58] 他以前一定遇过没有耐心的
[22:00] 他说我很成熟
[22:01] 他以前一定泡过那种不成熟的
[22:03] 他说我抱起来暖暖的
[22:05] 他以前可能抱过一个凉凉的
[22:07] 他说我很可爱
[22:09] 那他以前谈过性感的
[22:11] 他说我孩子气
[22:12] 他一定谈过熟女
[22:14] 他说我是他最喜欢的
[22:17] 那他一定有第二喜欢的
[22:18] 你永远在脑补下去
[22:20] 那也没完没了
[22:21] 所以有时候我们做投资
[22:22] 当然新闻很多
[22:24] 你可以做不同的资讯整合
[22:25] 可是最后你要回归一个原则
[22:27] 源头来判断
[22:28] 好那刚才我们聊到的
[22:29] 是从科技巨头的发行债
[22:31] 所受到的承压
[22:32] 还有我们看到的平均公司债
[22:35] 以及主权债
[22:36] 还有目前我们看到中东危机底下
[22:39] 是否会引起新一波的利率预期提升
[22:41] 第二套压力来自于哪里
[22:43] 其实来自于日元是否保持在偏弱格局
[22:46] 日元最近是很弱
[22:47] 但这个弱对于科技巨头不见得一定是坏事
[22:51] 为什么这么说
[22:52] 我们知道美元最近的持续走强
[22:54] 导致日元对美元点扁破了163
[22:57] 这是1986年以来的新低
[22:59] 每日利差未缩小之前仍有续贬压力
[23:04] 这件事情很多人会担心
[23:05] 日本压力大不大
[23:06] 日本压力肯定是大的
[23:08] 可是对于全球的流动性而言
[23:10] 反而有了操作的空间
[23:12] 为什么
[23:12] 因为只要全球仍然有相对便宜的资金
[23:16] 这场游戏就还借得出来
[23:18] 那等同于有质押的钱
[23:20] 为什么这样讲
[23:21] 我们都知道长期以来
[23:23] 日元作为长期货币宽松的货币
[23:26] 它对于全球流动性
[23:28] 产生了一定程度的作用
[23:29] 所以很多人是借日元来进行美股投资
[23:32] 那只要日元
[23:33] 虽然现在它在升息格局
[23:35] 只要它继续贬值下去
[23:36] 那就代表我未来要还你的日元
[23:38] 就不用这么贵
[23:39] 那反而让大家有更多的借贷意愿
[23:41] 操作空间
[23:42] 所以虽然现在创下40年的新低
[23:44] 但市场也压住
[23:46] 日央可能被迫
[23:47] 9月份就要开始做提前升息
[23:49] 当然它也引发了后续的后果
[23:51] 那是什么
[23:52] 就是目前日本40年在均值利率
[23:55] 30年还有10年
[23:56] 全部都创高了
[23:58] 虽然有适度的投标倍数的上升
[24:00] 因为长期资金开始沉结
[24:02] 可是代表的是
[24:03] 高市目前的财政政策
[24:05] 刺激政策
[24:06] 非常非常的积极
[24:07] 这也使得日本债务的压力
[24:10] 开始持续放大
[24:11] 所以不只是主权债
[24:12] 不只是投资等级债
[24:14] 日债的压力
[24:15] 也开始做显著成压
[24:16] 我们看高市这一次
[24:18] 所提出的最新财政积极政策
[24:21] 叫做股泰计划
[24:23] 延后拍板了
[24:24] 原因就来自于
[24:25] 市场已经针对积极的财政计划
[24:27] 投下了不信任票
[24:28] 现在日元的走低
[24:30] 日元受到承压
[24:31] 长期国债殖利率又疯狂的上升
[24:33] 再来就是消费税的减税
[24:35] 原本说预估要从8%下滑到1%
[24:38] 结果现在没有获得在野党的支持
[24:41] 因为债券市场的压力实在太大了
[24:44] 如果贸然的宣布大规模的财政刺激
[24:47] 可能会形成进一步的压力
[24:49] 我们知道日本各地在高市政府底下
[24:51] 获得了非常多的中央补助
[24:53] 你像日本执政联盟最近就重新决定
[24:55] 北路的新干线到新大阪会采用小滨京都路线
[24:59] 最快2050年通车
[25:01] 但是建设费用暴增了5.5兆日元
[25:05] 那另外一个就是在北海道
[25:07] 我们看到高市政府开始进行
[25:09] 一次元补助金
