[00:00] 歡迎收聽谷外微 聖夢宮本期節目由NordVPN贊助
[00:03] 最近準備要過年了 相信很多人都在規劃春節出國返鄉
[00:07] 回臺灣過年 機場 飯店 咖啡廳都擠滿了人
[00:10] 這個時候你會很常用到公共的WiFi
[01:27] 都可以安然的度過
[01:29] 小朋友要放假了
[01:30] 要記得我們生他們下來
[01:31] 我們就是要愛他
[01:32] 我們就是要包容他
[01:33] 那就算呢
[01:34] 可能他們會有一些不合理的表現
[01:36] 但我們要知道他是小朋友
[01:38] 我們要稍微的忍耐一下
[01:39] 那接著呢
[01:40] 希望可以創造一些很棒的回憶
[01:42] 那我知道這些東西可能聽在一起
[01:43] 沒有捏卵
[01:44] 或者說還沒有要生小孩的
[01:47] 這些朋友們耳中會想說
[01:48] 你們到底在講什麼
[01:49] 你們不是就是喜歡孩子
[01:50] 你們才當爸媽嗎
[01:51] 對沒錯
[01:52] 但是我跟你講
[01:52] 就像是你可能喜歡你男朋友女朋友
[01:54] 但他如果每天都跟你在一起
[01:55] 24小時
[01:57] 你在玩傳說對決的時候
[01:58] 或者說你跟你閨蜜去逛街的時候
[01:59] 你老公在旁邊誰誰量
[02:01] 你覺得OK嗎
[02:01] 你覺得不OK嗎
[02:03] 所以小別盛心歡真的
[02:04] 你不可以整天待在一起
[02:05] 跟小孩也是
[02:06] 跟小孩玩很好玩
[02:07] 可是如果說一天24小時要跟他玩
[02:09] 那就不是一個很好玩的事情
[02:11] 那所以以我們來講
[02:13] 就是我覺得一開始你是菜皮吧
[02:14] 可能搞不太清楚狀況
[02:15] 你會先被虐個一兩年
[02:17] 但之後你就會開始找到一些
[02:18] 怎麼講
[02:19] 因為你會怕
[02:20] 你會提早去做準備
[02:22] 像我們身邊的一些
[02:23] 兒子同學的家長們
[02:25] 都已經有安排什麼下令營
[02:27] 或怎麼樣
[02:27] 反正哪裡可以報名
[02:29] 可以怎麼樣
[02:29] 就趕快送出去
[02:30] 因為等到你後面要買的時候
[02:32] 你可能都不知道
[02:32] 你有錢都買不到那個額度
[02:34] 可能都沒有辦法
[02:34] 都已經是爆滿
[02:35] 像我自己的話
[02:36] 我們在禮拜天就要先回
[02:39] 義大利的孃家
[02:40] 之後可能也去西班牙走一下
[02:41] 然後接著回來兩天而已
[02:43] 就稍微休息一下
[02:44] 我就要再接著帶大家去巴厘島
[02:47] 那最主要目的呢
[02:48] 就是不希望有任何一天待在家裡
[02:50] 就覺得說真的太累了
[02:51] 稍微回來喘一下
[02:52] 就立刻出去
[02:53] 那我老婆也想說
[02:54] 你要不要回來再多休息幾天
[02:55] 會不會太累
[02:56] 我跟她說你待在家裡
[02:57] 你一定會更累
[02:58] 你絕對會更累
[02:59] 所以你要找一點事情做
[03:00] 但我覺得某個程度來說
[03:02] 這也是好事情
[03:03] 就以前你可能不會想要出去
[03:05] 你也懶懶的
[03:05] 那現在因為孩子
[03:07] 你不希望他待在家裡
[03:08] 你也不希望整天跟他觀災行
[03:10] 你開始去規劃很多行程
[03:11] 那你也跟著玩
[03:12] 所以也是去把自己的視野拉出來
[03:15] 我覺得這個是挺好的
[03:16] 那自己的小孩呢
[03:17] 也注意到真的是長很快了
[03:19] 在今年就已經準備要進入五歲了
[03:22] 那現在也有一些很有趣的變化了
[03:25] 不然說像我在禮拜五去看他的
[03:27] 他們那種課後的展演
[03:29] 就是他在學校會上一些才藝班
[03:31] 然後或是班上會有英文的話劇表演
[03:33] 我覺得都表演得非常好
[03:35] 都很厲害
[03:35] 跟他稍微年幼的時期比起來又進步了
[03:39] 然後再來就是
[03:40] 目前孩子還是很甜的狀態
[03:42] 就是他會去找你
[03:43] 雖然老師會跟我們講說
[03:44] 我們不要去對他們揮手
[03:46] 因為怕他們會忘詞
[03:47] 或是忘記要表演什麼
[03:48] 但我們還是偷偷的小揮手
[03:50] 但在我揮手之前
[03:51] 其實我兒子就已經先發現我
[03:53] 他真的是走出來
[03:53] 你就看他在那邊敲鼓
[03:54] 可是他眼睛一直東張西望
[03:56] 他就一直在找說
[03:57] 他爸媽在哪裡
[03:58] 所以可以去參加兒子的活動
[04:00] 或是女兒的活動
[04:01] 我也是推薦大家都一定要去參加
[04:02] 因為他們真的會找你
[04:03] 可能等到某個階段
[04:05] 他就不會找你
[04:05] 類似我以前可能在小學
[04:07] 不知道五六年級
[04:08] 或是國中的時候
[04:09] 那時候就是有一些活動
[04:10] 他可能想叫你爸媽來
[04:12] 然後你就會跟你爸媽說
[04:13] 不要來之類
[04:13] 或者說他們接你去上學
[04:15] 他說停在前面一個block
[04:16] 不要停在正門口
[04:18] 因為同學會看到你們
[04:19] 就我也不知道
[04:20] 以前我有這個想法
[04:20] 我想說兒子會不會也會跟我一樣
[04:22] 但反正就是可能過了某個時期之後
[04:24] 他就不一定要你了
[04:25] 那現在就他還是很需要你的時候
[04:27] 你就去
[04:27] 然後看到你他就超級的開心
[04:28] 那他現在也開始有很多的興趣
[04:31] 是跟我切合了
[04:32] 然後或者說在一些那種個性上
[04:34] 其實很多時候你也發現說
[04:35] 小孩子不能夠亂生
[04:36] 他真的跟你很像
[04:37] 像他前幾天要叫我去洗大的
[04:39] 他說那個沒有毛的過來
[04:40] 跟我洗大的
[04:41] 誰會這樣講話
[04:42] 我跟他說
[04:43] 你怎麼這樣講話
[04:43] 我是爸爸
[04:44] 他說沒有毛的爸爸
[04:45] 所以他也沒有說錯
[04:46] 你也不能夠講什麼
[04:47] 因為他就說你沒有鬍子
[04:48] 我跟他說這個叫鬍子
[04:50] 他說好鬍子
[04:50] 沒有鬍子
[04:51] 他前面就先叫你沒有毛的
[04:52] 他發現說就跟我講
[04:54] 因為我說
[04:54] 有一些生髮的產品
[04:55] 我自己不用毛
[04:56] 就給那個沒有毛的朋友
[04:57] 跟我用的詞是一樣的
[04:59] 當然得強調
[05:00] 我平常在他面前
[05:00] 我是絕對不會這樣講話的
[05:02] 我甚至已經調整自己道
[05:03] 有些聽眾都講說
[05:04] 怎麼我早期的節目
[05:05] 比較辛辣一點
[05:06] 講話比較赤裸一點
[05:08] 然後現在都很收斂
[05:09] 那其實不是我為了什麼
[05:10] 各位去收斂
[05:11] 是因為我想要做好身教
[05:13] 我在我兒子面前去做調整
[05:14] 其實你的個性
[05:14] 也會慢慢的被修正到
[05:16] 所以呈現在你的節目上
[05:17] 就大家還說你變了
[05:18] 我甚至連那種
[05:19] 以前跟超無聊的人講話
[05:20] 我都會直接尿頓死頓
[05:22] 我現在都不尿頓死頓
[05:22] 我都默默的聽人家講完
[05:24] 然後眼睛都會記得要直視對方
[05:25] 雖然可能會有一點放空
[05:27] 可是我知道說
[05:27] 因為我兒子可能會看
[05:28] 所以我就要演給他看說
[05:34] 怎麼說
[05:34] 其實這個如果我們用簡單的舉例
[05:36] 大家一定都知道了
[05:37] 一個家庭所生出來的三個孩子
[05:39] 為什麼個性會不一樣
[05:40] 爸媽的教育都是差不多的
[05:42] 為什麼個性會可能完全不一樣
[05:44] 或是喜歡的東西不一樣
[05:45] 因為小朋友的DNA還是影響很大
[05:47] 他們自己腦內的構造
[05:49] 我覺得這個很神奇
[05:50] 不是說每個東西都是像什麼白紙一樣
[05:52] 然後你是從零去飆它
[05:54] 不是
[05:54] 其實小朋友生下來
[05:55] 他們就有固定的個性
[05:56] 像諾亞就是一個比較害羞內向
[05:59] 然後外加
[06:00] 我覺得他對藝術
[06:02] 或是一些小動物
[06:03] 他是特別有感覺的
[06:05] 可是像他的弟弟齊安的話
[06:07] 我覺得就是一個
[06:08] 比較嚴肅的小朋友
[06:09] 所以他以後就可能
[06:10] 可以去做我做的工作
[06:11] 就你從小真的就看得出來
[06:12] 你真的看得出來說
[06:14] 諾亞如果我要教他
[06:15] 什麼看財報
[06:16] 看公司的法術會什麼
[06:18] 他應該是不會有興趣
[06:19] 他對這種東西
[06:20] 應該是沒有興趣
[06:20] 當然可能可以後天訓練
[06:22] 只是你就可以看得出來說
[06:23] 他們的那個形式不一樣的
[06:25] 或是諾亞他其實是一個
[06:26] 比較博愛的小朋友
[06:27] 他會對很多東西有共情
[06:29] 可是齊安就比較狠
[06:30] 即便他是一個
[06:31] 一歲不到的嬰兒
[06:32] 但你真的看得出來
[06:33] 你光是要把他放去睡覺
[06:35] 他有時候跟你拼到底
[06:36] 老子就是不睡覺
[06:37] 我就是一直站起來
[06:38] 你把他放下去
[06:38] 他就一直站起來
[06:39] 他就一直叫一直哭
[06:40] 哭到你受不了
[06:41] 哭到你投降
[06:42] 然後你趕快把他抱出來
[06:43] 你抱出來之後
[06:44] 像他媽把他抱出來
[06:45] 他就不要給他媽抱
[06:46] 他會給別人抱
[06:47] 要說媽這個女的叫我去睡覺
[06:48] 我不要睡覺
[06:49] 然後他會去記仇
[06:50] 之後要把他塞回去
[06:51] 他媽那邊他不要
[06:52] 他就是會
[06:53] 會發出一些聲音
[06:54] 所以就知道說這個小朋友
[06:55] 他夠狠
[06:56] 他跟諾瓦就不太一樣
[06:58] 所以他們真的是腦中的自己的東西
[07:00] 但我們還是希望把一些最好的給他
[07:01] 所以符合他們的個性去做一些設計
[07:04] 像我兒子想要去開卡牌
[07:06] 那我就帶他去開卡包
[07:07] 那他的觀察力也很好
[07:08] 他自己喜歡那些寶可夢
[07:10] 他同時就會指隔壁的尼基的卡包
[07:12] 說爸這是你喜歡的東西你要買嗎
[07:14] 我說不用我不用玩卡包
[07:15] 我就是玩這個尼基的遊戲就好
[07:17] 然後他也會指責
[07:18] 因為卡牌店有很多那種桌店
[07:20] 然後說這個是寶爸喜歡的東西
[07:22] 那尼基的桌店每個都是那種大奶大屁股
[07:24] 雖然他講的沒有錯
[07:26] 就想說如果旁邊有人的話
[07:27] 或是有一些地方的同學家長
[07:29] 哪天他們可能跑去校外教學
[07:31] 然後去看一下咖啡店
[07:32] 他就一直指那些大奶大屁股
[07:34] 說這我爸喜歡的
[07:35] 我就覺得說是比較偏尷尬了
[07:37] 但確實是這樣
[07:38] 我們也要接受
[07:39] 因為我們就是這樣的一個樣態
[07:40] 小朋友看到就是這樣子
[07:41] 其實他也不是什麼裸露的東西
[07:43] 我覺得還可以
[07:44] 只是有時候老婆也會有一些意見
[07:45] 像他就不太喜歡我兒子跑到我房間
[07:48] 因為我房間有一些
[07:49] 就我認為是酷東西的東西
[07:50] 然後老婆覺得說
[07:51] 他可能是還蠻變態的
[07:52] 像我後面有兩個不知火
[07:54] 我老婆就不太喜歡
[07:55] 她覺得說
[07:56] 為什麼會有人這麼裸露
[07:57] 我說這個是那種
[07:58] 1980 1990年代
[08:00] 我們從小長大
[08:01] 我們的夢想型
[08:02] 你知道那種
[08:03] 不知火火在開招的時候
[08:04] 我們還會慢動作播放
[08:06] 以前大家都超喜歡的
[08:07] 這是我們童年的回憶
[08:08] 但它就是不太白映
[08:10] 這樣的一個說法
[08:11] 她覺得說這個就叫變態
[08:12] 但是直到我們的大少阿姨說
[08:15] 謝太太
[08:15] 我覺得你的臉
[08:16] 長得有點像不知火火
[08:18] 然後之後
[08:18] 我太太就釋懷了
[08:19] 她覺得說很好
[08:20] 你可以買這個東西
[08:21] 然後之前惡逼
[08:22] 她也超級不爽
[08:23] 她也是覺得說
[08:23] 為什麼有人的屁股
[08:24] 所以就是有各種抱怨
[08:27] 然後覺得說
[08:27] 什麼我兒子看到這些東西
[08:28] 可能會受到一些影響
[08:30] 但我心中是覺得說
[08:31] 這又不是什麼
[08:31] 真的那種裸露有露點的
[08:33] 就到底有什麼好受到影響
[08:34] 如果說我爸小時候
[08:35] 這些東西
[08:36] 我應該也覺得蠻酷的吧
[08:37] 那只是最近有一個雕像
[08:38] 真的是比較有爭議
[08:39] 就是我在日拍上面
[08:41] 買了一個
[08:41] 尼姬裡面的角色叫瑪麗
[08:43] 瑪麗還不是什麼重點角色
[08:45] 那只是因為這個雕像
[08:46] 真的做得太厲害了
[08:49] 所以我就覺得說
[08:49] 不管怎樣我一定要買到
[08:50] 即便這可能也不是
[08:51] 我特別喜歡的一個角色
[08:52] 但最後面花了五十幾萬日元
[08:54] 才把它飆下來了
[08:55] 因為有人要跟我搶
[08:56] 你跟我搶我就無限加價
[08:57] 我跟你拼了
[08:58] 我睡路邊我都要跟你搶下來
[09:00] 這是我們做事情的態度
[09:01] 我接下來幾餐我都吃混泥土
[09:03] 我都要把你贏下來
[09:04] 總之這個
[09:05] 1比6的小雕像來到這
[09:07] 我就覺得非常的滿意
[09:09] 因為真的很細緻
[09:11] 其實日本人真的很屌
[09:12] 他們真的很變態
[09:12] 他們變態是two ways
[09:14] 真的是two ways都很變態
[09:16] 可是做到真的是
[09:17] 他連那些什麼很細微的小零件
[09:20] 或者說什麼血管
[09:21] 怎麼都有把它畫出來
[09:22] 我覺得超級厲害
[09:23] 然後老婆看到
[09:24] 我就問她說
[09:25] 這多少錢
[09:26] 你覺得多少錢
[09:26] 她跟我講說臺幣兩千
[09:27] 我直接跟她說
[09:28] 沒有眼光出去
[09:29] 那她就開始批評說
[09:30] 什麼這個東西上面
[09:31] 又有什麼肉奶
[09:33] 然後又有什麼肉屁股
[09:34] 然後還把血管都畫出來
[09:35] 她說就是很惡
[09:36] 她就覺得很惡
[09:37] 可是我覺得超帥
[09:38] 那像這個我就覺得說
[09:39] OK她可能真的
[09:40] 比較稍微暴露一點
[09:41] 但我就把它收進去一點
[09:43] 我就還是有去做一些
[09:44] 這個妥協
[09:45] 但其實蠻高興
[09:46] 就是我兒子也是喜歡
[09:48] 這一些動漫漫畫
[09:50] 或是遊戲相關的東西
[09:51] 你看到他喜歡
[09:52] 你就覺得很開心
[09:53] 其實我們有刻意的
[09:54] 要去把它導向這個方向
[09:56] 就覺得說像我們家的
[09:57] PlayStation或是Nintendo
[09:58] 就放在那
[09:59] 我也不會逼你去打
[10:00] 我不會說什麼
[10:00] 因為我自己是喜歡打電動的
[10:02] 我從小可能我爸不打
[10:03] 所以我就有遺憾
[10:04] 所以我現在就要叫你打
[10:05] 沒有
[10:05] 你喜歡打你就打
[10:06] 後來發現說
[10:07] 兒子他打電動自己會節制
[10:08] 他就是玩一下之後會停
[10:10] 但他蠻喜歡卡牌的
[10:11] 所以我們也在探索
[10:12] 就是去試著瞭解說
[10:14] 到底孩子喜歡什麼
[10:14] 然後就在旁邊去
[10:15] 稍微的輔助他一下
[10:17] 你喜歡卡包
[10:18] 那我就買卡包給你
[10:19] 可是也要很注意
[10:19] 我不可以一次買一堆卡包給你
[10:21] 因為我覺得破壞掉你的樂趣
[10:23] 我要讓你慢慢探索
[10:24] 你要慢慢開
[10:25] 然後我要教你說
[10:26] 這些東西算對生父來說
[10:29] 就是我不會跟他講的是
[10:30] 我可以隨便就買一堆
[10:31] 最點的給你
[10:32] 我就不要嘛
[10:33] 我就故意慢慢的讓你去開
[10:34] 然後你從一些普卡
[10:35] 然後慢慢的瞭解到說
[10:36] 有些是稀有的卡
[10:37] 你會想要收藏它
[10:38] 你會想把它收好或什麼的
[10:40] 我覺得這就是一個
[10:41] 很有趣的育兒體驗
[10:42] 所以也希望大家
[10:43] 在接下來的專業時間
[10:45] 可以找到有趣的東西
[10:46] 跟小朋友一起
[10:47] 稍微的經營一下
[10:48] 然後好好度過
[10:49] 春節假期
[10:50] 接下來我們來進入上話題
[10:52] 首先先聊一下關稅
[10:54] 臺灣拿了一個對等關稅
[10:55] 失誤帕不疊加
[10:56] 並且已經簽署了MOU
[10:58] 也拿到了232最惠國待遇
[11:00] 這件事情現場結論
[11:01] 就是我自己
[11:02] 或是我們身邊的一些朋友
[11:03] 都認為這是一個非常好的deal
[11:05] 但它其實也不算是我們在
[11:07] 過去一陣子的話題的熱點
[11:09] 它在臺灣的政治上面
[11:11] 可能大家吵得很兇
[11:12] 或者有很多人在討論
[11:13] 社群上也很多人在討論
[11:14] 但在交易的圈子裡面
[11:16] 我們大家其實比較多是在討論
[11:18] 臺積電的超級恐怖資本支出上銷
[11:20] 關稅這個話題
[11:22] 為什麼會沒有這麼熱的一個主因
[11:24] 是因為它基本上在2025年
[11:25] 已經反映過了
[11:26] 所以其實市場
[11:28] 除非是有一些更新
[11:30] 更誇張的事情跑出來
[11:31] 不然很多東西已經反映過的東西
[11:33] 特別是市場已經去抓到一個range
[11:35] 就知道說反正最差大概是怎樣
[11:37] 最好大概是怎樣
[11:38] 如果說不是那種超級誇張的bad or good
[11:41] 那就是大概在市場的一個預期範圍內
[11:44] 所以一般來講
[11:45] 它反映的幅度就不會太大了
[11:48] 所以就像說像臺股如果有大漲的話
[11:50] 我會認為說它漲的理由是臺積電去修這個CAPEX
[11:53] 而不是可能因為關稅
[11:54] 但關稅這個絕對是一個很好的理由
[11:56] 那為什麼要先講這個前提的一個主因
[11:58] 是因為我注意到很多人在網上吵架
[12:00] 會去拿這個股價的變化來證明自己是對是錯
[12:03] 那在我看來這樣的做法
[12:05] 其實跟拿AI的說法來證明自己是對是錯是一樣
[12:08] 就算你跟我是佔同一隊的
[12:10] 我也會覺得說你這個是可能會幫我們掉分
[12:12] 因為市場本身就會上上下下
[12:14] 所以就像說你今天去嗆人家說
[12:15] 因為某件事情然後股價上漲
[12:18] 所以你看我是對的
[12:19] 那如果接下來幾天市場往下掉
[12:21] 那是不是大家就講說你講錯了
[12:22] 其實這件事情是壞的
[12:23] 所以其實拿市場的表現去幫一個基本面說話我覺得是很怪的事情特別是那種極短期內因為市場本來就會上上下下所以我覺得有些事情只要先跳出來看也就是像我自己本身
[12:35] 算是一個動能仔
[12:36] 就是我們會看股價做事情
[12:37] 只是很多時候我會跟大家講說
[12:38] 你不要過度糾結短期的股價
[12:40] 因為你就會變成說
[12:41] 那我今天看到一個上漲
[12:43] 我掰了一個理由
[12:44] 然後接著明天下跌
[12:45] 難道你的理由就不存在了嗎
[12:46] 你這個東西講久了之後
[12:47] 大家就覺得你的credit就沒了
[12:48] 你就沒有信用了
[12:49] 因為你這個人整天改來改去
[12:50] 所以一般來
[12:51] 我們會去把這個基本面的東西
[12:53] 跟一些這種技術面的東西
[12:54] 稍微分開來
[12:55] 我們去找到基本面正確的方向
[12:57] 然後接著在技術面去找一些買點
[12:59] 這樣是對的
[13:00] 只是儘量不要去講故事
[13:01] 這個其實是非常重要的
[13:03] 不然有時候明明大家是同船的
[13:05] 可是也會被一些人雷到
[13:06] 你不是說這個東西要讓股價上漲嗎
[13:08] 那下跌那是不是你們講的
[13:10] 這東西完全都是錯的
[13:11] 這個覺得比較稍微的可惜一點
[13:13] 首先15%的關稅
[13:16] 是跟我們的主要競爭對手日韓都是一樣
[13:18] 那也跟歐盟目前是在同樣的一個位階之上
[13:21] 那這個雖然看起來是說
[13:23] 我們好像已經獲得一個勝利
[13:25] 因為我們跟主要競爭對手是持平
[13:27] 但其實在我自己的角度
[13:28] 我會覺得說
[13:29] 我們這個是超乎預期的勝利
[13:30] 為什麼
[13:31] 因為以前可能日本跟韓國跟美國
[13:33] 他們有一些自由貿易協定
[13:35] 跟臺灣是因為我們的特殊的地位
[13:37] 所以人家不願意來跟我們
[13:38] 做這樣的一些合作
[13:39] 所以其實以前我們的競爭
[13:41] 反而是更困難的
[13:42] 然後在川普的大刀一揮之下
[13:44] 好像意外的
[13:45] 反正大家他都要跟你克關稅
[13:46] 那把這個水平給拉上去之後
[13:49] 我們意外的跟大家站在同樣的一個位置
[13:51] 所以其實相較於幾年前的臺灣
[13:53] 可能現在我們甚至在國際貿易上
[13:56] 是更有優勢的
[13:57] 因為以前他們可以私下議約一些DL
[13:59] 那臺灣是沒有辦法加入的
[14:00] 可是現在大家都被拉到檯面上
[14:02] 那我們又拿了一個跟競爭對手一樣的東西
[14:05] 所以有點像說
[14:05] 以前我們是被迫打一個handicap match
[14:08] 我們搞不好一隻手是綁在後面
[14:09] 那現在我們兩隻手都可以放出來
[14:11] 所以即便有一個關稅的存在
[14:13] 但因為這個東西是看相對值的
[14:15] 就我們的對手其實跟我們拿一樣
[14:16] 那相較於之前
[14:17] 我們甚至是沒有辦法去拿到這些DL的話
[14:19] 其實臺灣的整體競爭力是更好
[14:21] 那再來就是232最惠國
[14:22] 這個其實也非常重要
[14:23] 就是說他們如果去調查
[14:25] 不管是一些什麼航太零件
[14:27] 或什麼工業
[14:28] 然後跟半導體藥業等等的
[14:31] 就如果說有談出一些deal的話
[14:32] 那臺灣也會優先去試用
[14:34] 這些最惠國的條款
[14:35] 所以整體看起來
[14:37] 是整個關稅的這件事情
[14:39] 至少以現階段來說
[14:41] 算是完美的落幕
[14:42] 反正確實你可以講說
[14:44] 美國就是要搶大家
[14:45] 他就是要跟大家克稅
[14:46] 因為他們要救自己的財政等等的
[14:48] 但既然大家都要被課這樣的一個稅
[14:50] 你可以拿到相對低
[14:52] 那在國際貿易上面
[14:53] 就已經是一個勝利了
[14:54] 所以我比較難以想象的是
[14:56] 有些人認為這是一個不好的事情
[14:57] 我認為這是一個極好的事情
[14:59] 或是我們身邊市場仔
[15:00] 可能也絕大多數認為是一個極好的事情
[15:02] 其實它不是我們可能會
[15:04] 想要在網上跟人家吵架的一個主題
[15:06] 因為如果現在要吵的話
[15:07] 就先吵說臺積電的capacity
[15:08] 可以影響多少
[15:09] 因為這個是比較直接的
[15:10] 錢到底會往哪跑
[15:11] 這個是我們在意的一個重點
[15:13] 但如果說我們是用
[15:14] 純產業業面的角度來說的話
[15:16] 這個關稅我覺得在未來
[15:18] 其實象徵著是
[15:19] 假設可以維持這樣子的一個狀態
[15:20] 我們跟同財的一個距離
[15:22] 大家都是在公平的一個競爭點之上的話
[15:26] 代表我們接下來幾年
[15:27] 我覺得臺灣的發育
[15:28] 會又再比那些國家來得更好
[15:30] 我覺得我自己會這樣想
[15:31] 特別是現在的經濟已經變成是
[15:33] 算是兩極化了
[15:34] 就是說俄羅斯跟中國可能是自成一家
[15:37] 美系跟美國的快樂好朋友是自成一家
[15:40] 在美國這邊
[15:41] 你靠它越緊
[15:42] 你可以拿到越好的地
[15:43] 勢必就代表說你的出口數字
[15:45] 你的各個財務表現
[15:46] 或者說整體人民的經濟
[15:48] 一定都會變得更好
[15:49] 那我們講是講說
[15:50] as a whole
[15:50] 當然一定會有些人會覺得說
[15:52] 自己可能在
[15:53] 這一波的半導體行情裡面
[15:55] 是受傷了
[15:56] 那個沒有辦法
[15:57] 那就是世界的一個變局
[15:59] 就是世界是在演進的
[16:01] 有些東西也不是說
[16:01] 什麼刻意有人要搞你
[16:03] 就是世界是在進步
[16:04] 那不然說我們自己在做交易
[16:06] 有時候也很擔心說
[16:07] 自己的做法會不會被時代淘汰
[16:08] 所以都必須要一直往前看
[16:09] 那隻能夠說
[16:10] 就是以臺灣這個島嶼來講
[16:13] 可以獲得的利益
[16:14] 應該是會更多
[16:15] 只是大家怎麼樣去搶到這些利益
[16:17] 有蠻多船廠也很光速的去做
[16:19] 這種轉型
[16:20] 我覺得可能本來
[16:22] 一樣是做鐵殼
[16:22] 那鐵殼你可以做電腦
[16:24] 你可以做一些有的沒有的東西
[16:25] 你可以做AI Server
[16:26] 做進去AI Server
[16:27] 你那個鐵殼就變超級值錢
[16:28] 就是一些機殼廠
[16:30] 其實老實講
[16:30] 在我自己的角度看
[16:31] 我都覺得超級不可思議
[16:32] 他們怎麼可以賺這麼高的EPS
[16:34] 然後還賺這麼久
[16:35] 但事實就是這樣
[16:36] 你抱對大腿
[16:37] 你就可以獲得非常巨大的一個收益
[16:39] 所以以關稅
[16:41] 然後跟產業面的角度來講
[16:42] 我覺得這個是無庸置疑的
[16:44] 拿到一個非常好的deal
[16:45] 那有些人可能會有一些疑慮跟擔心
[16:48] 那我覺得那可能是沒有把規定看清楚
[16:50] 就像我看到說有人講說
[16:52] 這是一個什麼5000億的投資
[16:53] 那其實不是5000億
[16:54] 那是2500億是民間去投資
[16:56] 那2500億是政府的信保
[16:57] 所以那有點像是說
[16:58] 政府去擔保這個貸款
[17:00] 並不是說什麼
[17:01] 有政府要拿出這樣的一筆錢
[17:03] 那再來這2500億
[17:04] 其實是由民間的企業去出
[17:05] 那有蠻多人是把臺積電
[17:07] 當成是自己的公司
[17:08] 我覺得那個心態上是這樣
[17:09] 所以他才會覺得說
[17:10] 好像我被搶了
[17:11] 可是問題是
[17:12] 除非你是臺積電的股東
[17:13] 你是股東
[17:14] 當然每個人都可以發表意見
[17:15] 只是資本市場
[17:16] 跟社群媒體的一個差距是
[17:18] 這也是為什麼
[17:19] 我自己是不太喜歡社群媒體
[17:20] 就是社群媒體
[17:22] 會讓每一個人講話
[17:23] 好像都一樣重要
[17:24] 因為反正任何一個人
[17:25] 他甚至開一個新的賬號
[17:26] 發的新一篇文
[17:27] 他都可以有什麼幾千個贊
[17:29] 因為那個傳播力很恐怖
[17:30] 可是問題是這個人
[17:31] 他其實講出來的話
[17:32] 有可能是完全不重要的
[17:33] 或是他其實是一個
[17:34] 社會上的nobody
[17:35] 當然我們不知道
[17:35] 以人廢言
[17:36] 是我意思是說
[17:37] 怎麼講
[17:38] 就是說這個世界上
[17:39] 家有很多的資訊
[17:40] 絕大多數
[17:41] 我還是會選擇去站在
[17:43] 專家學者這個角度
[17:44] 或者說
[17:44] 誰出錢出最多
[17:46] 我就站在那個角度
[17:47] 因為我們以資本市場
[17:47] 自由市場的一個觀念
[17:49] 我們就是這樣
[17:49] 如果你今天是股東
[17:51] 你是大股東
[17:52] 那你講的話
[17:52] 就會有重量
[17:53] 因為你有比較高的
[17:54] 一個投票權
[17:55] 所以如果說今天
[17:56] 大股東們
[17:57] 或者說公司的經營層
[17:58] 他們都覺得沒問題
[17:59] 那可是一個
[18:00] 沒有買股票的人
[18:01] 或是他只買一張的
[18:02] 他有很多問題
[18:03] 那請問你到底要聽誰的
[18:04] 所以這個就很簡單
[18:05] 就是說我一定是要聽
[18:06] 在這個市場上面
[18:08] ownership比較高的人的說法
