[00:00] 歡迎收聽古埃維生物工本期節目由NordVPN贊助
[03:31] 其實當下我就是跟著哭了
[03:33] 因為我真的覺得
[03:33] 不知道就很感傷吧
[03:35] 就是你想要看到你兒子
[03:37] 除了他什麼有小孩啊
[03:39] 或者說什麼
[03:39] 娶到老婆啊
[03:41] 那甚至他的孫子什麼
[03:43] 你想要看到這一切之外
[03:44] 那同時你也想經歷他的一生嘛
[03:46] 所以就真的是蠻感嘆的
[03:48] 人的生命是有限的
[03:50] 但其實也是因為有限
[03:51] 我們早就去珍惜這些事情
[03:52] 當下就覺得百感交集
[03:55] 所以我看兒子在那邊哭
[03:56] 那我就是默默的也跟著滴淚一下
[03:58] 然後稍微安慰他說
[03:59] 爸爸永遠都會保護你
[04:00] 你不要怕
[04:00] 就算有一天
[04:02] 爸爸跑去當天使
[04:03] 我也會在你旁邊
[04:04] 反正就是講那些
[04:05] 怎麼樣
[04:06] 他有點成槍爛掉
[04:07] 因為我相信每個人都是這樣安慰
[04:09] 或是有些家長可能就用騙的
[04:11] 就不跟他討論這些話題
[04:12] 但我覺得說
[04:13] 反正孩子要問
[04:14] 我就跟他講
[04:14] 那後來我老婆進來
[04:16] 媽直接把我臭掉一頓
[04:17] 她意思是說
[04:18] 你在睡前跟他講這個幹嘛
[04:19] 我說媽的
[04:20] 這不是我可以決定的
[04:21] 你兒子在問問題
[04:22] 我可以叫他安靜嗎
[04:23] 他說你去叫他安靜
[04:24] 叫他睡覺明天再問
[04:25] 我沒有辦法
[04:26] 我說他每次問我問題
[04:27] 我就一定要回答他
[04:27] 因為我自己知道
[04:28] 我從小就那種超多問題的
[04:30] 那老師都會講說
[04:31] 為什麼你媽問題最多
[04:32] 老師每天都這樣噴我
[04:34] 可是我因為從小這樣被對待
[04:35] 我就知道說
[04:36] 因為我們這種
[04:37] 就是很有好奇心的人
[04:38] 你給人家那種阻擋下來之後
[04:40] 你心中會有點受傷
[04:41] 所以我就儘可能回答
[04:42] 他說那你可不可以
[04:43] 不要在半夜的時候
[04:44] 去回答這種問題
[04:45] 我說好OK
[04:46] 那之後後來隔了幾天之後呢
[04:48] 在一樣是睡前
[04:50] 他就跟我講說
[04:51] 爸爸我想換一個爸爸
[04:52] 他是要跟我開玩笑
[04:54] 我那時候也不知道
[04:55] 我以為說我是在來得罪他
[04:56] 因為我兒子是那種
[04:57] 蠻敢愛敢恨的
[04:58] 他很多時候就說
[04:59] 爸爸你要跟我道歉
[05:00] 你做錯什麼事情
[05:01] 類似這種
[05:01] 我想說是不是我做錯什麼事情
[05:03] 惹到他
[05:04] 他說我要換爸爸
[05:05] 我就跟他說
[05:06] 好吧
[05:06] 那雖然我有點遺憾
[05:08] 但我接受
[05:09] 那可能明天就有新的爸爸
[05:10] 要換過來
[05:11] 然後一樣他就想個
[05:12] 五秒鐘四秒鐘
[05:12] 就開始爆哭
[05:14] 那我就要立刻跟他道歉
[05:16] 然後他平常都是那種抱不到
[05:18] 就只有在那種迷流之際
[05:21] 快睡死的時候
[05:22] 有辦法可以抱到他
[05:23] 那這時候他就自己跑過來抱我
[05:25] 就是他不要換爸爸
[05:26] 他有這個爸爸
[05:27] 那我其實心中就覺得
[05:28] 非常的暖
[05:30] 所以這邊也分享一些小故事
[05:31] 給我們地方聽眾很多超男生的
[05:33] 他就跟我一樣
[05:34] 會跑出來靠背靠肚
[05:35] 會跑來私訊我講說
[05:37] 孟公我可以懂你那時候的感受
[05:38] 其實不要想那麼多
[05:40] 因為像在這些
[05:41] 這種睡前的時刻或什麼的
[05:44] 很多時候你還是會發現說
[05:45] 男生也是可以很甜的
[05:46] 只是說可能在傳統的教育之下
[05:48] 像我們小時候被教育就這樣
[05:50] 男兒有淚不輕彈
[05:51] 男生就是要扛
[05:52] 男生不要一堆意見
[05:53] 男生居然去廁所給人家摸屁股
[05:55] 也不要講
[05:56] 你講出去還給人家笑說
[05:58] 你怎麼會給人家摸屁股
[05:59] 大家不會覺得說
[06:00] 男生會被性騷之類
[06:01] 所以我們從小就習慣說
[06:02] 男生不可以講太多東西
[06:04] 也因為這樣子
[06:05] 所以可能就會心中已經
[06:07] 就是在前一次裡面認為說
[06:09] 反正男生就是一個
[06:10] 比較冷血的存在之類的
[06:11] 那女生呢就是要疼
[06:12] 就是要愛或什麼
[06:13] 但實際上呢
[06:14] 我覺得當然在我們這一輩的
[06:16] 我覺得家長的革新之下
[06:18] 就是蠻多的小男生
[06:20] 其實我覺得他們也都很甜
[06:21] 跟我們小時候認識的那種
[06:22] very typical
[06:24] 超級典型的小男生
[06:25] 調皮搗蛋亂搞
[06:27] 有蠻大的差距
[06:28] 我覺得當然男生還是會活力旺盛
[06:30] 男生還是會搞事情
[06:32] 可是呢
[06:32] 就是蠻多時候呢
[06:34] 他們也可以像是
[06:35] 大家想象中的那種女生一樣
[06:37] 就是他可以跟爸爸媽媽
[06:38] 去談一些情緒
[06:39] 他陪伴你
[06:39] 他跟你聊天或什麼的
[06:41] 女生可能還是好一些
[06:42] 但男生沒有這麼差
[06:43] 我表達這個意思
[06:44] 所以簡單來跟大家分享一下
[06:46] 光是這兩個事件
[06:48] 就讓我覺得
[06:48] 當爸是一個蠻好的體驗
[06:51] 就是這種簡單的小東西
[06:53] 你知道說你在這個世界上
[06:55] 是有人需要你的
[06:57] 不是說什麼像你自己想象的
[06:59] 好像我自己可有可無
[07:00] 絕大多數的時間點
[07:01] 我真的都覺得自己可有可無
[07:03] 突然間有人是需要你的
[07:05] 有人是會想到你的
[07:07] 或是說他學校辦一個活動
[07:09] 他可能會東張西望
[07:10] 看說他爸在哪
[07:11] 所以這種被需要的感覺
[07:12] 是還蠻好的
[07:13] 簡單的跟大家分享一下
[07:15] 最近的一個育兒的體驗
[07:17] 很快的又要過新的一年了
[07:19] 所以這邊就先跟大家分享一下
[07:21] 今年自己的一些想法
[07:23] 然後一些可能在做法上的
[07:26] 調整跟改變
[07:27] 以及對未來的一些看法
[07:28] 老實說在今年四月的時候
[07:30] 心中想的是
[07:31] 今年應該就這樣了
[07:33] 應該就完蛋了
[07:34] 應該也非常難救回來之類的
[07:36] 結果沒有想到
[07:37] 今年的表現
[07:38] 早上才剛跟林口副爸爸聊天聊了一下
[07:41] 他今年的表現是
[07:43] 大概就跟去年差不多
[07:45] 他也覺得非常的好
[07:45] 像我的話
[07:46] 我今年的表現是
[07:47] 稍微的一點點優於去年
[07:49] 老實講是有點靠賽
[07:51] 因為在年底
[07:52] 我本來一些比較不會動的部位
[07:55] 像是Tesla
[07:55] 然後像是我的一些小鬼谷的組合
[07:57] 也不知道為什麼
[07:58] 突然間全部都醒過來了
[08:00] 所以其實本來
[08:01] 今年的表現會略遜於去年
[08:03] 但因為這些東西全部都醒過來了
[08:05] 所以突然間就截至今天為止
[08:08] 當然我們不知道
[08:09] 還有剩下幾天
[08:10] 如果再給我連續重殺幾天的話
[08:13] 搞不好又掉下去
[08:13] 反正總之就是
[08:14] 目前看起來是比去年好了
[08:16] 所以心中是抱持著一個
[08:18] 非常感恩讚歎的心情
[08:20] 因為在四月多的時候
[08:21] 真的沒有想過這樣的一個可能性
[08:24] 那今年是一個好年
[08:25] 就是各種題材下去做
[08:26] 不管是老樣子
[08:28] 那些老AI老硬體
[08:29] 還是有做
[08:30] 只是沒有做那麼多
[08:31] 然後再來就是一些軟體股的表現
[08:33] 像美股的Cloudflare
[08:35] Palantir
[08:36] 或是Confluent
[08:37] Confluent雖然是用一個
[08:38] 比較特別的方式出場
[08:40] 但還是有賺到錢
[08:42] 所以其實整體的軟體組合
[08:44] 包含像是臺股的軟體組合
[08:45] 在年尾結算的時候
[08:46] 大家的報酬都是非常好的
[08:47] 那再來在記憶體這邊
[08:49] 也是蠻不錯的
[08:50] 雖然基本上記憶體的那種超大餘味
[08:53] 我都等於是沒有吃到
[08:54] 就只剩下一點點部位
[08:55] 但是其實在餘頭那邊
[08:57] 因為趕重壓
[08:58] 所以就也是補了蠻多
[09:00] 所以其實整體看下來
[09:02] 就是一個非常好的一年
[09:04] 那大概在10月多11月的時候
[09:06] 有一些受挫
[09:07] 那不太影響
[09:09] 就是有一些回吐
[09:10] 因為那時候就是比較偏向說
[09:12] 反正追什麼就不剩背套
[09:13] 一直被處理
[09:14] 那所以去稍微的調整一下看法之後
[09:16] 然後變成是用自收班的方式
[09:18] 然後到現在12月呢
[09:19] 又再一次的持續的往上走
[09:21] 所以整個看起來是不錯的一年
[09:24] 那在4月的這個事件之後呢
[09:26] 算是有影響到我自己的一些
[09:29] 核心判斷跟價值觀
[09:30] 就是有些想法會就此改變
[09:32] 那我早期在弄股票的時候
[09:34] 其實比較偏向是
[09:35] 隨時都是用很大的槓桿去做了
[09:37] 就只要可以融資的東西
[09:38] 我一定是融滿
[09:39] 有些東西買下去之後
[09:40] 發現說
[09:41] 它不能夠融資
[09:42] 怎麼辦
[09:42] 應該不就買下去
[09:44] 研究了半天
[09:45] 然後發現說它不能夠融資
[09:46] 有時候是這樣
[09:46] 最近看到一個股票
[09:47] 覺得很酷
[09:47] 然後在那邊搞搞搞
[09:48] 整個週末在研究
[09:49] 研究完之後
[09:50] 禮拜一要買
[09:51] 然後發現說
[09:51] 它沒有開融資
[09:52] 我就不買了
[09:53] 因為這樣我就不買了
[09:54] 因為我就覺得說
[09:55] 會卡到錢
[09:56] 所以以前都是用這種
[09:57] 非常緊俏的方式在搞
[09:59] 當然這樣子的好處是什麼
[10:01] 就是說有可能可以上來的比較快
[10:02] 這樣的壞處是什麼
[10:04] 就是如果說有遇到一些不好的事情的話
[10:05] 那時候可能就會受到很大的一個傷害
[10:08] 隨後其實我自己就很快的意識到
[10:10] 說這樣的一個做法
[10:11] 它是不持久的
[10:12] 就是你這樣子做下去
[10:14] 你終後一天會翻船
[10:15] 只是什麼時候的問題而已
[10:16] 所以後來就開始慢慢的
[10:18] 有去做一些部位的調整
[10:20] 像現在是我自己身上的一個槓桿的比例
[10:22] 大概都是落在一點多左右
[10:24] 也就是說假設我今天只有1億元的話
[10:26] 我就只會買到1.3 1.5億
[10:27] 這個意思
[10:28] 就是我不會像以前
[10:29] 可能1億元我就去融資融買
[10:30] 就是2.5億的一個購買力
[10:32] 這樣子去舉例
[10:33] 所以其實已經是算很保守的一個做法
[10:36] 就一點多倍在我自己身邊的同業
[10:39] 或是一些快樂好朋友
[10:40] 鼓友們的角度來看
[10:42] 我認為可能已經算是很保守的人
[10:44] 就你很少可以看到比我更保守的人
[10:47] 其他人就是往往還是有蠻大的一個槓桿
[10:50] 當然他們有一些去hedged掉
[10:51] 這些槓桿風險的做法
[10:53] 然後就要說他可能隨時在
[10:54] 期貨保證金那邊有放一筆錢
[10:56] 所以如果今天突然間發現盤不好
[10:58] 他就立刻去
[10:59] 做一個胎質企業空單
[11:01] 或是怎麼樣
[11:01] 去做hedging
[11:03] 所以他可以很快的
[11:04] 把那個部位的曝險往下拉之類的
[11:06] 反正每個人有自己的一些做法
[11:07] 那我算是一個相對保守的
[11:09] 可是老實講在四月之後呢
[11:10] 我覺得我整個人還是有被改變
[11:12] 那時候四月就跟大家分享說
[11:13] 我覺得我被改變了
[11:14] 然後後來
[11:15] 其實接下來的幾個月呢
[11:16] 我都一直在做相對應的一個調整
[11:18] 就是呢
[11:19] 因為我目前的資金
[11:20] 其實還是沒有大到像什麼
[11:21] 林口富爸或是一些身邊的朋友
[11:24] 就是他已經可能不知道
[11:25] 就要往百億去看了
[11:26] 所以他們的資金是很寬裕的
[11:28] 簡單來講就是
[11:29] 他甚至會有煩惱
[11:30] 就是錢到底要往哪裡放這樣
[11:32] 所以他們可能就是
[11:33] 未必會使用到融資
[11:35] 或者說就算他使用到融資
[11:37] 可是他場外的資金補進來
[11:38] 也可以把它直接填平掉
[11:40] 像我自己的話
[11:41] 就還是會去使用一點融資
[11:42] 因為對我來講
[11:43] 就是這些東西都還是放得下的
[11:45] 只是說沒有放到像之前這麼大
[11:47] 是因為第一個風險的考量
[11:48] 然後第二個是
[11:48] 確實有一些比較小型的標的
[11:50] 你現在放進去的話
[11:51] 你就會有出不來的一個問題
[11:53] 所以也沒有像過去
[11:55] 就是曾經有一個說法
[11:56] 我忘記幾年前
[11:57] 我會跟大家講
[11:58] 就是我那個策略
[11:58] 基本上像是未納量無限
[12:00] 就是反正你只要給我更多錢
[12:02] 或者說我賺到更多錢
[12:03] 我就可以持續的丟進去
[12:04] 可是現在呢
[12:05] 就像說在美股市場
[12:06] 當然不有這個問題
[12:07] 可是在臺股市場
[12:08] 有一些那種小型的標題
[12:09] 我喜歡的
[12:09] 我就會去擔心說
[12:10] 我今天如果買這麼多進去
[12:11] 會不會出不來
[12:12] 所以就開始會有一些
[12:13] 這個未納量的一個考量
[12:15] 所以也變成說
[12:16] 被動的
[12:17] 就算你想要去上這麼大的一個槓
[12:18] 你也沒有辦法
[12:20] 所以槓就一直維持在
[12:21] 大概一點多倍左右
[12:22] 所以大概就是在
[12:24] 以今年來看的話
[12:25] 是65%到160%之間過去可能是85%到160 170之間然後後後來為什麼今年會到65%呢因為今年有一些就當然那可能是體感
[12:36] 也可能是幸運或什麼
[12:37] 就是選擇要把部位降到
[12:39] 比過往更低的一個嘗試
[12:40] 在過去的集數
[12:41] 我跟大家分享
[12:42] 在某些時間點
[12:42] 那所以就是
[12:44] 有創下這個部位
[12:45] 新低的一個時間段出現
[12:48] 所以就發現說
[12:48] 那你一定是有什麼東西
[12:50] 被改變了嘛
[12:50] 才會有這樣的一個
[12:52] 做法的改變
[12:53] 那確實就是在4月
[12:54] 這個事件
[12:55] 大家還記不記得
[12:56] 這個reciprocal tariff
[12:57] 然後川普拿了一個小板搬出來
[12:58] 本來那一天夜盤的NASDAQ是漲的
[13:00] 然後突然間轉崩嘛
[13:02] 然後後來就是這個臺股大爆炸事件
[13:04] 連續鎖了好幾天跌停
[13:06] 這個對大家來講
[13:07] 應該很多人都餘悸猶存
[13:08] 然後覺得是一個非常恐怖的事件
[13:10] 那這個事件改變我的一點是什麼
[13:12] 就是我發現
[13:13] 因為你的賬戶可能只有好幾個
[13:15] 有些賬戶可能是說
[13:16] 它是維持在融資維持率
[13:18] 不知道就是200%左右的一個水位
[13:20] 你用指押嗎
[13:21] 那有些可能是說
[13:22] 它是可以完全是零槓的一個狀態
[13:25] 可是當你今天如果有一些
[13:26] 流動性擠壓的問題出現
[13:28] 像那時候一堆股票在跌停
[13:30] 這時候可能產生的狀態是
[13:32] 你有一些部位是
[13:33] 它有機會要補錢的
[13:35] 雖然即便我事後回頭看
[13:36] 我最低都只有到180%
[13:38] 就還算是一個很保守
[13:39] 還可以吃三四根跌停的狀態
[13:41] 可是就是有讓我嚇到
[13:43] 就是我沒有想過說
[13:44] 這個流動性的擠壓
[13:45] 可以搞到這樣的一個程度
[13:47] 所以那時候會產生的一個問題是
[13:49] 假設我今天要掉錢的話
[13:51] 我要從某一個賬戶去賣東西
[13:54] 然後賣出來之後
[13:55] 你知道像他去轉賬
[13:56] 你要用那個網路的網銀轉的話
[13:59] 那最高就是兩三百萬嘛
[14:00] 你可能要到現場去搬錢或什麼的
[14:02] 你就是會搞到自己很麻煩
[14:04] 那如果說這個跌停是持續幾天的話
[14:06] 怎麼辦
[14:07] 就是你會甚至會開始擔心說
[14:08] 有沒有可能那個錢會gob過去
[14:10] 就是你是有流動性的
[14:12] 只是你被卡住了
[14:13] 你gob過去
[14:13] 所以就突然間意識到說
[14:15] 其實平常就要去注意
[14:17] 每個賬戶的那個維持率
[14:18] 要儘量的拉平
[14:19] 不要說這麼有些是很緊繃的
[14:20] 如果說很緊繃的那個
[14:22] 就只有個幾百萬好了
[14:23] 那你就真的給他斷頭
[14:25] 就去死算了
[14:25] 可是如果今天這個賬戶
[14:27] 也是算有一定規模的
[14:29] 那你就要注意說
[14:29] 這個賬戶如果嘎不過來
[14:31] 其他有沒有辦法過來救火
[14:32] 就是你有沒有時間
[14:34] 去處理這樣的事情
[14:35] 或者說你會不會被銀行卡住
[14:36] 這都是要考量的
[14:37] 所以第一個就是去最佳化
[14:39] 自己的每一個分點的資金的狀態
[14:42] 就是稍微的去平均分佈它
[14:44] 不會說搞得那種頭重腳輕這樣
[14:46] 然後再來就是
[14:47] 要去規劃好一些
[14:49] 緊急備用的入金的管道
[14:52] 就如果今天出事情
[14:52] 我要怎麼樣從其他地方去補
[14:54] 然後補的話
[14:55] 可以把它去立刻的拉平
[14:57] 然後不會有被追繳的一個可能性
[14:58] 因為像我自己
[14:59] 真的很討厭被追繳
[15:00] 我知道我們蠻多同業
[15:01] 他們時不時會分享說
[15:02] 自己被margin code的一個心得
[15:05] 很多人都在這種
[15:06] 極限操作之下生存
[15:07] 那只是像我自己
[15:08] 是非常討厭這樣的事情
[15:09] 所以就是我不會接受
[15:11] 自己被margin code
[15:12] 所以一定要隨時去準備好
[15:14] 一個部位在那邊要去救
[15:15] 那這是我本來第一個想法
[15:17] 那後來第二個想法就是說
[15:18] 其實可能就是一個
[15:19] 時間到的象徵
[15:20] 就老天給你一個機會
[15:21] 老天告訴你說
[15:22] 這種事情是可能會發生的
[15:24] 那你說未來有沒有可能發生更嚴重的事情
[15:26] 其實我隨便算就可以想到幾個
[15:27] 第一個歐陸大戰
[15:29] 突然間普丁決定要射蘑菇之類的
[15:32] 雖然我們講到機率很低
[15:33] 可是黑天鵝不就是這樣
[15:34] 就是你很難預期的事件
[15:36] 然後第二個
[15:37] 習近平突然決定要開進臺灣之類的
[15:39] 他決定要去什麼佔領金門什麼的
[15:42] 你說那個市場影響不大
[15:43] 那一定也是很恐怖的
[15:44] 然後再來
[15:45] 有可能是很簡單的事件
[15:47] 甚至有點到白痴的事件
[15:49] 就突然間政府發現說
[15:51] 這個股民們感覺好像賺得蠻好的
[15:53] 那不然我們來課個證所稅好了
[15:55] 突然間跟你講說要課證所稅
[15:57] 那我們都知道說
[15:57] 過去課證所稅發生了什麼事情
[15:59] 曾經的那個郭婉容事件是連續跌停
[16:02] 你去看一下那個線圖超級恐怖
[16:04] 大盤的線圖長那個樣子
[16:05] 那當然我們相信說
[16:07] 現在的市場是比較成熟了
[16:08] 那參與的人很多
[16:09] 可是我覺得
[16:10] 就算是什麼打對摺
[16:11] 還是有可能發生
[16:12] 就是沒有像那時候那麼誇張
[16:13] 少一半好不好
[16:14] 但是還是很恐怖
[16:15] 少一半那是有機會的
[16:17] 因為突然間那種融資
[16:18] 全部卡在上面
[16:19] 像四月那樣子
[16:20] 就連續跌停
[16:21] 它是有機會發生的
[16:22] 那如果真的發生的話
[16:23] 那到時候你要怎麼樣
[16:24] 嘎過來
[16:24] 而且到時候你的錢
[16:25] 可能是比現在又更多了
[16:27] 所以會出問題
[16:28] 會有大條的
[16:29] 所以其實因為這樣子
[16:30] 我就去找了一些
[16:31] 場外的
[16:32] 就是除了那種
[16:33] 券商的融資管道之外
[16:35] 場外的銀行
[16:36] 然後或是一些租賃公司
[16:37] 當然租賃公司
[16:38] 它的利率一般來說
[16:39] 是比較高
[16:39] 只是我有辦法
[16:40] 是壓到很低的一個利率
[16:42] 就在他們合約裡面
[16:44] 是辦法彈到很低
[16:44] 所以我就是
[16:45] 各個管道都把它開啟來
[16:47] 然後去確保說
[16:48] 如果我今天有被卡住的一個可能性的話
[16:51] 我可以從那邊立刻就掉錢出來
[16:53] 我就股票就送進去給你
[16:55] 那你就給我錢
[16:56] 我就可以去把
[16:57] 我質押被卡到的東西都換出來
[16:59] 那這就是我做的一個調整
[17:01] 然後再來就是
[17:02] 其實整體的水位
[17:03] 因為這樣在往下降
[17:04] 所以基本上現在已經降到一個
[17:06] 甚至有時候會比較看盤的一個程度
[17:08] 因為已經算是非常的安全與保守
[17:10] 那我覺得這是四月帶給我的一個啟示
[17:12] 我不知道大家在四月學到什麼東西
[17:14] 但四月對我來講是一個
[17:16] 就是怎麼講
[17:17] 就因為這樣子認知到
[17:19] 其實自己的風險
[17:20] 還要再抓得更保守的一個事件
[17:23] 那可能很多人遇到
[17:24] 四月這個事件之後呢
[17:25] 他還是很有勇氣
[17:26] 然後在那邊衝來衝去
[17:27] 我身邊有些朋友是這樣
[17:28] 那只是對我來講
[17:29] 我覺得就是我生命中的一些事情
[17:32] 因為這個四月事件有去做改變
[17:34] 我知道說我不想要在未來的某一天
[17:36] 可能我今天已經什麼38歲了
[17:38] 43歲了
[17:38] 46歲了
[17:39] 然後我要晚上睡不著
[17:41] 而且那時候其實對我來講壓力很大
[17:43] 然後讓我痛定思痛
[17:45] 決定就是已經很保守
[17:46] 還要變得更保守的一個原因
[17:48] 是因為那時候剛好我兒子出生
[17:49] 我兒子在4月5號出生
[17:50] 所以你想說外面市場在崩盤
[17:52] 然後我兒子那時候
[17:53] 全身都檢查出一堆問題
[17:55] 我要去跑病房或什麼的
[17:57] 然後上臺大那個重症區那邊
[18:00] 就是在外面坐著等
[18:01] 所以其實對我來講
[18:02] 我覺得我的壓力太大了
[18:05] 所以我必須要去
[18:06] 在這方面去做一些最佳化
[18:08] 所以因為這樣子去做改動之後
[18:10] 我覺得在後面的一整年
[18:12] 其實整體的心情上都是非常的舒服
[18:14] 那預計到明年應該會
[18:15] 再做更進一步的壓縮
[18:18] 就是再把這個
[18:19] 曝險再降到更低一點
[18:21] 那其實降到更低呢
[18:22] 在絕大多數人的眼中
[18:24] 都還是很高
[18:24] 因為都是超過100%的意思
[18:26] 可是呢
[18:27] 絕大多數的
[18:28] 我們的同業
[18:29] 他們其實蠻多是
[18:30] 打更高的一個水位
[18:31] 所以我能夠說
[18:32] 就我在同業裡面
[18:32] 算是一個極度保守的存在
[18:34] 那在一般人的眼中
[18:35] 可能還是一個高風險的存在
[18:37] 那都是一個相對值
[18:38] 那在自己的部位的配置上面
[18:40] 就是在動能的比例上
[18:42] 我覺得在今年
[18:44] 我是有把它加大
[18:45] 因為就是特別是
[18:46] 我覺得highlight是在9月那一段
[18:48] 然後9月那一段真的是太順了
[18:50] 就基本上每個題材都搞到
[18:52] 所以我的認知一向是這樣子
[18:54] 就是你做的好的東西
[18:55] 你就要把它加大
[18:56] 所以其實動能的比例是有調到很高
[18:58] 然後幾乎所有可以調動的錢
[19:00] 所有可以搬出來的各種融資或質押
[19:03] 什麼都拿出來考
[19:04] 然後直到就開始發現說
[19:06] 不慎被套的機率持續上升之後
[19:08] 就把它收回去
[19:09] 當然這個算是有守住
[19:10] 那我覺得這個部位
[19:12] 我可能就還是維持一樣的看法
[19:13] 就是因為其實在今年都還是可以做
[19:16] 都做得好好的
[19:16] 所以在明年就還是會持續這樣子
[19:19] 那在小鬼谷這邊呢
[19:20] 我去做了蠻多的調整
[19:22] 就是過往的小鬼谷
[19:23] 我鎖定的物件是那些市值
