[00:00] 欢迎收听谷爱,我是香木工,本集节目由New Balance赞助
[00:03] 天气开始变热,知道大家都在看机票或是去户外走
[01:54] 我觉得她在上面应该会继续收听
[01:56] XD
[01:57] 那个X还要用小写的
[01:58] 然后D是大写的
[01:59] 小徐你这个愚人节玩笑太过分了
[02:02] 我们还在等你说骗你的
[02:04] 但你真的走了
[02:05] 孩子我顾家我撑
[02:06] 你就安心的跟着光走
[02:08] 不痛就好
[02:09] 剩下的我来扛
[02:10] 那其实我自己是不太清楚
[02:12] 就是说人挂掉之后
[02:13] 到底可不可以听到一些东西
[02:14] 那只是像以我现在的
[02:16] 这个年纪来讲
[02:17] 特别是前面经历过
[02:19] 自己小孩子的一些状态之后
[02:21] 那我是倾向说
[02:22] 我是相信说
[02:23] 这个世间是有神灵
[02:25] 那再来可能也是有一些能量的存在
[02:28] 所以我是觉得说
[02:28] 小徐应该会听到
[02:30] 那我自己也有话要对小徐讲
[02:31] 那我觉得小徐你可以放心
[02:33] 因为你太太是一个非常勇敢的人
[02:35] 她第一时间来寻求我的帮忙
[02:38] 那我就直接去提供
[02:40] 她所需要的一些资源
[02:42] 相信我你的孩子绝对不会饿到
[02:44] 也不会冷到
[02:45] 这个是绝对不用担心的
[02:46] 你就安心的跟着
[02:47] 我不知道你是喜欢什么东西
[02:49] 因为像我自己的话
[02:50] 我现在就会觉得说
[02:51] 假设我挂掉的话
[02:51] 我想要到那个尼基的世界
[02:53] 所以你不一定喜欢尼基
[02:55] 你可能喜欢的是
[02:56] 不知道宝可梦
[02:57] 还是说是菩萨
[02:58] 还是你要去什么
[02:59] 难以逾逆之地
[03:00] 不管那你就是快乐的
[03:02] 开心的去
[03:03] 有时候回来看一下你的孩子
[03:05] 就要记得不要吓到他们
[03:06] 就是偶尔可以回来
[03:08] 稍微看一下
[03:08] 那就放心吧
[03:10] 所以我们就希望这个小徐
[03:13] 可以在之后的世界里
[03:15] 过得平安健康
[03:16] 其实我蛮常收到一些
[03:17] 这种比较特别的讯息
[03:19] 就是我真的没有想过
[03:21] 你录一个节目
[03:22] 你跟人家聊个天
[03:23] 然后你真的就是
[03:24] 某个程度上
[03:25] 涉入大家的生活
[03:26] 像有些人会跟我讲说
[03:27] 他在通勤的时候听
[03:29] 或者说他在难过的时候
[03:30] 他获得一些力量
[03:31] 我想说我在讲
[03:33] 减肥针怎么打
[03:34] 你是怎样获得力量
[03:35] 就像那时候
[03:36] 林泽轩在他的退休上面
[03:38] 然后讲说我怎么样
[03:39] 就刚好
[03:39] 我在想
[03:40] 那富邦的球迷
[03:41] 听到这一段
[03:42] 想说我把这个节目找来看
[03:44] 是什么前面两集
[03:45] 都在讲说他怎么样打减肥针
[03:47] 这个人是沙小
[03:48] 就是一定会有很多人这样子的想法
[03:50] 可是我现在已经过那个阶段
[03:52] 就是我已经没有觉得说
[03:53] 我要怎么样的让自己presentable
[03:55] 怎样子会是比较好看
[03:57] 怎样的一个预测准不准或什么
[04:00] 这个对我来讲真的不重要
[04:01] 所以很好笑
[04:02] 因为在一开始我的想法
[04:03] 真的是有想过说
[04:04] 有一天我要当话语霸权
[04:06] 我节目都录了
[04:07] 可是我现在的想法是
[04:08] 我才不想当话语霸权
[04:09] 我想要密底外的刮坑
[04:10] 所以我放emoji
[04:12] 我反而是希望说
[04:13] 不要有太多那种股票宰牌
[04:14] 挺很烦
[04:15] 就是我们可以靠这个生活
[04:17] 我们很幸运
[04:18] 那我们就默默的做
[04:19] 有些可以共鸣的来挺脚
[04:21] 但不要有一堆新的说什么
[04:22] 他最近讲什么很准跑来
[04:24] 我超怕这种人
[04:25] 你们最好不要来
[04:26] 我们就是完全在谈心聊天
[04:28] 可能聊一些
[04:29] 不知道日常生活相关的东西
[04:32] 或是QA回答大家一些那种疑难杂症
[04:34] 现在变成是我最喜欢的东西
[04:36] 那也因为这样子
[04:37] 就会开始去思考一些
[04:38] 比较偏向生活层面的
[04:40] 像是真的就陪伴一些人
[04:42] 度过了他的比较低潮的时刻
[04:44] 或是甚至就你陪着一些人
[04:46] 然后到他的最后一刻
[04:48] 那像之前就有一个听众是
[04:50] 私讯我讲说他的好妈急
[04:51] 现在正在病床上醒不来
[04:54] 那希望我可以录一段话给他
[04:56] 那看他有没有反应什么的
[04:58] 那我那时候心中想说
[04:59] 干 poor thing
[05:00] 就是真的是好可怜哦
[05:02] 那好吧
[05:03] 如果这样子有所未借的话
[05:04] 那我就做吧
[05:06] 我心中想的是
[05:06] 我是为了这个朋友
[05:07] 不是说那个躺着的哦
[05:09] 因为躺着那个听起来感觉就超严重
[05:10] 应该已经是不好了
[05:12] 结果我就想说
[05:13] 好那我就录一下
[05:14] 我希望让他
[05:15] 这个朋友可以释怀
[05:16] 我为我的兄弟
[05:17] 做了某件事情
[05:18] 就跟那个躺着的
[05:19] 竟然最后面给我醒过来
[05:20] 然后还私讯我
[05:21] 跟我说谢谢
[05:21] 然后讲话要哭要哭的
[05:23] 所以不知道
[05:25] 这些东西老实讲
[05:26] 对我来讲太重了
[05:27] 这些对我来讲太重了
[05:28] 但能够做就尽量做
[05:31] 那不知道
[05:32] 就是有时候
[05:33] 我们去讲一些东西
[05:34] 我自己
[05:34] 因为我是很怕麻烦的人
[05:35] 我知道我这样讲完之后
[05:36] 然后就会超多人
[05:37] 要一直叫我做事情
[05:38] 或是说什么
[05:39] 之前有一次帮人家签婚礼
[05:40] 然后之后就每个人都叫我
[05:41] 要去签婚礼
[05:42] 我就很怕这样的事情
[05:43] 所以有时候那种偶尔的
[05:45] 这种突发性的遭遇战
[05:46] 我会协助一下
[05:47] 我只要看到我就协助
[05:48] 或是像是大家什么
[05:49] IG私讯
[05:50] 我会tag说
[05:51] 他的猫狗不见
[05:52] 这个我看到
[05:52] 我一定都帮你转发
[05:53] 哪个单位需要捐个钱
[05:55] 我都帮你做
[05:56] 然后或者说
[05:57] 这种需要物资的
[05:58] 我就尽量
[05:58] 可是你知道
[05:59] 有些会把他问到说
[06:00] 各位帮忙广告
[06:01] 某个东西或什么的
[06:02] 广告当然不是商业的
[06:03] 可能就是某一个组织
[06:05] 我就是觉得说
[06:06] 因为如果是我自己就还好
[06:08] 可是变成是
[06:09] 我要去呼吁大家
[06:10] 我又觉得不太喜欢
[06:11] 反正我们能够自己做
[06:12] 我们都自己做
[06:12] 我们不要去绑别人
[06:14] 因为每个人生活
[06:14] 其实也都不容易
[06:16] 像我自己的生活
[06:17] 有很多东西要去烦恼
[06:18] 反正会觉得
[06:20] 既然有这样的一个缘分
[06:21] 可能老天给我们
[06:23] 某种任务
[06:23] 所以我能够做的
[06:24] 我就这样做
[06:25] 希望大家都可以
[06:27] 好好的珍惜自己的生命
[06:30] 好好的去注意自己的健康
[06:32] 这时候又要去讲
[06:33] 那种长辈的口吻了
[06:34] 你知道人生中的所有东西
[06:36] 工作什么财富
[06:38] 有的没有的
[06:38] 那个都是前面的数字
[06:40] 然后最后都要乘上一个百分比
[06:41] 那个百分比是你的健康
[06:43] 有没有超老人家
[06:44] 我听到这个
[06:44] 我都想把我自己的妈捶死
[06:46] 但我觉得这句话是真的
[06:47] 就如果你健康是100%的话
[06:49] 前面的数字就是真的
[06:50] 如果你健康是0%的话
[06:51] 那乘起来就是0
[06:52] 超老人
[06:53] 超级
[06:54] 你知道你在说教
[06:55] 可是真的是这样子
[06:56] 特别是在我的这个角度
[06:58] 然后看到这些求助于我的
[07:01] 以前还要找我借钱
[07:02] 什么股票赔死
[07:03] 这种我就叫你就赶快毕业
[07:05] 好好去工作
[07:05] 就是不知道
[07:07] 你妈你就感觉是
[07:08] 你在当赌场玩的
[07:08] 我怎么可能会想要去鸟你
[07:10] 虽然你跟我写的洋洋沙沙
[07:11] 你家有小孩
[07:11] 我带你博什么
[07:12] 我就觉得说
[07:13] 这个我一定是救不了你
[07:14] 可是有时候看到一些
[07:16] 不知道
[07:18] 就像这是小徐家里
[07:20] 那我就觉得
[07:21] 这个做下去
[07:22] 真的会造成一些改变
[07:23] 就有一个那种希望的种子
[07:24] 播下去的感觉
[07:25] 像这种
[07:26] 我就是非常乐意的去做支援
[07:28] 也希望说
[07:30] 各位的小朋友
[07:32] 都能够健康快乐的长大
[07:34] 希望未来有一天
[07:36] 如果说你们是
[07:38] 怎么讲
[07:39] 就是在生前是
[07:40] 相处得非常好
[07:41] 就你们在来世会见面
[07:43] 以前我也是不太相信
[07:44] 什么神佛来世
[07:44] 我觉得说人生应该就是
[07:46] 只有回事
[07:46] 死掉之后呢
[07:47] 应该就是变成那种
[07:48] 什么宇宙的例子之一
[07:50] 你会完全失去意识
[07:51] 我自己想象的死掉
[07:52] 长什么样子
[07:52] 因为像之前有去做
[07:53] 那个全麻的生检查
[07:55] 那个全麻下去
[07:57] 因为你下一个瞬间
[07:58] 就是你醒来
[08:00] 你正在恢复
[08:00] 然后还会检查一下
[08:01] 有些屁股会痛痛的
[08:02] 因为你被塞东西
[08:04] 但其实屁股是不会痛的
[08:05] 我不知道怎么要扯到屁股去
[08:06] 但反正总之就是
[08:08] 那个中间是空白的
[08:09] 就是你全麻下去之后
[08:11] 然后你可能还记得说
[08:13] 你看得到这个呼吸器
[08:14] 你看得到医生在数秒数
[08:15] 然后接着后面就是空白
[08:17] 我的想象死掉是空白的
[08:19] 但我现在会倾向去想象
[08:21] 我觉得可能是因为
[08:22] 对生命中的一些东西
[08:23] 开始去
[08:25] 也不确定说产生
[08:27] 还是说重新的去燃起
[08:28] 不然说对狗狗
[08:30] 自己的小狗
[08:31] 自己的小孩
[08:32] 就是你会期待说
[08:34] 你可以再看到他们
[08:35] 或者说你跟老婆说
[08:36] 他妈整天在吵架
[08:37] 但有时候没有吵架的时候
[08:38] 可能也是不错
[08:39] 我希望我下辈子再见到你
[08:40] 所以那是一种跟自己讲的东西
[08:43] 就是我还是相信说
[08:44] 可能挂掉就是什么就没了
[08:45] 可是我们就希望
[08:47] 至少希望
[08:48] 可能会有下辈子这种东西
[08:49] 所以大家可以再相遇
[08:50] 所以就希望说
[08:52] 如果你们真的是感情好的一家人的话
[08:54] 下辈子会遇到
[08:55] 那这辈子先好好的去把该做的都做好
[08:58] 小朋友快乐健康长大
[09:01] 反正爸爸永远在我们的心中
[09:03] 大概这样
[09:04] 简单分享一下
[09:05] 那接下来我们就来进入上话题
[09:08] 那美股的这个涨幅实在是非常屌炮
[09:10] 直接一根针往天上顶
[09:13] 然后那台股也是属于非常的强势
[09:15] 那我们上集已经大概有跟大家聊一下
[09:18] 就是我觉得这个上档
[09:19] 可能会是超出蛮多人的想象
[09:21] 因为我们今天如果以美股来讲
[09:23] 是美股的全值股太多了
[09:25] 所以我比较难去给予一个
[09:26] 就是我自己心中的投射
[09:28] 说可能会到什么地方去
[09:29] 但以台股来讲
[09:31] 因为你就是台积电的形状
[09:32] 所以台积电你现在可以算到它多少钱
[09:34] 只要他订单没有被canc或什么的
[09:36] 那基本上就是他就会到那个位置
[09:38] 那他到那个位置就可以对应说
[09:39] 就指数就是会到那个位置
[09:40] 就是破4万点以上
[09:41] 那所以我们会用这样子
[09:43] 作为一个心理准备
[09:44] 就是说如果后面没有发生
[09:45] 什么特别的大事的话
[09:47] 那甚至有一些利空丢下来
[09:50] 以前面这种非常强势的进攻来讲
[09:52] 那个就是属于一个
[09:53] 拉回就是买的地方
[09:54] 就即便这个掉下去
[09:55] 可能都会讲说前面涨这么多
[09:57] 那赶快丢要跑了要出事了
[09:59] 火要来了紧照什么的
[10:01] 但现在想法会觉得说
[10:03] 因为这个形态已经是很明显
[10:04] 就变成是一个非常强劲的多头
[10:06] 所以多头的拉回
[10:08] 居然是非常的恐怖
[10:09] 居然是什么跳楼的行情出现
[10:10] 什么的
[10:11] 那就是做多
[10:12] 所以现在已经变得是
[10:13] 相对明朗的一个局势了
[10:15] 我知道现在可能看到在大涨
[10:16] 有些人就开始讲说
[10:17] 后面会业力引爆什么的
[10:19] 没有业力引爆是要看位阶的
[10:20] 以下这个位阶来讲
[10:22] 当然它有可能会有一些衰
[10:25] 可是因为它前面是拉了很长的一个
[10:27] 以美国来讲是绿K
[10:29] 台国来讲是红K
[10:29] 所以那个空间是很大的
[10:31] 所以一定是很多人没有上到车
[10:33] 因为要拉太快
[10:34] 所以只要掉下来
[10:35] 就会有很多人想要上车
[10:36] 所以我会觉得在后面
[10:37] 应该都会出现一些支撑
[10:39] 接下来我们来聊一些市场中的事件
[10:42] 首先先看台积电
[10:43] 台积电在接下来的盖的状态
[10:45] 是给的非常好
[10:46] 在资本支出的方面
[10:48] 是给到了上缘
[10:49] 并没有去做数字的上调
[10:51] 但是是在上缘
[10:52] 这个意思其实某个程度上
[10:53] 就是一种那种信心的表态
[10:55] 反正就是在后面
[10:56] 他们都会认为是蛮好的
[10:57] 我还是觉得在接下来的某个时间点
[11:00] 是有可能会看到台积电去做资本支出的一个上修
[11:04] 但surprise motherfucker
[11:06] 就是这次他并没有去做上修
[11:08] 结果常务股反而挑这个时间点去做表态
[11:11] 反而在前面可能大家很期待的时候
[11:13] 他没有去做表态
[11:14] 所以常务股在过去一阵子又有人开始去做注意了
[11:18] 但是以我自己来讲
[11:19] 就是过去我也是买了不少常务股
[11:21] 可是后来就发现说他实在是不太会跑
[11:23] 所以我就有去捡马去买别的东西
[11:25] 所以不客气
[11:25] 可能是我下车之后车就变轻了
[11:27] 那他就会倒
[11:28] 那我选择去一些跑得比较快的地方
[11:30] 但常务证算是目前在市场里面
[11:32] 算是很明显的
[11:33] 就属于便宜区块的东西
[11:35] 但其实我觉得投资做久了
[11:37] 都知道说动能的股票
[11:38] 往往是跑得比那些价值的股票来得快
[11:41] 价值的股票算得出数字的
[11:42] 有成长性的东西
[11:43] 反正大家不一定喜欢
[11:44] 大家喜欢去买那些
[11:45] 就现在看起来是在亏损的东西
[11:47] 当然也不要觉得这些人是笨蛋
[11:49] 因为很多看起来像是亏损的东西
[11:51] 其实他有可能在后面
[11:52] 就会赚非常多钱
[11:53] 就像说像台湾的
[11:54] 跟QooB相关的公司
[11:56] 你现在看他的财务数字
[11:57] 你一定是看不出来的
[11:58] 或是过去有跟大家聊到说
[12:00] 台湾的有一些SMT厂
[12:01] 开始接到一些订单
[12:02] 你现在看到数字就觉得说
[12:04] 大家都在炒股票
[12:05] 可是这些资金其实都不是笨蛋
[12:06] 就大家喜欢去买一些
[12:08] 可能过去比较没有期待到的东西
[12:10] 现在有一些新的业绩跑出来
[12:12] 大家就往这个方向去冲
[12:13] 可能过去我就知道他业绩很好
[12:15] 也有可能说车上就是太多人太重
[12:18] 所以大家选择不要去看
[12:19] 但注意到像汉堂在这陣子去做表态
[12:21] 还蛮屌的
[12:22] 就是怎么会挑这个时间点的
[12:23] 蛮有趣的
[12:24] 或许后面也可以再来看看但以目前台股的市场来讲因为这个选择的东西太多了就是你有太多的选择可以去做所以也未必会去很聚焦在某一个特殊的族群
[12:34] 上次有聊到说
[12:35] 我们会去稍微的看一下
[12:36] 国际的法所会说什么
[12:38] 国际的法所会的第一个QA
[12:40] 就小弟去问的
[12:41] 我就问说
[12:42] 这个CPU会不会对公司
[12:44] 造成一些新的catalyst
[12:45] 公司这边是没有去做
[12:47] 什么太多的讨论
[12:48] 我觉得就是比较保守牌
[12:50] 虽然已经有提到说
[12:52] 确实MLCC的工序
[12:53] 有一些情形的产生
[12:55] 就是符合我们的一个预期
[12:56] 但其实公司算是打得相对的保守
[12:58] 那在过去一阵子
[13:00] 其实你已经注意到说
[13:01] 全世界的被动元件都在做喷射
[13:03] 反正像日本的是已经no brainer
[13:05] 就直接都射出去了
[13:06] 那像是在美国这边的V-Shade
[13:08] 在好像是礼拜四的时候
[13:09] 也是直接大喷
[13:10] 那它旗下的另外一个公司VPG
[13:13] 就是V-Shade Precision
[13:14] 也是准备要出去了
[13:16] 那Eton也是整个拉出去了
[13:18] 那Eton在过去也是属于那一种
[13:21] 就是我比较不会期待
[13:23] 所谓这样子屌喷的
[13:24] 所以大家都动起来
[13:24] 所以被动人权
[13:25] 可能在后面
[13:26] 真的是有一些事情要发生
[13:28] 就即便在国际的法税会
[13:29] 他有点像是说
[13:30] 他想要去讲说
[13:31] 我们的状态是不错
[13:32] 可是当拿麦的
[13:33] 想要去讲说
[13:34] 真的蛮不错
[13:35] 你们的成绩很好
[13:36] 然后他又说
[13:36] 我们还是会
[13:37] 可能比较神圣一点
[13:38] 就是这种态度
[13:39] 他说法是比较偏向这样子
[13:42] 所以可能某个层上
[13:44] 也去解释了
[13:44] 为什么国际的被动族群
[13:46] 都非常强
[13:47] 然后台股都还好
[13:47] 但这种时候
[13:48] 像我们自己做交易的
[13:50] 其实我们的想法
[13:53] 公司怎么没有屌炊特炊
[13:54] 什么不交易动就买什么
[13:56] 现在是一个国际村的时代
[13:58] 你真的觉得日股的比较好
[13:59] 或是美股的比较好
[14:00] 就往那边去布局
[14:01] 很多时候就是你不用把钱放在一个
[14:03] 看起来是可能
[14:04] 比较没有这么有效率的地方
[14:05] 但实际上以被动人间来讲
[14:07] 像台湾的龙头国际
[14:10] 它已经在新高位置
[14:11] 它还原全息
[14:12] 它其实新高位置
[14:12] 它只是可能爬的是比
[14:14] 这些国际上的player来的
[14:17] 稍微的慢一点
[14:17] 在过去像礼拜五的时候
[14:19] 我们又收到涨价信
[14:20] 这个是店主的
[14:21] 那电阻的涨价性
[14:23] 稍微回到过去的
[14:24] 大概两三个月前
[14:25] 我们那时候跟大家聊到
[14:26] 其实我们家看得到
[14:27] 可能比较缺的东西
[14:28] 是电容跟电感
[14:29] 那电阻是还好
[14:29] 那电阻现在也看到涨价性了
[14:32] 那这就看我们
[14:32] 要用什么样的角度去解释
[14:33] 它有可能是
[14:34] 完全是在反映一个成本的变化
[14:37] 因为可能要用到的这些金属
[14:39] 现在都是在涨价
[14:41] 那它也有可能是
[14:42] 提早先去反映一些供需的情形
[14:44] 那我觉得这一点
[14:45] 我们就去看
[14:46] 驾动率是比较准一点的
[14:47] 所以它的这个状态
[14:48] 现在有一点类似
[14:49] 那时候记忆体在刚起涨附近的时候
[14:52] 其实也是蛮多人认为说
[14:53] 因为记忆体的加动率并没有开满
[14:56] 所以如果等到加动率开满的话
[14:58] 那或许供需就不会这么的严峻
[15:01] 但后面的那个加动率
[15:02] 可能从90%跑到100%
[15:04] 那跟所涨停一样
[15:05] 就瞬间跳上去的
[15:06] 所以如果说这个加动率
[15:07] 后来是有瞬间跳上去的话
[15:09] 那当然就会去出现
[15:10] 有可能会有这个缺货涨价的剧本产生
[15:13] 那像我们自己是蛮意外
[15:14] 就礼拜五会看到一些
[15:15] 店主的涨价
[15:17] 那电容跟电感
[15:18] 就大家都已经知道很缺
[15:19] 所以没有什么好特别去讨论的
[15:21] 那当然被动元件
[15:21] 它现在也整个算是
[15:23] 可能市场里面的其中一个题材
[15:24] 因为真的有太多东西都在喷
[15:26] 所以我们只是
[15:26] 简单的跟大家带过一些
[15:28] 就是我们在市场里面
[15:29] 有注意到的机会
[15:30] 因为这个涨价性是
[15:31] 扎扎实实的在连发
[15:33] 那像记忆体的价格
[15:35] 也是涨得非常漂亮
[15:35] 但记忆体其实以台股来讲
[15:37] 你可以注意到说
[15:38] 相关股票的走势都已经是
[15:40] 跟美股比起来
[15:41] 是比较疲弱一点
[15:42] 那有可能就是说
[15:43] 市场上该上车的资金都上了
[15:45] 所以就是
[15:46] 它不是基本面相关的问题
[15:48] 它可能比较偏向说
[15:49] 就是某个程度上的疑反应
[15:51] 就除非说后面再有一个
[15:52] 更大的catalyst把它推上去
[15:53] 不然可能上面堆太多人
[15:54] 那它就会很
[15:55] 类似说像前阵子的一些上游材料
[15:58] 就在说金居
[15:59] 金居大家非常看好
[16:00] 那它实际上在基本面表现很好
[16:02] 可是它横超久
[16:03] 为什么会这样子
[16:04] 就是可能在上面的资金非常多
[16:06] 就有这样的一个情形
[16:07] 那这种时候可能就是说
[16:08] 市场里面的资金
[16:09] 就会去找别的东西去做
[16:10] 所以像现在可能很多人
[16:11] 在光通里面
[16:12] 但未来光通转弱的话
[16:14] 那你就可以提早去猜测说
[16:16] 那这些光通的资金可能会往那边跑
[16:17] 那像记忆体如果说转落的话
[16:19] 因为记忆体的资金
[16:20] 他们是赌报价的嘛
[16:21] 就这些人想要去打报级的
[16:23] 所以他们可能会往哪边跑
[16:24] 他们可能会去找下一个
[16:25] 可能是缺货涨价的一些股市
[16:27] 不管是可能ABF载板
[16:29] 一些材料Cube
[16:30] 然后或者是像是被动元件
[16:33] 都是可能他们会去的地方
[16:34] 所以其实有时候我们去订一些族群
[16:35] 它背后都是有这样的脉络在
[16:37] 就是我们会提早去猜说
[16:38] 有可能市场会往哪个方向去跑
[16:40] 然后再一说我们前阵子去猜说
[16:41] 市场会往CPU跑
[16:42] 因为我们已经看到这个需求存在了
[16:44] 那最近在一些报道里面
[16:45] 好像是DG Times
[16:46] 他们就有写到说
[16:47] CPU的缺货
[16:48] 其实是可能会比记忆体更恐怖
[16:50] 因为记忆体是
[16:51] 你实际上没有断货
[16:52] 你要买你都还是买得到
[16:53] 只是你可能需要用高价去买
[16:55] 那CPU是有可能你要买是买不到的
[16:57] 那于是像我自己就会认为说
[16:59] 它有可能是市场中的
[17:00] 蛮大的一个题材
[17:02] 因为虽然你现在看到Intel跟AMD
[17:03] 可能它涨幅是落在20%以下
[17:05] 但后面如果说真的是屌缺的话
[17:07] 那这个数字就有可能会再往上拉
[17:09] 因为基本上就是你要买也买不到
[17:10] 大家就会去做涨价
[17:12] 当然这个涨价环节落在哪里
[17:13] 我也不是特别确定
[17:14] 是在这些业者
[17:16] 还是说可能是在通路端
[17:17] 这个大家可以再去注意
[17:18] 那亦或者说如果真的需要去
[17:20] 布很多的general purpose server
[17:22] 或者说AI server
[17:23] 只是你放很多CPU在里面的话
[17:24] 那CPU本身的相关
[17:26] 不管是SACA
[17:27] 或者说上面要用到的元件
[17:28] 这些可能都是目前在市场上
[17:30] 就大家没有去估算到的东西
[17:32] 也就是说你现在可能备的料是
[17:34] for就是可能接下来的GPU
[17:37] 或者说ASIC的一些案子
[17:39] 可是你不一定有想到CPU
[17:40] 那如果今天你突然间客户
[17:42] 拿着这个CPU跟你讲说
[17:44] 他有这样的一个需求
[17:46] 那你需要去把它做成
[17:48] 可能general purpose的server的话
[17:50] 那会不会这边就产生一个新的催化
[17:52] 懂吗
[17:52] 就是有新的东西进来抢
[17:53] 那变成说是这些可能
[17:55] 需要去买CPU的人跟买GPU的人
[17:57] 他们会产生一个竞价的行为
[17:58] 谁出的钱比较高
[18:00] 那就可以先去抢到这个东西
[18:01] 那所以相关的元件都有机会
[18:03] 会再一次的去注意到一个涨价
[18:05] 所以我会觉得说市场上的
[18:07] 应该说房间里的大象就是CPU
[18:10] 就大家已经知道说
[18:11] Agentic AI会用到CPU
[18:12] 可是可能没有充分的去预期到
[18:14] 说这个东西的影响可能会有多大
[18:16] 那抑或是在接下来的下半年
[18:19] 我们知道像VIA Rubin
[18:21] 是已经准备要去出货
[18:22] 那最近它的一些BOM表已经开出来了
[18:24] 可是实际上
[18:25] 我本来是以为说
[18:26] 有些厂商有已经提早先去备一些货之类的
[18:29] 可是后来才知道说
[18:30] 因为有些BOMDisk
[18:31] 它其实是才刚出来没有多久
[18:33] 那后面才会进入备货的一个阶段
[18:35] 所以它才刚出来
[18:37] 还没有开始拉
[18:38] 可是已经有很多
[18:39] 驾动率是已经落在
[18:40] 可能90几趴
[18:41] 甚至已经是接近满载了
[18:43] 如果说它要开始拉的话
[18:44] 会产生什么情形
[18:45] 可能就是
[18:45] 蛮恐怖的一个情况
[18:47] 所以像前面算是说
[18:49] 国际有蛮多的
[18:50] 变动跟事件
[18:51] 然后让我们认为说
[18:52] 对于市场的一些估值
[18:54] 有机会在下修的时候
[18:55] 可能还有一些漏
[18:57] 可是当我们去注意到说
[18:59] 像市场已经反映说
[19:00] OK 这边可能就是底了
[19:01] 拉一个大根的上来
[19:02] 我们就会用完全不一样的思维
[19:04] 去看下的一个市场
[19:05] 所以我们尽可能都会去找upside的东西
[19:07] 又不是可能在涨高之后
[19:08] 开始去吓大家
[19:09] 然后想说
[19:10] 可能后面要崩或什么的
[19:12] 因为不是啊
[19:12] 终后一天都是会崩的
[19:13] 只是我们现在能够做的是
[19:15] 我们这样的在
[19:16] 行情很好的这段时间内
[19:17] 即便后面会出现一些修正或什么的
[19:19] 去识别到说
[19:21] 哪些机会是可以去做介入的
[19:22] 这个是比较重要的
[19:24] 最近有一个报道
[19:26] 有吸引到我的注意
[19:27] 就是说Uber才在开年没有多久
[19:29] 三四个月左右
[19:30] 然后就已经把AI token的一个
[19:32] 额度给用光了
[19:33] 那这个东西呢
[19:34] 被蛮多人视为是一个
[19:36] 就是AI bullish的言论
[19:38] 但对我来讲
[19:39] 我会想要去了解更多
[19:40] 所以后面应该我也想要去追踪
[19:42] 更多的细节
[19:43] 而且这可能包含但不限于
[19:45] 可能在管理层这边的一些
[19:47] remark跟评论
[19:48] 因为你把AI token用光
[19:50] 那你到底有没有去产出
[19:52] 对应的一些绩效
[19:53] 这个其实是蛮重要一件事情
[19:55] 因为我自己现在也开始有注意到
[19:57] 就是可能在脸书的河道上面
[19:58] 有时候被推播到一些文章
