[00:00] 歡迎收聽股癌,我是聖孟恭,本集節目由讓我緊張又興奮的老朋友Dr.情趣贊助。
[05:32] 他今天如果有一個不錯的表現,然後或者說他有一個很酷的表現,我不一定是想要訓練他成為一個那種很乖很聽話的孩子,因為我覺得那是一個非常無聊的孩子,甚至腦子可能發展沒有太好的小朋友才會非常的聽話。
[05:44] 所以正常的小朋友應該會有一點叛逆,應該會有一些自己的想法,所以我都是可以接受的。
[05:49] 所以他獲得這個乖寶寶印章的一些條件,包含說像有時候在飯桌上聽媽媽的話在學校,因為這是有很多人一起的場合,你不希望去破壞別人的體驗。
[05:58] 或是像我們去玩滑水道的時候,我們今天是挑戰一個短的滑水道,我可能就給你3點。
[06:04] 大的那個會旋轉,看起來比較恐怖,速度比較快的滑水道,他非常的害怕,可是為了鼓勵他去嘗試,我可能就直接開一個非常大方的點數,我可以給你10點、給你20點之類的。
[06:14] 一開始他會拒絕,甚至他會就想要抗議,但是因為他用詞還不精準,他說爸爸你在炫耀!
[06:20] 我說這什麼是炫耀?我說我要給你20點,這不是炫耀,我只是在跟你陳述一個事實。
[06:26] 他說你這是在炫耀,因為你跟我講有這麼多點數,可是你不給我,哼,你壞。
[06:31] 但最後面他也是挑戰了自己的恐懼,在沒有人去威脅跟強迫的狀況之下,雖然有一點利誘的成分在,然後他去嘗試了那個滑水道,獲得了巨大的成功,下來非常的高興。
[06:44] 那我看到他成功,我當然也非常的高興,然後送他這個點數。
[06:46] 那以小朋友來講,他最喜歡的東西目前其實就是那些寶可夢的卡包。
[06:50] 那寶可夢的卡包站在我們大人的價值觀來說,它其實是一個不便宜的東西。
[06:55] 那一個卡包特別是那種可能比較稀有的款式搞不好就要幾百塊之類的
[06:59] 那他用一個點數他可以換一個卡包
[07:01] 我就還是讓他這樣子換
[07:02] 但是會跟他講說可能一天最多就是幾個
[07:04] 那可是我覺得小朋友很可愛一點
[07:06] 就像我剛剛前面提到說可能學生時期還有些那種存愛
[07:09] 到了學生時期之後就比較困難的原因是在於說
[07:11] 可能就是這樣子的一些天真跟無邪吧
[07:14] 他知道一點可以換卡包
[07:16] 可是他不會就是像我們去吃燒煲的時候
[07:18] 媽的我知道今天有什麼帝王蟹在那邊
[07:21] 我就是吃到回本
[07:22] 因為我已經知道每個東西的價格是怎樣
[07:23] 他們是不知道的
[07:24] 所以他有時候很可愛的跟你講說,寶寶你可以過來給我抱抱,我要用一個點數跟你換。
[07:29] 然後或者是我可不可以用一個點數去換一球冰淇淋,即便那個冰淇淋就只是我們走到隔壁的自助吧稍微的咬一下,那也不用錢嘛,也不用再額外再加價的。
[07:39] 但對他來講這些東西都是一點啦,卡包是一點,冰淇淋一球也是一點,甚至是一個小小的巧克力球也是一點。
[07:46] 那卻會覺得說這個階段真的是非常可愛。
[07:49] 所以它並不像我們會去有辦法識別說這是一個很貴的度假村很爽
[07:54] 對我來講就只是這個地方有百姓就是他們俄文講的游泳池
[07:58] 這個地方有游泳池然後我可以曬太陽我可以躺在那邊滑iPad
[08:03] 我可以有一些解禁IPL玩之類的
[08:06] 就算你今天可能真的帶他去像我們前面有點半開玩笑講說
[08:10] 帶你去清理看他搞不好會玩得很高興甚至我覺得他會玩得更高興
[08:14] 因為你可以把窗簾拉起來然後關在一個超小的空間
[08:17] 這就是我的城堡,這就是童真。
[08:20] 他不會認為送去青天旅社對他是一個虐待,即便我們心中會覺得這個相較之下對你是虐待,但他搞不好會意外的覺得很好玩。
[08:29] 所以仔細想想就覺得,可能我們跟小朋友相處很快樂的一個點就是,你重新去感受到當年那一種,你不會去懂每個東西背後的價值是怎麼樣,你只想要滿足一個最原始的想要,我想要這個東西,我想要獲得一些立即的快樂。
[08:45] 我可能在一些簡單的陪伴之下,我就可以獲得一個巨大的滿足。
[08:49] 這個就是小朋友很可貴之處,他可以重新提醒你這樣的一些生活。
[08:53] 那這也是可能不知道就是有些人後面在找對象或一直想要去尋覓的吧,就是有些搞不好會故意裝窮之類的。
[09:01] 那他可能想要追求的就是那一種,你不是因為說你知道我有多少條件,有什麼東西,然後你才來跟我在一起。
[09:08] 而是你真心的跟我享受每一刻,即便我們今天只是騎摩托車出去繞一繞,你也覺得非常開心。
[09:13] 你不會去嫌說我車子的logo一定要掛什麼
[09:17] 因為你可能也不一定看得懂
[09:19] 那這可能就是每個人都去追求的一種真愛啦
[09:21] 但我還是不會覺得說就是男人或是女人用物質去買斷別人是一個不好事
[09:26] 因為就像說以我來講好了
[09:27] 我就不是那種浪漫Duke
[09:29] 我真的沒有辦法給你什麼情緒價值
[09:31] 但是有一件事情我做得很好就是買單
[09:34] 所有東西我絕對可以幫你買單
[09:36] 那我覺得這也是一種就是我們這種可能沒有那種浪漫意識
[09:40] 甚至有些人會把它稱為說就是那種鵝爛台南的幹
[09:43] 一點那種儀式感跟浪漫感都沒有
[09:45] 至少我可以做到這件事吧
[09:46] 你的浪漫Duke他可以每個東西都幫你買單嗎?不一定嘛
[09:50] 所以對每個人都有不同的一個擇偶機制
[09:53] 或者說類似孔雀可以去開屏
[09:55] 我們沒有辦法開屏啊又長得不帥
[09:57] 又沒有那種浪漫機制
[09:58] 那我可以好好工作賺錢吧對吧
[10:00] 這是我的一條出路
[10:01] 對反正總之就是我覺得在這些旅遊的過程之中
[10:05] 然後去看著孩子的長大
[10:08] 然後跟他那種單純的童貞,其實真的是讓自己的內心非常充足啦。
[10:13] 所以雖然在養孩子的時候,有時候孩子會覺得說好累或什麼,但那真的一下子就會忘記。
[10:18] 所以你聽到很多家長在跟你抱怨好累好累的,當然不排除有些就是真的很累啦,他就是真的覺得養小孩子非常辛苦。
[10:25] 可是至少在我自己或身邊的一些朋友的觀察,大家都是很高興的啦,他只是偶爾還是會拿出來念一下或什麼。
[10:30] 因為你跟大家去分享這種親情的滿足感或什麼的,其實別人也聽不懂。
[10:34] 那聽得懂的你也不需要跟他講太多,大概就會變成這樣子一個狀態。
[10:38] 所以稍微跟大家分享一下
[11:08] 這些股票投資是相對有風險的。
[11:11] 所以相對之下,它可能就會去壓縮到一些,特別是以科技股為主,就是這種可能在乘數是相對高的股票的一個股價的表現,或者說它的一個乘數,就會把它稍微壓下來。
[11:23] 我覺得你可以硬去把它作為是一種,就是可能市場最近回檔的一種解釋,還OK。
[11:29] 但我自己會覺得不太買單的一個主因是因為,其實當然我們都知道說在7月股價跌掉很多嘛,
[11:36] 可是最近其實已經有蠻多股票是回去前高了,不多,相對少數,所以蠻多就是說就我們自由去關注啦,如果說只有一兩隻那就真的蠻恐怖了,但其實有越來越多的股票持續的去往上拉回到前高或甚至是直接去攻新高了,所以在這樣子的一個狀況之下,你說你前面反彈這麼多幾十趴,然後你稍微的往回站可能不知道一天跌三趴跌個兩三天,真的還好,就真的還好,但真的是身邊有蠻多人都選擇去把這個資金的股票,
[12:06] 這幾個股票的投資率已經大幅的往下降了,可能是契約真的被嚇到一波,然後現在大家都很害怕。
[12:11] 那再來另外一個市場上的一個算是類鬼故事,就是Wall Street Journal最近有一個報導,然後標題是寫說,Why BitTex AI Spending is 3 Trillion Higher than It Seems?
[12:22] 就是為什麼這些大科技的AI開銷呢?其實是有3T啦,在水下,3 Trillion在水下,而不是像大家看到的這些開銷。
[12:32] 以前看到這樣的報導,大家應該會把他當利多解釋吧原來你們丟這麼多錢,供應鏈衝啊買啊,科技股衝定還有很多的機會!可是就是因為可能搭配一些回檔,然後這種東西就會變得比較像是一個鬼故事啊!
[12:49] 就是說它隱含的意思是說,你以為你現在看到的支出很多嗎?你以為看到他們什麼現金流轉付很恐怖嗎?沒有!後面會怎麼樣?
[12:58] 後面還有一堆表外的東西,就是沒有在他的資產負債表裡面的那些未開始的租約或是一些那種採購的承諾
[13:05] 所以等於說他把一些真實的槓桿率是隱藏掉了,沒有給大家看到。
[13:11] 這其實跟黃文勳去做的一些那種供應商融資是有一點類似啦。
[13:16] 就是現在其實在場外的槓桿跟融資呢,他是持續的去往上做疊加。
[13:23] 我覺得這個已經算是某個程度上房間裡的大象。
[13:26] 這個大象什麼時候會發作,沒有人知道。
[13:28] 什麼時候會對市場造成破壞,沒有人知道。
[13:30] 但我自己的猜想我是覺得說不會這麼快。
[13:33] 我覺得它一定是要稍微的煮一陣子之後,然後可能才會爆炸。
[13:37] 那等它爆炸的時候呢,它可能就是真的會造成一些巨大的衝擊啊。
[13:42] 所以其實就像是自己身邊朋友的一些觀察啦,就是當你今天發現說AI的蠻多債務,
[13:50] 然後或者是一些投資被層層打包,做成各種投資理財的商品,
[13:56] 或是一些就是變成那種地方大嗎,可能都可以去買到說啊,
[13:59] 資料中心發出來的債券利率多少保證回本殺小的
[14:03] 當你看到大量的產品在市場上這樣子跑的時候
[14:07] 那就代表說可能距離爆炸是已經不遠了
[14:10] 但是在現在這個階段特別是還算可以明確的看到AI的變現
[14:16] 如果你今天去看說Enthropy的一些成績的話
[14:18] 當然大家會去雞蛋裡挑骨頭了
[14:20] 那個成長率好像掉了一點什麼
[14:21] 但其實在一兩年前是很少人敢去想像說他們可以這麼快就賺錢
[14:26] 所以他們已經證明說自己可以賺錢
[14:29] 我認為,不用擔心,一切都是巨大的泡泡,很快就會變成泡沫。
[14:34] 應該說,哪一次的炒作,哪一次的多頭最後面,它沒有變成泡泡跟泡沫,一定都會。
[14:40] 但問題是,如果你想要完美的去閃掉每一個泡泡變成泡沫的話,
[14:46] 那就會變成,可能這個泡泡會吹多大,你不知道吧,你沒有參與到資產的一個增長。
[14:50] 那也是蠻可惜的一件事情。
[14:52] 所以重點應該是要放在隨著每一次的多多行情有辦法去把錢拷下來
[14:59] 然後接著你就是去識別說在回檔到什麼樣的一個程度的時候你應該要去暫停
[15:06] 這個我覺得是非常重要的一件事情
[15:09] 那它有幾個indication
[15:11] 一個就是說你直接去看你的回圖程度
[15:14] 就覺得說像這一波在7月的時候自己是差不多就一次回了三成
[15:18] 可是為什麼還是會選擇繼續待在場內的原因
[15:21] 今年是太多了,所以就算它回掉三成,對我來講還是一個我很難想像可以在就是已經連年多頭之後還可以獲得的一個報酬,所以我願意在市場裡面繼續等。
[15:33] 當然我們的績效的結算方式我們都是用年度來算,所以如果今天走到2027,就像說我今年就是只有賺二三十趴,然後接著這個二三十趴可能在某一次的回檔直接全部都被打掉的話,那我確實就是有可能會考慮我要先去休息。
[15:50] 即便我可能看到市場上的一些指標都還是非常的正向,基本面的指標都還正向,我還是會去提高警覺。
[15:58] 因為理由是在於說,如果說股價的歷史有教會我們什麼事情的話,就是在每次的股價已經可能腰斬之後,我們才會知道說原來Shit hit the fan,就是已經是出大事了,石已經打到變散了,已經噴到讓我們整個房間都是了。
[16:15] 一般來講股價都是已經先跑了
[16:18] 只是當然股價先跑你也不要太緊張的一個主因是一個正常的多頭本來就是漲一漲可能會有一些回檔出來
[16:26] 所以我自己在這方面的做法是我還是會去用我的一個年度表現來看
[16:31] 就是類似可能投信他們一些封控的做法
[16:34] 當今天旗下的一些PM一些操盤注意到說他在這個月回檔的數字太大我就強迫你綁手
[16:41] 類似的道理他可以作為一個那種基礎的封控
[16:44] 這可能是我自己會做的,就是如果說我可能某一年的績效一次賠掉太多,我就會稍微的休息去觀望一下,即便可能外面的指標都是正向,我還是會這樣子做。
[16:54] 那再來呢,可能我們自己想像的理想劇本,最好的劇本是我有辦法在市場上面我注意到一些Early Indication,那我提早就在派對要結束前就離場。
[17:05] 但這個其實非常困難的點就是其實你回歸到六月,你就問你自己六月的時候你有沒有辦法把手上的東西丟掉,真的非常的困難。
[17:13] 我老婆六月的時候就跟我講說要去買什麼東西
[17:15] 我都會跟她講說之後再來真的之後再來
[17:17] 雖然最後面我還是有乖乖的把錢掏出來了
[17:20] 可是問題就是在當下的感受是
[17:22] 我每天丟到市場裡面
[17:23] 你不要講說什麼YTD
[17:26] 沒有人在看YTD啦
[17:27] 都在看什麼NTD一個月賺多少
[17:30] 甚至在看WTD一個禮拜這個禮拜Pay多少
[17:33] 你看身邊的那種投資朋友掏出來
[17:35] 每天就那種3% 5%在漲
[17:37] 你怎麼可能會想要離場
[17:39] 所以一般來講你就是要去做到最後一刻
[17:42] 甚至去吃到一小波的大怒神之後再出產
[17:45] 我覺得這個是很合理的
[17:47] 所以不要太相信外面行銷的
[17:49] 就是賣在高點然後在最低點進
[17:52] 因為你實際經歷過幾次循環就知道
[17:54] 你試一次給我看嘛
[17:56] 很難啦
[17:56] 真的是很難去做到這樣子的事情
[17:59] 所以像剛剛前面所提到的這些科技巨頭
[18:02] 可能在這個冰山下面呢
[18:04] 他們其實有很多帶旅行的義務
[18:06] 那這些東西呢
[18:07] 都是有可能在未來的某一天
[18:10] 當今天可能供需已經是拉平的產能過剩的一個狀況之下
[18:15] 雖然產能過剩有時候我覺得就是簡單講就需求不夠了
[18:18] 產能過剩有點講的這種好像是高大上
[18:22] 有些人可能不一定聽得懂為什麼產能會過剩
[18:24] 沒有就是需求不夠了
[18:25] 可能過往的需求的上昇速度很快
[18:28] 所以大家就投射了一個非常好的產能
[18:30] 其實也不是說這個需求整個不見
[18:32] 它只是拉平了
[18:33] 可是大家已經投下去了廠
[18:36] 已經去融的錢
[18:37] 已經去買了這些設備都是要進來的
[18:39] 到時候就會怎麼樣?到時候就有一些痛苦要去承受啦。
[18:44] 所以像2022年的修正跟回檔,事後回頭看,一開始大家以為是烏鴉戰爭嘛。
[18:49] 那後來當然烏鴉戰爭可能是一個trigger的點,但最終就是供應鏈的一個庫存調整。
[18:54] 因為2021年的時候大家相信的是你手上握有越多的庫存等於你是什麼?等於你是大贏家。
[19:00] 因為你沒有庫存的人,那種長短料配不出來的,你就是沒有辦法出貨。
[19:04] 那現在有沒有類似的道理?有點像,因為你去看美國的一些Earnings Call,
[19:09] 每家公司都在告訴你缺缺缺缺到爆炸
[19:12] 那如果說2021、2022有交會我們什麼事情的話
[19:16] 那就是當你開始注意到有一些料的爆價可能是已經是穩住了
[19:21] 它不一定是下跌它只是穩住了還沒有辦法上去
[19:24] 那這時候可能就要稍微的有一點警覺啦
[19:26] 那至少以現階段來講我們所看到的各種元件其實都還是持續維持在漲價
[19:33] 但是最近我自己會比較擔心的一個點是
[19:36] 就是市場上的記憶體股票呢
[19:39] 其實當然成績單那個都是知道一定會是好的那沒有什麼好去做爭論的
[19:44] 那對於未來的報價呢我們在過去的幾集已經有跟大家稍微分析跟討論過
[19:48] 當時還有被人家砲就是說啊亂講但真的後來成績開出來大家知道說我們其實是沒有亂講
[19:54] 有時候我們講的東西可能不一定會很快在市場裡面發酵
[19:57] 因為我們專注去講產業那股價就直接承認說那個不一定啊
[20:01] 有時候就算基本面很好也不一定會漲因為可能過去漲很多之類的whatever
[20:05] 總之就是當我們注意到說特別是以記憶體族群它是市場裡面最缺並且是展望最明確的東西
[20:13] 如果說他們在未來的一段時間它的股價乘數沒有辦法拉上去的話
[20:20] 我覺得這個東西就會影響到其他components的一個市場表現
[20:25] 這個就是應該會有一個很明顯的連動的效應在那邊
[20:29] 最主要理由就是一個最缺並且展望最明確的東西
[20:33] 如果它都只能在某一個PE Ratio的乘數,那其他人憑什麼去說服市場他們會獲得一個更高的PE Ratio的乘數。
[20:42] 所以以一個大方向來說,我會覺得記憶體要持續的維持強勢,那可能Components才會動。
[20:48] 那一樣的道理,如果我們今天去看,我們知道說現在在晶圓段的話,其實當然前段跟後段都是蠻缺的啦。
[20:56] 但其實市場很多的焦點是放在後段這邊嘛。
[20:59] 我們把它稱為是一種那種bottleneck trade
[21:02] 就是你今天知道瓶頸在哪邊
[21:04] 一個產品從它的原料到它輸出成品
[21:08] 哪個地方的前面卡最多東西
[21:10] 這個東西可能就是市場上的一個重大的瓶頸
[21:14] 過往我們去做瓶頸的交易是因為我們知道瓶頸就是大家會希望立刻要去改善的東西
[21:20] 我們都知道說你把產能拉上去就可以改善
[21:23] 但問題是市場上的每個參與者大家都知道
[21:27] AI 的投資正行,特別是瞎野知道可以賺錢。
[21:31] 所以每個人都希望可以快一點讓你的東西上線。
[21:35] 所以Time to compute是很重要的。
[21:37] 你到底多快可以讓一個東西上線?
[21:40] 這時候有哪些做法?
[21:41] 第一個就是我直接接受你的漲價,或是我用很高的價格直接把你的產能包下來。
[21:47] 我確保我的東西可以上。
[21:48] 再來一些常見的做法,像NVIDIA他們就是去買一些設備,然後交給一些封裝跟測試廠。
[21:55] 這個已經是在過往持續的去做執行的
[21:58] 那理由是什麼?理由是我真的讓我的供應商去幫我做擴產的話
[22:04] 他們可能也不一定敢
[22:05] 或是他們覺得會承擔太大的風險
[22:07] 他們的態度會比較優異一點
[22:08] 那我直接買設備去那邊放
[22:10] 然後把利潤都談好你做不做
[22:11] 這個就一定會做了嘛
[22:13] 所以大家會用各種方式去改善這個瓶頸
[22:16] 像前面講的就是他去透過漲價的方式先把別人擠出去
[22:20] 或是像我們之前聊到光通的時候有提到說
[22:22] 其實NVIDIA他有去可能
[22:25] 在我們的判斷,多下了蠻多光通的元件,他的目的不一定是他立刻要用到,而是他想要讓他的競爭者出局,讓你買不到東西都不出去,所以要去做這樣的一個嘗試。
[22:35] 再來就是像我們要講的,買一些設備進去放,這都是會發生的。
[22:39] 所以如果今天注意到這些封裝段的東西,就像說它的股價是推不上去的話,有可能像剛剛前面講說Components段是看記憶體,
[22:49] 在封裝蛋的話,這些OSET或是封裝廠或是一些測試廠,如果你注意到在未來一段時間他沒有辦法再往上推的話,那可能Bottleneck Trade也就暫時的休息了。
[23:01] 因為還有什麼東西可以比這個東西更缺,所以我們會用這樣子去做一個判斷。
[23:07] 如果說今天Component Trade然後跟Bottleneck Trade,假設他們都去休息,我們講休息並不是說他股價一定會崩掉,可能就變還漲之類的,因為畢竟成績都還是會開出來。
[23:16] 那就有可能會重新的去回到 Value Add
[23:20] 也就是我到底有沒有辦法在我晶片的疊帶或是我軟體的更新
[23:25] 產品的更疊之下
[23:27] 那我真的為客戶產生了更多的價值
[23:30] 而不只是像 Components Trade 比較偏向說缺貨漲價
[23:34] Bottleneck Trade 也是缺貨漲價
[23:36] 或是一瞬間我給你很多的需求
[23:39] 那擴建所導致的一個受惠
[23:41] Value Add 的話它比較偏向是
[23:43] 甚至有點那種無形資產的感覺
[23:45] 就是你也沒有辦法很明確的去講出說它為什麼會有這個差價的存在
[23:50] 因為它不是單純的去趁機論量
[23:53] 就像我們一向會去吐槽說很多人會去拆解iPhone說它零件多少錢
[23:57] 那為什麼它可以賣這樣
[23:58] 那你那麼厲害你也去組一台iPhone
[24:00] 這個就是一個value的疊加
[24:02] 所以有可能就是市場會重新的回到value add
[24:05] 所以我們現在還是會蠻希望就是不管是在components或是bottleneck這邊都可以
[24:10] 持續的在市場裡面有一些族群的輪動跟進行者
[24:15] 因為確實他們在後面會開成績,我們很難去想像你的成績覺得說可以開一年,但是你在一年前你的股價就漲完了,所以會比較不希望自己去受到就可能七月的一些崩跌的影響,可是確實從七月的崩跌至今,我們會很認真的去看那到底是哪些族群要站回來,那目前看起來呢,可能比較兇的一些族群在我看來我覺得是偏向是Value Add的這一塊,
[24:40] 或者是本來可能像我自己也會去選擇去找一些相對有價值的東西去做parking
[24:47] 可是同時我們為什麼也會去買一些高P ratio的東西是因為它有一些族群性的跑出來
[24:53] 所以看得出來市場有去做出初步的選擇
[24:56] 即便在這波回檔可能蠻多東西都還是有打下來
[24:59] 但這波回檔我覺得就是一個非常關鍵的
[25:01] 就如果說當然它沒有更加的惡化破底往下撞的話
[25:05] 他回檔之後再繼續去攻破這波回檔前面的那個高點的一些族群
[25:11] 不管你是哪一個sector或是說前面我們講的哪一種trade
[25:15] 不管是components或是bottleneck然後或者是valuat
[25:18] 誰先走出去的話那應該就會定調
[25:21] 就是假設多頭還存在的話的下一個主流族群在現在看就會變成是相對的民黨所以會覺得這個盤之所以像身邊很多朋友覺得不舒服或是選擇解碼
[25:33] 但我自己還好的一個最核心的理由是
[25:36] 我覺得像在7月這樣子回到了三層
[25:39] 這個其實是2022年的一個回檔了
[25:41] 那為什麼我們感覺還是有辦法可以談笑風生
[25:44] 是因為今年上半年非常好
[25:45] 所以你就只是獲利一個回吐而已
[25:47] 那可是如果今天是在2022年的話
[25:50] 那時候是你等於從年初你就是一路在賠錢
[25:53] 所以你就真的會覺得體感非常的不對勁
[25:55] 你的一些策略也會這樣子去做調整
[25:57] 那現在之所以沒有去做調整
[25:59] 就是因為可能大家在上半年的表現都還很好
[26:02] 那重點是在這一波修正之後
[26:05] 本來我自己的想像是要等到年底
[26:07] 就是可能至少第四季吧才可以去收復
[26:11] 因為你很難想像說你知道你回掉三層
[26:13] 然後你要再爬回去的話
[26:15] 你就1除以0.7嘛
[26:17] 你就會知道其實你要回去
[26:19] 並不是要爬上三層,因為爬三層只有0.91,你要回很多才可以爬上去。
[26:25] 我還是非常感謝8月至今的行情,雖然最近又出現了一些小天法,但至少8月回超級快,不管是台灣指數、櫃買、美股科技相關指標。
[26:38] 所以就會覺得只要它回得夠快,那就沒有太大的問題,就不會再去做那種額外的擔心或是遐想,然後選擇把它不會砍掉。
[26:47] 因為我本來的預設是我要第四季才可以開始收復失土
[26:51] 那沒有想到我在八月可能就已經收復失土一半了
[26:54] 這個是超出自己的一個預期
[26:56] 所以你去吃這些回檔其實也會覺得說心裡是蠻踏實的
[27:00] 但當然我們也不是說就是無腦多
[27:02] 我就還是會再去做一些觀察
[27:04] 所以像前面先把市場的族群先簡單拆分成為三塊
[27:09] 那Components這邊除了我們去定期議題之外
[27:12] 再來就是相信大家也多少知道
[27:15] 不然說我們節目前面有跟大家說
[27:17] 後面會有一些Disback的狀況出來,即便我們有去說明這個Disback的原因只是因為他們想要去更加友善的去改善供應。
