[00:00] 歡迎收聽股癌,我是聖夢宮,本集節目由Sally贊助
[03:28] 好像說從小一定要沒有爸爸
[03:30] 或者說是爸爸是三級貧戶
[03:31] 才叫不叫靠爸
[03:32] 我自己的家庭背景是這樣
[03:34] 我非常感謝我爸爸
[03:35] 讓我大學唸完
[03:36] 是不用去附學帶
[03:37] 但出社會之後
[03:38] 也是一毛都沒有
[03:39] 全部都是得靠自己
[03:40] 買房子也沒有家裡幫忙
[03:42] 全部都是自己
[03:43] 所以知道從你根本就沒有錢
[03:45] 然後看著那時候畢業
[03:47] 臺北市的房子
[03:48] 撒笑
[03:49] 怎麼可能有人可以買起這些房子
[03:51] 太誇張了吧
[03:52] 接著慢慢的一步一步走
[03:54] 在過程之中遇到了很多的顛簸
[03:56] 很多時候也會想要就放棄算了
[03:58] 這個放棄有很多種含義
[04:00] 一些就是好算了
[04:01] 反正我這輩子就放棄做一些事情
[04:02] 那我可能就單純一點
[04:04] 另外一些甚至有時候會一些很負面的思想
[04:07] 特別是在自己的工作遭受到一些打擊
[04:09] 或者重創的時候
[04:10] 就想說還是我乾脆就歸去好了
[04:12] 我就到另外一個世界好了
[04:14] 可是這些東西其實你都不能夠跟你的女朋友
[04:16] 或是跟你的老婆講
[04:17] 因為跟他們講很奇怪
[04:19] 在我們的觀念就是
[04:20] 你跟他講是怎樣
[04:21] 你要把壓力也丟給他嗎
[04:22] 我們就是男子漢
[04:23] 我們應該把這種東西扛下來
[04:25] 所以從以前到現在
[04:26] 自己也面臨過
[04:26] 蠻多這樣子的一些艱難時刻
[04:28] 知道其實在各位
[04:30] 地方爸爸的環境裡面
[04:33] 不管你是在哪樣的工作
[04:34] 其實我們也都承受了非常多
[04:36] 不一定會有人跟你說
[04:38] 爸爸姐快樂
[04:39] 甚至有時候
[04:39] 我們自己也不會太期待
[04:40] 像我們家的保姆就問說
[04:42] 你們爸爸姐要幹嘛
[04:43] 沒有人講話
[04:44] 我講說我不知道
[04:45] 應該也沒有人在慶祝爸爸姐
[04:47] 他說不會
[04:48] 爸爸很重要
[04:49] 安哥很喜歡你
[04:50] 就跟他說謝謝
[04:51] 但我們心中也不會覺得委屈
[04:53] 就習慣了
[04:54] 反正就是看到全家人開心
[04:55] 對我們來講就開心了
[04:56] 所以過孩子的生日
[04:58] 過老婆的生日
[04:59] 過母親節
[04:59] 過什麼有的沒有的
[05:00] 爸爸節
[05:01] 很多時候我們就覺得說
[05:02] 好算了
[05:02] 也不會特別在意
[05:03] 最多怎樣
[05:03] 手遊多客兩單
[05:05] 這就是我的爸爸節禮物
[05:06] 自己給自己
[05:07] 當然有些比較有預算的
[05:09] 可能會買一臺車
[05:10] 或是怎麼樣給自己
[05:11] 但那都是有點像自爽
[05:12] 我還是覺得說
[05:13] 就是各位地方媽媽們
[05:14] 因為我們長期
[05:15] 大家想說什麼
[05:16] 我們是指南巧虎
[05:17] 幫助他們的老公稍微改造一下
[05:19] 但是我覺得也不要忽略你們老公
[05:21] 為了去撐起這個家
[05:23] 為了去完善這個家
[05:24] 也是付出了非常多
[05:26] 雖然可能在生產方面
[05:27] 我們是你知道就叮叮給老兩秒鐘
[05:30] 可是不一定
[05:31] 有些人可能一分鐘
[05:32] 我講這幹嘛
[05:33] 反正總之就是說
[05:33] 很多的父親
[05:35] 雖然在生產方面感覺是很輕鬆
[05:37] 這真的因為就是我們生理的構造
[05:39] 但是在家庭的維繫上
[05:41] 不然說出了各種狀況
[05:43] 或是家裡有一些那種危險的事情要做
[05:45] 或像是鐵達尼號
[05:46] 假設要沉掉的話
[05:47] 你知道男生就是要留在船上
[05:48] 所以男生也是承擔了非常多
[05:50] 希望可以給自己的丈夫一個credit
[05:53] 跟大家講說
[05:53] 祝你八八節快樂
[05:55] 看可不可以給他一個什麼
[05:56] 親親券還是抱抱券之類的
[05:58] 反正總之就是
[05:59] 我們稍微把男性所面對到的一些困難
[06:04] 也把它放到檯面上
[06:06] 雖然大多數的時間
[06:07] 男生都不會把它講出來
[06:09] 或甚至是男生講出來
[06:10] 就被其他男生笑
[06:11] 說是撒小沒有能力
[06:12] 所以男生之間其實也是非常內卷的
[06:14] 就像女生很多時候會互相討厭
[06:15] 就說其實女生心機都很重
[06:17] 在那邊演或什麼
[06:18] 男生也這樣
[06:19] 男生就是會有一些
[06:20] 把標準設到很高的人
[06:22] 或者說反正就是舔狗型的
[06:24] 然後他就會讓其他男生
[06:26] 也變得很難做
[06:26] 但當好一個好的丈夫
[06:28] 跟好的男性
[06:29] 也不是這麼容易的事情
[06:31] 所以在這邊就由我代表
[06:32] 先祝各位地方爸爸們
[06:34] 爸爸節快樂
[06:35] 稍微講一下自己當爸之後的心得
[06:37] 其實我覺得當爸是
[06:38] 在我的人生階段裡面
[06:40] 改變我最多事情的一件事
[06:42] 那包含可能對家裡的長輩
[06:45] 就是以前自己的爸爸
[06:46] 可能對我的要求
[06:48] 是還算蠻高的吧
[06:49] 那小時候會有點不太理解
[06:51] 可是當你長大之後
[06:51] 你去面臨到一樣的時刻
[06:53] 當你要跟你的孩子講故事
[06:55] 或是你要跟他講
[06:56] 這個世間的一些作為
[06:58] 什麼是好的
[06:58] 什麼是不好的
[06:59] 你就可以懂得說
[07:00] 其實你爸爸要跟你講的事情
[07:01] 是一樣的
[07:02] 那只是你爸爸
[07:03] 當時他表達的方式
[07:04] 未必可以像你這一代
[07:06] 這麼完善
[07:07] 那這就要套一句
[07:08] 我的功能教練跟我講的
[07:09] 他就說
[07:10] 為什麼在祖父輩看到人家
[07:12] 都是會講說吃飽沒
[07:13] 因為那時候連吃飽
[07:14] 就是一個問題
[07:15] 那為什麼到我們爸爸背
[07:17] 就是說到底有沒有在賺錢
[07:18] 就整天跟你講錢
[07:19] 整天跟你講什麼發展什麼
[07:20] 因為在他們那個世代
[07:22] 賺錢就是最重要的事
[07:23] 所以也為了賺錢
[07:24] 他們可能疏於去陪伴我們之類的
[07:27] 或者說他們不認為
[07:28] 陪伴是一個重要的事情
[07:29] 因為沒有辦法
[07:30] 當時的風氣就是長這樣
[07:31] 那所以到我們這一代呢
[07:32] 我們也不會再去問人家
[07:34] 吃飽沒
[07:34] 也不會問人家賺錢沒
[07:36] 我們反而是問說
[07:37] 孩子生日你們要怎麼過
[07:38] 就是會多更多陪伴的東西
[07:40] 所以隨著一代一代
[07:41] 大家的生活是越來越好
[07:43] 大家也越來越放感情
[07:45] 就成如我上一集
[07:47] 開頭跟大家聊到的
[07:48] 你現在很難看到
[07:49] 會打小孩的家長
[07:51] 那已經算是一個異類了
[07:52] 那以前是不打小孩的
[07:54] 才是一個異類
[07:55] 所以這個世界
[07:56] 是慢慢的在推進
[07:58] 那你當爸之後
[07:59] 你就會跟蠻多事情會妥協
[08:00] 你就會知道說
[08:01] 其實你的父親為了撐起
[08:03] 當時你們家裡有的生活
[08:05] 不管他是好或是壞
[08:07] 他都是盡力了
[08:08] 那一樣我們講的
[08:09] 都講大多數的狀況
[08:10] 因為我後來發現說
[08:11] 真的有蠻多那種
[08:12] 深宮怨婦型
[08:13] 都會突然間跑出來
[08:13] 然後說他的爸爸多慘之類的
[08:15] 反正就是
[08:15] 很像那個
[08:16] 華安他們那個電影裡面演的嘛
[08:18] 要進去華府要比慘
[08:20] 然後總是有比你更慘的人
[08:22] 會跳出來說
[08:22] 你那個還好
[08:23] 就是我們不知道
[08:24] 去做這樣子的比賽啦
[08:25] 那反正總之就是
[08:26] 我覺得絕大多數
[08:28] 我不敢講百分之百
[08:29] 絕大多數的家長
[08:30] 就是盡力了
[08:31] 那這件事情呢
[08:32] 其實直到你真的去當
[08:34] 爸爸媽媽之前
[08:35] 你不會懂
[08:36] 為什麼
[08:37] 因為就連像我們這種
[08:38] 可能是相對富足的人
[08:40] 這是肯定的
[08:41] 這也不用跟大家演
[08:43] 或是说在那边嘰笑
[08:44] 問題就是說
[08:45] 我買東西給我的孩子
[08:46] 我孩子有時候
[08:47] 還是會跟我抱怨
[08:47] 為什麼他沒有什麼
[08:49] 你心中就很想要跟他吐
[08:51] 說你要不要拿個小朋友
[08:52] 可以像你這樣子
[08:53] 整天開卡包
[08:54] 一天可以開兩三個卡包
[08:56] 你知道那卡包
[08:56] 一盒要多少錢
[08:58] 一盒要幾千塊
[08:59] 可是你不肯跟他講這個
[09:00] 因為你能夠做
[09:01] 就是我已經給你一個好的生活
[09:02] 可是同時我也不希望說
[09:04] 因為我給你的物質的條件
[09:05] 那讓你變成是一個寵壞的兒童
[09:08] 然後你會影響到
[09:09] 你的其他同學之類的
[09:10] 所以我們要去抓那個也不容易
[09:12] 你就要去很小心的去對待你的孩子
[09:14] 就是不是說什麼你有多少錢
[09:16] 就全部砸給他就沒問題
[09:17] 因為有蠻多人可能
[09:18] 他想要去治療他的童年
[09:20] 他的做法就是無條件的砸給他的孩子
[09:22] 那都是一開始
[09:22] 後來你就會懂說這樣做是錯的
[09:24] 所以你就會懂
[09:25] 就是為什麼小時候你去要一些東西
[09:27] 你的爸媽可能不給你的原因是這樣
[09:29] 因為你沒有當爸之前
[09:30] 你就不會去懂這件事
[09:31] 所以當爸除了可以去了解
[09:33] 就是到底之前發生什麼事情
[09:35] 一定會有些是真的不好的事
[09:37] 那你去把它修正之後
[09:38] 在你的下一代
[09:39] 你帶他去看電影
[09:40] 帶他去玩遊樂社
[09:42] 是出國或是什麼的
[09:43] 你在這個過程之中
[09:44] 其實你就是去治癒了
[09:46] 當時的那個小朋友
[09:47] 那就希望每一代
[09:49] 需要被治癒的東西
[09:50] 都越來越少
[09:51] 因為每一代
[09:51] 其實都是有他不容易的地方
[09:53] 總之就是希望各位地方爸爸
[09:56] 都可以注意自己身心的健康
[09:58] 那下時代也慢慢的改變
[10:00] 從以前是絕對是不能講說
[10:02] 男生有什麼苦的
[10:03] 現在大家也開始去推廣
[10:04] 說其實可以把它講出來
[10:05] 所以就是該講還是可以講
[10:07] 但我老實跟大家說
[10:09] 我還是不會跟家人講
[10:10] 我的任何一個
[10:11] 或是我們家裡可能發生
[10:13] 什麼樣的狀況
[10:14] 我知道它是一個很艱難的事
[10:16] 我儘量我能夠藏
[10:18] 我都儘量藏
[10:18] 可是其實我知道這不是好事
[10:20] 對就是這不是好事
[10:21] 但如果各位真的覺得
[10:23] 自己快扛不住了
[10:24] 其實你要知道
[10:24] 你是有一家人可以幫忙你的
[10:26] 你是可以把他講出來
[10:26] 或許有一天哪個大事
[10:28] 真的跑出來我扛不住
[10:29] 我也會跟我全家分享之類的
[10:31] 到時候大家就會知道說
[10:32] 其實爸爸也是默默的承受了
[10:34] 蠻多東西
[10:34] 只是都沒有把他講出來而已
[10:36] 希望大家都可以注意
[10:37] 自己的身心靈的健康
[10:39] 這非常的重要
[10:41] 雖然我們可能看到別人開心
[10:42] 看到家人開心自己就開心
[10:44] 但有時候還是要稍微愛一下自己
[10:46] 就是可能平常課兩單手遊
[10:48] 今天就再多課一單吧
[10:49] 大概這樣
[10:50] 希望大家父親節快樂
[10:51] 好 接下來我們來進入上話題
[10:53] 那台股下就是拉到季線這個地方
[10:56] 那稍微的去做一個橫盤
[10:58] 那就蠻多人開始講說
[10:59] 要崩盤或什麼
[11:00] 我是覺得其實要崩下去的機率
[11:02] 應該是會偏低
[11:03] 就除非當然出一些國際事件
[11:05] 那個是我們無法預料的
[11:06] 但是我覺得其實過去的這個洗籌
[11:08] 然後外加事件後來開出來
[11:10] 應該是相對OK
[11:11] 然後在禮拜五的夜盤
[11:13] 因為開了非農的資料
[11:14] 然後就發現說開完
[11:15] 不管是什麼失業率或是非農
[11:17] 就直接整個射出去
[11:18] 這代表什麼意思
[11:19] 其實代表整個市場
[11:20] 是真的超級害怕升息這件事
[11:22] 但是我也不知道
[11:23] 什麼市場要害怕成這樣
[11:25] 但我們確實這個東西
[11:26] 可以稍微的先把它
[11:27] 放一個書籤在這邊
[11:28] 要去注意一下
[11:29] 那就跟其實這一波的修正
[11:31] 要去注意一下
[11:32] 雖然現在已經感覺說過去了
[11:34] 蠻多東西都已經開始在回彈
[11:36] 但要去曉得說
[11:37] 就當可能基本面都沒有任何的改變
[11:40] 那只是一些可能市場上的籌碼堆疊的過高
[11:43] 槓桿太高就可以這樣殺的話
[11:45] 那等到基本面真的發生改變的那一天
[11:48] 就一定會比這個大
[11:50] 幾乎是可以這樣篤定的去說了
[11:52] 那所以其實這一波
[11:53] 在我自己後來的時候檢討
[11:56] 我會覺得它可能算是某一種
[11:58] 就是警鐘之類的
[12:00] 就是讓你有機會去做調整
[12:02] 你要知道說如果這一波你會受到X的傷害
[12:05] 不管你是幾趴的一個drawdown
[12:06] 那可能在下一波
[12:08] 真的狼來的那一波
[12:09] 因為你知道AI
[12:10] 它不可能是無限的一直去投入
[12:12] 就是一定會有休息的那一刻
[12:14] 那到時候可能就是幾個X的一個傷害
[12:17] 所以如果說沒有去做調整
[12:19] 就會發生那樣的事情
[12:20] 那如果說有去做調整的話
[12:21] 可能在配置方面
[12:22] 就要說像我自己都是那種
[12:24] 滿倉科技股
[12:25] 可是其實像最近也是有被自己身邊的一些前輩給提醒他就跟我講說他覺得我的風控可以再做得好一點我心中在想的是因為我立刻也把這件事跟一個就是我平常會一起搞股票的很好的朋友講
[12:37] 他說你的風控已經算是很好
[12:39] 就是你已經算是打得散
[12:41] 然後像這波出狀況
[12:42] 塞臺紙塞臺積
[12:44] 就是往最穩的方向去
[12:45] 也不是說你還在去搞權證
[12:47] 或是期貨去抄或啥小的
[12:49] 所以你已經算很穩了
[12:50] 我就說不知道
[12:51] 因為可能人家是類似在做那種quantitative
[12:54] 就是那種量化交易的東西
[12:55] 所以他們其實很習慣
[12:57] 就是覺得說我今天做多某一個部位
[12:59] 我可能做多MTK
[13:00] 那我這時候就要去空一個
[13:02] 不管是什麼高通瑞玉
[13:03] 還是說什麼殺小
[13:04] 沒有我們不是說這公司不好
[13:06] 意思是說
[13:06] 反正你做多某個IC Design
[13:08] 你可能就去空另外一個IC Design
[13:09] 那你這樣做的目的是什麼
[13:11] 這個就是我們2022
[13:12] 跟大家分享的那種Long Short的配置
[13:14] 也就是說呢
[13:14] 今天如果大盤是那種
[13:15] 無條件的往下崩的話
[13:17] 你會有一部分的空單
[13:18] 會執行到保護你的這個效果
[13:20] 那如果說大盤是沒事往上走的話
[13:23] 那對你空單的部分
[13:24] 可能會稍微的被嘎到
[13:25] 可是如果說你的investment thesis
[13:28] 你的理論是正確的話
[13:30] 那是不是你做多的
[13:31] 理論上會賺的比你做空的
[13:34] 它被Beta帶上去的來的多
[13:36] 所以這一來一往之間
[13:37] 就像是賭一個看法一樣
[13:38] 你把大盤的Beta稍微的hedge掉
[13:40] 那當然它其實是很複雜的一些做法
[13:43] 只是最簡單可以這樣舉例
[13:44] 就是你做多一個標的
[13:46] 你同時就會配可能幾十%的一個空單
[13:48] 就是說可能做多是假設100%
[13:50] 那做空可能就配個30% 50% 70%
[13:53] 看你覺得盤面的狀況怎麼樣
[13:55] 可以做一個調整
[13:56] 這樣的好處就是
[13:57] 你可以去neutral掉一些
[13:59] 大盤造成的震盪
[14:01] 或者說崩跌的風險
[14:02] 其實以前我對於這樣子的事情
[14:04] 我是比較相對不在意
[14:07] 因為對我來講
[14:07] 獲得最多的資本報酬
[14:10] 是最重要的一個目標
[14:11] 可是我覺得近年
[14:12] 其實我開始可以去懂一些
[14:14] hedge fund為什麼它會存在
[14:16] 老實講在幾年前
[14:17] 我是不懂為什麼這些東西會存在的
[14:19] 我的想法就是說
[14:20] 你看這些hedge fund
[14:21] 他們其實蠻多在他費用後
[14:23] 甚至是你根本不用考慮費用後
[14:25] 他根本就是打不贏指數
[14:26] 他打不贏S&P
[14:27] 或是他打不贏0050
[14:28] 那為什麼有人要去買這些東西
[14:31] 或是以前Dario他講的
[14:33] 什麼all weather portfolio
[14:34] 為什麼有人要去做這種配置
[14:36] 那可是隨著自己進入了
[14:38] 另外一種家庭的階段
[14:40] 然後可能資產又爬到了
[14:41] 某種新高的水位之後
[14:43] 你會開始懂得
[14:44] 原來有些人他的思維是
[14:47] 其實我的保本是大於
[14:49] 我去賺更多的錢
[14:50] 這什麼意思呢
[14:51] 就是說每件事情都有一個trade off
[14:53] 都有一個代價
[14:55] 我要去獲得最大的一個報酬
[14:57] 像大家可能都知道說
[14:58] 那我就去用指數
[14:59] 然後或甚至是上一點小槓
[15:01] 反之就如果說他在修正的時候
[15:04] 2018 2012 2015
[15:06] 或者說2008
[15:07] 那指數也是可以跌掉很多的
[15:09] 甚至有腰斬的可能性
[15:10] 那你又再上槓
[15:11] 可能再跌掉更多
[15:12] 但他換來的是什麼
[15:13] 他換來的是
[15:14] 你今天如果是
[15:15] 把你的部位都是expose在指數里面的話
[15:18] 你就是吃到所有指數的一個報酬
[15:20] 但你是有一個相對的
[15:22] 就是如果遇到回檔
[15:23] 你要去吃的東西
[15:24] 那如果說你今天去做一些Hedging
[15:27] 或是你去做一些股債配置的話
[15:29] 在這樣的一些時間點
[15:30] 雖然現在應該已經沒有人在討論股債配
[15:33] 都覺得說這個配債好像是很low的事
[15:35] 但我覺得這個東西可能在後面的幾年
[15:38] 假如這個節目一直有存續的話
[15:39] 你可能會開始聽到
[15:40] 我會講這些配置的東西
[15:42] 因為我確實是有被這個前輩給點到
[15:44] 就是我們現在比較需要去關注的東西
[15:46] 其實我要如何的去保本
[15:48] 會是變得
[15:49] 我要如何的去賺到更多錢
[15:51] 來得更加重要
[15:51] 就是我寧願可能拉五年十年
[15:54] 看我的資本的投報
[15:55] 是比另外一個人
[15:57] 他全部丟市場來的低
[15:59] 可是相對的
[16:00] 當遇到drawdown的時候
[16:01] 我的drawdown是比他少
[16:02] 我賠的比他少
[16:03] 我痛苦指數比他少
[16:04] 我不用因為這樣去縮一截十
[16:07] 然後去影響到說
[16:08] 家庭旅行的規劃
[16:10] 是不是因為說現在盤不好
[16:11] 我們就去差一點的地方
[16:13] 不會
[16:13] 因為你相對平滑化了
[16:14] 所以你用一些上檔去换
[16:17] 就變成是非常合理的事情
[16:18] 所以我後來就開始懂
[16:20] 所以在這次
[16:20] 前輩跟我去點這件事情之後
[16:22] 我確實也會開始思考
[16:24] 就是把所有東西
[16:25] 全部都丟科技股
[16:26] 到底是對是錯
[16:27] 以過去來講絕對是對
[16:29] 因為覺得很爽賺很多
[16:30] 可是如果今天遇到
[16:32] 就像說像7月這樣的一個崩盤
[16:34] 或許蠻多人的態度
[16:35] 就會改變了
[16:36] 你可能前面已經去遇過
[16:38] 蠻多次的崩盤
[16:39] 然後前面幾次
[16:40] 你可能都還在二三十歲
[16:42] 你覺得說沒差
[16:43] 可是如果再遇到一次
[16:44] 是四十幾歲
[16:45] 你覺得四十幾歲的
[16:46] 你還要去扛
[16:47] 就是像7月這樣子
[16:49] 我每天看着
[16:50] 我自己的資產一直爆炸
[16:51] 雖然我知道
[16:51] 蠻高几率的
[16:52] 很多東西我看對了
[16:53] 都會回來
[16:54] 可是有些東西
[16:55] 它就真的不會再回來了
[16:56] 很多修正之後的東西
[16:57] 它是不一定會再回來的
[16:58] 你要不要去扛這個
[16:59] 就會變成是一個
[17:00] 很重大的問題
[17:02] 所以就會去了解
[17:03] 所以去做一些配置
[17:05] 分散
[17:06] 或甚至是去做一些
[17:08] 可能關聯性不高的東西
[17:09] 甚至是副相關的東西
[17:11] 去做一些hedging
[17:12] 它可能是蠻必要的
[17:13] 所以就是有機會往這個方向去做思考
[17:16] 那我覺得太古的後面這一段
[17:18] 就算一下這個盤子拉上來
[17:20] 可是像上集稍微跟大家提到的是
[17:22] 我覺得這邊可能要稍微的讀一下
[17:24] 就到底是要去中小還是大型的指數
[17:27] 因為一定會有一個東西
[17:28] 是outperform另外一個東西
[17:30] 那當然以交易的角度來講
[17:31] 我們隨時可以去做一些切換
[17:33] 那只是當你不想花太多時間在盤面上
[17:35] 因為你可能你們家要去度假之類
[17:37] 那你就會選擇就往一個方向去壓稍微多一點
[17:39] 可能那個地方7然後另外一個地方3
[17:41] 那這樣就去做一個休息
[17:43] 那我們還是可以稍微來看一下
[17:44] 下盤面的整體的情形
[17:46] 那首先在美股這邊
[17:47] 是很明顯前跑回去軟體了
[17:49] 那不管是Pantheon
[17:50] 在開了財報之後
[17:51] 直接設超多
[17:52] 或是像Cloudflare
[17:54] 開了一個財報之後
[17:54] 也是直接噴出去
[17:55] 你要知道這兩家公司
[17:56] 都是屬於市場上
[17:57] 就是大家甚至會把他們稱為
[17:59] 是有點那種貴到不可思議的股票
[18:01] 但他們就算是軟體的第一棒
[18:03] 包含說下市場上的一些
[18:04] 美股和資安股
[18:05] 也都是類似的東西
[18:06] 其實他們的價格都是屬於一個
[18:09] 就是假設你用Fore的PER來說
[18:11] 它是市場裡面相對貴的一個peer
[18:13] 可是資金是願意湧回去的
[18:14] 那這些東西呢
[18:16] 你可以把它類推試用到
[18:17] 其實像一些巨頭
[18:18] 他們也算是泛軟體股了
[18:20] 那所以錢已經開始有往軟體的方向去靠
[18:23] 那美股還有另外一個非常明顯的族群
[18:25] 是光通就全部都站起來
[18:27] 那其實臺股的光通在這一波也是有跟
[18:30] 那如果說有在看盤的朋友
[18:32] 應該就會曉得
[18:33] 其實光通是這一波整個supply chain裡面
[18:36] 算是第一個去休息的
[18:37] 那後來是散熱嘛
[18:38] 這是很有趣的
[18:39] 光通就是第一個站起來的
[18:41] 散熱也站起來
[18:42] 所以它其實是有機可循的
[18:44] 就是第一個下去的東西
[18:46] 然後現在是第一個轉牆
[18:47] 第二個下去的東西
[18:48] 也跟著轉牆
[18:49] 所以會不會就是一個chain
[18:50] 這樣子帶過去
[18:51] 然後最後面才輪到
[18:52] 可能在五六月最強的族群
[18:55] 然後才會再一次的醒過來
[18:56] 這個其實我們已經有看到一些跡象
[18:58] 我們都知道說在五六月的時候
[19:01] 其實很多噴漲的東西
[19:02] 像是什麼被動元件
[19:03] 或者一些功率元件
[19:03] 他們都是因為漲價所發生的故事
[19:06] 所造成的一個推升
[19:07] 當然它在崩跌之後
[19:09] 一定就開始很多人會丟出問題
[19:11] 去講說是不是他們根本就沒有漲價
[19:13] 但隨著這些公司
[19:14] 他們去開營收跟獲利
[19:15] 相信大家就看到說
[19:17] 其實就是真的有在漲價
[19:18] 就即便你不是業內人士
[19:20] 你只能夠去看那種lay indication
[19:22] 你都已經可以看到營收
[19:23] 就是有在開上去
[19:24] 其實最近的一些漲價信
[19:27] 或者說發到ODM OEM EMS這邊
[19:29] 我們都持續看到這些元件是有在漲價
[19:32] 但就是有可能
[19:33] 因為它在五六月是動了非常的多
[19:35] 然後現在開始回檔
[19:37] 甚至有些是直接回到原點
[19:38] 有機會他們就等到後面
[19:39] 因為跟著
[19:40] 所以我們現在看到說
[19:42] 國際的原物料再次的上去
[19:44] 到時候可能又有新一波的價格上調會發生
[19:46] 那可能就是再次的輪動到像光散熱
[19:49] 然後再排到下一個
[19:50] 然後最後面再動到這些元件
[19:52] 有機會就會全部再去走一次
[19:55] 所以我們去追資金的話
[19:56] 可能會往這個方向去看
[19:58] 但我覺得在7月的修正之後
