[00:00] 欢迎收听谷外,我是星风公
[03:21] 因为真的很像筷子在夹东西
[03:22] 那我觉得马斯克
[03:23] 真的是一个很北岚的人
[03:24] 他的周边很多时候
[03:25] 都会玩一些那种谐音梗
[03:27] 或是一些联想梗
[03:28] 那就会让你觉得很好笑
[03:29] 就这个人跟你的频率
[03:30] 是还蛮对的
[03:31] 虽然他可能是贵为首富
[03:32] 我会想说他跟我蛮像
[03:34] 干他是首富
[03:35] 你讲说首富跟自己像
[03:36] 好像是很奇怪
[03:36] 但思维的方式
[03:38] 是有一点类似
[03:40] 他就把机械手柄
[03:42] 就做成筷子
[03:43] 就是第一代的机械手柄
[03:44] 他就把它溶掉
[03:45] 然后生成了
[03:46] 大概4500副筷子
[03:47] 那是让自己的内部员工
[03:49] 可以去做采购
[03:50] 那就非常感谢
[03:51] 在SpaceX的朋友就帮我搞了一副
[03:53] 我也不知道怎么弄到的
[03:54] 好像是只有一人一副
[03:55] 但是他就在帮我额外再搞到一副
[03:57] 所以非常的感动
[03:58] 跟这些朋友们在聊天的时候
[04:01] 也了解到SpaceX真的是一个
[04:03] 文化非常酷的公司
[04:05] 其实我觉得我们以局外人的角度
[04:07] 去看马斯克的公司
[04:09] 不然像之前跟大家分享说Tesla
[04:10] 因为以前我们追踪是非常频繁的时候
[04:12] 会提到说
[04:13] 其实Tesla里面的很多决策
[04:14] 基本上是马斯克一人决定
[04:16] 就算是前面感觉是一个继承的决定
[04:19] 也可能因为他一时间的某一个idea
[04:21] 然后就去扭转它
[04:22] 接下来说之前有跟大家聊到
[04:24] 他的AI5跟AI6的FSD chip
[04:26] 那他的一个板子上面
[04:27] 就是打两颗的AI5晶片
[04:29] 或者两颗的AI6晶片
[04:30] 但后来呢
[04:31] 因为马斯克就觉得说他要cost down
[04:33] 所以他就把它变成是
[04:34] 一颗是AI5晶片
[04:35] 一颗是AI4.1的晶片
[04:37] 那也在供应链造成一些影响
[04:38] 那其实过往去追这些供应链的东西
[04:40] 就会注意到说
[04:41] 马斯克他真的是每个东西都看得很细
[04:43] 而且他非常的成本导向的人
[04:45] 那一般成本导向的人
[04:47] 给人家的印象是什么
[04:48] 就是说他可能为了成本
[04:50] 就会搞一个他妈超垃圾的东西
[04:51] 他就是为了cost down
[04:52] 为了省钱
[04:52] 跟政府采购一样
[04:54] 反正就找最便宜的
[04:55] 然后可能有时候就会出一些问题
[04:56] 但是他因为自己本身够懂
[04:59] 所以他去做cost down的时候
[05:00] 后面弄出来的东西也蛮屌的
[05:02] 所以他虽然有时候
[05:03] 会在供应链里面造成一些问题
[05:05] 就是以我们直接去追踪供应链来说
[05:07] 会觉得蛮头大的
[05:08] 可是同时你不得不佩服他
[05:10] 这是一个非常强大的人
[05:11] 然后在SpaceX的一个公司文化里面
[05:14] 是听朋友分享才知道
[05:15] 他们真的是把冰柜神速
[05:17] 用到一个极限
[05:18] 在这个公司里面
[05:19] 速度就是一切
[05:20] 所以对他们来讲
[05:21] 成本根本不是什么大不了的事情
[05:23] 我觉得说
[05:24] 如果今天工程师开出了某一个spec
[05:26] 他要去做研发
[05:27] 他们会希望说
[05:28] 你不要去走那种NPA
[05:30] 然后慢慢做实验的方式
[05:31] 我希望你一开始就直接开那种
[05:33] mass production
[05:33] 你东西就一次叫多一点
[05:35] 即便最后面整个batch丢掉
[05:36] 没关系
[05:37] 我要你快
[05:38] 我要你立刻就可以让事情发生
[05:40] 所以像是可能
[05:41] 就像说有某一个产品
[05:43] 然后这个产品
[05:44] 你在两条供应链上都可以找到
[05:45] 一个告诉你说
[05:46] 他在两个月可以做出来
[05:48] 一个说六个月
[05:48] 那两个月可以做出来的价格
[05:50] 可能是六个月的
[05:51] 随便举例十倍好了
[05:53] 他们也会选那个十倍的
[05:54] 反正就是越快越好
[05:55] 所有东西都是要立刻上线
[05:57] 那还听到一个有趣的小故事
[05:59] 我们知道说SpaceX里面
[06:01] 有一个高级的主管叫Gwen
[06:02] 那这个Gwen
[06:03] 他本身是有在管
[06:04] 采购跟公司内部财务的一些东西
[06:07] 然后有一次有一个
[06:08] 那个Junior的工程师
[06:10] 反正就是说
[06:10] 他注意到他想开出来的一些需求
[06:13] 然后卡在了Gwen这边
[06:14] 那他可能也是够白目
[06:16] 他不知道那个Gwen
[06:16] 就是他们公司的
[06:17] 那种冤老级的大头
[06:19] 他就直接去催他说
[06:20] 请你快一点
[06:21] 结果没想到Gwen回他
[06:22] 就是说好
[06:23] 我立刻让你这个东西
[06:24] 可以去做执行
[06:25] 所以虽然可能
[06:26] 公司有一些结构
[06:27] 有一些制度
[06:28] 但是运作起来
[06:30] 是非常那种平面化的
[06:31] 听说当时那个工程师
[06:32] 就被他的那个支柱主管
[06:33] 电一下说
[06:34] 你知道你写信的
[06:35] 那个对象是谁吗
[06:35] 结果没有想到
[06:36] 人家是用这样的方式回他
[06:37] 所以整家公司的文化
[06:39] 是非常积极进取
[06:42] 同时甚至是有点激进的
[06:44] 非常的赶充
[06:45] 同时里面有一些很酷的小故事
[06:47] 像朋友跟我分享说
[06:48] 他们里面是有shuttle plane
[06:50] 就是让他的员工
[06:51] 可以在德州的发射基地
[06:52] 跟加州之间去做来往
[06:54] 这个飞机就是他们自己的飞机
[06:57] 所以里面的空服员
[06:59] 也是他们的同事
[07:01] 穿的是SpaceX的衣服
[07:02] 然后再来在他们的发射地
[07:04] 它是一个像是U型海湾的一个构造
[07:07] 所以如果你从U的一端到另外一端
[07:09] 你开车你要绕一个U字形就非常远
[07:11] 所以我们就是搞了一个气垫船
[07:13] 然后就找了一个退休的军官
[07:16] 就是负责去开这个气垫船
[07:18] 在员工两地之间往返等等
[07:21] 反正有一些那种有趣的意识
[07:23] 然后跟当你知道
[07:24] 他们公司的运作方式
[07:26] 其实就算是从公开资讯
[07:28] 你都可以看得到
[07:29] 是一个冲得非常快
[07:30] 速度跟弹性都极好的公司
[07:33] 那就是跟可能在里面工作的一些朋友
[07:36] 聊天完之后就会觉得
[07:37] 应该要再买更多
[07:39] 那这次呢
[07:40] 收到这个筷子
[07:41] 我也是觉得来得正好
[07:42] 因为他除了筷子之外
[07:44] 还给你一个小碗
[07:46] 一样是用火箭的接收器所做出来的
[07:49] 我就在想说
[07:50] 在这样的一个时间点
[07:52] 拿着筷子跟碗去路边乞讨的时候
[07:54] 我就去少买一个道具
[07:56] 就可以立刻去做执行
[07:57] 可能会选
[07:58] 如果我在苗栗
[07:58] 我会选到国华地下道
[08:00] 林口的话
[08:01] 我不知道要去哪边乞讨
[08:02] 但反正最近就是
[08:03] 盘面的状况是非常的邦僻
[08:05] 但还是有很多有趣跟好玩的发现
[08:08] 在生活中持续的展开
[08:10] 那以前对我来讲
[08:11] 像这种盘面很不好的时候
[08:12] 心情就会变得很差
[08:13] 但我觉得这几年
[08:14] 自己的心态有慢慢去改
[08:16] 当然杠杆的比例也是降到很低
[08:18] 所以就会变成
[08:19] 现在是可以算是笑看一切
[08:21] 还有办法去说笑
[08:22] 可能要再多跌一阵子就笑不出来
[08:25] 可是目前都还是有办法
[08:26] 那总之这个礼拜
[08:27] 有一些这种有趣的发现
[08:29] 就是稍微的跟大家简单的聊一下
[08:31] 好那接下来进入上话题
[08:33] 那我觉得也不用去笑韩国人
[08:34] 台湾人感觉应该也是不太会做股票
[08:36] 那台积电开了他的第二季的成绩
[08:39] EPS是27.25
[08:40] 那毛利率的数字呢
[08:41] 是67.7%
[08:43] 其实跟市场的
[08:44] 大多数人的预期
[08:45] 我觉得差不多
[08:46] 但我们之前有跟大家
[08:47] 稍微透露一下
[08:48] 其实最高是有人喊到70去
[08:50] 那70这个数字
[08:51] 那时候就有讲说
[08:52] 是相对的
[08:53] 有点不切实际
[08:54] 所以当时我们就有去
[08:55] 跟大家分享
[08:56] 这个跟美光
[08:57] 那时候有一Q的财报很像
[08:59] 就大家提早往上喊
[09:00] 那后来那个数字
[09:01] 在后面的几个Q
[09:02] 就真的有出现
[09:03] 那只是呢
[09:04] 就是在当时
[09:05] 因为大家可能
[09:06] 真的是预期太高了
[09:07] 所以导致
[09:08] 它可能开完数字之后
[09:09] 这股价就开始出现了一些震荡
[09:11] 我们见TSM
[09:13] 看起来也是类似的一个情形
[09:14] 我自己是觉得说
[09:15] 那一天下午我看了公司的Q&A
[09:18] 跟法术会的公司的简报分享
[09:21] 我觉得是非常好
[09:22] 首先就是他们把KPX是往上调整的
[09:24] 本来是52到56B
[09:26] 现在变60到64
[09:27] 这个算调很多
[09:28] 这个也算是超出蛮多人的预期
[09:30] 因为大家只有去期待说
[09:32] 可能margin的一个trend会不错
[09:34] 然后再来就是
[09:35] 可能就是在这个未来的营收
[09:37] 是有机会去做上调
[09:38] 只是我比较少听到
[09:41] 有人讲但很少
[09:42] 有提到说CAPEX会有一个上修
[09:45] 所以我觉得这个其实算是一个surprise
[09:47] 它其实应该算是一个好消息
[09:49] 大家也知道说开完之后
[09:51] 隔天会吃到这些CAPEX的公司
[09:53] 也好几家就往跌停的方向冲了
[09:56] 所以代表说现在这个市场
[09:58] 就是有一点那种不理性的
[09:59] 沙盘的一个情形产生
[10:01] 第三季度的毛利率
[10:02] 是预计会盖一个65到67
[10:04] 营业利润率是56到58
[10:06] 那我觉得像这个数字呢
[10:08] 它本身应该会是一个低爆高beat的一个状态
[10:12] 也就是因为其实目前的能见度是高的
[10:14] 我相信说最后面开出来的数字
[10:16] 应该就是会高于差不多六七
[10:18] 或是六七的上缘之类的
[10:20] 那应该是不需要太担心
[10:22] 只是可能在市场的解释呢
[10:24] 因为大家看到盘后的ADR就直接在跌了
[10:26] 所以觉得说那个毛利怎么会是衰退的
[10:28] 但我觉得拉长看
[10:30] 这应该都不是什么大问题
[10:31] 因为像说就是为了这个下跌
[10:34] 就一定要去找个理由来说明
[10:36] 然后再来当然营收去做上修
[10:38] 本来预测是30%
[10:39] 每元营收
[10:40] 然后现在调到40%
[10:41] 整体来看是一个非常好的数字
[10:43] 但还是遭受了无情重击
[10:46] 虽然即便CC在他的法术会上面
[10:48] 讲了超级多的好消息
[10:50] 有半影像有一个
[10:51] 我觉得非常重要的
[10:52] 就是有被分析师问到说
[10:54] 有没有可能之后
[10:55] 把封测的东西额外拉出来报
[10:57] 因为它算在一起
[10:58] 关于聊封测相关的内容
[11:00] 公司也有提到说
[11:02] 目前就是在后段的先进封装
[11:04] 这里是超级的紧俏
[11:06] 所以如果今天有竞争对手
[11:08] 那当然我们知道
[11:08] 这个竞争对手就是Intel
[11:10] Intel的EMIP-T
[11:11] 然后这个EMIP-T
[11:12] 如果说有办法做得好的话
[11:14] 那代表台积电的前端
[11:16] 就可以放更大的量
[11:17] 对不对
[11:17] 就如果说我今天是
[11:19] 在先进封装这边
[11:20] 是被卡住的话
[11:21] 那我前端的东西
[11:22] 也没有办法很顺利
[11:23] 而去走到后端
[11:24] 所以如果今天有竞争对手
[11:26] 可以把后端的东西做好
[11:27] 那当然对台积电来讲
[11:28] 也是一个更好的方向
[11:30] 多次而强调
[11:31] 他们是希望客户要赢
[11:33] 那也提到说
[11:34] 非常羡慕韩系
[11:35] 美系的这些机体厂
[11:37] 毛利数字可以这么高
[11:39] 公司觉得说
[11:40] 他们现在毛利数字
[11:42] 就已经是相对满意了
[11:43] 他们没有要去抢客户的意思
[11:45] 我觉得言下之意是这样子
[11:47] 所以其实在他的整个内容
[11:50] 或是未来的展望
[11:52] 以及在法说里面的Q&A
[11:54] 我觉得是没有办法看到任何败相的
[11:57] 所以比较难以去解释
[11:58] 说TSM为什么隔天会突然间跌6%
[12:01] 但这种事情
[12:01] 身为市场的一些老兵们
[12:04] 大家应该都有感受
[12:05] 过去美股也是一堆这种
[12:07] 开完财报直接崩20%的
[12:08] 然后接着坏
[12:09] 可能不早就等一段时间就碰上去
[12:10] 或是像那时候的Apple
[12:12] 那也是在出了这个
[12:13] 记忆体相关的消息之后
[12:15] 先跌
[12:15] 那时候我们就想说
[12:16] 这个东西应该对他来讲
[12:18] 不会是一个太大的利空
[12:20] 可是市场就是先往一个利空的方向去解释
[12:23] 然后说Apple现在新高了
[12:24] 所以你不用去帮短期的股价
[12:26] 做太多的解释
[12:28] 但对于整个盘面结构
[12:29] 或是以我们这种以投资
[12:31] 然后以及交易为业的人来讲
[12:34] 当然这个也是我们还是会去尊重的一个指标
[12:36] 那稍微讲一下
[12:37] 现在自己对盘面的一个看法
[12:39] 那因为在过去一阵子呢
[12:40] 就如果自己所规划的
[12:42] 我会认为说
[12:43] 首先我们在上集有提到说
[12:45] 现在去转强的族群
[12:46] 要稍微的小心一点
[12:48] 那后来大家应该自己都看到了
[12:50] 那不只是礼拜五
[12:51] 其实前面几天就已经开始了
[12:52] 那些转强的族群呢
[12:54] 果然就是被大家视为一个短期的避风港
[12:57] 发现没有办法之后
[12:58] 全部人一样会杀出来
[12:59] 那再来像我自己的规划是我认为市场的资金一定会去往盛亏股里面去退就是退到大家充满母爱的台积电里面觉得这个东西最安全最稳也是相对便宜的东西
[13:10] 确实就是在过去的一阵子
[13:12] 虽然自己手上的中小蛮多都有显著的回荡
[13:15] 可是当你一直把中小的钱撤出来
[13:17] 然后去往台积电堆的时候
[13:19] 台积电甚至前面还是先涨个几天的
[13:20] 所以它是有效的去平滑化
[13:22] 就是在前面的一些中小的下跌
[13:24] 或者说AI的高Beta股的下跌
[13:26] 只是没有想到在礼拜五的时候
[13:28] 算是我自己也遭受重擊
[13:30] 因為我的持股已經就超過一半以上都是台積電
[13:32] 就想說就趴進去
[13:33] 不知道買什麼先買台積
[13:34] 然後結果台積電直接給你炸個6%
[13:36] 所以算是達到我自己的標準
[13:39] 我就設定說我的這個禁止
[13:41] 只要從高點回檔差不多15%以上之後
[13:44] 那我就要轉成是一個防守的模式
[13:46] 那其實搭配一下大盤的型態
[13:47] 剛好是跌破基線
[13:48] 所以在這邊稍微的去調整自己的心態
[13:51] 就是比較不以進攻作為本質的話
[13:54] 我覺得是還蠻OK的
[13:56] 虽然理论上就是以这种高速去破季线的角度来说
[14:00] 然后特别季线的协议率还是正的
[14:02] 我们应该是后面可以期待会有不错的一个人道走廊开出来
[14:05] 那只是这个人道走廊开出来之后
[14:08] 因为我现在已经就是转为防守的一个姿态
[14:10] 搭配可能我八月要出国
[14:12] 所以那个想法是有贯通的
[14:14] 那所以会比较偏向是就是不会很积极的去进攻
[14:18] 那过往积极的进攻就是我们会去识别
[14:20] 下盘面上有什么新的族群
[14:22] 就来说像在最后面跟大家分享的时候
[14:24] 是我觉得这个公率
[14:26] 然后跟封测
[14:27] 可能是市场后面会注意的
[14:28] 那像公率最近也杀超级深
[14:30] 那封测的话没有杀这么深
[14:32] 所以理论上封测稍微的转强
[14:35] 我们就会把钱塞进去
[14:36] 但因为现在我的想法就是
[14:38] 骂老子也怕了
[14:39] 所以封测这边
[14:40] 我就不会很积极的去打
[14:42] 就是甚至会有点像是说那种
[14:43] 买黑
[14:44] 然后而不是去买红的一个状态
[14:46] 这个跟自己的做法
[14:47] 平常来说是有点相反的
[14:49] 那只是因为现在在市场上
[14:50] 我觉得形态还好的标的
[14:53] 是已经越来越少
[14:54] 所以形态好就是
[14:55] 你最保守啦
[14:57] 你一定是要在季线上面的
[14:58] 那再来就是可能
[15:00] 最好你要在月线上面
[15:02] 但是因为月线上面的表底
[15:03] 真的是相对少
[15:04] 那我们又担心说那种
[15:05] 就是现在还走得很强的
[15:07] 因为他只是暂时的避风港
[15:08] 会不会后面大家钱又跑出来
[15:10] 所以你看吧
[15:11] 因为就是像上集的节目末端讲的
[15:13] 我觉得现在变得太复杂
[15:14] 所以你越积极你越动人
[15:16] 你就是有机会被修理
[15:17] 那搭配说
[15:18] 因为自己已经达成设定的条件了
[15:20] 就是回档超过十几拍以上
[15:22] 那这边开始呢
[15:23] 就是要进入防守
[15:23] 所以后面我的做法应该会偏向
[15:26] 就比较不会去选个股
[15:28] 可能会用台子旗
[15:29] 或甚至是像0050
[15:30] 就作为我自己的工具
[15:32] 当我要去选择抄底
[15:34] 或者去加码的时候
[15:35] 先加指数
[15:36] 好怀念的时间点
[15:39] 因为像过去
[15:40] 我们有几次是这样子搞
[15:41] 反正基本上
[15:42] 开始出现一些那种崩杀
[15:44] 又没有办法去识别出群的时候
[15:45] 我也是会把资金先停进去指数
[15:48] 我觉得我在后面也会这样子去做
[15:50] 当然有些人会选择说
[15:51] 他就是把它变成是现金
[15:52] 身边越来越多人都跑去放假
[15:54] 都不想玩了
[15:55] 可是因为我自己是相信市场
[15:56] 长期向上的信奉者
[15:58] 所以对我来讲
[15:59] 停现金是最傻的
[16:01] 就即便每次下跌
[16:02] 都一定会有人讲什么现金为王
[16:03] 现金为王我从他妈一万点
[16:05] 停到四万多点
[16:06] 你拿越多现金的
[16:07] 你真的就是越赔
[16:08] 可能在短期看起来很聪明
[16:10] 可是你如果没有在对的时间点
[16:12] 切回去股票部位的话
[16:14] 其实最后面输最大的是你
[16:16] 你可能少人家一点点draw down
[16:17] 可是问题是上去的时候
[16:19] 上涨全部都没有
[16:20] 所以为了避免这样的情形
[16:21] 就是你还是要股票的部品
[16:23] 那我就会选择
[16:24] 可能就是往台子期
[16:26] 然后或者说
[16:27] 0050的方向去走
[16:28] 接下来就是去持有整个大盘
[16:29] 那持有整个大盘的好处是什么
[16:31] 就你知道大盘的整体的结构
[16:33] 占比非常高
[16:34] 就是台积电
[16:34] 然后再来就是
[16:35] 不管大盘里面的谁
[16:36] 最后面是率先的反弹出头
[16:39] 去领导大盘的指数回稳的话
[16:41] 那你都是会吃到这一段
[16:42] 可是这边去做选股
[16:43] 我就觉得应该是变得很困难
[16:46] 那即便其实在理性上
[16:48] 我们看一下
[16:49] 回答很深的这几个族群
[16:50] 不管是记忆体
[16:51] 或是被动元件
[16:52] 或是光通讯或什么的
[16:54] 你要说他们在产业面
[16:56] 有什么超级大的问题
[16:57] 都没有
[16:58] 甚至前面我们都会
[16:59] 出来协助大家批
[17:00] 你要知道我们这一台
[17:02] 是比较不会去看涨跌
[17:04] 讲故事的
[17:04] 就是我们还是会聚焦在
[17:06] 产业的基本面为主
[17:07] 有些东西在回答的时候
[17:09] 回忆超级深
[17:10] 就像说像那种
[17:11] 美股的几只标的
[17:12] 我觉得今年比较经典
[17:13] 就是像Credo跟Stratlabs
[17:14] 掉下去的时候
[17:15] 就人人都喊打
[17:16] 都喊骂
[17:17] 但你看后面喷起来
[17:18] 都超凶的
[17:19] 但其实这段时间内
[17:20] 他的公司是没有什么太大的差距
[17:23] 差距只是说市场的一个论述
[17:25] 从前面讲说气筒转光
[17:27] 然后发现说光充太快了
[17:29] 那筒也不错
[17:29] 最终甚至是发现说
[17:31] 其实这几只标题
[17:32] 它也不是很纯的筒
[17:33] 它本身也是有光的成分在
[17:35] 那一样的道理
[17:36] 就是你现在在市场上
[17:37] 一定会开始看到各式各样的坏消息
[17:39] 像我最近就有看到说
[17:40] 有人在丢那种成熟制成的坏消息
[17:42] 说什么TSM要抢他的生意
[17:45] 然后再来又有看到像是
[17:46] 记忆体的坏消息
[17:48] 或甚至是那种AI整体的坏消息
[17:50] 现在蛮多人在传那个Kimi
[17:51] 就是中国的模型
[17:52] 其实Kimi K3
[17:54] 我看来它跟那时候大家在讲
[17:57] Deep Seek的道理是一样的
[18:00] 就是认为说有一个更高效率
[18:02] 可能是开源的解方
[18:05] 或什么中国的这种便宜的解方丢出来
[18:07] 它就会对市场造成很大的冲击
[18:09] 就不需要再做那种各式各样的投入
[18:11] 我觉得这是一个非常致命的错误
[18:13] 就跟那时候Deep Seek事件一样
[18:15] 我认为又是再一次的市场错判
[18:17] 然后这个市场错判会导致它回挡到什么程度
[18:20] 我不知道
[18:21] 但是有照片大家回头看
[18:22] 应该不用太久
[18:23] 应该就会发现说
[18:24] 当时的一堆人真的是在瞎说
[18:26] 特别是其实Kimi K3
[18:29] 它本身的这个参数是很高的
[18:31] 它是2.8兆
[18:32] 所以它还是会需要那种很高规格的AI伺服器
[18:37] 它消耗的量还是会非常大
[18:39] 所以没有道理说有一个这个有效率的东西出来
[18:41] 然后就导致说大家就不要去用这些东西
[18:44] 那不然说像是记忆体的采用
[18:46] 说这个KVCash要用少一点
[18:48] 没有其实这个就是Job on Paradox
[18:50] 已经讲很多次了
[18:51] 但是每次发生
[18:52] 大家都会被恐慌给领导
[18:54] 然后就忘记
[18:55] 就算东西变得便宜
[18:56] 就算东西的单一一次的用量变少
[19:00] 它只会代表的是
[19:01] 这个东西因为本身家
[19:03] 是有更多人可以去做使用
[19:05] 采用的人会更多
[19:06] 然后或是因为发现效率变好
[19:08] 就愿意去投入更多的资金做
[19:09] 所以实际上的消耗量会是更大的
[19:11] 就像是从本来的Chatbot模式
[19:13] 然后变成是
[19:14] 这个像AI我们都知道
[19:16] 它是走一大堆的reasoning
[19:18] 然后跟mission导向的
[19:20] 它会去收集一大堆的任务
[19:23] agentic AI去跑
[19:24] 那像这个它其实本身
[19:25] 需要的token是越来越多
[19:26] 所以我不觉得
[19:28] 这个Kimi K3相关的讨论
[19:30] 或者是最近市场上
[19:31] 开始丢出来的
[19:33] 这些各式各样的鬼故事
[19:34] 是有办法去解释说
[19:36] 这个盘面为什么会这样子回
[19:37] 就像前面很多人试着去用
[19:39] 美伊战争来解释这个回答
[19:40] 但股价还不是股价
[19:41] 就油价就没有再往上去大暴冲
[19:44] 所以就一定不是那个
[19:45] 所以我们会用类似的东西
[19:46] 去做一些三去法
[19:49] 老实讲前面市场在跌的时候
[19:50] 我自己心中的想法是
[19:53] 可能就是比较偏向是
[19:54] 资金导向的一个大屠杀
[19:57] 但同时可能有一些
[19:58] 我们不知道的事情
[19:59] 我们还是会去尊重市场的一些走势
[20:00] 像去年的三月
[20:02] 那时候说趁到一个人道走廊
[20:04] 我就要离场
[20:04] 然后后面真的就是有事情
[20:06] 这一波其实比较有趣的一个状态
[20:09] 是如果你去看一下标普
[20:10] 它还在新高附近
[20:11] 你看台值扣掉礼拜五
[20:13] 它其实本身也都还在行高
[20:14] 可是一大堆中小是已经跌要爆掉了
[20:16] 当然在美国这边
[20:17] 也是类似的一个情形
[20:19] 你去看一下那个XOXX
[20:21] 里面的一些成分股
[20:22] 其实都摔得蛮重的
[20:23] 过去很强的一些什么CPU
[20:25] 或是ASIC相关类股
[20:26] 其实都跌得蛮重
[20:27] 所以它有点类似是一个分化
[20:29] 已经走出来了
[20:30] 只是说在美股这个市场
[20:31] 有趣的地方是
[20:32] 它的组成性是很广的
[20:34] 所以当我们今天注意到
[20:36] 像是这些半导体相关的
[20:37] 都会掉下去
[20:38] 但立刻的像美国最近很明显
[20:40] 巨头跟软体又再一次的转强
[20:42] 当这些东西转强
[20:43] 它其实就是可以把指数
[20:44] 撑在一个相对高的位置
[20:45] 台湾虽然全部都是
[20:47] 跟电灵组AI高度相关的东西
[20:49] 基本上不是的是
[20:50] 相对很少数的东西
[20:52] 只是只要台积电够强的话
[20:54] 其实指数都还是会维持在
[20:55] 一个相对高的地方
[20:56] 所以其实在礼拜五之前
[20:57] 你看指数回档
[20:58] 大概就是五六趴左右而已
[20:59] 但是蛮多人的中小的配置
[21:01] 我相信都是回到
[21:02] 大概两成多以上
[21:03] 这时候如果指数
[21:05] 再给你一个final blow
[21:06] 再掉下去的话
[21:07] 那打击觉得蛮大
[21:09] 所以像我自己
[21:09] 就是真的在礼拜五的时候
[21:10] 就感受到痛了
[21:11] 所以就立刻就切换进去一个防守模式
[21:13] 所以后面对我来讲
[21:14] 就是开的各种人道走廊
