[00:00] 歡迎收聽谷愛,我是聖木公,本期節目由擅存益生菌贊助
[13:56] 我們就跟大家分享
[13:56] 到現在都還是一樣的一個狀態
[13:58] 就是你去賣那些DDR5的
[13:59] 你去算WiFi的話
[14:01] 它不一定會輸給HBM
[14:03] 就是說它其實有機會
[14:04] 是更賺錢的
[14:05] 所以它如果沒有出到HBM
[14:07] 然後它全部都跑去出DDR5的話
[14:09] 它說不定是更賺錢的
[14:10] 所以那些可能什麼驗證沒有過的
[14:12] 你反而是像是幫他講壞訊息
[14:14] 但其實是好訊息
[14:15] 代表說他可以用其他的產品去賺到更多的錢
[14:18] 當然如果今天是拉長期看的話
[14:20] 我們還是會比較相信那種最前端的產品
[14:23] 最前端的產品在開始Ramp Up的時候
[14:25] 可能不會這麼賺錢
[14:26] 可是當他良率整個拉起來
[14:28] 開始產能跑順的時候
[14:29] 他理論上就是會比較賺錢
[14:30] 只是現在是會有一些那種缺貨漲價的一個情形
[14:33] 所以像什麼DDR5有時候你會賺贏HBM
[14:36] 或者說DDR4你會賺贏DDR5
[14:38] 就是說它是一個短期的現象
[14:40] 那這個短期的現象
[14:41] 他們可能就可以藉此撈到很薄
[14:43] 所以於是說像這個驗證沒有過
[14:45] 它可能也是一個短期的現象
[14:47] 那這個短期
[14:47] 它反而靠其他東西更賺錢
[14:49] 然後之後它一樣驗證過
[14:50] 一樣有拿到不錯的share
[14:51] 它反而是加分
[14:52] 所以不管是對海力士或是美光
[14:54] 就我們的態度是一樣
[14:55] 我們覺得說
[14:55] 這比較像是市場上的一種談資
[14:58] 反正就是說
[14:58] 大家會有各式各樣的揣測
[15:00] 那某個程度上來看
[15:01] 可能大家都沒有錯
[15:03] 就是你說它沒有
[15:04] 那可能是現在沒有
[15:05] 但後面會有或什麼的
[15:06] 那這時候就會去回到
[15:08] 這個雜訊的討論
[15:09] 就你要不要去
[15:10] 在意市場上的每一個話題
[15:12] 如果說你要在意的話
[15:13] 你要把它賣掉
[15:14] 那賣掉之後呢
[15:15] 那後來它如果又驗證進去
[15:16] 你又買回來
[15:17] 那我就問你
[15:18] 如果這一來一往之間
[15:19] 我覺得說差距不大的話
[15:20] 那你就損失一些交易成本嘛
[15:22] 那很高機率你還會弄巧成拙
[15:24] 就是說你是賣在一個
[15:25] 相對低的地方
[15:27] 然後接著你追回來
[15:27] 是追到更高的地方
[15:29] 所以就變成說
[15:29] 這種短線上的
[15:30] 這種noise
[15:31] 其實就真的沒這麼重要
[15:32] 這個也是我可能
[15:33] 前陣子去跟朋友聊天
[15:35] 然後他給我這樣子的提醒
[15:37] 我覺得蠻不錯
[15:37] 因為有時候我們自己在裡面做
[15:38] 做一做我們也會不小心的
[15:40] 就是可能開始去注意一些noise
[15:42] 我覺得有時候是這樣
[15:43] 就當你努力到一個極限
[15:44] 你可能標的都已經選好
[15:45] 你可能也都抱一陣子了
[15:47] 可是你現在不知道該做什麼
[15:49] 所以如果今天有人跟你講一些
[15:50] 突然間的壞訊息或什麼
[15:52] 你還是會去考究一下
[15:53] 你越想可能越不對勁
[15:55] 你就會去做一些解碼
[15:56] 然後最後面可能就發現說
[15:57] 你賣在一個喜人的地方
[15:59] 後面就持續的開軸
[16:00] 所以稍微跟大家分享一下
[16:01] 市場上的這個事件
[16:03] 我們的一個心得
[16:04] 然後就算今天可能不是
[16:05] 這個美光或者說不是海力士
[16:08] 我們都不覺得是很重要的事情
[16:11] 反正就是說最後面
[16:12] 應該都是會拿到各自的一個比例
[16:14] 那接下來我們稍微來看一下MACO
[16:16] MACO去上修了
[16:18] 它的HDI PCB的展望
[16:20] 那這個HDI PCB
[16:21] 我們知道說裡面有蠻大的一部分
[16:23] 是用在Telecommunication
[16:24] 也就是說衛星的應用
[16:25] 那所以這個就
[16:27] 怎麼說印證的非常快
[16:28] 我們在前幾集有跟大家聊到說
[16:30] 我們覺得這家公司
[16:31] 它應該要去上修它的數字
[16:32] 那果然一下就直接上修
[16:34] 只是老實講
[16:35] 我沒有想過說上修之後的
[16:36] 這個股價反應是這麼劇烈
[16:38] 竟然出了一個漲停22%
[16:39] 那這個是我自己
[16:41] 是沒有想過的一個劇本
[16:42] 那可能也是搭配了當天
[16:44] 高市早描的一個大盛
[16:46] 那時候前一天的一個大盛
[16:47] 然後接著在隔天的日股開盤
[16:49] 就是所有東西都直接噴射出去了
[16:51] 那算是拿到一個非常好的報酬
[16:54] 那這個算是超乎自己的想象
[16:55] 只是在前面的這個
[16:56] 所謂的衛星產業鏈的一個上修
[16:59] 這個算是我們自己有掌握到
[17:01] 所以很多時候
[17:01] 其實我們去看一些標的的時候
[17:03] 我們對基本面的掌握度
[17:05] 是高於對股價的掌握
[17:06] 因為老實講
[17:07] 如果我今天對股價掌握度很高的話
[17:08] 我大概就變世界首富了
[17:09] 股價的掌握度
[17:10] 有時候它是
[17:11] 怎麼說
[17:12] 我們有一堆的標的
[17:13] 可能是我們覺得它很好
[17:15] 然後我們去壓住它
[17:16] 然後周邊它都沒有漲
[17:17] 甚至它是跌
[17:17] 然後我們就可能
[17:18] 紀律停損
[17:19] 講講紀律停損
[17:20] 實際上就是說機會成本
[17:21] 因為你有更好的選項
[17:22] 你這邊等太久
[17:23] 你就不想等
[17:24] 這樣的東西其實是蠻多的
[17:26] 那有時候也會比較曬小
[17:27] 像衛星就算是一個比較曬小的東西
[17:29] 就是當你可能覺得它不錯
[17:31] 然後你去做一些投資
[17:33] 然後接著呢
[17:33] 它就直接就噴射出去了
[17:35] 所以大概就可以用這個MACO的
[17:37] 這一份上修來印證
[17:39] 就是我們跟大家所提到的
[17:41] 在SpaceX跟Starlink
[17:42] 他們有一個訂單上修的一個狀態
[17:44] 因為它出貨最大宗呢
[17:46] 就是For SpaceX
[17:47] 所以從這邊大家就可以
[17:48] 獲得這個產業上的答案
[17:50] 也就是說你最晚就這邊
[17:51] 你應該要知道
[17:52] 那如果看到這邊
[17:53] 你都還不知道的話
[17:53] 那就真的是非常非常lag
[17:55] 就是可能就是等到人家IPO
[17:56] 然後你才知道
[17:57] 那到時候可能就是
[17:59] 準備給人家出貨之類
[18:00] 不一定啦
[18:00] 因為衛星搞不好會走好幾年之類的
[18:02] 所以這個還是要稍微的再觀察看看
[18:04] 但總之就是說
[18:05] 我們可以透過這個MACO的上修
[18:07] 然後去瞭解到說
[18:09] 這個衛星的題材為真
[18:10] 只是說現在到底要把它
[18:12] trade到什麼樣的一個估值層數
[18:13] 這個我不知道
[18:14] 那也因為說
[18:16] 這一波衛星算是比較意外啦
[18:17] 就是說我們去講
[18:19] 然後到現在
[18:19] 其實那個報酬率是很高
[18:21] 然後開始就會
[18:22] 市場上有些人會去討論
[18:23] 然後就是說這個是什麼
[18:24] 我的標的啊
[18:25] 那如果今天他開始盤整
[18:27] 或者有時候會有一些回賬的出現
[18:29] 然後就是說我要出貨給別人
