[00:00] 歡迎收聽谷外,我是孟公,本期節目由Cashback反多多贊助
[03:50] 或者說我要吃一餐三十塊的
[03:52] 我爽就好
[03:53] 就是不會說什麼我一定要怎麼樣
[03:54] 所以其實在教育方面也是
[03:56] 誰知道搞不好兒子以後
[03:58] 他媽超級喜歡唸書
[03:59] 他說媽老爸我就要念書
[04:00] 像我表姐的
[04:03] 還不知道我堂姐的小朋友
[04:05] 天才啊
[04:06] 真超級會念書
[04:07] 可是當然那個是因為人家爸爸是醫師
[04:09] 很多時候覺得小朋友的
[04:11] 那種唸書能力其實會遺傳的
[04:13] 那種醫生很多都什麼三代醫生之類的
[04:15] 但如果真的像人家這樣子
[04:16] 超級會念書
[04:17] 他會跟我講爸爸我要念書
[04:19] 那你當然就留在臺灣唸到寶
[04:20] 那只是如果你不想要念書
[04:22] 或是你想要去走別的路線
[04:24] 或者說你覺得唸書
[04:25] 只是生活中一部分的話
[04:26] 那老爸可以給你選擇
[04:28] 就像是
[04:28] 我們現在也有各種選擇
[04:29] 對我們在臺灣是過得很開心
[04:31] 我們到海外其實是過得很開心
[04:33] 也不會像一些人講的
[04:34] 就是說什麼
[04:35] 你在臺灣賺到錢
[04:36] 你終極目標就是一定要
[04:37] 怎麼搬到哪裡去
[04:38] 還是說一定要在哪裡自產
[04:39] 一定要進臺北市
[04:40] 一定要什麼到哪裡
[04:41] 沒有這種事情
[04:42] 反正就是你有錢
[04:43] 就是想幹嘛就幹嘛
[04:44] 簡單講是這樣
[04:45] 當然這個想幹嘛就幹嘛
[04:46] 不是說什麼
[04:46] 你在路上恨行霸道
[04:48] 不是這個意思
[04:48] 就只是你會多一個選擇的權利
[04:50] 所以其實你會發現說
[04:52] 就是蠻多
[04:53] 至少我自己觀察
[04:54] 那種身邊可能年紀已經到
[04:56] 戒退年齡
[04:57] 可是為什麼都不退休的原因
[04:58] 就是因為他可以選擇退休
[04:59] 他只是不想要退休
[05:00] 而且可能就像川普講的
[05:02] 我覺得川普說的是有道理
[05:04] 就要觀察自己身邊那些朋友
[05:05] 他在有一些演講提到
[05:06] 那些退休的
[05:08] 沒有一兩年就瞬間變很老
[05:09] 這個我自己有觀察到類似的情形
[05:11] 然後身邊的家人朋友
[05:13] 那種真的跑去退休雲遊四海
[05:15] 很快就退化
[05:16] 所以一定還是要找一點事情做
[05:17] 就是你不可以完全的閒下來
[05:19] 你的腦筋
[05:19] 或者說你的肌肉
[05:20] 都還要持續的運動
[05:22] 還是要持續的發展
[05:23] 應該只去燒它
[05:23] 要給它一點壓力
[05:25] 然後它才會長得更好
[05:26] 我覺得是這樣子
[05:27] 所以非常感謝各位聽眾的各種feedback
[05:30] 就他們給我各種光譜上的選擇
[05:32] 有些是那種完全都是在玩的
[05:34] 其實我也不會是覺得
[05:35] 小朋友是要完全都在玩
[05:36] 那有些是給我說
[05:38] 你可能可以考慮去海外
[05:39] 或者其他的學校
[05:40] 非常感謝各位聽眾的協助
[05:42] 所以我有時候覺得
[05:43] 這個節目很棒的一點就是
[05:45] 它不是一個單向的
[05:46] 我對大家輸出
[05:47] 那時候大家也會給我一些意見的回饋
[05:50] 那我在整理之後呢
[05:51] 我就可以給出一個更全然的solution
[05:53] 那我自己會選其中一個
[05:55] 就類似說我們在看市場的題材的時候
[05:57] 其實我也不是要當那種喊盤老師
[05:59] 雖然我覺得蠻多人刻意要把我
[06:01] 形塑成為某種喊盤老師
[06:02] 那個就是腦袋不好就是這樣子
[06:04] 那其實我們的想法就只是
[06:05] 我在市場上我會去找各式各樣的故事跟題材
[06:07] 那我當然一定會去做其中的一些
[06:09] 那不一定會選到最好的
[06:11] 那當然有時候差的時候
[06:12] 也不一定會選到最差的
[06:13] 反正就是在其中持續的去做生活
[06:16] 然後把這樣的一些東西
[06:17] 分享出來給大家
[06:18] 非常感謝
[06:18] 那在下個禮拜
[06:20] 會暫時回臺灣一下
[06:21] 然後接著又要再帶小朋友
[06:23] 往東南亞飛
[06:24] 反正就是我在放假期間
[06:26] 都不想要待在臺灣
[06:27] 我覺得會出事情
[06:28] 只是
[06:28] 怎麼說
[06:30] 在這個飛機的舟車勞頓之下
[06:32] 還是會心中產生一些壓力
[06:34] 覺得好煩要搭飛機
[06:36] 飛機飛時很長
[06:38] 但其實我最近在學習的
[06:39] 就是像前幾集QA的那一位聽眾
[06:41] 他母親所提到的
[06:43] 你要試著去感受你的每一天
[06:45] 你要試著去珍惜每一段日子
[06:48] 像最近我兒子在叫我打Astro Bar的時候
[06:50] 不會像早期的節目會跟大家分享說
[06:52] 我是喜歡跟他打
[06:53] 可是有時候他就覺得很煩躁
[06:54] 因為你整天叫我玩一樣的關卡一直重複
[06:56] 他現在叫我打
[06:57] 我都一直陪他打
[06:58] 你知道為什麼嗎
[06:59] 因為我已經有感的感覺到
[07:00] 他快要長大了
[07:01] 就是說以前會哭會鬧
[07:04] 或者有些關卡他會怕
[07:05] 爸爸保護我或什麼的
[07:06] 可是現在有些關卡
[07:07] 你就看到說他雖然怕
[07:08] 可是他就用一些方法去
[07:10] 讓自己的恐懼被壓制
[07:12] 他就突然拋起來
[07:13] 然後在可能客廳跑個兩圈之後
[07:15] 然後回來坐下繼續打
[07:17] 然後他就真的把他破關了
[07:18] 所以你看到他這樣子之後
[07:20] 我覺得有點像是說
[07:21] 不知道有時候我們假設去放一個長假
[07:24] 或者說你談一段感情
[07:25] 或者說你剛到某一個學校
[07:27] 一開始你都會覺得說
[07:28] 好像日子過得很慢
[07:29] 那都不知道在幹嘛
[07:30] 那甚至會覺得說
[07:31] 我想趕快離開這個地方
[07:33] 換到新的地方
[07:33] 或是有沒有什麼something new之類的
[07:36] 然後這等到你已經看得到終點之後
[07:38] 很多時候你會發現說
[07:39] 就是當你看得到終點之後
[07:40] 你就會開始珍惜當下的每一刻
[07:42] 當你已經知道說
[07:43] 剩下幾天就要退伍
[07:45] 或者就要畢業
[07:46] 你雖然很興奮
[07:46] 可是你就會開始認真
[07:48] 看你身邊的東西
[07:49] 然後你知道沒有幾天
[07:50] 你的最愛的人
[07:51] 可能就要離開了
[07:52] 他要出國
[07:53] 或是說搞不好他要掛了
[07:54] 之類的
[07:55] 你就會把每一天都當成是
[07:57] 一輩子來過之類的
[07:59] 然後當你看到你的孩子
[08:00] 已經會
[08:01] 他的收鏈協調越來越好
[08:02] 他可以自己破關
[08:03] 然後自己玩得很順之後
[08:05] 他現在每次來拜託你的時候
[08:07] 你就會好好珍惜
[08:08] 然後像今天早上
[08:09] 反正我現在每天早上
[08:10] 都會解手遊任務
[08:11] 其實要趕快先解一下手遊任務
[08:13] 然後解一解就聽到我兒子起床
[08:14] 然後轉頭看一下他
[08:16] 然後他就站著對我笑
[08:17] 然後突然衝過來就給我一個抱抱
[08:19] 我就想說
[08:20] 這樣的日子真的是不多了
[08:21] 就是有朝一日
[08:22] 當然我也希望就是像一些
[08:23] 那種歐美TikTok有時候會滑到
[08:26] 他們的小朋友可能很棒
[08:27] 25 27歲還是會跳到他爸爸身上
[08:29] 給他抱著
[08:30] 不管是男生女生都是
[08:31] 那個男生都已經長大鬍子了
[08:32] 還是跳到他爸身上給他抱著
[08:34] 我也希望這樣子
[08:35] 可是如果他心中有一點點不知道
[08:37] 不是心中
[08:38] 就是身體裡面有一點點
[08:39] 亞洲的血液的話
[08:40] 搞不好後面會覺得說
[08:41] 也有為什麼要這樣抱我爸之類的
[08:43] 那就會變得蠻感傷的
[08:44] 所以現在能夠抱到
[08:45] 就多抱一點
[08:46] 所以其實我覺得就是
[08:49] 想要讓自己的孩子
[08:50] 過更好的生活
[08:51] 所謂的更好的生活
[08:52] 不是說我去幫他選擇
[08:53] 說你要爽
[08:54] 或是說你要念書什麼
[08:56] 就是你可以選
[08:57] 我要告訴他是你可以選
[08:58] 那我們對他的管制是什麼
[09:00] 就是像禮貌方面一定非常要求
[09:02] 你如果做危險的事情也會要求
[09:04] 你去干擾到別人
[09:05] 這我們也會要求
[09:06] 可是其他你的興趣你要幹嘛
[09:08] 或像他是用左手寫字
[09:09] 又能跟我講說
[09:10] 那個可能要把他轉回去
[09:11] 右手
[09:11] 沒關係
[09:11] 你就左手寫字
[09:12] 沒差
[09:13] 然後他踢足球
[09:14] 是用右腳踢
[09:15] 然後他有自己的想法
[09:16] 或什麼的
[09:16] 我覺得很好
[09:17] 就是我就希望他可以
[09:19] 掌聲他
[09:20] 怎麼講
[09:21] 就他設計的樣子
[09:22] 那當然在路途之中
[09:23] 他已經遇到一些事情
[09:25] 女朋友
[09:26] 或者說一些朋友
[09:27] 會給他一些建議
[09:27] 他搞不好會換方向之類的
[09:29] 但我就希望說
[09:30] 他在選擇的時候
[09:31] 不會有人告訴他
[09:32] 說什麼
[09:32] 你一定要怎麼樣
[09:33] 那這個就是
[09:33] 比較不好的事情
[09:34] 所以其實我們
[09:35] 身為家長
[09:36] 想要去稍微幫他
[09:37] 是這一件事情
[09:38] 非常感謝各位聽眾的
[09:40] 一個協助
[09:41] 小弟都非常感恩
[09:43] 祝大家平安健康
[09:45] 今天早上看到
[09:46] 臺股驚心動魄的一幕
[09:48] 只是我起床的時候
[09:49] 已經是快要接近尾盤了
[09:51] 然後看了一下盤中
[09:52] 一堆東西
[09:53] 殺到超級狗乾地的地方
[09:55] 那就趕快找幾個東西點一點
[09:57] 就是趕快補一些部位
[09:59] 因為你知道說
[10:00] 恐慌已經有出來了
[10:01] 只是我覺得
[10:02] 我下的這一波操作
[10:03] 或是抄底
[10:04] 比較偏向是說
[10:05] 就是去買一個反彈
[10:07] 他只是先去買一個反彈
[10:08] 那還是要回歸到
[10:09] 我們上集所提到的
[10:10] 就是你要觀察這些東西
[10:12] 可不可以持續的創新高
[10:13] 那如果說先指數是在一個相對高檔的位置
[10:16] 那特別是國際盤
[10:18] 或者說現在各種資產的表現
[10:19] 都不是特別好的話
[10:20] 那如果把不會打得太滿
[10:22] 或者說呢去貪一些
[10:24] 就是那些已經跌到很深的東西
[10:26] 很多時候你就是玩大便
[10:27] 然後就會搞到全身都很髒
[10:28] 所以這個還是要稍微的注意一下
[10:30] 那因為我就是下週就要回去了嘛
[10:32] 所以我現在要趕稍微的去做一些抄底
[10:35] 那等到禮拜一禮拜二再來看
[10:36] 有什麼樣的狀態
[10:37] 預計是可能會走一個帶狀的方式
[10:39] 就是不是說什麼一單打下去
[10:40] 然後就定生死
[10:42] 就是如果會再繼續往下的話
[10:44] 也有餘裕再持續的去加
[10:46] 反正之後就是回到跟臺灣的時差一樣
[10:48] 就可以跟盤面跟得比較近一點
[10:50] 但我覺得這個是老天給的一個機會
[10:52] 就是自己蠻喜歡的一些東西都有掉下來
[10:55] 不管是美國的一些科技巨頭
[10:57] 一些supply chain
[10:58] 或者說臺系的一些公司
[11:00] 或是像我自己有買比較多的
[11:02] 像什麼散熱
[11:03] 低軌道衛星
[11:05] 最近都有出現一些回擋
[11:06] 那這個回檔對我來講就是一些機會
[11:08] 所以有時候我覺得很好笑
[11:09] 就是你會觀察到
[11:10] 蠻多人在看股票是這樣
[11:11] 他們就是看漲就說漲
[11:13] 然後看跌就說跌
[11:14] 看漲的時候就死命追
[11:16] 然後往下跌就問
[11:16] 為什麼會發生這樣的事情
[11:18] 到底怎麼了
[11:19] 沒有其實公司都沒有怎麼了
[11:20] 有問題是你的成本
[11:21] 有問題是你的成本
[11:23] 所以你會發現很多人
[11:24] 他這股票真的要下來給他買的時候
[11:26] 他不敢買
[11:26] 那股票上去的時候
[11:27] 他死命追
[11:28] 那到底要怎麼賺錢
[11:29] 就只能夠賺那種線性行情
[11:31] 行情超好大多頭的時候的那種錢
[11:33] 所以如果今天盤面是稍微的牛一點
[11:35] 或者說進入橫盤
[11:36] 那或者說進入
[11:38] 可能2018以前的股市
[11:40] 那或者說可能大概在
[11:42] 18到19那一段也是
[11:44] 就是稍微的在橫的時候
[11:45] 那其實這樣子的
[11:47] 非常動能去追強的做法
[11:48] 就是受到蠻大的傷害
[11:50] 所以現在有點像說
[11:51] 把工具箱的其他招數拿出來用
[11:53] 反正特別是
[11:54] 當然我們以今年的year to date來講
[11:57] 像美股就直接掉到水下
[11:58] 因為美股行情真的不好
[12:00] 那臺股的話還算是蠻不錯
[12:02] 但如果說我們把去年的表現
[12:03] 也拉進來看的話
[12:04] 其實基本上都還是獲利的一個狀態
[12:06] 只是看你什麼時候要再去做加碼
[12:08] 當然不希望說什麼你加碼太多的部位
[12:10] 然後變成頭重腳輕
[12:12] 後來再一個回擋就受到巨大的傷害
[12:14] 所以還是要慢慢的攜戰攜走
[12:16] 就是我們不會太容易的去call說
[12:18] 某個族群就什麼無敵啦
[12:20] 衝啊什麼
[12:21] 其實也是會隨時去保持一些彈性
[12:23] 像前面自己去做的裝置跟產物因為就是不符合自己的預期所以就選擇去把它解碼那即便我們知道說它在基本面的狀態還是很不錯只是就是還是會去按照一些自己喜歡的指標
[12:35] 不管是技術面
[12:36] 或是一些籌碼相關的指標
[12:38] 拿去把它融入綜合做判斷
[12:40] 那一樣這是我們自己的一些意見
[12:41] 那如果說你覺得你有更好的想法
[12:44] 那當然就歡迎往更好的想法去
[12:46] 就是我覺得說
[12:46] 盡信書不如無書
[12:48] 你盡信節目不如沒有節目
[12:49] 你還是要有自己的一些思考跟判斷
[12:51] 那我們稍微看一下一下盤面的情形
[12:54] 首先我覺得在美國科技巨頭這邊
[12:56] 算是捎來了超級大的好訊息
[12:59] 只是這個好訊息
[13:00] 因為現在盤面很差
[13:01] 所以大家就把它往壞訊息的方向去解釋
[13:03] 這個很像說Meta過去的一年的某一季
[13:06] 我記得反正就一樣
[13:07] 他把那個數字上銷
[13:08] 然後大家覺得說
[13:09] 你這樣會吃到你的現金流
[13:11] 然後就重殺他
[13:12] 一樣的道理髮生在Google
[13:13] 那也發生在Amazon
[13:14] 就因為他們去上銷的CAPEX
[13:16] 最近市場的表現就是沒有給他好臉色
[13:19] 所以大家就可能會開始去思考說
[13:21] 這些Hyperscalers
[13:22] 或者說這些CSP是不是做錯事情
[13:24] 那我只能夠說
[13:25] 他們從2023年開始
[13:27] 就一直被說做錯事情
[13:28] 一開始是講說
[13:29] 可能看不到投資報酬率
[13:30] 然後再講說這些AI巨頭
[13:32] 會不會FOMO了
[13:33] AI明明就找不到應用
[13:34] 然後現在是講說
[13:35] 會不會不小心把錢花光
[13:37] 所以就會發現說
[13:38] 大家都很聰明
[13:39] 巨頭都是笨蛋
[13:40] 這個Satya是他媽白痴
[13:42] Google現在的老闆
[13:44] 都自己回來操盤了
[13:44] 他是白痴
[13:45] 馬斯克是白痴
[13:47] 大家最聰明
[13:47] 這些分析師每個人都最聰明
[13:49] 這些報導者
[13:50] 每個都是腦袋最清楚
[13:52] 都知道說這些Hyperscaler在亂花錢
[13:54] 人家是真金白銀的拿錢下來
[13:56] 你是在旁邊打嘴炮
[13:57] 所以我會覺得說
[13:58] 儘量不要去抓一些那種短期的走勢
[14:01] 然後就亂改說法
[14:02] 這個就很笨
[14:03] 就是說那種看漲說漲
[14:04] 看跌說跌是很笨的一件事情
[14:06] 我們現在看到整體在CAPEX的數字
[14:09] 簡單跟大家分享一下
[14:11] 在Amazon這邊是開出了200B
[14:13] 就是說2000億美元
[14:15] 只是說亞馬遜的數字要稍微注意一下
[14:18] 它並不是完全是for
[14:19] 就是在AI Server的一些應用
[14:22] 它這裡面也包含了
[14:23] 像是它的工廠和物流
[14:24] 機器人
[14:25] 然後或者是
[14:26] 他們現在要推Amazon Leo
[14:27] 就是亞馬遜的低軌道衛星
[14:29] 你不知道這個
[14:30] 2000億美元
[14:31] 可能佔比是怎麼樣
[14:32] 這要等到後面的幾個Q
[14:34] 或者說之後
[14:34] 假設有一些報道
[14:35] 公司有些說法
[14:36] 我們再慢慢去猜
[14:37] 但亞馬遜開出一個
[14:38] 超級恨天高的
[14:40] 這個KPAC數字
[14:41] 那盤後都跌死吧
[14:42] 所以我覺得蠻屌的
[14:43] 就現在可能大家會講說
[14:44] 你就是把你的現金流吃光
[14:46] 你就要去死
[14:46] 可是搞不好
[14:47] 一段時間之後
[14:48] 大家又換說法
[14:49] 就是你去把亞馬遜的線圖拉開來看
[14:51] 長年的走勢
[14:52] 每次下去的時候大家都會看壞
[14:53] 就跟Google可能開始要下去了
[14:55] 大家都看壞
[14:56] 是一樣的道理
[14:57] 反正大家都只喜歡買最貴的股票
[14:59] 沒有人要買便宜的股票
[15:00] 越貴越買
[15:01] 這個就是人性
[15:02] 在Google這邊是開了一個
[15:04] 我們都直接講上源數字
[15:05] Google是185B
[15:07] Meta是135B
[15:08] 上個禮拜開的
[15:09] Microsoft的話是還沒有看到這個數字
[15:12] 可是因為上個Q是有給說37.5
[15:14] 所以我們先把它乘以4
[15:15] 就大概是150
[15:16] 所以我們先把200加185加135
[15:18] 再加150又等於是670
[15:20] 等於說是接近快要
[15:21] 7000億美元的一個CAPEX
[15:24] 這個是遠大於市場的一個預期
[15:26] 非常恐怖的一個數字
[15:27] 所以這些科技巨頭
[15:29] 一定是聞到什麼味道
[15:30] 或者是甚至用我的角度來講
[15:32] 我們先不管說
[15:34] 他們是不是真的在AI
[15:35] 找到什麼機會
[15:36] 我反而怕的是他們不花錢
[15:37] 就像是我們過去幾年節目
[15:39] 我跟大家聊到
[15:39] 如果有一天你發現
[15:40] 誰突然間退了
[15:42] 他不花錢了
[15:43] 可能他就要被殺到爆炸了
[15:45] 那結果沒有人退
[15:46] 大家都還是使命的往前衝
[15:47] 那像Amazon的話
[15:49] 是有可能會不小心
[15:50] 把自己的那個Free Cash Flow
[15:51] 玩到是富的
[15:52] 有可能的
[15:53] 那在Google這邊的話
[15:55] 是還OK
[15:55] 應該是可以在持平以上
[15:57] 但我覺得這個都不是特別重要的事情
[15:59] 就你做生意
[16:00] 你就是要投資你才會賺錢
[16:01] 但現在很好笑
[16:02] 就是說大家反而覺得說
[16:03] 這個投資是不好的事情
[16:05] 那沒關係
[16:05] 如果說大家真的覺得
[16:06] 這些大公司花錢是不好的事情的話
[16:08] 那你可以來看臺股的supply chain
[16:10] 或者說你可以看美股的supply chain
[16:12] 但無論如何
[16:13] 我還是會覺得說
[16:14] 這些美股的巨頭
[16:15] 各種拉回的時候
[16:16] 我自己會想要去找
[16:18] 介入的機會
[16:18] 雖然以現在的狀況來講
[16:20] 因為我們的成本
[16:21] 都是在相對低的地方
[16:22] 所以會覺得
[16:23] 現在可能很多人覺得說
[16:24] 跌很重
[16:25] 可是在我們看來說
[16:26] 根本就還沒有跌到多少
[16:27] 只是如果說有出一些
[16:29] 那種可能在盤中
[16:30] 3到5%的大跌幅的話
[16:31] 我們講說
[16:31] 講這大盤有跌這麼多
[16:33] 然後個股被帶下去的話
[16:34] 那就會考慮慢慢買
[16:36] 就會去
[16:36] 怎麼講
[16:37] 讓自己的手感持續的維持
[16:39] 會去點一些東西
[16:40] 因為我覺得說
[16:40] 他們敢這樣子去做投資
[16:42] 基本上就已經是Open for Business
[16:44] 這個後面一定是會帶來
[16:46] 蠻不錯的一些表現
[16:47] 特別是我們自己在AI應用端
[16:49] 其實是持續的看到一些有趣的發展
[16:52] 所以會覺得這些巨頭他們敢砸錢
[16:54] 就是證明了
[16:55] 他們也是看到一樣的趨勢
[16:57] 所以現在花很多錢
[16:58] 後面可能就賺很多錢
[16:59] 就像是以前可能對Cloud
[17:00] 或者對其他東西的投資
[17:01] 你反而是不敢投資會有問題
[17:03] 在我的角度是這樣
[17:04] 如果我們今天要看Supply Chain的話
[17:06] 當然我們先從最貴的亞馬遜開始看
[17:08] 亞馬遜還是要稍微的提醒一下
[17:11] 這個200B它並不是全部都是在講AI
[17:14] 如果是在講AI的話
[17:15] 它也不是全部都是for NVIDIA或AMD的server
[17:18] 因為它自己本身是有它的Tranium
[17:21] Tranium的佔比也不會到低
[17:24] 也可能會持續的往上拉
[17:26] 雖然在市場上有一些風風雨雨的產生
[17:28] 我記得老師跟大家講
[17:29] 在2025年我去做AWS Chain
[17:32] 幾乎好像都是被人家幹
[17:33] 在2023、2024的時候是還蠻不錯
[17:35] 可是2025的時候感覺都是被修理
[17:37] 不管是做它的板子
[17:38] 做它的CCL
[17:39] 組裝廠
[17:40] 網通
[17:40] 或者是做他的IC Design Partner
[17:42] 在後端幫他投片的
[17:44] 我都覺得說
[17:44] 真的是每次做
[17:45] 好像都是被狗咬到一樣
[17:47] 只是還是不會放棄
[17:49] 對我們來講
[17:49] 因為我們看得到這一些數字
[17:51] 跟看得到這些發展
[17:52] 只是很好奇
[17:53] 為什麼市場會這麼夭壽
[17:55] 所以如果說
[17:56] 這一次的CAPEX
[17:57] 在本波的大盤修正完之後
[18:00] 真的對這些市場上的一些標的
[18:03] 造成影響的話
[18:04] 這個類似說那時候
[18:04] 在2024年的三四月
[18:06] 大家還記不記得
[18:07] 那時候的OEN ODM
[18:08] 其實已經漲不動了
[18:09] 就是因為說上面的預期
[18:11] 我覺得說已經蠻一致了
[18:12] 然後有很多人在車上
[18:13] 那後來疊完之後就漲得動了
[18:15] 然後以及一些這個組裝
[18:17] 或者說零元件廠
[18:18] 散熱廠後面都可以動起來
[18:20] 那我覺得搞不好就是需要一個修正
[18:22] 其實搞不好就是需要一個修正
[18:23] 然後疊完之後就發現說
[18:24] AWS Chain其實不錯
[18:25] 那只是因為上面很擁擠
[18:27] 所以之前漲不上去之類的
[18:28] 所以我還是會想看
[18:29] 只是我可能會用這個
[18:30] 線圖也作為一個蠻重要的參考依據
[18:33] 那再來就是Google Supply Chain
[18:35] CLS也算是攀著了蠻久
[18:37] 那CLS算是我心中的一個痛
[18:39] 因為大概六十幾塊的時候
[18:40] 把它賣掉
[18:40] 後來碰到兩百多塊
[18:41] 真的沒有想過這一天
[18:42] 真的沒有想過
[18:43] 那時候已經覺得說
[18:43] 賺蠻多的
[18:45] 然後沒有想到它可以碰成這樣
[18:46] 那它還是維持一個相對平盤的狀態
[18:49] 那以Google的supply chain來講
[18:51] 除了CLS之外
[18:52] 就是Flex
[18:53] 那當然臺系的像什麼鴻愛集團
[18:55] 他們也是有摸到一點它的東西
[18:57] 那以及它現在在光通方面
[18:59] 我覺得是Google最多人在看的東西
[19:01] 因為Google的OCS
[19:02] 它是使用像是這個Luminton的
[19:05] MIMS的解方
[19:06] 類這樣的一個解方
[19:07] 那不是用coherent的
[19:09] L-cost的一個解方
[19:10] 所以這邊可能就是會
[19:12] 以這個Lumentum
[19:12] 作為一個
[19:13] 可能就是比較偏向
[19:14] 是Google陣營的一個
[19:15] 相關的概念股
[19:17] 那最近的走勢
[19:18] 也是蠻不錯的
