[00:00] 欢迎收听谷外,我是孙梦宫,本集节目由NordVPN赞助
[05:04] 那当然我们自己的游戏呢
[05:06] 有些如果说上市之后呢
[05:07] 会这样的在节目里做一些互动
[05:09] 不然说可能会抽一些CD key送大家
[05:12] 也希望大家可以持续的支持台湾的优秀游戏
[05:15] 那昨天在Telegram有一位心急的地方爸爸
[05:18] 在里面问大家说
[05:20] 就是因为他的还没出生的孩子呢
[05:22] 可能有一些身体上的状况
[05:24] 那看起来是还蛮严重的
[05:26] 那想要问说有没有可能哪里的医师可以去帮忙了
[05:29] 那其实看到这种东西就立刻让我想起
[05:32] 大概一年多前的一个回忆
[05:34] 就是那时候我的二儿子安哥
[05:35] 他在出生前的时候
[05:37] 算是遇到了蛮多恐怖的事情
[05:40] 快速的recap一下
[05:41] 简单来讲就是说
[05:42] 第一次开始发现有问题
[05:43] 就是在高层次的时候
[05:45] 帮我们照超音波的
[05:47] 我也不知道他是医师
[05:48] 还是说就是专门去看的
[05:50] 那个叫什么检验室之类的
[05:51] 反正总之就是
[05:52] 我们知道以前去照超音波
[05:54] 或是高层次
[05:55] 就是fun and games
[05:56] 大家都很高兴
[05:57] 这是首收
[05:58] 这是他的小鸡鸡或什么的
[05:59] 可是就那一天的高层次
[06:01] 超级安静
[06:02] 他完全不讲话
[06:03] 所以其实大概过了十分钟左右
[06:05] 我跟我老婆就已经知道不太对劲
[06:07] 然后看我她就是一脸快哭了
[06:08] 那我也是非常紧张
[06:09] 因为为什么你他妈都不讲话
[06:11] 然后问她她也说
[06:12] 等一下再跟你讲
[06:12] 所以其实当下是超级火大的
[06:15] 我当然不知道去怪这个
[06:16] 检验人员或什么
[06:17] 我就只是觉得说
[06:18] 干你为什么不讲
[06:19] 但其实像这样子的感受
[06:21] 在后来的一整年
[06:22] 都是持续的发生
[06:23] 反正总之就是
[06:23] 因为我的孩子那时候
[06:25] 就被照出来了
[06:26] 就一颗肾
[06:26] 然后肚子里面有一个囊肿之类的
[06:28] 那所以呢
[06:29] 后来所有的医师团队
[06:31] 包含说我们快转整去台大而已
[06:33] 大家都是那种
[06:34] 如临大敌的心态去面对
[06:35] 当然这个对家长是好事
[06:37] 可是一方面就是
[06:38] 家长真的要扛住那样子的压力
[06:40] 因为他们会用很高标准去做检验
[06:42] 所以像那时候安哥
[06:43] 从以前到现在
[06:44] 总共被讲的东西就是说
[06:45] 首先少一颗肾
[06:47] 那是很明显的看得出来的
[06:48] 然后再就是说腹腔的囊肿
[06:50] 脑部的囊肿
[06:51] 髋关节没有发育好
[06:52] 膀胱那边又有新的泡泡的产生
[06:54] 肠道那里好像有一些异常
[06:56] 然后所有东西
[06:57] 就是一直不停的跟你提
[06:58] 然后每次跟你提
[07:01] 当下就是像我讲的
[07:02] 你问他他也不跟你讲
[07:03] 那接着你要看报告
[07:04] 可能要等一个礼拜
[07:05] 所以每次
[07:06] 就是只要有新的东西出来
[07:08] 那一两个礼拜
[07:08] 你们家里就不用睡好了
[07:09] 你们就整天都会
[07:10] 在想这件事情
[07:11] 那当然就是感谢老天
[07:12] 感谢管营
[07:13] 跟感谢
[07:14] 就是所有的不可知的力量
[07:16] 还有当然感谢我们的医师们
[07:17] 那最后面的安哥
[07:18] 是一个健康快乐的baby
[07:20] 他现在才一岁左右
[07:22] 然后就已经超级会走路
[07:23] 他还没一岁
[07:24] 他就已经会走路了
[07:25] 然后跑来跑去
[07:25] 然后也长得非常的壮
[07:26] 白白壮壮的
[07:27] 看起来是非常健康的孩子
[07:29] 可是当下其实对我们来讲
[07:31] 真的像是那种青天霹雳的感觉
[07:33] 特别是一开始在诊所的医师
[07:35] 直接告诉你说
[07:35] 这个已经超出他的能力范围
[07:37] 他没有办法去做处理
[07:38] 所以那时候就介绍我们去台大而医
[07:40] 然后去找施警中医师
[07:41] 其实我自己平常是不会去推荐
[07:43] 任何人去找医师或什么的
[07:44] 因为我知道说医疗这种东西
[07:46] 严格上来说
[07:47] 你找到好的医师
[07:48] 可能就是你的骰子的一面比较大而已
[07:50] 可是他就是有一定的机率存在
[07:51] 那我不想去扛任何的卡马
[07:53] 或什么有的没有的东西
[07:54] 但是看到这位心急的地方爸爸
[07:56] 我一直有跟他讲说
[07:57] 或许你可以去台大医师看看
[07:58] 你可以去找一下施警中医师
[08:00] 其实当下找到施警中医师
[08:02] 我们是非常的感恩
[08:03] 首先也非常感恩我们
[08:04] 在诊所的这位医师
[08:06] 然后他帮我们推荐过去
[08:08] 因为他说他是他认识
[08:09] 可能在台湾最会处理棘手案子的人
[08:12] 所以还要把我们立刻的转诊过去
[08:14] 施医师他在第一次看我太太的时候
[08:17] 就直接讲说
[08:18] 这个没事情了
[08:20] 这个我会处理
[08:21] 他讲话就这样
[08:22] 就很chill
[08:23] 就chill guy
[08:23] 那时候跟他分享
[08:24] 他就是一个chill guy
[08:25] 他很像那时候的一个
[08:26] 那叫什么
[08:27] 卡皮巴拉的迷因
[08:29] 就是一个Chel Guy
[08:30] 就长得完全的一模一样
[08:31] 然后声音也是非常的放松
[08:33] 他就告诉你说
[08:34] 没有事情他会做处理
[08:35] 那即便可能后面
[08:36] 还是有看到一些
[08:37] 有的没有的东西
[08:38] 但每次都有一种
[08:39] 那种化险为夷的感觉
[08:40] 所以找到一个非常好的医师
[08:42] 是我们家的一个大幸
[08:44] 那后来我还自己去爬文
[08:46] 了解一下说
[08:46] 施医师喜欢什么
[08:47] 那等到可能看完诊之后
[08:49] 我一定要好好的感谢他
[08:50] 那就看到说
[08:52] 他好像还蛮喜欢小卓的
[08:53] 所以本来要送他酒
[08:54] 结果他也不收
[08:55] 他完全不熟
[08:55] 就是你要给他什么
[08:57] 他都不要
[08:57] 那他就说什么
[08:58] 在台大当医师
[08:59] 就类似是公务员
[09:00] 反正他有自己
[09:01] 很严格的一个道德界限
[09:04] 那后来我也不知道该怎么办
[09:05] 我就捐钱给台大而已
[09:07] 至今我都还是有在定期扣款
[09:09] 捐钱给台大而已
[09:10] 因为就是要去表示
[09:11] 自己心中的那一种感恩
[09:12] 那希望每个人的孩子
[09:15] 都可以不要遇到
[09:16] 像我们曾经遇到的事情
[09:17] 或者说就算你遇到
[09:18] 然后最后面可以像我们一样
[09:19] 去化险为夷
[09:21] 所以这算是我很少数
[09:22] 就是有跟大家推说
[09:23] 或许你可以去找看看
[09:24] 哪一个医院
[09:25] 或是哪一个医师
[09:26] 因为他当时真的是
[09:27] 让我如释重负
[09:28] 因为从本来是那一种
[09:30] 就是怎么讲
[09:30] 就你遇到的
[09:31] 本来的医师跟检验的
[09:32] 都告诉你说
[09:33] 这个没有办法
[09:33] 这个没看过
[09:34] 那个检验的甚至跟我讲说
[09:35] 这个我看了二十几年
[09:37] 三十几年
[09:37] 没有看过这种东西
[09:38] 你当下听到
[09:39] 你真的会吓死
[09:40] 然后又叫你说
[09:41] 怎么去做一些基因检测
[09:42] 这应该是一些
[09:43] 罕见疾病或什么的
[09:44] 那我在节目
[09:45] 跟大家分享我的心路历程
[09:46] 又一堆听众会私讯我说
[09:47] 像后来他跟我讲说
[09:49] 其实已经没有什么状况的时候
[09:50] 然后我在节目讲这个
[09:52] 又有听众讲说
[09:52] 我的孩子就是当时被说
[09:54] 没有什么状况
[09:55] 然后他症状跟你很像
[09:56] 然后最后面他在家屋病房
[09:57] 待了一年之后就过世了
[09:59] 怎么讲
[09:59] 就是因为你曝光在
[10:01] 太多的资讯里面
[10:02] 所以某个程度上
[10:03] 对你来说也是一个很大的煎熬
[10:05] 就是可能一般人受到的煎熬
[10:06] 是不知道10分吧
[10:07] 那我大概是50分
[10:08] 因为我接触到的资讯太多了
[10:10] 可能也是因为
[10:10] 我跟大家分享的这些东西
[10:12] 所以就是像回忆一样
[10:14] 很多东西会传回来
[10:15] 所以我也不知道
[10:15] 自己当时是怎么度过的
[10:17] 但真的是印象中
[10:18] 安哥在一岁以前
[10:19] 就是我们整天都是在医院的路上
[10:21] 然后每次看到台大医院就超级犹豫
[10:23] 然后再来就是又很常
[10:25] 因为一些问题要跑回去
[10:26] 可能住院或什么的
[10:28] 甚至是在罗马的时候
[10:30] 也差点就搞到要住院
[10:31] 所以后来久而久之
[10:32] 真的会对于健康这种事情
[10:34] 看得非常的重
[10:35] 包含说像我自己家
[10:36] 去正视自己的
[10:38] 可能身体的一些状态
[10:39] 会想要减重去照顾胆固醇
[10:41] 其实都是一样的道理
[10:42] 因为发现说健康真的太重要了
[10:44] 然后每一次自己的孩子
[10:45] 又获得拯救的时候
[10:47] 像那时候在
[10:47] Bambino Gessu
[10:48] 有跟大家说
[10:49] 这个罗马的免费医院
[10:51] 他帮我孩子看是免费
[10:53] 然后跟我讲说没有事情
[10:54] 我就一样
[10:55] 就捐几十万给他
[10:56] 反正我的心态就是
[10:57] 这个都是我捡来的
[10:59] 我们受制于社会
[11:00] 我们也会回馈于社会
[11:02] 总之反正就是希望
[11:04] 听众的孩子没事
[11:06] 因为那时候其实
[11:07] 我们的孩子去找
[11:09] 台大而异的施警中的时候
[11:10] 然后也是有蛮多
[11:12] 地方听众在那边有遇到
[11:14] 我也觉得蛮好笑
[11:15] 就大家都会苦中作乐
[11:16] 因为大家来找事情中的
[11:17] 可能都是知道说
[11:18] 这个孩子是有一点状态
[11:19] 可是在那边就还是会拍照啊
[11:22] 或什么的
[11:23] 那希望大家孩子坏了
[11:24] 都是没有事情的
[11:25] 那如果说你的孩子
[11:26] 也是有可能有一些状态的
[11:27] 他真的是一个不错的医师
[11:28] 大家可以去试看看
[11:29] 好 这边稍微跟大家分享一下
[11:30] 好 那接下来我们来进入节目的话题
[11:32] 那相信在礼拜五
[11:34] 大家的感觉就是
[11:35] 就是这次是真的
[11:36] 感觉是叠得蛮大的啦
[11:38] 但我觉得跟过往几次
[11:40] 自己的做法不太一样的点是
[11:42] 就是以前一般我们看到
[11:44] 这样子的一个状态
[11:45] 就一定会去做减码
[11:46] 就这个地方
[11:47] 就是你降杠杆
[11:48] 跟减码的地方
[11:49] 那我以前都会这样做
[11:50] 但为什么这次
[11:51] 没有这样做呢
[11:51] 我觉得是因为
[11:52] 今年的行情
[11:53] 真的太疯狂了
[11:54] 所以我甚至是在礼拜
[11:55] 我看到一些叠田的东西
[11:56] 我还很高兴的
[11:57] 跑进去买
[11:58] 因为对我来讲就是
[11:59] 就算你叠田
[12:00] 你再叠三根
[12:01] 你都叠不回我的成本
[12:02] 那你前面都一直涨
[12:04] 我反而没有加码的机会
[12:05] 或者说
[12:06] 因为我动能已经追了
[12:07] 我追满了
[12:07] 那我想要去买一些
[12:09] 可能对我来讲
[12:10] 是比較偏向長頭的部位
[12:11] 動能的部位有時候心態又切開來了
[12:13] 所以反而是在禮拜五
[12:16] 你看到一些東西疊填的時候
[12:17] 然後進去收
[12:17] 即便可能到收盤的時候
[12:19] 它都是鎖著疊填的
[12:20] 心中還是覺得很踏實
[12:21] 因為反正已經很明確的
[12:23] 識別到一些租群的機會了對我們來講就是等待它發酵而已其實成本也拉得夠遠所以我自己觀察就是我身邊可能水位或者說目前的量體跟我差不多的人
[12:35] 我沒有感覺到恐慌
[12:37] 真的都沒有感覺到恐慌
[12:38] 那當然我去看一下我的Telegram
[12:40] 我就注意到說裡面已經很多人恐慌
[12:42] 那沒有辦法
[12:42] 因為一些那種小菜肌就注定一定會受傷
[12:44] 你剛來就一定要先學會一些受傷
[12:46] 那可是對一些就是在裡面玩久的人來說
[12:50] 我覺得到禮拜五都還沒有見到任何人有恐慌的感覺
[12:53] 因为真的是喷太远了
[12:56] 甚至在礼拜五的开盘的时候
[12:57] 还一堆人是绩效性高的位置
[12:59] 所以真的就是
[13:00] what the fuck cares
[13:01] 反正就继续放下去
[13:02] 总之稍微跟大家讲一下
[13:05] 一般来讲
[13:06] 看到这样子的一个叠法
[13:07] 一定会去做降杠杆
[13:09] 只是这次有点不太一样
[13:11] 因为已经是
[13:12] 讲的那点就赚太多了
[13:14] 所以根本就没差
[13:15] 就是放着给它叠
[13:15] 观察一下看后面怎么样
[13:17] 所以这个有点像是说
[13:19] 就之前会讨论到
[13:20] 有些部位假设说
[13:21] 你分的比较散
[13:22] 你会注意到
[13:22] 你比较容易吃完整个坡段的原因
[13:24] 是因为
[13:25] 第一个它占比不高
[13:26] 所以它跌的时候
[13:27] 你可能也懒得去插小它
[13:29] 反而你可以扛过几个回挡
[13:31] 然后最后面吃到全部的坡段
[13:32] 再来就是因为
[13:33] 它可能占的部位不多
[13:35] 可能拉出成本也太远了
[13:36] 所以你根本就懒得去管它
[13:37] 那下比较偏向是后者
[13:38] 就是你占的部位不一定是小的
[13:41] 但是因为它拉离成本太远了
[13:43] 所以相较之下
[13:44] 蛮多东西也都在膨胀
[13:45] 那就会变成说
[13:46] 好像这个部位
[13:47] 我现在也不会急着要去动它
[13:49] 就算你再给我两三根跌停
[13:50] 好像也没差
[13:50] 那就变成
[13:51] 其实蛮有机会
[13:52] 会吃到一个大的波段
[13:54] 以一些动能的部位来讲
[13:56] 也是这样
[13:56] 就以前说
[13:57] 那动能的部位
[13:57] 蛮多就是说
[13:58] 一波波段拉上去
[13:59] 不知道可能一两个月
[14:00] 然后一掉下来
[14:01] 大家就把它砍掉
[14:01] 自己也会这样子做
[14:03] 但这波真的在调整方面
[14:04] 我注意到我身边的朋友
[14:05] 绝大多数都还是
[14:06] 蛮老生在在的
[14:07] 那一样我们就可能
[14:08] 再继续的观察下去
[14:09] 那要我自己猜的话
[14:11] 我会觉得说
[14:12] 修正应该不会拖太久
[14:14] 应该不会拖太久
[14:15] 因为前面的协律
[14:17] 实在是太陡了
[14:17] 所以反正就跌一跌杀一杀
[14:19] 然后把一些不稳的筹码给吓跑
[14:21] 一定有些人要输点钱
[14:22] 因为在过去
[14:23] 其实你已经看到这个盘
[14:25] 它有一些
[14:25] 特别是你去观察一些那种散户指标最明显
[14:28] 就是开始有些标的
[14:29] 就像说看那个腰瓷金母
[14:31] 过去大家最爱的东西
[14:32] 然后我就看到一些讨论区
[14:34] 在讲说什么跌死了摔死
[14:35] 我一打开来看
[14:36] 一趴多两趴
[14:37] 一趴多两趴对你们来说叫跌死
[14:39] 那你们真的遇到那种空头的时候
[14:41] 你们一定死的
[14:41] 就这个根本不叫跌死
[14:43] 这就是一个正常能量释放而已
[14:44] 那当然他后面可能就觉得说
[14:46] 做一个头还会有下去的空间
[14:48] 只是你在一趴两趴
[14:49] 你就觉得这个叫大跌的人
[14:51] 然后也看到
[14:52] 就我自己的Telegram
[14:53] 也会有些人开始去做一些
[14:55] 很奇怪的留言什么
[14:56] 有一个标题
[14:56] 他前面是喷爆的
[14:57] 像联发哥前面喷爆
[14:58] 然后现在回答一下什么
[14:59] 联发哥大逃杀
[15:01] 我想说这哪里是大逃杀
[15:03] 你们是不是没有看过
[15:04] 真的大逃杀长什么样子
[15:05] 总之这个行情
[15:07] 我觉得灌出了一群
[15:08] 他们可能是后来才加入市场
[15:11] 或甚至是我觉得历练不够的人
[15:13] 所以就是一定有些人要受伤
[15:15] 简单来讲就是这个世界
[15:16] 你拉长看
[15:17] 不可能每个人都赚钱
[15:18] 所以当每个人都在赚钱的时候
[15:20] 像我们前面讲的天罚一定会发生
[15:22] 天罚发生的时候
[15:23] 其实就是淡然的去面对它
[15:25] 就是总是会学会
[15:26] 我们也不知道去歧视新人什么
[15:28] 因为我们曾经也都踩过
[15:29] 总之要学习的一个点就是说
[15:31] 这样不要太容易的
[15:32] 特别是你的看法方面
[15:34] 不要因为行情的变化
[15:35] 看法就转变
[15:36] 很多时候会把自己的脸打爆
[15:38] 当然脸打爆是小事
[15:40] 最怕就是说
[15:41] 你可能最后面什么都没有买到
[15:42] 什么都没有报到
[15:43] 什么钱都没有赚到
[15:44] 那就是很可惜了
[15:45] 整天进市场
[15:46] 就是在最乐观的时候
[15:47] 追追追追追
[15:47] 然后开始回档的时候
[15:48] 就看看看看看
[15:49] 那还有纪律纪律
[15:50] 有开口闭口都纪律
[15:51] 然后回头看纪律了半天
[15:53] 一个懒觉都没有赚到
[15:54] 那这个可能是要比较小心的
[15:57] 那我们先大概看一下
[15:58] 目前盘面的结构
[15:59] 那首先在泰国这边可以注意到
[16:01] 老AI一大堆都摔得很重
[16:03] 那这些老AI呢
[16:05] 当然他摔很重
[16:05] 蛮多在市场里面
[16:07] 去做fundamental分析的
[16:08] 他们最常提出来的一个说法
[16:10] 就是说有蛮多家
[16:12] 但我们就不去点名
[16:13] 但劳业爱凡
[16:14] 就那几个大家都非常熟悉
[16:15] 他们的毛利的表现
[16:17] 可能是有一点不如预期
[16:18] 只是这个在我自己的角度来看
[16:20] 我觉得它是一个短期的事情
[16:22] 因为现在其实有蛮多
[16:23] 都在做下一代的迭代
[16:25] 它是需要一些研发
[16:26] 需要一些开发
[16:27] 需要投入一些成本的
[16:28] 需要有一些学习曲线的事情
[16:30] 要去考虑的
[16:30] 所以我自己会觉得说
[16:31] 像这种毛利率的问题
[16:33] 那应该是不会变成是一个长趋势
[16:37] 就是它应该只是一个短线的状态
[16:39] 然后后面就会去做改善
[16:40] 就有点类似说
[16:41] 在上集有稍微提一下汗糖
[16:43] 因为大家都觉得说
[16:44] 那个毛利率就一直下去
[16:45] 就把surprise motherfucker跳起来
[16:46] 但它也不会涨
[16:47] 所以一样的道理
[16:48] 我觉得是这样
[16:48] 就是我们并不知道讲说
[16:50] 这个毛利率是一个短期的影响
[16:52] 那售它就是一定要继续涨
[16:53] 我不会这样子想
[16:54] 那当然最主要的一个考量
[16:56] 其实是筹码面的问题
[16:57] 那什么叫筹码面问题
[16:58] 我们大概在过去几集
[16:59] 有跟大家聊到
[17:00] 就金管会的宣布
[17:02] 其实非常重要的
[17:03] 也就是说放宽台积电的上限
[17:05] 让大家可以买到很多
[17:06] 那个其实在过去
[17:07] 已经持续的发酵
[17:08] 要不是前面外资
[17:09] 在那边疯狂乱到货的话
[17:11] 其实我觉得台积电
[17:12] 早就已经走出去了
[17:13] 因为你看那个投信
[17:14] 真的买的蛮大力的
[17:15] 但重点是
[17:16] 你现在看到的这些投信
[17:17] 根本就不是全冒
[17:19] 为什么
[17:19] 因为他们要去做买进的话
[17:21] 除了说现在已经有额度可以买的
[17:23] 那当然就可以立刻就买
[17:24] 但是有蛮多
[17:25] 他们已经是在上线的
[17:26] 那他们如果要去做增持的话
[17:29] 他们必须要去修改一些条款
[17:30] 要去改他的供发数
[17:32] 那这个流程
[17:33] 大概就是要跑两个月
[17:34] 到三个月左右
[17:35] 有些人讲说甚至是四五个月
[17:36] 只是我觉得现在
[17:37] 一定就是快马加鞭去做调整
[17:39] 所以就是等到差不多
[17:40] 以现在来算的话
[17:41] 就是一个月左右的时间点
[17:43] 你可能会注意到
[17:44] 有更多的投信
[17:45] 他选择去增持台积电
[17:46] 所以你知道说
[17:47] 市场里面的钱是有限的
[17:49] 但其实你严格上来说
[17:50] 你用更大的格局来讲
[17:52] 台湾人的钱在市场里面多不多
[17:54] 其实跟美国比没有很多
[17:55] 因为我们蛮多钱
[17:57] 是在房地产或在存款里面
[17:58] 就是你跟美国比说
[17:59] 家户的他们的资产占比
[18:01] 我们的股票占比是相对低的
[18:03] 所以台湾人是真的很有钱
[18:04] 一堆钱还没进市场
[18:05] 但我们讲说
[18:06] 就已经在市场里面的钱
[18:07] 那你必须有很多要跑去台积电的话
[18:10] 会发生什么事情
[18:10] 就你势必要从其他东西去做提款
[18:12] 那虽然前面呢
[18:14] 可能是一波压力测试而已
[18:15] 就最早这个消息刚出来的时候
[18:17] 那中小暴跌一波
[18:18] 那后来蛮多又在持续的反弹
[18:20] 那只是呢
[18:21] 我觉得就是有一些中小
[18:22] 特别是在这一波的修正之后
[18:24] 后面没有办法再创高
[18:26] 然后他又是投信持比
[18:27] 占股很高的东西的话
[18:29] 那有机会
[18:30] 有机会就开始出现一些投信的
[18:32] 也不能够说他们是停损潮
[18:34] 因为都蛮多都赚烂了
[18:36] 所以就是说开始停利
[18:37] 然后把东西可能就拿去买TSMC
[18:39] 所以这个我是觉得
[18:40] 后面有机会发生的
[18:41] 所以即便说可能一些老AI
[18:43] 那他本身的状态
[18:45] 我认为那个毛利
[18:46] 是大家有一点过于的担心
[18:48] 就后面有机会就会爬回来
[18:49] 但是不代表说
[18:51] 就是以我自己的角度来说
[18:52] 我想去介入这些东西
[18:53] 因为还是要考量一下
[18:54] 资金面相关的东西
[18:55] 老王子就是一般在这种修正
[18:57] 其实就是一个
[18:58] 很好的太弱流强的机会
[18:59] 你会很快的去注意到
[19:01] 强势股有些
[19:02] 像就像说礼拜五
[19:03] 还是有东西在涨天
[19:04] 然后再来就是
[19:05] 就算有一些比较强势的族群
[19:07] 像过去是被动元件
[19:08] 他们可能也是在礼拜五
[19:10] 有蛮多也一起跌了
[19:11] 只是就是后面谁先站回来
[19:13] 像就是老大
[19:14] 你只要看到谁是优先爬回来的
[19:16] 一般来讲就市场
[19:17] 直接去帮你做好泰洛留强
[19:18] 以前泰洛留强
[19:20] 可能自己还要放一些主观的意思
[19:21] 可是我们蛮喜欢这种
[19:22] 崩杀的一个主因
[19:23] 就是市场会直接帮你挑好
