[00:00] 欢迎收听谷爱,我是孟公,本集节目由NordVPN赞助
[14:49] 会有这个事情
[14:50] 因为市场充分预期
[14:51] 也不是只有我们的专利
[14:52] 就大家都知道说
[14:53] 你现金流就在转付
[14:54] 其实转付这件事情
[14:55] 对我们来讲
[14:56] 并不是一个特别了不起的事
[14:58] 为什么
[14:58] 因为以前卖软体
[14:59] 叫做一本万利
[15:00] 我只要做出一个软体
[15:01] 我可以无限的copy
[15:02] 基本上就是没有什么
[15:04] cost of goods
[15:05] 我没有多少的成本
[15:06] 我就是一本
[15:06] 所以可以万利
[15:07] 可是现在不是这样子
[15:09] 因为现在我们知道说
[15:10] 你所有的AI的软体
[15:12] 或者说在软体上面
[15:13] 去赋能AI的新的应用方面
[15:16] 它后面都是必须要有模型去跑
[15:18] 这些模型
[15:19] 它本身就会是一种成本
[15:20] 所以你为了要去跑更多的AI
[15:23] 除了你要去做很多的先期投资
[15:25] 让你的训练的能量
[15:27] 或者说你的推论的能量放大之外
[15:30] 之后的每次运算
[15:31] 理论上你都会有一个新的成本在
[15:34] 所以这就是一个新的时代的变迁
[15:36] 这个有时候也让我想到一件事情
[15:39] 因为其实像马斯克
[15:41] 或是一些矽谷圈的人士会讲说
[15:43] 未来的世界可能就是那种abundant
[15:45] 就是什么东西都有一大堆
[15:46] 什么东西都是无限的给大家取用
[15:48] 但是我觉得AI其实告诉了我们一个故事
[15:50] 就是什么东西都还是有成本的
[15:52] 像你要拿出很好的一个AI推论的结果
[15:55] 像我们之前有一集的开头跟大家聊到
[15:57] 你的AI如果是用那种便宜的AI
[15:59] 很多时候它真的会错很大
[16:00] 可是如果你用稍微贵一点的AI
[16:02] 就像说我请AI去整理
[16:03] AMD Advancing Day的一个笔记给我
[16:06] 用Fable 5去跑
[16:07] 那一个
[16:08] 就如果说你让我自己用工人智慧
[16:10] 自己上网去点
[16:11] 到底Lisa Su这是讲了什么东西
[16:13] 我觉得我大概十分钟可以把它弄出来
[16:15] 我就知道她大概讲了什么
[16:16] 甚至直接去找一个逐字稿
[16:18] 然后快速的把它看过
[16:19] 这个对我来讲
[16:21] 可能也不是一个太难的事情
[16:22] 就大概我猜
[16:23] 可能20到30分钟内
[16:24] 我就可以知道
[16:24] 这是他到底想什么东西
[16:26] 但是我让我的FableFive
[16:27] 去跑的话
[16:27] 就是一个400块的成本
[16:29] 他跑下来
[16:29] 他那个Token fee就是400块
[16:31] 那所以呢
[16:32] 其实我觉得
[16:33] 就是在后面的一些应用上
[16:35] 大家会开始拉回来一点点
[16:37] 过去是Token Maxing
[16:38] 那后来发现说
[16:38] Token Maxing
[16:39] 除非说你本身
[16:40] 你终端产出的价值极高
[16:42] 那如果说你终端产出的价值
[16:44] 你报给客人的价格
[16:45] 没有办法去有效的拉高的话
[16:47] 你AI越好
[16:48] 其实你的成本就越高
[16:49] 你的利润被吃掉的越大
[16:51] 所以不如你干脆去找一个公督生
[16:53] 像上次跟大家分享
[16:53] 我去听一些电话会议
[16:54] 不如去找一个公督生帮我听
[16:56] 那一定是比AI便宜
[16:58] 类似这样子
[16:58] 所以就是可能等到未来
[17:01] AI又再变得更强大的时候
[17:02] 我们还是相信说
[17:03] 你知道像科技业的发展
[17:04] 就是每一代的东西
[17:06] 当然它的售价有可能是持平的
[17:08] 但是其实你买到的CP值
[17:10] 是越来越高的
[17:11] 就像是半导体的默认率一样
[17:13] 这个东西越来越萎缩
[17:15] 越来越小
[17:15] 成本算起来是越来越低
[17:18] 给你的效能是越来越大
[17:19] 那有道理就相信AI
[17:21] 就会变很便宜
[17:22] 只是现在就可能在
[17:22] 某一种那种过渡的阶段
[17:24] 特别是外面
[17:25] 我们讲的这种供应链通膨
[17:26] 从记忆体到被动元件
[17:28] 然后再到功率元件
[17:30] 载板
[17:30] 各种什么波线部
[17:32] Q部
[17:32] 什么PTFE
[17:34] 沙小
[17:34] 你所有可以想得到的东西
[17:35] 价格都是高涨的
[17:37] 那在这样的环境之下
[17:38] 你其实真的是蛮难
[17:40] 把那个成本压下去
[17:41] 所以它可能会有点类似
[17:42] 我现在如果去硬要讲的话
[17:44] 它会像是
[17:44] 那时候打抗泡沫
[17:46] 我们建制了很多光线
[17:47] 那样的道理
[17:47] 就是现在我们建制了很多AI
[17:49] 那后来一定会有一段
[17:50] 那种冷却期
[17:51] 就是我们上集开头讲的
[17:52] 未来一定会有一个
[17:53] 那种诸神的黄昏
[17:54] 一定会有一个
[17:55] 那个Armageddon会发生
[17:56] 就是现在的各种修正
[17:57] 其实跟你真的循环走完的比
[18:00] 那真的都没得比
[18:00] 所以希望到时候
[18:01] 大家都还活着
[18:02] 但总之应该是在那一波之后
[18:04] 然后AI就真的会变成
[18:05] 是一个超级便宜的东西
[18:07] 那就不会有
[18:08] 像我们下期的讨论
[18:09] 就是说有些东西
[18:10] 其实在使用上
[18:11] 我发现我用AI的话
[18:12] 可能其实是更贵的
[18:13] 那希望这个事情
[18:15] 后来会有效的去改善
[18:17] 但是总之拉回来
[18:18] 就是我们刚刚讲到说
[18:19] 我们认为Google
[18:20] 这样的一个投资
[18:21] 其实是非常合理的
[18:22] 因为如果你现在不投资
[18:24] 基本上你就是输了
[18:25] 那当然有些人
[18:26] 可能会举Apple
[18:27] 作为一个例子
[18:27] 但是Apple
[18:28] 我们之前也跟大家讲过
[18:29] 当然他去杠杆别人
[18:30] 是很聪明没错
[18:31] 但就是他一个路线选择
[18:32] 可是如果你没有
[18:33] 够多的终端装置的
[18:34] 这样的话语权
[18:35] 像苹果基本上
[18:36] 他是一个信仰的股票
[18:37] 大家iPhone就是死多一换
[18:39] 即便那个价格
[18:40] 可能跟其他的手机比起来贵很多
[18:42] 都会换
[18:42] 他就是因为有这样的一个信仰的力量去支撑他
[18:45] 所以他可能不用去大刀阔斧的
[18:47] 去从事可能太多模型的开发
[18:49] 或是AI的一个资本投入
[18:51] 他是一个那种得天独厚的位置
[18:53] 可是如果像以Google这样的角度来讲
[18:55] 他本身就是一个Cloud Service Provider
[18:57] 他就是一个CSP
[18:58] 所以他是一定要花钱的
[19:00] 所以像有些人下去
[19:01] 为富心词强说愁
[19:03] 说他跌是因为现金流转付
[19:05] 我觉得想要反驳
[19:06] 因为第一个就是
[19:07] 早就知道现金流转付
[19:08] 然后第二个就是
[19:09] 他如果不转付
[19:10] 他如果不去做这些投资
[19:11] 他后面会输
[19:12] 所以其实现在去做
[19:13] 越大投资
[19:14] 其实在后面
[19:15] 越有可能是赢家
[19:16] 这时候我就要quot
[19:17] 我们一位听众在脸书的回复
[19:19] 他回复的真好
[19:20] 他就说
[19:20] 他玩大富翁4的时候
[19:22] 还是哪一代
[19:23] 每次一开始
[19:24] 买房子买到快破产的
[19:26] 最后面都会赢
[19:26] 光是收过路费就收到爆炸
[19:28] 所以其实我觉得
[19:29] 真的就是这样的一个背景思维
[19:32] 你要有
[19:32] 你就会知道说
[19:33] 所以你现在不投资的
[19:34] 反而是会稍微危险一点
[19:36] 除非你像苹果那样子
[19:38] 你掌握了一些通路跟终端的用户
[19:40] 不然其实你有可能会
[19:42] 因为你没有去做投资就输掉
[19:44] 所以接下来去看其他的云服务的巨头
[19:47] 不管像是Amazon
[19:48] 然后不管像是Microsoft
[19:50] 或者说中国的BAT
[19:51] 我相信你都会看到类似的东西
[19:53] 就这个钱是不得不花
[19:55] 然后再来就是之后的每个Token的产出
[19:57] 那其实都会是一个成本
[19:58] 所以一些利润的数字
[20:00] 有可能就是会超出那种
[20:02] 可能没有很研究的人的预期
[20:04] 他就觉得说奇怪了
[20:05] 你不是软体股吗
[20:06] 你不是在做软体
[20:07] 你不是software吗
[20:08] 你不是应该很高
[20:09] 没有因为现在你在背后
[20:10] 是必须要有运算的成本
[20:12] 在那边去做消耗
[20:14] 所以有可能是TAM更大
[20:16] 但是毛利数字被挤压的一个结果
[20:19] 这个东西其实跟AI Server的
[20:21] 一个整体的构造很像
[20:22] 这个大概两三年前
[20:23] 我们在聊的时候就说
[20:24] 其实那些AI Server
[20:25] 皆很大的公司
[20:26] 除非说他今天是去走一个
[20:29] 可能是客户只给他代工费
[20:32] MVA的一个做法
[20:33] 那个料不用去
[20:35] 自己去做采购的话
