[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由無名氏贊助
[02:59] 所以你可以很純粹的
[03:00] 去感受到很多事情
[03:01] 可是當然出社會之後呢
[03:03] 就算你想要這樣子
[03:04] 那大家就開始去考慮
[03:06] 成本問題
[03:07] 誰要負責出錢
[03:08] 誰要幹嘛
[03:08] 你會發現說
[03:09] 每件事情都是得來不易
[03:10] 你會發現說
[03:11] 你還想去做一些
[03:13] 很熱血的事情
[03:14] 可是沒有辦法
[03:14] 你還先去服兵役
[03:15] 服完兵役之後呢
[03:16] 社會的巨輪就繼續推著你
[03:18] 你就快被壓扁了
[03:19] 跟你講說
[03:20] 你從現在開始好好去工作
[03:21] 你要去爬一下
[03:22] 升遷的管道
[03:23] 甚至你要去考慮創業
[03:24] 然後當你覺得
[03:25] 告一個段落之後
[03:26] 突然間你又結婚了
[03:27] 然後你又在生了小朋友
[03:28] 好像說
[03:29] 哇靠麻布停蹄
[03:30] 所有的事情都全部壓上來
[03:32] 所以你怎麼可能
[03:33] 會有餘裕去思考一些
[03:34] 有的沒有的東西
[03:35] 甚至到最後你注意到說
[03:36] 大家變得
[03:37] 所謂的冷漠跟疏離
[03:38] 那也不是任何人的本意
[03:40] 說我就是要疏離大家
[03:42] 我就要冷漠
[03:42] 不是因為每個人都太滿了
[03:43] 每個人身上的負擔都太大了
[03:46] 你有這麼多的東西在你的餐盤上面
[03:48] 你真的是無暇去顧及其他的東西
[03:50] 所以導致這個社會就會看起來
[03:52] 大家是越來越疏遠
[03:53] 可是其實在非常辛苦工作的人們之中
[03:57] 大家還是會透過自己的一些方式
[04:00] 然後讓這個社會變成更好的地方
[04:01] 以前有些人可能會出力
[04:03] 會出腦袋
[04:05] 會去幫忙想說怎麼樣改善
[04:06] 去當志工什麼的
[04:08] 然後可能等到他發展到後期之後
[04:10] 就算他的家庭是很忙或什麼的
[04:12] 可是他至少他可以怎麼
[04:13] 他給捐錢
[04:14] 因為他家可能經濟利益是比較大一點
[04:16] 所以其實每個人都還是透過
[04:18] 自己的一些微小的善念
[04:20] 然後持續讓這個世界變得更好
[04:22] 那像這樣子的一些對話
[04:23] 真的是從出社會之後就比較少看到
[04:26] 因為大家講的都是利
[04:27] 大家講的都是民
[04:28] 大家講的都是怎麼樣獲取更多的資源
[04:30] 可是當這麼純粹的一個對話
[04:33] 突然間這樣炸出來
[04:34] 走不到我自己也是深受感動
[04:36] 所以包含像這一次
[04:37] 或是之後的數次的收益
[04:38] 雖然我們以前就已經會把
[04:39] 這些東西給抖內出去
[04:41] 或是去提供給一些需要幫助的人
[04:44] 這次就把它加大力度
[04:45] 因為我感受到老闆的真心
[04:47] 我覺得他的這段話也讓我感受到
[04:50] 就是身為臺灣人的一種驕傲
[04:52] 我們真的從以前到現在
[04:53] 你注意到社會有慢慢在變化
[04:55] 以前不然說
[04:55] 大家想說什麼
[04:56] 臺灣的國球就是贏球
[04:57] 一定要贏球
[04:58] 你沒有贏球
[04:59] 大家在那邊狂幹或什麼的
[05:00] 可是這幾年的環境就慢慢的去改善
[05:03] 大家不會去一昧的追求說
[05:05] 怎麼樣有流量
[05:06] 所以講一些那種很酸
[05:08] 很有攻擊性的話
[05:08] 大家會互相的去勉勵
[05:10] 會去思考說
[05:10] 怎麼樣可以變得更好
[05:11] 或是在提供一些建議的時候
[05:13] 也知道
[05:13] 其實人家都已經努力了
[05:15] 所以不要過度的去刺激別人
[05:16] 其實這些都是
[05:17] 每個人的一小步
[05:19] 可是促成了大家的一大步
[05:20] 整個社會都變得更加的團結
[05:23] 更加的美好
[05:23] 所以非常感謝
[05:25] 這位老闆支援的分享
[05:27] 不只是對所有的聽眾
[05:28] 不然對我自己
[05:29] 都有蠻盛的一個啟發
[05:31] 我自己就覺得
[05:32] 在這一次的事件裡面
[05:33] 看到臺灣許多的英雄
[05:34] 不然這些英雄們
[05:35] 他們可能在
[05:36] 記者媒體的訪問裡面
[05:38] 說的一些話
[05:39] 你真的是感受到說
[05:40] 我看到一個活菩薩在面前
[05:42] 這種感覺
[05:42] 就怎麼有人的胸襟可以這麼大
[05:45] 怎麼有人可以這麼偉大
[05:47] 他到底是怎麼辦到的
[05:48] 那也難怪
[05:49] 他的家人可能是這麼厲害
[05:51] 這麼偉大的人
[05:51] 因為母親就是這樣子的一個人
[05:54] 所以那個小孩子一定
[05:55] 你知道
[05:55] Apple doesn't fall away from tree
[05:57] 所以真的是讓自己
[05:58] 有非常多的啟發跟感動
[06:00] 那這邊就稍微的講一下
[06:02] 我自己的一些心得跟看法
[06:04] 好那接下來我們請
[06:05] 坐在燈旁邊的同學幫我把燈開啟
[06:07] 我們要開始回到我們節目的正題
[06:10] 首先先來聊一下市場上的一些事件
[06:12] 第一個是在差不多一兩天前的時候
[06:16] 有一個國外的科技媒體WCCF Tech
[06:18] 他報道講說
[06:19] 因為機體的價格現在沒有回穩
[06:22] 而且持續的上漲
[06:23] 所以傳言說華碩自己要去投入低潤產線來做生產
[06:27] 這件事情我們直接講一個結論
[06:30] 認為說他稱真的機率是極低
[06:33] 就是華碩不太可能自己
[06:34] 有點像說你為了喝奶去養牛一樣
[06:37] 因為去搞這個DM的生產
[06:39] 它是完全的另外一邊的know how去
[06:42] 然後外加
[06:42] 其實我們都知道說
[06:43] 這些記憶體廠商
[06:44] 他們過去是非常強的
[06:46] 一個景氣迴圈股
[06:47] 所以賺錢的時候
[06:48] 可能是非常賺錢
[06:50] 那個報價狂漲
[06:50] 一本萬利這樣
[06:51] 可是如果今天是進入一個
[06:53] 迴圈的向下走起
[06:54] 那也是非常困難
[06:56] 有很多挑戰
[06:56] 那你還要有持續更多的資本
[06:58] 去投入你的代數的演進或什麼
[07:00] 所以那其實超級複雜的東西
[07:02] 所以其實光是這個新聞
[07:03] 第一次出來
[07:04] 大家看到
[07:05] 我們身邊朋友都已經會
[07:06] 在心中把它
[07:07] 畫上一個bullshit的等號
[07:09] 就是你不太可能
[07:10] 自己去搞一個晶圓廠
[07:11] 你比較有可能做的事情是什麼
[07:13] 就是你可能去找一些
[07:15] 這個晶圓顆粒廠去採購
[07:17] 然後接著你去找模組廠
[07:18] 然後把它拼出來
[07:18] 這個可能還有一些可行性
[07:21] 那只是呢
[07:21] 在我們的記憶體專家朋友的角度呢
[07:24] 稍微問了一下
[07:25] 他們是講說
[07:25] 你現在去買到那種
[07:26] channel grade的顆粒
[07:27] 超級困難
[07:28] 這也是我們在過去
[07:29] 有跟大家聊到
[07:29] 現在這些模組廠
[07:30] 他們其實最大的問題
[07:31] 是他們的庫存賣光之後
[07:32] 很多就要落賽了
[07:33] 因為你低價庫存走出去之後
[07:35] 你接下來你要買的
[07:36] 也都是高價的東西
[07:37] 那你買高價的東西
[07:38] 其實他會怕的一件事是說
[07:39] 我買一大堆高價的庫存進來
[07:41] 然後最後面如果這個價格就反轉
[07:42] 或者說拉平要往下走
[07:44] 那是不是覺得公司
[07:45] 會承擔一個超級大的風險
[07:47] 那這個可能是比較
[07:48] 在後面一點的事情
[07:49] 可是現階段我們知道的東西是
[07:51] 有很多的模組廠
[07:52] 或是controller廠
[07:53] 他是直接飛到韓國去
[07:54] 去找這些財閥
[07:56] 大拜拜世事活動
[07:57] 看可不可以
[07:58] 你多給我一些東西
[07:59] 這個是正在進行式
[08:01] 然後一些交換條件是怎麼樣
[08:02] 就我那個controller
[08:03] 可能在裡面投片
[08:04] 那就給我顆粒
[08:05] 就用這樣去做交換
[08:07] 那這樣才有東西可以賣
[08:08] 所以以華碩的角度
[08:10] 他要去拿到這一些顆粒
[08:12] 其實本身也是不容易的事情
[08:13] 所以另外一個
[08:14] 我們剛剛講到
[08:14] 比較有可能的劇本
[08:16] 就是他自己去拿顆粒
[08:18] 然後跟模組廠
[08:18] 把它拼在一起
[08:20] 可能不知道貼自己的牌
[08:21] 去做生產
[08:22] 這個我們都覺得
[08:22] 可行性是不太高
[08:24] 所以他比較偏向是
[08:25] 因為目前記憶體很缺
[08:27] 所以我在猜
[08:27] 就是他們在內部
[08:29] 可能有開一些會
[08:29] 然後講說
[08:30] 我們有哪幾條路線
[08:31] 第一條可能就是最誇張的
[08:33] 我們直接去搞一個低潤廠
[08:34] 即便是那種極度不可能
[08:35] 那一個可能相對有可能
[08:37] 跟產物相關的就是
[08:39] 他有沒有可能去投資別人
[08:40] 然後換取穩定的供貨
[08:42] 這個可能還有一點機會
[08:43] 可是也是蠻蠻那種well shot
[08:45] 就我覺得機率也是很低
[08:47] 那比較有可能就是說
[08:48] 他去做一些大量的採購
[08:50] 然後接著去找模組廠
[08:51] 把它兜出來
[08:52] 這個可能是有一些機會的
[08:53] 但我相信這些討論應該是
[08:55] 就是公司內部都有去run過
[08:57] 都有去評估過
[08:58] 那有些呢可能就被流出
[09:00] 然後跑到記者那邊
[09:01] 所以就變成是一個報道
[09:02] 我們相信是這樣子
[09:04] 那稍微簡單的去評論一下
[09:06] 目前記憶體的市況
[09:06] 就是漲
[09:07] 就是繼續漲
[09:08] 目前我們看到的狀況就是繼續漲
[09:10] 那在這個D4跟D5的部分
[09:13] 其實都還是維持一個非常誇張的價格
[09:15] 那D4甚至是已經反超D5
[09:17] 然後持續的在向上
[09:18] 那我們目前看得到的一個價格漲勢呢
[09:21] 預計在明年的
[09:22] 本來講說大概到上半嘛
[09:24] 目前是已經可以投射到全年
[09:26] 就從記憶體原廠那邊所獲得一些資料
[09:28] 預計全年都會是上漲的一個趨勢
[09:31] 那本來講說可能是足跡漲
[09:33] 然後現在有一個
[09:33] 比較新的說法講說
[09:35] 應該是會足月漲
[09:36] 就足月可能都有一個
[09:37] 十幾趴的一個漲幅
[09:38] 然後持續的下去
[09:39] 也就是說你每個月
[09:40] 要去跟他拉的話
[09:41] 他就會去額外的
[09:42] 再提高這個報價
[09:44] 那這就是目前在
[09:45] 記憶體這邊
[09:46] 非常供需緊俏的一個狀況之下
[09:48] 所發生的情形
[09:50] 所以可能因為這樣子
[09:51] 就有各自跟他討論出來
[09:52] 他們到底要怎麼樣
[09:53] 去解決這個記憶體荒
[09:54] 那在我的角度看來
[09:55] 這個應該是很難去透過某種
[09:58] 就像說某些人去擴產
[10:00] 或是某些人去什麼投資怎麼樣
[10:02] 那個都是有點像是說什麼
[10:03] 遠水救不了近火這樣的一個說法
[10:06] 我覺得不太可能
[10:07] 所以只能夠等它稍微的塵埃落地
[10:10] 那這塵埃落地會多久
[10:11] 我覺得這波其實老實講
[10:12] 又超出我自己的一個想象
[10:14] 因為其實CSP它的採購力道實在太大了
[10:16] 然後這個機體在他們的BOMB COST裡面
[10:19] 佔比極低
[10:20] 就那種個位數超小的
[10:21] 所以即便長成這樣
[10:23] 他們去買
[10:24] 他們還是沒有什麼太大的壓力
[10:25] 因為像說你今天去買一臺車
[10:27] 那這臺車我告訴你說
[10:28] 裡面的某些晶片
[10:29] 像它是已經翻了什麼
[10:30] 三倍五倍或是十倍
[10:31] 你其實感覺不出來
[10:32] 因為那一個晶片
[10:33] 可能在整個車子的
[10:34] bonus cost裡面超低的
[10:36] 你根本不會在意
[10:37] 那個晶片漲多少錢
[10:38] 就在整個價格看起來都還好
[10:39] 所以它有點類似這樣的一個邏輯
[10:41] 就是整個伺服器的reg
[10:43] 可能是超高的一筆錢
[10:44] 那這個記憶體就算是翻了好幾倍
[10:47] 可是對他們來講
[10:47] 都還是小比例的支出
[10:49] 所以就會覺得說
[10:50] 有辦法吞下去就繼續買
[10:52] 那當然像這樣子持續漲價
[10:53] 在消費性這邊
[10:54] 就會造成一些毀滅性的打擊
[10:56] 這個是絕對會發生的
[10:57] 那特別是就要說以手機來講
[10:59] 手機有分高階跟低階
[11:00] 那高階的狀況就跟我們剛才講
[11:02] 那個車子的狀況一樣
[11:03] 就是說它整體的價格是比較高
[11:05] 所以可能算起來
[11:06] 那個記憶體佔崩靠時
[11:07] 是比較低一點
[11:08] 那可能也會有反映到漲價這一塊
[11:10] 可是就不會這麼多
[11:11] 可是如果今天是那種中低的
[11:13] 那它的記憶體假設漲很多
[11:14] 因為它佔崩靠時是高的
[11:15] 所以就會變成說
[11:16] 那個價格可能就會上升是更多的
[11:19] 那也因此呢
[11:20] 就是有機會會產生一些
[11:22] 在消費性這邊的需求的問題
[11:24] 就是說價格太貴
[11:25] 然後大家就選擇延後換機
[11:27] 或者不換機
[11:27] 或者我們連在DIY市場所看到的
[11:30] 就有一些魔改的東西開始出來
[11:32] 因為大家知道說
[11:33] 這個記憶體的價格這麼貴
[11:34] 那就只好去換個方向
[11:36] 有些說可能那種拆舊機子的出來
[11:38] 或是怎麼樣去拼一拼
[11:40] 然後讓大家還是可以用
[11:41] 相對合理的價格買到
[11:42] 也就是說在消費級這邊
[11:44] 他們的一個價格敏感度
[11:45] 是遠高於伺服器這邊
[11:47] 所以這個價格影響最大
[11:49] 就是在消費線的需求這邊
[11:50] 可是在土壁這一端企業級
[11:52] 我們目前是會認為說
[11:54] 就算這個價格維持在這邊
[11:55] 或是持續的上漲
[11:56] 可能對需求的影響都是有限
[11:59] 所以只能夠說
[11:59] 受害的是那些DIY
[12:01] 或是一些什麼品牌機
[12:02] 自主機那一種以及手機
[12:04] 那這個也是我們
[12:05] 對氣氛仔的一個小福利
[12:07] 在記憶體剛漲的時候
[12:09] 就提醒大家說
[12:09] 趕快去煮電腦
[12:10] 你再不煮電腦
[12:11] 電腦就變超貴
[12:12] 你各位現在趕快去看一下
[12:14] 現在的記憶體價格變多少錢
[12:16] 後面還有更多東西要漲價
[12:18] 我們最新瞭解到其實不只記憶體漲價
[12:20] 不然說像是顯示卡裡面也有用到記憶體
[12:22] 這個東西也要漲價最新連CPU都說要漲價了CPU要漲價的新聞可能還沒有鋪天蓋地的丟出來可是等到差不多明年大家就開始注意到這個主流的大的CPU Supplier他們也會出現一些漲價的狀態
[12:35] 所以呢
[12:35] 我覺得很有趣啊
[12:37] 就是大家去看一些通膨資料
[12:38] 覺得說應該沒有什麼通膨啊
[12:40] 現在通膨看起來還好
[12:41] 可是在我們的角度看來
[12:42] 所有東西都在漲價
[12:44] 而且另外一個很明顯的是
[12:46] 你看一下原物料貴金屬的價格
[12:48] 貴金屬幹
[12:49] 全部都超貴
[12:50] 那個並不是說什麼
[12:51] 這些貴金屬有什麼擴大應用
[12:52] 是超厲害
[12:53] 然後可以漲成那樣
[12:54] 我覺得那些貴金組的價格
[12:55] 上去其實某程度
[12:56] 就是已經先去提早在
[12:58] Pricing大家對於
[12:59] 未來通膨的一個預期
[13:00] 所以在接下來的一兩年
[13:02] 應該會有一些
[13:03] 蠻精彩的狀況出來
[13:04] 這邊稍微簡單
[13:05] 跟大家分享一下
[13:06] 就是記憶體
[13:06] 然後跟記憶體
[13:08] 所影響到的一些視況
[13:09] 好那接下來我們來討論
[13:10] 另外一個本週重大的話題
[13:12] 就是NVIDIA花了20幣
[13:13] 有200億美元
[13:14] 去買了Grok的團隊
[13:16] 跟他的know how
[13:17] 以及IP相關的東西
[13:18] 那這個有點像是說
[13:20] 那時候微軟跑去買Infliction AI
[13:22] 類似
[13:22] 或者說你也可以講是
[13:23] Google去買WindServe這樣子
[13:25] WindServe那個比較有點類似
[13:26] 是比較不好的劇本
[13:27] 因為他直接把人挖走
[13:29] 然後留下一堆工程師
[13:30] 那些工程師被promise的
[13:31] 一個美好未來
[13:32] 然後在那邊什麼小都沒了
[13:33] 剩下一個空殼
[13:34] 那這個Grok呢
[13:36] 然後跟Infliction AI
[13:37] 可能是比較良性的
[13:39] 雖然基本上也是
[13:40] 把整家公司給挖光了
[13:41] 可是可能說
[13:42] 一些投資者
[13:43] 或者一些那種債務人士
[13:44] 他們都還是有辦法拿到
[13:46] 他們該拿到的東西
[13:47] 有一點些微微差距
[13:48] 但本質上都是差不多
[13:50] 反正就是說
[13:51] 在這個時代要去加強AI
[13:53] 現在在這些科技巨頭
[13:55] 他們的腦袋裡面都有一個共識
[13:56] 我們要的是人
[13:57] 人是最重要
[13:58] 所以我直接把人買走就好
[13:59] 我把人買走
[14:00] 那公司有一個空殼在那邊
[14:02] 根本就是也是沒什麼用了
[14:05] 所以我只要把人抽走就沒問題
[14:06] 這跟過去就是我們所熟悉的
[14:09] 你要去買
[14:09] 你會買下整家公司
[14:10] 跟他所提供的服務
[14:12] 有很大的一個差距
[14:13] 所以可以從這邊就看得出來說
[14:15] 科技巨頭他們現在的一個觀念
[14:16] 就認為說買人可能是最重要的一個東西
[14:19] 所以AI時代最重要的東西還是在人身上
[14:21] 這個有點諷刺有點好笑
[14:23] 因為本來很多人在他們的腦中的認知裡面
[14:26] 是AI時代人就是越來越不重要
[14:28] 因為AI是最強的
[14:29] 但AI還是要有人去做開發
[14:31] 所以人其實還是非常的重要
[14:33] 那為什麼NVIDIA會去買Grok
[14:35] 當然這個大家都只能夠用猜的
[14:37] 那有幾個簡單的劇本
[14:39] 第一個就他其實是單純的想買人
[14:41] 因為這個創辦人Jonathan Ross
[14:43] 他以前也是TPU的開發者之一
[14:45] 所以NVIDIA的算盤
[14:47] 可能只是單純的
[14:48] 我把這個人收進來
[14:49] 跟他的團隊收進來
[14:50] 那我就少一個對手
[14:51] 那這些人都要幫我做事的話
[14:52] 或許我們可以去
[14:53] 想出更多的可行性
[14:55] 這是一個最簡單的
[14:56] 就是說買人的想法
[14:58] 那第二個就是
[14:59] 可能是有一些
[15:00] 重效的想法
[15:01] 我就辦了說
[15:01] 可能他的SRAM
[15:02] 可以整合進去
[15:03] NVIDIA的機櫃裡面
[15:04] 因為我們知道說
[15:05] 現在在今年的
[15:06] 跟明年的討論
[15:08] 大家已經慢慢的
[15:09] 從過往我們都在講說
[15:10] training
[15:10] 怎麼樣去把HBM
[15:12] 跌到更高
[15:13] 然後讓training的效率更好
[15:14] 但現在大家討論的
[15:15] 很多東西其實是聚焦在推論
[15:17] 包含像我們之前跟大家聊到的NVIDIA的CPX
[15:20] 這個是用在pre-fill的一個晶片
[15:23] 它使用的是GDDR
[15:24] 大量的GDDR
[15:25] 那它的目標就是要讓它可以快速的去讀你的前後文
[15:29] 那讓它在推論上面是更有效率
[15:31] 那我們知道在pre-fill之外
[15:32] 還有另外一個環節就是decode
[15:34] 那decode的話呢
[15:35] 像SRAM就是一個非常好用的東西
[15:38] 因為它在寫錄的速度是很快的
[15:40] 所以有可能是因為這樣子
[15:41] 就是我們前面已經看到一個CPX這樣的產品
[15:44] 那後面就是有可能會在
[15:46] 結合Grok之後呢
[15:47] 然後推出某種
[15:48] 有用到SRAM的一種
[15:50] decode解放
[15:52] 所以讓他prefill跟decode
[15:53] 整體的效率的表現是更好
[15:55] 然後用這樣子呢
[15:56] 去計壓一些ASIC的player
[15:57] 這個是
[15:58] 也是有機會的
[15:59] 但大家都整個用猜啦
[16:01] 我們不知道到底
[16:01] 老黃的算盤是怎麼樣
[16:03] 那目前在坊間
[16:04] 就開始出現一些討論
[16:06] 其實就跟之前講說
[16:07] TPU因為他開始
[16:09] 怎麼講
[16:10] 展露鋒芒嘛
[16:11] 所以很多人講說
[16:11] TPU會擊敗
[16:13] GPGPU的NVIDIA
[16:14] 那我們當時在節目跟大家講說
[16:15] 這個其實是一個無稽之談
[16:16] 但這類的討論
[16:18] 其實在市場上
[16:19] 蠻容易引起一些共鳴
[16:20] 因為我覺得它是
[16:21] 刻在人性裡面的
[16:23] 就覺得他都是人
[16:23] 他是沒有辦法處理光譜的
[16:25] 他是沒有辦法處理會計的
[16:27] 我講的是說
[16:27] 就他腦袋他的設計
[16:28] 我也是長大之後才知道說
[16:30] 原來這麼多人
[16:30] 他看事情只有黑色跟白色
[16:32] 他不知道每個東西
[16:34] 都是有可能有彈性
[16:35] 他不知道說
[16:35] 他可以是一個
[16:36] win-win solution之類的
[16:37] 他是有可能
[16:39] 每個人都是在裡面
[16:40] 有他表現的機會
[16:41] 他就認為說
[16:42] 反正一定有一個是什麼
[16:43] 最頂的
[16:44] 就很多人講話說
[16:45] 這個是最頂的
[16:46] 這個是最屌的
[16:47] 所以因為這樣
[16:47] 它就是一定要有一個東西
[16:49] 計分高下也絕生死
[16:50] 所以當TPU可能生事起來
[16:52] 他們就跟你講說
[16:53] NVIDIA的GPGPU不行
[16:54] 但這其實超奇怪的
[16:56] 因為GPGPU
[16:57] 還是有它厲害的地方
[16:59] 不然就是在
[17:00] 泛用性的方面
[17:00] 還有成本的考量上
[17:02] 就如果說我們今天可以
[17:03] 在改動很多的演演算法
[17:06] 或者說甚至AI
[17:07] 有一些新的root
[17:08] 出現的一個狀況之下
[17:09] 要去做到最有效率的切入的話
[17:12] 那我們還是會去選擇
[17:13] NVIDIA的一個GPGPU
[17:15] 那今天如果說路線是很確定的話
[17:16] 那就有可能會去用ASIC
[17:18] 來降低一些成本
[17:19] 那很多人看ASIC的成本有問題
[17:21] 也是因為他是用Google
[17:22] 自己的成本去看
[17:23] 那沒有辦法
[17:24] 那是有點那種補貼的形式下去做的
[17:26] 所以那成本自然是會比較低
[17:27] 只是這個東西你去跟一些人講
[17:29] 他們是聽不懂的
[17:30] 因為他們就是一定要告訴我說
[17:31] 他媽現在誰最頂
[17:32] 誰的股價漲最多
[17:33] 那他一定是最頂
[17:34] 他不知道說這有些東西
[17:35] 他只在休息
[17:35] 休息完之後可能就會再繼續的漲
[17:37] 那你發現說就這些人他們蠻多
[17:39] 有可能就是最近在講說
[17:41] 所以SRAM就會去擊敗HBM這樣的人
[17:43] 因為他們就是一定要分一個高下
[17:45] 但其實這類的討論
[17:46] 老實講在2023、2024的時候就出現過
[17:48] 因為那時候Grock就是跑出來講說
[17:50] 他有一個東西叫做LPU
[17:52] 就是Language Process Unit
[17:54] 那這個東西呢
[17:55] 因為他使用了SRAM
[17:56] 所以那時候中國就是炒過一波SRAM概念國
[17:59] 雖然這個東西你一下回頭看
[18:00] 你也覺得超莫名其妙
[18:01] 因為SRAM呢
[18:02] 它本身是on chip
[18:04] 就是說像你覺得
[18:05] 如果說看到
[18:05] 它是本身就已經是跟著晶片一起去刻出來的
[18:09] 所以它不是像一般大家想像是在外面的FAB
[18:12] 然後把它做完之後再拿來做整合
[18:13] 它不是,它直接就在裡面
[18:15] 所以你去炒一些SRAM概念股本身是很怪
[18:18] 然後再來就是SRAM它的成本是很高的
[18:20] 就是它去處理一個bit可能是需要六個transistor
[18:24] 那如果今天是在講說一般的DRAM的話
[18:27] 它是ETEC,就是一個transistor再加上一個capacitor,一個電容
[18:31] 那所以因為這樣子的一個構造上的差別
[18:35] 導致S3M它需要的空間是很大的
[18:37] 所以它也比較難以去做萎縮
[18:39] 所以導致一個非常昂貴的晶片面積上面
[18:41] 因為它就是佔空間
[18:42] 所以它整體就是會比較貴一點
[18:45] 它就是會比較貴
[18:46] 所以像之前Grok
[18:47] 它如果要去做訓練的話
[18:48] 你一次需要超多顆
[18:49] 因為它本身容量是很低的
[18:51] 所以它就要一次放一大堆
[18:52] 才有辦法去做training
[18:54] 如果今天去做Inference的話
[18:55] 效率就非常好
[18:56] 它的實際的做法就是說
[18:57] 把每個引數拆一拆
[18:59] 然後放在這些記憶體裡面
[19:01] 然後這樣去跑的話
[19:02] 就可以是以非常快的速度去做呈現
[19:05] 所以它的優勢是在這裡
[19:06] 那你直接把它拉出來
[19:07] 當成是一個炒股的專案的話
[19:09] 就很奇怪
[19:10] 就是你要講說SRAM概念股
[19:12] 那可能就臺積電
[19:13] 好 類似這樣
[19:13] 但我還是會覺得說
[19:15] 就是這並不是一個
[19:16] SRAM要去擊敗HBM
[19:19] 這麼簡單的事情
[19:19] 或是像之前大家講的
[19:20] 什麼TPU要去擊敗GPGPU
[19:22] 一定不是這樣去演的
[19:24] 因為就是各有各的所長
[19:26] 各有各的發揮空間
[19:27] SRAM可能是在DECODE的部分上面
[19:30] 有一些精彩的表現機會
[19:32] 或甚至我自己的想象是
[19:33] 把它放在一些Edge Device
[19:34] 可能是有機會
[19:35] 可是你說它在Training這邊
[19:37] 你要用它去取代HBM的話
[19:40] 那個成本是太貴了
[19:41] 所以應該是沒有人會去做這樣的事情
