[00:00] 歡迎收聽谷外,我是孟公,本期節目由Dr.情趣贊助
[05:20] 所以你不只是去
[05:22] 買掉很多的那種時間的成本
[05:25] 同時其實嚴格上來說
[05:26] 就算這個錢你自己弄
[05:27] 你也是會更花錢
[05:29] 所以就是直接當臺幣戰士
[05:32] 那滿開心的
[05:33] 就是回到以前那些地圖
[05:34] 不然說像去斐陽去打那個月夜貓
[05:36] 去打虎王
[05:37] 或是以前那一種
[05:39] 就是你根本就是進而遠之的BOSS
[05:41] 你知道說你根本不可能
[05:42] 就你現在都可以直接
[05:43] 一刀車進去把他車爆
[05:45] 超級爽
[05:46] 這個是可能
[05:47] 我整個寒假
[05:48] 覺得最舒壓的時刻
[05:49] 那同時也買了
[05:50] 一大堆的寵物蛋
[05:51] 現在那個MVP
[05:52] 也可以變成是寵物了
[05:53] 以前你寵物
[05:54] 就是一般的
[05:55] 就是可能路邊的野怪之類
[05:56] 然後現在你可以
[05:57] 把這些王當成是寵物
[05:59] 我覺得說
[06:00] 非常的舒壓療愈
[06:02] 所以就重新的回到了
[06:03] 好像小學的時候
[06:04] 對就小學的時候
[06:05] 玩的遊戲
[06:06] 那我還記得
[06:07] 小時候大家都會有外掛
[06:08] 蠻屌的
[06:09] 不知道小學生怎麼弄到
[06:10] 小黑窗
[06:11] 然後可能大家都會上去聊天
[06:13] 所以後來發現說
[06:13] RO其實是一款聊天
[06:15] 它的本質其實是聊天
[06:17] 大家可能坐在普通德拉的南門在那邊聊天
[06:20] 有空的時候就去打怪
[06:22] 所以打怪其實是附加的
[06:23] 刷裝備是附加的
[06:25] 重點是聊天
[06:26] 當然到現在我覺得
[06:28] 大家都長大了吧
[06:29] 朋友很多也不玩遊戲了
[06:30] 所以某個程度上我們都變成是一種孤狼玩家
[06:33] 現在就算你加入工會
[06:34] 我覺得也不是我們可能20年前玩遊戲的那種工會
[06:37] 現在大家時間都比較少一點
[06:39] 外加其實有很多娛樂的選擇
[06:41] 所以大家時間都碎片化
[06:42] 所以比較不會賴在上面說
[06:44] 在上面說誰上線了
[06:46] 然後大家聊天一下
[06:47] 我們一起去打個王
[06:48] 或什麼的
[06:48] 就比較偏向說
[06:49] 反正大家都是各自玩各自的
[06:51] 可是我覺得蠻美好的
[06:52] 就是回去以前那種
[06:53] 小時候的記憶裡面
[06:55] 然後去把那些
[06:55] 以前打不贏的王
[06:56] 全部都把他車過去擊爽
[06:58] 然後以前
[06:59] 我小學很喜歡的一個物件
[07:01] 他也是有在玩先進傳說
[07:02] 那我就覺得超好笑
[07:03] 反正有一次
[07:04] 他就找很多朋友去他家
[07:05] 但他就沒有找我
[07:06] 那我還很不要臉的
[07:07] 就拿他家裡的電話
[07:08] 現在大家家裡應該都沒有電話
[07:09] 現在都是用手機
[07:10] 那時候拿他家裡的電話
[07:11] 然後打去他家
[07:12] 他媽媽記得我說
[07:12] 可以找那位同學
[07:13] 然後就說
[07:14] 我可以去你家玩嗎
[07:15] 然後他就想說不可以
[07:17] 我說好
[07:17] 可是後來我知道說
[07:19] 他們去他家玩
[07:19] 可是同時他們也是有掛在
[07:21] 那個先進傳說上面
[07:22] 所以我就有去看到
[07:24] 他在那個斐揚的
[07:25] 這個主城隔壁
[07:27] 然後就坐在那邊
[07:28] 反正就是角色就
[07:29] 沉蹲姿還是什麼
[07:31] 跪姿忘記了
[07:32] 反正就在那邊
[07:33] 然後跟別人聊天
[07:33] 就以前很流行這樣
[07:34] 大家會開一個賬號上去聊天
[07:36] 同時你家裡有同學
[07:37] 你又在上面跟別人聊天
[07:38] 因為我沒有辦法去他家
[07:40] 所以我就知道
[07:40] 我的角色就走在旁邊
[07:42] 超像creeper
[07:43] 就那種超奇怪人
[07:44] 你就會看到看他
[07:45] 然後看一看
[07:46] 算了這不屬於我就走掉
[07:48] 所以後來從那一天開始
[07:49] 我也不喜歡那個同學
[07:50] 但反正就是
[07:51] 完全想到這些回憶
[07:52] 然後把以前那些地圖都走一次
[07:54] 以前我很喜歡那個聖誕村的地圖
[07:55] 然後就要重新的去走一次
[07:56] 然後聖誕村的副本
[07:57] 加一支就可以去單刷
[07:59] 所以非常好的一個
[08:01] 美好的記憶重新被拿起來
[08:03] 然後今天早上剛好
[08:04] 跟一個宅男朋友在討論
[08:05] 我們也是一起考股票
[08:06] 可是我們也是一起來考泥雞
[08:08] 然後就講到說
[08:09] 因為他現在把泥雞已經練到
[08:10] 其實我跟他說你應該要開一個實況
[08:12] 就是你比檯面上的那些
[08:14] 有在做節目的人都還要屌包幾倍
[08:16] 第一個是你敢花錢
[08:18] 他罵課金是無上限在課的
[08:20] 然後第二個是他其實把競技場
[08:22] 已經練到出神入化
[08:24] 這超屌 各種搭配
[08:25] 有時候你看到一些那種實況主分享說
[08:27] 他怎麼樣搭配
[08:28] 結果他可以再提出一個更好的見解
[08:30] 我說你應該要開這個
[08:31] 他說算了 開這個還要給人家罵
[08:34] 所以其實很多時候我發現說
[08:35] 我們身邊有滿多這種滿厲害的人
[08:37] 因為對我們來講就是像什麼
[08:39] 你去做個什麼遊戲頻道
[08:41] 或者你做個什麼旅遊美食頻道
[08:43] 太簡單了
[08:43] 因為那個就是日常
[08:44] 你每天都在吃這個
[08:45] 你每天都在玩
[08:46] 你每天打遊戲的時候
[08:47] 都可以無上限課金
[08:48] 所以只是你要不要去做而已
[08:50] 那因為他把遊戲玩到
[08:51] 非常的這個頂尖精銳
[08:53] 那花了一大堆時間
[08:55] 然後他就突然間講說
[08:56] 這個好像有點怎麼講
[08:57] 就感嘆說
[08:58] 他花太多時間在打遊戲了
[09:00] 可是我就突然間
[09:01] 我也不知道
[09:02] 我沒有想過這樣的東西
[09:03] 可是我就是反射性的
[09:04] 就回答他說
[09:05] 其實最後面發現
[09:06] 張嘉倫講的那一句話是對的
[09:08] 然後說其實人生就是不停在打發時間
[09:10] 他不知道原話怎麼樣
[09:12] 可是我大概隱約中
[09:13] 好像是在他們的討論區
[09:14] 有看到他有提過類似的東西
[09:16] 其實人生就在打發時間
[09:17] 打發時間的東西
[09:18] 重點是要找到好玩有趣有意義的
[09:20] 就算他可能當下看起來是
[09:22] 所謂的沒有生產力
[09:23] 可是他會留下一些回憶
[09:25] 就像我現在回去玩RO
[09:26] 我超感動
[09:27] 因為以前我們
[09:28] 那種怎麼講
[09:29] 無所事事的夏天的午後
[09:31] 你就坐在家裡在打RO
[09:33] 雖然那時候感覺是浪費時間
[09:35] 可是你其實也沒有別的事情可以做了
[09:37] 就除非說你今天是有別的事情做
[09:39] 然後你荒廢了那些事情去打電動
[09:41] 那當然不好
[09:42] 那可是如果說是空白的時間
[09:44] 去找一點這些
[09:45] 所謂的殺時間的事情來做
[09:47] 他最後面會留下一些回憶
[09:49] 你都會記得
[09:49] 你就會記得說
[09:50] 就像說像我們三十幾歲的
[09:52] 這段時間呢
[09:53] 我們都在玩泥雞
[09:54] 玩得很高興或什麼的
[09:55] 那如果說你不是打泥雞的話
[09:57] 老實講
[09:57] 如果你要回想這段時間
[09:59] 你可能想不到
[09:59] 我只記得那時候在搞股票
[10:01] 甚至你在搞哪一支股票
[10:02] 都不一定記得了
[10:03] 你只有一開始幾個代表
[10:04] 做人記得
[10:05] 後面你都不會記得
[10:05] 所以那段時間
[10:06] 可能就變成是空白之類的
[10:08] 那現在我就會知道說
[10:09] 這段時間
[10:09] 我可能跟我的好朋友
[10:10] 在打泥雞
[10:11] 那我回去玩
[10:12] 我就感受了一下
[10:13] 我以前不知道
[10:13] 就十幾歲的那種感覺
[10:15] 那同時呢
[10:16] 我也去陪小朋友
[10:19] 然後我們過了一個
[10:20] 非常好的春節的假期
[10:23] 就是所有東西都會串起來
[10:24] 所以就跟
[10:25] 有時候我去外面玩的時候
[10:26] 我習慣
[10:27] 那時候跟大家分享說
[10:28] 就是有些地方
[10:29] 我覺得它很值得紀念的時候
[10:30] 我就會去放一些音樂
[10:31] 然後讓它存在這個音樂裡面
[10:32] 你後來去放音樂
[10:33] 你就會想到那個地方
[10:34] 的一些回憶
[10:35] 那有時候很好笑的是
[10:37] 就是你不一定是有提早規劃
[10:39] 好
[10:39] 就像說像這次我假設要去存我的回憶的話
[10:42] 我可能本來會想一些
[10:43] 不知道那種比較chill的
[10:44] 比較放假
[10:45] 比較有那種南島風格音樂之類的
[10:49] 但這一次就意外的
[10:50] 反正最後面去儲存我們記憶的音樂
[10:52] 竟然是Bad Bunny
[10:53] 那個Motion of You
[10:54] 就是他唱Super Bowl開場的音樂
[10:59] 那雖然很多人覺得說
[11:01] 這個人唱歌不好聽
[11:02] 我只不知道他在衝殺小
[11:03] 或是說在現場看怎麼樣
[11:04] 就像去年大家講說
[11:06] Candle in the Mouth不好之類的
[11:07] 但這兩個人
[11:08] 其實我本來都沒有在追蹤
[11:09] 就是因為Super Bowl表演之後
[11:10] 反而變成是他們的Fans
[11:11] 我就覺得說
[11:12] 其實他們唱得很好
[11:13] 就我很喜歡
[11:14] 而且平常可能沒有在聽
[11:15] 這型別的音樂
[11:16] 然後因為這樣子
[11:17] 反而把它加入Playlist
[11:18] 就是很喜歡
[11:19] 那就變成
[11:20] 這首歌承載了我們的一些回憶
[11:21] 所以有時候也是很意外
[11:22] 就是你也不知道
[11:23] 到底會發生什麼事情
[11:24] 就像是我可能在
[11:25] 這一次的春節之前
[11:26] 我沒有想到說
[11:27] 哇這個春節竟然會是
[11:29] 有史牙我可能最喜歡的
[11:30] 一個春節假期
[11:33] 沒有想到說我竟然會認識了Bad Bunny
[11:36] 我之前根本就不知道他媽的Bad Bunny是誰
[11:38] 那再來就是我根本也沒有想到說我會回去玩R
[11:41] 我本來是玩什麼可能比較新的R
[11:43] 然後後來就覺得說比較新的R
[11:45] 我不知道那種同色味太重
[11:46] 所以又回去玩那種四轉服那種最古老的
[11:49] 那更沒有想到的是這一次就透過這個AI的幫忙
[11:53] 我玩的一些遊戲
[11:54] 要不然說像什麼自動喝水或是有的沒有的
[11:56] 你現在都可以直接Vive Coding把它搞出來
[11:58] 真的我覺得超好笑的
[11:59] 雖然記載上花很多時間
[12:01] 就是它並不是說什麼弄出來馬上就可以用
[12:03] 他只是願像說你有一個非常強的城市設計的朋友
[12:06] 那你要讓他搞清楚你的需求
[12:08] 你還要花一點時間
[12:09] 但是有辦法
[12:10] 因為以前是不可能什麼
[12:11] 你自己搞一個外掛出來
[12:13] 你現在竟然可以自己搞一個外掛
[12:15] 所以還是非常感謝這個時代的一切
[12:17] 讓我們可以去享受這麼豐碩的果實
[12:19] 因為我本來是屬於比較懶的
[12:21] 就嚴格上來說
[12:22] 只要可以用買的我一定用買的
[12:23] 我根本懶得去什麼自己那邊
[12:24] 媽的磕東西之類的有病
[12:26] 那只是像因為有些那種古老的遊戲
[12:28] 你根本找不到一些輔助程式
[12:30] 所以就知道就透過這個AI的協助
[12:32] 然後很意外的就解決了很多問題
[12:34] 很好笑就是我跟兒子在玩
[12:35] Switch2的寶可夢的遊戲的時候
[12:38] 因為我們去買一個像是精靈球的控制器可是我們不知道怎麼在就是Menu裡面去切換你的寶可夢因為它只有兩個按鍵可是奇怪了怎麼有時候可以進去有時候不能進去
[12:50] 好像是很隨機的
[12:51] 那邊亂按半天不知道
[12:52] 然後就隨便跟Gemini形容說
[12:54] 我現在有金鈴球的控制器
[12:55] 拍照給他看
[12:56] 我想要進去幫我換我的寶可夢
[12:58] 可是我不知道按哪個按鍵
[12:59] 因為它只有兩個按鍵
[13:00] 他就教我怎麼弄
[13:01] 然後我就解決了
[13:02] 所以我們真的是活在一個非常好的時代
[13:04] 我最近的感受是這樣
[13:06] 那大家跟大家分享自己的心得
[13:07] 那也希望大家在新的一年
[13:09] 順利平安工作賺大錢
[13:11] 當然最重要的一定還是健康
[13:13] 你的交友你的感情什麼
[13:14] 我覺得這是最最最需要去把它維持好的
[13:17] 因為這個時代老實講
[13:18] 其實賺錢好像真的不是一個特別難的事情
[13:21] 老大講這個不知道去膨脹或舒服什麼
[13:22] 你看一下全球的指數
[13:24] 你看一下過去你不要講說什麼
[13:26] 只有這段時間
[13:27] 就其實過去的幾年
[13:28] 老實講對大家來講是一個非常大的恩惠
[13:31] 所以可能是某個程度上
[13:32] 把大家在這個資產上面去推了一把之後
[13:35] 可以好好的往自己內心裡面去找到真正的快樂
[13:37] 我覺得這是蠻重要的事情
[13:39] 好那接下來我們進入今天節目的話題
[13:41] 那首先呢看了一下
[13:42] 就一樣我們都會在每次的廉價之後
[13:44] 去跟大家大概預先規劃一下
[13:46] 接下來可能盤會開在什麼地方
[13:47] 那這一次如果用最後的這個收盤時間來看的話
[13:51] 這個副臺值把它換成臺值期的話
[13:53] 基本上是大概在10點以內的一個價差
[13:56] 所以如果說在禮拜一的國際盤
[13:58] 就是說早上的NASDAQ
[14:00] 或者說日股韓股之類的
[14:01] 沒有什麼其他的變化的話
[14:03] 那差不多會開在一樣的地方
[14:05] 所以就是no change
[14:06] no significant change
[14:07] 那當然如果今天是看美股的話
[14:09] 就是不一樣的感受啦
[14:11] 其實老實講美股應該要減碼更多
[14:12] 心中的想法是這樣子
[14:13] 那只是因為我是把臺股減碼比較多
[14:15] 美股就稍微的調一點點
[14:16] 因為美股都是比較長期在持有表底的
[14:20] 那就比較可惜啦
[14:21] 因為美股真的不知道最近發生什麼事情
[14:23] 整個狀況是比較差一點
[14:24] 那所以簡單來講就是在新的一年呢
[14:26] 我覺得大家應該是用一個
[14:27] 就是放假前的態度去做面對就好了
[14:30] 你也不一定要立刻的去把所有的部位都靠回來
[14:33] 或什麼的
[14:33] 因為指數是差不多停在類似的地方
[14:36] 那只是當然有很多的資金
[14:38] 像我們知道說一些槓桿型的資金
[14:40] 那或是一些偏交易面的資金
[14:42] 他們很多在放假前會撤除
[14:44] 那以及呢兵種
[14:45] 也就是說去找那種
[14:46] 場外的金主墊錢的資金
[14:48] 這些呢都會在之後的一段時間去補部位
[14:51] 他們不一定會補很快
[14:52] 他們就是會補部位
[14:53] 所以之後的一段時間
[14:55] 就是如果國際盤沒有出什麼大事的話
[14:57] 我個人覺得說
[14:58] 臺股可能會有一兩個禮拜的那種
[15:00] 買盤一直進來
[15:01] 因為過去賣東西的人都會補回來
[15:03] 那當然如果國際盤出事情的話
[15:04] 那就是另外一個範疇了
[15:06] 所以其實市場都是動態的
[15:08] 隨時都有蠻多事情要去注意跟討論
[15:10] 最近在美股市場就
[15:12] 真的是發生了蠻多事情
[15:14] 我們就簡單跟大家討論一下
[15:15] 首先比較大的事情
[15:17] 我個人覺得第一個就是
[15:18] 對伊朗的戰爭可能要發生
[15:19] 因為反而在北約這邊
[15:22] 然後以及波蘭的領導人都有提到
[15:26] 反而就是希望大家可以儘快的去
[15:28] 把僑民給撤出來
[15:30] 還在裡面的要趕快散
[15:31] 因為你不散的話
[15:32] 你之後可能就沒有機會散了
[15:33] 所以當大家都給出這麼明顯的一個
[15:36] 這已經不能夠說暗示了
[15:38] 就民事就叫你趕快出來
[15:39] 那我覺得就是發生一些區域衝突的機遇
[15:42] 就會出來
[15:43] 那戰爭這種東西老實講很難說
[15:45] 以前我也覺得說
[15:46] 當大家已經知道說有戰爭發生的時候
[15:48] 可能就視為是以反應嘛
[15:50] 因為前面早就已經各種佈局啊
[15:53] 或是一些先知啊
[15:54] 那些國防部的高官什麼
[15:55] 他們早就知道了嘛
[15:56] 所以大家都會先有去做動作
[15:58] 可是最後面在那個2022的烏鷗戰爭之後
[16:00] 發現好像不是這樣的一回事
[16:02] 就市場真的沒有所謂的絕對
[16:04] 一定是怎麼樣
[16:05] 沒有這種事情
[16:05] 有時候會反應
[16:06] 有時候不會反應
[16:07] 有時候是延遲反應
[16:08] 有時候是提早反應
[16:10] 有時候是過度反應
[16:11] 有時候是反應太少
[16:12] 後面要補貼什麼
[16:12] 都是有機會的
[16:13] 那像2022的烏魯戰爭
[16:15] 那時候大家也覺得說
[16:16] 反正那就是一個區域戰爭
[16:17] 其實你現在看
[16:18] 那就真的就只是一個區域戰爭
[16:20] 你看指數全部都跑到新考區
[16:21] 可是那時候就跌一年
[16:22] 那當然那個跌一年
[16:24] 會是因為是烏魯戰爭
[16:25] 還是其他理由
[16:26] 那個到現在都沒有一個真正的結論
[16:28] 有些人說是供應鏈的去化
[16:29] 像我自己就會傾向是認為是供應鏈的一個去化
[16:32] 但有些人就覺得說
[16:33] 那其實是戰爭造成的一系列的影響
[16:35] 所以因素的道理就是
[16:36] 我現在也不會用一些
[16:38] 比較那種輕率的態度講說
[16:39] 這個戰爭不就大家都知道
[16:41] 伊朗那個不就是一個世界上某個角落
[16:43] 所以不一定會有事情
[16:44] 不一定
[16:44] 我覺得就是有可能還是會有事情
[16:46] 所以自己會稍微的警覺一點
[16:49] 具體上要怎麼樣去做
[16:50] 我自己是不習慣去把所謂的標的賣掉
[16:52] 或是大解碼或什麼的
[16:53] 我只能夠說就是
[16:54] 假設我要買東西
[16:58] 那我可能會稍微賣多一點
[16:59] 類似這樣
[16:59] 所以它是一個比較細微的調整
[17:01] 應該說就是讓自己的心理去調整到
[17:03] 你知道說
[17:05] 如果後面發生事情的話
[17:06] 你不會有恐慌要產生
[17:07] 你不會突然間恐慌到
[17:08] 想要把東西都賣光
[17:09] 或是如果後來突然間突破
[17:11] 你也不會想要去FOMO
[17:12] 馬上把東西追回來
[17:13] 因為你知道
[17:14] 這些事情可能會發生
[17:15] 這個對我來講可能是比較重要
[17:16] 就是說你要去有這個Awareness
[17:18] 這個可能是
[17:19] 我自己會想要聚焦的東西
[17:21] 那持續關注
[17:22] 後面伊朗的一個狀態
[17:24] 然後再來就是美國的
[17:25] 關稅相關的話題
[17:27] 那是今天可能佔據最多新聞版面的
[17:29] 就是用IEPH課關稅
[17:31] 這個是被最高法院給否決掉了
[17:33] 那實際上我也覺得這件事情
[17:35] 它不能夠算是一個
[17:37] 所謂的很大的新聞
[17:38] 也就是其他算是可以預期的事情
[17:40] 那只是當然
[17:41] 它還是會在報道雜誌上面
[17:42] 獲得很大的一個篇幅
[17:43] 那昨天我們看了一下
[17:45] 市場的一個反應
[17:46] 它是把它當成是利多解釋
[17:49] 就能看到東西有在上
[17:50] 但其實我自己
[17:51] 然後跟身邊的一些朋友討論之後
[17:53] 我們自己比較偏向
[17:54] 這算是一個利空
[17:55] 那當然我們不會講說什麼
[17:57] 這就代表說是我們看錯
[17:58] 或是什麼市場已經證明怎麼樣
[18:00] 因為很多時候
[18:00] 大家去拿一天或是兩天的
[18:02] 市場的反應去講故事
[18:04] 就是高几率都會被打臉
[18:05] 有時候是這樣
[18:06] 先反彈彈一下
[18:07] 然後之後他媽繼續吊殺之類
[18:08] 那我們當然也不知道
[18:09] 去做一個預言家
[18:10] 去猜說市場一定會怎麼樣走
[18:12] 是不是重點
[18:13] 重點就像前面講
[18:14] 我們知道做了相關的準備
[18:15] 各種部位的調節
[18:17] 你是要買快一點買慢一點
[18:19] 這個都可以當成是一種輔助
[18:20] 那其實像我自己會認為說
[18:22] 這次的事件算是一個
[18:23] 把不確定性又點更高的一個
[18:26] 就是所謂的對市場
[18:27] 其實是比較偏neutral到負面的東西
[18:30] 而不是偏positive的東西
[18:31] 因為現在外面有些討論
[18:33] 我覺得想太多
[18:34] 不然說什麼
[18:34] 川普要怎麼樣去退這個關稅的費用
[18:37] 大家可以怎麼樣去提告美國政府
[18:39] 或者說甚至有一些聽眾
[18:42] 在我的Telegram就tag我
[18:43] 然後問說
[18:43] 這個企業要怎麼樣去
[18:45] 把這個關稅重新的認回來
[18:46] 我自己是覺得
[18:47] 大概有98到99%的一個信心指數
[18:50] 是這關稅是絕對不會退的
[18:52] 那剩下的一兩趴
[18:54] 是搞不好一些個案
[18:54] 有機會發生
[18:55] 可是我覺得整體來說
[18:56] 他不可能去退你關稅
[18:58] 這個關稅
[18:58] 如果他家退下去的話
[18:59] 首先第一個
[19:00] 他要不要選舉
[19:01] 後面不用選了
[19:01] 你搞一出大戲
[19:03] 搞到整個這樣
[19:04] 人仰馬翻
[19:05] 然後大家
[19:05] 不然說什麼
[19:06] 高層的一些官員
[19:07] 或是一些那種
[19:08] 比較中低階的
[19:09] 第一線的員工
[19:10] 每個人在那邊
[19:11] 研究你的關稅
[19:12] 弄個半死
[19:13] 然後你跟大家說
[19:13] 不好意思啦
[19:14] 失誤啦
[19:15] 從頭來
[19:15] 我覺得這個機率是極低
