[00:00] 欢迎收听谷外,我是圣梦宫,本集节目由植村秀赞助
[01:50] 那同时是充满杀气的一种
[01:52] 很奇怪
[01:52] 你学佛斗不是应该要温文儒雅吗
[01:54] 不是应该我佛慈悲吗
[01:56] 但是他的各种策略搞笑
[01:58] 我觉得说这个人真的是一个非常狠的人
[02:00] 但是他对于佛法的研究
[02:02] 有一次非常的深入
[02:03] 那就跟我提到说
[02:05] 这个就是禅修的一种
[02:06] 我说有听众跟我讲说内观
[02:07] 他说其实就是差不多的东西
[02:09] 反正总之就是你自己去把生活放慢走
[02:11] 你才可以真正的感受到
[02:12] 这个世界的一些美好
[02:14] 你才会找到你内心的一种平静
[02:16] 那对我来说
[02:16] 我当然是不知道什么叫内观
[02:17] 什么叫残休
[02:18] 但我是意外的发现
[02:20] 就是在开吸管的时候
[02:21] 就想到说奇怪了
[02:22] 为什么我对生活中
[02:24] 这些东西好像没有什么记忆
[02:25] 就像之前有跟大家分享过
[02:26] 有时候在洗澡的时候
[02:27] 才会觉得说
[02:28] 怎么又在洗澡了
[02:29] 我怎么感觉好像每天都在洗澡
[02:31] 那当然你听这个会觉得像屁话
[02:33] 但是如果说知道我在讲什么
[02:34] 应该可以感受到
[02:35] 我要去表达的那种感受
[02:36] 就是我怎么一整天又结束
[02:38] 我又在洗澡
[02:38] 好像我每天我醒来的时候
[02:40] 就是在洗澡的时候
[02:40] 怎么一整天都这样忙忙碌碌
[02:42] 庸庸碌碌的
[02:42] 你也不知道到底发生什么事情
[02:44] 然后当然可能生活都还是有往前走
[02:47] 小朋友都有持續的長大
[02:49] 但你好像沒有什麼記憶點
[02:50] 那最後就是有開始去意味到說
[02:52] 可能是因為我在生活中去做一些事情
[02:54] 我都把它太視為是反射動作
[02:56] 或者是我其實是很習慣多工的
[02:58] 我也是做很多事情
[03:00] 然後導致就我對大多數的事情
[03:02] 都沒有什麼記憶點
[03:02] 所以現在就試著讓自己的生活
[03:05] 講難聽一點就是把它稱為是儀式感
[03:07] 其實儀式感也不是什麼難聽的東西
[03:08] 但是因為我覺得很多白痴
[03:09] 都整天在那邊儀式感儀式感
[03:10] 所以把這個字變得很笨
[03:12] 但就是真的是有人
[03:13] 類似那種儀式感的感覺
[03:14] 就是你每天早上
[03:15] 你知道這個時間就是要去買一杯咖啡
[03:17] 那这个咖啡呢
[03:18] 你就慢慢的去喝它
[03:19] 不要像之前
[03:20] 因为我之前的做法
[03:20] 是有点类似说
[03:21] 老子是来喝咖啡的
[03:22] 我就是补充咖啡因
[03:23] 补充完丢掉
[03:24] 我喝水
[03:25] 我就来补水了
[03:26] 咕咕咕掉
[03:27] 就是说我的那个
[03:27] 目的性的导向
[03:28] 是非常的明确
[03:29] 那所以导致呢
[03:30] 我吃东西就是
[03:31] 反正我就在补充
[03:32] 蛋白质淀粉或什么的
[03:33] 那也没有想太多
[03:35] 也没有真的去享受
[03:36] 每一刻
[03:37] 那同时自己也会认为说
[03:38] 好像过于的去享受
[03:39] 每一刻
[03:40] 那是粉红娘炮是不是
[03:41] 撒小
[03:41] 吃东西就吃东西
[03:42] 在那边
[03:43] 这是什么味道
[03:44] 像看人家喝红酒
[03:45] 我自己算一下
[03:46] 有录红酒的可能
[03:46] 只是我每次听到那种
[03:48] 对啊就那种过于装逼的
[03:49] 你真的会喝的
[03:50] 我看得出来
[03:50] 那种不会喝的
[03:51] 然后硬要说
[03:52] 这什么味道的
[03:52] 就很想
[03:53] 你知道好像给他走急
[03:54] 你知道我叫我老婆
[03:55] 你知道他看我
[03:56] 他都会觉得说
[03:57] 我现在有时候
[03:58] 会把那个红酒
[03:58] 倒出来的时候
[03:59] 然后在那边
[03:59] 家伙会看他说
[04:00] 这什么味道
[04:01] 然后我直接在那边闻
[04:01] 然后会试着去
[04:02] 猜说什么味道
[04:03] 他说如果他是
[04:04] 在第一次约会的时候
[04:05] 看到我做这种事情
[04:06] 他就直接走出去
[04:06] 就是我们就没有后续
[04:08] 我们就没有像他的婚姻
[04:10] 然后跟小孩或什么
[04:10] 所以其实我跟他的感受是很像
[04:12] 就是我们不太喜欢装逼
[04:13] 那也不喜欢装逼的人
[04:15] 可是我们还是要去借用一点
[04:17] 这种装逼仔
[04:18] 他们日常会做的一些事情
[04:19] 就是所谓的仪式感
[04:21] 把自己整理好
[04:22] 然后去感受一下
[04:23] 就说那是一个光谱的问题
[04:24] 你不要走到太极端
[04:25] 你就稍微的一点点
[04:27] 所以你平常喝咖啡
[04:28] 你是没有感觉的
[04:29] 因为对你来说是一个反射动作
[04:30] 你在那边有祭杯
[04:32] 你去拿咖啡之后
[04:33] 确定是冰的
[04:34] 没有错
[04:34] 吸管吐一吐
[04:35] 插进去
[04:36] 然后可能
[04:36] 30秒内把它shut掉
[04:38] 结束
[04:38] 开始去上班
[04:39] 那现在就把它变成是
[04:40] 我拿到这个咖啡的时候
[04:42] 我还感受一下
[04:43] 咖啡的那个风
[04:43] 我会热热的
[04:44] 它刚封完
[04:45] 那是热热的
[04:46] 那不知怎么摸到热热的
[04:47] 就觉得说蛮爽
[04:47] 就每天都要去故意摸一下
[04:49] 这个刚封完的咖啡杯
[04:51] 热热的
[04:52] 然后接着呢
[04:53] 把吸管插进去
[04:54] 尽量插准一点
[04:55] 把吸管认真地把它打开
[04:56] 或什么的
[04:57] 那就会注意到说
[04:58] 一整天的事情
[04:59] 我比较有印象
[05:00] 我比较记得说
[05:01] 早上我喝了一杯
[05:02] 蛮不错的咖啡
[05:03] 接着呢
[05:04] 后来发生什么事情
[05:05] 我会记得
[05:06] 因为我每件事情
[05:07] 我都比较认真的去处理
[05:08] 那当然讲这个呢
[05:09] 有时候我觉得
[05:10] 那是一个阶段性的问题
[05:12] 就是如果今天
[05:13] 是在我人生
[05:13] 最充斥的那个阶段
[05:15] 但我认为我现在
[05:15] 都还在充斥起
[05:16] 只是相对没有这么充斥
[05:17] 我一定会觉得说
[05:19] 这个就是某种那种
[05:20] 附庸风雅
[05:21] 你就是已经有赚到一点钱
[05:22] 你就是生活已经
[05:23] 有一点清闲了
[05:25] 你才有空去想这件事情
[05:26] 没有错
[05:27] 但是我自己同时也认为说
[05:28] 不一定是这样子的
[05:29] 就是你之前可能非常的忙碌
[05:32] 非常的充的时候
[05:33] 你不一定那样子做
[05:35] 是更好的一件事情
[05:36] 你感觉你是在做一个
[05:37] 很有效率的事情
[05:38] 你感觉每件事情是实用主义
[05:40] 效率滞胀
[05:41] 可是你做出来的效果
[05:43] 不一定是好的
[05:43] 甚至是觉得说
[05:44] 在交易这个范畴来讲的话
[05:46] 对你感觉你的交易量
[05:47] 打得很大很充实
[05:49] 交易量好像代表说你的工作量
[05:50] 但是你的报酬率是很好笑的
[05:52] 就是你是用很大笔的交易量
[05:54] 然后换来很小的报酬率
[05:55] 你又不是在做量化的
[05:57] 所以这就很奇怪
[05:57] 不如就把自己的节奏放慢一点
[06:00] 去忍受一点生活中
[06:01] 可能对以前的自己来讲是不方便
[06:04] 或者说有些让你很挫折的事情
[06:06] 就像说排在你前面的人
[06:08] 我最讨厌在7-11遇到这种
[06:09] 排在前面
[06:10] 那什么
[06:11] 那里面有加什么
[06:13] 然后接着在那边翻零钱的
[06:15] 因为我自己本身去排队
[06:16] 我一定先把钱拿好
[06:18] 然后才过去
[06:18] 不管我的支付的方式
[06:20] 我一定会先拿好
[06:20] 我不会在那边才在那边挑钱
[06:22] 所以我每次有看到这种
[06:23] 我其实活着会上来
[06:24] 就如果說什麼國定殺戮日的話
[06:26] 我一定第一個處理這一種
[06:27] 但當然這個社會家是很平和
[06:28] 我們隨便亂講
[06:29] 反正總之就是
[06:30] 以前你對這種人會非常的生氣
[06:33] 你會不知道他們在幹嘛或什麼的
[06:34] 然後現在當你慢慢去感受
[06:36] 生命中的一些小事情之後
[06:38] 就像說你前面再一次遇到
[06:40] 這種很奇怪的人
[06:41] 很奇怪的大媽在那邊慢慢來
[06:43] 或者說在那邊當奧客
[06:44] 在那邊欺負人
[06:45] 可是你就會試著說
[06:46] 你就去忽略他
[06:47] 去觀察一下今天外面的太陽
[06:49] 今天的風是怎麼樣
[06:50] 或即便今天可能天氣不好是下雨
[06:52] 雨滴到你的腳上
[06:54] 涼涼的
[06:54] 那个感受是什么
[06:55] 反正就是去专注在
[06:56] 生活中的一些感受
[06:57] 那同时这个东西呢
[06:59] 我觉得它很意外的
[06:59] 去帮助我的下背强好
[07:01] 因为我
[07:01] 我觉得最近最大的一个恩人
[07:03] 就是我找到了一个
[07:04] 非常强大的技能性教练
[07:06] 技能性训练教练
[07:07] 那他其实帮我身体
[07:08] 调整的蛮不错
[07:09] 那因为这样子
[07:10] 就是说他把身体的
[07:10] 很多东西都调好
[07:11] 所以导致
[07:12] 因为以前可能身体的问题太多
[07:14] 想说我懒得去解决了
[07:15] 反正就是这样嘛
[07:16] 年纪到了
[07:17] 你就是一定会酸一定会痛
[07:18] 最后才发现说
[07:18] 没有年纪到不一定会酸
[07:24] 或是深蹲去把它改善
[07:26] 可是後來才知道說
[07:27] 因為下背的痛有非常多種
[07:28] 有些可能是肌力不足的痛
[07:30] 有些可能是因為你的姿勢
[07:31] 長期維持在不好的狀態的痛
[07:33] 或什麼的
[07:33] 後來我自己發現說
[07:35] 我這一次的下背痛
[07:36] 其實最主要的原因是因為
[07:38] 我坐得太挺
[07:39] 這個聽起來可能超奇怪
[07:40] 就是你坐椅子上
[07:41] 你不是理論上就要坐挺
[07:42] 但是因為我會很習慣性的
[07:44] 如果大家是坐椅子的話
[07:45] 你就試著
[07:46] 反正你的整個腰是挺起來
[07:48] 胸是挺起來
[07:48] 感覺是很舒服的狀態
[07:50] 但是可是你的下背
[07:52] 其實是過度的用力了
[07:53] 所以你坐在椅子上的時候
[07:54] 你的下背其實是在一個緊繃的狀態
[07:57] 我是怎麼樣發現這件事情
[07:59] 就是自己去慢慢的觀察生活中的一切
[08:01] 因為以前都不會觀察
[08:03] 反正就是坐下來工作完
[08:05] 去吃飯吃完可能帶小孩睡覺
[08:07] 就是你對生活中的細節沒有去注意
[08:09] 然後下就會注意到說OK
[08:10] 所以原來是因為我坐下的時候
[08:12] 我的下背肌肉是緊繃的
[08:13] 我會試看看
[08:15] 包含說物理治療師有教我這個
[08:16] 就是你就深呼吸
[08:17] 然後他說其實蠻多人都以為自己會呼吸
[08:19] 但你不會呼吸
[08:20] 你深呼吸之後
[08:21] 那你的气不只要进去你的腹腔
[08:23] 你要试着去引导到你的后背
[08:26] 就是你的那个下背
[08:27] 让那个气也是鼓到你的下背去
[08:29] 那这样的下背就会形成一种支撑
[08:31] 那它可能就不会是以
[08:32] 非常收缩的一个角度
[08:34] 在支撑你的身体
[08:35] 它是放松的
[08:36] 但是你的身体是很平衡的
[08:37] 在支撑的
[08:38] 那光是把这一点给瞧好
[08:40] 然后搭配物理治疗师
[08:41] 跟技能训练师的一个调整
[08:43] 最近这个下背呢
[08:44] 就只剩下起床的时候
[08:46] 还会有一点不舒服
[08:47] 可是一整天都好了
[08:48] 那所以我觉得蛮多东西
[08:50] 是环环相扣的
[08:51] 就是可能前面只是在讲一个
[08:53] 像美加讲说
[08:54] 是什么内观或是禅修的东西
[08:55] 比较偏向心灵的
[08:56] 可是你没有想到
[08:57] 你把这个心灵的东西
[08:58] 用在你的生活之中
[08:59] 它其实改善的
[09:00] 不只是说心灵
[09:02] 或者说你对外界的一个感受跟感知
[09:04] 同时对你物理上的
[09:06] 也就是你的一些肌肉的控制
[09:07] 或什么的
[09:08] 也是有一定程度的帮助
[09:10] 那这些东西
[09:11] 我还是得说
[09:11] 就如果是在早先的阶段
[09:13] 我一定也听不进去
[09:14] 我就觉得说
[09:15] 他妈谁有空去屌这种事情
[09:16] 但没有办法
[09:18] 那就类似说很多年轻人
[09:19] 你看他在做一些奇怪的事情的时候
[09:21] 你知道你现在跟他讲是没有用的
[09:23] 因为他就是不会想听长辈
[09:25] 你老人赶快进棺材
[09:27] 他不会想听你讲话
[09:28] 所以你只能够在旁边微笑着
[09:30] 然后看着他受伤
[09:32] 看着他烙晒
[09:33] 他一定就类似说
[09:33] 我们家里有两个小男婴
[09:35] 小男婴他就一定会想从高处跳下来
[09:38] 你要做的只是
[09:39] 不要让他从可能不知道
[09:40] 二十楼跳下来
[09:41] 他从沙发上跳下来
[09:42] 他不小心摔断手或什么的
[09:44] 那个可能都是
[09:45] 有时候就是说
[09:46] 他是一个必要发生的事情
[09:47] 他就是要痛过
[09:48] 他就知道说下次不可以这样子
[09:49] 所以一样的道理就是
[09:50] 如果你当然是非常有悟性的人
[09:52] 你在像我这样跟你讲完之后
[09:53] 你就立刻的放下你的生活步调
[09:56] 你就立刻的去感受你生命中的一切
[09:58] 那你是非常幸运的人
[10:00] 可是绝大多数人可能想说
[10:01] 妈的干 赶快跳到市场话题
[10:02] 你不要讲屁话
[10:03] 那我只能够说
[10:04] 这就是一个缘分
[10:05] 如果你可以听懂前面这段的话
[10:07] 其实它是比后面那段更重要的东西
[10:09] 因为有时候我会注意到
[10:10] 像我节目在讲的那些东西
[10:11] 我觉得重点是在某些地方
[10:13] 可是我发现很多人
[10:15] 其实他注意到重点是不一样
[10:16] 但是不怪他
[10:17] 我也不会想去引导大家说
[10:18] 我上一集讲的那个才是重点
[10:20] 不会
[10:20] 我就会知道说
[10:21] 因为阶段不一样
[10:21] 所以你看到的东西不一样
[10:23] 但我会非常高兴
[10:24] 就是我讲的一些小细节
[10:25] 然后被一些听众抓到
[10:27] 他知道那个是重点
[10:28] 那我就会知道说
[10:29] OK我们是同一类的人
[10:30] 我们可能目前走在一个
[10:32] 差不多的位阶
[10:33] 所以我们才可以了解彼此来说什么
[10:35] 那别人会听不懂
[10:36] 别人只想听到说
[10:37] 你赶快给我四个数字
[10:38] 或什么的
[10:38] 但他不知道是
[10:39] 我如果只给你四个数字的话
[10:41] 就算我下准
[10:42] 那你之后有一天也会受伤
[10:44] 然后你还是会讨厌我
[10:44] 所以重点不是给你四个数字
[10:46] 而是就是到底怎么样去解决
[10:48] 一些方法论上的事情
[10:50] 就是我怎么样让
[10:51] 当今天可能没有人去引导你的时候
[10:53] 你自己也可以把这个事情做好
[10:54] 这是最重要
[10:55] 所以这就是那一句老梗
[10:56] 反正你教一个人
[10:58] 什么钓鱼
[10:59] 还是怎么讲
[11:00] 反正总之就是说
[11:01] 你要教他钓鱼
[11:02] 你不要只给他鱼
[11:03] 你只给他鱼的话
[11:03] 有一天你不给他鱼
[11:04] 他一样饿死
[11:05] 就差不多这样的一个感受
[11:06] 对
[11:07] 我跟我的天传法师
[11:09] 聊到这件事情的时候
[11:10] 他讲说
[11:11] 你是有去翻一些典籍吗
[11:13] 你怎么会突然注意到这个
[11:14] 然后我就说没有
[11:15] 就是不知道就突然有一天覺得說
[11:17] 好像應該去外面走一走
[11:18] 他說我忘記他用了詞什麼
[11:20] 但反正就是那是某一種那種召喚的感覺
[11:22] 就是有時候時間到的時候
[11:23] 你就開始注意到一些東西
[11:25] 對那確實是我在跟大家分享完這個什麼吸管小細節
[11:27] 當然很多人整天傳那個
[11:29] Instagram Tag我說他們吸管差得準不準
[11:31] 那個當然蠻好笑
[11:32] 但確實有很多聽眾他們有注意到這一part
[11:34] 然後就有提到說
[11:36] 恭喜孟公你現在也開始進入
[11:37] 如何去找尋讓生命更加快樂跟充實的這個階段
[11:41] 我覺得說那我們可能真的是在
[11:43] 同一頁上這個感受是非常特別的
[11:45] 在這邊稍微跟大家分享一下
[11:46] 好接下來我們來進入市場的話題
[11:48] 那最近的市場還是非常的瘋狂
[11:51] 就已經瘋狂到老實講不知道該說什麼
[11:53] 那像自己手上的持股
[11:55] 我看了一下昨天的新聞通知
[11:58] 就是又要再持續的關
[11:59] 所以我大概有目前可能90%的資金
[12:02] 是在儲置股裡面
[12:03] 而且有很多是在20分鐘儲置股裡面
[12:05] 這代表什麼意思
[12:06] 代表說不知道就今天假設真的崩盤
[12:08] 或是我想要去追
[12:10] 崩盤的時候完全跑不掉肯定的
[12:12] 那想要追的话你也买不到筹码
[12:13] 因为你去看他挂单
[12:14] 就剩下那种零零三三几张而已
[12:16] 所以已经进入一个
[12:17] 就真的是没事做的阶段
[12:19] 那最近我也跟自己的营业员
[12:21] 小抱怨一下了
[12:22] 因为目前大家都知道说
[12:23] 券商他们去收容
[12:24] 不先用途借款嘛
[12:25] 那像我之前的一个套路就是
[12:27] 反正我看对就一直加码
[12:28] 那怎么样加码呢
[12:29] 因为钱是有限的嘛
[12:30] 所以我就是买满之后
[12:31] 我可能就只要我的部位
[12:32] 然后接着我就带出一部分的钱再买
[12:34] 那如果说再继续涨的话
[12:36] 那因为你就会去回冲你的维持率嘛
[12:38] 數字就變大了
[12:39] 你可以再借更多錢再去壓這樣
[12:40] 所以就會在
[12:41] 假設你是一個看對的波段之中
[12:43] 你的部位會越來越大
[12:44] 只是我的部位已經是鎖在原地
[12:46] 大概快要一個月左右了
[12:47] 因為券商不放額度給我
[12:49] 所以有時候也覺得有點可惜
[12:50] 就是如果這一波
[12:51] 沒有遇到這種額度控管的話
[12:53] 那可以打出一個極度暴力的成績
[12:56] 這個也是不知道
[12:57] 我可能在年初是不敢想的事情
[13:00] 但現在也不會去覺得很難受
[13:02] 也不會說想要再去找更多管道搬錢
[13:05] 反正就認為
[13:05] 这个是老天去帮我们做一个风控
[13:08] 那搞不好后面会出现一个超大的回档
[13:10] 如果你一路买的话
[13:11] 最后面那个回档
[13:12] 可能就会一次让你吐掉蛮多的
[13:13] 虽然你搞不好会赚更多
[13:15] 但总之就是不会再去计较说
[13:17] 应该要再搬更多钱出来
[13:19] 反正发生的事情就是这样
[13:21] 那我们就是好好的把这一段给做好就好
[13:24] 那最近市场中开始出现一些有趣的变化
[13:26] 那当然被动元件还是非常的强势
[13:28] 大家去看日本的被动元件
[13:30] 是已经全部都做坏掉了
[13:31] 那最近一些公司又有出来去开法说
[13:35] 不然說一些比較小的廠次
[13:36] 當然尤其是股東會
[13:38] 小廠次我們就不去點出是哪一些公司
[13:40] 但大概跟大家講一下現狀
[13:42] 反正總之就是大家認為說
[13:43] 這一波就是一個由需求driven的漲價其實在一兩個月前你去聽這些公司講他們還是認為是成本driven的一個漲價就是他們其實是不太看好說
[13:53] 進入到第三季之後還會持續的漲價
[13:56] 但你現在已經可以有感的發現
[13:57] 這些公司都在改口
[13:58] 所以有時候市場派會走在公司派的前面
[14:00] 就是這樣
[14:01] 因為公司派他們會比較保守一點
[14:03] 但他們在樂觀的時候
[14:04] 又會比大家都還要來樂觀
[14:06] 因為他們就是看眼前的訂單
[14:07] 可是為什麼市場派有時候會走在比較前面
[14:09] 因為市場派可能認識的是假方
[14:11] 也就是說下單的人
[14:12] 那被下單的人自己都還不知道
[14:14] 他自己都還不知道自己有過認證
[14:16] 那人家是甲方的他知道
[14:18] 所以他會提早就告訴你說
[14:20] 你這邊其實很好
[14:21] 然後可是乙方的就會講說
[14:22] 沒有啊我就還沒有接到訂單什麼的
[14:24] 然後真的接到訂單之後就會發現說
[14:26] 原來這一波超級大的
[14:28] 然後他們會從一開始拒絕相信
[14:30] 不敢相信
[14:31] 甚至有些人還會去把自己手上的持股賣掉
[14:33] 你也都會注意到那種公司派在起商店把持股賣掉
[14:36] 因為他們自己不相信
[14:37] 他們沒有看過這種事情
[14:38] 所以趕快丟
[14:39] 所以你會注意到台灣其實有蠻多公司派
[14:41] 他們的持股很低
[14:43] 就真的是隨時人家要來
[14:44] takeover你的公司都可以辦到
[14:45] 那就是因為長期
[14:47] 我覺得就是沒有把自己的公司
[14:49] 想要去往一個可能很長線的方向去經營
[14:51] 就覺得說OK
[14:52] 我就是做一波一波行情這樣子
[14:54] 那沒有想到這一波AI帶出來的行情
[14:55] 是超級大一段的
[14:57] 所以有很多人其實在初期
[14:59] 就把自己的部位都拋掉
[15:00] 甚至公司派內部人
[15:02] 你就覺得說這些人真的是有夠可惜的
[15:04] 反正總之就是大家開始有注意到這件事情
[15:06] 那除了MLCC
[15:08] 還是市場中的一個討論核心之外
[15:10] 大家也可以注意到鋁電容這邊出事情
[15:12] 不然說像我們跟大家聊到的
[15:14] 不管是這種疊層式的像是SP-CAP
[15:16] 或者是像是OS-CON
[15:18] 或者是像是這種牛角電容
[15:21] 也就是目前我們在江海這邊
[15:22] 有收到一份Memo是提到說
[15:24] 它的全球缺口大概是高達20幾%左右
[15:26] 就是說所有人的產能加起來都是不夠的
[15:29] 所以這邊應該在後面都會持續的發酵
[15:31] 持續的漲價
[15:32] 就簡單的跟大家提一下
[15:33] 當然在市場上最近最火紅
[15:36] 或說大家有嚇到的就是一些老AI的腹皮
[15:39] 其实不只是一些老AI重新的站起来
[15:42] 那不然像是软体股
[15:43] 也出现了全面性的大爆色
[15:45] 那最近我们也注意到
[15:46] 像是Dario Samody
[15:48] 也就是Enthropy的老板
[15:49] 然后跟Sam Altman
[15:50] 也就是OpenAI的老板
[15:52] 他们都开始不约而同的
[15:53] 我觉得Dario
[15:55] 他想要去转他的论述
[15:56] 但他又可能不想要打脸过去的自己
[15:58] 所以不敢转的太凶猛
[16:00] 反正总之就是
[16:01] 我认为黄文勋一直都是对的
[16:03] 也是我们过去的节目
[16:04] 一直跟大家强调
[16:04] 就是我们站在黄文勋这一块
[16:06] AI是来帮大家改善工作效率
[16:08] 我们之后会有更多的Hiring出现
[16:10] 而不是AI要去取代很多人
[16:12] 不是那些末日论者所说的
[16:14] 那为什么这些老板
[16:15] 他们要一直末日论者呢
[16:16] 因为他们要去行销
[16:17] 自己的产品有多厉害
[16:18] 那只是现在这些东西
[16:20] 开始有一些Backfire
[16:21] 我觉得最主要原因是因为
[16:22] 它不只是在科技圈里面的一个讨论
[16:24] 它会进入到实体政治圈的一些讨论
[16:27] 就是你们这些老板
[16:28] 你们整天在恐吓大家说
[16:29] 我的工具多强
[16:30] 害多少人失业
[16:31] 那我是政治人物
[16:32] 我的选民也会跟我靠腰
[16:33] 你看他们现在
[16:34] 一些那种什么Google的高层
[16:36] 前高层什么的
[16:37] 跑去大学毕业演讲
[16:38] 那不是讲到AI
[16:39] 就被大家布到爆吗
[16:40] 大家狂虚他
[16:41] 为什么
[16:42] 因为妈
[16:42] 你们整天都在讲说
[16:43] AI要杀爆我们
[16:44] 那我们当然要烦你的AI
[16:45] 对年轻人来讲
[16:46] 我看不到未来嘛
[16:47] 妈的
[16:48] 你家那种股票那边狂喷狂涨
[16:50] 那个也不干我的事情啊
[16:51] 我都还没有资本
[16:52] 我也没有capital
[16:52] 然后我家呢
[16:53] 也不一定有留东西给我
[16:54] 那你跟我讲说
[16:55] 我他妈一出来
[16:55] 又要被你AI杀到爆掉
[16:56] 就是你这个东西
[16:57] 是很难去凝聚
[16:58] 大家的共识的啦
[16:59] 那所以一些政治人物
[17:01] 我相信也会给这些
[17:01] 共識壓力
[17:02] 就是你不要整天在那邊
[17:03] 講一堆急白話
[17:04] 你講這種話
[17:05] OK那我們就來監管你
[17:06] 既然你的東西會害死大家
[17:08] 那我為什麼不要監管你
[17:09] 我為什麼不要去放
[17:10] 更多restriction在你身上
[17:11] 所以他們一方面
[17:12] 為了行銷自己
[17:13] 把自己的東西講得
[17:14] 像這種terminator
[17:14] 超恐怖的
[17:15] 可是一方面
[17:16] 當他推過頭的時候
[17:17] 他就開始會被修理
[17:18] 他就會被輿論攻擊
[17:19] 他就會被政治人物
[17:20] 要去放限制
[17:21] 所以他們注意到
[17:21] 不能夠這樣子
[17:22] 就開始去做一些搜索
[17:24] 那當然我覺得
[17:24] 最核心的理由
[17:26] 當然不是因為說什麼
[17:27] Dario或是說Sam
[17:29] 他們的一個論述的改變
[17:31] 軟體股上去
[17:32] 我覺得最後面都還是靠成績去做證明
[17:34] 那不然說像一些公司派的強硬態度
[17:36] 你有注意到說像Salesforce
[17:38] 他搞了一個
[17:39] 真是像Racker High的一個Buy Back
[17:41] 他就狂買股票
[17:42] 你們覺得我公司很爛是不是
[17:43] 老是狂買
[17:44] 我就用行動證明給你看
[17:45] 我狂賣我自己的股票
[17:47] 那再來我們也注意到
[17:48] 像是ServiceNow的老闆
[17:49] 也是跟大家講說
[17:50] 就是外面的那些AI論述
[17:52] 就是全部都是講錯的
[17:53] 其實他的公司是在一個
[17:54] 非常大的順風上面
[17:56] 然後也是靠成績慢慢去證明
[17:57] 那最近像是什麼Octa
[17:59] 或是Snowflake
[18:00] 都是開出極好的成績
[18:02] 那就告訴大家說
[18:03] 其實AI是幫這些軟體去做加分
[18:05] 它不是一個扣分項
[18:06] 當然一定會有人去舉出說
[18:08] 有哪一些軟體
[18:09] 它可能至今是摔到爛掉的
[18:11] 可是那個道理我們講過
[18:12] 它跟硬體一樣
[18:13] 或者說晶圓代工一樣
[18:14] 你也不是說AI好
[18:16] 晶圓代工業者好
[18:17] 就是每個晶圓代工業者都好
[18:18] 不是有些晶圓代工業者
[18:20] 他可能表現相對就是沒有那麼好
[18:21] 那一樣的道理
[18:22] 你也不是說AI的server好
[18:24] 所以所有在做server的都好
[18:25] 沒有有些server可能是躺在地上
[18:27] 但是也不要去忽略這些躺在地上的東西
[18:29] 就像前面我們自己是不太喜歡
[18:31] 成熟製程的東西
[18:32] 可是因為像是TSM這些前端的製程
[18:34] 他們放出了很多legacy的東西在外面
[18:36] 你就注意到說有些成熟製程的東西
[18:38] 在後面也就噴上去了
[18:39] 或像是前面大家都在專注在GPU跟ASIC上面
[18:42] 最近大家發現說CPU很好
[18:44] 所以一堆東西就重新去CPU
[18:45] 所以其實每個東西都會有它的輪迴存在
