[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由三生買贊助。
[02:36] 過往的話,當兵我記得好像是最後面考試的時候是考3公里還是5公里,應該是3公里,然後平常是跑1500還是3公里,忘記了。
[02:45] 反正就是從來都沒有跑過這麼多。
[02:47] 在這次的跑步訓練,算是還蠻意外,竟然可以一次通過。
[02:52] 雖然在過程之中我覺得是非常的痛苦。
[02:54] 有搭配自己的耳機音樂、對拍子、或者試著去看一下窗外的世界,去緩解無聊的感覺。
[03:01] 我覺得跑步對我來說最困難的一點,其實是非常無聊。
[03:04] 只是後來我聽一些很會跑步的朋友跟我分享,最後面你其實會喜歡的就是那種無聊的感覺,那可能就是冥想的感受之類的。
[03:13] 只是你要花一點時間才會理解。
[03:15] 所以我確實在前面的三公里的時候,我想說其實最難的就是要撐到十公里的話,
[03:21] 應該就是要如何去排解掉這種無聊的心情,在那邊罵東張西望,甚至是把手機拿出來跟朋友那邊傳訊息,還在討論說明天要買什麼東西之類的。
[03:31] 在過程中也持續的跟一個懂跑的朋友去追蹤,就是現在目前心跳是到多少,我看大概就是150、160左右,持續到5公里。
[03:39] 但是前面很膨脹,覺得跑步不過也是這樣子,這麼簡單,其實因為過去的體能訓練已經是幫我累積到可以直接跑10K之類的。
[03:46] 大概跑到5K之後就可以很明顯的感受到
[03:50] 你不是說你的體力不夠
[03:51] 但是你的腳就開始痠
[03:53] 會很明顯開始痠
[03:54] 所以大概5到7K的時候
[03:56] 我覺得是進入了人生低谷的感覺
[03:58] 就是你會開始懷疑說我到底可不可以跑完
[04:00] 然後你會想偷懶想說
[04:01] 反正我還有兩個月的時間
[04:03] 我可能今天就先到5先到6就好
[04:05] 然後接下來我可能等後面幾天再把它堆上去
[04:08] 可是後來轉眼一想要覺得
[04:09] 其實我現在體力感覺是可以的
[04:11] 就只是腿稍微的痠一點
[04:13] 不如就把它跑完
[04:15] 可是身體一直告訴你說可能快不行了真的好累
[04:18] 然後注意到心跳就開始往上跑
[04:20] 什麼160 170甚至快要到180之類的
[04:23] 體力可以
[04:24] 可是身體已經有一些地方告訴你說我現在很累
[04:27] 我要停下來
[04:27] 那時候我直接開大絕
[04:29] 我心中想就是我現在停下來
[04:31] 列祖列宗瞧不起我
[04:32] 全家瞧不起兒子瞧不起
[04:34] 就是告訴自己說一定要把它跑完
[04:37] 除非說我今天可能就直接在這邊
[04:38] 我就倒下
[04:39] 我要嘛就倒下
[04:40] 我只有倒下跟跑下去這兩個結論
[04:43] 最終莫名其妙的一路跑到差不多快8的時候突然間回光返照
[04:50] 就是5到7的時候超級累嘛
[04:52] 然後到8突然間覺得好像已經沒有感覺了
[04:55] 就進入那種很輕鬆很愉快的一個感受
[04:58] 然後同時前面還會覺得無聊
[05:00] 然後想要換歌想要跟朋友傳訊息
[05:02] 因為現在開始累開始噴汗了嘛
[05:04] 所以已經沒有辦法做這件事情
[05:05] 但是你可以很專心的去
[05:07] 就我看著那個跑步機前面螢幕的反光
[05:10] 就是看著自己的身體在那邊跳之類的
[05:12] 然後看著外面的雲朵,就是你現在可以腦筋空白了,前面是你一直在想要做事情,然後到後來是進入腦筋空白,可是身體卻不會累,你還是感覺到腿有一點酸,可是跟5到7的感受是不一樣。
[05:24] 那後面就蠻簡單的,就一路到9到10,我覺得到10之後其實都還可以繼續跑,但是我一開始設定的時候,那我就直接把它按成是也就Target 10km,所以它到10公里它就自動就開始減速就慢下來,不然覺得其實可以繼續跑。
[05:36] 跑的速度是一個小時又十多分鐘左右。
[05:51] 整體來說是一次非常好的體驗,雖然到今天已經是禮拜三了,我的腿都還是快要爆炸了,甚至去功能訓練的時候就跟教練說我們今天腿可能不行了,腿真的感覺快炸開了。
[06:03] 以前可能有時候你去做一些重訓或是功能訓練的時候,你會知道說雖然你的腿是很痠,但你是可以繼續的。
[06:09] 現在就真的覺得說是痠到有時候連站起來都會痛之類的。
[06:12] 教練就問我說你是痛什麼地方?
[06:14] 我跟他說應該有點像膝蓋外側,他說那是韌帶。
[06:17] 他說其實如果說你平常沒有去做之類的訓練,你一次推上去的話,一般來講就是會比較鍛鍊到是韌帶。
[06:24] 韌帶也是一個比較難練到的地方,但是練上去之後它也是比較難掉下來的一個地方。
[06:28] 所以一開始對韌帶的壓力可能是稍微的大一點之類的。
[06:31] 但這次的體驗是極好啦,我覺得接下來可能一個禮拜就會去跑個10KM這樣,只是可能前面是跑不急,我覺得後面還是要面對現實,就是要去跑外面,因為我相信在瞎的太陽啊,或者說悶熱感之下,那個感受應該是完全不一樣,因為健身房裡面只有冷氣,所以很像在作弊。
[06:49] 但確實是蠻意外,因為以前最多可能就是3-5K,當兵的時候會這樣子跑,那也是沒有辦法就被逼的,可是在退伍之後就從來幾乎沒有在什麼長跑之類的。
[07:00] 竟然一次可以直接幹上10K,這個對我來講是非常意外。
[07:04] 那也意外的去激勵到自己身邊的一些朋友,我沒有要去酸人家的意思,但我身邊有一些朋友,我就看他每天都在拍限動,自拍,跟自己精神喊話說,跑3K很累,我想說感覺就超難的,因為那時候就是會看他的限動。
[07:19] 所以想說要跑到10K可能真的要花蠻多時間,結果就意外一次把它幹完。
[07:23] 我那位朋友被我激勵,因為我跟他說我一次就成功,他就說馬的我明天開始我要跑超過3K,然後他也就順利的跳到5K去。
[07:30] 但是他的整個身高跟體重都是比較大隻,所以相對困難一點,我覺得可能自己回顧一下,認為跟減重有蠻高的一個關聯性,就是因為現在重量變形,所以算是相對輕鬆的可以完成這一趟。
[07:45] 那心中覺得蠻高興的就是自己的Yes Man計畫
[07:48] 雖然沒有像當時就是我會對蠻多事情都盡量say yes
[07:52] 然後出去走一走
[07:53] 但這次就想說因為那時候已經開始有去做一些這個身體的改善計畫
[07:58] 所以覺得有朋友跟我講說其實你去跑一些長跑是蠻不錯
[08:01] 我也認為說可以試看看
[08:02] 那就就這樣跑去報名
[08:04] 本來想說反正最糟的狀況就是用走的把它走完之類的
[08:07] 但意外應該是可以把它跑完的
[08:09] 因為還有兩個月的時間
[08:10] 那第一次就可以這樣
[08:11] 我相信後面應該可以慢慢的拉長
[08:14] 至於會不會不小心跑到上頭,我覺得對我來說可能還要再花一點時間吧,就後面會懂,但是他其實也不敢把話說死啊,你就發現說很多那種30歲的人真的就開始跑步,而且聽說跑步是一個就是不像某一些那種比較激烈的那種競爭型運動,就是可能你今天假設突破30歲的話呢,你就是一直是往下坡走,聽說跑步的高峰可以拉到更後面之類,所以才會有蠻多進入中年的人可能會選擇跑步,所以說不定後面自己也會開始這樣,但總之是一次蠻意外的突破啦,
[08:42] 也在這邊給各位朋友、各位聽眾們稍微的激勵一下,如果說你有些東西想挑戰看的話,有時候那個真的是超出你的想像,就你不知道說人的極限可以到哪,雖然我不知道說我這次可以這樣衝完,跟我拿列足列中還有我兒子會瞧不起我威脅自己有沒有關係,我不曉得,但總之就是把它幹完了,真的是超出自己的預期,竟然可以這樣子跑,你想都沒有想過,所以確實是一個蠻好的體驗,在這邊稍微的分享一下自己的心得。
[09:09] 好那接下來我們來進入市場話題
[09:10] 那像他這個盤面呢我覺得就還是差不多啊
[09:13] 就是維持一個震盪的模式
[09:15] 那自己身邊比較動人的朋友就整天都在罵
[09:18] 就覺得這個盤子他媽有夠垃圾的
[09:20] 那可是我自己是認為就是從8月到現在盤面真的是很還好
[09:25] 就他算是一個好做的
[09:26] 反正你就是hold著你不要動
[09:28] 然後他金值就越墊越高
[09:29] 然後你距離你可以收復的高點呢就越來越近了
[09:33] 我至今是還沒有收復7月最瘋狂那時候的一個高點
[09:36] 現在還有一小段距離
[09:38] 但是已經持續的追上,沒有意外的話搞不好在下個月或是下下個月,好像這樣差一個flag,就感覺應該是有機會可以再一次的創新高。
[09:48] 本來其實在7月這樣的重殺,你知道嗎,直接從高檔滴滴下來30%。
[09:53] 我心中想的是這可能要到年底才有辦法救回來了。
[09:56] 沒有想到可以在後面有這些暴力的反彈,然後跟一些諸行人相對都掌握到,雖然沒有掌握到最噴的東西,
[10:03] 就大家心中已經想說媽的早知道我滿手大力光加預警光我就發了。
[10:06] 人生是沒有後悔藥或水晶球的,就算你可能有買到這些東西,像自己是有買到,只是你不可能買多,那就是配置的其中一環。
[10:16] 你就想說早早壓多一點,我就可以上去了更快。所以它確實是有東西持續的跑,然後像光通相關的股票其實也都是持續的強勢。
[10:24] 總之已經算是超出自己的預期很多,因為本來也算是預期偏低,就認為其實上半年真的是過太爽了,然後後來吃一個天罰,後面修復要時間,沒有想到修復了這麼快。
[10:35] 其實以大盤的角度來講就是已經在新高附近了
[10:38] 所以真的就差一點
[10:40] 但他就是很牛皮
[10:41] 反正就上去然後又再掉回來
[10:42] 然後再休息再狠一下
[10:43] 搞不好後面再繼續上去
[10:45] 所以我覺得只要不要一直想要去幹動人就沒問題
[10:49] 當然講是很簡單
[10:50] 我在日本沒有什麼感受原因之外
[10:52] 你就是在外面旅遊
[10:54] 所以你的東西打得上一點
[10:55] 你也不會一直想要盯盤
[10:57] 但是一回台灣馬上就會把東西稍微去集中
[10:59] 就要去找東西搞
[11:01] 就會開始感受到這個盤
[11:02] 他真的蠻魔人的
[11:04] 但確實是把自己拉出來看就會知道你七月已經是對這個下半年沒有任何的信心了
[11:10] 那現在竟然可以這樣子爬回來其實已經算是非常的感恩讚嘆
[11:14] 那市場還是有蠻多新的故事持續發生我們有在節目跟大家更新
[11:19] 那最新的一個議題呢就是在聯發科這邊是獲得了輝達然後跟像是Alphabet或是一些策略夥伴的投資
[11:26] 那它藉由的一個管道是它的ECB就是它的可轉債
[11:29] 這是輝達第一次投資台灣上市公司,第一次出手就是史上最大的ECB,數字是35億美元。
[11:38] Google 我不知道他到底拿了多少份額,可是絕大多數的份額就是被輝達給拿走了。
[11:45] 這筆錢的目的是什麼?就是一個策略夥伴的合作。
[11:48] 當然他一定也有可能部分成分的那種Seller Financing 的味道,
[11:52] 因為畢竟可能在MTK這邊,我們知道在銅鑼有一個Data Center,他們應該也是會去採購NVIDIA的東西。
[11:58] 但是我認為兩派公司所說的說法是對的,它就是一個長遠夥伴的合作,認識這麼久,其實聯發科本身就是一個財務健全也很賺錢的公司,所以並不像是可能NVIDIA去投一些相對比較新的公司,會給人家去質疑說這個是不是賣方去做融資,是不是自己在那邊自體循環,這個我覺得就是有一定程度的差異,所以可以把它視為說就是一種那種差期的意思。當然Alphabet 因為它本身就的客戶,現在我們都知道TPU的V8T是在聯發科第一次幫我們設計TPU,
[12:38] 後來再走到Humufish,之後的一些roadmap都已經有相當程度的雛形了,
[12:44] 所以客戶也有建議卡位,
[12:46] 因為他原想說可能聯發科有一些目的,他搞不好是要拿去做一些什麼設備的建置、廠房啊,或者說有一些擴大投資,要跟市場調錢啊,只是說就是被像是NVIDIA或是Alphabet這些同時是一些夥伴跟客戶的人,那就把絕大多數的份額是給他拿走。
[13:04] 那這個東西他們圖的是什麼?當然絕對不會是票息啊,這個票息是0%。
[13:08] 那付出的大概是10幾%的一個溢價,這要什麼?它其實就是一個選擇權的意思啊。
[13:13] 他要的是XPU成功的話,在聯發科這邊的發展是OK,股價上漲,相當程度可以轉換出股份。
[13:21] 所以整體看下來是一個我覺得蠻不錯的消息。
[13:26] 當然在前陣子也有一個類似的消息,應該不會說前陣子,可能是幾年前了。
[13:30] 就是那時候應該有在追IC Design相關新聞的,世新有拿到Amazon的一個投資。
[13:36] 大家看到傑夫·貝佐斯先生,看到想說哇這一定是超屌,但我記得好像就連拉都沒有拉,
[13:42] 這次聯發科有直接送一根漲停,今天就是有回到平盤了,就是一根漲停的消息機,也算是蠻不錯的。
[13:54] 我們就稍微聊一下我們覺得這個合作會是什麼樣的形式,他們大概也是在玩什麼樣的遊戲。
[14:01] 當然聯發科跟NVIDIA已經是長期合作夥伴,他們在蠻多情境之下都是有一起在做事情。
[14:11] 所以它並不是說在這之前他們是沒有什麼合作經驗,像之前跟大家分享NYX,就是它那個筆電的晶片,它就是NVIDIA GPU加聯發科的SoC,那外加可能在車用座艙或是一些可能在相關業務的一些合作,這個都是持續一直有在進行,那只是下下就升級成為一次NVIDIA的AI Platform,然後再加上可能聯發科的客製XPU,這個東西去把它做一個更深度的一個綁定。
[14:38] 大家看到Google也有進來可能會想說這個合作跟Google有沒有什麼關係?
[14:43] 先講我自己的結論,我猜可能跟Google的關係不大,他們是兩個獨立事件
[14:47] 反正聯發哥就發了ECB,然後就是兩個大咖跑來認
[14:51] 兩個大咖認的理由並不是說他們三方要結盟、桃園三結義,我覺得不是這樣的一個情形
[14:57] 當然一定還是有相當程度的合作,因為像Google雖然自己在推自己的TPU
[15:01] 可是也是NVIDIA很大的一個買家,還是買了很多GP GPU
[15:05] 聯發科在內部的算力使用上,我們了解後來建制也是會使用NVIDIA的Rack。
[15:13] 所以大家算是千絲萬縷的關係,但他不是說有目的性的把三個人弄在一起。
[15:18] 甚至可以講成目前在像NVLink、NVIDIA的各種Interconnect,可以算是最大的對手就是Google的ICI和OCS。
[15:28] 就是他 ICI互聯然後跟他的光交換機目前可能市場上就是在NVIDIA的solution以外最強大的一個玩家之一
[15:37] 所以他應該不會想要去整個更加深入的綁路在這個生態系裡面
[15:43] 所以我會把它去視為是就是兩個獨立的事情只是他們同時發生
[15:48] 就是說大家都想要來 MTK這邊去稍微的分一杯羹
[15:53] 那在輝達這邊他想要的東西是什麼
[15:56] 我覺得就算他應該是沒有辦法在這個案子裡面然後獲得Google太多的一個額外認同啊或者說一些採購
[16:03] 但是呢他在賭的東西應該是 MTK在特別是Google給他資源去練兵之後呢
[16:10] 這個後面有可能在整個XPU的市場裡面會持續的拉高
[16:14] 那當今天XPU持續拉高大家第一個想像就是那受害的可能就是GPGPU嘛
[16:20] 像是NVIDIA或是AMD這類的業者
[16:22] 沒錯他們的市場會被吃掉
[16:24] 但我們剛好在前幾集有提到說其實 TAM 會增加
[16:26] 所以本來一個東西持續的蓬勃發展
[16:29] 你就很難想像說只有少數的廠家會把所有東西吃掉
[16:32] 因為這樣大家都沒有辦法玩下去
[16:34] 所以本來就是一些本來有 dominant 地位
[16:36] 像可能最早是 Open AI 在 AI 算是一個完全的壟斷
[16:40] 幾乎啦
[16:41] 那後來就是市場就開始被一些人拿走
[16:43] 甚至其他可能聲量最高的變成是 Anthropic
[16:45] 所以它是一個正常發展的一個現象
[16:47] 那只是我覺得 NVIDIA 它要的東西是更廣
[16:50] 他們也意識到這件事情
[16:51] 他們也知道說沒有辦法去阻止客人不要去開發XPU,雖然有一些小暗示啦,就是他很常在一些電話會議或訪問裡面,他不會明說,因為我覺得像Jensen他本身就是一個AI的,有點像說教主等級的東西,所以他不可能去採別人的商品,這個看起來是非常low的事情,但是他會有蠻多的,我真的認為就像是暗示的,就是告訴大家說那個產品線,你那個後面這樣推可能會很辛苦,我們的東西算下來還是最便宜啦,買越多省越多之類的,他還是一直去釋出這樣的訊號,但是客人沒有辦法,就還是會想要去,
[17:21] 做一些有主控權的事情,把一些XPU拉回來自己開發。
[17:24] 那沒關係嘛,因為黃宏鑫有跟大家講說,現在一座AI工廠他要的是七種的輝達晶片,XPU只是其中的一部分。
[17:32] 其他的環節,NVIDIA也都是有角色可以進來扮演。
[17:36] 所以我記得好像在今年3月他有一個投影片有放出來,就是在NVLINK這邊我們都知道,反正就是NVL72,然後跟後面會再持續拉上去的,他最主軸的一個AI伺服器Compute Rack之外。
[17:50] 接下來他們有MGX ETL Rack,這些東西他就算是可以去跟XPU做結合的東西,包含像是Glug3、Vera CPU Rack、BlueFill 4 STX Storage Rack、Spectrum Rack。
[18:05] 這些東西他本質上是可以去讓客人的XPU來跟他做結合。
[18:11] 雖然以前在資料中心的建置上面,大家的認知是反正你就是跟NVIDIA買,他整套的東西都給你。
[18:19] 客人既然要轉XPU的話,周圍附帶的東西你還是可以跟我的東西去做深度綁定。
[18:27] 就算你要走自己的XPU,我可能也可以在裡面獲得蠻多的吃肉喝湯的機會。
[18:34] 圖的算盤應該是這樣子,只是就像我們前面所講的,這個應該在Google可能是相對會比較難進去,
[18:42] 因為他們算是自己有蠻完整的互聯的解方。
[18:44] 其他未來的客人有機會走的模式是,雖然他們自己去設計XPU透過MediaTek,但是可能裡面會去使用到NVIDIA Infusion,去搭配NVIDIA的MGX ETL Racks,不管是去做存儲或是網通連結相關。
[19:03] 這樣子輝達還是可以在裡面獲得非常多的價值。
[19:07] 所以它現在有點像是從本來的賣GPU變成是賣Total Solution。
[19:14] 如果有一塊東西你想要自己去做的話,沒有關係,我也不會去阻擋你,可是其他東西可能是可以用我的,所以變成是一個萬能雜貨店的感覺。
[19:24] 去跟MediaTek做這樣的連結,我覺得他圖的就是未來的客人有機會可以走這一條路線,在MediaTek的一個成功案例之中,然後順便的去推廣輝達在周圍的一些solution。
[19:37] 在匯達這邊他們有一個東西叫做 NVHBM
[19:42] 這個NVHBM是什麼呢?在官方的宣稱是講說它比HBM4E的頻寬再多了30%
[19:48] 功耗是少了15%然後還額外再多給你晶片的面積
[19:52] 它是去把Controller從本來的Acelerator搬到現在HBM的Base帶裡面
[19:57] 但是它跟本來的東西最大的差別是什麼?
[20:00] 就是本來是走JEDEC的一個規格
[20:02] 然後現在變得有點像是說NVIDIA自己的一個特規
[20:06] 我覺得也有在為這個東西佈局的意思
[20:09] 就是這個NVHBM如果說在後面可以取得相當程度的一個試戰的話
[20:15] 當然他們就是從記憶體的廠商身上去獲得一些價值
[20:19] 記憶體廠商偶爾你可以說是台積電的身上會額外再獲得一些價值
[20:24] 為什麼這樣說?因為本來的HBM那個Base die
[20:26] 像可能SK Hynix或是Samsung
[20:28] Samsung應該是後面還是會自己做
[20:30] SK Hynix在HBM4之後應該就是把Base die會交給台積電去做
[20:34] 美光的話就我們的理解,因為前面可能沒有辦法滿足NVIDIA的一個要求,所以後來也是直接把Base die丟給TSM去做。
[20:43] 那你說如果今天就像聯發科協助去設計開發,然後採用了NVHBM的話,那會交給誰設計?
[20:50] 他應該就不會是給記憶體三大廠,應該就是還是交給台積電去做。
[20:55] 只是可能NVIDIA也可以在記憶體這邊去Capture到一些額外的價值。
[21:00] 但這個東西我們可能還要再等一段時間再去做驗證,
[21:03] 因為我們知道NVIDIA在過去持續推出很多又新又酷的東西
[21:08] 有些東西可能看起來一段時間會好像就雷聲大雨很小
[21:12] 像那時候的CPX Rack
[21:13] 但最近郭明琦又寫一篇文章說
[21:15] 他看到CPX Rack又復活了
[21:18] 本來大家以為說不見了
[21:19] Prefill那一塊都不見了
[21:21] 然後現在又再一次的跑出來
[21:22] 所以NVHBM可以稍微的去觀察一下
[21:25] 但我覺得NVIDIA的這次跟MediaTek相關的投資跟合作
[21:29] 我覺得也是有想要把這個東西鋪出去的一個意思。
[21:33] 所以稍微的把自己的看法去做一個總結,
[21:37] 就是它是另外一次的綁裝行為,
[21:40] 那它應該不能夠很簡單的去解釋成為是銀行銀行,
[21:44] 不一定這樣子,
[21:45] 因為本身MediaTek它就已經有很完整的收入,
[21:49] 它是很健全的公司,
[21:50] 所以它不像有一些那種算力租賃公司,
[21:53] 真的有點像是反正它幫NVIDIA去收一些庫存,
[21:57] 當一個中轉廠,
[21:58] 如果它沒有NVIDIA這些投資可能就連生意都很難做,可是MediaTek不是這樣的一個狀況。
[22:03] 所以會單純的就把它當成是一個夥伴之間的深化合作,因為前面有RTX Spark、筆電、NYX 3nm,然後後來現在又再多這個NVIDIA Fusion XPU,所以它就是一個更加深入的合作。
[22:18] 只是我們的一個觀察重點就是到底後面的客戶會是誰,具體的Tap out會是什麼時間。
[22:24] NVHBM的記憶體會造成什麼樣的一些額外的影響?會不會透過這些IC Design 更快的鋪出去?
[22:34] 這個就是一些觀察的重點。
[22:36] 以整個大格局來說,目前看起來NVIDIA已經是把市面上所有的玩家都已經納入回憶下了。
[22:43] 它跟像是什麼世新、發哥、或者是像是Marvel最近也有一些劇情的產生。
[22:51] 其實幾乎每個都已經是被他攬住,都已經是加入他的行列了。
[22:56] 現在就很好奇說,那Broadcom會不會有朝一日,你不能說就是完全的去加入他,
[23:01] 可是就是額外再開一條線,就是不是只有自己的Fabric,可能也會去使用NV相關的那些Solution。
[23:07] 這個是後面可以期待的,但目前看下來就是,他在想要吃的肉呢,其實也是博通的肉啦,要再一次要再去踩博通的感覺。
[23:15] 所以真的就是最近的一些消息看起來都是大家要在博通身上去吃肉的感覺。
[23:21] 你就知道說這家公司有多強的一個競爭力喔
[23:23] 大家想要拆東西都要從他身上拆出來
[23:25] 那當然博通很快就會出來講話了
[23:27] 我相信這次HOT可能應該就會火力全開啦
[23:30] 因為現在外面確實是蠻多對他的不看好
[23:34] 那不然說像我們去分析一些事件
[23:36] 我們也會去提到說可能對博通的影響是比較大的
[23:39] 因為大家要去挑戰博通
[23:40] 但是這不代表就是博通就一定會掉一些東西之類的
[23:44] 因為你要知道是像我們前面才剛剛提到說
[23:47] Hot Panel他做出來是一個超級強大的晶片
[23:49] 這就證明了博通的設計與統整能力一定是非常強大。
[23:54] 雖然這件事情還是有一點眾說紛紜,因為現在有一派的說法是說,
[23:58] OpenAI 其實他們用了AI去協助設計這個晶片,所以這個晶片會這麼強,其實跟 OpenAI 有很大的一個關係。
[24:04] 我覺得不一定,我覺得可能還是跟博通有非常深度的 Know-how 有很大的一個關係。
[24:09] 所以這可能就要等到在博通的電話會議之後,我們來觀察他們針對這些事件有什麼回覆。
[24:14] 雖然他未看先猜的時候他一定開始屌噴,然後一定會再次強調自己的競爭利基之類的,但是我覺得從他的回應就可以更加全面的去了解在過去一段時間市場發生的這一些事情,那到底實際上在大家的互相競合會發生什麼樣的一個狀況。
[24:30] 可是先講結論,我認為他還是會有點類似就前陣子的光童之爭,那時候確實是同相關的類股直接被打到爆掉,就是如果你用股價的角度來看的話,那確實你從他的營收去看,他是沒有被打掉的,他還是持續的有開出來。
[24:44] 最終股價也還不到,那時候被打下去的同類股一堆都新高了,只是那時候被打得很慘,市場都說不行。我覺得得有點類似這樣的情形,因為市場有點偏向是,我覺得很偏執,就是當大家知道說有某個新東西可能會出來,就會很直覺認為說那舊東西就會被Challenge、白掉。
[25:02] 那亦或是像我們前面提到的HBM在後面會有很多降規相關的討論,12H基本上那種高榮的在後面就比較不會看到,短期內。
[25:10] 在市場內,往8H 或甚至4H 的方向去。
[25:13] 理論上對整個記憶體的供應,它會有辦法賣更多。
[25:17] 我覺得整體來說對市場也是一個滿健康的事情。
[25:21] 但那時候有一些像以前外資的朋友會去提醒說,
[25:25] 基本上市場裡面的一些法人,他們不一定會屌這件事情。
[25:28] 他不會屌說,其實這個對大家來講,就類似我們講的光銅,
[25:31] 它其實可以變純,大家都會好。
[25:33] 他們不管,他今天看到Dispec,他就先sell,他就把你sell到爆掉。
[25:37] 所以其實我們要擔心的就是怎麼樣
[25:39] 不是公司本身會不會在這些競爭或是新發生的各種策略聯盟裡面
[25:44] 有些人可能會受害或是什麼受益之類
[25:47] 不一定要去講這種就是偏產業或是中長的東西
[25:50] 就是說其實在短線上特別是我們畢竟還是在市場工作的人
[25:54] 然後我們就會知道說有些東西就是事件一丟出來
[25:58] 這個市場一定會有所反應嘛
[25:59] 那有時候反應的那個幅度會蠻大
[26:01] 雖然很多時候你到最後回頭看就發現說根本就是沒事
[26:04] 然後但其實有波動就會有行情嘛
[26:06] 那也會有一些機會,也可能會有一些傷害,但總之就是要去習慣這些波動。
[26:10] 但是我認為長遠來看,因為現在AI真的是在,我覺得不用去炒說是幾局下半,反正就是還是很前面,就一定還是很前面。
[26:18] 所以那個市場可能是超過大家想像,就是大家應該都會在裡面受惠,那只是在過程之中會怎麼樣演,會怎麼樣波動,那個不是這麼的確定。
[26:26] 所以我們大概跟大家講一下自己在這些事件裡面的一些想法。
[26:30] 那我認為等到波通去做回應之後,就可以非常完整的知道說,OK,那現在大家的態度是怎麼樣。
[26:35] 目前初步看,跟MARVEL、MTK要綁裝,每個人想要的東西都是要從博通身上搶一點東西的感覺。
[26:44] 其實大家都互相啦,就像是XPU,他們也是想從輝達身上搶一點東西,但最終可能大家都是越吃越多,越吃越飽。
[26:51] 你不要去很聚焦在市佔率開始掉、出貨的顆數,就像現在ASIC出貨顆數一定自會越來越高,可是不代表NVIDIA會越賺越少,因為市場是持續的在變大。
[27:02] 好大概是這樣的一個情形
[27:03] 那接下來我們來進入KILL的部分
[27:32] 祝您全家平安健康幸福。
[28:02] 嗯,可能也可以點個生蠔吧,我覺得那邊的生蠔也蠻不錯的,我覺得Smith & Walensky真的是一個蠻好吃的產品,大概這樣。
[28:09] 下面一位,Romer,拍謝啦一直留不到,嗨主委您好,想請您用不同的語氣說節目六年啦!六年啦,六年啦,幹我覺得我超行,這傻小子,以後不要再叫我做這種事情。
[28:23] 祝福主委節目長紅,那另外我想祝安南、陳浩南、Willy、績效大爆色、TEDEMON、長紅K到天上去,謝謝主委,也謝謝G5的守護神克諾曼,新婚快樂,我們祝他新婚快樂。
[28:35] 下面一位,Xuan,有點長,好,但還是念一下,因為感覺是有志男生,有苦說不出。
[28:43] 孟恭您好,開頭先祝全家平安順心,想藉由節目跟您分享遇到盪生前男友的故事。
[28:49] 各位有瓜可以吃了
[28:50] 保險套說要輪流買男女平等
[28:53] 我疫情確診第一時間叫拿保險金請他吃大餐
