[00:00] 歡迎收聽股癌,我是聖孟恭,本集節目由Sally贊助。
[07:32] 你就心中想一想有時候甚至想下雨就不要去
[07:34] 太陽太大不要去或什麼的,所以最好那個場館還是要早離家裡近一點啦,你的動機會稍微強一些。
[07:40] 當然無論如何堅持下去呢就是自己的,我真的非常高興看到自己身體的變化。
[07:44] 那有些聽眾就開始在講說,你會不會身體會開始有很多那種臭皮,我沒有胖成那樣,我是沒有胖,我沒有胖到說什麼瘦下來的時候奶子會撈下去之類,沒有那麼誇張。
[07:53] 就是也沒有任何的脆皮,所以就算是還蠻健康的瘦下去,然後現在是呈現一個比較結實的狀態。
[07:59] 在各種運動表現上,不論是打網球或是近期排位打棒球,好像今年有很多有的沒有的運動相關的各種體驗,其實表現都非常的好。
[08:09] 所以這邊真的是蠻推薦大家,如果說現在把生活中的各種東西都顧得還蠻不錯的話,回去顧身體,身體顧好,那一輩子都是自己的。
[08:17] 稍微分享一下自己的一些想法。
[08:19] 接下來我們來進入上話題,雖然在過去一陣子是屬於假設用交易的角度來說是比較難做的盤,
[08:25] 在過去幾集我們有跟大家分享說,你只要是用Holder,你在過去一陣子應該是不會感受到太多不舒服的體驗。
[08:34] 但不知道為什麼,就是在過去一陣子已經有注意到身邊有蠻多人在轉空了。
[08:39] 即便我們在過去有一集有講說,基本上那個紫蘇在新高附近,紫蘇在新高附近怎麼會轉空?
[08:44] 這個是很奇怪的一件事情,一定是變成是摸頭啦。
[08:47] 那用交易的角度來說不能這樣子,你可以自己的股票破底,然後你就視為說OK,這個股票轉空。
[08:52] 可是你要說大盤要轉空或是整個盤要壞掉,這樣子看是不太對的。
[08:57] 就是用摸頭的方式是我們不建議,我們也不會去羨慕那些有摸到頭的人,因為他可能就曬到的嘛。
[09:02] 過去試著摸好幾次頭可能每次都被嘎爆掉之類的。
[09:06] 所以到現在就已經看到說加薪指數已經創新高了嘛,NQ也直接創新高了。
[09:11] 雖然加薪指數創新高的時候還是比較牛啦,在昨天的創新高日還直接去收了一個小避雷針出來,但今天又往上墊。
[09:18] 我自己大膽的一個猜想,因為你知道台灣人就是很怕廉價。
[09:22] 台灣人每次看到廉價就是害怕,就會覺得說我有一些不確定性,我覺得無可厚非啦,因為過去幾年被嚇到太多次。
[09:28] 那所以可能是因為有廉價卡在那邊,所以我們指數就變得相對的牛一點,但我覺得整體的盤面結構已經有在慢慢的改善。
[09:34] 那就是一些呢,過往我們講的那個宙斯法則的破裂,有些東西你去鎖掌亭隔天一定被幹爛,其實最近有注意到說開始有一些好轉的現象。
[09:42] 也有一些族群走出來在過去比較弱勢的東西也開始往上點,
[09:47] 不然說前波像是一些功率元件在市場裡面是屬於非常的熱門,
[09:52] 可是7月的大逃殺之後有蠻多就是一直躺在下面都不太動,
[09:55] 但最近也開始慢慢站回來,
[09:57] 所以過去那種最熱鬧需要相對多時間修復的一些族群也都好起來,
[10:01] 過去連狗都不要的那些光通就跑第一棒,
[10:04] 所以隨著時間的推進你會注意到說,
[10:06] 如果最後面子數就繼續往上走的話,
[10:08] 類股就會進入輪動,
[10:10] 就是應該會有蠻多機會可以繼續去找,
[10:12] 所以在這邊去轉空,我是覺得有點奇怪,當然我也不想好像說自己是死多頭要跟大家喊多名,我就講自己的看法。
[10:20] 一般來說我們會去眼見為憑,就是你這邊真的給我出一個破底,你這邊開始有很多的股票轉空之類的,我們才會去認為說這邊是要轉空。
[10:28] 但如果說只是因為你去做交易然後一直被人家幹在牆上,被人家幹到趴在地上那邊喘的話,那其實是比較偏向說你這個策略可能在這陣子是不好用。
[10:36] 但是我相信你只要再堅持一下,後面等到盤面開始持續走新高的話,應該那種比較熱鬧,感覺有很多資金源源不絕,甚至有一點FOMO的情緒,就有機會回來。
[10:48] 但我相信可能要等到廉價之後再稍微觀察一下。
[10:52] 但不管我們現在要怎麼樣去下判斷,按照我自己的做法,在廠商是一定都是隨時是八九成以上的部位。
[11:00] 就是我不太喜歡去做可能這地方我空手,什麼什麼轉空插小的,沒有意義。
[11:05] 甚至這個是有點模仿的一個結果,因為你看那些超大型的大哥,每個都這樣啊,誰會跟你說怎麼整天空手什麼的,就一定都還是有部位啦。
[11:13] 所以前移默化之下也知道說這還是對的事情,因為畢竟你把錢放到股票市場,藏起來看就是報酬最好的東西。
[11:19] 所以你換成現金的話,因為只有在那種可能突然間的崩殺,cash is king,現金為王,可是你可能就爽納一下。
[11:26] 那如果後面沒有及時的把錢打回去的話,那最後還是錯失很大的報酬,就算你可能少吃一點jodang,那可能上檔的東西都完全賺不到。
[11:33] 所以這也是要稍微的注意一下。
[11:36] 最近在市場裡面比較火紅的話題就是MetaMuse。
[11:39] Muse可以幫使用者去建立Agent AI代理,去幫你完成在數位世界裡面的一些任務。
[11:46] 目前看它的下載量是非常的不錯,在App Store也是跑到了冠軍區。
[11:50] 它跟之前的Meta AI比起來是有點那種進化成分,它可以去支用使用者的社群內容,
[11:55] 包含說像你的Facebook或是Instagram,它也可以透過Browser去換,
[12:00] Gmail、定位、Calendar等,全部都可以把它弄在一起。
[12:06] 感覺有點類似說一個更加人性化的龍蝦出來。
[12:10] 雖然講到龍蝦,我應該是會蠻想笑的。
[12:13] 雖然我們不知道去嘲笑各種在AI時代裡面瘋狂往前衝的這些前浪,最後變成倒在沙灘上。
[12:19] 就是每次只要有一個新的東西出來,大家就會FOMO跑去下載,然後就會開始裝逼說自己最懂,別人都沒這麼懂。
[12:26] 自己家都在做什麼,不做的話這個世界就要把你丟下來,就只剩下你不會或什麼的,然後一段時間之後幹了媽一堆龍蝦棄養草。所以我覺得就是我們現在去看待這些AI的APP都可以用類似的心態,接下來在一個探索階段,所以你不用認為說每個APP下載下來你都一定要立刻的把它玩到很熟很強之類的,因為可能一段時間之後大家就會完全轉向另外一個方向。
[12:46] 只是多了解絕對都是好的,特別是在我們這個工作裡面,像這樣的一些APP推出來其實它對市場都會有一些催化的效果。
[12:53] 過去已經算是一個常見的共識,不然說節目已經聊到N次不要再聊了,就是在Agentic的World Flow裡面,我們都知道CPU扮演了一個非常強大的角色。
[13:03] 不然說像是在AMD,他們是有提到說CPU vs GPU,從本來的1比8、1比4,甚至會往1比1去收斂,我們講說1比1有點極端,但確實是有機會往那個方向去走。
[13:14] Bernstein 6月的大報告提到傳統大模型的工作負載,CPU大概是佔15%左右,到Agenti是50%。
[13:24] ARM也是給出了類似的熱觀數字,3000萬顆CPU核心會用在每GW的傳統AI資料中心。
[13:31] 可是如果你今天走到Agenti AI的話,可能就會跑到1.21去。
[13:34] 所以其實你在各家的資訊都可以知道CPU很重要。
[13:39] 只是在這一波你還是可以注意到當Meta的Muse在市場上造成了一些影響之後立刻的CPU股票跑去拉
[13:45] 然後隔天台股CPU相關的要嘛就是開燈要嘛就是非常的強勢
[13:49] 所以好像說大家以之用火
[13:51] 但這個東西它其實算是在過去已經講很久的東西
[13:54] 比較類似說是二度的催化
[13:57] 當第一度的催化發生的時候是在今年的上半的時候
[14:00] 那時候CPU類股全部射出去
[14:01] 現在算是二度
[14:03] 二度的話一般按照我們自己的經驗它跑的可能就沒有像一度這麼的激情
[14:07] 他還是會上,還是會衝一下,只是後面應該就會稍微的休息,然後接著回到正常的軌道上。
[14:12] 因為如果一個題材是對的話,營收貨率就會開出來,股價當然就會隨時的慢慢的往上墊。
[14:18] 只是我比較把它偏向是認為它是第二波的一個垂化,它並不是一個特別新鮮的東西。
[14:24] 只是再一次的去提醒大家,在Agentic的Wafer裡面就是會使用到很多的CPU,然後讓大家開始重新去關注CPU。
[14:32] 但我相信最近有在看一些報導的人都有看到說,宏碁的陳俊盛開始在跟大家講說,有一些元件不缺啦,記憶體啊,或是大家想像的那些缺貨的東西開始不缺,就好像說這個全市場他自己最了解。
[14:45] 這個陳俊盛他其實在AI時代之前,我覺得他是一個蠻不錯的領導者,他幫助這個企業去做多角化的嘗試。
[14:53] 我覺得這個方向算是OK,因為如果說繼續在一樣的邪害裡面做競爭的話,可能表現就比較沒有機會了。
[15:00] 但在AI時代很明顯紅基是一個弱隊的玩家
[15:04] 這是非常明顯
[15:05] 你從他股價看也知道
[15:07] 從他產品線看更是可以明白
[15:09] 他根本就沒有東西跟在線上
[15:10] 所以他的評論
[15:12] 我們是尊重每一位企業家
[15:13] 每個人都可以發言這是絕對的
[15:15] 而且我相信說如果後來AI的泡泡真的就破掉的話
[15:18] 大家一定說他是閒職
[15:19] 即便我們家會懷疑
[15:20] 就是你到底看到的數字是什麼
[15:21] 你怎麼會告訴我說這東西是不缺的
[15:24] 如果你今天有在關注這些AI的東西的話就會明白
[15:28] 包含說我們過去跟大家所提到的AI所相關的元件,或像是現在走到這個GENTI CPU,你看突然間一個產品丟出來,然後整個供需又會再產生一些新的變化,因為有更多廠商發現這個東西可以搞,他就會想去搞,他也想去叫這個貨,所以在短期內要去改善沒有這麼簡單。
[15:45] 但當然有一天一定會被他喊中,就是你可能等到一段時間之後中了,大家就說他是那時候第一個喊的,但這個就跟在股票摸頭一樣,它的意義是不大的。
[15:53] 我們稍微跟大家提一下,像前幾集有聊到說CCL降規事件,我們的評論是說就算會發生,那也是可能到更後面的事件才有可能,等到像CPU什麼都弄得很好之後,有機會會進入這個討論,可是到時候在板上的各種元件也都進步了,所以說不定M6、M7、M8的價格也便宜了,大家就是很合理的會往那個方向去用。
[16:14] 所以去做一些太早的預測,可能我會覺得意義並不是這麼大,就類似大家很常聽到的那句名言,長遠來看我們都死了,所以你去講什麼長遠來看怎麼樣,很多那種AI的抒情文,我覺得大家都是看看聽聽就好,就稍微參考就好。
[16:30] 但是一樣,就如果說今天是用一個非常FOMO的角度去看的話,可能也不一定是太好的事情。
[16:35] WCCF Tech 引述 X 的貼文提到說,假設每個用戶用 2 V CPU 8G RAM 100G SSD,1 億用戶等於 2 億 V CPU,接著處理核心數量,就算出 160 萬顆 CPU。
[16:51] 意思是說,Meta 這個產品推出來,1億用戶,你要用到 158 萬顆 CPU 啦。
[16:56] 這個數字其實是有非常大的問題,因為它的假設是什麼?
[16:59] 他假設就是說百分之百用戶同時在跑,但我們其實都知道這個是一個不切實際的,但好險他在文章裡面還是有提到說,假設今天只有10%的用戶活躍的話,CPU就會負載降載到本來158萬顆變成15.8萬顆,但這個數字還是不太對,就是說他有點那種拼拼湊湊,合理的算法應該怎麼樣?你要把用戶的數量跟大家同時上線的一個比例,然後再去算每個活躍的VM平均的實體核心消耗,就是你整個數字要先成對,然後再去除以核心消耗,然後再去算每個活躍的VM平均的實體核心消耗,就是你整個數字要先成對,然後再去除以
[17:29] 這就是核心數與目標利用率的乘數才可以是比較合理的算法。
[17:34] 反正就是一般在FOMO的時候大家不會太認真去算,於是在市場上甚至開始聽到一個40比1的說法。
[17:42] 這是什麼意思呢?像我們剛剛前面講說C to G,CPU vs GPU的話大概是從本來的1比8到1比4,AMD 加韓說1比1。
[17:50] 下節告訴你是40比1啦,CPU要40顆,GPU只要1顆,是這樣的一個對比。
[17:57] 這個一樣是從 WCCF Tag 裡面文章出來的,但我感覺這個是非常的有問題啊,我自己也去稍微做了一下調查,並沒有任何的機構或是 Analyst 有去講這件事情。
[18:08] 他比較平常說可能網路的有一些意見領袖是用一些特殊的情境之下,可能會發生大量的 CPU 的 Use Case 拿出來講這個事情。
[18:19] 有些網友也在他的貼文下面就回說,你講的40比1是基於哪種情境?
[18:26] 你有沒有辦法去做說明?
[18:28] 目前看就是沒有看到很合理的解釋,所以這個不太對。
[18:34] 因為其實按照我們目前的看法是CPU的數量顯著的拉上去,拉到跟GPU1比1的話,
[18:40] 其實在現階段的DiagCenter的一個佈置或者是使用的情境下面,應該已經算是非常的充足了。
[18:47] 這也是我們講說為什麼CPU會在後面有看到這個還蠻強勁的一個拉貨潮
[18:52] 那當然可能在一些廠家這邊他們本身CPU的庫存的數量是還OK
[18:57] 可能長期跟Intel是夥伴之類的
[18:59] 他可能是沒有感覺到很缺
[19:01] 像我們就了解到某巨頭他們是有提到說CPU不是他們缺貨的一個重點
[19:05] 可是在其他地方都有看到類似的一個情形
[19:07] 但是也不會到就是那個40比1這麼誇張
[19:10] 所以有點像說我現在有默默的聞到了市場的熱度開始回來的一個味道
[19:16] 開始會有一些恨天高很誇張的數字出現
[19:19] 然後搭配股價真的就噴很多
[19:21] 那就會讓一些人產生非常FOMO的情緒
[19:23] 但這個其實在市場裡面發生過太多次了
[19:26] 大概以我們的節目的週期來說
[19:28] 就是每兩三個月就會發生過一次
[19:30] 就兩三個月我們就出來跟大家講說
[19:32] 某個東西應該是沒有這麼誇張
[19:33] 可是每次我們講完
[19:34] 應該是沒有這麼誇張
[19:35] 然後就繼續噴
[19:36] 因為大家就會FOMO
[19:37] 就會相信就是這麼誇張
[19:39] 先衝再說啦
[19:40] 如果是對怎麼辦
[19:40] 那當然後面就要小心說
[19:42] 再回檔可能會遭遇到的一些重擊
[19:44] 但是不代表說這東西的趨勢不對,它只是可能前面的數字喊得太高。
[19:49] 所以目前來看的話,我覺得你去抓一個1比4或是1比2應該算是一個市場的consensus,大家會覺得是蠻合理的。
[19:56] 1比1可能是平常最樂觀的一個情境。
[19:58] 就如果說在接下來除了MetaMuse之外,然後各家也都會推出非常好用的Agentic服務的話,那有可能CPU的用戶又會再次的往上拉。
[20:05] 那到時候我們再去做關注。
[20:07] 但反正總之就是市場已經有去給出一盞明燈,告訴你說Agentic AI又再一次的回到舞台的終點。
[20:13] 大家想要去盯它,所以可以稍微的注意一下。
[20:16] 接下來我們就來聊市場上的另外一個大話題,就是最近有在傳說DSP要出現漲價,然後一些主要的廠家在美國這邊的,應該說去漲一個15-20%的一個數字。
[20:28] 如果是大客戶,如果是比較密集的合作夥伴,應該就不敢漲太多,其他都會去做漲價。
[20:33] 其實DSP的漲價我們覺得是蠻合理的,因為當你今天在交換機裡面,你G數跑到越高,其實它就是有機會要去搭載DSP,
[20:42] 這就是一個很重要的一個訊號。
[20:44] 這邊先稍微的去做一些定義。
[20:46] 什麼叫訊號?
[20:47] 任何會隨著時間變化的東西都是一種訊號。
[20:50] 聲音是空氣壓力的一種起伏。
[20:53] 無線電是電磁波的起伏。
[20:55] 光線是光的明暗。
[20:57] 這些東西在真實世界裡面是那種連續的,就像是一個曲線的感覺。
[21:02] 可是如果你要進到數位世界的話,因為晶片就是認0跟1嘛。
[21:06] 所以每隔一段時間它就會去量一次這個曲線的高度,然後把它變成一串數字。
[21:11] 我們把它稱為是取樣
[21:12] 做這件事情的一個零件就把它稱為是ADC
[21:15] 就是類比轉數位
[21:17] 當你今天把它轉為數位
[21:18] 就是拿到一連串的數字之後
[21:20] 它會再透過一些數學的公式去把一些noise給拿掉
[21:23] 就是雜訊給拿掉
[21:24] 然後把訊號去放大
[21:26] 把壓縮的東西解開
[21:27] 整個搞完之後再用DAC
[21:29] 就是數位轉類比
[21:30] 變回是真實世界可以用的一個訊號
[21:32] DSP它扮演的角色就是在這裡面去算數學的
[21:36] 所以它其實跟大家可能近期耳熟能詳
[21:39] 但是可能不一定知道在幹嘛的
[21:40] MPU是有點類似。MPU可以把它視為是某種DSP的一個後代。DSP做的東西就是可能像是一個流水線,然後它是上面的瓶管,會有一堆食材跑過來,它就是把一些不好的東西挑掉。跟我去看那些紅酒的釀酒影片一樣,就旁邊站兩排人嘛,然後他們會知道說哪些可能不好的東西,他要把它挑掉,持續的去做處理,然後盡量要做到什麼?就是不要去耗太多的工,不要去耗太多的電。
[22:06] NPU就是因為我們知道在AI的時代裡面推論的核心就是透過大量的相乘或是相加也就是矩陣運算
[22:18] 所以DSP廠就把這些乘加器排成一個矩陣引擎它就變成是NPU
[22:23] 像是Quadcom的Hexagon就是在走這一條路
[22:27] 官方把它稱為是Scalar、Vector、Tensor三種加速器融合的東西
[22:31] 但它其實本質上就是某種DSP只是它的工作變成是AI
[22:36] 所以今天來講,DSP就是專門去處理這些連續訊號的某種晶片。
[22:41] 那這種晶片在光模組的應用上,它其實是蠻密切的被討論。
[22:46] 在過去可能如果今天交換其他的速率是只有在10、25G、50G、100G的話,一般來講就是不一定會用到。
[22:53] 但如果今天走到400G的話,就已經算是蠻常見了。
[22:56] 到800G是標配,到1.6T的話,基本上算是一個必須。
[22:59] 就除非你今天走向LPU或是CPU的話,那又不一定會需要。
[23:04] 所以這個可能是市場裡面比較有爭論的一點。
[23:06] 但因為你走到CPU那可能是幾年之後的事情,就是說可能全面放量,然後在Market share是佔比很高,那是未來的事情。
[23:15] 那時候你才會去討論,像有一個說法就是說,那這些DSP的廠商可能就會把他的東西變成是某一個Chip的,他還是可以持續的獲得價值。
[23:22] 只是就沒有辦法像過去可能是搭配,以這個400G的裝潢來說,400G的PAN4的光模組裡面就是大量的會用到DSP跟Retimer、CDR這種高速的訊號去做處理。
[23:33] 他可能就是不會用到這個,變成是其中的一個小chip了之類的,還是會用到他的一些Service的IP,只是就跟過去大家所認知的那個是不太一樣。
[23:43] 但在現階段,因為我們知道現在就是可能400到800G的一個過渡期,就持續的去往更高的規格去走,可是還是沒有高到就是有一些構造被改革的東西。
[23:54] 所以他的故事其實有點類似,就是因為前幾集我們剛好聊到說有人在講這個CCL降規的事件,
[24:00] 如果今天CPU是全面起來,其他東西也都還沒有跟上的狀況之下,那當然你可以想見的是,你有辦法用CPU的話,那你可能就不需要在板磁面用到這麼好的一個規格。
[24:11] 硬壓到底就是說,你今天是在使用CPU的話,那你可能也不需要再去做DSP晶片的一個加強。
[24:18] 可是這個是在CPU已經放出來的前提之下,但是在CPU出來之前,其實它還是有蠻長的一段路要走,還是需要一點時間去放量,那也不一定每個東西會選擇去使用最高的一個規格。
[24:30] 所以在400G以後你就開始注意到在DSP這邊它是持續的有一個表現的空間
[24:36] 那目前我們在市場上所看到的一個情形也是這塊東西是屬於非常缺貨的一個情形
[24:42] 只是過去大家一直在等它漲價然後都沒有看到然後現在看到它也出來漲價了
[24:46] 那所以一些相關的廠商大家可以去注意一下後面他的說法
[24:50] 不管像是Marvell或是MaxLinear就是他們的一些評論可能都蠻重要的
[24:55] 那一些台積廠商也是有在做DSP的產品
[24:58] 這些都是可以從我們的評論裡面去獲得一些情報。
[25:01] 所以這個東西我覺得它有點類似,就是可能像CCL這樣的一個話題。
[25:06] 它在某個轉接的過程之中,它可能會扮演一個非常重要的角色,可能就是需要去拉高它的規格來完成一些目的。可是如果天有一些劃時代的東西出來像是CPU的話那這些東西就會受到影響我就類似說當光今天角色已經非常成熟的話
[25:23] 那其實可以想見的就是真的不會用到這麼多的銅
[25:26] 只是在這個轉換的過程之中有些人的思維是有點偏向是零和
[25:30] 他覺得說這個起來這個另外一個要去死
[25:32] 那只是蠻常見的就是在後面一段時間你會注意到說
[25:34] 那個說要死的東西它其實會持續的放量
[25:37] 它甚至會賺的比大家想像中的還要來得久
[25:40] 接著才會進入到下一個階段,可是進入到下一個階段也不代表說在過去的這些老玩家就不行了,他可能就會瀟灑的轉身然後變成是跟光相關的東西,像台灣一些在做連接線、銅線的廠商,瀟灑的轉身就開始跟一些光通廠商去做合作,所以他可能也會變成某程度的光通廠。
[25:58] 這是股票很有魅力的一個點
[26:01] 就是公司如果不是笨蛋
[26:02] 他們不會停在原點
[26:03] 等人家把他自己殺掉的話
[26:05] 那他都有可能會透過一些轉型跟合作
[26:08] 然後把既有的技術去結合後續的技術
[26:10] 然後持續去做發展
[26:11] 那所以現段來看
[26:13] 這個DSP的漲價正方就會認為這個漲價就是因為現在缺貨
[26:16] 好
[26:17] 然後所以他就會往上跑
[26:18] 那反方就會說如果今天是走到CPU或是說LPO的話
[26:22] 那他就不一定是一個必需品的嘛
[26:24] 那可是前提就是這些假設都是比較偏向這種
