[00:00] 欢迎收听谷爱,我是盛梦宫,本期节目由NordVPN赞助
[06:30] 其实我觉得跟我一开始的想法
[06:32] 是类似的
[06:33] 就是价格并不是一个绝对的指标
[06:36] 只是当然你可能今天去路坑的时候
[06:38] 你就会听到很多人跟你吹捧说
[06:40] 什么是成级的东西
[06:41] 什么是超屌的东西
[06:42] 什么是此生必逝
[06:43] 你这边注意到说
[06:44] 其实胃口这种东西是个人
[06:46] 你自己就是最好的一个裁判
[06:48] 所以你不用去在意说
[06:49] 什么哪一个非常会喝酒的
[06:50] 什么Robert Parker
[06:51] 还是谁
[06:52] 然后他说这个酒怎么样
[06:53] 当然你可以去稍微
[06:54] 再跟单他一下
[06:55] 可是最终你知道
[06:56] 因为口味是每个人都不一样
[06:58] 除非说你的口味
[06:58] 刚好跟某一个critics
[07:00] 你们是一样的
[07:00] 当然他说什么好喝
[07:02] 你就跟着他去喝
[07:02] 这个是OK
[07:03] 但是他跟价格
[07:04] 不一定是正向的联动
[07:06] 所以好像昨天跟朋友喝两个
[07:08] 一个是Stackleap
[07:09] 就是那种入月酒庄
[07:12] 他有一个Cask 23
[07:13] 这我已经喝了
[07:14] 好像第二还是第三瓶
[07:15] 我觉得这个味道很好
[07:15] 然后还有一个Screaming Eagle
[07:17] Screaming Eagle就算是Cold Wine
[07:19] 就是说它的价格
[07:20] 是属于比较高一点的
[07:22] 那两个都是纳帕的酒庄
[07:23] 那喝下来我就觉得说
[07:24] 其实感受是差不多的啦
[07:26] 就是呢
[07:26] 你当然用价格讲的话
[07:28] 一个贵十倍嘛
[07:29] 贵十倍的人
[07:30] 就会想办法讲述说
[07:31] 啊他的深度比较够
[07:33] 尾味比较长
[07:34] 他确实是好喝的啦
[07:35] 但是我觉得没有
[07:36] 就是说差别到你可以去
[07:37] 甚至我觉得
[07:38] 让一些人去忙饮
[07:38] 他不一定喝得出来
[07:39] 反正都已经算是
[07:41] 做得非常好的酒类了
[07:42] 那他可能会因为说
[07:43] 今天你是配
[07:44] 随便举例啊
[07:45] 你吃牛排
[07:46] 还是你是吃什么伊比利猪
[07:47] 还是你是吃火腿起司
[07:48] 什么的
[07:49] 那说不定呢
[07:50] 本来是A赢也会变B赢
[07:52] 或者说你甚至当天的未来的变化
[07:54] 你的心情怎么都会去有所影响
[07:56] 那他那个差异其实已经是小到
[07:58] 我觉得可以稍微的去忽略
[08:00] 那我最近也蛮喜欢看一个channel
[08:01] 叫Our Poor Decision
[08:02] 那POUR就到久了
[08:04] 然后他是一个pops
[08:06] 就是他的爸爸
[08:07] 然后跟女儿叫B
[08:08] 就两个人一起去合作
[08:10] 然后找一个
[08:11] 我记得他最常找的那个
[08:13] 叫什么
[08:15] 494好像叫什么Stacey
[08:16] 反正就找一个
[08:18] 那个发型很像Karen的
[08:19] 会染蓝色头发之类的
[08:21] 但是他很会评论
[08:22] 然后他们三个人
[08:23] 去开各式各样的酒
[08:24] 然后我觉得他们就是很诚实
[08:25] 他就会告诉你说
[08:26] 有一些即便他们非常期待的
[08:29] 那种cold wine
[08:29] 超贵的酒
[08:30] 可是喝起来就是不好喝
[08:31] 不好喝就是不好喝
[08:32] 那他去做这样子的一些分享
[08:34] 我觉得就是跟我要的
[08:35] 那个目标是很类似的
[08:36] 就其实我只是想知道说
[08:38] 大家到底在吹捧的东西是什么
[08:40] 那因为对我来讲
[08:41] 这个预算可能不一定是一个
[08:43] 最困扰的事情
[08:43] 所以我都可以拿来试看看
[08:45] 那我就可能就
[08:46] 很够格去讲说
[08:47] 那到底我认为的口味是怎样
[08:49] 什么是好的东西
[08:50] 什么是不好的东西
[08:50] 不然有时候去讲来
[08:51] 他讲说
[08:51] 你酸米你就没有喝到
[08:53] 那种最贵的
[08:54] 你凭什么这样讲
[08:54] 刚好我酒柜里面全部都有
[08:56] 所以我就可以去
[08:57] 比较客观的评论说
[08:59] 我到底觉得他们感受了怎样
[09:00] 因为对我来讲
[09:01] 可能价格并不是一个
[09:02] 最主要的考量的点
[09:03] 我们要去用CP值去看他的话
[09:05] 那你就可以很客观去选出说
[09:07] 那到底哪个味道是你喜欢的
[09:08] 那这是你选出来的东西
[09:09] 虽然我现在可能
[09:10] 我觉得那个进度条件
[09:12] 没有跑很多
[09:12] 但已经可以非常有感的感受到
[09:14] 就是那种见为知足
[09:15] 你会知道说
[09:16] 就你喜欢的东西
[09:17] 可能是某一个地区的特级员
[09:20] 那这个特级员
[09:21] 他有可能是有10个酒庄
[09:23] 都有在出这个特级员的东西
[09:24] 那他的价格
[09:25] 可能从3万多块到200多万都有
[09:28] 那可是你有必要
[09:29] 就是每次都要喝200多万
[09:30] 不一定
[09:30] 就200多万
[09:31] 他可能是一个很棒的体验
[09:32] 他给你的是一种体验
[09:34] 可是并不是说那个味道
[09:35] 因为那个味道
[09:35] 可能你用其他东西
[09:36] 是有办法可以复制到的
[09:38] 所以我觉得这也是
[09:39] 这件事情迷人的地方吧
[09:40] 就是一方面
[09:40] 你可能可以去收到一些东西
[09:42] 然后这些东西
[09:43] 它可能等到五年十年之后
[09:44] 那个价格是暴涨
[09:45] 是涨了你的指数
[09:46] 涨了你的房子
[09:47] 虽然你也不一定会卖
[09:48] 可是觉得说爽
[09:49] 这是一个心理上的成就
[09:50] 我可能买到一个东西
[09:51] 我眼光很好
[09:52] 或是怎么样
[09:53] 这个价格涨很多
[09:54] 再来另外一方面
[09:55] 你其实可以随时把它喝掉
[09:56] 把它喝掉的当下
[09:58] 其实你去涂的
[09:59] 不一定是那个味道
[10:00] 因为可能就是说
[10:01] 过某个价位以后
[10:02] 那个味道
[10:03] 都有一定的水准之上了
[10:05] 但你涂的这种感受
[10:06] 是在这种特别的时间点
[10:08] 我拿出了一个
[10:09] 就可能大家看到都会觉得
[10:11] 这个可能是很了不起的东西
[10:13] 那你愿意来跟我分享
[10:14] 那为什么跟你分享
[10:15] 因为我们可能有一些历史
[10:17] 我们可能有一起经历过一些事情
[10:19] 所以我们在这个时间点
[10:20] 我们来开这一瓶酒之类
[10:21] 就类似一些老夫妻
[10:22] 可能在他们的某一个结婚周年
[10:25] 然后就要去开一个什么
[10:26] Petrus之类的
[10:27] 那可能对他们来讲
[10:28] 是一个纪念的感觉
[10:30] 那这瓶酒就承载了他的那个回忆
[10:32] 所以他的价格
[10:32] 其实是本来第二
[10:33] 但他的感受度还是有
[10:35] 你为了我
[10:35] 你可以去开这个价格的酒
[10:37] 所以我觉得其实价格
[10:38] 那其實可能在我心中覺得說
[10:40] 它是一個輔助啦
[10:41] 那味道呢也是一個輔助
[10:43] 那重點是什麼
[10:44] 重點是說找到好喝的東西
[10:45] 然後在對的時間跟對的人喝
[10:47] 所以像今天早上去跟
[10:49] 幫我去張羅酒的酒商老闆
[10:51] 在聊天的時候
[10:51] 他就有提到說
[10:52] 可能他心目中最好喝的啤酒
[10:54] 是跟幾個呼薰狗友
[10:56] 國中的時候
[10:57] 那當然國中絕對不要喝酒啦
[10:58] 可是你知道以前我們就是很多土豹子
[11:00] 那可能國中還是高中學生時代
[11:02] 然後就是在路邊
[11:03] 大家在那邊喝那個啤酒
[11:04] 那個啤酒至今都覺得是
[11:05] 世界上最好喝的啤酒
[11:07] 所以真的是講一圈之後會繞回來這裡
[11:09] 那只是我有時候就會覺得說
[11:11] 當然去評論這些東西的時候
[11:12] 你直接跟大家講說
[11:13] 類似我們看到馬斯克會跟大家說
[11:15] 錢不是最重要的事情
[11:16] 大家講說你怎麼講幹話
[11:17] 富豪都在講幹話
[11:18] 可是當你開始有錢之後
[11:20] 你會開始注意
[11:21] 你會講跟他一樣類似的話
[11:22] 所以當你今天可能沒有去喝過那些酒之前
[11:24] 你要講說我覺得這個便宜好喝實惠讚
[11:27] 那可能人家講說
[11:28] 是因為你沒有喝過什麼
[11:29] 可是當你都喝過的時候
[11:30] 你就很有底氣
[11:31] 雖然你也沒有要證明給誰看
[11:32] 但就是一個感受
[11:33] 有時候我覺得說
[11:33] 就是你去評論某些東西
[11:35] 或是你做某些東西
[11:36] 你自己要去走过一轮
[11:37] 那走过一轮之后
[11:38] 你就可以很有底气的去做评论
[11:40] 即便大家不一定认同你
[11:41] 可是你知道自己问心无愧
[11:43] 我觉得我可能图的是这样的一种感受
[11:45] 那也想跟大家分享一下
[11:46] 好那今天早上的时候
[11:47] 我看到一个Invidia Jensen Huang的访问
[11:50] 那他有提到一个
[11:52] 就是我可能在过去几集
[11:53] 有跟大家聊到
[11:54] 就我不太喜欢像是Enthropic的
[11:56] 但他可能是因为他打击到
[11:58] 我自己手上一些软体股的portfolio
[12:00] 那这个MOD Dario
[12:02] 他就整天在那边放屁话
[12:04] 什么他的东西好危险
[12:05] 好害怕 政府應該要監管
[12:07] 我覺得這個人很猥瑣
[12:09] 其實我現在心目中覺得他還有
[12:12] 像Sam Altman他們其實都是蠻猥瑣的人
[12:14] 就是兩個真的都是猥褻的
[12:16] 所以其實我還蠻希望說馬斯克的官司
[12:18] 可以搞出一點什麼東西之類的
[12:20] 那總之反正他們就是為了去行銷自己的產品
[12:23] 他們會去用一些比較強烈的用字然後按照Jensen Huang在這次訪問裡面所提到的他上一个podcast他大概就讲一下说这些人就是有God complex他们觉得自己是神了
[12:34] 已经有那个
[12:34] 自以为是神的情结了
[12:36] 因为自己可能是
[12:37] C3的一个高官
[12:38] 那手握一些权力
[12:40] 所以就开始去讲一些东西
[12:41] 来吓别了
[12:42] 那有些可能是一个行销的术语
[12:43] 那有些呢不知道
[12:44] 就可能真的自己觉得自己很帅吧
[12:46] 但其实某个程度上来说呢
[12:48] 当年Jensen Huang
[12:49] 他在忘记是哪一个演讲
[12:51] 还是访问
[12:52] 也曾经跟大家讲说
[12:53] 就是以后可能不用花太多时间去学coding
[12:55] 然后在他之后你就注意到说
[12:57] 就是脸书合作上大家都在讲说
[12:58] 以后不用学coding
[12:59] 软体工程师就要全部失业了
[13:01] 但你现在回过头一看
[13:03] 就注意到说
[13:03] 你可以去看一下
[13:04] 那个美国的软体工程师数据统计
[13:06] 他确实是有下滑了一阵子
[13:08] 可是那有可能是说
[13:09] 在疫情之后的一个超变
[13:10] 那现在就开始有一些复苏的反弹
[13:13] 这个软体工程师的需求是有在上升的
[13:16] 那只是这个软体工程师
[13:17] 可能跟当时的软体工程师
[13:18] 他们负责的东西
[13:19] 就有一定程度的差别了
[13:21] 可能之前的软体工程师
[13:22] 他确实是花非常多的时间在coding
[13:24] 那现在的软体工程师呢
[13:26] 其实大家可以从过去几个QA
[13:27] 都有听到
[13:28] 我们有一些听众会讲嘛
[13:29] 他们是哪里的软工
[13:30] 然后他们现在工作呢
[13:31] 就是坐在那边
[13:32] 然后看这个Cloud怎么样去帮他coding
[13:35] 他只要去做检查跟调整就好
[13:37] 所以从可能本来是一个
[13:39] 自己要下去做体力活的东西
[13:40] 变成说还是体力活啦
[13:41] 只是呢有一点那种监管跟控制管理
[13:44] 然后跟扛责任的味道在
[13:45] 你可以让AI就帮你做嘛
[13:46] 可是出问题的时候
[13:47] 老板要找一个人来干嘛
[13:48] 那就是干你这个软体工程师
[13:50] 因为他是付钱给你
[13:50] 他不是付钱给这个AI
[13:51] 他不可以惩罚这个AI
[13:52] 他不可以说
[13:53] 怎么把这个AI的电断掉
[13:54] 然后AI会痛
[13:55] 但是他如果说
[13:55] 把你的薪水砍半
[13:56] 或者说把你踢出去
[13:57] 那你就是会痛
[13:58] 所以要有一个
[13:59] 可以规则的一个对象
[14:00] 那我觉得就是老黄
[14:01] 可能之前讲类似的话
[14:03] 所以他是第一波
[14:04] 那后面就很多人
[14:05] 把他echo来echo去
[14:07] 然后变成越来越夸张
[14:08] 然后到后来甚至已经到
[14:09] 令人有点不适的状态
[14:11] 就我现在看到这种在嘎吹的
[14:12] 其实我心中都觉得
[14:13] 非常的不舒服
[14:15] 那所以老黄今天
[14:16] 去做一个这个校正回归
[14:17] 让大家稍微的震惊一点
[14:19] 我觉得这个是好事情
[14:21] 但可能另外一部分的人会讲说
[14:23] 是因为他一直想把东西
[14:24] 卖到中国去
[14:24] 卖到哪个地方去
[14:25] 那所以呢
[14:26] 他必须要让大家觉得说
[14:27] AI并不是这么恐怖的一个东西
[14:29] 但我觉得反正就是
[14:30] 尽量不要去见走偏锋
[14:31] 都是OK的啦
[14:32] 那老黄举一个例子
[14:33] 我觉得非常有意思
[14:34] 他就是提到说
[14:36] 你知道现在很多人
[14:36] 去看别人的工作
[14:37] 去拆解别人工作的时候
[14:38] 都是去用某个工作的一个环节
[14:41] 那他的表现
[14:43] 然后去看说
[14:44] AI可不可以做这件事情
[14:44] 于是就可以去宣判说谁的工作会怎么样
[14:47] 一堆人就在play God
[14:49] 都在去自以为自己是神仙
[14:51] 确实这个是我们在社群媒体上面
[14:52] 或是看到一些KOL
[14:54] 甚至一些C-Suite的老板们
[14:55] 他们都在做的事情
[14:56] 但实际上你没有办法这样做
[14:58] 为什么
[14:58] 因为他说以他自己为例
[15:00] 如果你今天是去识别化的来看
[15:03] Jensen这个人
[15:04] 他只是可能80亿人口的其中一位
[15:07] 我告诉你说有一个人
[15:08] 他的工作就是整天在按他的电话
[15:10] 除了按电话之外
[15:11] 然后就是talk
[15:12] 就是tap the phone and talk
[15:13] 然后这个人的薪水超级高
[15:15] 他有一大堆股份
[15:16] 你一定觉得说
[15:17] 这个人是要被优先取代的对象
[15:18] 对吧
[15:19] 按照AI的逻辑就是这样
[15:20] 但实际上
[15:21] 我们知道说AI可以去把
[15:23] Tap the phone and talk
[15:24] 这件事做得很好
[15:25] 可是AI没有办法变成是Jason
[15:27] 当然我知道一些科技狂乐者
[15:29] 就讲说会
[15:30] 未来就是可能
[15:31] Cyberpunk的世界之类的
[15:33] 当然我们理性的人会知道说
[15:35] 这个是不会发生的事情
[15:36] Jason他自己也不会让这种事情发生
[15:38] 或者说他自己本身去滋用AI之后
[15:40] 他其实也是某个程度
[15:41] 变成是一个超级人类
[15:43] 所以不会有一个AI
[15:44] 去把Jensen给取代掉
[15:45] 那只因为你看到Jensen的工作
[15:47] 像他自己讲
[15:47] 这他说的不是我说的
[15:48] 就tap the phone and talk
[15:50] 所以就觉得他的工作要被取代掉
[15:51] 那就是一个很奇怪的事情
[15:52] 所以一样的道理是
[15:53] 当你今天发现说
[15:54] coding的速度变得很快
[15:56] 那因为这样子
[15:57] 你就说那Running工程师
[15:58] 就不需要的话
[15:59] 那你就是犯了一样的一个错误
[16:01] 那虽然这句话
[16:01] 我觉得跟他当时自己讲的东西
[16:03] 是有一点点冲突
[16:04] 但我大概懂他是什么意思
[16:06] 简单说就是
[16:06] 有些context你还是要去补充
[16:08] 你不补充的话
[16:09] 大家就会潮溢
[16:09] 就会讲得非常的严重
[16:11] 那所以呢
[16:12] 他给出一个例子
[16:13] 就是说
[16:13] 可能我们这个国家
[16:14] 一年所需要去
[16:15] key出来的code的行数
[16:18] 是1 trillion
[16:19] 随便举例
[16:20] 那可能未来是10 trillion
[16:21] 或是更大的一个数字
[16:22] 就是想象力是你的超能力
[16:24] 你不能够停在这边
[16:25] 现在我们需要
[16:26] 这么多的一个城市
[16:27] 是因为以我们既有的资源
[16:29] 或者说能量
[16:30] 能够做的事情就是这样
[16:31] 我们设定一个目标
[16:32] 那我们可以去达成的话
[16:34] 我们大家觉得自己做得很好
[16:35] 那可是呢
[16:36] 你可能在农业时代
[16:37] 你是没有办法看到说
[16:38] 汽车可以为我们带来的一些
[16:39] 新的想象空间
[16:40] 跟一些生意模式
[16:42] 那一样的道理
[16:42] 在过去的
[16:43] 他说两三年内
[16:44] AI已经创造出了
[16:45] 五十几万的工作
[16:46] 那这五十几万的工作
[16:47] 它并不是在AI出来之前
[16:49] 是你有办法去想象到的东西
[16:51] 所以尽量不要一直去用
[16:52] 一个另一个的思维看事情
[16:54] 我觉得这蛮重要
[16:55] 那回去引一下
[16:56] 这个讨论的主因
[16:57] 是因为最近看到
[16:58] Alessian的财报
[16:59] 当然这不是我的持股
[17:00] 只是说因为它在新闻上
[17:01] 算是报得蛮大的
[17:02] 它意外地绞出很多
[17:04] 让大家吓到的数据
[17:05] 就像说它的seat是expansion
[17:07] 它并不是像大家想象
[17:08] 大家都说
[17:09] SARS apocalypse
[17:10] 那这些SARS的seeds都会锁掉
[17:12] 因为以后全部都是用什么成效
[17:13] 来计算或什么的
[17:14] 就是你在过去听到
[17:15] 很多这样子的一个说法
[17:16] 那我觉得其实
[17:17] 他们最主要的核心
[17:18] 是来自于矽谷
[17:19] 很多创投圈的人士
[17:20] 不然说像是那个OEM podcast
[17:21] 或者是像是那个
[17:23] 纳瓦尔宝典的那个NAVO
[17:25] 那他过去发的一些文章
[17:27] 就让我去取消追踪了
[17:29] 因为我觉得他太烦了
[17:29] 他发的东西
[17:30] 当然他可能从以前到现在
[17:31] 都是这个味道
[17:32] 可是在AI的一个资讯爆炸时代
[17:34] 我看了我觉得最受不了
[17:35] 就是很多那种
[17:36] 看起来是哲学性
[17:37] 給你一個大方向的東西
[17:38] 什麼以後都不用有App
[17:40] 以後都不用有iPhone什麼的
[17:42] 你就知道說
[17:42] 這個人就是老人在發病
[17:44] 就在我看來就是這樣
[17:45] 就以前我會看你的東西
[17:46] 那我現在就不喜歡你
[17:47] 但講這個可能有些人會覺得說
[17:48] 你在屌什麼
[17:48] 人家是什麼東西
[17:49] 我什麼東西
[17:50] 就像是不知道
[17:51] 可能大麥空剛出的時候
[17:52] 我也覺得說
[17:52] 大麥空那個人是極屌的人
[17:54] 到前幾年我都還覺得他很屌
[17:55] 然後後來看到他AUM數字
[17:57] 我就知道說
[17:58] 也不是要講大話
[17:58] 但是我們身邊已經一堆人
[18:00] 是比他有錢
[18:01] 所以你就不會去覺得說
[18:03] 這個人講一定是怎麼樣
[18:04] 即便他被拍成是電影
[18:05] 你懂嗎
[18:07] 我們相信專業 我們相信權威
[18:09] 某個程度上 不是說崇拜權威
[18:11] 但我們相信權威
